ar	Relevant
جمهورية أفريقيا الوسطى ووحدة الحراسة التابعة لها وفرقة العمل الإقليمية التابعة للاتحاد الأفريقي والقوات الفرنسية المنتشرة في جمهورية أفريقيا الوسطى (الفقرة 54 (أ)). 54 (أ)؛ والإمدادات من المعدات العسكرية غير الفتاكة المخصصة حصرا للاستخدام لأغراض إنسانية أو وقائية، وما يتصل بذلك من مساعدة تقنية أو تدريب (الفقرة 54 (ب)؛ والملابس الواقية، بما في ذلك السترات الواقية والخوذات العسكرية التي يصدّرها مؤقتا إلى جمهورية أفريقيا الوسطى موظفو الأمم المتحدة وممثلو وسائط الإعلام والعاملون في المجالين الإنساني والإنمائي والأفراد المرتبطون بهم لاستخدامهم الشخصي فقط (الفقرة 54 (ب))؛ والملابس الواقية التي يصدّرها مؤقتا إلى جمهورية أفريقيا الوسطى موظفو الأمم المتحدة وممثلو وسائط الإعلام والعاملون في المجالين الإنساني والإنمائي والأفراد المرتبطون بهم لاستخدامهم الشخصي فقط (الفقرة 54 (ج)). 54 (ج)؛ إمدادات الأسلحة الصغيرة وغيرها من المعدات ذات الصلة المخصصة حصرا لاستخدامها في الدوريات الدولية التي توفر الأمن في منطقة نهر سانغا المحمية الثلاثية للدفاع ضد الصيد غير المشروع وتهريب العاج والأسلحة وغير ذلك من الأنشطة المخالفة للقوانين الوطنية لجمهورية أفريقيا الوسطى أو للالتزامات القانونية الدولية لجمهورية أفريقيا الوسطى (الفقرة 54 (ج))؛ إمدادات الأسلحة الصغيرة والمعدات ذات الصلة المخصصة حصرا لاستخدامها في الدوريات الدولية التي توفر الأمن في منطقة نهر سانغا المحمية الثلاثية للدفاع ضد الصيد غير المشروع وتهريب العاج والأسلحة وغير ذلك من الأنشطة المخالفة للقوانين الوطنية لجمهورية أفريقيا الوسطى أو للالتزامات القانونية الدولية لجمهورية أفريقيا الوسطى (الفقرة 54 (د)؛ وتوريد الأسلحة والمعدات الفتاكة الأخرى ذات الصلة إلى قوات الأمن في جمهورية أفريقيا الوسطى، المخصصة حصرا لدعم عملية إصلاح قطاع الأمن في جمهورية أفريقيا الوسطى أو لاستخدامها في هذه العملية، على النحو الذي وافقت عليه اللجنة مسبقا (الفقرة 54 (د))؛ أو غير ذلك من الإمدادات من الأسلحة والمعدات الفتاكة ذات الصلة (الفقرة 54 (هـ)؛ أو غير ذلك من عمليات بيع أو توريد الأسلحة والأعتدة ذات الصلة، أو تقديم المساعدة أو الأفراد (الفقرة 54 (هـ)). 54 (f)).	1
فعلى سبيل المثال، أجرت كرواتيا وبولندا، بدعم من مكتب شؤون نزع السلاح، استعراض أقران لتنفيذها للقرار، تألف من جولتين من المناقشات والأنشطة في وارسو وزغرب، التي راقبها خبراء اللجنة. وساعد استعراض الأقران هذا على تحديد الممارسات الفعالة ويسّر تبادل الخبرات.	1
وكان قد أجرى العديد من المبادلات مع الحكومة المغربية، التي طلبت قبل قبول استئناف الدبلوماسية المكوكية عقد اجتماع لتوضيح شواغلها بشأن التقرير الأخير للأمين العام (S/2014/258)، موضحا أن المغرب يعتبر أن ذلك سيسمح للعملية بالمضي قدما بأفضل طريقة ممكنة.	1
وعلى الرغم من الاهتمام المتزايد والتطورات الإيجابية التي حدثت مؤخراً في هذا المجال، إلا أن العديد من التحديات على أرض الواقع فيما يتعلق بالتنفيذ لا تزال قائمة، ولا سيما التحديات المتعلقة باستمرار عدم الوضوح المحيط بمفهوم حماية المدنيين وتفعيلها، وآليات التنسيق الداخلية والخارجية، والإنذار المبكر والاستجابة السريعة، ودعم قوات الأمن التابعة للحكومة المضيفة، وقدرات القوات وتوفير الموارد.	1
15. منذ تقريري المؤرخ 2 كانون الثاني/يناير 2008 المقدم إلى مجلس الأمن (S/2008/1)، أزالت عملية الأمم المتحدة في كوت ديفوار جميع مراكز المراقبة الـ 17 التي أنشأتها على طول الخط الأخضر باستثناء مركزين اثنين، وذلك تمشيا مع أحكام اتفاق واغادوغو.	1
50. أجرى المقرر الخاص المعني بتعزيز وحماية حقوق الإنسان والحريات الأساسية في سياق مكافحة الإرهاب زيارة رسمية إلى بوركينا فاسو في الفترة من 8 إلى 12 نيسان/أبريل 2013، بدعوة من الحكومة، لجمع معلومات عن الوضع الحالي في بوركينا فاسو وبالتالي مساعدة الحكومة في جهودها الرامية إلى مكافحة الإرهاب مع احترام حقوق الإنسان وتعزيز تنفيذ الصكوك الدولية.	1
"وكان الهدف من هذه الجهود هو تحسين الأمن في المنطقة وتعزيز تحالف وادي جوبا والمصالحة بين الجنرال ""مورقان"" والتحالف، اللذين يتنازعان على الأراضي في وادي جوبا منذ عدة سنوات."	1
ينبغي للدول الامتناع عن إعاقة الجهات الفاعلة في المجال الإنساني في جهودها الرامية إلى إشراك الجماعات المسلحة من غير الدول لأغراض إنسانية، بما في ذلك القيام بأنشطة تهدف إلى تعزيز احترام القانون الإنساني الدولي.	1
تحث الدول الأعضاء على ضمان زيادة تمثيل المرأة على جميع مستويات صنع القرار في المؤسسات والآليات الوطنية والإقليمية والدولية لمنع نشوب النزاعات وإدارتها وحلها.	1
38. يوعز إلى اللجنة أن تحدد الحالات المحتملة لعدم الامتثال للتدابير عملا بالفقرة 1 أعلاه وأن تحدد مسار العمل المناسب بشأن كل حالة، ويطلب إلى الرئيس أن يقدم تقارير مرحلية عن عمل اللجنة بشأن هذه المسألة في تقارير دورية إلى المجلس عملا بالفقرة 46 أدناه؛	1
H. منع الاستغلال والانتهاك الجنسيين من جانب موظفي الأمم المتحدة والأفراد المرتبطين بها وشركاء الأمم المتحدة والتصدي لهما;	1
"في جلسة مجلس الأمن 6034، المعقودة في 9 كانون الأول/ديسمبر 2008، فيما يتصل بنظر المجلس في البند المعنون ""الأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية""، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:"	0
الأعمال المتعلقة بالألغام والمتفجرات من مخلفات الحرب	0
(ج) أن تحيل من اللجنة جميع المعلومات المتعلقة بالقرار المقدم إلى أمين المظالم عملا بالفقرة 14 أعلاه.	0
6. واستناداً إلى الاستعراض الشامل لجميع الأسماء المدرجة في القائمة الذي أُنجز في عام 2010، عملاً بالفقرة 25 من القرار 1822 (2008)، نفذت اللجنة منذ ذلك الحين آليات عديدة لضمان أن تعكس القائمة على أفضل وجه التهديد الذي يشكله تنظيم القاعدة ولضمان استعراض كل قيد من القيود بشكل دوري لتحديد ما إذا كان استمرار الإدراج في القائمة مناسباً.	1
يشكل الافتقار إلى القدرات الكافية تحدياً رئيسياً للعديد من الدول في مجال الرصد والإنفاذ الفعال لحظر توريد الأسلحة.	0
استحدثت ثلاث دول إجراءات تحظر تسليم الأفراد الذين قد يواجهون خطر التعذيب أو الاضطهاد.	1
ضمان التنسيق والتنفيذ الفعال لسياسة الأعمال المتعلقة بالألغام والمبادئ التوجيهية الجنسانية لبرامج الأعمال المتعلقة بالألغام. الفريق العامل المشترك بين الوكالات المعني بنزع السلاح والتسريح وإعادة الإدماج (برئاسة إدارة عمليات حفظ السلام وبرنامج الأمم المتحدة الإنمائي) الذي أنشأته اللجنة التنفيذية لبرنامج الأمم المتحدة الإنمائي لتحسين أداء المنظمة في مجال نزع السلاح والتسريح وإعادة الإدماج، ويقدم الفريق العامل المشترك بين الوكالات المشورة الاستراتيجية، بما في ذلك بشأن الاحتياجات التدريبية والسياسات والاستراتيجيات؛ ويتعهد ويستعرض مجموعة توجيهات الأمم المتحدة المطورة بشأن نزع السلاح والتسريح وإعادة الإدماج؛ ويطور ويدير مركز الأمم المتحدة لموارد نزع السلاح والتسريح وإعادة الإدماج؛ وييسر تخطيط عمليات نزع السلاح والتسريح وإعادة الإدماج بين وكالات الأمم المتحدة ذات الصلة.	1
وأشار إلى أن فشل مجلس النواب اللبناني في انتخاب رئيس جديد للجمهورية قوّض استقرار لبنان وصموده منذ بداية النزاع في الجمهورية العربية السورية.	1
وقد تأثرت النساء والأطفال، ولا سيما الفتيات، بالعنف والنزاعات الناشئة حديثاً والمرتبطة بانتشار الميليشيات والجماعات المسلحة، والتي ترتبط في بعض الحالات بالتطرف العنيف، في حين لا تزال العديد من النزاعات التي طال أمدها دون حل.	1
وقد تم اختيار عدد قليل جداً من الدول للمراجعة، وفي نهاية المطاف، وبعد الانتهاء من جميع الإجراءات المبينة في المبادئ التوجيهية للجنة، بما في ذلك الجهود المبذولة للحصول على معلومات من الدول الأخرى ذات الصلة، انتهى الاستعراض دون أي تغييرات في القائمة.	0
60. ويتطلب دعم استعادة الحد الأدنى من سلطة الدولة المستدامة وبسطها على المناطق المحررة من الجماعات المسلحة تعزيز التزام الحكومة بنشر إدارة الدولة، بما في ذلك الشرطة وموظفو القضاء والإصلاحيات وتزويدها بالموارد اللازمة.	1
"""ويحث مجلس الأمن الدول والمنظمات الدولية، وكذلك القطاع الخاص على تبادل الأدلة والمعلومات والاستخبارات، حسب الاقتضاء، لأغراض إنفاذ قوانين مكافحة القرصنة، بما في ذلك ضمان فعالية محاكمة القراصنة المشتبه فيهم وسجن المدانين منهم، ويشجع المبادرات الحالية والمستقبلية في هذا الصدد."	1
وفي قضية أخرى، نظرت المحكمة مرة أخرى في العناصر المختلفة للهجوم الموجه ضد السكان المدنيين كجزء من تعريف الجرائم ضد الإنسانية.	1
واستجابة لذلك، أنشأت إدارة العدل التابعة لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو فريق عمل مشترك مع ركيزة بناء المؤسسات لدراسة التقرير ووضع سبل تنفيذ توصياته.	1
"43. يكرر التأكيد على ضرورة تعزيز التعاون الجاري بين اللجنة ولجنة مكافحة الإرهاب واللجنة المنشأة عملا بالقرار 1540 (2004)، وكذلك أفرقة الخبراء التابعة لكل منها، بما في ذلك، حسب الاقتضاء، من خلال تعزيز تبادل المعلومات والتنسيق بشأن الزيارات إلى البلدان التي تدخل في نطاق ولاية كل منها، وبشأن تيسير المساعدة التقنية ورصدها, وبشأن العلاقات مع المنظمات والوكالات الدولية والإقليمية وبشأن المسائل الأخرى ذات الصلة باللجان الثلاث جميعها، ويعرب عن اعتزامه تقديم التوجيه إلى اللجان بشأن المجالات ذات الاهتمام المشترك من أجل تنسيق جهودها وتيسير هذا التعاون على نحو أفضل، ويطلب إلى الأمين العام أن يتخذ الترتيبات اللازمة لتجميع الأفرقة في أقرب وقت ممكن;"	1
(أ) مواصلة تعزيز تعاونها مع المنظمات الدولية والإقليمية ودون الإقليمية وتطوير سبل العمل مع تلك المنظمات على أساس كل حالة على حدة، بما يعكس التباين في قدرات كل منظمة وولايتها، بما في ذلك تبادل الآراء على مستوى العمل، وتقديم إحاطات إلى اللجنة ومنها، وتعزيز ترتيبات تبادل المعلومات	1
"""ويدين مجلس الأمن بشدة استهداف المقاتلين المتعمد للمدنيين في النزاعات المسلحة ويطالب جميع المعنيين بوضع حد لهذه الانتهاكات للقانون الإنساني الدولي وقانون حقوق الإنسان."	1
ويتعين على الدول أيضا منع من يمولون أو يخططون أو يسهلون أو يرتكبون الأعمال الإرهابية من استخدام أراضيها لهذه الأغراض ضد دول أخرى أو ضد مواطنيها (الفقرة 2 (د)).	1
(د) دعم الأعمال أو الأنشطة التي يقوم بها الأفراد والجماعات والمشاريع والكيانات الأخرى المرتبطة بحركة طالبان التي تشكل تهديدا للسلام والاستقرار والأمن في أفغانستان;	1
(أ) فريق رصد في نيويورك يصل عدد أعضائه إلى خمسة خبراء، بمن فيهم رئيس، لرصد تنفيذ جميع التدابير المفروضة بموجب القرارين 1267 (1999) و 1333 (2000)، بما في ذلك في مجالات حظر توريد الأسلحة ومكافحة الإرهاب والتشريعات ذات الصلة، وفي ضوء الصلة بين شراء الأسلحة وتمويل الإرهاب، وغسل الأموال، والمعاملات المالية والاتجار بالمخدرات؛	1
21. وتشمل أحدث الإضافات إلى القائمة الإرهابيين المرتبطين بتنظيم القاعدة والجماعات الإرهابية العاملة في وسط وجنوب وجنوب شرق آسيا والشرق الأوسط، بما في ذلك العراق.	0
اعتقل النظام حوالي 47 شخصاً يُعتقد أنه تم تجنيدهم قسراً للانضمام إلى قوات النظام.	1
بالإضافة إلى ذلك، تقوم فرق الموت والميليشيات المكونة من عناصر مستقلة ببث الرعب وتنفيذ عمليات الإعدام والاختطاف.	1
(ج) يهيب كذلك بجميع الأطراف المدرجة أسماؤها في مرفقات تقرير الأمين العام عن الأطفال والنزاع المسلح أن تتصدى لجميع الانتهاكات والاعتداءات الأخرى المرتكبة ضد الأطفال وأن تتعهد بالتزامات وتدابير محددة في هذا الصدد;	1
واتخذ المجلس في جلسته 4170 المعقودة في 13 تموز/يوليه القرار 1307 (2000)، الذي أذن فيه، في جملة أمور، بتمديد ولاية بعثة مراقبي الأمم المتحدة في بريفلاكا لمواصلة رصد تجريد شبه الجزيرة من السلاح حتى 15 كانون الثاني/يناير 2001.	1
ويجب أن يكون هدف مجلس الأمن الآن هو طمأنة المحاكم بأن نظام الجزاءات المنشأ عملا بقرار مجلس الأمن 1267 (1999) (نظام الجزاءات 1267) عادل، وأن يعيد تأكيد هدفه الأصلي المتمثل في تخليص العالم من خطر الإرهاب الذي يشكله تنظيم القاعدة وحركة طالبان وشركاؤهما المدرجون في القائمة بدعم متزايد من الدول الأعضاء.	1
في الواقع، وبصرف النظر عن بن لادن والزرقاوي والملا محمد عمر وغيرهم من الإرهابيين المعروفين، قد لا يعرف الجمهور سوى القليل نسبياً عن العديد من الأفراد المدرجين في القائمة.	0
وثمة مشكلة إضافية تتمثل في حقيقة أن الحكومة لم تكن تمتلك على ما يبدو موارد عسكرية كافية، حيث أن العديد من قواتها كانت لا تزال موجودة في الجنوب، بينما كانت القوات الموجودة في دارفور موجودة بشكل رئيسي في المراكز الحضرية الرئيسية.	1
43. بعد نشر مواصفات المنظمة الدولية لتوحيد المقاييس (ISO) المتاحة للعموم (PAS) 28007 بشأن المبادئ التوجيهية لشركات الأمن البحري الخاصة التي توفر أفراد أمن مسلحين متعاقدين من القطاع الخاص على متن السفن، يمكن الآن اعتماد شركة أمن بحري خاصة وفقا لهذا المعيار الصناعي الطوعي لتيسير التنفيذ الدولي الموحد.	0
8 أيار/مايو 2006 حادث عنف في غلينو تعرض فيه ضباط الشرطة الوطنية لتيمور الشرقية للهجوم.	1
"وأجرى فريق الوساطة مناقشات ثنائية مع الحكومة والتنسيقية المؤلفة من الحركة الوطنية لتحرير أزواد، والمجلس الأعلى لوحدة أزواد والحركة العربية الأزوادية, وانضم إليهم أفراد من تنسيقية الحركات والجبهات الوطنية للمقاومة الثانية وفصيل من ائتلاف شعب أزواد من جهة، ومع الحكومة والمنصة مجموعات مسلحة مؤلفة من الحركة الوطنية لتحرير أزواد والحركة العربية الأزوادية والفصيل الآخر من الحركة العربية الأزوادية، بالإضافة إلى أفراد من مجموعة الدفاع الذاتي لأزواد وحلفائها بدعوة من المنصة من جهة أخرى."	1
(ج) الأفراد المدرجة أسماؤهم في القائمة الذين أُبلغ عن وفاتهم، إلى جانب تقييم للمعلومات ذات الصلة المبينة في الفقرة 28 (ج) وبقدر الإمكان، حالة الأصول المجمدة وموقعها وأسماء أي أفراد أو كيانات يكونون في وضع يسمح لهم بتلقي أي أصول غير مجمدة;	0
(ح) وضع منهجيات لتحسين فعالية التعاون مع فرادى الدول والمنظمات دون الإقليمية والإقليمية والدولية والترتيبات المتعددة الأطراف التي تتعامل مع ضوابط التصدير والكيانات ذات الصلة داخل منظومة الأمم المتحدة، وتقييم مستوى التعاون بين اللجان المنشأة عملا بالقرارات 1540 (2004) و 1267 (1999) و 1373 (2001)، وتقييم مستوى تبادل المعلومات والتنسيق بشأن الزيارات إلى البلدان على وجه الخصوص، وتقديم توصيات محددة، عند الاقتضاء، لتعزيز التعاون.	1
31. ورحبت الدول والعديد من الجهات الفاعلة الدولية بانفتاح عملية الاستعراض الشامل وحثت لجنة القرار 1540 على مواصلة هذا النهج وزيادة جهودها المفيدة بالفعل من أجل تحقيق الشفافية والشمولية.	1
هاجموا وقتلوا 54 شخصًا، وأصابوا 24 آخرين بجراح وأحرقوا المنازل قبل أن ينسحبوا حاملين معهم الماشية والممتلكات المنزلية المنهوبة.	1
كما قررنا عقد مناقشتين مواضيعيتين حول منع نشوب النزاعات والأطفال في النزاعات المسلحة في 20 و26 تموز/يوليو على التوالي.	1
103. نقلت القوات الجوية لكوت ديفوار جميع أصولها الجوية الناجية والمتضررة إلى قاعدتها الجوية في مطار أبيدجان الدولي.	1
وفي لنيب (منطقة تمبكتو)، في سبتمبر/أيلول، حذرت الحركة العربية لأزواد (المنصة) في اجتماعات عامة مختلفة من أنها ستعاقب أفراد السكان المحليين الذين يقدمون معلومات إلى بعثة الأمم المتحدة المتكاملة المتعددة الأبعاد لتحقيق الاستقرار في مالي والقوات الفرنسية. وفي 23 سبتمبر/أيلول، عُثر على جثة رجل مقطوع الرأس في منطقة الزويرة، على بعد 80 كم شمال تمبكتو. وكان هذا الرجل أحد الرجال الخمسة الذين اختطفهم تنظيم القاعدة في بلاد المغرب الإسلامي في 16 أيلول/سبتمبر، واتهمهم التنظيم بالتعاون مع القوات الدولية، وقد اختفوا منذ ذلك الحين.	1
ومع الانتهاء من تجهيز المطالبات في يونيو 2005، فإن المهمة الرئيسية المتبقية للجنة هي دفع التعويضات لأصحاب المطالبات المقبولة.	0
121. أما الجنجويد الذين يشير إليهم معظم الضحايا في الصراع الحالي فهم ميليشيات عربية تداهم قرى هؤلاء الضحايا ممتطين الخيول أو الجمال ويقتلون وينهبون ويحرقون ويغتصبون.	1
وبالإضافة إلى ذلك، يطبق الاتحاد الأوروبي نظاماً فوق وطني يهدف إلى ضمان تجميد أموال الإرهابيين وأصولهم داخل جميع الدول الأعضاء فيه.	1
23. يطلب إلى فريق الدعم التحليلي ورصد الجزاءات أن يقدم إلى اللجنة المنشأة عملا بالقرارين 1267 (1999) و 1989 (2011) في غضون 180 يوما، بالتعاون الوثيق مع هيئات الأمم المتحدة الأخرى المعنية بمكافحة الإرهاب، تقريرا إلى اللجنة المنشأة عملا بالقرارين 1267 (1999) و 1989 (2011)، وأن يقدم إلى اللجنة في غضون 60 يوما تقريرا شفويا أوليا مستكملا عن التهديد الذي يشكله المقاتلون الإرهابيون الأجانب الذين يجندهم أو ينضمون إلى تنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة وجميع الجماعات والمؤسسات والكيانات المرتبطة بتنظيم القاعدة، بما في ذلك:	1
وفي وقت لاحق من عام 2006، اعتمدت الجمعية العامة بالإجماع استراتيجية الأمم المتحدة العالمية لمكافحة الإرهاب بالإجماع، والتي كان لها أهمية كبيرة في إعادة تأكيد الالتزام الجماعي للمجتمع الدولي بمكافحة التهديد المشترك للإرهاب.	1
محطات المياه o في 23 نوفمبر 2014، قام تنظيم داعش بتفجير سيارة مفخخة بالقرب من محطة تنقية المياه في قرية الميدان في الحسكة، مما ألحق أضرارًا جسيمة بالمحطة. محطات الطاقة	1
94. وعلى الرغم من التقدم المحرز مؤخرا، فإن القيود اللوجستية والسياسية والأمنية ستجعل التسريح وإعادة الإدماج المخطط له لـ 000 180 مقاتل سابق بحلول نهاية فترة اتفاق السلام الشامل أمرا بالغ الصعوبة.	1
وقد أعدت الحكومة وفريق الأمم المتحدة القطري، بمساهمات من البنك الدولي، كتيباً عن الأهداف، يحدد موقف تيمور - ليشتي الحالي ويبين الآثار المترتبة على السياسات لتحقيق الغايات والمؤشرات.	1
ومع ذلك، كان هناك مجندون في الشرطة، من أديس أبابا، ناهيك عن روما ولاهاي، سمعوا بالمحكمة الجنائية الدولية وكانوا قلقين بشأن مسؤوليتهم الجنائية أمامها.	0
(ج) قائمة بالأفراد المدرجة أسماؤهم في القائمة الذين أُبلغ عن وفاتهم والكيانات التي أُبلغ أو تأكد أنها لم تعد موجودة، إلى جانب الوثائق المطلوبة المبينة في الفقرة 23 (ج);	0
ومع ذلك، لا توجد في العديد من مناطق البلاد قدرات احتجاز أو محاكم عاملة، مما يضطر سلطات إنفاذ القانون إلى الإفراج عن الجناة الذين يُزعم أنهم خطرون أو يطلب من وحدات البعثة احتجاز المشتبه بهم لأسباب أمنية وحماية المدنيين.	1
قُتل ستة رجال ودفنوا في مقابر فردية.	1
تتولى الإدارة مسؤولية تنظيم وإدارة فيلق حماية كوسوفو، بالإضافة إلى تخطيط وتنسيق وتنفيذ الاستجابة لحالات الطوارئ في حالات الكوارث الطبيعية أو غيرها من الكوارث.	1
وفيما يلي هذه الاحتياطات المنصوص عليها في القانون الدولي العرفي: (أ) يجب على المحارب (أ) أن يبذل كل ما في وسعه للتحقق من أن الأهداف التي سيهاجمها ليست ذات طابع مدني؛ (ب) أن يتخذ جميع الاحتياطات الممكنة في اختيار وسائل وأساليب القتال بغية تجنب الإصابات العرضية للمدنيين أو الأعيان المدنية أو على الأقل التقليل منها إلى أدنى حد؛ (ج) أن يمتنع عن شن هجمات قد يتوقع أن تسبب خسائر عرضية في أرواح المدنيين أو إصابات للمدنيين أو الأعيان المدنية تكون مفرطة بالنسبة إلى الميزة العسكرية الملموسة والمباشرة المتوقعة; (د) إعطاء إنذار مسبق فعال بالهجمات التي قد تؤثر على السكان المدنيين، إلا في حالات الاعتداء (كما هو منصوص عليه في المادة 26 من لوائح لاهاي لعام 1907) أو كما هو منصوص عليه في المادة 57 (2) (ج)، إلا إذا كانت الظروف لا تسمح بذلك - أي عندما يعتبر المحارب أن الهجوم المباغت أمر لا غنى عنه.	1
وقد سنّت هذه الدول تشريعات لمكافحة الإرهاب وبذلت جهوداً لزيادة تعزيز التنسيق والتعاون الإقليمي، خاصة في السياق البحري.	1
ترتبط المخاوف الأمنية الرئيسية بالنشاط الإجرامي والاقتتال بين الفصائل.	1
يشدد على ضرورة محاسبة جميع المسؤولين عن انتهاكات وتجاوزات حقوق الإنسان، ويؤكد على ضرورة إجراء تحقيق شامل ومستقل ونزيه يتسق مع المعايير الدولية في الانتهاكات والتجاوزات المزعومة لحقوق الإنسان، لمنع الإفلات من العقاب وضمان المساءلة الكاملة;	1
وتتراوح المواقع ما بين تلك التي أنشئت للترويج لأفراد معينين، مثل شامل باساييف في الشيشان، أو جماعات، مثل جماعة عسكر الطيبة في باكستان، وتلك التي تهدف إلى تبرير الإرهاب المرتبط بتنظيم القاعدة بشكل عام، مثل صوت الجهاد، أو تقدم تدريبات إرهابية، مثل موقع البتار.	1
67. وإنني أجدد دعوتي إلى الإفراج الفوري وغير المشروط عن جميع البحارة الأبرياء المحتجزين كرهائن في الصومال حتى يتمكنوا من الالتحاق بأسرهم.	1
60. وثمة جانب آخر قد يكون مثيرا للقلق في حكم الاستثناءات لأسباب إنسانية وهو أنه نظرا لأنه لا يسمح للفرد أو الكيان الخاص بتقديم التماس إلى اللجنة مباشرة، فإن دولة إقامة الطرف المدرج في القائمة هي التي تحدد ما إذا كانت اللجنة ستتلقى التماسا بموجب القرار 1452 (2002).	0
"من جانبهم، اتهم قادة الحكومة ومؤيدوها الحركة الوطنية لكوت ديفوار وغيرها من ""حركات التمرد"" بالاستعانة بقوات أجنبية وارتكاب فظائع، لا سيما قتل العشرات من أفراد الدرك في بواكيه."	1
وقد تمكنت اللجنة من وضع سرد مفصل ودقيق لأحداث شهري أبريل/نيسان ومايو/أيار التي أسفرت عن خسائر كبيرة في الأرواح والإصابات وأضرار واسعة النطاق في الممتلكات.	1
206. وبعد دراسة الملف عن كثب، يمكن للجنة أن تسلط الضوء على النقاط التالية:	0
تم توفير التدريب لضباط من قوات الأمن الوطني (50 في أدريه و 42 في أبيشي).	1
رسالة مؤرخة 22 كانون الأول/ديسمبر 2009 موجهة إلى رئيس مجلس الأمن من رئيس لجنة مجلس الأمن المنشأة عملا بالقرار 1518 (2003)	0
وفي حين أن المبادرة جاءت استجابةً لنمو الاتجار بالمخدرات والجريمة المنظمة عبر الوطنية في غرب أفريقيا، ستعمل وحدات مكافحة الجريمة عبر الوطنية كمراكز دمج لإنفاذ القانون لدعم القدرات التحليلية والتقنية الوطنية والإقليمية على التصدي للتهديدات عبر الوطنية.	1
التدابير المحددة الهدف والمتدرجة كرد فعل على الاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة	1
بعد ثلاثة أيام، اشترى الجليلي 25 بندقية هجومية من طراز AK-47، ومدفعين مضادين للطائرات، و6 رشاشات من طراز PKM، و4 قاذفات RPG-2 وذخيرة.	1
وإدراكا منه لقيمة الإحاطات السنوية التي يقدمها رؤساء العناصر العسكرية، قال المجلس إنه يرحب أيضا بإحاطات مماثلة يقدمها رؤساء عناصر الشرطة من أجل تحسين فهمه للتحديات التشغيلية.	1
وعلاوة على ذلك، حافظت طالبان على قدرتها على استيراد الأسلحة والعتاد والقوة البشرية، ويكمن مفتاح النجاح العسكري في تحييد خطوط إمداداتها وحرمانها من المناطق الآمنة التي يمكن لمقاتليها أن يستجم فيها مقاتلوها بين العمليات وتدريب مجندين جدد.	1
