en_ar_GOOGLE	MatConf
520. لا ينبغي للمرء أن يستبعد احتمال أنه في بعض الحالات، قد يكون لدى الأفراد، بما في ذلك المسؤولون الحكوميون، نية الإبادة الجماعية، أو بعبارة أخرى، مهاجمة الضحايا بنية محددة تتمثل في إبادة مجموعة يُنظر إليها على أنها معادية جزئيًا. مجموعة عرقية.	1
على سبيل المثال، وجدت اللجنة أنه في مناسبات عديدة، تم استخدام مصطلح الجنجويد من قبل الضحايا وأفراد السلطات لوصف رجال معينين ذكروا أسمائهم كقادة للهجمات على القرى التي قُتل فيها مدنيون وارتكبت عمليات اغتصاب.	1
يجب أن يكون هدف مجلس الأمن الآن هو طمأنة المحاكم بأن نظام الجزاءات المنشأ عملا بقرار مجلس الأمن 1267 (1999) (نظام الجزاءات 1267) عادل، وأن يعيد، بدعم متزايد من الدول الأعضاء، تأكيد هدفه الأصلي المتمثل في تخليص العالم من التهديد الإرهابي المتمثل في تنظيم القاعدة وحركة طالبان والمرتبطين بهما.	0
على سبيل المثال، تقوم وحدة عسكرية، تعمل بموجب أوامر عليا، باحتجاز عدد من المدنيين الأعداء، وهو ما يتعارض مع القانون الدولي. يقوم أحد الجنود، في خضم العمل العسكري، بقتل أو تعذيب أحد هؤلاء المدنيين.	1
3 - واعتبر المشاركون أن هذه الأحداث، بسبب خطورتها، تؤكد ضرورة وإلحاح تسريع الأعمال التحضيرية للحوار الشامل بين الماليين، بطريقة ترسي الأساس لمصالحة حقيقية بين الماليين وإحلال السلام والأمن الدائمين. والاستقرار في البلاد.	0
(ب) منع دخول هؤلاء الأفراد إلى أراضيها أو المرور عبرها، بشرط ألا يكون في هذه الفقرة ما يجبر أي دولة على رفض دخول مواطنيها أو مطالبتهم بمغادرة أراضيها، ولا تنطبق هذه الفقرة في حالة الدخول أو العبور كان ضروريًا لتنفيذ عملية قضائية أو قررت اللجنة، على أساس كل حالة على حدة، أن الدخول أو العبور فقط هو المبرر؛	1
(م) دراسة الطبيعة المتغيرة للتهديد الذي يشكله تنظيم القاعدة وحركة الطالبان وأفضل التدابير لمواجهته وتقديم تقرير إلى اللجنة بشأنه، بما في ذلك عن طريق إقامة حوار مع العلماء والهيئات الأكاديمية ذات الصلة، بالتشاور مع اللجنة؛	0
عدم قبول طلب حكومة الكويت بشأن المطالبة بالملكية العقارية فيما يتعلق بالمحتجز المتوفى على أساس أن هذه المسألة تشكل في الواقع طلباً لتأخير تقديم الجزء المتعلق بالملكية العقارية من المطالبة خارج فترة التقديم للقبول ويطلب من الأمانة إبلاغ حكومة الكويت بذلك.	0
ومن وجهة نظره، &quot;القرية عبارة عن منطقة صغيرة، ليس من السهل تقسيمها إلى أجزاء، وبالتالي تصبح القرية بأكملها هدفا عسكريا&quot;.	1
ومع ذلك، لا يزال الوضع مثيرا للقلق نظرا للحدود الطويلة التي تفصل بين بلدينا، والتي يصعب ممارسة السيطرة عليها.	0
يهيب بأطراف النزاع المسلح أن تتعهد وتنفذ التزامات محددة ومحددة زمنيا لمكافحة العنف الجنسي، والتي ينبغي أن تشمل، في جملة أمور، إصدار أوامر واضحة من خلال التسلسل القيادي تحظر العنف الجنسي وتحظر العنف الجنسي في مدونات قواعد السلوك، الأدلة الميدانية العسكرية، أو ما يعادلها؛ ويدعو كذلك تلك الأطراف إلى تقديم وتنفيذ التزامات محددة بشأن التحقيق في الانتهاكات المزعومة في الوقت المناسب من أجل محاسبة الجناة؛	0
563) جمعت اللجنة معلومات موثوقة تتيح لها التعرف على ثمانية من كبار مسؤولي الحكومة المركزية والقادة العسكريين وستة مسؤولين حكوميين محليين أو أفراد من القوات المسلحة العاملة في دارفور يمكن الاشتباه في أنهم مسؤولون عن الفشل المتعمد في منع أو قمع الانتهاكات. ارتكاب الجرائم، أي المسؤولية العليا.	1
45 - تؤكد اللجنة من جديد مسؤوليتها عن إدراج تنفيذ قرار المجلس 1624 (2005) في حوارها مع الدول الأعضاء والمساعدة في بناء القدرات في هذا الصدد، بما في ذلك من خلال نشر أفضل الممارسات القانونية وتعزيز تبادل المعلومات.	0
وعلى الرغم من أن الخلايا المحلية معروفة بتورطها في أنشطة إجرامية صغيرة، مثل الاحتيال على بطاقات الائتمان أو بيع المخدرات، وتشير تقارير مكتب الأمم المتحدة المعني بالمخدرات والجريمة إلى أن الجماعات المتواجدة على جانبي الحدود بين أفغانستان وباكستان، فإن جمهورية إيران الإسلامية تقوم إيران وأوزبكستان بتحصيل رسوم العبور من ناقلي المخدرات، مما يفيد حركة طالبان، إلا أنه لا يوجد حتى الآن سوى القليل من الأدلة الثابتة على تورط الإرهابيين على نطاق واسع في تهريب المخدرات أو غيرها من الجرائم المنظمة.	1
وعلى هذا الأساس، كان العدد الأكبر من الضحايا من أبوبو: 63 في المائة من الوفيات، و35 في المائة من الجرحى أو المعذبين، و40 في المائة من المختفين. وكان ثاني أكبر عدد من الضحايا من أنياما، بنسبة 10 في المائة من الوفيات؛ وتشكل كوماسي 13 في المائة من الجرحى أو المعذبين، و35 في المائة من المختفين من أنياما.	1
منذ أن تم شراؤها لأول مرة في أوائل يناير 2005 حتى وقت الانفجار، لم تكن الخطوط تحتوي إلا على مكالمات لبعضها البعض.	1
يهيب بجميع أطراف النزاع المسلح في [البلد المتأثر]، بما في ذلك عناصر [جماعة مسلحة محددة]، أن تصدر أوامر واضحة ضد العنف الجنسي، ويهيب كذلك بتلك الأطراف أن تتعهد وتنفذ التزامات محددة بشأن التحقيق في الوقت المناسب في الانتهاكات المزعومة من أجل ومحاسبة الجناة، بما يتماشى مع قراره 1960 (2010)، وتيسير الوصول الفوري لضحايا العنف الجنسي إلى الخدمات المتاحة؛	0
32 - وترحب اللجنة أيضا بالمقترحات المعدة بالتعاون مع خبراء من الهيئات الفرعية الأخرى التابعة لمجلس الأمن ذات الصلة بمكافحة الإرهاب بشأن كيفية تبسيط تقديم التقارير وفقا للوثيقة الختامية لمؤتمر القمة العالمي لعام 2005 (انظر قرار الجمعية العامة 60/1).	0
32 - وتشجع اللجنة المديرية التنفيذية على تكثيف حوارها مع الدول الأعضاء والمنظمات الإقليمية، بما في ذلك أثناء زيارات اللجنة، بشأن وضع استراتيجيات شاملة ومتكاملة لمكافحة الإرهاب، وتحسين وضبط الهياكل القائمة وآليات التنفيذ من أجل تعزيزها. قدرات الدول والمنظمات على صياغة الاستراتيجيات، والاستفادة الكاملة من الزيارات القطرية لتقديم المشورة للحكومات بشأن تطوير هذه الاستراتيجيات ومواصلة العمل بشكل وثيق داخل المكتب والأفرقة العاملة التابعة لفرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب.	0
وبالإضافة إلى الأشخاص الـ 12 المسجلين في القائمة على أنهم موتى، فإن الفريق على علم بوفاة 7 أشخاص آخرين أبلغت دولة إقامتهم أو جنسيتهم إما إلى اللجنة أو الفريق أو الإنتربول، بالإضافة إلى 13 آخرين تم الإبلاغ عن وفاتهم تم الإبلاغ عنها في مصادر مفتوحة ولكن لم يتم إخطار اللجنة أو الفريق رسميًا بعد.	1
ولا ينبغي لهذا المجلس أن يسمح بمكافأة تلك الاستراتيجية من خلال معالجة الرد على الإرهاب بدلا من الإرهاب نفسه. ويجب رفضه وليس استرضاؤه.	0
42 - وكثفت عملية الأمم المتحدة في كوت ديفوار جهودها الرامية إلى توعية الجمهور الإيفواري بولاية البعثة وأهدافها في محاولة للتصدي لآثار الحملة الحالية لتشويه سمعة عملية الأمم المتحدة في كوت ديفوار.	0
ومع ذلك، ظلت التوترات الطائفية مرتفعة في بعض المناطق، مما أدى إلى تأجيج العديد من الهجمات.	1
علاوة على ذلك، تشير التقارير المتسقة إلى أن الأشخاص تم احتجازهم لفترة تتجاوز الحد الزمني القانوني.	1
(ب) حرية الوصول إلى جميع الأماكن والمؤسسات ذات الصلة بعمل اللجنة؛	0
يؤكد من جديد إدانته لجميع أعمال التحريض على العنف ضد المدنيين في حالات النزاع المسلح، ويؤكد من جديد كذلك ضرورة تقديم الأفراد الذين يحرضون على هذا العنف أو يتسببون فيه بطريقة أخرى إلى العدالة، ويشير إلى استعداده، عند الإذن بالبعثات، للنظر، عند الاقتضاء، في اتخاذ خطوات الرد على البرامج الإعلامية التي تحرض على الإبادة الجماعية والجرائم ضد الإنسانية والانتهاكات الجسيمة للقانون الإنساني الدولي.	0
(ب) لم يكن هناك تنسيق بين جميع الأجهزة الأمنية المتواجدة في مسرح الجريمة.	1
أما اشتراط أن يكون الهجوم &quot;منهجيا&quot; فيتطلب طبيعة منظمة للأفعال وعدم احتمال حدوثها عشوائيا.	1
ويوصي فريق الرصد اللجنة بوضع الحد الأدنى من معايير تحديد الإدخالات وتيسير إجراءاتها لإزالة الإدخالات عندما تكون هناك أدلة كافية لاعتبارها ميتة أو منتهية الصلاحية.	0
ومن أجل مواصلة هذه المعركة، من الضروري أن يقدم المجتمع الدولي مساهمة أكثر جدية، وأن يولي اهتماما أكبر لهذا الجانب الهام من مكافحة الإرهاب.	0
وعندما يتم القبض عليهم أو إعادتهم قسراً إلى وطنهم، يقوم المسؤولون من جمهورية كوريا الشعبية الديمقراطية بإخضاعهم بشكل منهجي للاضطهاد والتعذيب والاحتجاز التعسفي المطول، وفي بعض الحالات، للعنف الجنسي، بما في ذلك أثناء عمليات التفتيش الجسدي التوغلية.	1
ومع ذلك، سيستمر الإرهاب في الحصول على مؤيدين، خاصة عندما فشلت الاحتجاجات السياسية العلنية، وعلى الرغم من أن تنظيم القاعدة لن يتمتع أبدًا بجاذبية واسعة النطاق، فإن الهجمات ستستمر.	1
وقد دعم تهريب الفحم عبر الحدود حركة الشباب، مما عزز غاراتها على كينيا.	1
وفي عمان، في 9 تشرين الثاني/نوفمبر 2005، هاجم انتحاريون ثلاثة فنادق، مما أسفر عن مقتل 60 شخصًا وإصابة ما لا يقل عن 115 آخرين.	1
30 - ونظرا لتعليق التمويل المتعدد الأطراف، تعتمد حكومة كوت ديفوار على محصول الكاكاو للحفاظ على ملاءتها المالية والنجاح في دفع مرتبات موظفي الخدمة المدنية، بما في ذلك العسكريون. ويؤدي الكاكاو دورا هاما في توفير الأموال لجهود المشتريات العسكرية التي تبذلها الحكومة من خارج الميزانية ومن خارج الميزانية، وعلى الرغم من انخفاض حجم الإيرادات من الكاكاو، فإن النسبة المئوية المأخوذة مما هو متاح لا تزال مرتفعة.	1
خلال الفترة قيد الاستعراض، اكتشفت البعثة ووضع علامات على 260 لغماً وقطعة من الذخائر غير المنفجرة، ورصدت تدمير 3693 لغماً وقطعة من الذخائر غير المنفجرة.	1
22 - ولم ترد تقارير عن عمليات قتل عمد للأطفال على يد القوات المسلحة أو الجماعات المسلحة.	0
إن ميزانيتي المقترحة لبعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية لفترة الاثني عشر شهرا الكاملة الممتدة من 1 تموز/يوليه 2005 إلى 30 حزيران/يونيه 2006، بما في ذلك الاحتياجات اللازمة لدعم الانتخابات وأفراد الشرطة المدنية الإضافيين الذين أذن بهم المجلس في قراره 1621 (2005)، هي قيد الإعداد حاليا. وسيتم تقديمه إلى الجمعية العامة لمراجعته واتخاذ إجراء بشأنه قريبا.	0
ويشدد بشكل خاص على الحاجة الملحة لتوفير حماية بدنية أفضل للسكان النازحين وكذلك للفئات الضعيفة الأخرى، ولا سيما النساء والأطفال. وينبغي تركيز الجهود على المناطق التي تكون فيها هذه المجموعات السكانية والمجموعات أكثر عرضة للخطر.	1
ويؤثر هذا على قدرة البعثة على إعادة نشر الأفراد النظاميين بسرعة لحماية المدنيين المعرضين للتهديد في الغرب، إذا تطلب الوضع ذلك، فضلا عن دعم الأنشطة الأوسع نطاقا للفريق القطري.	0
وسيكون هناك خطر يتمثل في تركيز الاهتمام على الوضع على حساب المعايير.	0
ومع ذلك، سيظلون بحاجة إلى الحماية. ورغم أن استعداد القوة الأمنية الدولية في كوسوفو لمواصلة حمايتها للمواقع الدينية أمر ضروري، إلا أنه لا يمكن بناء الحل الدائم على القوات العسكرية.	1
ولا يزال الرفع التدريجي للخط الأخضر يعتمد على تقييم شامل للتهديدات؛ المشاورات مع مركز القيادة المتكاملة؛ وتحسن الوضع الأمني العام، ولا سيما الاحتمال المنخفض المقدر لحدوث مواجهة عسكرية بين المتحاربين السابقين.	0
3. تعقيدات منع الصراعات وحلها	1
89- هناك حالات اختفاء لدى جميع أطراف النزاع ولكن أعدادها غير معروفة.	1
ودعا أيضا حكومة السودان والجماعات المتمردة إلى العمل معا من أجل التوصل إلى حل سياسي في المفاوضات التي عقدت في أبوجا بقيادة الاتحاد الأفريقي والرئيس أولوسيغون أوباسانجو، رئيس نيجيريا؛ طلب من الأمين العام أن ينشئ على وجه السرعة لجنة تحقيق دولية من أجل التحقيق الفوري في التقارير المتعلقة بانتهاكات القانون الإنساني وحقوق الإنسان في دارفور من قبل جميع الأطراف، وكذلك لتحديد ما إذا كانت أعمال الإبادة الجماعية قد حدثت أم لا؛ وأعلن أنه في حالة فشل السودان في الامتثال الكامل للقرارين 1556 (2004) و 1564 (2004) (بما في ذلك ما قرره المجلس بعد التشاور مع الاتحاد الأفريقي، فإن عدم التعاون الكامل مع التوسيع والتمديد) (بعثة المراقبة التابعة للاتحاد الأفريقي) النظر في اتخاذ تدابير إضافية على النحو المنصوص عليه في المادة 41 من ميثاق الأمم المتحدة.	0
&quot;ويشجع مجلس الأمن الدول الأعضاء على إنشاء نظام جنائي وطني فعال وقائم على سيادة القانون والحفاظ عليه، مع وضع أحكام للتعاون الجنائي القضائي فيما يتعلق بتسليم المجرمين والمساعدة القانونية المتبادلة، ولا سيما التعجيل بتسليم المطلوبين والمساعدة القانونية المتبادلة وتبسيطه وإيلاء الأولوية له الطلبات في القضايا المتعلقة بالإرهاب وتنفيذ أفضل الممارسات الدولية والإقليمية في مجال تسليم المجرمين والمساعدة القانونية المتبادلة، بما يتوافق مع القانون الدولي، ولا سيما القانون الدولي لحقوق الإنسان والقانون الدولي للاجئين والقانون الإنساني الدولي.	0
ويأتي هذا النهج في أعقاب الالتزام الذي قطعه وزراء منظمة التعاون الاقتصادي لآسيا والمحيط الهادئ (APEC) في نوفمبر/تشرين الثاني 2005 بإجراء تقييم لمدى تعرض المطارات للهجوم من قبل أنظمة الدفاع الجوي المحمولة قبل نهاية عام 2006.	0
وينبغي للدول اتخاذ التدابير القانونية اللازمة مثل مصادرة الأموال عندما يكون هناك اشتباه في غسل الأموال أو تمويل الإرهاب.	1
وذلك على الرغم من الإدانة المتكررة لتلك الأعمال اللاإنسانية بموجب قرارات المجلس 1820 (2008)، و 1888 (2009)، و 1960 (2010)، التي أصبحت منارة الأمل للملايين من النساء والفتيات الضحايا في جميع أنحاء العالم.	0
فبعض الدول، على سبيل المثال، قامت بتمديد الفترات المسموح بها للاحتجاز على ذمة التحقيق أو الحبس الاحتياطي أو فرضت قيودا على إمكانية الاستعانة بمحام.	1
ونحن نعتبر أي انحراف عن هذا المبدأ غير مقبول خشية أن يتحول الوضع الهش في المحافظة إلى حالة من عدم الاستقرار على نطاق واسع.	0
وقد تم تكثيف جهود إنفاذ القانون لمكافحة الجريمة العابرة للحدود الوطنية ويمكن تكييفها لمكافحة الإرهاب حسب الاقتضاء.	0
إذا حاول السكان مغادرة الغوطة الشرقية المحاصرة، فإن قناصة النظام السوري يستهدفونهم مباشرة، مما يؤدي كل شهر إلى مقتل العشرات من المدنيين.	1
تكليف بعثات الأمم المتحدة لحفظ السلام وغيرها من البعثات ذات الصلة التي يأذن بها مجلس الأمن، بالعمل، بالتعاون مع الدول المعنية، على إنشاء ترتيبات فعالة للتحقيق في انتهاكات القانون الإنساني الدولي أو غيرها من الانتهاكات الخطيرة لقانون حقوق الإنسان ومحاكمة مرتكبيها.	0
59 - تنفذ بعض دول هذه المنطقة استراتيجية الاتحاد الأوروبي لمكافحة التطرف والتجنيد للإرهاب لعام 2005، التي تهدف إلى &quot;تعطيل أنشطة الشبكات والأفراد الذين يجرون الناس إلى الإرهاب؛ وضمان تغليب أصوات الرأي العام على أصوات التطرف&quot;. [و] تعزيز الأمن والعدالة والديمقراطية وإتاحة الفرص للجميع بقوة أكبر&quot;.	0
وإذ يساوره بالغ القلق، في هذا الصدد، إزاء الأمثلة الأخيرة لجماعات إرهابية، بما في ذلك تلك المستفيدة من الجريمة المنظمة عبر الوطنية، التي تهاجم موظفي الأمم المتحدة،	1
94 - وعلى الرغم من التقدم المحرز مؤخرا، فإن القيود اللوجستية والسياسية والأمنية ستجعل عملية التسريح وإعادة الإدماج المقررة لـ 000 180 من المقاتلين السابقين بحلول نهاية فترة اتفاق السلام الشامل صعبة للغاية.	1
يشرفني أن أحيل طيه تقرير لجنة مجلس الأمن المنشأة عملا بالقرار 1267 (1999) بشأن تنظيم القاعدة وحركة الطالبان وما يرتبط بهما من أفراد وكيانات، والذي يتضمن موقف اللجنة من التوصيات الواردة في التقرير السادس للأمم المتحدة. فريق الدعم التحليلي ورصد الجزاءات (S/2007/132، الضميمة) (انظر المرفق).	0
وإذ يدرك أن تعزيز المؤسسات الوطنية لحقوق الإنسان واحترام حقوق الإنسان، والإجراءات القانونية الواجبة، ومكافحة الإجرام والعنف الجنسي والجنساني، ووضع حد للإفلات من العقاب، أمور ضرورية لضمان سيادة القانون والأمن في [البلد المتضرر]،	0
ومن بين القتلى: 4 مدرسين، 1 طبيب، 1 ممرض، 3 طلاب جامعيين، 1 مهندس، 1 رياضي، 1 محامي، 1 ناشط إعلامي، 1 سيدة و2 فردين من نفس العائلة.	1
ومع ذلك، فإن المعلومات المتاحة لا تقدم صورة واضحة عن تنفيذ تدابير أمن الطيران أو النقل البحري أو أمن البضائع أو مراقبة الحدود أو برامج الإنفاذ المعمول بها لضمان عدم وقوع الأسلحة الصغيرة في أيدي أفراد غير مرخص لهم.	0
علاوة على ذلك، أبلغ المدافعون عن حقوق الإنسان عن حالات السرقة والعنف والنهب التي ارتكبتها قوات الأمن والسكان المدنيين ضد سكان هذه الأحياء.	1
وفي وادي الحجام سرقوا أسلحة من الشرطة.	1
ولم تضع جميع الدول مبدأ التسليم أو المحاكمة في القانون المحلي وفقا لأحكام الصكوك الدولية لمكافحة الإرهاب.	0
وبذلك تكون الحكومة في المرحلة النهائية من إصدار مبادئ توجيهية عسكرية لمنع الاستخدام العسكري للمدارس، كما أنها بصدد إعداد استراتيجية شاملة لقواتها المسلحة بشأن الأطفال والصراع المسلح.	1
(ب) معالجة أوجه القصور في تجريم تمويل الإرهاب وتجميد أصول الإرهابيين، وتعزيز رصد القطاع غير الربحي ونظم التحويلات البديلة؛	0
9- وحث مجلس حقوق الإنسان، في قراره 22/13، حكومة جمهورية كوريا الشعبية الديمقراطية على التعاون الكامل مع التحقيق الذي تجريه اللجنة، والسماح لأعضاء اللجنة بالوصول دون قيود لزيارة البلد، وتزويدهم بجميع المعلومات اللازمة. لتمكينهم من أداء ولايتهم.	0
وما يميز هذه الفئة من الجرائم عن جرائم الحرب أنها لا تعنى بانتهاكات معزولة أو متفرقة، بل بالانتهاكات التي (أ) قد تحدث إما في وقت السلم أو في وقت النزاع المسلح، (ب) تشكل جزءاً من ممارسة واسعة النطاق أو منهجية للفظائع (أو الهجمات) المرتكبة ضد السكان المدنيين.	1
وما زالت ترد تقارير من مختلف منظمات حقوق الإنسان عن انتهاكات خطيرة لحقوق الإنسان وانتهاكات للقانون الإنساني الدولي، بما في ذلك الاعتقالات التعسفية والقتل والاتجار بالأطفال والاغتصاب في جميع أنحاء البلاد في كل من المناطق التي تسيطر عليها القوات الجديدة والمناطق التي تسيطر عليها الحكومة.	1
يمكن أن يؤدي استخدام المكونات العسكرية للوظائف الحيوية إلى زيادة موثوقية الأنظمة بأكملها، على سبيل المثال، استخدام المتفجرات والصواعق العسكرية في الأجهزة المتفجرة المرتجلة.	1
وستبدأ البعثة المتكاملة في تنقيح مفهوم مهمتها في أوائل عام 2015، وهو ما سيوجه عملية استعراض مفاهيم العناصر العسكرية وعناصر الشرطة والدعم التكميلية التي توضح بالتفصيل وتدعم تنفيذ مفهوم البعثة.	0
تكليف بعثات الأمم المتحدة لحفظ السلام والبعثات الأخرى ذات الصلة التي يأذن بها مجلس الأمن، حيثما كان ذلك مناسبا وعلى أساس كل حالة على حدة، بالمساهمة بشكل محايد في حماية السكان المدنيين، بما في ذلك أولئك المعرضون لخطر وشيك بالعنف الجسدي، داخل مناطقهم. عملية.	1
وأصيب اثنان منهم، لكنهما تمكنا من البقاء على قيد الحياة بفضل المساعدة التي قدمها الصليب الأحمر.	1
إن تركيا تدرك تماما نوايا الحكومة السورية التي تم تنفيذها عبر مختلف وسائل العدوان والاستفزاز، مثل استهداف المدنيين الأبرياء عبر الحدود.	1
17 - يطالب جميع الأطراف في عمليتي غوما ونيروبي باحترام وقف إطلاق النار وتنفيذ التزاماتها بفعالية وبحسن نية، ويدعو جميع الجماعات المسلحة إلى إلقاء أسلحتها فورا وتسليم نفسها دون مزيد من التأخير أو شروط مسبقة إلى السلطات الكونغولية والحكومة الكونغولية. بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية من أجل نزع سلاحهم وإعادتهم إلى الوطن وإعادة توطينهم و/أو إعادة إدماجهم، حسب الاقتضاء؛	0
57 - وينبغي للبعثة أن تواصل إعطاء الأولوية لرصد انتهاكات القانون الإنساني الدولي والقانون الدولي لحقوق الإنسان والإبلاغ عنها، ولا سيما عمليات القتل والعنف الجنسي والانتهاكات الجسيمة ضد الأطفال، مع دعم الحكومة في الوقت نفسه في جهودها الرامية إلى معالجة إرث الانتهاكات الجسيمة من خلال آليات العدالة الانتقالية. وتعزيز الجهود لمكافحة الإفلات من العقاب.	0
وسيواصل العنصر العسكري لعملية الأمم المتحدة في كوت ديفوار تنفيذ مفهومه الجديد للعمليات، والعمل مع قوة ليكورن لمساعدة الأطراف في تنفيذ مقترحات الميسر بشأن إعادة إدماج أفراد القوات الجديدة في الشرطة الوطنية والجيش، وإعداد خطط الطوارئ للتدخلات المحتملة لتحقيق الاستقرار لمنع أعمال العنف التي تهدف إلى تعطيل عملية السلام.	1
ويعرب مجلس الأمن عن تعازيه لأسر حفظة السلام الذين قتلوا أثناء القتال أثناء حماية شعب شرق جمهورية الكونغو الديمقراطية.	1
6) اتفاقية قمع الاستيلاء غير المشروع على الطائرات، الموقعة في لاهاي في 16 ديسمبر/كانون الأول 1970؛ تم التصديق عليها في 6 أبريل 1972؛ دخل حيز التنفيذ في جمهورية تشيكوسلوفاكيا الاشتراكية في 6 مايو 1972.	1
4 - تهيب بجميع الدول التي ليست أطرافا في معاهدة عدم انتشار الأسلحة النووية أن تنضم إلى المعاهدة باعتبارها دولا غير حائزة للأسلحة النووية لتحقيق عالميتها في وقت مبكر، وريثما تنضم إلى المعاهدة، أن تتقيد بأحكامها؛	0
67. وأجدد دعوتي إلى الإفراج الفوري وغير المشروط عن جميع البحارة الأبرياء المحتجزين كرهائن في الصومال حتى يتمكنوا من الانضمام إلى أسرهم.	0
وبدأ المشاركون في المنتدى عملية تحديد عناصر الاستراتيجية الوطنية بشأن مشاركة المرأة في حل النزاعات.	0
268 - ومن الواضح من النتائج التي توصلت إليها اللجنة أن المتمردين مسؤولون عن الهجمات على المدنيين، والتي تشكل جرائم حرب.	1
&quot;ويدرك مجلس الأمن النقص المستمر في تمثيل المرأة في عمليات السلام الرسمية، ويشعر بقلق بالغ إزاء العقبات والتحديات المستمرة الناجمة عن حالات مثل العنف ضد المرأة، والاقتصادات والهياكل الاجتماعية المحطمة، وانعدام سيادة القانون، والفقر، ومحدودية فرص الحصول على التعليم والموارد الأخرى، ومختلف أشكال التمييز والقوالب النمطية.	1
96 - وأبلغ العميد رواك اللجنة بأنه على علم بعدم وجود قانون محدد يسمح بتسليح &quot;جنود الاحتياط&quot;. وذكر أنه مفوض بذلك من قبل وزير الدفاع بعد أن قدم الاقتراح.	1
علاوة على ذلك، وبموجب العهد الدولي الخاص بالحقوق المدنية والسياسية، حتى في حالة الطوارئ العامة، لا يجوز الانتقاص من حظر استخدام التعذيب.	1
وحثت المرشد الأعلى على منع وقمع الجرائم ضد الإنسانية، وضمان محاكمة مرتكبيها وتقديمهم إلى العدالة.	0
71 - وفي جهود التعقب التي تبذلها، ينبغي دعوة الدول الأعضاء إلى أن تستخدم، حسب الاقتضاء، نظام الإنتربول العالمي للاتصالات الشرطية &quot;I-24/7&quot; ونظام الإنتربول الإلكتروني لتعقب الأسلحة.	0
وفي حالة تعريض الجمهور للخطر (المادة 179 من القانون الجنائي)، يعد التحضير لمثل هذه الأفعال جريمة أيضًا (على سبيل المثال، الحصول على مكونات وتصنيع جهاز متفجر بغرض شن هجوم بموجب الفقرة 1 من المادة 2 من الاتفاقية). )، حتى ولو لم يكن الجاني قد حاول بالفعل ارتكاب الفعل.	1
وأحث جميع الزعماء الصوماليين على اتخاذ الخطوات اللازمة نحو تسوية خلافاتهم.	0
وتعكف عملية الأمم المتحدة أيضا على تعيين موظفين لوحدتها المعنية بسلوك الأفراد.	0
