en_ar_TRANSFORMERS	VerCoop
وكما ذكرت دائرة الاستئناف التابعة للمحكمة الدولية ليوغوسلافيا السابقة بحق في قضية كريستيتش (الاستئناف)، "إن الإبادة الجماعية هي واحدة من أسوأ الجرائم المعروفة للبشرية، ويتجلى خطورتها في المتطلبات الصارمة لنية محددة.	1
دعوة الدول والمنظمات الإقليمية ودون الإقليمية إلى تقديم المساعدة التقنية للشرطة المحلية والقضاء والسجون (مثل التوجيه وصياغة التشريعات).	0
ولهذا الغرض، استُخدمت كمية لا تقل عن 000 1 كيلوغرام من المتفجرات العسكرية.	0
وتقر اللجنة بأن عدم تقديم التقارير قد يكون علامة على وجود ”إرهاق إبلاغ“ عام ناجم عن عدد التقارير التي تعين على الدول الأعضاء تقديمها إلى اللجنة، ولجنة مكافحة الإرهاب، واللجنة المنشأة عملا بالقرار 1540 (2004) وغيرها من هيئات الأمم المتحدة.	0
ويعمل الفريق بالفعل على إقامة اتصالات مع المكاتب الإقليمية التابعة لمكتب شؤون نزع السلاح لتحسين تبادل المعلومات (ولا سيما بشأن إدارة مخزونات الذخائر، التي ثبت أنها مشكلة في الحالة الليبية).	0
15 - ظلت الحالة الأمنية في إيتوري متوترة طوال الفترة المشمولة بالتقرير، حيث واصلت بقايا الميليشيات ارتكاب انتهاكات لحقوق الإنسان ضد السكان المحليين في المناطق التي لا توجد فيها بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية أو القوات المسلحة لجمهورية الكونغو الديمقراطية.	0
وعلى الرغم من الضوابط القانونية والتشغيلية الصارمة، فإن الحرفيين والأعمال التجارية الأسرية التي تصنع الأسلحة الصغيرة والأسلحة الخفيفة ما زالت مستمرة في جميع أنحاء المنطقة.	0
وعلى الرغم من كل ما ذكر أعلاه، ما زلنا نعتقد أنه لا يوجد حل عسكري - بل على العكس من ذلك، نحن واثقون من أنه يأتي بنتائج عكسية.	0
وأشجع مكتب الأمم المتحدة لغرب أفريقيا ومكتب الأمم المتحدة الإقليمي في وسط أفريقيا والجماعة الاقتصادية لدول غرب أفريقيا والجماعة الاقتصادية لدول وسط أفريقيا ولجنة حوض بحيرة تشاد على مواصلة تعزيز التعاون من أجل التصدي للتهديدات الأمنية العابرة للحدود.	1
وكرر أعضاء المجلس تأكيد دعمهم للجهود التي يبذلها المبعوث الخاص لإشراك الطرفين بهدف التغلب على حالة الجمود الراهنة في عملية السلام، ودعوا كلا الطرفين إلى استكشاف سبل دفع عملية ترسيم الحدود إلى الأمام.	1
ويشجع مجلس الأمن، في هذا الصدد، جميع دول المنطقة على التوقيع على مدونة قواعد السلوك وتنفيذها في أقرب وقت ممكن، ويدعوها إلى اتخاذ مزيد من التدابير الفعالة على الصعيد الوطني لمكافحة القرصنة والسطو المسلح في البحر في خليج غينيا.	1
260 - ويتطلب منع تنقل الإرهابيين عبر الحدود أيضا استخدام التكنولوجيا والمعدات، مثل أجهزة القراء والماسحات الضوئية، عند نقاط التفتيش الحدودية للاستيلاء على بيانات المسافرين في الوقت الحقيقي والتحقق من تلك البيانات في ضوء قواعد البيانات الوطنية والدولية للإنذار والإجرام.	0
وقد زادت أعداد الملتمسين ومتعاطفيهم زيادة ملحوظة، ابتداء من اليوم الثاني للاحتجاج فصاعدا، بوصول أطراف ثالثة، ولا سيما أعضاء المجموعة المعروفة باسم كوليماو 2000.	1
وفي هذا السياق، أشير إلى أنه بالإضافة إلى المساهمة البالغة الأهمية في مكافحة الحصانة في حد ذاتها، فإن إنشاء المجلس للمحاكم المخصصة كان له أيضا أثر كبير على الصعيد الوطني: فوجود المحكمة الجنائية الدولية ليوغوسلافيا السابقة وعملها دفعا إلى إنشاء محاكم وطنية لجرائم الحرب في البوسنة والهرسك وكرواتيا وصربيا؛ وأدى إنشاء المحكمة الجنائية الدولية لرواندا إلى ضغط كبير لإصلاح نظام العدالة في رواندا.	0
وتجدر الإشارة أيضا إلى أنه على الرغم من هذه القاعدة العريضة للسياسة العامة، فإن الغالبية العظمى من أعضاء حركتي التمرد جاءت من ثلاث قبائل أساسا، هي الفور والمساليت والزغاوة.	0
طلب إلى البعثة توفير التدريب العسكري للقوات المسلحة، بما في ذلك التدريب في مجال حقوق الإنسان، والقانون الإنساني الدولي، وحماية الطفل، ومنع العنف القائم على نوع الجنس والعنف الجنسي.	1
يتشرف فريق الدعم التحليلي ورصد الجزاءات المنشأ عملا بقرار مجلس الأمن 1526 (2004) والذي مددت ولايته بموجب قراري مجلس الأمن 1617 (2005) و 1735 (2006) بشأن تنظيم القاعدة وحركة الطالبان وما يرتبط بهما من أفراد وكيانات، بأن يحيل إليكم تقريره السابع، وفقا للقرار 1735 (2006).	1
في الشهر الماضي فقط، وفي بيان أدلى به الأمين العام بان كي - مون في 27 أيار/مايو 2011، أعرب الأمين العام عن اعتقاده بأن "المساعدة والسلع المتجهة إلى غزة ينبغي توجيهها عبر المعابر المشروعة والقنوات الثابتة"، موضحاً أن قافلة السفن "تحمل القدرة على التصعيد إلى صراع عنيف".	1
1 - في 26 تموز/يوليه 2005، اتخذ مجلس الأمن القرار 1612 (2005) بشأن الأطفال والنزاع المسلح.	1
38 - ويوصي الفريق بأن يشجع مجلس الأمن واللجنة الدول على تحديد أو إنشاء آليات وطنية لتحديد واستهداف الأفراد والكيانات لإدراجها في القائمة الموحدة استنادا إلى سلطة قانونية واضحة المعالم متميزة عن العملية الجنائية.	1
192- وتدّعي مختلف التقارير ووسائط الإعلام أن لديها أدلة مقنعة على أن المناطق استُهدفت تحديداً بسبب قربها من موقع نشاط المتمردين، والأهم من ذلك بسبب التكوين الإثني للسكان الذين يقطنون هذه المناطق.	0
ومن الواضح أن هذه الظروف تمثل أكبر عقبة أمام الاستقرار والتقدم في أفغانستان، وأنها، إذا سمح لها بالاستمرار، تهدد بإبطال التقدم المحرز على مدى ما يقرب من ثلاث سنوات.	0
وهرب الناجون من القرية ولم يدفنوا موتاهم.	0
58 - ومنذ إنشاء الصندوق الاستئماني لمكافحة الإرهاب، أصبحت المديرية التنفيذية أكثر كفاءة في إدارة التبرعات دعما لأنشطتها.	1
في 3 أيار/مايو، وبناء على دعوة من رئيس المجلس الاقتصادي والاجتماعي، حضر رئيس المجلس الاجتماع الرفيع المستوى للمجلس الاقتصادي والاجتماعي لتقييم عمل أفرقته الاستشارية المخصصة المعنية بالبلدان الخارجة من الصراع (بوروندي وغينيا - بيساو).	1
وفي هذا الصدد، يشدد مجلس الأمن على أن إنهاء الإفلات من العقاب أمر أساسي في الجهود التي يبذلها المجتمع في حالات الصراع وما بعد انتهاء الصراع للتأقلم مع الجرائم الخطيرة التي ارتكبت في الماضي بموجب القانون الدولي، وفي منع وقوع جرائم خطيرة في المستقبل بموجب القانون الدولي.	1
31 - وفيما يتعلق بالتنسيق الداخلي، أنشأت دول آسيوية كثيرة وكالات أو هيئات مركزية مكلفة بتنسيق أنشطة مكافحة الإرهاب وتحليل الاستخبارات ذات الصلة، بما في ذلك ما يتعلق بالتحريض.	0
وفي كل حادث من هذه الحوادث، أُجبرت النساء على التعري تحت تهديد السلاح، واغتصبتهن الجنجويد ثم تركن عاريات على الطريق.	0
ويبدو أنه تم الاعتماد إلى حد كبير على الخبرة الشخصية لأفراد معينين من العسكريين والشرطة.	0
وفي الوقت الراهن، يعتقد أن نحو 47 جماعة مسلحة من غير الدول "كانت تمتلك أو تحتجز" منظومات دفاع جوي محمولة.	0
ومنذ ذلك الحين تضاعف عددهم إلى 16، بالإضافة إلى مستشارها الخاص، ويجري تعيين المزيد من المراقبين ومتطوعي الأمم المتحدة.	0
وأبلغ المجلس أيضا بالحالة الإنسانية في المناطق التي تسيطر عليها الجماعات المسلحة، والتي لا تزال محفوفة بالمخاطر، ولا سيما في منطقة لوهانسك.	0
28 - وواصلت المنظمة الدولية للهجرة تقديم الدعم لتطوير دائرة الهجرة التابعة للشرطة الوطنية من خلال برنامج واسع النطاق لبناء القدرات، من خلال تقديم الدعم القانوني التقني لتنقيح قانون الهجرة واللجوء، والمساعدة في تركيب نظام معلومات لإدارة الحدود.	0
”ويرحب مجلس الأمن بقيام الرئيس جوزيف كابيلا رئيس جمهورية الكونغو الديمقراطية بإنشاء آلية رقابة وطنية، على النحو المطلوب في إطار السلام والأمن والتعاون والقرار 2098 (2013)، ويدعو رئيس جمهورية الكونغو الديمقراطية إلى كفالة الشفافية والشمول في هذه الآلية.	1
وتواصل القوة تحسين قدراتها في مجال مكافحة الحشود والشغب لكي تكون أكثر استعدادا لمواجهة أي تجدد للعنف.	0
غير أن المعلومات المتعلقة بمستوى تنفيذ اللائحة شحيحة.	0
وفي شرق جمهورية الكونغو الديمقراطية، لا تزال التهديدات الأمنية الناجمة عن الاشتباكات المسلحة والاضطرابات المدنية العنيفة، التي كثيرا ما تتفاقم بسبب التوتر السياسي، تشكل مصدرا للقلق.	0
ويجب أن يكون هدف مجلس الأمن الآن هو طمأنة المحاكم إلى أن نظام الجزاءات المنشأ عملا بقرار مجلس الأمن 1267 (1999) (نظام الجزاءات المفروضة بموجب القرار 1267 (1999)) نظام عادل، وأنه، بدعم متزايد من الدول الأعضاء، يؤكد من جديد هدفه الأصلي المتمثل في تخليص العالم من خطر الإرهاب الذي يشكله تنظيم القاعدة وحركة الطالبان وشركاؤهما المدرجون في القائمة.	0
94 - وضعت جميع الدول، باستثناء دولة واحدة، التي تفتقر إلى معلومات بشأنها، استراتيجيات وهياكل مؤسسية لمكافحة الإرهاب، وهناك إما تنسيق كامل أو جزئي بين وكالات إنفاذ القانون التي تعالج مسائل مكافحة الإرهاب.	0
ومع ذلك، يؤسفني إلغاء الحلقة الدراسية المزمع عقدها في ماديرا، البرتغال، وأحث الطرفين على مواصلة استكشاف سبل توسيع برنامج تدابير بناء الثقة.	1
21 - قدم الرئيس، إلى جانب رئيسي لجنة مجلس الأمن المنشأة عملا بالقرار 1373 (2001) بشأن مكافحة الإرهاب ولجنة مجلس الأمن المنشأة عملا بالقرار 1540 (2004)، إحاطتين مشتركتين إلى المجلس في عام 2013.	1
كما أن وجود عناصر متطرفة وما يُدّعى أنها تقوم به من أنشطة يثير القلق.	0
184 - وتشير معظم التقارير إلى وجود نمط من الهجمات العشوائية على المدنيين في القرى والمجتمعات المحلية في ولايات دارفور الثلاث جميعها ابتداء من أوائل عام 2003.	0
وأفاد الجيش الملكي المغربي أيضاً بأن جهوده أعاقتها الموارد المحدودة ونقص المعلومات المتعلقة بالمناطق الملوثة بالألغام.	0
يشرفني، بصفتي ممثلا للرئيس الحالي للاتحاد الأفريقي، أن أحيل طيه البيان المتعلق بكوت ديفوار الصادر عن الاجتماع الأربعين لمجلس السلام والأمن التابع للاتحاد الأفريقي على مستوى رؤساء الدول والحكومات، المعقود في أديس أبابا في 6 تشرين الأول/أكتوبر 2005.	0
وعلاوة على ذلك، تلقت اللجنة إخطارا واحدا بشأن حظر توريد الأسلحة وردّت عليه، مستشهدة بالفقرة 13 (أ) من القرار 2009 (2011) التي لا تشترط إخطار اللجنة فيما يتعلق بالأعتدة غير الفتاكة التي يتعين توريدها إلى حكومة ليبيا.	1
9 - وقضت المحكمة المحلية في الأصل بأن الحكومة لم تثبت أن فرع الحرمين الهولندي، المنفصل عن المنظمة الدولية وبصرف النظر عنها، قد دعم الإرهاب.	0
(ب) معالجة أوجه القصور في تجريم تمويل الإرهاب وإدراجه كجريمة من جرائم غسل الأموال، ومعالجة أوجه القصور في تجميد أصول الإرهابيين، ولا سيما من خلال إتاحة ضمانات كافية وإدراج استثناءات إنسانية في إجراءات التجميد؛	1
بعد سنتين تقريبا من الإحاطة الإعلامية الأخيرة بشأن الحالة في منطقة البحيرات الكبرى (المناطق المتضررة من أنشطة جيش الرب للمقاومة)، عقد المجلس جلسة خاصة في 21 تموز/يوليه 2011 لمناقشة استمرار تهديد جيش الرب للمقاومة للأمن الإقليمي.	0
وبالإضافة إلى ذلك، ينبغي لبعثة منظمة الأمم المتحدة لتحقيق الاستقرار في جمهورية الكونغو الديمقراطية أن تواصل حماية موظفي الأمم المتحدة وأصولها، وأن تعمل، وفقا لولايتها الحالية، وشريطة توافر ما يكفي من أصول الطيران، على احتواء أعمال العنف التي تهدد حماية المدنيين خلال الفترة الانتخابية.	0
(أ) تقييم تطور المخاطر والتهديدات؛	0
يشدد على ضرورة تنفيذ برنامج عمل الأمم المتحدة لمنع الاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة من جميع جوانبه ومكافحته والقضاء عليه، والصك الدولي لتمكين الدول من تحديد وتعقب الأسلحة الصغيرة والأسلحة الخفيفة غير المشروعة في الوقت المناسب، من أجل إحراز تقدم حقيقي في منع الاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة ومكافحته والقضاء عليه.	1
11 - يشير إلى أن المساءلة عن هذه الجرائم الخطيرة يجب أن تكفل باتخاذ تدابير على الصعيد الوطني وبتعزيز التعاون الدولي دعما للآليات الوطنية، ويوجه الانتباه إلى المجموعة الكاملة من آليات العدالة والمصالحة التي يتعين النظر فيها، بما في ذلك المحاكم الجنائية الوطنية والدولية و ”المختلطة“، ولجان الحقيقة والمصالحة، فضلا عن البرامج الوطنية لجبر الضحايا والإصلاحات المؤسسية؛ ويشدد على دور مجلس الأمن في وضع حد للإفلات من العقاب؛	0
ويشير مجلس الأمن إلى التزامات الدول باحترام وكفالة احترام القانون الإنساني الدولي، بما في ذلك اتفاقيات جنيف الأربع، ويؤكد مسؤوليتها عن وضع حد للإفلات من العقاب ومحاكمة المسؤولين عن الإبادة الجماعية والجرائم ضد الإنسانية والانتهاكات الخطيرة للقانون الإنساني.	1
وتشدد حكومة الأردن على ضرورة أن توقف الحكومة الإسرائيلية بشكل كامل وفوري أعمال العنف والتدمير التي ترتكبها في قطاع غزة وفي جميع أنحاء الأرض الفلسطينية المحتلة، وأن تضع حدا لسياستها التدميرية المتعمدة للبنية التحتية والبيوت الفلسطينية، وأن تكف فورا عن أعمال القتل خارج نطاق القانون، وفرض العقاب الجماعي، وغير ذلك من ممارساتها ضد الشعب الفلسطيني.	0
وستشمل الاجتماعات تعليقات دورية من الأفرقة العاملة المسؤولة عن تتبع التقدم المحرز فيما يتعلق بالرصد والتنفيذ الوطني؛ والمساعدة؛ والتعاون مع المنظمات الدولية، بما في ذلك لجنتا مجلس الأمن المنشأتان عملا بالقرارين 1267 (1999) و 1373 (2001)؛ والشفافية والتوعية الإعلامية.	1
وخلال هذه الفترة تم تعزيز قاعدة دعم اللجنة وتركيب برامج حاسوبية جديدة، مما جعل قاعدة البيانات أكثر تشغيلا.	0
وأشار أعضاء المجلس إلى أنه ينبغي لجميع المرشحين أن يبذلوا قصارى جهدهم من أجل الحفاظ على بيئة هادئة وسلمية، وأن يمارسوا ضبط النفس، وأن ينتظروا نتائج يعلن عنها وفقا للإجراءات الدستورية الوطنية، وأن يحلوا خلافاتهم سلميا، من خلال الآليات القانونية وآليات الوساطة القائمة، بما في ذلك اللجنة الوطنية للوساطة.	1
ولذلك فإنني أدعو المانحين إلى كفالة استمرار المساعدة المقدمة إلى المقاتلين السابقين المسرحين وضمان أن تستمر أنشطة إعادة الإدماج دون انقطاع.	0
ويحدد التقرير أيضا ثلاثة نُهج محددة لتعزيز تنفيذ الجزاءات: أولا، ردع دفع الفدية إلى تنظيم القاعدة وما يرتبط به من فروع من أجل المضي قدما في تجميد الأصول؛ ثانيا، استخدام القياسات الحيوية والتغييرات في المعايير الوطنية غير المقبولة المتعلقة بالمسافرين من أجل المضي قدما في حظر السفر المفروض على الأفراد المدرجين في القائمة؛ ثالثا، تحسين التحليل واتخاذ تدابير للحد من توافر عناصر الأجهزة المتفجرة المرتجلة التي يستخدمها تنظيم القاعدة والمنتسبون إليه.	0
:: إشراك المرأة من خلال إنشاء لجان متوازنة جنسانيا لمنع نشوب الصراعات، بما في ذلك ممثلو المجتمعات المدنية.	1
3 - وستواصل اللجنة اتباع نهج أكثر استراتيجية وشفافية في عملها والسعي إلى إبراز عملها داخل الأمم المتحدة الأوسع نطاقا ومجتمع مكافحة الإرهاب.	0
29 - وجرى التسليم أيضا بأنه ينبغي للجنة أن تواصل، في إطار أنشطتها، زيادة الوعي بالمعاهدات المتعددة الأطراف التي تهدف إلى منع انتشار أسلحة الدمار الشامل أو القضاء عليها من أجل الإسهام في تحقيق عالميتها.	1
95 - وبالنظر إلى النمط المستمر لانتهاكات حقوق الإنسان في كوت ديفوار على مدى السنوات الماضية، قد يرغب المجتمع الدولي أيضا في النظر في الحاجة إلى إنشاء آلية مستقلة لحقوق الإنسان تابعة للجنة الأمم المتحدة لحقوق الإنسان (مقرر خاص قطري أو خبير مستقل)، يمكن أن تناط بها مهمة تقديم تقارير، إلى الجمعية العامة أيضا، عن التقدم المحرز في التنفيذ الفعال للمعايير الدولية لحقوق الإنسان، وترجمتها إلى ممارسات على الصعيد الوطني، فضلا عن وضع حد للإفلات من العقاب وكفالة سيادة القانون في كوت ديفوار.	1
”ويرحب مجلس الأمن بالخطوات التي اتخذتها المحاكم الجنائية الوطنية والدولية و ”المختلطة“ ضد من يُزعم أنهم ارتكبوا انتهاكات جسيمة ضد الأطفال في حالات النزاع المسلح في انتهاك للقانون الدولي الساري.	1
(ن) التشاور مع دوائر الاستخبارات والأمن التابعة للدول الأعضاء، بوسائل منها المنتديات الإقليمية، من أجل تيسير تبادل المعلومات وتعزيز إنفاذ التدابير؛	1
7 - يطلب إلى الممثل التنفيذي للأمين العام أن ييسر ويعزز الحوار بين أصحاب المصلحة الوطنيين والدوليين، ولا سيما في سياق الانتخابات المقبلة، مع مواصلة دعم جهودهم الرامية إلى الحفاظ على السلام والاستقرار؛	1
وإذ يهيب بالدول أن تعمل معا على وجه السرعة من أجل منع أعمال الإرهاب النووي وقمعها، بوسائل منها زيادة التعاون والتنفيذ الكامل للاتفاقيات الدولية ذات الصلة، ومن خلال اتخاذ تدابير مناسبة لتعزيز الإطار القانوني القائم بهدف كفالة مساءلة مرتكبي جرائم الإرهاب النووي مساءلة فعالة،	1
وقد أنشئت استجابة لادعاءات بوقوع انتهاكات للقانون الدولي لحقوق الإنسان والقانون الإنساني الدولي في سياقات النزاع، وكذلك في حالات ارتفاع مستويات العنف، التي كثيراً ما تكون ذات صلة بالعمليات الانتخابية أو السياسية دون الاقتصار عليها، والتي تنطوي على انتهاكات خطيرة لقانون حقوق الإنسان.	0
ويجب بذل المزيد من الجهود من جانب حكومة هايتي والمنظمات الإنسانية الدولية في أنشطة وقائية، مثل توفير المرافق الصحية والمياه النقية.	0
ولما كان منع الإرهابيين من تنفيذ هجماتهم أمرا حيويا، فمن الواضح أن الإرهاب لا يمكن أن تهزمه التدابير الأمنية وحدها، وأن العديد من أعضاء المجتمع الدولي يتطلعون إلى مجلس الأمن لاتخاذ تدابير تحد من الوسائل التي ينشر بها تنظيم القاعدة رسالته، فضلا عن تعزيز البرامج التي تهدف إلى تقويضه.	0
دعوة جميع الأطراف المعنية إلى كفالة إدماج حماية النساء والفتيات المتضررات من الصراعات المسلحة وحقوقهن ورفاههن على وجه التحديد في جميع عمليات السلام واتفاقات السلام وخطط وبرامج الإنعاش والتعمير بعد انتهاء الصراع.	1
وأشارت منظمة أخرى إلى أنها تستعد لإنشاء مؤسسة وطنية لحقوق الإنسان.	1
السيد موساييف (أذربيجان) (تكلم بالانكليزية): بادئ ذي بدء، أود أن أعتذر عن طلب الكلمة مرة أخرى، وكنا نعتقد أنه سيكون من غير المناسب ومن غير المجدي أن نتجاوز التعليقات التي أدلى بها ممثل أرمينيا ومحاولته تضليل مجلس الأمن في صمت.	0
في جلسة مجلس الأمن 6897، المعقودة في 20 كانون الأول/ديسمبر 2012، أدلى رئيس المجلس، باسم المجلس، بالبيان التالي فيما يتصل بنظر المجلس في البند المعنون "بناء السلام بعد انتهاء النزاع":	1
وفي الفترة التي سبقت 20 أيار/مايو 2002، نظم السيد لوباتو ومؤيدوه مسيرات للمحاربين القدماء في ديلي.	0
وفي مشاورات مغلقة، قدم المبعوث الخاص إحاطة إلى المجلس بشأن أولوياته ومشاوراته الأولية وأفكاره بشأن سبل المضي قدماً، وقال إن بلاغ جنيف المؤرخ 30 حزيران/يونيه 2014 لا يزال صالحاً، وإنه قد وضع البارامترات العريضة لحل تفاوضي في المستقبل.	1
غير أن ذلك لا ينبغي أن ينتقص من التنفيذ الكامل للقرار 1559 (2004) وجميع قرارات مجلس الأمن الأخرى المتعلقة بلبنان، التي لا تزال أفضل سبيل لضمان رخاء لبنان واستقراره في الأجل الطويل كدولة ديمقراطية.	0
(ذ) التشاور مع ممثلي المنظمات الدولية المعنيين، بما في ذلك الاتحاد الدولي للنقل الجوي، ومنظمة الطيران المدني الدولي، ومنظمة الجمارك العالمية، من أجل إذكاء الوعي بحظر السفر وحظر توريد الأسلحة وتعزيز الامتثال لهما؛	1
ويحول الافتقار إلى الأراضي والوظائف، فضلا عن انعدام الأمن، دون استقرار العديد من العائدين في مجتمعاتهم الأصلية.	0
”إن مجلس الأمن، إذ يشدد على أن السلام والأمن في العالم كل لا يتجزأ، وإذ يأخذ في الاعتبار ترابط العالم وترابطه، يؤكد من جديد أن الإرهاب بجميع أشكاله ومظاهره يشكل أحد أخطر التهديدات للسلام والأمن الدوليين، وأن أي أعمال إرهابية هي أعمال إجرامية لا يمكن تبريرها بصرف النظر عن دوافعها، ومتى ارتكبت وأيا كان مرتكبوها.	0
ووفقا لما ذكره الشهود، فر القرويون من القرية باتجاه الشمال باتجاه منطقة حرجية تبعد حوالي ٥ كيلومترات عن القرية.	0
ويجري تقييم المسائل المتعلقة بالجرائم ضد الإنسانية على أساس التعاريف التي يحددها القانون الجنائي الدولي العرفي وفي نظام روما الأساسي للمحكمة الجنائية الدولية.	0
