en_ar_DEEP	MatCoop
"ويدرك مجلس الأمن النقص المستمر في تمثيل المرأة في عمليات السلام الرسمية، ويشعر بقلق بالغ إزاء العقبات والتحديات المستمرة الناجمة عن حالات مثل العنف ضد المرأة، والاقتصادات المحطمة والهياكل الاجتماعية، وانعدام سيادة القانون، والفقر، ومحدودية فرص الحصول على التعليم والموارد الأخرى، ومختلف أشكال التمييز والقوالب النمطية.	0
وستتألف اللجنة الدولية من فريق من ثلاث شخصيات بارزة تتمتع بالخبرة المناسبة والسمعة الطيبة بالاستقامة والحياد.	1
77 - ويعتقد الفريق أنه ينبغي لجميع الدول، كحد أدنى، أن تكفل قيام تجار المعادن والأحجار الكريمة باعتماد تدابير لمنع غسل الأموال وتمويل الإرهاب بما يتوافق مع متطلبات فرقة العمل المعنية بالإجراءات المالية.	1
وتلقت اللجنة أيضاً أدلة موثوقة تشير إلى أن صفوف الجنجويد تضم مقاتلين من البلدان المجاورة، وفي المقام الأول من تشاد والجماهيرية العربية الليبية.	1
96 - حققت المنطقة دون الإقليمية مستوى معقولا من التصديق على الصكوك الدولية لمكافحة الإرهاب.	1
ولم يذكر سوى أقل من نصف الدول المائة والأربعين التي قدمت تقاريرها بموجب القرار 1455 (2003) الخطوات التي اتخذتها لتقييد أو تنظيم حركة السلع الثمينة، أما الدول التي فعلت ذلك فقد أشارت عموماً فقط إلى الضوابط التي تفرضها التشريعات الجمركية والضريبية.	1
(ب) مواصلة العمل بالتنسيق والتعاون الوثيقين مع الإنتربول والدول والمنظمات المانحة من أجل تيسير المساعدة التقنية الرامية إلى بناء قدرات أجهزة إنفاذ القانون وتوصيل المعدات والمرافق إلى الدول المحتاجة؛	1
وفي نياكوندي، تم الإبلاغ عن مقتل أكثر من 2000 شخص وفر السكان إلى الغابة.	0
توفير الأمن الخارجي والداخلي (إجراءات الفحص لفصل العناصر المسلحة عن المدنيين؛ وتدابير التسريح ونزع السلاح؛ والمساعدة التقنية والتدريب من جانب الشرطة المدنية الدولية و/أو المراقبين العسكريين؛ وإقامة المعسكرات على مسافة كبيرة من الحدود الدولية ومناطق الخطر؛ والتنسيق الإقليمي والترتيبات دون الإقليمية).	1
4 - وفي 25 تموز/يوليه، أبلغت مجلس الأمن بقراري تعيين بيتر فان فالسوم (هولندا) مبعوثا شخصيا لي إلى الصحراء الغربية لمساعدتي في تقييم الوضع والتعرف مع الطرفين والدول المجاورة وأصحاب المصلحة الآخرين على أفضل السبل لتحقيق ذلك. التغلب على المأزق السياسي الحالي.	1
وبعبارة أخرى، فقد ظهر الآن في القانون الدولي حق ضحايا الانتهاكات الجسيمة لحقوق الإنسان (وخاصة جرائم الحرب والجرائم ضد الإنسانية والإبادة الجماعية) في الحصول على تعويضات (بما في ذلك التعويض) عن الأضرار الناجمة عن تلك الانتهاكات.	1
وفي معظم الحالات، نجحت السفن - من خلال اليقظة والوعي بالحالة والاستجابة الحازمة وفقا لأفضل الممارسات الإدارية للحماية من القرصنة المتمركزة في الصومال - في منع المهاجمين من الصعود إلى متن السفن.	1
وفي عمان، في 9 تشرين الثاني/نوفمبر 2005، هاجم انتحاريون ثلاثة فنادق، مما أسفر عن مقتل 60 شخصًا وإصابة ما لا يقل عن 115 آخرين.	0
o في 27 تشرين الثاني/نوفمبر 2014، استهدفت طائرات النظام الحربية مدرسة دار السلام في مدينة الرقة، مما أدى إلى تدمير أحد مباني المدرسة جزئيا.	0
وعلاوة على ذلك، فإن تفاعلات الفريق مع الدول الأعضاء واللجنة سوف تتغير بشكل كبير إذا أصبح محكماً في قرارات الإدراج والشطب من القائمة.	1
(ج) تشجيع الدول على اتخاذ التدابير المناسبة لحماية قطاعها غير الربحي من سوء الاستخدام عن طريق تمويل الإرهاب.	1
52. ولا تزال حالات اغتصاب القاصرات، بما في ذلك الفتيات الصغيرات للغاية، تشكل قضية مثيرة للقلق الشديد. وقد شاركت بعثة الأمم المتحدة في جمهورية الكونغو الديمقراطية بانتظام في اللجان الإقليمية المعنية بالعنف الجنسي كوسيلة لتعزيز الدعم المقدم للأطفال ضحايا الاغتصاب.	0
تدابير خاصة لحماية النساء والفتيات من التمييز والعنف القائمين على نوع الجنس، والاغتصاب وغيره من أشكال العنف الجنسي (الوصول إلى الانتصاف القانوني؛ ومراكز الأزمات؛ والملاجئ؛ والرعاية الصحية؛ وبرامج المشورة وغيرها من برامج المساعدة؛ وآليات الرصد والإبلاغ).	1
19 - إن إنشاء الفريق المعني بالقرار 1624 (2005) وجوانب حقوق الإنسان في مكافحة الإرهاب سيمكن المديرية التنفيذية، أولا، من المساهمة في نظر اللجنة في الكيفية التي يمكن بها أن تساعد الدول الأعضاء على معالجة قضايا مثل التحريض على الإرهاب. الإرهاب والحوار بين الثقافات الذي أثاره القرار 1624 (2005).	0
ويشجع المجلس على إنشاء أو تعزيز، حيثما كان ذلك مناسبا، آليات التعاون والتنسيق وتبادل المعلومات دون الإقليمية أو الإقليمية، ولا سيما التعاون الجمركي عبر الحدود وشبكات تبادل المعلومات، بهدف منع ومكافحة والقضاء على الاتجار غير المشروع بالبضائع الصغيرة. الأسلحة والأسلحة الخفيفة عبر الحدود.	0
ويتطلع الأعضاء أيضا إلى قائمة منتهكي الجزاءات التي من المتوقع أن يقدمها فريق الرصد في تقريره النهائي.	0
وإذ يعرب عن قلقه العميق إزاء احتمال مساهمة الجماعات الإرهابية المستفيدة من الجريمة المنظمة العابرة للحدود الوطنية في تقويض الدول المتضررة، وخاصة أمنها واستقرارها وحوكمتها وتنميتها الاجتماعية والاقتصادية،	0
زيادة المساءلة عن انتهاكات حقوق الإنسان، بما في ذلك العنف القائم على النوع الاجتماعي؛ تم تطوير أدوات قانونية تراعي الفوارق بين الجنسين. G.5. تطوير وتوفير برامج دعم للضحايا تراعي الفوارق بين الجنسين، بما في ذلك برامج المساعدة القانونية وحماية الشهود.	1
"ويشكر مجلس الأمن الأمين العام على تقريره المؤرخ 3 آب/أغسطس 2004، الذي أعيد إصداره في 23 آب/أغسطس 2004 (S/2004/616)، ويؤكد من جديد الأهمية الحيوية التي يوليها المجلس لتعزيز العدالة وسيادة القانون، ونشر العدالة. - صراع المصالحة الوطنية.	0
ويوصى بمواءمة وتنسيق مساهمات الأمم المتحدة في خطة تحقيق الاستقرار كجزء من المراجعة المقبلة لإطار عمل الأمم المتحدة للمساعدة الإنمائية.	1
وفي الوقت نفسه، تتطور العديد من الجماعات المنتسبة إلى تنظيم القاعدة، بشكل مستقل في كثير من الأحيان، مع حدوث تغيرات في الأجيال والجغرافية والعرقية والهيكلية والعملياتية.	0
ويشير عدد من الحوادث التي وقعت خلال الفترة المشمولة بالتقرير إلى احتكاك بين قوة حفظ السلام التابعة لرابطة الدول المستقلة والجانب الجورجي، بما في ذلك احتجاز شاحنات من قوة حفظ السلام التابعة لرابطة الدول المستقلة (انظر الفقرة 17)، والاحتجاز المؤقت لجندي من قوة حفظ السلام التابعة لرابطة الدول المستقلة، وتنصيب جندي من قوة حفظ السلام التابعة لرابطة الدول المستقلة (انظر الفقرة 17). عدادات الكهرباء عند نقاط التفتيش التابعة لقوة حفظ السلام التابعة لرابطة الدول المستقلة ومظاهرة احتجاجا على وجود قوة حفظ السلام التابعة لرابطة الدول المستقلة في جورجيا.	0
وحتى 1 فبراير/شباط، لم يتلق مقدمو الالتماس أي رد. وفي 3 فبراير/شباط، هجر الملتمسون ثكناتهم وتركوا أسلحتهم وراءهم. وتجمعوا في ديلي وطلبوا إجراء مقابلة مع الرئيس في 7 شباط/فبراير.	1
(و) أن يقدموا لبعضهم البعض أكبر قدر من المساعدة فيما يتعلق بالتحقيقات الجنائية أو الإجراءات الجنائية المتعلقة بتمويل أو دعم الأعمال الإرهابية، بما في ذلك المساعدة في الحصول على الأدلة التي بحوزتهم والضرورية للإجراءات؛	1
ومن خلال مجموعة من العوامل، بما في ذلك التمييز القائم على نوع الجنس في الحصول على الموارد والتعليم والتوظيف، وسوء رعاية الصحة الإنجابية والاستبعاد من عمليات صنع القرار، تشكل النساء اللاجئات والمشردات داخليا واحدة من أكثر الفئات ضعفا في العالم.	0
ولكن كان هناك قلق أيضاً لأنه في كل مرة تظهر فيها بادرة أمل في الشرق الأوسط، يقابلها تزايد العنف والدمار.	0
- يشكل الإرهاب بجميع أشكاله ومظاهره أحد أخطر التهديدات التي تهدد السلام والأمن؛	0
64 - ولا يمكن معالجة مسألة الأسلحة الصغيرة من خلال تدابير تحديد الأسلحة فحسب. فهو جزء لا يتجزأ من نطاق أوسع، يتقاطع فيه الصراع والأمن والعنف المسلح والجريمة والتجارة وحقوق الإنسان والصحة والتنمية.	0
وفي هذا الصدد، رأت أنه من المهم استكمال نشر القوة الإضافية التابعة لبعثة الأمم المتحدة في جنوب السودان.	1
40 - وواصل مكتب الأمم المتحدة المعني بالمخدرات والجريمة تقديم المساعدة التقنية في مجال مكافحة الإرهاب إلى بلدان شرق أفريقيا. على سبيل المثال، وبالتشاور الوثيق مع السلطات الوطنية في جيبوتي وإثيوبيا وكينيا والصومال، وضعت برامج مساعدة طويلة الأجل خاصة بكل بلد لتعزيز استجاباتها في مجال العدالة الجنائية للإرهاب وفقا لسيادة القانون ومع الاحترام الواجب لحقوق الإنسان. حقوق.	1
ومع ذلك، يجب الحفاظ على الوتيرة العامة لتقديم التقارير من أجل تجميع معلومات أكثر اكتمالا وتحديثا عن التقدم المحرز نحو التنفيذ الكامل للقرار.	1
[جيم] يدعو أطراف النزاع المسلح إلى اتخاذ جميع الاحتياطات الممكنة لحماية السكان المدنيين، بما في ذلك الأطفال، من آثار الألغام الأرضية وغيرها من مخلفات الحرب من المتفجرات، ويشجع، في هذا الصدد، المجتمع الدولي على دعم الجهود التي تبذلها البلدان لإزالة الألغام الألغام الأرضية وغيرها من مخلفات الحرب من المتفجرات وتقديم المساعدة للرعاية وإعادة التأهيل وإعادة الإدماج الاقتصادي والاجتماعي للضحايا، بما في ذلك الأشخاص ذوو الإعاقة؛	1
وضربت إحدى الدول مثال الأفراد الذين مُنعوا من الدخول خلال العقد الماضي للاشتباه في تورطهم في نشاط إرهابي دولي.	0
وفي هذا السياق، نكرر تأكيدنا المتكرر على أن التهديد الأكبر للتحقيق يكمن في أن بعض الأطراف في منطقتنا وخارجها تستغله لتسييس استنتاجات لا علاقة لها بالتحقيق على الإطلاق، ولا تستند إلى أسس ثابتة. شهادة.	0
وبطبيعة الحال، نشعر بقلق عميق إزاء الوضع في ولايتي جنوب كردفان والنيل الأزرق، نظرا لقربهما الجغرافي من بلادنا.	0
:: تتلقى اللجنة في الاضطلاع بولايتها المساعدة من المديرية التنفيذية للجنة مكافحة الإرهاب، بتوجيه من الاجتماع العام في مجال السياسات.	1
وأضاف أن هذه التبادلات مستمرة. وأشار المبعوث الشخصي إلى أن الحكومة المغربية أعربت في عدد من المناسبات عن خيبة أملها إزاء محتوى التقرير الأخير والإحاطة الأخيرة التي قدمها إلى المجلس في المشاورات غير الرسمية في نيسان/أبريل 2014.	0
ويتباين معدل التصديق على الصكوك الدولية لمكافحة الإرهاب تفاوتا كبيرا: فقد صدقت 12 دولة على 10 صكوك على الأقل، في حين صدقت 4 دول على 5 صكوك أو أقل.	1
وبعبارة أخرى، ينظر الضحايا إلى المهاجمين على أنهم أشخاص ينتمون إلى جماعة مختلفة ومعادية.	0
9 - وقضت المحكمة المحلية في الأصل بأن الحكومة لم تثبت أن فرع مؤسسة الحرمين في هولندا، المنفصل والمستقل عن المنظمة الدولية، قد دعم الإرهاب.	0
ويبدو أن معظم الحكومات ملتزمة التزاما قويا بضمان احترام وكالات إنفاذ القانون لحقوق الإنسان، على الرغم من إثارة مخاوف جدية في بعض الحالات بشأن الانتهاكات التي ترتكبها قوات الأمن.	0
وتحتاج بعض الدول إلى تعزيز أنظمتها القضائية بشكل أكبر حتى تتمكن من إجراء محاكمات الإرهاب بما يتفق تماما مع سيادة القانون.	1
واستناداً إلى تحليل شامل للمعلومات التي تم جمعها أثناء تحقيقاتها، توصلت اللجنة إلى أن حكومة السودان والجنجويد مسؤولين عن انتهاكات خطيرة للقانون الدولي لحقوق الإنسان والقانون الإنساني الدولي ترقى إلى مستوى الجرائم بموجب القانون الدولي.	0
وأود أيضا أن أؤكد من جديد أن أعضاء قوات الدفاع الأربعة المدانين بالقتل غير العمد في مقتل ثمانية من ضباط الشرطة الوطنية بالرصاص في عام 2006، والذين تم العفو عن أحدهم وخففت الأحكام الصادرة على ثلاثة منهم، لم يدفعوا بعد التعويض الذي أمرت به المحكمة لهؤلاء الأفراد. أرامل الضحايا.	0
ولدى غالبية الدول تشريعات معمول بها لمكافحة غسل الأموال، وتدرج أربع من تلك الدول تمويل الإرهاب كجريمة أصلية.	1
وهي ممتنة لها لأنها وفرت المأوى لعدة مئات الآلاف من اللاجئين في السنوات الأخيرة.	1
1 - قرر مجلس الأمن، في الفقرة 4 من قراره 1977 (2011)، أن تقدم اللجنة المنشأة عملا بالقرار 1540 (2004) برنامج عمل سنوي إلى المجلس قبل نهاية شهر أيار/مايو من كل عام.	1
وأدى عدد من الاتصالات إلى مجرد تبادل وجهات النظر و/أو بيانات الوقائع.	1
وإذ يؤكد التزام الدول الأعضاء بمنع تحرك الإرهابيين أو الجماعات الإرهابية، وفقاً للقانون الدولي المعمول به، من خلال، من بين أمور أخرى، فرض ضوابط حدودية فعالة،	0
وتشتمل هذه الزيارات في المجمل على ما يلي: ثماني زيارات شاملة (كمبوديا، ومصر، وجمهورية لاو الديمقراطية الشعبية، والجماهيرية العربية الليبية، والمملكة العربية السعودية، وجنوب أفريقيا، وأوغندا، وأوزبكستان)؛ زيارتان إقليميتان تغطيان ستة بلدان (بلجيكا والدانمرك ولوكسمبورغ وهولندا في أوروبا الغربية، وبوركينا فاسو والسنغال في غرب أفريقيا)؛ سبع زيارات مركزة (أستراليا، ومدغشقر، ونيوزيلندا، وبنما، وجمهورية كوريا، وسنغافورة، والمملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية)؛ وثلاث زيارات متابعة (بنغلاديش وكينيا ومالي).	0
وبموجب القرار 1425 (2002)، أنشأ المجلس فريق الخبراء المعني بالصومال، الذي خلفه فريق الرصد الذي أنشئ بموجب القرار 1519 (2003).	1
الدول مدعوة إلى فحص البصمات الواردة في النسخ المقيدة من الإشعارات من خلال قواعد بيانات الشرطة الخاصة بها للتحقق من التطابقات داخل أنظمتها الخاصة (القسم سادسا، جيم، الفقرة 80)	1
ومن الجدير بالذكر أيضًا أن وزير الشؤون الاجتماعية بغرب دارفور وهو أيضًا نائب والي ولاية غرب دارفور، حمل أهالي القرية مسؤولية الدمار الذي أدى إلى نزوحهم الجماعي بحجة أنهم سمحوا لأبنائهم بالانضمام المتمردين واستخدام قراهم لأنشطة المتمردين.	0
69 - وفحص الفريق بالفعل هبوط طائرة من طراز AN-124 تحمل شحنة تبلغ 392 طنا من بيلاروسيا في 16 تشرين الأول/أكتوبر 2004، قبيل فرض الحظر. واصلت هذه الرحلة إلى لومي، توغو وتم ربطها بشركة Darkwood (انظر دراسة الحالة أدناه).	1
19 - وقد يسَّر البرنامج الوطني لإعادة الإدماج والتأهيل المجتمعي، الذي من المتوقع أن يستوعب مجموعة من المقاتلين السابقين يبلغ عددها 000 6 مقاتل، عملية تسجيل أفراد القوات الجديدة وتحديد سماتهم.	1
31. وبمساعدة من برنامج الأمم المتحدة الإنمائي وتمويل من صندوق بناء السلام، أنشأت هيئة مكافحة الفساد أمانة عامة لإدارة تنفيذ الاستراتيجية الوطنية لمكافحة الفساد.	1
ونحن ندين جميع أعمال الإرهاب التي ارتكبت في أفغانستان، وخاصة آخرها الذي وقع في السفارة الهندية في كابول، ونعرب عن تعازينا لحكومات وشعوب البلدان المتضررة ولأسر الضحايا وأقاربهم.	0
32 - ومن شأن برنامج تعزيز السلام الذي أطلقته حكومة أفغانستان (انظر الفقرة 16 أعلاه) أن يسمح للمتمردين السابقين بالعودة إلى التيار الرئيسي للمجتمع الأفغاني.	1
قُتل الآلاف واغتصبت النساء وأحرقت القرى ودمرت المنازل ونهبت الممتلكات.	0
يحيط علماً بوضع سياسة بذل العناية الواجبة في مراعاة حقوق الإنسان، ويشجع [البعثة] على مواصلة تنفيذها بالكامل ويطلب إلى الأمين العام أن يدرج التقدم المحرز في تنفيذ هذه السياسة في تقاريره المقدمة إلى المجلس؛	0
وقد أعاقت بعض الجماعات المتمردة العمل الإنساني بشكل مباشر من خلال نهب السيارات والشاحنات والضغط على الموظفين المحليين في المنظمات الإنسانية أو حتى اختطافهم.	0
واقتناعا منه بأنه من غير المقبول من حيث المبدأ أن يفلت أي شخص في أي مكان من المساءلة عن عمل إرهابي لأي سبب من الأسباب، بما في ذلك بسبب عرقلة التحقيق أو عدم التعاون بحسن نية،	0
20 - يدين بنفس القدر من القوة جميع أعمال الاستغلال الجنسي والاعتداء والاتجار بالنساء والأطفال التي يرتكبها الأفراد العسكريون وأفراد الشرطة والموظفين المدنيون المشاركون في عمليات الأمم المتحدة، ويرحب بالجهود التي تبذلها وكالات الأمم المتحدة وعمليات حفظ السلام لتنفيذ مبدأ عدم التسامح مطلقا السياسة العامة في هذا الصدد، ويطلب إلى الأمين العام والبلدان المساهمة بأفراد مواصلة اتخاذ جميع الإجراءات المناسبة اللازمة لمكافحة هذه الانتهاكات التي يرتكبها هؤلاء الأفراد، بما في ذلك من خلال التنفيذ الكامل دون تأخير لتلك التدابير المعتمدة في قرارات الجمعية العامة ذات الصلة استنادا إلى وبناء على التوصيات الواردة في تقرير اللجنة الخاصة المعنية بحفظ السلام، A/59/19/Rev.1؛	0
وتدير مراكز تبادل المعلومات الثلاثة التي أنشئت في صنعاء ومومباسا (كينيا) ودار السلام (جمهورية تنزانيا المتحدة) شبكة من النقاط المحورية في مختلف أنحاء المنطقة، بما في ذلك الصومال، حيث تعمل على توفير المعلومات عن أنشطة القرصنة وتحركات المراكب الشراعية.	1
114 - ويعمل عدد من الدول والمنظمات الدولية والمؤسسات الأكاديمية وغيرها بنشاط على وضع برامج جديدة ومبتكرة لإعادة تأهيل الأشخاص المحتجزين أو المسجونين بسبب تورطهم في أعمال إرهابية.	1
:: 26 نيسان/أبريل 2005، مغادرة آخر القوات السورية لبنان، منهية وجودا عسكريا دام 29 عاما.	1
وأكدت السلطات أنه لا يوجد لاجئون أو مخيمات من كوت ديفوار في غانا.	0
وتلقت اللجنة معلومات موثوقة مفادها أن عناصر من الاستخبارات العسكرية أو الأمنية قد نقلوا عدة أفراد.	0
ومن الواضح أن كافة مؤسسات القانون والنظام في العراق تواجه تحديات خطيرة.	0
وفي إطار مشروع الجهات الفاعلة من غير الدول التابع لمكتب الأمم المتحدة المتكامل لبناء السلام في سيراليون، واصلت المفوضية الاضطلاع بدور رئيسي في تنفيذ البرامج الرامية إلى بناء قدرات الأحزاب السياسية على تخفيف حدة النزاعات وحلها، بما في ذلك جناحيها النسائي والشبابي.	1
11 - ووفقا للقرار 1963 (2010)، ستساعد المديرية التنفيذية اللجنة أيضا في تنظيم اجتماع خاص مفتوح أمام جميع الأعضاء وغيرهم من أصحاب المصلحة المعنيين للاحتفال بالذكرى السنوية العاشرة لاتخاذ القرار 1373 (2001) وإنشاء اللجنة. للجنة.	1
85- وتضم القوات المسلحة أيضاً وحدة عملياتية تسمى استخبارات الحدود، يتمثل دورها الأساسي في جمع المعلومات.	1
وقد تم اعتقال صحفيين بارزين بشكل تعسفي بسبب تحدثهم علناً عن قضايا حقوق الإنسان والدستور وسيادة القانون.	0
وكما ذكر أعلاه، أكدت مصادر مختلفة أن الأطفال يرتدون الزي العسكري ويحملون أسلحة.	0
59 - وينطوي حظر السفر على إمكانات خاصة ضد ممولي تنظيم القاعدة وحركة الطالبان، الذين قد يجدون صعوبة في استخدام هوية مزورة أو التهرب بطريقة أخرى من القيود المفروضة على تحركاتهم.	0
النظر في تطبيق تدابير هادفة ومتدرجة ضد أطراف النزاع المسلح التي تهدد السلام، أو تهاجم أو تعرقل عمل قوات حفظ السلام التابعة للأمم المتحدة أو غيرها من البعثات ذات الصلة، وترتكب انتهاكات للقانون الإنساني الدولي وقانون حقوق الإنسان المعمول بهما.	0
يخضع حرس استخبارات الحدود للسيطرة المباشرة لضباط المخابرات العسكرية في القسم المحدد الذي يتم نشرهم فيه، ويندرجون تحت التسلسل القيادي النظامي للقوات المسلحة.	1
29. ولم تجرّم سوى دولتين تمويل الإرهاب، ولكن دولتين أخريين أدخلتا بعض الأحكام القانونية لمعالجة هذه القضية.	1
خلال الفترة المشمولة بالتقرير، تم تعديل تشكيل فريق المراقبة والتحقق المشترك في غاو ليشمل جميع أعضاء الجماعات المسلحة في التنسيق والمنصة، بالإضافة إلى ممثلين من الجزائر وتشاد وموريتانيا والنيجر. وفي الفترة من 19 إلى 22 نوفمبر/تشرين الثاني، أجرى فريق غاو مهمة لتقصي الحقائق في ديدي، على ضفتي نهر النيجر.	1
إنهم يتعرضون لضغوط حقيقية من المجتمع الدولي وأي اتصال متبادل يهدد أمنهم.	0
(ن) التنسيق والتعاون مع مركز التنسيق الوطني لمكافحة الإرهاب أو هيئة التنسيق المماثلة في دولة الزيارة حيثما كان ذلك مناسبا؛	1
إن برامج سبل العيش البديلة التي تستهدف المجتمعات المحلية، والوصول إلى الأسواق، وبناء الطرق والبنية التحتية البحرية التي تعزز مصايد الأسماك والتجارة من خلال المساعدة الإنمائية ستجعل المكاسب التي تحققت من خلال جهود مكافحة القرصنة أكثر استدامة.	1
66 - لدى خمس دول تشريعات تجرم تمويل الإرهاب، كما توجد الآن قوانين لمكافحة غسل الأموال في تسع دول.	1
3 - واعتبر المشاركون أن هذه الأحداث، بسبب خطورتها، تؤكد ضرورة وإلحاح تسريع الأعمال التحضيرية للحوار الشامل بين الماليين، بطريقة ترسي الأساس لمصالحة حقيقية بين الماليين وإحلال السلام والأمن الدائمين. والاستقرار في البلاد.	0
(ح) وضع منهجيات لتحسين فعالية التعاون مع فرادى الدول والمنظمات دون الإقليمية والإقليمية والدولية، والترتيبات المتعددة الأطراف التي تتناول ضوابط التصدير والكيانات ذات الصلة داخل منظومة الأمم المتحدة، وتقييم مستوى التعاون بين اللجان المنشأة عملاً القرارات 1540 (2004)، 1267 (1999) و 1373 (2001)، بتقييم مستوى تبادل المعلومات وتنسيق الزيارات إلى البلدان، على وجه الخصوص، وتقديم توصيات محددة، إذا كان ذلك مناسبا، لتعزيز التعاون.	1
وينبغي تشجيع جميع أصحاب المصلحة المعنيين على اغتنام هذه المناسبة لرفع مستوى الوعي بالقرار وتعزيز تنفيذه الفعال والعالمي في سياق الأحداث المخطط لها أو الخاصة، بهدف تعزيز التنفيذ.	0
وفي رأي وفدي، ومن أجل منع اندلاع موجات جديدة من العنف وعدم الاستقرار في شمال كوسوفو، يظل من الضروري أن تكون عملية المصالحة مصحوبة بسياسات تهدف إلى ضمان الاستقرار الاجتماعي والاقتصادي للمجتمعات بطريقة غير تمييزية.	0
213. لعبد العال أيضًا صلات ملحوظة بمخزن أسلحة كبير تم اكتشافه في جنوب بيروت في يوليو 2005. وقد داهمت قوى الأمن الداخلي مخزن الأسلحة هذا في 26 يوليو 2005 وتم اعتقال خمسة أشخاص على صلة وثيقة بميليشيا المرابطون السابقة.	0
ونظراً لحجم وضخامة الأحداث المتعلقة بالنزاع في دارفور، فإن إثبات الحقائق وجمع عناصر الإثبات ذات المصداقية لتحديد هوية الجناة المشتبه بهم هي مهام صعبة، لا ينبغي الاستخفاف بها.	0
يرجى إبلاغ لجنة مكافحة الإرهاب بما إذا كان القانون الجنائي الجديد، وعلى وجه التحديد الأحكام التي تجرم تجنيد الأشخاص لغرض ارتكاب أعمال إرهابية، قد تم إقراره في القانون.	1
وتوصي اللجنة أيضًا بإجراء مزيد من التحقيقات لتحديد ما إذا كان لياندرو إسحاق متورطًا في الجرائم المرتكبة.	0
27 - وعلاوة على ذلك، وضعت عدة دول تدابير مؤقتة تسمح لمسؤوليها بتنفيذ الجزاءات بموجب قائمة مجلس الأمن حتى قبل اكتمال عمليات التحقق الوطنية.	1
يدرس المنهج مسائل حقوق الإنسان التي تنشأ عادة في المراحل المختلفة لعملية العدالة الجنائية في قضايا الإرهاب.	1
وسوف يؤكد القرار على سياسة عدم التسامح مطلقا، ​​وضرورة أن تتخذ الدول المساهمة بقوات التدابير التأديبية والقضائية اللازمة، وضرورة الاهتمام الكامل بالضحايا.	0
