en_ar_GOOGLE	MatCoop
&quot;ويرحب مجلس الأمن بأن التدابير الفعالة لمكافحة القرصنة من خلال زيادة المبادرات الوطنية والثنائية والمتعددة الأطراف فضلا عن آليات التعاون الإقليمية قد أدت إلى انخفاض كبير في عدد الهجمات الناجحة المرتبطة بالقرصنة في مناطق مختلفة، ويسلم بالحاجة إلى لمواصلة الجهود الرامية إلى اتخاذ تدابير مكافحة القرصنة هذه لأن هذه المكاسب يمكن عكسها طالما أن الظروف على الشاطئ مواتية لنشاط القراصنة في البحر.	1
يمكنهم تدريب المجندين والابتكار في التخطيط للهجوم وتنفيذ الهجمات. ويواصل تنظيم Lashkar-e-Tayyiba (QE.L.118.05) توفير التدريب المتقدم للإرهابيين، بما في ذلك التدريب على الأجهزة المتفجرة المرتجلة. لا يزال تنظيم القاعدة في شبه الجزيرة العربية (QE.A.129.10) يشكل مصدرا رئيسيا للابتكار التكنولوجي.	0
(3) يعاقب الجاني بالسجن لمدة تتراوح بين عشر سنوات وخمس عشرة سنة مع مصادرة الممتلكات حسبما تراه المحكمة مناسبا، أو بحكم استثنائي،	0
(ب) تلقي الطلبات المقدمة من الأفراد المدرجين في القائمة للحصول على استثناءات من التدابير المبينة في الفقرة 1 (ب) من هذا القرار وإحالتها إلى اللجنة لتقرر، على أساس كل حالة على حدة، ما إذا كان الدخول أو العبور مبررا، وتوجيه تنظر اللجنة في هذه الطلبات بالتشاور مع دول العبور والمقصد وأي دول أخرى معنية، وتقرر كذلك ألا توافق اللجنة على الاستثناءات من التدابير المنصوص عليها في الفقرة 1 (ب) من هذا القرار إلا بموافقة دول العبور والمقصد، ويوجه اللجنة كذلك، من خلال جهة التنسيق، لإخطار هؤلاء الأفراد بقرار اللجنة؛	0
وضع مبادئ توجيهية عملية لدمج منظور النوع الاجتماعي في عمليات إعادة الإعمار المستدامة في بيئات ما بعد الأزمات ومبادئ توجيهية شاملة للمرجع الميداني؛ معالجة قضايا المساواة بين الجنسين وإدارة الأراضي والممتلكات في حالات ما بعد الصراع؛ تطوير مجموعة أدوات لتوفير أساس مفاهيمي لقضايا النوع الاجتماعي فيما يتعلق ببرامج الحكم في بيئة ما بعد الصراع.	1
وإذ يؤكد من جديد أن الإرهاب بجميع أشكاله ومظاهره يشكل أحد أخطر التهديدات التي تهدد السلام والأمن وأن أي أعمال إرهابية تعتبر إجرامية وغير مبررة بغض النظر عن دوافعها، ومتى ارتكبت وأيا كان مرتكبها، ويكرر إدانته القاطعة لتنظيم القاعدة. وغيرهم من الأفراد والجماعات والمؤسسات والكيانات المرتبطة بها، لارتكابهم أعمالاً إرهابية إجرامية مستمرة ومتعددة تهدف إلى التسبب في مقتل مدنيين أبرياء وغيرهم من الضحايا، وتدمير الممتلكات وتقويض الاستقرار إلى حد كبير،	0
وقد بدأ عدد من المعتقلين لدى السلطات المغربية إضراباً عن الطعام في الفترة من أوائل أغسطس/آب إلى 29 سبتمبر/أيلول.	0
&quot;ويدين مجلس الأمن بشدة استهداف المقاتلين المتعمد للمدنيين في الصراعات المسلحة، ويطالب جميع المعنيين بوضع حد لهذه الانتهاكات للقانون الإنساني الدولي والقانون الدولي لحقوق الإنسان.	0
إن برامج سبل العيش البديلة التي تستهدف المجتمعات المحلية، والوصول إلى الأسواق، وبناء الطرق والبنية التحتية البحرية التي تعزز مصايد الأسماك والتجارة من خلال المساعدة الإنمائية ستجعل المكاسب التي تحققت من خلال جهود مكافحة القرصنة أكثر استدامة.	1
ووقعت هجمات أيضًا في عامي 2001 و2002، لكن حجم الهجمات وكثافتها واتساقها زاد بشكل ملحوظ في أوائل عام 2003.	0
221 - تتعاون دول المنطقة دون الإقليمية تعاونا جيدا مع الشركاء الإقليميين والدوليين للحد من مخاطر الإرهاب ومواطن ضعفها أمامه. وهم يتبادلون المعلومات الاستخبارية المتعلقة بالتهديدات والتحذيرات، ويتقاسمون المعلومات العملياتية، ويجرون تدريبات مشتركة وتدريبات أخرى ضمن سياقات ثنائية ومتعددة الأطراف.	1
التقدم المحرز في القضاء على برنامج الأسلحة الكيميائية السوري	1
فهي تساعد على زيادة وعي المجتمع الدولي بقضايا مكافحة الإرهاب وتوفر منتدى مفيدا للدول والمنظمات لمناقشة التهديدات الجديدة ومبادرات بناء القدرات لمواجهة التحديات المرتبطة بالإرهاب.	0
ويتعرض الأداء الحالي لجهاز الشرطة، والشرطة الوطنية لتيمور - ليشتي، وقوة الدفاع، والقوات المسلحة التيمورية، على وجه الخصوص، للعراقيل بسبب الافتقار الملحوظ إلى الشرعية الناجم عن الطريقة التي تم إنشاؤها بها.	0
وبالإضافة إلى ذلك، ووفقاً للجنة الدولية للصليب الأحمر، لا تزال هناك 3476 حالة من حالات المفقودين من كوسوفو دون حل، منهم حوالي 600 شخص ينتمون إلى العرق الصربي والغجر.	0
148 - يعد تنفيذ تدابير مراقبة الحدود أمرا ضروريا للتطبيق العملي لاستراتيجيات الدول في مجال مكافحة الإرهاب.	1
وتعزز التطورات الأخيرة في المنطقة المخاوف التي أعرب عنها محاوروها باستمرار للبعثة.	0
ومع ذلك، لا يزال هناك احتمال لحدوث انهيار كامل للقانون والنظام، بالإضافة إلى انهيار الاقتصاد الهش وتفكك مؤسسات الحكم الذاتي الفلسطيني.	0
وعلى مدى 54 ساعة، جرت مناقشات مستفيضة وصعبة حول مسألة فريق تقصي الحقائق في مخيم جنين للاجئين.	0
إن التحديات التي تواجه البلاد تتطلب من القادة الهايتيين صياغة رابطة مشتركة.	0
تستند استنتاجاتنا حول حدوث انفجار فوق الأرض أو تحتها إلى الفحوصات التالية:	1
&quot;ويشدد المجلس على فائدة الاستمرار في إقامة شراكات فعالة بين الأمم المتحدة والمنظمات الإقليمية ودون الإقليمية ذات الصلة، من أجل التمكين من الاستجابة المبكرة للنزاعات والأزمات الناشئة وتعزيز دور الأمم المتحدة في منع نشوب الصراعات.	1
وفي الفقرة 3 من ذلك القرار، طلب إلي المجلس أن أعيد، بالتشاور مع اللجنة المنشأة عملا بالقرار 751 (1992) بشأن الصومال، في غضون 30 يوما من تاريخ اتخاذ القرار، ولمدة ستة أشهر، أشار فريق الرصد في الفقرة 3 من القرار 1558 (2004) إلى الاضطلاع بالولاية المنصوص عليها في الفقرات الفرعية 3 (أ) إلى (ط) من القرار 1630 (2005).	0
وينبغي للدول أن تتبنى نهجا شاملا في رفض الملاذ الآمن، حيث يلزم اتخاذ العديد من التدابير المترابطة لضمان الفعالية. وتشمل هذه التدابير التشريعية، وإنفاذ القانون، ومراقبة الحدود، والتدابير المتعلقة باللاجئين واللجوء.	1
وضع مبادئ توجيهية جنسانية لنزع السلاح والتسريح وإعادة الإدماج؛ توفير الترتيبات الأمنية لمواقع نزع السلاح داخل مناطق نزع السلاح والتسريح وإعادة الإدماج، مع إيلاء اهتمام خاص لاحتياجات المرأة؛ تنظيم اجتماعات مع المقاتلات السابقات والمرتبطات بالقوات المقاتلة لتقييم الاحتياجات وآليات إعادة الإدماج.	1
وقد أعاقت بعض الجماعات المتمردة العمل الإنساني بشكل مباشر من خلال نهب السيارات والشاحنات والضغط على الموظفين الوطنيين العاملين في المنظمات الإنسانية، أو حتى اختطافهم.	0
المعايير المحددة لملاحقة ومعاقبة الجرائم المبنية على النوع الاجتماعي؛ محاكمة الأشخاص المتهمين بارتكاب جرائم الإبادة الجماعية؛ تطوير الفقه. تعزيز القدرة الوطنية على محاكمة مرتكبي جرائم الإبادة الجماعية.	1
ومع ذلك، فقد اعتمدت دول منطقة البحر الكاريبي المعاهدة الكاريبية بشأن المساعدة القانونية المتبادلة في المسائل الجنائية الخطيرة (بما في ذلك الجرائم المتعلقة بالإرهاب وتمويل الإرهاب وغسل الأموال والاتجار بالمخدرات).	1
وقد أعربت آليات حقوق الإنسان التابعة للأمم المتحدة، على سبيل المثال، عن قلقها إزاء الخطوات التي اتخذتها بعض الدول للحد من أنشطة جماعات دينية معينة أو أعضائها، وفي بعض الحالات تجريمها.	0
78 - واشترك مكتب الأمم المتحدة المعني بالمخدرات والجريمة ومنظمة الأمن والتعاون في أوروبا في تنظيم حلقة عمل إقليمية للخبراء بشأن تنفيذ الصكوك القانونية العالمية لمكافحة الإرهاب كوسيلة لتعزيز التعاون في مكافحة الإرهاب في حوض البحر الأبيض المتوسط، عُقدت في مالقة، إسبانيا. في سبتمبر 2013.	1
21 - ودعم الفريق العامل 3، برئاسة جمهورية كوريا، الجهود التي تبذلها الدول والصناعة البحرية والمجموعات العمالية لحماية السفن من القرصنة قبالة سواحل الصومال.	1
&quot;ويشير مجلس الأمن إلى أن أوامر الاعتقال التي أصدرتها المحكمة الجنائية الدولية بحق جوزيف كوني، وأوكوت أوديامبو، ودومينيك أونغوين بتهم منها جرائم حرب وجرائم ضد الإنسانية، بما في ذلك القتل والاغتصاب وتجنيد الأطفال عن طريق الاختطاف، لم تصدر بعد حتى الآن وينبغي إنفاذها، ويدعو جميع الدول إلى التعاون مع السلطات الأوغندية والمحكمة الجنائية الدولية من أجل تنفيذ تلك الأوامر وتقديم المسؤولين عن الفظائع إلى العدالة.	0
ومن المجالات الأخرى التي ترى المديرية التنفيذية مجالا لمزيد من العمل فيها تعزيز إدماج نهج حقوق الإنسان في برامج مكافحة الإرهاب.	1
50 - ويشكل الموقع الشبكي للجنة أداة لا غنى عنها للشفافية من أجل توعية الجمهور بالمسائل ذات الصلة بالقرار 1540 (2004).	0
115 - ويمكن أن يكون للحظر الحالي تأثير أكبر على حركة طالبان إذا أخذ ذلك في الاعتبار وإذا مُنعت جميع الجهات الفاعلة من غير الدول في أفغانستان من شراء الأسلحة، مع الاستثناءات اللازمة للأغراض الإنسانية وغيرها من الأغراض، على النحو الذي أذنت به حكومة أفغانستان أو مجلس الأمن.	0
أولاً، وفقاً لتقديرات الأمم المتحدة هناك 1.65 مليون نازح داخلياً في دارفور، وأكثر من 200 ألف لاجئ من دارفور إلى تشاد المجاورة.	0
وقالت سبع عشرة دولة إنها لا تعتبر نفسها في خطر، وثلاث دول تعتقد أنه لا يوجد تهديد إقليمي.	0
ويوجد اثنان من المشتبه بهم في الهجوم محتجزين في السجن الذي تم بناؤه في إطار برنامج الجرائم البحرية التابع لمكتب الأمم المتحدة المعني بالمخدرات والجريمة.	0
وبالإضافة إلى توفير المعلومات لعمل آليات الإبلاغ عن حقوق الإنسان والعمل كأرشيف آمن للمعلومات المقدمة من أصحاب المصلحة المعنيين، ينبغي لعمل هذا الهيكل أن ييسر جهود الأمم المتحدة الرامية إلى محاكمة الأشخاص الذين يتحملون أكبر قدر من المسؤولية عن الجرائم المرتكبة ضد الإنسانية أو مساءلتهم بطريقة أخرى. ;	1
وقد وضعت بعض الدول استراتيجيات وطنية لمكافحة الإرهاب، ولكن مستوى التنفيذ يحتاج إلى تحسين وينبغي إيلاء مزيد من التركيز للجوانب الوقائية، بما في ذلك على وجه الخصوص معالجة التحريض على الإرهاب والتهديد بالتطرف الذي يؤدي إلى التطرف العنيف.	1
ومع ذلك، فقد أظهرت هذه العملية أيضا مدى أهمية التحديات التي لا تزال تواجه قطاع الأمن في ليبريا، وخاصة فيما يتعلق باللوجستيات والاتصالات وقدرات التنقل للشرطة ودائرة الهجرة.	0
ودعمت وحدات الشرطة الخاصة جمارك البعثة وقدمت الدعم لأفرقة العمليات الخاصة التابعة لشرطة البعثة.	1
ويدين المجلس جميع الإجراءات الانفرادية التي تهدف إلى خلق حقائق على الأرض من شأنها الإضرار بنتائج المفاوضات.	0
29 - قامت دولتان فقط بتجريم تمويل الإرهاب، لكن دولتين أخريين أدخلتا بعض الأحكام القانونية لمعالجة هذه المسألة.	1
ولا تزال المناطق الخاضعة لحصار النظام تعاني من القصف اليومي، ما يؤدي إلى مجازر بحق المدنيين، دون أي تغطية أو اهتمام إعلامي.	0
57 - وبدعم من الجهات المانحة، أعيد بناء حوالي 000 20 منزل حتى الآن هذا العام للأسر الضعيفة التي تعرضت منازلها لأضرار جسيمة أو دمرت أثناء النزاع.	1
وسيقوم بتنفيذ المشروع مكتب الأمم المتحدة لخدمات المشاريع، وستنفذه البلديات في منطقتي بريشتينا وغنيلاني.	1
(ب) تجريم قيام رعاياها بتوفير الأموال أو جمعها عمدا، بأي وسيلة، بشكل مباشر أو غير مباشر، أو في أراضيها بقصد استخدام الأموال، أو مع العلم بأنها ستستخدم، من أجل للقيام بأعمال إرهابية؛	0
وبالإضافة إلى عواقبه المباشرة، فإن الهجوم على آرو شارو والقرى المجاورة يشكل مصدراً خطيراً للقلق لأنه قد يشير إلى بداية الاستهداف المتعمد للسكان النازحين داخلياً من قبل الميليشيات وعدم قدرة القوات الحكومية أو عدم رغبتها في توفير حماية فعالة لهم. المخيمات والقرى التي يقيم فيها النازحون داخليا.	0
إن توفير مساحة إضافية لضحايا الإرهاب للمساهمة في المناقشة يمكن أن يساعد في مكافحة التحريض بشكل أكثر فعالية. هـ- برامج التأهيل	1
جمهورية أفريقيا الوسطى ووحدة الحراسة التابعة لها، وفرقة العمل الإقليمية التابعة للاتحاد الأفريقي، والقوات الفرنسية المنتشرة في جمهورية أفريقيا الوسطى (الفقرة 54 (أ))؛ الإمدادات من المعدات العسكرية غير الفتاكة المخصصة للاستخدام الإنساني أو الوقائي فقط، وما يتصل بذلك من مساعدة تقنية أو تدريب (الفقرة 54 (ب))؛ الملابس الواقية، بما في ذلك السترات الواقية من الرصاص والخوذات العسكرية، التي يصدرها مؤقتا إلى جمهورية أفريقيا الوسطى موظفو الأمم المتحدة وممثلو وسائط الإعلام والعاملون في المجال الإنساني والإنمائي والأفراد المرتبطون بهم، لاستخدامهم الشخصي فقط (الفقرة 54 (ج))؛ إمدادات الأسلحة الصغيرة وغيرها من المعدات ذات الصلة المخصصة فقط للاستخدام في الدوريات الدولية التي توفر الأمن في المنطقة المحمية الثلاثية لنهر سانغا للدفاع ضد الصيد غير المشروع وتهريب العاج والأسلحة وغيرها من الأنشطة المخالفة للقوانين الوطنية لجمهورية أفريقيا الوسطى أو وبالالتزامات القانونية الدولية لجمهورية أفريقيا الوسطى (الفقرة 54 (د))؛ إمدادات الأسلحة والمعدات الفتاكة الأخرى ذات الصلة إلى قوات الأمن في جمهورية أفريقيا الوسطى، المخصصة حصراً لدعم عملية إصلاح القطاع الأمني في جمهورية أفريقيا الوسطى أو استخدامها فيها، على النحو الذي وافقت عليه اللجنة مسبقاً (الفقرة 54 (هـ)) ; أو عمليات بيع أو توريد أخرى للأسلحة والأعتدة ذات الصلة، أو تقديم المساعدة أو الأفراد (الفقرة 54 (و)).	1
إن إنشاء محاكم مختلطة قد تكون قادرة على الاعتماد على النظام القانوني الوطني من شأنه أن يثير مشاكل خطيرة، لا سيما فيما يتعلق بقانون الإجراءات الجنائية السوداني لعام 1991.	1
ولذلك، أصبح السجل أداة ذات صلة مباشرة بالعمل الذي يقوم به مجلس الأمن والجمعية العامة بشأن الأسلحة الصغيرة والأسلحة الخفيفة.	1
وعلى سبيل المثال، وجدت دول منطقة الصحراء صعوبة في التعامل مع معسكرات تدريب الإرهابيين المتنقلة التي يديرها تنظيم القاعدة في بلاد المغرب الإسلامي (QE.T.14.01.).	0
قوات الدفاع الشعبي تقاتل إلى جانب القوات المسلحة النظامية.	1
وتتطلع اللجنة إلى أن تتلقى من المديرية التنفيذية للجنة مكافحة الإرهاب، قبل نهاية تشرين الثاني/نوفمبر 2009، أول دراسة استقصائية محدثة للتنفيذ العالمي، لتنظر فيها من أجل الاستجابة لطلب مجلس الأمن المذكور أعلاه.	1
وهو يدين بشدة حركة طالبان لشنها هجوما جديدا في تموز/يوليه 1999، بعد أسبوع واحد فقط من اجتماع مجموعة &quot;الستة زائد اثنين&quot; في طشقند، على الرغم من مطالبات المجلس المتكررة بوقف القتال.	0
ومما يثير القلق بنفس القدر المعلومات المتعلقة بتزايد التوتر بين الأحزاب الحكومية والمعارضة في إطار المسائل الحاسمة بالنسبة لمستقبل كوسوفو، فضلا عن استمرار العناصر المستعدة للجوء إلى العنف.	0
43- ومع انتهاء المظاهرة في الساعة الواحدة ظهراً من يوم الجمعة 28 نيسان/أبريل، ظهر تغير ملموس في أجواء الحشود المتجمعة أمام قصر الحكومة في الصباح الباكر.	0
49 - وواصلت الحكومة أيضا جهودها الرامية إلى تقديم المساعدة الغذائية إلى السكان الذين يعانون من انعدام الأمن الغذائي والضعفاء بدعم من برنامج الأغذية العالمي، بما في ذلك من خلال برنامج تغذية الأم والطفل التابع لوزارة الصحة (000 47 مستفيد في عام 2010 حتى 30 حزيران/يونيه). وبرنامج التغذية المدرسية التابع لوزارة التعليم (241000 مستفيد) وبرنامج الغذاء مقابل العمل/الأصول (600 مستفيد) الذي يستهدف المجتمعات التي تعاني من انعدام الأمن الغذائي. وفي 27 مايو/أيار، تم افتتاح مصنع لإنتاج الأغذية المخلوطة المغذية لتوزيعها من خلال برنامج تغذية الأم والطفل بدعم فني وإداري من برنامج الأغذية العالمي.	1
والعنصر الذاتي المطلوب (الوعي بالطبيعة المنهجية للتشريد القسري) سيكون متأصلا في حقيقة أن هذا النزوح يرقى بوضوح إلى سياسة حكومية تنتهجها باستمرار السلطات الحكومية المعنية والجنجويد.	0
&quot;ويدعو مجلس الأمن جميع الدول والمنظمة البحرية الدولية ومنظمة العمل الدولية وغيرها من المنظمات والوكالات الدولية ذات الصلة إلى اعتماد أو التوصية، حسب الاقتضاء، بتدابير لمنع عمليات الاختطاف، وتدابير لحماية مصالح ورفاهية البحارة الذين يقعون ضحايا القراصنة، سواء أثناء أسرهم من خلال تقديم المساعدة الطبية وغيرها من المساعدات الإنسانية، وكذلك بعد إطلاق سراحهم من الأسر، بما في ذلك توفير الرعاية لهم بعد وقوع الحادث وإعادة إدماجهم في المجتمع، وتحيط علما في هذا الصدد بالمقترحات المتعلقة ببرنامج لدعم الرهائن التي وضعتها الأمم المتحدة - مكتب الأمم المتحدة السياسي للصومال ومكتب الأمم المتحدة المعني بالمخدرات والجريمة.	1
وعقدت أيضا اجتماعات أخرى مع فريق الرصد المنشأ عملا بالقرار 1519 (2003) بشأن الصومال فيما يتعلق بسوق الأسلحة في مقديشو والتدفقات المالية الإقليمية، واجتمعت بفريق الخبراء المنشأ عملا بالقرار 1579 (2004) بشأن ليبريا لمناقشة حركة السلع الثمينة.	1
(ز) الالتزام باتخاذ الاحتياطات اللازمة لتقليل الخسائر والأضرار العرضية نتيجة للهجمات، بحيث يجب على كل طرف أن يفعل كل ما هو ممكن لضمان أن الأهداف هي أهداف عسكرية واختيار وسائل أو أساليب القتال التي من شأنها تقليل الخسائر في الأرواح. المدنيون؛	1
وتدرك الدول الثلاث نظام العقوبات وتتخذ خطوات لتحسين التنفيذ، لكنها لم تدرك بشكل كامل بعد كيف يمكن للنظام أن يساعدها في استجابتها الوطنية والإقليمية للتهديد.	1
16 - وفي محاولة لاحتواء فيروس إيبولا، أغلقت بعض بلدان غرب أفريقيا حدودها وأوقفت الرحلات الجوية التجارية إلى الدول الثلاث الأكثر تضررا، وهي غينيا وليبيريا وسيراليون. وفرضت كوت ديفوار قيودا على الطيران من وإلى الدول الثلاث في 10 آب/أغسطس، أعقبها إغلاق الحدود البرية في 22 آب/أغسطس.	1
يشرفني أن أحيل طيه تقرير لجنة مجلس الأمن المنشأة عملا بالقرار 1521 (2003) بشأن ليبريا، والذي يتضمن وصفا لأنشطة اللجنة في الفترة من 1 كانون الثاني/يناير إلى 31 كانون الأول/ديسمبر 2014. والتقرير الذي وافقت عليه اللجنة، ويقدم وفقا لمذكرة رئيس مجلس الأمن المؤرخة 29 آذار/مارس 1995 (S/1995/234).	1
وهرعت سيارات الدفاع المدني والإطفاء والصليب الأحمر إلى المكان، وعملت على إخماد الحريق وجمع الجثث ونقل الجرحى إلى المستشفى.	1
وشدد الممثل الخاص على أن النساء يعشن في ظروف يرثى لها دون الحصول على الخدمات الصحية وخدمات العدالة، واعتبر أنه سيكون من الصعب للغاية معالجة مثل هذه الحالة، نظرا، على وجه الخصوص، لثقافة الصمت وغياب مؤسسات التحقيق والملاحقة القضائية. .	0
&quot;توفير وسائل مناسبة ومرنة لدعم السلام في الفترة الانتقالية وأنشطة إدارة الأزمات، مثل حماية المدنيين، بما في ذلك موظفي الأمم المتحدة والعاملين في المجال الإنساني، ونزع سلاح المقاتلين السابقين وتسريحهم وإعادة إدماجهم، ووضع حد للإفلات من العقاب، وبناء المؤسسات العامة، والعدالة الانتقالية، فضلا عن كما أن تعزيز وحماية حقوق الإنسان وإدماج المنظور الجنساني أمران ضروريان لضمان السلام الدائم بعد الصراع.	1
ويؤكد المجلس ضرورة تقديم الأفراد الذين يحرضون على العنف أو يتسببون فيه ضد المدنيين في حالات النزاع المسلح أو الذين ينتهكون القانون الإنساني الدولي والقانون الدولي لحقوق الإنسان إلى العدالة بالطريقة المناسبة.	0
خلال مناقشاتنا السابقة، شاركت بلجيكا الأمين العام في القلق الذي أعرب عنه بشأن الخطر الذي يشكله العنف في العراق على المجتمع والمؤسسات والعملية السياسية التي لا تزال هشة.	0
وبعض توصياتها إلى السلطات السودانية يمكن، بل ينبغي تنفيذها على الفور، بما في ذلك منح اللجنة الدولية للصليب الأحمر ومراقبي حقوق الإنسان التابعين للأمم المتحدة حق الوصول الكامل ودون عوائق إلى جميع المحتجزين على خلفية الوضع في دارفور.	1
:: تتلقى اللجنة في الاضطلاع بولايتها المساعدة من المديرية التنفيذية للجنة مكافحة الإرهاب، بتوجيه من الاجتماع العام في مجال السياسات.	1
كما أن وجود العناصر المتطرفة وأنشطتها المزعومة كان أيضا مصدرا للقلق.	0
كما دعوا القوات الجديدة إلى أن تبدأ، في أقرب وقت ممكن، قبل 15 تشرين الأول/أكتوبر، ودون شروط مسبقة، عملية التسريح ونزع السلاح وإعادة الإدماج، التي وافقوا عليها في أكرا. وشددوا على ضرورة نزع سلاح جميع الجماعات شبه العسكرية والميليشيات.	0
وأي اتجاهات نحو التطرف في المؤسسات التعليمية تقع تحت سلطة وزارة التربية والتعليم.	1
وتفيد التقارير أن المجموعة لها روابط قوية مع تنظيم القاعدة في شبه الجزيرة العربية، وقد قدمت التدريب في الصومال لإرهابيين أفراد من نيجيريا والبلدان القريبة من حدودها.	0
55 - ولتحسين دعمها اللوجستي للوحدات والشرطة المنتشرة في أصعب البيئات في مالي، قامت البعثة بتعيين موظفين للدعم المدني لتسهيل التخطيط اللوجستي وإعداد التقارير لبعض الوحدات العسكرية المنتشرة في كيدال وتيساليت.	1
وقد رفضت بريشتينا حتى الآن كل مبادرة في هذا الصدد.	0
(أ) مواصلة تذكير الدول الأعضاء بالتزامها بالتسليم أو المحاكمة وفقا للصكوك الدولية المنطبقة لمكافحة الإرهاب التي هي أطراف فيها، وتذكير الدول بالتزامها بضمان عدم اعتبار الادعاءات بوجود دوافع سياسية أساسا للمحاكمة رفض طلبات تسليم الإرهابيين المزعومين؛	0
المرأة ومنع نشوب الصراعات وحلها يدعو جميع الأطراف المعنية إلى ضمان معالجة مسألة حماية النساء والأطفال في تنفيذ [الاتفاق السياسي] وكذلك في مراحل إعادة الإعمار والانتعاش بعد انتهاء الصراع، بما في ذلك الرصد المستمر والإبلاغ عن حالة النساء والأطفال.	1
