en_ar_TRANSFORMERS	MatConf
الطلب أن تتضمن تقارير الأمين العام عن الحالات الخاصة ببلدان محددة العنف الجنسي كجانب محدد من جوانب التقرير، بما في ذلك، قدر الإمكان، بيانات مصنفة حسب نوع الجنس وسن الضحايا؛ وطلب وضع استراتيجيات وخطط عمل خاصة بالبعثات لمنع العنف الجنسي والتصدي له، كجزء من استراتيجية أوسع نطاقا لحماية المدنيين.	1
143 - ثانيا، يجب على الحكومة وزعماء المتمردين أن يؤكدوا على الجهود الرامية إلى منع التجاوزات، وحماية الأشخاص المعرضين للخطر، وتقديم المسؤولين عن التجاوزات إلى العدالة.	0
وأفاد بأن قيادة التجمع الكونغولي من أجل الديمقراطية قد أعادت السيطرة على نفسها، وهي في سبيلها إلى جمع خصومها.	1
12 - يهيب بالدول الأعضاء أن تتحرك بقوة وعلى نحو حاسم لوقف تدفق الأموال وغيرها من الأصول المالية والموارد الاقتصادية إلى الأفراد والكيانات المدرجة أسماؤهم في قائمة الجزاءات المفروضة على تنظيم القاعدة، على النحو المطلوب في الفقرة 1 (أ)، مع مراعاة التوصيات ذات الصلة الصادرة عن فرقة العمل المعنية بالإجراءات المالية والمعايير الدولية الرامية إلى منع إساءة استخدام المنظمات التي لا تستهدف الربح ونظم التحويلات غير الرسمية/البديلة وحركة العملات المادية عبر الحدود، مع العمل في الوقت نفسه على التخفيف من أثر ذلك على الأنشطة المشروعة من خلال هذه الوسائط؛	0
”ويقر مجلس الأمن بالجهود التي تبذلها جامعة الدول العربية للإسهام في المساعي الجماعية الرامية إلى تسوية الصراعات في الشرق الأوسط بالوسائل السلمية، فضلا عن تعزيز الاستجابات الدولية للتحولات التي تشهدها المنطقة، ويشجعها كذلك، ويؤكد من جديد التزامه القوي بسيادة واستقلال ووحدة وسلامة أراضي بلدان المنطقة وبمقاصد الميثاق ومبادئه.	0
115 - وهاجم أفراد من الحشود المتظاهرين في غلينو في 8 أيار/مايو اثنين من ضباط الوحدة الشرقية المنزوعين من السلاح، على النحو المبين في الفقرات 61 إلى 63 أعلاه.	1
دخلت شاحنة ميتسوبيشي ستر (Mitsubhishi Cantter) التي كانت تستخدم كحاملة قنابل لبنان من الجمهورية العربية السورية عبر حدود البقاع و"ممر حار" عسكري في الساعة 20/13 من يوم 21 كانون الثاني/يناير 2005 بقيادة عقيد سوري من الفرقة العسكرية العاشرة.	1
ورأت بعثة تقصي الحقائق أنه ينبغي إجراء تحقيق دولي مستقل لإثبات الحقيقة، نظراً إلى التشكيك في مصداقية السلطات اللبنانية التي تجري التحقيق.	0
وأذن المجلس بنشر عملية الأمم المتحدة في بوروندي بقوام أقصاه 650 5 فردا عسكريا، بمن فيهم 200 مراقب و 125 من ضباط الأركان، بحد أقصى يصل إلى 120 فردا من أفراد الشرطة المدنية والموظفين المدنيين المناسبين، على أن يتم نشر عملية الأمم المتحدة في بوروندي اعتبارا من 1 حزيران/يونيه 2004، لفترة أولية مدتها ستة أشهر، على أن تتألف في البداية من قوات البعثة الأفريقية في بوروندي.	1
وتحسنت بشكل كبير إمكانية وصول المساعدات الإنسانية إلى دارفور بسبب الرفع التدريجي للقيود المفروضة على إيصال المساعدات الإنسانية منذ الصيف الماضي.	0
”ويؤكد مجلس الأمن من جديد التزام جميع الدول الأعضاء بتسوية المنازعات وتسوية المنازعات وفقا لميثاق الأمم المتحدة، ويهيب بالمجتمع الدولي أن يساعد، حسب الاقتضاء، في الجهود التي تبذلها المنظمات الإقليمية ودون الإقليمية بهدف تسوية المنازعات بالوسائل السلمية ومنع نشوب الصراعات وحلها وفقا لميثاق الأمم المتحدة وقرارات مجلس الأمن ذات الصلة.	0
46 - واصلت البعثة تنسيق الدعم المقدم لتنفيذ الاستراتيجية الوطنية المتعلقة بالعنف الجنسي والجنساني، التي يجري في إطارها تنفيذ خمسة برامج في مجالات الوقاية والحماية، ومكافحة الإفلات من العقاب، والمساعدة المتعددة القطاعات، وإصلاح قطاع الأمن، والبيانات ورسم الخرائط في مقاطعة إيتوري وكيفو الجنوبية.	0
وهذه التحديات مجتمعة تفرض ضغوطا سياسية على الحكومات وتؤثر تأثيرا مباشرا وخطيرا على السلام والأمن والاستقرار في البلدان المعنية.	0
السيد موساييف (أذربيجان) (تكلم بالانكليزية): بادئ ذي بدء، أود أن أعتذر عن طلب الكلمة مرة أخرى، وكنا نعتقد أنه سيكون من غير المناسب ومن غير المجدي أن نتجاوز التعليقات التي أدلى بها ممثل أرمينيا ومحاولته تضليل مجلس الأمن في صمت.	0
وفي يوم الأحد الماضي، وبمناسبة الذكرى السنوية الحادية والعشرين لحماس، تحدى زعيم حماس هنية استمرار الرئيس عباس في منصبه ريثما يتم حل الانقسام الداخلي.	0
ويقدر عدد المتضررين من النزاع في شمال دارفور، الذي يسجل أقل عدد من ولايات دارفور الثلاث، بـ 200 685 شخص، منهم 000 403 من المشردين داخليا.	1
فعلى سبيل المثال، يتصل عدد كبير منها بالموت والتعذيب والإصابات الشخصية والآلام والكروب الذهنية وأخذ الرهائن والخسائر والأضرار التي تلحق بالممتلكات العقارية والشخصية.	1
ويبدو أن اجتماعا عقد في دمشق بين السيد الحريري والرئيس الأسد في 26 آب/أغسطس 2004 قد أدى إلى وقف الصراع.	1
59 - وسافر فريق الخبراء على نطاق واسع في كوت ديفوار وفي المنطقة دون الإقليمية وفي أماكن أخرى في إطار جهوده الرامية إلى تقييم الامتثال للحظر وتحديد التدابير الإضافية التي يمكن اتخاذها لتحسين فعاليته.	0
وأشار وكيل الأمين العام كذلك إلى أن الأمم المتحدة اكتشفت زيادة في الخطاب الاتهامي الذي توجهه حكومة جنوب السودان إلى بعثة الأمم المتحدة في جنوب السودان وانتهاكات حكومة جنوب السودان لاتفاق مركز قوات البعثة.	0
وسلط الممثل الخاص الضوء على التقدم السياسي الهام، ولا سيما في عملية تشكيل الدولة، ورحب بالعملية الجارية للمصالحة وإنشاء الإدارات المؤقتة.	0
إدانة الهجمات المتعمدة التي تستهدف العاملين في المجال الإنساني والدعوة إلى وقفها فورا.	1
(ج) إساءة معاملة أسرى الحرب الإريتريين؛	1
وقد وُضعت آليات للمساءلة إلى حد كبير لمعالجة المخالفات وضمان اتباع التشريعات والإجراءات المعمول بها، إلا أنها لا توفر الحماية الكافية.	0
ومن أجل التعجيل بالعملية وكفالة توافر عدد كاف من الموظفين المؤهلين، تؤيد اللجنة استكشاف سبل توسيع قاعدة المرشحين المحتملين.	0
وبينما يحتفظ القادة في أفغانستان بدعوتهم الشخصية ومصداقيتهم التاريخية كمؤسسين لتنظيم القاعدة، ومن الأفضل لهم أن يتظاهروا بأن هناك مبررا دينيا للإرهاب، فإن تنظيم القاعدة في العراق، سواء كان يرأسه أبو مصعب الزرقاوي أو خلف له، بتدفقه من الهجمات التي تتصدر عناوينها، يحظى بمناشدة أكبر لمن يطمحون إلى العمل.	1
وأغلقت المدارس التي ترفض التسجيل أو التي لها صلات بمنظمات إرهابية محظورة.	0
وشدد الفريق على أن المهمة الفورية تتمثل في تعميم وثيقة الدوحة لضمان قبولها من جانب سكان دارفور وإقناع بقية الجماعات المسلحة بالتوقيع على الوثيقة.	0
ويشدد على دور الهيئة العليا لوسائط الإعلام، واللجنة الدولية للشخصيات البارزة، واللجنة الدولية لدعم المرحلة الانتقالية، في التشجيع على سير العملية الانتخابية بسلاسة وعلى تهيئة مناخ سياسي هادئ، ويؤكد من جديد دعمه لها.	0
33 - اعتمدت جميع دول الجنوب الأفريقي بعض التدابير التشريعية وغيرها من التدابير ذات الصلة بمكافحة الإرهاب.	0
وتفيد التقارير بأن الأطفال كانوا يتامى نتيجة للنزاع وأن جيش تحرير السودان كان يتولى رعايتهم.	1
وفي حين أنه لا يزال يتعين تحديد العدد الدقيق للمشردين وعدد القرى التي دمرت، فإن التشريد الجماعي وتدمير القرى أمران لا جدال فيهما.	1
”ويشدد مجلس الأمن على أهمية التزام كل من إثيوبيا وإريتريا بإرساء أسس السلام المستدام في المنطقة، وإدراكا منه لمسؤوليات الأمم المتحدة بموجب اتفاقي الجزائر، فإنه لا يزال مصمما على تشجيع البلدين ومساعدتهما على تحقيق هذا الهدف.	0
وأبلغ الممثل الخاص كوبلر المجلس بعدة هجمات شنها تحالف القوى الديمقراطية في الفترة بين 5 و 18 تشرين الأول/أكتوبر، وتسببت في مقتل أكثر من 40 مدنيا ومئات من المشردين داخليا بالقرب من بلدة بيني، في الجزء الشرقي من جمهورية الكونغو الديمقراطية.	1
67 - واستخدمت جمهورية كوريا الشعبية الديمقراطية قواتها البرية والبحرية والاستخباراتية لإجراء عمليات الاختطاف والاعتقال.	1
ووجدت اللجنة أدلة تشير إلى أن القبائل العربية بدأت تستقر في مناطق كان يسكنها النازحون في السابق، مما زاد من الحيلولة دون عودة النازحين في نهاية المطاف.	1
وفي كانون الأول/ديسمبر 2003، هاجم الجنجويد والقوات الحكومية قرية نوري بالقرب من بلدة مورني في غرب دارفور.	1
وأُعرب أيضا عن القلق الشديد إزاء ما أُبلغ عنه من بيانات وشعارات تهديدية ضد موظفي الأمم المتحدة والموظفين الدوليين خلال المظاهرات الأخيرة في أبيدجان.	0
وإذ يشير إلى اتخاذ القرار 2122، وإذ يعيد تأكيد اعتزامه زيادة اهتمامه بقضايا المرأة والسلام والأمن في جميع مجالات العمل المواضيعية ذات الصلة المدرجة في جدول أعماله، بما في ذلك المجالات التي تهدد السلام والأمن الدوليين بسبب الأعمال الإرهابية،	0
وبعد ذلك، قُتل في سوريا.	1
ومن بين المسائل التي تم تحديدها ما يلي: الافتقار إلى سياسة جزاءات واضحة ومحددة جيدا، وعدم كفاية تدريب الموظفين، وإنشاء ثقافة فعالة للامتثال للجزاءات على نطاق المؤسسة، والكفاءة العامة لتكنولوجيات الفرز.	1
وتواصل الميليشيات الهجوم، مدعية أنها ليست جزءا من أي اتفاق، ولم توقفها الحكومة.	1
ويعزى ذلك إلى حد كبير إلى قيادة رئيس الوزراء غوسماو، وكذلك إلى تعاون جميع الأحزاب السياسية الممثلة في البرلمان، بما في ذلك المعارضة، التي أظهرت استعدادها للمضي قدما في مسألة وطنية ذات أولوية.	0
60 - غير أن انتهاكات حقوق الطفل، بما في ذلك العنف الجنسي، لا تزال تشكل مصدر قلق بالغ في جميع أنحاء البلد.	1
(ب) مواصلة الانتباه إلى تطور أحدث التقنيات، من أجل منع إساءة الاستخدام وكشف حالات تمويل الإرهاب من خلال أساليب دفع جديدة؛ ووضع القوانين والأنظمة المناسبة وتعزيز التعاون الدولي في التحقيق في الاشتباه في إساءة استخدام أساليب الدفع الجديدة لغرض تمويل الإرهاب ومقاضاة المسؤولين عن ذلك؛	0
وتم تعديل النظام بموجب القرارين 1333 (2000) و 1390 (2002) لفرض ثلاثة تدابير محددة الهدف (تجميد الأصول، وحظر السفر، وحظر توريد الأسلحة) ضد الأفراد والكيانات المرتبطة بحركة الطالبان وتنظيم القاعدة، والإعفاءات من تجميد الأصول وحظر السفر متاحة، وفي 17 حزيران/يونيه 2011، اتخذ المجلس بالإجماع القرارين 1988 (2011) و 1989 (2011) اللذين قسما النظام إلى اثنين، وأنشأ لجنة لتنظيم القاعدة ولجنة أخرى لحركة الطالبان.	1
ويشدد على أهمية بناء قدرات شرطة وطنية فعالة ومهنية في هايتي.	1
وفي ١١ آب/أغسطس ١٩٧٥، شن اتحاد القوى الديمقراطية هجوما مسلحا وقائيا على الجبهة الثورية لتيمور الشرقية، وشُن الهجوم المضاد في ٢٠ آب/أغسطس ١٩٧٥، وهو اليوم الذي يُحتفل فيه الآن بيوم تأسيس القوات المسلحة للتحرير الوطني لتيمور الشرقية.	1
وعند اختتام أعمال جميع أفرقة المفوضين التابعة للجنة الأمم المتحدة للتعويضات في حزيران/يونيه 2005، تبين أن 1.55 مليون مطالبة (من أصل 2.69 مليون مطالبة) كانت ناجحة.	0
”ويذكِّر مجلس الأمن الدول بأنه يجب عليها أن تكفل امتثال أي تدابير تتخذها لمكافحة الإرهاب لجميع التزاماتها بموجب القانون الدولي، ولا سيما القانون الدولي لحقوق الإنسان والقانون الدولي للاجئين والقانون الإنساني الدولي.	0
109- وقد أُبلغ السيد صادق بأن ت. ت. ت. وبعض المتفجرات الخاصة قد استُخدمت لتوجيه الشكوك نحو الجماعات الإسلامية المتطرفة، لأن هذه الأنواع من المتفجرات لم تُستخدم إلا في عمليات في العراق.	1
44 - وعلاوة على ذلك، تشيد الهيئة بالتقدم المحرز في محادثات الجزائر وتدعو جميع الأطراف، ولا سيما قادة الجماعات المسلحة، إلى المشاركة شخصيا في العملية بغية التوصل إلى اتفاق في أقرب وقت ممكن على أساس المشروع الذي قدمه فريق الوساطة إلى الطرفين، والذي يشكل أساسا صلبا للتفاوض.	0
9 - وبلغ عدد الأفراد العاملين في فيلق حماية كوسوفو 029 3 فردا عاملا، بمن فيهم 157 من الأقليات، في نهاية آب/أغسطس.	1
34 - وفي 8 شباط/فبراير، قام 418 ملتمسا بمسيرة في قصر الرئاسة.	1
وأطلق الرجال من هذه المركبات والجنود في الشارع النار على مركبات الشرطة، مما أدى إلى إصابة أحد ضباط الشرطة الوطنية لتيمور - ليشتي في ساقيه.	1
:: 14 شباط/فبراير 2005، قُتل رفيق الحريري و 22 فردا آخرين في انفجار واسع النطاق في منطقة واجهة بحرية في وسط بيروت.	1
ويشجع مجلس الأمن، في هذا الصدد، جميع دول المنطقة على التوقيع على مدونة قواعد السلوك وتنفيذها في أقرب وقت ممكن، ويدعوها إلى اتخاذ مزيد من التدابير الفعالة على الصعيد الوطني لمكافحة القرصنة والسطو المسلح في البحر في خليج غينيا.	0
ويطالب المجلس بالوقف الفوري لجميع الهجمات التي يشنها جيش الرب للمقاومة ويحث جيش الرب للمقاومة على الإفراج عن جميع المختطفين ونزع سلاحهم وتسريحهم.	0
ورأت الدول الأعضاء في مداخلاتها أن الإرهاب هو أحد أخطر التهديدات للسلم والأمن الدوليين وأن دحره يتطلب جهدا منسقا مستمرا.	0
والاستنتاج الواضح من المادة 33 هو أنه يجوز لأي فرد من أفراد أجهزة الأمن، تحت مظلة القانون، أن يعذب مشتبها فيه، حتى حتى الموت، إذا كانت أفعاله تتم أثناء أداء واجبه.	1
وأضاف أن مبادئ الأمم المتحدة لحفظ السلام، وهي موافقة الأطراف والحياد وعدم استخدام القوة إلا في حالة الدفاع عن النفس والدفاع عن الولاية، قد لا تنطبق دائما على الجماعات الإجرامية المسلحة في البعثات المعاصرة، وأن تطبيقها يمكن استعراضه وتعديله وفقا للتهديدات المعاصرة ولسياق العنف الذي يواجهه المدنيون الأبرياء وأفراد حفظ السلام في مناطق النزاع.	0
وهي تشجعها على مضاعفة جهودها من أجل توفير الأمن للسكان المدنيين الموجودين في أراضيها، بمن فيهم الأجانب الذين تمنحهم اللجوء.	0
وبالإضافة إلى المعلومات الموثوقة الأخرى، سجلت اللجنة شهادة الأشخاص الذين ألقي القبض عليهم فيما يتعلق بالنزاع في دارفور والذين هم حاليا رهن الاحتجاز في الخرطوم فيما يتعلق بالتعذيب والمعاملة اللاإنسانية والمهينة التي تعرضوا لها.	1
140 - وفي 14 كانون الأول/ديسمبر 2004، بدأت محادثات بين حكومة السودان ووفد من الحركة في نجامينا، بوساطة تشادية، وفي 17 كانون الأول/ديسمبر، وقع الطرفان بروتوكولين، أحدهما بشأن وصول المساعدات الإنسانية والآخر بشأن المسائل الأمنية في منطقة الحرب.	0
وفي 30 كانون الثاني/يناير، أُجريت مكالمة هاتفية إلى الخط الأرضي في منزل السيد أبو عدس من نفس مقصورة الهاتف الموجودة في طرابلس.	1
واستجابة لذلك، أنشأت إدارة العدل التابعة لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو فريقا عاملا مشتركا مع ركيزة بناء المؤسسات لدراسة التقرير وتحديد سبل تنفيذ توصياته.	0
وسيكون هذان النهجان ضروريين لمواجهة تحدي الإرهاب.	0
باء - التعاون مع القوات المالية والعملية	0
وفيما يتعلق بالجريمة بين الأعراق، فإن آلية إنفاذ القانون ضعيفة أيضا.	1
(د) منع من يمولون الأعمال الإرهابية أو يدبرونها أو ييسرونها أو يرتكبونها من استخدام أراضي كل منهم لتحقيق تلك المقاصد ضد دول أخرى أو ضد مواطنيها؛	1
وستواصل اللجنة خلال هذه الفترة التحقيق في الجريمة ومساعدة السلطات اللبنانية على مواصلة التحقيق.	0
57 - وجمعت البعثة معلومات تفيد بأن كتائب الموت تتألف من عناصر قريبة من الحكومة وحرس الرئاسة وميليشيا قبلية تنتمي إلى المجموعة العرقية للرئيس.	0
28 - وذكر نائب الممثل الخاص للأمين العام أنه منذ اندلاع النـزاع في كانون الأول/ديسمبر 2013، وردت تقارير عن طريق آلية الرصد والإبلاغ تشير إلى أن طرفي النـزاع مسؤولان عن الانتهاكات والتجاوزات المرتكبة ضد الأطفال، بما في ذلك القتل والتشويه والتجنيد والاستخدام والعنف الجنسي.	1
ومن المعقول افتراض أن وجود الشرطة لأسباب سياسية أكثر من أي شكل من أشكال الحماية.	1
- بتاريخ 8 تشرين الثاني/نوفمبر 2014 استهدف الطيران الحربي النظامي محيط مستشفى شهيد وسيم حسنو في إدلب وأدى إلى إلحاق أضرار بالمستشفى.	1
اجتمع مجلس الأمن على المستوى الوزاري في 22 أيلول/سبتمبر للنظر في الجوانب المدنية لإدارة الصراعات وبناء السلام.	0
ولوحظ توتر شديد بين السكان المحليين استجابة لتحصيل الضرائب والابتزاز غير المشروعين من جانب المسؤولين الأبخازيين بحكم الأمر الواقع.	1
بيد أن المعلومات التي قدمها الشطرائي وأومداس اللذان رافقا اللجنة الوطنية، والأدلة المتاحة، تشير إلى أن جميع الأطراف مسؤولة، في ظل ظروف الصراع المشتعل، عن حرق القرى.	1
وتجدر الإشارة إلى أن الحركتين لم تجادلا في قضيتهما من وجهة نظر قبلية، بل تحدثتا باسم جميع الدارفوريين، ووجهتا هجماتهما أساسا على المنشآت الحكومية.	1
وسيكون هناك خطر من تركيز الاهتمام على المركز على حساب المعايير.	0
وإذ تشدد على أن تعزيز الحوار وتوسيع نطاق التفاهم بين الحضارات، سعيا إلى منع الاستهداف العشوائي لمختلف الأديان والثقافات، والتصدي للصراعات الإقليمية التي لم تحل ولالمجموعة الكاملة من القضايا العالمية، بما فيها قضايا التنمية، من شأنه أن يسهم في التعاون الدولي، الذي هو في حد ذاته ضروري لاستدامة الحرب على الإرهاب على أوسع نطاق ممكن،	0
دعوة الدول إلى الامتثال لالتزاماتها بالتحقيق مع الأشخاص المشتبه في ارتكابهم الإبادة الجماعية أو جرائم الحرب أو الجرائم ضد الإنسانية أو غيرها من الانتهاكات الجسيمة للقانون الدولي، بما في ذلك القانون الإنساني الدولي وقانون حقوق الإنسان وقانون اللاجئين، أو البحث عنهم أو محاكمتهم أو تسليمهم، بصرف النظر عن مركزهم أو انتمائهم السياسي.	0
190 - وجميع الدول أطراف في اتفاقية تمويل الإرهاب، وقد سنت جميعها تشريعات لمكافحة غسل الأموال وتمويل الإرهاب وأنشأت وحدات استخبارات مالية أعضاء في مجموعة إيغمونت.	0
وقال الممثل الخاص إن المكاسب الإقليمية التي تحققت مؤخراً ضد تنظيم الدولة الإسلامية في العراق والشام تبين أن الاستراتيجية، بدعم عسكري دولي، تحرز تقدماً.	1
ويعرب مجلس الأمن عن تعازيه لأسر حفظة السلام الذين لقوا مصرعهم في القتال مع حماية سكان شرق جمهورية الكونغو الديمقراطية.	1
يحث جميع الأطراف المعنية، على النحو المنصوص عليه في القانون الإنساني الدولي، بما في ذلك اتفاقيات جنيف وقواعد لاهاي، على السماح بوصول موظفي المساعدة الإنسانية بشكل كامل ودون عوائق إلى المدنيين المحتاجين إلى المساعدة في حالات النزاع المسلح، وعلى القيام، قدر الإمكان، بإتاحة جميع التسهيلات اللازمة لعملياتهم، وعلى تعزيز سلامة وأمن وحرية تنقل موظفي المساعدة الإنسانية وموظفي الأمم المتحدة والأفراد المرتبطين بها وأصولهم.	0
23 - ولا تزال هناك أيضا شواغل مستمرة بشأن جماعة إيمارات كافكاز (QE.E.131.11)، وهي منظمة إرهابية في شمال القوقاز يقودها دوكو خاماتوفيتش عمروف (QI.U.290.11)، وكانت هذه الجماعة مسؤولة عن هجمات متعددة في الاتحاد الروسي.	1
كما أن الاتجار بالأسلحة يعزز وجود سوق للحماية فيما بين الجماعات المسلحة والمهربين الذين يقومون بحماية طرق التجارة غير المشروعة.	1
278 - وتلاحظ اللجنة أيضا أن الجنجويد قد استهدفوا وقتلوا، في عدد من المناسبات، أطفالا على وجه التحديد، بما في ذلك في كايلك وسورا المشار إليهما أعلاه، وتلقت اللجنة تقارير عديدة عن قتل الأطفال عشوائيا و/أو مستهدفا، أحيانا في ظروف مروعة مثل الحرق أو التشويه.	1
:: ينبغي أن تكون المنظمات الإقليمية ودون الإقليمية جزءا من نهج متكامل لمكافحة الإرهاب.	0
وتم الوفاء بمتطلبات انسحاب القوات السورية والأصول العسكرية السورية، فضلا عن إجراء انتخابات تشريعية حرة وذات مصداقية.	0
ويبدو أن معظم الحكومات ملتزمة التزاماً قوياً بضمان احترام وكالات إنفاذ القوانين لحقوق الإنسان، وإن كانت قد أثيرت في بعض الحالات شواغل خطيرة بشأن الانتهاكات التي ترتكبها قوات الأمن.	0
ويجب على قوات القوة الدولية للمساعدة الأمنية أن تضطلع على نحو كامل بولايتها المتمثلة في القضاء على التهديدات النابعة من أفغانستان.	0
وإذ يساورها بالغ القلق، في هذا الصدد، إزاء الأمثلة الأخيرة على الجماعات الإرهابية، بما فيها الجماعات المستفيدة من الجريمة المنظمة عبر الوطنية التي تهاجم موظفي الأمم المتحدة،	1
وأُبلغ مرة أخرى عن حدوث قتال يومي 22 و 23 تموز/يوليه في الواك بين نفس العشائر، مما أسفر عن مقتل 32 شخصا وجرح أكثر من 60 شخصا.	1
في 16 تشرين الثاني/نوفمبر 2014، أطلقت قوات النظام قذائف هاون على مسجد قنبرة في ريف دمشق، مما أدى إلى إصابة 4 مدنيين بجروح وإلحاق أضرار جسيمة بالمسجد.	1
إن رفض أذربيجان الدخول في مفاوضات مباشرة مع الممثلين المنتخبين لناغورني كاراباخ هو أحد العوائق الرئيسية أمام حل الصراع الذي أشار إليه ممثل أذربيجان.	0
وستواصل بعثة الأمم المتحدة في السودان، إلى جانب فريق التنفيذ الرفيع المستوى التابع للاتحاد الأفريقي والشركاء الدوليين الآخرين، بذل الجهود لمساعدة الطرفين على كسر الجمود الحالي.	0
(ج) يدمر المنشآت العامة أو نظم النقل أو الاتصالات السلكية واللاسلكية، بما في ذلك نظم المعلومات، أو المنصات الثابتة في الجرف القاري، أو منشآت الإمداد بالكهرباء، أو منشآت الإمداد بالمياه، أو المرافق الطبية أو أي مرافق هامة أخرى، أو الأماكن العامة أو الممتلكات، أو يتسبب في إلحاق أضرار جسيمة بها، بهدف تعريض الأرواح البشرية للخطر، أو سلامة منشأة أو نظام أو مكان، أو تعريض الممتلكات لخطر إلحاق أضرار جسيمة،	1
وأُبلغ أيضا عن هروب جديد من عناصر المؤتمر الوطني للدفاع عن الشعب المدمجة السابقة، وكذلك عن رفض عناصر الجماعة المسلحة المدمجة قبول إعادة الانتشار.	1
كما أنها سترسي أساسا لآلية فعالة لمراقبة الأسلحة النارية، يمكن أن تساعد السلطات على إدارة حيازة الأسلحة.	0
بيد أنه يلزم اتخاذ خطوات إضافية في مجال تجريم صنع الأسلحة الصغيرة والأسلحة الخفيفة والمتفجرات وحيازتها والاتجار بها على نحو غير مشروع.	1
86 - ينبغي لدول المنطقة دون الإقليمية القيام بما يلي: (أ) إعادة النظر في قوانينها الجنائية من أجل كفالة تجريم التجنيد في الأعمال الإرهابية والجماعات الإرهابية تجريما كافيا؛	0
وإذ يعرب عن القلق إزاء استمرار التهديدات التي يشكلها النقل غير المشروع للأسلحة الصغيرة والأسلحة الخفيفة وتكديسها وإساءة استعمالها على نحو يزعزع الاستقرار إلى سلامة وأمن حفظة السلام التابعين للأمم المتحدة وفعاليتها في تنفيذ ولايات حفظ السلام...	0
