en_ar_TRANSFORMERS	VerConf
ووفقا للمادة 3 المشتركة بين اتفاقيات جنيف الأربع، ينطبق القانون الإنساني الدولي أيضا في النزاعات المسلحة ذات الطابع غير الدولي.	0
وفي العقد الذي انقضى منذ هجوم عام 2003 في بغداد، تضاعف عدد ضحايا العاملين في مجال تقديم المعونة إلى ثلاثة أضعاف، حيث بلغ أكثر من 100 حالة وفاة في السنة.	0
ولم تنفذ جميع الدول السبع سوى جزئيا تدابير لمنع تهريب الأسلحة والمتفجرات.	0
ومن المثير للاهتمام أن نلاحظ أن بعض هذه الجماعات المسلحة قد تحصل على أسلحتها من داخل جمهورية الكونغو الديمقراطية نفسها، كما أشار الأمين العام في تقريره التاسع عشر عن بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية (S/2005/603) المقدم إلى مجلس الأمن.	0
وإذا لم تف البعثات بمسؤولياتها عن حماية المدنيين، فإنها تقوض المهام الأخرى التي قد تكون أوكلت إليها، ناهيك عن الخسائر في الأرواح والمعاناة الناجمة عن ذلك.	1
كما عقدت اجتماعات أخرى مع فريق الرصد المنشأ عملا بالقرار 1519 (2003) بشأن الصومال فيما يتعلق بسوق الأسلحة في مقديشو والتدفقات المالية الإقليمية، واجتمعت مع فريق الخبراء المنشأ عملا بالقرار 1579 (2004) بشأن ليبريا لمناقشة حركة السلع الثمينة.	0
ويدين بشدة حركة طالبان لقيامها في تموز/يوليه 1999، بعد أسبوع واحد فقط من اجتماع مجموعة 'ستة زائد اثنين` في طشقند، بشن هجوم جديد، على الرغم من مطالب المجلس المتكررة بوقف القتال.	1
٤٣ - ومع انتهاء المظاهرة في الساعة ٠٠/١٣ من يوم الجمعة، ٢٨ نيسان/أبريل، اتضح في الصباح الباكر حدوث تغيير ملموس في الغلاف الجوي للحشود التي تجمعت أمام قصر الحكومة.	0
- بتاريخ 29 تشرين الثاني/نوفمبر 2014 أطلق الطيران الحربي النظامي قذيفتين على مسجد النواوي في مدينة الرقة مما أسفر عن مقتل 11 شخصاً من بينهم طفل وإصابة 16 آخرين.	0
ويشارك فريق الأمم المتحدة القطري حاليا في حوار لاستعراض خطة العمل، بما في ذلك 168 مشروعا، ومواصلة إضفاء الطابع المؤسسي على التخطيط الإنمائي، بما في ذلك النهج المجتمعية بوصفها آلية المصالحة والتعايش السلمي والبرمجة التي يقودها برنامج الأمم المتحدة الإنمائي للحد من النزاعات.	0
لقد دام الصراع أكثر من نصف قرن ولا يمكن معالجته بين عشية وضحاها.	0
وقال إنه يرى أن من الضروري توضيح أماكن وجود هؤلاء الأشخاص المفقودين ومساءلة المسؤولين عن ذلك.	0
أولا، يرتبط التنفيذ الفعال لنظام الجزاءات ارتباطا مباشرا بنوعية المعلومات المتاحة عن أهدافه.	0
ويمكن أن يكون إصدار المجلس مؤخرا لمرسوم ديني يدين المخدرات والأنشطة الأخرى ذات الصلة مفيدا في الثني عن زراعة خشخاش الأفيون.	1
وأكرر التأكيد على أن موظفي الأمم المتحدة يجب ألا يتعرضوا أبدا للتهديد أو العقوبة لقيامهم بعملهم، الذي يستند إلى ميثاق الأمم المتحدة، وفي هذه الحالة، بتكليف من مجلس الأمن.	1
ولا بد لي من القول إن الموضوع المختار لمناقشتنا اليوم، وإن كان مأسورا، يشكل تحديا كبيرا.	1
216 - واستنادا إلى النتائج التي توصلت إليها اللجنة وإلى التحقيقات اللبنانية حتى الآن، واستنادا إلى الأدلة المادية والوثائقية التي تم جمعها والأدلة التي تم التوصل إليها حتى الآن، هناك أدلة متقاربة تشير إلى تورط لبناني وسوري معا في هذا العمل الإرهابي.	1
وبعبارة أخرى، ظهر الآن في القانون الدولي حق لضحايا الانتهاكات الخطيرة لحقوق الإنسان (ولا سيما جرائم الحرب والجرائم ضد الإنسانية والإبادة الجماعية) في التعويض (بما في ذلك التعويض) عن الأضرار الناجمة عن تلك الانتهاكات.	0
وحلقت إحدى الطائرات فوق القرية بينما قصفت الأخرى.	0
غير أن نظام الجزاءات لا يستهدف صراحة هذا الجانب الحاسم من القدرة العسكرية، رغم أنه مشمول على نطاق واسع بالأنظمة القائمة المتعلقة بتصدير الأسلحة ومراقبتها التي اعتمدتها الدول الأعضاء والمؤسسات المتعددة الأطراف.	0
25 - انخفض اختطاف الأطفال للأغراض العسكرية التي اتسمت بها فترة الصراع انخفاضا كبيرا خلال الفترة المشمولة بالتقرير.	0
ويكرر القرار تأكيد أهمية الوفاء بتلك الالتزامات ويشدد على أنه لا ينبغي لأي من الطرفين أن يضطلع بأي نشاط يتعارض مع تلك الالتزامات الواردة في خريطة الطريق أو يخل بمفاوضات الوضع النهائي.	1
وفي إحدى الحالات، استولت الجنجويد على مدني بعد هجوم على قريته، واحتجز في أحد معسكرات الجنجويد ثم انتقل بعد ذلك إلى معسكر عسكري في المنطقة.	0
وأعرب المدعي العام عن أسفه لتفاقم الحالة الأمنية في ليبيا، وتزايد عدم الاستقرار السياسي، ونتيجة لذلك، فإن البيئة القائمة لا تفضي إلى سد فجوة الإفلات من العقاب في ليبيا.	1
وأدان أعضاء مجلس الأمن أيضا الهجمات المستمرة على قوات الأمن اليمنية في حضرموت في 9 تشرين الأول/أكتوبر، وكذلك في بيدة في 8 تشرين الأول/أكتوبر، والتي تهدف إلى تقويض استقرار اليمن.	1
ولا شك اليوم في أن النية الحقيقية كانت للحيلولة دون أن تصبح تفاصيل أعماله التدميرية الطائشة بموجب أوامر وكالة المخابرات المركزية علنية.	1
ويخشى أن يؤدي هذا المأزق إلى زيادة التوترات السياسية ويقوض مناخ الثقة المتزايدة التي سادت عقب الانتخابات وتنصيب الرئيس مارتيلي.	1
:: 21 حزيران/يونيه 2005، قُتل زعيم الحزب الشيوعي اللبناني السابق جورج حاوي عندما انفجرت سيارته بالقرب من منزله في واتا موساتبة.	1
ومن المهم إعطاء المرأة، التي هي أول ضحايا العنف بجميع مظاهره، دورا رئيسيا في حفظ السلام وبناء السلام، ومن المهم والملح أن تفعل ذلك في عملية منع نشوب الصراعات.	1
وهدد ضباط الوحدة الشرقية بنقل جثة المتوفى عبر شوارع ديلي قبل نقلها إلى منزل القائد العام مارتن.	1
”ويدين مجلس الأمن إدانة قاطعة الهجوم الإرهابي الذي وقع في مدينة ماريب بالجمهورية اليمنية في 2 تموز/يوليه 2007، ويعرب عن عميق تعاطفه وتعازيه لضحايا هذه الهجمات وأسرهم ولشعبي وحكومات الجمهورية اليمنية ومملكة إسبانيا.	1
وكغيرنا من المتكلمين الذين سبقونا، وتمشيا مع البيان الذي أدلى به الممثل السامي أشتون، ندين العمل الذي أدى إلى وفاة السيد دزيكوفيتش وإصابة عدة آخرين بجروح خلال الاحتجاجات التي جرت في شمال ميتروفيتشا في 2 تموز/يوليه.	1
وأعرب الأعضاء أيضا عن تطلعهم إلى قائمة منتهكي الجزاءات التي يتوقع أن يقدمها فريق الرصد في تقريره النهائي.	0
ولتمويه هذه الحقائق، فإنها ترتدي أحياناً زياً عسكرياً لنقل التصور الخاطئ بأن العسكريين الرسميين مسؤولون عن ارتكاب هذا العنف.	1
ويشير عدد من الحوادث التي وقعت خلال الفترة المشمولة بالتقرير إلى احتكاك بين قوة حفظ السلام التابعة لرابطة الدول المستقلة والجانب الجورجي، بما في ذلك احتجاز شاحنات من قوة حفظ السلام التابعة لرابطة الدول المستقلة (انظر الفقرة 17)، والاحتجاز المؤقت لجندي من قوات حفظ السلام التابعة لرابطة الدول المستقلة، وتركيب عدادات كهربائية عند نقاط التفتيش التابعة لقوة حفظ السلام التابعة لرابطة الدول المستقلة، وتنظيم مظاهرة احتجاجية على وجود قوة حفظ السلام التابعة لرابطة الدول المستقلة في جورجيا.	0
النظر في فرض حظر على توريد الأسلحة وغير ذلك من التدابير الرامية إلى منع بيع أو توريد الأسلحة والأعتدة ذات الصلة بجميع أنواعها إلى أطراف النزاع المسلح التي ترتكب انتهاكات للقانون الدولي الواجب التطبيق.	1
ونظر أعضاء المجلس أيضا في تقرير الأمين العام (S/2000/632) الذي يشير إلى إحراز تقدم هام على الجبهتين السياسية والعسكرية، ولكن لا تزال هناك تحديات كثيرة تواجه حكومة غينيا - بيساو لاستعادة السلام الدائم والاستقرار والتنمية المستدامة.	0
وأشار وكيل الأمين العام كذلك إلى أن الأمم المتحدة اكتشفت زيادة في الخطاب الاتهامي الذي توجهه حكومة جنوب السودان إلى بعثة الأمم المتحدة في جنوب السودان وانتهاكات حكومة جنوب السودان لاتفاق مركز قوات البعثة.	1
”ويكرر مجلس الأمن إدانته الشديدة لجميع انتهاكات القانون الدولي الساري المرتكبة ضد النساء والفتيات، بما في ذلك العنف الجنسي والجنساني والقتل والتشويه، في حالات النزاع المسلح وما بعد انتهاء النزاع، ويحث جميع الأطراف على وقف هذه الأعمال وقفا تاما على الفور.	1
ومرة أخرى، يدعو الاتحاد الروسي الجانبين الإسرائيلي والفلسطيني إلى التحلي بضبط النفس وبمستوى عال من المسؤولية ورفض الأحادية الجانب.	1
وإذ يشير إلى قراره 2133 (2014) وإلى قيام المنتدى العالمي لمكافحة الإرهاب بنشر "مذكرة الجزائر بشأن الممارسات الجيدة لمنع وإنكار فوائد الاختطاف من أجل الفدية على يد الإرهابيين"، وإذ يدين بشدة حوادث الاختطاف وأخذ الرهائن التي ترتكبها الجماعات الإرهابية لأي غرض من الأغراض، بما في ذلك بهدف جمع الأموال أو الحصول على تنازلات سياسية، وإذ يعرب عن تصميمه على منع الاختطاف وأخذ الرهائن اللذين ترتكبهما الجماعات الإرهابية وكفالة الإفراج الآمن عن الرهائن دون دفع فدية أو تنازلات سياسية، وفقا للقانون الدولي الساري، وإذ يهيب بجميع الدول الأعضاء أن تمنع الإرهابيين من الاستفادة بشكل مباشر أو غير مباشر من دفع الفدية أو من التنازلات السياسية، وأن تكفل الإفراج الآمن عن الرهائن، وإذ يعيد تأكيد ضرورة تعاون جميع الدول الأعضاء تعاونا وثيقا خلال حوادث الاختطاف وأخذ الرهائن التي ترتكبها الجماعات الإرهابية،	1
وينبغي للجنة ألا تعمل مع الدول على تحسين تشريعاتها المتعلقة بمكافحة الإرهاب فحسب، بل أن ترصد أيضا تنفيذ تلك التشريعات في ضوء المتطلبات الحالية.	0
وأبرز أعضاء اللجنة أن التاريخ يبين أن الدول التي ترتكب هذه الجرائم الشنيعة ضد شعوبها هي مصدر دائم لعدم الاستقرار وانعدام الأمن لجيرانها.	1
وبناء على ذلك، وصف الأمين العام الأحداث الأخيرة في زمبابوي بأنها " ظلم كارثي ".	1
اجتمع مجلس الأمن على المستوى الوزاري في 22 أيلول/سبتمبر للنظر في الجوانب المدنية لإدارة الصراعات وبناء السلام.	0
وكرروا أيضا الإعراب عن قلقهم البالغ إزاء مشاكل الإرهاب والقرصنة وأخذ الرهائن والحالة الإنسانية الأليمة، وشددوا في هذا السياق على ضرورة التنفيذ السريع لجميع قرارات مجلس الأمن ذات الصلة، بما في ذلك من جانب المؤسسات الاتحادية الانتقالية، حسب الاقتضاء.	1
”ويؤكد مجلس الأمن أن أي محاولة لعرقلة عملية السلام والانتقال في جمهورية الكونغو الديمقراطية، بما في ذلك من خلال دعم الجماعات المسلحة، لن يُسمح بها.	1
22 - وسُجلت الدفعة الأولى المؤلفة من 000 2 فرد من أفراد الميليشيات في غيغلو في حزيران/يونيه 2006، وتم فيما بعد نزع سلاح 981 منهم وحصلوا على بدل شبكة أمان نقدي.	0
ويطالب الجماعات المسلحة المتمردة بوقف العنف فورا ويدعو جميع الأطراف إلى استئناف الحوار في إطار اتفاق سرت المؤرخ 25 تشرين الأول/أكتوبر 2007.	0
وطرح أسئلة رئيسية لتوجيه المناقشة بشأن دور المجلس في ضمان المساءلة، بما في ذلك ما يلي: ما هي الدروس التي يمكن استخلاصها، وما هي الممارسات الجيدة التي تم تحديدها، من الجهود التي يبذلها المجلس لضمان المسؤولية الجنائية؟ وما هي التحديات التي تواجه مختلف آليات تقصي الحقائق؟ وكيف يمكن إعطاء التعويضات مزيدا من الأهمية في تحقيق المساءلة؟ وما هي الخطوات الإضافية التي يمكن للمجلس اتخاذها لضمان المساءلة عن الانتهاكات في الصراع المسلح؟	0
وفي عامي 2009 و 2010، تم الاستيلاء على عدة كميات كبيرة من الأسلحة العسكرية في غرب أفريقيا (السنغال ومالي ونيجيريا).	0
”ولا يزال مجلس الأمن يشعر بقلق بالغ إزاء ما تشكله القرصنة والسطو المسلح في البحر من خطر على الملاحة الدولية وسلامة الطرق البحرية التجارية وأمن دول المناطق المعنية وتنميتها الاقتصادية، وكذلك على سلامة البحارة وغيرهم من الأشخاص ورفاههم، بما في ذلك من خلال أخذهم كرهائن، وتزايد العنف الذي يستخدمه القراصنة والأشخاص الضالعون في أعمال القرصنة والسطو المسلح في البحر ويدين مجلس الأمن بأشد العبارات أخذ الرهائن واستخدام العنف ضد الرهائن، ويهيب بالدول أن تتعاون أيضا، حسب الاقتضاء، على كفالة الإفراج المبكر عن الرهائن، بوسائل منها تبادل المعلومات والاستخبارات.	1
وصل الضابط المسؤول عن مسرح الجريمة، الجنرال ناجي مولاب من قوة الأمن الداخلي، إلى مسرح الجريمة في الساعة 05/13 من يوم 14 شباط/فبراير 2005، وأصدر تقريرا مؤرخا 3 آذار/مارس 2005 عن فحص مسرح الجريمة الذي أجرته السلطات اللبنانية [المديرية العامة لقوى الأمن الداخلي، وحدة الشرطة في بيروت، المرجع رقم 95] جاء فيه ما يلي:	0
وفيما يتعلق بدور مجلس الأمن في الجبر، لوحظ أنه جرى في عدد من المناسبات تشجيع المجلس على اتخاذ تدابير فيما يتعلق بهذا الجانب من المساءلة، وعلى سبيل المثال، فبالإضافة إلى التوصية بإحالة الحالة إلى المحكمة الجنائية الدولية، أوصت لجنة التحقيق الدولية المعنية بدارفور أيضا بأن ينشئ المجلس لجنة دولية للتعويضات - وهو اقتراح لا يحظى إلا باهتمام ضئيل ولا بمتابعة من المجلس.	0
ويجب تدريب قوات الشرطة في بيئة سياسية محايدة، كما يجب أن يبدو.	0
وتثير البيئة المتغيرة في أفغانستان تساؤلات عن مجموعات آسيا الوسطى العاملة حاليا هناك، مثل الجماعة الإسلامية لجماعة أنصار الله (غير مدرجة في القائمة)، وهي المنشقة العرقية الطاجيكية من الحركة الإسلامية لأوزبكستان (QE.I.10.01).	1
وستؤدي الحكومة خدمة كبيرة لنظامها القضائي إذا اتخذت خطوات لإلغاء المرسوم الذي ينشئ المحاكم.	1
والواقع أن مفهوم العمل الإجرامي المشترك يكتسب في القانون الجنائي الدولي أهمية أكبر مما يكتسبه في معظم النظم القانونية الوطنية، لأن معظم الجرائم الدولية (الجرائم ضد الإنسانية والإبادة الجماعية ومعظم جرائم الحرب) هي جرائم لا يمكن تحقيق النتيجة الجنائية النهائية بشأنها إلا من خلال تورط العديد من الأشخاص.	0
:: نتائج ونتائج الأنشطة التي اضطلعت بها السلطات اللبنانية في مسرح الجريمة والمناطق المتاخمة لها	0
٣٨٨ - ووجدت اللجنة أيضا حالات نهب ارتكبتها حركات التمرد، ولا سيما أثناء الهجمات على مراكز الشرطة والمنشآت الحكومية الأخرى، حيث نهب المتمردون أسلحة من الحكومة.	0
68 - ويقسم المسؤولون حول فعالية مواد التدريب على الإرهاب عبر الإنترنت لأن التوجيه النظري الدقيق والدقيق للغاية حتى وإن كان يتطلب بعض التدريب أو التجارب العملية للمساعدة في التغلب على العقبات التنفيذية.	0
ورفض العميد تاور ماتان رواك طلب الرئيس غوسماو حضور المسيرة، ثم أرسل بدلا من ذلك رئيس أركان القوات المسلحة التيمورية، العقيد ليري عنان تيمور.	1
”ويقر مجلس الأمن بأهمية دور المرأة في منع نشوب النزاعات وحلها وفي بناء السلام، ويشدد على الدور الرئيسي للحكومات الوطنية المتضررة من النزاعات المسلحة، في تعزيز مشاركة المرأة في منع نشوب النزاعات وحلها وفي بناء السلام في إطار جدول أعمال المرأة والسلام والأمن، بما في ذلك عن طريق التشاور مع المنظمات النسائية ذات الصلة منذ المراحل الأولى للتخطيط وتحديد الأولويات.	0
وإذ يقر بأهمية إسهام عمليات حظر توريد الأسلحة التي يصدر بها تكليف من المجلس في التصدي للنقل غير المشروع للأسلحة الصغيرة والأسلحة الخفيفة، والتخفيف من حدة الصراع، وتهيئة الظروف المؤاتية للحل السلمي للحالات التي تهدد السلام والأمن الدوليين أو تنتهكهما، وإذ يقر أيضا بما يسهم به عمليات حظر توريد الأسلحة التي يصدر بها تكليف من المجلس في دعم منع نشوب الصراعات وبناء السلام بعد انتهاء الصراع ونزع السلاح والتسريح وإعادة الإدماج وإصلاح قطاع الأمن،	0
وبطبيعة الحال، فإن الاستخدام الأول لإحالة مجلس الأمن بموجب نظام روما الأساسي (القرار 1593 (2005))، الذي أسفر عن إصدار أمرين بإلقاء القبض على اثنين من المشتبه فيهم، ينبع من التوصية التي قدمتها لجنة التحقيق الدولية المعنية بدارفور إلى مجلس الأمن.	0
وفي شرق أفريقيا والجنوب الأفريقي، تدعم الشبكة الوطنية لإنفاذ قوانين الجمارك، التي تتيح للبلدان تسجيل وتحليل المعلومات المتعلقة بالشحنات والأشخاص المشتبه فيهم، بما في ذلك المعلومات المتعلقة بالجوانب المتصلة بمكافحة الإرهاب.	0
6 - يؤكد استعداده التام لفرض تدابير محددة الهدف ضد الأشخاص الذين تحدد اللجنة أسماءهم وفقا للفقرات 9 و 11 و 14 من القرار 1572 (2004) والذين يتبين أنهم:	1
وأخيرا، هناك حاجة ملحة إلى قيادة أفغانية للتصدي للمخدرات.	1
ويمكن اعتبار هذه المواقف مشاركة غير مباشرة في تضليل الرأي العام وتجاهلا لموقف الحكومة السورية من الأحداث التي تقع على أراضيها، وهي تحريض غير مسؤول على جميع أنواع أعمال العنف، وتوفير غطاء دولي للأعمال الإرهابية الدولية التي تقوم بها الجماعات الإرهابية ضد سورية ومصالحها وشعبها.	1
ومع ذلك، ولئن كان صحيحاً أن قانون حقوق الإنسان يتيح بعض المرونة في التصدي للتحديات الأمنية، فإن على الدول أن تحترم مبادئ أساسية معينة في جميع الظروف، بما في ذلك مبادئ الضرورة والتناسب والشرعية وعدم التمييز.	0
106 - وقد استوفت جميع الدول باستثناء دولة واحدة الموعد النهائي الذي حددته منظمة الطيران المدني الدولي لإصدار وثائق السفر المقروءة آليا.	0
قالوا "لماذا تقيمون هنا أيها العبيد"	1
" ويعرب مجلس الأمن أيضا عن قلقه إزاء تصاعد التوترات في منطقة إيتوري ويدعو جميع الأطراف إلى ممارسة ضبط النفس.	1
وتبعا لظروف كل حالة، يمكن بالتالي الاشتباه في أن هؤلاء الأفراد قد ارتكبوا، بموجب مبدأ العمل الإجرامي المشترك، الجرائم ضد الإنسانية المتمثلة في قتل المدنيين والتشريد القسري وجرائم الحرب المتمثلة في شن هجمات عشوائية على المدنيين وتدمير الأعيان المدنية.	1
(أ) اعتماد وتنفيذ أطر قانونية وطنية لمكافحة الإرهاب تكون شاملة ومتسقة وتشمل جميع الجرائم الإرهابية المنصوص عليها في الصكوك الدولية لمكافحة الإرهاب، مع الامتثال أيضا للمعايير الدولية لحقوق الإنسان؛	0
ويمكن أن تشكل الزيادة المحتملة خلال عام 2013 في توافر منظومات الدفاع الجوي التي يحملها أفراد لتنظيم القاعدة المنتسبة إلى تنظيم القاعدة في أفريقيا، ونتيجة للنزاع الدائر في الجمهورية العربية السورية، تهديداً في المستقبل.	0
29 - وتشجع اللجنة المديرية التنفيذية على مواصلة تحليلها للمسائل الإقليمية والمواضيعية، بما في ذلك لأغراض إحاطة اللجنة والعضوية على نطاق أوسع، مع مراعاة تطور الحالة العالمية والتركيز على مواضيع رئيسية مثل استخدام تكنولوجيات المعلومات والاتصالات الجديدة وإساءة استعمالها، وحماية حقوق ضحايا الإرهاب، والتحديات الناشئة في مقاضاة مرتكبي الإرهاب، وإقامة شراكات استراتيجية مع الجهات الفاعلة غير الحكومية ذات الصلة (بما في ذلك جماعات النساء والشباب، والزعماء الدينيون، ووسائط الإعلام، والقطاع الخاص)، وحماية الهياكل الأساسية السياحية، والاختطاف طلبا للفدية، ومكافحة التطرف العنيف والجرائم التي تمول الإرهاب.	0
”ويحيط مجلس الأمن علما بولايتي بعثة منظمة الأمم المتحدة لتحقيق الاستقرار في جمهورية الكونغو الديمقراطية وبعثة الأمم المتحدة في جنوب السودان للمساعدة في حماية المدنيين في المناطق المتضررة من جيش الرب للمقاومة ودعم نزع سلاح مقاتلي جيش الرب للمقاومة وتسريحهم وإعادة إدماجهم في بلدانهم.	0
" ويعرب مجلس الأمن عن بالغ قلقه إزاء الخطر المباشر الذي يشكله نشاط الجماعات المسلحة على سلامة السكان المدنيين وعلى سير العمليات الإنسانية.	1
ومنذ بداية المأزق السياسي في أعقاب انتخابات 29 آذار/مارس، أعرب الأمين العام عن قلقه إزاء العملية وأعمال العنف ذات الدوافع السياسية.	1
إنشاء مشروع لتعميم مراعاة المنظور الجنساني مع تخصيص اعتمادات محددة في الميزانية.	0
(أ) تكرر طلبها إلى أطراف النـزاع المسلح المدرجة أسماؤها في مرفقات تقرير الأمين العام عن الأطفال والنـزاع المسلح التي لم تقم بعد بإعداد وتنفيذ خطط عمل لوقف تجنيد الأطفال واستخدامهم في انتهاك للقانون الدولي الواجب التطبيق، أن تفعل ذلك دون مزيد من التأخير؛	0
وبدأ الجنجويد يصطادون القرويين، بينما ظلت القوات العسكرية على سفح الجبل، وقصفوا أجزاء من الجبال بقذائف الهاون، كما قصفوا الناس بالرشاشات.	0
ويبحث تقرير الفريق أسباب عدم اعتراف العديد من الدول حتى الآن بكامل إمكانات نظام الجزاءات.	1
وتقر اللجنة بأن عدم تقديم التقارير قد يكون علامة على وجود ”إرهاق إبلاغ“ عام ناجم عن عدد التقارير التي تعين على الدول الأعضاء تقديمها إلى اللجنة، ولجنة مكافحة الإرهاب، واللجنة المنشأة عملا بالقرار 1540 (2004) وغيرها من هيئات الأمم المتحدة.	0
ولم تقم حكومة جمهورية أوغندا أو قواتها المسلحة في أي وقت من الأوقات بأي محاولة صريحة أو خفية لدخول أراضي جمهورية الكونغو الديمقراطية لمهاجمة إرهابيي جيش الرب للمقاومة.	0
يدين بشدة تجنيد الأطفال واستخدامهم كجنود من جانب أطراف النـزاع المسلح في انتهاك للالتزامات الدولية المنطبقة عليها، وقتل الأطفال وتشويههم، والاغتصاب وغيره من أشكال العنف الجنسي التي يُرتكب معظمها ضد الفتيات، والاختطاف والتشريد القسري، ومنع وصول المساعدات الإنسانية إلى الأطفال، والهجمات على المدارس والمستشفيات، فضلا عن الاتجار، والسخرة، وجميع أشكال الرق، وجميع الانتهاكات والتجاوزات الأخرى المرتكبة ضد الأطفال المتضررين من النـزاع المسلح.	1
وهذا التزام دولي يجب على الدول أن تفي به لضمان العدالة لضحايا هذه الأحداث المؤسفة.	1
وإذ يحيط علما بتقرير الأمين العام عن حماية المدنيين المؤرخ 29 أيار/مايو 2009 (S/2009/277) ومرفقه المتعلق بالقيود المفروضة على إيصال المساعدة الإنسانية، اللذين يحددان التحديات الأساسية التي تواجه توفير حماية فعالة للمدنيين، وهي تعزيز الامتثال للقانون الدولي؛ وتعزيز امتثال الجماعات المسلحة من غير الدول لالتزاماتها بموجب القانون الدولي؛ وتعزيز الحماية من خلال بعثات الأمم المتحدة لحفظ السلام وغيرها من البعثات المعنية التي تضطلع بها الأمم المتحدة بمزيد من الفعالية وتحسين مواردها؛ وتعزيز إمكانية إيصال المساعدة الإنسانية؛ وتعزيز المساءلة عن الانتهاكات،	0
وعلى الرغم من تلك التحديات، لا يسعنا إلا أن نعترف بأن ما يقرب من 50 في المائة من السكان الأفغان يعيشون في مناطق تم فيها تسليم المسؤولية عن الأمن إلى قوات الأمن الأفغانية.	1
وفي أغلب الأحيان، يقع المدنيون في ظروف تشتد الحاجة إليها حيث لم تنشأ عملية لحفظ السلام، وقد تتطلب هذه الحالات اهتماما عاجلا من المجلس.	0
وفي ذلك السياق، ما زلنا نشعر بالقلق إزاء أضعف الفئات في تيمور - ليشتي: الفقراء والمشردون.	1
ويتطلب هذا القطاع حماية خاصة من تمويل الإرهاب، لأن إساءة استخدام المنظمات التي لا تستهدف الربح يمكن أن تسبب ضررا دائما للمنظمات نفسها ويمكن أن تثبط العطاء الخيري بوجه عام.	0
260 - ويتطلب منع تنقل الإرهابيين عبر الحدود أيضا استخدام التكنولوجيا والمعدات، مثل أجهزة القراء والماسحات الضوئية، عند نقاط التفتيش الحدودية للاستيلاء على بيانات المسافرين في الوقت الحقيقي والتحقق من تلك البيانات في ضوء قواعد البيانات الوطنية والدولية للإنذار والإجرام.	0
وحدثت أيضاً 3 إصابات لنشطاء وسائط الإعلام في تشرين الثاني/نوفمبر، وجميعها من جانب قوات النظام.	0
وإنني أدين بشدة أي استخدام للمواد الكيميائية السامة في النزاع السوري من جانب أي طرف.	1
