en_ar_DEEPL	VerCoop
في القرار 22/13، كلّف المجلس اللجنة بالتحقيق في الانتهاكات المنهجية والواسعة النطاق والجسيمة لحقوق الإنسان في الدولة، بهدف ضمان المساءلة الكاملة، ولا سيما عن الانتهاكات التي قد ترقى إلى مستوى الجرائم ضد الإنسانية.	1
وبالإضافة إلى ذلك، سنّت أربع دول تشريعات تجرّم توفير الملاذ الآمن للإرهابيين ومؤيديهم من قبل أفراد أو منظمات.	0
وأبلغتني حكومة لبنان أيضا أن القوات المسلحة اللبنانية زادت من تواجدها وأقامت نقاط تفتيش جديدة وشددت الرقابة حول مواقع الجماعات الفلسطينية المسلحة التي تتخذ من الجمهورية العربية السورية مقرا لها في جنوب بيروت وفي سهل البقاع. وفي 7 تشرين الأول/أكتوبر، شن الجيش اللبناني غارات على مواقع للجماعات الفلسطينية المسلحة التي تتخذ من سوريا مقرا لها في سهل البقاع، حيث تم الاستيلاء على أسلحة.	1
ويشدد المجلس على استعداده لاتخاذ إجراءات ضد أي طرف يسعى إلى تقويض عملية السلام، بما في ذلك عدم احترام وقف الأعمال العدائية أو عرقلة المحادثات أو حفظ السلام أو المساعدات الإنسانية.	0
حظر الرق وتجارة الرقيق بجميع أشكالها والسخرة غير المدفوعة الأجر أو التعسفية.	0
ويشكل وضع برامج منتظمة في الموقع للتفتيش على الكيانات المبلغة من أجل ضمان الامتثال لمتطلبات مكافحة غسل الأموال/مكافحة تمويل الإرهاب تحديا كبيرا لبعض الدول، حيث إنها عملية كثيفة الموارد.	0
ويشير مجلس الأمن إلى قراره 2048 (2012)، ويكرر في هذا الصدد تأكيد استعداده للنظر في اتخاذ مزيد من التدابير، حسبما يراه ضروريا، بما في ذلك فرض جزاءات محددة الأهداف ضد الأفراد الذين يقوضون الجهود الرامية إلى استعادة النظام الدستوري.	0
"ويسلّم مجلس الأمن بأهمية دور المرأة في منع نشوب النزاعات وتسويتها وفي بناء السلام، ويؤكد على الدور الرئيسي للحكومات الوطنية المتضررة من النزاعات المسلحة في تعزيز مشاركة المرأة في منع نشوب النزاعات وتسويتها وفي بناء السلام في إطار جدول أعمال المرأة والسلام والأمن، بما في ذلك عن طريق التشاور مع المنظمات النسائية المعنية منذ المراحل الأولى للتخطيط وتحديد الأولويات.	1
"ويعرب مجلس الأمن عن تضامنه العميق مع جميع ضحايا الإرهاب وأسرهم، ويشدد على أهمية مساعدة ضحايا الإرهاب وتقديم الدعم لهم ولأسرهم للتغلب على خسارتهم وأحزانهم، ويسلم بالدور الهام الذي يؤديه الضحايا وشبكات الناجين في مكافحة الإرهاب، بما في ذلك عن طريق تبادل تجاربهم بشجاعة والتحدث علنا ضد الأفكار العنيفة والمتطرفة، ويرحب في هذا الصدد بالجهود والأنشطة ذات الصلة التي تبذلها الدول الأعضاء ومنظومة الأمم المتحدة، بما في ذلك فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب، ويشجعها.	1
165. هناك إحدى عشرة دولة طرفا في اتفاقية تمويل الإرهاب، وقد جرمت ست من هذه الدول تمويل الإرهاب على نحو كاف.	1
30. شجع مجلس الأمن في قراره 1963 (2010) المديرية التنفيذية على العمل مع الدول الأعضاء على وضع استراتيجيات وطنية شاملة ومتكاملة لمكافحة الإرهاب.	1
ولهذا الغرض، أذكر أن القادة اللبنانيين كانوا قد أعادوا عقد الحوار الوطني بعد أحداث أيار/مايو 2008، وكانت مهمته الرئيسية وضع استراتيجية دفاعية وطنية تعالج مسألة السلاح الحرجة الخارج عن سيطرة الدولة.	1
وأعرب العديد من أعضاء الفريق عن تأييدهم القوي للقرار 2185 (2014) والإحاطة الأولى من نوعها التي قدمها رؤساء عناصر الشرطة باعتبارها توفر أساسا هاما لعمل الفريق بشأن الجوانب الشرطية لعمليات السلام.	1
"ويدعو مجلس الأمن المجتمع الدولي إلى تقديم الدعم المالي والتقني، عند الاقتضاء، وكذلك التدريب الملائم لتنفيذ القرار 1325 (2000) على الصعيد الوطني، ويدعو منظومة الأمم المتحدة والمجتمع المدني والجهات الفاعلة الأخرى ذات الصلة إلى التعاون وتقديم المساعدة بما يتماشى مع الأولويات الوطنية إلى الدول الأعضاء، ولا سيما تلك المتضررة من النزاعات المسلحة، في وضع خطط عمل وطنية على وجه السرعة، والعمل بشكل وثيق مع الآليات الوطنية المسؤولة عن تنفيذ القرار، بما في ذلك، عند الاقتضاء، من خلال أفرقة الأمم المتحدة القطرية.	1
B. الحفاظ على مسرح الجريمة	0
(ج) دعم الجهود التي تبذلها حكومة [البلد المتضرر] لضمان حماية المدنيين من انتهاكات القانون الإنساني الدولي وانتهاكات حقوق الإنسان، بما في ذلك جميع أشكال العنف الجنسي والجنساني، وتعزيز حقوق الإنسان وحمايتها ومكافحة الإفلات من العقاب، بما في ذلك من خلال تنفيذ "سياسة عدم التسامح مطلقا" التي تنتهجها الحكومة فيما يتعلق بالانضباط وانتهاكات حقوق الإنسان والقانون الإنساني، التي ترتكبها عناصر قوات الأمن، ولا سيما عناصرها المدمجة حديثا;	1
(ج) تشجيع اعتماد ضوابط محلية أقوى على الأسلحة والمتفجرات.	1
(ج) كانت عملية كيسانغاني الأولى محاولة واضحة من جانب التجمع الكونغولي من أجل الديمقراطية وحلفائه في التجمع الكونغولي من أجل الديمقراطية (غوما) لوقف عملية التحقق التي أقرتها المنطقة لإثبات ما إذا كان التجمع الكونغولي من أجل الديمقراطية - كيسانغاني قائما بشكل مستقل عن التجمع الكونغولي من أجل الديمقراطية (غوما) بهياكل سياسية وعسكرية منفصلة، ودعم سياسي/متابعة سياسية في الأراضي المحررة;	1
كما تم تحديد آخرين لاحتمال تورطهم في التخطيط و/أو الأمر بارتكاب جرائم دولية، أو المساعدة والتحريض على ارتكاب هذه الجرائم.	0
إن وجود أكبر للأمم المتحدة أمر حيوي في الواقع، ولكن لكي تكون القيمة المضافة لمنظمتنا فعالة تماما، يجب توفير الأموال الكافية من حيث الموظفين والأمن على حد سواء. وقد ذكّرنا السيد إيدي بذلك قبل لحظات قليلة.	0
وإذ يرحب مجلس الأمن بالتقدم الذي أحرزته حكومتا العراق والكويت نحو حل المسائل المعلقة بين البلدين، وإذ يشجعهما على مواصلة التعاون بينهما، يدعو العراق إلى الوفاء بسرعة بالتزاماته المتبقية بموجب قرارات مجلس الأمن ذات الصلة الصادرة بموجب الفصل السابع من الميثاق والمتعلقة بالحالة بين العراق والكويت.	0
يﻻحظ أن هناك حاجة إلى اتخاذ مجموعة من التدابير من جانب المجتمع الدولي لتقاسم العبء الذي تتحمله الدول اﻷفريقية المضيفة لﻻجئين ودعم جهودها الرامية إلى ضمان اﻷمن والطابع المدني واﻹنساني لمخيمات الﻻجئين ومستوطناتهم، بما في ذلك في مجاﻻت إنفاذ القانون، ونزع سﻻح العناصر المسلحة، والحد من تدفق اﻷسلحة في مخيمات الﻻجئين ومستوطناتهم، وفصل الﻻجئين عن غيرهم من اﻷشخاص غير المؤهلين للحماية الدولية التي تمنح لﻻجئين أو الذين ﻻ يحتاجون إلى حماية دولية، وتسريح المقاتلين السابقين وإعادة إدماجهم.	0
وأشجع حكومة العراق على التعجيل باتخاذ المزيد من الخطوات العملية نحو الوفاء بالتزاماتها بموجب الفقرة 14 من قرار مجلس الأمن 1284 (1999).	1
('5` مواصلة الحوار وتبادل المعلومات مع جهات الاتصال أو المنسقين المعينين بشأن المسائل المتصلة بمساهمتهم في تنفيذ القرار 1540 (2004);	1
وكما ذُكر أعلاه، فقد أثبت النظام القضائي السوداني عجزه عن ضمان المساءلة عن الجرائم المرتكبة في دارفور كما أن السلطات غير راغبة في القيام بذلك.	0
39. ظل ضحايا الاتجار بالبشر الذين صدرت بحقهم أوامر ترحيل يتلقون المساعدة من خلال برنامج المأوى التابع لركيزة بناء المؤسسات.	0
وبهدف مواءمة التشريعات الوطنية وإعطاء قرارات الأمم المتحدة لمكافحة الإرهاب قوة ملزمة، استضافت لجنة مكافحة الإرهاب في 15 كانون الأول/ديسمبر 2010 اجتماعاً لخبراء من الدول الأعضاء في الاتحاد الأفريقي للنظر في مشروع قانون نموذجي بشأن مكافحة الإرهاب.	1
وإذ يكرر كذلك تأكيد التزام الدول الأعضاء بمنع تنقل الجماعات الإرهابية بوسائل منها فرض ضوابط فعالة على الحدود، وفي هذا السياق، تبادل المعلومات على وجه السرعة، وتحسين التعاون بين السلطات المختصة لمنع تنقل الإرهابيين والجماعات الإرهابية من أراضيها وإليها، وتوريد الأسلحة للإرهابيين وتمويلهم الذي من شأنه دعم الإرهابيين,	1
259. يتطلب القرار 1373 (2001) من الدول منع تنقل الإرهابيين والجماعات الإرهابية عبر الحدود من خلال فرض ضوابط على إصدار وثائق هوية ووثائق سفر آمنة وصالحة.	1
ويبقى ذلك مصدر قلق دائم لنا.	0
8. وسيتوخى المجلس اليقظة بشكل خاص فيما يتعلق بالذين قد يسعون إلى عرقلة العملية الانتقالية، ولا سيما أولئك الذين قد يتصرفون انتهاكا لحظر الأسلحة في جمهورية الكونغو الديمقراطية أو يرفضون المشاركة في عمليات نزع السلاح والتسريح وإعادة الإدماج أو نزع السلاح والتسريح وإعادة الإدماج والإعادة إلى الوطن أو إعادة التوطين وإدماج القوات المسلحة لجمهورية الكونغو الديمقراطية.	0
"ويرحب مجلس الأمن بالخطوات التي اتخذتها المحاكم والهيئات القضائية الجنائية الوطنية والدولية و "المختلطة" ضد من يُدعى أنهم ارتكبوا انتهاكات جسيمة ضد الأطفال في حالات النزاع المسلح انتهاكا للقانون الدولي الساري.	1
وفيما يتعلق بنشر بعثة الأمم المتحدة في جنوب السودان، أشارت إلى أن القوة تبذل قصارى جهدها، مع اكتمال النشر الإضافي، لتوسيع نطاق وجودها خارج القواعد.	0
وقد علقت هذه الأخيرة بأنه كلما زادت المعلومات الواردة في النشرات الخاصة، ولا سيما بصمات الأصابع والصور الفوتوغرافية وأرقام جوازات السفر في النسخ المقيدة التي لا تتاح إلا لوكالات إنفاذ القانون في البلدان الأعضاء فيها، كلما زادت فائدتها وقل احتمال وقوع حوادث مثل تلك المذكورة أعلاه. وعرض الإنتربول أيضاً تقديم إرشادات لأعضائه بشأن نطاق نظام العقوبات. وبالإضافة إلى ذلك، اقترحت المنظمة أن تكون هناك نقطة استفسار دائمة في الأمم المتحدة للرد على الأسئلة وضمان تقديم المعلومات الإضافية ذات الصلة عن الأفراد المدرجين في القائمة في الوقت المناسب عندما تتيحها الدول الأعضاء.	1
ولضمان أن يكون لدى مقدمي الالتماسات المحتملين فهم واضح للعملية وإدراك الخطوات التي يجب اتخاذها ولضمان الاتساق في التنفيذ، تم وضع ممارسات وإجراءات ونشر معلومات عنها لزيادة تجسيد العملية.	1
وأثبتت هذه الاجتماعات فائدتها في تعزيز عمل اللجنة، وزيادة الوعي بنظام الجزاءات وفهمه، وتطوير أفكار لتحسين فعالية التدابير، ومناقشة الصعوبات التي تواجهها بعض الدول في التنفيذ وما يمكن القيام به لمساعدتها. دال - الاجتماعات مع أجهزة الأمن والاستخبارات	1
ومع استمرار مثل هذه التعقيدات والسلوكيات المتناقضة تماما مع ما يتطلبه الحل العادل، لا بد من التساؤل: كيف يمكن أن نصل بعملية السلام إلى خاتمة ناجحة في عام 2009؟ إننا نعتقد أن المسؤولية تقع على عاتق اللجنة الرباعية ومجلس الأمن لابتكار آلية عملية لمعالجة هذه القضايا في وضع يتكرر فيه فشل أحد الأطراف في الاستجابة للنداءات والوفاء بالتزاماته، مما يدخلنا في عملية دائرية لا نهاية لها في الأفق.	0
كما قام بزيارة مخيم العيون للاجئين.	1
وكحد أدنى، ينبغي أن تشمل على الأقل توضيحاً من القيادة العليا للبعثة لفهمها لحماية المدنيين والأدوار والمسؤوليات التفصيلية داخل البعثة في القيام بهذه الأنشطة، والتعامل مع التهديدات اليومية والمستمرة منخفضة المستوى والأزمات المحتملة.	0
ومع ذلك، يجب الحفاظ على الوتيرة العامة للإبلاغ من أجل تجميع معلومات أكثر اكتمالاً وحداثة عن التقدم المحرز نحو التنفيذ الكامل للقرار.	0
يستمر التعاون في إدارة الحدود الإقليمية في التحسن، بما في ذلك من خلال إنشاء دوريات مشتركة وتبادل المعلومات والآليات الإقليمية لمراقبة الحدود والتعاون الجمركي.	0
وقد رفضت بريشتينا حتى الآن كل المبادرات في هذا الصدد.	0
فعلى سبيل المثال، أجرت كرواتيا وبولندا، بدعم من مكتب شؤون نزع السلاح، استعراض أقران لتنفيذها للقرار، تألف من جولتين من المناقشات والأنشطة في وارسو وزغرب، التي راقبها خبراء اللجنة. وساعد استعراض الأقران هذا على تحديد الممارسات الفعالة ويسّر تبادل الخبرات.	0
51. وما زلت ملتزما التزاما راسخا بتنفيذ القرار 1559 (2004) من أجل السلام والاستقرار الإقليميين، في وقت صعب وصعب للغاية.	0
كما أشاروا إلى أن زيادة توافر المعلومات حول الآثار الضارة للقرصنة قد أدى إلى تغييرات إيجابية في بؤر القرصنة السابقة.	1
يقرر بموجب هذا، وقد تلقى طلب [الدولة المتضررة]، إنشاء محكمة دولية لغرض وحيد هو محاكمة الأشخاص المسؤولين عن أعمال الإبادة الجماعية وغير ذلك من الانتهاكات الجسيمة للقانون الإنساني الدولي المرتكبة في إقليم [الدولة المتضررة] ومواطني [الدولة المتضررة] المسؤولين عن أعمال الإبادة الجماعية وغيرها من الانتهاكات الجسيمة للقانون الإنساني الدولي المرتكبة في أراضي الدول المجاورة بين [التواريخ] ....	0
حث البلدان المساهمة بقوات وبأفراد شرطة على اتخاذ الإجراءات المناسبة لمنع الاستغلال والانتهاك الجنسيين من جانب أفرادها، بما في ذلك التدريب قبل الانتشار وفي مسرح العمليات للتوعية من أجل تعزيز وضمان الامتثال لنشرة الأمين العام بشأن التدابير الخاصة للحماية من الاستغلال والانتهاك الجنسيين (ST/SGB/2003/13).	1
عندما يتم تحديد الوضع، من المتوقع أن يلعب الاتحاد الأوروبي دورًا أكثر بروزًا، لا سيما فيما يتعلق بالشرطة والعدالة وفي مراقبة ودعم عملية وضع المعايير.	1
18. وفي 31 كانون الأول/ديسمبر 2002، توجه فريق تحقيق خاص تابع للبعثة إلى منطقة بيني للتحقيق في ادعاءات بوقوع انتهاكات خطيرة لحقوق الإنسان - عمليات إعدام تعسفي واغتصاب وتعذيب واختفاء قسري - في بلدة مامبسا وفي القرى الواقعة على محوري مامبسا - مانغينا ومامبسا - إرنغيتي.	0
"ويكرر مجلس الأمن الإعراب عن قلقه البالغ إزاء تنظيم الدولة الإسلامية في العراق والشام (داعش) وجبهة النصرة وغيرهما من الكيانات الإرهابية المرتبطة بتنظيم القاعدة والأثر السلبي لوجودها وأيديولوجيتها المتطرفة العنيفة وأعمالها على استقرار العراق وسوريا والمنطقة، بما في ذلك الأثر الإنساني المدمر على السكان المدنيين الذي أدى إلى نزوح الملايين من السكان، وإزاء أعمال العنف التي ترتكبها والتي تؤجج التوترات الطائفية.	0
وبالفعل، يكتسب مفهوم العمل الإجرامي المشترك في القانون الجنائي الدولي أهمية أكبر مما هو عليه في معظم النظم القانونية الوطنية، لأن معظم الجرائم الدولية (الجرائم ضد الإنسانية والإبادة الجماعية ومعظم جرائم الحرب) هي جرائم لا يمكن تحقيق النتيجة الجنائية النهائية لها إلا من خلال مشاركة العديد من الأشخاص.	0
ويكرر المجلس التأكيد على أن وضع برنامج شامل لبناء السلام مع التركيز بوجه خاص على نزع السلاح والتسريح والتأهيل وإعادة الإدماج سيكون مهما للصومال بعد انتهاء الصراع على النحو المنصوص عليه في بيان رئيسه المؤرخ 28 آذار/مارس 2002 (S/PRST/2002/8).	1
2. شكل يبين خليج لا أونيون وجزيرة كونيخو الملحق بقطاع غواسكاران والذي أكد الحكم الصادر عن محكمة العدل الدولية في 11 أيلول/سبتمبر 1992 أنه خاضع لسيادة هندوراس، وأكده كذلك الحكم الصادر في 18 كانون الأول/ديسمبر 2003 الذي أعلن عدم قبول طلب إعادة النظر الذي قدمته السلفادور بشأن قطاع غواسكاران.	0
43. أجرى خبراء لجنة مجلس الأمن المنشأة عملا بالقرار 1540 (2004) مناقشات مع معهد الأمم المتحدة الأقاليمي لبحوث الجريمة والعدالة ومعهد الأمم المتحدة لبحوث نزع السلاح بشأن البرامج والأنشطة المحتملة لدعم التنفيذ الفعال للقرار 1540 (2004).	1
"وينوه مجلس الأمن بالعمل الهام الذي تضطلع به كيانات الأمم المتحدة وغيرها من المنظمات المتعددة الأطراف في دعم الجهود الرامية إلى منع وقمع تمويل الإرهاب والمنظمات الإرهابية، ولا سيما فرقة العمل المعنية بالإجراءات المالية، ومجموعة مكافحة غسل الأموال في شرق أفريقيا والجنوب الأفريقي، ومجموعة العمل الحكومية الدولية لمكافحة غسل الأموال في غرب أفريقيا، وفرقة العمل المعنية بالإجراءات المالية في الشرق الأوسط وشمال أفريقيا المعنية بتعزيز القدرات والتعاون.	1
في تلك المرحلة، يصبح المجندون تحت قيادة الجيش النظامي وعادةً ما يرتدون نفس الزي الذي ترتديه الوحدة التي يقاتلون معها.	0
وينبغي للجنة ألا تعمل مع الدول على تحسين تشريعاتها المتعلقة بمكافحة الإرهاب فحسب، بل ينبغي أن ترصد أيضاً تنفيذ تلك التشريعات في ضوء المتطلبات الحالية.	0
(أ) ضمان نشر المعلومات عن القانون الدولي الإنساني وقانون حقوق الإنسان وقانون اللاجئين على أوسع نطاق ممكن؛	1
4. يطلب إلى المدير التنفيذي للمديرية التنفيذية للجنة مكافحة الإرهاب أن يقدم إلى الجلسة العامة، في غضون 30 يوما من توليه منصبه، بالتشاور مع الأمين العام وعن طريقه، خطة تنظيمية للمديرية التنفيذية لمكافحة الإرهاب، تتسق مع تقرير اللجنة (S/2004/124) وقواعد الأمم المتحدة وأنظمتها، بما في ذلك هيكلها واحتياجاتها من الموظفين واحتياجاتها من الميزانية ومبادئها التوجيهية الإدارية وإجراءات التوظيف، وذلك لإقرارها, مع التسليم على وجه الخصوص بالحاجة إلى هيكل إداري فعال وتعاوني للهيئة الجديدة، وإلى تزويدها بموظفين ذوي مؤهلات وخبرات مناسبة، على أن يكونوا موظفين مدنيين دوليين خاضعين للمادة 100 من الميثاق، مع ضمان أعلى معايير الكفاءة والمقدرة والنزاهة، وإيلاء الاعتبار الواجب لأهمية تعيين الموظفين على أوسع نطاق جغرافي ممكن;	1
وفي حين يعتقد الفريق والعديد من الدول أن مصطلح "الأسلحة وما يتصل بها من مواد من جميع الأنواع" (القرار 1735 (2006)، الفقرة 1 (ج)) ينطبق بالتساوي على المتفجرات العسكرية والمدنية والمرتجلة. 1 (ج)) ينطبق على المتفجرات العسكرية والمدنية والمرتجلة على حد سواء، فقد علق البعض بأنه سيكون من المستحيل حظر توفير المتفجرات المدنية أو المواد اللازمة لصنع القنابل المحلية الصنع.	0
360. ويتضح من المعلومات التي جمعتها اللجنة وتحققت منها أن الاغتصاب أو غيره من أشكال العنف الجنسي التي ارتكبها الجنجويد وجنود الحكومة في دارفور كان واسع الانتشار ومنهجيا، وبالتالي قد يرقى إلى مستوى الجريمة ضد الإنسانية.	0
وفي جميع هذه المواقع، أُبلغ الفريق بأنه لم تكن هناك أي محاولات تجنيد في الآونة الأخيرة ولكن إذا اندلع النزاع مرة أخرى في كوت ديفوار فإن هذا قد يتغير.	0
56. وقد وقعت عملية القتل الوحشية التي راح ضحيتها شرطيان في حوالي الساعة 9:30 - 10:00 صباح يوم 25 آذار/مارس في المنطقة المسماة PK 18 في أبوبو.	0
37. تشجع اللجنة مديريتها التنفيذية على مواصلة التركيز على تنفيذ القرار 1624 (2005)، بما في ذلك إيلاء الاهتمام الواجب للمسائل ذات الصلة، مثل دور تكنولوجيات المعلومات والاتصالات الجديدة، وتعزيز الحوار، بما في ذلك على الصعيد الوطني، من أجل تعزيز التسامح والتنوع والشمول، وإقامة شراكات استراتيجية بين الحكومات والجهات الفاعلة غير الحكومية، وتحديد أدوار ضحايا الإرهاب، ومنع تخريب المؤسسات من قبل الإرهابيين ومؤيديهم.	1
ووفقًا لأقواله، فقد كان في مكتبه عندما سمع الانفجار، لكنه اعتقد أن الضجيج كان نتيجة لمرور المقاتلات الجوية الإسرائيلية عبر حاجز الصوت.	0
وهذا لن يؤثر على استنتاج اللجنة بأن حكومة السودان لم تنتهج سياسة الإبادة الجماعية في دارفور.	1
:: هناك حاجة إلى مزيد من الاتساق في إنشاء آليات تقصي الحقائق وولاياتها.	1
وقد ترك غالبية الأطفال الذين كانوا مرتبطين سابقًا بالجماعات المسلحة في نيبال الجماعات المسلحة دون أي تدابير لتعافيهم وإعادة إدماجهم، أو إطار عمل لحمايتهم.	0
تعرب البوسنة والهرسك عن قلقها إزاء الجمود السياسي الحالي في تشكيل حكومة جديدة وتحديد عملية إصلاح دستوري واضحة.	0
وإذ يؤكد من جديد التزامه بالتسوية السياسية للنزاعات في يوغوسلافيا السابقة، والحفاظ على سيادة جميع الدول هناك وسلامتها الإقليمية داخل حدودها المعترف بها دوليا,	1
في مارس 2004، في قرية دوبو في شمال دارفور: "بدأوا بحرق كل شيء وسرقة ممتلكاتنا.	0
