en_ar_DEEPL	VerConf
والواقع أن عدم وجود تفاصيل يعني أن النشرات الخاصة المشتركة بين الإنتربول ومجلس الأمن التابع للأمم المتحدة، وهي الأداة الرئيسية لتعميم المعلومات عن الأشخاص المدرجين في القائمة على وكالات إنفاذ القانون، كانت موجودة بالنسبة لـ 309 من أصل 488 اسماً مدرجاً في القائمة في بداية المراجعة؛ ويبلغ العدد الآن 361 اسماً ومن المرجح أن يرتفع.	1
11. ترد معايير الإدراج في القائمة لنظام الجزاءات المفروضة على حركة طالبان في الفقرتين 2 و 3 من القرار 2160 (2014) وتتعلق بالارتباط مع حركة طالبان في تشكيل تهديد للسلام والاستقرار والأمن في أفغانستان.	1
وقد أدت النزاعات العرقية والحدودية التي لم يتم حلها إلى نزاعات تقوض الجهود المبذولة لتطوير استجابة إقليمية متماسكة لمكافحة الإرهاب.	1
وقد ازدادت الضغوط السياسية على بعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو بشكل ملحوظ، مع محاولات للطعن في دورها بموجب القرار 1244 (1999) والإطار الدستوري.	1
ويعيد المجلس بانتظام تأكيد أو تذكير أو تكرار مطالبته الدول بإنفاذ حظر الأسلحة القائمة، حيث لا يزال تنفيذها يشكل تحديات كبيرة.	1
183. أما المحاكمات الجنائية التي تنطوي على جرائم يعاقب عليها بالسجن لمدة تزيد على خمس سنوات فيترأسها فريق من القضاة.	0
ونظروا في النهج الشاملة لمعالجة العوامل المؤدية إلى انتشار التطرف والإرهاب في المنطقة وأفضل السبل التي يمكن أن تساعد بها كيانات الأمم المتحدة في التعامل مع هذه الظاهرة وتأثيرها على السلام والأمن والاستقرار.	0
يدين بشدة تجنيد الأطفال واستخدامهم كجنود من قبل أطراف النزاع المسلح في انتهاك للالتزامات الدولية المنطبقة عليهم، وقتل الأطفال وتشويههم، والاغتصاب وغيره من أشكال العنف الجنسي المرتكبة في الغالب ضد الفتيات، والاختطاف والتشريد القسري، ومنع وصول المساعدات الإنسانية إلى الأطفال، والهجمات على المدارس والمستشفيات، وكذلك الاتجار بالبشر والسخرة وجميع أشكال الرق وجميع الانتهاكات والاعتداءات الأخرى المرتكبة ضد الأطفال المتضررين من النزاع المسلح.	1
كما تم تقديم توصيات تتعلق بإشراك الجهات الفاعلة الوطنية لضمان المعرفة الكافية بالخلفية الاجتماعية والسياسية والثقافية ذات الصلة بالقضايا ولتعزيز تطوير قطاع العدالة الوطنية.	0
يجب على القادة الصوماليين العمل من أجل عملية سياسية مفتوحة لجميع المستعدين لنبذ المعارضة العنيفة.	1
لكن يبقى الخطر الجدي أنه نتيجة لهذا القرار - الذي ينتهك وثائق مؤتمري بون وبرلين - ستواجه البلاد وضعاً متفجراً محفوفاً بمقاومة مسلحة جديدة وتفكك داخلي لهياكل السلطة.	1
15. غيَّر تنظيم القاعدة في العراق (QE.J.115.04) مؤخرا اسمه إلى الدولة الإسلامية في العراق والشام (داعش) من أجل إضفاء الشرعية على عملياته في الجمهورية العربية السورية وفصل نفسه عن علامة تنظيم القاعدة.	1
وأشار بعض أعضاء المجلس إلى أهمية التنسيق - بين لجان الجزاءات التابعة للمجلس وأفرقة الخبراء والدول الأعضاء، وكذلك بين كيانات الأمم المتحدة والبعثات الميدانية وقادة القوات - لتحقيق التنفيذ الفعال لجزاءات المجلس.	0
"ويكرر مجلس الأمن إدانته بنفس القدر من القوة لجميع انتهاكات القانون الدولي الساري التي تنطوي على تجنيد الأطفال واستخدامهم من قبل أطراف النزاع المسلح، وكذلك إعادة تجنيدهم وقتلهم وتشويههم واغتصابهم وغير ذلك من أشكال العنف الجنسي والاختطاف والهجمات على المدارس أو المستشفيات ومنع وصول المساعدات الإنسانية من قبل أطراف النزاع المسلح.	1
وبينما كانت السيارات تغادر مكان الحادث، سقط اثنان من ضباط وحدة الاستجابة السريعة المجردة من السلاح أو تم سحبهما من إحدى السيارات. وقد تعرض كلاهما للطعن من قبل أفراد من الحشد.	0
(ب) مواصلة تحديد احتياجات الدول فيما يتعلق بتعزيز المؤسسات وتدعيم سيادة القانون، وإدماج حقوق الإنسان وسيادة القانون بطريقة استباقية في توصياتها المتعلقة بالمساعدة التقنية المقدمة إلى الدول بهدف تعزيز النظم الوطنية لتقديم الإرهابيين إلى العدالة وتحسين التعاون الدولي;	0
لقد شعرنا بخيبة أمل، سيدي الرئيس، لأنه على الرغم من جهودكم وجهود كثيرين غيركم، لم يتمكن المجلس من إدانة ذلك الهجوم الإرهابي الشنيع.	1
لم يتم إنشاء هيئة الإشراف، وهي المجلس الأعلى للنيابة العامة، حتى الآن.	1
فمن جهة، كان هناك من اعتبر أنه من الطبيعي أن يحدد بلد ما شروط المواطنة أو الجنسية، ومن جهة أخرى، كان هناك من استنكر استغلال هذا المفهوم باعتباره أصل الأزمة في كوت ديفوار.	1
ولكن على الرغم من هذا التقدم، لا يزال يتعين التغلب على التحديات التي تواجه سلطة الحكومة وسيطرتها الفعالة على أراضيها الوطنية.	1
"ويكرر مجلس الأمن أيضا الإعراب عن قلقه البالغ إزاء عواقب عدم الاستقرار في شمال مالي على منطقة الساحل وخارجها، ويشدد على ضرورة الاستجابة السريعة لهذه الأزمة من خلال نهج شامل واستراتيجي من أجل ضمان السلامة الإقليمية لمالي واستعادة استقرارها ومنع المزيد من زعزعة استقرار دول الساحل.	1
وقد اتضح ذلك من خلال الحوادث الأخيرة لسوء انضباط المفرزة الأمنية المتكاملة ولا سيما القتل المزعوم لمدني على يد أحد قادة المفرزة في فرشانا في 22 آذار/مارس.	1
وقد دفع ذلك مجلس الأمن إلى أن يقرر، في قراره 1556 (2004)، أن النزاع في السودان يشكل تهديدا للسلم والأمن الدوليين وللاستقرار في المنطقة، وأن يدعو الحكومة بموجب الفصل السابع من ميثاق الأمم المتحدة إلى الوفاء فورا بالالتزامات التي تعهدت بها في البيان المشترك.	1
وفي الفترة من 3 إلى 8 تموز/يوليه، نظمت البعثة دورة تدريبية حول موضوع "المرأة والقيادة" للمرشحات المحتملات في الانتخابات المقبلة. وفي 25 آب/أغسطس، أطلقت البعثة، بالاشتراك مع منظمة غير حكومية محلية، برنامجا إذاعيا أسبوعيا بهدف توعية المرشحات والناخبات على حد سواء.	0
يؤكد من جديد ... إدانته بأشد العبارات لجميع أعمال العنف أو التجاوزات المرتكبة ضد المدنيين في حالات النزاع المسلح التي تنتهك الالتزامات الدولية المنطبقة فيما يتعلق على وجه الخصوص بـ '1' التعذيب وغيره من ضروب المعاملة المحظورة، '2' العنف القائم على أساس نوع الجنس والعنف الجنسي، '3' العنف ضد الأطفال، '4' تجنيد الأطفال واستخدامهم كجنود، '5' الاتجار بالبشر، '6' التشريد القسري، '7' الحرمان المتعمد من المساعدة الإنسانية، ويطالب جميع الأطراف بوضع حد لهذه الممارسات.	1
وتبقى محنة الشعب الفلسطيني ومعاناته المستمرة تجسيداً مأساوياً لعواقب عدم تنفيذ القرارات وعدم إنفاذ قرارات مجلس الأمن.	1
(ج) مواصلة العمل مع المنظمات الدولية والإقليمية والدول من أجل تعزيز وصول وكالات إنفاذ القانون إلى قواعد البيانات الجنائية وقواعد البيانات الوطنية والدولية لمكافحة الإرهاب عند نقاط التفتيش الحدودية عند الدخول/الخروج. هاء - التعاون الدولي	0
كما تطلع الأعضاء إلى قائمة منتهكي العقوبات التي كان من المتوقع أن يقدمها فريق الرصد في تقريره النهائي.	0
وفيما يتعلق بنشر بعثة الأمم المتحدة في جنوب السودان، أشارت إلى أن القوة تبذل قصارى جهدها، مع اكتمال النشر الإضافي، لتوسيع نطاق وجودها خارج القواعد.	0
وتخلص اللجنة إلى أن حوادث التعذيب قد ترقى بالتالي إلى جريمة ضد الإنسانية، وبالنظر إلى الطبيعة التمييزية للاعتداءات، فقد تنطوي أيضاً على جريمة الاضطهاد كجريمة ضد الإنسانية.	1
السيد لي لونغ مينه (فييت نام): إن الإرهاب مصدر قلق يتشاطره جميع أعضاء الأمم المتحدة والمجتمع الدولي بأسره.	1
وقد ارتكبت معظم هذه الجرائم بشكل فردي في سياق الفوضى الأمنية السائدة.	0
"لذلك اتبعت الحكومة اليمنية على مدى العقد الماضي سياسة واضحة تهدف إلى استعادة الاستقرار في الصومال وإنهاء الحرب الأهلية هناك ودعم الحكومة المركزية.	0
ما يحتاج الجميع إلى القيام به هو رفض الأصوات المتطرفة التي تجد الراحة في الطرق القديمة والتي تعتقد أنه من المستحيل على الصرب والألبان تطبيع علاقاتهم من خلال التوصل إلى تسوية تاريخية.	1
9. يطلب إلى لجنة مكافحة الإرهاب أن تقدم، بالإضافة إلى التقرير المطلوب في الفقرة 8، تقريرا شفويا، عن طريق رئيسها، كل 180 يوما على الأقل إلى المجلس عن مجمل أعمال لجنة مكافحة الإرهاب والمديرية التنفيذية للجنة مكافحة الإرهاب، وحسب الاقتضاء، بالاقتران مع تقارير رئيسي اللجنة المنشأة عملا بالقرار 1267 (1999) واللجنة المنشأة عملا بالقرار 1540 (2004)، ويشجع على تقديم إحاطات غير رسمية لجميع الدول الأعضاء المهتمة بالأمر؛	0
40. وخﻻل الشهر ونصف الشهر الماضيين، بذلت السلطات الهايتية بعض المحاوﻻت اﻷولية لمعالجة مسائل إقامة العدل واﻻحتجاز.	1
يمكن القول إن القطاع غير الربحي هو الأكثر عرضة لتمويل الإرهاب والأكثر صعوبة في التنظيم والمراقبة.	1
(د) أن تكفل اللجنة امتثال أي تدابير تتخذها الدول الأعضاء لمكافحة الإرهاب لجميع التزاماتها بموجب القانون الدولي، ولا سيما القانون الدولي لحقوق الإنسان وقانون اللاجئين والقانون الإنساني;	0
لا يزال تعزيز الأمن والاستقرار يمثل تحديًا حيويًا.	1
645. قررت اللجنة حجب أسماء هؤلاء الأشخاص عن الجمهور. ويستند هذا القرار إلى ثلاثة أسباب رئيسية هي: (أ) أهمية مبادئ الإجراءات القانونية الواجبة واحترام حقوق المشتبه فيهم؛ (ب) عدم تخويل اللجنة سلطات التحقيق أو الملاحقة القضائية؛ (ج) الحاجة الماسة إلى ضمان حماية الشهود من المضايقات أو التخويف المحتمل.	0
إلا أنه في عام 2007، وبعد صدور مذكرة التوقيف بحق هارون وكوشيب، رفض الرئيس البشير علناً تنفيذها، وطعن في سلطة مجلس الأمن وذكر أن هارون قد فعل ما أمر به.	1
:: 14 شباط/فبراير 2005، مقتل رفيق الحريري و22 شخصاً آخرين في انفجار ضخم في منطقة على الواجهة البحرية في وسط بيروت.	0
يجب على الفلسطينيين والدول العربية إعطاء إسرائيل الضمانات الضرورية والموثوقة لأمنها كدولة.	1
20. تدين بنفس القدر من الشدة جميع أعمال الاستغلال الجنسي والاعتداء الجنسي والاتجار بالنساء والأطفال من جانب الأفراد العسكريين وأفراد الشرطة والموظفين المدنيين المشاركين في عمليات الأمم المتحدة، وترحب بالجهود التي تبذلها وكالات الأمم المتحدة وعمليات حفظ السلام لتنفيذ سياسة عدم التسامح مطلقا في هذا الصدد، وتطلب إلى الأمين العام والبلدان المساهمة بأفراد مواصلة اتخاذ جميع الإجراءات المناسبة اللازمة لمكافحة هذه الانتهاكات من جانب هؤلاء الأفراد، بما في ذلك التنفيذ الكامل دون إبطاء للتدابير المعتمدة في قرارات الجمعية العامة ذات الصلة استنادا إلى التوصيات الواردة في تقرير اللجنة الخاصة المعنية بعمليات حفظ السلام A/59/19/Rev.1;	1
وفي حين أن التهديد الذي يشكله تنظيم القاعدة كمنظمة إرهابية عالمية قد تراجع، إلا أن التهديد الذي يشكله المنتسبون إليه وأفكاره المعدية لا يزال قائماً.	1
36. ويشجع المجلس سلطات بوروندي على العمل مع الممثل الخاص للأمين العام على وضع آلية لإنهاء الإفلات من العقاب وتعزيز المصالحة.	0
وإذ يشير إلى اعتماد القرار 2122، وإذ يؤكد من جديد عزمه على زيادة اهتمامه بقضايا المرأة والسلام والأمن في جميع مجالات العمل المواضيعية ذات الصلة المدرجة في جدول أعماله، بما في ذلك الأخطار التي تهدد السلام والأمن الدوليين بسبب الأعمال الإرهابية،	0
2. إن جمهورية كرواتيا، بوصفها رئيس لجنة مكافحة الإرهاب التابعة لمجلس الأمن وأحد أوائل الداعين إلى التحالف العالمي لمكافحة الإرهاب، تدين بشدة الإرهاب الدولي بجميع أشكاله ومظاهره، وتحث على تعزيز التعاون العالمي في قمع هذه الآفة التي ظهرت في الآونة الأخيرة، آخذة في الاعتبار خطر الإرهاب الذي يتلاقى مع التهديدات الأخرى للسلم والأمن الدوليين - مثل انتشار أسلحة الدمار الشامل والجريمة المنظمة عبر الوطنية والإرهاب الإلكتروني.	1
كما أن المنطقة تشهد تواجداً ونفوذاً منخفضاً لقوات المعارضة المسلحة، حتى وإن كانت هذه القوات تستخدم طرق المواصلات وتعتمد على الملاجئ في إقليم فرح.	0
وإذا لم تفي البعثات بمسؤولياتها في حماية المدنيين، فإن ذلك يقوض المهام الأخرى التي قد تكون مكلفة بها، ناهيك عن الخسائر في الأرواح والمعاناة التي تترتب على ذلك.	1
التهديد من تنظيم القاعدة وطالبان	1
منذ إطلاقها في يناير 2003، تهدف هذه الخطة إلى وقف تجارة الماس الممول للصراعات من خلال ضمان أن يكون جميع الماس الخام المتداول بين المشاركين فيها (42 دولة والجماعة الأوروبية) مصحوباً بشهادة عملية كيمبرلي سارية المفعول.	0
وفي حين أن القادة في أفغانستان يحتفظون بجاذبيتهم الشخصية ومصداقيتهم التاريخية كمؤسسي تنظيم القاعدة، وهم الأفضل في التظاهر بأن هناك مبرر ديني للإرهاب، فإن تنظيم القاعدة في العراق، سواء كان على رأسه أبو مصعب الزرقاوي أو من خلفه، مع سيل هجماته التي تتصدر عناوين الأخبار، يتمتع بجاذبية أكبر لأولئك الذين يتوقون إلى العمل.	0
مجالات التقييم 25. اعتمدت جميع الدول التي تمت زيارتها تشريعات تمنح سلطاتها القضائية وسلطات الادعاء وإنفاذ القانون الاختصاصات اللازمة لمكافحة الإرهاب.	0
ونلاحظ أن الأمين العام يعرب في تقريره (S/2008/728) عن قلقه إزاء الحالة الأمنية في شرق جمهورية الكونغو الديمقراطية.	1
"ويهيب مجلس الأمن بسلطات بوروندي وجمهورية الكونغو الديمقراطية أن تتعاون بفعالية من أجل تقديم الجناة والمسؤولين عن تلك الجرائم إلى العدالة دون تأخير.	0
وبدلاً من ذلك، ينبغي على الدول أن تضع إطاراً قانونياً واضحاً وكاملاً ومتسقاً يحدد الأعمال الإرهابية كجرائم جنائية خطيرة، ويعاقب على هذه الأعمال وفقاً لخطورتها، ويساعد المحاكم على تقديم الإرهابيين إلى العدالة.	0
ويبدو أن الهدف منه على ما يبدو هو عرض صورة لتهديد مزعوم لكوسوفو وميتوهيا من قبل صربيا.	1
من جانبنا، نربط مسألة الشرعية مباشرةً بإجراء الانتخابات التي تجري التحضيرات لها في الهيئة المشتركة لإدارة الانتخابات.	1
56. يقوم فريق السياسات المعني بالاستغلال والاعتداء الجنسيين التابع للبعثة بوضع اللمسات الأخيرة على مدونة سلوك عملية الأمم المتحدة في كوت ديفوار بشأن الاستغلال والاعتداء الجنسيين، ويشارك في الشبكة القطرية المعنية بالاستغلال والاعتداء الجنسيين.	0
وشدد أعضاء المجلس على أن بعثة الأمم المتحدة في إثيوبيا وإريتريا أنشئت بدعوة من الطرفين، وهي على استعداد لمساعدتهما في تنفيذ اتفاقي الجزائر.	0
11. أجري تدريب منتظم على أساس الخطة السنوية. وأجرى رجال الإطفاء الفرنسيون التابعون للواء المتعدد الجنسيات الشمالي الشرقي في 11 آب/أغسطس تدريبا على الإسعافات الأولية في ميتروفيتشا. وفي 30 آب/أغسطس، عقد اللواء المتعدد الجنسيات في الشمال الشرقي حلقة دراسية لقادة منطقة الالتقاط في ترادوك. وكان الغرض منها عرض برنامج تطوير الضباط بالتفصيل من أجل ضمان فهم القادة لمسؤولياتهم وضمان دعم البرنامج. الاستنتاج 12. لا تزال الحالة العامة في كوسوفو هادئة نسبياً مع وجود توترات كامنة ستستمر في المستقبل المنظور.	0
وفي حين أن نظام العقوبات قد يجبر بعض أفراد طالبان على البقاء في المناطق النائية، ويلاحظ الفريق أن هذا قد يكون أحد الأسباب التي تجعل كبار أفراد طالبان يرغبون في إزالة أسمائهم، ومع ذلك فإن الهدف الوقائي من هذه التدابير لم يتحقق إلى حد كبير.	0
مرة أخرى، نحن ندين قتل المدنيين، سواء من الجانب الفلسطيني أو الإسرائيلي.	1
لا يمكنني أن أشدد بما فيه الكفاية على الخطر الذي يشكله نقص المروحيات العسكرية على الفعالية العملياتية للقوة.	1
إننا ندين الإرهاب بجميع أشكاله ومظاهره لأنه ينتهك أهم الحقوق الأساسية للبشر: الحق في الحياة.	1
من المقرر إنشاء نظام يتم بموجبه إحالة ضحايا الاستغلال والانتهاك الجنسيين على أساس كل حالة على حدة إلى منظمة غير حكومية تقدم الدعم اللازم.	0
إن اعتراض الحركة غير المشروعة عبر الحدود أمر حيوي لمكافحة الإرهاب والاتجار بالمخدرات والتهريب التجاري.	1
7. يعرب عن تصميمه القوي على النظر في أن يدرج في القائمة عملا بالقرار 2161 (2014) الأفراد والجماعات والمؤسسات والكيانات المرتبطين بتنظيم القاعدة الذين يمولون أو يسلحون أو يخططون أو يجندون لصالحه أو يدعمون أعماله أو أنشطته بأي شكل آخر، بما في ذلك من خلال تكنولوجيات المعلومات والاتصالات، مثل الإنترنت أو وسائط التواصل الاجتماعي أو أي وسيلة أخرى;	0
"ويلاحظ المجلس بقلق التحديات في مجال التنمية الاجتماعية والاقتصادية، حيث حدث تدهور ملحوظ في مستويات معيشة الغالبية العظمى من الهايتيين.	1
وفي هذا الصدد، نشعر بقلق كبير إزاء الوضع الأمني في أفغانستان، الذي تدهور منذ العام الماضي نتيجة للأنشطة التخريبية لبقايا عناصر طالبان والقاعدة والاشتباكات بين أمراء الحرب وتجارة المخدرات.	1
من المرجح أن يحتدم الجدل السياسي في ظل وجود العديد من الطعون المتعلقة بالانتخابات في المحاكم بالفعل.	1
يشير تقرير تصنيفات فرقة العمل المعنية بالإجراءات المالية عن غسل الأموال وتمويل الإرهاب من خلال القطاع العقاري (2008) إلى صلات محتملة بين القطاع العقاري وتمويل الإرهاب.	1
وأخيراً، شددت الجلسة على ضرورة الانفتاح على إنشاء آليات مبتكرة والعمل على إنشاء أنظمة شاملة ومتداعمة تربط بين المحكمة الجنائية الدولية وأي محكمة مختلطة محتملة في المستقبل والهيئات الوطنية وكذلك المحاكمات الجنائية وبرامج التعويضات.	0
"ويكرر مجلس الأمن الإعراب عن قلقه البالغ إزاء تنظيم الدولة الإسلامية في العراق والشام (داعش) وجبهة النصرة وغيرهما من الكيانات الإرهابية المرتبطة بتنظيم القاعدة والأثر السلبي لوجودها وأيديولوجيتها المتطرفة العنيفة وأعمالها على استقرار العراق وسوريا والمنطقة، بما في ذلك الأثر الإنساني المدمر على السكان المدنيين الذي أدى إلى نزوح الملايين من السكان، وإزاء أعمال العنف التي ترتكبها والتي تؤجج التوترات الطائفية.	1
ومع ذلك، فإننا نشعر بالقلق إزاء التطورات الأخيرة التي شهدت توترات متزايدة بين أفراد المجتمعات المحلية وقوات القوة الدولية للمساعدة الأمنية.	1
ونحن ندين على وجه الخصوص أي محاولات لإجبار بعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو على أي نوع مما يسمى بالحكم المشترك، وكذلك أي تدخل في الصلاحيات المحفوظة للممثل الخاص.	1
(ح) تطوير دور المديرية التنفيذية على الصعيد العالمي في مجال الاتصالات الاستراتيجية المتعلقة بمكافحة الإرهاب، بما في ذلك عن طريق تقديم إحاطات إلى عموم الأعضاء، والتواصل مع القادة وصناع الرأي على الصعيد العالمي، والتواصل مع وسائط الإعلام وغيرها من الجهات المعنية ذات الصلة.	0
▪ توجيه الهجمات ضد المباني والعتاد والوحدات الطبية ووسائل النقل والأفراد باستخدام الشعارات المميزة لاتفاقيات جنيف بما يتوافق مع القانون الدولي;	0
55. ولتحسين دعمها اللوجستي للوحدات والشرطة المنتشرة في أصعب البيئات في مالي، قامت البعثة بتعيين موظفي دعم مدنيين لتيسير التخطيط اللوجستي والإبلاغ لبعض الوحدات العسكرية المنتشرة في كيدال وتيساليت.	0
ولا يمكن للجنة أن تتفق مع موقف الحكومة في أن الإحصاءات التي تمثل عمل اللجان تشير إلى أن معدل حدوث جريمة الاغتصاب أقل بكثير مما تذكره مصادر مثل الأمم المتحدة والاتحاد الأفريقي والمنظمات الوطنية والدولية الأخرى.	1
قالت سبع عشرة دولة أنها لا تعتبر نفسها معرضة للتهديد، وتعتقد ثلاث دول أنه لا يوجد تهديد إقليمي.	0
ومع ذلك، وعلى الرغم من هذا التواجد المتزايد، فقد أدى موسم حصاد البندق إلى تصاعد الأنشطة الإجرامية، بما في ذلك 3 حوادث إطلاق نار، وحادثة قتل واحدة، و4 عمليات اختطاف و40 عملية سطو مسلح.	0
"يدين مجلس الأمن بأشد العبارات الهجمات الإرهابية التي وقعت في الجزائر العاصمة في 11 كانون الأول/ديسمبر 2007 بالقرب من المحكمة العليا ومكاتب الأمم المتحدة، مما تسبب في سقوط العديد من القتلى والجرحى، ويعرب عن عميق تعاطفه وتعازيه لضحايا هذا العمل الإرهابي الشنيع ولأسرهم، ولشعب الجزائر وحكومتها.	1
وبالإضافة إلى ذلك، ستضع اللجنة جدولاً زمنياً للاجتماعات يسعى إلى تحقيق أهدافها بكفاءة وسرعة.	0
7. تواصل قوة كوسوفو عملياتها لمنع العنف العرقي وحماية المواقع التراثية، وتظل يقظة لردع التهديدات المحتملة الموجهة ضد المنظمات الدولية والقواعد العسكرية.	0
وتبعاً لظروف كل حالة، يمكن بالتالي الاشتباه في ارتكاب هؤلاء الأفراد، بموجب مبدأ العمل الإجرامي المشترك، جرائم ضد الإنسانية تتمثل في قتل المدنيين والتهجير القسري وجرائم الحرب المتمثلة في الهجمات العشوائية على المدنيين وتدمير الأعيان المدنية.	1
وعلى الصعيد دون الإقليمي، سيعمل المكتب على زيادة تعاونه، لا سيما مع الجماعة الاقتصادية والنقدية لوسط أفريقيا والجماعة الاقتصادية لدول وسط أفريقيا والقوة المتعددة الجنسيات التابعة للجماعة الاقتصادية والنقدية لوسط أفريقيا في مجالات الأمن والإنذار المبكر والوقاية.	0
81. إن قدرة القادة على ممارسة السيطرة، والحفاظ على الوعي بالأوضاع، وتخطيط وتنسيق أعمالهم عموديا وأفقيا من خلال هيكل القيادة أمر أساسي لأي عملية عسكرية أو شبه عسكرية. وبما أن تنظيم القاعدة وحركة الطالبان وشركاءهما منخرطون في مثل هذا النشاط، فلا بد أن يمتلكوا هم أيضا الوسائل اللازمة للقيام بذلك، بما في ذلك معدات الاتصالات.	1
يجب ألا نقلل من شأن التهديد الذي تشكله أنشطة طالبان والقاعدة المزعزعة للاستقرار في أفغانستان.	1
وأعربوا عن أملهم في أن يتيح ذلك إحراز تقدم حاسم في المفاوضات المباشرة في الفترة التي تسبق الموعد المستهدف للاتفاق في حزيران/يونيو، الذي أقره المجلس مرة أخرى.	0
"معلومات عن امتثال أطراف النزاعات المسلحة في إنهاء تجنيد الأطفال أو استخدامهم في النزاعات المسلحة في انتهاك للقانون الدولي الساري والانتهاكات الأخرى التي تُرتكب ضد الأطفال المتأثرين بالنزاعات المسلحة;	0
ولم يتم بعد تنفيذ هذا الحكم الرئيسي المتبقي من القرار. فهو يؤكد من جديد على قرار التزم به جميع اللبنانيين في اتفاق الطائف عام 1989، في أعقاب الحرب الأهلية.	1
وقد أعرب أعضاء المجلس عن قلقهم البالغ إزاء الانتهاكات المروعة لحقوق الإنسان والجرائم ضد الإنسانية التي وردت في التقرير.	1
يجب على الدول اتخاذ التدابير القانونية المطلوبة مثل مصادرة الأموال حيثما كان هناك اشتباه في غسل الأموال أو تمويل الإرهاب.	0
وقد تم تعزيز موقع فريق بئر لحلو بمراقبين عسكريين إضافيين من موقع فريق تيفاريتي وحافظوا على اتصال وثيق مع جبهة البوليساريو.	0
يتطور فهم حقيقي للتحديات التي يواجهها كل بلد على حدة.	1
27. وقد عانت قوات الدفاع عن تيمور - ليشتي من رد فعل شعبي واسع النطاق، ولا سيما من منظمات قدامى المحاربين التي ظهرت إلى حيز الوجود في عام 2001.	1
58. ولا يزال نمط حل الخلافات السياسية وحماية المصالح من خلال استخدام الأسلحة مستمرا ويتعزز هذا النمط من خلال استمرار وتزايد اقتناء الأسلحة من مصادر خارج الصومال في انتهاك لحظر توريد الأسلحة.	0
تستند نتائج التقرير إلى مجموعة من الروايات المباشرة من الضحايا والشهود.	0
53. وتعمل المنظمة الدولية للشرطة الجنائية (الإنتربول) أيضا على إنشاء نظام الإنتربول الإلكتروني لتعقب الأسلحة لمساعدة وكالات إنفاذ القانون الوطنية على تعقب التحركات والاستخدامات غير المشروعة للأسلحة النارية.	0
ومن خلال الترحيب بالمبادرات التي تكافئ فعلياً تلك الاستراتيجية، فإن المجلس لن يؤدي إلا إلى تشجيع المتطرفين وتقويض نص وروح خارطة الطريق.	1
40. وقد أبلغتني الحكومة اللبنانية أنها اتخذت تدابير هامة من أجل تقييد تدفق الأسلحة والأشخاص وحرية حركة الأسلحة والعناصر المسلحة من وإلى مخيمات اللاجئين الفلسطينيين في لبنان في الأسابيع الأخيرة، ولا سيما منذ نهاية أيلول/سبتمبر 2005.	0
