en_ar_DEEP	VerConf
وإذ يلاحظ مع القلق أن التهديد الإرهابي أصبح أكثر انتشارا، مع تزايد الأعمال الإرهابية في مناطق مختلفة من العالم، بما في ذلك تلك التي تكون بدافع التعصب أو التطرف، ويعرب عن تصميمه على مكافحة هذا التهديد،	1
إن منع الحركة غير القانونية عبر الحدود أمر حيوي لمكافحة الإرهاب والاتجار بالمخدرات والتهريب التجاري.	1
"ويهيب مجلس الأمن بالأطراف الصومالية الاستفادة من التقدم المحرز والتعجيل باختتام مؤتمر المصالحة الوطنية الصومالية بالتوصل إلى حل دائم وشامل للصراع في الصومال عن طريق إنشاء حكومة انتقالية قادرة على البقاء.	0
وإذ يؤكد أن القانون الدولي يحظر الهجمات الموجهة عن علم وقصد ضد الأفراد المشاركين في مهمة المساعدة الإنسانية أو حفظ السلام التي يتم تنفيذها وفقاً لميثاق الأمم المتحدة والتي تشكل في حالات النزاعات المسلحة جرائم حرب، وإذ يذكّر بضرورة قيام الدول بإنهاء الإفلات من العقاب على مثل هذه الأعمال الإجرامية.	0
ورغم أن هذا أمر بناء، فإن المفاوضات المباشرة دون شروط مسبقة، والتي من المتوقع فيها أن يقدم الأطراف مقترحات إقليمية وأمنية في غضون 90 يوماً، لم تجر بعد.	1
"ويؤكد مجلس الأمن أن أي محاولة لزعزعة استقرار تشاد بالقوة أمر غير مقبول.	1
ولذلك، ينبغي للبلدان المساهمة بقوات عسكرية وقوات شرطة أن تضمن، بما في ذلك من خلال الشهادات الذاتية، أن الأفراد الذين يتم نشرهم قد تلقوا تدريبا قبل النشر بشأن حماية المدنيين.	0
ولا توضح هذه الحالة حدوث عمليات قتل جماعي للمدنيين فحسب، بل توضح أيضًا الحبس غير المشروع المصحوب بعمليات إعدام بإجراءات موجزة واغتصاب وغير ذلك من الانتهاكات.	0
ومالي والنيجر عضوان في مركز الاستخبارات المشترك دون الإقليمي المنشأ حديثا في تمنراست بالجزائر.	0
وواصلت اللجنة النظر في ثلاثة طلبات للحصول على إعفاءات: الأول يتعلق باقتراح مقدم من وكالة متخصصة تابعة للأمم المتحدة لتقديم المساعدة التقنية إلى جمهورية إيران الإسلامية؛ والثاني للطلب الذي تلقته إحدى الدول من مركز الإجراءات المتعلقة بالألغام في الجمهورية الإسلامية الإيرانية والذي تم فيه اقتراح التعاون مع تلك الدولة في مجال الإجراءات المتعلقة بالألغام؛ والثالث لطلب تلقته إحدى الدول من جمهورية إيران الإسلامية للتدريب الفني للقوات المسلحة الإيرانية.	0
ومن الواضح أن الفشل في ضمان المساءلة وتوفير التعويضات وتمكين المصالحة يمكن أن يعيق عملية السلام وحالة ما بعد الصراع، مما يخلق بالتالي تهديدا جديدا للسلام والأمن.	1
وتتخذ هذه التدابير أحيانا في سياق الإجراءات الوقائية عندما يُزعم أن الأعمال الإرهابية لا تزال في مرحلة الإعداد.	1
ومن أجل تنفيذ برنامج العمل التاسع بكفاءة أكبر، وتوجيه عمل الخبراء بصورة أكثر وضوحاً وفعالية، ستدير اللجنة نظاماً من مجموعات العمل، مفتوحاً أمام جميع أعضاء اللجنة المنشأة عملاً بالقرار 1540 (2004). وستركز مجموعات العمل على القضايا المهمة والمتكررة.	0
وفي هذا السياق، نكرر تأكيدنا المتكرر على أن التهديد الأكبر للتحقيق يكمن في أن بعض الأطراف في منطقتنا وخارجها تستغله لتسييس استنتاجات لا علاقة لها بالتحقيق على الإطلاق، ولا تستند إلى أسس ثابتة. شهادة.	1
إن محنة ومعاناة الشعب الفلسطيني المستمرة تظل تجسيدا مأساويا لعواقب عدم تنفيذ القرارات وعدم إنفاذ قرارات مجلس الأمن.	1
وشدد أعضاء اللجنة على أن التاريخ أظهر أن الدول التي ارتكبت مثل هذه الجرائم الشنيعة ضد شعوبها كانت مصدرا دائما لعدم الاستقرار وانعدام الأمن لجيرانها.	1
وقد سلم السيد برالو، الذي اتهمته المحكمة الدولية ليوغوسلافيا السابقة بارتكاب جرائم حرب، نفسه في 10 تشرين الثاني/نوفمبر وتم نقله إلى لاهاي في 11 تشرين الثاني/نوفمبر 2004.	0
وإذ يؤكد مجددا التزام الدول الأعضاء بمنع وقمع تمويل الأعمال الإرهابية، وتجريم قيام رعاياها أو في أراضيها بتوفير الأموال أو جمعها عمدا بأي وسيلة، بشكل مباشر أو غير مباشر، بقصد استخدامها. أو مع علمه بأنها ستستخدم في تنفيذ أعمال إرهابية،	0
إنني أحث الزعماء اللبنانيين على استئناف وتسريع مناقشاتهم بشأن تطوير استراتيجية دفاعية وطنية وتحقيق تقدم ملموس. ولابد أن تكون النتيجة النهائية لهذه العملية هي عدم وجود أسلحة دون موافقة حكومة لبنان وعدم وجود سلطة أخرى غير سلطة حكومة لبنان.	1
وقد رفعت مؤسسة الحرمين المدرجة في القائمة (الولايات المتحدة الأمريكية) (QE.A.117.04) دعوى قضائية جديدة ضد الحكومة في محكمة المقاطعة الفيدرالية في ولاية أوريجون، بالإضافة إلى دعوى قضائية سابقة لا تزال معلقة في الولايات المتحدة. وتزعم مؤسسة الحرمين أن قرار الولايات المتحدة بفرض عقوبات عليها كان تعسفياً وغير مدعوم بأدلة قوية، كما انتهك حقوقها في الإجراءات القانونية الواجبة (من خلال الفشل في شرح الأساس الواقعي لتصرف الحكومة والاعتماد على أدلة سرية لم يتم تقديمها للمنظمة)، وحقها في عدم التفتيش والمصادرة غير المعقولين (بناءً على تجميد أصولها)، وحقوقها في حرية التعبير وتكوين الجمعيات وممارسة الشعائر الدينية بحرية. وتزعم مؤسسة الحرمين أيضاً أن رفض الحكومة السماح لها باستخدام الأصول المحظورة لدفع أتعاب محاميها ينتهك حقوقها في الإجراءات القانونية الواجبة.	1
وقُتل أحد ضباط الشرطة الوطنية وأصيب اثنان.	0
أطلقت تركيا مشروع الوحدة الوطنية لمعالجة عدم المساواة الاجتماعية والاقتصادية في المجتمع التركي، والتي يُزعم أنها تغذي المعارضة الكردية وتجنيد حزب العمال الكردستاني.	0
يرتبط عبد الرحمن محمد ظافر الدبيدي الجهاني بتنظيم القاعدة أو أي خلية أو جماعة منتسبة أو منشقة أو مشتقة منها بسبب "المشاركة في تمويل أو تخطيط أو تسهيل أو إعداد أو ارتكاب أعمال أو أنشطة من خلال، بالاشتراك مع، بموجب الاسم أو بالنيابة عن أو دعماً" و"التجنيد لصالح" جبهة النصرة، المعروفة أيضاً باسم جبهة النصرة لأهل الشام (QE.A.137.14).	1
قالوا لماذا أنتم هنا أيها العبيد؟	1
وبالمثل، يمكن للمجلس أن يطلب صراحة من الدول الأعضاء منع الأفراد والكيانات المدرجة أسماؤهم في القائمة من الوصول إلى مرافق التدريب العسكري أو الإرهابيين أو إنشائها أو صيانتها داخل حدودها، وبالتالي توسيع نطاق حظر الأسلحة ليشمل التدريب والتجنيد بشكل شامل.	0
يكرر مطالبته جميع أطراف النزاع المسلح بالوقف الكامل والفوري لجميع أعمال العنف الجنسي، ويدعو هذه الأطراف إلى تقديم وتنفيذ التزامات محددة محددة زمنيا لمكافحة العنف الجنسي، والتي ينبغي أن تشمل، في جملة أمور، إصدار إصدار أوامر واضحة من خلال التسلسل القيادي تحظر العنف الجنسي والمساءلة عن انتهاك هذه الأوامر، وحظر العنف الجنسي في مدونات قواعد السلوك، والأدلة الميدانية للجيش والشرطة أو ما يعادلها، وتقديم وتنفيذ التزامات محددة بشأن التحقيق في الانتهاكات المزعومة في الوقت المناسب؛ ويهيب كذلك بجميع الأطراف المعنية في النزاع المسلح أن تتعاون في إطار هذه الالتزامات مع موظفي بعثات الأمم المتحدة المناسبين الذين يرصدون تنفيذها، ويهيب بالأطراف أن تعين، حسب الاقتضاء، ممثلا رفيع المستوى مسؤولا عن ضمان التنفيذ من هذه الالتزامات؛	1
كما أعطتنا قيادة الوحدة، بموجب الأمر رقم 206/1735 تاريخ 18 شباط 2005، تصريحاً كتابياً من تلك الجهة، المرجع. مرسوم رقم 36/2005 تاريخ 18/2/2005 المتضمن أمر بإبقاء سيارات موكب الحريري داخل الثكنة وتغطيتها بالخيام ووضعها تحت الحراسة، وقد تم ذلك.	0
ويذكّر مجلس الأمن بمطالبته لجميع الأطراف في أي نزاع مسلح بالامتثال الكامل للالتزامات المنطبقة عليها بموجب القانون الدولي فيما يتصل بحماية المدنيين في النزاعات المسلحة، بما في ذلك الصحفيون والإعلاميون والموظفون المرتبطون بهم.	1
"ويقر مجلس الأمن بضرورة منع وقمع تمويل الإرهاب والمنظمات الإرهابية، بما في ذلك من عائدات الجريمة المنظمة، ومن بينها إنتاج المخدرات وسلائفها الكيميائية والاتجار بها بشكل غير مشروع، وأهمية مواصلة التعاون الدولي نحو ذلك الهدف.	0
وينبغي أن يكون لعدم الامتثال للالتزامات بموجب الميثاق عواقب على أي دولة عضو، ولا ينبغي أن يكون السودان استثناءً.	1
وقد أظهر الحادث الذي وقع في شمال ميتروفيتشا بوضوح أنه على الرغم من الولاية التي منحها مجلس الأمن فيما يتعلق بإعادة تشكيل بعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو، فإن بعثة الاتحاد الأوروبي تبتعد بشكل متزايد عن مبدأ الحياد بشأن المركز، وهو ما يقوض مكانة ذلك الوجود الدولي.	1
وذكر الممثل الخاص أن القتال لا يبشر بالخير بالنسبة للتوصل إلى اتفاق بين الأطراف المتحاربة خلال محادثات السلام التي تقودها الهيئة الحكومية الدولية المعنية بالتنمية، والمقرر عقدها في 6 تشرين الثاني/نوفمبر.	0
ودعا محاورون من أحزاب المعارضة والمجتمع المدني في جميع أنحاء البلاد المجتمع الدولي إلى منع تغيير الدستور. واعتبر الشركاء الدوليون أن الانتقال السلمي للسلطة أمر ضروري لتحقيق السلام والاستقرار في البلاد في المستقبل.	0
ورغم أن فترة الحملة الرسمية لم تبدأ بعد، فقد أعربت أحزاب المعارضة والمجتمع المدني عن قلقها إزاء تعطيل أنشطتها السياسية من قبل السلطات الوطنية، ولا سيما الشرطة.	1
لقد مُنعنا من مجرد إدانة العنف وتأييد الخطة السلمية التي وضعها جيران سوريا.	1
وفي الوقت نفسه، فإن العناصر الحاسمة الأخرى في عملية بناء المؤسسات هذه هي تعزيز سيادة القانون من خلال تعزيز كفاءة النظام القضائي وحياده وعمله بشكل عام، وتعزيز مؤسسات إنفاذ القانون من أجل كبح الجريمة المنظمة والعنف العرقي وتحقيق العدالة. جميع المجرمين إلى العدالة.	1
ومن غير الممكن أيضا أن ننكر أن أرمينيا، باعتبارها قوة احتلال، تتحمل المسؤولية المباشرة عن ارتكاب هذه الجرائم.	1
2. يدعو الحكومة السورية إلى التنفيذ الواضح لالتزاماتها في مجملها، كما وافقت على القيام بذلك في التفاهم الأولي وعلى النحو المنصوص عليه في القرار 2042 (2012)، من أجل (أ) وقف تحركات القوات نحو المراكز السكانية، (ب) وقف جميع أشكال استخدام الأسلحة الثقيلة في هذه المراكز، (ج) الانسحاب الكامل للتمركزات العسكرية داخل المراكز السكانية وما حولها، وكذلك سحب قواتها وأسلحتها الثقيلة من المراكز السكانية إلى ثكناتها أو أماكن انتشارها المؤقتة لتسهيل الوقف المستمر للعنف ;	1
وأشاد المجلس بالمقدمة التي أعدها وفد فيتنام للتقرير السنوي للفترة 2007/2008، لأنها تضمنت ملخصاً وتحليلاً موضوعياً لأنشطة المجلس في مختلف المناطق وبقضايا تتراوح بين انتشار أسلحة الدمار الشامل ودور المنظمات الإقليمية ودون الإقليمية في المساهمة في الحفاظ على السلام والأمن الدوليين.	0
وكما كان متوقعا، أدى قدوم الصيف إلى زيادة مستوى نشاط القوات المسلحة المعارضة.	0
وهذا يعني أن الانفصاليين يواصلون تجاهل القانون الدولي بشكل صارخ، ورفضهم للمبادئ العالمية لميثاق الأمم المتحدة.	1
4 - تقترح المذكرة أن يبدأ مجلس الأمن عملية "مراجعة استراتيجية" رسمية للنظر في كيفية تأثير التقاطع بين الجريمة عبر الحدود والإرهاب على جهوده لمنع نشوب الصراعات وحل الصراعات، ولا سيما في أفريقيا، والنظر في الأدوات المتاحة واستخدامها لتقليص الحيز الاستراتيجي الذي توفره الجريمة عبر الحدود للجماعات الإرهابية.	0
"ويكرر مجلس الأمن إدانته القوية لجميع انتهاكات القانون الدولي المنطبق المرتكبة ضد النساء والفتيات، بما في ذلك العنف الجنسي والجنساني والقتل والتشويه، في حالات النزاع المسلح وما بعد النزاع، ويحث جميع الأطراف على الوقف الكامل لهذه الانتهاكات يتصرف بأثر فوري.	1
531 - لاحظت اللجنة في البداية أنها حددت هوية 10 مسؤولين رفيعي المستوى في الحكومة المركزية، و17 مسؤولا حكوميا يعملون على المستوى المحلي في دارفور، و14 عضوا من الجنجويد، و7 أعضاء من مختلف الجماعات المتمردة، و3 ضباط من جيش أجنبي. (الذين شاركوا بصفتهم الفردية في النزاع) الذين يشتبه في أنهم يتحملون المسؤولية الجنائية الفردية عن الجرائم المرتكبة في دارفور.	1
وفي عام 2010، قدم الاتحاد الروسي تشريعا شاملا لتعزيز الضوابط على استيراد/تصدير وتداول الأسلحة والمتفجرات، مع إسناد المسؤولية العامة عن الإشراف على هذه التدابير والتحقيق فيها وتنفيذها إلى مكتب المدعي العام. مراقبة الحدود 194- تصدر جميع دول المنطقة دون الإقليمية وثائق سفر يمكن قراءتها آلياً.	0
13. ناقشت اللجنة المجالات الرئيسية التالية لتحقيق تقدم محتمل: مواصلة تحسين إجراءات المساعدة؛ وتحديد وتحليل احتياجات المساعدة؛ ومواصلة تطوير الحوار بشأن المساعدة مع المنظمات الدولية والإقليمية ودون الإقليمية ذات الصلة، والمنظمات غير الحكومية حسب الاقتضاء؛ وتعزيز قدرة اللجنة وخبرائها على تيسير المساعدة؛ وزيادة الوعي بقضايا المساعدة.	0
وقد وضعت بعض الدول استراتيجيات وطنية لمكافحة الإرهاب، ولكن مستوى التنفيذ يحتاج إلى تحسين وينبغي إيلاء مزيد من التركيز للجوانب الوقائية، بما في ذلك على وجه الخصوص معالجة التحريض على الإرهاب والتهديد بالتطرف الذي يؤدي إلى التطرف العنيف.	0
وينبغي أن يؤخذ في الاعتبار أنه على الرغم من السماح بحماية أفضل للمدنيين، فإن القدرات مثل تحسين الاستخبارات وقدرات الرد السريع وعوامل التمكين الحاسمة غالبا ما يكون لها آثار كبيرة على الموارد والدعم الميداني أو قد تتطلب مجموعة أوسع من البلدان المساهمة بقوات عسكرية وأفراد شرطة .	0
وإذ يؤكد من جديد ضرورة مكافحة التهديدات التي يتعرض لها السلام والأمن الدوليان نتيجة للأعمال الإرهابية، بجميع الوسائل، وفقا لميثاق الأمم المتحدة،	1
ومع ذلك، نلاحظ أنه بدون وجود قطاع عدالة وأمن مرن، قد يتعرض السلام والاستقرار المزدهر في البلاد للتهديد.	1
وإذ يساورها القلق من أن المقاتلين الإرهابيين الأجانب يزيدون من حدة الصراعات ومدتها واستعصائها على الحل، وقد يشكلون أيضا تهديدا خطيرا لدولهم الأصلية والدول التي يعبرونها والدول التي يسافرون إليها، فضلا عن الدول المجاورة التي تشهد نزاعات مسلحة التي ينشط فيها المقاتلون الإرهابيون الأجانب والتي تتأثر بأعباء أمنية خطيرة، وإذ تلاحظ أن التهديد الذي يشكله المقاتلون الإرهابيون الأجانب قد يؤثر على جميع المناطق والدول الأعضاء، حتى تلك البعيدة عن مناطق النزاع، وإذ تعرب عن بالغ القلق من أن المقاتلين الإرهابيين الأجانب يستخدمون قدراتهم الفكر المتطرف لترويج الإرهاب	1
"ويهيب مجلس الأمن بدول المنطقة أن تواصل مساعدة بعضها البعض، إلى أقصى حد ممكن، في منع أعمال الاتجار بالمخدرات وما يتصل بذلك من جريمة منظمة عبر وطنية والتحقيق فيها ومقاضاة ومعاقبة مرتكبيها، وتقديم مرتكبي الجرائم المنظمة عبر الوطنية إلى العدالة تمويل أو تخطيط أو دعم أو ارتكاب مثل هذه الأعمال، وفقا للقانون الدولي.	0
وإذ يؤكد أن الإرهاب لا يمكن هزيمته إلا من خلال نهج مستدام وشامل يتضمن المشاركة الفعالة والتعاون من جانب جميع الدول والمنظمات الدولية والإقليمية لعرقلة التهديد الإرهابي وإضعافه وعزله وإضعافه،	0
ومن الواضح أن السبب في ذلك هو أن الدول المعنية رفضت تدابيره.	1
ومع ذلك، لا يزال الوضع مثيرا للقلق نظرا للحدود الطويلة التي تفصل بين بلدينا، والتي يصعب ممارسة السيطرة عليها.	1
ونحن ندين جميع الأعمال والجرائم ذات الدوافع العرقية في كوسوفو.	1
وحثت المرشد الأعلى على منع وقمع الجرائم ضد الإنسانية، وضمان محاكمة مرتكبيها وتقديمهم إلى العدالة.	1
ومع ذلك فقد تمكن بن لادن من الاستفادة من وسائل الاتصالات الحديثة لجذب العديد من المسلمين باعتباره زعيماً روحياً يجعل العنف يبدو بطريقة ما مجيداً وواجباً بدلاً من الإرهاب الذي هو عليه في الواقع.	0
كما دعمت تطوير قدرات إنفاذ القانون البحري وأطلقت صندوقًا جديدًا للأمن البحري في غرب ووسط أفريقيا لهذا الغرض.	0
اسمحوا لي أن أبدأ بتأكيد قلق الاتحاد الأوروبي العميق إزاء الحالة في الصومال وإزاء التداعيات الإقليمية المترتبة على الصراع الدائر فيه.	1
تعزيز ودعم الإدارة الدقيقة للمعلومات المتعلقة بالنزاع.	0
لا شك أن الإرهاب يمثل أحد أخطر التهديدات التي يتعرض لها السلام والأمن الدوليان ويظل سببا رئيسيا للقلق ليس بالنسبة للدول الأفريقية فحسب، بل للمجتمع الدولي برمته.	1
