en_ar_DEEPL	MatCoop
23. استمر التعاون الوثيق بين بعثة مراقبي اﻷمم المتحدة في جورجيا وقوة حفظ السﻻم التابعة لرابطة الدول المستقلة من خﻻل زيارات اﻻتصال المنتظمة، واﻻجتماعات الرباعية اﻷسبوعية، وتبادل المعلومات والدوريات المشتركة.	1
ومع ذلك، لا تزال الدول بحاجة إلى تعزيز برامجها وتعاونها وتنفيذ أحدث الممارسات الدولية الفضلى ومعايير مراقبة الأسلحة.	0
40. يرحب بتقديم إحاطات دورية من حكومة أفغانستان بشأن محتوى القائمة، وكذلك بشأن أثر الجزاءات المحددة الهدف على ردع التهديدات التي يتعرض لها السلام والاستقرار والأمن في أفغانستان، ودعم المصالحة التي يقودها الأفغان;	0
20. ولم يتم بعد إطلاق برنامج الخدمة المدنية المزمع تنفيذه، والذي يهدف إلى استيعاب 000 20 من المقاتلين السابقين و 000 20 من الشباب المعرضين للخطر.	1
بالإضافة إلى ذلك، تبادل الفريق المعلومات مع خبراء لجنة القرار 1540 وخبراء الصومال وليبيريا، وكذلك مع المنظمات غير الحكومية والأكاديمية ذات الصلة.	1
163. وقد قُدم إلى اللجنة تقرير متماسك وشامل عن النتائج التي توصل إليها التحقيق في مسرح الجريمة ونتائجه.	1
11. وشدد الطرفان على أهمية إدارة هذه المرحلة الجديدة بالتعاون مع الشركاء الإقليميين والدوليين الذين دعوا إلى دعم جهودهم التي ستتم في إطار التقيد الصارم بالأهداف التي حددها المجتمع الدولي للحفاظ على السلامة الإقليمية لمالي وسيادته وتعزيز وحدته الوطنية.	0
احتجزت الفتيات لمدة ثلاثة أيام واغتصبن ثم أطلق سراحهن.	0
وحجج الجانب الأرميني مثيرة للدهشة بشكل خاص لأنها قدمت في مجلس الأمن الذي اعتمد في عام 1993 سلسلة من أربعة قرارات تدين استخدام القوة ضد أذربيجان واحتلال أراضيها وتطالب بانسحاب قوات الاحتلال الأرمينية الفوري والكامل وغير المشروط من جميع الأراضي المحتلة في أذربيجان (القرارات 822 (1993) و 853 (1993) و 874 (1993) و 884 (1993)).	0
استمرت المناقشات والمفاوضات بشأن ضمان المساءلة عن الجرائم بموجب القانون الدولي لسنوات في بوروندي، بما في ذلك مع الأمم المتحدة.	0
وتجرّم جميع الدول تقريباً استخدام أراضيها لارتكاب أعمال إرهابية أو الإعداد لها ضد مواطني دول أخرى ومنشآتها وممثليها الدبلوماسيين.	1
"ويحث مجلس الأمن حكومتي جمهورية الكونغو الديمقراطية ورواندا على الاستجابة دون مزيد من التأخير للجهود التي تبذلها بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية في إطار ولايتها الحالية من أجل إنشاء آلية تحقق مشتركة لأمنهما المشترك، بما في ذلك التحقق من التحركات عبر الحدود، في أقرب وقت ممكن.	0
[و] يشدد على ضرورة تنفيذ برنامج عمل الأمم المتحدة لمنع الاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة من جميع جوانبه ومكافحته والقضاء عليه، والصك الدولي لتمكين الدول من تحديد الأسلحة الصغيرة والأسلحة الخفيفة غير المشروعة وتعقبها في الوقت المناسب، من أجل إحراز تقدم حقيقي في منع الاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة ومكافحته والقضاء عليه.	0
وكان لدى اللجنة الوطنية دليل على أن القوات المسلحة قصفت بعض المناطق التي لجأ إليها بعض أعضاء المعارضة. ونتيجة لذلك القصف، قُتل بعض المدنيين.	0
ومع ذلك لا يزال العراق يواجه قوى الإرهاب التي تضم عناصر أجنبية تنفذ هجمات مروعة وأعمالاً إرهابية في محاولة لإفشال التنمية السياسية والاقتصادية في العراق.	0
53. وعلى الرغم من أن الحماية المادية للمدنيين من العنف لا تزال مهمة، فإنه ينبغي زيادة التركيز على الحماية من خلال العمليات السياسية والمدنية، وجهود المصالحة على مستوى المجتمع المحلي، وتهيئة بيئة حمائية بالتنسيق الوثيق مع فريق الأمم المتحدة القطري وغيره من الجهات الفاعلة في مجال الحماية.	0
ومع ذلك، تجدر الإشارة إلى نوعية الدعم الذي قدمته القوات الفرنسية إلى بعثة الأمم المتحدة المتكاملة المتعددة الأبعاد لتحقيق الاستقرار في مالي في عدة مجالات:	1
إن أولئك الذين يكتسبون أكبر قدر من الخبرة الإرهابية العملياتية اليوم هم أصغر سنًا حتى الآن، ويتألفون في المقام الأول من أفراد في سن المراهقة حتى أوائل الثلاثينيات.	0
وبالإضافة إلى ذلك، استمرت الانتهاكات الجوية الإسرائيلية للخط الأزرق بشكل منتظم، في انتهاك مباشر للقرار 1701 (2006).	0
ويدين مجلس الأمن جميع أعمال العنف وأشكال الترهيب الأخرى الموجهة عمداً ضد العاملين في المجال الإنساني، وكذلك الهجمات على قوات حفظ السلام.	0
في مايو 2000، قاد الترابي انشقاقًا عن المؤتمر الوطني الحاكم، ليؤسس في الواقع حزبًا جديدًا باسم المؤتمر الشعبي.	1
اسمحوا لي أن أبدأ بتكرار الإعراب عن قلق الاتحاد الأوروبي العميق إزاء الوضع في الصومال وإزاء الآثار الإقليمية المترتبة على الصراع فيه.	0
وتتمثل أهداف البرنامج في المساعدة في تنفيذ الإصلاحات الهيكلية اللازمة لإعطاء الدولة الكونغولية القدرة على بسط سلطتها على الصعيد الوطني، وتعزيز قدرة المجتمعات المحلية على الاستجابة للصدمات المعاكسة، وتوفير الفرص الاقتصادية للشباب العاطلين عن العمل وغيرهم من الفئات المعرضة للخطر الشديد، وتحقيق مكاسب سلام ملموسة في المقاطعات الغربية.	1
استمرت الهجمات في العديد من الحالات لعدة ساعات.	0
وتشارك الوحدة في فرق عمل مشتركة بين وكالات متعددة أنشئت للتحقيق في جرائم غسل الأموال والجرائم الأصلية، بما في ذلك تمويل الإرهاب.	1
19. وقد يسّر البرنامج الوطني لإعادة الإدماج والتأهيل المجتمعي، الذي يتوقع أن يستوعب 000 6 مقاتل سابق، تسجيل أفراد القوات الجديدة وتحديد ملامحهم.	1
كما تقود المديرية التنفيذية للجنة مكافحة الإرهاب مبادرة عالمية مدتها ثلاث سنوات، بالنيابة عن الفريق العامل المعني بالتصدي لتمويل الإرهاب التابع لفرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب وبدعم من عدة دول ومنظمات مانحة، من أجل التوصل إلى فهم مشترك للممارسات السليمة لمكافحة تمويل الإرهاب من خلال هذا القطاع.	1
وقد هرعت سيارات الدفاع المدني وفرق الإطفاء والصليب الأحمر إلى المنطقة وتحركت لإخماد الحريق وجمع الجثث ونقل الجرحى إلى المستشفى.	1
ويحذر الأمين العام بطريقة لا لبس فيها من أنه لم يتم الوفاء بأي من المعايير الثمانية حتى الآن بشكل كامل.	0
كما أطلقت بعض الدول والمنظمات الإقليمية مبادرات أخرى تتعلق بمراقبة الحدود، مثل نظم الإخطار أو التصاريح التي تتطلب من المسافرين تقديم معلومات عن هويتهم قبل سفرهم، أو أنشأت نظم معلومات جديدة خاصة بالتأشيرات، أو قواعد بيانات مشتركة.	1
إذ يشير إلى قراره 1373 (2001) المؤرخ 28 أيلول/سبتمبر 2001، الذي أنشأ بموجبه لجنة مكافحة الإرهاب، وإذ يشير أيضا إلى قراراته الأخرى المتعلقة بالأخطار التي تهدد السلم والأمن الدوليين من جراء الأعمال الإرهابية،	1
وعلاوة على ذلك، وخلال زيارة الفريق للسودان، قُدمت معلومات رسمية عن قيام جماعات مرتبطة بتنظيم القاعدة بتهريب الأسلحة عبر إريتريا إلى عناصر القاعدة في المملكة العربية السعودية.	0
11. يوجه اللجنة إلى التعاون مع لجان الجزاءات الأخرى ذات الصلة التابعة لمجلس الأمن، ولا سيما اللجنة المنشأة عملا بالقرار 1988 (2011)؛	0
يدعو [الدولة المتضررة إلى تيسير] الإغاثة الدولية من أجل الكارثة الإنسانية عن طريق وقف جميع القيود التي قد تعيق تقديم المساعدة الإنسانية والوصول إلى السكان المتضررين.	1
9. يطلب إلى الأمين العام أن يواصل تقديم تقارير منتظمة، كل ثلاثة أشهر على الأقل، عن الحالة في جمهورية الكونغو الديمقراطية وعن أنشطة البعثة، وأن يقدم إلى مجلس الأمن، بنفس الانتظام، تقريرا محددا عن آخر المستجدات في الحالة العسكرية؛	1
66. أنشئت عدة آليات تعاون إقليمي لتعزيز قدرة الدول على منع التحريض بشكل جماعي وحرمانها من الملاذ الآمن في منطقة أمريكا اللاتينية والبحر الكاريبي.	1
وتتناول اللجان التنفيذية على أساس مخصص تلك القضايا التي تتعلق بوضع المرأة في مختلف المناطق المنكوبة بالنزاعات، بما في ذلك العنف القائم على نوع الجنس والاستغلال الجنسي والاعتداء الجنسي.	1
في كثير من الأحيان، لا يحصل الضحايا الذين يمثلهم محامٍ إلا على مستوى مرضٍ من التعويض.	1
وتعاونت قوة كوسوفو وشرطة بعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو في إدارة الأمن في المناسبات العامة الكبرى، ومكافحة العنف السياسي، وتوفير تدابير أمنية خاصة لطوائف الأقليات المهددة.	1
وعلاوة على ذلك، هناك حاجة إلى إجراء المزيد من البحوث لإثبات أن مثل هذه البرامج تؤدي إلى نتائج إيجابية حقيقية فيما يتعلق باحتمالية ارتكاب هؤلاء الأفراد لمزيد من الأعمال الإرهابية أو تحريض الآخرين على ارتكاب مثل هذه الأعمال.	1
تفويض بعثات حفظ السلام والبعثات الأخرى ذات الصلة التي يأذن بها مجلس الأمن بتعزيز إنشاء آليات لرصد وسائل الإعلام لضمان الرصد الفعال والإبلاغ والتوثيق لأي حوادث ومصادر ومحتويات تحرض على "إعلام الكراهية".	0
ويجب بذل الجهود منذ البداية لضمان التنسيق مع هيئات الإنفاذ والسلطات الوطنية الأخرى؛ ووضع الأطر القانونية الوطنية المناسبة؛ وتعزيز قدرات النظم القضائية ونظم إنفاذ القانون.	0
11. وخلال تلك المشاورات غير الرسمية أيضا، قدم ممثلان لبعثة منظمة الأمم المتحدة لتحقيق الاستقرار في جمهورية الكونغو الديمقراطية إحاطة إلى اللجنة عن طريق التداول بالفيديو بشأن ولاية البعثة في مجال رصد الجزاءات، ولا سيما تعقب الأسلحة ووسمها، بناء على طلب اللجنة.	1
يقرر أن يؤذن لـ [قوة المنظمة الإقليمية] باتخاذ جميع التدابير اللازمة، في حدود إمكانياتها وقدراتها، للاضطلاع بالمهام التالية، وفقا للاتفاق الذي سيتم التوصل إليه بين [المنظمة الإقليمية] والأمم المتحدة: ...	1
وإنني أرحب بالجهود التي تبذلها الدول لضمان حصول المشتبه بهم على محاكمة عادلة وأن تكون ظروف سجنهم إنسانية وآمنة، وفقاً للمعايير الدولية لحقوق الإنسان.	1
وأبلغ الممثل الخاص كوبلر المجلس عن عدة هجمات ارتكبتها القوات الديمقراطية المتحالفة التي وقعت في الفترة ما بين 5 و 18 تشرين الأول/أكتوبر، والتي تسببت في مقتل أكثر من 40 مدنيا ومئات المشردين داخليا بالقرب من بلدة بيني في الجزء الشرقي من جمهورية الكونغو الديمقراطية.	0
:: تكفل اللجنة امتثال أي تدابير تتخذها الدول لمكافحة الإرهاب لجميع التزاماتها بموجب القانون الدولي، ولا سيما قانون حقوق الإنسان وقانون اللاجئين والقانون الإنساني.	1
▪ التنسيق المنتظم، بين العنصرين المدني والعسكري للبعثة وبين البعثة والجهات الفاعلة في المجال الإنساني، من أجل تعزيز الخبرات في مجال حماية المدنيين.	1
وقد تمكنت اللجنة من وضع سرد مفصل ودقيق لأحداث شهري أبريل/نيسان ومايو/أيار التي أسفرت عن خسائر كبيرة في الأرواح والإصابات وأضرار واسعة النطاق في الممتلكات.	1
وقدمت المفوضية التدريب للمسؤولين المعنيين في بيلاروس وأوكرانيا بهدف ضمان التنفيذ الفعال والعادل للأحكام المتعلقة بتحديد وضع اللاجئين المنصوص عليها في اتفاقية عام 1951.	1
وتدعو منظمة التعاون الإسلامي إلى وضع حد للاحتلال العسكري الإسرائيلي للأرض الفلسطينية، بما فيها القدس الشرقية، والأعمال غير القانونية التي تقوم بها السلطة القائمة بالاحتلال والتي أودت بحياة الآلاف من المدنيين وألحقت دماراً هائلاً وفاقمت من الصعوبات الاجتماعية والاقتصادية والإنسانية التي يعاني منها الشعب الفلسطيني في انتهاك للقانون الدولي، بما في ذلك القانون الإنساني وقانون حقوق الإنسان.	0
وخلال الفترة المشمولة بالتقرير، تم تعديل تشكيل الفريق المشترك للمراقبة والتحقق في غاو ليشمل جميع أعضاء المجموعات المسلحة في التنسيقية والمنصة، بالإضافة إلى ممثلين من الجزائر وتشاد وموريتانيا والنيجر. وفي الفترة من 19 إلى 22 تشرين الثاني/نوفمبر، قام فريق غاو ببعثة لتقصي الحقائق في ديدي على جانبي نهر النيجر.	1
12. ستولي اللجنة، بالتعاون الوثيق مع اللجنة المنشأة عملا بالقرارين 1267 (1999) و 1540 (2004) ووفقا لولايتها، اهتماما خاصا للدول التي لا تتوفر بشأنها معلومات عن تنفيذ القرار 1373 (2001) وستناقش أفضل السبل لمعالجة هذه المسألة.	0
لا يمكن معالجة ظاهرة المقاتلين الإرهابيين الأجانب من خلال الوسائل الأمنية وحدها.	1
377. يحظر التعذيب والمعاملة القاسية بموجب المادة 3 المشتركة بين اتفاقيات جنيف.	1
وتلتزم القيادة الجورجية التزامًا راسخًا بالتسوية السلمية للنزاع على أراضيها، وترجح كفة الشمولية والاندماج العرقيين، وحماية حقوق الإنسان والحريات.	0
نحن قلقون للغاية من أن العمليات المخصصة التي تم إنشاؤها لهذا الغرض يبدو أنها فشلت.	0
وحالما يتم اعتماد الخطة المنقحة من قبل اللجنة، سيكون أحد الأنشطة ذات الأولوية للمديرية هو الشروع في الهيكل الجديد للمجموعات والوحدات وبدء العمل على وضع معايير للأحكام ومواءمتها عبر كامل نطاق عمل المديرية.	1
82. والتوصيات ذات الأولوية هي: (أ) تشجيع جميع الدول على اعتماد أطر قانونية شاملة ومتسقة لمكافحة الإرهاب من شأنها أن تيسر تنفيذ استراتيجيات سليمة ومتسقة قانونا لمكافحة الإرهاب;	1
لم يتم إعداد أي وثيقة تحدد أساس الإعلان، والنطاق الإقليمي للإعلان، ودرجة تدخل السلطات العسكرية والصلاحيات الممنوحة وطريقة التعاون بين القوات المسلحة التيمورية والشرطة الوطنية التيمورية أو قرارات قيادة العمليات الميدانية.	0
o في 11 نوفمبر/تشرين الثاني 2014، نصبت قوات النظام كميناً في قرية اللاهونة مما أسفر عن مقتل 13 شخصاً.	0
167. سنت جميع دول المنطقة دون الإقليمية قوانين للهجرة وجوازات السفر لتنظيم الهجرة وأمن وثائق السفر، ووضعت إجراءات لإثبات الهوية الحقيقية للأشخاص قبل إصدار وثائق الهوية.	1
وينبغي للدول أن تعتمد نهجاً شاملاً في الحرمان من الملاذ الآمن، حيث يلزم اتخاذ عدة تدابير مترابطة لضمان الفعالية. وتشمل هذه التدابير تدابير تشريعية وتدابير إنفاذ القانون ومراقبة الحدود وتدابير اللجوء واللجوء.	1
317. ولم تعثر اللجنة على أي معلومات أو أدلة تشير إلى أن الجماعات المتمردة مسؤولة عن التسبب في دمار واسع النطاق.	1
17. يطالب جميع الأطراف في عمليتي غوما ونيروبي باحترام وقف إطلاق النار وتنفيذ التزاماتها بفعالية وبحسن نية، ويدعو جميع الجماعات المسلحة إلى إلقاء أسلحتها فورا وتسليم نفسها دون مزيد من التأخير أو شروط مسبقة إلى السلطات الكونغولية والبعثة لنزع سلاحها وإعادتها إلى الوطن وإعادة توطينها و/أو إعادة إدماجها، حسب الاقتضاء؛	1
كما ذُكر سابقاً، هناك نزاع مسلح طويل الأمد، ليس ذا طابع دولي، في دارفور بين السلطات الحكومية والجماعات المسلحة المنظمة.	0
لم تقم العديد من الدول بمراجعة قطاعاتها غير الربحية فيما يتعلق بمخاطر تمويل الإرهاب، ولكن المملكة المتحدة، على وجه الخصوص، وضعت آليات لتقييم هذا القطاع وحمايته، ومن خلال البرنامج الدولي للجنة المؤسسات الخيرية، لتأمين التوعية التشغيلية على الصعيد الدولي، وكذلك المساعدة في بناء القدرات في أجزاء أخرى من العالم.	1
ومن شأن هذا الخيار أن يتمتع بميزة تسخير استعداد الدول الأعضاء لتخصيص أصول بحرية قوية للتصدي للتهديدات الناشئة على الأرض.	1
ما يحتاج الجميع إلى القيام به هو رفض الأصوات المتطرفة التي تجد الراحة في الطرق القديمة والتي تعتقد أنه من المستحيل على الصرب والألبان تطبيع علاقاتهم من خلال التوصل إلى تسوية تاريخية.	0
(ح) وضع منهجيات لتحسين فعالية التعاون مع فرادى الدول والمنظمات دون الإقليمية والإقليمية والدولية والترتيبات المتعددة الأطراف التي تتعامل مع ضوابط التصدير والكيانات ذات الصلة داخل منظومة الأمم المتحدة، وتقييم مستوى التعاون بين اللجان المنشأة عملا بالقرارات 1540 (2004) و 1267 (1999) و 1373 (2001)، وتقييم مستوى تبادل المعلومات والتنسيق بشأن الزيارات إلى البلدان على وجه الخصوص، وتقديم توصيات محددة، عند الاقتضاء، لتعزيز التعاون.	1
39. في إطار المنتدى العالمي لمكافحة الإرهاب، شارك فريق الرصد في حلقة العمل بشأن الممارسات الجيدة الاستباقية لمكافحة الإرهاب في قطاع العدالة الجنائية، التي عقدت في أبوجا، وفي اجتماع الفريق العامل المعني بمنطقة الساحل الذي عقد في وهران، الجزائر، في حزيران/يونيه 2013، بهدف تعزيز نظام الجزاءات وتقييم التهديد في المنطقة.	1
وقد زاد ذلك من إمكانية استخدام حظر الأسلحة كجزء من استراتيجية فعالة لبناء السلام بعد انتهاء النزاع.	0
يجب أن تكون القوات والشرطة على استعداد أفضل للمشاركة في مهام الحماية، بما في ذلك منع العنف الجنسي المرتبط بالنزاعات.	1
208. وزودت اللجنة اللجنة بأرقام الخسائر التي وقعت في الأرواح والأسلحة المسروقة في الفترة من كانون الثاني/يناير 2003 إلى تشرين الثاني/نوفمبر 2004. وفيما يتعلق بالجيش، زُعم أن 937 قتيلاً و264 2 جريحاً و629 مفقوداً و934 قطعة سلاح سُرقت. وفيما يتعلق بالشرطة، زُعم أن 685 قتيلاً و500 جريحاً و62 مفقوداً و1247 قطعة سلاح تم نهبها. وفيما يتعلق بأجهزة الأمن والمخابرات، زُعم مقتل 64 شخصًا وإصابة شخص واحد بجروح وفقدان 26 شخصًا ونهب 91 قطعة سلاح.	0
وينبغي ألا يسمح هذا المجلس بمكافأة تلك الاستراتيجية من خلال التصدي للإرهاب بدلا من التصدي للإرهاب نفسه. يجب رفضها وليس استرضاءها.	0
(أ) مراجعة القوانين الجنائية من أجل ضمان تجريم الجرائم في كل فئة من الفئات المحددة على النحو الصحيح، وسن أحكام تشريعية لمكافحة الإرهاب، حسب الاقتضاء؛	0
