en_ar_DEEP	VerCoop
8 - يشدد على أهمية الوصول الآمن ودون عوائق للعاملين في مجال تقديم المساعدة الإنسانية إلى المدنيين في الصراعات المسلحة، ويهيب بجميع الأطراف المعنية، بما في ذلك الدول المجاورة، أن تتعاون تعاونا كاملا مع منسق الأمم المتحدة للشؤون الإنسانية ووكالات الأمم المتحدة في توفير هذا الوصول، ويدعو الدول إلى الأمين العام أن يلفت انتباهه إلى المعلومات المتعلقة بالمنع المتعمد من الوصول إلى هذه المعلومات انتهاكا للقانون الدولي، حيث قد يشكل هذا الرفض تهديدا للسلم والأمن الدوليين، ويعرب، في هذا الصدد، عن استعداده للنظر في هذه المعلومات و عند الضرورة، اتخاذ الخطوات المناسبة؛	1
ولئن كانت القرصنة على طول سواحل الصومال لا تزال تشكل تحديا خطيرا، فإننا نناشد المجتمع الدولي ألا ينسى أن حل تلك المشكلة يجب أن يأتي من البر، وليس من البحر. إن الحل الشامل للصراع الصومالي يجب أن يعالج جميع الأسباب الجذرية للقرصنة والتحديات الأخرى، بما في ذلك استغلال الموارد البحرية وإلقاء النفايات السامة.	0
57 - ومع ذلك، تظل الحقيقة هي أن تمويل الإرهاب لا يتبع أي نمط واضح، وخاصة بالنسبة للخلايا المحلية التي تجمع الأموال لدعم أنشطتها الخاصة.	0
19 - إن إنشاء الفريق المعني بالقرار 1624 (2005) وجوانب حقوق الإنسان في مكافحة الإرهاب سيمكن المديرية التنفيذية، أولا، من المساهمة في نظر اللجنة في الكيفية التي يمكن بها أن تساعد الدول الأعضاء على معالجة قضايا مثل التحريض على الإرهاب. الإرهاب والحوار بين الثقافات الذي أثاره القرار 1624 (2005).	1
وأدين أيضا تجاهل حزب الله المتهور لرغبات الحكومة اللبنانية المنتخبة ولمصالح الشعب اللبناني والمنطقة ككل.	0
بناء على تعليمات قاضي التحقيق الأول لدى المحكمة العسكرية، وبموافقة المدير العام لقوى الأمن الداخلي، تم نقل سيارات موكب الحريري إلى ثكنة الحلو، بعد تصويرها في مكانها وبالفيديو وتم التسجيل بحضور قائد أمانة بيروت الإقليمية الثانية وآمر فرقة مرور بيروت الثانية وآمر مفرزة البرج وفرقة من المباحث الجنائية، وباستخدام الأضواء التي وفرها الدفاع المدني وذلك بموجب البلاغ رقم ​​144/302 المؤرخ في 14 شباط/فبراير 2005.	0
أفاد المنسق الخاص أن الهدوء العام في جنوب لبنان مستمر، على الرغم من وقوع بعض الحوادث الأمنية خلال الفترة المشمولة بالتقرير، بما في ذلك إطلاق صواريخ باتجاه إسرائيل من جنوب لبنان خلال النزاع المتعلق بغزة في تموز/يوليه وآب/أغسطس، وحادثين أمنيين خطيرين في منطقة مزارع شبعا (القطاع الشرقي).	0
13 - تؤكد اللجنة من جديد أنه يجب على الدول أن تكفل امتثال أي تدابير تتخذها لمكافحة الإرهاب لجميع التزاماتها بموجب القانون الدولي، وأنه ينبغي لها أن تعتمد هذه التدابير وفقا للقانون الدولي، ولا سيما قانون حقوق الإنسان، وقانون اللاجئين، والقانون الإنساني.	1
وبالإضافة إلى إمكانية تحميلهم المسؤولية، بموجب مبدأ المشروع الإجرامي المشترك، عن الجرائم التي ارتكبها آخرون أثناء الهجمات، يشتبه في أن هؤلاء الأفراد نفذوا هجمات عشوائية ضد المدنيين، وهي جريمة حرب.	0
30 - شجع مجلس الأمن، في قراره 1963 (2010)، المديرية التنفيذية على العمل مع الدول الأعضاء على وضع استراتيجيات وطنية شاملة ومتكاملة لمكافحة الإرهاب.	1
ثالثا، في العديد من الحالات، اعترف مجلس الأمن بالانتهاكات الخطيرة لحقوق الإنسان والقانون الإنساني الدولي باعتبارها تهديدات محتملة للسلام والأمن.	0
ويجب بذل المزيد من الجهود من جانب حكومة هايتي والمنظمات الإنسانية الدولية في الأنشطة الوقائية، مثل توفير المرافق الصحية والمياه النظيفة.	0
ويجب أن يحدد التقرير أيضًا المساهمات التي يمكن للمجلس تقديمها نحو التنفيذ الفعال للقانون الإنساني الحالي. وينبغي أن يدرس التقرير ما إذا كانت هناك أي ثغرات كبيرة في القواعد القانونية القائمة، من خلال مراجعة التقارير الأخيرة في هذا الصدد.	1
إن التعاون والتنسيق في مجال مراقبة الحدود بين الدول المتجاورة له أهمية خاصة في توفير المراقبة والتغطية الفعالة على طول الحدود المفتوحة والمسامية الواسعة.	0
4 - يحث المديرية التنفيذية للجنة مكافحة الإرهاب على مواصلة تعزيز دورها في تيسير المساعدة التقنية لتنفيذ القرار 1373 (2001) الرامي إلى زيادة قدرات الدول الأعضاء في مجال مكافحة الإرهاب عن طريق تلبية احتياجاتها في مجال مكافحة الإرهاب؛	0
ومن الواضح أن القضية العامة المتعلقة بتوزيع الأسلحة قد أثارها الوزير راموس هورتا.	0
وعلاوة على ذلك، خلال زيارة الفريق إلى السودان، قُدمت معلومات رسمية عن مجموعات مرتبطة بتنظيم القاعدة تقوم بتهريب الأسلحة عبر إريتريا إلى عناصر تنظيم القاعدة في المملكة العربية السعودية.	1
"ويرحب مجلس الأمن بقرار الاتحاد الأفريقي إيفاد بعثة استطلاع لتمهيد الطريق لنشر مراقبين عسكريين في الصومال، ويهيب بالزعماء الصوماليين التعاون مع هذه المبادرة.	1
24 - قدم الرئيس، إلى جانب رئيسي اللجنتين المنشأتين عملا بالقرارين 1373 (2001) و 1540 (2004)، اللتين تتناولان أيضا قضايا مكافحة الإرهاب، إحاطتين مشتركتين لمجلس الأمن في عام 2009. وعُقدت الإحاطتان في 26 أيار/مايو (انظر S/PV.6128) و 13 تشرين الثاني/نوفمبر (انظر S/PV.6217).	1
وعلى الرغم من أن الإرهاب لم يُذكر على وجه التحديد باعتباره حدثًا ثابتًا، فإنه بالتأكيد يمثل مجالًا مثيرًا للقلق، حيث أن العديد من العوامل المذكورة أعلاه لديها القدرة على تأجيج الأعمال الإرهابية في المنطقة.	0
وبذلك تكون الحكومة في المرحلة النهائية من إصدار مبادئ توجيهية عسكرية لمنع الاستخدام العسكري للمدارس، كما أنها بصدد إعداد استراتيجية شاملة لقواتها المسلحة بشأن الأطفال والصراع المسلح.	0
ومن المتوقع أن توفر مناقشة هذه المسألة في الجمعية العامة زخما إضافيا هاما لإنشاء نظام عالمي فعال لمواجهة التهديدات والتحديات الجديدة، لصالح جميع أعضاء المجتمع الدولي.	1
ويجب على المجلس أن يدعو إلى الوقف الفوري لجميع العمليات العسكرية في غزة وانسحاب قوات الاحتلال الإسرائيلية من تلك المنطقة.	0
(هـ) الأفراد العاملون في جمهورية الكونغو الديمقراطية والذين يرتكبون انتهاكات خطيرة للقانون الدولي تنطوي على استهداف الأطفال أو النساء في حالات النزاع المسلح، بما في ذلك القتل والتشويه والعنف الجنسي والاختطاف والتشريد القسري؛	0
وتمكن خبراء الطب الشرعي التابعون للجنة من التحقق من أن بعض العسكريين دفنوا في الخنادق التي كانت موجودة حول المعسكر، وأن جميع المدنيين دفنوا في مقابر متعددة في مقبرة البلدة.	0
في جلسة مجلس الأمن 5659، المعقودة في 12 نيسان/أبريل 2007، فيما يتصل بنظر المجلس في البند المعنون "التهديدات التي يتعرض لها السلام والأمن الدوليان نتيجة للأعمال الإرهابية"، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:	0
وتدرك المفوضية أيضًا الحاجة إلى معالجة مدى توفر سبل الانتصاف للأشخاص الذين عانوا نتيجة للأحداث التي وقعت في شهري أبريل/نيسان ومايو/أيار.	1
وإذ نؤكد أن تعزيز الحوار وتوسيع نطاق التفاهم بين الحضارات، سعيا إلى منع الاستهداف العشوائي للأديان والثقافات المختلفة، ومعالجة الصراعات الإقليمية التي لم تحل بعد ومجموعة كاملة من القضايا العالمية، بما في ذلك قضايا التنمية، سوف يسهم في التعاون الدولي، الذي من خلاله في حد ذاته ضروري لمواصلة الحرب على أوسع نطاق ممكن ضد الإرهاب،	1
إن نقل الصلاحيات في مثل هذه المجالات الحساسة لا يمكن أن ينجح دون وجود سياسة صارمة للرقابة والتدخل والعقوبات.	0
وفي حين أنه من المتوقع أن تعزز التدابير الموضحة في هذا التقرير قدرة البعثة على مراقبة الامتثال للاتفاق، إلا أنه تظل مسؤولية الأطراف ضمان عدم ارتكاب الانتهاكات من قبل قواتهم العسكرية/الأمنية.	1
563) جمعت اللجنة معلومات موثوقة تتيح لها التعرف على ثمانية من كبار مسؤولي الحكومة المركزية والقادة العسكريين وستة مسؤولين حكوميين محليين أو أفراد من القوات المسلحة العاملة في دارفور يمكن الاشتباه في أنهم مسؤولون عن الفشل المتعمد في منع أو قمع الانتهاكات. ارتكاب الجرائم، أي المسؤولية العليا.	0
وإذ يساورها بالغ القلق إزاء العدد المتزايد من الضحايا، بما في ذلك الأطفال، بسبب الأعمال الإرهابية المرتكبة بدافع التعصب أو التطرف في مناطق مختلفة من العالم،	0
24 - ونظمت اللجنة، بمساعدة مديريتها التنفيذية، عددا من المناسبات الخاصة مع الدول الأعضاء والمنظمات الدولية والإقليمية بشأن القضايا ذات الاهتمام المشترك والراهن، بما في ذلك مكافحة الإرهاب من خلال استخدام تكنولوجيات الاتصالات والمعلومات الجديدة.	0
4 - وكما ورد في المحضر الحرفي المؤقت لجلسة مجلس الأمن 4688، المعقودة في 20 كانون الثاني/يناير 2003 (S/PV.4688)، أبدى أعضاء المجلس تعليقات ومقترحات ومقترحات في المجالات التالية: الصكوك الدولية؛ التعاون الدولي؛ دور المنظمات الدولية والإقليمية ودون الإقليمية؛ مساعدة؛ ولجنة مجلس الأمن المنشأة عملا بالقرار 1373 (2001) (المشار إليها فيما بعد بلجنة مكافحة الإرهاب).	1
وقد أثار هذا العنصر الأخير بعض القلق بين خبراء حقوق الإنسان، بما في ذلك المقرر الخاص السابق المعني بتعزيز وحماية حقوق الإنسان والحريات الأساسية في سياق مكافحة الإرهاب، على أساس أنه قد يكون من المبالغة في دعوة الدول إلى تجريم الدعوة غير المباشرة.	0
يكرر أهمية التنفيذ الكامل والمتسلسل وفي الوقت المناسب والمنسق لـ [برامج العدالة الوطنية] من قبل جميع المؤسسات [الوطنية] ذات الصلة والجهات الفاعلة الأخرى بهدف التعجيل بإنشاء نظام عدالة عادل وشفاف، والقضاء على الإفلات من العقاب والمساهمة في تأكيد سيادة القانون في جميع أنحاء البلاد؛	1
يُعاقب الجاني بالسجن لمدة تتراوح بين ثمانية وخمسة عشر عامًا مع مصادرة الممتلكات حسبما تراه المحكمة مناسبًا، أو بعقوبة استثنائية، إذا تسبب الفعل الموصوف في الفقرة 1 في ضرر جسدي خطير.	0
ومع ذلك، فإن لدى اللجنة معلومات كافية لإثبات أن أعمال العنف ضد حياة المعتقلين وشخصهم قد ارتكبت في الأحداث التي حققت فيها اللجنة.	0
وحتى الآن، تميل المعلومات الواردة إلى تأكيد وجهة النظر القائلة بأن تقديم أمثلة على تمويل الإرهاب قد يكون له عيوب أكثر من السماح للمصرفيين ذوي الخبرة بالاعتماد على معرفتهم وغريزتهم فيما يبدو غريباً.	0
2 - يهيب بجميع الدول أن تتعاون، في جملة أمور، من أجل تعزيز أمن حدودها الدولية، بما في ذلك عن طريق مكافحة وثائق السفر المزورة، والقيام قدر المستطاع بتعزيز إجراءات فحص الإرهابيين وإجراءات أمن الركاب بهدف منع المذنبين بارتكاب جرائم. السلوك المنصوص عليه في الفقرة 1 (أ) من دخول أراضيها؛	1
ويدعو المجلس مقاتلي جيش الرب للمقاومة المتبقين إلى ترك صفوف الجماعة والمشاركة في عملية نزع السلاح والتسريح والإعادة إلى الوطن وإعادة التوطين وإعادة الإدماج.	1
6 - يشير إلى الالتزامات المشار إليها في الفقرة 2 (هـ) من منطوق القرار 1373 (2001)، ويشير إليها بشكل خاص فيما يتعلق بالهجمات الإرهابية ضد موظفي الأمم المتحدة وحفظة السلام ومنشآتها؛	1
3 - زادت التوترات السياسية المحيطة بانتخابات عام 2012 خلال الفترة المشمولة بالتقرير. وفي 9 أيلول/سبتمبر 2011، تعرضت قافلة تقل العميد يوليوس مادا بيو (المتقاعد)، المرشح الرئاسي للحزب الشعبي لسيراليون، لهجوم من قبل أنصار حزب المؤتمر الشعبي العام في بو، بالمنطقة الجنوبية، مما أدى إلى إصابته.	0
وفي هذا السياق، طلب رئيس مجلس الوزراء السنيورة استمرار مساعدة ودعم الأمم المتحدة لإجراء مثل هذا الحوار الداخلي لحل قضية الميليشيات اللبنانية وغير اللبنانية في لبنان بما يتفق تماما مع اتفاق الطائف.	1
