en_ar_DEEP	MatConf
وبالإضافة إلى ذلك، فإن القيود الإريترية تؤثر بشكل كبير على أمن حفظة السلام التابعين للأمم المتحدة وعملياتهم، إلى حد أن استمرار احتلال المواقع الصغيرة في الأماكن المعزولة - التي تشكل 18 موقعا من أصل 40 - أصبح غير مستدام ولم يعد صالحا للعمليات قابل للحياة.	1
وبما أن فئات الجرائم الدولية قد وردت في مكان آخر من التقرير، فقد يكفي هنا التذكير بإيجاز بمختلف أشكال المشاركة في الجرائم الدولية التي تؤدي إلى المسؤولية الجنائية الفردية.	0
ولم يكن العمل في تلك البيئة مهمة سهلة، ولكن قوة الأمم المتحدة لمراقبة فض الاشتباك تطورت كمهمة وعدلت عملياتها لمواجهة التحديات التي تفرضها بيئة الصراع الداخلي والاشتباكات التي زادت حدتها وشدتها في الآونة الأخيرة.	1
تم تنفيذ الهجوم بشكل رئيسي من قبل الجيش. الشعب العربي هو من قام بالسرقة.	1
حركة غير منتظمة للأسلحة داخل القوات الأمنية	1
أصدر رئيس رومانيا القانون رقم 535/2004 بشأن الوقاية من الإرهاب ومكافحته بموجب المرسوم رقم 994/2004 المؤرخ 24 نوفمبر/تشرين الثاني 2004، ودخل حيز التنفيذ بعد ثلاثة أيام.	0
مقتل خمسة أشخاص وإصابة 10 أشخاص بجروح خطيرة.	1
'2` نزع سلاح جميع الجماعات والميليشيات المسلحة في شرق جمهورية الكونغو الديمقراطية، باستخدام جميع الوسائل اللازمة؛	0
استعراض القائمة والحفاظ عليها 25 - يسلم بأن الصراع الدائر في أفغانستان، والأهمية الملحة التي توليها حكومة أفغانستان والمجتمع الدولي للتوصل إلى حل سياسي سلمي للصراع، يتطلب إدخال تعديلات سريعة وفي الوقت المناسب على القائمة، بما في ذلك إضافة القائمة. وشطب الأفراد والكيانات، يحث اللجنة على اتخاذ قرار بشأن طلبات الشطب من القائمة في الوقت المناسب، ويطلب إلى اللجنة أن تستعرض كل قيد في القائمة على أساس منتظم، بما في ذلك، حسب الاقتضاء، عن طريق استعراض الأفراد الذين يعتبرون متصالحين والأفراد الذين تفتقر إدخالاتهم إلى معرفات، والأفراد الذين أُفيد عن وفاتهم، والكيانات التي أُبلغ عن أو تأكد أنها لم تعد موجودة، يوجه اللجنة إلى وضع مبادئ توجيهية لهذه المراجعات وفقًا لذلك، ويطلب من فريق الرصد أن يعمم على اللجنة كل ستة أشهر:	0
ورغم أن قوات الدفاع ذكرت أنها كانت تمتلك في عام 2006 1200 قطعة سلاح من طراز M16، فإن السجلات تكشف عن اختفاء 45 قطعة سلاح من طراز M16. وبالإضافة إلى ذلك، فُقدت ثلاث بنادق نصف آلية من طراز FN-FNC، وثلاث بنادق نصف آلية من طراز SKS، وسلاحين من طراز Uzi كانت في السابق في عهدة قوات الدفاع وسيطرتها.	0
وفي سياق إعادة صياغة القانون الجنائي الموضوعي، اقترحت الحكومة جعل الكيانات القانونية مسؤولة جنائيا عن عدد من الجرائم، بما في ذلك الجرائم الإرهابية والجرائم المرتبطة بالإرهاب، مثل غسل الأموال وتمويل الإرهاب.	0
وفي هذا الصدد، نطالب ببذل كل ما في وسعنا لضمان عقد هذه الاجتماعات كل شهرين، كما هو متفق عليه، وأن يشارك رؤساء أجهزة المخابرات والأمن شخصيا في هذه الاجتماعات قدر الإمكان. ونحث جميع أصحاب المصلحة المعنيين، بما في ذلك المركز الأفريقي للدراسات والبحوث المتعلقة بالإرهاب، ووحدة الاندماج والاتصال في منطقة الساحل، ولجنة أجهزة الاستخبارات والأمن الأفريقية، بالتعاون الوثيق مع مفوضية الاتحاد الأفريقي، على مواصلة وتكثيف جهودهم. وبذل الجهود لتبادل وجهات النظر والمساعدة المتبادلة، فضلا عن تنفيذ الجوانب البارزة من الاستنتاجات العملياتية لاجتماع رؤساء أجهزة الاستخبارات والأمن.	0
وفي وقت لاحق من نفس اليوم، أسفرت العمليات العسكرية التي جرت في القاعدة الجوية للقوات المسلحة لكوت ديفوار في مطار أبيدجان الدولي عن تدمير طائرتين أخريين من طراز Su-25 وطائرتي هليكوبتر من طراز Mi-24V وطائرة بدون طيار.	1
وحتى لو أُبلغت الشرطة بهذه الأحداث، بدا أن مرتكبي الجرائم يفلتون من العقاب، واستمرت الاعتداءات على النساء.	1
وقد أظهر الحادث الذي وقع في شمال ميتروفيتشا بوضوح أنه على الرغم من الولاية التي منحها مجلس الأمن فيما يتعلق بإعادة تشكيل بعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو، فإن بعثة الاتحاد الأوروبي تبتعد بشكل متزايد عن مبدأ الحياد بشأن المركز، وهو ما يقوض مكانة ذلك الوجود الدولي.	0
ولا يزال ما يقرب من نصف هؤلاء الأشخاص في عداد المفقودين، ويخشى أن يكون العديد منهم قد قُتلوا.	1
يهيب بجميع الأطراف المعنية ضمان أن تشمل جميع عمليات السلام واتفاقات السلام وخطط الإنعاش وإعادة الإعمار في مرحلة ما بعد الصراع تدابير محددة لحماية المدنيين بما في ذلك إعادة إرساء سيادة القانون.	0
o في 18 تشرين الثاني/نوفمبر 2014، أسقطت طائرات الهليكوبتر التابعة للنظام برميلين متفجرين على معر شمارين، مما أدى إلى مقتل 6 مدنيين، من بينهم 4 أطفال وامرأتان.	1
377- يحظر التعذيب والمعاملة القاسية بموجب المادة 3 المشتركة بين اتفاقيات جنيف.	0
58 - وفي ظل عدم وجود مرفق طبي للإحالة في باماكو، اتخذت البعثة المتكاملة إجراءات فورية لضمان إتاحة القدرات الطبية المؤقتة المناسبة لموظفي الأمم المتحدة مع إنشاء عيادة من المستوى الثاني تابعة للأمم المتحدة لتحل محل الخدمات التي كانت تقدمها في السابق عيادة باستور.	0
الفصل الثالث من القانون رقم. ويخصص القانون رقم 535 لسنة 2004 التدابير اللازمة لمنع تمويل الأعمال الإرهابية.	0
95 - وقد تطلب إنشاء الإخطارات الخاصة المشتركة بين الإنتربول ومجلس الأمن التابع للأمم المتحدة تعاونا وثيقا إلى حد غير عادي بين المنظمتين خلال العام الماضي، فضلا عن موافقة الجمعية العامة للإنتربول واللجنة المنشأة عملا بالقرار 1267 (1999).	0
ولوحظ تصاعد التوتر بين السكان المحليين ردا على تحصيل الضرائب غير المشروعة والابتزاز من جانب المسؤولين الأبخاز بحكم الأمر الواقع.	1
التعاون الدولي والإقليمي في منع يدعو جميع الدول الأعضاء، ولا سيما دول المنطقة، التي تعمل على المستوى الوطني أو من خلال المنظمات أو الترتيبات الإقليمية، من أجل ضمان التنفيذ الصارم لحظر الأسلحة المفروض بموجب [أحكام القرار ذي الصلة]، إلى تفتيش السفن والطائرات المتجهة إلى أو من [الدولة المتضررة] في أراضيها، بما في ذلك الموانئ البحرية والمطارات، وفي أعالي البحار، إذا كان لدى الدولة المعنية معلومات توفر أسباباً معقولة للاعتقاد بأن الشحنة تحتوي على أصناف محظور توريدها أو بيعها أو نقلها أو تصديرها بموجب [فقرة من القرار ذي الصلة] ...، بما في ذلك توفير أفراد المرتزقة المسلحين، ويدعو جميع الدول التي تحمل أعلام هذه السفن والطائرات إلى التعاون مع عمليات التفتيش هذه ويأذن للدول الأعضاء باستخدام جميع التدابير المتناسبة مع الظروف المحددة لإجراء عمليات التفتيش هذه	1
ويشكل إنشاء برامج موقعية منتظمة للتفتيش على الكيانات المبلغة، من أجل ضمان الامتثال لمتطلبات مكافحة غسل الأموال/مكافحة تمويل الإرهاب، تحديا كبيرا لبعض الدول، لأنها عملية كثيفة الاستخدام للموارد.	0
:: استعراض واقتراح كيفية تحديث نظام تقديم التقارير مع مراعاة توصية نتائج مؤتمر القمة العالمي لعام 2005 (انظر قرار الجمعية العامة A/60/1) بشأن توحيد متطلبات تقديم التقارير بالتعاون مع الهيئات الفرعية الأخرى التابعة لمجلس الأمن والمتعلقة بمكافحة الإرهاب مجلس.	0
يشرفني أن أحيل طيه تقرير لجنة مجلس الأمن المنشأة عملا بالقرار 2048 (2012) بشأن غينيا - بيساو، الذي يتضمن وصفا للأنشطة التي اضطلعت بها اللجنة في الفترة من 1 كانون الثاني/يناير إلى 31 كانون الأول/ديسمبر 2014.	0
إن تكوين الفريق - وهو فريق من الخبراء ذوي الخبرة الدبلوماسية والتحليلية والقضائية والمالية والقانونية في مجال مكافحة الإرهاب، يدعمه فريق رفيع المستوى من الموظفين الفنيين التابعين للأمم المتحدة - يفسح المجال لتحقيق ذلك.	0
رفضتهما UDI في لحظة ولادتها ميتًا.	0
يعد إنشاء الهيئات التنظيمية والتطوير المستمر للقطاع المصرفي من بين الإنجازات التي تساهم في التنمية الاقتصادية المحتملة.	0
ويوصي فريق الرصد بأن تقوم اللجنة بوضع معايير دنيا لتحديد الإدخالات وتيسير إجراءاتها لإزالة الإدخالات عندما تكون هناك أدلة كافية لاعتبارها ميتة أو منتهية.	0
وبموجب الفقرات 1 و 2 و 7 من القرار 1844 (2008)، فرض المجلس تدابير محددة الهدف (حظر السفر، وتجميد الأصول، وحظر محدد الأهداف على الأسلحة) على الأفراد والكيانات الذين حددتهم اللجنة.	1
ويشمل ذلك أولئك الذين تم تحديدهم على أنهم أساسيون في تلقين وتجنيد الانتحاريين.	1
13. وقرر المفوضون أنه من أجل التوصية "بالتدابير اللازمة لضمان المساءلة عن الجرائم والانتهاكات الخطيرة لحقوق الإنسان التي يُزعم ارتكابها خلال الفترة المذكورة أعلاه، مع الأخذ في الاعتبار أن حكومة تيمور الشرقية تعتبر أن نظام العدالة المحلي، الذي يشارك فيه قضاة ومدعون عامون ومحامون دفاع دوليون، ينبغي أن يكون السبيل الأساسي للمساءلة عن هذه الجرائم والانتهاكات المزعومة"، فإنهم سيحتاجون إلى إجراء تقييم أولي لنظام العدالة المحلي الحالي في تيمور الشرقية.	0
وفي العديد من الأماكن، تتولى اللاجئات والنازحات داخليًا أدوارًا جديدة، ويجب الاستفادة من فرص التغيير الإيجابي ودعمها بشكل أكثر فعالية.	0
66 - لدى خمس دول تشريعات تجرم تمويل الإرهاب، كما توجد الآن قوانين لمكافحة غسل الأموال في تسع دول.	0
وإذ نؤكد أن تعزيز الحوار وتوسيع نطاق التفاهم بين الحضارات، سعيا إلى منع الاستهداف العشوائي للأديان والثقافات المختلفة، ومعالجة الصراعات الإقليمية التي لم تحل بعد ومجموعة كاملة من القضايا العالمية، بما في ذلك قضايا التنمية، سوف يسهم في التعاون الدولي، الذي من خلاله في حد ذاته ضروري لمواصلة الحرب على أوسع نطاق ممكن ضد الإرهاب،	0
:: التعاون الوثيق مع الهيئات الفرعية الأخرى ذات الصلة التابعة للمجلس، ولا سيما لجنتي مجلس الأمن المنشأة عملا بالقرارين 1267 (1999) و 1540 (2004)، وخبرائها، بما في ذلك تبادل المعلومات والزيارات والمساعدة التقنية، حسب الاقتضاء .	0
642. إن الاستنتاج القائل بأنه لم يتم اتباع وتنفيذ أي سياسة إبادة جماعية في دارفور من قبل السلطات الحكومية، بشكل مباشر أو من خلال الميليشيات الخاضعة لسيطرتها، لا ينبغي أن يؤخذ على أنه يقلل بأي شكل من الأشكال من خطورة الجرائم المرتكبة في تلك المنطقة.	0
كما تم البدء في التواصل مع المجتمع المدني والشركات الخاصة، مع التركيز على المساعدة التقنية المحتملة ودورها في تنفيذ مكافحة الإرهاب.	0
(ج) تشجيع الدول على تعزيز أمن الحدود عند نقاط الدخول من أجل منع الحركة غير القانونية للأشخاص والبضائع والأسلحة/المتفجرات عبر الحدود، فضلا عن النقل المادي عبر الحدود للعملة وغيرها من الصكوك لحاملها. أمريكا الجنوبية	0
ومع ذلك، يمكن تحسين فعالية الضوابط بشكل كبير من خلال زيادة دوريات الشرطة والحصول على معدات الكشف، لا سيما في ضوء الحدود التي يسهل اختراقها في المنطقة دون الإقليمية.	1
على سبيل المثال، كان عدد كبير منها يتعلق بالوفاة، والتعذيب، والإصابات الشخصية، والألم والكروب النفسيين، وأخذ الرهائن، وفقدان الممتلكات العقارية والشخصية وإلحاق الضرر بها.	1
وإذ يؤكد أن الحوار بين اللجنة المنشأة عملا بالقرار 1267 (1999) ("اللجنة") والدول الأعضاء أمر حيوي للتنفيذ الكامل للتدابير،	0
8. في المقام الأول في شرق ليبيا، فإن الجهود المستمرة التي تبذلها أنصار الشريعة (غير مدرجة في القائمة وليست متطابقة مع جماعة أنصار الشريعة التابعة لتنظيم القاعدة في جزيرة العرب) تثير القلق. وهناك اتصالات تنفيذية بين أنصار الشريعة والجماعات التابعة لتنظيم القاعدة في منطقة الساحل والمغرب العربي والشرق الأوسط وجنوب آسيا. ويسافر العديد من المقاتلين الأجانب إلى معسكرات التدريب في ليبيا قبل التوجه إلى أماكن أخرى للقتال.	1
وتم الاتفاق على أن الصومال والمنطقة والمجتمع الدولي بحاجة إلى زيادة التركيز على بناء القدرات في مجال مكافحة القرصنة وتحقيق أقصى قدر من المكاسب التي حققتها القوات البحرية.	0
وأشار وكيل الأمين العام كذلك إلى أن الأمم المتحدة رصدت زيادة في الخطاب الاتهامي الذي وجهته حكومة جنوب السودان إلى بعثة الأمم المتحدة في جنوب السودان وانتهاكات حكومة جنوب السودان لاتفاق مركز القوات المبرم بين البعثة.	0
42 - يواصل تنظيم القاعدة والمنظمات المرتبطة به والممولون الأفراد المرتبطون بهم استغلال النظم المالية الرسمية وغير الرسمية من أجل نقل الأموال عبر الحدود وتمويل أنشطتهم.	1
وخلال النزاع، قُتل أكثر من مليوني شخص، وشُرد 4.5 مليون شخص قسراً من منازلهم.	1
33 - وفي 16 أيلول/سبتمبر، قامت البعثة المتكاملة واليونيسيف بفحص العناصر المسلحة التابعة للحركة العربية لأزواد (التنسيق) والحركة الوطنية لتحرير أزواد المتمركزة في بير (منطقة تمبكتو) وحددت هوية خمسة أطفال تتراوح أعمارهم بين 15 و 17 عاما واثنين من الشباب الذين ربما تم تجنيدهم عندما كانوا لا يزالون قاصرين.	1
ويجوز لأمين المظالم الدخول في حوار مع هذه الدول لتحديد:	0
٦٨ - وكان مقتل خبيرين تابعين لمكتب الأمم المتحدة المعني بالمخدرات والجريمة في 7 نيسان/أبريل 2014، أثناء قيامهما بمهمة لمكافحة القرصنة في الصومال، بمثابة تذكير مثير للقلق بالمخاطر التي يواجهها موظفو الأمم المتحدة في عملهم من أجل تحسين حياة الآخرين.	1
وقد أثار هذا العنصر الأخير بعض القلق بين خبراء حقوق الإنسان، بما في ذلك المقرر الخاص السابق المعني بتعزيز وحماية حقوق الإنسان والحريات الأساسية في سياق مكافحة الإرهاب، على أساس أنه قد يكون من المبالغة في دعوة الدول إلى تجريم الدعوة غير المباشرة.	0
وإذ يؤكد من جديد أيضا قراريه 1368 (2001) المؤرخ 12 أيلول/سبتمبر 2001 و 1373 (2001) المؤرخ 28 أيلول/سبتمبر 2001، وإذ يكرر تأكيد دعمه للجهود الدولية الرامية إلى استئصال شأفة الإرهاب، وفقا لميثاق الأمم المتحدة،	0
ولا توضح هذه الحالة حدوث عمليات قتل جماعي للمدنيين فحسب، بل توضح أيضًا الحبس غير المشروع المصحوب بعمليات إعدام بإجراءات موجزة واغتصاب وغير ذلك من الانتهاكات.	1
يؤكد أنه على استعداد تام لفرض تدابير محددة الهدف ضد الأشخاص ... الذين يعتزمون، من بين أمور أخرى،: ...	0
(أ) الامتناع عن تقديم أي شكل من أشكال الدعم، الإيجابي أو السلبي، للكيانات أو الأشخاص المشاركين في الأعمال الإرهابية، بما في ذلك عن طريق قمع تجنيد أعضاء الجماعات الإرهابية والقضاء على إمداد الإرهابيين بالأسلحة؛	0
63 - وتحقيقا لهذه الغاية، قد يرغب مجلس الأمن في النظر في اتخاذ إجراءات صارمة ضد أولئك الذين يحاولون عرقلة تنفيذ هذه الأحكام وغيرها من الأحكام الرئيسية في اتفاق بريتوريا، ولا سيما من خلال فرض الجزاءات المحددة الهدف المنصوص عليها في قرار مجلس الأمن 1572 ( 2004).	1
577 - وقد اتبعت المحاكم المختلطة المنشأة في نزاعات أخرى نموذجين متشابهين ولكن مختلفين.	0
وأحث حماس على الرد بشكل إيجابي على تلك التحذيرات.	0
ب) إذا ارتكب هذا الفعل أثناء حالة الطوارئ الوطنية أو حالة الحرب.	1
النظر في تطبيق تدابير هادفة ومتدرجة ضد أطراف النزاع المسلح التي تهدد السلام، أو تهاجم أو تعرقل عمل قوات حفظ السلام التابعة للأمم المتحدة أو غيرها من البعثات ذات الصلة، وترتكب انتهاكات للقانون الإنساني الدولي وقانون حقوق الإنسان المعمول بهما.	1
