en_ar_TRANSFORMERS	MatCoop
577- واتبعت المحاكم المختلطة المنشأة في نزاعات أخرى نموذجين متشابهين ولكن منفصلين.	1
وفي الوقت نفسه، يجري تعبئة الموارد بدعم من عملية الأمم المتحدة في كوت ديفوار واليونيسيف وبرنامج الأغذية العالمي لإعادة تأهيل وإعادة إدماج 511 من الجنود الأطفال، بمن فيهم 204 فتيات، الذين أفرجت قيادة القوى الجديدة عنهم وسلمتهم إلى اليونيسيف.	1
ويدين المجلس جميع الانتهاكات الأخرى للقانون الدولي، بما في ذلك القانون الإنساني الدولي وقانون حقوق الإنسان وقانون اللاجئين، المرتكبة ضد الأطفال في حالات النزاع المسلح.	0
4 - وفي حين تضمن كل من اتفاق السلام الشامل واتفاق رصد إدارة الأسلحة والجيشين أحكاما لحل الميليشيات المرتبطة بالجيش الماوي، لم يقدم أي منهما خططا مفصلة في هذا الصدد.	1
وأبلغ الطرفان البعثة بأنهما مقتنعان بأن اتفاق واغادوغو قد أنهى النزاع المسلح وأن الأزمة السياسية المتبقية لا يمكن حلها إلا من خلال إجراء الانتخابات.	0
وفي هذا السياق، يذكّر الاتحاد الأوروبي إسرائيل بالتزامها بكفالة وصول المنظمات الإنسانية، بما فيها وكالة الأمم المتحدة لإغاثة وتشغيل اللاجئين الفلسطينيين في الشرق الأدنى (الأونروا)، بشكل كامل وآمن.	0
٥٢- وقد نُشرت المسيرة المزمع تنظيمها في ٥٢ آذار/مارس على نطاق واسع واعتبرها البعض تحدياً خطيراً لرئيس الجمهورية ومؤسسات الدولة الشرعية.	0
وذكر والد الأسرة أنهم صادفوا، أثناء محاولة الفرار من منزلهم، ستة رجال عرب اغتصبوا ابنته البالغة من العمر 25 عاما أمامه وأمام زوجته والأطفال الصغار.	0
ولهذا الغرض، مُنحت صلاحيات واسعة النطاق، بما في ذلك الوصول دون قيود إلى جميع سجلات الملكية في البوسنة والهرسك.	1
وتحقيقا لهذه الغاية، حددت الإدارة عدة معايير أساسية لهذه العملية، من بينها إنشاء لجان الجمعية الإلزامية الثلاث المعنية بالسياسات والمالية والمجتمعات المحلية والوساطة.	1
6 - يحث الدول وجميع الأطراف الأخرى في نزاع مسلح على بذل قصارى جهدها لمنع انتهاكات القانون الإنساني الدولي المرتكبة ضد المدنيين، بمن فيهم الصحفيون والإعلاميون والأفراد المرتبطون بهم؛	0
وقد وضعت دول كثيرة، بالتعاون مع شركاء ثنائيين ومتعددي الأطراف، شكلا من أشكال ترتيبات الإنذار المبكر للمساعدة في التنبؤ بالهجمات الإرهابية ومنعها.	1
154 - وعلى الرغم من أن اللجنة تلقت معلومات من أحد المصادر تفيد بأن أحد معاوني السيد الحريري الموثوق بهم قد عبث بأجهزة التشويش قبل الانفجار، لم تتمكن اللجنة من إثبات صحة هذه المعلومات.	1
وفي آذار/مارس 2004، أفادت التقارير بأن الجنجويد و 150 جنديا اختطفوا واغتصبوا 16 فتاة في كتم، شمال دارفور.	0
ويكرر القرار تأكيد أهمية الوفاء بتلك الالتزامات ويشدد على أنه لا ينبغي لأي من الطرفين أن يضطلع بأي نشاط يتعارض مع تلك الالتزامات الواردة في خريطة الطريق أو يخل بمفاوضات الوضع النهائي.	0
:: إبراز أهمية جدول الأعمال المتعلق بالمرأة والسلام والأمن في التصدي للتمييز وانتهاكات حقوق الإنسان والعقبات التي تواجهها النساء والفتيات اللاجئات والمشردات داخليا وعديمات الجنسية والنساء والفتيات في جميع مراحل دورة التشرد	0
11 - يظل من الأهداف الرئيسية للجنة مكافحة الإرهاب تيسير تقديم المساعدة التقنية الرامية إلى تعزيز قدرة الدول على مكافحة الإرهاب، التي تسعى جاهدة للوفاء بالتزاماتها بتنفيذ أحكام قرار مجلس الأمن 1373 (2001) ولكنها تفتقر إلى القدرة على القيام بذلك.	1
وينبغي أن يوضع في الاعتبار أنه في حين أن إتاحة حماية أفضل للمدنيين، فإن قدرات من قبيل تحسين الاستخبارات وقدرات الرد السريع وعناصر التمكين الحاسمة كثيرا ما تكون لها آثار كبيرة على الموارد والدعم الميداني أو قد تتطلب مجموعة أوسع من البلدان المساهمة بقوات وبأفراد شرطة.	1
27 - وذكر الممثل الخاص للأمين العام ورئيس بعثة الأمم المتحدة في جنوب السودان أنه قبل اندلاع النزاع في كانون الأول/ديسمبر 2013، كان قد أُحرز قدر كبير من التقدم في مسائل حماية الطفل، مع إحراز نجاح كبير في خطة عمل جنوب السودان.	1
ويتضح من نمط الضرر أنه كان انفجاراً واحداً لشحنة من المتفجرات العالية.	1
وتقتضي اتفاقية حقوق الطفل كذلك من الدول الأطراف أن تتعهد بحماية الطفل من جميع أشكال الاستغلال الجنسي والاعتداء الجنسي.	1
وعلى الرغم من توقف القتال، لا تزال التوترات مرتفعة ولا يمكن استبعاد وقوع مزيد من الاشتباكات.	0
51 - واستحدثت ثلاث دول أطرا قانونية فعالة لكفالة تبادل المساعدة القانونية وتسليم المجرمين، فضلا عن آليات ملائمة، لتبادل المعلومات مع النظراء الدوليين على وجه السرعة وبصورة فعالة.	1
11 - وتم التدريب المنتظم على أساس الخطة السنوية، حيث تم تدريب الإسعافات الأولية في 11 آب/أغسطس على يد رجال إطفاء فرنسيين تابعين للواء شمال شرق متعدد الجنسيات في ميتروفيتشا، وفي 30 آب/أغسطس، عقد اللواء الشرقي المتعدد الجنسيات حلقة دراسية لقادة مناطق الإلتقاط في ترادوك، وكان الغرض من ذلك تقديم برنامج تطوير الموظفين بالتفصيل لضمان فهم القادة لمسؤولياتهم وضمان دعم البرنامج، ولا تزال الحالة العامة في كوسوفو هادئة نسبيا مع التوترات الكامنة التي ستستمر في المستقبل المنظور.	1
18 - وخلال الفترة المشمولة بالتقرير، كان للهجمات التي شنتها جماعات متطرفة في شمال مالي وتصاعد العنف في شمال شرق نيجيريا أثر سلبي على الأمن والاستقرار في المنطقة، وكان من دواعي القلق بوجه خاص أثر العنف المتصل بجماعة بوكو حرام في الجزء الجنوبي من النيجر وفي أقصى شمال الكاميرون.	0
تعميم مراعاة المنظور الجنساني في الاستجابات المنسقة لمنع نشوب النزاعات المسلحة وحالات الطوارئ الإنسانية والتصدي لها.	1
وأشار بعض أعضاء المجلس إلى أهمية التنسيق - بين لجان الجزاءات التابعة للمجلس وأفرقة الخبراء والدول الأعضاء، وكذلك بين كيانات الأمم المتحدة والبعثات الميدانية وقادة القوات - من أجل تحقيق التنفيذ الفعال للجزاءات التي يفرضها المجلس.	0
وفي كثير من الحالات استغرقت الهجمات عدة ساعات.	0
36 - خلال الفترة المشمولة بالتقرير، واصلت البعثة جهودها الرامية إلى تعميم الوعي بفيروس نقص المناعة البشرية/الإيدز.	1
(ن) رصد تنفيذ التدابير المفروضة بموجب الفقرة 1 من القرار 1807 (2008)، بالتعاون، حسب الاقتضاء، مع الحكومات المعنية ومع فريق الخبراء المنشأ بموجب القرار 1533 (2004)، بما في ذلك القيام، حسب الاقتضاء ودون إخطار، بتفتيش شحنات الطائرات وأي مركبة نقل تستخدم الموانئ والمطارات والمطارات والقواعد العسكرية والمعابر الحدودية في كيفو الشمالية وكيفو الجنوبية وفي إيتوري؛	1
35 - ويجب على قوات التحرير الوطنية، التي تشكل تهديدا لأمن بوروندي والمنطقة ككل، أن تنضم إلى معسكر السلام دون تأخير.	0
وتدخل شيوخ العشائر والسلطات الكينية في منتصف آب/أغسطس للمساعدة في حل النزاع.	1
ودون إنشاء أي التزام دولي جديد، يكرر هذا الصك غير الملزم التزام الدول بضمان احترام وتنفيذ القانون الإنساني الدولي وقانون حقوق الإنسان الدولي من خلال التشريعات الوطنية، ويركز على دور الدول في إتاحة سبل انتصاف كافية وفعالة وسريعة ومناسبة، بما في ذلك الجبر، للضحايا.	1
6 - ويعزى انخفاض تنظيم القاعدة جزئيا إلى الحملة الدولية التي لا تكل لتقييد نفوذه، ويعزى ذلك جزئيا إلى صنعه.	1
وإذ يقرر أن الحالة في المنطقة لا تزال تشكل تهديدا للسلام والأمن الدوليين،	0
148- إن تنفيذ تدابير مراقبة الحدود أمر أساسي للتطبيق العملي لاستراتيجيات الدول لمكافحة الإرهاب.	1
وأبلغ الأمين العام المساعد المجلس بأن الجماعات المسلحة تواصل إرهاب السكان في المناطق الخاضعة لسيطرتها، وارتكاب أعمال القتل والاختطاف والتعذيب وسوء المعاملة وغير ذلك من الانتهاكات الخطيرة لحقوق الإنسان، بما في ذلك تدمير المساكن والاستيلاء على الممتلكات، وأن هناك ادعاءات مستمرة بوقوع انتهاكات لحقوق الإنسان ترتكبها بعض كتائب المتطوعين الخاضعة لسيطرة الحكومة.	0
ورأت بعثة تقصي الحقائق أنه ينبغي إجراء تحقيق دولي مستقل لإثبات الحقيقة، نظراً إلى التشكيك في مصداقية السلطات اللبنانية التي تجري التحقيق.	1
دعوة أطراف النزاع المسلح إلى اتخاذ التدابير المناسبة لاحترام وضمان احترام القانون الإنساني الدولي والقانون الدولي لحقوق الإنسان، بما في ذلك عن طريق ما يلي:	0
وقد زاد الضغط السياسي على بعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو زيادة كبيرة، مع محاولات لتحدي دورها بموجب القرار 1244 (1999) والإطار الدستوري.	0
58 - ولتحقيق عودة مستدامة ومجتمعات الأقليات القابلة للبقاء، سيلزم إجراء عملية لا مركزية، من شأنها أن تحسن قدرة الطوائف غير الألبانية في كوسوفو على حماية هويتها وسبل عيشها، وبناء ثقتها في المستقبل، وتشجيعها على القيام بدور أكثر نشاطا في مؤسسات الحكم في كوسوفو.	1
ومن بين القتلى البالغ عددهم 57 مدنيا، كان 5 أطفال (قتل اثنان منهم تحت التعذيب) و 51 من المقاتلين المتمردين.	0
(و) المشاركة بنشاط في جميع الأنشطة ذات الصلة المضطلع بها في إطار استراتيجية الأمم المتحدة العالمية لمكافحة الإرهاب ودعمها، بما في ذلك في إطار فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب المنشأة لكفالة التنسيق والاتساق عموما في الجهود التي تبذلها منظومة الأمم المتحدة لمكافحة الإرهاب؛	1
وقد تم تزويد جمهورية تنزانيا المتحدة وسيشيل وكينيا وموزامبيق، أو يجري حاليا، بنظم المراقبة البحرية الساحلية ونظم الاتصالات، لتقديم صورة مشتركة عن المجال البحري.	1
والميزة التي يحققها الفريق هي القدرة على العمل بالتعاون مع الحكومات في جميع أنحاء العالم، فضلا عن الاتصال بالأخصائيين الخارجيين، من أجل إجراء تقييم متكامل للتهديد الذي يشكله تنظيم القاعدة والمرتبطون به، ووضع نظام للجزاءات موجه وفعال وعادل.	1
ووفقا لبعض التقديرات، تم تدمير أكثر من 700 قرية في ولايات دارفور الثلاث تدميرا كليا أو جزئيا، كما تلقت اللجنة معلومات تفيد بأن الشرطة أجرت تقييما للتدمير وسجلت عدد القرى المدمرة بأكثر من 000 2 قرية.	0
وقد اجتمعنا في الجزائر العاصمة لحث الجزائر على مواصلة بذل الجهود من أجل مواءمة مواقف الحركات المسلحة في شمال مالي على نحو أوثق لتهيئة جميع الظروف اللازمة لنجاح المفاوضات المقبلة مع حكومة مالي؛	1
والتزم الموقعون أيضا بتنظيم حملة انتخابية مفتوحة ونزيهة وبإنشاء لجنة برلمانية معنية بالفساد في الدورة المقبلة للبرلمان.	0
452- وبموجب المادة 31 من قانون الأمن القومي، يجوز لضابط الأمن، بموجب أمر صادر عن المدير العام، أن يقوم بإلقاء القبض على شخص أو تفتيشه أو احتجازه أو التحقيق معه، ويكون أمامه ثلاثة أيام لتزويده بأسباب القبض عليه واحتجازه.	0
”ويعرب مجلس الأمن عن بالغ قلقه إزاء تدهور الحالة الأمنية في جمهورية أفريقيا الوسطى، ولا سيما في أعقاب الهجمات التي شُنت على مدن بيراو وأواندا - دجالي وسام ووندجا.	0
وعلاوة على ذلك، من المعروف أن مسرح الجريمة قد تعرض للتشويش في عدة مناسبات.	0
وتوفر وحدات الشرطة المشكلة قدرة على السيطرة على الحشود في حالة حدوث مظاهرات غير قانونية أو غير منظمة، وتحمي موظفي الأمم المتحدة ومنشآتها وممتلكاتها كل في مجال مسؤوليته.	1
99 - وتشمل الجماعات الإرهابية الرئيسية في المنطقة الجماعة الإسلامية، التي تنشط بشكل خاص في إندونيسيا وماليزيا وسنغافورة؛ ومجموعة أبو سياف؛ والجماعات المتمردة في الفلبين؛ والمتمردين الانفصاليين في جنوب تايلند.	0
20 - خلص فريق الرصد خلال فترة الولاية الحالية إلى أن تدفقات الأسلحة من اليمن إلى الصومال لا تأتي من الجماعات الإجرامية (إلى سوق بكارا للأسلحة لتشتريها المعارضة) فحسب، بل أيضا من حكومة اليمن مباشرة إلى الحكومة الاتحادية الانتقالية.	1
وهذا أمر هام لأن المجلس، بأعماله، ينشئ التزامات بموجب القانون الدولي وبالتالي ينبغي أن يكون قادرا على إنفاذها.	1
بيد أن التقدم المحرز في مجالات أخرى لم يرق إلى مستوى التوقعات، ولا تزال هناك تحديات كثيرة.	0
10 - يقرر ألا ينطبق حظر السفر المفروض بموجب الفقرة 1 (ب) على الأفراد المحددين عملا بالفقرة 9 أعلاه، حيث تقرر اللجنة، على أساس كل حالة على حدة فقط، أن هذا الدخول أو المرور العابر له ما يبرره، ويقرر كذلك ألا يمنح أي إعفاء من هذا القبيل توافق عليه اللجنة إلا للفترة المطلوبة لأي سفر إلى الموقع المحدد أو المواقع المحددة، ويوعز إلى اللجنة بأن تبت في جميع طلبات الاستثناء هذه، وكذلك في طلبات تعديل أو تجديد الإعفاءات الممنوحة سابقا، أو بناء على طلب من أي دولة عضو لإلغاء الإعفاءات الممنوحة سابقا، في غضون عشرة أيام من استلامها؛ ويؤكد أن الأفراد المدرجين في القائمة يظلون، على الرغم من أي استثناء من حظر السفر، خاضعين للتدابير الأخرى المبينة في الفقرة 1 من هذا القرار؛	1
وكما يتضح من الحالة في منطقة بيني، فإن الجهود الرامية إلى تحييد الجماعات المسلحة المشتتة والتي تحظى بدعم الشبكات الإجرامية المحلية وعناصر القوات المسلحة لجمهورية الكونغو الديمقراطية تستغرق بعض الوقت لترجمتها إلى نتائج ملموسة.	1
وينطبق ذلك بصفة خاصة على الأشخاص الذين وقعوا على أسلحة القوات المسلحة التيمورية وأعادوها فيما بعد.	1
71 - ورغم أن بدء نفاذ معاهدة تجارة الأسلحة قد يستغرق بعض الوقت، فإنها قد تكون أداة مفيدة للمضي قدما في تنفيذ نظام جزاءات لجنة 1267.	0
28 - وبالنظر إلى الحالة السائدة، أعتقد أن البعثة لا تزال تؤدي دورا هاما في مجال تحقيق الاستقرار ورصد وقف إطلاق النار على أرض الواقع، وأود أن أوصي بتمديد ولايتها لفترة ستة أشهر أخرى حتى 30 نيسان/أبريل 2006.	0
وبالإضافة إلى توجيه عمل آليات الإبلاغ عن حقوق الإنسان والعمل كمحفوظات آمنة للمعلومات التي يقدمها أصحاب المصلحة المعنيون، فإن عمل هذا الهيكل من شأنه أن ييسر جهود الأمم المتحدة الرامية إلى مقاضاة المسؤولين عن ارتكاب الجرائم ضد الإنسانية أو مساءلتهم على نحو آخر؛	1
27 - ويشكل تقديم بدائل مستدامة للمقاتلين السابقين جزءا أساسيا من عملية تحييد الجماعات المسلحة.	1
- يسلم بأهمية كفالة تنفيذ مهام بناء السلام التي صدر بها تكليف في أقرب وقت ممكن في عملية لحفظ السلام بالتنسيق مع فريق الأمم المتحدة القطري ومع الاحترام الواجب للشواغل الأمنية وأولويات الحكومة المضيفة، مع مراعاة البرامج والسياسات التي سبق تنفيذها قبل بدء العملية.	1
وإذ تسلم بأن نظر مجلس الأمن في مسألة حماية الصحفيين في الصراعات المسلحة يستند إلى إلحاح وأهمية هذه المسألة، وإذ تسلم بالدور القيم الذي يمكن أن يؤديه الأمين العام في توفير مزيد من المعلومات عن هذه المسألة،	0
وإذا كانت المصارف أكثر ترجيحا من أن تقرر ما ينبغي النظر فيه كحالة محتملة لتمويل الإرهاب، فمن المرجح أن تفوتها أساليب جديدة بقدر ما تفوتها اكتشاف استخدام أساليب قديمة.	1
11 - وخلال الفترة المشمولة بالتقرير، اضطلعت القوات المسلحة للكيانين بأنشطة تدريبية عادية، امتثالا للأحكام العسكرية لاتفاق دايتون للسلام.	1
ويعتزم المجلس تعزيز جهوده الرامية إلى مكافحة الإفلات من العقاب ودعم المساءلة عن الجرائم الخطيرة المرتكبة ضد النساء والفتيات بالوسائل المناسبة، ويوجه الانتباه إلى المجموعة الكاملة من آليات العدالة والمصالحة التي يتعين النظر فيها، بما في ذلك المحاكم الجنائية الوطنية والدولية والمختلطة، ولجان تقصي الحقائق والمصالحة، فضلا عن البرامج الوطنية لتعويض الضحايا، والإصلاحات المؤسسية والآليات التقليدية لتسوية المنازعات.	1
(ب) مواصلة العمل بالتنسيق والتعاون الوثيقين مع الإنتربول والدول والمنظمات المانحة في تيسير المساعدة التقنية الرامية إلى بناء قدرات أجهزة إنفاذ القانون وفي إيصال المعدات والمرافق إلى الدول المحتاجة؛	1
9 - يطلب إلى لجنة مكافحة الإرهاب أن تقوم، بالإضافة إلى التقرير المطلوب في الفقرة 8، بتقديم تقرير شفوي، عن طريق رئيسها، كل 180 يوما على الأقل، إلى المجلس عن مجمل عمل لجنة مكافحة الإرهاب والمديرية التنفيذية لمكافحة الإرهاب، وبالاقتران، حسب الاقتضاء، مع التقارير المقدمة من رئيسي اللجنة المنشأة عملا بالقرار 1267 (1999) واللجنة المنشأة عملا بالقرار 1540 (2004)، ويشجع جميع الدول الأعضاء المهتمة على تقديم إحاطات غير رسمية؛	0
وفي وقت لاحق، قامت وحدة جمع المعلومات عن جميع المصادر بإعداد البيانات المجمعة وتحليلها، وبدأت الوحدة أيضا في تدريب وحدات المشاة على التوعية بالمعلومات وإجراءات تبادل المعلومات لتعزيز تدفق المعلومات داخل قوة البعثة المتكاملة.	1
118 - يشكل الإرهاب عاملا رئيسيا في تزايد عدد حالات الصراع، ولا سيما في منطقة الساحل والمغرب العربي.	0
”ويشدد مجلس الأمن على أهمية مساعدة الدول الأعضاء على تعزيز مشاركة المرأة مشاركة كاملة وعلى قدم المساواة مع الرجل في العمليات الانتخابية والإصلاح الدستوري بعد انتهاء الصراع.	0
وأهيب بالجهات المانحة أن تساهم بسخاء في أنشطة إزالة الألغام التي تضطلع بها منظمة العمل من أجل إزالة الألغام الأرضية، وهي أنشطة أساسية لتوفير بيئة آمنة للسكان المحليين ولأفراد الأمم المتحدة العسكريين والمدنيين في الصحراء الغربية.	0
وسيتناول أيضا التحقيق في الأعمال الإرهابية وملاحقة مرتكبيها، بهدف تقديم الإرهابيين ومن يدعمونهم إلى العدالة.	0
وإذ يطالب جميع أطراف النزاع المسلح بوقف فوري وتام لجميع أعمال العنف الجنسي ضد المدنيين وفقا للقرارات 1325 (2000) و 1820 (2008) و 1888 (2009) و 1889 (2009)؛ وتجنيد الأطفال واستخدامهم وفقا للقرارين 1612 (2005) و 1882 (2009)؛ والهجمات العشوائية على المدنيين وفقا للقرار 1894 (2009)،	0
ومع ذلك، فقد أعلن الحزب الديمقراطي الاشتراكي التابع لنائب رئيس الوزراء أنه لن ينسحب من تحالف التحالف من أجل التغيير من أجل عدم تعريض استقرار الحكومة للخطر.	0
ولا تنفذ أي دولة تدابير كافية لحماية المنظمات التي لا تستهدف الربح من تمويل الإرهاب.	0
وقال إنه أجرى العديد من الاتصالات مع الحكومة المغربية التي طلبت، قبل أن تقبل استئناف الدبلوماسية المكوكية، عقد اجتماع لتوضيح شواغلها بشأن آخر تقرير للأمين العام (S/2014/258)، موضحاً أن المغرب يرى أن هذا من شأنه أن يسمح للعملية بالمضي قدماً بأفضل طريقة ممكنة.	0
(ب) تجريم قيام رعاياها عمدا بتوفير الأموال أو جمعها، بأي وسيلة، بصورة مباشرة أو غير مباشرة، أو في أراضيها بقصد استخدام تلك الأموال، أو مع العلم بأنها ستستخدم، للقيام بأعمال إرهابية؛	0
143 - ثانيا، يجب على الحكومة وزعماء المتمردين أن يؤكدوا على الجهود الرامية إلى منع التجاوزات، وحماية الأشخاص المعرضين للخطر، وتقديم المسؤولين عن التجاوزات إلى العدالة.	1
40 - وأدعو أيضا قيادة حزب الله إلى وقف جميع الجهود الرامية إلى الحصول على الأسلحة وبناء القدرات شبه العسكرية خارج نطاق سلطة الدولة.	0
ومن الواضح أن الوزير راموس - هورتا أثار المسألة العامة المتعلقة بتوزيع الأسلحة.	0
163 - وقُدم إلى اللجنة تقرير متسق وشامل عن نتائج التحقيق في مسرح الجريمة ونتائجه.	1
19 - وشهدت الفترة المشمولة بالتقرير عددا من التقارير عن أنشطة عسكرية إندونيسية مزعومة في مناطق أوكوسي الحدودية التي لم تحل بعد.	0
وفي 29 أيلول/سبتمبر، وقع هجوم آخر على بلدة الطويلة نفسها، عندما دخلت الشرطة الحكومية ووحدات القوات المسلحة السودانية البلدة، ثم بعد ذلك، مخيم دالي المجاور للمشردين داخليا، بإطلاق النار على المدنيين بشكل عشوائي ودون استفزاز.	0
11 - وترد معايير إدراج نظام الجزاءات المفروضة على حركة طالبان في الفقرتين 2 و 3 من القرار 2160 (2014)، وهي تتعلق بالارتباط بالطالبان في تشكيل تهديد للسلام والاستقرار والأمن في أفغانستان.	0
ورفض العميد تاور ماتان رواك طلب الرئيس غوسماو حضور المسيرة، ثم أرسل بدلا من ذلك رئيس أركان القوات المسلحة التيمورية، العقيد ليري عنان تيمور.	0
113 - ورغم هذه المبادرات، لا تزال الجهود الإقليمية الرامية إلى مكافحة الإرهاب تواجه تحديات كبيرة.	1
وفي مشاورات مغلقة، قدم المبعوث الخاص إحاطة إلى المجلس بشأن أولوياته ومشاوراته الأولية وأفكاره بشأن سبل المضي قدماً، وقال إن بلاغ جنيف المؤرخ 30 حزيران/يونيه 2014 لا يزال صالحاً، وإنه قد وضع البارامترات العريضة لحل تفاوضي في المستقبل.	0
غير أنه في حين أن التدابير قد تكون محدودة التطبيق في المنطقة الحدودية بين أفغانستان وباكستان أو في المناطق غير المتمتعة بالحكم في الصحراء الجنوبية، فإنها مع ذلك تعالج ثلاثة متطلبات أساسية لجماعة إرهابية هي: المال، والحركة، ووسائل الهجوم.	1
(ب) توفير التدريب للموظفين العموميين، وأفراد القوات المسلحة والجماعات المسلحة، والأفراد المرتبطين بالقوات المسلحة، وأفراد الشرطة المدنية وموظفي إنفاذ القانون، وأفراد المهن القضائية والقانونية؛ وإذكاء الوعي في أوساط المجتمع المدني والسكان المدنيين بشأن ما يتصل بالموضوع من القانون الإنساني الدولي والقانون الدولي لحقوق الإنسان والقانون الدولي للاجئين، وكذلك بشأن حماية النساء والأطفال في حالات النزاع واحتياجاتهم الخاصة وحقوق الإنسان الخاصة بهم، من أجل تحقيق الامتثال الكامل والفعال؛	1
واتخذ المجلس بالإجماع القرار 2185 (2014)، وهو أول قرار له مكرس لمسائل الشرطة، وتضمن عددا من التدابير العملية لزيادة فعالية عمل الأمم المتحدة في مجال أعمال الشرطة.	0
