en_ar_DEEPL	MatConf
"ويشدد مجلس الأمن على أن جميع المدنيين المتضررين من النزاعات المسلحة، بمن فيهم أولئك الذين يعانون من خسائر نتيجة أعمال مشروعة بموجب القانون الدولي، يستحقون المساعدة والاعتراف باحترام كرامتهم المتأصلة كبشر.	0
لم تشر دول المنطقة دون الإقليمية إلى الإجراءات أو الآليات المستخدمة لمنع وقمع حركة الإرهابيين عبر الحدود.	1
كفالة استمرار الحوار مع البلدان المساهمة بقوات عسكرية ووحدات شرطة بشأن زيادة مساهمة المرأة في الوحدات الوطنية، بما في ذلك من خلال تنظيم اجتماعات لاستعراض أفضل الممارسات لتعزيز التوازن بين الجنسين وتعميم مراعاة المنظور الجنساني في عمل الأفراد النظاميين في عمليات حفظ السلام	0
ولذلك فقد شعرنا بخيبة أمل لأن تقرير الأمين العام (S/2011/540) أوصى بسحب جزئي فقط للقوات التي زيدت قوتها.	0
:: :: هناك حاجة إلى متابعة أكثر اتساقا لنتائج وتوصيات آليات تقصي الحقائق لضمان فعاليتها ومصداقيتها وتلبية التوقعات التي يثيرها إنشاؤها، لا سيما في أوساط الضحايا.	0
13. تغيرت الأنماط العالمية لتوريد الأسلحة الصغيرة والأسلحة الخفيفة تغيرا عميقا على مدى العقود القليلة الماضية.	1
11. يشجع الجهود الرامية إلى كفالة تطوير الاستخدامات السلمية للطاقة النووية من جانب البلدان التي تسعى إلى الحفاظ على قدراتها في هذا المجال أو تطويرها في إطار يقلل من مخاطر الانتشار ويلتزم بأعلى المعايير الدولية للضمانات والأمن والسلامة;	0
3. يهيب بجميع الدول أن تواصل الجهود الدولية الرامية إلى تعزيز الحوار وتوسيع نطاق التفاهم بين الحضارات، سعيا إلى منع الاستهداف العشوائي للأديان والثقافات المختلفة، وأن تتخذ جميع التدابير اللازمة والمناسبة ووفقا لالتزاماتها بموجب القانون الدولي لمكافحة التحريض على الأعمال الإرهابية بدافع التطرف والتعصب ومنع تخريب المؤسسات التعليمية والثقافية والدينية من قبل الإرهابيين ومؤيديهم;	0
دار بين الكولونيل ريس والسيد مالك تبادل لفظي ساخن.	0
في الجلسة 5303 لمجلس الأمن، المعقودة في 10 تشرين الثاني/نوفمبر 2005، فيما يتصل بنظر المجلس في البند المعنون "الأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية"، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:	0
تدخلت القوات الحكومية في وقت متأخر من سير الأحداث بإطلاق النار من داخل معسكرها، لكن جهودها جاءت متأخرة جدًا ولم تكن كافية لإنقاذ الأرواح أو الممتلكات.	1
كما أشار المسؤولون إلى استمرار توافر الأسلحة الصغيرة والأسلحة الخفيفة التي خلفتها الصراعات السابقة في المنطقة.	1
وإذ يشدد على أن الحوار بين اللجنة المنشأة عملا بالقرار 1267 (1999) ("اللجنة") والدول الأعضاء أمر حيوي لتنفيذ التدابير تنفيذا كاملا،	0
67. ولا يزال يساورني القلق إزاء استمرار القيود المفروضة على إمكانية الحصول على الخدمات الأساسية، بما في ذلك الرعاية الصحية والمدارس، التي يواجهها المواطنون العاديون في جميع أنحاء شمال مالي.	0
20. وفي هذا الصدد، من المهم أن مجلس الأمن في قراره 1963 (2010) يشجع المديرية التنفيذية للجنة مكافحة الإرهاب على أن تناقش مع الدول الأعضاء، بموافقتها، إمكانية وضع استراتيجيات وطنية شاملة ومتكاملة لمكافحة الإرهاب تتضمن الاهتمام بالعوامل المؤدية إلى الأنشطة الإرهابية، وفقا لالتزاماتها عملا بالقانون الدولي. ومما له صلة بالموضوع أيضا تأكيد المجلس في القرار 1963 (2010) على الدور الذي يمكن أن تضطلع به المنظمات الإقليمية ودون الإقليمية في مكافحة الإرهاب، ولا سيما عن طريق تعزيز قدرات الدول الأعضاء على تنفيذ القرار 1373 (2001) تنفيذا كاملا وتيسير تقديم المساعدة التقنية.	0
وأشارت إحدى الدول إلى أنها وسّعت الأساس الذي يمكن على أساسه إدراج المنظمات الإرهابية في قانونها الجنائي ليشمل المنظمات التي تدعو إلى ارتكاب عمل إرهابي.	1
ومن ثم، كما في الفئة السابقة، فإن أي جريمة يرتكبها هؤلاء لا تنطوي على المسؤولية الجنائية لمرتكبها فحسب، بل أيضاً مسؤولية السلطات العليا في السودان إذا أمرت أو خططت لتلك الجرائم أو فشلت في منع أو قمع هذه الجرائم (مسؤولية الرؤساء).	1
وفي هذا الصدد، تلقيت رسالة مؤرخة 6 كانون الأول/ديسمبر 2007 من الممثل الدائم للمغرب لدى الأمم المتحدة (S/2007/714) ورسالة أخرى مؤرخة 12 كانون الأول/ديسمبر 2007 من وزير الشؤون الخارجية والتعاون في المغرب (S/2007/731، المرفق)، يدعي كل منهما وقوع انتهاكات لبنود الاتفاقات العسكرية المبرمة في عام 1991.	0
19. في نهاية الفترة المشمولة بالتقرير، كان هناك ثلاثة أفراد مدرجين في قائمة الجزاءات التي وضعتها لجنة مجلس الأمن المنشأة عملا بالقرار 2140 (2014)، حيث أدرجوا في 7 تشرين الثاني/نوفمبر.	1
122. تثبت الأدلة أن رجالا مسلحين تحت قيادة أبيليو مسكيتا هم الذين شنوا الهجوم على مقر إقامة العميد رواك في 24 أيار/مايو، على النحو المبين في الفقرتين 69 و 70 أعلاه.	1
140. وقد وجد الفريق، في بعض زياراته، ولا سيما إلى الدول الأقل نموا، أن الوكالات الوطنية المعنية بمكافحة الإرهاب تعاني من نقص شديد في التمويل، ولا سيما في مجال أمن الحدود، إلى درجة أن كبار المسؤولين نسبيا يفتقرون إلى الحواسيب وغيرها من التكنولوجيا ذات الصلة، بينما يفتقر آخرون إلى الموظفين اللازمين لأداء المهام الحساسة أو لا يوجد لديهم موظفون على الإطلاق.	0
وبدلاً من الشعار الشهير لكأس العالم 2014، والذي تظهر فيه ثلاث أيادٍ منتصرة تحمل الكرة الأرضية، لتشكل معاً الكأس المرموقة، يظهر كاريكاتير السلطة الفلسطينية "كأساً" لثلاثة أيادٍ تحمل ثلاثة أشخاص رافعين أيديهم مستسلمين.	0
وكما هو موضح في المادة 7 (2) (د) من النظام الأساسي للمحكمة الجنائية الدولية، والتي يمكن اعتبارها تدويناً للقانون الدولي العرفي في هذا الشأن، فإن الإبعاد أو النقل القسري للسكان يعني التشريد القسري للأشخاص المعنيين بالطرد أو غيره من الأعمال القسرية من المنطقة التي يتواجدون فيها بصورة مشروعة، دون أسباب يسمح بها القانون الدولي.	1
وفي حين تراجع التأثير العملياتي للقيادة الأساسية لتنظيم القاعدة مع مقتل أسامة بن لادن والعديد من القادة الرئيسيين الآخرين، فإن شبكات تنظيم القاعدة تواصل تطورها لتصبح ظاهرة أكثر تعقيدا، مع وجود مجموعة متنوعة دوليا من المؤيدين والمقاتلين النشطين.	1
وأعربت الممثلة الخاصة عن أسفها لأن حالة حقوق الإنسان لا تزال تتسم بالانتهاكات المستمرة، وحذرت من أن الوضع قد يزداد سوءاً مع اعتماد وتنفيذ مشروع قانون جديد للأمن.	0
42. وفيما يتعلق بالحجة المتعلقة بالقانون الدولي، يرى الفريق أن أحد أسباب إنشاء لجنة أو آلية مراجعة أخرى هو ببساطة استباق القانون في هذا المجال، وإرساءه بدلا من السماح للمحاكم الوطنية والإقليمية أو ممارسات الدول الأعضاء بالقيام بذلك.	0
ويتعين على الدول أيضا منع من يمولون أو يخططون أو يسهلون أو يرتكبون الأعمال الإرهابية من استخدام أراضيها لهذه الأغراض ضد دول أخرى أو ضد مواطنيها (الفقرة 2 (د)).	0
أولًا وقبل كل شيء، لا تزال المخاوف على الصعيد الأمني تحظى بأهمية قصوى.	0
وذكر أيضًا أن آلية التحقق ألغت عدة بعثات بسبب المقاومة التي أبدتها قوات جنوب السودان.	1
حث الهيئات الإقليمية و/أو دون الإقليمية ذات الصلة على وضع وتنفيذ سياسات وأنشطة ومناصرة لصالح المدنيين المتضررين من النزاعات المسلحة.	0
وفي هذا الصدد، أعرب مشارك آخر، مشيرا إلى ارتفاع تكاليف عمليات حفظ السلام، عن أسفه لافتقار المجلس إلى الخبرة العسكرية.	0
وشددت شهادات أخرى على عمليات الإعدام بإجراءات موجزة لأفراد قيل إنهم ارتكبوا سرقات في المناطق التي تسيطر عليها الحركة الوطنية لكوت ديفوار.	1
وفي الوقت نفسه، يرى وفد بلادي أن الممثلين المنتخبين للأقليات العرقية في الجمعية، ولا سيما الممثلين الصرب، سيحققون نتائج أفضل وفوائد أكبر لناخبيهم إذا ما تبنوا موقفا أكثر مشاركة، بدلا من الانسحاب من الهيئة التشريعية عندما يواجهون وضعا صعبا.	0
لدى الدول التي تمت زيارتها تدابير وسياسات تنفيذية لقمع تجنيد الإرهابيين.	0
232. ويصل العدد التقديري للسكان المتأثرين بالنزاع في دارفور إلى جانب اللاجئين في تشاد (1.65 مليون نازح داخليا، و 000 627 شخص متأثرين بالنزاع بطريقة أو بأخرى، و 051 203 لاجئ) إلى رقم مذهل يبلغ حوالي 2.5 مليون شخص متأثرين بطريقة أو بأخرى - غالبيتهم العظمى بالنزوح من ديارهم.	1
يطلب إلى الأمين العام أن يكفل (أ) مواصلة رصد حالة الأطفال والإبلاغ عنها، كجزء من التقارير المشار إليها في [الفقرة ذات الصلة] أعلاه، بما في ذلك التعاون الوثيق مع الجهات الفاعلة في مجال حماية الطفل و (ب) مواصلة الحوار مع أطراف النزاع من أجل وضع وتنفيذ خطط عمل محددة زمنيا لوضع حد لتجنيد الأطفال واستخدامهم كجنود وغير ذلك من انتهاكات القانون الإنساني الدولي وقانون حقوق الإنسان المرتكبة ضد الأطفال;	0
(أ) تنفيذ التشريعات الوطنية المعتمدة بشأن مكافحة الإرهاب، مع مراعاة المعايير الدولية لحقوق الإنسان؛	0
ويلزم الإعلان الدول المشاركة بدعم برامج الحد من العنف المسلح من منظور التنمية وحقوق الإنسان.	0
ثانياً، حتى في البحث عن السلام في خضم الصراع، يجب التمسك بالمعايير الأساسية لحقوق الإنسان والقانون الإنساني.	0
وأحرقت جميع المنازل في القرية. ودفنت جثث الضحايا في مقابر جماعية بالقرب من القرية.	1
ولم يتم الإبلاغ عن وقوع إصابات، لكن المروحية أصيبت بعدد من الثقوب الناجمة عن طلقات نارية. ومرة أخرى في 31 كانون الثاني/يناير 2005، تعرضت دورية تابعة لبعثة الاتحاد الأفريقي في السودان كانت تحقق في انتهاكات وقف إطلاق النار في منطقة شنقل طوباي لإطلاق النار بالقرب من الحفر التي يبدو أنها تؤكد مزاعم القصف.	1
وفي أماكن أخرى في المنطقة، على طول الخط الأزرق، هددت الانتهاكات بزعزعة الاستقرار الهش.	0
وكما أشار الفريق من قبل، فإن الإدخالات غير الملائمة لا تخدم أي غرض مفيد: فلا يمكن تطبيق العقوبات بشكل صحيح ضدهم، ويعاني أفراد غير مقصودين من الجمهور يحملون أسماء متشابهة من عواقب حقيقية، ويضيع القطاع الخاص والمسؤولون في الحدود وأماكن أخرى وقتاً وجهداً ثميناً في محاولة تحديد التطابقات التي لا يمكن تأكيدها أبداً، ويفقد نظام العقوبات ككل الدعم.	1
83. قاد الكولونيل ريس ضباط الشرطة الوطنية لتيمور - ليشتي الوطنية سيرا على الأقدام من مقرهم باتجاه تقاطع وزارة العدل. وكان يحمل علم الأمم المتحدة.	1
وكان من الممكن أن يسمح اتباع نهج أكثر تنسيقاً باستخدام أكبر للموارد الجماعية لمكتب الأمم المتحدة في التدخل. خامسا - تدابير المساءلة	0
يتم فرض التجويع وغيره من ظروف الاحتجاز اللاإنسانية على المشتبه بهم عمداً لزيادة الضغط عليهم للاعتراف وتجريم أشخاص آخرين.	1
في عامي 2009 و2010، تمت عدة عمليات مصادرة لكميات كبيرة من الأسلحة العسكرية في غرب أفريقيا (مالي ونيجيريا والسنغال).	1
ولاحظ فريق الرصد أنه خلال هذه الفترة، اشترت المعارضة عددًا من الأسلحة المضادة للطائرات والذخائر من شركة BAM.	1
والسبب في ذلك هو أن نظام جزاءات مجلس الأمن، الذي لا يزال الوسيلة الوحيدة للعمل العالمي الحقيقي ضد التهديد المزدوج لتنظيم القاعدة وحركة طالبان، لا يزال يعاني من نقطتي ضعف رئيسيتين هما: محدودية القائمة الموحدة وعدم مشاركة الدول الأعضاء.	1
(ج) تعزيز برامج الرقابة القضائية على أنشطة الشرطة وتعزيز الحوار المستمر مع الآليات الدولية والإقليمية ذات الصلة بهدف ضمان الامتثال للالتزامات الدولية في مجال حقوق الإنسان في سياق مكافحة الإرهاب.	0
وقد علقت هذه الأخيرة بأنه كلما زادت المعلومات الواردة في النشرات الخاصة، ولا سيما بصمات الأصابع والصور الفوتوغرافية وأرقام جوازات السفر في النسخ المقيدة التي لا تتاح إلا لوكالات إنفاذ القانون في البلدان الأعضاء فيها، كلما زادت فائدتها وقل احتمال وقوع حوادث مثل تلك المذكورة أعلاه. وعرض الإنتربول أيضاً تقديم إرشادات لأعضائه بشأن نطاق نظام العقوبات. وبالإضافة إلى ذلك، اقترحت المنظمة أن تكون هناك نقطة استفسار دائمة في الأمم المتحدة للرد على الأسئلة وضمان تقديم المعلومات الإضافية ذات الصلة عن الأفراد المدرجين في القائمة في الوقت المناسب عندما تتيحها الدول الأعضاء.	0
ويشير التقرير إلى أنه تم تجنيد أعداد كبيرة من الأطفال من قبل الحزب الشيوعي النيبالي الماوي قبل توقيع اتفاق وقف إطلاق النار ونقلهم إلى معسكرات التجميع.	1
o في 8 تشرين الثاني/نوفمبر 2014، استهدفت قوات النظام مدينة الشيخ مسكين، مما أسفر عن مقتل 5 أشخاص، من بينهم طفلان وامرأتان.	1
طلب العميد وقف إطلاق النار للسماح بإجلاء أولاده من المنزل.	1
▪ توجيه الهجمات ضد المباني والعتاد والوحدات الطبية ووسائل النقل والأفراد باستخدام الشعارات المميزة لاتفاقيات جنيف بما يتوافق مع القانون الدولي;	1
وترد العناصر الرئيسية لبيانه، وكذلك تبادل الآراء بين أعضاء الفريق العامل، في الموجز الوارد في الاستنتاجات ذات الصلة (S/AC.51/2013/3).	0
إننا نطرح قضية العنف لنعبر عن نفاد صبرنا فيما يتعلق بإيجاد حلول مرضية عاجلة للتحديات الهائلة التي تواجه وحدة المجتمع العراقي.	0
كما أنه على الرغم من أن الوضع الأمني العام ظل هادئا وسلميا منذ تولي تيمور - ليشتي رسميا المسؤولية الكاملة عن الأمن في 20 أيار/مايو، فإن التهريب والتجارة غير المشروعة وعبور الحدود ينبغي أن ينظر إليها على أنها مدعاة للقلق، وكذلك التوترات المتعلقة بالمظاهرات التي شهدتها ديلي في تموز/يوليه الماضي.	0
في الجلسة 5903 لمجلس الأمن، المعقودة في 2 حزيران/يونيه 2008، فيما يتصل بنظر المجلس في البند المعنون "الأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية"، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:	0
وعملت اللجنة لمدة عامين، حددت خلالها أكثر من 800 مكان احتجاز، وما يقدر بـ 50,000 حالة تعذيب و200,000 حالة وفاة، وما يقدر بـ 2 مليون نازح نتيجة التطهير العرقي، وأجرت تحقيقاً موسعاً في الاغتصاب الممنهج، بما في ذلك أكثر من 500 إفادة خطية من الضحايا الذين تعرفوا على مرتكبيها.	1
إنشاء وحدة للمساواة بين الجنسين والتنمية في المقر الرئيسي وشبكة لمراكز تنسيق الشؤون الجنسانية على المستويين القطري والإقليمي.	0
37. واصلت البعثة إعطاء أولوية عالية لسياسة عدم التسامح مطلقا مع الاستغلال والانتهاك الجنسيين، بما في ذلك من خلال تقديم إحاطات تمهيدية وتدريب منتظم لجميع موظفي الأمم المتحدة على منع الاستغلال والانتهاك الجنسيين.	0
ومع ذلك، يمكن تحسين فعالية الضوابط بشكل كبير من خلال زيادة دوريات الشرطة والحصول على معدات الكشف، لا سيما في ضوء حدود المنطقة دون الإقليمية التي يسهل اختراقها.	1
نحن نقدم التدريب الأساسي (على سبيل المثال، على استخدام الأسلحة، والانضباط، ...) والذي يمكن أن يستغرق أسبوعين أو نحو ذلك، اعتمادًا على الفرد.	1
15. يحيط علما بالتدابير التي اتخذتها بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية للتصدي لحالات الاستغلال والانتهاك الجنسيين وبسياسة عدم التسامح مطلقا، ويطلب إلى الأمين العام أن يواصل التحقيق الكامل في ادعاءات الاستغلال الجنسي والعنف الجنسي من جانب الأفراد المدنيين والعسكريين التابعين للبعثة، وأن يتخذ التدابير المناسبة المبينة في نشرة الأمين العام بشأن التدابير الخاصة للحماية من الاستغلال الجنسي والانتهاك الجنسي (ST/SGB/2003/13)؛	0
8. بعد مرور أكثر من ست سنوات على اتخاذ القرار 1624 (2005)، لا يزال خطر وتهديد التحريض على ارتكاب أعمال إرهابية خطيرا في معظم أنحاء العالم. غير أن هناك اختلافات في مستوى الخطر والتهديد، بما في ذلك بين دول المنطقة الواحدة أو المنطقة دون الإقليمية الواحدة.	1
Ø النظر في تطبيق تدابير محددة الهدف ومتدرجة ضد أطراف النزاع المسلح التي ترتكب انتهاكات جسيمة ضد الأطفال في حالات النزاع المسلح.	1
يبدو أن معظم الحكومات ملتزمة التزاماً قوياً بضمان احترام وكالات إنفاذ القانون لحقوق الإنسان، على الرغم من أنه في بعض الحالات أثيرت مخاوف جدية بشأن الانتهاكات التي ترتكبها قوات الأمن.	0
o في 28 تشرين الثاني/نوفمبر 2014، أطلقت طائرات النظام الحربية صاروخاً على المعبر المائي الذي يربط بين قريتي البوليل والصحبة في دير الزور، مما أسفر عن مقتل 5 أشخاص وإصابة 6 آخرين. سيارات الإسعاف	1
ومع ذلك، لا يزال تدفق المهاجرين واللاجئين عبر المنطقة من مناطق النزاعات في الشرق الأوسط وأفريقيا يشكل تحدياً لسلطات الهجرة.	1
وقد لاحظ الفريق أن تنظيم القاعدة وحركة الطالبان والمرتبطين بهما سيستخدمون أي متفجرات متاحة، مثل المتفجرات العسكرية في مناطق النزاع، أو المكونات اللازمة لصنع جهاز متفجر مرتجل، مثل نترات الأمونيوم، في أماكن أخرى (S/2007/132، الفقرة 90).	1
ومع ذلك، فقد أصدر فريق الخبراء تقريراً قوياً وذا مصداقية، وللمرة الأولى اعترفت هيئة دولية بحجم انتهاكات حقوق الإنسان التي ارتكبت في الأيام الأخيرة من النزاع الوحشي في سريلانكا، عندما قتل ما لا يقل عن 10,000 مدني.	1
36. ويجب أيضا التأكيد بوضوح على المسؤولية السياسية للذين خططوا للمسيرة، على الرغم من الحظر والمناخ المتوتر الذي خلقه رسم "المنطقة الحمراء" وتعبئة الجيش واستخدامه والبيانات الصادرة عن أعلى سلطة في الدولة.	1
26. وفي كانون الأول/ديسمبر، أدى ظهور جماعات متمردة جديدة في غرب البلد إلى مزيد من عمليات نزوح السكان نحو الحدود مع ليبريا وغينيا.	1
وإذا ما أردنا تجنب تصاعد جديد في أعمال العنف، يجب على الطرفين والمجتمع الدولي التصرف على الفور.	0
44. وعلاوة على ذلك، تشيد الهيئة بالتقدم المحرز في محادثات الجزائر وتدعو جميع الأطراف، ولا سيما قادة الجماعات المسلحة، إلى المشاركة شخصيا في العملية بهدف التوصل إلى اتفاق في أقرب وقت ممكن على أساس المسودة التي قدمها فريق الوساطة إلى الأطراف، والتي تشكل أرضية صلبة للتفاوض.	0
وينبغي أن يحدد التقرير أيضا المساهمات التي يمكن أن يقدمها المجلس من أجل التنفيذ الفعال للقانون الإنساني القائم. وينبغي أن يبحث التقرير ما إذا كانت هناك أي ثغرات كبيرة في القواعد القانونية القائمة، من خلال استعراض التقارير الأخيرة في هذا الصدد.	0
يجب أن تكون قوات الشرطة، ويجب أن تبدو كذلك، مدربة في بيئة محايدة سياسياً.	1
وبالإضافة إلى تجدد الأمل لدى شعب الجمهورية، فقد أتاحت هذه التغييرات لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو فرصة جديدة لتحسين مشاوراتها مع السلطات الاتحادية، والدخول في حوار بنّاء حول القضايا ذات الاهتمام المشترك.	0
:: ينبغي إنشاء آليات لتقصي الحقائق في وقت مبكر بما فيه الكفاية في أي أزمة لتمكينها من المساهمة في منع وقوع المزيد من الانتهاكات.	0
في جلسة مجلس الأمن 6492، المعقودة في 28 شباط/فبراير 2011، فيما يتصل بنظر المجلس في البند المعنون "الأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية"، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:	0
كما ترى اللجنة أن اعتقال الأشخاص واحتجازهم من قبل جهاز أمن الدولة والمخابرات العسكرية، بما في ذلك أثناء الهجمات والعمليات الاستخباراتية ضد القرى، إلى جانب كونه يشكل انتهاكات جسيمة للقانون الدولي لحقوق الإنسان، قد يرقى إلى جريمة الاختفاء القسري، وهي جريمة ضد الإنسانية، حيث أن هذه الأفعال كانت منهجية وواسعة النطاق.	1
13. يأذن للدول اﻷعضاء التي تتصرف بموجب الفقرة ١٠ أعﻻه، وفقا للمرفق ١ - ألف من اتفاق السﻻم، باتخاذ جميع التدابير الﻻزمة لضمان اﻻمتثال للقواعد واﻹجراءات التي وضعها قائد قوة تثبيت اﻻستقرار والتي تنظم قيادة ومراقبة المجال الجوي فوق البوسنة والهرسك فيما يتعلق بالحركة الجوية المدنية والعسكرية بجميع أشكالها;	0
159. وهكذا تطورت في المجتمع الدولي مجموعة من القواعد العرفية التي تنظم المنازعات المسلحة الداخلية في المجتمع الدولي وهذا ما تؤكده عناصر مختلفة.	0
التمويل "ويعرب مجلس الأمن عن بالغ قلقه من أن حقول النفط والبنية التحتية ذات الصلة التي يسيطر عليها تنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة وربما أفراد وجماعات ومؤسسات وكيانات أخرى مرتبطة بتنظيم القاعدة تدر جزءا كبيرا من دخل الجماعات التي تدعم جهود التجنيد التي تبذلها وتعزز قدرتها العملياتية على تنظيم وتنفيذ الهجمات الإرهابية.	1
وسيواصل رصد تطورات الوضع الأمني على طول الحدود بين جمهورية أفريقيا الوسطى والكاميرون وتشاد، وكذلك بين السودان وجمهورية الكونغو الديمقراطية، وذلك للحيلولة دون امتداد حالات النزاع الخطير أو الأزمات الإنسانية من بلد إلى آخر.	0
213. ولعبد العال أيضا صلات ملحوظة بمخزن كبير للأسلحة اكتشف في جنوب بيروت في تموز/يوليه 2005. وقد داهمت قوى الأمن الداخلي هذا المخزن للأسلحة في 26 تموز/يوليه 2005، وألقي القبض على خمسة أشخاص لهم صلات وثيقة بميليشيا المرابطون السابقة.	1
تشير معركة السيطرة على بيدوا إلى أن عناصر المعارضة نسقت جهودها للتغلب على قوات الحكومة الاتحادية الانتقالية.	1
وفي هذا السياق، نكرر تأكيدنا المتكرر على أن الخطر الأكبر الذي يتهدد التحقيق يكمن في أن بعض الأطراف في منطقتنا وخارجها تستغله من أجل تسييس استنتاجات لا علاقة لها بالتحقيق ولا تستند إلى أدلة ثابتة.	0
وغالباً ما يقع المدنيون في ظروف الحاجة الماسة حيث لم يتم إنشاء عملية لحفظ السلام. وقد تتطلب مثل هذه الحالات اهتماما عاجلا من المجلس.	1
رفض العميد تاور ماتان رواك طلب الرئيس غوسماو حضور المسيرة وأرسل بدلاً من ذلك رئيس أركان القوات المسلحة التيمورية العقيد ليري أنان تيمور.	0
33. واصلت البعثة توعية الموظفين بقواعد وأنظمة الأمم المتحدة ذات الصلة بمنع الاستغلال والانتهاك الجنسيين.	0
وقد أشارت التحقيقات التي أجرتها بعثة الأمم المتحدة لتحقيق الاستقرار في هايتي والشرطة الوطنية الهايتية في عملية الاختطاف والقتل اللاحقة إلى أن الجريمة كانت بدوافع سياسية، لكنها لم تستطع إثبات المسؤولية بشكل قاطع.	1
كما تم الإبلاغ عن حوادث احتجاز للسكان المدنيين، مصحوبة بعمليات إعدام تعسفية، فضلاً عن مقتل مدنيين نتيجة للهجمات الجوية العشوائية التي تشنها القوات الحكومية.	1
344. ووصفت إحدى الشاهدات رعب الحبس في المنطقة التي خصصها الخاطفون للنساء واﻷطفال في كايلك على النحو التالي:	1
ومع ذلك، بدأ العديد منها فقط في تطوير قدرات مخصصة لمكافحة الإرهاب.	0
قيل لي فيما بعد أن والدي وأخي الأصغر قد قُتلا. كما قُتل أربعة أشخاص آخرين.	1
تدهورت العلاقة بين الطرفين بحلول منتصف عام 1975. وفي 11 آب/أغسطس 1975، شنّ اتحاد القوى الديمقراطية من أجل التغيير هجوماً مسلحاً استباقياً على الجبهة الثورية لتيمور الشرقية المستقلة. وشن الهجوم المضاد في 20 آب/أغسطس 1975. ويُحتفل بهذا التاريخ الآن باعتباره يوم تأسيس القوات المسلحة للتحرير الوطني لتيمور الشرقية.	1
ويدرك الكثيرون الآن أن ما يدعيه تنظيم القاعدة بأنه واجب ديني أو "جهاد" ليس أكثر من عنف إجرامي، موجه في كثير من الأحيان ضد إخوانهم المسلمين. وقد أصبحوا يعتبرون افتراض مقاتلي تنظيم القاعدة الحق في تكفير المسلمين الآخرين (التكفير) ليس فقط على أنه غطرسة بل أيضا إهانة بالغة.	1
