en_es_TRANSFORMERS	VerCoop
En la 5764a sesión del Consejo de Seguridad, celebrada el 22 de octubre de 2007, en relación con el examen por el Consejo del tema titulado "Amenazas a la paz y la seguridad internacionales causadas por actos terroristas", el Presidente del Consejo de Seguridad formuló la siguiente declaración en nombre del Consejo:	1
Durante el período que abarca el informe, el Coordinador de Alto Nivel, Embajador Gennady Tarasov, centró sus actividades en la tarea de fomentar la confianza y la cooperación entre Kuwait y el Iraq con miras a fortalecer su participación práctica en la búsqueda de personas y bienes desaparecidos y alentarlos a lograr progresos visibles y significativos en la consecución de los objetivos del párrafo 14 de la resolución 1284 (1999) del Consejo de Seguridad.	0
Expresando su profunda solidaridad con las víctimas del terrorismo y sus familias, destacando la importancia de prestar asistencia a las víctimas del terrorismo y de proporcionarles a ellas y a sus familias apoyo para que hagan frente a su pérdida y dolor, reconoce el importante papel que desempeñan las redes de víctimas y supervivientes en la lucha contra el terrorismo, incluso manifestando valientemente su oposición a ideologías violentas y extremistas, y, a este respecto, acoge con beneplácito y alienta los esfuerzos y las actividades de los Estados Miembros y del sistema de las Naciones Unidas, incluido el Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo en esta esfera,	1
Si bien muchos Estados Miembros han dicho al Equipo que el régimen aporta una contribución positiva a sus esfuerzos nacionales para combatir a Al-Qaida y los talibanes, el examen puso a prueba su nivel de apoyo exigiendo una contribución considerable, especialmente de los Estados más afectados por la amenaza.	1
Además, en 1995, la Sala de Apelaciones del Tribunal Internacional para la ex Yugoslavia, en su fallo en la causa Tadić (Apelación interlocutoria), sostuvo que el principal cuerpo del derecho internacional humanitario se aplicaba también a los conflictos internos como cuestión de derecho consuetudinario, y que además las violaciones graves de esas normas constituían crímenes de guerra.	0
d) Declare y aplique una moratoria inmediata de la imposición y ejecución de la pena de muerte, seguida sin dilaciones indebidas de la abolición de la pena de muerte tanto en la ley como en la práctica;	0
No obstante, instamos a que se hagan mayores esfuerzos para dar seguimiento a la información obtenida de los Estados Miembros como parte de la lucha contra el terrorismo.	0
▪ Pedir a la misión que preste apoyo al Gobierno anfitrión para hacer frente explícitamente a la violencia sexual, en los procesos de desarme, desmovilización y reintegración, los procesos de reforma del sector de la seguridad y las iniciativas de reforma del sector de la justicia, y para elaborar y aplicar planes de acción concretos y sujetos a plazos para combatir la violencia sexual relacionada con los conflictos.	1
Para ser eficaz, es esencial que todos los bienes objeto de la inclusión en la lista de una persona o entidad se congelen tan pronto como se haga la inclusión en la lista.	0
El 7 de octubre, la Asesora Especial del Secretario General, Sigrid Kaag, informó al Consejo de Seguridad en consultas privadas sobre la aplicación de la resolución 2118 (2013) y centró su intervención en cuatro temas: el cierre de la Misión Conjunta de la Organización para la Prohibición de las Armas Químicas y las Naciones Unidas el 30 de septiembre; los progresos en la aplicación de los planes para la destrucción de las 12 instalaciones de producción de armas químicas restantes; la cuestión de las discrepancias en la declaración original formulada por la República Árabe Siria; y las denuncias relativas al uso de gas cloro en la República Árabe Siria.	1
El Consejo subraya la necesidad de que todas las acciones militares contra el Ejército de Resistencia del Señor se lleven a cabo de conformidad con el derecho internacional aplicable, incluido el derecho internacional humanitario, el derecho relativo a los derechos humanos y el derecho relativo a los refugiados, y de que se reduzca al mínimo el riesgo de daños a los civiles en esas zonas.	1
El Comité se esfuerza por asegurar que la lista consolidada sea dinámica y responda a la evolución de la amenaza que plantean Al-Qaida y los talibanes.	1
Ambas partes aún no habían retirado sus fuerzas de la zona, contraviniendo el acuerdo de 20 de junio de 2011.	0
Decide que [la misión] tendrá el siguiente mandato en [el país afectado], en coordinación con el equipo de las Naciones Unidas en el país:... seguridad y protección de los civiles: c) mantener el enlace con el Gobierno [del país afectado] y la Oficina del Alto Comisionado de las Naciones Unidas para los Refugiados (ACNUR) en apoyo de sus esfuerzos por reubicar los campamentos de refugiados que se encuentran muy cerca de la frontera, y proporcionar al ACNUR, a título de disponibilidad y reembolso de gastos, asistencia logística con ese fin;... e) apoyar las iniciativas de las autoridades nacionales y locales en [el país afectado] para resolver las tensiones locales y promover las iniciativas de reconciliación local, a fin de mejorar el entorno para el regreso de los desplazados internos.	0
Por último, exhorto al Consejo de Seguridad a que apoye a Nigeria durante este período crítico y a que preste todo el apoyo necesario para prevenir una mayor desestabilización y violencia, especialmente en los Estados del nordeste gravemente golpeados.	1
La República Popular Democrática de Corea rechaza categóricamente la resolución relativa a los derechos humanos contra la República Popular Democrática de Corea, fabricada sobre la base de conspiraciones, mentiras y desinformación y forzada por los Estados Unidos y otros países hostiles de manera prepotente y arbitraria.	0
El equipo de las Naciones Unidas en el país está entablando un diálogo para examinar el plan de acción, incluidos 168 proyectos, e institucionalizar aún más la planificación del desarrollo, incluidos los enfoques basados en la comunidad como mecanismo de reconciliación y coexistencia pacífica y programación de reducción de conflictos dirigida por el PNUD.	1
Su innovación era mover el objetivo de los países musulmanes hacia Occidente, en particular los Estados Unidos de América; y al caracterizar su terrorismo como una lucha entre el Islam y sus enemigos, pudo reunir a varios grupos diversos y a menudo competidores bajo una sola bandera.	0
Esperan con interés dar la bienvenida a Timor Oriental a las Naciones Unidas.	1
Exhorta a las partes en los conflictos armados a que asuman y cumplan compromisos concretos y con plazos determinados para combatir la violencia sexual, que deberían incluir, entre otras cosas, la emisión de órdenes claras por medio de cadenas de mando que prohíban la violencia sexual y la prohibición de la violencia sexual en los códigos de conducta, manuales militares sobre el terreno o equivalentes; y exhorta además a esas partes a que asuman y cumplan compromisos concretos sobre la investigación oportuna de los presuntos abusos a fin de que los autores rindan cuentas de sus actos;	1
Como expresión de la determinación de la comunidad internacional de restringir las actividades de Al-Qaida, el régimen establecido en virtud de la resolución 1267 (1999) ha desempeñado un papel destacado al centrarse en la necesidad de impedir que el dinero llegue a los grupos terroristas y restringir la circulación de sus miembros.	1
El Consejo instó al Sudán y a Sudán del Sur a que cumplieran plenamente los compromisos contraídos en virtud de los acuerdos de 29 de junio de 2011, relativos a la creación de una zona fronteriza desmilitarizada segura, y de 30 de julio de 2011, relativos al establecimiento de un mecanismo conjunto de verificación y vigilancia de fronteras, e instó a esos gobiernos a que cooperaran plenamente entre sí y prestaran pleno apoyo a la UNISFA para que pudiera cumplir su mandato.	1
g) El Jefe de las Fuerzas de Defensa no puede ser considerado penalmente responsable del disparo de agentes de la PNTL por soldados de las F-FDTL después de que se estableciera la cesación del fuego el 25 de mayo;	0
De hecho, se reconoce que el uso de mensajeros en efectivo es uno de los principales métodos utilizados para trasladar fondos ilícitos, blanquear dinero y financiar el terrorismo.	0
La estrategia también tiene por objeto ampliar el círculo de donantes mediante la inclusión de países en los que se han elaborado enfoques o sistemas de lucha contra el terrorismo especialmente eficaces.	0
61. La protección de los civiles en el Chad oriental consiste en algo más que garantizar la seguridad física de los refugiados, los desplazados y los trabajadores humanitarios y la prestación de apoyo logístico y estructuras rígidas para el DIS.	0
Además, según el Comité Internacional de la Cruz Roja (CICR), siguen sin resolverse 3.476 casos de personas desaparecidas de Kosovo, de las cuales aproximadamente 600 son de etnia serbia y romaní.	0
Acogiendo con beneplácito el establecimiento de la Oficina del Ombudsman de conformidad con la resolución 1904 (2009) y la función que ha desempeñado desde su creación, observando la importante función de la Ombudsman en el mejoramiento de la equidad y la transparencia, recordando el firme compromiso del Consejo de Seguridad de asegurar que la Oficina del Ombudsman pueda seguir desempeñando su función con eficacia, de conformidad con su mandato, y recordando también la Declaración del Presidente del Consejo de Seguridad (S/PRST/2011/5), de 28 de febrero de 2011,	1
Acogiendo con beneplácito el aumento de la representación de la mujer en el Parlamento, encomiando a las autoridades [nacionales] y subrayando la necesidad de aumentar su papel en la adopción de decisiones con respecto a la prevención y solución de conflictos,	1
El Consejo de Seguridad subraya que los refugios seguros proporcionados a los terroristas siguen siendo una preocupación importante y recuerda que todos los Estados Miembros deben cooperar plenamente en la lucha contra el terrorismo a fin de encontrar, negar refugio y llevar ante la justicia, sobre la base del principio de extraditar o juzgar, a toda persona que apoye, facilite, participe o intente participar en la financiación, planificación, preparación o comisión de actos terroristas o proporcione refugios seguros.	1
26. La Alianza de Civilizaciones de las Naciones Unidas elaboró programas en África para prevenir la radicalización, uno de los cuales se centra en las comunidades nigerianas y está dirigido a jóvenes hombres, mujeres y dirigentes comunitarios para facilitar el diálogo y la participación entre los miembros de diferentes grupos.	0
125. Según un testigo, se ordenó al personal de las Fuerzas de Seguridad Interna que mantuviera al Sr. Hariri bajo vigilancia a fines de enero y principios de febrero de 2005.	0
El Comité alienta a su Dirección Ejecutiva a que siga centrándose en la aplicación de la resolución 1624 (2005), en particular prestando la debida atención a las cuestiones pertinentes, como la función de las nuevas tecnologías de la información y las comunicaciones, la promoción del diálogo, incluso a nivel nacional, a fin de promover la tolerancia, la diversidad y la inclusión, la creación de asociaciones estratégicas entre los gobiernos y los agentes no gubernamentales, la determinación de las funciones de las víctimas del terrorismo y la prevención de la subversión de las instituciones por los terroristas y sus partidarios.	1
El Sudán no se dirige a las Naciones Unidas, sino que es un fiel Miembro de la Organización que cumple las disposiciones de la Carta de las Naciones Unidas y aprecia sus esfuerzos por lograr la seguridad y la estabilidad y promover el desarrollo en el Sudán. Además, el Sudán se esfuerza asiduamente por desarrollar esa relación de conformidad con la Carta y las resoluciones pertinentes de la Asamblea General y el Consejo de Seguridad.	1
1. Exhorta a los Estados a que renueven su compromiso de prevenir y combatir el genocidio y otros delitos graves con arreglo al derecho internacional, reafirma los párrafos 138 y 139 del Documento Final de la Cumbre Mundial 2005 (A/60/L.1) sobre la responsabilidad de proteger a las poblaciones del genocidio, los crímenes de guerra, la depuración étnica y los crímenes de lesa humanidad, y subraya la importancia de tener en cuenta la experiencia adquirida en el genocidio contra los tutsis de 1994 en Rwanda, durante el cual también murieron hutus y otros que se opusieron al genocidio;	1
Además, los ataques de Al-Shabaab y grupos afiliados en Uganda y Kenya han demostrado su alcance y capacidad de reclutamiento en las comunidades somalíes de esos países.	0
En 2014, en respuesta a las resoluciones 2083 (2012) y 2161 (2014), y para seguir promoviendo la aplicación de los regímenes de sanciones del Consejo de Seguridad por las autoridades nacionales, la División estandarizó el formato de todas las listas de sanciones del Consejo y estableció la Lista consolidada de sanciones del Consejo de Seguridad de las Naciones Unidas, que incluye los nombres incluidos en todas las listas de sanciones de los comités de sanciones del Consejo.	0
El Consejo de Seguridad recuerda sus resoluciones y las declaraciones de su Presidencia sobre la consolidación de la paz después de los conflictos, en particular S/PRST/2009/23, S/PRST/2010/20, S/PRST/2011/2 y S/PRST/2011/4, y reafirma la importancia crítica de la consolidación de la paz como base para la paz y el desarrollo sostenibles después de los conflictos.	1
Acogiendo con beneplácito los resultados de la Jirga Consultiva para la Paz, celebrada el 6 de junio de 2010, en la que 1.600 delegados afganos, que representaban a una amplia muestra de todos los grupos étnicos y religiosos afganos, funcionarios gubernamentales, académicos religiosos, dirigentes tribales, la sociedad civil y refugiados afganos residentes en el Irán y el Pakistán, examinaron el fin de la inseguridad y elaboraron un plan para lograr una paz duradera en el país,	1
Aunque la amenaza de las milicias ilegales en el oeste seguirá siendo baja, en comparación con la mayor parte del Afganistán, estas fuerzas siguen planteando el segundo mayor riesgo para la seguridad regional, detrás de las amenazas relacionadas con las drogas y las amenazas criminales.	0
Insto a los donantes a que examinen las opciones para apoyar las actividades de desarme, desmovilización y reintegración del Sudán en el período posterior al referéndum.	1
El Grupo también visitó el puesto de control policial de Niangoloko e inspeccionó el "registro de movimientos", pero no observó irregularidades; se habían confiscado algunas escopetas y pistolas artesanales.	1
Subraya la necesidad de una estrategia general [nacional] de reforma del sector de la seguridad centrada en la profesionalización de las instituciones del sector de la seguridad, incluidos los órganos de supervisión, que contribuya a asegurar la coherencia y la eficiencia y a evitar duplicaciones o lagunas, alienta al mismo tiempo al Gobierno de [el país afectado] a que establezca una nueva asociación estratégica con [la misión] en la esfera de la reforma del sector de la seguridad a fin de determinar las prioridades de cada componente del sector de la seguridad y los posibles nuevos enfoques para [la misión] de prestar apoyo a las autoridades [nacionales] en la esfera de la reforma del sector de la seguridad a fin de fomentar la capacidad de las instituciones militares, de policía, de justicia y otras instituciones de seguridad para consolidar la autoridad [nacional] del Estado, y pide al Secretario General que informe sobre esas prioridades y enfoques en un anexo de su informe en [la fecha del informe];	1
Ha capacitado a más de 20 organizaciones de derechos humanos en técnicas de vigilancia y se ha asociado con una organización no gubernamental nacional para facilitar la producción y difusión de material de sensibilización a más de 30.000 personas y organizaciones de la sociedad civil, con el apoyo financiero de la Oficina del Alto Comisionado de las Naciones Unidas para los Derechos Humanos y la Embajada del Canadá.	0
El tercer factor es la escasa presencia de la policía, y el cuarto es la injerencia de agentes extranjeros en la situación en Darfur.	0
Si bien seguiré dirigiéndome a los Estados que aún no han respondido a mi llamamiento para que aporten contribuciones a una fuerza multinacional y les pediría que sigan prestando asistencia para identificar una posible nación rectora, quisiera presentar al Consejo las propuestas adjuntas sobre opciones alternativas (véase el anexo).	1
Se convino en que Somalia, la región y la comunidad internacional debían prestar mayor atención al fomento de la capacidad de lucha contra la piratería y aprovechar al máximo los logros alcanzados por las fuerzas navales.	1
▪ Pedir a la misión que, en colaboración con las entidades pertinentes del equipo de las Naciones Unidas en el país, establezca y aplique un mecanismo de supervisión y presentación de informes a nivel de los países sobre las violaciones graves cometidas contra los niños, de conformidad con la resolución 1612 (2005).	1
El Comité examinará, sobre la base de la propuesta de la Dirección Ejecutiva, una estrategia de comunicación encaminada a promover la visibilidad de la función y las actividades del Comité y de la Dirección Ejecutiva en la lucha contra el terrorismo.	1
Si bien la Comisión está convencida, sobre la base de pruebas de testigos independientes, de que las F-FDTL iniciaron el intercambio de disparos, en el momento en que cada parte creía que habían sido atacadas por la otra.	0
También es sorprendente que ningún elemento perteneciente a las llamadas fuerzas paralelas pueda ser detenido y procesado por esos delitos.	0
Durante las consultas oficiosas celebradas el 5 de mayo, el Comité se reunió con el recientemente establecido Grupo de Expertos.	1
83. Los combatientes del MPCI facilitaron a la misión información sobre la existencia de otras fosas comunes en las zonas de combate, a saber, cinco fosas comunes, tres de ellas en Man y dos en Danané, a 72 kilómetros de Man.	1
:: Es necesario lograr una mayor coherencia en el establecimiento y los mandatos de los mecanismos de determinación de los hechos.	1
Las Fuerzas Armadas del Sudán (FAS) han redistribuido todas sus fuerzas desde el Sudán meridional, mientras que el redespliegue supervisado y verificado del Ejército de Liberación del Pueblo Sudanés sigue siendo del 34,8% de una dotación declarada de 59.168.	0
El Grupo de Políticas de la Misión sobre Explotación y Abuso Sexuales está ultimando un código de conducta de la ONUCI sobre explotación y abuso sexuales y participa en la red nacional sobre explotación y abuso sexuales.	0
Durante el período sobre el que se informa, se concluyó un examen preliminar de la evaluación de riesgos para Kosovo y se inició el proceso de evaluación de riesgos en todas las regiones.	0
Los tres Estados visitados han desempeñado un papel activo en la creación de organismos especializados en la lucha contra el terrorismo y/o unidades de policía y en asegurar que esas unidades reciban la capacitación y los instrumentos necesarios para desempeñar sus funciones en una serie de esferas relacionadas con la lucha contra el terrorismo.	1
El Consejo de Seguridad reitera su llamamiento a los Estados para que pasen a ser partes en todos los convenios y protocolos internacionales pertinentes relativos al terrorismo y hagan pleno uso de las fuentes de asistencia y orientación disponibles.	1
El Consejo de Seguridad pide al Representante Especial del Secretario General para Burundi que, en estrecho contacto con el Representante Especial del Secretario General para la República Democrática del Congo, determine los hechos e informe al respecto al Consejo lo antes posible.	1
El Consejo reitera que un programa amplio de consolidación de la paz que haga especial hincapié en el desarme, la desmovilización, la rehabilitación y la reintegración será importante para Somalia después del conflicto, como se estipula en la declaración de su Presidente de 28 de marzo de 2002 (S/PRST/2002/8).	1
Israel está obligado, en virtud del derecho internacional y como Potencia ocupante, a proteger a los civiles palestinos, especialmente a los niños, y a salvaguardar los bienes civiles.	0
56. La policía y las fuerzas de seguridad de la República Popular Democrática de Corea recurren sistemáticamente a la violencia y a castigos que equivalen a graves violaciones de los derechos humanos a fin de crear un clima de temor que impida cualquier desafío al actual sistema de gobierno y a la ideología que lo sustenta.	0
Se deben realizar esfuerzos desde el principio para asegurar la coordinación con los órganos encargados de hacer cumplir la ley y otras autoridades nacionales; elaborar marcos jurídicos nacionales apropiados; y mejorar la capacidad de los sistemas judicial y de aplicación de la ley.	1
Utilizar un enfoque de evaluación participativa para asegurar que las mujeres y las niñas que regresan y los desplazados internos influyan en el establecimiento y el contenido de las estrategias y los programas de reintegración; perfeccionar los parámetros de reintegración que tengan en cuenta las cuestiones de género en cuestiones como la reforma constitucional y los procesos electorales; desglosar los indicadores por sexo.	1
Desde entonces, se han producido dos acontecimientos importantes: el traslado, el 31 de octubre de 2009, de los ocho presos condenados hasta la fecha por el Tribunal a Rwanda, donde cumplirán sus condenas, y el traslado, el 16 de noviembre de 2009, de los centros de detención del Tribunal al Gobierno de Sierra Leona.	0
Como se indica en el acta literal provisional de la 4688a sesión del Consejo de Seguridad, celebrada el 20 de enero de 2003 (S/PV.4688), los miembros del Consejo formularon observaciones, sugerencias y propuestas en las siguientes esferas: instrumentos internacionales; cooperación internacional; papel de las organizaciones internacionales, regionales y subregionales; asistencia; y Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001) (en adelante denominado Comité contra el Terrorismo).	1
"En el último decenio, el Gobierno yemení ha seguido una política clara encaminada a restablecer la estabilidad en Somalia, poner fin a la guerra civil en ese país y apoyar al Gobierno central.	0
Sin embargo, cuando los delitos se cometen con regularidad y en gran escala, como parte de un patrón de conducta delictiva, la responsabilidad del superior es más grave.	0
Exhortar a todas las partes interesadas a que velen por que la protección, los derechos y el bienestar de las mujeres y las niñas afectadas por los conflictos armados se integren específicamente en todos los procesos de paz, acuerdos de paz y planes y programas de recuperación y reconstrucción después de los conflictos.	1
El Consejo de Seguridad reconoce la intención expresada por los representantes de ambas organizaciones de cooperar en un amplio programa de interés mutuo, formulando respuestas conjuntas adecuadas, cuando proceda, a las crisis humanitarias, promoviendo los derechos humanos, la libertad de expresión, la seguridad alimentaria, la protección del medio ambiente y la lucha contra el terrorismo y el tráfico ilícito de drogas y armas, al tiempo que reitera la necesidad de asegurar que todos los esfuerzos de las Naciones Unidas para restablecer la paz y la seguridad también respeten y promuevan el estado de derecho.	1
Las atrocidades indecibles que se están cometiendo contra los reclusos de los campos de prisioneros políticos de Kwanliso se asemejan a los horrores de los campamentos que los Estados totalitarios establecieron durante el siglo XX.	0
117. Los actos de terrorismo y la incitación son manifestaciones complejas de conducta delictiva.	0
Durante el mes de febrero, se denunciaron más de 20 robos a mano armada en carretera a lo largo del eje Guiglo-Duékoué, mientras que en Bangolo se registraron 10 ataques armados. El 23 de marzo de 2008, un soldado de las fuerzas de defensa y seguridad de Côte d'Ivoire resultó muerto en Duékoué por bandidos armados no identificados.	0
e) Presente al Comité un programa de trabajo amplio para su examen y aprobación, según sea necesario, en el que el Equipo de Vigilancia detalle las actividades previstas para cumplir sus responsabilidades, incluidos los viajes propuestos, sobre la base de una estrecha coordinación con la Dirección Ejecutiva del Comité contra el Terrorismo y el grupo de expertos del Comité 1540 a fin de evitar duplicaciones y reforzar las sinergias;	1
Actualmente se están estudiando opciones para facilitar la ocupación del nuevo complejo lo antes posible.	1
b) Alentar a los Estados a que adopten medidas adecuadas para proteger a su sector sin fines de lucro contra el uso indebido de la financiación del terrorismo;	1
El Consejo de Seguridad insta a los Gobiernos de la República Democrática del Congo y Rwanda a que respondan sin más demora a los esfuerzos de la MONUC en virtud de su mandato actual de establecer, lo antes posible, un mecanismo conjunto de verificación para su seguridad común, incluida la verificación de los movimientos transfronterizos.	1
Planteamos la cuestión de la violencia para expresar nuestra impaciencia por encontrar urgentemente soluciones satisfactorias a los enormes desafíos a la unidad de la sociedad iraquí.	0
Recordando sus resoluciones anteriores sobre el terrorismo internacional y la amenaza que representa para el Afganistán, en particular sus resoluciones 1267 (1999), 1333 (2000), 1363 (2001), 1373 (2001), 1390 (2002), 1452 (2002), 1455 (2003), 1526 (2004), 1566 (2004), 1617 (2005), 1624 (2005), 1699 (2006), 1730 (2006), 1735 (2006), 1822 (2008), 1904 (2009), 1988 (2011), 1989 (2011), y las declaraciones pertinentes de su Presidencia,	1
Esto ha provocado graves tensiones con las comunidades locales, así como amenazas contra la MONUC por parte de algunos ex comandantes militares del CNDP ahora integrados en las FARDC.	0
En julio de 2010, Angola promulgó leyes que establecían medidas preventivas y restrictivas contra el blanqueo de dinero y la financiación del terrorismo, y el 15 de abril de 2010 presentó su solicitud de adhesión al Grupo de lucha contra el blanqueo de dinero de África oriental y meridional.	0
Reiterando la obligación de los Estados Miembros de prevenir y reprimir la financiación de actos terroristas y de tipificar como delito el suministro o la recaudación intencionales, por cualquier medio, directa o indirectamente, de fondos por sus nacionales o en sus territorios con la intención de que esos fondos se utilicen, o a sabiendas de que se utilizarán, para perpetrar actos terroristas,	1
Esto ayudará a facilitar los arreglos de prisión preventiva, enjuiciamiento y posterior a la condena para los delincuentes de alto riesgo, de conformidad con las normas internacionales de derechos humanos.	1
Debe prestarse apoyo al proceso de reforma del sector de la justicia, en estrecha colaboración con el equipo de las Naciones Unidas en el país, así como al establecimiento y fortalecimiento de mecanismos de rendición de cuentas dentro de las fuerzas de seguridad y defensa.	1
El Equipo coordina sistemáticamente sus planes de viaje con la Dirección Ejecutiva del Comité contra el Terrorismo y ha presentado informes para la Dirección Ejecutiva del Comité contra el Terrorismo y los expertos que prestan apoyo al Comité 1540 (2004) sobre sus visitas a los Estados Miembros y las organizaciones internacionales. El Equipo espera con interés su primera visita conjunta a un Estado Miembro con la Dirección Ejecutiva del Comité contra el Terrorismo en febrero de 2006, y espera que esto se convierta en un hecho cada vez más frecuente.	1
El sector sin fines de lucro es sin duda el más vulnerable a la financiación del terrorismo y el más difícil de regular y vigilar.	0
Recordando la declaración de su Presidente de 8 de julio de 1999 (S/PRST/1999/21) y destacando su llamamiento para que se incluyan, según proceda, en acuerdos de paz concretos y, caso por caso, en los mandatos de mantenimiento de la paz de las Naciones Unidas, términos claros para el desarme, la desmovilización y la reintegración de los excombatientes, incluida la eliminación segura y oportuna de las armas y municiones,	1
El Consejo de Seguridad alienta a las organizaciones regionales y subregionales pertinentes a que sigan participando en el arreglo pacífico de controversias, según proceda, incluso mediante actividades de prevención de conflictos, fomento de la confianza y mediación, y subraya la importancia de utilizar la capacidad existente y potencial de las organizaciones regionales y subregionales a este respecto.	1
Otro celebró en 2009 un seminario internacional sobre el fortalecimiento de la cooperación y el diálogo en la lucha contra el terrorismo entre los organismos gubernamentales, los medios de comunicación y la sociedad civil.	1
El Equipo también examina la creciente preocupación internacional por el uso de Internet por terroristas, y presenta opiniones sobre esa cuestión, así como sobre toda la gama de sus actividades de vigilancia.	0
S/RES/1318 (2000), párr. VI. Destaca la importancia de todos los Estados Miembros, y en particular de los Estados que participan en la fabricación y comercialización de armas, restringiendo las transferencias de armas que puedan provocar o prolongar conflictos armados o agravar las tensiones o los conflictos armados existentes...	1
Este es un subproducto de las negociaciones políticas de la Conferencia de Reconciliación Nacional de Somalia basadas en gran medida en el poder de los dirigentes de las milicias y sus asociaciones de clanes.	1
En algunos casos, se impidió a las personas desplazadas acceder a sus ganados y cultivos cercanos por la amenaza de ataques de Janjaweed fuera de los campamentos.	0
Los ataques también tuvieron lugar en 2001 y 2002, pero la magnitud, intensidad y coherencia de los ataques aumentaron notablemente a principios de 2003.	0
Dado que Hizbullah mantiene estrechos vínculos con varios Estados de la región, en particular con la República Islámica del Irán, como ha reconocido públicamente el propio Secretario General de las milicias, exhorto a esos Estados a que alienten la transformación del grupo armado en un partido exclusivamente político y su desarme, de conformidad con los requisitos del Acuerdo de Taif y la resolución 1559 (2004), en el interés superior de la paz y la estabilidad regionales.	0
En su resolución 2122 (2013), el Consejo se comprometió a prestar más atención a las cuestiones relativas a la mujer, la paz y la seguridad en todas las esferas temáticas pertinentes de su programa, en particular la protección de los civiles en los conflictos armados, la consolidación de la paz después de los conflictos, la promoción y el fortalecimiento del estado de derecho en el mantenimiento de la paz y la seguridad internacionales, la paz y la seguridad en África, las amenazas a la paz y la seguridad internacionales causadas por actos terroristas y el mantenimiento de la paz y la seguridad internacionales.	0
m) Estudiar la naturaleza cambiante de la amenaza de Al-Qaida y los talibanes y las mejores medidas para hacerle frente, e informar al Comité al respecto, incluso mediante el establecimiento de un diálogo con los estudiosos y los órganos académicos pertinentes, en consulta con el Comité;	1
La Fuerza también ha identificado algunos activos militares que actualmente están infrautilizados y que pueden ser repatriados sin que ello afecte negativamente a la capacidad de la Misión para llevar a cabo operaciones.	0
En Jartum, la Comisión entrevistó a detenidos mantenidos en régimen de incomunicación por las fuerzas de seguridad en "casas fantasma" en condiciones abominables.	1
Tras su reunión del 8 de septiembre de 2010, el Grupo de Trabajo aprobó sus conclusiones sobre los niños y los conflictos armados en Colombia (véase S/AC.51/2010/3).	1
