en_es_DEEP	MatConf
El 5 de mayo de 2005, los mismos camiones que transportaban armas y alimentos regresaron a Somalia a través de la ciudad fronteriza de Yeed, en la región de Bakool. El 7 de mayo de 2005, los camiones que contenían las armas llegaron a Hudur, capital de la región de Bakool, y almacenaron temporalmente las armas en la comisaría de policía de Hudur.	0
Reiterando su llamamiento a las partes y a los Estados de la región para que cooperen más plenamente con las Naciones Unidas y entre sí y fortalezcan su participación para poner fin al actual estancamiento y lograr avances hacia una solución política,	0
23. El redespliegue del personal judicial y penitenciario no ha avanzado al mismo ritmo que la rehabilitación de la infraestructura debido a las persistentes preocupaciones sobre su seguridad en zonas del norte de Malí bajo el control de grupos armados, así como a la falta de equipo.	1
Esta enmienda, que está en consonancia con el artículo 5 del Convenio del Consejo de Europa para la Prevención del Terrorismo, impondría una pena de 30 años de prisión a los infractores.	1
Responsabilizar a las personas o entidades jurídicas por delitos relacionados con la financiación del terrorismo;	1
31. Las acusaciones sobre la presencia de manifestantes armados y elementos de grupos rebeldes dispuestos a atacar a las fuerzas de seguridad o derrocar al Presidente no pudieron verificarse de forma independiente, ya que la Comisión no recibió pruebas creíbles o concluyentes a tal efecto.	1
j) La detención injusta, el trato abusivo en las cárceles de Eritrea y el trato inhumano y las malas condiciones de alimentación y alojamiento en los campos de detención;	1
Instamos a Israel a que cumpla con sus obligaciones con respecto al pueblo de los territorios ocupados.	0
Se alega que Ibrahim Mohamed K. había asistido a campos de entrenamiento de Al-Qaida hasta noviembre de 2001 y luego permaneció en el Afganistán durante más de un año luchando contra las tropas de los Estados Unidos, tiempo durante el cual tuvo contacto con miembros de alto rango de Al-Qaida. Lo persuadieron de regresar a Europa, donde su documento de viaje alemán le dio una considerable libertad de movimiento para reclutar atacantes suicidas.	1
Ha habido un aumento en el número de redadas contra fuerzas de seguridad nacionales e internacionales, personal de instituciones públicas y personal humanitario. Ha habido más ataques a los sitios de votación y más amenazas a los equipos de registro de votantes.	0
6. Confirma que los requisitos del párrafo 1 (a) anterior se aplican a los recursos financieros y económicos de todo tipo, incluidos, entre otros, los utilizados para la prestación de alojamiento de Internet o servicios relacionados, utilizados para apoyar a los talibanes incluidos en esta Lista. , y otras personas, grupos, empresas y entidades asociadas con ellos, así como otras personas, grupos, empresas y entidades asociadas con los talibanes por constituir una amenaza a la paz, la estabilidad y la seguridad de Afganistán y otras personas, grupos, empresas o entidades asociadas a ellos;	1
La Comisión considera que el desplazamiento forzado de la población civil fue sistemático y generalizado y que tal acción constituye un crimen de lesa humanidad.	1
"El Consejo de Seguridad recuerda sus resoluciones 1265 (1999), de 17 de septiembre de 1999, y 1296 (2000), de 19 de abril de 2000, sobre la protección de los civiles en los conflictos armados, así como las declaraciones de su Presidente de 12 de febrero de 1999 (S/PRST/ 1999/6), de 15 de marzo de 2002 (S/PRST/2002/6) y de 20 de diciembre de 2002 (S/PRST/2002/41), y reafirma la necesidad de mantener la protección de los civiles en los conflictos armados como un tema importante en el orden del día del Consejo.	0
Pero hasta cierto punto Al-Qaida ha logrado recuperarse de la pérdida del Afganistán como base de entrenamiento para el terrorismo explotando la situación en el Iraq.	1
ACNUR brindó capacitación a funcionarios relevantes de Bielorrusia y Ucrania con el objetivo de garantizar la implementación efectiva y justa de las disposiciones sobre la determinación del estatus de refugiado establecidas en la Convención de 1951.	0
6. La aplicación del embargo de armas se reforzó en la resolución 1945 (2010), cuando el Consejo aclaró las exenciones a esa medida y supeditó la venta o el suministro de armas y material conexo al Sudán no prohibido por el embargo al fin necesario. documentación del usuario.	1
36. Fuentes oficiales han informado de la muerte de al menos tres personas incluidas en Al-Qaida.	1
En cuanto a Crimea, el Subsecretario General informó al Consejo de que, además de las violaciones de derechos humanos denunciadas anteriormente, se había producido un aumento en el número de casos de desapariciones forzadas y expresó preocupación por el secuestro de cuatro tártaros de Crimea durante el mes anterior en Crimea, uno de los cuales había sido encontrado muerto.	1
47. Además del espectacular aumento de las corrientes de armas hacia Somalia, ambas partes también están distribuyendo muy activamente armas y municiones a sus milicias, equipando a los milicianos con equipo de combate individual, obteniendo y almacenando alimentos, medicinas, combustible y otros artículos de primera necesidad para participar en operaciones sostenidas. combate, organizándose en estructuras de estilo militar, intensificando el reclutamiento y entrenamiento de milicias y diseñando estrategias y planes para derrotar militarmente al otro lado.	1
El establecimiento de órganos reguladores y el desarrollo continuo del sector bancario se encuentran entre los logros que contribuyen al desarrollo económico potencial.	0
o El 23 de noviembre de 2014, aviones de guerra del régimen lanzaron dos misiles contra la mezquita Harwiel, en el barrio de Aradi en Deir ez-Zor, dañando la mezquita y las casas cercanas.	1
3. Asesinato de militares enemigos detenidos	1
También se prohibió la participación activa de los veteranos de guerra en futuras ceremonias y se está reescribiendo el libro de reglas para futuras ceremonias.	1
6. Los conflictos armados contemporáneos son la principal causa de que las personas abandonen sus hogares y ahora son la causa más común de inseguridad alimentaria.	1
Me preocupa que esa votación parlamentaria y ese estancamiento puedan perturbar los laboriosos avances que han alcanzado las partes interesadas somalíes y sus asociados.	0
b) Los dirigentes políticos y militares de grupos armados extranjeros que operan en la República Democrática del Congo que obstaculizan el desarme y la repatriación o reasentamiento voluntario de los combatientes pertenecientes a esos grupos;	1
Los miembros del consejo estaban preocupados por los informes de una ofensiva de las fuerzas armadas del Congo en la provincia de Ecuador y pidieron el fin inmediato de los combates y que todas las partes actuaran con moderación.	1
La comunidad internacional sigue comprometida con la lucha contra el terrorismo en todas sus formas y manifestaciones, pero debe redoblar sus esfuerzos para lograr la plena aplicación de las resoluciones pertinentes y los instrumentos internacionales contra el terrorismo.	0
En este caso, se sospecha que han cometido ataques indiscriminados contra civiles, un crimen de guerra.	1
Reafirma... su condena en los términos más enérgicos de todos los actos de violencia o abusos cometidos contra civiles en situaciones de conflicto armado en violación de las obligaciones internacionales aplicables con respecto en particular a (i) la tortura y otros tratos prohibidos, (ii) la violencia de género y sexual, (iii) la violencia contra los niños, (iv) el reclutamiento y utilización de niños soldados, (v) la trata de personas, (vi) el desplazamiento forzado, y (vii) la denegación intencional de asistencia humanitaria, y exige que todas las partes pongan fin a esas prácticas.	0
52. En cuanto al desarme, la ONUCI seguirá apoyando una aplicación acelerada del acantonamiento de fuerzas, de conformidad con el tercer acuerdo suplementario.	0
El Grupo de Trabajo facilitó y copresidió una conferencia internacional sobre estrategias nacionales y regionales de lucha contra el terrorismo, en la que los participantes identificaron un conjunto de principios que debían tener en cuenta los Estados miembros y las organizaciones regionales al desarrollar sus respectivas estrategias.	0
"El Consejo de Seguridad destaca la responsabilidad primordial del Gobierno de la República Democrática del Congo de reforzar la autoridad y la gobernanza del Estado en el este de la República Democrática del Congo, incluso mediante una reforma eficaz del sector de la seguridad que permita la reforma del ejército y la policía y ponga fin a la impunidad por los abusos de los derechos humanos y las violaciones de las normas internacionales. derecho humanitario, e insta al Gobierno de la República Democrática del Congo a abordar los problemas de explotación ilegal y contrabando de recursos naturales.	0
El Consejo de Seguridad recuerda su resolución 2048 (2012) y, a este respecto, reitera su disposición a considerar la adopción de otras medidas que considere necesarias, incluidas sanciones selectivas contra personas que socaven los esfuerzos por restablecer el orden constitucional.	1
La República de Sudán del Sur está sumamente preocupada por el deterioro de la situación de seguridad en las zonas fronterizas tanto de la República del Sudán como de la República de Sudán del Sur.	0
121. Los Janjaweed a quienes se refieren la mayoría de las víctimas en el conflicto actual son milicias árabes que asaltan las aldeas de esas víctimas, montados en caballos o camellos, y matan, saquean, queman y violan.	1
(a) necesarios para gastos básicos, incluidos pagos de alimentos, alquiler o hipoteca, medicamentos y tratamientos médicos, impuestos, primas de seguros y cargos por servicios públicos, o exclusivamente para el pago de honorarios profesionales razonables y el reembolso de gastos incurridos asociados con la prestación de servicios jurídicos, u honorarios o cargos por servicios por la tenencia o mantenimiento rutinario de fondos congelados u otros activos financieros o recursos económicos, previa notificación por el Estado o los Estados pertinentes al Comité establecido de conformidad con la resolución 1267 (1999) (en adelante denominado " Comité") de la intención de autorizar, cuando corresponda, el acceso a dichos fondos, activos o recursos y en ausencia de una decisión negativa del Comité dentro de las 48 horas siguientes a dicha notificación;	0
También deberían abolirse las inmunidades que actualmente disfrutan otros funcionarios públicos, como los miembros de la policía, por violaciones de derechos humanos.	1
El Consejo de Seguridad toma nota de la publicación del "Memorando de Rabat sobre buenas prácticas para una lucha eficaz contra el terrorismo en el sector de la justicia penal"; "Memorando de Roma sobre buenas prácticas para la rehabilitación y reintegración de delincuentes extremistas violentos"; y "Memorando de Argel sobre buenas prácticas para prevenir y negar los beneficios del secuestro para pedir rescate por terroristas".	0
Por ejemplo, la Comisión descubrió que mujeres que iban al mercado o buscaban agua en Tarne, Darfur septentrional, fueron secuestradas, retenidas durante dos o tres días y violadas por miembros del ejército alrededor de marzo de 2003.	1
Además, otras medidas propuestas para mejorar la comprensión por parte del Comité de las medidas nacionales de aplicación de conformidad con la resolución 1540 (2004) fueron compartir información sobre la cooperación interinstitucional, las actividades de aplicación de la ley, la planificación de la aplicación voluntaria y los datos sobre cronogramas.	0
b) Tipificar como delito el suministro o la recaudación intencional, por cualquier medio, directa o indirectamente, de fondos por sus nacionales o en sus territorios con la intención de que los fondos se utilicen, o a sabiendas de que se utilizarán, para llevar a cabo actos terroristas;	0
Los miembros del Consejo también afirmaron la importancia de un compromiso significativo de las partes con la IGAD en sus esfuerzos de mediación y el respeto del acuerdo de cese de las hostilidades en interés de un pronto retorno de la paz y la estabilidad a Sudán del Sur.	0
El Presidente Al-Bashir tenía la intención de que su promesa del 19 de junio de 2004 de desarmar a los Janjaweed se aplicara sólo a los bandidos, no a las Fuerzas de Defensa Popular, la policía popular u otros miembros de tribus armados por el Estado para luchar contra los rebeldes.	0
La Misión adquirió equipo especializado (ambulancias blindadas, vehículos protegidos contra minas y botiquines médicos), capacitó a 3.063 efectivos en prevención y mitigación con respecto a dispositivos explosivos improvisados ​​y a 1.481 efectivos en primeros auxilios, introdujo actividades de tutoría para las dos compañías de eliminación de artefactos explosivos de la Misión con exposición previa limitada a entornos asimétricos y desarrolló su capacidad de explotación (actualmente hay tres equipos de identificación de armas en funcionamiento).	1
Todos estos actos de incitación al odio y a la guerra crean tensiones dentro de la comunidad de Costa de Marfil.	1
Los testigos describieron cómo le arrancaron los ojos a un joven. Una vez cegado, lo obligaron a correr y luego lo mataron a tiros.	1
También abordó los peligrosos brotes de violencia en el Líbano entre las Fuerzas Armadas Libanesas y los hombres armados de Fatah al-Islam alrededor de los campos de refugiados palestinos.	1
No se reportaron heridos, pero el helicóptero sufrió varios impactos de bala. Nuevamente, el 31 de enero de 2005, una patrulla de la AMIS que investigaba violaciones del alto el fuego en la zona de Shangil Tobai recibió disparos cerca de cráteres que parecían confirmar acusaciones de bombardeos.	1
Las filas de los peticionarios y sus simpatizantes se vieron notablemente aumentadas, a partir del segundo día de la protesta, con la llegada de terceros, en particular miembros del grupo conocido como Colimau 2000.	0
A través de una parte del bloque del motor, encontrada y recogida en la escena del crimen, se ha concluido que el motor proviene de un vehículo Mitsubishi robado el 12 de octubre de 2004 en la ciudad de Sagamihara, Japón.	1
Periodo de tiempo. El inicio, el ritmo y la duración del examen amplio serán determinados por el Secretario General sobre la base de consultas celebradas por el Enviado Especial, teniendo en cuenta la situación sobre el terreno.	0
Aproximadamente 2 kilómetros después del puesto de control, unos 20 soldados vestidos con uniformes de camuflaje se acercaron al grupo de mujeres y les ordenaron que se detuvieran, mientras disparaban algunos tiros.	1
Se produjo un enfrentamiento que provocó que la policía acudiera al lugar y se lanzaran gases lacrimógenos.	1
Es significativo señalar que el 22 de mayo de 2005, aproximadamente una semana antes de la segunda batalla de Baidoa, llegó a BAM un cargamento muy grande de armas desde Yemen, a través de las redes de comercio de armas.	1
50. El sitio web del Comité es una herramienta de transparencia indispensable para sensibilizar al público sobre cuestiones pertinentes a la resolución 1540 (2004).	0
Además, los dirigentes albanokosovares han percibido la victoria del Presidente Kostunica como una amenaza a sus aspiraciones de independencia de la provincia.	0
La tortura está absolutamente prohibida por los Convenios de Ginebra, tanto en conflictos armados internos como internacionales.	1
Denuncia de desapariciones y detenciones en las zonas controladas por el MPCI Desapariciones	1
Si bien los dirigentes de Al-Qaida, limitados por la acción internacional, tal vez no puedan traducir su apoyo en violencia coordinada bajo su control, siguen atrayendo seguidores, algunos de los cuales están decididos a cometer actos terroristas en su nombre, sin necesidad de ver a sus acciones como parte de un programa político más amplio.	1
La renovación de la autorización se produjo tras la presentación del informe anual del Secretario General sobre la situación con respecto a la piratería y el robo a mano armada en el mar frente a las costas de Somalia (S/2014/740) por el Secretario General Adjunto de Política Asuntos el 22 de octubre.	0
2. Decide que la Dirección Ejecutiva del Comité seguirá funcionando como misión política especial bajo la orientación normativa del Comité contra el Terrorismo durante el período que finalizará el 31 de diciembre de 2017 y decide además realizar un examen provisional antes del 31 de diciembre de 2015;	0
113. Ante el clima de terror creado por los escuadrones de la muerte, los representantes políticos temen secuestros y detenciones de sus militantes.	1
Condenamos enérgicamente el cruel ataque de esta mañana contra los lugares sagrados del Imam Ali al-Hadi y del Imam Hassan al-Askari en Samarra, y compartimos la indignación del pueblo iraquí ante ese crimen. Es otro intento deliberado de los terroristas de sembrar disidencia y exacerbar la lucha sectaria entre el pueblo del Iraq.	0
Es imposible describir en este informe todos los incidentes de asesinatos que la Comisión ha documentado.	1
Luego, cuatro soldados tuvieron relaciones sexuales vaginales con ella, uno tras otro.	1
76. Todas las partes en el conflicto (el Gobierno del Sudán, el ELS y el JEM) han reconocido que se trata de un conflicto armado interno.	1
El embargo de armas incluye "armas y material conexo de todo tipo, incluidas armas y municiones, vehículos y equipos militares, equipos paramilitares y repuestos para todos ellos".	1
El ataque que el régimen etíope lanzó hoy constituye una respuesta maliciosa a las súplicas de Eritrea.	1
2. Generar confianza y mejorar la estabilidad dentro del Estado anfitrión promoviendo la verdad y la reconciliación mediante:	0
51. Tres Estados han introducido marcos jurídicos eficaces para garantizar la asistencia jurídica mutua y la extradición, así como mecanismos adecuados, de manera rápida y eficaz para intercambiar información con sus homólogos internacionales.	0
La destrucción tuvo como objetivo las zonas habitadas por las tribus africanas, en particular los fur, los zaghawa y los masalit.	1
Desde el decenio de 1990, sus agentes han secuestrado a varias personas en territorio chino, incluidos ciudadanos de China, la República de Corea y, en al menos un caso, un ex ciudadano japonés.	1
En conjunto, esos desafíos ejercen presión política sobre los gobiernos y tienen un impacto directo y peligroso en la paz, la seguridad y la estabilidad en los países afectados.	0
Expresando preocupación por las continuas amenazas que plantean la transferencia ilícita, la acumulación desestabilizadora y el uso indebido de armas pequeñas y ligeras para la seguridad del personal de mantenimiento de la paz de las Naciones Unidas y su eficacia en la implementación de los mandatos de mantenimiento de la paz...	0
Tengo el honor de transmitir adjunto el undécimo informe del Equipo de Apoyo Analítico y Vigilancia de las Sanciones establecido en virtud de la resolución 1526 (2004) del Consejo de Seguridad y ampliado mediante la resolución 1904 (2009).	0
208. El Comité proporcionó a la Comisión cifras de víctimas y de armas robadas entre enero de 2003 y noviembre de 2004. En lo que respecta al ejército, se afirmó que 937 murieron, 2.264 resultaron heridos, 629 desaparecieron y 934 armas fueron robadas. . En cuanto a la policía, se afirmó que 685 personas murieron, 500 resultaron heridas, 62 desaparecieron y 1.247 armas fueron saqueadas. En cuanto al aparato de seguridad e inteligencia, se afirmó que 64 personas murieron, 1 resultó herida, 26 desaparecieron y 91 armas fueron saqueadas.	1
Quienes regresaron han dado testimonios creíbles de la presencia de muchos de los desaparecidos en lugares de detención no oficiales y secretos mantenidos por el aparato de seguridad en diferentes lugares de la región de Darfur.	1
13. El Comité organizará una reunión especial abierta a todos los miembros y otras partes interesadas pertinentes para conmemorar el décimo aniversario de la aprobación de la resolución 1373 (2001) y el establecimiento del Comité, de conformidad con la resolución 1963 (2010).	0
La sequía y la desertificación tuvieron su impacto en los años 1970 y 1980, y la lucha por los recursos escasos se hizo más intensa.	1
Los expertos del OIEA indicaron al Equipo que es mucho más probable que los terroristas obtengan ilícitamente un dispositivo militar que construyan uno improvisado.	1
29. Sólo dos Estados han tipificado como delito la financiación del terrorismo, pero otros dos han introducido algunas disposiciones jurídicas para abordar la cuestión.	0
Las operaciones conjuntas periódicas de dominación de zonas y acordonamiento y registro han tenido como resultado la detención de algunos elementos de la milicia y la incautación de armas y municiones ilegales, además de limitar el margen de maniobra operacional de los grupos de milicias.	1
A lo largo del año pasado, no menos del 94 por ciento de las 982 supuestas operaciones antiterroristas del régimen sirio han tenido como objetivo a fuerzas de oposición moderadas.	1
61. El grado de presencia y funcionamiento de las instituciones del Estado, la policía y el ejército nacional en esas zonas varía considerablemente.	1
En el plazo de una semana después de que el Comité adopte sus orientaciones de política en un área determinada, la Dirección Ejecutiva debe desarrollar un plan para implementarlas y presentarlo al Comité para su aprobación.	0
Los Estados deben garantizar que su legislación y orientación sean lo suficientemente flexibles y sólidas para cubrir nuevas amenazas y mantener su función preventiva.	0
Este es un paso adelante esencial, ya que la responsabilidad de la implementación se delega al nivel donde se prestan los servicios policiales, lo que a su vez maximiza el principio de propiedad local.	0
Nos preocupa especialmente el bajísimo número de retornos de refugiados, que son el indicador más útil para evaluar la situación en la provincia.	0
También visitó el campo de refugiados de El Aaiún.	0
Es razonable suponer que la presencia policial se debe más a razones políticas que a cualquier forma de protección.	1
Los miembros del Consejo expresaron preocupación por el aumento de la piratería, los robos a mano armada en el mar y los informes de toma de rehenes en el Golfo de Guinea y los efectos perjudiciales de esas actividades en la seguridad, el comercio y las actividades económicas de la subregión.	1
El sábado 27 de diciembre de 2003, en la aldea de Domai Tamait, en el sur de Darfur: "Fuimos atacados temprano en la mañana, alrededor de las cinco y media de la hora de la oración de la mañana [el testigo muestra una herida de bala en la pierna]. Los atacantes iban a caballo y en camellos. algunos con uniformes.	1
También hay que recordar que, a pesar de esta amplia base política, la gran mayoría de los miembros de los dos movimientos rebeldes procedían esencialmente de tres tribus: los fur, los masalit y los zaghawa.	1
Del 25 de noviembre al 10 de diciembre, mi Representante Especial se unió a mi campaña anual "Unidos para poner fin a la violencia contra las mujeres", con especial énfasis en los países en conflicto.	0
14. Invita al Secretario General a señalar a su atención situaciones en las que los refugiados y los desplazados internos son vulnerables a la amenaza de acoso o en las que sus campamentos son vulnerables a la infiltración de elementos armados y en las que esas situaciones pueden constituir una amenaza a la paz y la seguridad internacionales , expresa, a este respecto, su voluntad de considerar tales situaciones y, cuando sea necesario, adoptar medidas adecuadas para ayudar a crear un entorno seguro para los civiles en peligro por los conflictos, incluso proporcionando apoyo a los Estados interesados ​​a este respecto, y recuerda, a este respecto , su resolución 1208 (1998), de 19 de noviembre de 1998;	1
a) Solicitar a la UA que mantenga tropas de la AMISOM en Somalia después de la partida de las fuerzas etíopes y ofrecer la asistencia que se indica a continuación para apoyar el refuerzo de la Misión;	0
La eficacia de la congelación de activos se puede mejorar conectando mejor a quienes entienden los casos actuales (como las agencias policiales y de inteligencia) con las unidades de inteligencia financiera.	1
Pide el pleno respeto de los derechos humanos y las libertades fundamentales y del derecho internacional humanitario en todo [el país afectado], observa con preocupación las restricciones a la libertad de los medios de comunicación y los ataques contra periodistas.	0
3. Los miembros de los escuadrones de la muerte deben ser identificados y llevados ante la justicia;	0
Si los residentes intentan abandonar la sitiada Ghouta oriental, los francotiradores del régimen sirio los atacan directamente, lo que provoca decenas de muertes de civiles cada mes.	1
Esto en sí mismo presenta una nueva serie de desafíos, como idear nuevos enfoques para contrarrestar la incitación y el extremismo violento y tener en cuenta la relación entre seguridad y desarrollo.	0
Las limitaciones al acceso humanitario que tienen los efectos más graves sobre las personas que necesitan asistencia humanitaria incluyen restricciones al movimiento de trabajadores o bienes humanitarios (incluidos obstáculos físicos y burocráticos); ausencia de mecanismos acordados con las partes en conflicto para la prestación de asistencia durante las hostilidades; interferencia en la entrega de asistencia humanitaria, incluidas las demandas de pago; y violencia contra actores humanitarios, incluidos ataques físicos contra trabajadores humanitarios y convoyes.	1
114. Varios Estados, organizaciones internacionales, instituciones académicas y otros están desarrollando activamente programas de rehabilitación nuevos e innovadores para personas detenidas o encarceladas en relación con su participación en actos terroristas.	0
El Subsecretario General también proporcionó información actualizada sobre los vehículos, artículos y equipos incautados por grupos armados de oposición en los recientes incidentes con la Fuerza.	0
Se informó de más violaciones de mujeres durante los ataques en los alrededores de Miski, Disa y Umm Baru, en Darfur septentrional; y Azeoni, Kornoi, Nertete y Mukjar en Darfur occidental.	1
Los esfuerzos en estas áreas, complementados con las actividades de los grupos de trabajo establecidos para aplicar los acuerdos alcanzados entre los Presidentes de la Federación de Rusia y Georgia en Sochi en marzo de 2003 (véase S/2003/412, párr. 5), buscan abordar preocupaciones apremiantes de las partes y de esta manera promover la confianza entre ellas con el objetivo último de entablar negociaciones sobre una solución política global del conflicto, tomando como punto de partida el documento titulado "Principios básicos para la distribución de competencias entre Tbilisi y Sujumi". y su carta de envío (véase S/2002/88, párr. 3).	0
En Lerneb (región de Tombuctú), en septiembre, MAA (Plataforma) advirtió en varias reuniones públicas que castigaría a los miembros de la población local que proporcionaran información a la MINUSMA y a las fuerzas francesas. El 23 de septiembre se encontró el cuerpo de un hombre decapitado en la zona de Zouera, 80 kilómetros al norte de Tombuctú. Fue uno de los cinco hombres secuestrados el 16 de septiembre por AQMI y acusados ​​por esa organización de colaboración con fuerzas internacionales, que desde entonces han desaparecido.	1
El régimen abjasio no ha escatimado esfuerzos destinados a legalizar la situación demográfica modificada por la fuerza como consecuencia de la limpieza étnica y a crear condiciones de vida insoportables para los georgianos que regresan al distrito de Gali.	1
El PNUD y sus socios implementadores han hecho arreglos para brindar servicios de reintegración a otros 7.219 excombatientes, una vez desmovilizados.	0
Advirtió que si las FDLR no muestran un compromiso importante antes del 2 de enero de 2015, las Fuerzas Armadas de la República Democrática del Congo (FARDC), con el apoyo de la MONUSCO, tendrán que iniciar operaciones militares para su neutralización.	1
:: Implementar una estrategia de comunicaciones más proactiva con miras a mejorar la comprensión del papel del Comité y de la Dirección Ejecutiva en el ámbito de la lucha contra el terrorismo.	0
o El 18 de noviembre de 2014, helicópteros del régimen lanzaron dos bombas de barril sobre Maar Shmarien, matando a seis civiles, entre ellos cuatro niños y dos mujeres.	1
Exige que todos los grupos armados, en particular los elementos [de grupos armados específicos] impidan el reclutamiento y la utilización de niños, exige además que todas las partes protejan y consideren víctimas a los niños que han sido liberados o separados de otras formas de las fuerzas y grupos armados, y enfatiza la necesidad de prestar especial atención a la protección, liberación y reintegración de todos los niños asociados con grupos armados;	0
b) Continuar trabajando en estrecha coordinación y cooperación con INTERPOL, Estados y organizaciones donantes para facilitar asistencia técnica destinada a desarrollar las capacidades de los organismos encargados de hacer cumplir la ley y en la entrega de equipos e instalaciones a los Estados necesitados;	0
94. A pesar de los recientes avances, las limitaciones logísticas, políticas y de seguridad harán extremadamente difícil la desmovilización y reintegración previstas de 180.000 excombatientes para el final del período del Acuerdo General de Paz.	1
En este sentido, el Consejo anima a los países afectados por el LRA que aún no lo han hecho a que establezcan procedimientos operativos estándar para la recepción y entrega de niños del LRA a agentes civiles de protección de la infancia.	0
60. Es particularmente importante desarrollar intercambios prácticos entre el Consejo de Seguridad y la Asamblea General sobre cómo detener los flujos ilícitos de armas y municiones hacia zonas de crisis y conflicto.	1
34. A pesar de la persistente labor de promoción de las Naciones Unidas, nueve niños siguen detenidos en centros de detención de Bamako por presunta asociación con grupos armados, en violación del protocolo sobre la liberación, reunificación y reintegración de niños asociados con fuerzas o grupos armados en Malí firmado el 1 de julio de 2013 por el Gobierno.	1
El Consejo de Seguridad debería reconocer que la lucha contra el extremismo violento es un elemento esencial de la respuesta de la comunidad internacional a esta amenaza.	0
Por supuesto, la rendición de cuentas no consiste sólo en garantizar la responsabilidad penal individual por las violaciones. Se trata también de castigar a quienes han violado la ley; buscar justicia y reparación para las víctimas; impedir que se repitan las violaciones fomentando un cambio en las leyes y políticas; y garantizar una paz y una estabilidad duraderas garantizando que las víctimas tengan algo parecido a justicia por los males que han sufrido.	1
En cuanto a los asesinatos de militares detenidos por los rebeldes, la Comisión ha recibido informes, especialmente del Gobierno, sobre ejecuciones de soldados detenidos llevadas a cabo por los rebeldes.	1
Incluso en Afganistán, aunque funcionarios afganos y miembros de las fuerzas de la coalición han dicho al Equipo que están convencidos de que los talibanes se benefician de los enormes ingresos generados por el tráfico de drogas, es difícil demostrar ejemplos concretos.	1
El crimen organizado y la corrupción han sido caracterizados como las mayores amenazas a la estabilidad de Kosovo y la sostenibilidad de sus instituciones.	1
Al señalar que la matanza de yemeníes no tendría consecuencias, el acuerdo de inmunidad ha contribuido a prolongar el derramamiento de sangre.	1
Algunos informes también indican que extranjeros, procedentes del Chad, la Jamahiriya Árabe Libia y otros Estados, respondieron al llamamiento y que el Gobierno estaba más que dispuesto a reclutarlos.	1
Durante el ataque se utilizaron dos helicópteros artillados y un avión Antonov, posiblemente con fines de reconocimiento.	1
El general Moges concluyó su presentación advirtiendo que, con la llegada de la estación seca, aumentaba el riesgo de nuevas hostilidades, por lo que la UNISFA había aumentado sus patrullas, pero destacó que sin diálogo no será posible evitar que la situación se deteriore. en algún momento.	0
Si bien la OMS y la MINUSMA apoyaron el ejercicio de seguimiento del Gobierno, la OIM desplegó personal en los puntos de entrada fronterizos para fortalecer la vigilancia y el rastreo de viajeros entre Guinea y Malí, así como para concienciar a la población local sobre la enfermedad. Atendiendo a una solicitud del Presidente Keïta, el 22 de noviembre establecí una oficina de apoyo de la Misión de las Naciones Unidas para la Respuesta de Emergencia al Ébola en Malí, que opera en coordinación con la MINUSMA y cuenta con su apoyo. UNICEF, en coordinación con la OMS, ha ampliado su respuesta para apoyar al Ministerio de Salud en programas de agua, saneamiento e higiene.	0
