en_es_DEEP	VerCoop
6. Solicita también al Comité establecido en virtud de la resolución 1267 (1999) que informe periódicamente al Consejo de Seguridad sobre la aplicación de esa resolución;	1
Según la Corte Internacional de Justicia, las disposiciones del artículo 3 común a los Convenios de Ginebra constituyen un criterio mínimo aplicable a cualquier conflicto armado y reflejan lo que la Corte en 1949 [en el caso del Canal de Corfú] llamó "consideraciones elementales de humanidad".	0
Como se señaló anteriormente, a estos grupos se les permitió marchar en diciembre de 2003 durante una prohibición previa de manifestaciones.	0
Apoyar a las organizaciones de mujeres en las comunidades donde se despliegan fuerzas de paz para aumentar la conciencia sobre el VIH/SIDA y fortalecer las estrategias de prevención de la comunidad.	1
Los Estados Unidos deben abandonar el deliberado desprecio y negligencia que han sido su práctica durante casi siete años y que llevaron al deterioro de la situación en la región.	0
La capacidad para congelar fondos y activos vinculados al terrorismo es en su mayoría inadecuada y limitada en todos los Estados.	0
12. La Dirección Ejecutiva fortalecerá su colaboración con organizaciones internacionales, regionales y subregionales en todas partes del mundo para ayudarlas a preparar y/o implementar planes de acción antiterroristas pertinentes e involucrarlas más directamente en el tratamiento de los problemas de los Estados. necesidades de creación de capacidad, identificadas por el Comité a través de las evaluaciones preliminares de la implementación y las visitas a los países.	1
Las cifras no son seguras, pero la evidencia ante la Comisión sugiere que hasta nueve personas murieron y tres sufrieron heridas de arma de fuego como resultado de esta violencia.	0
Esto indica un éxito del régimen de sanciones, lo que indica que un número significativo de talibanes aparentemente ha cambiado su comportamiento.	0
Al parecer, su objetivo es proyectar una imagen de una supuesta amenaza a Kosovo y Metohija por parte de Serbia.	0
:: Un miembro reiteró su llamamiento a una conferencia internacional para hacer del Oriente Medio una zona libre de armas de destrucción en masa.	1
47. Dos de los cinco Estados de la subregión han promulgado legislación amplia que abarca los delitos terroristas pertinentes, mientras que otros dos tienen proyectos de leyes antiterroristas que están siendo examinados o pendientes de aprobación.	0
Continuaron los esfuerzos para incorporar la representación de las minorías en toda la plantilla de los departamentos administrativos.	0
Esto en sí mismo presenta una nueva serie de desafíos, como idear nuevos enfoques para contrarrestar la incitación y el extremismo violento y tener en cuenta la relación entre seguridad y desarrollo.	0
El Presidente Abbas y el Primer Ministro Seniora discutieron además el establecimiento de un diálogo libanés-palestino sobre el bienestar social y económico, la seguridad y la representación de los refugiados palestinos en el Líbano.	1
Este fue el caso de Jamal Suliman Mohamad Shayeb en la aldea de Halouf en relación con el asesinato de 24 personas, algunas de ellas mujeres y niños, el saqueo de propiedades y el incendio de la aldea.	0
Los prisioneros fueron trasladados basándose en informes creíbles de que se podría intentar liberarlos de su detención en Bukavu.	0
10. Pide además al grupo de trabajo establecido en virtud del párrafo 9 que considere la posibilidad de establecer un fondo internacional para compensar a las víctimas de actos terroristas y a sus familias, que podría financiarse mediante contribuciones voluntarias, que podrían consistir en parte en activos incautados a organizaciones terroristas. , sus miembros y patrocinadores, y presentar sus recomendaciones al Consejo;	0
La secretaría estaba integrada por investigadores criminales, observadores de derechos humanos, asesores jurídicos, un asesor político, un experto en reforma del sector militar, un experto en reforma del sector policial, un oficial de gestión de datos, oficiales de seguridad y otro personal de apoyo administrativo.	0
18. En su decimocuarto informe, el Equipo examinó la amenaza de ataques contra gobiernos regionales y la comunidad internacional provenientes de Al-Shabaab (S/2013/467, párr. 10), la filial de Al-Qaida con base en Somalia en África Oriental.	0
Desde enero, se desmovilizaron 444 combatientes de las FDLR, entre ellos 259 ruandeses y 185 congoleños.	0
"El Consejo de Seguridad alienta a los Estados miembros a desarrollar y mantener un sistema penal nacional eficaz y basado en el estado de derecho con disposiciones para la cooperación penal judicial en materia de extradición y asistencia jurídica mutua, en particular para acelerar, simplificar y dar prioridad a la extradición y la asistencia jurídica mutua. solicitudes en casos relacionados con el terrorismo e implementar las mejores prácticas internacionales y regionales en el campo de la extradición y la asistencia legal mutua, consistentes con el derecho internacional, en particular el derecho internacional de los derechos humanos, el derecho de los refugiados y el derecho humanitario.	1
Destaca en particular la urgente necesidad de proporcionar una mejor protección física a las poblaciones desplazadas, así como a otros grupos vulnerables, en particular las mujeres y los niños. Los esfuerzos deben centrarse en las zonas donde estas poblaciones y grupos corren mayor riesgo.	0
Para determinar si ha llegado el momento de iniciar este proceso, se debe hacer una evaluación amplia de la situación en Kosovo, que vaya mucho más allá de la implementación de normas.	1
89. Hay casos de desapariciones en todos los bandos del conflicto, pero se desconocen las cifras.	0
Alienta a los países que aportan contingentes y fuerzas de policía a que, en consulta con el Secretario General, consideren las medidas que podrían adoptar para aumentar la conciencia y la capacidad de respuesta de su personal que participa en operaciones de mantenimiento de la paz de las Naciones Unidas a fin de proteger a los civiles, incluidos las mujeres y los niños, y prevenir la violencia sexual contra las mujeres y las niñas en situaciones de conflicto y posteriores a los conflictos, incluido, siempre que sea posible, el despliegue de un mayor porcentaje de mujeres en las fuerzas de paz o en la policía.	1
Todo el equipo ha sido clasificado de conformidad con las normas establecidas por la Asamblea General y se ha puesto a disposición de otras misiones de mantenimiento de la paz una lista del equipo excedente.	0
Existe una aceptación casi universal de que los problemas de Afganistán no pueden resolverse únicamente por medios militares.	1
Reconoce que, a pesar de los avances logrados en materia de igualdad de género, es necesario intensificar los esfuerzos, incluidos objetivos mensurables y orientados a la acción, para garantizar los derechos de las mujeres y las niñas y garantizar que todas las mujeres y las niñas en [el país afectado] estén protegidas de la violencia y el abuso, disfrutar de igual protección ante la ley y de igual acceso a la justicia, condena enérgicamente la discriminación y la violencia contra las mujeres y las niñas, en particular la violencia dirigida a impedir que las niñas asistan a la escuela, destaca la importancia de aplicar las resoluciones del Consejo de Seguridad 1325 (2000), 1820 (2008) , 1888 (2009), 1889 (2009) y 1960 (2010), señala los compromisos de integración introducidos en ellos y de garantizar que las mujeres que huyen de la violencia doméstica puedan encontrar un refugio seguro;	1
31. Los Estados y muchos actores internacionales acogieron con agrado la apertura del proceso de revisión integral e instaron al Comité 1540 a continuar con este enfoque y aumentar sus ya útiles esfuerzos para lograr la transparencia y la inclusión.	1
20. A este respecto, es significativo que el Consejo de Seguridad, en su resolución 1963 (2010), aliente a la Dirección Ejecutiva del Comité contra el Terrorismo a examinar con los Estados Miembros, con su consentimiento, el posible desarrollo de medidas nacionales amplias e integradas de lucha contra el terrorismo. estrategias contra el terrorismo que incluyan la atención a los factores que conducen a actividades terroristas, de conformidad con sus obligaciones conforme al derecho internacional. También es pertinente el énfasis puesto por el Consejo en la resolución 1963 (2010) en el papel que las organizaciones regionales y subregionales pueden desempeñar en la lucha contra el terrorismo, en particular mejorando las capacidades de los Estados Miembros para aplicar plenamente la resolución 1373 (2001) y facilitando la prestación de asistencia técnica.	1
:: Examinar cómo una aplicación más eficaz del programa sobre las mujeres, la paz y la seguridad puede contribuir a mejorar la seguridad para todos y a la consolidación de una paz duradera	0
Condenamos en particular cualquier intento de obligar a la UNMIK a adoptar cualquier tipo de denominada cogobernanza, así como cualquier interferencia con los poderes reservados del Representante Especial.	0
Sin embargo, cualquier cambio en los acuerdos tendría que ser mutuamente aceptable y seguir siendo coherente con el principio de que las fuerzas militares deben mantener el status quo durante el alto el fuego y que se debe permitir a los observadores militares de la MINURSO ejercer plena libertad de movimiento, de conformidad con las normas básicas de mantenimiento de la paz. principios.	1
18. La Estrategia Global de las Naciones Unidas contra el Terrorismo exige la promoción del diálogo, la tolerancia y el entendimiento entre civilizaciones, culturas, pueblos y religiones y el establecimiento de programas pertinentes de educación y sensibilización pública.	1
Ordenar a las misiones de mantenimiento de la paz de las Naciones Unidas y otras misiones pertinentes autorizadas por el Consejo de Seguridad que promuevan, en cooperación con los Estados pertinentes, el establecimiento de acuerdos eficaces para investigar y enjuiciar las violaciones del derecho internacional humanitario u otras violaciones graves del derecho de los derechos humanos.	1
Destacando que las sanciones son un instrumento importante en virtud de la Carta de las Naciones Unidas para el mantenimiento y restablecimiento de la paz y la seguridad internacionales, y destacando a este respecto la necesidad de una aplicación firme de las medidas previstas en el párrafo 1 de la presente resolución como instrumento importante para combatir actividad terrorista,	0
▪ Salah Suliman Ayyash, conductor de 33 años de la organización médica Al Ihya en Rif Dimashq, fue asesinado por fuerzas del régimen cuando intentaba entrar en Zibdeen el 27 de noviembre de 2014.	0
Los tres centros de intercambio de información establecidos en Saná, Mombasa (Kenya) y Dar es Salaam (República Unida de Tanzanía) gestionan una red de centros de coordinación en toda la región, incluida Somalia, que proporcionan información sobre las actividades de piratería y los movimientos de los dhows.	0
Esto ha aumentado las posibilidades de emplear embargos de armas como parte de una estrategia eficaz para la consolidación de la paz después de los conflictos.	0
En conclusión, el Alto Comisionado identificó tres pasos como el "camino a seguir" para mejorar la relación de trabajo entre el Consejo de Seguridad y los órganos de derechos humanos de las Naciones Unidas.	1
Destacando la importancia del Acuerdo de Paz de Arusha para la solución pacífica del conflicto en Ruanda y la necesidad de que todas las partes vuelvan a comprometerse a su plena aplicación,	1
a) Colaborar más activamente con las organizaciones internacionales y regionales que participan en la región (incluidas la Organización del Tratado de Seguridad Colectiva (OTSC), la Organización para la Seguridad y la Cooperación en Europa (OSCE), la Estructura Antiterrorista Regional de la Organización de Cooperación de Shanghai y la OSCE. Escuela de Personal de Gestión Fronteriza en Dushanbe (Tayikistán) a fin de centrarse en actividades orientadas a superar las deficiencias y mejorar la aplicación de la resolución 1373 (2001);	0
Deslizándose de un lado a otro a través de estas fronteras hay una población migrante de jóvenes combatientes -guerreros regionales- que ven la guerra principalmente como una oportunidad económica.	0
El tercer y último panel se basó en la premisa de que, si bien la responsabilidad penal individual lleva ante la justicia a los acusados ​​de violaciones y puede tener un efecto disuasorio, en la gran mayoría de los casos no proporciona reparación a las víctimas de las violaciones.	1
Tras las consultas informales, el 14 de septiembre, el Consejo adoptó por unanimidad la resolución 1560 (2004) presentada por la delegación alemana, por la que prorrogó el mandato de la Misión de las Naciones Unidas en Etiopía y Eritrea (MINUEE) hasta el 15 de marzo de 2005, aprobó los ajustes a la MINUEE (incluidas su presencia y operaciones según lo recomendado por el Secretario General en su informe, párrs. 13 a 18), y pidió al Secretario General que siguiera vigilando de cerca la situación y examinando el mandato de la Misión a la luz de los progresos logrados en el proceso de paz y los cambios realizados en la MINUEE.	1
Instó al Líder Supremo a prevenir y reprimir los crímenes de lesa humanidad y a garantizar que los perpetradores sean procesados ​​y llevados ante la justicia.	0
A finales de septiembre, la MINURCAT completó la remodelación de la prisión de Iriba, que mejoró tanto las condiciones de detención de los reclusos como la seguridad de la prisión.	0
El uso de fuerza letal en tales situaciones debe respetar los principios de distinción y proporcionalidad, y las violaciones deben estar sujetas a rendición de cuentas.	0
57. El interés propio de quienes se oponen al establecimiento de un gobierno de buena fe ha sido una constante, y en sus informes anteriores el Grupo de Supervisión ha dejado al descubierto este problema central en Somalia. El problema persiste, y el tema más notorio del presente informe es la tendencia constante a una escalada de violencia potencial en un patrón de protección de intereses creados arraigados.	0
36. También debe subrayarse claramente la responsabilidad política de quienes habían organizado la marcha, a pesar de la prohibición y del clima tenso creado por el trazado de una "zona roja" y la movilización y utilización del ejército y las declaraciones de la más alta autoridad del Estado.	0
El Consejo espera con interés la reunión de seguimiento sobre la aplicación que se celebrará en Puerto Príncipe los días 22 y 23 de septiembre, teniendo en cuenta las prioridades identificadas en el marco de cooperación provisional del Gobierno de Haití.	1
"Armas de destrucción masiva y no proliferación como mejor práctica empresarial", seguido de un ejercicio	0
El Consejo de Seguridad aprobó la resolución 1894 (2009) sobre la protección de los civiles en los conflictos armados, en la que pidió que se priorizara las actividades obligatorias de protección de los civiles en las decisiones sobre la asignación de recursos y capacidad y solicitó la elaboración de un concepto operacional, una planificación para toda la misión y capacitación sobre la protección de los civiles.	1
23. Desde su llegada a Nairobi el 27 de mayo de 2005, mi Representante Especial ha insistido ante los dirigentes de la subregión y otras personas en la necesidad de adoptar un enfoque coordinado hacia los dirigentes somalíes y de instarlos a entablar un diálogo y abstenerse de emprender acciones militares para lograr la resolución. de las diferencias dentro de las instituciones federales de transición. El 10 de junio se reunió en Kampala con el Presidente Yoweri Museveni de Uganda y el 29 de junio mantuvo conversaciones con el Presidente Ismail Omar Guelleh de Djibouti y el Secretario Ejecutivo de la IGAD en Djibouti.	1
Los funcionarios presentaron el punto de vista y las políticas del Gobierno con respecto al conflicto en Darfur.	1
Si bien la amenaza que plantea Al-Qaida como organización terrorista mundial ha disminuido, la amenaza que plantean sus afiliados y sus ideas contagiosas persiste.	0
Muchos de los informes se refieren al secuestro de mujeres.	0
Establecimiento de una Comisión de la Verdad y la Reconciliación en Costa de Marfil, con el apoyo de las Naciones Unidas y teniendo en cuenta las lecciones aprendidas y las mejores prácticas que han surgido en este ámbito en los últimos años;	1
Insta además al Secretario General a tratar de ampliar el papel y la contribución de las mujeres en las operaciones de las Naciones Unidas sobre el terreno, y especialmente entre los observadores militares, la policía civil y el personal humanitario y de derechos humanos.	1
11. Reafirma su resolución 1373 (2001) y en particular sus decisiones de que todos los Estados impedirán y reprimirán la financiación de actos terroristas y se abstendrán de proporcionar cualquier forma de apoyo, activo o pasivo, a entidades o personas involucradas en actos terroristas, incluidos reprimir el reclutamiento de miembros de grupos terroristas y eliminar el suministro de armas a terroristas;	1
Los Estados de la subregión no han indicado los procedimientos o mecanismos utilizados para prevenir y reprimir el movimiento de terroristas a través de las fronteras.	0
30. Las Fuerzas Armadas Sudanesas han redesplegado todas sus fuerzas desde el sur del Sudán, mientras que el redespliegue supervisado y verificado del SPLA sigue siendo del 34,8 por ciento de una dotación declarada de 59.168 efectivos.	0
54. La evidencia anecdótica sugiere que los fondos derivados del pago de rescates y del tráfico de drogas se mueven a través de fronteras a través de mensajeros de efectivo.	0
De hecho, ya es hora de que la comunidad internacional adopte medidas efectivas para proteger y hacer cumplir los derechos más básicos del pueblo palestino y ayudar a poner fin al círculo vicioso de violencia provocado por la persistente y continua ocupación ilegal de los territorios palestinos por parte de Israel. .	0
Recordando la Declaración Presidencial del Consejo de Seguridad (S/PRST/2012/17) de 4 de mayo de 2012 sobre las amenazas a la paz y la seguridad internacionales causadas por actos terroristas,	0
El Consejo de Seguridad toma nota con reconocimiento de las medidas iniciales adoptadas rápidamente por el Gobierno de Rwanda para hacer frente a esta situación y alienta al Gobierno de Rwanda a que siga colaborando con las Naciones Unidas y las organizaciones internacionales pertinentes para asegurar que esos combatientes sean desmovilizados permanentemente y tratados de conformidad con el derecho internacional pertinente, prestando especial atención a los niños y las mujeres entre ellos.	1
Además, la asignación forzosa a un lugar de residencia y empleo designado por el Estado se debe en gran medida a la discriminación basada en el songbun.	0
61. De cara al futuro, hago un llamamiento a las partes en el proceso de paz -- el Gobierno de Malí y los grupos armados representados -- a que aprovechen esta pausa en las negociaciones para demostrar liderazgo político y desarrollar las avenencias necesarias para llegar a un acuerdo en Argel.	1
Ayudan a aumentar la conciencia de la comunidad internacional sobre las cuestiones de lucha contra el terrorismo y proporcionan un foro útil para que los Estados y las organizaciones discutan nuevas amenazas e iniciativas de creación de capacidad para abordar los desafíos relacionados con el terrorismo.	1
1. En su declaración presidencial de 4 de septiembre (PRST/2008/33), el Consejo de Seguridad pidió al Secretario General que identificara y se pusiera en contacto con Estados que pudieran aportar los recursos financieros, el personal, el equipo y los servicios necesarios para una fuerza multinacional para Somalia.	1
Los equipos de seguridad libaneses (policía y ejército) trabajaron en estrecha colaboración con el equipo de seguridad de la Comisión para garantizar la seguridad del personal y las instalaciones.	0
23. El 17 de octubre, el Jefe del Estado Mayor de la Defensa de Nigeria anunció que se había llegado a una cesación de las hostilidades con Boko Haram, tras conversaciones facilitadas por el Gobierno del Chad en Yamena. El 19 de octubre, el Gobierno del Chad afirmó que estaban en curso negociaciones sobre un acuerdo de alto el fuego y la liberación de las escolares secuestradas en Chibok. El 4 de noviembre, el Gobierno Federal de Nigeria anunció que no se había llegado a ningún acuerdo, aunque las conversaciones continuarían.	1
Estos crímenes están sujetos a jurisdicción universal y, al no haber sido perseguidos por la justicia argelina, pueden ser llevados ante cualquier otro tribunal nacional o internacional.	0
La mayoría de los Estados todavía necesitan incorporar los delitos previstos en los instrumentos internacionales de lucha contra el terrorismo en su derecho interno.	0
34. Decide revisar la implementación de las medidas descritas en esta resolución en dieciocho meses y hacer los ajustes necesarios para apoyar la paz y la estabilidad en Afganistán;	1
6. Insta a los Estados y a todas las demás partes en un conflicto armado a que hagan todo lo posible para impedir violaciones del derecho internacional humanitario contra civiles, incluidos periodistas, profesionales de los medios de comunicación y personal asociado;	1
Se recordará que, después de negar primero la acusación como una campaña de calumnia orquestada por sus enemigos, el Sr. Bemba admitió la veracidad de los cargos y prometió procesar a los sospechosos de haber cometido los crímenes.	1
El entorno cambiante en Afganistán plantea interrogantes sobre los grupos de Asia Central que actualmente operan allí, como el Jamaat Ansarullah (no incluido en la lista), la escisión étnica tayika del Movimiento Islámico de Uzbekistán (QE.I.10.01).	0
Destacar en las resoluciones pertinentes la importancia de lograr soluciones duraderas para los refugiados y las personas desplazadas, incluido el retorno voluntario, seguro y digno, y de garantizar su plena participación en la planificación y gestión de estas soluciones.	1
50. En un incidente ocurrido en Yopougon, a las 6.15 horas, mientras los manifestantes intentaban reunirse en la calle, un jeep con hombres uniformados de habla inglesa y sin insignias amenazó con matarlos.	0
45. Reconoce la necesidad de mantener contacto con los comités pertinentes del Consejo de Seguridad de las Naciones Unidas, las organizaciones internacionales y los grupos de expertos, incluido el Comité establecido en virtud de la resolución 1267 (1999), el Comité contra el Terrorismo (CTC), la Oficina de las Naciones Unidas contra la Droga y el Crimen, la Dirección Ejecutiva del Comité contra el Terrorismo (CTED), el Comité establecido en virtud de la resolución 1540 (2004) y el Grupo de Acción Financiera Internacional (GAFI), en particular dada la presencia continua y la influencia negativa de Al-Qaida en el conflicto afgano y cualquier célula, afiliado, grupo escindido o derivado del mismo;	1
