en_es_GOOGLE	VerCoop
Los gobiernos desempeñan el papel principal a la hora de asegurar los arsenales militares o prevenir fugas de los canales oficiales de adquisición.	0
62. Se recomienda una mayor participación de las Naciones Unidas para abordar las causas profundas del conflicto, incluso apoyando iniciativas de gestión de recursos naturales y mecanismos de prevención y resolución de conflictos.	1
Su propósito parecía ser que las fuerzas del MLC/RCD-N fueran de ciudad en ciudad destruyendo todo lo que pudieran conseguir.	0
&quot;El Consejo de Seguridad reconoce la importante labor de las entidades de las Naciones Unidas y otras organizaciones multilaterales en apoyo de los esfuerzos para prevenir y reprimir la financiación del terrorismo y de las organizaciones terroristas, en particular el Grupo de Acción Financiera Internacional y el Grupo de Lucha contra el Blanqueo de Dinero de África Oriental y Meridional. (ESAAMLG), el Grupo de Acción Intergubernamental contra el Lavado de Dinero en África Occidental (GIABA) y el Grupo de Acción Financiera de Oriente Medio y Norte de África para promover la capacidad y la cooperación (MENAFATF).	1
(b) monitorear e informar sobre la situación de los derechos humanos, en cooperación con la Oficina del Alto Comisionado de las Naciones Unidas para los Derechos Humanos, incluida la situación de los refugiados retornados y las personas desplazadas.	0
En respuesta, el Departamento de Justicia de la UNMIK estableció un grupo de trabajo conjunto con el pilar de desarrollo institucional para estudiar el informe y desarrollar formas de implementar sus recomendaciones.	1
&quot;El Consejo de Seguridad destaca que las organizaciones regionales y subregionales desempeñan un papel importante a la hora de abordar el tráfico ilícito de armas pequeñas y ligeras y la necesidad de tener en cuenta en los mandatos de las operaciones de mantenimiento de la paz, cuando corresponda, los instrumentos regionales que permitan a los Estados identificar y rastrear armas pequeñas y ligeras ilegales.	1
Al mismo tiempo, ha habido un resurgimiento de la amenaza de los talibanes.	0
c) movimientos de equipo y suministros militares a la región de Darfur que sean aprobados previamente por el Comité establecido en virtud del párrafo 3 a) de la resolución 1591 (2005) a petición del Gobierno del Sudán;	0
Los lanzamientos de cohetes Qassam desde Gaza siguen, incluso mientras hablamos, dirigidos deliberadamente contra la comunidad civil, apuntando y aterrorizando a civiles inocentes mientras yacen en sus camas, se sientan en sus salas de estar o llevan a sus hijos a la escuela.	0
:: 26 de abril de 2005, las últimas tropas sirias abandonan el Líbano, poniendo fin a una presencia militar de 29 años.	0
El Grupo de Trabajo facilitó y copresidió una conferencia internacional sobre estrategias nacionales y regionales de lucha contra el terrorismo, en la que los participantes identificaron un conjunto de principios que debían tener en cuenta los Estados miembros y las organizaciones regionales al desarrollar sus respectivas estrategias.	1
La labor de organizaciones como la UNESCO, el PNUD y la Alianza de Civilizaciones de las Naciones Unidas que se centran en la prevención de conflictos, la construcción de una cultura de paz, la erradicación de la pobreza y la promoción del desarrollo sostenible y la inclusión social a través de la educación, la cultura y la comunicación en África se ha vuelto fundamental.	0
21. El Presidente, junto con los Presidentes del Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001) relativa a la lucha contra el terrorismo y el Comité del Consejo de Seguridad establecido en virtud de la resolución 1540 (2004), ofrecieron dos exposiciones informativas conjuntas al Consejo en 2013.	1
Afirmando su apoyo a los tratados multilaterales cuyo objetivo es eliminar o prevenir la proliferación de armas nucleares, químicas o biológicas y la importancia de que todos los Estados partes en esos tratados los apliquen plenamente a fin de promover la estabilidad internacional,	1
&quot;El Consejo de Seguridad espera con interés el informe del Panel de Alto Nivel sobre la coherencia en todo el sistema de las Naciones Unidas en las áreas de desarrollo, asistencia humanitaria y medio ambiente y espera que contribuya a garantizar un enfoque coordinado de las Naciones Unidas respecto de las mujeres y Paz y Seguridad.	1
Si los residentes intentan abandonar la sitiada Ghouta oriental, los francotiradores del régimen sirio los atacan directamente, lo que provoca cada mes la muerte de decenas de civiles.	0
Si bien ninguna de las partes parece dispuesta a volver a la guerra, existe un patrón preocupante de escalada y desestabilización que podría conducir a una confrontación a gran escala y poner en riesgo más vidas civiles.	0
La investigación técnica concluyó, entre otras cosas, que los daños observados en la parte delantera del avión parecían indicar que el avión había sido penetrado por un gran número de objetos de alta energía procedentes del exterior.	0
Durante este período llevó a cabo investigaciones en lugares específicos, como campamentos de desplazados internos y aldeas destruidas, así como con contactos del ELS y funcionarios gubernamentales.	0
La comunidad internacional ha investigado adecuadamente algunos casos destacados relacionados con la delincuencia organizada, incluido el tráfico de personas y de drogas, y los autores han comparecido ante la justicia.	0
La experiencia en materia de aplicación de la ley se concentrará en un grupo de trabajo autónomo y dedicado.	0
Además, un equipo móvil visita las comunidades más remotas, especialmente las comunidades minoritarias, que tal vez no tengan fácil acceso a los centros de recursos.	1
Esto no afectaría la conclusión de la Comisión de que el Gobierno del Sudán no ha aplicado una política de genocidio en Darfur.	1
&quot;El Consejo de Seguridad está especialmente preocupado por los ataques contra los trabajadores humanitarios, en violación de las normas del derecho internacional.	0
7. Exhorta a todos los Estados a actuar estrictamente de conformidad con las disposiciones de esta resolución, sin perjuicio de la existencia de cualesquiera derechos u obligaciones conferidos o impuestos por cualquier acuerdo internacional o cualquier contrato celebrado o cualquier licencia o permiso concedido antes de la fecha de su llegada. en vigor de las medidas impuestas por el párrafo 4 anterior;	1
Instamos a todos los Estados Miembros a que adopten medidas inmediatas para cumplir con la obligación contenida en la resolución 2036 (2012) de prohibir el comercio de carbón vegetal somalí, en particular por parte de quienes son más activos en ese comercio.	0
39. Para ello, los Jefes de Estado y de Gobierno coinciden en la necesidad de revisar los textos legales vigentes, en particular el Protocolo relativo al Mecanismo de Prevención, Gestión, Resolución, Mantenimiento de la Paz y Seguridad de Conflictos, y el Protocolo Suplementario sobre Democracia y Buen Gobierno, con el fin de reflejar las mejores prácticas respecto de los mandatos presidenciales.	1
f) cooperar con otros Comités de Sanciones pertinentes del Consejo de Seguridad y con el Comité establecido de conformidad con el párrafo 6 de su resolución 1373 (2001);	1
Además, el Consejo reafirma su llamado a una mayor incorporación de la perspectiva de género en todas las operaciones de mantenimiento de la paz y acoge con agrado las políticas de las operaciones de mantenimiento de la paz de las Naciones Unidas para promover y proteger los derechos de las mujeres y tener en cuenta una perspectiva de género como se establece en la resolución 1325 (2000).	1
En ese contexto, reiteramos nuestra repetida afirmación de que la mayor amenaza a la investigación reside en el hecho de que ciertas partes dentro y fuera de nuestra región la están explotando para politizar conclusiones que no tienen ninguna relación con la investigación y que no se basan en bases firmes. evidencia.	0
La mayoría de los Estados han promulgado leyes que establecen autoridades nacionales de seguridad de la aviación y aplican normas de seguridad de la aviación, pero pocos han proporcionado información sobre la implementación de los anexos pertinentes del Convenio sobre Aviación Civil Internacional.	0
Además, se supo que la escena del crimen había sido perturbada en varias ocasiones.	0
La presencia de elementos extremistas y sus presuntas actividades también han sido motivo de preocupación.	0
La Comisión recibió información creíble de que operadores de inteligencia militar o de seguridad se llevaron a varias personas.	1
e) La reunión inaugural del Grupo de Contacto Internacional sobre Libia, que se celebrará en Addis Abeba el 3 de diciembre de 2014. Apoyaron los esfuerzos realizados por los países vecinos y el Representante Especial del Secretario General para Libia para crear condiciones propicias para el diálogo entre todas las partes libias, con excepción de los grupos terroristas conocidos.	1
Por ejemplo, la identificación sensible de la población es un proceso a largo plazo que continuará más allá de las elecciones, al igual que la reintegración de los excombatientes, la reforma del sector de seguridad, la solución de las cuestiones de tenencia de la tierra, la promoción de una buena gobernanza económica, la protección de los derechos humanos, la solución de los problemas heridas del conflicto y abordar las causas profundas de la crisis.	0
6. La Dirección Ejecutiva mejorará su cooperación con los órganos pertinentes de las Naciones Unidas, incluido el Equipo de Vigilancia del Comité del Consejo de Seguridad establecido en virtud de la resolución 1267 (1999) y el Grupo de Expertos del Comité del Consejo de Seguridad establecido en virtud de la resolución 1540 (2004). , así como con diversas organizaciones internacionales, regionales y subregionales, incluso en el contexto de las visitas del Comité a los Estados Miembros.	1
9. A esto siguieron las conversaciones de Mwanza del 14 de mayo de 2000 entre los Presidentes de Ruanda y Uganda, quienes también acordaron la desmilitarización.	1
Mientras la Coalición Nacional Siria trabaja para aliviar el sufrimiento del pueblo sirio, también trabajamos para poner fin al conflicto que es la causa de dicho sufrimiento.	0
[D]estaca la necesidad de implementar el Programa de Acción de las Naciones Unidas para prevenir, combatir y eliminar el tráfico ilícito de armas pequeñas y ligeras en todos sus aspectos y el instrumento internacional que permita a los Estados identificar y rastrear, de manera oportuna, armas pequeñas y ligeras ilícitas, a fin de lograr avances reales en la prevención, la lucha y la erradicación del tráfico ilícito de armas pequeñas y ligeras.	1
Tomar nota de la información de la secretaría con respecto a la auditoría realizada por la Oficina de Servicios de Supervisión Interna de los pagos de indemnizaciones, las reclamaciones tardías palestinas de categoría D y las actividades de liquidación, el texto propuesto de la sección sobre la Comisión de Indemnización que se incluirá en el informe anual de 2005 informe de la Oficina de Servicios de Supervisión Interna, la participación del coordinador designado por esa Oficina en el ejercicio que lleva a cabo la secretaría para identificar posibles reclamaciones duplicadas en las categorías A y C, la solicitud de comentarios de la Junta de Auditores de las Naciones Unidas sobre su proyecto de observaciones respecto de sus visitas a Jordania y Kuwait en relación con los pagos, la solicitud de la Junta de comentarios en respuesta a su proyecto de informe sobre el estado de la aplicación de las recomendaciones derivadas de su auditoría de los estados financieros de la Comisión para el bienio 2002-2003, y las comunicaciones que la Comisión ha tenido con el Comité de Investigación Independiente; solicitar que la secretaría proporcione información actualizada sobre esta cuestión en una futura reunión informal del Consejo de Gobernadores; y mantener esta cuestión en el orden del día del Consejo de Gobernadores.	0
Sin embargo, si bien las medidas pueden tener una aplicación limitada en la zona fronteriza entre Afganistán y Pakistán o en las zonas no gobernadas del sur del Sahara, abordan tres requisitos esenciales de un grupo terrorista: dinero, movimiento y medios para atacar.	0
8. La Comisión iniciará sus actividades en la fecha que determinará el Secretario General, que será comunicada oficialmente al Gobierno de Pakistán.	1
79. Es necesario realizar más esfuerzos concertados para poner fin a las continuas violaciones graves de los derechos humanos cometidas por grupos armados y las FARDC contra civiles en Ituri, los Kivus y el centro y norte de Katanga, que están socavando gravemente los esfuerzos por estabilizar esas zonas y afectando a la organización de elecciones.	1
Las operaciones de estos grupos también apoyaron los esfuerzos de los talibanes afganos por desestabilizar Afganistán.	0
Insta a los Estados Miembros a garantizar una mayor representación de las mujeres en todos los niveles de toma de decisiones en las instituciones y mecanismos nacionales, regionales e internacionales para la prevención, gestión y resolución de conflictos.	1
Creemos, sin embargo, que una retirada abrupta sería contraproducente y crearía un vacío sin precedentes, sobre todo teniendo en cuenta que aún no se han creado del todo las condiciones propicias para las esperadas inversiones a gran escala y el desarrollo sostenible.	0
Los miembros del Consejo acogieron con beneplácito los programas de capacitación organizados por el Representante del Secretario General y la BONUCA para familiarizar a la policía y las fuerzas armadas de la República Centroafricana con formas de fomentar el respeto de los derechos humanos y el derecho internacional humanitario.	1
Las dos partes acordaron continuar su diálogo con miras a fortalecer sus relaciones bilaterales de tal manera que lleguen a establecer representaciones diplomáticas mutuas.	1
&quot;El Consejo de Seguridad destaca la relevancia de las recomendaciones del Grupo de Acción Financiera Internacional (GAFI) en apoyo de la implementación de las resoluciones 2170 (2014) y 2178 (2014), incluida su recomendación a los Estados de implementar sistemas de declaración/divulgación de efectivo tanto para el transporte entrante como saliente de moneda extranjera y otras medidas para hacer frente a la amenaza de que algunos combatientes y facilitadores terroristas extranjeros estén actuando como mensajeros de dinero en efectivo para organizaciones terroristas.	1
El tratado que creó la Corte, el Estatuto de Roma, entró en vigor el 1 de julio de 2002.	0
Si bien se espera que las medidas descritas en este informe mejoren la capacidad de la Misión para monitorear el cumplimiento del acuerdo, sigue siendo responsabilidad de las partes garantizar que sus fuerzas militares y de seguridad no cometan violaciones.	1
Anunció que el Secretario General había recibido la solicitud de admisión de Timor Oriental como Miembro de las Naciones Unidas y esperaba con interés que el Consejo la examinara.	1
Estos incluyen el derecho a la vida; la prohibición de la tortura o penas crueles, inhumanas o degradantes; la prohibición de la esclavitud, la trata de esclavos y la servidumbre; y la libertad de pensamiento, de conciencia y de religión.	0
Finalmente, la sesión subrayó la necesidad de estar abiertos al establecimiento de mecanismos innovadores y trabajar hacia el establecimiento de sistemas integrales y que se refuercen mutuamente que vinculen a la CPI, cualquier posible tribunal híbrido futuro y órganos nacionales, así como los procesos penales y los programas de reparación.	1
46. Desde que terminó el último mandato, a mediados de marzo de 2005, la relación entre el GFT y la oposición ha empeorado gravemente, lo que hace muy probable que se produzca un grave enfrentamiento militar entre ambos.	0
96. Los Estados de la subregión de Asia occidental han sufrido un gran número de ataques terroristas. Han adoptado importantes medidas correctivas, incluido el fortalecimiento de su legislación antiterrorista.	0
A pesar de la decisión adoptada en 2006 por el Diálogo Nacional, y confirmada en reuniones posteriores del Diálogo Nacional, no se lograron avances con respecto al desmantelamiento de las bases militares del FPLP-GC y Fatah al-Intifada en el país, con sede en Damasco.	1
25. Solicita a todos los Estados Miembros, pero en particular al Gobierno del Afganistán, que informen al Comité si tienen conocimiento de cualquier información que indique que una persona, grupo, empresa o entidad que ha sido suprimida de la lista debería ser considerada para su designación en virtud del párrafo 1 de esta resolución. , y solicita además que el Gobierno del Afganistán presente al Comité un informe anual sobre la situación de las personas presuntamente reconciliadas que han sido eliminadas de la lista por el Comité el año anterior;	1
Destaca la importancia de desarrollar la capacidad de una policía nacional eficaz y profesional en Haití.	0
Destaca la necesidad de un compromiso sin reservas con el proceso de integración de las fuerzas armadas, en el espíritu del Acuerdo Global e Inclusivo.	1
Las líneas divisorias entre subdesarrollo, inestabilidad, fragilidad, crisis, conflicto y guerra se están volviendo cada vez más borrosas; Por lo tanto, la prevención y la resolución de conflictos y la consolidación de la paz contemporáneas requieren respuestas multidimensionales.	1
El equipo de las Naciones Unidas en el país participa actualmente en un diálogo para revisar el plan de acción, incluidos 168 proyectos, y para institucionalizar aún más la planificación del desarrollo, incluidos los enfoques comunitarios como mecanismo de reconciliación y coexistencia pacífica y la programación de reducción de conflictos dirigida por el PNUD.	1
Llamó al jefe interino de la policía de Beirut, general Naji Mulaeb, y le informó sobre la llamada del Sr. Nammar y le pidió que consultara con el juez Mezher si estaba al tanto de esta decisión.	1
Un total de 12 Estados han adoptado medidas para regular la producción, venta y transferencia de armas y explosivos, aunque sólo dos las han aplicado plenamente.	0
269. La Comisión ha tenido acceso a un gran número de informes de diversas fuentes que documentan grandes matanzas de civiles en todo Darfur, desde principios de 2003 hasta el momento de la publicación de este informe.	0
El Consejo subraya su voluntad de tomar medidas contra cualquier parte que intente socavar el proceso de paz, incluso no respetando dicho cese de hostilidades o impidiendo las conversaciones, el mantenimiento de la paz o la ayuda humanitaria.	0
a) Garantizar la protección efectiva de los civiles, incluido el personal humanitario y los defensores de los derechos humanos, bajo amenaza inminente de violencia física, en particular la violencia proveniente de cualquiera de las partes involucradas en el conflicto;	1
Acogiendo con beneplácito los resultados de la Jirga Consultiva de Paz celebrada el 6 de junio de 2010, en la que participaron 1.600 delegados afganos, que representaban una amplia muestra representativa de todos los grupos étnicos y religiosos afganos, funcionarios gubernamentales, eruditos religiosos, líderes tribales, la sociedad civil y refugiados afganos residentes en Irán y Pakistán, discutieron el fin de la inseguridad y desarrollaron un plan para una paz duradera en el país,	1
1. Decide prorrogar hasta el 31 de diciembre de 2009 las disposiciones establecidas en el párrafo 20 de la resolución 1483 (2003) para el depósito en el Fondo de Desarrollo para el Iraq del producto de las ventas de exportación de petróleo, productos del petróleo y gas natural y las disposiciones mencionadas en el párrafo 12 de la resolución 1483 (2003) y el párrafo 24 de la resolución 1546 (2004) para la supervisión del Fondo de Desarrollo para el Iraq por la Junta Internacional de Asesoramiento y Supervisión y decide además que, con sujeción a la excepción prevista en el párrafo 27 de la resolución 1546 ( 2004), las disposiciones del párrafo 22 de la resolución 1483 (2003) seguirán aplicándose hasta esa fecha, incluso con respecto a los fondos y activos financieros y recursos económicos descritos en el párrafo 23 de esa resolución;	0
77. El Equipo cree que, como mínimo, todos los Estados deberían garantizar que los comerciantes de metales y piedras preciosas adopten medidas para prevenir el lavado de dinero y la financiación del terrorismo de conformidad con los requisitos del GAFI.	0
Para preservar la soberanía y la independencia de los Estados y mantener la seguridad, la paz y la estabilidad internacionales, Siria insta a las Naciones Unidas y a sus órganos encargados de la lucha contra el terrorismo y su financiación, incluido el Consejo de Seguridad y su comité subsidiario especializado, como así como al Consejo de Derechos Humanos, para negar a los terroristas y a quienes los apoyan cualquier cobertura para sus prácticas destructivas.	1
76. Todas las partes en el conflicto (el Gobierno del Sudán, el SLA y el JEM) han reconocido que se trata de un conflicto armado interno.	0
La relación entre Al-Qaida y los talibanes parece estrecha. En su mensaje de vídeo del 19 de septiembre de 2007, Al-Zawahiri* se refirió una vez más al mulá Omar (TI. O.4.01) como líder supremo, y aunque los talibanes siempre pueden reclutar más soldados de infantería, carecen de comandantes experimentados para reemplazar a los muchos que han sido asesinados y han recurrido a Al-Qaida no sólo para recibir capacitación, sino también para llenar los vacíos.	0
Condenar el tráfico ilícito de armas pequeñas y ligeras	0
:: Es necesario un seguimiento más coherente de las conclusiones y recomendaciones de los mecanismos de investigación para garantizar su eficacia y credibilidad y satisfacer las expectativas que suscita su establecimiento, especialmente entre las víctimas.	1
k) Proporcionar entrenamiento militar, incluso en el ámbito de los derechos humanos, el derecho internacional humanitario, la protección de los niños y la prevención de la violencia de género, a diversos miembros y unidades de las brigadas integradas de las FARDC desplegadas en la parte oriental de la República Democrática de el Congo, como parte de esfuerzos internacionales más amplios para apoyar la reforma del sector de la seguridad;	0
Las partes informaron a sus respectivos electores, incluidos los refugiados malienses que residen en Mauritania y el Níger, sobre el contenido del documento.	1
El impacto negativo de la situación en Libia seguirá aumentando, planteando una amenaza sostenida a la paz y la estabilidad en la región. China expresa su grave preocupación a este respecto.	0
De conformidad con el artículo 3 común a los cuatro Convenios de Ginebra, el derecho internacional humanitario es aplicable también en conflictos armados de carácter no internacional.	0
El Teniente General Ahmed recordó al Consejo que los comandantes de las fuerzas están al mando de más de 90.000 soldados de un total de 105.000 uniformados y que es probable que esta cifra aumente en el próximo período.	0
4. Tras la aprobación de la resolución 1595 (2005), se llevaron a cabo consultas intensivas sobre el establecimiento de la Comisión, su dotación de personal y su apoyo logístico. El 26 de mayo de 2005 llegó a Beirut un pequeño equipo de avanzada encabezado por el Comisario Detlev Mehlis.	1
&quot;El Consejo de Seguridad sigue profundamente preocupado por las devastadoras consecuencias humanitarias, políticas y económicas de los conflictos armados; y destaca los imperativos políticos y morales primordiales de prevenir el estallido y la escalada de conflictos armados y crisis humanitarias, y los beneficios que ello reporta para la paz y el desarrollo y relaciones amistosas entre todos los Estados.	0
Eso hace que la retórica irresponsable y amenazante proveniente de los dirigentes iraníes sea aún más alarmante.	0
40. También hago un llamado a los dirigentes de Hizbullah para que pongan fin a todos los esfuerzos por adquirir armas y desarrollar capacidades paramilitares fuera de la autoridad del Estado.	0
La prohibición de los actos de violencia contra la vida y las personas, en particular el asesinato, las mutilaciones, los tratos crueles y la tortura; desapariciones forzadas; atentados a la dignidad personal; violación, esclavitud sexual, prostitución forzada, embarazo forzado, esterilización forzada y cualquier otra forma de violencia sexual.	0
- destaca la importancia de un nivel adecuado de conocimientos militares para las decisiones del Consejo de Seguridad;	1
57. Sin embargo, el hecho es que la financiación del terrorismo no sigue un patrón claro, particularmente para las células locales que están recaudando dinero para apoyar sus propias actividades.	0
En la mayoría de los casos de ataques terrestres, los hombres fueron el objetivo directo para matarlos y, en algunos casos, hay pruebas de que los perpetradores intentaron salvar la vida de las mujeres.	0
22. Después de observar los movimientos de los desplazados internos hacia Kosovo y hablar con personas de etnia albanesa en el sur de Serbia, el ACNUR informó que los desplazados internos habían huido por miedo a quedar atrapados entre las líneas de fuego y por la preocupación general por la acumulación de de las fuerzas policiales y militares en el valle de Presevo.	0
Se pronunciaron discursos de apertura en nombre del Ministerio Federal de Relaciones Exteriores de Alemania, el Presidente del Comité establecido en virtud de la resolución 1540 (2004), la Oficina de Asuntos de Desarme de la Secretaría de las Naciones Unidas, la Comisión Europea, el Departamento de Estado de los Estados Unidos y la Oficina Federal de Asuntos Económicos y Control de Exportaciones.	1
s) La prohibición de los castigos colectivos;	0
&quot;El Consejo de Seguridad exhorta a las partes a que se abstengan de utilizar la fuerza y solucionen sus desacuerdos por medios pacíficos, normalicen sus relaciones, promuevan la estabilidad entre ellas y sienten las bases para una paz sostenible en la región.	1
Ordenar a las misiones de mantenimiento de la paz y otras misiones pertinentes autorizadas por el Consejo de Seguridad que promuevan el establecimiento de mecanismos de seguimiento de los medios para garantizar un seguimiento, presentación de informes y documentación eficaces de cualquier incidente, origen y contenido que incite a los &quot;medios de odio&quot;.	1
Como lo expresó acertadamente la Sala de Apelaciones del Tribunal Internacional para la ex Yugoslavia en Krstić (apelación), &quot;el genocidio es uno de los peores crímenes conocidos por la humanidad, y su gravedad se refleja en los estrictos requisitos de una intención específica.	1
En respuesta a la pandemia de influenza A (H1N1), desde mediados de 2009 hasta agosto de 2010, el Ministerio de Salud, con el apoyo de la OMS, elaboró planes de preparación para una pandemia, incluida la mejora de sus sistemas de vigilancia; obtuvo tabletas de Tamiflu; instaló un ventilador en el hospital nacional; y llevó a cabo una serie de sesiones de capacitación para trabajadores de la salud.	0
Pueden entrenar reclutas, innovar en su planificación de ataques y llevar a cabo ataques. Lashkar-e-Tayyiba (QE.L.118.05) sigue impartiendo entrenamiento terrorista avanzado, incluso sobre artefactos explosivos improvisados. Al-Qaida en la Península Arábiga (AQAP) (QE.A.129.10) sigue siendo una fuente importante de innovación tecnológica.	0
Este participante agregó que el papel de los coordinadores políticos había cambiado dramáticamente en los últimos 10 años, convirtiéndose en una parte más formalizada e institucionalizada de cada delegación.	1
13. Alienta al Gobierno de Burundi a proseguir sus esfuerzos por ampliar el respeto y la protección de los derechos humanos, incluso mediante el establecimiento de una Comisión Nacional Independiente de Derechos Humanos, teniendo presentes los Principios de París esbozados en la resolución 48/134 de la Asamblea General y alienta además que ponga fin a la impunidad y adopte las medidas necesarias para garantizar que sus ciudadanos disfruten plenamente de sus derechos civiles, políticos, sociales, económicos y culturales, sin miedo ni intimidación, consagrados en la Constitución de Burundi y previstos en los instrumentos internacionales de derechos humanos, incluidos los ratificado por Burundi;	1
Condenar y pedir el cese inmediato de todos los actos de violencia o abusos cometidos contra civiles en violación del derecho internacional humanitario y de los derechos humanos aplicables.	0
Los Estados de la subregión están atentos a su vulnerabilidad al tráfico de armas y han desarrollado marcos legislativos para tipificar como delito el tráfico ilícito y controlar la producción, venta y transferencia de armas y explosivos.	0
El Comité también respalda la recomendación de dirigir las solicitudes de información más precisamente a los Estados donde una persona o entidad incluida en la lista opera o intenta operar, sin imponer a esos Estados una carga de presentación de informes demasiado pesada.	1
El informe de la misión de evaluación cita una creciente preocupación por los impactos humanitarios y económicos que la crisis ha tenido en la región del Sahel.	0
:: Aplicar una estrategia de comunicaciones más proactiva con miras a mejorar la comprensión del papel del Comité y de la Dirección Ejecutiva en la esfera de la lucha contra el terrorismo.	1
La ausencia de tales directrices, incluida la determinación de criterios para la selección de casos para su investigación y enjuiciamiento, dejó a los comités sin orientación sobre los métodos adecuados para investigar crímenes que constituían violaciones graves de los derechos humanos.	0
Las disposiciones de la Ley núm. 656/2002 para prevenir y combatir el blanqueo de capitales coinciden con los de la Directiva n. 2001/97/CE del Parlamento Europeo y del Consejo Europeo, de 4 de diciembre de 2001, por la que se modifica la Directiva del Consejo Europeo núm. 91/308/CEE sobre prevención del uso del sistema financiero con fines de blanqueo de capitales.	1
Exhortar a las partes en conflictos armados a proteger las misiones de mantenimiento de la paz de las Naciones Unidas y otras misiones pertinentes autorizadas por el Consejo de Seguridad, así como a las organizaciones humanitarias, de los efectos de las minas y los REG y a poner a disposición información sobre la ubicación de las minas y los REG de la que tengan conocimiento. en el territorio donde la misión/organizaciones están o estarán operando.	1
2. Decide que la Dirección Ejecutiva seguirá funcionando como misión política especial bajo la orientación normativa del Comité durante el período que finalizará el 31 de diciembre de 2017 y decide además realizar un examen provisional antes del 31 de diciembre de 2015;	0
El Secretario General advierte de forma inequívoca que hasta ahora ninguna de las ocho normas se ha cumplido íntegramente.	0
He condenado el ataque terrorista contra la embajada de la India en Kabul.	0
Estoy dispuesto a trabajar estrechamente con el Consejo de Seguridad, colectivamente, y con las partes interesadas clave, individualmente, para poner fin a esta peligrosa crisis, concluir rápidamente el proceso de paz y restablecer actividades humanitarias vitales en Eritrea.	1
En la 5764ª sesión del Consejo de Seguridad, celebrada el 22 de octubre de 2007, en relación con el examen por el Consejo del tema titulado &quot;Amenazas a la paz y la seguridad internacionales causadas por actos terroristas&quot;, el Presidente del Consejo de Seguridad formuló la siguiente declaración en nombre del Consejo:	1
Sin embargo, en su opinión -y otro orador coincidió- las iniciativas del Consejo deberían ir más allá de la coherencia de sus propios órganos subsidiarios y apuntar a la coherencia de todo el sistema dentro de las Naciones Unidas cuando estuvieran en juego cuestiones importantes, como la lucha contra el terrorismo.	1
En su resolución 2154 (2014), aprobada el 8 de mayo de 2014, el Consejo de Seguridad observó con profundo reconocimiento cómo el Capitán Mbaye Diagne, de la Misión de Asistencia de las Naciones Unidas para Ruanda y el Senegal, salvó, desarmados y frente a un peligro extremo, a cientos de personas, o tal vez incluso mil ruandeses de la muerte durante el genocidio de 1994.	1
La Comisión también reconoce la necesidad de abordar la disponibilidad de recursos para las personas que han sufrido como resultado de los acontecimientos de abril y mayo.	1
