en_es_DEEPL	MatCoop
[Subrayando... la urgencia de llevar a cabo una reforma global del sector de la seguridad y de lograr, según proceda, el desarme, la desmovilización y la reintegración (DDR) de los grupos armados [nacionales], así como el desarme, la desmovilización, la repatriación, el reasentamiento y la reintegración (DDRRR) de los grupos armados extranjeros para la estabilización a largo plazo del [país afectado], teniendo en cuenta la necesidad de crear las condiciones de seguridad necesarias para garantizar un desarrollo económico sostenible, y destacando la importancia de la contribución de los socios internacionales en estos ámbitos.	1
Se trata de un avance esencial, en la medida en que la responsabilidad de la aplicación se delega en el nivel en el que se prestan los servicios policiales, lo que a su vez maximiza el principio de apropiación local.	1
Los muertos están enterrados en ocho fosas múltiples en la zona del mercado del pueblo.	0
288. Una forma en que los Estados podrían tener más en cuenta todas estas cuestiones es incorporándolas a estrategias nacionales globales e integradas de lucha contra el terrorismo que incluyan la atención a los factores que conducen a las actividades terroristas.	1
Al parecer, el grupo mantiene fuertes vínculos con Al Qaeda en la Península Arábiga y ha proporcionado adiestramiento en Somalia a terroristas individuales procedentes de Nigeria y de países más próximos a sus fronteras.	0
114. Cuatro de los ocho Estados de Asia Meridional han promulgado leyes que tipifican como delito el reclutamiento para el terrorismo y prohíben el uso de sus territorios para cometer o preparar actos terroristas contra otros Estados o sus ciudadanos.	0
Además, cuatro Estados han introducido legislación que tipifica como delito la provisión de refugio seguro a terroristas y a quienes les apoyan por parte de individuos u organizaciones.	1
Espero que este paso positivo contribuya a crear una atmósfera propicia para poner fin al actual punto muerto y allanar el camino hacia el tan esperado avance hacia una solución política justa, duradera y mutuamente aceptable del conflicto.	1
Alienta [a la misión] a que, en consonancia con su mandato, y dentro de los niveles autorizados de policía civil, prosiga sus esfuerzos para ayudar a las partes en el [acuerdo de paz] a promover el Estado de Derecho, reestructurar los servicios policiales y penitenciarios en todo [el país afectado], en particular en el sur debido a la falta de desarrollo de los servicios policiales, y prestar asistencia en la formación de agentes de policía civil y penitenciarios;	1
Desde el comienzo del estancamiento político tras las elecciones del 29 de marzo, el Secretario General ha expresado su preocupación por el proceso y la violencia por motivos políticos.	0
El capítulo III de la Ley nº 535/2004 está dedicado a las medidas necesarias para impedir la financiación de actos terroristas.	1
En consecuencia, las transacciones sospechosas de financiar actos terroristas se someterán al mismo sistema de notificación y suspensión que las sospechosas de blanqueo de capitales.	1
49. Sigue habiendo muchos retos en la lucha contra la impunidad, sobre todo en vista de la limitada capacidad de las autoridades judiciales civiles y militares para llevar a cabo investigaciones independientes y exhaustivas y proporcionar protección a víctimas y testigos.	0
El 21 de diciembre, el Consejo, en sesión pública, escuchó una exposición del Presidente del Comité establecido en virtud de la resolución 1737 (2006) y Representante Permanente de Colombia, Néstor Osorio, sobre la labor del Comité del 1 de septiembre al 18 de diciembre de 2011.	0
... señalando la importancia de llevar a cabo revisiones continuas de tácticas y procedimientos y revisiones e investigaciones posteriores a la acción en cooperación con el ... Gobierno en los casos en que se hayan producido víctimas civiles y cuando el ... El Gobierno considera apropiadas estas investigaciones conjuntas, así como la continuación de la cooperación con las [fuerzas de seguridad nacionales] con miras a una mayor institucionalización de la protección de los civiles, especialmente las mujeres y las niñas,	1
Subrayar en las resoluciones pertinentes la importancia de lograr soluciones duraderas para los refugiados y las personas desplazadas, incluido el retorno voluntario, seguro y digno, y de garantizar su plena participación en la planificación y gestión de estas soluciones.	0
Dado que algunas tribus no tenían tierras tradicionales asignadas, y con el creciente conflicto por los recursos naturales, se produjo un intento sistemático de desalojar de sus tierras a las tribus consideradas "no salvacionistas".	0
"El Consejo subraya la utilidad de seguir desarrollando asociaciones eficaces entre las Naciones Unidas y las organizaciones regionales y subregionales pertinentes, a fin de posibilitar respuestas tempranas a las controversias y crisis incipientes y reforzar el papel de las Naciones Unidas en la prevención de conflictos.	1
No obstante, el régimen sigue sufriendo reveses en los tribunales, aunque antes de que el Comité pudiera demostrar la eficacia del proceso del Defensor del Pueblo.	0
66. La misión preguntó a los jefes militares del Gobierno si se había procesado a alguien por excesos.	0
Se han creado en respuesta a denuncias de violaciones del derecho internacional de los derechos humanos y del derecho humanitario en contextos de conflicto, así como en situaciones de altos niveles de violencia, a menudo pero no exclusivamente relacionadas con procesos electorales o políticos, que implican graves violaciones del derecho de los derechos humanos.	0
"El Consejo de Seguridad acoge con satisfacción a este respecto las medidas adoptadas hasta la fecha por los signatarios y garantes del Marco del CPS, incluida la convocatoria de la primera reunión `11+4' del Mecanismo Regional de Supervisión del Marco del CPS en Addis Abeba el 26 de mayo de 2013 y las dos primeras reuniones del Comité de Apoyo Técnico en Nairobi el 24 de junio y el 22 de julio de 2013, que tenían por objeto avanzar en el establecimiento de puntos de referencia para evaluar la aplicación del Marco del CPS por todos los signatarios.	0
Todos los Estados han adoptado alguna medida para regular la producción, venta y transferencia de armas y explosivos.	1
Reconociendo el importante papel que desempeñan los acuerdos regionales y subregionales en la prevención y respuesta a situaciones que puedan conducir al genocidio, crímenes de guerra y crímenes contra la humanidad, especialmente teniendo en cuenta el artículo 4(h) del Acta Constitutiva de la Unión Africana,	1
32. Las actividades de Landmine Action también incluyen la formación de residentes para reconocer artefactos explosivos.	1
Túnez y la Jamahiriya Árabe Libia han ampliado (en 2009 y 2010, respectivamente) las obligaciones en materia de diligencia debida con respecto al cliente, mantenimiento de registros y notificación de operaciones sospechosas a otras empresas y profesiones no financieras designadas, ampliando así el alcance de las obligaciones contra el blanqueo de capitales y la financiación del terrorismo.	1
En dicha Decisión, y aunque los miembros de las fuerzas de la Coalición Aliada estaban expresamente excluidos de la jurisdicción de la UNCC, se permitió la indemnización de las reclamaciones de prisioneros de guerra por parte de las tropas de la Coalición Aliada por pérdidas o lesiones resultantes de malos tratos en violación del derecho internacional humanitario.	1
El Grupo de Expertos recomendó, entre otras cosas, el establecimiento de un mecanismo internacional independiente con funciones concurrentes para supervisar el proceso nacional de rendición de cuentas y llevar a cabo investigaciones independientes.	0
Así pues, la mayoría de las violaciones de derechos humanos que se produjeron esos dos días pueden calificarse de masacre en la que se cometieron reiteradamente ejecuciones sumarias, torturas, desapariciones y detenciones arbitrarias por parte de unidades de las fuerzas de seguridad y de las fuerzas paralelas que actuaron en coordinación o en connivencia con ellas.	0
91. Los actos de tortura están prohibidos por numerosos convenios, como el artículo 7 del Pacto Internacional de Derechos Civiles y Políticos, el artículo 2 de la Convención contra la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes y el artículo 5 de la Carta Africana de Derechos Humanos y de los Pueblos.	1
248. Muchos de los ataques terrestres y aéreos contra aldeas provocaron la muerte indiscriminada de civiles.	0
27. Ofrecer alternativas sostenibles a los antiguos combatientes es una parte esencial de la neutralización de los grupos armados.	1
Dado que las categorías de crímenes internacionales han sido enumeradas en otras partes del informe, puede ser suficiente recordar aquí brevemente los diversos modos de participación en crímenes internacionales que dan lugar a responsabilidad penal individual.	0
Un agente de la UNPOL le preguntó si había resultado herido y le dijeron que un amigo del Sr. Amaral acababa de ser asesinado por la PNTL.	0
5. La Dirección Ejecutiva seguirá intensificando su cooperación con los órganos pertinentes de las Naciones Unidas, incluidos el Equipo de Vigilancia del Comité del Consejo de Seguridad establecido en virtud de la resolución 1267 (1999) y el Grupo de Expertos del Comité del Consejo de Seguridad establecido en virtud de la resolución 1540 (2004), así como con diversas organizaciones internacionales, regionales y subregionales, incluso en el contexto de las visitas del Comité a los Estados Miembros.	1
En algunas ocasiones, han sido asesinados cuando se aventuraban a salir del campamento, ya fuera para regresar a su aldea o por cualquier otro motivo.	0
Cada mes, con el dinero recaudado, paga a los miembros de la milicia, a su "círculo íntimo" (asesores y colaboradores más cercanos) y a los ancianos del clan y realiza compras de armas.	0
(b) contribuir a la protección de civiles bajo amenaza inminente de violencia física en las zonas de su despliegue, y sin perjuicio de la responsabilidad de [el Estado afectado] ...	1
Si los residentes intentan salir de la asediada Ghouta oriental, los francotiradores del régimen sirio los atacan directamente, lo que provoca cada mes la muerte de decenas de civiles.	0
La tortura, la violación y otras crueldades arbitrarias a manos de guardias y compañeros de prisión están generalizadas y se cometen con impunidad.	0
15. Toma nota de las medidas adoptadas por la MONUC para hacer frente a los casos de explotación y abusos sexuales y de la política de tolerancia cero, pide al Secretario General que siga investigando a fondo las denuncias de explotación y violencia sexuales por parte del personal civil y militar de la MONUC, que adopte las medidas adecuadas establecidas en el boletín del Secretario General sobre medidas especiales de protección contra la explotación y los abusos sexuales (ST/SGB/2003/13);	1
En otros ámbitos, sin embargo, los avances no han estado a la altura de las expectativas y siguen existiendo muchos retos.	0
Además, un equipo móvil visita las comunidades más remotas, especialmente las minoritarias, que pueden no tener fácil acceso a los centros de recursos.	0
Además, la desaparición del Sr. Abu Adass el 16 de enero de 2005 no se ha explicado de manera coherente con la idea de que fuera un terrorista suicida un mes después.	0
"El Consejo de Seguridad recuerda sus resoluciones relativas a Osama Bin Laden y su condena de la red Al-Qaida y otros grupos terroristas asociados por los múltiples actos terroristas criminales dirigidos a causar la muerte de numerosos civiles inocentes y la destrucción de bienes.	0
(c) Alentar a los Estados a que adopten medidas adecuadas para proteger a su sector sin ánimo de lucro de los abusos de la financiación del terrorismo.	1
Entre las 13.15 y las 13.30 horas, el teniente coronel Ahmed Al-Assir le informó de la explosión y de que la caravana del Sr. Hariri había sido el objetivo.	0
La Fiscal Adjunta Bensouda centró su intervención en el papel y el impacto de la Corte Penal Internacional en el refuerzo de la investigación y el enjuiciamiento de los delitos graves que preocupan a la comunidad internacional.	1
Nos preocupa la falta de libertades políticas allí.	0
Rendición de cuentas [U]rge al Gobierno del [país afectado] a que garantice la plena aplicación de su "política de tolerancia cero" con respecto a la disciplina y las violaciones de los derechos humanos, incluida la violencia sexual y de género, cometidas por elementos de las [fuerzas armadas] e insta además a que se investiguen exhaustivamente todas las denuncias de tales violaciones, con el apoyo de [la misión], y a que todos los responsables comparezcan ante la justicia mediante un proceso sólido e independiente.	0
El tercer y último panel se basó en la premisa de que, si bien la responsabilidad penal individual lleva ante la justicia a los acusados de violaciones y puede tener un efecto disuasorio, en la gran mayoría de los casos no proporciona reparación a las víctimas de las violaciones.	0
A este respecto, el Consejo de Seguridad alienta a que se siga incorporando la protección de la infancia en las actividades de promoción, las políticas, los programas y la planificación de misiones de esas organizaciones y arreglos, así como a que se capacite al personal y se incluya personal de protección de la infancia en sus operaciones de mantenimiento de la paz y sobre el terreno y se establezcan, en sus secretarías, mecanismos de protección de la infancia, incluso mediante el nombramiento de coordinadores de la protección de la infancia.	0
Muchos de los asesinatos no se produjeron en la calle, sino en las casas de posibles manifestantes o incluso de civiles inocentes que eran objetivo de las fuerzas de seguridad.	0
Una vez que el Comité haya aprobado el plan revisado, una actividad prioritaria de la Dirección será poner en marcha la nueva estructura de grupos y unidades y comenzar a trabajar en el establecimiento de criterios y la armonización de juicios en toda la gama de trabajos de la Dirección.	1
Se han establecido acuerdos técnicos entre Interpol Sarajevo y los organismos encargados de la aplicación de la ley a nivel estatal y de la entidad, que permiten a estas fuerzas policiales acceder directamente a la base de datos de Interpol. Formación policial	1
Los habitantes de estos barrios habrían sido agredidos y golpeados por las fuerzas de seguridad.	0
75. Sólo uno de los ocho Estados de esta subregión dispone de legislación adecuada que abarque todos los delitos de terrorismo pertinentes. Cuatro Estados han promulgado leyes que sólo abarcan algunos de los delitos de terrorismo.	1
Un total de 12 Estados han adoptado medidas para regular la producción, venta y transferencia de armas y explosivos, aunque sólo 2 las han aplicado plenamente.	1
Los procedimientos de asilo están protegidos de los abusos de los terroristas en siete Estados y parcialmente en uno.	1
Cooperación con las fuerzas malienses y Operación Barkhane	1
118. El terrorismo es un factor impulsor de un número creciente de situaciones de conflicto, especialmente en la región del Sahel y el Magreb.	0
En cuanto al despliegue de la UNMISS, señaló que la fuerza estaba haciendo todo lo posible, a medida que se completaba el despliegue adicional, para ampliar su presencia fuera de las bases.	0
Las tres entidades también pusieron en marcha un programa cuatrienal sobre investigaciones y enjuiciamientos eficaces en la lucha contra el terrorismo, respetando los derechos humanos y el Estado de Derecho en el Magreb.	1
42. El Instituto Interregional de las Naciones Unidas para Investigaciones sobre la Delincuencia y la Justicia, a petición del Grupo de Trabajo 2 del Grupo de Contacto sobre la piratería frente a las costas de Somalia y con el apoyo del Gobierno de Italia, organizó dos reuniones oficiosas de grupos de trabajo de expertos en 2013 para redactar un conjunto de directrices, normas y mejores prácticas con respecto al uso de personal de seguridad armado contratado de forma privada a bordo de buques mercantes, para uso de empresas del sector privado y gobiernos interesados.	0
"El Consejo de Seguridad condena las violaciones de los derechos humanos internacionales y del derecho humanitario cometidas por miembros de las FARDC, incluidas las violaciones masivas cometidas en Minova el 24 de noviembre de 2012, y exhorta al gobierno de la RDC a que detenga rápidamente, lleve ante la justicia y haga rendir cuentas a los responsables de dichas violaciones, independientemente de su rango militar".	0
17. A pesar del desarme de 15.600 excombatientes en Ituri, la Comisión Nacional de Desmovilización y Reinserción sigue teniendo dificultades para cumplir sus responsabilidades, en particular el pago de las prestaciones de desmovilización a los excombatientes, lo que ha provocado un mayor descontento entre ellos. Es necesario pagar las prestaciones con urgencia y regularidad.	1
El taller convocado para debatir sobre Internet en la Cumbre Internacional sobre Democracia, Terrorismo y Seguridad, celebrada en Madrid del 8 al 11 de marzo de 2005, concluyó que Internet debe permanecer libre de cualquier nueva regulación o interferencia, permitiendo el debate abierto para derrotar las ideas del extremismo.	0
Teniendo presente su responsabilidad primordial, en virtud de la Carta de las Naciones Unidas, en el mantenimiento de la paz y la seguridad internacionales, y subrayando la importancia de adoptar medidas encaminadas a la prevención y resolución de conflictos,	1
(n) Coordinarse y cooperar con el centro nacional de coordinación antiterrorista u organismo de coordinación similar en el Estado de visita cuando proceda;	1
(a) Reitera su llamamiento a las partes en conflictos armados enumeradas en los anexos del informe del Secretario General sobre los niños y los conflictos armados que aún no lo hayan hecho para que preparen y apliquen, sin más demora, planes de acción para poner fin al reclutamiento y la utilización de niños en violación del derecho internacional aplicable;	0
Los intentos de desestabilizar la situación interna del Líbano mediante asesinatos políticos son inaceptables.	0
(a) Promover la adopción de marcos jurídicos nacionales amplios e integrados de lucha contra el terrorismo, de conformidad con el Estado de Derecho y las obligaciones en materia de derechos humanos, y mejorar las capacidades nacionales para investigar, enjuiciar y juzgar los actos terroristas, incluso solicitando asistencia para el fomento de la capacidad según sea necesario;	1
Su propósito parecía ser que las fuerzas del MLC/RCD-N fueran de pueblo en pueblo destruyendo todo lo que pudieran echar mano.	0
El establecimiento de programas regulares in situ para la inspección de las entidades obligadas a comunicar información, con el fin de garantizar el cumplimiento de los requisitos en materia de lucha contra el blanqueo de capitales y la financiación del terrorismo, plantea un reto importante para algunos Estados, ya que se trata de un ejercicio que exige muchos recursos.	1
Los programas de medios de subsistencia alternativos dirigidos a las comunidades, el acceso a los mercados, la construcción de carreteras e infraestructuras marítimas que fomenten la pesca y el comercio a través de la ayuda al desarrollo harán más sostenibles los beneficios obtenidos gracias a la lucha contra la piratería.	1
La orden de detención europea de la Unión Europea constituye una alternativa eficaz a la extradición tradicional, ya que permite el contacto directo y faculta a las autoridades judiciales.	1
347. Las conclusiones de la Comisión confirmaron que se siguen cometiendo violaciones y actos de violencia sexual contra mujeres y niñas durante la huida y en las zonas de desplazamiento.	0
El Consejo de Seguridad tiene dos palancas principales de influencia en Afganistán: una se ejerce a través de la Misión de Asistencia de las Naciones Unidas en Afganistán (UNAMA), que tiene el mandato de fomentar el diálogo nacional, y la otra es a través del Comité 1267, que, en gran medida, puede determinar qué miembros talibanes pueden desempeñar un papel en cualquier gobierno futuro.	1
Puede que se hayan producido menos operaciones importantes de las que los dirigentes de Al Qaeda hubieran deseado, pero la detención o muerte de presuntos terroristas relacionados con Al Qaeda en más de 40 países de todo el mundo desde que el Equipo informó por última vez en noviembre de 2006 (S/2007/132) sugiere un elevado volumen de planificación terrorista.	0
Los protocolos se remitían diariamente al general Azar y al jefe del ejército, general Michel Suleyman.	0
El Equipo también ha mantenido conversaciones frecuentes con el grupo de expertos creado para apoyar al Comité establecido en virtud de la resolución 1540 (2004) a fin de garantizar que exista una sinergia adecuada entre la labor del Equipo sobre el embargo de armas y la labor de los expertos de la resolución 1540 (2004) sobre la no proliferación de armas de destrucción en masa a agentes no estatales.	0
Sin embargo, aumentar el carácter inclusivo del proceso de paz con respecto a las partes beligerantes sigue siendo un elemento importante para una solución duradera del conflicto.	1
Prosiguieron los esfuerzos para integrar la representación de las minorías en la dotación de personal de los departamentos administrativos.	1
(g) La obligación de tomar precauciones para reducir al mínimo las pérdidas y daños incidentales como resultado de los ataques, de manera que cada parte debe hacer todo lo posible para garantizar que los blancos sean objetivos militares y elegir medios o métodos de combate que reduzcan al mínimo la pérdida de civiles;	1
29. La Comisión Nacional de la Juventud fue inaugurada por el Presidente Koroma el 25 de noviembre de 2011. Se espera que la Comisión asuma el liderazgo en la promoción y armonización del desarrollo de la juventud, en el marco del Ministerio de Empleo Juvenil y Deportes.	0
Tras explicar que el proceso de transición lleva tiempo, subrayó la necesidad de una acción política compartida contra los grupos armados de la oposición que amenazan un proceso pacífico.	0
Generar confianza y reforzar la estabilidad promoviendo mecanismos de verdad y reconciliación.	1
10. Consciente de que ningún país de la subregión es capaz de aplicar estas recomendaciones por sí solo, BONUCA facilitará, a petición suya y en asociación con las organizaciones subregionales y regionales, la cooperación entre estos países con el fin de eliminar definitivamente la inseguridad transfronteriza creada por los grupos armados y los que instalan controles en las carreteras.	0
(i) Contribuir a la protección de la población civil en peligro, en particular los refugiados y las personas desplazadas;	1
(b) Facilitar el establecimiento de los mecanismos regionales necesarios para la cooperación internacional en los procesos penales;	1
5. Mientras los maoístas se preparaban para trasladar sus fuerzas al acantonamiento, emprendieron una campaña de reclutamiento que alcanzó su punto álgido en noviembre de 2006.	0
(b) Subsanar las deficiencias en la tipificación como delito de la financiación del terrorismo y la congelación de activos de terroristas, y reforzar la supervisión del sector sin ánimo de lucro y de los sistemas alternativos de envío de remesas;	1
A pesar de esta decisión, la destrucción continúa.	0
En algunos casos en los que el Comité consideró que la información disponible no era suficiente para tomar una decisión sobre si la inclusión en la lista seguía siendo apropiada, pidió al Equipo que buscara más información. Esto era especialmente cierto en los casos en los que se creía que una persona había fallecido pero no existía un certificado de defunción o documentación oficial equivalente.	0
Hacer un llamamiento a todas las partes implicadas para que garanticen que la protección, los derechos y el bienestar de las mujeres y las niñas afectadas por conflictos armados se integran específicamente en todos los procesos de paz, acuerdos de paz y planes y programas de recuperación y reconstrucción tras los conflictos.	0
5. Señala que dichos medios de financiación o apoyo incluyen, entre otros, la utilización del producto del delito, incluidos el cultivo, la producción y el tráfico ilícitos de estupefacientes y sus precursores;	0
Al concluir el trabajo de todos los grupos de comisionados de la Comisión de Indemnización en junio de 2005, se determinó que 1,55 millones de reclamaciones (de un total de 2,69 millones) habían prosperado.	0
Reiterando su pleno apoyo a los esfuerzos para alcanzar una solución global e integradora al conflicto de Darfur, y teniendo presente el Acuerdo de Paz de Darfur, la necesidad de que se complete el proceso político y se ponga fin a la violencia y los abusos en Darfur,	0
Desarrollar un conjunto de políticas, directrices y procedimientos para la planificación, ejecución y supervisión de los programas de DDR, conocidos como Normas Integradas de DDR, e integrar las perspectivas de género.	1
Antecedentes Las Naciones Unidas desempeñan un papel central en la lucha contra el terrorismo mundial.	1
Expresando el deseo de unificar sus fuerzas y promover la armonía intercomunitaria en todos los componentes de la sociedad del Azawad;	1
En la mañana del 24 de mayo, ocho soldados de las F-FDTL que realizaban una patrulla de observación en las colinas fueron atacados y contenidos por un grupo de personas armadas desde una posición más elevada.	0
El candidato del MDC tiene poco o ningún acceso a los medios de comunicación de Zimbabue; se le prohíbe hacer campaña libremente; y se informó de que el Estado confiscó autobuses y vehículos de campaña, supuestamente por registro ilegal.	0
3. Los avances hacia la neutralización de los grupos armados extranjeros y congoleños en los Kivus siguieron siendo limitados.	1
68. Los funcionarios están divididos en cuanto a la eficacia del material de formación terrorista en línea, ya que incluso una orientación teórica extremadamente completa y precisa requiere cierta formación práctica o experimentación para ayudar a superar los escollos operativos.	1
34. El 8 de febrero, 418 peticionarios celebraron una marcha ante el Palacio Presidencial das Cinzas.	0
Pedir a las partes en conflictos armados y a terceros Estados que cumplan estrictamente sus obligaciones en virtud del derecho internacional humanitario aplicable de permitir y facilitar el paso rápido y sin obstáculos de los envíos de socorro, el equipo y el personal, sin perjuicio de su derecho a prescribir las disposiciones técnicas, incluida la búsqueda, en virtud de las cuales se permite dicho paso.	0
El programa no se aplicará a las personas consideradas delincuentes o terroristas internacionales, como los miembros de Al Qaeda.	0
Antecedentes El año 2014 marca el decimoquinto aniversario del compromiso del Consejo de Seguridad sobre la protección de los civiles en los conflictos armados.	0
Ningún testigo ocular informó de que se hubieran lanzado panfletos, ni de que se hubieran dado avisos por radio o a través de los jefes tribales, ni de que los aviones hubieran sobrevolado a baja altura las aldeas para advertir a los civiles de un ataque inminente.	0
Utilizar equipos multifuncionales a nivel de país en el trabajo con las comunidades de refugiados para identificar las preocupaciones sobre protección y programas en materia de violencia de género; generar iniciativas de sensibilización propias de los refugiados; apoyar proyectos piloto para abordar la violencia de género, incluidos proyectos dirigidos a hombres y niños; distribuir y aplicar directrices sobre violencia sexual y de género contra refugiados, retornados y desplazados internos.	1
195. Reconociendo la importancia de la subregión como zona de "tránsito", la mayoría de los Estados han introducido legislación en materia de asilo, circulación de viajeros y prevención y represión de la circulación transfronteriza de terroristas.	1
Se ha informado de que personal y coches de la Cruz Roja fueron vistos en el lugar de los hechos y, en algunos casos, participaron en la asistencia a los heridos.	1
Los dirigentes acogieron con satisfacción la declaración del Presidente del Consejo de Seguridad de 14 de julio de 2005 y expresaron su apoyo a la iniciativa de mi Representante Especial. Sin embargo, también aprovecharon la ocasión para expresar su preocupación por que el Presidente Yusuf y el Primer Ministro Gedi pudieran recurrir a un enfrentamiento armado con ellos.	0
"El Consejo de Seguridad exhorta a la comunidad internacional a que proporcione, cuando sea necesario, apoyo financiero y técnico, así como formación adecuada, para la aplicación nacional de la resolución 1325 (2000), y al sistema de las Naciones Unidas, la sociedad civil y otros agentes pertinentes a que colaboren y presten asistencia, en consonancia con las prioridades nacionales, a los Estados Miembros, en particular a los afectados por conflictos armados, en la rápida elaboración de planes de acción nacionales, y a que trabajen en estrecha colaboración con los mecanismos nacionales encargados de la aplicación de la resolución, incluso, cuando proceda, por conducto de los equipos de las Naciones Unidas en los países".	0
Conforme a lo solicitado por el Consejo en las resoluciones 2170 (2014) y 2178 (2014), el Consejo también recibió información de los Presidentes del Comité del Consejo de Seguridad establecido en virtud de las resoluciones 1267 (1999) y 1989 (2011) relativas a AlQaida y personas y entidades asociadas y del Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001) relativa a la lucha contra el terrorismo.	1
