en_es_TRANSFORMERS	MatCoop
De hecho, ya es hora de que la comunidad internacional adopte medidas eficaces para proteger y hacer respetar los derechos más básicos del pueblo palestino y ayudar a poner fin al círculo vicioso de violencia provocado por la persistente y continuada ocupación ilegal de los territorios palestinos por Israel.	0
Los miembros del Consejo mantuvieron un intercambio general sobre una serie de cuestiones, a saber, la situación en la Ribera Occidental y la Faja de Gaza, incluida la necesidad urgente de reconstruir y reformar la infraestructura de la Autoridad Palestina mediante un firme apoyo de los donantes, la situación a través de la Línea Azul y los diversos esfuerzos diplomáticos en curso, incluidos los preparativos para la convocación de una conferencia internacional sobre el Oriente Medio.	0
La Comisión también recibió pruebas fidedignas de que las filas de los Janjaweed incluían combatientes de países vecinos, principalmente el Chad y la Jamahiriya Árabe Libia.	1
Además, una mayor coordinación e interoperabilidad entre esas organizaciones, así como la elaboración y el intercambio de estrategias comunes, políticas operacionales y mejores prácticas en la gestión civil de crisis aumentarían la eficiencia y la coherencia en la gestión de crisis.	0
En el marco del proyecto de agentes no estatales de la UNIPSIL, la Comisión siguió desempeñando un papel fundamental en la ejecución de programas para fomentar la capacidad de mitigación y solución de conflictos de los partidos políticos, incluidas sus alas de mujeres y jóvenes.	1
38. Encomienda al Comité que determine los posibles casos de incumplimiento de las medidas previstas en el párrafo 1 supra y determine las medidas que proceda adoptar en cada caso, y pide al Presidente que, en los informes periódicos que presente al Consejo de conformidad con el párrafo 46 infra, presente informes sobre la marcha de los trabajos del Comité sobre esta cuestión;	1
107. El 24 de julio de 2005 se violó este acuerdo porque las FACI prepararon su Mi-24P para operaciones militares en respuesta a un presunto ataque contra Anyama.	0
El informe abarca los acontecimientos ocurridos desde mi informe anterior sobre la MINURCAT, de fecha 30 de julio de 2010 (S/2010/409), en relación con la situación humanitaria y de seguridad en el este del Chad y el nordeste de la República Centroafricana; los progresos realizados en el cumplimiento de las tareas y los parámetros establecidos en los párrafos 2 y 3 de la resolución 1923 (2010) del Consejo de Seguridad; y la ejecución del mandato de la MINURCAT, incluidos los preparativos para su retirada.	1
También durante esas consultas oficiosas, dos representantes de la Misión de Estabilización de las Naciones Unidas en la República Democrática del Congo informaron al Comité por videoconferencia sobre el mandato de vigilancia de las sanciones de la Misión y, en particular, sobre el rastreo y marcado de armas, de conformidad con una solicitud del Comité.	1
Esta rápida asistencia fue inestimable, ya que permitió a los investigadores analizar rápidamente las llamadas telefónicas específicas de los abonados y establecer pautas de comunicación entre determinados grupos de abonados.	1
El 30 de agosto, el Consejo emitió un comunicado de prensa sobre la piratería y el robo a mano armada marítimo en el Golfo de Guinea.	0
En esta coyuntura, basta con decir que, tanto en virtud de la Convención de 1948 como de las normas correspondientes del derecho consuetudinario, el genocidio comprende diversos actos contra miembros de un grupo nacional, étnico, racial o religioso (matar a miembros de un grupo; causar graves daños físicos o mentales a miembros de un grupo; infligir deliberadamente a un grupo condiciones de vida calculadas para causar su destrucción física total o parcial; imponer medidas destinadas a impedir los nacimientos dentro del grupo; trasladar por la fuerza a los hijos de un grupo a otro grupo), cometidos con la intención de destruir, total o parcialmente, al grupo.	1
En consecuencia, en consulta con el Comité del Consejo de Seguridad establecido en virtud de la resolución 1718 (2006), deseo informarle de que he nombrado al Sr. George López (Estados Unidos de América, experto en finanzas) y al Sr. Takehiro Yamamoto (Japón, experto en cuestiones nucleares), para que formen parte del Grupo de Expertos y realicen las tareas especificadas en el párrafo 26 de la resolución.	1
La congelación de activos puede limitar a los financiadores terroristas, limitando su acceso al sistema bancario oficial y limitando sus posibilidades de asociarse con entidades comerciales legítimas.	0
Teniendo presente el carácter especial de la resolución 1373 (2001), las constantes amenazas a la paz y la seguridad causadas por el terrorismo, el importante papel que las Naciones Unidas y el Consejo de Seguridad deben seguir desempeñando en la lucha mundial contra el terrorismo, la necesidad de reforzar el Comité como órgano subsidiario del Consejo de Seguridad responsable en esta esfera y sin sentar un precedente para otros órganos del Consejo de Seguridad,	1
Mientras la Coalición Nacional Siria trabaja para aliviar el sufrimiento del pueblo sirio, también trabajamos para poner fin al conflicto que es la causa de ese sufrimiento.	1
En diciembre de 2007 se completó, bajo la dirección de la Dependencia de Conducta y Disciplina, un programa general obligatorio de capacitación para todo el personal de la MINURSO sobre las normas de conducta previstas, incluida la prevención de la explotación, el abuso y el acoso sexuales.	1
Durante el período que abarca el informe, el Gobierno no adoptó ninguna medida contra esos agentes de la policía nacional no certificados.	0
Reiteraron su llamamiento a todas las partes afganas para que colaboraran en pro de la paz y el establecimiento de un gobierno de base amplia, multiétnico y plenamente representativo.	0
89. El ex Primer Ministro declaró que durante la reunión aprovechó la oportunidad para examinar con el Ministro del Interior la necesidad de que un grupo de civiles apoyara a la PNTL de la URP, pero que no hubo debate sobre el suministro de armas o uniformes a ese grupo.	0
c) Facilitar el fomento de la capacidad de los Estados, en cooperación con el Grupo de África Oriental y Meridional contra el blanqueo de dinero, para establecer o fortalecer dependencias de inteligencia financiera de la subregión y desarrollar la capacidad legislativa y operacional de los Estados para congelar fondos sin demora.	1
También se informó de nuevas deserciones de antiguos elementos integrados del CNDP, así como de la negativa de elementos de grupos armados integrados a aceptar el redespliegue.	0
Insta a los Estados Miembros a que garanticen una mayor representación de la mujer en todos los niveles de adopción de decisiones en las instituciones y mecanismos nacionales, regionales e internacionales para la prevención, la gestión y la solución de conflictos.	0
Teniendo presente que estas dos milicias mantienen estrechos vínculos regionales, espero que el Gobierno de la República Árabe Siria actúe constructivamente en este proceso.	1
Ayudan a sensibilizar a la comunidad internacional sobre las cuestiones relacionadas con la lucha contra el terrorismo y constituyen un foro útil para que los Estados y las organizaciones examinen las nuevas amenazas y las iniciativas de fomento de la capacidad para hacer frente a los problemas relacionados con el terrorismo.	0
Dieciocho personas detenidas en Bouaké en relación con los hechos fueron trasladadas a la prisión civil de Korhogo; en otro incidente, el 17 de enero, 11 personas, entre ellas dos nacionales franceses, presuntamente asociados con el Sr. Coulibaly, fueron detenidas en Abidján por planear un golpe de estado; el 30 de enero, el fiscal del tribunal militar de Abidján dictó una orden internacional de detención contra el Sr. Coulibaly, acusado de conspiración contra el Estado.	0
En esos Estados se tiene conciencia de la importancia de la cooperación, el intercambio de información y la coordinación entre los diversos organismos y entre los planos regional y nacional.	1
La víctima fue sacada del grupo, con los ojos vendados, empujada al suelo sobre su espalda y violada.	0
428. La Comisión pidió reiteradamente al Gobierno que proporcionara información sobre las medidas judiciales adoptadas para enjuiciar a los autores de los presuntos delitos cometidos en Darfur.	0
Posteriormente, fue asesinado en Siria.	0
Realizar investigaciones para determinar los factores determinantes de las diferencias entre los géneros en los mecanismos de alerta temprana y elaborar los indicadores correspondientes.	1
También siguieron el inicio de la misión del Enviado de las Naciones Unidas, Sr. Kofi Annan, para llegar a una solución pacífica de la crisis siria, sin recurrir a amenazas ni hablar de intervención extranjera.	0
Si bien el régimen de sanciones puede obligar a algunos talibanes a permanecer en zonas remotas, y el Equipo observa que esta puede ser una de las razones por las que los talibanes de alto rango desean que se les quiten sus nombres, no obstante, el objetivo preventivo de las medidas no se ha alcanzado en gran medida.	0
El Comité celebrará debates temáticos sobre el fortalecimiento de los esfuerzos para limitar la movilidad de los terroristas con la participación de expertos de todas las organizaciones internacionales técnicas pertinentes antes de la quinta reunión especial.	1
En su resolución 2140 (2014), el Consejo de Seguridad impuso una congelación de activos y una prohibición de viajar, por un período inicial de un año a partir de la fecha de aprobación de la resolución, a las personas y entidades que participaban en actos que amenazaban la paz, la seguridad o la estabilidad del Yemen o que prestaban apoyo a ellos.	0
Facilitó una iniciativa con el Centro Africano para mejorar el uso de bases de datos internacionales por los países del Sahel a fin de fortalecer la coordinación, el intercambio de información y la cooperación entre la policía y las autoridades fronterizas.	1
Un total de 25 Estados han aplicado plenamente controles sobre sus procesos de asilo a fin de prevenir los abusos cometidos por personas que han cometido actos terroristas.	1
El Gobierno prestará un gran servicio a su sistema judicial si adopta medidas para derogar el decreto por el que se establecen los tribunales.	0
El Consejo de Seguridad examina con frecuencia las cuestiones humanitarias en los países afectados por conflictos.	0
La misión fue a Daloa por carretera, escoltada por un destacamento militar de Côte d'Ivoire.	1
El Comité también ha acordado sustituir el sistema actual de números, que cambia cada vez que se añade a una persona o entidad a la lista, por un número de referencia permanente.	0
En opinión de este Estado, esa actividad, en su forma más extrema, a menudo conduce al extremismo violento y a la pérdida de vidas.	0
Es importante que también se preste especial atención al desarrollo de capacitación especializada para investigadores, fiscales y jueces en esferas como la lucha contra el uso de Internet con fines terroristas; el apoyo y la asistencia a las víctimas de actos de terrorismo; la lucha contra el terrorismo químico, biológico, radiológico y nuclear; la lucha contra los delitos de terrorismo relacionados con el transporte; y la lucha contra la financiación del terrorismo.	1
Nos alienta que el Gobierno de la República Democrática del Congo haya adoptado medidas para actuar contra los terroristas del Ejército de Resistencia del Señor que entraron en su país desde el Sudán.	1
En particular, quisiera recalcar que, como se observa en el informe, los talibanes siguen constituyendo una amenaza real para la reconstrucción y la estabilidad del país, y que contener a esta organización es crucial.	0
Ningún Estado ha examinado su sector sin fines de lucro ni realizado una evaluación del riesgo de financiación del terrorismo.	0
:: El 30 de noviembre de 2014, aviones de combate del régimen atacaron el mercado de Tayma en Hasakeh, hiriendo a 2 personas y destruyendo 7 tiendas.	0
Sin embargo, muchos sólo han comenzado a desarrollar capacidades específicas de lucha contra el terrorismo.	1
Los exhortamos urgentemente a que aumenten su apoyo a las iniciativas colectivas que adoptarán nuestros Estados, en el marco del Proceso de Nuakchott, para hacer frente a la amenaza que el terrorismo, el extremismo violento y la delincuencia organizada transnacional plantean para la paz y la seguridad internacionales.	0
Instar a los órganos regionales o subregionales pertinentes a que elaboren y apliquen políticas, actividades y actividades de promoción en beneficio de los civiles afectados por la violencia sexual.	1
Exhortar a las partes en los conflictos armados, los Estados y otros agentes pertinentes a que presten asistencia para la atención, rehabilitación y reintegración económica y social de las víctimas de los REG y sus familias y comunidades.	1
Los principales elementos de su declaración, así como el intercambio de opiniones entre los miembros del Grupo de Trabajo, se reflejan en el resumen que figura en las conclusiones pertinentes (S/AC.51/2013/3).	0
"Alrededor de las 8 de la mañana del segundo día en el wadi, fui violada por primera vez.	0
Se denunciaron nuevos secuestros de mujeres en los alrededores de El Geneina, Darfur occidental.	0
Imponer medidas selectivas y graduadas en respuesta a las emisiones de los medios de comunicación que inciten al genocidio, los crímenes de lesa humanidad, los crímenes de guerra u otras violaciones graves de las normas de derechos humanos.	0
Si bien aún no se ha determinado el número exacto de desplazados y el número de aldeas destruidas, los desplazamientos masivos y la destrucción de aldeas son hechos indiscutibles.	0
De conformidad con el párrafo 18 de la resolución 2100 (2013) del Consejo de Seguridad, Francia presentó cuatro informes al Consejo de Seguridad en los que se esbozaban seis acciones de combate emprendidas en respuesta a una "amenaza inminente y grave" y se destacaba la labor de los destacamentos de enlace y apoyo operacional de la MINUSMA, así como el apoyo de las fuerzas francesas para atender a los heridos.	0
Declaró que la cooperación entre el Gobierno y la sociedad civil era una parte esencial de los esfuerzos para impedir que las personas se volviesen al terrorismo y señaló que estaba intensificando sus esfuerzos para identificar e investigar las expresiones de odio en Internet.	1
En la región de Bakool, también en el centro de Somalia, los días 10 y 11 de junio, los enfrentamientos entre milicianos de los clanes Hadamo y Ogaden en la zona de El-Barde causaron por lo menos cuatro muertos y 10 heridos; el 15 de junio, al menos 16 personas resultaron muertas y otras 20 heridas en los combates entre milicias rivales por los derechos a la tierra y a los pastos en la misma zona.	0
Reafirmando la necesidad de que todas las partes en los conflictos armados respeten los principios humanitarios de humanidad, neutralidad, imparcialidad e independencia a fin de garantizar la prestación de asistencia humanitaria, la seguridad de los civiles que reciben asistencia y la seguridad del personal humanitario y del personal de las Naciones Unidas y su personal asociado,	0
El Consejo de Seguridad exhorta a las autoridades de Burundi y de la República Democrática del Congo a que cooperen activamente para que los autores y los responsables de esos crímenes sean llevados ante la justicia sin demora.	0
Los desequilibrios regionales en las tasas totales de inscripción de votantes deberían ser una seria advertencia a ese respecto.	0
Subrayando que los refugios seguros proporcionados a los terroristas siguen siendo motivo de gran preocupación y que todos los Estados Miembros deben cooperar plenamente en la lucha contra el terrorismo a fin de encontrar, denegar refugio y llevar ante la justicia, sobre la base del principio de extraditar o juzgar, a toda persona que apoye, facilite, participe o intente participar en la financiación, planificación, preparación o comisión de actos terroristas o proporcione refugios seguros,	0
Elaborar y aplicar una declaración de política en materia de género, una política amplia en materia de género y un plan de acción para la incorporación de la perspectiva de género en todo el departamento con objetivos, actividades, indicadores y calendarios para cada esfera funcional.	1
Tomar nota de la información presentada por la secretaría con respecto a la auditoría por la Oficina de Servicios de Supervisión Interna de los pagos de indemnizaciones, las reclamaciones palestinas tardías de la categoría D y las actividades de liquidación, el texto propuesto de la sección sobre la Comisión de Indemnización que se incluirá en el informe anual de 2005 de la Oficina de Servicios de Supervisión Interna, la participación del coordinador designado por esa Oficina en el ejercicio que lleva a cabo la secretaría para determinar las posibles reclamaciones duplicadas en las categorías A y C, la solicitud de la Junta de Auditores de las Naciones Unidas de que se formulen observaciones sobre sus proyectos de observaciones con respecto a sus visitas a Jordania y Kuwait en relación con los pagos, la solicitud de la Junta de que se formulen observaciones en respuesta a su proyecto de informe sobre el estado de la aplicación de las recomendaciones derivadas de su auditoría de los estados financieros de la Comisión correspondientes al bienio 2002-2003, y las comunicaciones que la Comisión ha recibido con el Comité de Investigación Independiente; pedir a la secretaría que proporcione información actualizada sobre esta cuestión en una futura reunión oficiosa del Consejo de Administración; y mantener esta cuestión en el programa del Consejo de Administración.	1
La presencia de la fuerza de guardia es crucial para mantener una atmósfera de seguridad a fin de impedir el soborno de testigos y permitirles acceder a las instalaciones de la Corte sin temor.	1
Es probable que el debate político se intensifique, ya que varios problemas relacionados con las elecciones ya se plantean en los tribunales.	0
La Comisión reconoce que sólo ha dado los primeros pasos para alcanzar este objetivo, debido principalmente al retraso en la dotación de personal de la Dirección Ejecutiva.	1
El Consejo destaca la importancia y la urgencia del restablecimiento de la justicia y el estado de derecho en las sociedades que salen de un conflicto, no sólo para hacer frente a los abusos del pasado, sino también para promover la reconciliación nacional y ayudar a impedir que se reanude el conflicto en el futuro.	0
Condené esas restricciones a la libertad de circulación del personal de mantenimiento de la paz de las Naciones Unidas.	0
Esa cooperación condujo a la elaboración y aplicación de soluciones prácticas en relación con la coordinación naval y operacional y las cuestiones jurídicas y judiciales, las medidas de autoprotección para el sector del transporte marítimo, la diplomacia pública y la interrupción de las empresas piratas ilícitas en tierra.	1
A fin de seguir informando al Consejo de Seguridad y a los posibles asociados bilaterales de la amenaza a la seguridad en la región de Vakaga, he desplegado un equipo para que realice un examen del entorno de seguridad imperante y una evaluación de las amenazas, y compartiré sus principales conclusiones con el Consejo de Seguridad.	1
También se ha informado de que 18 mujeres fueron violadas durante el ataque contra Adwa, en Darfur meridional, a principios de diciembre de 2004.	0
▪ La elaboración de directrices y directrices claras sobre lo que las misiones pueden hacer para proteger a los civiles, incluidas medidas prácticas de protección, como patrullas intensivas y sistemáticas en posibles zonas inestables, equipos conjuntos de protección o células de alerta temprana.	1
"El Consejo de Seguridad recuerda sus resoluciones relativas a Osama Bin Laden y su condena de la red Al-Qaida y otros grupos terroristas asociados por los múltiples actos terroristas criminales destinados a causar la muerte de numerosos civiles inocentes y la destrucción de bienes.	0
9. Pide al Secretario General que siga informando periódicamente, y por lo menos cada tres meses, sobre la situación en la República Democrática del Congo y sobre las actividades de la MONUC, y que le proporcione, con la misma periodicidad, información actualizada sobre la situación militar;	1
La Dependencia participa en los equipos de tareas interinstitucionales establecidos para investigar el blanqueo de dinero y los delitos determinantes, incluida la financiación del terrorismo.	1
El Presidente Gbagbo firmó un decreto el 20 de febrero de 2008 por el que se formalizaba el establecimiento de un grupo de trabajo encargado de elaborar el marco.	1
Sin embargo, en cierta medida Al-Qaida ha logrado recuperarse de la pérdida del Afganistán como base de entrenamiento para el terrorismo mediante la explotación de la situación en el Iraq.	0
Como parte del plan, se hicieron esfuerzos considerables para incluir a los miembros de las comunidades minoritarias que reunían los requisitos necesarios.	1
Al mismo tiempo, Alemania y la UE han condenado repetidamente en el pasado las atrocidades terroristas que han causado la muerte de cientos de israelíes.	0
