en_es_GOOGLE	MatConf
Los miembros del Consejo también examinaron el informe del Secretario General (S/2000/632), en el que se indicaba que se habían logrado avances importantes en los frentes político y militar, pero que aún quedaban muchos desafíos para que el Gobierno de Guinea-Bissau restableciera la paz, la estabilidad y la paz duraderas. desarrollo sostenible.	0
12. El Comité llevará a cabo debates temáticos sobre el fortalecimiento de los esfuerzos para limitar la movilidad de los terroristas con la participación de expertos de todas las organizaciones técnicas internacionales pertinentes antes de la quinta reunión especial.	0
Los delitos internacionales como los crímenes de lesa humanidad y los crímenes de guerra que se han cometido en Darfur pueden no ser menos graves y atroces que el genocidio.	0
Señalando que no estaba claro cuántas vidas se habían perdido en los varios días de combates, afirmó que los supervisores del alto el fuego de la Autoridad Intergubernamental para el Desarrollo (IGAD) habían culpado a la oposición de iniciar el conflicto.	1
Diferentes facciones de Jantantrik Terai Mukti Morcha, Madhesi Mukti Tigers y otros grupos armados participaron en secuestros, asesinatos, extorsión e intimidación.	1
Exhorta a todas las partes a cooperar plenamente con la comisión internacional independiente de investigación establecida por el Consejo de Derechos Humanos [fecha] para investigar los hechos y circunstancias que rodean las denuncias de graves abusos y violaciones de los derechos humanos cometidos en [el país afectado]. .., y solicita al Secretario General que transmita este informe al Consejo de Seguridad y a otros órganos internacionales pertinentes	0
Condenando en particular la violencia sexual perpetrada por [milicias y grupos armados, así como elementos de las fuerzas armadas y policiales nacionales] y otros servicios de seguridad e inteligencia, destacando la urgente necesidad de que [el Estado afectado], en cooperación con [la misión de mantenimiento de la paz] y otros actores relevantes, para poner fin a esa violencia y llevar ante la justicia a los perpetradores, así como a los altos comandantes bajo las cuales sirven, y exhortando a los Estados Miembros a que presten asistencia en este sentido y sigan brindando asistencia médica, humanitaria y de otro tipo a víctimas.	0
Al otro lado de la frontera, en la República Árabe Siria, Jabhat al-Nusra –un afiliado de AQI– ha ganado influencia y reclutamientos gracias a sus combates en la guerra civil cada vez más encarnizada en la República Árabe Siria.	1
Prevenir y poner fin al reclutamiento de niños soldados en violación del derecho internacional.	0
A este respecto, el Comité también ha subrayado la importancia de las disposiciones que exigen que los detenidos sean retenidos en lugares públicamente reconocidos y que haya un registro adecuado de los nombres de los detenidos y de los lugares de detención.	1
27. Además, varios Estados han establecido medidas provisionales que permiten a sus funcionarios aplicar sanciones incluidas en una lista del Consejo de Seguridad incluso antes de que se hayan completado los procesos de validación nacional.	0
Damos formación básica (por ejemplo, sobre uso de armas, disciplina,...) que puede durar unas dos semanas, dependiendo de cada persona.	1
Muchos de los informes se refieren al secuestro de mujeres.	1
Al 1º de octubre de 2005, los efectivos de la UNOMIG ascendían a 121 observadores militares y 12 agentes de policía (véase el anexo).	1
19. Dos Estados han tipificado como delito la financiación del terrorismo, mientras que otros cinco han introducido algunas disposiciones jurídicas para abordar la cuestión.	0
58. A falta de un centro médico de referencia en Bamako, la MINUSMA adoptó medidas inmediatas para garantizar que el personal de las Naciones Unidas dispusiera de capacidades médicas intermedias adecuadas y, al mismo tiempo, estableció una clínica de nivel II de las Naciones Unidas para sustituir los servicios que anteriormente prestaba la Clinique Pasteur.	0
89. Hay casos de desapariciones en todos los bandos del conflicto, pero se desconocen las cifras.	1
También quisiera reiterar que los cuatro miembros de las F-FDTL declarados culpables de homicidio involuntario por la muerte a tiros de ocho agentes de la PNTL en 2006, uno de los cuales fue indultado y tres de los cuales recibieron reducciones de pena, aún no han pagado la indemnización ordenada por el tribunal a las viudas de las víctimas.	0
La decisión de la UE de iniciar negociaciones con Serbia y Montenegro para un acuerdo de estabilización y asociación representa un hito en este sentido.	0
13. El Secretario General creó los Comités Ejecutivos de Paz y Seguridad y de Asuntos Humanitarios para proporcionar a los ejecutivos de los más altos niveles un foro para debatir y formular estrategias para prevenir conflictos armados y emergencias humanitarias y responder a ellos.	0
24. Durante el período que abarca el informe, no ha habido avances tangibles hacia la disolución y el desarme de las milicias libanesas y no libanesas como se pide en el Acuerdo de Taif y la resolución 1559 (2004).	1
La mayoría de los Estados de las subregiones de Europa occidental, Europa oriental y Asia central y el Cáucaso han introducido una legislación integral contra el terrorismo.	0
En su 4170ª sesión, celebrada el 13 de julio, el Consejo aprobó la resolución 1307 (2000), en la que, entre otras cosas, autorizó la prórroga del mandato de la MONUP para seguir supervisando la desmilitarización de la península hasta el 15 de enero de 2001.	0
Este ha sido un tema delicado, ya que ha habido falta de confianza entre algunos agentes de policía en diferentes lugares.	0
Los Estados de la subregión no han indicado los procedimientos o mecanismos utilizados para prevenir y reprimir el movimiento de terroristas a través de las fronteras.	1
Enfoque propuesto para sensibilizar el marco de análisis de conflictos sobre las cuestiones de género, incluido el desarrollo de indicadores apropiados para el género y variables relacionadas con los conflictos.	0
El terrorismo debe entenderse en primer lugar como un delito, injustificable bajo cualquier circunstancia. Sin embargo, también es una manifestación de agravios, articulados de manera inhumana, aborrecible e inaceptable.	0
b) Alentar a los Estados a adoptar medidas prácticas y estrategias nacionales para reprimir el reclutamiento por grupos terroristas, respetando al mismo tiempo las obligaciones pertinentes en materia de derechos humanos;	0
B. Dispersión de grupos de milicias en Ituri	1
En particular, señalaron que la ley enmendada sobre la Comisión Electoral Independiente no preveía la representación de las Forces nouvelles en sus órganos locales y no establecía la primacía de la Comisión Electoral Independiente sobre el Instituto Nacional de Estadística en el proceso electoral. .	0
Sin embargo, un hilo común que une prácticamente todas las áreas es la necesidad apremiante de asegurar recursos adecuados para las instituciones del Estado y las fuerzas de seguridad nacionales en términos de un número suficiente de personal adecuadamente capacitado y equipado, así como el apoyo logístico y la infraestructura adecuada para brindar Servicios estatales.	0
Además, el Equipo de Vigilancia viajó dos veces a Bélgica, una para asistir a un simposio de la Organización de Aviación Civil Internacional y otra para reunirse con representantes de la Organización Mundial de Aduanas, así como a Francia para asistir a una reunión de expertos sobre sanciones financieras selectivas organizada por el Organismo Financiero Grupo de Trabajo de Acción y asistir a la tercera reunión plenaria del Grupo de Trabajo.	0
Como lo expresó acertadamente la Sala de Apelaciones del Tribunal Internacional para la ex Yugoslavia en Krstić (apelación), &quot;el genocidio es uno de los peores crímenes conocidos por la humanidad, y su gravedad se refleja en los estrictos requisitos de una intención específica.	0
2. En el párrafo 8 de la resolución, el Consejo de Seguridad decidió establecer un grupo de trabajo del Consejo para examinar los informes del mecanismo mencionado en el párrafo 3 de la resolución, examinar el progreso en el desarrollo y la implementación de los planes de acción mencionados. a que se refiere el párrafo 7 de la resolución y considerar otra información pertinente que se le presente.	0
Observamos que las organizaciones de la sociedad civil han expresado su profunda preocupación a este respecto.	0
La comisión también señaló que la República Popular Democrática de Corea había secuestrado o hecho desaparecer por la fuerza a más de 200.000 personas de China, el Japón, la República de Corea y otros países, incluso después del final de la Guerra de Corea.	1
En abril de 2004, un grupo de 40 mujeres desplazadas fue a recoger leña a las afueras de Mukjar, en Darfur occidental, y, según informes, fue atacado por seis Janjaweed armados.	1
&quot;El Consejo de Seguridad reitera su preocupación por la conexión cada vez mayor, en muchos casos, entre el terrorismo y la delincuencia organizada transnacional, las drogas ilícitas, el blanqueo de dinero y el tráfico ilegal de armas, y destaca la necesidad de mejorar la coordinación de los esfuerzos a nivel nacional, subregional, a nivel regional e internacional con el fin de fortalecer una respuesta global a este grave desafío y amenaza a la paz y la seguridad internacionales, y alienta a la UNODC a continuar su trabajo, en este sentido, en colaboración con otras entidades relevantes de las Naciones Unidas.	0
452. Según el artículo 31 de la Ley de Seguridad Nacional, en virtud de una orden emitida por el Director General, un agente de seguridad puede llevar a cabo un arresto, un registro o detener e investigar a una persona. Dispone de tres días para comunicar al detenido los motivos de su arresto y detención.	1
- Asesorar al Gobierno..., según corresponda, sobre la reforma del sector de la seguridad y la organización del futuro Ejército Nacional, incluido el establecimiento de un mecanismo de investigación de antecedentes eficaz, de conformidad con las normas internacionales,	0
105. Éstos son algunos ejemplos, entre múltiples testimonios y pruebas materiales, que confirman a la Comisión que, en la práctica, el término Janjaweed se utiliza indistintamente con otros términos utilizados para describir a las milicias que trabajan con el Gobierno.	1
Además, muchas instituciones financieras se quejan de que se les ha dado poca o ninguna información sobre qué buscar como posibles indicadores de transacciones de financiación del terrorismo.	0
La MINURCAT intentó visitar los lugares de los ataques, pero los dirigentes locales le negaron el acceso.	1
Cuando se les pide que proporcionen más detalles, las víctimas informan que los atacantes Janjaweed pertenecen a tribus árabes y, en la mayoría de los casos, atacaron a caballo o en camellos y estaban armados con armas automáticas de diversos tipos.	1
El componente de policía de la ONUCI se centra en brindar apoyo, orientación y asesoramiento a la policía nacional de Côte d&#39;Ivoire y a las unidades mixtas de policía desplegadas en la antigua zona de confianza, y a los 600 auxiliares de seguridad de las Forces nouvelles que fueron capacitados por la ONUCI en 2006 y desplegados en la parte norte del país.	0
Esta disposición clave restante de la resolución aún no se ha implementado. Reafirma una decisión a la que todos los libaneses se comprometieron en el Acuerdo de Taif en 1989, después de la guerra civil.	0
Este Estado señaló que utilizaba los medios de comunicación y programas específicos para promover la tolerancia y el diálogo entre todas las religiones y nacionalidades étnicas y que muchos de sus Estados constituyentes habían establecido comités o grupos interreligiosos integrados por diferentes líderes religiosos para promover la comprensión y la tolerancia.	0
Como se indicó anteriormente, hay informes creíbles y repetidos que indican que estas redadas aumentaron significativamente en la noche del 23 de marzo y aún más durante las noches siguientes.	1
9 de enero de 2006 Soldados de las Forças Armadas de Libertação National de Timor-Leste/FALINTIL-Força de Defesa de Timor-Leste (F-FDTL) presentan una petición por escrito al general de brigada Taur Matan Ruak y al presidente Gusmão.	0
Las preocupaciones de este grupo incluían el desafío planteado por el llamamiento de Al-Qaida, el uso terrorista de Internet, la glorificación del terrorismo a través de los medios de comunicación, el carácter indefinido de las sanciones, la necesidad de apoyar programas de rehabilitación y el intercambio de inteligencia técnica y operativa. .	0
La participación de fuerzas gubernamentales en algunos de los ataques es un hecho extremadamente negativo.	1
16. Durante el período que abarca el informe, en algunas ocasiones la FPNUL volvió a enfrentar restricciones a su libertad de circulación en su zona de operaciones, que en algunos casos han puesto en peligro la seguridad del personal de mantenimiento de la paz de las Naciones Unidas.	1
A cambio, las autoridades de Belgrado deben poner fin a su táctica de obstrucción, que impide a los serbios de Kosovo participar en las instituciones públicas de Kosovo. La &quot;política de sillas vacantes&quot; entraña grandes riesgos de que la historia de Kosovo se escriba sin los serbios de Kosovo.	0
8. Las fronteras porosas y las estructuras estatales débiles en el sur de Libia han creado un entorno propicio para una mayor presencia y actividades de grupos terroristas en el Sahel.	1
h) Participar activamente y apoyar todas las actividades pertinentes en el marco de la Estrategia global de las Naciones Unidas contra el terrorismo, incluso dentro del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo, establecido para asegurar la coordinación y coherencia generales de las iniciativas antiterroristas del sistema de las Naciones Unidas, en particular a través de sus grupos de trabajo pertinentes;	0
10. Los acontecimientos que tuvieron lugar en Abidján en relación con la marcha prevista para el 25 de marzo dieron lugar a graves violaciones de los derechos humanos.	1
También se ha informado de que 18 mujeres fueron violadas durante el ataque a Adwa, en Darfur Meridional, a principios de diciembre de 2004.	1
Sin embargo, dado que en varios casos células de Al-Qaida no detectadas anteriormente han utilizado esos explosivos con efectos devastadores, varios Estados han adoptado métodos para limitar el acceso a precursores críticos.	1
21. A mediados de noviembre se produjo una escalada del enfrentamiento armado entre las fuerzas de seguridad serbias y el autodenominado Ejército de Liberación de Presevo, Medveda y Bujanovac (UCPMB) en la zona de seguridad terrestre.	1
Se destruyeron bombas de agua y pozos, se destrozaron instrumentos para procesar alimentos, se quemaron y talaron árboles y cultivos, tanto en las aldeas como en los wadis, que son una importante fuente de agua para la población rural.	1
En opinión de mi delegación, para evitar nuevos brotes de violencia e inestabilidad en el norte de Kosovo, sigue siendo esencial que el proceso de reconciliación vaya acompañado de políticas encaminadas a garantizar la estabilidad socioeconómica de las comunidades de forma no discriminatoria manera.	0
Más violencia ocurre en el mercado de Comoro. Un civil muere, ocho personas resultan heridas por arma de fuego y cuatro personas sufren otras heridas graves.	1
40. La resolución que autoriza el establecimiento de la UNMISET fue aprobada por unanimidad como resolución 1410 (2002) el 17 de mayo.	0
En marzo de 2004, en la aldea de Dobo, en el norte de Darfur: &quot;Comenzaron a quemarlo todo y a robar nuestras pertenencias.	1
Esperaban que esto permitiera realizar avances decisivos en las negociaciones cara a cara en el período anterior a la fecha prevista para el acuerdo en junio, respaldada nuevamente por el Consejo.	0
Idlib o El 6 de noviembre de 2014, aviones de combate del régimen sirio atacaron la ciudad de Mouqa con un misil, matando a cinco personas, entre ellas una niña y dos mujeres, además de dañar edificios residenciales.	1
A pesar de los estrictos controles legales y operativos, en toda la región persisten artesanos y empresas familiares que fabrican armas pequeñas y ligeras.	1
Aunque la amenaza de las milicias ilegales en el oeste seguirá siendo baja, en comparación con la mayor parte de Afganistán, estas fuerzas siguen representando el segundo mayor riesgo para la seguridad regional, detrás de las amenazas criminales y relacionadas con las drogas.	1
Una obligación similar incumbe a los rebeldes por todos los crímenes que hayan cometido, independientemente de que se identifique o castigue a los perpetradores.	1
También parece que, si bien el SLM/A es el actor militar más importante de los dos, el JEM es más político y tiene una capacidad militar limitada, en particular tras la supuesta división del grupo y el consiguiente surgimiento del NMRD (véase el párr. 139). abajo).	1
32. En el párrafo 67 de su opinión, el Abogado General expone cinco razones por las que no debería aplicarse un examen minucioso en este contexto: a) el carácter preventivo de las sanciones a Al-Qaida; b) el contexto internacional del acto impugnado; c) la necesidad de equilibrar los requisitos de la lucha contra el terrorismo y los de la protección de los derechos fundamentales; (d) la naturaleza política de las evaluaciones realizadas por el Comité 1267; y (e) las mejoras en los procedimientos de exclusión de la lista dentro del Comité 1267 en los últimos años, particularmente desde la decisión Kadi de 2008 del Tribunal de Justicia.	0
Las personas que se rindieron o regresaron a Kailek fueron confinadas en una pequeña zona abierta contra su voluntad durante un largo período de tiempo (posiblemente más de 50 días).	1
Además, hay una serie de grupos armados palestinos operando en el país dentro y fuera de los campos de refugiados.	1
232. El número estimado de poblaciones afectadas por el conflicto en Darfur, combinado con los refugiados en el Chad (1,65 millones de desplazados internos, 627.000 personas afectadas por el conflicto y 203.051 refugiados) alcanza la asombrosa cifra de casi 2,5 millones de personas afectadas de una manera o otro, la gran mayoría al ser desplazados de sus hogares.	1
La implementación efectiva de las tareas de protección involucra a una amplia gama de actores. Requiere consultas estrechas, incluso entre el Consejo de Seguridad, la Secretaría y los países que aportan contingentes y policías, antes del establecimiento y durante todo el ciclo de vida de las misiones de mantenimiento de la paz.	0
El Consejo expresa su profunda preocupación porque los civiles siguen representando la mayoría de las víctimas de actos de violencia cometidos por partes en conflictos armados, incluso como resultado de ataques deliberados, uso indiscriminado y excesivo de la fuerza, uso de civiles como escudos humanos y de violencia sexual y de género, así como todos los demás actos que violen el derecho internacional aplicable.	0
7) Convenio para la represión de actos ilícitos contra la seguridad de la aviación civil, firmado en Montreal el 23 de septiembre de 1971; ratificado el 10 de agosto de 1973, entró en vigor en la República Socialista Checoslovaca el 9 de septiembre de 1973 y	0
Por primera vez desde el comienzo de la crisis en 2012, dos trabajadores humanitarios murieron el 29 de mayo en la región de Tombuctú cuando su coche chocó contra un artefacto explosivo improvisado controlado a distancia. Los vehículos de dos organizaciones no gubernamentales internacionales fueron secuestrados los días 8 y 9 de noviembre cerca de Ménaka (región de Gao).	1
6. Del 18 de febrero al 13 de marzo, el Real Ejército de Marruecos llevó a cabo una serie de ejercicios de entrenamiento militar previamente programados en las cercanías de Awsard, en los que participaron unos 1.200 soldados de sus unidades de infantería, caballería y artillería ya estacionadas en el subsector de Awsard.	1
a) Las víctimas que hayan sufrido lesiones corporales importantes o deterioro de la salud física o mental como resultado de delitos graves;	1
&quot;El Consejo de Seguridad subraya que los refugios proporcionados a los terroristas siguen siendo una preocupación importante y recuerda que todos los Estados Miembros deben cooperar plenamente en la lucha contra el terrorismo para encontrar refugio, negarlo y llevarlo ante la justicia, sobre la base del principio de extraditar o procesar, cualquier persona que apoye, facilite, participe o intente participar en la financiación, planificación, preparación o comisión de actos terroristas o proporcione refugio seguro.	0
Para ello se utilizó una cantidad de nada menos que 1.000 kilogramos de explosivos militares.	1
Según testigos, los aldeanos huyeron del pueblo en dirección norte, hacia una zona boscosa a unos 5 kilómetros del pueblo.	1
Es interesante observar que algunos de estos grupos armados pueden estar obteniendo sus armas desde la propia República Democrática del Congo, como señaló el Secretario General en su decimonoveno informe sobre la MONUC (S/2005/603) al Consejo de Seguridad. Concejo.	1
Profundamente preocupada por el número cada vez mayor de víctimas, incluidos niños, causado por actos de terrorismo motivados por la intolerancia o el extremismo en diversas regiones del mundo,	1
Además, escuadrones de la muerte y milicias compuestas por elementos autónomos están sembrando el terror y llevando a cabo ejecuciones y secuestros.	1
Nos preocupa gravemente que, a menos que todas las partes ejerzan una firme voluntad de reducir el terrorismo y la violencia, el proceso de paz no tenga éxito.	0
Como primer paso, pedí al Sr. van Walsum que estableciera contactos con las partes y los Estados vecinos para conocer sus opiniones sobre el camino a seguir.	0
Se observó una mayor tensión entre la población local en respuesta a la recaudación ilegal de impuestos y la extorsión por parte de funcionarios abjasios de facto.	1
Después del ataque, toda la población de la zona se dirigió a Kailek.	1
Se recomienda que las contribuciones de las Naciones Unidas a la agenda de estabilización se alineen y armonicen como parte de la próxima revisión del Marco de Asistencia de las Naciones Unidas para el Desarrollo (MANUD).	0
Hubo acuerdo en que se debía reforzar la MONUC para alcanzar lo antes posible el número de efectivos que le había sido encomendado, a fin de permitirle desempeñar eficazmente las tareas que le habían sido asignadas.	1
Los datos recopilados fueron posteriormente fusionados y analizados por la Unidad de Fusión de Información de Todas las Fuentes. La Unidad también comenzó a capacitar a unidades de infantería en materia de concienciación y procedimientos de intercambio de información para mejorar el flujo de información dentro de la fuerza de la MINUSMA.	0
Mi delegación condena firmemente esa violencia y expresa su más sentido pésame a las familias del pediatra fallecido.	0
Las interacciones con la sociedad civil ilustraron que la población no entendía claramente el mandato y la capacidad de la MONUSCO. Entre las poblaciones locales existía la percepción de que sólo la brigada de intervención podía tomar medidas enérgicas para proteger a los civiles, lo cual no es exacto.	1
El Consejo de Seguridad recuerda las obligaciones de los Estados de respetar y garantizar el respeto del derecho internacional humanitario, incluidos los cuatro Convenios de Ginebra, y destaca su responsabilidad de poner fin a la impunidad y enjuiciar a los responsables de genocidio, crímenes de lesa humanidad y violaciones graves del derecho humanitario.	0
La estrategia se centra en el valor que el Comité y su Dirección Ejecutiva añaden a la lucha mundial de las Naciones Unidas contra el terrorismo, informando a una variedad de destinatarios sobre las iniciativas del Comité y las actividades de la Dirección Ejecutiva en todo el mundo.	0
8. Subraya la importancia del acceso seguro y sin obstáculos del personal humanitario a los civiles en los conflictos armados, exhorta a todas las partes interesadas, incluidos los Estados vecinos, a que cooperen plenamente con el Coordinador Humanitario de las Naciones Unidas y los organismos de las Naciones Unidas para proporcionar ese acceso, invita a los Estados y al Secretario General que señale a su atención información sobre la denegación deliberada de dicho acceso en violación del derecho internacional, cuando dicha denegación pueda constituir una amenaza a la paz y la seguridad internacionales y, a este respecto, expresa su voluntad de considerar dicha información y , cuando sea necesario, adoptar las medidas apropiadas;	0
Las agendas en competencia entre actores internacionales, la creación de iniciativas paralelas y la provisión de apoyo de los países regionales a movimientos no signatarios que socava los intentos de persuadir a los movimientos para que se unan al proceso de paz pueden obstaculizar el progreso.	1
Los grupos de trabajo, que hasta ahora han estado integrados exclusivamente por las partes del Acuerdo General de Paz, se reunieron los días 9 y 10 de agosto y han seguido reuniéndose esporádicamente desde entonces.	0
Estudio de caso: ataque a una escuela en Tawila, Darfur del Norte	1
Los dos líderes sentaron las bases para un diálogo continuo entre el Líbano y los palestinos, que en mi opinión manifiesta un paso importante hacia la superación definitiva de un pasado difícil y hacia la reafirmación de la soberanía y la independencia política del Líbano.	0
2. La Dirección Ejecutiva del Comité contra el Terrorismo se creó para un período inicial que finalizará el 31 de diciembre de 2007 y está sujeta a un examen amplio por parte del Consejo de Seguridad antes del 31 de diciembre de 2005.	0
Apoyar a los grupos temáticos de género en entornos posteriores a conflictos, en colaboración con asesores de género de misiones de mantenimiento de la paz, equipos de las Naciones Unidas en los países y otras agencias, fondos y programas.	0
La MINUSMA también identificó a 32 supervivientes de violencia sexual relacionada con el conflicto en la región de Tombuctú y los remitió a organizaciones no gubernamentales dispuestas a ayudarles a presentar sus casos ante el sistema de justicia.	1
64. La misión preguntó al personal militar del Gobierno acerca de los informes de que unas 70 personas, en su mayoría musulmanes, habían sido asesinadas por soldados del Gobierno después de que retomaran la ciudad.	1
