en_es_DEEPL	VerConf
También han reiterado su honda preocupación por los problemas del terrorismo, la piratería, la toma de rehenes y la grave situación humanitaria. En este contexto, han subrayado la necesidad de que se apliquen rápidamente todas las resoluciones pertinentes del Consejo de Seguridad, incluso por parte de las instituciones federales de transición, según proceda.	1
Los Estados de la subregión participan cada vez más en proyectos y programas regionales (que fomentan la solicitud, recopilación e intercambio de información e inteligencia) como medio de mejorar la capacidad para hacer frente a las amenazas fronterizas del terrorismo y la delincuencia organizada.	0
La Comisión no puede estar de acuerdo con la posición del Gobierno de que las estadísticas que representan el trabajo de los comités indican una incidencia mucho menor del delito de violación de lo que informan fuentes como las Naciones Unidas, la UA y otras organizaciones nacionales e internacionales.	1
65. En julio se completó la planificación integrada para orientar la participación y las operaciones de las Naciones Unidas en apoyo del cumplimiento del mandato antes y después del período del referéndum, y tanto la UNMIS como el equipo de las Naciones Unidas en el país establecieron estructuras para coordinar las prioridades identificadas.	0
La desnutrición crónica en los campos de refugiados es un grave problema sanitario y ACNUR y el PMA se proponen adoptar medidas correctoras, entre ellas la alimentación suplementaria de los grupos vulnerables.	0
Forma parte de un mantra constantemente repetido ante este Consejo que no es más cierto por su repetición, que ignora tanto las responsabilidades palestinas como los derechos israelíes, y que no reconoce las insoportables dificultades a las que se enfrentan las fuerzas israelíes al intentar proteger a sus ciudadanos y minimizar el daño a las vidas palestinas cuando los terroristas a los que se enfrentan muestran tan poca preocupación por las vidas palestinas como por las israelíes.	1
La mayoría de los Estados tienen una capacidad limitada para congelar fondos y activos sin demora, y ningún Estado aplica medidas adecuadas para proteger a las organizaciones sin ánimo de lucro de la financiación del terrorismo.	1
Bosnia y Herzegovina expresa su preocupación por el actual estancamiento político a la hora de establecer un nuevo Gobierno y definir un proceso claro de reforma constitucional.	1
"El Consejo de Seguridad toma nota de la decisión de la cumbre de la Unión Africana celebrada en Sirte, en la que se pide al Consejo que imponga sanciones contra quienes, incluida Eritrea, prestan apoyo a los grupos armados dedicados a socavar la paz y la reconciliación en Somalia y la estabilidad regional.	0
18. En su decimocuarto informe, el Equipo examinó la amenaza de atentados contra los gobiernos regionales y la comunidad internacional emanada de Al-Shabaab (S/2013/467, párr. 10), la filial de Al-Qaida en África Oriental con sede en Somalia.	1
Se creará un sistema en virtud del cual las víctimas de explotación y abusos sexuales serán remitidas, caso por caso, a una organización no gubernamental que les prestará la ayuda necesaria.	0
La MINUSMA también identificó a 32 supervivientes de violencia sexual relacionada con el conflicto en la región de Tombuctú y las remitió a organizaciones no gubernamentales dispuestas a ayudarlas a presentar sus casos ante la justicia.	0
El informe abarca los acontecimientos ocurridos desde mi informe anterior sobre la MINURCAT, de fecha 30 de julio de 2010 (S/2010/409), en relación con la situación humanitaria y de seguridad en el este del Chad y el nordeste de la República Centroafricana; los avances en el cumplimiento de las tareas y los parámetros establecidos en los párrafos 2 y 3 de la resolución 1923 (2010) del Consejo de Seguridad; y la ejecución del mandato de la MINURCAT, incluidos los preparativos para su retirada.	0
Es significativo que algunos Estados hayan comenzado recientemente a revisar o hayan puesto fin a los estados de excepción.	0
En segundo lugar, el Sr. Covic expresó su preocupación por la calidad de la democracia en un lugar donde la minoría -los serbios de Kosovo- corre el riesgo de ser superada en votos. Yo diría que considero que el aspecto más importante de la democracia es, en efecto, que uno participe, ejerza los derechos de una democracia y vote.	1
"El Consejo de Seguridad condena la muerte de civiles inocentes y las violaciones de los derechos humanos en el este de la República Democrática del Congo y pide que se investiguen a fondo estos incidentes.	1
El informe de tipologías del GAFI Blanqueo de capitales y financiación del terrorismo a través del sector inmobiliario (2008) sugiere posibles vínculos del sector inmobiliario con la financiación del terrorismo.	1
Existe una aceptación casi universal de que los problemas de Afganistán no pueden resolverse únicamente por medios militares.	0
La recopilación de información oportuna, precisa, fiable y objetiva sobre la violencia sexual relacionada con los conflictos es crucial para adaptar las respuestas del Consejo, así como para mejorar las medidas de prevención de la violencia sexual.	1
Sin embargo, en 2007, tras la emisión de la orden de detención contra Harun y Kushayb, el presidente AlBashir se negó públicamente a ejecutarla, desafió la autoridad del Consejo de Seguridad y afirmó que Harun había hecho lo que se le había ordenado.	1
Hoy no cabe duda de que la verdadera intención era impedir que se hicieran públicos los detalles de sus acciones descabelladamente destructivas bajo las órdenes de la CIA.	1
Están sometidos a una verdadera presión por parte de la comunidad internacional y cualquier comunicación bidireccional pone en peligro su seguridad.	1
Al mismo tiempo, mi delegación considera que los representantes electos de las minorías étnicas en la Asamblea, en particular los representantes serbios, lograrían mejores resultados y mayores beneficios para su electorado si adoptaran una actitud más participativa, en lugar de retirarse de la legislatura cuando se encuentran con una situación difícil.	1
Esto hace que la retórica irresponsable y amenazadora de los dirigentes iraníes sea aún más alarmante.	1
Esto es inaceptable y contradice incluso la prohibición de las minas terrestres declarada públicamente por las fuerzas antigubernamentales.	1
341. Otras fuentes informaron de que mujeres y niñas fueron secuestradas, mantenidas en confinamiento durante varios días y violadas repetidamente por Janjaweed y soldados en aldeas atacadas, campamentos militares y escondites. Además, según los informes, se recurría a la tortura para impedir que las mujeres escaparan.	0
140. En algunas de sus visitas, en particular a Estados menos adelantados, el Equipo ha comprobado que los organismos nacionales pertinentes que se ocupan de la lucha contra el terrorismo carecen gravemente de fondos, en particular en la esfera de la seguridad fronteriza, hasta el punto de que funcionarios relativamente superiores carecen de acceso a computadoras y otras tecnologías pertinentes y otros tienen poco o ningún personal para realizar tareas críticas.	0
En una sociedad profundamente dividida, que aún se está recuperando del trauma post-conflicto, la creación de los ministerios de Justicia e Interior podría dar la impresión de que han caído bajo el control de un partido político o de un grupo étnico.	0
A cambio, las autoridades de Belgrado deben poner fin a su táctica de obstrucción, que impide a los serbokosovares participar en las instituciones públicas de Kosovo. La "política de la silla vacante" entraña grandes riesgos de que la historia de Kosovo se escriba sin los serbios de Kosovo.	1
En 1993, esa visión era, en el mejor de los casos, borrosa. En aquel momento, era imposible definir unos objetivos finales que se aproximaran a la satisfacción de las preocupaciones de ambos pueblos.	1
:: 14 de marzo de 2005, una contramanifestación liderada por cristianos y suníes exige la retirada de las tropas sirias y la detención del jefe de los servicios de seguridad e inteligencia.	1
Bin Laden necesita proporcionar un equilibrio a las acciones de Zarqawi y demostrar que sigue teniendo un alcance mundial organizando atentados espectaculares en otros lugares, lo que le permitiría recuperar la senda estratégica que se marcó antes de la pérdida de su base afgana en 2001.	0
o El 29 de noviembre de 2014, helicópteros del régimen lanzaron 2 barriles bomba contra una clínica de la localidad de Kafr Sajna, en Idlib, destruyéndola parcialmente.	0
En la 6492ª sesión del Consejo de Seguridad, celebrada el 28 de febrero de 2011, en relación con el examen por el Consejo del tema titulado "Amenazas a la paz y la seguridad internacionales causadas por actos terroristas", el Presidente del Consejo de Seguridad hizo la siguiente declaración en nombre del Consejo:	0
Determinar que la situación en la región sigue constituyendo una amenaza para la paz y la seguridad internacionales,	1
Al mismo tiempo, los otros elementos cruciales de este proceso de fortalecimiento institucional son la consolidación del Estado de derecho mediante la mejora de la eficacia, la imparcialidad y el funcionamiento general del sistema judicial, y la mejora de las instituciones encargadas de hacer cumplir la ley para frenar la delincuencia organizada y la violencia étnica y llevar a todos los delincuentes ante la justicia.	1
El Comité espera que continúe este apoyo altamente profesional.	0
32. Las actividades de Landmine Action también incluyen la formación de residentes para reconocer artefactos explosivos.	0
Los principales elementos de su declaración, así como el intercambio de opiniones entre los miembros del Grupo de Trabajo, se reflejan en el resumen que figura en las conclusiones pertinentes (S/AC.51/2013/3).	0
La Comisión también recibió pruebas creíbles de que en las filas de los Janjaweed hay combatientes procedentes de países vecinos, principalmente Chad y la Jamahiriya Árabe Libia.	0
El Consejo de Seguridad insta a todas las partes en los conflictos armados, incluidas las partes no estatales, a que pongan fin a tales prácticas.	1
Las peticiones de la UNMIK y la KFOR de datos sobre la presencia del ANA en el interior del Cuerpo de Protección de Kosovo se encontraron con una respuesta muy característica por parte del comandante del Cuerpo, que dijo que, en virtud de sus limitados poderes, no podía ofrecer más información.	1
10. Reitera la importancia de que todos los Estados determinen, y en caso necesario introduzcan, procedimientos adecuados para aplicar plenamente todos los aspectos de las medidas descritas en el apartado 1 anterior, insta encarecidamente a todos los Estados miembros a que apliquen las normas internacionales generales recogidas en las Cuarenta Recomendaciones revisadas del Grupo de Acción Financiera Internacional (GAFI) sobre la lucha contra el blanqueo de capitales y la financiación del terrorismo y la proliferación, en particular la Recomendación 6 sobre sanciones financieras específicas relacionadas con el terrorismo y la financiación del terrorismo;	1
Exhortando a los Estados a que cooperen plenamente con el Comité contra el Terrorismo (CCT) establecido en virtud de la resolución 1373 (2001), incluida la Dirección Ejecutiva del Comité contra el Terrorismo (Dirección Ejecutiva) recientemente establecida, el "Comité de Sanciones contra Al-Qaida y los talibanes" establecido en virtud de la resolución 1267 (1999) y su Equipo de apoyo analítico y vigilancia de las sanciones, y el Comité establecido en virtud de la resolución 1540 (2004), y exhortando además a esos órganos a que intensifiquen la cooperación entre sí,	0
En una región tan compleja como vital para el mantenimiento de la paz y la seguridad internacionales, las autoridades encuentran grandes dificultades y limitaciones para responder a las demandas y expectativas de una población ávida de reformas.	1
Siete han establecido una jurisdicción adecuada para los delitos pertinentes en su legislación, cinco han tomado algunas medidas al respecto y no hay información suficiente con respecto a nueve Estados.	0
Pedir a los Estados y a las organizaciones regionales y subregionales que adopten medidas para frenar y reducir el tráfico ilícito de armas pequeñas y ligeras, como la recogida y destrucción voluntarias; la gestión eficaz de los arsenales; los embargos de armas; las sanciones; y las medidas legales contra los agentes empresariales, los individuos y las entidades implicados en tales actividades.	0
Reafirmando que no debe permitirse que los actos de terrorismo perturben la transición política y económica de Iraq, y reafirmando además las obligaciones de los Estados miembros en virtud de la resolución 1618 (2005), de 4 de agosto de 2005, y de otras resoluciones y convenciones internacionales pertinentes con respecto, entre otras cosas, a las actividades terroristas en Iraq y desde Iraq o contra sus ciudadanos,	1
MINURCAT también está ayudando al DIS a crear una biblioteca de referencia que incluirá material de apoyo educativo para la futura formación del personal del DIS.	0
66. En un incidente, en Abobo, PK 18, seis jóvenes que vivían en el mismo barrio fueron sacados por la fuerza de su casa a las 23.00 horas del 25 de marzo por policías y miembros enmascarados de unidades especiales o de las denominadas fuerzas paralelas.	0
Sin embargo, nos preocupa que la toma de decisiones clave se haya visto socavada hasta la fecha por la falta de consenso político.	1
En este contexto, observo también que el Presidente Abbas se ha referido a la petición de la Autoridad Palestina de establecer una misión diplomática palestina en Beirut, lo que contribuiría a la formalización de las relaciones entre los pueblos libanés y palestino.	0
Reiterando su profunda preocupación por el hecho de que, a pesar de su reiterada condena de la violencia contra las mujeres y los niños, incluidas todas las formas de violencia sexual en situaciones de conflicto armado, y a pesar de sus llamamientos dirigidos a todas las partes en los conflictos armados para que pongan fin a tales actos con efecto inmediato, tales actos siguen produciéndose y, en algunas situaciones, se han convertido en sistemáticos o generalizados.	1
4. Insta a la Dirección Ejecutiva del Comité contra el Terrorismo a que siga reforzando su función de facilitar asistencia técnica para la aplicación de la resolución 1373 (2001) destinada a aumentar las capacidades de los Estados miembros en la lucha contra el terrorismo atendiendo a sus necesidades en materia de lucha contra el terrorismo;	0
El atentado de septiembre de 2013 contra el centro comercial Westgate de Nairobi demuestra la capacidad de Al Shabaab incluso después de haber perdido terreno en Somalia.	0
Nos preocupa el aumento de la insurgencia en ciertas partes de Afganistán.	1
Sin embargo, el Equipo recomienda que el Consejo de Seguridad señale a los Estados Miembros que están obligados por el régimen de sanciones a impedir el uso de Internet para el suministro, la venta o la transferencia directos o indirectos de asesoramiento técnico, asistencia o capacitación relacionados con actividades militares a las personas y entidades incluidas en la lista desde sus territorios o por sus nacionales fuera de ellos.	1
Aunque aún no ha comenzado el periodo oficial de campaña, los partidos de la oposición y la sociedad civil expresaron su preocupación por la perturbación de sus actividades políticas por parte de las autoridades nacionales, especialmente la policía.	1
El Consejo de Seguridad reconoce la necesidad de que los organismos humanitarios mantengan un compromiso constante con todas las partes en los conflictos armados con fines humanitarios, incluidas las actividades encaminadas a garantizar el respeto del derecho internacional humanitario.	0
Reforzar la capacidad de los Estados para prevenir la proliferación y responder a los ataques con armas de destrucción masiva	0
En algunos casos, se impidió a los desplazados acceder a su ganado y cultivos cercanos por la amenaza de ataques fuera de los campamentos por parte de los Janjaweed.	1
15. La OTAN concluyó con éxito su misión militar en Bosnia-Herzegovina el 2 de diciembre en una ceremonia oficial celebrada en el Campamento Butmir de Sarajevo.	0
Funcionarios yemeníes declararon al Equipo que alrededor del 30% de los secuestros en Yemen fueron cometidos por AQAP.	0
Además, existe la preocupación de que el activo tráfico de armas por drogas procedente de Afganistán pueda conducir a la financiación del terrorismo en los Estados vecinos de Asia Central, a través de las actividades de los correos de efectivo.	1
Cursos de formación sobre el tema de la explotación y el abuso sexuales; desarrollo de políticas y procedimientos sobre aspectos organizativos de la asistencia a las víctimas.	0
El Consejo expresa su más profunda preocupación por el hecho de que los civiles sigan constituyendo la mayoría de las víctimas de los actos de violencia cometidos por las partes en los conflictos armados, en particular como consecuencia de los ataques deliberados contra ellos, del uso indiscriminado y excesivo de la fuerza, de la utilización de civiles como escudos humanos y de la violencia sexual y de género, así como de todos los demás actos que violan el Derecho internacional aplicable.	1
Nuestra principal preocupación a este respecto es el hecho de que, según el informe, todavía no se ha aplicado plenamente ni una sola de las ocho normas principales.	1
Advirtió del riesgo de que invitar a un Grupo de Amigos, que incluye a personas que no son miembros del Consejo, a participar en el proceso de toma de decisiones del Consejo pueda causar ineficiencias.	1
213. Abdel-Al también tiene conexiones notables con un importante almacén de armas descubierto en el sur de Beirut en julio de 2005. Este almacén de armas fue asaltado por las ISF el 26 de julio de 2005 y se detuvo a cinco personas estrechamente relacionadas con la antigua milicia Mourabitoun.	0
42. En colaboración con organizaciones nacionales e internacionales, la MINUSMA ha llevado a cabo 10 proyectos de efecto rápido desde junio, entre ellos la rehabilitación y el equipamiento de comisarías de policía y gendarmería en las regiones de Gao y Tombuctú y el apoyo a asociaciones de mujeres. El 13 de octubre, la MINUSMA y la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO) pusieron en marcha un proyecto de efecto rápido para rehabilitar cuatro bibliotecas privadas de Tombuctú, en las que se conservan manuscritos antiguos.	0
Afirmando su apoyo a los tratados multilaterales cuyo objetivo es eliminar o prevenir la proliferación de armas nucleares, químicas o biológicas y la importancia de que todos los Estados parte en dichos tratados los apliquen plenamente para promover la estabilidad internacional,	0
Estados Unidos insta a las autoridades de Haití a que cumplan su promesa de cubrir las seis vacantes del Tribunal Supremo de la Cour de Cassation antes del 3 de octubre de 2011.	1
En este sentido, pensamos que las acciones destructivas encaminadas a obtener beneficios políticos unilaterales deben condenarse categóricamente.	1
Así pues, la comunidad internacional debe tomar las medidas necesarias para impedir que Israel persista en la deplorable y destructiva política que ha iniciado en Gaza, y debe subrayar su rechazo a todas estas prácticas israelíes, que constituyen una violación del derecho internacional y del derecho internacional humanitario.	1
El 7 de diciembre, el Consejo escuchó sendas exposiciones del Presidente del Tribunal Internacional para la ex Yugoslavia, Theodor Meron, y de la Presidenta del Tribunal Penal Internacional para Ruanda, Khalida Rachid Khan. Destacaron las contribuciones de estos tribunales al derecho penal internacional, pero advirtieron de que la escasez de recursos, la falta de cooperación de los Estados en ámbitos críticos y los continuos problemas de personal amenazaban la conclusión satisfactoria de su labor.	1
Estas declaraciones ofensivas, descorteses, inaceptables y amenazadoras del Presidente ugandés constituyen una violación flagrante de la Carta de las Naciones Unidas y, en particular, del artículo 2 (4), que establece claramente que "Todos los Miembros, en sus relaciones internacionales, se abstendrán de recurrir a la amenaza o al uso de la fuerza contra la integridad territorial o la independencia política de cualquier Estado, o en cualquier otra forma incompatible con los Propósitos de las Naciones Unidas".	1
Más allá de sus consecuencias inmediatas, el ataque contra Aro Sharow y las aldeas cercanas es motivo de grave preocupación porque puede ser señal del comienzo de un ataque deliberado contra poblaciones de desplazados internos por parte de las milicias y de la incapacidad, o falta de voluntad, de las fuerzas gubernamentales para proporcionar una protección eficaz a los campamentos y aldeas donde residen los desplazados internos.	1
o El 29 de noviembre de 2014, aviones de guerra del régimen lanzaron 2 bombas de barril contra la escuela Wahid al-Yousef, en la localidad de Kafr Sajna, Idlib, destruyéndola por completo. Lugares de culto	0
Condenar todos los ataques contra las fuerzas de mantenimiento de la paz y el personal humanitario de las Naciones Unidas, independientemente de sus autores, y hacer hincapié en que los responsables de dichos ataques deben ser llevados ante la justicia.	1
Sobre todo, nuestras preocupaciones estaban relacionadas con la insistencia de las autoridades de Pristina en aplicar de algún modo la denominada estrategia para el norte de Kosovo, incumpliendo descaradamente la resolución 1244 (1999), que sigue siendo la principal plataforma jurídica internacional para un acuerdo sobre Kosovo.	1
"El Consejo de Seguridad apoya que se lleve adelante, incluso por parte de las entidades pertinentes de las Naciones Unidas, el conjunto de indicadores que figuran en el informe del Secretario General (S/2010/498) para que se utilicen como marco inicial de seguimiento de la aplicación de su resolución 1325 en situaciones de conflicto armado y posteriores a conflictos y otras situaciones pertinentes para la aplicación de la resolución 1325, según proceda, y teniendo en cuenta la especificidad de cada país.	0
Separaron a la víctima del grupo, le vendaron los ojos, la tiraron al suelo de espaldas y la violaron.	0
Sin embargo, tras muchos años de guerra, y también como resultado de la fuerte presión internacional, el Gobierno y el principal movimiento rebelde del sur, el Movimiento/Ejército Popular de Liberación de Sudán, iniciaron conversaciones de paz en 2002.	0
4. Con el fin de seguir reforzando el seguimiento de la aplicación de las resoluciones 1373 (2001) y 1624 (2005) por parte de los Estados miembros, la Dirección Ejecutiva continuará haciendo balance de sus esfuerzos de aplicación, utilizando los instrumentos de evaluación revisados del Comité (la visión general de la evaluación de la aplicación y el estudio detallado de la aplicación); para identificar los retos y las necesidades de todos los Estados miembros y regiones; y para facilitar la prestación de asistencia técnica específica a ese respecto.	0
Nos decepcionó, señor Presidente, que, a pesar de sus esfuerzos y los de muchos otros, el Consejo fuera incapaz de condenar ese atroz ataque terrorista.	1
:: Evaluación de los avances en el proceso de consolidación de la paz antes de considerar las decisiones sobre la reducción y/o la transición de una forma de participación de las Naciones Unidas a otra, que podría incluir: (a) nivel de apoyo y compromiso de la comunidad internacional; (b) formas de mejorar la capacidad de los equipos de las Naciones Unidas en los países para que puedan seguir apoyando los esfuerzos de consolidación de la paz a largo plazo en los países incluidos en el programa; y (c) oportunidades y riesgos específicos de cada país para la consolidación de la paz.	0
El componente militar sigue prestando servicio en condiciones extremadamente difíciles en el norte.	0
Además, los líderes albanokosovares han percibido la victoria del Presidente Kostunica como una amenaza a sus aspiraciones de independencia para la provincia.	1
Ese plazo no se cumplió. El Presidente Gbagbo firmó un decreto el 20 de febrero de 2008 formalizando la creación de un grupo de trabajo para desarrollar el marco.	0
No podemos enviar el mensaje de que los terroristas serán inmunes y contentarnos con condenas rutinarias.	1
Por tanto, los detenidos viven en una oscuridad casi total durante la mayor parte del día y de la noche, y durante periodos que pueden llegar a meses.	0
El Consejo de Seguridad reitera también su apoyo al Representante Especial del Secretario General, Sr. Ahmedou Ould-Abdallah, por sus esfuerzos para hacer avanzar el proceso político en Somalia.	0
Los equipos de seguridad libaneses (policía y militares) trabajaron codo con codo con el equipo de seguridad de la Comisión para garantizar la seguridad del personal y de los locales.	0
A este respecto, estamos muy preocupados por la situación de la seguridad en Afganistán, que se ha deteriorado desde el año pasado como consecuencia de las actividades subversivas de elementos residuales talibanes y de Al Qaeda, los enfrentamientos entre señores de la guerra y el tráfico de estupefacientes.	1
En primer lugar, han creado una emergencia humanitaria permanente que amenaza la paz y la estabilidad de Haití.	1
:: 26 de abril de 2005, las últimas tropas sirias abandonan Líbano poniendo fin a una presencia militar de 29 años.	0
Ante todo, las preocupaciones en materia de seguridad siguen siendo primordiales.	1
Emprenden todas estas acciones y luego piden protección y garantías y las utilizan como cortina de humo para seguir con sus extorsiones y obtener más concesiones de nosotros.	1
En muchos de los casos, mujeres y hombres fueron secuestrados o desaparecieron, muchos sin dejar rastro.	0
Podríamos seguir mencionando la pobreza generalizada, los problemas en la gestión de los recursos naturales, los miles de refugiados y desplazados internos, otros miles de excombatientes a la espera de su reinserción, unos sectores de seguridad débiles y sin reformar, las violaciones masivas de los derechos humanos y muchas otras amenazas que podrían alimentar nuevos conflictos.	1
81. La capacidad de los mandos para ejercer el control, mantener el conocimiento de la situación y planificar y coordinar sus acciones vertical y horizontalmente a través de la estructura de mando es fundamental para cualquier operación militar o paramilitar. Dado que Al-Qaeda, los talibanes y sus asociados se dedican a este tipo de actividades, también ellos deben poseer los medios necesarios para ello, incluyendo equipos de comunicaciones.	1
A pesar de nuestra valoración de que sigue siendo difícil lograr un alto el fuego completo en estos momentos, sigo siendo de la opinión de que la comunidad internacional debe dejar clara su postura sobre la necesidad de un cese inmediato de las hostilidades y de un esfuerzo mucho mayor y más creíble por parte de Israel para proteger a los civiles y las infraestructuras civiles mientras se desarrollan urgentemente las condiciones para dicho cese.	1
Se dice que muchas aldeas fueron atacadas más de una vez, hasta quedar completamente destruidas.	0
132. Mientras el Comité e Interpol determinan la mejor manera de avanzar, el Equipo espera que la base de datos de Interpol pueda proporcionar información adicional de identificación sobre las personas incluidas en la Lista consolidada.	0
Trágicamente, el subcomandante y un guardia murieron en el ataque, mientras que el comandante y un supervisor resultaron heridos.	0
Recordando la Declaración de la Presidencia del Consejo de Seguridad (S/PRST/2012/17), de 4 de mayo de 2012, sobre las amenazas a la paz y la seguridad internacionales causadas por actos terroristas,	1
9. En su resolución 22/13, el Consejo de Derechos Humanos instó al Gobierno de la República Popular Democrática de Corea a cooperar plenamente con la investigación de la comisión, a permitir el acceso sin restricciones de los miembros de la comisión para visitar el país y a proporcionarles toda la información necesaria para que puedan cumplir su mandato.	1
Exige que todos los grupos armados, en particular los elementos de [grupo armado específico] impidan el reclutamiento y la utilización de niños, exige además que todas las partes protejan y consideren víctimas a los niños que hayan sido liberados o separados de otro modo de las fuerzas armadas y los grupos armados, y subraya la necesidad de prestar especial atención a la protección, liberación y reintegración de todos los niños vinculados a grupos armados;	1
"El Consejo de Seguridad reafirma además la necesidad de combatir por todos los medios, de conformidad con la Carta de las Naciones Unidas, las amenazas a la paz y la seguridad internacionales causadas por actos terroristas.	0
