en_es_TRANSFORMERS	VerConf
Como UNAMA, seríamos irresponsables si no hacemos un llamamiento a la comunidad internacional, al Gobierno del Pakistán y al Gobierno del Afganistán y sus fuerzas nacionales para que pongan fin a esa situación, en particular en la frontera meridional.	1
Instamos a todas las partes a que actúen con moderación y eviten actos de provocación o pronunciamientos que puedan desencadenar más violencia.	1
Sin embargo, nos sigue preocupando que se haga demasiado hincapié en las visitas a los países en desarrollo.	1
89. El ex Primer Ministro declaró que durante la reunión aprovechó la oportunidad para examinar con el Ministro del Interior la necesidad de que un grupo de civiles apoyara a la PNTL de la URP, pero que no hubo debate sobre el suministro de armas o uniformes a ese grupo.	0
Por ejemplo, la dificultad de vigilar las fronteras en la región del Sahel y el Sáhara ha permitido a AQIM* y sus asociados circular libremente, recaudar dinero del contrabando, adquirir armas y explosivos y capacitar a nuevos reclutas en condiciones de relativa seguridad.	0
Al 8 de septiembre, la dotación total de la ONUCI era de 6.430 efectivos, frente a una dotación autorizada de 7.090, incluidos 200 observadores militares.	0
El mayor riesgo es que África se convierta en un campamento de adiestramiento, una base de reclutamiento y un punto de tránsito para terroristas y un centro de movilización de fondos para otras actividades ilegales.	1
El Grupo de Trabajo 3, presidido por la República de Corea, apoyó los esfuerzos de los Estados, la industria marítima y los grupos de trabajadores para proteger a los buques de la piratería frente a las costas de Somalia.	0
Durante años han proseguido en Burundi, incluso con las Naciones Unidas, los debates y negociaciones para asegurar la rendición de cuentas por los delitos tipificados en el derecho internacional.	0
Las autoridades convinieron en que los albaneses étnicos habían sido víctimas de discriminación social e institucional y aceptaron que las medidas de fomento de la confianza, como la inclusión de los albaneses étnicos en la policía local y el aumento de la representación en las estructuras políticas, contribuirían en gran medida a reducir las tensiones y a lograr la estabilidad a más largo plazo en la región.	0
Sin embargo, el proceso también ha puesto de manifiesto la importancia de los problemas que aún se plantean al sector de la seguridad de Liberia, especialmente en lo que respecta a la capacidad logística, de comunicaciones y de movilidad de la policía y el servicio de inmigración.	1
Los atacantes llevaban los mismos uniformes caquis que los soldados del Gobierno, y estaban armados con Kalashnikovs G-3 y granadas propulsadas por cohetes (RPG).	0
Hasta la fecha no ha habido mejoras en la reforma administrativa a nivel nacional.	1
Habiendo determinado que la situación en Somalia sigue constituyendo una amenaza para la paz y la seguridad internacionales en la región,	1
2. Exhorta al Gobierno de Siria a que cumpla visiblemente sus compromisos en su totalidad, como convino en hacer en el Entendimiento Preliminar y como se estipula en la resolución 2042 (2012), de a) poner fin a los movimientos de tropas hacia los centros de población, b) poner fin a todo uso de armas pesadas en esos centros, c) retirar por completo las concentraciones militares en los centros de población y sus alrededores, así como de retirar sus tropas y armas pesadas de los centros de población a sus cuarteles o lugares de despliegue temporal para facilitar el cese sostenido de la violencia;	1
El informe confirma un panorama preocupante de la situación en la región del Sahel y las preocupaciones conexas en materia de seguridad, económica y humanitaria.	1
El Consejo de Seguridad condena en los términos más enérgicos los ataques terroristas que tuvieron lugar en Argel el 11 de diciembre de 2007, cerca de la Corte Suprema y de las oficinas de las Naciones Unidas, que causaron numerosos muertos y heridos, y expresa su profundo pésame y sus condolencias a las víctimas de este atroz acto de terrorismo y a sus familias, así como al pueblo y al Gobierno de Argelia.	1
Los participantes convinieron en que la presencia de AlQaida en la Península Arábiga en el Yemen planteaba un gran desafío para una transición pacífica y subrayaron la necesidad de que se prestara apoyo internacional específico al Yemen para combatir el terrorismo.	1
También nos preocupa la elevada tasa de desempleo y la pobreza generalizada en el país.	1
El Centro de Coordinación de Actividades relativas a las Minas, recientemente establecido, está trabajando para mejorar la información sobre la contaminación y la respuesta frente a las minas, elevar el nivel de seguridad del personal de las Naciones Unidas que trabaja sobre el terreno y prestar apoyo técnico y material a los programas de actividades relativas a las minas en el Sáhara Occidental.	0
Además, los menores no siempre están separados de los adultos y algunos presos siguen sometidos a largos períodos de detención preventiva, a veces de hasta 10 años.	0
Piden que las partes en los conflictos armados cumplan estrictamente el derecho internacional humanitario aplicable, incluidas las prohibiciones contra:	1
Éstas siguen siendo un arma versátil y peligrosa y la principal causa de bajas civiles en muchos ataques terroristas perpetrados por afiliados a Al-Qaida.	0
He condenado el ataque terrorista contra la embajada india en Kabul.	1
Acogiendo con beneplácito el papel de la Unión Africana en los esfuerzos por resolver los conflictos en el continente africano y expresando su apoyo a las iniciativas de paz emprendidas por la Unión Africana y por conducto de las organizaciones subregionales,	0
Aunque el período oficial de la campaña aún no ha comenzado, los partidos de la oposición y la sociedad civil expresaron su preocupación por la perturbación de sus actividades políticas por parte de las autoridades nacionales, en particular la policía.	1
Pero no creemos que la soberanía exija que el Consejo guarde silencio cuando los gobiernos masacran a su propio pueblo, amenazando la paz y la seguridad regionales en el proceso.	1
Una reunión celebrada en Damasco entre el Sr. Hariri y el Presidente Al-Assad el 26 de agosto de 2004 pareció llevar el conflicto a un primer plano.	0
12. Exhorta a los Estados Miembros a que adopten medidas enérgicas y decisivas para reducir las corrientes de fondos y otros activos financieros y recursos económicos hacia las personas y entidades incluidas en la Lista relativa a las sanciones contra Al-Qaida, como se exige en el apartado a) del párrafo 1, y teniendo en cuenta las recomendaciones pertinentes del GAFI y las normas internacionales destinadas a prevenir el uso indebido de organizaciones sin fines de lucro, los sistemas de envío de remesas no oficiales o alternativos y el movimiento físico transfronterizo de divisas, procurando al mismo tiempo mitigar los efectos en las actividades legítimas por esos medios;	0
De hecho, ya es hora de que la comunidad internacional adopte medidas eficaces para proteger y hacer respetar los derechos más básicos del pueblo palestino y ayudar a poner fin al círculo vicioso de violencia provocado por la persistente y continuada ocupación ilegal de los territorios palestinos por Israel.	1
Si bien el Consejo de Seguridad ha confirmado que las sanciones financieras también se aplican a la prestación de servicios de hospedaje en Internet y servicios conexos, los terroristas y los grupos terroristas pueden hacer un amplio uso de los servicios de Internet.	0
17. Exige que todas las partes en los procesos de Goma y Nairobi respeten la cesación del fuego y cumplan sus compromisos de manera efectiva y de buena fe, exhorta a todos los grupos armados a que depongan de inmediato sus armas y se presenten sin más demora ni condiciones previas a las autoridades congoleñas y a la MONUC para su desarme, repatriación, reasentamiento o reintegración, según proceda;	0
9. Exhorta a los Estados que aún no lo hayan hecho a que consideren la posibilidad de ratificar los instrumentos del derecho internacional humanitario, el derecho de los derechos humanos y el derecho de los refugiados y a que adopten las medidas legislativas, judiciales y administrativas apropiadas para cumplir las obligaciones que les incumben en virtud de esos instrumentos;	0
De conformidad con esta política, tan pronto como se enteró de la indeseable presencia de los rebeldes ugandeses del Ejército de Resistencia del Señor (LRA), mi Gobierno no dudó en absoluto en darles un ultimátum para abandonar el territorio nacional inmediatamente.	1
Estas desapariciones forzadas internacionales son únicas en su intensidad, escala y naturaleza.	0
El apoyo debe estar condicionado a los progresos realizados por las autoridades congoleñas hacia el establecimiento de una cadena de suministro en funcionamiento en las FARDC, lo que debe ir acompañado de esfuerzos para mejorar la rendición de cuentas de las FARDC y su respeto de los derechos humanos.	0
Existe una aceptación casi universal de que los problemas del Afganistán no pueden resolverse únicamente por medios militares.	0
o El 9 de noviembre de 2014, helicópteros del régimen arrojaron múltiples bombas de barril sobre la ciudad de Dael, matando a 6 personas, incluidos 2 niños, además de dañar edificios residenciales.	0
El presente informe del Comité del Consejo de Seguridad establecido en virtud de la resolución 1518 (2003) abarca el período comprendido entre el 1° de enero y el 31 de diciembre de 2009.	0
Bin Laden debe proporcionar un equilibrio a las acciones de Zarqawi y demostrar su continuo alcance mundial mediante ataques espectaculares en otros lugares, lo que le permitirá recuperar el camino estratégico que estableció antes de la pérdida de su base afgana en 2001.	0
Hemos hecho un llamamiento al Consejo en varias ocasiones para que actúe a fin de obligar a Israel a poner fin a sus ataques militares, garantizar la protección de la población civil y poner fin a las medidas ilegales y punitivas mediante las cuales está causando deliberadamente una catástrofe humana en la Franja de Gaza.	1
La adición de esos nombres demuestra además la continua preocupación del Comité por la amenaza que representan los talibanes para la paz y la seguridad internacionales.	1
En Zoran Kupreškić y otros, la Sala de Primera Instancia del Tribunal Internacional para la ex Yugoslavia definió la persecución como la denegación manifiesta o flagrante, por motivos discriminatorios, de un derecho fundamental, establecido en el derecho internacional consuetudinario o en el derecho de los tratados, que alcanzaba el mismo nivel de gravedad que los demás actos prohibidos en el artículo 5.	1
Cuando son detenidos o repatriados por la fuerza, los funcionarios de la República Popular Democrática de Corea los someten sistemáticamente a persecución, tortura, detención arbitraria prolongada y, en algunos casos, violencia sexual, incluso durante registros corporales invasivos.	0
Es evidente que los terroristas utilizarán las armas más fiables y eficaces que puedan obtener.	0
Sin embargo, sigue existiendo la posibilidad de una completa ruptura del orden público, además del colapso de la frágil economía y la desintegración de las instituciones del gobierno autónomo palestino.	1
Los miembros del Consejo también expresaron su expectativa de que las autoridades etíopes realizarían pronto un seguimiento de la reunión de La Haya, con miras a establecer las modalidades para una rápida aplicación de la decisión sobre la delimitación de fronteras.	0
La Fiscal lamentó que la situación de seguridad en Libia hubiera empeorado, que hubiera aumentado la inestabilidad política y que, como resultado, el entorno existente no fuera propicio para cerrar la brecha de impunidad en Libia.	1
La labor de las Naciones Unidas en la elaboración de estrategias regionales y nacionales de lucha contra el terrorismo proporciona un buen marco político para que los países colaboren.	0
También hay una gran cantidad de material creíble que sugiere que se cometieron actos criminales como parte de ataques generalizados o sistemáticos dirigidos contra la población civil, con conocimiento de los ataques.	0
Subraya la necesidad de un compromiso sin reservas con el proceso de integración de las fuerzas armadas, en el espíritu del Acuerdo global e inclusivo.	0
En su informe, el Secretario General señala algunas mejoras en todas esas esferas, salvo la cuestión central de la reforma del gobierno local y, en particular, la descentralización, donde no se han logrado progresos.	1
1. Decide que todos los Estados adopten las siguientes medidas con respecto a las personas y entidades designadas antes de esa fecha como talibanes y otras personas, grupos, empresas y entidades asociados con ellos, según se especifica en la sección A ("Individuos asociados con los talibanes") y en la sección B ("entidades y otros grupos y empresas asociados con los talibanes") de la Lista consolidada del Comité establecido en virtud de las resoluciones 1267 (1999) y 1333 (2000) a partir de la fecha de aprobación de la presente resolución, así como a otras personas, grupos, empresas y entidades asociados con los talibanes que constituyan una amenaza para la paz, la estabilidad y la seguridad del Afganistán, según lo designado por el Comité establecido en el párrafo 30 (en adelante "la Lista"):	1
Además, se sabía que el lugar del crimen había sido perturbado en varias ocasiones.	0
Sin embargo, cualquier cambio en los acuerdos tendría que ser mutuamente aceptable y mantenerse en consonancia con el principio de que las fuerzas militares deben mantener el statu quo durante la cesación del fuego y que se debe permitir que los observadores militares de la MINURSO ejerzan plena libertad de circulación, de conformidad con los principios básicos de mantenimiento de la paz.	0
El 18 de noviembre, el Consejo celebró una reunión informativa y consultas sobre los informes del Secretario General sobre las actividades de la Misión de Asistencia de las Naciones Unidas para el Iraq (UNAMI) (S/2014//774) y la búsqueda de nacionales de Kuwait y de terceros países desaparecidos y de bienes kuwaitíes desaparecidos, incluidos los archivos nacionales (S/2014/776).	0
La decisión de expulsar a los trabajadores humanitarios y silenciar a otros mediante amenazas de expulsión, o los intentos de restringir la libertad de circulación de la Operación Híbrida de la Unión Africana y las Naciones Unidas en Darfur (UNAMID) forman parte de esta política para reducir la capacidad de vigilancia de la comunidad internacional.	1
La Ley penal del Sudán y la Ley de procedimiento penal no contienen disposiciones sustantivas y procesales que puedan aplicarse a la situación especial de los delitos cometidos durante un conflicto armado.	1
El Chad y Guinea también se mencionaron en el contexto de la alerta temprana, donde el deterioro de las situaciones humanitarias podía tener consecuencias para la estabilidad regional.	1
Condeno en los términos más enérgicos los reprobables ataques dirigidos contra personas que apoyan al pueblo somalí en sus esfuerzos por combatir la delincuencia organizada que está obstaculizando el desarrollo de su país.	1
- Deben reforzarse urgentemente las medidas para detectar y detener la corriente de financiación y fondos con fines terroristas;	1
Preocupada por el hecho de que los combatientes terroristas extranjeros aumenten la intensidad, la duración y la inextricabilidad de los conflictos, y también puedan representar una grave amenaza para sus Estados de origen, los Estados de tránsito y los Estados a los que viajan, así como los Estados vecinos de zonas de conflicto armado en las que los combatientes terroristas extranjeros están activos y que se ven afectados por graves cargas de seguridad, y observando que la amenaza de los combatientes terroristas extranjeros puede afectar a todas las regiones y Estados Miembros, incluso a los que están lejos de las zonas de conflicto, y expresando grave preocupación por el hecho de que los combatientes terroristas extranjeros utilicen su ideología extremista para promover el terrorismo,	1
485. Es decepcionante que los comités se limitaran al delito de violación y no tramitaran los casos en que se denunciaron otras formas de abuso sexual, incluido el intento de violación.	0
En cuanto a la situación humanitaria, a Guatemala le preocupa que, según la Oficina de Coordinación de Asuntos Humanitarios (OCAH), 20 millones de personas en el Sahel necesiten asistencia humanitaria, en particular en Mauritania, el Níger, Burkina Faso y el Chad.	1
Recuerda la prohibición del desplazamiento forzoso de civiles en situaciones de conflicto armado en circunstancias que violan las obligaciones de las partes en virtud del derecho internacional humanitario.	0
Sr. Presidente: Nos decepcionó que, a pesar de sus esfuerzos y los de muchos otros, el Consejo no pudiera condenar ese atroz ataque terrorista.	1
Las definiciones de terrorismo de algunos Estados parecen ambiguas o demasiado amplias y deben ajustarse a las normas internacionales.	1
Sin embargo, el elemento crucial de la intención genocida parece faltar, al menos en lo que respecta a las autoridades del Gobierno central.	1
Las principales facciones palestinas del Líbano expresaron su preocupación por los incidentes y se desvincularon de Fatah al-Islam.	1
El mantenimiento por Hizbullah de una capacidad militar sofisticada y considerable fuera del control del Gobierno del Líbano crea efectivamente un clima de intimidación y representa un desafío fundamental para la seguridad de los civiles libaneses y para el monopolio del Gobierno sobre el uso legítimo de la fuerza.	0
El 17 de marzo, el Grupo de los Siete publicó un memorando en el que formulaba quejas contra el Presidente de la República y enumeraba los obstáculos y dificultades que debían abordarse para hacer avanzar el proceso de paz.	1
El último informe del Secretario General sobre las resoluciones 1559 (2004) y 1701 (2006) expresa claramente la importancia del desarme de Hezbolá y de poner fin al contrabando de armas a través de la frontera sirio-libanesa.	1
Subraya el papel de la Alta Autoridad de Medios de Información, el Comité Internacional de Personalidades Eminentes y el Comité Internacional de Apoyo a la Transición (CIAT) en la promoción de una conducción sin tropiezos del proceso electoral y un clima político tranquilo y reafirma su apoyo a ellos.	0
Reiterando la obligación de los Estados Miembros de impedir la circulación de terroristas o grupos terroristas, de conformidad con el derecho internacional aplicable, entre otras cosas mediante controles fronterizos eficaces,	1
El Equipo también ha mantenido frecuentes conversaciones con el grupo de expertos establecido para apoyar al Comité establecido en virtud de la resolución 1540 (2004) a fin de asegurar que exista una sinergia adecuada entre la labor del Equipo sobre el embargo de armas y la labor de los expertos sobre la no proliferación de las armas de destrucción en masa realizada por los agentes no estatales.	0
Señalaron que el hecho de que Etiopía no permitiera avanzar en la demarcación completa, así como la continuación y el aumento de las restricciones a la labor de la MINUEE, planteaban serias dudas sobre la viabilidad a largo plazo de la Misión.	1
Además, los dirigentes albaneses de Kosovo han percibido la victoria del Presidente Kostunica como una amenaza a sus aspiraciones de independencia para la provincia.	1
Me preocupa profundamente la última escalada entre Gaza e Israel.	1
Se han establecido en gran medida mecanismos de rendición de cuentas para hacer frente a las irregularidades y garantizar el cumplimiento de la legislación y los procedimientos establecidos, pero no ofrecen una protección adecuada.	0
El informe incluye una descripción sombría de la situación en la región, caracterizada por más actos de violencia y terrorismo.	0
Reitero mi llamamiento para que se libere de inmediato e incondicionalmente a todos los marinos inocentes secuestrados en Somalia a fin de que puedan reunirse con sus familias.	1
Uganda no apoya a ninguna milicia congoleña como alega el Representante Permanente de la República Democrática del Congo.	1
Reafirmando que no debe permitirse que los actos de terrorismo perturben la transición política y económica del Iraq, y reafirmando además las obligaciones que incumben a los Estados Miembros en virtud de la resolución 1618 (2005), de 4 de agosto de 2005, y otras resoluciones y convenciones internacionales pertinentes con respecto, entre otras cosas, a las actividades terroristas dentro y fuera del Iraq o contra sus ciudadanos,	1
El 11 de agosto, los bomberos franceses de la Brigada Multinacional Nororiental de Mitrovica impartieron capacitación periódica sobre la base del plan anual; el 30 de agosto, la Brigada Multinacional Nororiental organizó un seminario para los comandantes de la zona de recogida en Tradoc, con el propósito de presentar detalladamente el programa de desarrollo de oficiales a fin de que los comandantes comprendieran sus responsabilidades y aseguraran el apoyo al programa. Conclusión 12. La situación general en Kosovo sigue siendo relativamente tranquila, con tensiones subyacentes que continuarán en el futuro previsible.	0
El Consejo de Seguridad también expresa su preocupación por el aumento de las tensiones en la región de Ituri y exhorta a todas las partes a que actúen con moderación.	1
Trece celdas contenían dos detenidos cada una, mientras que siete celdas tenían un solo detenido cada una.	1
También durante esas consultas oficiosas, dos representantes de la Misión de Estabilización de las Naciones Unidas en la República Democrática del Congo informaron al Comité por videoconferencia sobre el mandato de vigilancia de las sanciones de la Misión y, en particular, sobre el rastreo y marcado de armas, de conformidad con una solicitud del Comité.	0
En opinión de este Estado, esa actividad, en su forma más extrema, a menudo conduce al extremismo violento y a la pérdida de vidas.	0
Sin embargo, en otras esferas, los progresos no han cumplido las expectativas, y siguen existiendo muchos problemas.	1
Mi Gobierno considera no sólo que son contrarios al derecho internacional, sino también que socavan el concepto del estado de derecho, que es un elemento clave en la lucha contra el terrorismo.	1
En los últimos años, una serie de importantes pagos de rescate a Al-Qaida y sus afiliados han convertido el secuestro en una táctica fundamental de Al-Qaida.	0
La difícil situación y el sufrimiento constantes del pueblo palestino siguen siendo una expresión trágica de las consecuencias de la no aplicación de las resoluciones y de la no aplicación de las decisiones del Consejo de Seguridad.	1
Aliento al Gobierno del Iraq a que adopte rápidamente nuevas medidas prácticas para cumplir las obligaciones que le incumben en virtud del párrafo 14 de la resolución 1284 (1999) del Consejo de Seguridad.	0
Condenar el tráfico ilícito de armas pequeñas y armas ligeras	1
Es esencial buscar enfoques creativos que puedan impedir que los terroristas de las economías basadas en efectivo adquieran fondos, ya sea en efectivo, mediante el contrabando de mercancías o mediante la manipulación ilícita de transacciones basadas en el comercio.	1
El Consejo observa además con preocupación que, según se informa, los ataques del Ejército de Resistencia del Señor en la República Centroafricana han tenido lugar en zonas fuera de la principal zona de operaciones del Equipo de Tareas Regional de la Unión Africana.	0
57. El propio interés de quienes se oponen al establecimiento de un gobierno de buena fe ha sido constante, y el Grupo de Supervisión ha puesto al descubierto en sus informes anteriores este problema central en Somalia, que sigue siendo el tema más destacado del presente informe, y el tema más destacado es la tendencia constante a la escalada de la posible violencia en un patrón de protección de intereses creados arraigados.	1
22. Solicita al Gobierno de la República Democrática del Congo que, con el apoyo de la comunidad internacional y de la MONUC, elabore y aplique con carácter urgente una estrategia amplia de reforma del sector de la seguridad nacional, que se base en los resultados de la mesa redonda sobre el sector de la seguridad celebrada en febrero de 2008, a fin de establecer organizaciones profesionales de seguridad en las esferas de la defensa, la policía y la administración de justicia que protejan a los civiles, estén bien gestionadas y actúen de conformidad con la Constitución y respeten el estado de derecho, los derechos humanos y el derecho internacional humanitario, e insta al Gobierno congoleño a que garantice la sostenibilidad del apoyo prestado por sus asociados en esta esfera, en particular dando prioridad a la reforma de la administración y las estructuras de mando de las FARDC y todas sus demás fuerzas de seguridad, y reitera su llamamiento a las autoridades congoleñas para que establezcan un mecanismo de investigación de antecedentes que tenga en cuenta cuando seleccionen candidatos a puestos oficiales, incluidos puestos clave en las fuerzas armadas, la policía nacional y otros servicios de seguridad, las medidas adoptadas por los candidatos en el pasado en lo que respecta al respeto del derecho internacional humanitario y los derechos humanos;	0
La Unión Europea está profundamente preocupada por el actual ciclo de represalias violentas en Israel y en los territorios ocupados.	1
Los miembros del Consejo subrayaron además que el pueblo y el Gobierno de Haití tenían la responsabilidad última de la reconciliación nacional, el mantenimiento de un entorno seguro y estable, la administración de justicia y la reconstrucción de su país.	0
En segundo lugar, el Sr. Covic expresó su preocupación por la calidad de la democracia en un lugar en el que la minoría -- los serbios de Kosovo -- corre el riesgo de ser rechazada.	1
La misión evaluó la preparación institucional, técnica, de seguridad, jurídica y política para las elecciones, determinó las esferas de apoyo y pidió una mayor participación de las mujeres y los jóvenes, una mayor transparencia institucional y mecanismos para la prevención de los conflictos políticos y electorales.	0
12. Aqeel Al-Aquil presentó una demanda el 11 de mayo de 2005 ante un tribunal federal de distrito del Distrito de Columbia contra funcionarios del Departamento de Justicia, Estado y Hacienda de los Estados Unidos, alegando que su designación como terrorista por el Gobierno de los Estados Unidos el 2 de junio de 2004 violaba sus derechos en virtud de la Constitución de los Estados Unidos. Al-Aquil, residente y ciudadano de la Arabia Saudita, era presidente de la Fundación Islámica Al-Haramain, que tenía su sede en la Arabia Saudita hasta que fue clausurada por las autoridades sauditas en 2004. El 6 de julio de 2004, las Naciones Unidas lo incluyeron bajo el nombre de familia Al-Aquil, junto con varias oficinas de Al-Haramain en el Afganistán, Albania, Bangladesh, Etiopía y los Países Bajos (las Naciones Unidas han incluido en la lista otras oficinas de Al-Haramain antes y después de esa inclusión).	1
122. Se plantea una importante cuestión jurídica con respecto a las milicias antes mencionadas: ¿quién, además de los autores individuales, es penalmente responsable de los delitos presuntamente cometidos por Janjaweed?	0
En su resolución 2122 (2013), el Consejo expresa su preocupación por la vulnerabilidad exacerbada de la mujer en los conflictos armados y en las situaciones posteriores a los conflictos, en particular en relación con los desplazamientos forzados, como resultado de la desigualdad en los derechos de ciudadanía, la aplicación imparcial de las leyes de asilo en función del género y los obstáculos para el registro y el acceso a los documentos de identidad que se producen en muchas situaciones.	1
45. Tras la llegada de tropas leales al Presidente Yusuf y su despliegue al sur de Jawhar, a principios de septiembre se informó de que el Ministro de Comercio, Muse Sudi Yallahow, había enviado varios "técnicos" para fortalecer sus fuerzas en Balad, al sur de Jawhar.	0
En ese contexto, consideramos importante señalar a la atención del Consejo de Seguridad las amenazas que plantean organizaciones religiosas radicales y extremistas como Hizb ut-Tahrir e instar al Consejo a que imponga las sanciones más enérgicas contra las organizaciones terroristas.	1
Los conocimientos y métodos técnicos están saltando cada vez más de una filial de Al-Qaida a otros, apoyando un nivel de innovación que aumenta la amenaza.	1
Se informa de que se cometieron actos de destrucción sin sentido, que excedieron con creces cualquier imperativo militar, en su mayoría por parte de las fuerzas gubernamentales.	0
16. Reitera a todos los Estados la importancia de proponer al Comité que incluya en la lista del Comité los nombres de los miembros de la organización Al-Qaida y los talibanes o asociados con Osama bin Laden y otras personas, grupos, empresas y entidades asociados con ellos, a menos que ello comprometa las investigaciones o las medidas coercitivas;	0
