en_es_DEEPL	VerCoop
La mezquita y las viviendas cercanas resultaron dañadas por el bombardeo.	0
21. También ha habido informes persistentes de que helicópteros marfileños estaban estacionados en Guinea y que uno de los helicópteros destruidos en noviembre de 2004 por las fuerzas francesas había sido prestado por Guinea.	0
Para camuflar esos hechos, a veces se visten con uniformes militares con el fin de transmitir la percepción errónea de que el ejército oficial es el responsable de perpetrar esa violencia.	0
Además de informar sobre el trabajo de los mecanismos de presentación de informes sobre derechos humanos y servir como archivo seguro de la información proporcionada por las partes interesadas pertinentes, el trabajo de dicha estructura debería facilitar los esfuerzos de las Naciones Unidas para procesar, o hacer rendir cuentas de otro modo, a los máximos responsables de crímenes contra la humanidad;	0
o El 16 de noviembre de 2014, aviones de guerra del régimen atacaron con un misil la ciudad de Maarat Misreen, matando a 5 personas, entre ellas un niño y una mujer, además de destruir edificios residenciales.	0
Sin embargo, sigue existiendo la posibilidad de una ruptura total de la ley y el orden, además del colapso de la frágil economía y la desintegración de las instituciones del autogobierno palestino.	0
También aprovecho esta oportunidad para subrayar mi preocupación por los retos que se plantean en el contexto de las elecciones federales y a la gobernación que se celebrarán en Nigeria en febrero de 2015, y los graves riesgos de violencia que podrían producirse, ya sea por los ataques de Boko Haram o por la impugnación de los resultados electorales.	0
Las reuniones incluirán información periódica por parte de los grupos de trabajo responsables del seguimiento de los avances en materia de supervisión y aplicación nacional; asistencia; cooperación con organizaciones internacionales, incluidos los Comités del Consejo de Seguridad establecidos en virtud de las resoluciones 1267 (1999) y 1373 (2001); y transparencia y difusión en los medios de comunicación.	1
Aunque el régimen de sanciones puede obligar a algunos talibanes a permanecer en zonas remotas, y el Equipo observa que ésta puede ser una de las razones por las que los talibanes de alto rango desean que se eliminen sus nombres, el objetivo preventivo de las medidas no se ha alcanzado en gran medida.	0
Se ha negado a detener a Ali Kushayb y Ahmad Harun.	0
Insta a la comunidad internacional a que garantice una financiación adecuada y oportuna en respuesta a las necesidades humanitarias en todas las crisis, con el fin de proporcionar ayuda humanitaria suficiente para aliviar el sufrimiento de la población civil, en particular la de las zonas afectadas por conflictos armados o que salen de una situación de conflicto.	1
La víspera de la manifestación, el Comandante General de la PNTL, Martins, emitió una orden escrita sobre el despliegue de la PNTL y el uso de la fuerza. Estas incluían el uso de la Policía de Distrito de Dili para patrullas a pie, la Unidad de Protección Cercana para la protección de personalidades del Estado y la Unidad de Reserva de la Policía para patrullas en "zonas críticas".	0
Esta última ha comentado que cuanta más información contengan las notificaciones especiales, especialmente huellas dactilares, fotografías y números de pasaporte en las versiones restringidas a las que sólo pueden acceder los organismos encargados de la aplicación de la ley de sus países miembros, más útiles serán y menos probabilidades habrá de que se produzcan incidentes como el mencionado. INTERPOL también se ha ofrecido a orientar a sus miembros sobre el alcance del régimen de sanciones. Además, ha sugerido que debería existir un servicio de información permanente en las Naciones Unidas para atender las preguntas y garantizar que se facilite oportunamente la información adicional pertinente sobre las personas incluidas en la lista cuando los Estados miembros la pongan a disposición.	1
En Irak y Afganistán, Al Qaeda, los talibanes y los grupos asociados seguirán utilizando material de uso militar para construir artefactos explosivos improvisados mientras duren los suministros y sea posible su adquisición.	0
Como saben los miembros del Consejo de Seguridad, la situación de la Misión de las Naciones Unidas en Etiopía y Eritrea (MINUEE) se ha deteriorado gravemente.	0
Después, los soldados asaltaron viviendas, detuvieron a jóvenes y los subieron a autobuses militares.	0
328. Con respecto a los patrones específicos del desplazamiento, la Comisión observa que parece que uno de los objetivos del desplazamiento estaba vinculado a la política de contrainsurgencia del Gobierno, a saber, eliminar la base de apoyo real o potencial de los rebeldes.	0
Recordando que hizo suyo el Acuerdo firmado por las fuerzas políticas marfileñas en Linas-Marcoussis el 24 de enero de 2003 (S/2003/99) (el Acuerdo de Linas-Marcoussis) aprobado por la Conferencia de Jefes de Estado sobre Costa de Marfil, celebrada en París los días 25 y 26 de enero de 2003, el Acuerdo firmado en Accra el 30 de julio de 2004 (el Acuerdo de Accra III) y el Acuerdo firmado en Pretoria el 6 de abril de 2005 (el Acuerdo de Pretoria),	1
71. En sus esfuerzos de rastreo, debería instarse a los Estados miembros a que utilicen, según proceda, el sistema mundial de comunicación policial de INTERPOL "I-24/7" y el Sistema de Rastreo Electrónico de Armas de INTERPOL.	1
En este punto, baste decir que, tanto en virtud de la Convención de 1948 como de las normas correspondientes del derecho consuetudinario, el genocidio comprende diversos actos contra miembros de un grupo nacional, étnico, racial o religioso (matar a miembros de un grupo; causar graves daños físicos o mentales a miembros de un grupo; infligir deliberadamente a un grupo condiciones de vida que hayan de acarrear su destrucción física, total o parcial; imponer medidas destinadas a impedir los nacimientos en el seno del grupo; trasladar por la fuerza a los niños de un grupo a otro grupo), cometidos con la intención de destruir, total o parcialmente, al grupo.	0
Sin embargo, era dudoso que los contingentes de las FARDC desplegados en la provincia pudieran establecer un control efectivo y sostenido sobre la totalidad de Katanga y limitar significativamente la capacidad de los Mayi-Mayi para hostigar a la población local y explotar ilegalmente los recursos naturales.	0
5. Durante las consultas informales celebradas el 5 de mayo, el Comité se reunió con el recién creado Grupo de Expertos.	1
13. Durante el período que abarca el informe, el Comité recibió 14 solicitudes de exención del embargo de armas para equipo militar no mortífero de conformidad con el párrafo 3 de la resolución 1356 (2001), una solicitud de exención del embargo de armas de conformidad con el apartado b) del párrafo 11 de la resolución 1772 (2007) y una notificación de conformidad con el párrafo 6 de la resolución 1744 (2007).	1
Muchos líderes internacionales, incluidos jefes de Estado, representantes de las Naciones Unidas y la mayoría de los miembros del Consejo de Seguridad, se han pronunciado claramente en contra de este tipo de flotillas a Gaza durante el último año, insistiendo en la necesidad de que los suministros humanitarios se transfieran a la zona sólo a través de los canales establecidos.	1
También acordamos que las partes debían restablecer un diálogo genuino y muy necesario y proceder, sin demora, al desmantelamiento de las milicias, el desarme, la desmovilización y la reintegración de los combatientes y la organización de elecciones libres, justas y creíbles.	1
Insto a las partes en el Acuerdo General de Paz y a la comunidad internacional a que presten su máxima cooperación al grupo independiente que establecí a petición de las partes.	0
También han estallado graves enfrentamientos entre facciones armadas en el campo de refugiados palestinos de Ain el-Hilweh, y una escuela del Organismo de Obras Públicas y Socorro de las Naciones Unidas para los Refugiados de Palestina en el Cercano Oriente ha sido alcanzada, causando daños materiales.	0
El Comité acoge con satisfacción las actividades de la Dirección Ejecutiva del Comité contra el Terrorismo en este ámbito, y anima a la Dirección Ejecutiva a seguir desarrollándolas, dentro de las orientaciones del Comité, profundizando en su marco analítico, incluso mediante la participación de la Dirección Ejecutiva en el grupo de trabajo del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo relativo a la protección de los derechos humanos en la lucha contra el terrorismo.	1
El Subsecretario General en funciones ofreció una sesión informativa sobre los acontecimientos políticos en Ucrania, incluido el desarrollo de las elecciones parlamentarias del 26 de octubre y las elecciones que habían celebrado los rebeldes en Donetsk y Lugansk el 2 de noviembre, que habían sido deploradas por el Secretario General y muchos miembros de la comunidad internacional.	0
La adopción por consenso de la resolución 57/145 de la Asamblea General ("Respuesta a las amenazas y desafíos mundiales") de 16 de diciembre de 2002, iniciada por la Federación Rusa, reafirma el reconocimiento por parte de la comunidad internacional de la necesidad de adoptar un enfoque global de la cuestión.	0
En la 6066ª sesión del Consejo de Seguridad, celebrada el 14 de enero de 2009, en relación con el examen por el Consejo del tema titulado "Protección de los civiles en los conflictos armados", el Presidente del Consejo de Seguridad hizo la siguiente declaración en nombre del Consejo:	1
29. La Comisión Nacional de la Juventud fue inaugurada por el Presidente Koroma el 25 de noviembre de 2011. Se espera que la Comisión asuma el liderazgo en la promoción y armonización del desarrollo de la juventud, en el marco del Ministerio de Empleo Juvenil y Deportes.	1
En este contexto, animamos a las partes a que sigan demostrando su voluntad política de llegar a una solución, incluso ampliando el debate sobre las propuestas de la otra parte,	1
Se llevan a cabo operaciones específicas para recoger armas y municiones entregadas voluntariamente, en condiciones de amnistía, o en caso necesario, en operaciones más dirigidas.	0
7. Con el fin de aportar una mayor coherencia y conformidad de criterio a todos los documentos preparados para el Comité, se establecerán mecanismos transversales que se centrarán en los distintos ámbitos técnicos abordados por las resoluciones 1373 (2001) y 1624 (2005), y se creará una unidad de control de calidad para revisar todos los documentos antes de su publicación.	0
"El Consejo de Seguridad alienta a los Estados miembros a que sigan cooperando entre sí en la lucha contra la piratería y el robo a mano armada en el mar frente a las costas de Somalia, subraya la responsabilidad primordial de las autoridades somalíes en la lucha contra la piratería y el robo a mano armada en el mar frente a las costas de Somalia, y pide a las autoridades somalíes que, con la asistencia del Secretario General y de las entidades pertinentes de las Naciones Unidas, aprueben sin más demora un conjunto completo de leyes contra la piratería y declaren una zona económica exclusiva de conformidad con la Convención de las Naciones Unidas sobre el Derecho del Mar".	1
Lista de sanciones del Comité del Consejo de Seguridad establecido en virtud de la resolución 1718 (2006)	0
En la resolución, el Consejo de Seguridad también me pedía que estableciera el diseño de la Medalla y presentara a su debido tiempo al Consejo las modalidades para determinar cómo se propondrá y elegirá a los galardonados con la Medalla, basándose en los criterios establecidos en la resolución.	0
También se iniciaron contactos con la sociedad civil y las empresas privadas, centrándose en la posible asistencia técnica y su papel en la aplicación de la lucha antiterrorista.	1
Ayer mismo, el Primer Ministro georgiano dio a conocer un plan detallado de resolución del conflicto en otra región separatista de Georgia: la región de Tsjinvali/antigua Osetia del Sur.	1
Los recursos naturales de África Austral, la delincuencia transfronteriza y la disponibilidad de armas ligeras en el contexto de conflictos pasados hacen que la subregión sea potencialmente vulnerable a los blanqueadores de dinero, delincuentes internacionales, narcotraficantes y grupos terroristas.	0
Se comprometieron a unificar esfuerzos en la lucha contra Boko Haram y se comprometieron a finalizar el establecimiento del cuartel general de la fuerza multinacional conjunta antes del 20 de noviembre en Nigeria y a desplegar, dentro de las fronteras nacionales, un contingente de 700 efectivos cada uno.	0
:: Deberían estudiarse formas innovadoras de establecer sistemas integrales y de refuerzo mutuo que vinculen a la CPI, a cualquier posible futuro tribunal híbrido y a los organismos nacionales, así como a los procesos penales y a los programas de reparación.	1
Otro participante reiteró que debía prestarse la debida atención a los Estados miembros directamente implicados en un conflicto o específicamente afectados por él, dándoles la oportunidad de hacer una declaración oficial.	1
"El Consejo de Seguridad acoge con satisfacción las medidas adoptadas para ofrecer un enfoque mejorado, global y más regional de la situación humanitaria, incluida la asistencia a las víctimas de violencia sexual y otros ataques, e insta a que se siga avanzando en este sentido.	1
La Comisión también considera que las restricciones impuestas a la población desplazada internamente en los campamentos, en particular a las mujeres, aterrorizándolas mediante actos de violación o asesinatos o amenazas de violencia contra la vida o la persona por parte de los Janjaweed, equivalen a una grave privación de libertad física en violación de las normas del derecho internacional.	0
Financiación "El Consejo de Seguridad expresa su profunda preocupación por el hecho de que los yacimientos petrolíferos y la infraestructura conexa controlados por el EIIL, el FNA y posiblemente otros individuos, grupos, empresas y entidades asociados con Al-Qaida, estén generando una parte significativa de los ingresos de los grupos, que apoyan sus esfuerzos de reclutamiento y refuerzan su capacidad operativa para organizar y llevar a cabo atentados terroristas.	0
283. Sobre la base de sus investigaciones y del patrón de ataques aéreos que ha establecido, la Comisión opina que los militares son responsables de un gran número de ataques aéreos indiscriminados que causaron la muerte de numerosos civiles.	0
En vista de la urgencia de la investigación, enviamos el telegrama nº 2065 de fecha 14 de febrero de 2005 a la dirección de la unidad regional de policía y a los comandantes de las unidades de policía, en el que solicitábamos que se llevaran a cabo todas las investigaciones necesarias dentro de las competencias de cada unidad con respecto a los cadáveres que habían sido trasladados a los hospitales de cada zona, a fin de permitir que sus familiares los identificaran y me informaran debidamente, permitiéndome así obtener la aprobación de las autoridades competentes para la devolución a sus familiares de dichos cadáveres.	0
65. La Dirección, junto con el Centro de Cooperación Mundial contra el Terrorismo y con el apoyo de los Gobiernos de Alemania y los Países Bajos, celebró en Addis Abeba, en diciembre de 2013, un taller subregional para los Estados miembros de África Oriental sobre la vigilancia eficaz de las remesas alternativas para prevenir el uso indebido de la financiación del terrorismo. El objetivo del taller era concienciar sobre el riesgo que corren los remitentes informales de dinero que podrían ser utilizados para financiar actividades terroristas; promover un diálogo entre los organismos reguladores, los funcionarios encargados de hacer cumplir la ley y los remitentes de dinero; promover la inclusión financiera e identificar las mejores prácticas.	1
La Comisión ha transmitido y seguirá transmitiendo a las autoridades libanesas toda la información relacionada con cualquier asunto penal que vaya más allá del ámbito de la investigación de la Comisión.	0
Como muestra esta lista parcial, es evidente la tendencia de la comunidad internacional a recurrir cada vez más a las comisiones de investigación y a las misiones de investigación en el contexto de las iniciativas de rendición de cuentas.	1
25. Reitera su invitación al Secretario General a que siga remitiendo al Consejo información y análisis pertinentes relativos a la protección de los civiles cuando considere que dicha información o análisis podrían contribuir a la resolución de las cuestiones que tiene ante sí, le pide que siga incluyendo en sus informes escritos al Consejo sobre los asuntos que se le sometan, según proceda, observaciones relativas a la protección de los civiles en los conflictos armados, y le alienta a que prosiga las consultas y adopte medidas concretas para mejorar la capacidad de las Naciones Unidas a este respecto;	1
Gravemente preocupada por la amenaza del terrorismo y el riesgo de que agentes no estatales*, como los que figuran en la lista de las Naciones Unidas elaborada y mantenida por el Comité establecido en virtud de la resolución 1267 del Consejo de Seguridad y aquellos a los que se aplica la resolución 1373, puedan adquirir, desarrollar, traficar o emplear armas nucleares, químicas y biológicas y sus sistemas vectores,	0
"El Consejo de Seguridad reconoce el importante papel de la mujer en la prevención y resolución de conflictos y en la consolidación de la paz, y subraya el papel primordial de los gobiernos nacionales afectados por conflictos armados, para aumentar la participación de la mujer en la prevención y resolución de conflictos y en la consolidación de la paz en el marco del programa sobre la mujer, la paz y la seguridad, incluso consultando a las organizaciones de mujeres pertinentes desde las primeras etapas de la planificación y el establecimiento de prioridades".	1
:: Proporcionar una perspectiva global y garantizar que los esfuerzos en materia de seguridad y desarrollo a nivel nacional se dirijan a abordar las causas profundas de los conflictos.	0
El Fiscal lamentó que la situación de seguridad en Libia hubiera empeorado, que la inestabilidad política hubiera aumentado y que, como consecuencia, el entorno existente no fuera propicio para cerrar la brecha de la impunidad en Libia.	0
Al señalar que no habría consecuencias por el asesinato de yemeníes, el acuerdo de inmunidad ha contribuido a prolongar el derramamiento de sangre.	0
Si el Gobierno no los aborda, podrían suponer graves amenazas para la seguridad y la estabilidad de Timor Oriental.	0
Actualmente se están estudiando opciones para facilitar la ocupación del nuevo complejo lo antes posible.	1
197. La mayoría de los Estados de la subregión han introducido leyes que regulan la importación y exportación de armas.	0
Subrayar en las resoluciones pertinentes la importancia de lograr soluciones duraderas para los refugiados y las personas desplazadas, incluido el retorno voluntario, seguro y digno, y de garantizar su plena participación en la planificación y gestión de estas soluciones.	1
Además, la Unión Europea aplica un régimen supranacional destinado a garantizar la congelación de fondos y activos terroristas en todos sus Estados miembros.	0
Las tropas y la policía deben estar mejor preparadas para realizar tareas de protección, incluida la prevención de la violencia sexual relacionada con los conflictos.	0
El Comité también está considerando la posibilidad de elaborar informes regionales colectivos y ha pedido al Equipo de Seguimiento que siga estudiando esta opción.	1
:: Los mecanismos de investigación deben establecerse en una fase suficientemente temprana de la crisis para que puedan contribuir a prevenir nuevas violaciones.	1
Afirmando el apoyo al Enviado Personal del Secretario General para el Sáhara Occidental, el Embajador Christopher Ross, y a su labor de facilitación de las negociaciones entre las partes, acogiendo con satisfacción sus consultas en curso con las partes y los Estados vecinos, y esperando con interés su visita regional en un futuro próximo, incluido el Sáhara Occidental, de conformidad con el comunicado de la Reunión Informal sobre el Sáhara Occidental del 11 al 13 de marzo de 2012,	1
65. En julio se completó la planificación integrada para orientar la participación y las operaciones de las Naciones Unidas en apoyo del cumplimiento del mandato antes y después del período del referéndum, y tanto la UNMIS como el equipo de las Naciones Unidas en el país establecieron estructuras para coordinar las prioridades identificadas.	0
Ahora la comunidad internacional debe estar dispuesta a actuar con la misma determinación para proteger los intereses de los serbios de Kosovo y otras comunidades minoritarias.	1
Mayor representación de las mujeres en los órganos relacionados con los programas. D.3. Impartir formación sistemática a todas las categorías de personal humanitario sobre cuestiones de género. D.4. Sensibilizar y capacitar en materia de análisis de género y herramientas participativas al personal humanitario y a los socios que trabajan en programas y proyectos de emergencia y rehabilitación.	0
Dichas reuniones resultaron útiles para promover la labor del Comité, aumentar la concienciación y la comprensión del régimen de sanciones, desarrollar ideas para mejorar la eficacia de las medidas y debatir las dificultades a las que se enfrentan algunos Estados a la hora de aplicarlas y lo que podría hacerse para ayudarles. D. Reuniones con los servicios de seguridad e inteligencia	1
Reitera su exigencia de que todas las partes en un conflicto armado pongan fin por completo y con efecto inmediato a todos los actos de violencia sexual y su llamamiento a esas partes para que asuman y apliquen compromisos específicos con plazos concretos para combatir la violencia sexual, que deberían incluir, entre otras cosas, la emisión de órdenes claras a través de las cadenas de mando en las que se prohíba la violencia sexual y la rendición de cuentas por el incumplimiento de esas órdenes, la prohibición de la violencia sexual en los códigos de conducta y los manuales de campo militares y policiales o equivalentes, y para que asuman y apliquen compromisos específicos sobre la investigación oportuna de los presuntos abusos; y exhorta además a todas las partes pertinentes en los conflictos armados a que cooperen en el marco de dichos compromisos, con el personal apropiado de las misiones de las Naciones Unidas que supervise su aplicación, y exhorta a las partes a que designen, según proceda, a un representante de alto nivel responsable de garantizar la aplicación de dichos compromisos;	0
105. Estos son algunos ejemplos, entre múltiples testimonios y pruebas materiales, que confirman a la Comisión que, en la práctica, el término Janjaweed se utiliza indistintamente con otros términos empleados para describir a las fuerzas de las milicias que trabajan con el Gobierno.	0
Sin embargo, las huelgas y bloqueos generalizados llevados a cabo por grupos y partidos políticos armados y no armados han interrumpido la actividad humanitaria y el acceso a los servicios sanitarios y educativos; gran parte de esta interrupción se produjo en el Terai.	0
El 20 de noviembre, la Ministra de Asuntos Exteriores de Australia, Julie Bishop, presidió una sesión informativa sobre el tema "Operaciones de mantenimiento de la paz: el papel de la policía en el mantenimiento de la paz y la consolidación de la paz después de los conflictos". Se trataba de la primera reunión del Consejo dedicada a cuestiones policiales.	1
118. La Comisión recomienda que se lleven a cabo nuevas investigaciones para determinar cuáles de los siguientes hombres del Mayor Reinado estuvieron presentes en Fatu Ahi: Moisés Ramos, Plácido Ribeiro Gonçalves, Deolindo Barros, António Savio, Filomeno Soares Menezes, Francisco de Augusto, Gilson José António da Silva, Joaninho Maria Guterres, Joaquim Barreto, José Gomes, Natalino Borges Pereira, André da Costa Pinto Martinho Almeida, Albilio da Costa de Jesus, Francisco Ximenes Alves, Filsberto Garcia, Dario da Silva Leong, Nelson Galucho y Nixon Galucho.	1
Sin embargo, sigue siendo preocupante la posibilidad de que el MRC socave los avances tangibles en la estabilización de Ituri, sobre todo teniendo en cuenta la incapacidad del Gobierno de Transición hasta el momento para llevar a los líderes de los grupos armados ante la justicia e impedir sus movimientos hacia y desde Uganda.	0
"El Consejo de Seguridad insta a los Gobiernos de la República Democrática del Congo y de Ruanda a que respondan sin más demora a los esfuerzos emprendidos por la MONUC en el marco de su mandato actual para establecer, lo antes posible, un mecanismo conjunto de verificación de su seguridad común, incluida la verificación de los movimientos transfronterizos.	1
9. Exhorta a todos los Estados a que cooperen plenamente con el Comité establecido en virtud del párrafo 6 supra en el cumplimiento de sus tareas, incluido el suministro de la información que pueda requerir el Comité en cumplimiento de la presente resolución;	1
40. Acoge con satisfacción las informaciones periódicas del Gobierno de Afganistán sobre el contenido de la lista, así como sobre la repercusión de las sanciones selectivas en la disuasión de las amenazas a la paz, la estabilidad y la seguridad de Afganistán, y en el apoyo a la reconciliación dirigida por los afganos;	1
El 18 de noviembre, el Consejo celebró una sesión informativa y consultas sobre los informes del Secretario General sobre las actividades de la Misión de Asistencia de las Naciones Unidas para el Iraq (UNAMI) (S/2014//774) y la búsqueda de nacionales kuwaitíes y de terceros países desaparecidos y de bienes kuwaitíes desaparecidos, incluidos los archivos nacionales (S/2014/776).	1
14. Observa la evolución del nexo entre el terrorismo y las tecnologías de la información y las comunicaciones, en particular Internet, y el uso de dichas tecnologías para cometer actos terroristas, y para facilitar dichos actos mediante su uso para incitar, reclutar, financiar o planificar actos terroristas, y encarga a la Dirección Ejecutiva del Comité contra el Terrorismo que siga ocupándose de esta cuestión, en consulta con los Estados miembros, las organizaciones internacionales, regionales y subregionales, el sector privado y la sociedad civil, y que asesore al Comité contra el Terrorismo sobre nuevos planteamientos;	0
Implicar a las mujeres mediante la creación de comités de prevención de conflictos equilibrados en cuanto al género, que incluyan a representantes de las sociedades civiles.	1
"El Consejo de Seguridad acoge con satisfacción la resolución A/RES/64/289 de la Asamblea General por la que se establece la Entidad de las Naciones Unidas para la Igualdad de Género y el Empoderamiento de las Mujeres (ONU Mujeres), que estará plenamente operativa en enero de 2011.	1
52. Reitera la necesidad de mejorar la cooperación en curso entre el Comité, el Comité contra el Terrorismo y el Comité establecido en virtud de la resolución 1540 (2004), así como sus respectivos grupos de expertos, incluso, según proceda, mediante un mayor intercambio de información, la coordinación de las visitas a los países comprendidos en sus respectivos mandatos, la facilitación y supervisión de la asistencia técnica, sobre las relaciones con las organizaciones y organismos internacionales y regionales y sobre otras cuestiones de interés para los tres comités, expresa su intención de proporcionar orientación a los comités en ámbitos de interés común a fin de coordinar mejor sus esfuerzos y facilitar dicha cooperación, y pide al Secretario General que adopte las disposiciones necesarias para que los grupos se ubiquen en el mismo lugar lo antes posible;	1
Sin embargo, observamos que sin un sector de la justicia y la seguridad resistente, la floreciente paz y estabilidad del país podrían verse amenazadas.	0
Esas falsas acusaciones van en contra de la razón y de las normas básicas de una actitud profesional. Estoy seguro de que el Consejo las desestimará.	0
Entrenamiento y reclutamiento militar en el marco del embargo de armas	0
El Presidente calificó enérgicamente el desafortunado incidente de feo e inaceptable, en la medida en que presagia posibles actos de violencia durante las próximas elecciones de 2012.	0
El Consejo ha autorizado el despliegue de la Operación de las Naciones Unidas en Burundi (ONUB) con un máximo de 5.650 efectivos militares, incluidos 200 observadores y 125 oficiales de Estado Mayor, hasta 120 policías civiles y el personal civil correspondiente. Desplegada a partir del 1 de junio de 2004, por un período inicial de seis meses, la ONUB estaría compuesta inicialmente por las fuerzas de la Misión Africana en Burundi.	0
"El Consejo de Seguridad toma nota de los mandatos de la MONUSCO y de la Misión de las Naciones Unidas en Sudán del Sur (UNMISS) para ayudar a proteger a los civiles en las zonas afectadas por el LRA y apoyar el desarme, la desmovilización y la reintegración de los combatientes del LRA en sus respectivos países.	0
5. Confirma que los requisitos de la letra a) del apartado 1 anterior se aplican a los recursos financieros y económicos de todo tipo, incluidos, entre otros, los utilizados para el suministro de alojamiento en Internet o servicios conexos, utilizados para apoyar a las personas incluidas en esta Lista, así como a otras personas, grupos, empresas o entidades asociados con los talibanes por constituir una amenaza para la paz, la estabilidad y la seguridad de Afganistán;	1
Los miembros de la comisión llegaron a la conclusión de que había motivos razonables para determinar que en la República Popular Democrática de Corea se habían cometido y se seguían cometiendo crímenes de lesa humanidad como política de Estado.	0
9. Elogia a las autoridades libanesas por las valientes decisiones que ya han tomado en relación con la investigación, incluso por recomendación de la Comisión, en particular la detención e inculpación de antiguos funcionarios de seguridad libaneses sospechosos de estar implicados en este acto terrorista, y anima a las autoridades libanesas a persistir en sus esfuerzos con la misma determinación para llegar hasta el fondo de este crimen;	0
"El Consejo de Seguridad acoge con satisfacción a este respecto las medidas adoptadas hasta la fecha por los signatarios y garantes del Marco del CPS, incluida la convocatoria de la primera reunión `11+4' del Mecanismo Regional de Supervisión del Marco del CPS en Addis Abeba el 26 de mayo de 2013 y las dos primeras reuniones del Comité de Apoyo Técnico en Nairobi el 24 de junio y el 22 de julio de 2013, que tenían por objeto avanzar en el establecimiento de puntos de referencia para evaluar la aplicación del Marco del CPS por todos los signatarios.	1
Tras este intercambio, el Equipo ha debatido la cuestión con el Comité y se ha puesto en contacto con otros Estados con programas similares para ampliar su investigación.	1
Los miembros del Consejo expresaron su honda preocupación por los crímenes que se están cometiendo en Libia.	0
El Consejo podría desempeñar un papel importante a la hora de garantizar el establecimiento de programas de reparación para atender las necesidades de las víctimas.	0
Tomando nota de la propuesta marroquí presentada el 11 de abril de 2007 al Secretario General y acogiendo con satisfacción los esfuerzos serios y creíbles de Marruecos para hacer avanzar el proceso hacia una resolución; tomando nota asimismo de la propuesta del Frente Polisario presentada el 10 de abril de 2007 al Secretario General,	1
