en_es_DEEP	VerConf
"El Consejo de Seguridad reitera su grave preocupación por el Estado Islámico en el Iraq y el Levante (EIIL), el Frente Al Nusrah (ANF) y otras entidades terroristas asociadas con Al-Qaida y las repercusiones negativas de su presencia, su ideología extremista violenta y sus acciones en la estabilidad de Irak, Siria y la región, incluido el devastador impacto humanitario sobre las poblaciones civiles que ha provocado el desplazamiento de millones de personas, y sobre sus actos de violencia que fomentan las tensiones sectarias.	1
La Organización de Cooperación Islámica pide que se ponga fin a la ocupación militar israelí del territorio palestino, incluida Jerusalén Oriental, y a las acciones ilegales de la potencia ocupante que se han cobrado la vida de miles de civiles, han infligido una destrucción masiva y han exacerbado los problemas socioeconómicos y penurias humanitarias del pueblo palestino en violación del derecho internacional, incluido el derecho humanitario y el derecho de los derechos humanos.	1
En consecuencia, en consulta con el Comité del Consejo de Seguridad establecido en virtud de la resolución 1718 (2006), deseo informarle que he nombrado al Sr. George López (Estados Unidos de América, experto en finanzas) y al Sr. Takehiro Yamamoto (Japón, experto sobre cuestiones nucleares), para formar parte del Grupo de Expertos y realizar las tareas especificadas en el párrafo 26 de la resolución.	0
Por último, me gustaría formular algunas recomendaciones para cualquier mecanismo de investigación que se esté estableciendo:	0
La campaña electoral, que acababa de comenzar, se rigió por la Ley Electoral y el Reglamento del Órgano Conjunto de Gestión Electoral y fue supervisada por observadores internacionales.	0
No hay duda de que la estructura y el desarrollo de la administración pública en Timor-Leste todavía nos plantean importantes desafíos que debemos tener en cuenta.	1
Por lo tanto, la comunidad internacional debe tomar las medidas necesarias para impedir que Israel persista en la política deplorable y destructiva que ha iniciado en Gaza, y debe subrayar su rechazo a todas esas prácticas israelíes, que constituyen una violación del derecho internacional y del derecho internacional humanitario.	1
El órgano de supervisión, el Consejo Superior del Ministerio Público, aún no se ha creado.	1
Al-Qaida y sus afiliados utilizan tanto componentes militares cuando pueden asegurarlos como componentes civiles para construir artefactos explosivos improvisados.	0
En los informes se han ofrecido diversas explicaciones para esta distinción, entre ellas que las Fuerzas de Defensa Popular del Gobierno, en gran parte reclutadas entre las tribus árabes, están incluidas en el término Janjaweed tal como se utiliza comúnmente en el contexto de este conflicto.	0
También señaló que los actos de terrorismo se definían como delitos comunes y se trataban con arreglo a procedimientos penales estándar, en lugar de normas especiales o tribunales especiales.	1
Por último, hago un llamado al Consejo de Seguridad para que apoye a Nigeria durante este período crítico y brinde todo el apoyo necesario para evitar una mayor desestabilización y violencia, especialmente en los Estados del Noreste más afectados.	0
Además, el Consejo de Seguridad condena el terrorismo en todas sus formas y manifestaciones, independientemente de cómo y quienquiera que lo cometa.	1
Instamos a Israel a tomar nuevas medidas para eliminar los puestos de avanzada de los colonos de conformidad con la Hoja de Ruta y abordar la creciente amenaza del extremismo de los colonos.	1
La destrucción tuvo como objetivo las zonas habitadas por las tribus africanas, en particular los fur, los zaghawa y los masalit.	0
Ahora se debe conceder alta prioridad al desafío de establecer administraciones locales y regionales en las regiones recuperadas de Al-Shabaab.	1
Autoría o coautoría de crímenes internacionales	0
Una mayor evolución de la situación en esa dirección amenazaría los esfuerzos por restaurar y reconstruir el país y, a largo plazo, amenazaría la paz y la estabilidad en toda la región.	1
En este contexto, diré unas palabras sobre la resolución del Consejo recientemente aprobada sobre el Yemen, una condena largamente esperada de los abusos del Gobierno yemení.	1
:: Cuestiones de política, planificación y falta de preparación en relación con la protección de los civiles; las amenazas y desafíos relacionados con la implementación del mandato sobre el terreno; ¿Cómo pueden incorporarse mejor las experiencias y los desafíos de los países que aportan contingentes y policías en la implementación de la protección de los civiles en el desarrollo de estrategias y orientaciones futuras? cómo garantizar que todos los cascos azules reciban capacitación utilizando los mismos estándares en materia de protección de civiles	0
:: Algunos miembros destacaron la necesidad de que la comunidad internacional se esforzara colectivamente por promover una mayor armonía y diálogo cultural y religioso, y señalaron que el terrorismo no tenía credo, cultura ni religión.	0
a) El ejército maoísta reclutó a un número considerable de niños justo antes de la firma del Acuerdo General de Paz.	0
El nuevo Gobierno democrático del Pakistán ha heredado desafíos políticos, económicos y de seguridad imponentes.	1
Además, las violaciones aéreas israelíes de la Línea Azul han continuado de forma periódica, en violación directa de la resolución 1701 (2006).	1
Condenando en particular la violencia sexual perpetrada por [milicias y grupos armados, así como elementos de las fuerzas armadas y policiales nacionales] y otros servicios de seguridad e inteligencia, destacando la urgente necesidad de que [el Estado afectado], en cooperación con [la misión de mantenimiento de la paz] y otros actores relevantes, para poner fin a esa violencia y llevar ante la justicia a los perpetradores, así como a los altos comandantes bajo las cuales sirven, y exhortando a los Estados Miembros a que presten asistencia en este sentido y sigan brindando asistencia médica, humanitaria y de otro tipo a víctimas.	1
Subraya que está plenamente preparado para imponer medidas específicas contra personas... que estén determinadas a ser, entre otras cosas:...	1
27. Las F-FDTL sufrieron una amplia reacción pública, en particular de las organizaciones de veteranos que surgieron en 2001.	1
La República Popular Democrática de Corea rechaza categóricamente la resolución de derechos humanos contra la RPDC, fabricada sobre la base de complots, mentiras y desinformación y forzada por los Estados Unidos y otros países hostiles de manera prepotente y arbitraria.	1
18. En Beni, las autoridades locales y la sociedad civil han pedido una participación más activa de la Fuerza MONUSCO en operaciones militares contra las FDA, incluso mediante la realización de operaciones unilaterales.	0
Sin embargo, sin un alto grado de transparencia –lo que socavaría una de sus principales ventajas– es poco probable que un mecanismo así satisfaga los llamados a una revisión judicial efectiva e independiente.	1
Como se subrayó en esas exposiciones informativas, la decisión de Eritrea de restringir todos los tipos de vuelos de helicópteros de la MINUEE dentro del espacio aéreo eritreo inhibe gravemente la capacidad de la Misión para cumplir su mandato de vigilancia, como solicitaron las partes en el Acuerdo de Cesación de Hostilidades de 18 de junio de 2000. y autorizado por el Consejo de Seguridad en sus resoluciones 1312 (2000) y 1320 (2000).	1
Sin embargo, sigo profundamente preocupado por el hecho de que los partidos, tanto los movimientos como las milicias, sigan utilizando a niños como combatientes.	1
El Subsecretario General de Asuntos Políticos informó de un aumento de los ataques del LRA en 2011 y destacó las graves consecuencias para los civiles y la situación humanitaria.	0
El Equipo cree que el embargo podría tener un mayor impacto contra ésta y otras amenazas de alta prioridad, como el uso de sistemas portátiles de defensa aérea, si estuviera más estrechamente vinculado a otros regímenes de contraproliferación y control de armamentos.	1
El número de efectivos de 1.435 efectivos en enero de 2006 se redujo a 715 como resultado de los acontecimientos ocurridos en el primer semestre de 2006.	0
118. La información presentada para este estudio deja claro que, en opinión de muchos Estados, la incitación a cometer actos de terrorismo sigue siendo un riesgo y una amenaza graves en gran parte del mundo, aunque en distintos grados.	1
Medidas específicas y graduales como respuesta al tráfico ilícito de armas pequeñas y ligeras	0
"El Consejo de Seguridad condena enérgicamente la violencia continua y los abusos de los derechos humanos por parte de todos los grupos armados, incluidas las ejecuciones sumarias, la violencia sexual y de género y el reclutamiento y utilización a gran escala de niños, exige que todos los grupos armados pongan fin de inmediato a todas las formas de violencia. y actividades desestabilizadoras y que sus miembros se disuelvan inmediata y permanentemente, depongan las armas y desmovilicen a los niños de sus filas, y reitera que los responsables de abusos contra los derechos humanos y violaciones del derecho internacional humanitario deberán rendir cuentas y no deberían poder ser integrados en las FARDC u otros elementos de las fuerzas de seguridad del Estado.	1
Además, el examen proporcionó datos útiles sobre el impacto del régimen de sanciones, mostrando qué personas y entidades se ven más (y menos) afectadas por él, ya sea porque están geográficamente fuera del ejercicio del control estatal o porque otros factores socavan su implementación. .	0
El intercambio operativo de información se ve obstaculizado por la falta de capacidades institucionales y operativas y por desafíos lingüísticos.	0
El Consejo de Seguridad acoge con agrado la intención del Secretario General de visitar la región del Sahel, a finales de este año, con el Presidente del Grupo del Banco Mundial y espera con interés recibir información ante el Consejo de Seguridad después de esta visita.	0
Nos preocupa profundamente que los procesos ad hoc establecidos con este fin parezcan haber fracasado.	1
56. Actualmente, las autoridades gubernamentales manifiestan que no han identificado a los integrantes de las escuadras y atribuyen estos hechos a un posible ajuste de cuentas.	0
- Contribuir, según proceda, al desarrollo por parte de las autoridades de Costa de Marfil de las capacidades de la policía y la gendarmería, en particular mediante formación en control de multitudes, y a restablecer su presencia en todo [el país afectado].	0
Pero hasta cierto punto Al-Qaida ha logrado recuperarse de la pérdida del Afganistán como base de entrenamiento para el terrorismo explotando la situación en el Iraq.	0
El Consejo de Seguridad debería reconocer que la lucha contra el extremismo violento es un elemento esencial de la respuesta de la comunidad internacional a esta amenaza.	1
Tengo el honor de transmitir adjunto el undécimo informe del Equipo de Apoyo Analítico y Vigilancia de las Sanciones establecido en virtud de la resolución 1526 (2004) del Consejo de Seguridad y ampliado mediante la resolución 1904 (2009).	0
Establecimiento y asistencia de medios de comunicación y de información locales e internacionales, en apoyo de las operaciones de paz.	0
i) Contribuir a proteger a los civiles en peligro, en particular los refugiados y las personas desplazadas;	0
También quisiera reiterar que los cuatro miembros de las F-FDTL condenados por homicidio en la muerte a tiros de ocho agentes de la PNTL en 2006, uno de los cuales fue indultado y tres de los cuales recibieron reducciones de sentencia, aún no han pagado la indemnización ordenada por el tribunal a las viudas de las víctimas.	1
También se mencionó al Chad y Guinea en el contexto de la alerta temprana, donde el deterioro de la situación humanitaria tenía posibles consecuencias para la estabilidad regional.	1
Si bien algunos tardan en responder al Comité, un número cada vez mayor está dispuesto a participar en su trabajo, ya sea presentando nombres o promoviendo ideas para nuevas áreas donde las sanciones u otras acciones del Consejo de Seguridad podrían ayudar a frenar el flujo de reclutas y reducir la probabilidad. de nuevos ataques por parte de Al-Qaida y terroristas relacionados con los talibanes.	0
Insta además al Secretario General a tratar de ampliar el papel y la contribución de las mujeres en las operaciones de las Naciones Unidas sobre el terreno, y especialmente entre los observadores militares, la policía civil y el personal humanitario y de derechos humanos.	0
:: Llevar ante la justicia a quienes financian, planifican, apoyan, facilitan o cometen actos terroristas, teniendo en cuenta en particular el principio de "extraditar o enjuiciar", de conformidad con el derecho internacional, incluidas las normas de derechos humanos	1
Sin embargo, también es evidente que el mando de las F-FDTL adoptó medidas limitadas para verificar el alcance de la amenaza planteada o utilizar canales no militares para resolver la amenaza percibida. El 25 de mayo, el Alto Mando de las F-FDTL no intentó en ese momento ponerse en contacto con quienes estaban al mando operacional de la PNTL ni comprometerse con el Primer Ministro o el Presidente para resolver la situación.	1
En reuniones internacionales, el Equipo ha podido juzgar el conocimiento que tiene un Estado del régimen de sanciones sin necesidad de preparación.	0
Condenar y pedir el cese inmediato de todos los actos de violencia o abusos cometidos contra civiles en violación del derecho internacional humanitario y de los derechos humanos aplicables.	1
"El Consejo de Seguridad acoge con satisfacción las medidas adoptadas para ofrecer un enfoque mejorado, integral y más regional a la situación humanitaria, incluida la asistencia a las víctimas de violencia sexual y otros ataques, e insta a seguir avanzando en este sentido.	0
En esas condiciones, donde convergen profundas inequidades y exclusión política, económica y social, emerge un proceso encaminado a transformar el orden imperante y busca cambios y alternativas económicas y políticas, que permitan la participación y la apertura de nuevos espacios y medios de expresión, que implican, en definitiva, demandas de derechos fundamentales.	1
Situación del Gobierno Federal de Transición y la oposición: fortalecimiento militar	0
105. El Gobierno tiene el mandato de diseñar y ejecutar la política general del país.	0
82. Si bien Al-Qaida, los talibanes y sus asociados tal vez no mantengan estructuras y sistemas sofisticados que proporcionen control operacional a sus seguidores, tienen, no obstante, una capacidad militar funcional, como lo indica, por ejemplo, la insurgencia en el Afganistán. A nivel táctico y operacional, Al-Qaida, los talibanes y sus asociados han utilizado equipo tanto militar como civil, como radios de corto alcance y teléfonos móviles y por satélite.	1
El estado del Nilo Azul también sigue siendo motivo de preocupación para nosotros.	1
Pero también había preocupación porque, cada vez que ha habido una señal de esperanza en el Medio Oriente, ha sido respondida con violencia y destrucción crecientes.	1
El Gobierno no aceptó reclutas de todas las tribus.	1
Pakistán está extremadamente preocupado por la conclusión del informe de que los desafíos humanitarios y económicos que enfrenta la región del Sahel se han visto exacerbados por las consecuencias de la crisis libia.	1
Exige además que las partes en el conflicto pongan fin inmediatamente a todas las violaciones y abusos contra los niños y solicita al Secretario General que garantice (a) un seguimiento y presentación de informes continuos, incluso como parte de los informes mencionados en [el párrafo pertinente] supra, de la situación de los niños, incluso mediante una mayor cooperación con los actores de protección infantil y (b) un diálogo continuo con las partes en el conflicto para el desarrollo e implementación de planes de acción con plazos determinados para poner fin al reclutamiento y la utilización de niños y otras violaciones del derecho internacional humanitario y los derechos humanos. ley cometida contra los niños;	1
60. Decide, a fin de ayudar al Comité a cumplir su mandato y apoyar al Ombudsman, prorrogar el mandato del actual Equipo de Vigilancia con sede en Nueva York y de sus miembros, establecido de conformidad con el párrafo 7 de la resolución 1526 (2004). ), por un nuevo período de treinta meses, bajo la dirección del Comité con las responsabilidades indicadas en el anexo I, y solicita al Secretario General que adopte las disposiciones necesarias a tal efecto;	0
Todas las casas del pueblo fueron quemadas. Los cuerpos de las víctimas fueron enterrados en fosas comunes cerca del pueblo.	0
642. La conclusión de que las autoridades gubernamentales, directamente o a través de las milicias bajo su control, no han aplicado ni aplicado ninguna política genocida en Darfur no debe interpretarse como que resta en modo alguno la gravedad de los crímenes perpetrados en esa región.	1
Se recomienda que el Comité mejore y, según proceda, institucionalice su cooperación con los mecanismos internacionales de no proliferación, otros órganos de las Naciones Unidas, el Grupo de los Ocho, organizaciones regionales y subregionales y zonas libres de armas nucleares, cuando corresponda, que podrían aportar valor añadido a la aplicación de la resolución 1540 (2004) ampliando las relaciones de trabajo formales e informales con ellos.	0
Los Estados Miembros también deben tomar medidas para identificar y rastrear las armas pequeñas y ligeras ilícitas de manera oportuna y confiable.	0
Consideramos la postura de Armenia como un desafío abierto al proceso de solución del conflicto y una grave amenaza a la paz y la seguridad internacionales y regionales.	1
Sin embargo, es importante recordar que más allá de esas medidas de fomento de la confianza, el Gobierno de Côte d'Ivoire sigue siendo responsable de la seguridad de sus ciudadanos. El 6 de septiembre, en Abidján, el Ministro de Administración Territorial, Issa Diakite, fue atacado por un grupo de Jóvenes Patriotas.	0
En cada incidente, las mujeres fueron obligadas a desnudarse a punta de pistola, violadas por Janjaweed y luego dejadas desnudas en la carretera.	0
Al mismo tiempo, mi delegación considera que los representantes electos de las minorías étnicas en la Asamblea, en particular los representantes serbios, lograrían mejores resultados y mayores beneficios para su electorado si adoptaran una actitud más participativa, en lugar de retirarse de legislatura cuando se encuentren en una situación difícil.	1
Sin embargo, observamos que sin un sector de justicia y seguridad resiliente, la paz y la estabilidad florecientes en el país podrían verse amenazadas.	1
Reafirmando su compromiso con la solución política de los conflictos en la ex Yugoslavia, preservando la soberanía y la integridad territorial de todos los Estados de allí dentro de sus fronteras internacionalmente reconocidas,	0
:: Relaciones con otras partes de las Naciones Unidas, incluidos el Secretario General y su Oficina, y los demás órganos subsidiarios del Consejo de Seguridad que operan en la esfera de la lucha contra el terrorismo	0
Como Fiscal, me ocuparé de cualquier impugnación judicial que presenten ante los tribunales el Presidente Al-Bashir y otros sospechosos.	1
1. Expresa su enérgica condena de todas las formas de violencia, incluidas, entre otras, el asesinato, la violación y la agresión sexual, la intimidación, el robo a mano armada, el secuestro, la toma de rehenes, el secuestro, el acoso y el arresto y detención ilegales a los que se somete a quienes participan en operaciones humanitarias. están cada vez más expuestos, así como los ataques a convoyes humanitarios y los actos de destrucción y saqueo de sus bienes;	1
Un total de 12 Estados han adoptado medidas para regular la producción, venta y transferencia de armas y explosivos, aunque sólo dos las han aplicado plenamente.	0
412. El secuestro de personas durante los ataques de los Janjaweed y su detención en campamentos gestionados por los Janjaweed, con el apoyo y la complicidad de las fuerzas armadas del Gobierno, constituyen violaciones flagrantes de los derechos humanos y desapariciones forzadas.	0
"El Consejo de Seguridad reafirma su pleno apoyo a los esfuerzos de las Naciones Unidas, en particular las actividades de la Misión Especial de las Naciones Unidas en el Afganistán (UNSMA) y las del Enviado Especial del Secretario General para el Afganistán, para facilitar el proceso político hacia los objetivos de la reconciliación nacional y una solución política duradera con la participación de todas las partes en el conflicto y todos los sectores de la sociedad afgana, y reitera su posición de que las Naciones Unidas deben seguir desempeñando su papel central e imparcial en los esfuerzos internacionales encaminados a lograr una paz pacífica. resolución del conflicto afgano.	0
g) La obligación de tomar precauciones para minimizar las pérdidas y daños incidentales como resultado de los ataques, de modo que cada parte debe hacer todo lo posible para garantizar que los objetivos sean objetivos militares y elegir medios o métodos de combate que minimicen las pérdidas de civiles;	0
28. La Organización Internacional para las Migraciones siguió apoyando el desarrollo del servicio de migración de la policía nacional mediante un amplio programa de creación de capacidad, proporcionando apoyo técnico jurídico para las revisiones de las leyes de inmigración y asilo y ayudando en la instalación de un servicio fronterizo. sistema de Información de Gestión.	0
Reiterando su profunda preocupación por el hecho de que, a pesar de su reiterada condena de la violencia contra las mujeres y los niños, incluidas todas las formas de violencia sexual en situaciones de conflicto armado, y a pesar de sus llamamientos dirigidos a todas las partes en los conflictos armados para que cesen esos actos con efecto inmediato, tales actos siguen ocurriendo y, en algunas situaciones, se han vuelto sistemáticos o generalizados.	1
Las interacciones con la sociedad civil ilustraron que la población no entendía claramente el mandato y la capacidad de la MONUSCO. Entre las poblaciones locales existía la percepción de que sólo la brigada de intervención podía tomar medidas enérgicas para proteger a los civiles, lo cual no es exacto.	0
Exhorta a todos los Estados a que adopten medidas urgentes para aplicar plenamente la resolución 1373 (2001) y a que se ayuden mutuamente para lograrlo, y subraya la obligación de los Estados de negar apoyo financiero y de cualquier otro tipo de apoyo y refugio a los terroristas y a quienes apoyan el terrorismo ,	1
Por nuestra parte, vinculamos la cuestión de la legitimidad directamente con la celebración de las elecciones, cuyos preparativos están en marcha en el Órgano Conjunto de Gestión Electoral.	1
Además, Chile opina que el párrafo 2 de la parte dispositiva del proyecto de resolución contiene una condena de los ataques suicidas contra civiles únicamente.	1
Todos los Estados son miembros de la OEA, que proporciona mecanismos regionales para la cooperación a nivel político y operativo.	0
El Presidente calificó enfáticamente el desafortunado incidente de feo e inaceptable, en la medida en que presagia una posible violencia durante las próximas elecciones de 2012.	1
Como se aclara en el artículo 7 (2) (d) del Estatuto de la Corte Penal Internacional, que puede considerarse que codifica el derecho internacional consuetudinario en la materia, la deportación o el traslado forzoso de población significa el desplazamiento forzado de las personas interesadas mediante expulsión u otras medidas. actos coercitivos desde la zona en la que se encuentran legalmente presentes, sin motivos permitidos por el derecho internacional.	0
También nos preocupa la situación que enfrentan quienes participan en la reconstrucción del país.	1
El Fiscal expresó su preocupación por las cuestiones no resueltas relativas a las personas detenidas en Libia y el desplazamiento masivo de los tawerghanos.	1
La prohibición de la esclavitud y la trata de esclavos en todas sus formas y del trabajo forzoso no remunerado o abusivo.	1
29. Mientras tanto, los esfuerzos del componente de policía de la ONUCI para asesorar al Gobierno de Reconciliación Nacional sobre la reestructuración de las Fuerzas de Defensa y Seguridad de Côte d'Ivoire y ayudar a restablecer una presencia policial civil en todo el país se han visto obstaculizados por la actitud poco cooperativa de las autoridades locales, la ausencia de un plan integral de reforma de las Fuerzas de Defensa y Seguridad de Costa de Marfil y la falta de acuerdo entre las partes de Costa de Marfil sobre el despliegue de agentes de policía y gendarmería de Costa de Marfil en el norte.	1
Lamentablemente, esta postura no ha cambiado, a pesar de los numerosos intentos de la comisión de lograr un compromiso.	1
12. Exhorta al Comité a que, en cooperación con el Comité establecido en virtud de la resolución 1373 (el "Comité contra el Terrorismo" o "CTC"), informe al Consejo sobre las medidas adicionales específicas que los Estados podrían adoptar para aplicar las medidas descritas en el párrafo 1 arriba;	0
59. La prohibición de viajar tiene un potencial particular contra quienes financian a Al-Qaida y los talibanes, a quienes puede resultarles complicado utilizar una identidad falsa o evadir de otro modo las restricciones a sus movimientos.	0
c) Alentar a los Estados a mejorar la seguridad fronteriza en los puntos de entrada a fin de impedir el movimiento transfronterizo ilegal de personas, cargamentos y armas/explosivos, así como el transporte físico transfronterizo de moneda y otros instrumentos al portador. Sudamerica	0
Esto afecta la capacidad de la Misión para redistribuir rápidamente personal uniformado para proteger a los civiles amenazados en el oeste, si la situación así lo requiere, así como para apoyar las actividades más amplias del equipo en el país.	0
Pide [al Estado afectado que facilite] la ayuda internacional para el desastre humanitario mediante una moratoria sobre todas las restricciones que puedan obstaculizar la prestación de asistencia humanitaria y el acceso a las poblaciones afectadas.	0
Obviamente esto se debe a que los Estados en cuestión han rechazado sus medidas.	1
