en_es_DEEPL	MatConf
Alrededor de las 17:00 horas del mismo día, testigos de Anka observaron entre 300 y 400 Janjaweed a pie, y otros 100 Janjaweed en camello y a caballo, avanzando hacia Anka desde la dirección de Barey.	1
(b) contribuir a la protección de civiles bajo amenaza inminente de violencia física en las zonas de su despliegue, y sin perjuicio de la responsabilidad de [el Estado afectado] ...	0
Según fuentes oficiales jordanas, los chalecos explosivos fueron fabricados por Al Qaeda en Irak, utilizando explosivos y granadas extraídos de antiguos arsenales del ejército iraquí e introducidos de contrabando en Jordania.	1
144. Si bien reconoce que el Jefe de la Fuerza de Defensa se enfrentó a una huelga masiva de personal y a la necesidad de mantener la disciplina de la fuerza, la Comisión observa discrepancias significativas entre las medidas adoptadas por él y los procedimientos exigidos por la ley. El Jefe de las Fuerzas de Defensa anunció públicamente el 16 de marzo que los peticionarios serían considerados civiles a partir del 1 de marzo. Las Fuerzas de Defensa habían encargado asesoramiento jurídico al asesor jurídico del Consejo de Ministros designado internacionalmente. No había asesor jurídico en las F-FDTL ni en el Ministerio.	0
23. También sigue preocupando el Emarat Kavkaz (QE.E.131.11), organización terrorista del Cáucaso Septentrional dirigida por Doku Khamatovich Umarov (QI.U.290.11). El grupo fue responsable de múltiples atentados en la Federación Rusa.	1
Uno de los oradores pidió que se examinara de cerca el trabajo de los expertos que ayudan a los comités de sanciones desplazándose al terreno para examinar la situación sobre el terreno.	0
Afirmó que la cooperación entre el gobierno y la sociedad civil es una parte esencial de los esfuerzos para evitar que las personas se conviertan en terroristas y señaló que está intensificando sus esfuerzos para identificar e investigar la incitación al odio en Internet.	0
54. Los datos anecdóticos sugieren que los fondos procedentes del pago de rescates y del tráfico de drogas se mueven a través de las fronteras mediante correos con dinero en efectivo.	1
7. Señala que dichos medios de financiación o apoyo incluyen, entre otros, la utilización del producto del delito, incluidos el cultivo, la producción y el tráfico ilícitos de estupefacientes y sus precursores;	1
Aún no se ha resuelto la cuestión del despliegue completo del componente de policía civil de la UNOMIG, encomendado por el Consejo de Seguridad.	0
Entre ellos se encuentran detenidos mantenidos por el Servicio Nacional de Seguridad e Inteligencia en un lugar secreto de detención en Jartum que la Comisión descubrió e inspeccionó.	1
8. El Consejo se mantendrá especialmente vigilante con respecto a quienes pudieran tratar de obstruir el proceso de transición, en particular quienes pudieran actuar en violación del embargo de armas en la República Democrática del Congo o negarse a participar en los procesos de desarme, desmovilización y reintegración o desarme, desmovilización, reintegración y repatriación o reasentamiento y de integración de las fuerzas armadas de la República Democrática del Congo.	0
La mujer y la prevención y resolución de conflictos Hace un llamamiento a todas las partes implicadas para que garanticen que la protección de las mujeres y los niños se aborda en la aplicación del [acuerdo político], así como en las fases de reconstrucción y recuperación posteriores al conflicto, incluido el seguimiento y la presentación de informes continuos sobre la situación de las mujeres y los niños.	0
Decide adoptar la declaración adjunta sobre el esfuerzo mundial en la lucha contra el terrorismo.	0
Acoge con satisfacción el compromiso expresado por los Estados de luchar contra la lacra del terrorismo internacional, incluso durante el debate plenario de la Asamblea General del 1 al 5 de octubre de 2001, pide a todos los Estados que se adhieran lo antes posible a los convenios y protocolos internacionales pertinentes relativos al terrorismo, y alienta a los Estados miembros a que lleven adelante los trabajos en este ámbito,	0
Cabe destacar que los dos movimientos no argumentaron su caso desde un punto de vista tribal, sino que hablaron en nombre de todos los darfurianos, y dirigieron sus ataques principalmente contra instalaciones gubernamentales.	1
Atacaron y mataron a 54 personas, hirieron a otras 24 e incendiaron casas antes de retirarse con ganado y enseres domésticos saqueados.	1
105. El Gobierno tiene el mandato de concebir y ejecutar la política general del país.	0
15. A lo largo del período que abarca el informe, la situación de seguridad en Ituri siguió siendo tensa, ya que los restos de las milicias continuaron cometiendo violaciones de los derechos humanos contra la población local en zonas en las que no estaban presentes la MONUC o las FARDC.	1
En cuanto al despliegue de la UNMISS, señaló que la fuerza estaba haciendo todo lo posible, a medida que se completaba el despliegue adicional, para ampliar su presencia fuera de las bases.	1
Timor Oriental sigue afrontando importantes retos para reducir la pobreza y crear oportunidades de empleo, en particular para su población juvenil.	0
El tráfico transfronterizo de minerales y diamantes lleva muchos años en el centro de la dinámica de los conflictos regionalizados, tanto en África Occidental como en la región de los Grandes Lagos.	1
El homicidio intencionado de un combatiente detenido constituye un crimen de guerra.	1
Los tres centros de intercambio de información establecidos en Sana'a, Mombasa (Kenia) y Dar es Salaam (República Unida de Tanzania) gestionan una red de puntos focales en toda la región, incluida Somalia, que proporcionan información sobre la actividad de la piratería y los movimientos de los dhow.	0
450. Una serie de graves deficiencias impiden que el sistema de justicia de Sudán actúe de forma rápida y adecuada para hacer frente a los abusos.	1
Muy pocos Estados han actualizado exhaustivamente su marco jurídico para incluir leyes específicas contra el terrorismo.	0
68. El asesinato de dos expertos de la UNODC el 7 de abril de 2014, mientras realizaban una misión de lucha contra la piratería en Somalia, fue un recordatorio aleccionador de los riesgos a los que se enfrenta el personal de las Naciones Unidas en su labor para mejorar la vida de los demás.	1
En Wadi Haggam robaron armas a la policía.	1
Otras medidas que contribuyen a la polarización de los dos grupos son el conflicto de 1987-1989 por el acceso a los pastos y las fuentes de agua entre los nómadas de origen árabe y los sedentarios fur.	1
Las autoridades israelíes alegan a su vez que estos sobrevuelos se llevan a cabo por motivos de seguridad, citando supuestas infracciones del embargo de armas aplicado en virtud de la resolución 1701 (2006).	0
Apoyar a las organizaciones de mujeres en las comunidades donde están desplegadas las fuerzas de mantenimiento de la paz para aumentar la concienciación sobre el VIH/SIDA y reforzar las estrategias de prevención de la comunidad.	0
De conformidad con el artículo 3 común a los cuatro Convenios de Ginebra, el derecho internacional humanitario es aplicable también en los conflictos armados de carácter no internacional.	0
El Equipo también ha aumentado la concienciación sobre las sanciones de Al Qaeda en el sector de las aerolíneas comerciales colaborando estrechamente con la Organización de Aviación Civil Internacional (OACI), la Asociación de Transporte Aéreo Internacional (IATA) y la industria privada.	1
A pesar de estos esfuerzos, sigue preocupando la seguridad en Mogadiscio, con la presencia de varias milicias facciosas, así como las que van por libre o están asociadas a empresarios y a los tribunales de la sharia.	1
En todas esas conversaciones, me animó encontrar una convergencia de opiniones: todos nos maravillamos de lo mucho que Liberia ha conseguido desde el final de los combates en 2003, pero todos nos dimos cuenta plenamente de lo sobrecogedores que siguen siendo los retos a los que se enfrenta Liberia y de que, en definitiva, no damos nada por sentado.	0
El resultado fue el desplazamiento de más de 1.000 civiles. La policía no tomó ninguna medida contra los Janjaweed.	1
Las mujeres y los niños fueron separados de los hombres, confinados en una zona alrededor de la mezquita y posteriormente llevados por sus captores para ser violados.	1
Expresaron su preocupación por el amplio uso de Internet por parte de Al Qaeda y sus asociados, por la irresponsabilidad de algunos medios de comunicación en su cobertura de temas delicados y por el uso terrorista de los teléfonos por satélite.	1
Por ejemplo, en 2009, Bután creó una unidad de fuerzas especiales de élite en su departamento de policía para hacer frente al terrorismo.	0
El plan de estudios examina las cuestiones de derechos humanos que suelen plantearse en las distintas fases del proceso penal en los casos de terrorismo.	0
Más tarde, ese mismo día, una acción militar en la base aérea de la FACI, en el aeropuerto internacional de Abiyán, se saldó con la destrucción de los otros dos Su-25, dos helicópteros Mi-24V y un UAV.	1
Ha descrito la situación en la escena del crimen como un caos.	1
La inanición y otras condiciones inhumanas de detención se imponen deliberadamente a los sospechosos para aumentar la presión sobre ellos para que confiesen e incriminen a otras personas.	1
Consciente de la exigencia del pueblo libanés de que se identifique y se haga rendir cuentas a todos los responsables del atentado terrorista que costó la vida al ex primer ministro libanés Rafiq Hariri y a otras personas,	1
Ha mantenido numerosos intercambios con el Gobierno marroquí, que, antes de aceptar la reanudación de la diplomacia itinerante, ha solicitado una reunión para aclarar sus preocupaciones en relación con el último informe del Secretario General (S/2014/258), precisando que Marruecos considera que ello permitiría que el proceso avanzara de la mejor manera posible.	0
En la 6492ª sesión del Consejo de Seguridad, celebrada el 28 de febrero de 2011, en relación con el examen por el Consejo del tema titulado "Amenazas a la paz y la seguridad internacionales causadas por actos terroristas", el Presidente del Consejo de Seguridad hizo la siguiente declaración en nombre del Consejo:	0
La limitada presencia del ACNUR en los campos y entre los refugiados es otro obstáculo que el país de asilo ha interpuesto al cumplimiento del mandato del ACNUR.	0
Subraya la necesidad de un compromiso sin reservas con el proceso de integración de las fuerzas armadas, en el espíritu del Acuerdo Global e Integrador.	0
76. Todas las partes en el conflicto -el Gobierno de Sudán, el SLA y el JEM- han reconocido que se trata de un conflicto armado interno.	1
Expresa su honda preocupación por el reclutamiento y la utilización de niños por las fuerzas [antigubernamentales] en [el país afectado], así como por el asesinato y la mutilación de niños como consecuencia del conflicto, reitera su enérgica condena del reclutamiento y la utilización de niños soldados en violación del Derecho internacional aplicable y de todas las demás violaciones y abusos cometidos contra los niños en situaciones de conflicto armado, en particular los ataques contra escuelas y la utilización de niños en atentados suicidas, y pide que los responsables sean llevados ante la justicia.	1
"El Consejo de Seguridad subraya la importancia del compromiso tanto de Etiopía como de Eritrea de sentar las bases de una paz duradera en la región y, consciente de las responsabilidades que incumben a las Naciones Unidas en virtud de los Acuerdos de Argel, sigue decidido a alentar y ayudar a ambos países a alcanzar este objetivo.	0
Condenando el continuo flujo ilícito de armas dentro y hacia la República Democrática del Congo y declarando su determinación de continuar vigilando de cerca la aplicación del embargo de armas y otras medidas establecidas por su resolución 1807 (2008),	1
A. Visión general 47. Los grupos incluidos en la lista afiliados a Al Qaeda y los talibanes siguen recaudando dinero por medios legales, como donaciones y empresas comerciales legítimas, e ilegales, como secuestros para obtener rescates, extorsiones, tráfico de drogas e impuestos ilegales.	1
63. A tal fin, el Consejo de Seguridad tal vez desee considerar la posibilidad de adoptar medidas firmes contra quienes intenten obstruir la aplicación de estas y otras disposiciones clave del Acuerdo de Pretoria, en particular mediante la imposición de las sanciones selectivas previstas en la resolución 1572 (2004) del Consejo de Seguridad.	1
Mueren dos civiles, cuatro personas resultan heridas por arma de fuego y dos sufren otras heridas graves.	1
Uganda sigue preocupada por la situación humanitaria en Darfur.	0
Esta lucha por el poder se manifiesta de diversas formas y tiene como objetivo apelar a las distintas fuerzas sociales de la sociedad civil y la opinión pública para conseguir más apoyo o influencia popular.	0
27. El F-FDTL sufrió una amplia reacción pública, en particular por parte de las organizaciones de veteranos surgidas en 2001.	0
Otros soldados empezaron a golpear a las otras cuatro mujeres, incluida la testigo.	1
Más recientemente, en julio de 2014, Boko Haram protagonizó una incursión transfronteriza en Camerún que condujo al secuestro de la esposa del viceprimer ministro, Amadou Ali, y a la muerte de otras tres personas.	1
En agosto, en virtud de un acuerdo entre el gobierno y el grupo armado de oposición chadiano Movimiento por la Democracia y la Justicia en Chad (MDJT) concluido a principios de 2010, 58 menores, entre ellos 10 niñas, se reunieron con sus familias.	0
A través de un enfoque amplio, "de toda la sociedad", los esfuerzos dirigidos a contrarrestar el extremismo violento son fundamentales para frenar el reclutamiento y abordar las necesidades de los combatientes terroristas extranjeros que regresan (para garantizar que no se radicalizan hacia la violencia en su país de origen o en terceros países).	0
Pide el pleno respeto de los derechos humanos y las libertades fundamentales y del Derecho internacional humanitario en todo [el país afectado], observa con preocupación las restricciones a la libertad de los medios de comunicación y los ataques contra periodistas.	0
Las operaciones de estos grupos también apoyaron los esfuerzos de los talibanes afganos por desestabilizar Afganistán.	1
Además, hay una serie de grupos armados palestinos que operan en el país dentro y fuera de los campos de refugiados.	1
El Sr. Sidikou destacó que, aunque Al-Shabaab había sufrido retrocesos militares, el grupo seguía conservando un número apreciable de sus combatientes y equipos, principalmente en las zonas rurales, y consideró que esto probablemente estaba pensado para mantener una lucha asimétrica prolongada.	1
Por lo tanto, es importante que los Estados no pierdan de vista este elemento del embargo. El Comité tal vez desee recordárselo cuando surja la oportunidad, alentándoles a que presenten para su inclusión en la lista los nombres de quienes proporcionen "asesoramiento técnico, asistencia o capacitación relacionados con actividades militares" (resolución 1617 (2005), párr. 1 c)) en violación de las medidas. 1 (c)) en violación de las medidas.	0
El Teniente General Ahmed recordó al Consejo que los Comandantes de las Fuerzas están al mando de más de 90.000 soldados de un total de 105.000 uniformados y que es probable que esta cifra aumente en el próximo periodo.	1
Por último, gran parte de la información procedente de fuentes relacionadas con la suerte del Sr. Abu Adass apunta a la República Árabe Siria y a funcionarios sirios, así como a ciertos funcionarios libaneses. Si bien es cierto que pocas de estas fuentes de información han sido corroboradas de forma independiente, es significativo que ninguna información señale a ninguna otra entidad como implicada en su desaparición o que fuera un terrorista suicida.	1
En concordancia con lo anterior, el 15 de mayo de 2012, el Presidente de la República emitió en Consejo de Ministros el decreto ejecutivo PCM 014-2012. En el artículo 1 de dicho decreto se establece que en el mapa oficial de la República de Honduras, con los límites determinados en el sistema de administración territorial, aparecen los municipios que colindan con la frontera terrestre con la República de El Salvador, entre ellos: en el Departamento de Ocotepeque: Ocotepeque, Sinuapa y Mercedes; en el Departamento de Lempira: Cololaca, Guarita, San Juan Guarita, Valladolid, La Virtud, Mapulaca, Virginia y Piraera; en el Departamento de Intibucá: San Antonio, Santa Lucía, Magdalena y Colomoncagua; en el Departamento de La Paz: Santa Elena, Yarula, Marcala, Cabañas, Santa Ana, Opatoro, Mercedes de Oriente y San Antonio del Norte; y en el Departamento del Valle: Caridad, Aramecina, Goascorán y Alianza.	0
Decide que todos los Estados miembros congelen sin demora todos los fondos, otros activos financieros y recursos económicos que se encuentren en sus territorios, que sean propiedad o estén bajo el control, directo o indirecto, de las personas o entidades enumeradas en [anexo de la resolución por la que se imponen sanciones] o [designadas por el Comité de Sanciones y que estén implicadas o sean cómplices de ordenar, controlando, o dirigiendo de otro modo, la comisión de graves violaciones de los derechos humanos contra personas en el [Estado afectado], incluso participando o siendo cómplices en la planificación, el mando, la ordenación o la realización de ataques, en violación del derecho internacional, incluidos bombardeos aéreos, contra poblaciones e instalaciones civiles; o por personas o entidades que actúen en su nombre o personas y entidades que actúen en nombre de esas personas o en su nombre o siguiendo sus instrucciones], y decide además que todos los Estados Miembros se aseguren de que se impida que sus nacionales o cualesquiera personas o entidades que se encuentren en su territorio pongan cualesquiera fondos, activos financieros o recursos económicos a disposición de las personas o entidades enumeradas en [anexo de la resolución por la que se imponen sanciones] o de las personas designadas por el Comité, o en su beneficio.	1
1. De conformidad con el párrafo 4 de la resolución 1956 (2010) del Consejo de Seguridad, en el que se solicita que el Gobierno del Iraq presente un informe escrito al Consejo a más tardar el 1 de mayo de 2011 sobre los progresos realizados en la transición a un mecanismo posterior al Fondo para el Desarrollo, deseamos informar al Consejo de Seguridad de que el Gobierno del Iraq ha completado las disposiciones que garantizarán una transición plena y efectiva a dicho mecanismo. Dichas medidas incluyen lo siguiente	0
El movimiento Bakata Katanga ha desestabilizado amplias zonas de la provincia desde 2012, cuando, tras su fuga de prisión, Kyunugu Mutanga Gédéon comenzó a obligar a las poblaciones locales, incluidos niños, a unirse a sus filas o huir.	1
En la 4679ª sesión del Consejo de Seguridad, celebrada el 20 de diciembre de 2002, como continuación de su examen del tema titulado "Protección de los civiles en los conflictos armados" en su 4660ª sesión, celebrada el 10 de diciembre de 2002, el Presidente del Consejo de Seguridad hizo la siguiente declaración en nombre del Consejo:	0
Al otro lado de la frontera, en la República Árabe Siria, Jabhat al-Nusra -filial de AQI- ha ganado influencia y reclutas gracias a sus combates en la cada vez más encarnizada guerra civil de la República Árabe Siria.	1
El Comité afirmó que en Baram algunos soldados, así como 13 civiles, fueron asesinados por los rebeldes en el interior del hospital.	1
Su innovación consistió en desplazar el objetivo de los países musulmanes a Occidente, en particular a Estados Unidos; y al caracterizar su terrorismo como una lucha entre el Islam y sus enemigos, consiguió reunir bajo una misma bandera a varios grupos diversos y a menudo enfrentados.	0
Utilizar equipos multifuncionales a nivel de país en el trabajo con las comunidades de refugiados para identificar las preocupaciones sobre protección y programas en materia de violencia de género; generar iniciativas de sensibilización propias de los refugiados; apoyar proyectos piloto para abordar la violencia de género, incluidos proyectos dirigidos a hombres y niños; distribuir y aplicar directrices sobre violencia sexual y de género contra refugiados, retornados y desplazados internos.	0
Unas 20.000 personas se han quedado sin hogar en Abiyán debido a la destrucción deliberada de chabolas.	1
La Misión y la fuerza de mantenimiento de la paz realizaron patrullas conjuntas el 5 de julio en el distrito de Gali, el 21 de agosto en el sector de Zugdidi (junto con la parte georgiana) y el 22 de septiembre en el valle del bajo Kodori.	0
"El Consejo subraya la importancia de la implicación nacional, del diálogo constructivo y de la asociación entre las autoridades nacionales y la comunidad internacional para ayudar a abordar las necesidades prioritarias de consolidación de la paz y las causas subyacentes de la inestabilidad recurrente.	0
Sin embargo, sigue siendo preocupante la posibilidad de que el MRC socave los avances tangibles en la estabilización de Ituri, sobre todo teniendo en cuenta la incapacidad del Gobierno de Transición hasta el momento para llevar a los líderes de los grupos armados ante la justicia e impedir sus movimientos hacia y desde Uganda.	1
"El Consejo de Seguridad hace extensivo su agradecimiento a los países participantes en la Misión de Estabilización de las Naciones Unidas en Haití (MINUSTAH), y espera que los países que se han comprometido a aportar tropas y policía civil hagan todo lo posible por acelerar el pronto despliegue de su personal.	0
(c) Promover la adopción de controles nacionales más estrictos de armas y explosivos.	0
6. El 14 de abril de 2011, el Coordinador se reunió con el Subsecretario del Ministerio de Asuntos Exteriores de Kuwait, Khaled Al Jarallah. Este último señaló que la tarea de encontrar los restos mortales de las víctimas kuwaitíes no debía "mezclarse" con la evolución de las relaciones políticas entre Irak y Kuwait.	0
En la misma resolución, el Consejo también introdujo ciertas exenciones a las medidas selectivas. El 5 de diciembre de 2011, el Consejo de Seguridad adoptó la resolución 2023 (2011), ampliando las medidas restrictivas relativas a Eritrea en los ámbitos de los "impuestos de la diáspora", el sector minero eritreo y los servicios financieros.	0
El Presidente ha informado al Consejo de los debates del Comité en su reunión celebrada el 3 de septiembre, que se centraron en el informe de mitad de período del Grupo de Expertos establecido en virtud de la resolución 1874 (2009), publicado el 1 de agosto, y en la actualización por el Grupo de Expertos de su informe sobre incidentes, también publicado el 1 de agosto, relativo a los lanzamientos de misiles balísticos por la República Popular Democrática de Corea en junio y julio de 2014.	0
También nos preocupa el resurgimiento de los casos de cólera, aunque la tasa de mortalidad parece disminuir lentamente.	0
56. La policía y las fuerzas de seguridad de la República Popular Democrática de Corea emplean sistemáticamente violencia y castigos que equivalen a graves violaciones de los derechos humanos con el fin de crear un clima de miedo que impida cualquier desafío al actual sistema de gobierno y a la ideología que lo sustenta.	1
▪ Lanzar un ataque del que quepa esperar que cause incidentalmente muertos o heridos entre la población civil o daños a bienes de carácter civil, o una combinación de ambos, que resulte excesiva en relación con la ventaja militar concreta y directa prevista;	1
En la región de Hiraan, en Somalia central, los intensos combates del 7 y 8 de junio entre los subclanes Galje'el y Jajele de Hawiye por la tierra y el agua en la parte occidental de Beletweyne causaron, según informes, 36 muertos y 70 heridos.	1
Rogerio Lobato fue considerado para el puesto de Secretario de Estado de Defensa, pero se le denegó, después de que el general Taur Matan Ruak amenazara con abandonar las fuerzas de defensa. Roque Rodrigues fue nombrado.	0
El Consejo subraya la necesidad de que toda acción militar contra el Ejército de Resistencia del Señor se lleve a cabo respetando el Derecho internacional aplicable, incluido el Derecho internacional humanitario, los derechos humanos y el Derecho de los refugiados, y reduciendo al mínimo el riesgo de daños a los civiles en esas zonas.	0
Esto explica, además, la determinación del sector empresarial de Uganda de seguir suministrando armas a los grupos armados del distrito de Ituri para que pudieran seguir explotando ilegalmente los recursos naturales y otras formas de riqueza de la región.	1
29. La Comisión Nacional de la Juventud fue inaugurada por el Presidente Koroma el 25 de noviembre de 2011. Se espera que la Comisión asuma el liderazgo en la promoción y armonización del desarrollo de la juventud, en el marco del Ministerio de Empleo Juvenil y Deportes.	0
4. Mediante la resolución 733 (1992), el Consejo de Seguridad impuso un embargo de armas general y completo a Somalia, y mediante la resolución 751 (1992) el Consejo estableció un Comité para supervisar la aplicación del embargo.	1
169. La explosión que mató al Sr. Hariri y a otras 22 personas tuvo lugar en la superficie.	1
(c) Saqueos por parte de soldados eritreos de viviendas particulares, comercios y otras entidades;	1
(c) Exhorta además a todas las partes enumeradas en los anexos del informe del Secretario General sobre los niños y los conflictos armados a que se ocupen de todas las demás violaciones y abusos cometidos contra los niños y asuman compromisos y medidas específicas a este respecto;	0
También acojo con satisfacción las iniciativas emprendidas por la Comisión de la Cuenca del Lago Chad para encontrar soluciones duraderas que frenen el terrorismo, la insurgencia violenta y el extremismo mediante una estrategia común.	0
14. En general, disminuyó el número de operaciones militares de las FARDC apoyadas por la MONUSCO. Entre el 6 y el 15 de febrero, la MONUSCO apoyó la operación Mapema Mupya (Nuevo Amanecer) de las FARDC en la zona de Kanyabayonga, en Kivu del Norte, cuyo objetivo era disuadir la actividad de los grupos armados y mejorar la protección de los civiles.	1
12. Reitera su agradecimiento a los socios de la UA que ya apoyan la MISCA, a saber, los Estados Unidos, Francia y la Unión Europea (UE), toma nota con satisfacción del apoyo técnico prestado por las Naciones Unidas de conformidad con el párrafo 37 de la resolución 2127 (2013) del Consejo de Seguridad, de 5 de diciembre de 2013, así como de las contribuciones ya efectuadas al Fondo Fiduciario establecido por el Secretario General de las Naciones Unidas de conformidad con el párrafo 43 de la resolución 2127 (2013), por Canadá y Luxemburgo, y de las promesas realizadas por Japón y el Reino Unido.	0
Considerar la posibilidad de aplicar medidas selectivas y graduales contra las partes en conflictos armados responsables de obstruir la prestación de asistencia humanitaria en violación del derecho internacional humanitario, incluso participando en ataques contra agentes y bienes humanitarios.	1
Se trata de un avance esencial, en la medida en que la responsabilidad de la aplicación se delega en el nivel en el que se prestan los servicios policiales, lo que a su vez maximiza el principio de apropiación local.	0
72. Lo que ocurrió los días 25 y 26 de marzo fue la matanza indiscriminada de civiles inocentes y la comisión de violaciones masivas de los derechos humanos.	1
Calificó de dramática la brecha existente entre los progresos realizados en la construcción del Estado palestino y el persistente y profundo estancamiento de la vía política.	0
Tras hacer un llamamiento para que se profundice en el análisis de los objetivos compartidos por las comunidades de derechos humanos, desarrollo y seguridad, así como por el sistema de las Naciones Unidas y los Estados miembros, la Alta Comisionada subrayó que las violaciones de los derechos humanos son a menudo una de las causas profundas de los conflictos armados, como había ocurrido en Somalia y Bosnia y Herzegovina.	0
La Comisión considera que los delitos de violencia sexual cometidos en Darfur pueden constituir violación como crimen de lesa humanidad, o esclavitud sexual como crimen de lesa humanidad.	1
Los miembros consideraron que el contenido y el formato actuales de la "lista de comprobación" deberían revisarse con vistas a rediseñarla, si fuera necesario, y posteriormente explorar su eficacia a modo de prueba.	0
Según los testimonios, miles de miembros de las fuerzas de seguridad podrían haber estado en acción esos días en Abiyán.	1
9. Pide al Comité contra el Terrorismo que, además del informe solicitado en el párrafo 8, informe oralmente al Consejo, por conducto de su Presidente, al menos cada 180 días, sobre la labor general del Comité contra el Terrorismo y de su Dirección Ejecutiva y, según proceda, en conjunción con los informes de los Presidentes del Comité establecido en virtud de la resolución 1267 (1999) y del Comité establecido en virtud de la resolución 1540 (2004), y alienta la celebración de reuniones informativas oficiosas para todos los Estados Miembros interesados;	0
