id	ar	en	es	Relevant
2002/s/2001/1281/158:1	:: قانون النقاط الأساسية الوطنية، 1980 (القانون رقم 102 لعام 1980)؛	the National Key Points Act, 1980 (Act No 102 of 1980);	:: La Ley nacional sobre entidades clave de 1980 (Ley No. 102 de 1980);	0
2012/s/2012/10/add_31/47:1	43 - الحالة في ميانمار (15 أيلول/سبتمبر 2006؛ 13 تموز/يوليه 2009).	43. The situation in Myanmar (15 September 2006; 13 July 2009).	43. La situación en Myanmar (15 de septiembre de 2006; 13 de julio de 2009).	0
2003/s/ac_37/2003/_1455_/83/45:1	نشرت قائمة موحدة منقحة مستكملة في 26 آب/أغسطس 2002 في العدد 17285 من الجريدة الرسمية الصادرة في 3 أيلول/سبتمبر 2002 بواسطة الإشعار الحكومي رقم 768.	A revised consolidated list updated as at 26 August 2002 was published in Government Gazette 17285 of 3 September 2002 by means of Government Notice 768.	En el Diario Oficial No. 17285, de 3 de septiembre de 2002, se publicó una Lista consolidada actualizada al 26 de agosto de 2002, mediante la Notificación Pública No. 768.	0
1999/s/1999/828/112:1	- سجل رسميا في صربيا والجبل اﻷسود طرد ٥٣٦ ٧٨ شخصا من ديارهم؛	- 78,536 persons expelled from their homes have been officially registered in Serbia and Montenegro;	- En Serbia y Montenegro se ha registrado oficialmente a 78.536 personas como expulsadas de sus hogares;	0
2003/s/2002/1050/rev_1/38:4	ويشمل هذا الدعم جمع الأموال وتقديم التمويل؛ وتقديم بطاقات هوية ووثائق سفر مزيفة أو مزورة أو مسروقة؛ ومنازل آمنة.	This support includes fund-raising and the provision of finance; the supply of false, forged or stolen identity and travel documents; and safe houses.	Dicho apoyo incluye la captación de fondos y la financiación; el suministro de documentos de viaje e identidad falsos, falsificados o robados; y las casas refugio.	0
2004/s/agenda/4894/2:1	المقرر عقدها يوم الخميس، 15 كانون الثاني/يناير 2004، الساعة 00/15	To be held on Thursday, 15 January 2004, at 3 p.m.	Que se celebrará el jueves 15 de enero de 2004, a las 15.00 horas	0
2014/s/2014/10/58:1	54 - مسألة حيدر أباد (16 أيلول/سبتمبر 1948؛ 24 أيار/مايو 1949).	54. The Hyderabad question (16 September 1948; 24 May 1949).	54. La cuestión de Haiderabad (16 de septiembre de 1948; 24 de mayo de 1949).	0
2006/s/2006/744/19:4	والسيدة فيرا فايكي فريبرجا هي عضو في اتحاد الكتاب في لاتفيا (2004).	Vaira Vīķe-Freiberga is a member of the Writers' Union of Latvia (2004).	Vaira Vīķe-Freiberga es miembro de la Unión de Escritores de Letonia (2004).	0
2002/s/ac_26/2002/19/572:1	(د) الممتلكات المادية للقوات الجوية (الطائرات ومحركات الطائرات) - 489 018 122 دولاراً من دولارات الولايات المتحدة	4 Air Force tangible property (aircraft and aircraft engines) – USD 122,018,489	d) Bienes materiales de la Fuerza Aérea (aviones y motores de aviación): 122.018.489 dólares de los EE.UU.	0
1998/s/1998/326/212:1	٢٠ - وثارت مسألتان أخريان تتعلقان بالعمليات الجوية.	20. Two other issues arose related to aerial operations.	Otros dos problemas se vinculan con las operaciones aéreas.	0
2012/s/2012/307/87:3	ومع ذلك، لم يُحرز حتى الآن أي تقدم.	However, there has so far not been any breakthrough.	Pese a ello, hasta la fecha no se ha logrado ningún avance.	0
2001/s/ac_26/2001/28/1590:1	(ب) تطبيق تحليل "الدين القديم"	Application of the "old debt" analysis	b) Aplicación del análisis de la "deuda antigua"	0
1999/s/ac_26/1999/24/667:1	الأثاث والتجهيزات 614 102 دولاراً من دولارات الولايات المتحدة	Furniture and fixtures US$102,614	Mobiliario y accesorios: 102.614 dólares EE.UU.	0
2005/s/2005/766/37:2	وبتمويل من البرنامج الإنمائي، قامت البعثة بالترتيب لطباعة 420 787 3 نسخة من مشروع الدستور باللغات العربية والكردية والتركمانية والسريانية (900 507 2 بالعربية، و520 904 بالكردية، و000 250 بالتركمانية، و000 125 بالسريانية).	With funding from UNDP, UNAMI arranged for the printing of 3,787,420 copies of the draft constitution in the Arabic, Kurdish, Turkmen and Syriac languages (2,507,900 in Arabic, 904,520 in Kurdish, 250,000 in Turkmen and 125,000 in Syriac).	Con financiación del PNUD, la UNAMI encargó la impresión de 3.787.420 ejemplares del proyecto de constitución en árabe, kurdo, turkmeno y siriaco (2.507.900 en árabe, 904.520 en kurdo, 250.000 en turkmeno y 125.000 en siriaco).	0
2006/s/ac_44/2004/_02_/62/add_2/67:1	2 - قانون عام 2005 المتعلق بأسلحة الدمار الشامل (المادتان 14 و 15)	2. WMD Act 2005 (Sections 14 and 15).	2. Artículos 14 y 15 de la Ley de 2005 sobre las armas de destrucción en masa.	0
2007/s/2007/68/57:1	سابعا - الذهب والكسيتريت (حجر القصدير) في كيفو الجنوبية	VII. Gold and cassiterite in South Kivu	VII. El oro y la casiterita en Kivu del Sur	0
2008/s/2008/510/384:2	ويُحتفظ بمخزون هذه الممتلكات غير المستهلكة بالتكلفة المحسوبة تاريخياًّ؛	Inventory of such non-expendable property is maintained at historical cost;	El inventario de esos bienes no fungibles se lleva al costo inicial;	0
2002/s/ac_26/2002/22/1110:1	Du Pont de Nemours International S.A.	Du Pont de Nemours International S.A.	Du Pont de Nemours International S.A.	0
2009/s/2009/511/13:1	بوتسوانا فخامة الرئيس الفريق سيرنسي خاما إيان خاما	Botswana H.E. President Lt. Gen. Seretse Khama Ian Khama	Botswana Gral. Seretse Khama Ian Khama	0
2013/s/2013/769/332:1	الفريق المعني بأخلاقيات البيولوجيا المتعلقة بالاستخدام المزدوج، التابع لمؤسسة ولكوم الاستئمانية بجامعة برادفورد بالمملكة المتحدة، بالاشتراك مع الأكاديمية الوطنية للعلوم في الولايات المتحدة 2-4 أيلول/سبتمبر	Wellcome Trust Dual-Use Bioethics Group at the University of Bradford, United Kingdom, with the United States National Academy of Sciences 2-4 September	Wellcome Trust Dual-Use Bioethics Group de la Universidad de Bradford (Reino Unido), junto con la Academia Nacional de Ciencias de los Estados Unidos 2 a 4 de septiembre	0
2010/s/2010/10/add_17/12:1	7 - الحالة في ليبريا (22 كانون الثاني/يناير 1991؛ 17 كانون الأول/ديسمبر 2009).	7. The situation in Liberia (22 January 1991; 17 December 2009).	7. La situación en Liberia (22 de enero de 1991; 17 de diciembre de 2009)	0
1998/s/1998/477/165:5	وفي اﻷعوام السبعة الماضية، كان نحو ٠٧ في المائة من جميع الكتب المدرسية الموزعة على التﻻميذ كتبا سبق استخدامها.	For the past seven years, approximately 70 per cent of all textbooks given to pupils had been used previously.	En los últimos siete años, aproximadamente el 70% de los libros de texto distribuidos a los alumnos habían sido utilizados previamente.	0
2010/s/2010/259/56:7	والتاريخ المتوقع لإصدار الحكم هو كانون الأول/ ديسمبر 2010.	The expected judgement delivery date is December 2010.	Está previsto que se dicte sentencia en diciembre de 2010.	0
2012/s/2012/10/add_22/14:1	10 - الحالة في جورجيا (8 تشرين الأول/أكتوبر 1992؛ 15 حزيران/ يونيه 2009).	10. The situation in Georgia (8 October 1992; 15 June 2009).	10. La situación en Georgia (8 de octubre de 1992; 15 de junio de 2009).	0
2014/s/2014/1/71:2	وتتألف هذه الأصول إلى حد كبير من مخازن للدفاع الميداني، مثل أكياس الحجارة والأسلاك الشائكة القابلة للطي.	Those assets consist largely of field defence stores such as gabions and concertina wire.	Ese equipo consiste sobre todo en material de fortificación de campaña (como gaviones y alambrado de serpentina).	0
2002/s/ac_26/2002/15/2042:4	وقيمة المشروع 1101 بلغت 095 516 254 دولارا.	The value of Project 1101 was USD 254,516,095.	El Proyecto 1101 tenía un valor de 254.516.095 dólares.	0
2004/s/2004/300/182:1	119 - إلا أن نجاحنا الحقيقي لن يكون إلا إذا كان الهايتيون أنفسهم ناجحين.	119. However, we can only be truly successful if the Haitians are successful.	No obstante, sólo podremos tener éxito si los haitianos tienen éxito.	0
2003/s/ac_26/2003/15/107:1	الجدول 9- قائمة الكيانات المتلقية 86	Table 9. List of Receiving Entities 91919191	9. Lista de entidades receptoras 94	0
2008/s/2008/58/92:1	:: الأمانة الإدارية، وهي هيئة الدعم.	The Administrative Secretariat, which provides support.	- La secretaría administrativa, que es la entidad de apoyo.	0
2010/s/2010/543/79:1	64 - وحتى آب/أغسطس 2010، كانت العملية المختلطة قد حددت في مواقع الأفرقة التابعة لها وحولها 78 موقعاً يمكن حفر آبار فيها.	64. As of August 2010, UNAMID had identified 78 potential drilling sites for water in and around its team sites.	Hasta agosto de 2010, la UNAMID había detectado en sus bases de operaciones y alrededores 78 puntos donde podían hacerse perforaciones para extraer agua.	0
2011/s/agenda/6695/2:1	المقرر عقدها يوم الأربعاء 21 كانون الأول/ديسمبر 2011، الساعة 11/10	To be held on Wednesday, 21 December 2011, at 10.11 a.m.	Que se celebrará el miércoles 21 de diciembre de 2011, a las 10.11 horas	0
2010/s/pv_6259/46:1	أدعو السيد لعمامرة لشغل مقعد على طاولة المجلس.	I invite Mr. Lamamra to take a seat at the Council table.	Invito al Sr. Lamamra a tomar asiento a la mesa del Consejo.	0
2005/s/2005/192/137:1	:: هل يخضع ذلك لنصوص قانونية؟ فإذا كان ذلك كذلك، يرجى إجمال تلك النصوص.	Is it governed, in any respect, by legislation? If so, outline the legislation.	:: Se rige, en algunos aspectos, por la legislación. En caso afirmativo, indíquese las leyes pertinentes.	0
2009/s/2009/212/524:1	ثانياً: الصندوق العربي للمعونة الفنية للدول الأفريقية:	II. The Arab Fund for Technical Assistance to African Countries	II. Fondo Árabe para la Asistencia Técnica a los Países Africanos	0
2002/s/agenda/4539/4:1	2 - الحالة في سيراليون.	2. The situation in Sierra Leone.	2. La situación en Sierra Leona.	0
2005/s/2005/255/35:2	وموظفو هذه الشعبة جاهزون للعمل في أي ساعة من الليل والنهار وفي كل يوم من أيام الأسبوع السبعة.	Officers of this Section are available twenty-four hours a day and seven days a week.	Esta sección cuenta con funcionarios de servicio 24 horas al día, siete días a la semana.	0
2006/s/2006/10/add_12/17:1	الحالة في كوت ديفـوار (انظر S/2002/30/Add.50؛S/2003/40/Add.5، 17، 19، 29، 31، 45، 47 و 48؛ S/2004/20/Add.5، 8، 17، 21، 31، 44، 46 و 50؛ S/2005/15/Add.4، 12، 13، 16، 17، 21، 24، 26، 34، 40، 41، 47، 48 و 49؛ و S/2006/10/Add.2، 3 و 5 و 7)	The situation in Côte d'Ivoire (see S/2002/30/Add.50; S/2003/40/Add.5, 17, 19, 29, 31, 45, 47 and 48; S/2004/20/Add.5, 8, 17, 21, 31, 44, 46 and 50; S/2005/15/Add.4, 12, 13, 16, 17, 21, 24, 26, 34, 40, 41, 47, 48 and 49; and S/2006/10/Add.2, 3, 5 and 7)	La situación en Côte d'Ivoire (véanse S/2002/30/Add.50; S/2003/40/Add.5, 17, 19, 29, 31, 45, 47 y 48; S/2004/20/Add.5, 8, 17, 21, 31, 44, 46 y 50; S/2005/15/Add.4, 12, 13, 16, 17, 21, 24, 26, 34, 40, 41, 47, 48 y 49; y S/2006/10/Add.2, 3, 5 y 7)	0
2014/s/2014/295/43:5	وقد حوصرت بلدتا نُبل والزهراء منذ شهر نيسان/أبريل 2013.	Nubul and Zahra have been besieged since April 2013.	Nubul y Zahra están asediadas desde abril de 2013.	0
2004/s/2004/604/254:3	وتشير بعض المعلومات إلى أنهم صدروا مؤخرا أكثر من 400 كيلوغرام من الحشيش إلى البلدان المجاورة.	Information indicates that they recently exported more than 400 kilograms of hashish to neighbouring countries.	La información disponible indica que exportaron recientemente más de 400 kilogramos de hachís a países vecinos.	0
2012/s/2012/10/add_26/45:1	41 - عدم الانتشار (29 آذار/مارس 2006؛ 12 حزيران/يونيه 2012).	41. Non-proliferation (29 March 2006; 12 June 2012).	41. No proliferación (29 de marzo de 2006; 12 de junio de 2012).	0
2014/s/agenda/7099/2:1	المقرر عقدها يوم الخميس 23 كانون الثاني/يناير 2014، الساعة 10:00	To be held on Thursday, 23 January 2014, at 10 a.m.	Que se celebrará el jueves 23 de enero de 2014, a las 10.00 horas	0
2014/s/2014/439/116:1	:: اليرموك والحجر الأسود: 000 40 شخص	:: Yarmouk and Hajr al-Aswad: 40,000 individuals	:: Yarmouk y Hajr al-Aswad: 40.000 personas	0
2011/s/pv_6487/47:1	الرئيسة (تكلمت بالإنكليزية): نتيجة التصويت 15 صوتا مؤيدا.	The President: The draft resolution received 15 votes in favour.	La Presidenta (habla en inglés): Se han emitido 15 votos a favor.	0
2012/s/agenda/6816/2:1	المقرر عقدها يوم الأربعاء 25 تموز/يوليه 2012، الساعة 14/10	To be held on Wednesday, 25 July 2012, at 10.14 a.m.	Que se celebrará el miércoles 25 de julio de 2012, a las 10.14 horas	0
2003/s/2003/498/266:1	514.95 253 في مصرف دلتا، بلغراد	253 514.95 into Delta Banka AD, Belgrade	253.514,95 en el Delta Banka AD, Belgrado	0
2003/s/2003/92/14:1	1 - المجموعة الأولى: تحركت المجموعة المكونة من ستة مفتشين في الساعة 30/08 من فندق القناة ببغداد ووصلت إلى كلية الطب/الجامعة المستنصرية الواقعة في حي القادسية ببغداد.	A first group, composed of six inspectors, left the Canal Hotel in Baghdad at 8.30 a.m. and arrived at the College of Medicine of Mustansiriyah University, located in the Qadisiyah area of Baghdad.	El grupo I, formado por seis inspectores, salió a las 8.30 horas del Hotel Canal de Bagdad y llegó a la Facultad de Medicina de la Universidad Mustansiriya, situada en el barrio de Al-Qadisiya de Bagdad.	0
2004/s/ac_26/2004/17/311:5	ويمكن إنشاء كل مدفن تحت سطح الأرض مما يضمن، عند إغلاقه، عدم ظهوره للعيان.	Each landfill could be constructed below grade ensuring that, once closed, it would not be visible.	Cada vertedero podría construirse con un desnivel que garantice que una vez cerrado no sea visible.	0
2000/s/ac_26/2000/17/51:1	(ج) المبالغ المدفوعة مقدماً للإيجار والخدمات الأخرى 135-136 41	Advance payments for rent and other services 135 - 136 35	c) Pagos anticipados de alquileres y otros servicios 135 - 136 37	0
2011/s/pv_6579/41:1	سأطرح مشروع القرار للتصويت عليه الآن.	I shall put the draft resolution to the vote now.	Someteré ahora a votación el proyecto de resolución.	0
2012/s/2012/166/24:3	وقد انفصل جناح ميني ميناوي عن الحكومة في أواخر عام 2010.	SLA-Minni Minawi split from the Government in the latter part of 2010.	El Ejército de Liberación del Sudán-Minni Minawi se apartó del Gobierno a finales de 2010.	0
2014/s/2014/242/3:3	ورأس الجزء المتعلق بكوت ديفوار والجماعة الاقتصادية لدول غرب أفريقيا من البعثة سفير فرنسا جيرار آرو وسفير توغو كودجو مينان.	The Côte d'Ivoire and ECOWAS segment of the mission was co-led by Ambassador Gérard Araud of France and Ambassador Kodjo Menan of Togo.	La parte de la misión relativa a Côte d'Ivoire y la CEDEAO fue encabezada conjuntamente por el Embajador de Francia, Sr. Gérard Araud, y el Embajador del Togo, Sr. Kodjo Menan.	0
2006/s/2006/35/44:1	(1) ينطبق هذا القانون - في حدود إقليم جمهورية هنغاريا - على من يلي من أشخاص:	(1) This Act shall apply -- within the territory of the Republic of Hungary -- to	1) Esta Ley será aplicable, dentro del territorio de la República de Hungría, a:	0
2006/s/2006/893/195:1	(أ) تحديد هوية الأشخاص وأماكن تواجدهم؛	(a) Identification and location of persons;	a) La identificación y el paradero de personas;	0
2005/s/ac_44/2004/_02_/115/60:1	10 - الانضمام إلى اتفاقية الحماية المادية للمواد والمرافق النووية بتاريخ 17 تشرين الثاني/نوفمبر 2000 (مسيحي).	10. Accede to the Convention on the Physical Protection of Nuclear Material (17 November 2000);	10. Adherirse a la Convención sobre la protección física de los materiales nucleares (17 de noviembre de 2000);	0
2004/s/2004/961/177:1	141- فيصل غالي عشوي الظفيري	141. Faisal Ghali Ashwi Al-Dhafiri	141. Faisal Ghali Ashwi Al-Dhafiri	0
2014/s/2014/464/11:1	- السيد كازوتو سوزوكي، النقل البحري (اليابان)	- Mr. Kazuto Suzuki, maritime transport (Japan)	- Sr. Kazuto Suzuki, transporte marítimo (Japón)	0
2010/s/2010/10/add_11/16:1	الحالة في الصومال (17 آذار/مارس 1992؛ 19 آذار/مارس 2010)	The situation in Somalia (17 March 1992; 19 March 2010)	La situación en Somalia (17 de marzo de 1992; 19 de marzo de 2010)	0
2005/s/2005/662/421:3	ووفقا لسجلات الشركة، فقد سلمت الخطوط إلى فرع الشركة في طرابلس.	According to company records, the lines were delivered to the store's Tripoli branch.	Según los registros de esa empresa, las tarjetas fueron enviadas a la sucursal de la tienda en Trípoli.	0
2011/s/2011/278/81:7	وأخيرا، خصصت نسبة 12.5 في المائة من الأصول للتبرع بها لحكومة تشاد.	About 12.5 per cent of assets are earmarked for donation to the Government of Chad.	Aproximadamente el 12,5% de los activos serán donados al Gobierno del Chad.	0
2008/s/2008/10/add_30/3:2	وقد صدرت آخر قائمة كاملة (S/2008/10/Add.26) في 10 تموز/يوليه 2008.	The last full list of items (S/2008/10/Add.26) was issued on 10 July 2008.	La última relación sumaria completa (S/2008/10/Add.26) se publicó el 10 de julio de 2008.	0
2002/s/2002/676/119:1	القانون رقم 14-157 (21 تشرين الثاني/ نوفمبر 1974)	Law No. 14,157 (21 November 1974)	* Ley No. 14.157 (21/NOV/74)	0
2009/s/2009/189/56:1	32 - وجرى تحديد عدة أنواع من المفسدين ووضعت استراتيجيات للتعامل معهم.	32. Several types of spoilers have been identified and strategies devised for dealing with them.	Se han identificado varios tipos de elementos saboteadores y se han elaborado estrategias para lidiar con ellos.	0
2014/s/2014/637/146:1	٧ - محمود خالد الرز، 4 سنوات	7. Mahmoud Khalid alRiz, age 4	7. Mahmoud Khalid alRiz, de 4 años de edad	0
2006/s/2006/285/1559:1	تم التوسع في هذا الاتجاه تدريجياً من زاويتين:	268. There has been a gradual expansion of this trend in two respects:	268. Esta tendencia ha tenido una expansión progresiva en dos aspectos:	0
2000/s/2000/1137/32:7	وحتى نهاية شهر آب/أغسطس، سجلت المفوضية نقصا في الوحدات السكنية بلغ 000 18 وحدة.	By the end of August, UNHCR had documented a shortfall of 18,000 housing units.	A finales de agosto, el ACNUR tenía contabilizado un déficit de 18.000 viviendas.	0
2009/s/2009/10/add_26/3:2	وقد صدرت آخر قائمة كاملة بالبنود (S/2009/10/Add.22) في 8 حزيران/يونيه 2009.	The last full list of items (S/2009/10/Add.22) was issued on 8 June 2009.	La última lista completa (S/2009/10/Add.22) se publicó el 8 de junio de 2009.	0
2003/s/2003/580/194:1	(ب) وجود كمية أكبر بكثير من إجمالي الكربون العضوي وإجمالي الأحماض النووية، أي المادة البيولوجية؛	(b) A significantly higher quantity of total organic carbon and total nucleic acids, i.e., biological material;	b) Una cantidad significativamente mayor de carbono orgánico total y ácidos nucleicos totales, es decir, de materia biológica;	0
1999/s/ac_26/1999/4/647:1	أُعيد تصنيف المطالبة إلى مطالبة عن خسائر ممتلكات ملموسة ومخزونات ومركبات.	Claim reclassified to loss of tangible property, stock and vehicles.	Reclamación reclasificada a pérdida de bienes materiales, material y vehículos.	0
2013/s/2013/163/137:1	(أ) إعداد البعثة للاضطلاع بعمليات في المستقبل أو لتصفيتها.	(a) Prepare Mission for future operations or liquidation.	a) Preparar a la Misión para sus operaciones futuras o para su terminación.	0
2009/s/ac_49/2009/4/21:1	الفقرة 18 من القرار 1874 (2009)	Paragraph 18 of resolution 1874 (2009)	Párrafo 18 de la resolución 1874 (2009)	0
2004/s/2004/698/64:5	وتجري الترتيبات حاليا لإيجاد أماكن في فور ليبرتيه، وليه كاي، وجاكميل، وهينش، وسان مارك.	Arrangements are currently being made for the provision of premises in Fort-Liberté, Les Cayes, Jacmel, Hinche and Saint-Marc.	En estos momentos se está tratando de conseguir locales en Fort Liberté, Les Cayes, Jacmel, Hinche y Saint-Marc.	0
2004/s/2004/67/16:2	كما أتمنى عاما سعيدا لأسركم وبلدانكم وكذلك لأصحاب المعالي الذين اعتمدوكم هنا في كوت ديفوار.	And I also wish your countries, the sovereign rulers who have accredited you here in Côte d'Ivoire, a good year.	También les deseo un buen año para sus países, para los gobiernos que les han acreditado aquí en Côte d'Ivoire.	0
