en	es	ar	Relevant
(c) A list of individuals on the List who are reportedly deceased and entities that are reported or confirmed to have ceased to exist, along with the documentation requirements outlined in paragraph 21 (c);	c) Una lista de las personas incluidas en la Lista de cuyo fallecimiento se haya tenido noticia y de las entidades que, según se haya informado o confirmado, hayan dejado de existir, junto con los requisitos de documentación descritos en el párrafo 21 c);	(ج) قائمة الأفراد المبلَّغ عن وفاتهم من بين المدرجة أسماؤهم في القائمة الموحدة، والكيانات التي يرد بشأنها ما يفيد أو يؤكد أنها لم تعد قائمة، مشفوعة بالوثائق المطلوبة في الفقرة 21 (ج)؛	0
The Commission has included in this inquiry those who may be held responsible for international crimes, under the notion of superior responsibility, because they failed to prevent or repress the commission of such crimes although they (a) had (or should have had) knowledge of their commission, and (b) wielded control over the persons who perpetrated them.	La Comisión ha incluido en la investigación a quienes puedan ser responsables de crímenes internacionales en virtud del concepto de la responsabilidad jerárquica por no haber prevenido o reprimido la perpetración de esos crímenes a pesar de que a) tenían o debían haber tenido conocimiento de ella y b) ejercían control respecto de quienes los cometieron.	وشملت اللجنة بتحقيقها من يمكن اعتبارهم مسؤولين عن جرائم دولية، في إطار مفهوم مسؤولية الرئيس، نظرا لعدم منعهم أو قمعهم لارتكاب تلك الجرائم، بالرغم من (أ) أنه كان لهم (أو كان يجب أن يكون لهم) علم بارتكابها، و (ب) أنه كانت لهم سلطة السيطرة على الأشخاص الذين ارتكبوها.	0
Takes note of the elaboration of the human rights due diligence policy, encourages [the Mission] to implement it fully, and requests the Secretary-General to include progress made in implementing the policy in his reports to the Council;	Toma nota de que se ha elaborado la política de diligencia debida en materia de derechos humanos, alienta a la [Misión] a aplicarla plenamente y solicita al Secretario General que en los informes que le presente incluya los avances realizados en la aplicación de esa política;	يحيط علما بوضع سياسة بذل العناية الواجبة في مراعاة حقوق الإنسان، ويشجع [البعثة] على تنفيذها تنفيذا تاما، ويطلب إلى الأمين العام أن يدرج التقدم المحرز في تنفيذ تلك السياسة ضمن تقاريره المقدمة إلى المجلس؛	1
69. The Group did examine the landing of an AN-124 aircraft carrying a 392-ton cargo from Belarus on 16 October 2004, just prior to the embargo. This flight continued to Lomé, Togo and was linked to the Darkwood company (see case study one below).	El Grupo examinó el aterrizaje de una aeronave AN-124, con una carga de 392 toneladas, procedente de Belarus, el 16 de octubre de 2004, poco antes de establecerse el embargo. Este vuelo prosiguió a Lomé (Togo) y tenía vinculación con la empresa Darkwood (véase más abajo el estudio del caso No. 1).	69 - قام الفريق بفحص عملية هبوط طائرة من نوع AN-124 تحمل 392 طنا من البضائع قادمة من بيلاروس في 16 تشرين الأول/أكتوبر 2004، أي قبل الحظر بفترة وجيزة. وواصلت الطائرة رحلتها إلي لومي، توغو، وكانت الرحلة مرتبطة بشركة داركوود (انظر دراسة الحالة الإفرادية الأولى أدناه).	0
Requests the Secretary-General and relevant United Nations agencies, inter alia, through consultation with women and women-led organizations as appropriate, to develop effective mechanisms for providing protection from violence, including in particular sexual violence, to women and girls in and around UN managed refugee and internally displaced persons camps, as well as in all disarmament, demobilization, and reintegration processes, and in justice and security sector reform efforts assisted by the United Nations.	Pide al Secretario General y a los organismos pertinentes de las Naciones Unidas, entre otras cosas, que en consulta con las mujeres y las organizaciones dirigidas por mujeres, y según resulte apropiado, elaboren mecanismos eficaces para proteger de la violencia, en particular de la violencia sexual, a las mujeres y las niñas en los campamentos de refugiados y desplazados internos administrados por las Naciones Unidas, así como en todos los procesos de desarme, desmovilización y reintegración y en los esfuerzos de reforma de la justicia y del sector de seguridad que reciben asistencia de las Naciones Unidas.	يطلب إلى الأمين العام ووكالات الأمم المتحدة ذات الصلة، القيام، حسب الاقتضاء، من خلال جملة أمور منها التشاور مع النساء والتنظيمات التي تقودها نساء، بوضع آليات فعالة كفيلة بتوفير الحماية للنساء والفتيات من العنف، بما فيه على وجه الخصوص العنف الجنسي، في مخيمات اللاجئين والمشردين داخليا التي تديرها الأمم المتحدة وحول تلك المخيمات، وفي جميع عمليات نزع السلاح والتسريح وإعادة الإدماج، وفي الجهود الرامية إلى إصلاح قطاعي العدالة والأمن التي تتلقى المساعدة من الأمم المتحدة.	0
The Council reaffirms that ending impunity is essential if a society in conflict or recovering from conflict is to come to terms with past abuses committed against civilians and to prevent future such abuses.	El Consejo reafirma que, para que una sociedad que ha sufrido conflictos o se está recuperando después de un conflicto se reponga de los abusos cometidos en el pasado contra los civiles y pueda prevenirlos en el futuro, es imprescindible acabar con la impunidad.	ويؤكد المجلس من جديد أن وضع حد للإفلات من العقاب له أهمية أساسية إذا ما أريد لمجتمع يمر بمرحلة الصراع، أو بمرحلة ما بعد الصراع، أن يتجاوز المظالم التي وقعت في الماضي ضد المدنيين وأن يمنع حدوث هذه المظالم في المستقبل.	0
30. The UNMIK community policing initiative has strengthened ties with the local community.	Mediante la iniciativa de Vigilancia de la Comunidad, la UNMIK ha fortalecido sus vínculos con las comunidades locales.	30 - وعززت مبادرة شرطة المجتمع المحلي التي اتخذتها البعثة الروابط مع المجتمع المحلي.	1
Measures that ensure the protection of, and respect for, the human rights of women and girls, particularly as they relate to the constitution, the electoral system, the police and the judiciary.	:: Medidas para asegurar la protección y el respeto de los derechos humanos de las mujeres y las niñas, particularmente en lo relativo a la constitución, el sistema electoral, la policía y el sistema judicial.	:: اتخاذ تدابير لضمان حماية واحترام حقوق الإنسان الخاصة بالنساء والفتيات، وخاصة ما يتعلق منها بالدستور والنظام الانتخابي والشرطة والقضاء.	1
"""The Security Council reaffirms the importance of the work of the committees established pursuant to resolutions 1267 (1999), 1373 (2001) and 1540 (2004) and continues its support and guidance to the committees."	El Consejo de Seguridad reafirma la importancia de la labor de los comités establecidos de conformidad con las resoluciones 1267 (1999), 1373 (2001) y 1540 (2004), y continúa prestando apoyo y orientación a los comités.	"""ويؤكد مجلس الأمن من جديد أهمية عمل اللجان المنشأة عملا بالقرارات 1267 (1999) و 1373 (2001) و 1540 (2004) ويواصل تقديم دعمه وإرشاده لها."	1
In accordance with paragraph 32 of this resolution, the Monitoring Team shall operate under the direction of the Committee established pursuant to resolution 1267 (1999) and shall have the following responsibilities:	De conformidad con el párrafo 32 de la presente resolución, el Equipo de Vigilancia trabajará bajo la dirección del Comité establecido en virtud de la resolución 1267 (1999) y ejercerá las funciones siguientes:	وفقا للفقرة 32 من هذا القرار، يعمل فريق الرصد بتوجيه من اللجنة المنشأة عملا بالقرار 1267(1999) ويضطلع بالمسؤوليات التالية:	0
15. Pro-government militias have played an important role in the government security efforts in Côte d'Ivoire, especially in the west of the country.	Las milicias progubernamentales han desempeñado un importante papel en las actividades del Gobierno en relación con la seguridad en Côte d'Ivoire, especialmente en la zona occidental del país.	15 - وكان للميليشيات الموالية للحكومة دور مهم في الجهود الحكومية لإحلال الأمن في كوت ديفوار، وبخاصة في غرب البلد.	1
The first is how the Committee can best ensure that the sanctions measures promote peace and stability in Afghanistan, and the second concerns continued court challenges to Member States' implementation of the measures.	La primera de estas cuestiones se refiere a la forma más adecuada de que el Comité asegure que las sanciones promoverán la paz y la estabilidad en el Afganistán, y la segunda tiene que ver con las impugnaciones judiciales que se siguen presentando contra la aplicación de esas medidas por los Estados Miembros.	وتتمثل المسألة الأولى في تحديد أفضل السبل التي يمكن للجنة من خلالها كفالة إسهام تدابير الجزاءات في تعزيز السلام والاستقرار في أفغانستان، وتتمثل المسألة الثانية في التحديات القضائية المستمرة التي تواجهها الدول الأعضاء في تنفيذ هذه التدابير.	0
The Security Council encourages, in this regard, all States of the region to sign and implement the Code of Conduct as soon as possible, and calls upon them to undertake further effective measures at the national level to combat piracy and armed robbery at sea in the Gulf of Guinea.	En este sentido, el Consejo de Seguridad alienta a todos los Estados de la región a que firmen y apliquen el Código de Conducta cuanto antes, y los exhorta a que sigan adoptando en el ámbito nacional medidas eficaces para luchar contra la piratería y el robo a mano armada en el mar en el golfo de Guinea.	ويشجع مجلس الأمن، في هذا الصدد، جميع دول المنطقة على توقيع وتنفيذ مدونة قواعد السلوك في أقرب وقت ممكن، ويهيب بها أن تتخذ مزيدا من التدابير الفعالة على الصعيد الوطني لمكافحة أعمال القرصنة والسطو المسلح في البحر التي ترتكب في خليج غينيا.	1
"Since 18 September 2014, no combat action has been undertaken in response to an ""imminent and serious threat""."	"Desde el 18 de septiembre de 2014, no se han llevado a cabo acciones de combate en respuesta a una ""amenaza inminente y grave""."	"ومنذ 18 أيلول/سبتمبر 2014، لم تُنفذ أيّ عمليات قتالية لمواجهة ""تهديد وشيك وخطير""."	0
Borders Intelligence guards are under the direct control of the Military Intelligence officers in the particular division where they are deployed and otherwise fall under the regular chain of command for the armed forces.	Los guardias del Servicio de Inteligencia de Fronteras están directamente al mando de los oficiales del Servicio de Inteligencia Militar de la división en que estén destinados y sujetos además a la cadena de mando ordinaria de las fuerzas armadas.	ويقع حرس مخابرات الحدود تحت القيادة المباشرة لضباط المخابرات العسكرية في الفرقة التي يُطلب إليهم العمل فيها، وإلا فإنهم يخضعون للتسلسل العادي للقيادة في القوات المسلحة.	0
23. During recent field visits to refugee camps, sites for the internally displaced and nearby villages, MINURCAT registered fewer reports of human rights abuses.	Durante sus últimas visitas a los campamentos de refugiados, centros de desplazados internos y aldeas cercanas, la MINURCAT recibió menos informes de violaciones de derechos humanos.	23 - خلال الزيارات الميدانية الأخيرة لمخيمات اللاجئين ومواقع المشردين داخليا والقرى المجاورة لها، سجلت البعثة عددا أقل من بلاغات انتهاكات حقوق الإنسان.	0
119. Faced with this situation, the Team has undertaken several initiatives to fulfil its mandate of monitoring the travel ban and proposing recommendations for improvement. These include increased interaction with Member States and major international organizations; an investigation into the use of false travel documents by terrorists and ways to improve national and international systems; regular discussions with Interpol on ways to enhance coordination between the United Nations and Interpol; an exploration of the emerging trend of visa-free and freedom-of-movement zones and their interrelation with United Nations sanctions; and the relationship of refugee and asylum practices to United Nations counter-terrorism efforts.	Ante esta situación, el Equipo ha puesto en marcha varias iniciativas para cumplir su mandato de supervisar la prohibición de viajar y proponer recomendaciones para mejorarlo, entre ellas: aumento de la interacción con los Estados Miembros y las principales organizaciones internacionales; una investigación de la utilización de documentos de viaje falsos por parte de terroristas y los modos de mejorar los sistemas nacionales e internacionales; conversaciones asiduas con la Interpol sobre modos de mejorar su coordinación con las Naciones Unidas; un análisis de la tendencia cada vez más frecuente a constituir zonas en que no se necesita visado y hay libertad de circulación y su interrelación con las sanciones de las Naciones Unidas; y la relación entre las prácticas de refugio y asilo y las actividades de las Naciones Unidas para luchar contra el terrorismo.	119- وإزاء هذه الحالة، اتخذ الفريق مبادرات عدة للاضطلاع بولايته المتمثلة في رصد حظر السفر واقتراح توصيات لتحسينه، وتشمل هذه زيادة الاتصالات مع الدول الأعضاء والمنظمات الدولية الرئيسية؛ وإجراء تحقيقات في استخدام الإرهابيين لوثائق سفر مزورة وإيجاد طرق لتحسين الأنظمة الوطنية والدولية؛ وإجراء مناقشات منتظمة مع الإنتربول بشأن طرق تعزيز التنسيق بين الأمم المتحدة والإنتربول؛ والتحري عن الاتجاه الناشئ للمناطق العاملة بحرية التنقل والإعفاء من التأشيرات، وارتباطها بجزاءات الأمم المتحدة؛ وعلاقة الممارسات المتعلقة باللاجئين وطالبي اللجوء بجهود الأمم المتحدة لمكافحة الإرهاب.	1
It was also noted that the number of incidents involving the use of rocket-propelled grenades, relatively heavy artillery for pirates, had decreased from 43 in 2011 to 3 in 2013.	También se observó que los incidentes con empleo de granadas propulsadas por cohetes, una forma de artillería relativamente pesada para los piratas, habían declinado de 43 en 2011 a 3 en 2013.	وأشار التقرير أيضا إلى أن الحوادث التي تنطوي على استخدام قنابل صاروخية ومدفعية ثقيلة نسبيا لصدّ القراصنة، قد انخفض عددها من 43 حادثا في عام 2011 إلى 3 حوادث في عام 2013.	0
56. The police and security forces of the Democratic People's Republic of Korea systematically employ violence and punishments that amount to gross human rights violations in order to create a climate of fear that pre-empts any challenge to the current system of government and to the ideology underpinning it.	56. La policía y las fuerzas de seguridad de la República Popular Democrática de Corea recurren sistemáticamente a la violencia y a castigos que suponen graves violaciones de los derechos humanos con el fin de crear un clima de terror que evite todo posible cuestionamiento del sistema actual de gobierno y de la ideología en que se basa.	56- تلجأ الشرطة وقوات الأمن في جمهورية كوريا الشعبية الديمقراطية، بصورة منهجية، إلى ممارسة العنف وفرض العقوبات، ما يُعدّ انتهاكاً جسيماً لحقوق الإنسان، وذلك من أجل إيجاد مناخ من الخوف يكبح أي معارضة لنظام الحكم الحالي وللأيديولوجية التي يقوم عليها.	1
(2) The offender shall be punished by imprisonment for a term of three to ten years,	2) El infractor será castigado con pena de prisión de 3 a 10 años de duración:	2 - يعاقب المجرم بالسجن مدة ثلاث إلى عشر سنوات،	1
:: Fact-finding mechanisms should be established sufficiently early in a crisis to enable them to contribute to the prevention of further violations.	:: Los mecanismos de determinación de hechos debían establecerse suficientemente pronto durante una crisis para que pudieran contribuir a la prevención de futuras violaciones;	:: ينبغي إنشاء آليات تقصي الحقائق في وقت مبكر بما فيه الكفاية من اندلاع الأزمات لتمكينها من المساهمة في منع وقوع المزيد من الانتهاكات.	0
Decides that all Member States shall freeze without delay all funds, other financial assets and economic resources which are on their territories, which are owned or controlled, directly or indirectly, by the individuals or entities listed in [annex of the resolution imposing sanctions] or [designated by the sanction Committee and involved in or complicit in ordering, controlling, or otherwise directing, the commission of serious human rights abuses against persons in the [affected State], including by being involved in or complicit in planning, commanding, ordering or conducting attacks, in violation of international law, including aerial bombardments, on civilian populations and facilities; or by individuals or entities acting on their behalf or individuals and entities acting for such individuals or on their behalf or at their direction], and decides further that all Member States shall ensure that any funds, financial assets or economic resources are prevented from being made available by their nationals or by any individuals or entities within their territories, to or for the benefit of the individuals or entities listed in [annex of the resolution imposing sanctions] or individuals designated by the Committee.	Decide que todos los Estados Miembros deberán congelar sin demora todos los fondos, otros activos financieros y recursos económicos que se encuentren en su territorio y que sean de propiedad o estén bajo el control, directo o indirecto, de las personas o entidades incluidas en [el anexo de la resolución en que se imponen las sanciones] o [designadas por el Comité de Sanciones y ordenen, controlen o dirijan de alguna otra forma la comisión de violaciones graves de los derechos humanos contra personas en [el Estado afectado] o sean cómplices en su comisión, en particular si han planeado, comandado, ordenado, o ejecutado ataques, incluidos bombardeos aéreos, contra la población e instalaciones civiles, en violación del derecho internacional, o han sido cómplices en la comisión de dichos actos; o de personas o entidades que actúen en su nombre o bajo su dirección, o de entidades que sean de propiedad o estén bajo el control de ellas] y decide también que todos los Estados Miembros se cercioren de que sus nacionales u otras personas o entidades que se encuentran en sus territorios no pongan fondos, activos financieros ni recursos económicos a disposición de las personas o entidades incluidas en [el anexo de la resolución en que se imponen sanciones] o de personas designadas por el Comité, o en su beneficio.	يقرر أن تقوم جميع الدول الأعضاء دون إبطاء بتجميد جميع الأموال والأصول المالية والموارد الاقتصادية الأخرى الموجودة في أراضيها والتي يملكها أو يتحكم فيها، بصورة مباشرة أو غير مباشرة، الكيانات أو الأفراد المذكورون في [مرفق القرار الذي يفرض الجزاءات] أو [الذين تحددهم لجنة الجزاءات والذين يشاركون أو يتواطؤون في إصدار الأمر بارتكاب انتهاكات خطيرة لحقوق الإنسان ضد أشخاص في [الدولة المعنية] أو التحكم في ارتكاب تلك الانتهاكات أو توجيهها بطريقة أخرى، ويشمل ذلك المشاركة أو التواطؤ في التخطيط للقيام بهجمات، بما في ذلك عمليات القصف الجوي، ضد السكان المدنيين والمرافق المدنية أو قيادة تلك الهجمات أو إصدار الأمر بارتكابها أو القيام بها، بما ينتهك أحكام القانون الدولي؛ أو الكيانات أو الأفراد الذين يعملون باسمهم أو بتوجيه منهم]، ويقرر كذلك أن تكفل جميع الدول الأعضاء عدم إتاحة أي أموال أو أصول مالية أو موارد اقتصادية، بواسطة رعاياها أو بواسطة أي كيانات أو أشخاص موجودين في أراضيها، للكيانات أو الأشخاص المذكورين في [مرفق القرار الذي يفرض الجزاءات] أو الأفراد الذين تحددهم اللجنة، أو لفائدتهم.	1
Meanwhile, the first two formed police units were deployed on 5 and 22 August, respectively.	Entretanto, los días 5 y 22 de agosto, respectivamente, se desplegaron las dos primeras unidades de policía constituidas.	في غضون ذلك، نشرت وحدتا الشرطة المشكلة الأوليان في 5 و 22 آب/أغسطس على التوالي.	0
Demands that all parties to armed conflict immediately take appropriate measures to protect civilians, including women and children, from all forms of sexual violence, including measures such as, inter alia, enforcing appropriate military disciplinary measures and upholding the principle of command responsibility, training troops on the categorical prohibition of all forms of sexual violence against civilians, debunking myths that fuel sexual violence and vetting candidates for national armies and security forces to ensure the exclusion of those associated with serious violations of international humanitarian and human rights law, including sexual violence.	Exige que todas las partes en conflictos armados adopten de inmediato medidas apropiadas para proteger a los civiles, incluidas las mujeres y los niños, de todas las formas de violencia sexual, como, entre otras, la aplicación de medidas apropiadas de disciplina militar y la aplicación del principio de responsabilidad del mando, la capacitación de las tropas acerca de la prohibición categórica de todas las formas de violencia sexual contra los civiles, la refutación de mitos que alimenten la violencia sexual y la verificación de antecedentes de los candidatos a incorporarse a fuerzas armadas y de seguridad nacionales para que queden excluidos aquellos asociados con violaciones graves del derecho internacional humanitario y las normas internacionales de derechos humanos, incluidos los actos de violencia sexual.	يطالب جميع الأطراف في النزاعات المسلحة بأن تتخذ على الفور تدابير ملائمة لحماية المدنيين، بما في ذلك النساء والأطفال، من جميع أشكال العنف الجنسي، تشمل تدابير مثل إنفاذ التدابير التأديبية العسكرية المناسبة والتقيد بمبدأ مسؤولية القيادة، وتدريب القوات على حظر جميع أشكال العنف الجنسي المرتكبة ضد المدنيين حظرا مطلقا، وفضح الأفكار الخاطئة التي تؤجج العنف الجنسي، والتحري عن المرشحين للالتحاق بالقوات العسكرية والأمنية الوطنية لضمان استبعاد من له صلة منهم بانتهاكات جسيمة للقانون الإنساني الدولي والقانون الدولي لحقوق الإنسان، بما في ذلك العنف الجنسي.	1
Perpetration or co-perpetration of international crimes	Autoría o coautoría de crímenes internacionales	ألف - ارتكاب الجرائم الدولية أو الاشتراك في ارتكابها	0
"""The Security Council is especially concerned about attacks on humanitarian workers, in violation of the rules of international law."	El Consejo de Seguridad está particularmente preocupado por los ataques dirigidos contra el personal humanitario, en violación de las normas del derecho internacional.	"""ويشعر مجلس اﻷمن بقلق شديد إزاء اﻻعتداءات على العاملين في مجال المساعدة اﻹنسانية، وهي اعتداءات تشكل انتهاكا لقواعد القانون الدولي."	1
The commission also noted that the Democratic People's Republic of Korea had abducted, or otherwise forcibly caused to disappear, well over 200,000 persons from China, Japan, the Republic of Korea and other countries, including after the end of the Korean War.	La comisión también observó que la República Popular Democrática de Corea había secuestrado, o hecho desparecer por la fuerza, a más de 200.000 personas de China, el Japón, la República de Corea y otros países, incluso después de que finalizara la Guerra de Corea.	ولاحظت اللجنة أيضا أن جمهورية كوريا الشعبية الديمقراطية قد اختطفت أو تسببت قسرا بشكل آخر باختفاء ما يزيد عن 000 200 شخص أو أكثر من جمهورية كوريا والصين واليابان وبلدان أخرى، بما في ذلك بعد نهاية الحرب الكورية.	1
A similar obligation is incumbent upon rebels for all crimes they may have committed, whether or not the perpetrators are identified and punished.	Recae una obligación similar sobre los rebeldes por todos los crímenes que hayan cometido, se hayan o no identificado y castigado a los autores.	وثمة التزام مماثل يتحمله المتمردون عن جميع الجرائم التي قد يكونون قد ارتكبوها سواء تم أو لم يتم تحديد الجناة ومعاقبتهم.	0
"""The Security Council stresses the importance of assisting Member States in promoting women's full and equal participation in post-conflict electoral processes and constitutional reform."	El Consejo de Seguridad destaca la importancia de que se preste asistencia a los Estados Miembros para la promoción de la participación plena y en pie de igualdad de las mujeres en los procesos electorales y las reformas constitucionales posteriores a los conflictos.	"""ويشدّد مجلس الأمن على أهمية مساعدة الدول الأعضاء على تعزيز مشاركة المرأة الكاملة والمتكافئة في العمليات الانتخابية والإصلاحات الدستورية التي تلي انتهاء النزاع."	0
"""The Security Council expresses concern at the increased activity of the FDLR (Forces démocratiques de liberation du Rwanda) in eastern DRC, including reports of attacks by the FDLR on Rwandan territory, and demands that the FDLR fully disband and disarm."	El Consejo de Seguridad expresa su preocupación por el aumento de la actividad de las Fuerzas Democráticas de Liberación de Rwanda (FDLR) en el este de la República Democrática del Congo, en particular por los informes sobre los ataques realizados por las FDLR en territorio rwandés, y exige que las FDLR se disuelvan y desarmen completamente.	"""ويعرب مجلس الأمن عن قلقه إزاء تزايد أنشطة القوات الديمقراطية لتحرير رواندا في شرق جمهورية الكونغو الديمقراطية، بما في ذلك الأنباء التي تفيد بشن هجمات على أراضي رواندا من جانب القوات الديمقراطية لتحرير رواندا، ويطالب بتفكيك هذه القوات ونزع سلاحها بالكامل."	1
In closed consultations that followed, the Special Representative and the Special Envoy addressed some issues related to security sector reform and the creation of a rapid reaction force within FARDC, the electoral process and the general elections.	En las consultas privadas que siguieron, el Representante Especial y el Enviado Especial se refirieron a algunas cuestiones relacionadas con la reforma del sector de la seguridad y la creación de una fuerza de reacción rápida en el seno de las FARDC, el proceso electoral y las elecciones generales.	وفي مشاورات مغلقة تلت ذلك، تطرق الممثل الخاص والمبعوث الخاص إلى بعض المسائل المتصلة بإصلاح قطاع الأمن وإنشاء قوة للرد السريع ضمن القوات المسلحة لجمهورية الكونغو الديمقراطية، والعملية الانتخابية، والانتخابات العامة.	0
In the lead-up to 20 May 2002 Mr. Lobato and his supporters organized veterans' marches in Dili.	A medida que se aproximaban las elecciones de 20 de mayo de 2002 el Sr. Lobato y sus seguidores organizaron manifestaciones de ex combatientes en Dili.	وفي مرحلة ما قبل 20 أيار/مايو 2002 نظم السيد لوباتو ومؤيدوه مسيرات لقدماء المحاربين في ديلي.	0
The understanding was apparently brokered by Digil-Mirifle clan elders who were concerned that the differences between the two leaders were causing serious rifts within the clan.	Parece ser que actuaron como intermediarios en el acuerdo ancianos del clan digil-mirifle, a quienes preocupaban las graves fisuras que provocaban en el clan las diferencias entre los dos dirigentes.	وقام على ما يبدو بالتوسط لهذا التفاهم شيوخ قبيلة ديجيل - ميريفلي الذين كان يساورهم القلق من التصدعات الخطيرة الحاصلة في القبيلة من جراء خلافات هذين الزعيمين.	1
121. The Commission recommends further investigation to establish the identity of other members of the Rai Los group and the civilians who comprised the attacking group. If such investigation establishes the identity of these men, the Commission recommends that they also be prosecuted.	La Comisión recomienda que se siga investigando para conocer la identidad de los otros miembros del grupo de Rai Los y de los civiles que integraban el grupo atacante. Si en dicha investigación se averigua la identidad de esos hombres, la Comisión recomienda que también ellos sean procesados.	121 - وتوصي اللجنة بإجراء المزيد من التحقيق من أجل إثبات هوية أفراد آخرين من مجموعة راي لوس والمدنيين الذين شكلوا المجموعة المهاجمة. وفي حال إثبات هذا التحقيق هوية هؤلاء الرجال، فإن اللجنة توصي بملاحقتهم قضائيا هم أيضا.	1
10. Measures taken by States cover prohibited activities by non-State actors, as listed in paragraph 2 of resolution 1540 (2004) relating to nuclear, chemical and biological weapons and their means of delivery, and controls over related materials, in accordance with paragraph 3 of the resolution.	Las medidas adoptadas por los Estados abarcan las actividades prohibidas a cargo de agentes no estatales que se enumeran en el párrafo 2 de la resolución 1540 (2004) en relación con las armas nucleares, químicas y biológicas y sus sistemas vectores, así como los controles de los materiales conexos, de conformidad con el párrafo 3 de dicha resolución.	10 - وتغطي التدابير التي اتخذتها الدول الأنشطة المحظورة التي تقوم بها جهات غير تابعة لدول على النحو المبين في الفقرة 2 من القرار 1540 (2004)فيما يتعلق بالأسلحة النووية والكيميائية والبيولوجية ووسائل إيصالها، والضوابط المفروضة على المواد المتصلة بها، وفقا للفقرة 3 من القرار().	0
The Syrian Government believes that the issue of the so-called Syrian refugees is, to a large extent, a fabricated one. It hopes that they will return to their homeland and that their presence will not be exploited for political purposes. The notable improvement in the security situation has led sizeable groups to return to their country and resume their work, which the terrorist groups had prevented them from doing.	El Gobierno de Siria considera que la cuestión de los denominados refugiados sirios es, en gran medida, información espuria. Siria espera que los refugiados regresen a su patria y que su presencia no se explote con fines políticos. La notable mejoría de la situación de la seguridad ha llevado a un número considerable de personas a regresar a su país y reanudar su trabajo, algo que los grupos terroristas les habían impedido hacer.	كما أن الحكومة السورية تؤمن بأن مشكلة ما يسمى بالنازحين السوريين هي مشكلة مفتعلة إلى حد كبير وتأمل عودتهم إلى وطنهم وعدم استغلال وجودهم لأغراض سياسية، وقد أدى التحسن الملحوظ في الوضع الأمني إلى عودة مجموعات كبيرة منهم إلى بلدهم ومزاولتهم لأعمالهم التي منعتهم منها المجموعات الإرهابية.	1
75. The conflict in Darfur opposes the Government of the Sudan to at least two organized armed groups of rebels, namely the Sudan Liberation Movement/Army and the Justice and Equality Movement.	75. En el conflicto de Darfur se enfrentan el Gobierno del Sudán y al menos dos grupos armados rebeldes, el SLM/A y el JEM.	75 - وفي النزاع القائم في دارفور، تواجه الحكومة مقاومة من مجموعتي تمرد منظمتين مسلحتين على الأقل، هما حركة/جيش تحرير السودان وحركة العدالة والمساواة().	1
He also visited the refugee camp of El Aaiun.	También visitó el campamento de refugiados de El-Aaiún.	كما زار مخيم اللاجئين في العيون.	0
Improved relations between Chad and the Sudan, and the vigilance of the national and joint-border security forces, have also been cited as important contributing factors.	También se han citado como importantes factores que han contribuido a ello la mejora de las relaciones entre el Chad y el Sudán y la vigilancia de las fuerzas de seguridad nacionales y las fuerzas de seguridad fronterizas conjuntas.	كما أشير إلى تحسن العلاقات بين تشاد والسودان، ويقظة قوات الأمن الوطني وقوات أمن الحدود المشتركة، باعتبارها من العوامل الهامة التي أسهمت في ذلك.	1
As you are aware, on 12 December 2000, I witnessed the signing of the agreement between the Government of the State of Eritrea and the Government of the Federal Democratic Republic of Ethiopia, which took place in Algiers at a formal ceremony hosted by President Abdelaziz Bouteflika.	Como sabe, el 12 de diciembre de 2000, fui testigo de la firma del Acuerdo entre el Gobierno del Estado de Eritrea y el Gobierno de la República Democrática Federal de Etiopía, que tuvo lugar en Argel en una ceremonia oficial en que actuó como anfitrión el Presidente Abdelaziz Bouteflikla.	شهدتُ كما تعرفون، في 12 كانون الأول/ديسمبر 2000، التوقيع على الاتفاق بين حكومة دولة إريتريا وحكومة جمهورية إثيوبيا الاتحادية الديمقراطية الذي تم في الجزائر العاصمة في احتفال رسمي استضافه الرئيس عبد العزيز بوتفليقة.	1
Information-sharing enhances the proliferation risk-assessment of business opportunities. Therefore, information-sharing is crucial to the interest of all private sector actors and benefits companies with fewer resources such as small- and medium-sized enterprises.	El intercambio de información permite evaluar mejor los riesgos de proliferación presentes en las oportunidades comerciales y, por tanto, es crucial para todos los participantes del sector privado y beneficia a las empresas con menores recursos, como las pequeñas y medianas empresas.	وذُكر أن تبادل المعلومات يحسن عملية تقييم الفرص التجارية من منظور مخاطر الانتشار. ولذلك، فإن تبادل المعلومات يصب تماما في مصلحة جميع الجهات الفاعلة من القطاع الخاص ويعود بالفائدة على الشركات ذات الموارد الأقل، مثل المشاريع الصغيرة والمتوسطة الحجم.	1
11. Theoretically, any imports of light weapons need to be provided with an exemption by ECOWAS in Abuja.	Teóricamente, toda importación de armas ligeras debe ir provista de una autorización expedida por la CEDEAO en Abuja.	11 - ومن الناحية النظرية، يحتاج أي استيراد لأسلحة خفيفة إلى استثناء من الجماعة في أبوجا.	0
