en	QuadClass
The multi-ethnic concept of Kosovo and Metohija propounded in the report has been all but abandoned, which is particularly evident in the establishment of the judicial system in Kosovo and Metohija (para. 57).	0
"President Abbas has also stated to me that ""the illegal transfer of substantial quantities of weapons into the refugee camps through certain Palestinian groups puts Lebanon at risk and is unhelpful to the Palestinian cause."""	3
At the conclusion of the conference, declarations were adopted on key thematic areas, such as political and economic governance; private sector development; natural resource management; support of the Sierra Leonean diaspora; accountability; and frameworks for the exploitation of natural resources and allocation of state resources.	0
1. The present report of the Security Council Committee established pursuant to resolution 1518 (2003) covers the period from 1 January to 31 December 2009.	0
However, there are two levels of courts: the district courts (in Dili, Baucau, Suai and Oecussi) and the Court of Appeal (which is mandated to exercise the functions also of the Supreme Court pending its establishment).	0
"""The Security Council further calls upon the government of the DRC to continue to implement its action plan to prevent and end the recruitment and use of children as well as prevent and end all acts of sexual violence against children by the FARDC."	1
In each incident, women were forced to strip at gunpoint, raped by Janjaweed and later were left naked on the road.	1
E. Post-conflict reconstruction and rehabilitation;	0
"""The Security Council reaffirms that terrorism in all its forms and manifestations constitutes one of the most serious threats to international peace and security, and that any acts of terrorism are criminal and unjustifiable, regardless of their motivation, wherever, whenever and by whomsoever committed."	3
1. Calls upon States to recommit to prevent and fight against genocide, and other serious crimes under international law, reaffirms paragraphs 138 and 139 of the 2005 World Summit Outcome Document (A/60/L.1) on the responsibility to protect populations from genocide, war crimes, ethnic cleansing and crimes against humanity, and underscores the importance of taking into account lessons learned from the 1994 Genocide against the Tutsi in Rwanda, during which Hutu and others who opposed the genocide were also killed;	0
Later the same day, military action at the FACI airbase at Abidjan International Airport resulted in the two other Su-25s, two Mi-24V helicopters and a UAV being destroyed.	1
30. Given that multilateral funding has been suspended, the Government of Côte d'Ivoire is dependent on the cocoa crop to maintain solvency and succeed in paying its civil servants, including the military. Cocoa plays an important role in providing funds for the off-budget and extrabudgetary military procurement efforts of the Government and, although the amount of revenue from cocoa has declined, the percentage taken from what is available is still high.	1
On 9 December, the Council heard a briefing by the Special Representative of the Secretary-General and Head of the United Nations Peacekeeping Force in Cyprus (UNFICYP), Lisa Buttenheim, who noted that the situation in the buffer zone remained calm and stable. She stressed that active engagement by both sides with UNFICYP on military confidence-building measures could improve the security situation even further.	0
In a statement to the press by the President, members of the Council expressed serious concern at the grave humanitarian situation, as the recent fighting had provoked increased human rights violations and new displacement of population.	1
One of the airstrikes targeted Kansfra Hospital, destroying both its infrastructure and machines.	1
317. The Commission found no information or evidence which would indicate that the rebel groups are responsible for causing widespread destruction.	0
It has been argued that, considering the above-mentioned obstacles to the direct implementation by national courts of an individual right to reparation that would be enshrined in international humanitarian law, such ad hoc mechanisms might represent the most appropriate way of bringing justice to victims.	0
The academy will be an important institution to implement the new training syllabus and support the implementation of the road map for the rebuilding of the civilian police force.	4
Currently the sanctions regime does not target the command, control, communications and information capabilities of listed groups.	0
In resolution 1820 (2008), the Council encourages the Secretary-General, in consultation with women and women-led organizations, to develop effective mechanisms to protect women and girls in and around refugee and internally displaced person camps, particularly from sexual and other forms of gender-based violence.	4
The Royal Moroccan Army also reported that its efforts had been hampered by limited resources and the lack of information relating to areas contaminated by mines.	3
Once again we have to state that the violence that has erupted in the Gali district is a logical outgrowth of the escalating situation of gross violations of the rights of the peaceful population by the Abkhaz regime, abetting the smuggling of arms and drugs.	1
Provide awareness training on human rights and the rights of women and children to all other staff.	0
Apart from the regular meetings of the Council of Arab Ministers of the Interior, no regular and institutionalized exchange of operational information occurs at the subregional level.	0
Takes note of the elaboration of the human rights due diligence policy, encourages [the Mission] to continue to fully implement it and requests the Secretary-General to include progress made in implementing the policy in his reports to the Council;	4
The Committee should not only work with States to improve their counter-terrorism legislation but also monitor the implementation of that legislation in the light of current requirements.	0
In September 2005, after intense public and international pressure, three Nepal Army officers were court-martialled and sentenced to six months' imprisonment for failing to follow proper procedures when disposing of Maina Sunuwar's body.	1
Of particular concern was the pattern of alleged serious misconduct of Haitian National Police officers, including their alleged involvement in the summary execution of at least nine individuals on 20 August at a football game in the Martissant area of Port-au-Prince.	1
This process however, lost momentum as the impetus provided by the attacks in the United States of America on 11 September 2001 fell away.	0
"""The Security Council reiterates its strong support for the adoption by the General Assembly of the United Nations Global Counter-Terrorism Strategy (A/60/288) of 8 September 2006 and the institutionalization of CTITF, in accordance with General Assembly resolution 64/235, to ensure overall coordination and coherence in the counter-terrorism efforts of the United Nations system, and the full participation, within their mandates, of relevant Security Council subsidiary bodies in the work of CTITF and its working groups, and welcomes the adoption by the General Assembly of resolution 64/297."	4
However, in the survey it is also noted that many States continue to face serious challenges in the conduct of prosecutions in terrorist cases, the development of effective regional platforms for international cooperation in criminal matters, compliance with the obligation to freeze terrorists' assets, preventing the financing of terrorism through new payment methods, cash couriers and the misuse of nonprofit organizations and ensuring that counter-terrorism measures comply with the obligations set forth in international law, including human rights law.	0
The information we have indicates that the special envoy is already exploring new arrangements that would accommodate and placate Ethiopia's non-compliance with the terms of the Algiers Agreement and its rejection of the Boundary Commission decision.	3
IX. Benchmarks 59. The benchmarks jointly identified by the Malian authorities, MINUSMA and the United Nations country team focus on three priority tasks identified in Security Council resolution 2164 (2014), namely security, stabilization and protection of civilians; support to the national political dialogue and national reconciliation; and support to the restoration of State authority throughout the country, the reconstruction of the Malian security sector, the promotion and protection of human rights and humanitarian aid.	2
The attack was conducted mainly by the military. The Arab people did the stealing.	1
24. Similar discipline problems can also emerge in the post-conflict phase.	0
I condemn in the strongest terms the reprehensible targeting of people supporting the Somali people in their efforts to combat the organized crime that is hindering the development of their country.	3
Interpol, at its 74th General Assembly, in September 2005, adopted resolution AG-2005-RES-05 on cooperation between the United Nations and Interpol, which creates a special notice for individuals on the consolidated list that Interpol can issue at the request of the Committee and that will alert States that certain individuals are the targets of United Nations sanctions.	2
Individuals and cells associated with Al-Qaida and its affiliates continue to innovate with regard to targets, tactics and technology.	3
The Convention on the Rights of the Child further requires States parties to undertake to protect the child from all forms of sexual exploitation and sexual abuse.	0
Provision of reasons for delisting and retention	0
121. The MPCI combatants have settled in various public buildings.	1
51. Three States have introduced effective legal frameworks to ensure mutual legal assistance and extradition, as well as adequate mechanisms, promptly and effectively to exchange information with international counterparts.	2
They help raise the international community's awareness of counter-terrorism issues and provide a useful forum for States and organizations to discuss new threats and capacity-building initiatives to address terrorism-related challenges.	4
(o) To cooperate closely with relevant United Nations counter-terrorism bodies in providing information on the measures taken by Member States on kidnapping and hostage-taking for ransom by Al-Qaida and other individuals, groups, undertakings and entities associated with it, and on relevant trends and developments in this area;	2
3. Decides also that all States shall take and enforce effective measures to establish domestic controls to prevent the proliferation of nuclear, chemical, or biological weapons and their means of delivery, including by establishing appropriate controls over related materials and to this end shall:	0
The prohibition against slavery and the slave trade in all their forms and uncompensated or abusive forced labour.	3
The Under-Secretary-General further reported that violence and abuses of human rights continued on a daily basis. This included the use of torture, murder, rape and enslavement by ISIL, punishments and attacks on civilian services by opposition groups including designated terrorist groups, and aerial attacks, including with barrel bombs, by the Government against civilian areas, internally displaced persons camps and civilian facilities.	1
"""The Security Council recognises the need for systematic monitoring and reporting on progress to protect civilians in armed conflict."	0
The Council also deplored the Kosovo Assembly's adoption of the said resolution, and concurred with the Special Representative that such resolutions and decisions by the Assembly, on matters which did not fall within its field of competence, were null and void.	3
One officer killed, one officer seriously injured.	1
The members of the Security Council also condemned the continued attacks against Yemeni security forces in Hadramawt on 9 October, as well as in Bayda on 8 October, which were aimed at undermining Yemen's stability.	3
4. Requests the support of troop- and police-contributing countries in that regard;	0
"The Mission continued its awareness activities under the ""UN Cares"" strategy."	0
The Committee strives to ensure that the List is dynamic and responsive to the evolving threat posed by Al-Qaida.	3
303. There are many incidents reported in which Government forces are said to have surrounded villages and stood guard as the Janjaweed burned and pillaged and committed other atrocities against the population.	1
The Team routinely coordinates its travel plans with CTED, and has carried briefs for both CTED and the experts supporting the 1540 (2004) Committee on its visits to Member States and international organizations. The Team looks forward to its first joint visit to a Member State with CTED in February 2006, and expects this to become an increasingly common occurrence.	0
PDF fight alongside the regular armed forces.	2
83. In the light of the above, I recommend that the mandate of MONUSCO be extended by a further period of 12 months, with the Mission's military troop and police unit strength maintained at current authorized levels.	0
35. Decides, in order to assist the Committee in fulfilling its mandate, that the 1267 Monitoring Team, established pursuant to paragraph 7 of resolution 1526 (2004), shall also support the Committee for a period of thirty months, with the mandate set forth in the annex of this resolution, and requests the Secretary-General to make any necessary arrangements to this effect;	4
10. Further to counter that threat, calls upon all States, in accordance with their national legal authorities and legislation and consistent with international law, to take cooperative action to prevent illicit trafficking in nuclear, chemical or biological weapons, their means of delivery, and related materials;	3
25. The UNTAET period also witnessed the creation of many modern State institutions. These include the National Parliament, the Council of Ministers, local government structures, the police service and the defence force.	0
Accountability mechanisms have largely been put in place to address irregularities and to ensure that established legislation and procedures are followed. However, they do not offer adequate protection.	0
(c) cooperate closely to implement fully the sanctions against terrorists and their associates, in particular Al-Qaeda and the Taliban and their associates, as reflected in resolutions 1267 (1999), 1390 (2002) and 1455 (2003), to take urgent actions to deny them access to the financial resources they need to carry out their actions, and to cooperate fully with the Monitoring Group established pursuant to resolution 1363 (2001);	1
It remains unknown who was behind the attack.	1
Some States need to strengthen their judicial systems further in order to conduct terrorism prosecutions in full accordance with the rule of law.	0
E. Arbitrary detention, torture, executions and prison camps	1
The Council also expresses concern about the continued reports of LRA attacks in CAR, as far as west as Bangassou, as well as in the DRC.	1
47. The Monitoring Team has increased its work aimed at building links with academic and civil society experts so as to increase its understanding of the changing nature of the threat posed by Al-Qaida and associated individuals and entities, through dialogue with relevant scholars and academic bodies.	3
The Assistant Secretary-General for Political Affairs reported increased attacks by LRA in 2011 and stressed the serious impact on civilians and the humanitarian situation.	1
"The bill, which will be tabled before Parliament, provides that a minimum of 30 per cent of seats in Parliament shall be reserved for women; that one ward in each constituency at the local council level shall be set aside for female candidates; and that political parties shall allocate ""safe"" seats for female candidates."	0
Most present-day conflicts are fought mainly with small arms and light weapons.	0
[D]emands ... that all armed groups ... immediately stop recruiting and using children and release all children associated with them.	3
19. The Young Communist League appears to have absorbed many members of disbanded CPN-M militias. Many children recruited during the post-ceasefire recruitment campaign of 2006 did not join the Maoist army.	1
In this respect, we express our full readiness, in consultation with the United Nations, to contribute to the strengthening of MINUSMA, in particular through the establishment within MINUSMA of a rapid intervention force with robust rules of engagement and means, along the model of the intervention brigade of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo (MONUSCO), to be deployed from within the contributing countries in northern Mali to contribute to the fight against the armed terrorist and criminal groups and to facilitate the successful completion of the stabilization efforts in that part of the country.	2
At around 12.30 p.m. Mr. Malik and Colonel Reis, the Chief Military Training Adviser, who had also heard the radio communications, each spoke separately with the Special Representative of the Secretary-General. Both men sought and were granted permission to intervene.	0
The Council reiterates its intention to continue forcefully to fight impunity and uphold accountability with appropriate means.	3
On 12 February 2013, the Security Council held an open debate on the protection of civilians in armed conflict, which dealt with the five core challenges identified by the Secretary-General. On 17 July 2013, the Security Council, also in an open debate, discussed the question of protection of journalists.	4
In resolution 2122 (2013), the Council expresses concern at women's exacerbated vulnerability in armed conflict and post-conflict situations, particularly in relation to forced displacement, as a result of unequal citizenship rights, gender-biased application of asylum laws, and obstacles to registering and accessing identity documents which occur in many situations.	3
The disarmament of the militias is a priority concern, particularly in the run-up to an electoral campaign, with its potential for politically motivated violence.	3
(c) Prevent the direct or indirect supply, sale, or transfer to these individuals, groups, undertakings and entities from their territories or by their nationals outside their territories, or using their flag vessels or aircraft, of arms and related materiel of all types including weapons and ammunition, military vehicles and equipment, paramilitary equipment, and spare parts for the aforementioned, and technical advice, assistance, or training related to military activities;	0
First, the person suspected or accused of an international crime must be present on the territory of the prosecuting State.	0
"""The Security Council expresses its serious concern that the continued instability and increased security vacuum in the CAR continue negatively to affect counter-LRA operations and to contribute to the reinforcement of the LRA in the country."	3
This will require revising the concept of operations to reflect a more mobile and agile force, able to pre-empt or respond to crises quickly, while eliminating redundancies.	0
Such violations as deliberate attacks on civilians, indiscriminate attacks on civilians and civilian objects or attacks on villages hiding or sheltering rebels, which caused disproportionate harm to civilians, or mass executions, as well as forced displacement of civilians from their homes, were widespread and systematic and amounted to crimes against humanity.	1
At about 5 p.m. a vehicle passed at speed. Mr. Kiak and his men opened fire, injuring the priest who was driving.	1
All States are members of OAS, which provides regional mechanisms for cooperation at the policy and operational levels.	0
114. Four of the eight South Asian States have introduced legislation criminalizing recruitment for terrorism and prohibiting the use of their territories to commit or prepare terrorist acts against other States or their citizens.	1
The Council encourages the establishment or strengthening, where appropriate, of subregional or regional cooperation, coordination and information sharing mechanisms, in particular transborder customs cooperation and networks for information-sharing, with a view to preventing, combating, and eradicating the illicit trade in small arms and light weapons across borders.	4
In addition, the International Monetary Fund provided direct budget support in the amount of $60 million in 2007 under its emergency post-conflict assistance and will provide the same for 2008, including in support of elections and social rehabilitation.	2
In resolution 22/13, the Council mandated the commission to investigate the systematic, widespread and grave violations of human rights in the State, with a view to ensuring full accountability, in particular, for violations that may amount to crimes against humanity.	4
In addition, the international obligation was to be considered as having been fulfilled any time, following the conclusion of a peace treaty, the responsible State had agreed to pay to the other State or States war reparations or compensation for damages caused to the nationals of the adversary, regardless of whether actual payment was ever made.	2
23. Close cooperation between UNOMIG and the CIS peacekeeping force continued through regular liaison visits, the weekly quadripartite meetings, information exchanges and joint patrols.	2
The ability of the Lebanese State to fully exercise its authority over all of its territory has remained curtailed, however. A series of security incidents have highlighted once again the threats to the security of Lebanon posed by armed groups outside of the control of the State and by the proliferation of weapons.	3
4. Calls upon all States that are not Parties to the NPT to accede to the Treaty as non-nuclear-weapon States so as to achieve its universality at an early date, and pending their accession to the Treaty, to adhere to its terms;	0
As long as States impose no obligation on listed individuals to abide by the travel ban, they may see little risk in trying to avoid it.	0
Third, in many situations, the Security Council has recognized serious violations of human rights and international humanitarian law as possible threats to peace and security.	3
68. The killing of two UNODC experts on 7 April 2014, while on a counter-piracy mission in Somalia, was a sobering reminder of the risks that United Nations personnel face in their work to improve the lives of others.	1
Some rebel groups have directly impeded humanitarian work by looting cars and trucks and putting pressure on, or even abducting, national staff of humanitarian organizations.	1
"""The Security Council encourages the AU-RTF to maintain its operations against all LRA groups, while working with the UN and non-governmental organisations to establish safe reporting sites and provide information to assist LRA who demonstrate a genuine commitment to demobilisation and disarmament."	3
Several States have criminalized recruitment for the purpose of committing terrorist acts.	3
(w) To work with relevant international and regional organizations in order to promote awareness of, and compliance with, the measures;	2
This participant added that the role of the political coordinators had changed dramatically in the last 10 years, becoming a more formalized and institutionalized part of each delegation.	0
Terrorist and other non-State armed groups with access to cross-border criminal markets may have weaker incentives to exit conflict and enter a political settlement.	0
Mainstream gender in needs assessments and resource allocations in post-conflict reconstruction.	0
17. The Information and Administration Office will continue to augment and update the Committee's website and increase the number of hyperlinks provided to the websites of the United Nations and other entities with counter-terrorism mandates.	0
16. On 1 December, in accordance with paragraph (p) of the annex to resolution 2160 (2014), the Monitoring Team submitted a special written report, in consultation with the Government of Afghanistan, the United Nations Office on Drugs and Crime and other United Nations sanctions expert panels, on specific cases of cooperation between organized crime syndicates, notably groups undertaking hostage-taking for ransom, narcotics producers and traders, as well as those illegally exploiting natural resources in Afghanistan, including precious and semi-precious stones, and those individuals, groups, undertakings and entities eligible for listing under paragraph 1 of the resolution.	4
531. The Commission notes at the outset that it has identified 10 high-ranking central Government officials, 17 Government officials operating at the local level in Darfur, 14 members of the Janjaweed, 7 members of various rebel groups and 3 officers of a foreign army (who participated in their individual capacity in the conflict) who are suspected of bearing individual criminal responsibility for the crimes committed in Darfur.	3
In practice, the majority of transfers of such weapons to Côte d'Ivoire were not declared.	1
During the meeting, the parties engaged in a broad exchange of views on the implementation of the Security Council resolutions, and on the exercise of the principle of self-determination.	0
4. Killing of wounded enemy servicemen	1
According to Australian official sources, training includes bomb-making and suicide bombing techniques.	1
Stress the responsibility of parties to armed conflict to respect, protect and meet the basic needs of civilian populations within their effective control.	0
However, parliamentarians from SLPP and PMDC boycotted the State Opening of Parliament, protesting, among other things, against the ban on political processions and rallies imposed by the police following the political violence on 9 September in Bo.	1
49. Many challenges remain in combating impunity, particularly in view of the limited capacity of civilian and military judicial authorities to carry out independent and thorough investigations and to provide protection to victims and witnesses.	3
183. Information presented in the earlier reports examined by the Commission is mainly based on witness accounts compiled through interviews of internally displaced persons and refugees.	0
In parts of the region, the Government of Afghanistan has few tools to enforce law and order, and reports of corruption among officials are high.	0
The dividing lines between underdevelopment, instability, fragility, crisis, conflict and war are becoming increasingly blurred; contemporary conflict prevention, conflict resolution and peacebuilding therefore require multidimensional responses.	0
I have the honour to inform you that I have received from the Government of Pakistan a request that I establish an international commission in connection with the assassination on, 27 December 2007, of the former Prime Minister of Pakistan, Mohtarma Benazir Bhutto.	0
578. One obvious drawback for the creation of a special court for the crimes committed in Darfur is its financial implications.	0
Reaffirming the need to combat by all means, in accordance with the Charter of the United Nations and international law, threats to international peace and security caused by terrorist acts,	3
"""The Security Council encourages member States to continue to cooperate with each other in the fight against piracy and armed robbery at sea off the coast of Somalia, underlines the primary responsibility of Somali authorities in the fight against piracy and armed robbery at sea off the coast of Somalia, and requests the Somali authorities, with assistance from the Secretary-General and relevant UN entities, to pass a complete set of counter-piracy laws without further delay, and to declare an Exclusive Economic Zone in accordance with the UN Convention on the Law of the Sea."	0
The Group investigated the supply of such vehicles to northern Côte d'Ivoire, but was handicapped by being unable to conduct a close inspection of FN vehicles, although it took photos of a number of them in a military convoy in Bouaké.	2
11. The basic structure of the Executive Directorate, including the number and level of its staff, would remain unchanged.	0
Arrangements are being considered for UNDP and UNHCR to establish and administer a successor trust fund for DIS, should that be the desire of the Government and potential donors, until the requisite national structures and capacity are assured.	0
22. After monitoring movements of internally displaced persons into Kosovo and speaking with ethnic Albanians in southern Serbia proper, UNHCR reported that internally displaced persons had fled out of fear of being caught between firing lines, and one of a general concern about the build-up of police and military forces in Presevo Valley.	3
66. The mission asked the Government military leaders whether anyone had been brought to justice because of excesses.	0
"In addition, on 29 July, UNOMIG issued a violation report for the establishment of an Abkhaz ""taxation"" post 50 metres from a CIS peacekeeping force checkpoint in violation of the 12 May 2005 Gali Protocol (see S/2005/453, para. 4)."	3
I have the honour to transmit herewith the report of the Security Council Committee established pursuant to resolution 2048 (2012) concerning Guinea-Bissau, containing an account of the Committee's activities from 1 January to 31 December 2014.	0
Recalling also its request to the Secretary-General to collect information on the responsibility for the tragic incident that resulted in the death of the Presidents of Rwanda and Burundi,	1
To guide new donor commitments this year, UNMIK prepared Kosovo: Reconstruction 2000 -- a public reconstruction and investment programme that directed donors towards JIAS priorities.	2
From these examples, one can conclude that there are situations where the Security Council, confronted by horrific human rights crimes, acts on behalf of justice.	0
Expressing its profound solidarity with the victims of terrorism and their families, stresses the importance of assisting victims of terrorism, and providing them and their families with support to cope with their loss and grief, recognizes the important role that victims and survivor networks play in countering terrorism, including by bravely speaking out against violent and extremist ideologies, and in this regard, welcomes and encourages the efforts and activities of Member States and the United Nations system, including the Counter-Terrorism Implementation Task Force (CTITF) in this field,	4
29. The deployment of MINUSTAH police is being adjusted to maximize resources oriented towards the electoral process.	0
It has also signed 51 agreements with the financial intelligence units of foreign States to exchange information on transactions linked to the financing of terrorism.	2
72. What happened on 25 and 26 March was the indiscriminate killing of innocent civilians and the committing of massive human rights violations.	1
We seized this opportunity to consider the political and security situation in the Sahelo-Saharan region, as well as the efforts aimed at overcoming the challenges at hand and promoting lasting peace, security and stability.	0
46. At my behest, Prime Minister Seniora and President Abbas met on 18 October in Paris to discuss issues related to the presence of the Palestinian refugees in Lebanon.	0
"""The Security Council requests the Secretary General to report by the conclusion of the MINURCAT liquidation phase on 30 April 2011 on the progress made in eastern Chad on the protection of civilians, especially women and children, including (i) the status of refugees and internally displaced persons and durable solutions to their displacement, (ii) unimpeded, safe and timely humanitarian access, including the movement and security of humanitarian personnel and the delivery of humanitarian aid, (iii) on the measures taken to respond to violations of humanitarian, human rights and refugee law, and (iv) the overall security situation as it affects the humanitarian situation."	0
During the period under review, MINURSO discovered and marked 260 mines and pieces of unexploded ordnance, and monitored the destruction of 3,693 mines and pieces of unexploded ordnance.	0
The international commission would be composed of a panel of three eminent personalities having the appropriate experience and a reputation for probity and impartiality.	0
Mandate the establishment of appropriate, locally adapted mechanisms for truth and reconciliation (e.g., technical assistance, funding and reintegration of civilians within communities).	2
78. The Sudanese armed force is a conventional armed force with a mandate to protect and to maintain internal security.	0
(a) Continue to ensure that any measures taken to counter terrorism comply with all their obligations under international law, in particular international human rights, refugee and humanitarian law;	0
However, as the Council heard in a briefing on 31 January, reports of bombings continue up to the present and the most recent case is under investigation by the African Union monitors.	1
Other soldiers started to beat the other four women, including the witness.	1
Welcoming the establishment of the Permanent National Independent Electoral Commission, recalling the need for nominations of its members to be through an independent and inclusive process and recalling the importance that the elections scheduled in 2010 are prepared in the spirit of reconciliation and dialogue enshrined in the Burundian Constitution that had led to a successful transition,	0
On 21 December, the Council at a public meeting heard a briefing by the Chair of the Committee established pursuant to resolution 1737 (2006) and Permanent Representative of Colombia, Néstor Osorio, on the work of the Committee from 1 September to 18 December 2011.	0
Tunisia and the Libyan Arab Jamahiriya have (in 2009 and 2010, respectively) extended customer due diligence, record-keeping and suspicious-transaction-reporting obligations to other designated non-financial businesses and professions, thereby enlarging the scope of anti-money-laundering and counter-financing of terrorism obligations.	0
27. Offering sustainable alternatives to former fighters is an essential part of neutralizing armed groups.	0
29. The National Youth Commission was inaugurated by President Koroma on 25 November 2011. The Commission is expected to take the lead in promoting and harmonizing youth development, within the framework of the Ministry of Youth Employment and Sports.	0
Expressing concern at the continuing threats posed by the illicit transfer, destabilizing accumulation and misuse of small arms and light weapons to the safety and security of United Nations peacekeepers and their effectiveness in implementing peacekeeping mandates ...	3
Annexed hereto is the seventeenth work programme for the Committee established pursuant to paragraph 6 of Security Council resolution 1373 (2001) (the Counter-Terrorism Committee), which covers the months from October to December 2005 (see annex I).	0
Calls upon parties to armed conflict to make and implement specific and time-bound commitments to combat sexual violence, which should include, inter alia, issuance of clear orders through chains of command prohibiting sexual violence and the prohibition of sexual violence in Codes of Conduct, military field manuals, or equivalent; and further calls upon those parties to make and implement specific commitments on timely investigation of alleged abuses in order to hold perpetrators accountable;	0
The Council could play a significant role in ensuring the establishment of reparations programmes in order to address the needs of victims.	0
96. States in the Western Asia subregion have suffered from a large number of terrorist attacks. They have taken significant remedial steps, including strengthening their counter-terrorism legislation.	1
Gender discrimination also takes the form of women being targeted to pay bribes or fines.	1
What distinguishes this category of crime from that of war crimes is that it is not concerned with isolated or sporadic breaches, but rather with violations, which (a) may occur either in time of peace or in time of armed conflict, and (b) constitute part of a widespread or systematic practice of atrocities (or attacks) committed against the civilian population.	0
At the request of the President, the United Nations Mission for Ebola Emergency Response (UNMEER) established a small office in Bamako, which became operational on 26 November, under the leadership of an Ebola crisis manager to support the Government in containing the Ebola outbreak and bolstering its preparedness. On 13 December, the last known Ebola patient was released from the hospital.	4
In addition, the Eritrean restriction dramatically affects the security of United Nations peacekeepers and their operations, to the extent that the continuing occupation of small posts in isolated places -- which constitute 18 out of 40 locations -- has become unsustainable and is no longer operationally viable.	0
Measures to prevent the illegal cross-border movement of persons are implemented in eight States, and nine effectively monitor and control the import and export of arms and explosives.	0
Among the meetings it attended were two conferences which led to a specific request to the UNODC to organize reporting workshops for States from Africa and the Caribbean/Latin America that owe reports to one or more of the three Security Council Committees which deal with counter-terrorism.	0
Demands that the parties to the conflict immediately take appropriate measures to protect civilians, including women and children, from all forms of sexual violence, in line with resolution 1820 (2008).	3
"""The Security Council remains gravely concerned about the threat of terrorism, and the risk that non-state actors may acquire, develop, traffic in or use weapons of mass destruction and their means of delivery."	3
530. To render any discussion on perpetrators intelligible, two legal tools are necessary: the categories of crimes for which they may be responsible and the enumeration of the various modes of participation in international crimes for which the various persons are suspected of bearing responsibility.	0
"""The Security Council welcomes the creation of the AU Border Programme Technical Team (AUBP TT) to determine conclusively the Safe Demilitarized Border Zone (SDBZ) centerline on the ground, and reiterates that the centerline of the SDBZ in no way prejudices the current or future legal status of the border, ongoing negotiations on the disputed and claimed areas, and demarcation of the border."	4
"At the 5303rd meeting of the Security Council, held on 10 November 2005, in connection with the Council's consideration of the item entitled ""Threats to international peace and security caused by terrorist acts"", the President of the Security Council made the following statement on behalf of the Council:"	0
"""The Security Council condemns in the strongest terms the terrorist suicide attack that occurred in Issers, Algeria, on 19 August 2008, causing numerous deaths and injuries at a gendarmerie training academy. It expresses its deep sympathy and condolences to the victims of this heinous act of terrorism and to their families, and to the people and Government of Algeria."	1
The United Nations country team is currently engaged in a dialogue to review the action plan, including 168 projects, and to further institutionalize development planning, including community-based approaches as the reconciliation and peaceful co-existence mechanism and UNDP-led conflict reduction programming.	0
24. The midterm review of the Joint Vision Strategy was completed in September 2011, following consultations with the Government. The review highlighted the United Nations contribution to the implementation of the Government's Agenda for Change and provided direction towards a programmatic approach that would allow for greater synergies and more flexibility in United Nations interventions.	4
"""The Security Council reiterates its support for the establishment of a Core Group to maintain the mobilization of the international community, to increase the consultation among major stakeholders to enhance the coordination and effectiveness of the assistance for Haiti, and to contribute to the definition of a long-term development strategy aimed at the promotion of lasting peace and stability in that country."	4
1. Expresses its determination to take appropriate steps to the further development of cooperation between the United Nations and regional and subregional organizations in maintaining international peace and security, consistent with Chapter VIII of the United Nations Charter, and invites regional and subregional organizations that have a capacity for conflict prevention or peacekeeping to place such capacities in the framework of the United Nations Standby Arrangements System;	2
The resolution establishes legally binding obligations on all States to have and enforce appropriate and effective measures against the proliferation of nuclear, chemical and biological weapons and their delivery systems.	0
This mechanism would ensure that the listed party did not control the corporate assets and could not divert income to support terrorism.	0
The European Union hopes that this might still be possible before the end of 2005, but emphasizes that a prerequisite for this is agreement on police reform.	0
Prime Minister Latortue requested the Provisional Electoral Council to review this calendar, with the support of MINUSTAH, bearing in mind respect for the constitutional requirement to swear in the President on 7 February 2006, and to make changes if needed.	0
At no time has the Government of the Republic of Uganda or its armed forces made any overt or covert attempt to enter the territory of the Democratic Republic of the Congo to attack the LRA terrorists.	0
Gender perspectives integrated into the design and implementation of post-conflict environmental assessments.	0
It is also unwise and inappropriate to allow Eritrea to think that its attempt at blackmailing the Security Council by holding UNMEE personnel hostage would work.	1
Condemning the continuing illicit flow of weapons within and into the Democratic Republic of the Congo and declaring its determination to continue to monitor closely the implementation of the arms embargo and other measures set out by its resolution 1807 (2008),	1
In its turn, the Committee will need to continue to promote a wider sense of ownership of the sanctions regime and ensure that it provides real support for the national efforts of States that seek to address the threat from Al-Qaida and the Taliban.	3
"""The Security Council welcomes in this regard the actions taken thus far by the signatories and guarantors of the PSC Framework, including the convening of the first `11+4' meeting of the Regional Oversight Mechanism of the PSC Framework in Addis Ababa on 26 May 2013 and the two first meetings of the Technical Support Committee in Nairobi on 24 June and 22 July 2013, which aimed to make progress on the establishment of benchmarks to assess the implementation of the PSC Framework by all signatories."	4
8. By its resolution 2128 (2013), the Security Council modified the notification requirements associated with the arms embargo, deciding that the Liberian authorities should have the primary responsibility to notify the Committee at least five days in advance of the shipment of any supplies of lethal arms and related materiel, or any provision of assistance, advice or training related to military or other security sector activities for the Government of Liberia.	0
However, the lack of specific counter-terrorism laws limits the effectiveness of those mechanisms.	0
15. UPDF forces from La-Forestierre and Bangoka Airport were to withdraw to Bafwasende according to the execution order, while the RPA forces at Bangoka Airport and Lubutu-Bafwasende junction were to withdraw to Lubutu.	2
The following sections provide a description of the Commission's factual findings in relation to the patterns of attacks on civilians in the three Darfur States.	1
