es	QuadClass
"La finalidad de esa iniciativa era aumentar la seguridad en la región, reforzar la Alianza del Valle del Juba y reconciliar al General ""Morgan"" y la Alianza, que durante años han estado luchando por el control de territorios en el Valle del Juba."	2
Los Estados no deberían impedir que los agentes humanitarios trabajen con los grupos armados no estatales con fines humanitarios, en particular, que lleven a cabo actividades encaminadas a promover el respeto del derecho internacional humanitario.	4
Insta a los Estados Miembros a que velen por que aumente la representación de la mujer en todos los niveles de adopción de decisiones de las instituciones y mecanismos nacionales, regionales e internacionales de prevención, gestión y solución de conflictos.	4
38. Encomienda al Comité que determine los posibles casos de incumplimiento de las medidas establecidas en el párrafo 1 supra y establezca la acción apropiada en cada caso, y solicita al Presidente que incluya información sobre la marcha de los trabajos del Comité respecto de esta cuestión en los informes que presente periódicamente al Consejo de conformidad con el párrafo 46 infra;	2
H. Prevención de los actos de explotación y abuso sexuales cometidos por funcionarios de las Naciones Unidas, personal conexo y asociados y respuesta a esos actos;	4
"En la 6034ª sesión del Consejo de Seguridad, celebrada el 9 de diciembre de 2008, en relación con el examen del tema titulado ""Amenazas a la paz y la seguridad internacionales causadas por actos terroristas"", el Presidente del Consejo de Seguridad hizo la siguiente declaración en nombre del Consejo:"	0
Actividades relativas a las minas y restos explosivos de guerra	0
c) Remitirá toda la información que le haya proporcionado el Comité en relación con su decisión de conformidad con el párrafo 14.	0
Partiendo de la base del examen completo de todas las personas y entidades incluidas en la Lista que se llevó a cabo en 2010, con arreglo al párrafo 25 de la resolución 1822 (2008), el Comité ha instituido numerosos mecanismos para asegurarse de que la Lista refleje el peligro que significa Al-Qaida y de revisar periódicamente cada una de las entradas a fin de determinar si procede mantenerla.	2
La falta de capacidad suficiente constituye una dificultad muy importante para muchos Estados en la vigilancia y la aplicación eficaces de los embargos de armas.	0
Tres Estados han adoptado procedimientos para prohibir la extradición de personas a Estados en los que corrieran el peligro de ser sometidas a tortura o persecución.	2
Coordinación y aplicación eficaces de la política de actividades relativas a las minas y las directrices para la incorporación de las cuestiones de género en los programas relativos a las minas. Grupo de Trabajo interinstitucional sobre desarme, desmovilización y reintegración (presidido por el DOMP y el PNUD) Establecido por el CEPS para mejorar la actuación de la Organización en la esfera del desarme, la desmovilización y la reintegración, el Grupo de Trabajo interinstitucional presta asesoramiento técnico, por ejemplo, sobre las necesidades de capacitación, las políticas y las estrategias; mantiene y revisa el material de orientación sobre desarme, desmovilización y reintegración de las Naciones Unidas ya elaborado; desarrolla y gestiona el Centro de Recursos de las Naciones Unidas sobre las actividades de desarme, desmovilización y reintegración; y facilita la planificación de las operaciones de desarme, desmovilización y reintegración entre los organismos pertinentes de las Naciones Unidas.	2
Asimismo, expresó que el hecho de que el Parlamento libanés no hubiera elegido un nuevo Presidente había socavado la estabilidad del Líbano y su capacidad de recuperación desde el comienzo del conflicto en la República Árabe Siria.	4
Las mujeres y los niños, especialmente las niñas, se han visto afectados por nuevas situaciones de violencia y conflictos relacionados con la proliferación de milicias y grupos armados, en algunos casos vinculados al extremismo violento, mientras que muchos conflictos prolongados siguen sin resolverse.	1
Muy pocos nombres fueron seleccionados para ser sometidos a examen, y por último, después de que se efectuaron todos los procedimientos enunciados en las directrices del Comité, incluidas gestiones para obtener información de otros Estados pertinentes, el examen terminó sin que se introdujeran cambios en la Lista.	0
Para apoyar el restablecimiento y la ampliación de un nivel mínimo de la autoridad del Estado a las zonas libres de grupos armados se requiere un mayor compromiso del Gobierno a destinar a esas zonas a funcionarios del Estado, especialmente agentes de policía y personal judicial y penitenciario, proporcionándoles los recursos necesarios.	2
El Consejo de Seguridad insta a los Estados, a las organizaciones internacionales y al sector privado a que compartan pruebas, información e inteligencia, según proceda, a efectos de las actividades policiales de lucha contra la piratería, incluidos el enjuiciamiento efectivo de los presuntos piratas y el encarcelamiento de los convictos, y alienta las iniciativas existentes y futuras a este respecto.	4
En otra causa, el Tribunal examinó de nuevo los distintos elementos de un ataque dirigido contra la población civil como parte de la definición de crímenes de lesa humanidad.	0
En respuesta, el Departamento de Justicia de la UNMIK estableció un grupo de trabajo mixto con el componente de creación de instituciones para que examinara el informe y estudiara los medios de aplicar sus recomendaciones.	2
a) Continuará intensificando su cooperación con las organizaciones internacionales, regionales y subregionales y estableciendo modalidades de operación con cada una de ellas que tengan en cuenta las diferencias que existen entre sus capacidades y mandatos, entre ellas diálogos a nivel de trabajo, exposiciones informativas al Comité y de este, y mejores acuerdos de intercambio de información;	2
El Consejo de Seguridad condena enérgicamente el hecho de que los civiles sean el blanco deliberado de los combatientes en los conflictos armados y exige a todos los interesados que pongan fin a tales violaciones del derecho internacional humanitario y del derecho relativo a los derechos humanos.	3
Los Estados también deben impedir que quienes financian, planifican, facilitan o cometen actos de terrorismo utilicen su territorio para esos fines, contra otros Estados o sus ciudadanos (párr. 2 d)).	2
d) El apoyo de otro tipo a actos o actividades de personas, grupos, empresas o entidades que hayan sido designadas u otras personas, grupos, empresas o entidades asociadas con los talibanes que constituyan una amenaza para la paz, la estabilidad y la seguridad del Afganistán;	0
a) Un Grupo de Vigilancia en Nueva York de hasta cinco expertos, incluido un presidente, para vigilar la aplicación de todas las medidas impuestas por las resoluciones 1267 (1999) y 1333 (2000), incluso en materia de embargo de armas, medidas contra el terrorismo y legislación conexa y, en vista de su vinculación con la compra de armas y la financiación del terrorismo, el blanqueo de dinero, las transacciones financieras y el tráfico de drogas; y	2
Entre las adiciones más recientes a la lista se encuentran terroristas asociados con Al-Qaida y grupos terroristas que operan en el Asia central, meridional y sudoriental y el Oriente Medio, incluido el Iraq.	0
El régimen detuvo a unas 47 personas; se cree que han sido obligados a unirse a las fuerzas del régimen.	1
Además, hay escuadrones de la muerte y milicias integradas por elementos autónomos que siembran el terror y proceden a ejecuciones y secuestros de personas.	1
c) Exhorta además a todas las partes enumeradas en los anexos del informe del Secretario General sobre los niños y los conflictos armados a que hagan frente a todas las demás violaciones y abusos cometidos contra los niños y adopten medidas y compromisos concretos al respecto;	4
En su 4170ª sesión, celebrada el 13 de julio, el Consejo aprobó la resolución 1307 (2000), por la que, entre otras cosas, se autorizaba la prórroga del mandato de la MONUP para que siguiera supervisando la desmilitarización de la península hasta el 15 de enero de 2001.	4
Lo que el Consejo de Seguridad debe hacer ahora es asegurar a los tribunales que el régimen de sanciones establecido en virtud de la resolución 1267 (1999) del Consejo de Seguridad (el régimen de sanciones de la resolución 1267) es equitativo y, con un mayor apoyo de los Estados Miembros, reafirmar su propósito original de librar al mundo de la amenaza del terrorismo de Al-Qaida, los talibanes y las personas y entidades afiliadas a ellos.	4
En realidad, aparte de Bin Laden, Zarqawi, Mullah Mohammed Omar y otros terroristas bien conocidos, el público puede tener información relativamente escasa sobre muchas de las personas incluidas en la lista.	0
Otro problema era el hecho de que el Gobierno al parecer no poseía recursos militares suficientes, pues muchas de sus fuerzas aún estaban destacadas en el sur, y las que se hallaban presentes en Darfur estaban ubicadas principalmente en los principales centros urbanos.	0
Tras la publicación de la Especificación Disponible al Público (PAS) 28007 de la Organización Internacional de Normalización (ISO) sobre directrices para compañías privadas de seguridad marítima, en que se prevé el uso de personal privado de protección armada a bordo de los buques, ahora una empresa privada de seguridad marítima puede obtener la certificación correspondiente a esta norma voluntaria del sector para facilitar la aplicación uniforme a nivel internacional.	0
8 de mayo de 2006 Se producen incidentes de violencia en Gleno, en los cuales agentes de la PNTL oriental son atacados.	1
Ese equipo entabló conversaciones bilaterales con el Gobierno y la Coordinadora integrada por el Movimiento Nacional para la Liberación de Azawad (MNLA), el Alto Consejo para la Unidad de Azawad (HCUA) y el Movimiento Árabe de Azawad (MAA), a los que se suman personas de la Coordinadora de los Movimientos y Frentes Patrióticos de la Resistencia (CMFPR- II) y una facción de la Coalición del Pueblo de Azawad (CPA), por un lado, y con el Gobierno y la Plataforma de grupos armados, compuesta por la CMFPR-I , la CPA y la otra facción del MAA, así como con integrantes del Grupo de Autodefensa Tuareg Imghad y Aliados (GATIA) invitados por la Plataforma, por el otro.	4
c) Las personas incluidas en la Lista de cuyo fallecimiento se haya tenido noticia, junto con una evaluación de la información pertinente consignada en el párrafo 28 c) y, en la medida de lo posible, la situación y localización de los bienes congelados y los nombres de las personas o entidades que podrían recibir los bienes descongelados;	0
Los Estados y muchas instancias internacionales acogieron con beneplácito el carácter abierto del proceso de examen amplio e instaron al Comité 1540 a mantener ese enfoque y aumentar sus ya útiles esfuerzos para lograr la transparencia y la inclusividad.	4
El grupo atacó y asesinó a 54 personas, hirió a otras 24 e incendió viviendas antes de retirarse con un botín de ganado y artículos domésticos.	1
Además hemos programado dos debates temáticos sobre la prevención de los conflictos y los niños en los conflictos armados para el 20 y el 26 de julio respectivamente.	4
La FACI ha trasladado todo el equipo aéreo que resultó intacto o sufrió daños a su base aérea del aeropuerto internacional de Abidján.	0
En Lerneb (región de Tombuktú) el MMA (Plataforma) advirtió en varias reuniones públicas celebradas en septiembre de que castigaría a los miembros de la población local que proporcionaran información a la MINUSMA y a las fuerzas francesas. El 23 de septiembre se encontró el cadáver de un hombre decapitado en la zona de Zouera, 80 km al norte de Tombuktú. Era uno de los cinco hombres que Al-Qaida en el Magreb Islámico había secuestrado el 16 de septiembre por colaborar con las fuerzas internacionales y que desde entonces están desaparecidos.	1
Tras completar la tramitación de las reclamaciones en junio de 2005, la principal tarea que le queda a la Comisión es el pago de las indemnizaciones en relación con las reclamaciones aprobadas.	0
Los Janjaweed, a quienes se refieren la mayor parte de las víctimas en el conflicto actual, son milicias árabes que asaltan los pueblos de las víctimas, montados en caballos o en camellos, para matar, saquear, quemar y violar.	1
Además, la Unión Europea ha establecido un régimen supranacional para asegurar que todos sus Estados miembros congelen los fondos y activos asociados con el terrorismo.	2
23. Solicita al Equipo de Apoyo Analítico y Vigilancia de las Sanciones, a que, en estrecha cooperación con otros órganos de las Naciones Unidas de lucha contra el terrorismo, presente un informe al Comité establecido en virtud de las resoluciones 1267 (1999) y 1989 (2011) en un plazo de 180 días, y a que proporcione oralmente información preliminar actualizada al Comité en un plazo de 60 días sobre la amenaza que plantean los combatientes terroristas extranjeros que se unan al EIIL, el Frente Al-Nusra y todos los grupos, empresas y entidades asociados con Al-Qaida, o que sean reclutados por ellos, y en particular:	2
Posteriormente, en 2006, la Asamblea General aprobó por unanimidad la Estrategia global contra el terrorismo, lo que tuvo gran importancia para reafirmar el compromiso colectivo de la comunidad internacional en la lucha contra la amenaza común del terrorismo	4
Estaciones de abastecimiento de agua :: El 23 de noviembre de 2014, el EIIL hizo estallar un coche bomba cerca de una planta depuradora en la aldea de Midan, en Al-Hasaka, que sufrió importantes daños. Centrales eléctricas	1
A pesar de los recientes avances, las restricciones logísticas, políticas y de seguridad dificultarán sumamente la desmovilización y reintegración previstas de 180.000 excombatientes al final del período del Acuerdo General de Paz.	1
El Gobierno y el equipo de las Naciones Unidas en el país, con las aportaciones del Banco Mundial, prepararon un folleto sobre los Objetivos de Desarrollo del Milenio, en el que se expone la situación en la que se encuentra actualmente Timor-Leste y se explican las consecuencias normativas de alcanzar las metas y los indicadores establecidos.	4
Sin embargo, había agentes de policía, que podían venir de tan lejos como Addis Abeba, por no decir de Roma o La Haya, que habían oído hablar de la Corte Penal Internacional y estaban preocupados por su responsabilidad penal ante ella.	0
c) Una lista de las personas incluidas en la Lista de cuyo fallecimiento se haya tenido noticia y de las entidades que, según se haya informado o confirmado, hayan dejado de existir, junto con los requisitos de documentación descritos en el párrafo 23 c);	0
Sin embargo, en muchas zonas del país no se dispone ni de capacidad de detención ni de tribunales que funcionen, lo que obliga a las autoridades encargadas de hacer cumplir la ley a poner en libertad a delincuentes supuestamente peligrosos, o a pedir a las fuerzas de la MONUC que internen a los sospechosos por razones de seguridad y para proteger a los civiles.	1
Mataron a seis hombres, que fueron enterrados en tumbas individuales.	1
El Departamento se encarga de la gestión y administración del Cuerpo de Protección de Kosovo y de la planificación, la coordinación y la ejecución de las intervenciones de emergencia ante desastres naturales y de otra índole.	2
Esas precauciones, establecidas en el derecho internacional consuetudinario, son las siguientes: toda parte beligerante deberá a) hacer todo lo que sea factible para verificar que los objetivos que se proyecta atacar no sean de carácter civil; b) tomar todas las precauciones posibles en la elección de los medios y métodos de combate para evitar o, al menos, reducir todo lo posible el número de heridos que pudieran causar incidentalmente entre la población civil, así como los daños a los bienes de carácter civil; c) abstenerse de decidir un ataque cuando sea de prever que causará incidentalmente muertos o heridos en la población civil, daños a bienes de carácter civil, o ambas cosas, que serían excesivos en relación con la ventaja militar concreta y directa prevista; d) dar aviso con la debida antelación y por medios eficaces de cualquier ataque que pueda afectar a la población civil, salvo en el caso de ataque a viva fuerza (como se establece en el artículo 26 del Reglamento de La Haya de 1907) o, según se estipula en el apartado c) del párrafo 2 del artículo 57, salvo que las circunstancias lo impidan, es decir, cuando una de las partes beligerantes considere que un ataque por sorpresa es indispensable.	2
Han promulgado leyes contra el terrorismo y han hecho esfuerzos para fortalecer más la coordinación y cooperación regionales, sobre todo en el contexto marítimo.	2
Los principales problemas de seguridad guardan relación con las actividades delictivas y la lucha entre facciones.	0
Destaca que todos los responsables de abusos y violaciones de los derechos humanos deberán rendir cuentas, y subraya la necesidad de que se realice una investigación exhaustiva, independiente e imparcial, acorde con las normas internacionales, de los presuntos abusos y violaciones de los derechos humanos, con el fin de evitar la impunidad y asegurar la plena rendición de cuentas;	2
Estos sitios van desde los que promueven la causa de determinadas personas, como Shamil Basayev en Chechenia, o grupos, como Lashkar-E-Tayyiba en el Pakistán, hasta los que buscan justificar el terrorismo relacionado con Al-Qaida en general, como Voice of Jihad, o los que ofrecen adiestramiento a terroristas, como Al-Battar.	0
Otro motivo de posible preocupación en torno a las excepciones humanitarias es que, dado que los particulares y las entidades privadas no pueden dirigirse directamente al Comité, es el Estado de residencia de la parte incluida en la lista quien determina si el Comité recibe o no una petición hecha en virtud de la resolución 1452 (2002).	0
"Los dirigentes del Gobierno y sus partidarios, por su parte, acusaron al MPCI y otros ""movimientos rebeldes"" de emplear fuerzas extranjeras y cometer atrocidades, en particular, el asesinato de decenas de agentes de la Gendarmería en Bouaké."	3
La Comisión ha logrado establecer una relación detallada y precisa de los hechos acontecidos en abril y mayo que dieron por resultado un considerable número de muertos y heridos y extensos daños materiales.	1
Tras un detenido examen del expediente, la Comisión puede destacar los siguientes hechos:	0
Se impartió capacitación a agentes de las fuerzas de seguridad nacionales (50 en Adré y 42 en Abéché).	2
Carta de fecha 22 de diciembre de 2009 dirigida al Presidente del Consejo de Seguridad establecido en virtud de la resolución 1518 (2003)	0
Si bien la Iniciativa se concibió en respuesta al aumento del tráfico de drogas y la delincuencia organizada transnacional en África occidental, las unidades de lucha contra la delincuencia transnacional funcionarán como centros de coordinación nacional y regional para apoyar la capacidad analítica y técnica de respuesta a amenazas transnacionales.	2
Medidas selectivas y graduales en respuesta al tráfico ilícito de armas pequeñas y armas ligeras	0
Tres días después, los jaleele compraron 25 fusiles de asalto AK-47, 2 ametralladoras antiaéreas, 6 ametralladoras PKM, 4 lanzacohetes RPG-2 y municiones.	1
El Consejo reconoció la conveniencia de las reuniones anuales en las que impartan información los jefes de los componentes militares y señaló que acogería complacido reuniones análogas con los jefes de los componentes de policía a fin de mejorar la comprensión de los problemas operacionales.	4
Además, los talibanes todavía pueden importar armas, otro material y efectivos y la clave del éxito militar reside en neutralizar sus líneas de abastecimiento e impedirles encontrar refugio donde sus combatientes puedan recuperarse entre una operación y otra y entrenar a nuevos reclutas.	1
El Consejo apoya la idea de establecer en la Secretaría una dependencia para la asistencia en materia del imperio de la ley y espera con interés recibir las propuestas de la Secretaría para la aplicación de las recomendaciones enunciadas en el párrafo 65 del informe del Secretario General sobre el Estado de derecho y la justicia de transición en las sociedades que sufren o han sufrido conflictos (S/2004/616).	4
El conflicto que finalizó en 1999 tuvo profundas consecuencias para las relaciones entre las diversas comunidades de Kosovo, en particular, entre los albaneses y los serbios.	0
Además, existen varios grupos armados palestinos que operan en el país, dentro y fuera de los campamentos de refugiados.	0
En los debates con la Comisión acerca de la metodología de los comités sobre violaciones, se hizo mucho hincapié en la gran publicidad que se había dado al mandato de éstos.	4
En la sección siguiente se evalúa la efectividad de las medidas adoptadas por el Gobierno del Sudán, en particular las orientadas a investigar los crímenes y enjuiciar a sus autores.	0
Dependencia de inteligencia financiera: establecimiento y entrada en funcionamiento	0
El Consejo de Seguridad pide a Burundi que impida que se proporcione cualquier tipo de apoyo desde su territorio a grupos armados en la República Democrática del Congo.	3
En términos generales, la actitud de las autoridades de gobierno hacia la Comisión ha sido una actitud de cooperación.	4
El Centro también hace hincapié en la prohibición y el bloqueo de sitios en Internet que contengan material extremista y en la regulación en este ámbito.	2
La Comisión recomienda que se procese a las siguientes personas por la posesión, utilización y circulación ilegales de armas de la PNTL el 8 ó el 21 de mayo, o ambas fechas: Rogerio Lobato, Eusebio Salsinha, Antonio da Cruz, Vicente da Conceição, alias Rai Los, Mateus dos Santos Pereira, alias Maurakat, Leandro Lobato, alias Grey Harana, Antonio Lurdes, alias 55, Marcos da Silva Piedade, alias Labadae, Francisco y Santa Cruz.	3
Todos los Estados actualmente tipifican debidamente en su derecho interno la concesión de cobijo a los terroristas y a quienes los apoyan y la utilización de sus territorios para cometer o preparar actos terroristas contra otros Estados o sus ciudadanos.	1
Esta forma en que algunas fuentes han interpretado la información ha añadido una nueva dimensión al conflicto.	0
Después del ataque, toda la población de la zona se dirigió a Kailek.	1
Algunos de esos reclutas de la Liga procedentes del ejército y la milicia maoístas son menores de 18 años de edad.	0
31. El Estado considera que la difusión del cristianismo es una amenaza particularmente grave puesto que cuestiona ideológicamente el culto oficial de la personalidad y proporciona una plataforma de interacción y organización política y social fuera de los límites del Estado.	1
En opinión de ese Estado, tal actividad, en su forma más radical, suele conducir a un extremismo violento y ocasionar víctimas mortales.	1
La información reunida y verificada por la Comisión pone de manifiesto que las violaciones y otras formas de violencia sexual cometidas en Darfur por las milicias Janjaweed y soldados del Gobierno eran una práctica generalizada y sistemática y, por lo tanto, se pueden considerar crímenes de lesa humanidad.	1
Las mujeres y niñas fueron separadas de los hombres, confinadas en una zona cercana a la mezquita, y alejadas de allí posteriormente por sus captores para ser violadas.	1
En dicha reunión, las partes convinieron en profundizar su cooperación sobre las cuestiones del estudio técnico de la red ferroviaria y el regreso de los refugiados y los desplazados internos.	4
Según el artículo 31 de la Ley de Seguridad Nacional, cuando el Director General expide una orden, los agentes de seguridad pueden practicar arrestos, allanamientos, detenciones e investigaciones. El agente tiene un plazo de tres días para comunicar al detenido las razones de su arresto y detención.	1
El Consejo de Seguridad reconoce que el terrorismo no será derrotado únicamente mediante la fuerza militar, las medidas de aplicación de la ley y las operaciones de inteligencia, y subraya la necesidad de abordar las condiciones que favorecen la propagación del terrorismo, incluidas, entre otras, la necesidad de redoblar los esfuerzos dirigidos a la prevención satisfactoria y la solución pacífica de conflictos prolongados, y la necesidad de promover el estado de derecho, la protección de los derechos humanos y las libertades fundamentales, la buena gobernanza, la tolerancia y la inclusión con objeto de ofrecer una alternativa viable a las personas susceptibles de ser reclutadas por los terroristas y sufrir una radicalización conducente a la violencia.	4
El Consejo de Seguridad reafirma además la necesidad de luchar, con todos los medios y de conformidad con la Carta de las Naciones Unidas, contra las amenazas a la paz y la seguridad internacionales causadas por actos terroristas.	4
Además, subraya la necesidad de la adhesión sin reservas al proceso de integración de las fuerzas armadas, según el espíritu del Acuerdo global e inclusivo.	4
Muchas personas murieron y más de 100 resultaron heridas.	1
Se cree que estas milicias actúan principalmente de acuerdo con una estructura de mando de carácter tribal.	0
Los Convenios de Ginebra prohíben terminantemente la tortura tanto en los conflictos armados internos como en los internacionales.	1
VIII. Prohibición de viajar El Equipo de Vigilancia sigue considerando la prohibición de viajar como una importante medida de las sanciones contra Al-Qaida y los talibanes, pero observa el ingenio demostrado por los terroristas que intentan cruzar las fronteras nacionales sin ser descubiertos.	2
En algunos Estados, la aplicación eficaz de la resolución 1373 (2001) sigue viéndose entorpecida por la vaguedad o amplitud excesiva de la definición de los delitos terroristas.	1
Si el Afganistán pierde atractivo en cuanto al número de objetivos para los grupos militantes, estos tal vez reorienten sus esfuerzos hacia sus propios países de origen o hacia otros países.	1
14. Decide que el Comité, al determinar si se deben excluir nombres de la Lista consolidada, considere, entre otras cosas, i) si la persona o entidad se incluyó en la Lista consolidada por un error de identificación, o ii) si la persona o entidad ha dejado de reunir los criterios enunciados en las resoluciones pertinentes, en particular la resolución 1617 (2005); al realizar la evaluación indicada en el apartado ii), el Comité podrá considerar, entre otras cosas, si la persona ha fallecido o si se ha demostrado que la persona o entidad ha roto toda asociación, como se define en la resolución 1617 (2005), con Al-Qaida, Osama bin Laden, los talibanes y sus partidarios, incluidas todas las personas y entidades que figuran en la Lista consolidada; Exenciones 15. Decide prorrogar el plazo para el examen por el Comité de las notificaciones presentadas con arreglo al apartado a) del párrafo 1 de la resolución 1452 (2002) de 48 horas a tres días laborables;	0
:: El 8 de noviembre de 2014, las fuerzas del régimen atacaron la localidad de Sheikh Miskeen y provocaron la muerte de cinco personas, incluidos dos niños y dos mujeres.	1
El Consejo de Seguridad expresa su profunda preocupación por que los civiles siguen constituyendo la gran mayoría de las víctimas en las situaciones de conflicto armado.	3
En general se está de acuerdo en que la intensificación de los ataques coincide con la intensificación del conflicto armado interno entre el Gobierno y los dos movimientos rebeldes, es decir, el SLM/A y el JEM.	1
La cuestión de las armas pequeñas no puede afrontarse sólo con medidas de control de las armas. Es parte de un espectro más amplio en que se cruzan el conflicto, la seguridad, la violencia armada, la delincuencia, el comercio, los derechos humanos, la salud y el desarrollo.	1
Según lo comunicado a la Comisión por la PNTL, sólo se arrestaría y entregaría a la PNTL a los peticionarios que estuvieran deambulando y no se autorizó ninguna operación de captura.	1
Cuando las milicias atacan conjuntamente con las fuerzas armadas, se puede afirmar que actúan bajo el control efectivo del Gobierno, lo cual se corresponde con la noción de control enunciada en 1999 en la causa Tadić Appeal (párrs. 98 a 145).	1
Uganda desearía creer que el Representante Permanente desconoce por completo el elevado nivel de cooperación que tiene lugar entre el Gobierno de Uganda por una parte y la Misión de las Naciones Unidas en la República Democrática del Congo (MONUC) y el Gobierno de la República Democrática del Congo por otra.	3
Sistemas comerciales de doble uso: se fabrican para fines civiles pero también pueden ser utilizados en ataques terroristas.	0
En el ataque se utilizaron dos helicópteros artillados y un avión Antonov, posiblemente para fines de reconocimiento.	1
"Este concepto se ha analizado explícitamente en la jurisprudencia de los tribunales penales internacionales: ""existe conflicto armado cuando se recurre a la fuerza armada entre Estados o a actos violentos armados y prolongados entre autoridades gubernamentales y grupos armados organizados o entre tales grupos dentro del Estado""."	4
También resulta sorprendente que ningún elemento perteneciente a las denominadas fuerzas paralelas pudiera ser arrestado o enjuiciado por esos delitos.	0
