es	Relevant
"""El Consejo de Seguridad insta a los Estados y a las organizaciones internacionales, así como al sector privado, a que compartan pruebas, información e inteligencia, según proceda, con fines policiales de lucha contra la piratería, en particular para garantizar el enjuiciamiento efectivo de los presuntos piratas y el encarcelamiento de los condenados, y alienta las iniciativas existentes y futuras a este respecto."	1
"En otro caso, el Tribunal volvió a considerar los diferentes elementos de un ataque dirigido contra una población civil como parte de la definición de crímenes contra la humanidad."	1
"En respuesta, el Departamento de Justicia de la UNMIK creó un grupo de trabajo conjunto con el pilar de desarrollo institucional para estudiar el informe y desarrollar formas de aplicar sus recomendaciones."	1
"43. Reitera la necesidad de mejorar la cooperación en curso entre el Comité, el Comité contra el Terrorismo y el Comité establecido en virtud de la resolución 1540 (2004), así como sus respectivos grupos de expertos, incluso, según proceda, mediante un mayor intercambio de información, la coordinación de las visitas a los países comprendidos en sus respectivos mandatos, la facilitación y supervisión de la asistencia técnica, sobre las relaciones con las organizaciones y organismos internacionales y regionales y sobre otras cuestiones de interés para los tres comités, expresa su intención de proporcionar orientación a los comités sobre ámbitos de interés común a fin de coordinar mejor sus esfuerzos y facilitar dicha cooperación, y pide al Secretario General que adopte las disposiciones necesarias para que los grupos se reúnan lo antes posible;"	1
"(a) Seguir mejorando su cooperación con las organizaciones internacionales, regionales y subregionales y desarrollar formas de operar con esas organizaciones caso por caso, reflejando la variación en la capacidad y el mandato de cada organización, incluidos los intercambios a nivel de trabajo, las sesiones informativas para y desde el Comité y la mejora de los acuerdos de intercambio de información;"	1
"""El Consejo de Seguridad condena enérgicamente los ataques deliberados de combatientes contra civiles en conflictos armados y exige que todas las partes implicadas pongan fin a tales violaciones del derecho internacional humanitario y de los derechos humanos."	1
"Los Estados también deben impedir que quienes financian, planifican, facilitan o cometen actos terroristas utilicen sus respectivos territorios para esos fines contra otros Estados o sus ciudadanos (apartado d) del párrafo 2)."	1
"(d) Apoyar de cualquier otro modo los actos o actividades de las personas designadas y de otras personas, grupos, empresas y entidades asociados con los talibanes por constituir una amenaza para la paz, la estabilidad y la seguridad de Afganistán;"	1
"(a) un Grupo de Supervisión en Nueva York de hasta cinco expertos, incluido un Presidente, para supervisar la aplicación de todas las medidas impuestas por las resoluciones 1267 (1999) y 1333 (2000), incluso en los ámbitos de los embargos de armas, la lucha contra el terrorismo y la legislación conexa y, habida cuenta de la relación existente entre la compra de armas y la financiación del terrorismo, el blanqueo de dinero, las transacciones financieras y el tráfico de drogas; y"	1
"21. Las incorporaciones más recientes a la Lista incluyen a terroristas asociados a Al Qaeda y a grupos terroristas que operan en Asia Central, Meridional y Sudoriental y en Oriente Próximo, incluido Irak."	0
"El régimen detuvo a unas 47 personas que, al parecer, habían sido reclutadas a la fuerza para unirse a las fuerzas del régimen."	1
"Además, escuadrones de la muerte y milicias formadas por elementos autónomos siembran el terror y llevan a cabo ejecuciones y secuestros."	1
(c) Exhorta además a todas las partes enumeradas en los anexos del informe del Secretario General sobre los niños y los conflictos armados a que se ocupen de todas las demás violaciones y abusos cometidos contra los niños y asuman compromisos y medidas específicas a este respecto;	1
"En su 4170ª sesión, celebrada el 13 de julio, el Consejo adoptó la resolución 1307 (2000), en la que, entre otras cosas, autorizaba la prórroga del mandato de la UNMOP para seguir supervisando la desmilitarización de la península hasta el 15 de enero de 2001."	1
"El objetivo del Consejo de Seguridad debe ser ahora asegurar a los tribunales que el régimen de sanciones establecido en virtud de la resolución 1267 (1999) del Consejo de Seguridad (el régimen de sanciones 1267) es justo y, con el mayor apoyo de los Estados miembros, reafirmar su propósito original de librar al mundo de la amenaza del terrorismo de Al-Qaida, los talibanes y sus asociados incluidos en la lista."	1
"De hecho, aparte de Bin Laden, Zarqawi, el mulá Mohammed Omar y otros terroristas conocidos, es posible que el público sepa relativamente poco sobre muchas de las personas incluidas en la Lista."	0
"Un problema adicional era el hecho de que el Gobierno aparentemente no disponía de suficientes recursos militares, ya que muchas de sus fuerzas seguían situadas en el sur, y las presentes en Darfur se encontraban principalmente en los principales centros urbanos."	1
"43. Tras la publicación de la Especificación públicamente disponible (PAS) 28007 de la Organización Internacional de Normalización (ISO) sobre las directrices para las empresas de seguridad marítima privada que proporcionan personal de seguridad armado contratado de forma privada a bordo de los buques, una empresa de seguridad marítima privada puede ahora certificarse conforme a esta norma voluntaria del sector para facilitar una aplicación internacional uniforme."	0
8 de mayo de 2006 Incidente violento en Gleno en el que son agredidos agentes de la PNTL del este.	1
"El equipo de mediación entabló conversaciones bilaterales con el Gobierno y la Coordinación, compuesta por el Movimiento Nacional para la Liberación del Azawad (MNLA), el Alto Consejo para la Unidad del Azawad (HCUA) y el Movimiento Árabe del Azawad (MAA), a los que se unieron individuos de la Coordination des mouvements et fronts patriotiques de résistance II (CMFPR-II) y una facción de la Coalition du peuple de l'Azawad (CPA), por un lado, y con el Gobierno y la Plataforma grupos armados compuestos por la CMFPR-I, la CPA y la otra facción del MAA, así como individuos del Groupe d'autodéfense touareg Imghad et alliés (GATIA) invitados por la Plataforma, por otro."	1
"(c) Personas de la Lista supuestamente fallecidas, junto con una evaluación de la información pertinente indicada en el párrafo 28 (c) y, en la medida de lo posible, el estado y la ubicación de los activos congelados y los nombres de las personas o entidades que estarían en condiciones de recibir cualquier activo no congelado;"	0
"(h) Elaborar metodologías para mejorar la eficacia de la cooperación con los distintos Estados, las organizaciones subregionales, regionales e internacionales, los acuerdos multilaterales que se ocupan del control de las exportaciones y las entidades pertinentes del sistema de las Naciones Unidas, y evaluar el nivel de cooperación entre los Comités establecidos en virtud de las resoluciones 1540 (2004), 1267 (1999) y 1373 (2001), evaluando, en particular, el nivel de intercambio de información y de coordinación en las visitas a los países, y formular recomendaciones concretas, si procede, para mejorar la cooperación."	1
31. Los Estados y muchos actores internacionales acogieron con satisfacción la apertura del proceso de examen exhaustivo e instaron al Comité 1540 a continuar con este enfoque y a aumentar sus ya útiles esfuerzos para lograr la transparencia y la inclusión.	1
"Atacaron y mataron a 54 personas, hirieron a otras 24 e incendiaron casas antes de retirarse con ganado y enseres domésticos saqueados."	1
"También hemos programado dos debates temáticos, sobre la prevención de conflictos y los niños en los conflictos armados, los días 20 y 26 de julio, respectivamente."	1
103. La FACI ha trasladado todos sus medios aéreos supervivientes y dañados a su base aérea del aeropuerto internacional de Abiyán.	1
"En Lerneb (región de Tombuctú), en septiembre, el MAA (Plataforma) advirtió en varias reuniones públicas que castigaría a los miembros de la población local que proporcionaran información a la MINUSMA y a las fuerzas francesas. El 23 de septiembre, se encontró el cadáver de un hombre decapitado en la zona de Zouera, 80 km al norte de Tombuctú. Era uno de los cinco hombres secuestrados el 16 de septiembre por AQMI, y acusados por esta organización de colaborar con las fuerzas internacionales, que desde entonces han desaparecido."	1
"Una vez finalizada la tramitación de las solicitudes en junio de 2005, la principal tarea pendiente de la Comisión es el pago de las indemnizaciones a los demandantes seleccionados."	0
"121. Los Janjaweed a los que se refieren la mayoría de las víctimas en el conflicto actual son milicias árabes que asaltan las aldeas de esas víctimas, montados en caballos o camellos, y matan, saquean, queman y violan."	1
"Además, la Unión Europea aplica un régimen supranacional destinado a garantizar la congelación de fondos y activos terroristas en todos sus Estados miembros."	1
"23. Pide al Equipo encargado de prestar apoyo analítico y vigilar la aplicación de las sanciones que, en estrecha cooperación con otros órganos de las Naciones Unidas de lucha contra el terrorismo, presente un informe al Comité establecido en virtud de las resoluciones 1267 (1999) y 1989 (2011) en un plazo de 180 días, y facilite una actualización oral preliminar al Comité en un plazo de 60 días, sobre la amenaza que plantean los combatientes terroristas extranjeros reclutados por el EIIL, el FNA y todos los grupos, empresas y entidades asociados con Al-Qaida, incluidos:"	1
"Más tarde, en 2006, la Asamblea General adoptó por unanimidad la Estrategia Global de las Naciones Unidas contra el Terrorismo, de gran importancia para reafirmar el compromiso colectivo de la comunidad internacional en la lucha contra la amenaza común del terrorismo."	1
"Estaciones de agua o El 23 de noviembre de 2014, el ISIS detonó un coche bomba cerca de una planta de purificación en el pueblo de Midan, Hasakeh, dañando gravemente la planta. Centrales eléctricas"	1
"94. A pesar de los recientes avances, las limitaciones logísticas, políticas y de seguridad harán que la desmovilización y reintegración prevista de 180.000 excombatientes para el final del período del Acuerdo General de Paz sea extremadamente difícil."	1
"El Gobierno y el equipo de las Naciones Unidas en el país, con aportaciones del Banco Mundial, prepararon un folleto sobre los Objetivos, en el que se esboza la situación actual de Timor Oriental y se exponen las implicaciones políticas para alcanzar las metas y los indicadores."	1
"Sin embargo, aquí había reclutas de la policía, lo más lejos posible de Addis Abeba, por no hablar de Roma o La Haya, que habían oído hablar de la CPI y estaban preocupados por su responsabilidad penal ante ella."	0
"(c) Una lista de las personas incluidas en la Lista que, al parecer, han fallecido y de las entidades cuya desaparición se ha comunicado o confirmado, junto con la documentación exigida en el apartado 23 (c);"	0
"En muchas zonas del país, sin embargo, no hay capacidad de detención ni tribunales en funcionamiento, lo que obliga a las fuerzas del orden a liberar a los presuntos autores peligrosos o a solicitar que los contingentes de la MONUC confinen a los sospechosos por razones de seguridad y protección de la población civil."	1
Seis hombres murieron y fueron enterrados en tumbas individuales.	1
"El Departamento es responsable de la gestión y administración del Cuerpo de Protección de Kosovo (KPC), así como de la planificación, coordinación y ejecución de la respuesta de emergencia ante catástrofes naturales o de otro tipo."	1
"Dichas precauciones, establecidas en el derecho internacional consuetudinario, son las siguientes: un beligerante debe (a) hacer todo lo posible para verificar que los objetivos que se van a atacar no son de carácter civil; (b) tomar todas las precauciones posibles en la elección de los medios y métodos de combate con miras a evitar o al menos reducir al mínimo los daños incidentales a personas civiles o a bienes de carácter civil; (c) abstenerse de lanzar ataques de los que quepa esperar que causen pérdidas incidentales de vidas de civiles o daños a personas civiles o a bienes de carácter civil que sean excesivos en relación con la ventaja militar concreta y directa prevista; (d) avisar con antelación eficaz de los ataques que puedan afectar a la población civil, salvo en caso de asalto (según lo dispuesto en el artículo 26 del Reglamento de La Haya de 1907) o, según lo dispuesto en el artículo 57(2)(C), a menos que las circunstancias no lo permitan -- a saber, cuando un beligerante considere indispensable un ataque por sorpresa."	1
"Han promulgado leyes antiterroristas y se han esforzado por seguir reforzando la coordinación y la cooperación regionales, especialmente en el contexto marítimo."	1
Los principales problemas de seguridad están relacionados con la actividad delictiva y la lucha entre facciones.	1
"Destaca que todos los responsables de violaciones y abusos de los derechos humanos deben rendir cuentas, y subraya la necesidad de una investigación exhaustiva, independiente e imparcial, acorde con las normas internacionales, de los presuntos abusos y violaciones de los derechos humanos, para evitar la impunidad y garantizar la plena rendición de cuentas;"	1
"Los sitios van desde los creados para promocionar a personas concretas, como Shamil Basayev en Chechenia, o grupos, como Lashkar-E-Tayyiba en Pakistán, hasta los que pretenden justificar el terrorismo relacionado con Al Qaeda en general, como Voice of Jihad, u ofrecer adiestramiento terrorista, como Al-Battar."	1
67. Renuevo mi llamamiento a la liberación inmediata e incondicional de todos los marinos inocentes retenidos como rehenes en Somalia para que puedan reunirse con sus familias.	1
"60. Otro aspecto potencialmente problemático de la disposición sobre exenciones por motivos humanitarios es que, dado que no se permite que un particular o una entidad presenten una petición directamente al Comité, es el Estado de residencia de la parte incluida en la lista el que determina si el Comité recibe alguna vez una petición en virtud de la resolución 1452 (2002)."	0
"Los dirigentes y partidarios del gobierno, por su parte, acusaron al MPCI y a otros ""movimientos rebeldes"" de utilizar fuerzas extranjeras y cometer atrocidades, especialmente el asesinato de decenas de miembros de la gendarmería en Bouaké."	1
"La Comisión ha podido establecer un relato detallado y preciso de los sucesos de abril y mayo, que causaron importantes pérdidas de vidas humanas, heridos y daños materiales generalizados."	1
"206. Tras examinar detenidamente el expediente, la Comisión puede destacar los siguientes puntos:"	0
Se impartió formación a agentes de las fuerzas de seguridad nacionales (50 en Adré y 42 en Abéché).	1
Carta de fecha 22 de diciembre de 2009 dirigida al Presidente del Consejo de Seguridad por el Presidente del Comité del Consejo de Seguridad establecido en virtud de la resolución 1518 (2003)	0
"Aunque la Iniciativa se concibió como respuesta al crecimiento del tráfico de drogas y de la delincuencia organizada transnacional en África Occidental, las unidades de delincuencia transnacional funcionarán como centros de fusión de las fuerzas del orden para apoyar la capacidad analítica y técnica nacional y regional de respuesta a las amenazas transnacionales."	1
Medidas selectivas y graduales como respuesta al tráfico ilícito de armas pequeñas y ligeras	1
"Tres días después, los Jaleele compraron 25 fusiles de asalto AK-47, 2 cañones antiaéreos, 6 ametralladoras PKM, 4 RPG-2 y munición."	1
"Reconociendo el valor de las sesiones informativas anuales a cargo de los jefes de los componentes militares, el Consejo declaró que también acogería con satisfacción la celebración de sesiones informativas similares a cargo de los jefes de los componentes policiales, a fin de mejorar su comprensión de los retos operativos."	1
"Además, los talibanes han mantenido su capacidad de importar armas, material y mano de obra, y la clave del éxito militar reside en neutralizar sus líneas de suministro y en negarles zonas seguras donde sus combatientes puedan recuperarse entre operaciones y entrenar a nuevos reclutas."	1
El Consejo apoya la idea de crear una unidad de asistencia al Estado de Derecho dentro de la Secretaría y espera con interés recibir las propuestas de la Secretaría para la aplicación de las recomendaciones que figuran en el apartado 65 del informe del Secretario General sobre el Estado de Derecho y la justicia de transición en las sociedades que sufren o han sufrido conflictos (S/2004/616).	1
"6. El final del conflicto en 1999 tuvo profundas repercusiones en las relaciones entre las distintas comunidades de Kosovo y, en particular, entre los albanokosovares y los serbokosovares."	0
"Además, hay una serie de grupos armados palestinos que operan en el país dentro y fuera de los campos de refugiados."	1
"El Consejo expresa su más profunda preocupación por el hecho de que los civiles sigan constituyendo la mayoría de las víctimas de los actos de violencia cometidos por las partes en los conflictos armados, en particular como consecuencia de los ataques deliberados contra ellos, del uso indiscriminado y excesivo de la fuerza, de la utilización de civiles como escudos humanos y de la violencia sexual y de género, así como de todos los demás actos que violan el Derecho internacional aplicable."	1
"484. En las discusiones con la Comisión sobre la metodología de los comités de violación, se hizo mucho hincapié en la amplia publicidad del mandato de los comités."	1
"420. En la sección siguiente se evalúa la eficacia de las medidas adoptadas por el Gobierno de Sudán, en particular para investigar los crímenes y llevar a sus autores ante la justicia."	0
Unidad de información financiera: creada y operativa	0
"""El Consejo de Seguridad pide a Burundi que impida todo apoyo desde su territorio a los grupos armados de la República Democrática del Congo."	1
"30. En general, la actitud de las autoridades gubernamentales hacia la Comisión ha sido de cooperación."	1
También hace hincapié en la prohibición y el bloqueo de sitios de Internet que contengan material extremista y en la regulación de los problemas en este campo.	1
"La Comisión recomienda que se procese a las siguientes personas en relación con la posesión, uso y circulación ilegales de armas de la PNTL el 8 de mayo y/o el 21 de mayo: Rogerio Lobato, Eusebio Salsinha, Antonio da Cruz, Vicente da Conceição, alias Rai Los, Mateus dos Santos Pereira, alias Maurakat, Leandro Lobato, alias Grey Harana, Antonio Lurdes, alias 55, Marcos da Silva Piedade, alias Labadae, Francisco y Santa Cruz."	1
"En la actualidad, todos los Estados han tipificado como delito en su derecho interno la provisión de refugio seguro a terroristas y a quienes les apoyan, así como la utilización de sus territorios para cometer o preparar actos terroristas contra otros Estados o sus ciudadanos."	1
195. Esta lectura de la información por parte de algunas fuentes ha dado una dimensión añadida al conflicto.	0
"Tras el ataque, toda la población de la zona se dirigió a Kailek."	1
Algunos de estos reclutas de las Juventudes Comunistas procedentes del ejército y la milicia maoístas son menores de 18 años.	1
"31. El Estado considera la propagación del cristianismo una amenaza especialmente grave, ya que desafía ideológicamente el culto oficial a la personalidad y proporciona una plataforma para la organización y la interacción social y política fuera del ámbito del Estado."	1
"En opinión de este Estado, dicha actividad, en su forma más extrema, suele conducir al extremismo violento y a la pérdida de vidas humanas."	1
"634. De la información recopilada y verificada por la Comisión se desprende que las violaciones u otras formas de violencia sexual cometidas por los Janjaweed y los soldados del Gobierno en Darfur fueron generalizadas y sistemáticas, por lo que bien podrían constituir un crimen contra la humanidad."	1
"Las mujeres y los niños fueron separados de los hombres, confinados en una zona alrededor de la mezquita y posteriormente llevados por sus captores para ser violados."	1
"En dicha reunión, las partes acordaron seguir cooperando en las cuestiones del estudio ferroviario y el retorno de los refugiados y desplazados internos."	1
"452. En virtud del artículo 31 de la Ley de seguridad nacional, por orden del Director General un agente de seguridad puede llevar a cabo una detención, un registro o detener e investigar a una persona. Dispone de tres días para comunicar al detenido los motivos de su arresto y detención."	1
"""El Consejo de Seguridad reconoce que el terrorismo no será derrotado únicamente por la fuerza militar, las medidas de aplicación de la ley y las operaciones de inteligencia, y subraya la necesidad de abordar las condiciones que propician la propagación del terrorismo, incluidas, entre otras, la necesidad de redoblar los esfuerzos para prevenir con éxito y resolver pacíficamente los conflictos prolongados, y la necesidad de promover el Estado de Derecho, la protección de los derechos humanos y las libertades fundamentales, la buena gobernanza, la tolerancia y la inclusión para ofrecer una alternativa viable a quienes podrían ser susceptibles de ser reclutados por terroristas y de radicalizarse para desembocar en la violencia""."	1
"""El Consejo de Seguridad reafirma además la necesidad de combatir por todos los medios, de conformidad con la Carta de las Naciones Unidas, las amenazas a la paz y la seguridad internacionales causadas por actos terroristas."	1
"Subraya la necesidad de un compromiso sin reservas con el proceso de integración de las fuerzas armadas, en el espíritu del Acuerdo Global e Integrador."	1
Muchas personas murieron y más de 100 resultaron heridas.	1
Se cree que estas milicias operan principalmente bajo una estructura de gestión tribal.	1
"La tortura está absolutamente prohibida por los Convenios de Ginebra, tanto en conflictos armados internos como internacionales."	1
"VIII. Prohibición de viajar 116. El Equipo de Vigilancia sigue considerando que la prohibición de viajar es una importante medida de sanción contra Al-Qaida y los talibanes, pero señala el ingenio de que hacen gala los terroristas que intentan cruzar las fronteras nacionales sin ser detectados."	1
"285. En algunos Estados, las definiciones vagas o demasiado amplias de los delitos de terrorismo siguen planteando un problema para la aplicación efectiva de la resolución 1373 (2001)."	1
"Si Afganistán se vuelve menos atractivo en términos de objetivos para los grupos militantes, éstos podrían volver a centrar sus esfuerzos en su propio país o en otros."	1
"14. Decide que el Comité, al determinar si debe suprimir nombres de la Lista consolidada, puede considerar, entre otras cosas, (i) si la persona o entidad fue incluida en la Lista consolidada debido a un error de identidad, o (ii) si la persona o entidad ya no cumple los criterios establecidos en las resoluciones pertinentes, en particular la resolución 1617 (2005); Al hacer la evaluación mencionada en ii), el Comité podrá considerar, entre otras cosas, si la persona ha fallecido o si se ha demostrado afirmativamente que la persona o entidad ha roto toda asociación, según se define en la resolución 1617 (2005), con Al-Qaida, Osama bin Laden, los talibanes y sus partidarios, incluidas todas las personas y entidades que figuran en la Lista consolidada; Exenciones Decide ampliar de 48 horas a 3 días laborables el plazo para que el Comité examine las notificaciones presentadas de conformidad con el apartado a) del párrafo 1 de la resolución 1452 (2002);"	0
"o El 8 de noviembre de 2014, las fuerzas del régimen atacaron la ciudad de Sheikh Miskeen, matando a 5 personas, entre ellas 2 niños y 2 mujeres."	1
"""El Consejo de Seguridad expresa su profunda preocupación por el hecho de que los civiles sigan representando la inmensa mayoría de las víctimas en situaciones de conflicto armado."	1
"Hay acuerdo general en que la escalada coincidió con la intensificación del conflicto armado interno entre el Gobierno y los dos movimientos rebeldes, el Movimiento/Ejército de Liberación de Sudán y el Movimiento Justicia e Igualdad."	1
