ar	MatCoop
وهناك عدة عوامل تعمل ضدهم ولكنهم إذا نجحوا فإن خطر الإرهاب سيزيد إلى حد أكثر مما هو عليه.	0
فهُما يقعان تحت ضغوط حقيقية من قِبل المجتمع الدولي وأي اتصال بينهما وبين طرف ثان يعرض أمنهما للخطر.	0
إن أفراد القوات المسلحة لجمهورية كوريا الشعبية الديمقراطية وشعبها سيحطمون سلاح حقوق الإنسان الطائش الذي استلته القوى المعادية بأعمال مضادة لم يسبق لشدتها مثيل وسيدافعون بقوة عن النظام الاشتراكي وعن حياتهم وأرواحهم.	0
وتهدف هذه التوصيات، التي استشير بشأنها الطرفان والبلدان المساهمة بقوات، إلى تعزيز قدرة العنصر العسكري على رصد وقف إطلاق النار والاتفاقات العسكرية، في حدود الموارد الموجودة.	1
إننا نثير مسألة العنف بغية أن نعرب عن نفاد صبرنا في ما يتعلق بإيجاد حلول مرضية وعاجلة للتحديات الهائلة لوحدة المجتمع العراقي.	0
23 - وفي المقاطعات والوحدات التي سبق أن استأنفت فيها الشرطة الوطنية الاضطلاع بمسؤولياتها الأساسية في مجال حفظ الأمن، أدت شرطة البعثة دورا بالغ الأهمية في رصد وتتبع ما تحرزه الشرطة الوطنية من تقدم، وظلت في الآن نفسه رهن الإشارة من أجل إسداء المشورة وتقديم التوجيهات وتوفير الدعم التنفيذي ومحتفظة بالقدرة على تولي مهام إنفاذ القانون مجددا على نحو مؤقت في الحالات القصوى، عند الاقتضاء.	0
10 - ونظرا لعدم قدرة أي بلد من بلدان المنطقة دون الإقليمية على أن يتولى بمفره تنفيذ هذه التوصيات، سيقوم مكتب الأمم المتحدة لدعم بناء السلام في جمهورية أفريقيا الوسطى بتيسير التعاون بين هذه البلدان، بناء على طلبها وفي إطار شراكة مع المنظمات دون الإقليمية والإقليمية، بهدف وضع حد نهائي لانعدام الأمن في المناطق الحدودية الناجم عن أعمال المجموعات المسلحة وقطّاع الطرق.	0
أتشرف بأن أحيل طيه تقرير لجنة مجلس الأمن المنشأة عملا بالقرار 1521 (2003) بشأن ليبريا، الذي يتضمن سردا لما اضطلعت به اللجنة من أنشطة خلال الفترة من 1 كانون الثاني/يناير إلى 31 كانون الأول/ديسمبر 2014. والتقرير، الذي اعتمدته اللجنة، مقدم وفقا لمذكرة رئيس مجلس الأمن المؤرخة 29 آذار/مارس 1995 (S/1995/234).	1
وكرروا الإعراب أيضا عن قلقهم البالغ إزاء مشاكل الإرهاب والقرصنة وأخذ الرهائن والحالة الإنسانية العصيبة. وفي هذا السياق، أكدوا ضرورة تنفيذ جميع قرارات مجلس الأمن ذات الصلة على وجه السرعة، لما في ذلك من قبل المؤسسات الاتحادية الانتقالية، حسب الاقتضاء.	0
وكالات إنفاذ القانون: إنشاء وحدات لمكافحة الإرهاب	1
ويشير تقرير بعثة التقييم إلى قلق متزايد بشأن الآثار الإنسانية والاقتصادية للأزمة على منطقة الساحل.	0
7 - اتفاقية قمع الأعمال غير المشروعة الموجهة ضد سلامة الطيران المدني، الموقعة في مونتريال، والتي صدّقت عليها جمهورية تشيكوسلوفاكيا الاشتراكية في 10 آب/أغسطس 1973، وأصبحت سارية فيها في 9 أيلول/سبتمبر 1973.	1
(س) العمل، بالتشاور الوثيق مع السلطات [الوطنية] ... ، على وضع وتنفيذ برنامج مشترك متعدد السنوات مع الأمم المتحدة لدعم العدل من أجل تطوير تسلسل النظام العدلي الجنائي والشرطة والقضاء والسجون في المناطق المتضررة من النزاع، وعلى توفير دعم برنامجي استراتيجي على المستوى المركزي ...	1
112 - مما يرتبط ارتباطا وثيقا بمفهوم الخطاب المضاد هو تزايد الاعتراف بأهمية أصوات ضحايا الإرهاب في استراتيجيات فعالة لمكافحة التحريض.	1
ففي حالات كثيرة، يميل المحاربون الذين يهاجمون القرى "الأفريقية" إلى استخدام نعوت مُحِِطة مثل "عبيد" أو "سود" أو نوبيين أو زورغا، قد توحي بتصور للضحايا باعتبارهم أفرادا في جماعة متميزة.	0
وسيتطلب الأمر أيضا مساعدة المانحين الثنائيين ليتسنى التصدي بصورة مجدية للتهديدات الأمنية التي تُشكلها تدفقات المخدرات والأسلحة.	0
(أ) التماس سبل تبادل المعلومات العملية والتعجيل بها وبخاصة ما يتعلق منها بأعمال أو تحركات الإرهابيين أو الشبكات الإرهابية؛ وبوثائق السفر المزورة أو المزيفة؛ والاتجار بالأسلحة أو المتفجرات أو المواد الحساسة؛ وباستخدام الجماعات الإرهابية لتكنولوجيا الاتصالات؛ وبالتهديد الذي يشكله امتلاك الجماعات الإرهابية لأسلحة الدمار الشامل؛	1
وفي الوقت نفسه، يعتقد وفدي أن الممثلين المنتخبين للأقليات العرقية في الجمعية، وخاصة ممثلي الصرب، سيحققون نتائج أفضل وفوائد أكبر لناخبيهم لو انتهجوا نهجا قائما على المزيد من المشاركة، بدلا من الانسحاب من الجمعية كلما واجهوا موقفا صعبا.	0
وإذ يساوره بالغ القلق إزاء التهديد الذي يشكله الإرهاب ومخاطر احتياز جهات غير تابعة للدول**، من قبيل الأطراف المحددة في قائمة الأمم المتحدة التي وضعتها وتتابعها اللجنة المنشأة بموجب قرار مجلس الأمن 1267 (1999)، والأطراف التي ينطبق عليها القرار 1373 (2001)، أسلحة نووية وكيميائية وبيولوجية ووسائل إيصالها، أو استحداث تلك الأسلحة والوسائل، أو الاتجار بها أو استعمالها،	0
ولُوحظ تصاعد التوتر في أوساط السكان المحليين ردا على الجباية غير القانونية للضرائب والابتزاز من قبل المسؤولين الأبخاز العاملين بحكم الأمر الواقع.	0
وإذ يكرر تأكيد دعوته الطرفين ودول المنطقة إلى التعاون بشكل أكمل مع الأمم المتحدة ومع بعضها بعضا، وإلى تعزيز مشاركتها في سبيل وضع حد للمأزق الراهن وإحراز تقدم نحو إيجاد حل سياسي،	1
100 - ولقد مضت دول المنطقة دون الإقليمية إلى أبعد من مجرد اتباع نُهُج لإنفاذ القانون لتعالج التحدي الذي تطرحه الجماعات الإرهابية.	1
وقد شهدت الأحداث التي تسببت فيها الذخائر العنقودية التي ألقت بها قوات منظمة حلف شمال الأطلسي انخفاضا كبيرا نتيجة للتغيير الذي طرأ على الاستراتيجية والتي أفضت إلى الإسراع إلى حد كبير بإزالة الوحدات المتفجرة العنقودية التي يسهل الوصول إليها.	0
وقُيِّمت المسائل المتصلة بالجرائم ضد الإنسانية استناداً إلى التعاريف الواردة في القانون الجنائي الدولي العرفي وفي نظام روما الأساسي للمحكمة الجنائية الدولية.	1
وقد أجبر الهجوم العديد من المدنيين على البحث عن ملجأ خارج البلدة، وتكبدت القوات المسلحة السودانية عشرات من القتلى والمصابين بينما هربت الحركة الشعبية/الجيش الشعبي لتحرير السودان بكميات من الأسلحة والذخائر والوقود والإمدادات الأخرى. وفي 29 أيلول/سبتمبر تعرضت بلدة طويلة نفسها لهجوم آخر عندما دخلت الشرطة الحكومية ووحدات من القوات المسلحة السودانية البلدة، ثم دخلت فيما بعد معسكر دالي المجاور للأشخاص المشردين داخليا حيث أطلقت النار على المدنيين عشوائيا وبدون أسباب.	0
41 - وعلاوة على ذلك، لم تشترط برامج جزاءات الأمم المتحدة أن تكون الجهات المستهدفة قد أدينت من إحدى المحاكم.	0
ويمكننا أن نستطرد بذكر الفقر الواسع الانتشار، والمشاكل في إدارة الموارد الطبيعية، والآلاف من اللاجئين والأشخاص المشردين داخليا، والآلاف الإضافية للمقاتلين السابقين الذين ينتظرون إعادة الإدماج، وقطاعات الأمن التي لم يتم إصلاحها، والانتهاكات الشاملة لحقوق الإنسان، والعديد من التهديدات الأخرى التي من المحتمل أن تؤجج صراعا جديدا.	0
ويتطلع المجلس إلى النظر في التقرير السنوي للأمين العام عن تنفيذ قراره 1820 (2008).	0
وقد نشرت بالفعل مجموعة متقدمة من هذه الكتيبة، وسرية من القوات الخاصة، في ياموسوكرو وأبيدجان.	1
وإضافة إلى ذلك، فقد أرسى المجلس نفسه سوابق مهمة، تشمل إنشاء لجان تحقيق معنية بالبوسنة ورواندا ودارفور، مهّدت السبيل لقيام المحكمتين الدوليتين ليوغوسلافيا السابقة ورواندا في عامي 1993 و 1994 على التوالي، وإحالة الحالة في دارفور على المحكمة الجنائية الدولية في عام 2005.	1
وإذا ما أضافت المحكمة إلى مسؤولياتها مجالا جديدا بأكمله من مجالات القانون المتعلق بالتعويض فلن يتعين على المحكمة في تلك الحالة أن تستنبط فقها قضائيا جديدا فحسب وإنما يتعين عليها أيضا أن توسِّـع ملاكها الوظيفي إلى حد كبير وأن تضع لوائح وإجراءات جديدة لتقييم المطالبات.	1
وانطلاقا من هذه الأمثلة، يمكن استنتاج أن هناك حالات يتصرف فيها مجلس الأمن باسم العدالة، عندما يواجه جرائم بشعة تنتهك فيها حقوق الإنسان.	1
وأخيرا، فإن معظم المعلومات المستقاة من مصادر والمتصلة بمصير السيد أبو عدس تشير إلى الجمهورية العربية السورية وإلى مسؤولين سوريين وكذلك إلى مسؤولين لبنانيين معينين. ومع أنه من الصحيح أن القليل من هذه المعلومات المستقاة من المصادر هو الذي جرى التثبت من صحته بشكل مستقل، فإن من المهم ملاحظة عدم وجود معلومات تشير إلى أي كيان متواطئ في اختفائه أو إلى أنه كان مفجرا انتحاريا.	0
وفي هذا الشأن، بالرغم من معالجة مكافحة الإرهاب بصورة أكثر جدية من قِبَل الأمم المتحدة بشكل عام ومجلس الأمن بشكل خاص، هناك دليل محدود على بذل جهود حقيقية مشتركة لإيجاد استجابة دولية أكبر للإرهاب.	0
وبالإضافة إلى ذلك، تبادل الفريق معلومات مع خبراء لجنة القرار 1540، ومع الخبراء المعنيين بالصومال وليبريا، وكذلك مع المنظمات غير الحكومية والأكاديمية ذات الصلة.	1
79 - وتبين الأدلة المتاحة أن الغالبية العظمى من الجثث التي لا تزال موجودة في المشرحة انتظارا لتشريحها مصابة بجروح من أعيرة نارية.	0
(ب) لم يكن هناك أي تنسيق بين جميع الأجهزة الأمنية الموجودة على مسرح الجريمة.	0
وسيظل تركيز اللجنة منصبا على تشجيع تنفيذ الدول للقرار 1373 (2001) وعلى اتخاذ تدابير عملية تستهدف تعزيز قدرة الدول على مكافحة الإرهاب.	1
(ث) العمل مع المنظمات الدولية والإقليمية المعنية بغرض التوعية بالتدابير والامتثال لها؛	1
ومعظم الدول لا تملك سوى قدرات ضعيفة لتجميد الأموال والأصول المرتبطة بالإرهاب دون إبطاء.	0
دعوة أطراف النزاع المسلح إلى التقيد الصارم بأحكام القانون الإنساني الدولي المنطبقة، بما في ذلك ما يلي:	0
أتشرف بأن أحيل إليكم طيه تقرير لجنة مجلس الأمن المنشأة عملا بالقرار 1267 (1999) بشأن تنظيم القاعدة وحركة الطالبان وما يتصل بهما من أفراد وكيانات الذي يتضمن موقف اللجنة من التوصيات الواردة في التقرير السادس لفريق الدعم التحليلي ورصد الجزاءات (S/2007/132، الضميمة) (انظر المرفق).	1
:: تقارير الأمين العام: بشأن سلامة وأمن العاملين في مجال الأنشطة الإنسانية وحماية موظفي الأمم المتحدة (A/68/489)، وحماية المدنيـين في النـزاعات المسلحة (مثلا، S/2013/689)، والتقارير ذات الصلة بالموضوع المتعلقة بولايات مجلس الأمن (مثلا، تقرير الأمين العام بشأن الصومال S/2014/140).	0
وقد أعد المركز استراتيجية انسحاب لمعالجة نقل المسؤوليات، بما في ذلك مواصلة إزالة أي أخطار متبقية، ونشر الوعي بخطر الألغام ومساعدة الضحايا، إلى الإدارات المناسبة التابعة للهيكل الإداري المؤقت المشترك.	1
وحتى في حالة إبلاغ الوقائع إلى الشرطة، كان الجناة يتمتعون فيما يبدو بالإفلات من العقاب وتستمر الهجمات ضد النساء.	0
وشاركت حركات المتمردين أيضا في أعمال النهب، مستهدفة بها مراكز الشرطة أساسا للحصول على الأسلحة؛ واستهدف المتمردون في بعض الحالات الممتلكات الخاصة أيضا.	0
فهي تُستخدم على نطاق واسع في النزاعات بين الدول وهي الأسلحة المفضلة في الحروب الأهلية وأعمال الإرهاب والجريمة المنظمة وحرب العصابات().	0
١ - يدين التطرف العنيف الذي يمكن أن يفضي إلى الإرهاب والعنف الطائفي وإلى ارتكاب المقاتلين الإرهابين الأجانب أعمالا إرهابية، ويطالب بأن يتخلّى جميع المقاتلين الإرهابيين الأجانب عن أسلحتهم وأن يتوقّفوا كلّيا عن ارتكاب الأعمال الإرهابية والمشاركة في النزاعات المسلحة؛	0
20 - بقيت الحالة في كودوري دونما تغيير. وفي 22 أيلول/سبتمبر، سيرت البعثة وقوة حفظ السلام التابعة لرابطة الدول المستقلة دورية مشتركة في المنطقة السفلى لوادي كودوري الخاضعة لمراقبة الأبخاز وذكرت أن الوضع كان هادئا.	1
وإذ يشجع الطرفين في هذا السياق على إظهار المزيد من الإرادة السياسية للمضي قدما صوب التوصل إلى حل، وذلك بطرق منها توسيع نطاق نقاشهما حول ما يطرحه كلاهما من مقترحات،	0
وقد شكلت هذه الاقتراحات أساسا لمناقشات الفريق العامل الذي يعكف على إعداد هيكل لإعادة توحيد القوات المسلحة، وإن لم تقدم الأطراف الإيفوارية ردا رسميا عليها.	1
ويكرر هذا الصك غير الملزم التأكيد، دون وضع أي التزام دولي جديد، على التزام الدول بكفالة احترام القانون الإنساني الدولي والقانون الدولي لحقوق الإنسان وتنفيذهما عن طريق التشريعات الوطنية، ويركز على دور الدول في توفير وسائل الانتصاف الكافية والفعالة والفورية والملائمة بما في ذلك جبر الضرر للضحايا.	1
