ar	VerCoop
(د) إصدار إعلان بوجود خطر غير عادي لأغراض المادة 1 (ج) '2` من الاتفاقية المتعلقة بسلامة موظفي الأمم المتحدة والأفراد المرتبطين بها، إذا ارتأى مجلس الأمن، حسب تقديره للحالات، أن الظروف السائدة تستدعي إصدار مثل هذا الإعلان، ودعوة الأمين العام إلى إبلاغ المجلس بتوافر الظروف التي تستدعي إصدار مثل هذا الإعلان حسب تقديره؛	1
والواقع أن نظام روما الأساسي قد أنشأ الصندوق الاستئماني ليكون تجسيدا لالتزام الدول الأطراف بمهمة المنظومة المتمثلة في تحقيق العدالة الإصلاحية، من خلال دعم الأنشطة التي تعالج الأضرار الناجمة عن الجرائم التي تقع ضمن اختصاص المحكمة.	1
وخلال الفترة المشمولة بالتقرير، جرى الانتهاء من وضع اللمسات النهائية على النظرة العامة الأولية لتقييم المخاطر وبدأت عملية تقييم المخاطر في جميع المناطق.	0
يبدي عزمه على أن يطالب، عند الاقتضاء، أطراف النزاع بوضع ترتيبات خاصة للوفاء باحتياجات الأطفال والنساء والجماعات المستضعفة الأخرى من الحماية والمساعدة، بما في ذلك عن طريق التشجيع على إقامة "أيام التحصين" وإتاحة الفرص الأخرى أمام تنفيذ الخدمات الرئيسية اللازمة تنفيذا آمنا ودون عوائق.	1
وقطاع الصناعة والقطاع الخاص لهما دور بالغ الأهمية في تنفيذ الأُطر التنظيمية المرتكزة على القرار 1540 (2004). فلا يمكن، إلا بتعاون القطاع الخاص وقطاع الصناعة، التصدي بفعالية لخطر انتشار أسلحة الدمار الشامل إلى الجهات التي ليست دولا.	0
وفي غضون ذلك، يقوم برنامج الأمم المتحدة الإنمائي بتنفيذ برنامج قصير الأجل لإعادة الإدماج يستهدف 200 5 من المحاربين السابقين والمجتمعات المحلية التي يعاد توطينهم فيها.	0
'4` قتل الجرحى من جنود العدو	0
وفي حوالي الساعة 00/17 من اليوم ذاته، شاهد شهود من قرية أنكا عددا يتراوح بين 300 و 400 من قوات الجنجويد، يسيرون على الأقدام، و 100 آخرين من الجنجويد، يمتطون الجمال وظهور الخيل، يتقدمون نحو قرية أنكا من جهة قرية باري.	0
وتلقت اللجنة معلومات موثوق بها مؤداها أن عدة أفراد قد نقلوا على أيدي أشخاص يعملون في الاستخبارات العسكرية أو الأمن.	1
وفي سان بدرو، شرع العمدة في تدمير أحياء عشوائية أخرى.	0
:: تسليط الضوء على أهمية برنامج المرأة والسلام والأمن في التصدي للتمييز وانتهاكات حقوق الإنسان والعقبات التي تحول دون توفير الحماية للاجئين والمشردين داخليا والأشخاص العديمي الجنسية من النساء والفتيات، ودون إحقاق العدالة لهن في جميع مراحل دورة التشريد	1
13 - وأثناء الفترة المشمولة بالتقرير، تلقت اللجنة 14 طلب إعفاء من حظر توريد معدات عسكرية غير فتاكة عملا بالفقرة 3 من القرار 1356 (2001)، وطلب إعفاء من حظر توريد الأسلحة عملا بالفقرة 11 (ب) من القرار 1772 (2007) وإخطارا عملا بالفقرة 6 من القرار 1744 (2007).	1
31 - ورحب كل من الدول والعديد من العناصر الفاعلة الدولية بانفتاح عملية الاستعراض الشامل وحثت لجنة القرار 1540 على أن تواصل هذا النهج وأن تزيد من جهودها المفيدة بالفعل من أجل تحقيق الشفافية وسياسة الشمول.	1
29 - وسوف تُنشر كتيبة ثانية في بلدة كامينا الجنوبية من أجل: حماية مدرج المطار؛ وتوفير بيئة آمنة للعملية الانتخابية في نطاق جهة عملياتها؛ ومراقبة مليشيات مايي - مايي في الجنوب وتشجيعها على المشاركة في عملية الإدماج أو نزع السلاح والتسريح وإعادة الإدماج؛ ودعم وتوجيه القوات المسلحة لجمهورية الكونغو الديمقراطية، ولا سيما في كامينا.	0
12 - وستولي اللجنة، وفقاً لولايتها وبالتعاون الوثيق مع لجنتي مجلس الأمن المنشأتين عملاً بالقرارين 1267 (1999) و 1540 (2004)، اهتماماً خاصاً للدول التي لا تتوافر معلومات بشأن تنفيذها للقرار 1373 (2001)، وستناقش سبل معالجة هذه المسألة على أفضل نحو ممكن.	1
106 - وافقت عملية الأمم المتحدة في كوت ديفوار أيضا في 21 شباط/فبراير 2005، على السماح للقوات الجوية لكوت ديفوار بإجراء اختبارين أرضيين للمحركات والنظم؛ وذلك لمدة ساعة واحدة في يوم الأربعاء الأخير من كل شهر، لطائرتها التي من طراز Mi-24P (TU-VHO) على ألا تكون مسلحة، وتكون خارج حظيرتها في قاعدة أبيدجان الجوية، وتحت مراقبة عملية الأمم المتحدة في كوت ديفوار.	1
وقد خلص التحقيق التقني إلى جملة أمور، من بينها أن الضرر المشاهد في الجزء الأمامي من الطائرة يبين على ما يبدو أن عددا كبيرا من الأجسام ذات الطاقة المرتفعة قد اخترقت جسم الطائرة من الخارج.	0
وختاما، أوضح الفريق سينغا أن قوة الأمم المتحدة لمراقبة فض الاشتباك قد شهدت منذ آذار/مارس 2012 نشوب القتال بين جماعات المعارضة والجيش السوري في المنطقة الفاصلة، مما يعد انتهاكا واضحا للولاية.	0
كذلك، قرر المجلس أن يستعرض في غضون ثلاثة أشهر وستة أشهر، ما إذا كانت الأحوال الميدانية تسمح بتخفيض عدد حفاظ السلام إلى 000 6 فرد.	0
ومع ذلك، ما زلنا نشعر بالقلق لأن هناك إفراطا في التركيز على الزيارات إلى البلدان النامية.	0
83 - تلقت البعثة معلومات من مقاتلي الحركة تفيد وجود مقابر أخرى في مناطق القتال. وقد ذُكر أن المقابر الجديدة عددها خمس مقابر ثلاث منها في مــان واثنتان في دانانيه (التي تقع على بعـد 72 كيلومترا من مان).	1
وقد أُلغيت العملية، ولم يتسن تجنب حدوث أزمة إلا بعد أن اتصل قائد قوات ليكورن الفرنسية الفريق أول إيراستورزا هاتفياً برئيس أركان قوات الجيش الوطني الإيفواري الفريق أول مانغو ليخبره بأن هذه الطلعة ستعتبر عملاً عدائياً.	0
وتلاحظ اللجنة أنه ليس ثمة أدلة على أن اغتيال 8 أفراد من الشرطة وإصابة 27 من ضباط الشرطة كان خارجا عن نطاق أعمال تلقائية قام بها أفراد لا يخضعون مطلقا لأوامر الهيكل الهرمي لقوات الدفاع التيمورية.	1
ويطالب الاتحاد الديمقراطي والشعبي لكوت ديفوار بإلقاء الضوء على تلك التجاوزات ومحاكمة مرتكبيها.	1
وشدد الأمين العام المساعد في عرضه للتقرير على الخطر المتمثل في احتمال تدهور الحالة الأمنية، بالرغم من الهدوء السائد في المنطقة، ولا سيما نتيجة لإدراج السلطات السودانية أبيي كدائرة انتخابية في الانتخابات الرئاسية لعام 2015.	0
إذ يرحب بزيادة تمثيل النساء في البرلمان، وإذ يثني على السلطات [الوطنية]، وإذ يؤكد على ضرورة زيادة دورهن في صنع القرارات المتعلقة بمنع النزاع وحله؛	1
تدريب العاملين في حفظ السلام يطلب إلى الأمين العام أن يكفل توفير الدعم التقني، في مرحلة ما قبل الانتشار وفي الميدان، للبلدان المساهمة بالقوات والشرطة في [البعثة]، بحيث يشمل توجيه الأفراد العسكريين وأفراد الشرطة وتدريبهم على حماية المدنيين من الأخطار المحدقة بهم واتخاذ التدابير المناسبة، بما في ذلك في مجال حقوق الإنسان والعنف الجنسي والقضايا الجنسانية.	1
ومع ذلك فهو يرى - وقد وافقه متحدث آخر على ذلك - أنه ينبغي لمبادرات المجلس أن تقوم بأكثر من إعمال الاتساق في هيئاتها الفرعية وأن تهدف إلى الاتساق على نطاق المنظومة في إطار الأمم المتحدة عندما تُصبح المسائل الهامة، مثل مكافحة الإرهاب، على المحك.	1
لقد أعرب الأفارقة بكل وضوح عن شواغلهم إزاء الحالة في زمبابوي.	0
6 - وخلال الفترة من 18 شباط/فبراير إلى 13 آذار/مارس، قام الجيش الملكي المغربي بسلسلة من التدريبات العسكرية المقررة سلفا على مقربة من أوسارد، شارك فيها نحو 200 1 جندي من وحدات المشاة والخيالة والمدفعية المرابطة فعلا داخل قطاع أسوارد الفرعي.	0
وأكد الممثل الخاص أهمية التقدم السياسي، ولا سيما في عملية بناء الدولة، ورحب بعملية المصالحة الجارية وبإنشاء إدارات مؤقتة.	1
وما زالت المحاكمة مستمرة في قضية قتل فلوريبير شيبيا بايزير الناشط في مجال حقوق الإنسان وسائقه فيديل بازانا، في 2 حزيران/يونيه 2010.	0
"ويدعو مجلس الأمن الأمين العام إلى مضاعفة جهوده في سبيل كفالة تعزيز قدرات آلية الرصد والإبلاغ بغية تنفيذ القرار 1882 (2009) للسماح بتعجيل أنشطة التوعية وتفعيل التدابير المتخذة للتصدي لجميع الانتهاكات المرتكبة في حق الأطفال وضروب الإيذاء الذي يتعرضون له، وذلك عن طريق أمور من جملتها كفالة قيام جميع وكالات الأمم المتحدة المعنية بالأمر بتقديم المساعدة الفعالة في جمع معلومات دقيقة وموضوعية وموثوقة ويمكن التحقق منها عن أعمال الاغتصاب وغيرها من ضروب العنف الجنسي المرتكبة في حق الأطفال، والعمل أيضا على ضمان التآزر بين كيانات الأمم المتحدة ذات الصلة، في المقر وعلى الصعيد القطري، وتجنب التداخل بينها في المهام على نحو ما يقتضيه القراران 1882 (2009) و 1888 (2009).	1
ودرجت عادة هيئات مكافحة الإرهاب التي أسند إليها المجلس مهمة تنفيذ القرار 1373 (2001) على التعامل، في العقد اللاحق، مع الصلات المحتملة بين الإرهاب والجريمة المنظمة على أنها مسألة تندرج في نطاق اختصاصها.	0
ووفقا للمادة 3 المشتركة بين اتفاقيات جنيف الأربع، ينطبق القانون الإنساني الدولي أيضا في النـزاعات المسلحة التي ليس لها طابع دولي.	0
وينبغي تقديم الدعم لعملية إصلاح قطاع العدالة، بالشراكة الوثيقة مع فريق الأمم المتحدة القطري. وينبغي أيضا دعم إنشاء وتعزيز آليات المساءلة داخل قوات الأمن والدفاع.	1
100 - وجرى إنشاء برنامج الناخبين ذوي الحاجات الخاصة لمساعدة فئات خاصة من الناخبين، بما فيها فئات الناخبين المعتكفين في منازلهم بفعل الخوف، ونزلاء المستشفيات، والمصابين بالتخلف الذهني، والمسنين، ونزلاء السجون، من التسجيل والتصويت في وقت واحد.	0
4 - وفي كوت ديفوار، كان الفريق على اتصال وثيق بالفروع السياسية والشرطية والعسكرية لعملية الأمم المتحدة في كوت ديفوار.	0
'1` الإسهام في حماية المدنيين المعرضين للخطر، لا سيما اللاجئون والمشردون؛	0
"نظر مجلس اﻷمن في مسألة حماية المدنيين في الصراع المسلح.	1
429- واستشهدت الحكومة كذلك بثلاث قضايا جرى فيها قصف عن طريق الخطأ. وذكرت أنها عوضت ضحايا قرى هبيلا، وأم جوزين وتولو.	0
2 - ويأتي هذا الاجتماع تطبيقا للقرار الذي بموجبه أنشأ رئيسا الدولتين، فخامة السيد عبد العزيز بوتفليقة، رئيس الجمهورية الجزائرية الديمقراطية الشعبية، وفخامة السيد إبراهيم أبو بكر كيتا، رئيس جمهورية مالي، هذه الآلية، باعتبارها أداة استراتيجية لمتابعة وتنفيذ التدابير التي يرى الطرفان أن من شأنها أن تسهم في السعي إلى إيجاد حل سلمي ودائم لمشاكل شمال مالي.	1
وأشار أعضاء المجلس إلى أنه ينبغي لجميع المرشحين بذل كل جهد ممكن من أجل الحفاظ على بيئة هادئة وسلمية، وممارسة ضبط النفس، وانتظار النتائج التي ستُعلن طبقا للإجراءات الدستورية الوطنية، وتسوية خلافاتهم سلميا عن طريق الآليات القانونية وآليات الوساطة المنشأة، بما في ذلك لجنة الوساطة الوطنية.	1
وتقدم اللجنة مجموعة من التوصيات باتخاذ خطوات فورية لوضع حد لانتهاكات حقوق الإنسان ومعالجة الشواغل المتعلقة بحقوق الإنسان التي أثارتها اللجنة، بما في ذلك توصيات محددة موجهة إلى مجلس الأمن، تستدعي أن يهتم بها المجلس وينظر فيها.	0
يؤكد على ضرورة تنفيذ برنامج الأمم المتحدة لمنع الاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة ومكافحته والقضاء عليه من جميع جوانبه، وتنفيذ الصكوك الدولية، لتمكين الدول من تحديد الأسلحة الصغيرة والأسلحة الخفيفة غير المشروعة، وتعقبها، في الوقت المناسب، لكي يتسنى إحراز تقدم حقيقي في مجال منع الاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة ومكافحته والقضاء عليه.	1
72 - لقد قيل الكثير عن تمويل الإرهاب عن طريق المخدرات، بما في ذلك ما جاء في الاتفاقيات الدولية وفي قرارات مجلس الأمن().	1
4 - وساهم تبادل الزيارات مؤخرا على مستوى رفيع بين العراق والكويت في تهيئة الأجواء المواتية لكي يجري المنسق اتصالاته مع ممثلي العراق والكويت، وكذلك مع أعضاء آخرين في اللجنة الثلاثية واللجنة الفنية الفرعية المنبثقة عنها والتي تظل تشكل الهيئة الرئيسية المعنية بمسألة الأشخاص المجهول مصيرهم في حرب الخليج 1990-1991.	0
ويتعين عدم منح الإرهابيين وأعوانهم فرصة استغلال الثغرات القانونية في الإفلات من تبعات أفعالهم.	0
ومن يُضبط وهو يمارس شعائر الدين المسيحي تُفرض عليه عقوبات صارمة، ما يشكل انتهاكاً للحق في حرية الدين وحظر التمييز الديني. باء- التمييز	0
وإذ يشير إلى البيان الرئاسي الصادر عن مجلس الأمن (S/PRST/2012/17) في 4 أيار/مايو 2012، بشأن الأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية،	0
4 - يطلــب إلى المدير التنفيذي أن يقــدم، في غضون 30 يوما من تولي منصبه، وبعد التشاور مع الأمين العام وعـن طريقــه، خطـة تنظيميـة إلى الهيئة العامة من أجـل إقرارها، على أن تكون الخطـة متسقـة مع تقرير اللجنة (S/2004/124) ومع قواعـد وأنظمـة الأمم المتحدة، بما في ذلك هيكلها واحتياجاتها من الموظفين، واحتياجاتها المتعلقة بالميـزانية، والمبادئ التوجيهيـة المتعلقة بالإدارة، وإجراءات التعييـن، مع الاعتـراف على وجـه الخصوص بضرورة وجـود هيكل إداري فعـَّـال ومتعاون للهيئـة الجديدة، ومـلاك من الموظفيـن يتمتعون بالمؤهـلات والخبرات المناسبة، على أن يكونوا من موظفـي الخدمة المدنية الدولية الخاضعين للمادة 100 من الميثاق، وكفالـة أعلـى مستويات الكفاءة والأهليـة والنـزاهـة، وإيـلاء الاعتبار اللازم لأهميـة تعييـن الموظفيـن على أوسـع قاعدة جغرافية ممكنة؛	1
وأشاروا إلى أن الصومال ستظل بحاجة إلى مساعدة كبيرة في مجال بناء القدرات لضمان أن عصابات القراصنة لا تستطيع العودة إلى مستويات ذروتها.	0
78 - القوات المسلحة السودانية قوات مسلحة تقليدية مهمتها حماية الأمن الداخلي والحفاظ عليه().	1
ومن المدهش أيضا أنه لم يتم اعتقال أي من العناصر المنتمية إلى القوات الموازية أو ملاحقتهم قضائيا على هذه الجرائم.	0
ويقلقني أن هذا التصويت البرلماني والجمود داخل البرلمان يمكن أن يؤديا إلى إهدار المكاسب التي حققها أصحاب الشأن الصوماليون وشركاؤهم بصعوبة بالغة.	0
فمدى وحجم الأحداث المتصلة بالصراع في دارفور يجعل إثبات الحقائق وجمع العناصر الثبوتية الموثوقة، من أجل تحديد هوية المرتكبين المشتبهين، مهام صعبة، لا يمكن أخذها على غير محمل الجد.	1
في الجلسة 5303 التي عقدها مجلس الأمن، في 10 تشرين الثاني/نوفمبر 2005، فيما يتصل بنظر المجلس في البند المعنون "الأخطار التي تهدد السلم والأمن الدوليين الناجمة عن الأعمال الإرهابية" أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:	1
26 - وضع تحالف الحضارات التابع للأمم المتحدة برامج في أفريقيا لمنع زرع التطرف. ويركز أحد هذه البرامج على المجتمعات المحلية في نيجيريا ويستهدف الشباب والنساء وقادة المجتمعات المحلية لتيسير الحوار والتفاعل فيما بين أعضاء المجموعات المختلفة.	0
وهناك أيضا قدر كبير من المواد الموثوقة يشير إلى أن أعمالا إجرامية ارتكبت في إطار هجمات واسعة النطاق أو منهجية ضد السكان المدنيين، مع توافر العلم بهذه الهجمات.	0
وعلاوة على ذلك، قُدمت معلومات رسمية، أثناء زيارة الفريق إلى السودان، بشأن قيام جماعات مرتبطة بتنظيم القاعدة بتهريب أسلحة عبر إريتريا إلى عناصر التنظيم في المملكة العربية السعودية.	1
195 - وإدراكا لأهمية هذه المنطقة دون الإقليمية باعتبارها منطقة "عبور"، سنّت معظم الدول تشريعات بشأن اللجوء، وتنقلات المسافرين، ومنع وقمع تنقلات الإرهابيين عبر الحدود.	0
"ويقر مجلس الأمن بضرورة انتظام رصد التقدم المحرز في مجال حماية المدنيين في النزاعات المسلحة وتقديم تقارير عنه.	1
نزع سلاح الجماعات المسلحة [الوطنية] والأجنبية، وتسريح أفرادها، وإعادة توطينهم أو إعادتهم إلى أوطانهم، حسب الاقتضاء، وإعادة إدماجهم بصورة دائمة من أجل تحقيق الاستقرار في [البلد المتأثر] في الأمد الطويل، فضلا عن أهمية إسهام الشركاء الدوليون في هذا المجال.	1
وما زال غير معروف ما إذا كان بإمكانه إقامة روابط مع المتطرفين في نيجيريا في إطار تحالف فعال.	0
ولم تتمكن الشبكة من جمع معلومات عن الوفيات في المناطق التي عزلها النظام.	0
ويحث المجتمع الدولي على ضمان توفير الأموال الكافية في الوقت المناسب لتلبية الاحتياجات الإنسانية لتوفير مساعدة إنسانية كافية لتخفيف معاناة السكان المدنيين، لا سيما الذين يعيشون في مناطـق يعصـف بهـا صراع مسلح أو خارجـة من حالة صراع.	1
11 - تشدد على أن المنظمات الدولية والإقليمية المتخصصة تضطلع بدور هام في بناء تفهم لخطر الإرهاب، وفي تيسير التعاون الدولي في ميدان مكافحة الإرهاب، خاصة من خلال توفير المساعدة التقنية والمساعدة ذات الصلة، حسب الطلب.	1
6 - وفي 14 نيسان/أبريل 2011، اجتمع المنسق مع وكيل وزارة خارجية الكويت، خالد الجارالله، الذي أشار إلى ضرورة عدم ''الخلط`` بين مهمة العثور على رفات الضحايا الكويتيين من جهة، والتطورات التي تشهدها العلاقات السياسية بين العراق والكويت من جهة ثانية.	1
تعرب حكومة الجمهورية العربية السورية، بدايـة، عن تقديرها للجهود التي تبذلها إدارة عمليات حفظ السلام في الأمم المتحدة، والمسؤولون في قوة الأمم المتحدة المنتشرة في الجولان السوري المحتل لمراقبة فض الاشتباك (الأندوف) للحفاظ على الأمن والسلم في منطقة عملياتها، وذلك اتساقا مع الولاية المناطة بهـا، حيث استمرت سوريا في دعم وتسهيل عمل واحترام ولايـة هذه القوة منذ إنشائها في العام 1974، وإقامـة علاقات وطيدة مع مسؤولـي قوتـي "الأندوف" و "الأنتسو"، وكذلك مع إدارة عمليات حفظ السلام في الأمم المتحدة. وقد دأبـت تقارير الأمناء العاميـن الدورية على تقدير هذه الإيجابية السورية في التعاون والسهر على سلامة عناصر الأندوف وعلى احترام ولايـة القوة.	1
وينبغي ألا يسمح هذا المجلس بمكافأة تلك الاستراتيجية بالتصدي للرد على الإرهاب بدلاً من التصدي للإرهاب ذاته. بل يجب أن تقابل بالرفض، لا بالاسترضاء.	0
44 - ويمكن اللجوء إلى حل جزئي هو فرض قيود زمنية لتقديم الأسباب. وسيكون ذلك متماشيا مع آلية أمينة المظالم بصفة عامة، التي تحكم جميع مراحلها مواعيد نهائية صارمة.	1
95 - وفي ضوء النسق المستمر من انتهاكات حقوق الإنسان في كوت ديفوار على مدار السنوات الماضية، قد يرغب المجتمع الدولي أيضا في أن ينظر في الحاجة إلى إنشاء آلية مستقلة لحقوق الإنسان للجنة حقوق الإنسان التابعة للأمم المتحدة (مقرر قطري خاص أو خبير مستقل)، يمكن تكليفها بتقديم تقارير، إلى الجمعية العامة أيضا، عن التقدم المحرز في الإعمال الفعال للقواعد الدولية لحقوق الإنسان، وترجمتها إلى ممارسات على المستوى الوطني، فضلا عن إنهاء ظاهرة الإفلات من العقاب، وكفالة سيادة القانون في كوت ديفوار.	1
ومع أن هذه المبادرة أتت استجابة لنمو الاتجار بالمخدرات والجريمة المنظمة العابرة للحدود الوطنية في غرب أفريقيا، فإن وحدات مكافحة الجريمة العابرة للحدود الوطنية ستعمل بوصفها مراكز إنفاذ القانون تدعم القدرات التقنية والتحليلية على الصعيدين الوطني والإقليمي من أجل الاستجابة للتهديدات العابرة للحدود الوطنية.	0
وكان الهدف من هذه الزيارات هو رصد التنفيذ، بما في ذلك جمع نماذج لأفضل الممارسات، والتوعية بأعمال اللجنة، وبناء توافق آراء دولي يعتبر حيويا لنجاح نظام الجزاءات، ورصد انتشار ومدى بسط نفوذ تنظيم القاعدة وحركة الطالبان كي يكون أكثر قدرة على تقديم اقتراحات إلى اللجنة لتعزيز أعمالها.	1
وثمة تدابير أخرى تسهم في وجود هذا الاستقطاب لدى الجماعتين منها الصراع في عامي 1987-1989 على الوصول إلى الأراضي الرعوية ومصادر المياه، بين البدو ذوي الأصول العربية وقبيلة الفور المستقرة.	0
66 - ويُعد تعزيز مؤسسات سيادة القانون في هايتي، بما في ذلك إصلاح شرطة هايتي الوطنية، أمرا ضروريا لصياغة الاستقرار الداخلي بصورة فعالة وبسط نطاق سلطة الدولة.	0
ويجب على جنود القوة الدولية تنفيذ ولايتهم بشكل تام بهدف القضاء على التهديدات الناشئة عن أفغانستان.	0
وخلال المشاورات المغلقة التي تلت ذلك، أعرب أعضاء المجلس عن تأييدهم لبعثة الأمم المتحدة للدعم في ليبيا، ونوهوا إلى الجهود التي تبذلها الحكومة المؤقتة من أجل تحقيق الاستقرار.	1
وأكد على ضرورة تعزيز الحوار في إطار المؤسسات الاتحادية الانتقالية وشجع محاوريه على استخدام نفوذهم لبلوغ تلك الغاية.	1
تدابير أولية 39 - يتطلب حل جريمة بهذا الحجم وجود قدرة إدارية قوية وأدوار محددة بوضوح وتنسيق قوي وإمكانية الحصول على ما يكفي من الكفاءات والقوة البشرية والمعدات ووسائل المساعدة.	1
ومن جهة ثانية، ستعمل بالتعاون مع الجهات المانحة وغيرها من المنظمات الشريكة المعنية على تيسير حلقة عمل إقليمية من المقرر عقدها في بنغلاديش لفائدة أفراد الشرطة والمدعين العامين بشأن التعاون عبر الحدود.	0
فيما يتعلق بأفريقيا، تناول المجلس الحالة الخطرة على الحدود بين رواندا وجمهورية الكونغو الديمقراطية، واستعرض المأزق السياسي المتواصل الذي توجد فيه المفاوضات بين إثيوبيا وإريتريا، وأجرى تقييما لتنفيذ حظر الأسلحة المفروض على الصومال، وعزَّز الجهود المبذولة لتنشيط العملية السياسية المتعطلة في كوت ديفوار.	0
ولذا فقد حث المجلس على التحول من النهج "القائم على الطلب" إلى بذل جهود "أنشط" لزيادة اهتمام الجهات غير الأعضاء بأعماله.	1
ووفقا لأقوال الشهود، فر القرويون من القرية متجهين شمالا نحو منطقة غابات تقع على بعد 5 كيلومترات من القرية.	0
