ar	MatConf
10 - في 7 أيلول/سبتمبر، عقد الفريق العامل الرفيع المستوى المشترك بين حكومة تشاد والأمم المتحدة اجتماعه الثالث لتقييم الوضع على أرض الواقع فيما يتعلق بحماية المدنيين وتنفيذ التدابير التي اعتمدتها الحكومة من أجل تنفيذ المهام الواردة في الفقرة 4 من القرار 1923 (2010).	0
76 - ينبغي لدول المنطقة دون الإقليمية أن تقوم بما يلي: (أ) اعتماد أطر قانونية وطنية لمكافحة الإرهاب شاملة ومتسقة تُدرج فيها جميع الجرائم الإرهابية المبينة في الصكوك الدولية لمكافحة الإرهاب، وتنفيذ قوانين ولوائح مكافحة غسل الأموال ومكافحة تمويل الإرهاب بفعالية مع الامتثال أيضا للمعايير الدولية لحقوق الإنسان؛	0
يشدد على أن القانون الدولي يتضمن أحكاماً تحظر الهجمات الموجهة عن علم وبشكل مقصود ضد الأفراد العاملين في بعثة لتقديم المساعدة الإنسانية أو لحفظ السلام يتم الاضطلاع بها وفقا لميثاق الأمم المتحدة، والتي تشكل، في حالات النـزاعات المسلحة، جرائم حرب، ويشير إلى ضرورة أن تضع الدول حدا للإفلات من العقاب على تلك الأفعال الإجرامية.	1
29 - وجرى الإقرار بأنه ينبغي على اللجنة في إطار أنشطتها أن تواصل زيادة الوعي بشأن المعاهدات المتعددة الأطراف التي يتمثل هدفها في منع انتشار أسلحة الدمار الشامل أو إزالتها حتى يمكن الإسهام في إضفاء الصبغة العالمية عليها.	0
وفي حين أن بعض التقارير قد أشارت إلى ارتكاب جماعات المتمردين لبضع حوادث من حوادث تدمير القرى والممتلكات الخاصة، فإن معظم التقارير تشتمل على أقوال للشهود تبين أن أغلبية القرى قد دمرت أثناء الهجمات التي شنها الجنجويد، وهو ما كان يجري في كثير من الأحيان بتوجيه من القوات المسلحة التابعة للحكومة السودانية وبمشاركة ودعم منها.	1
49 - وتشجع اللجنة المديرية التنفيذية على أن تواصل العمل مع كيانات الأمم المتحدة الأخرى لاستكشاف أفضل النُّهج والوسائل الممكنة لتنسيق الأنشطة التي تضطلع بها الأمم المتحدة، لا سيما فيما يتعلق بمواءمة طرائق العمل وبرمجة المشاريع المتعلقة بمكافحة الإرهاب.	0
في الجلسة 5764 التي عقدها مجلس الأمن في 22 تشرين الأول/أكتوبر 2007، في إطار نظر المجلس في البند المعنون "الأخطار التي تهدد السلم والأمن الدوليين بسبب الأعمال الإرهابية"، أدلى رئيس مجلس الأمن باسم المجلس بالبيان التالي:	0
وذلك ما يجعل خطاب التهديد غير المسؤول من جانب القيادة الإيرانية مثيرا لقدر أكبر من الانزعاج.	0
ونقوم بتوفير التدريب الأساسي (التدريب مثلا على استخدام السلاح، والانضباط،....) وهو ما قد يستغرق أسبوعين أو نحو ذلك، تبعا لاستعداد الفرد.	1
ورغم أن تأثير النواة القيادية لتنظيم القاعدة على العمليات قد تقلص منذ موت أسامة بن لادن وعدد من القادة الرئيسيين الآخرين، فإن شبكات التنظيم ما فتئت تتطور إلى ظاهرة معقدة أكثر من أي وقت مضى بالاستناد إلى طائفة متنوعة دوليا من المناصرين والمقاتلين النشطين.	1
وقدّمت تفاصيل عن الانتهاكات والتجاوزات المرتكبة في حق الأطفال في اليمن.	1
"ويرحب مجلس الأمن في هذا الصدد بالإجراءات التي اتخذتها حتى الآن الأطراف الموقعة لإطار السلام والأمن والتعاون والجهات الضامنة له، بما في ذلك عقد اجتماع الـ "11+4" الأول لآلية الرقابة الإقليمية التابعة لإطار السلام والأمن والتعاون في أديس أبابا في 26 أيار/مايو 2013 والاجتماعين الأولين للجنة الدعم التقني في نيروبي في 24 حزيران/يونيه و 22 تموز/يوليه 2013، وهي اجتماعات كانت تهدف إلى إحراز تقدم في وضع نقاط مرجعية لتقييم تنفيذ إطار السلام والأمن والتعاون من جانب جميع الأطراف الموقعة.	0
وقد انخفض العدد الإجمالي للمحاربين الأجانب والزعماء والميسرين المرتبطين بالقاعدة المقتولين أو المقبوض عليهم منذ صدور آخر تقرير يتعلق بتلك المسألة (S/2012/971).	1
وما زالت محاكمة الفريق أول سانوغو في المرحلة التمهيدية للمحاكمة؛ وما زال التحقيق جاريا في مقتل ستة عشر من الدعاة في مخيم تابع للقوات المسلحة المالية في ديابالي في أيلول/سبتمبر 2012 ويجري التحقيق في إعدام ثلاثة من الطوارق بإجراءات موجزة في دجيبوك (إقليم غاو) في شباط/فبراير 2014، حيث لا يزال أربعة جنود من القوات المسلحة المالية قيد الاحتجاز.	1
11 - ووفقا للقرار 1963 (2010)، ستساعد المديرية التنفيذية اللجنة أيضا في تنظيم اجتماع خاص مفتوح أمام جميع الأعضاء وأصحاب المصلحة الآخرين، من أجل إحياء الذكرى السنوية العاشرة لاتخاذ القرار 1373 (2001) وإنشاء اللجنة.	0
6 - وفي مالي، كاد الإرهابيون أن يدمروا الهياكل الأساسية للدولة، مما أثر على استقرار البلد والمنطقة بأسرها. وما زال تنظيم القاعدة في بلاد المغرب الإسلامي، وجماعة التوحيد والجهاد في غرب أفريقيا، وجماعة أنصار الدين، ينشطون في شمال مالي، مع ما لذلك من آثار تطال البلدان المجاورة. وقد عرَّضوا وجود بعثة الأمم المتحدة المتكاملة المتعددة الأبعاد لتحقيق الاستقرار في مالي وأنشطتها للخطر.	1
وإننا نغتنم هذه الفرصة للنظر في الحالة السياسية والأمنية في منطقة الساحل والصحراء، فضلا عن الجهود الرامية إلى التغلب على التحديات القائمة وتعزيز السلام والأمن والاستقرار على نحو مستدام.	0
فهو يوضح المسائل التي تقتضي الاهتمام ويخلص - بتشجيع من المرأة الصومالية - إلى أنه ينبغي للمجتمع الدولي أن يثير مسائل المساواة بين الجنسين، بما في ذلك مع الزعماء الصوماليين.	0
وجدد أعضاء مجلس الأمن إدانتهم لهذه الهجمة القاتلة على لاجئين عُزَّل، وأعربوا عن توقّعهم تلقّي تقرير أخير عن التحقيق في أقرب الآجال.	0
18 - في 31 كانون الأول/ديسمبر 2002، ذهب فريق تحقيق خاص تابع للبعثة إلى منطقة بِني للتحقيق في الادعاءات القائلة بوقوع انتهاكات خطيرة لحقوق الإنسان - إعدامات تعسفية، واغتصاب، وتعذيب، وحالات اختفاء قسري - في بلدة مامباسا وفي القرى الواقعة على محور مامباسا/مانجينا ومحور مامباسا - إرِنغِيتي.	1
71 - ومع أن من المحتمل أن يمر بعض الوقت قبل دخول المعاهدة حيز النفاذ، إلا أنها يمكن أن تكون أداة مفيدة لمواصلة تحقيق التقدم في تنفيذ نظام الجزاءات المفروضة بموجب القرار 1267.	0
وفي 2 تشرين الثاني/نوفمبر 2014، نصبت قوات النظام كمينا عند قرية اللحونة فقتلت 13 شخصا.	1
٦٤ - ومن التطورات المثيرة للقلق أيضا، استمرار الهجمات غير المتناظرة على أفراد الأمم المتحدة لحفظ السلام، إضافة إلى الاغتيالات وأعمال الاختطاف التي تستهدف المدنيين.	1
34 - يؤكد أهمية التشاور والتعاون بين الأمم المتحدة ولجنة الصليب الأحمر الدولية والمنظمات المعنية الأخرى ذات الصلة بما فيها المنظمات الإقليمية من أجل تحسين حماية المدنيين في النزاع المسلح؛	0
6 - يشير إلى الالتزامات المذكورة في الفقرة 2 (هـ) من منطوق القرار 1373 (2001)، ويشير على وجه الخصوص إلى ما يتعلق منها بالهجمات الإرهابية ضد موظفي الأمم المتحدة وحفظة السلام التابعين لها ومنشآتها؛	0
وتنص المادة 75 من النظام الأساسي على أن المحكمة لها أن تصدر أمرا مباشرا ضد شخص مُدان تحدد فيه أشكالا ملائمة من أشكال جبر أضرار المجني عليهم، أو فيما يخصهم، بما في ذلك رد الحقوق والتعويض ورد الاعتبار.	1
كما يجب أن تحجم إسرائيل عن اتخاذ إجراءات أحادية في القدس من شأنها أن تغير الوضع القائم أو تقوض الثقة.	0
وتم الإبلاغ عما مجموعه 283 1 عملية خطف بدافع الإرهاب في عام 2012()، ويمكن أن يتلقى الإرهابيون فدية تصل قيمتها إلى الملايين مقابل رهينة واحدة.	1
ودعمت عمليات هذه الجماعات أيضا الجهود التي يبذلها الطالبان الأفغان في زعزعة استقرار أفغانستان.	1
8 - وفي الصومال، ومنذ أوائل عام 2007، ادعت حركة الشباب، غير المدرجة في القائمة، مسؤوليتها عن العديد من التفجيرات الانتحارية والهجمات التي اتبعت فيها ممارسات تنظيم القاعدة والجماعات المرتبطة به في العراق أو أفغانستان().	1
وعلى نحو ما أشار إليه الأمين العام، فإن مبعث تزايد الانتهاكات في العديد من النزاعات إنما هو أساسا انعدام المساءلة، بل والأدهى والأمرّ عدم توقع أي شكل من أشكال المساءلة في كثير من الحالات.	1
94 - ولما كان قد تأكد وجود الميليشيات والقوات الموازية، فإن من واجب رئيس الجمهورية وحكومة المصالحة الوطنية اتخاذ كل الخطوات اللازمة لوضع حد لأنشطتها.	1
إنشاء وحدة جنسانية وإنمائية في المقر وشبكة لجهات التنسيق الجنساني على الصعيدين القطري والإقليمي.	0
٢٧ - ويشدد رؤساء الدول والحكومات، إذ يساورهم القلق إزاء الحالة السائدة في جنوب ليبيا، على ضرورة تسوية هذه الحالة حفاظا على استقرار منطقة الساحل.	0
7 - يلاحظ أن وسائل التمويل أو الدعم المذكورة تشمل على سبيل المثال لا الحصر، استخدام العائدات المتأتية من الجريمة، بما في ذلك زراعة المخدرات وسلائفها، وإنتاجها والاتجار بها على نحو غير مشروع؛	1
والفريق على دراية بوجود 15 قضية قُدمت في خمس دول أعضاء، وكذلك أمام محكمة العدل الأوروبية، تطعن في تنفيذ الدول الأعضاء لبعض الجوانب المتعلقة بالجزاءات.	0
وظهر اسم مليشيات الجنجويد في بعض تلك الحوادث وهي تساهم في أعمال التدمير ولا سيما بإلحاق ضرر بالسكان المدنيين وممارسة النهب على نطاق واسع في أثناء المعارك أو في المرحلة التالية لها.	1
وأشار وكيل الأمين العام أيضا إلى أن الأمم المتحدة رصدت زيادة في الخطاب الاتهامي الذي تطلقه حكومة جنوب السودان في حق البعثة، وفي انتهاكات الحكومة لاتفاق مركز قوات البعثة.	0
57 - وبعد ثلاث سنوات فحسب منذ إنشائها، لا تزال قوة المفرزة الأمنية المتكاملة في مرحلة التكوين. وقد نجحت المفرزة في إثبات أنه يمكن لها أن تحدث فرقا فيما يتصل بأمن السكان المعرضين للخطر في الشرق.	1
وفي البيان أعرب الرئيس عباس أيضا عن تأييده الكامل للتدابير التي اتخذتها حكومة لبنان في الأسابيع الأخيرة لحظر حمل السلاح خارج مخيمات اللاجئين الفلسطينيين، ولوقف النقل غير المشروع للأسلحة والأفراد، ولتأكيد حقها الحصري في استخدام القوة وبسط سلطتها على جميع أراضي البلد.	0
وهذه الاتفاقيات تحظر التعذيب حظرا مطلقا، في الصراعات المسلحة الداخلية والدولية على حد سواء.	1
77 - وتشير كل الأدلة المتاحة إلى أن أعمال إطلاق النار الأولية صباح يوم 25 آذار/مارس التي كانت الشرارة التي أدت إلى انفجار الموقف قد جاءت نتيجة لأعمال منسقة من جانب قوات الأمن، مما أسفر عن مقتل أكثر من 100 من المدنيين.	1
استيراد - تصدير الأسلحة: رصد وضبط أعمال التهريب	1
وعلاوة على ذلك، فإن الجماعات المسلحة المتنقلة التي تعتمد على أعمال اللصوصية تميل إلى أن تكون أكثر وحشية في أساليبها، نظرا لتضاؤل الحافز لديها لإرساء قواعد الدعم الشعبي محليا().	1
وقال الممثل الخاص إن المكاسب التي تحققت مؤخرا على صعيد استرجاع الأراضي من تنظيم داعش تبين أن هذه الاستراتيجية، التي تحظى بدعم عسكري دولي، ما فتئت تحرز التقدم.	1
وقد شجعت الدعوات المتكررة من الجماعات لتقديم التبرعات ومزاعمها بعدم قدرتها على شن هجمات بسبب افتقارها للمال على مواصلة التركيز على إضافة ممولين إلى القائمة.	0
وردت الشرطة على النيران قبل أن تعود مسرعة إلى مقر الشرطة.	1
٦٥ - وينبغي أن تقترن خريطة الطريق لخروج البعثة بجهود مكثفة من جانب المجتمع الدولي من أجل تعزيز التعاون الإقليمي بغية تقليل التهديدات الخارجية والمخاطر التي تهدد عملية توطيد السلام في جمهورية الكونغو الديمقراطية إلى أدنى حد ممكن. ثامنا - ملاحظات	0
:: تحظى اللجنة أثناء اضطلاعها بولايتها بمساعدة المديرية التنفيذية للجنة مكافحة الإرهاب، التي تعمل بموجب التوجيهات المتعلقة بالسياسات التي تتلقاها من اللجنة بكامل هيئتها.	0
ويعرب المجلس أيضا عن قلقه إزاء استمرار ورود تقارير عن هجمات جيش الرب للمقاومة في جمهورية أفريقيا الوسطى، في مناطق تمتد غربا إلى بانغاسو، وكذلك في جمهورية الكونغو الديمقراطية.	1
وقد حدا هذا بمجلس الأمن إلى أن يقرر في قراره 1556 (2004) أن الصراع في السودان يشكل تهديدا للسلام والأمن الدوليين ولاستقرار المنطقة، وأن يطلب إلى حكومة السودان، وهو يتصرف بموجب الفصل السابع من ميثاق الأمم المتحدة، أن تفي على الفور بجميع الالتزامات التي تعهدت بها في البيان المشترك.	0
وأنشأ المجلس بقراره 1425 (2002) فريق خبراء معنيا بالصومال ثم أنشأ فريق الرصد خلفاً له في قراره 1519 (2003).	0
والهدف من هذه الجهود تحسين الأمن في المنطقة وتدعيم تحالف وادي جوبا وتحقيق المصالحة بين الجنرال "مورغان" وتحالف وادي جوبا الذين كانوا يتنازعون على أقاليم في وادي جوبا منذ عدد من السنوات.	0
ولقد أفاد الفريق المعني باستعراض التعاون الدولي التابع لفرقة العمل المعنية بالإجراءات المالية المتعلقة بغسل الأموال، في حزيران/يونيه 2009، بأن ست من دول المنطقة دون الإقليمية لديها ثغرات في مجالي مكافحة غسل الأموال ومكافحة تمويل الإرهاب.	0
24 - والاقتصاد في كل دول المنطقة دون الإقليمية اقتصاد قائم على التعامل نقدا، وهو ما يزيد من خطر حدوث تمويل للإرهاب عن طريق انتقال العملات وغيرها من السندات المالية الإسمية بصورة مادية عبر الحدود، وعن طريق التحويلات غير الرسمية للأموال والمنقولات من خلال نظم التحويلات البديلة.	1
غير أن ذلك لا يمس الاستنتاج الذي توصلت إليه اللجنة بأن حكومة السودان لم تنتهج سياسة للإبادة الجماعية في دارفور.	0
ولكننا نلاحظ أنه بدون توفر عدالة وقطاع أمني قويـين، يمكن تهديد السلام النامي والاستقرار.	0
وقد نُقل ثمانية عشر فردا أُلقي القبض عليهم في بواكي لصلتهم بالأحداث، إلى سجن مدني في كورهوغو. وفي حادث آخر وقع يوم 17 كانون الثاني/يناير، ألقي القبض على 11 فردا من بينهم اثنين من المواطنين الفرنسيين في أبيدجان، بدعوى ارتباطهــم بالسيد كوليبالي، للقيام بالتخطيط لانقلاب. وفي 30 كانون الثاني/يناير، أصدر المدعي العام في المحكمة العسكرية في أبيدجان أمر توقيف دولي ضد السيد كوليبالي، بتهمة التآمر ضد الدولة.	1
وفي تشرين الثاني/نوفمبر، بدأت الوحدة أعمال البناء لإنشاء وحدة داخل معسكر تمبكتو الجديد.	0
ومما يؤسف له أن نظام العدالة السوداني قد أثبت أنه لا يملك القدرة أو الرغبة بالنسبة للتحقيق مع مرتكبي جرائم الحرب والجرائم ضد الإنسانية في دارفور وإقامة الدعوى عليهم.	0
وفي 28 تشرين الثاني/نوفمبر 2014، أطلقت الطائرات الحربية للنظام قذيفة على معبر المياه الذي يربط قريتي البوليل والصبحة في دير الزور، فقتلت خمسة أشخاص وجرحت ستة آخرين. سيارات الإسعاف	1
وقد أوردت الشبكة السورية لحقوق الإنسان أن النظام السوري قد قتل ستة ناشطين إعلاميين خلال شهر تشرين الثاني/نوفمبر، توفي أحدهم تحت التعذيب في مركز احتجاز تابع للنظام السوري، وجرح خمسة آخرين.	1
"وفي سياق انتهاء مدة ولاية البعثة في 31 كانون الأول/ديسمبر 2010، فإن مجلس الأمن يشيد بمساهمة البعثة في ما وفرته، دون الإخلال بالمسؤولية الأساسية لحكومة تشاد، من أمن للاجئين والمشردين داخليا والعاملين في المجال الإنساني في شرق تشاد، وبجهودها من أجل تعزيز قدرة "المفرزة الأمنية المتكاملة" التابعة لتشاد.	0
وخلال هجوم الجنجويد على قرية مباراسا، غرب دارفور، في تشرين الثاني/نوفمبر 2003، اختطفت 20 فتاة وجرى اقتيادهن إلى معسكر عمار.	1
وقد نشرت بالفعل مجموعة متقدمة من هذه الكتيبة، وسرية من القوات الخاصة، في ياموسوكرو وأبيدجان.	0
11 - فبادئ ذي بدء، تأثرت الأسلحة المتاحة في سوق بكارا للأسلحة في أوائل فترة الولاية بأنشطة المراقبة التي تضطلع بها فرق العمل البحرية الأجنبية العاملة في خليج عدن.	1
وإذا كان يتعذر على قادة القاعدة بحكم القيود التي تفرضها عليهم الإجراءات الدولية، ترجمة دعم هؤلاء الأتباع إلى عنف منسق تحت سيطرتهم، فإنهم يواصلون استقطابهم، ومنهم من هم عازمون على ارتكاب أعمال إرهابية باسمهم الخاص دون أن تكون لديهم الرغبة في رؤية أعمالهم ضمن برنامج سياسي أوسع.	1
وبالإضافة إلى المدنيين اللذين أصيبا بجراح بالقرب من محطة تاسي تولو عصر يوم 28 نيسان/أبريل، هناك اثنان آخران أصيبا بجراح من جراء طلقات نارية أثناء الليل.	1
96 - عانت دول المنطقة دون الإقليمية لغرب آسيا من عدد كبير من الهجمات الإرهابية. وقد اتخذت خطوات علاجية هامة، بما في ذلك تعزيز تشريعاتها في مجال مكافحة الإرهاب.	1
ولكننا نشعر بالقلق لأن أعمال العنف يمكن أن تتسبب في بقاء جزء من السكان بعيدا عن مواقع الاقتراع في الجنوب وغيره من الأماكن.	0
وبالإضافة إلى ذلك، بينت هجمات حركة الشباب والجماعات التابعة لها التي شنتها في أوغندا وكينيا مدى اتساع نطاق عملياتها وقدرتها على التجنيد في المجتمعات الصومالية في تلك البلدان.	1
وفي بيان رئاسي (S/PRST/2004/15) معتمد في 14 أيار/مايو، أعرب المجلس عن بالغ القلق فيما يتعلق بالتقارير التي تفيد بأن عناصر تابعة للجيش الرواندي شنّت غارة داخل إقليم جمهورية الكونغو الديمقراطية، والتقارير بشأن زيادة النشاط العسكري الذي تقوم به القوات الديمقراطية لتحرير رواندا في الجزء الشرقي من جمهورية الكونغو الديمقراطية، والغارات التي تشنها تلك القوات في إقليم رواندا.	1
ويدين المجلس جميع ما تشنه الجماعات المسلحة المحلية والأجنبية من هجمات تهدد السكان والسلم والاستقرار في جمهورية أفريقيا الوسطى والمنطقة دون الإقليمية، بما في ذلك الهجومان اللذان شنهما على بيراو تجمع الوطنيين من أجل العدالة والسلام في 19 تموز/يوليه و 24 تشرين الثاني/نوفمبر.	0
وقد أشار الأمين العام، في تقريره الأخير عن حماية المدنيين في النـزاعات المسلحة (S/2012/376) إلى أنه "لم يطرأ أي تغير يذكر على الحالة المؤسفة لحماية المدنيين" وأن هناك حاجة واضحة إلى ترجمة الالتزامات المعيارية إلى تحسينات ملموسة في حماية المدنيين على أرض الواقع.	0
وإذ يعيد تأكيد التزام الدول الأعضاء بالقيام بدون تأخير بتجميد الأموال وأي أصول مالية أو موارد اقتصادية لأشخاص يرتكبون أعمالا إرهابية، أو يحاولون ارتكابها، أو يشاركون في ارتكابها أو يسهلون ارتكابها؛ أو لكيانات يمتلكها أو يتحكم فيها بصورة مباشرة أو غير مباشرة هؤلاء الأشخاص؛ أو لأشخاص وكيانات تعمل لحساب هؤلاء الأشخاص والكيانات، أو بتوجيه منهم، بما في ذلك الأموال المستمدة من الممتلكات التي يمتلكها هؤلاء الإرهابيون ومن يرتبط بهم من أشخاص وكيانات أو الأموال التي تدرها هذه الممتلكات؛	0
19 - وفي ليبيا، أدى انهيار سيطرة الدولة في أعقاب سقوط نظام القذافي في عام 2011، بالاقتران مع انعدام فعالية مراقبة الحدود وتكديس الأسلحة، إلى تطوير سوق رئيسية للأسلحة غير المشروعة في البلد، وهو ما أجج الصراع القائم في الداخل وفي منطقة الساحل الكبرى().	1
59 - ويتسم حظر السفر بفعالية خاصة ضد ممولي تنظيم القاعدة وحركة الطالبان، الذين قد يجدون صعوبة في استخدام هوية مزورة أو التملص بطرق أخرى من القيود المفروضة على تحركاتهم.	1
ولا بد أن نذكر مرة أخرى أن العنف الذي انفجر في منطقة غالي هو نتيجة منطقية لتصاعد حالة الانتهاكات الجسيمة لحقوق المواطنين المسالمين من قبل النظام الأبخازي، الذي يشجع على تهريب الأسلحة والمخدرات.	1
16 - وأثناء الفترة المشمولة بالتقرير، واجهت قوة الأمم المتحدة، في بعض المناسبات، قيوداً جديدة على حرية حركتها في منطقة عملياتها عرّضت في بعض الحالات سلامة قوات حفظ السلام التابعة للأمم المتحدة وأمنها للخطر.	1
فإرهاب تنظيم القاعدة يتألف حاليا من ثلاث مجموعات بارزة ولكنها مترابطة: الأولى، مؤلفة من القيادة القديمة التي تعرف أسماؤها جيدا؛ والثانية مكونة من المقاتلين الذين تدربوا في معسكرات أفغانستان وتخرجوا منها باعتبارهم إرهابيين محنكين؛ والثالثة مؤلفة من جيل جديد متنام من المناصرين الذين قد لا يكونوا قد غادروا بلدان إقامتهم أبدا ولكنهم اعتنقوا العناصر الأساسية لرسالة تنظيم القاعدة.	1
أما القتل المتعمد للمقاتلين المحتجزين فيشكل جريمة حرب.	1
كما درب موظفي المصرف المركزي على إجراءات الرقابة القائمة على المخاطرة في مجال مكافحة غسل الأموال وتمويل الإرهاب.	0
يهيب بكل أطراف النـزاع المسلح في [البلد المعني]، بما فيها عناصر [جماعة مسلحة بعينها]، أن تصدر أوامر واضحة تحظر العنفَ الجنسي، وكذلك يهيب بتلك الأطراف أن تقطع وتنفذ التـزاماتٍ محدّدة بشأن التحقيق في الوقت المناسب في الاعتداءات المزعومة من أجل مساءلة الجناة، بما يتفق وقرار المجلس 1960 (2010)، وأن تيسِّر لضحايا العنف الجنسي الوصول فوراً إلى الخدمات المتاحة؛	0
ولم تتخذ الحكومة الإجراءات الإدارية والتشريعية الضرورية لمكافحة وضع الفساد في المؤسسات المؤقتة.	1
ومما يثير انزعاج اللجنة الشديد أن أعمال التهجم على القرى، وقتل المدنيين، والاغتصاب، والنهب، والتشريد القسري استمرت كلها خلال فترة ولاية اللجنة. وترى اللجنة أنه ينبغي اتخاذ إجراء عاجل لوقف هذه الانتهاكات.	1
فإريتريا ظلت تنظم وتدرب فئات شتى من عناصر العصابات الإجرامية والإرهابيين وترسلهم إلى إثيوبيا ليعيثوا فسادا في بلدنا ولزعزعة الاستقرار السياسي.	1
140- وفي 14 كانون الأول/ديسمبر 2004، بدأت في نجامينا، بوساطة تشادية، محادثات بين حكومة السودان ووفد من الحركة الوطنية للإصلاح والتنمية. وفي 17 كانون الأول/ ديسمبر، وقّع الطرفان بروتوكولين، أحدهما عن الوصول الإنساني والآخر عن قضايا الأمن	0
ويشير تقرير فرقة العمل المعنية بالإجراءات المالية عن أنماط غسل الأموال وتمويل الإرهاب من خلال القطاع العقاري لعام 2008 إلى احتمال وجود خطط لتمويل الإرهاب ذات صلة بالقطاع العقاري.	0
اجتماع الخبراء بشأن اتفاقية الأسلحة البيولوجية	1
وقد كان هذا ثالث صاروخ يطلق من غزة منذ الصيف الماضي.	1
ورحّب هؤلاء القادة ببيان رئيس مجلس الأمن المؤرخ 14 تموز/يوليه 2005 وأعربوا عن دعمهم لمبادرة ممثلي الخاص، ولكنهم اغتنموا الفرصة أيضا للإعراب عن قلقهم من أن الرئيس يوسف ورئيس الوزراء جيدي قد يلجآن إلى المواجهة المسلحة معهم.	0
67 - وفي الختام، أود أن أتوجه بالشكر إلى ممثلتي الخاصة، أميرة حق، على ما أبدته من مقدرة قيادية، وإلى جميع موظفي البعثة وفريق الأمم المتحدة القطري على ما بذلوه من جهود متواصلة دعما لشعب تيمور - ليشتي في سعيه إلى النهوض بقضايا السلام والاستقرار والتنمية.	0
وأفاد لاحقا أن اللواء آصف شوكت أجبر السيد أبو عدس على تسجيل الشريط في دمشق قبل 15 يوما تقريبا من الاغتيال.	1
ولقد أدت هذه الهجمات والاستفزازات بصورة غير مباشرة إلى إعاقة سبل وصول الإغاثة الإنسانية في بعض الأحيان.	1
