ar	VerConf
19 - يشدد في هذا الصدد على أهمية الجهود التي تبذلها الدول الأعضاء من أجل بلورة سبل بديلة غير عنيفة لمنع نشوب النزاعات وتسويتها لكي يأخذ بها الأفراد المتضررون والمجتمعات المحلية المتضررة في الحد من مخاطر نشر الفكر المتطرف الذي يفضي إلى الإرهاب، وعلى أهمية إشاعة بدائل سلمية للخطاب العنيف الذي يعتنقه المقاتلون الإرهابيون الأجانب، ويشدد على الدور الذي يمكن أن يؤديه التعليم في مناهضة الخطاب الإرهابي؛	0
وعقب انتهاء المهمة الميدانية، أنشأت المفوضية كياناً معنياً بالحماية بعد انتهاء المهمة في كوناكري، وذلك لمدة ثلاثة أشهر من أجل تقديم الدعم والمشورة للأشخاص الذين يُخشى تعرّض سلامتهم للخطر، وللحيلولة دون الانتقام منهم.	0
2 - يدعو الحكومة السورية إلى أن تنفذ بشكل واضح كل الالتزامات التي وافقت على الوفاء بها في التفاهم الأولي وعلى نحو ما ينص عليه القرار 2042 (2012)، وهي (أ) وقف تحركات القوات نحو المراكز السكانية، (ب) وقف كل استخدام للأسلحة الثقيلة في تلك المراكز، (ج) إكمال سحب الحشود العسكرية في المراكز السكانية وحولها، وكذلك سحب قواتها وأسلحتها الثقيلة من المراكز السكانية لتعود إلى ثكناتها أو إلى مواقع نشر مؤقتة لتسهيل وقف مستمر لإطلاق النار؛	1
25 - يدعو جميع الدول إلى توخي المسؤولية في إدارة استخدام اليورانيوم العالي التخصيب في الأغراض المدنية، والتقليل من استخدامه إلى أدنى حد ممكن من الناحيتين التقنية والاقتصادية، بما في ذلك من خلال العمل على تحويل مفاعلات البحوث النووية وعمليات إنتاج النظائر المشعة صوب استخدام أنواع وأهداف الوقود من اليورانيوم المنخفض التخصيب؛	0
ووفقا لما تبين أعلاه، فإن هذا النهج يستفيد من فهمها المتزايد للتحديات المتواصلة لمكافحة الإرهاب، وهو فهم اكتسبته من حوارها الفعال مع الدول، بما في ذلك ضمن إطار زيارات التقييم القطرية. وتواصل المديرية التنفيذية القيام بإحالات محددة للحصول على مساعدة تقنية تلبي احتياجات محددة في الدول التي قامت بزيارتها. وهي تفعل ذلك على أساس يستهدف الجهات المانحة التي اعتبرت مستجيبة، إما لأنها مشاركة في برامج تنفذ حاليا في دولة محددة أو لأن لديها اهتماما شديدا وقدرة قوية في المجال التقني ذي الصلة.	0
ولم يحدث أبدا أن قامت حكومة جمهورية أوغندا أو قواتها المسلحة بأي محاولة علنية أو سرية للدخول لأراضي جمهورية الكونغو الديمقراطية لشن هجوم على إرهابيي جيش الرب للمقاومة.	0
107 - وفي 24 تموز/يوليه 2005، انتُهك هذا الاتفاق بسبب قيام القوات الجوية لكوت ديفوار بإعداد طائرتها طراز Mi-24P لعمليات عسكرية رداً على هجوم مزعوم على أنياما.	1
كما يؤكد أن من واجب رواندا أن تستخدم نفوذها القوي لكفالة عدم اتخاذ التجمع الكونغولي إجراءات من هذا القبيل.	1
يدعو جميع الأطراف إلى التعاون الكامل مع اللجنة الدولية المستقلة للتحقيق التي أنشأها مجلس حقوق الإنسان في [تاريخ] للتحقيق في الوقائع والظروف المحيطة بادعاءات وقوع اعتداءات وانتهاكات جسيمة لحقوق الإنسان ارتُكبت في [البلد المعني] ...، ويطلب إلى الأمين العام إحالة هذا التقرير إلى مجلس الأمن وإلى الهيئات الدولية المعنية الأخرى	0
وقدم أيضا معلومات عن الحالة الإنسانية في المناطق التي تسيطر عليها الجماعات المسلحة والتي لا يزال يسودها عدم الاستقرار، ولا سيما في إقليم لوهانسك.	0
في الواقع، إن أذربيجان نفسها تمثل انتهاكا لتلك القرارات، التي تحث الأطراف المعنية على مواصلة المفاوضات في إطار مجموعة مينسك التابعة لمنظمة الأمن والتعاون في أوروبا، وكذلك من خلال اتصالات شتى فيما بينها.	1
ويعرب المجلس عن بالغ قلقه لأن المدنيين لا يزالون يشكلون أغلبية ضحايا أعمال العنف التي ترتكبها أطراف النـزاعات المسلحة، بما فيها الاستهداف المتعمد، والاستعمال العشوائي والمفرط للقوة، واستخدام المدنيين كدروع بشرية، والعنف الجنسي والجنساني، وكذلك جميع الأعمال الأخرى التي تشكل انتهاكا للأحكام ذات الصلة من القانون الدولي الساري.	1
ويطالب المجلس بالوقف الفوري لجميع الهجمات التي يشنها جيش الرب للمقاومة، ويحثه على إطلاق سراح جميع المختطفين، وعلى نزع سلاح محاربيه وتسريحهم.	1
ويتعين عدم منح الإرهابيين وأعوانهم فرصة استغلال الثغرات القانونية في الإفلات من تبعات أفعالهم.	1
دعوة الدول والمنظمات الإقليمية ودون الإقليمية إلى تقديم المساعدة التقنية للشرطة المحلية وموظفي الجهاز القضائي والمؤسسات الإصلاحية (مثل الإرشاد ووضع التشريعات).	1
ولهذا يشكل نزع سلاح الميليشيات إحدى الأولويات، ولا سيما أثناء المرحلة السابقة للحملة الانتخابية بما تنطوي عليه من احتمال وقوع أعمال عنف ذات بواعث سياسية.	1
ولقد أدت هذه الهجمات والاستفزازات بصورة غير مباشرة إلى إعاقة سبل وصول الإغاثة الإنسانية في بعض الأحيان.	0
وما زال يتعين على بعض الدول معالجة الشواغل التي أُبديت فيما يتعلق بمدى مراعاة حقوق الإنسان لدى التعامل مع قضايا الإرهاب (مثلا، فترات الاحتجاز الاستثنائية لدى الشرطة والقيود التي تحد من إمكانيات الحصول على محام).	0
لا تزال الحالة على طول الحدود اللبنانية مع سوريا مقلقة.	1
"ويشعر مجلس اﻷمن بقلق شديد إزاء اﻻعتداءات على العاملين في مجال المساعدة اﻹنسانية، وهي اعتداءات تشكل انتهاكا لقواعد القانون الدولي.	1
وخلال هذه الفترة، أجرى الفريق تحقيقات في مواقع مستهدفة محددة، مثل مخيمات المشردين داخليا، والقرى المدمرة، كما أجرى تحقيقات مع جهات الاتصال بجيش تحرير السودان ومسؤولين حكوميين.	0
وجلب الجنجويد أيضا إلى هذا المعسكر عددا آخر من النساء من القرى المحيطة بالطويلة إثر اختطافهن عقب الهجمات التي تعرضت لها قراهن.	0
وقد أدت عملية الاستعراض إلى تأكيد أن يدرج في القائمة جميع الأفراد الذين، مع أنهم لم يُدرجوا فيها على هذا الأساس حصراً، يُعرفون بصورة رئيسية لدورهم في تقديم مبررات إيديولوجية لدى المجندين حديثاً أو لقاعدة أوسع من الجمهور للعنف المرتبط بتنظيم القاعدة. وهذا على الرغم من أن التدابير الجزائية تحدث في حد ذاتها أثراً ضئيلاً إن لم يكن منعدماً على أداتها الرئيسية ألا وهي: القدرة على الاتصال والإقناع عن طريق شبكة الإنترنت.	1
والخطر الداهم الآن هو أن تصبح أفريقيا معسكراًً لتدريب الإرهابيين وقاعدة لتجنيدهم ونقطة عبور لهم، ومركزاً لحشد الأموال لأنشطة غير مشروعة أخرى.	1
وينبغي أن تكون القوات العسكرية وقوات الشرطة أحسن استعدادا للقيام بمهام الحماية، بما في ذلك منع العنف الجنسي المرتبط بالنزاع.	0
وطلبوا أيضا إلى القوات الجديدة أن تبدأ على وجه السرعة وقبل 15 تشرين الأول/أكتوبر، وبدون شروط مسبقة، عملية التسريح ونزع السلاح وإعادة الإدماج التي وافقت عليها في اجتماع أكرا. وشددوا على ضرورة نزع سلاح كل الجماعات شبه العسكرية وجماعات المليشيات أيضا.	0
إن جمع معلومات موضوعية وموثوق بها ودقيقة في الوقت المناسب بشأن العنف الجنسي المرتبط بالنزاعات أمر حاسم لصياغة استجابات المجلس، فضلا عن تعزيز العمل بغية منع العنف الجنسي.	1
38 - ويشكل انتشار الأسلحة خارج سلطة الدولة، إلى جانب استمرار وجود ميليشيات تمتلك كميات ضخمة من السلاح مصدر قلق كبير لي في ما يتعلق باستقرار لبنان.	1
ويرى وفد توغو أن جميع هذه المسائل تتطلب اتخاذ إجراءات عاجلة لمنع سقوط منطقة الساحل في هوة انعدام الأمن تماما، والذي سيكون أمرا ضارا جدا بتنميتها.	1
إننا جميعا نشعر بالقلق البالغ إزاء تدهور الحالة الأمنية في كوت ديفوار، كما قد يكون المجلس قد شهد في البيان الذي أدليت به في وقت سابق اليوم.	1
ذلك إنه إذا لم تستطع الدول تنفيذ القرارات التي اتخذها المجلس بموجب الفصل السابع من ميثاق الأمم المتحدة دون مخالفة القوانين الخاصة بها، سيفقد المجتمع العالمي القدرة على اتخاذ إجراءات منسقة للتصدي للأخطار التي تهدد السلام والأمن الدوليين.	1
649- على أنه ينبغي لمجلس الأمن أن يتصرف لا ضد الجناة فحسب بل أيضا نيابة عن المجني عليهم.	0
ولا بد أن نذكر مرة أخرى أن العنف الذي انفجر في منطقة غالي هو نتيجة منطقية لتصاعد حالة الانتهاكات الجسيمة لحقوق المواطنين المسالمين من قبل النظام الأبخازي، الذي يشجع على تهريب الأسلحة والمخدرات.	0
ويُعزى هذا الأمر أساسا إلى أن الإرهاب ذو طابع متغير.	1
ولا تزال نيران صواريخ القسام في هذه اللحظة توجه من غزة عمداً ضد السكان المدنيين، مستهدفة المدنيين الأبرياء ومسببة لهم الرعب وهم نائمون في مخادعهم، أو جالسون في غرفهم المعيشية، أو مصطحبون أطفالهم إلى المدرسة.	1
1 - يقرر أن تتخذ جميع الدول التدابير التالية فيما يخص الأفراد والكيانات الذين جرى إدراجهم من قبل تحت اسم حركة الطالبان، وسائر المرتبطين بهم من جماعات ومؤسسات وكيانات وأفراد، على النحو المحدد في الفرع ألف ("الأفراد المرتبطون بحركة الطالبان")، والفرع باء ("الكيانات والجماعات والمؤسسات الأخرى المرتبطة بحركة الطالبان") من القائمة الموحدة للجنة المنشأة عملا بالقرار 1267 (1999) والقرار 1333 (2000)، وذلك اعتبارا من تاريخ اتخاذ هذا القرار، وكذلك سائر الأفراد والجماعات والمؤسسات والكيانات الذين يشتركون مع حركة الطالبان في تشكيل تهديد للسلام والاستقرار والأمن في أفغانستان وفقا لما تقرره اللجنة المنشأة بموجب الفقرة 30 (يشار إليها فيما بعد باسم "القائمة"):	1
وعقب المعركة الثانية للسيطرة على بايدوا، تلقى حبسادي مرة ثانية دعمها لوجستيا من حلفائه في مقديشو.	0
47 - لا تزال الجماعات المدرجة أسماؤها في القائمة والمرتبطة بتنظيم القاعدة وحركة الطالبان تجمع الأموال من خلال وسائل قانونية، من قبيل التبرعات والمؤسسات التجارية المشروعة، وكذلك بصورة غير قانونية عن طريق عمليات الخطف لطلب فدية والابتزاز والاتجار بالمخدرات وفرض الضرائب غير القانونية.	0
وإذ يؤكد الأهمية الحيوية للحوار بين اللجنة المنشأة عملا بالقرار 1267 (1999) ("اللجنة") والدول الأعضاء من أجل تنفيذ التدابير تنفيذا كاملا،	0
ويحث مجلس الأمن، في هذا الصدد، السلطات المسؤولة عن الفترة الانتقالية على اتخاذ إجراءات سريعة لمكافحة الإفلات من العقاب بفعالية وتعزيز العدالة عن طريق كفالة تقديم الجناة إلى العدالة.	0
"ويعرب مجلس الأمن عن عميق القلق إزاء حالة التوتر السائدة في ولايتي النيل الأزرق وجنوب كردفان.	1
68 - وتختلف آراء المسؤولين بشأن فعالية مواد التدريب الإرهابي المتاحة على شبكة الإنترنت إذ أن التوجيهات النظرية مهما كانت كاملة ودقيقة، فإنها تتطلب قدرا من التدريب العملي أو التجربة العملية للمساعدة في التغلب على العقبات التنفيذية().	0
ويشارك الفريق أيضا بنشاط في المنتدى العالمي لمكافحة الإرهاب.	0
وأدان أعضاء مجلس الأمن أيضا الهجمات المتواصلة التي استهدفت قوات الأمن اليمنية في حضرموت في 9 تشرين الأول/أكتوبر، وفي البيضاء في 8 تشرين الأول/أكتوبر، وكان هدفها تقويض الاستقرار في اليمن.	1
وقال رجال الشرطة إنهم يبحثون عن ''إنزا``، وسألوا الشبان عما إذا كانوا قد شاركوا في المسيرة.	0
ولا يمكننا إلا أن نعرب عن القلق على الحالة الأمنية المتدهورة في المناطق التي كانت من قبل هادئة نسبيا.	1
غير أنه من المؤسف أن ثمة أيضا العديد من الأمثلة التي تبيّن ما كانت ستسهم به آليات تقصي الحقائق في كشف الحقيقة وضمان المساءلة ومنع حدوث مزيد من الانتهاكات لحقوق الإنسان، لكن المجلس لم يتخذ عندئذ إجراءات فعالة لاعتبارات سياسية.	1
ويعكف الفريق بالفعل على إقامة الاتصال بالمكاتب الإقليمية التابعة لمكتب شؤون نزع السلاح لتحسين تبادل المعلومات (ولا سيما ما يتعلق منها بإدارة مخزونات الذخائر، التي ثبت أنها مشكلة في حالة ليبيا).	0
إننا ندين جميع الأعمال الإرهابية التي ترتكب في أفغانستان، ولا سيما أحدثها الذي ارتكب ضد السفارة الهندية في كابل، ونعرب عن تعازينا لحكومات وشعوب البلدان المتأثرة ولأسر وأقارب الضحايا.	1
١2 - يشير إلى قراره 2161 (2014) وما اقتضاه فيه من وجوب كفالة جميع الدول عدم إتاحة أي أموال أو أصول مالية أو موارد اقتصادية، بصورة مباشرة أو غير مباشرة، لفائدة تنظيم الدولة الإسلامية في العراق والشام أو جبهة النصرة أو سائر الأفراد والجماعات والمؤسسات والكيانات المرتبطة بتنظيم القاعدة، عن طريق رعاياها أو أي أشخاص موجودين في أراضيها، ويعيد تأكيد مقتضى قراره 1373 (2001) أن تحظر جميع الدول على رعاياها أو على أي أشخاص أو كيانات داخل أراضيها إتاحة أي أموال أو أصول مالية أو موارد اقتصادية أو مالية أو غير ذلك من الخدمات ذات الصلة، بصورة مباشرة أو غير مباشرة، لفائدة الأشخاص الذين يرتكبون أعمالا إرهابية أو يحاولون أو يسهلون ارتكابها أو يشاركون في ذلك، أو لفائدة الكيانات التي يمتلكها أو يتحكم فيها، بصورة مباشرة أو غير مباشرة، هؤلاء الأشخاص، أو الأشخاص والكيانات التي تعمل باسم هؤلاء الأشخاص أو بتوجيه منهم؛	1
وإذ يؤكد من جديد بيان رئيس المجلس الذي اعتُمد في جلسة المجلس المعقودة على مستوى رؤساء الدول والحكومات في 31 كانون الثاني/يناير 1992 (S/23500)، بما في ذلك ضرورة وفاء جميع الدول الأعضاء بالتزاماتها المتعلقة بالحد من التسلح ونزع السلاح، ومنع انتشار جميع أسلحة الدمار الشامل بجميع جوانبه،	0
والبعثة على يقين، استنادا إلى المواد التي اطّلعت عليها والاجتماعات التي عقدتها، بأن الصراع أحدث آثارا خطيرة في حقوق الإنسان.	0
وقد وصف سيري الفجوة الفاصلة بين التقدم المحرز في بناء الدولة الفلسطينية والجمود المستمر الراسخ على المسار السياسي بأنها موجعة للقلب.	1
وأوجز وزير العدل الجديد، في اجتماع عقد مع مكتب الأمم المتحدة المعني بالمخدرات والجريمة في 5 آب/أغسطس، الجهود التي تبذلها الحكومة الجديدة لتجديد الوحدة من أجل مواءمتها مع أهداف مبادرة ساحل غرب أفريقيا. وفي 27 تشرين الأول/ أكتوبر، اعتمد أكثر من 100 من النواب البرلمانين وممثلي الحكومة إعلانا سياسيا أكدوا فيه التزام غينيا - بيساو بدعم المبادرات الرامية إلى مكافحة الجريمة المنظمة عبر الوطنية، بما في ذلك الاتجار بالمخدرات والفساد وغسل الأموال والإرهاب. ودعوا إلى مواصلة الدعم المقدم من الأمم المتحدة لتعزيز المؤسسات الوطنية في هذا المجال.	0
(د) المواجهات المسلحة التي وقعت بين جنود قوات الدفاع وضباط الشرطة الوطنية في مقر الشرطة يوم 25 أيار/مايو، وأسفرت عن إصابات عديدة وعن مقتل أحد جنود قوات الدفاع، بوري.	1
وأخيرا، إننا نحتاج إلى إدماج مشاركة الضحايا وتعويضهم ضمن أعمال هذه المحاكم في المستقبل.	0
وشدد أيضا على خطر احتدام النـزاع مع استئناف موسم الهجرة، والانتخابات، وعدم وجود حوار.	1
بــاء - العمل الإجرامي المشترك لارتكاب جرائم دولية	0
وذلك النمط المقلق من الأنشطة يشكل مصدر قلق بالغ يهدد بإضعاف مصداقية عمليات الأمم المتحدة.	1
126 - تود اللجنة أن تؤكد أنه إذا ثبت أن الحكومة قد استخدمت المليشيات باعتبارها "تكتيكا حربيا"، حتى في الحالات التي تكون فيها الجنجويد قد تصرفت ولا يوجد دليل على تأييد الحكومة للتصرف، يجوز أن تقع على موظفي الحكومة المسؤولية الجنائية عن العمل الإجرامي المشترك لارتكاب هجمات عشوائية على المدنيين وقتل المدنيين.	0
وهناك قبول شبه إجماعي بأن مشاكل أفغانستان لا يمكن حلها بالسبل العسكرية وحدها.	0
وإن قرار إريتريا بتقييد جميع أنواع رحلات طائرات الهليكوبتر التابعة لبعثة الأمم المتحدة في إثيوبيا وإريتريا داخل المجال الجوي الإريتري، كما تم التأكيد على ذلك في هذه الإحاطات، يعرقل بشكل خطير قدرة البعثة على تنفيذ ولاية المراقبة المناطة بها، على النحو الذي طالبت به الأطراف في اتفاق وقف أعمال القتال المؤرخ 18 حزيران/يونيه 2000، وأذن به مجلس الأمن في قراريه 1312 (2000) و 1320 (2000).	1
ومن ثم يلزم تحسين سبل تبادل المعلومات وتعزيز التعاون مع دول المناطق الأخرى.	0
وإذ يشيد بالتقدم الذي أحرزته حتى الآن لجنة مكافحة الإرهاب، التي أنشأهـا مجلس الأمن، بموجب الفقرة 6 من القرار 1373 (2001) ومتصرفا بموجـب الفصـل السابع من الميثاق، في القيام بمسؤوليتها المهمة المتمثلة في رصد تنفيذ ذلك القرار،	1
ويشير المجلس إلى الأهمية التي يوليها لوضع حد للإفلات من العقاب، وإلى تقديم المسؤولين عن الجرائم المرتكبة في دارفور إلى العدالة.	1
ورفض اعتقال علي كوشيب وأحمد هارون.	1
:: حظر الاسترقاق وتجارة الرقيق بكافة أشكالهما وكذلك عدم منح أجور للقوة العاملة أو إساءة معاملتها.	1
ووجهت اللجنة الانتباه في الرسالة إلى مبدأ مسؤولية القيادة والرؤساء المنصوص عليه في القانون الجنائي الدولي، وحثت القائد الأعلى على منع وقمع الجرائم ضد الإنسانية، وضمان ملاحقة الجناة وتقديمهم إلى القضاء.	1
وقدم الذين عادوا شهادة موثوقا بها حول وجود عدد كبير من المفقودين في أماكن احتجاز غير رسمية وسرية، يرعاها جهاز الأمن في مواقع مختلفة من منطقة دارفور.	0
وفي 15 آذار/مارس 2005 تمت عمليات تفريغ سرية بمحطة تحميل الفواكه لسفن مسجلة في اليونان وبنما بدون تقديم إقرار لسلطات الجمارك والشرطة.	0
إذ يعرب عن قلقه من استمرار ورود أنباء، بما في ذلك تلك الواردة في [تقرير الأمين العام ذي الصلة]، عن الإساءات المرتكبة في مجال حقوق الإنسان وانتهاكات الدولي الإنساني، بما في ذلك ما يرتكب منها في حق النساء والأطفال، فضلا عن التقارير الواردة عن ازدياد حوادث العنف الجنسي لا سيما التي يرتكبها رجال مسلحون، وإذ يشدد على أهمية التحقيق في هذه الانتهاكات والإساءات المزعوم ارتكابها من قبل جميع الأطراف، بغض النظر عن مركزها أو انتمائها السياسي [...]، وإذ يجدد التأكيد على وجوب مساءلة المسؤولين عن تلك الانتهاكات وكفالة تقديمهم إلى العدالة بصرف النظر عن انتماءاتهم السياسية، مع احترام حقوق الأشخاص المحتجزين، وإذ [...] يحثّ الحكومة على زيادة وتسريع جهودها الرامية إلى مكافحة الإفلات من العقاب،	1
3 - يُعاقب مرتكب تلك الأفعال بالسجن مدة تصل إلى خمس عشرة سنة، مع مصادرة ممتلكاته، إذا رأت المحكمة ذلك، أو بحكم استثنائي،	1
وإذ يرحب باستمرار التقدم الذي تحرزه بوروندي في تحقيق السلام والاستقرار والتنمية، وإذ يشدد على ضرورة أن تواصل منظومة الأمم المتحدة والمجتمع الدولي، بما في ذلك المؤسسات المالية الدولية والشركاء الإنمائيون لبوروندي، دعمهما لعملية توطيد السلام وللتنمية الطويلة الأجل في بوروندي،	0
86 - وكشفت نتائج التحقيق الاسترالي ما يلي: (أ) أن المجموعة كانت متوجهة إلى جدة لقضاء مناسك الحج؛ (ب) وأنه لم يتم الكشف في أي من العينات التي جرى التقاطها عن أي متفجرات معروفة، عضوية كانت أم غير عضوية، أو بقايا ناجمة عن انفجار؛ (ج) وأنه لم يكن لأي من الأشخاص الذين استجوبتهم السلطات الأسترالية في إطار هذا التحقيق أدنى تورط أو علم بأي مشاركة في عملية اغتيال الحريري.	0
في هذا الصدد، أود أن أؤكد مرة أخرى أنه، خلافا لبعض الحالات المعروفة الأخرى التي تنطوي على مطالبات إقليمية غير مشروعة ولا أساس لها، بما في ذلك تحت الذريعة الملفقة المتمثلة في رعاية الأقليات العرقية، فإنه قد تم الاعتراف بحق شعب فلسطين في تقرير المصير وإقامة الدولة.	1
ومما يعوق تبادل المعلومات عمليا، الافتقار إلى القدرات المؤسسية والتنفيذية والتحديات اللغوية.	0
وقد حدا هذا بمجلس الأمن إلى أن يقرر في قراره 1556 (2004) أن الصراع في السودان يشكل تهديدا للسلام والأمن الدوليين ولاستقرار المنطقة، وأن يطلب إلى حكومة السودان، وهو يتصرف بموجب الفصل السابع من ميثاق الأمم المتحدة، أن تفي على الفور بجميع الالتزامات التي تعهدت بها في البيان المشترك.	1
12 - رفع عقيل العاقل دعوى في 11 أيار/مايو 2005 أمام المحكمة الفدرالية في مقاطعة كولومبيا ضد المسؤولين في وزارة العدل وفي وزارتي الخارجية والخزانة الأمريكية مدعيا أن تصنيفه كإرهابي من قبل الحكومة الأمريكية في 2 حزيران/يونيه 2004 قد شكل انتهاكا لحقوقه في إطار دستور الولايات المتحدة الأمريكية وكان العاقل وهو مواطن سعودي يقيم في السعودية يعمل رئيسا لمؤسسة الحرمين الإسلامية التي كانت تتخذ من السعودية مقرا لها حتى قامت السلطات السعودية بإغلاقها في عام 2004. وفي 6 تموز/يوليه 2004 أدرجت الأمم المتحدة اسمه في قائمتها تحت الاسم العائلي "العاقل"، إضافة إلى عدة مكاتب تابعة لمؤسسة الحرمين في إثيوبيا وأفغانستان وألبانيا وبنغلاديش وهولندا (وكانت الأمم المتحدة قد أدرجت مكاتب مؤسسة الحرمين الأخرى في قائمتها قبل وبعد ذلك الإدراج على السواء).	1
