ar_en_DEEP	MatCoop
24. On 13 March, following the adoption of Security Council resolution 2136 (2014) on 30 January, the Secretary-General appointed six individuals with expertise in the areas of arms, armed groups, customs/aviation, finance, natural resources and regional issues to serve on a Panel of Experts until February 2015 (see document S/2014/183).	1
Condemn acts of sexual violence committed in the context of and related to armed conflict and call for their immediate cessation.	0
Five of the countries have adequate measures to suppress terrorist recruitment, while four countries do not have any measures of this kind.	1
6. Building on the comprehensive review of all items on the list completed in 2010 pursuant to paragraph 25 of resolution 1822 (2008), the Committee has since implemented a large number of mechanisms to ensure that the list gives the most accurate picture possible of the threat posed by Al-Qaida, and to ensure reconsideration Periodically review each item to determine whether there is justification for keeping it on the list.	1
11 - Emphasizes that specialized international and regional organizations play an important role in building understanding of the threat of terrorism, and in facilitating international cooperation in the field of combating terrorism, especially by providing technical assistance and related assistance, upon request.	0
Although training of the Armed Forces of the Republic of the Congo and Congolese National Police units remains essential, any armed forces training program should be linked to the establishment of an effective supply chain within the army in order to ensure sustainability of efforts and continuity of investment.	1
The Russian Federation believes that priority should be given to further strengthening the international legal basis for combating terrorism, in particular by universalizing the existing anti-terrorism conventions, by having all UN member states join them.	0
âThe Council recalls its resolution 1645 (2005) and recognizes the important role of the Peacebuilding Commission in promoting and supporting an integrated and coherent approach to peacebuilding, including encouraging improved coherence and harmonization among partnersâ policies on national peacebuilding strategies and priorities. The Security Council reiterates Affirms its support for the work of the Peacebuilding Commission, and expresses its continued readiness to benefit from the Commission's advisory role and its advocacy and resource mobilization role, including through targeted advice on international and national commitment to long-term peacebuilding objectives in countries on the agenda The Commission. The Council also stresses the important role of the Peacebuilding Commission in supporting the smooth transition of mandated missions in countries on its agenda, in particular by mobilizing sustained international support for capacity needs of vital importance at the national level.	0
Efforts continued to represent minorities in all staff positions working in administrative departments.	1
40 - I also call on the leadership of Hezbollah to cease all efforts to acquire weapons and build paramilitary capabilities outside the authority of the state.	0
11 - Other investigations have been conducted or are planned by the Government or government institutions. These include an investigation by a parliamentary committee, an investigation by the Ministry of Human Rights and an investigation by the Ministry of Justice through a national committee that will soon be established.	1
12 - Refers to its resolution 2161 (2014) and its requirement that all States must ensure that no funds, financial assets or economic resources are made available, directly or indirectly, for the benefit of the Islamic State in Iraq and the Levant, the Al-Nusra Front, or other individuals, groups, institutions and entities. associated with Al-Qaeda, through its nationals or any persons present in its territories, and reaffirms the requirement of its resolution 1373 (2001) that all States prohibit their nationals or any persons or entities within their territories from making available any funds, financial assets, economic, financial or other resources of relevant services, directly or indirectly, for the benefit of persons who commit, attempt, facilitate or participate in terrorist acts, or for the benefit of entities owned or controlled, directly or indirectly, by such persons, or by persons and entities that operate In the name of or at the direction of such persons;	0
34. Despite continued United Nations advocacy activities, nine children remain in detention in detention centers in Bamako for their alleged association with armed groups in Mali, in violation of the Protocol on the Release, Reunification and Reintegration of Children Associated with Armed Forces and Groups in Mali, which Signed by the government in July 2013.	0
The fruit loading station is located next to the military loading station in an isolated part of the seaport which is why military type equipment is unloaded there.	0
89. Although States in the subregion have the necessary legislation and institutions to combat the smuggling of persons, weapons and explosives, what is lacking is the practical implementation of measures to monitor and prevent illicit cross-border movements.	0
In the same resolution, the Council also included some exceptions to the targeted measures. On 5 December 2011, the Security Council adopted resolution 2023 (2011), by which it expanded the scope of restrictive measures relating to Eritrea in the areas of âdiaspora taxationâ, the Eritrean mining sector and financial services.	1
On 5 November, the Council held consultations on the Syrian Arab Republic and heard a briefing via videoconference from Beirut by the Special Adviser to the Secretary-General, Sigrid Kaag, on the implementation of resolution 2118 (2013) and the elimination of the chemical weapons program in the Syrian Arab Republic .	1
4 - Urges the Executive Directorate to continue strengthening its role in facilitating the provision of technical assistance in the implementation of resolution 1373 (2001) with a view to increasing the capabilities of Member States to combat terrorism by meeting their needs in this area;	1
(a) Implement adopted national legislation in the field of combating terrorism, taking into account international human rights standards;	1
37. In July 2007, the Government introduced a draft law to establish a truth and reconciliation commission, which is currently being consulted with a number of interested parties.	0
Although terrorist activities are not specifically mentioned as recurring, they are certainly a matter of concern, as many of the above factors are capable of sparking terrorist acts in the region.	0
These meetings provide the Committee with valuable information on the implementation of the sanctions regime and on the threat posed by Al-Qaida and its associates, and provide a forum for intelligence and security officials in various countries to engage with each other and with the Group and exchange information.	0
Following the consultations, the President of the Council made a statement to the press, in which Council members called on the Ivorian authorities and all parties concerned to put an end to the obstacles imposed on the freedom of movement of neutral forces, and urged all parties to exercise responsibility and restraint so that the next electoral campaign could be organized in a safe atmosphere and as planned. .	0
However, the crucial element of genocidal intent appears to be missing, at least as far as central government authorities are concerned.	0
The remains of thirty-two bodies believed to be Iraqi military personnel were found, some of which bore identification badges. The remains of these bodies will be handed over to the Iraqi authorities once the necessary procedures are completed.	1
Member States are requested to limit their interventions to five minutes.	0
The Mission, together with the African Union High-Level Implementation Team and other international partners, will continue efforts to help the parties break the current stalemate.	0
In accordance with Article 3 common to the four Geneva Conventions, international humanitarian law also applies in armed conflicts that do not have an international character.	1
520 - One should not rule out the possibility that in some cases there may be individual persons, including government officials, who may have genocidal intent, in other words, to attack victims with the specific intent of, in part, annihilating a group perceived as a hostile ethnic group. ().	0
163 - The adoption of the Statute of the International Criminal Court, which was followed by the Statute of the Special Court for Sierra Leone, can be considered the culmination of a law-making process that led, within a few years, to the crystallization of a set of customary rules governing internal armed conflict and to the criminalization of serious violations of these rules (i.e. Serious violations of these rules entail individual criminal liability.)	1
States' attempts to find peaceful settlements to disputes is a never-ending process.	1
However, the Committee possesses sufficient information to prove that attacks on the life and physical integrity of detainees were committed during the incidents investigated by the Committee.	0
On December 12, 2014, 200 regime soldiers surrounded the Al-Fayd neighborhood in the city of Jableh, and no one was allowed to enter or leave the neighborhood.	0
Although former President Compaore announced later that day on the radio that he was withdrawing the draft law and declaring a state of emergency, the violent protests intensified in Ouagadougou and spread outside the capital.	0
I have the honor to transmit herewith the concept paper relating to the meeting of the Security Council on counter-terrorism on 27 September 2010 (see annex).	0
However, some leaders in Mogadishu accused the president of going to the Ethiopian region to obtain weapons and soldiers to carry out his future activities in Somalia.	0
29 - Only three countries have criminalized the financing of terrorism, while two other countries have introduced legal provisions to address this issue.	1
68. I welcome the progress made in clearing mines and explosive remnants of war in Western Sahara.	1
50. The Committee therefore decided to retain on the list the names of 45 individuals whose deaths were already indicated on the list or whose death had been reported to the Committee by at least one Member State until the necessary documentation was available.	1
Resolute action will be taken to prevent and combat gender-based violence, including sexual exploitation and abuse.	1
The continued influx of non-Syrian fighters to the front is a matter of concern, and is a common concern for a group of national authorities that have been monitoring this problem.	0
Worse still, the activities of these terrorist groups pose a serious threat to the efforts of the international communityâs peacebuilding and peacekeeping missions, as is the case in Somalia and Mali, for example.	0
(n) Monitor the implementation of the measures imposed under paragraph 1 of resolution 1807 (2008), in cooperation, as appropriate, with the Governments concerned and the group of experts established under resolution 1533 (2004), including, when necessary and without notification, inspection of aircraft cargo and any A means of transportation using ports, airports, airport runways, military bases and border crossings in North Kivu, South Kivu and Ituri;	1
12 - Convention on the Marking of Plastic Explosives for the Purpose of Detection, signed in Montreal on 1 May 1991; Ratified by the Czech Republic on 18 December 1991; It became effective on 21 June 1998.	1
(i) Expeditiously establish a United Nations radio station and strengthen United Nations information, media, awareness-raising and training activities in CÃ´te d'Ivoire, in particular matters relating to human rights, so as to encourage a climate of mutual respect and tolerance among all groups in Country;	1
Recognizing the importance of transitional justice in promoting lasting reconciliation among all the people of Burundi and welcoming the progress made in preparing for national consultations on the establishment of transitional justice mechanisms, including through the establishment of a technical follow-up committee and a forum for civil society representatives,	0
The two Governments are key partners of the Committee in its efforts to make the system more effective and risk-focused, and have presented many useful proposals and provided detailed information to the Group on the latest developments.	1
The Security Council urges the Government of the Democratic Republic of the Congo to expedite the investigation into the November 2012 mass rapes committed by members of the armed forces in Minova and to bring the perpetrators to justice.	0
Likewise, the Commission found sufficient evidence that rape and sexual violence continue to be systematically committed against women during their displacement, perpetuating feelings of insecurity among them and fear of leaving internally displaced persons sites.	0
We will work together until the day comes when Iraqi forces assume full responsibility for maintaining security and stability in Iraq.	1
13. Although most States in the subregion are known to have established counter-terrorism law enforcement units, only three States have established sufficient institutional structures and inter-agency coordination to address counter-terrorism issues.	1
Established standards for the prosecution and punishment of gender-based crimes; Trial of persons accused of the crime of genocide; Establishing rules relating to jurisprudence; Improving national capacity to prosecute perpetrators of genocide.	1
The participants committed to uniting efforts to combat the Boko Haram group, and pledged to complete the construction of the headquarters of a multinational joint force in Nigeria by November 20, and to deploy a military force within the national borders in which each country would participate with a military unit of 700 soldiers.	1
The Security Council recalls the obligations of states to respect international humanitarian law, including the four Geneva Conventions, and to work to enforce its respect, and affirms its responsibility to put an end to impunity and prosecute those responsible for genocide, crimes against humanity, and serious violations of humanitarian law.	0
This mechanism is necessary to fully investigate the fate of missing persons.	1
Regarding Africa, the Council addressed the dangerous situation on the border between Rwanda and the Democratic Republic of the Congo, reviewed the continuing political impasse in negotiations between Ethiopia and Eritrea, assessed the implementation of the arms embargo on Somalia, and strengthened efforts to revitalize the stalled political process in CÃ´te d'Ivoire.	1
These acts are mainly committed by soldiers of the Armed Forces of the Democratic Republic of the Congo and members of the police.	0
One of the tools at Statesâ disposal to achieve this goal is the United Nations Register of Conventional Arms. It contains data provided by States on international arms transfers as well as information on military stockpiles, procurement from national production, and related policies.	1
The Group is aware of 15 cases brought in five Member States, as well as before the European Court of Justice, challenging Member States' implementation of certain aspects of the sanctions.	0
42. The position paper frankly presents some of the difficulties of the situation facing the Government: âThe Army of CÃ´te d'Ivoire, in a state of self-defence, only responded to the attacks launched by the aggressors and with the aim of liberating the territory of CÃ´te d'Ivoire and ensuring the safety of persons and property.	0
For example, the Commission found that the term Janjaweed was used on numerous occasions, by victims and by members of authority, to describe specific men who were said to have led attacks on villages in which civilians were killed and where rapes were committed.	0
Adopt a participatory assessment approach to ensure that returning internally displaced women and girls participate in and influence the development of reintegration strategies and programmes; improve gender-sensitive reintegration metrics, such as constitutional reform and electoral processes; develop indicators that disaggregate data by gender.	0
However, in cases of crimes committed regularly or on a large scale, as a pattern of criminal behaviour, the responsibility of the superior becomes more serious.	0
In another case, that court once again considered the various elements of an attack directed against a civilian population to be part of the definition of crimes against humanity.	0
In its resolution 2122 (2013), the Council expressed its intention to give greater attention to issues related to women, peace and security in all the relevant thematic areas of work on its agenda, including, in particular, the protection of civilians in armed conflicts and peacebuilding in the post- Conflict, achieving and strengthening the rule of law in the context of maintaining international peace and security, peace and security in Africa, threats to international peace and security resulting from terrorist acts, and maintaining international peace and security.	1
B - Dispersal of militia elements in Ituri	0
Although the number of political prison camps and their inmates has decreased due to the death of prisoners and the release of others, the number still ranges between 80,000 and 120,000 political prisoners in four major political prison camps.	0
10. The Committee, in accordance with its mandate and in close cooperation with the Security Council committees established pursuant to resolutions 1267 (1999) and 1540 (2004), will pay particular attention to States for which information is not available regarding their implementation of resolution 1373 (2001), and will discuss how to best address this issue .	1
Over the next two days, local Somalis brought a cannon and placed it on the upper deck of the Alpha Serengeti.	0
My delegation strongly condemns these acts of violence and extends its condolences to the family of the deceased pediatrician.	0
Determining that the situation in the region continues to constitute a threat to international peace and security,	0
Welcoming the progress made by the Governments of Iraq and Kuwait towards resolving the outstanding issues between both countries, and encouraging further cooperation between them, the Security Council calls on Iraq to expeditiously fulfill its remaining obligations under the relevant Security Council resolutions under Chapter VII on the situation between Iraq and Kuwait .	1
Also, our analysis and research regarding the size and shape of the crater resulting from the explosion does not provide clear evidence as to whether the explosion occurred above or below the ground surface.	1
The authorities have confirmed that there are no Ivorian refugees or Ivorian camps in Ghana.	0
Another State established an interdepartmental working group on migration to implement measures to encourage integration, including in the areas of language skills and job training, to encourage dialogue with migrants and to monitor acts of racism, xenophobia and extremism.	1
The prison was built to provide humane and safe detention conditions in line with international human rights standards.	1
Each discharged combatant will receive a subsistence allowance of approximately US$940, of which 25 per cent will be paid upon discharge; 25 percent 45 days later; The rest after 90 days.	1
31. The allegations of the presence of armed demonstrators and elements of rebel groups prepared to attack the security forces or overthrow the President could not be independently verified, as the Commission did not receive any conclusive or reliable evidence in this regard.	0
Advocating for parties to armed conflict to adhere strictly to the provisions of applicable international humanitarian law and international human rights law relating to the protection of women and girls affected by armed conflict.	0
The mission also helps the detachment establish a reference library that includes educational materials that will help train members of the detachment in the future.	1
The Government also shares a number of concerns expressed in the report regarding, inter alia, human rights and the situation of women and children.	0
Therefore, the Register has become a tool of direct relevance to the work of the Security Council and the General Assembly on small arms and light weapons.	1
90 - Paragraph 4 of resolution 1624 (2005) emphasized that âin taking any measure to implement paragraphs 1, 2 and 3 of the resolution, States must ensure compliance with all their obligations under international law, in particular international human rights law and refugee law.â and humanitarian law.	0
Requests the Secretary-General to develop effective guidelines and strategies to strengthen the capacities of relevant United Nations peacekeeping operations, in accordance with their mandates, to protect civilians, including women and girls, from all forms of sexual violence, and to include them on a regular basis in his written reports To the Council on Conflict Situations, its observations regarding the protection of women and girls and its recommendations in this regard;	1
It is clear that these conditions represent the single greatest obstacle to stability and progress in Afghanistan and that these conditions, if allowed to persist, threaten to undo the progress made during nearly three years.	0
10 - Further requests the Working Group, established in accordance with paragraph 9, to consider the possibility of establishing an international fund to compensate victims of terrorist acts and their families, which could be financed by voluntary contributions, and which could partly consist of assets seized from terrorist organizations and their members and sponsors, and to submit its recommendations in this regard to the Council;	1
âThe Security Council notes its determination to enhance the strategic oversight of peacekeeping operations, recognizing the important role that peacekeeping operations play to protect civilians, and reaffirms its support for the efforts of the Secretary-General to review and provide enhanced planning and support to peacekeeping operations, and renews its encouragement To deepen these efforts, in partnership with troop- and police-contributing countries and other relevant stakeholders.	1
She said the partnership aims to develop a strategy to mainstream child protection into the activities of the African Union, and to institutionalize policies and procedures related to child protection in accordance with regional and international standards.	0
94. Despite recent progress, logistical, political and security constraints will make the demobilization and reintegration of the 180,000 ex-combatants planned by the end of the Comprehensive Peace Agreement period very difficult.	0
Procedures for detecting illicit cross-border transfers of cash, negotiable instruments and bearer instruments, and coordination between customs, financial intelligence units and law enforcement officers in this regard, are either non-existent or insufficient.	1
Noting with concern that terrorism continues to pose a serious threat to international peace and security, the enjoyment of human rights and the social and economic development of all Member States and undermines global stability and prosperity, and that this threat has become more widespread as terrorist acts have increased in various regions of the world, including acts committed with the motive of of intolerance or extremism, expressing its determination to address this threat and emphasizing the need to ensure that the fight against terrorism remains a priority in the International Program of Action,	0
âThe Security Council reiterates its strong condemnation of the desecration, damage and destruction of sites of sacred, historical and cultural status, especially those included in the UNESCO list of World Heritage Sites, including in the city of Timbuktu, but not limited to.	0
Accordingly, the Guidelines were transmitted to the International Labor Organization for review and possible action.	0
Funded by the United Kingdom, the Mechanism, through its three working groups on maritime strategy, legal framework and fisheries, provides support to counter-piracy focal points in the federal government and in each of the regions.	1
(c) Obstructing the freedom of movement of the United Nations Operation in CÃ´te d'Ivoire and the French forces it supports;	0
On November 8, 2014, regime forces targeted the city of Sheikh Miskin, killing five people, including two children and two women.	0
Seventh: Capacity building and support for conducting piracy trials in the region	1
Deputy Prosecutor Bensoudaâs remarks focused on the role and impact of the ICC in enhancing the investigation and prosecution of serious crimes of international concern.	1
The Security Council commends the efforts made by the League of Arab States to contribute to collective efforts aimed at settling conflicts in the Middle East through peaceful means, in addition to strengthening international responses to the changes taking place in the region, and encourages it to continue these efforts, reaffirming its strong commitment to the sovereignty, independence, unity and territorial integrity of the States of the region, and to the purposes and principles of the Charter.	0
9. Requests the Secretary-General to continue to report regularly, at least every three months, on the situation in the Democratic Republic of the Congo and on the activities of MONUC, and to provide the Security Council, with the same regularity, with specific updates on the military situation;	1
In other words, the National Committee was fully aware of serious allegations of crimes committed in Darfur.	0
The Chairman briefed the Council on the Committee's discussions at its meeting on 3 September, which focused on the mid-term report issued by the Group of Experts established pursuant to resolution 1874 (2009), on 1 August, and on the update issued by the Group of Experts on the incident report on The Democratic People's Republic of Korea launched ballistic missiles in June and July 2014, also issued on 1 August.	0
On 11 November, the Council adopted resolution 2183 (2014), with 14 votes in favor and one abstention, extending the mandate of the Multinational Stabilization Force in Bosnia and Herzegovina (EUFOR Operation Althea) for a further 12 months.	1
Thus, the Internet has become a valuable tool for terrorists due to the enormous technical and legal difficulties involved in monitoring and controlling its content.	1
These conventions absolutely prohibit torture, in both internal and international armed conflicts.	0
In May 2000, Turabi led a split from the National Congress that resulted in the creation of a new party called the Popular Congress.	1
The advantage of the team is its ability to work in cooperation with governments around the world, as well as to engage with external specialists, to establish an integrated assessment of the threat posed by Al-Qaida and its partners, and to advance a targeted, effective and fair sanctions regime.	1
28. Given the prevailing situation, I believe that the Mission continues to play an important role in stabilizing and monitoring the ceasefire in the field, and I would recommend that its mandate be extended for an additional period of six months, ending on 30 April 2006.	0
Recalling resolution 1373 (2001) of 28 September 2001, which established the Counter-Terrorism Committee, and recalling also its other resolutions relating to threats to international peace and security resulting from terrorist acts,	1
:: Providing technical assistance to draft and enforce legislation against hate speech.	1
Regional cooperation in the field of border management is constantly improving, including through joint patrols, information exchange, regional mechanisms for border control and customs cooperation.	1
This will help facilitate arrangements for the pretrial detention, trial and post-conviction treatment of high-risk criminals, in accordance with international human rights standards.	0
We cannot send a message that terrorists will be safe and be satisfied with the usual condemnations.	0
This is a decisive step towards delegating responsibility for project implementation to the local police, which further implements the principle of handing over the reins to local authorities.	1
Technical agreements have been concluded between the INTERPOL unit in Sarajevo and law enforcement agencies at the entity and state levels, enabling these police forces to directly access the INTERPOL database.	1
103 - Six States have appropriate institutional structures and inter-agency cooperation to deal with counter-terrorism issues, and another nine States have some policies and procedures in this area.	1
3 - The Committee will continue to take a more strategic and transparent approach to its work, and will seek to highlight the importance of its work within the United Nations system and the broader counter-terrorism community.	1
This inquiry point will complement the national assistance offices that the Group previously recommended that Member States establish (S/2007/132, paras. 61-64, and S/2007/677, para. 138).	1
Training courses on the issue of sexual exploitation and abuse; Establish policies and procedures on organizational aspects of victim assistance.	1
A number of training courses were organized; Established standardized implementation procedures; Promotional activities were organized emphasizing country strategies to address gender-based violence. H1. Continue to develop and fully implement codes of conduct and disciplinary procedures for all categories of United Nations staff, relevant individuals and partners to prevent and respond to sexual exploitation, strengthen monitoring mechanisms, and effectively investigate and consider cases of alleged misconduct.	1
The All Sources of Information Integration Unit subsequently consolidated and analysed the data collected. The Unit also began training infantry units on information awareness and information sharing procedures in order to enhance the flow of information within the integrated mission force.	1
At that meeting, the parties agreed to continue cooperation on issues related to the conduct of a railway survey and the return of refugees and internally displaced persons.	0
The resolution identified a number of measures that Member States were required to put in place and implement, and established the Counter-Terrorism Committee to monitor the implementation of these measures.	1
The Committee continues to monitor and assess the changing nature of the threat posed by Al-Qaida and its associates to international peace and security, and to adapt its operational approach accordingly in order to ensure an effective and efficient response to these threats.	1
34 - Transparency is a fundamental principle guiding the work and activities of the Committee, helping to strengthen confidence, encourage greater cooperation, and raise awareness among States, relevant international, regional and subregional organizations, civil society and the private sector on issues related to resolution 1540 (2004), thus facilitating the implementation of the resolution by States. 35. Transparency and media communication are closely interlinked.	0
31 - Encourages States to submit requests to remove the names of individuals whose deaths have been officially confirmed, particularly where no assets have been disclosed, and to remove the names of entities that have been reported or proven to no longer exist, while at the same time taking all measures required to ensure that The assets in the possession of these individuals or entities will be transferred to or distributed to other individuals, groups, institutions or entities listed on the Al-Qaida Sanctions List, neither now nor in the future;	1
61 - As I look to the future, I call on the parties to the peace process - the Government of Mali and the armed groups represented - to seize the opportunity of the pause in negotiations, to demonstrate their political leadership and to find the compromises necessary to reach an agreement in Algiers.	0
The Commission obtained reliable evidence of the use of Mi-8 and Mi-24 helicopters and Antonov aircraft during air attacks on villages.	0
Mission participants conducted consultations with all stakeholders in Burkina Faso with the aim of developing arrangements for the transfer of power from the military to a consensual, civilian-led transition process leading to elections and a rapid return to the constitutional order.	0
The Office for Disarmament Affairs has made efforts to sensitize potential donors in support of regional seminars and workshops organized by the Office.	1
The Syrian Network for Human Rights reported that the Syrian regime killed six media activists during the month of November, one of whom died under torture in a Syrian regime detention center, and five others were injured.	0
It strongly condemns the Taliban for launching a new attack in July 1999, just one week after the "Six Plus Two" meeting in Tashkent, despite the Council's repeated demands to stop the fighting.	0
