ar_en_TRANSFORMERS	VerCoop
At the 5303rd meeting of the Security Council, held on 10 November 2005, in connection with the Council's consideration of the item entitled "Threats to international peace and security caused by terrorist acts," the President of the Security Council made the following statement on behalf of the Council:	1
:: The prohibition of arbitrary deprivation of liberty; corporal punishment; collective punishment; and the imposition and execution of death sentences without prior trial by an ordinary court constituted in accordance with the law which guarantees all legal safeguards generally recognized as non-derogable.	0
32. Welcomes the periodic briefings by the Government of Afghanistan on the content of the List and the impact of targeted sanctions on deterring threats to peace, stability and security in Afghanistan, as well as supporting the Afghan-led reconciliation process;	1
:: Request UNMISS to support the host Government in addressing sexual violence explicitly, in disarmament, demobilization and reintegration processes, security sector reform processes and justice sector reform initiatives, and in developing and implementing concrete and time-bound action plans to combat conflict-related sexual violence.	1
"The Security Council reiterates its support for the establishment of a major group with the task of continuously mobilizing the international community, increasing consultation among key stakeholders to enhance the coordination and effectiveness of assistance to Haiti and contributing to the definition of a long-term development strategy aimed at promoting lasting peace and stability in that country.	1
The shelling damaged the mosque and nearby houses.	0
The 2008 report of the Financial Action Task Force on patterns of money-laundering and the financing of terrorism through the real estate sector indicates that there may be terrorist financing schemes related to the real estate sector.	0
No major change in the overall security situation is expected, although a slow and steady increase in crime-related incidents is expected.	0
The inhabitants of those neighbourhoods were subjected to violence and beatings by the security forces.	0
The gender perspective has been mainstreamed into coordinated responses to the prevention of armed conflict and emergencies.	0
Reaffirming the need to use all means, in conformity with the Charter of the United Nations, to combat threats to international peace and security caused by terrorist acts,	0
The exclusion of other forms of sexual abuse from the scope of the investigation has left a large number of allegations unattended.	0
I am deeply concerned that sexual violence against children will weaken the prospects for peaceful coexistence in Darfur for years to come.	0
Although threats from illegal militias in the west will remain low, for most areas of Afghanistan, these forces will continue to pose the second greatest threat to regional security, following threats related to drugs and crimes.	0
Most States do not have domestic refugee legislation and only three have ratified the 1951 Refugee Convention.	0
The Directorate will facilitate the provision of required training to customs officers, border police and financial intelligence units in the first quarter of 2014.	0
Decides hereby to establish an international tribunal solely for the purpose of prosecuting persons responsible for serious violations of international humanitarian law committed in the territory of [the State concerned] between [two dates]...	1
43. Reiterates the need to strengthen the ongoing cooperation between the Committee, the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004), as well as their respective expert groups, including, as appropriate, by enhancing the exchange of information and coordination on country visits in accordance with their respective mandates, facilitating and monitoring technical assistance and relations with international and regional organizations and agencies, as well as on other issues of concern to all three Committees, expresses its intention to provide guidance to the Committees on areas of common interest with a view to better coordinating their efforts and facilitating such cooperation, and requests the Secretary-General to make all necessary arrangements so that the groups can work as soon as possible in a common place;	0
450. There are a number of serious errors that prevent the judicial system in the Sudan from working quickly and correctly to address the attacks.	0
These positions are an indirect participation in the blinding of the positions of the Syrian Government on its territory and an irresponsible incitement to violence in all its forms, which would provide international cover for terrorist acts by armed groups against the interests of Syria and its people and Government.	0
Recalling the presidential statement of the Security Council (S/PRST/2012/17) of 4 May 2012 on threats to international peace and security caused by terrorist acts,	0
Stress the responsibility of parties to armed conflict to respect, protect and meet the basic needs of the civilian population under their effective control.	1
Within the framework of the Office of the United Nations High Commissioner for Refugees (UNHCR), the parties will further study family visits by road.	0
"The Security Council invites the Secretary-General to redouble his efforts to ensure that the monitoring and reporting mechanism is strengthened to implement resolution 1882 (2009) in order to allow for the acceleration of awareness-raising activities and the operationalization of measures to address all violations and abuses against children, inter alia, by ensuring that all relevant United Nations agencies effectively assist in the collection of accurate, objective, reliable and verifiable information on rape and other forms of sexual violence committed against children, as well as by ensuring synergies between relevant United Nations entities, both at Headquarters and at the country level, and avoiding overlapping of functions as required by resolutions 1882 (2009) and 1888 (2009).	1
The current strength of the Centre consists of 544 Forces nouvelles and national defence and security personnel, with a maximum authorized strength of 568, including mixed police units.	0
Expressing their desire to unite and promote harmony among communities in the Azawad region, with all its components;	0
Secondly, Mr. Covic expressed his concern about the quality of democracy in a place where the minority - Kosovo Serbs - risk losing to the mechanical majority vote, and I would like to say that I believe that the most important aspect of democracy that can be expected is one &apos; s participation, exercise of democratic rights and vote.	0
On 30 August 2010, SPLA established a child protection unit in Belfam, Central Equatoria State, in support of the implementation of the United Nations and SPLA action plan.	0
23. On the other hand, the Commission reaffirms its determination to continue to combat the adverse effects of climate change.	1
The Council also imposed on individuals and entities designated by the Committee an embargo on the supply, sale or transfer of arms and military equipment and related training, financial assistance and other forms of assistance.	1
(c) Facilitate capacity-building of the States of the subregion, in cooperation with the Eastern and Southern African Group against Money Laundering, to establish/strengthen financial intelligence units and develop their legislative and executive capacity to freeze funds without delay.	0
220. The Committee recommends that special measures be taken to ensure the dignity of victims and to avoid re-traumatic stress in any proceedings, whether judicial or non-judicial.	1
During my visit to Lebanon in January, I told Lebanese interlocutors, both during private and public meetings, of the serious risks that the continued presence of these militias in the country poses to the stability of the country and to internal peace.	0
The Treaty establishing the Court, the Rome Statute, entered into force on 1 July 2002.	0
Capacity-building and longer-term stabilization activities should be transferred to the country team to the extent possible in areas where it has a comparative advantage.	1
18. In Beni, both local authorities and civil society called for more effective participation of the UNOMIL force in military operations against the coalition, including through unilateral operations.	1
Ocean Without Piracy, a non-governmental organization, estimated that $3.2 billion had been spent in 2013 on combating piracy and that the international community had spent some $139 million on each attack.	0
"The Security Council recognizes that women continue to be underrepresented in formal peace processes and is deeply concerned about the continuing obstacles and challenges posed by situations such as violence against women, dilapidated economies and social structures, the absence of the rule of law, poverty, limited access to education and other resources, and various forms of discrimination and stereotyping.	0
The Group also continued to play an active role in developing measures to combat the financing of terrorism through its participation in the Financial Action Task Force on Money Laundering (FATF) plenary meetings and meetings of FATF-style regional bodies.	0
35. Decides, with a view to assisting the Committee in fulfilling its mandate, that the Monitoring Team of the 1267 Committee established pursuant to paragraph 7 of resolution 1526 (2004) shall also support the Committee for a period of 36 months, the mandate of which is contained in annex A to the present resolution, and requests the Secretary-General to make all necessary arrangements to that end;	1
Calling upon States to work together urgently to prevent and suppress acts of nuclear terrorism, including by promoting cooperation and the full implementation of relevant international conventions, and by taking appropriate measures to strengthen the existing legal framework with a view to ensuring effective accountability of those who commit crimes of nuclear terrorism;	1
"The Security Council invites the Secretary-General to continue to transmit to it relevant information and analysis whenever he considers that such information or analysis would contribute to improving his work on the protection of civilians in armed conflict and to include, on an ongoing basis and as appropriate, in his written reports to the Council on matters before it, observations relating to the protection of civilians in armed conflict.	1
82. In follow-up to Security Council resolutions on children affected by armed conflict, in particular resolution 1612 (2005), a strong partnership has been established between the United Nations and the Netherlands Organization for International Development Cooperation -- Somalia, a non-governmental organization, to initiate community-level reporting and monitoring of violations of child rights and child protection.	0
A number of detainees held by the Moroccan authorities were on hunger strike during the period from the beginning of August to 29 September.	0
Any deprivation of liberty must be carried out in accordance with article 9: deprivation of liberty must not be arbitrary; it must be in accordance with the law and the procedure established therein; information must be provided on the reasons for arrest; and a court must be allowed to decide on the detention, as well as compensation in the event of a violation.	1
(b) Prevent the entry into or transit through their territories of such individuals, provided that nothing in this paragraph shall oblige any State to deny entry into or require the departure from its territory of its nationals; and this paragraph shall not apply where entry or transit is necessary for the conduct of judicial proceedings or where the Committee established pursuant to resolution 1267 (1999) ('the Committee') determines, in a case-by-case situation-by-case situation, that entry or transit is justified;	1
The Organization for Security and Cooperation in Europe (OSCE) had not yet observed any withdrawal of heavy weapons from the line of control.	0
20. Since my report (see S/2007/619, para. 25), the Royal Moroccan Army has continued to report a large number of alleged violations of military agreement No. 1 by the Frente POLISARIO concerning the presence of persons and vehicles in the buffer strip.	0
Calls upon parties to armed conflict to undertake and implement specific commitments to combat sexual violence with specific time frames, including, inter alia, clear chain of command orders prohibiting sexual violence and the prohibition of sexual violence in codes of conduct and manuals of military operations in the field or their equivalent, and calls upon those parties to undertake and implement specific commitments to investigate alleged abuses in a timely manner to hold perpetrators accountable;	1
In its resolution 2154 (2014), adopted on 8 May 2014, the Security Council noted with deep appreciation that Captain Mbaye Diang (Senegal), who had been working in UNAMIR, had saved the lives of hundreds and perhaps thousands of Rwandans, without any weapons and in the face of serious danger, during the 1994 genocide.	1
45. The Committee reaffirms its responsibility to include the implementation of Council resolution 1624 (2005) in its dialogue with Member States and to assist in capacity-building in this regard, including through the dissemination of best legal practices and the promotion of information exchange.	1
We urgently appeal to them to increase their support for the collective initiatives that our States will take, within the framework of the Nouakchott process, to address the threat that terrorism, violent extremism and transnational organized crime pose to international peace and security.	0
Reiterating the obligation of Member States to prevent the movement of terrorists or terrorist groups, in accordance with applicable international law, including through effective border controls,	0
119. Significant resources have been invested worldwide in initiatives to promote dialogue and understanding among civilizations and to counter incitement motivated by extremism and intolerance.	0
Urge humanitarian and development organizations to take appropriate action to prevent sexual exploitation and abuse by their personnel, including conducting predeployment and field awareness training, in the case of United Nations actors, and to promote and ensure compliance with the Secretary-General &apos; s bulletin on special measures for protection from sexual exploitation and abuse (ST/SGB/2003/13), including by civilian personnel of United Nations peacekeeping operations and other relevant missions.	1
Since October 2013, Atlanta has foiled two pirate attacks and transported five suspected pirates to trial in Seychelles.	0
27. The members of the Committee noted on several occasions the complementarity of the functions of the Al-Qaida Sanctions Committee, the Committee established pursuant to resolution 1373 (2001) concerning counter-terrorism and the Committee established pursuant to resolution 1540 (2004) with regard to combating international terrorism, and the need for coordination of activities and exchange of information among the three Committees.	1
Two of the meetings attended by the Group resulted in a specific request to the United Nations Office on Drugs and Crime (UNODC) to organize reporting workshops for States from Africa and the Caribbean/Latin America, which are required to report to one or more of the three Security Council committees dealing with counter-terrorism).	1
Taken together, these challenges constitute political pressures on Governments and have a direct and serious impact on peace, security and stability in the countries concerned.	0
A senior government official who participated in the recruitment process led the Commission to the effect that tribal leaders were receiving gifts and gifts for their recruitment efforts and depending on the number of persons they were able to recruit.	0
The terrorist networks formed in the conflicts that are now taking place can pose a threat for decades to come.	0
10. Encourages all Member States to submit to the Committee established by paragraph 30 below (the "Committee") for the purpose of listing the names of individuals, groups, undertakings and entities participating, by any means, in the financing or support of the actions or activities described in paragraph 3 above;	1
Urge States, United Nations entities, regional and subregional organizations and other relevant parties to take appropriate measures to combat any illegal activities affecting children across borders and at the subregional level and any other violations or abuses committed against children in situations of armed conflict in violation of applicable international law.	0
129. Beyond the immediate scope of the sanctions measures, delegations expressed particular interest in sharing their expertise on the return of terrorists to society.	1
Takes note of the development of the human rights due diligence policy, encourages [the mission] to implement it fully, and requests the Secretary-General to include progress in the implementation of that policy in his reports to the Council;	1
22. On 9 April 2013, the Committee met with representatives of the Department of Political Affairs, the Department of Peacekeeping Operations, the Monitoring Team, the Executive Directorate of the Committee established pursuant to resolution 1373 (2001) and the Counter-Terrorism Implementation Task Force.	1
As a result of the Ebola outbreak, Guinean security institutions have shifted their efforts towards containing the outbreak.	0
2. Decides also that all States, in accordance with their national procedures, shall adopt and enforce appropriate effective laws which prohibit any non-State actor to manufacture, acquire, possess, develop, transport, transfer or use nuclear, chemical or biological weapons and their means of delivery, in particular for terrorist purposes, as well as attempts to engage in any of the foregoing activities, participate in them as an accomplice, assist or finance them;	1
Syria calls upon the United Nations and its relevant bodies to combat terrorism and prevent its financing, including the Security Council and its relevant Committee, as well as the Human Rights Council, to deny terrorists and their supporters any cover for their destructive practices in order to preserve the sovereignty and independence of States and to preserve security, peace and stability.	1
Reiterates its demand that all parties to the conflict cease all acts of sexual violence fully and immediately, and also reiterates its call upon those parties to undertake specific time-bound commitments to combat sexual violence, including, inter alia, clear orders through their chain of command prohibiting sexual violence, accountability for breaches of such orders, provision for the prohibition of sexual violence in codes of conduct and manuals of military operations on the ground or the like, and specific commitments to investigate and fulfil alleged abuses in a timely manner; further calls upon all relevant parties to armed conflict to cooperate within these obligations with the personnel of United Nations missions involved in monitoring their implementation, and calls upon the parties to appoint, as appropriate, a high-level representative responsible for ensuring the implementation of these undertakings;	0
13. The Committee reaffirms that States must ensure that any measures taken to combat terrorism comply with all their obligations under international law and adopt such measures in accordance with that law, in particular human rights law, refugee law and humanitarian law.	1
"The Security Council recognizes the support of bilateral and multilateral actors, including the African Union, the European Union, the Organization of Islamic Cooperation, the League of Arab States and subregional organizations such as the Economic Community of West African States, the Community of Sahelo-Saharan States, the Intergovernmental Authority on Development and the Arab Maghreb Union, in their efforts to combat terrorism in Africa, and calls upon the international community and the United Nations system to strengthen their cooperation with subregional counter-terrorism bodies, such as the African Centre for Studies and Research on Terrorism.	1
Opposition forces - affiliated with Mohamed Ibrahim Habsade - were able to take control of Baidoa on 26 or 27 March, or so, by defeating the militias of President Yusuf and Sheikh Madobe.	0
The Committee strongly recommends that Member States establish such national bodies to coordinate and discuss counter-terrorism issues.	1
23. East Africa had been a victim of terrorism in the past and continued to face a high level of terrorist threats owing to its continuing political instability.	0
173. The Committee notes, however, that the Office &apos; s approach and preparedness for such intervention have been deficient.	0
With regard to Burundi, the mission called on the armed groups to cease all hostilities and start ceasefire negotiations without delay.	1
In addition, the Mission is currently examining the need for a specialized reconnaissance aircraft to carry out observation and patrolling operations in border areas and coastal areas that are generally inaccessible.	0
Following its meeting on 8 September 2010, the Working Group adopted its conclusions on children and armed conflict in Colombia (see S/AC.51/2010/3).	1
"The Security Council condemns the deaths of innocent civilians and human rights violations in the eastern Democratic Republic of the Congo and calls for a full investigation into these incidents.	0
:: Highlighting the importance of the women, peace and security agenda in addressing discrimination, human rights violations and obstacles to the protection and justice of refugees, internally displaced persons and stateless women and girls at all stages of the displacement cycle	1
"The Security Council reaffirms its commitment to the protection of civilians in armed conflict and to the continued full implementation of all its previous relevant resolutions, including resolutions 1265 (1999), 1296 (2000), 1674 (2006), 1738 (2006) and 1894 (2009), as well as all its resolutions on women, peace and security, children and armed conflict, peacekeeping and all relevant statements of its President.	1
As the United Nations Support Mission in Afghanistan (UNAMA), we would be irresponsible if we did not appeal to the international community, the Government of Pakistan, the Government of Afghanistan and its national forces to end that situation, particularly on the southern border.	0
Urge relevant regional and/or subregional bodies to formulate and implement policies, activities and advocacy campaigns for children affected by armed conflict.	1
A number of participants pointed to the role that the Council could play in this area, which could go beyond the mere establishment of international reparations programmes to the extent that assets frozen under sanctions regimes were authorized to be used for reparations and possible support to national reparations programmes.	1
41. As detailed below, all available evidence suggests that the start of fire and indiscriminate killings on the morning of 25 March resulted from coordinated action by the security forces.	0
In order to expedite the approval process, States may be encouraged to submit to the Committee any available supporting evidence or documents, such as arrest warrants, existing INTERPOL bulletins, indictments or judicial decisions, or copies thereof.	0
236. The obligations imposed on States with regard to the criminalization of the financing of terrorism are set out in resolution 1373 (2001) and the 1999 International Convention for the Suppression of the Financing of Terrorism.	0
107. Journalists in C̫te d &apos; Ivoire, in particular journalists close to opposition parties, are subjected to violence, pressure and death threats.	0
These recommendations will build on lessons learned from previous engagements in Haiti, including the need for a balanced approach to strengthening police institutions, the judiciary and corrections institutions in parallel.	1
The Analytical Support and Sanctions Monitoring Team established pursuant to Security Council resolution 1526 (2004) concerning Al-Qaida and the Taliban and associated individuals and entities, whose mandate was extended by Security Council resolutions 1617 (2005) and 1735 (2006), has the honour to transmit to you its seventh report in accordance with resolution 1735 (2006).	1
15. Pro-Government militias have played an important role in the Government &apos; s efforts to establish security in C̫te d &apos; Ivoire, particularly in the west of the country.	0
21. In mid-November, the armed confrontation between the Serbian security forces and the so-called Presevo, Medveda and Yujano Vak Liberation Army escalated in the ground safety zone.	0
Many of the documented crimes alleged to have been committed in Darfur are widespread and systematic and meet all the minimum requirements of the Rome Statute.	0
(e) The inaugural meeting of the International Contact Group on Libya, to be held in Addis Ababa on 3 December 2014, and the Heads of State supported the efforts of neighbouring States and the Special Representative of the Secretary-General in Libya to create the conditions for dialogue among all Libyan parties, with the exception of known terrorist groups.	1
Uganda values peace and believes that the current instability in the Great Lakes region is a disincentive to development.	1
At the request of the Central Bank of Somalia, the Office prepared a draft regulation against money-laundering and the financing of terrorism, which was submitted to the Bank in August 2014.	0
The Mission did not receive accurate information on the number of persons detained by the security forces.	0
Given that some tribes do not have traditional lands allocated to them, and with the growing conflict over natural resources, there has been a systematic attempt to evict tribes perceived as "unsavory" from their lands.	0
The vast majority of land border police stations lack the tools and equipment to perform their tasks and national border control agencies do not cooperate sufficiently with each other or with their counterparts in neighbouring States.	0
UNAMIR is discussing with some leaders of Rwandan combatants and with the Transitional Government the technical modalities for repatriation, and MONUC has published the decision of the Rwandan Government not to prosecute any returning combatants who were 14 years old or younger at the time of the 1994 genocide.	1
Those who returned provided credible testimony about the presence of a large number of missing persons in unofficial and secret places of detention, sponsored by the Security Service at various locations in the Darfur region.	0
24. In paragraph 7 of its resolution 1535 (2004), the Security Council emphasized that, in order to ensure that the Committee continued to function effectively during the process of transforming its support structure into an executive body, the Committee would continue to operate using its current support structure until the Committee, in consultation with the Secretary-General, decided that the Executive Body was operational.	1
Furthermore, the Organization of Islamic Cooperation stresses the need for the Security Council to assume its responsibility for the maintenance of international peace and security and to immediately implement its resolutions in this regard in order to achieve a just, lasting and peaceful solution to this tragic and long-standing conflict and to realize the inalienable rights of the Palestinian people.	1
Calling upon the international community, in particular the countries of the region and Iraq &apos; s neighbours, to support the Iraqi people in their endeavours to achieve peace, stability, security, democracy and prosperity, welcoming the expanded conferences of Iraq &apos; s neighbours held in Sharm el-Sheikh, Istanbul and Kuwait, their role in supporting the efforts of the Government of Iraq to achieve security and stability in Iraq and their positive results for regional and global peace and security, welcoming also the agreement of the expanded conference of Iraq &apos; s neighbours held in Kuwait on 22 April 2008 on the terms of reference of the support mechanism, and noting that the successful implementation of this resolution will contribute to regional stability,	1
Owing to the lack of infrastructure in the country, a mechanism may need to be provided to facilitate the management and distribution of such support.	1
44. With regard to the reunification of the two forces, the Chiefs of Staff of the Defence and Security Forces and the Forces nouvelles informed the assessment mission that they had prepared a proposal for the formation of a unified transitional army consisting of units that would be responsible for providing security for the electoral process.	0
:: Regional and subregional organizations must contribute to an integrated approach to combating terrorism.	0
For example, in October and December 2003, JEM launched an attack on Kulbus in Western Darfur as described above, looting shops on the market.	0
We are also concerned about the re-emergence of cholera, although the mortality rate appears to be declining slowly.	0
In closed consultations that followed, the Special Representative and the Special Envoy addressed some issues related to security sector reform and the establishment of a rapid reaction force within FARDC, the electoral process and the general elections.	0
85. The armed forces also have an Operations Unit called Border Intelligence, whose primary role is to gather information.	0
The ability to freeze funds and assets associated with terrorism is often inadequate and limited in all States.	0
As discussed above, the Commission has collected substantial and reliable material that tends to show that there have been large-scale systematic killings of civilians belonging to specific tribes, causing serious physical and mental harm to members of the population belonging to certain tribes, severely and deliberately striking the living conditions of these tribes and thus causing their physical destruction in whole or in part (for example, by systematically destroying their villages and crops, expelling them from their homes and looting their livestock).	0
The Security Council adopted its resolution 2042 (2012) on 14 April 2012, which took note of the Syrian Government &apos; s commitment to the plan of the United Nations Special Envoy, Mr. Annan, and stressed the need for its prompt, comprehensive and immediate implementation in all its components. It also called on all parties in Syria, including the opposition, to immediately cease armed violence in all its forms. It also expressed the intention to immediately establish, after consultation between the Secretary-General and the Syrian Government, a United Nations observer mission in Syria to monitor the cessation of armed violence in all its forms by all parties.	0
Many States have also moved to strengthen the role and effectiveness of their judicial organs, which are essential to ensuring that terrorist threats are addressed in a rule of law manner.	0
During the meeting, the parties supported, in principle, UNHCR &apos; s approach to the return of refugees and internally displaced persons and the activities planned for the next two years.	1
Humanitarian access constraints that have the greatest impact on people in need include restrictions on the movement of humanitarian workers or goods (including physical and bureaucratic barriers); lack of mechanisms agreed upon with the parties to the conflict for the delivery of assistance during hostilities; interference with deliveries of humanitarian assistance, including demand for payment; and violence against humanitarian workers, including physical attacks on humanitarian workers and convoys.	0
At the same time, the threat posed by the Taliban has been renewed.	0
I urge Lebanese leaders to resume and accelerate their discussions on the development of a national defence strategy and to make concrete progress in that regard; the final outcome of this process must be that there will be no weapons without the consent of the Government of Lebanon and no authority other than that of the Government of Lebanon.	0
Stressing the importance of capacity-building of the [Government] security forces, reaffirming in this regard the importance of the restructuring, training, equipping and retention of [national] security forces, which are critical to the long-term stability and security of [the country concerned], expressing its support for ongoing [international] capacity-building programmes, and stressing the importance of more coordinated and sustained support from the international community in a timely manner,	1
Uganda &apos; s only concern and unequivocal demand remains that LRA terrorists be immediately disarmed, arrested and brought to justice.	0
It also encourages continued cooperation between Member States, the Office for the Coordination of Humanitarian Affairs, the Department of Political Affairs, the Department of Peacekeeping Operations, the Office of the United Nations High Commissioner for Refugees, the United Nations Relief and Works Agency for Palestine Refugees in the Near East, the Office of the United Nations High Commissioner for Human Rights, the United Nations Development Programme and other relevant United Nations agencies and offices.	1
In order to implement the ninth programme of work more effectively and in order to guide the work of the experts more clearly and effectively, the Committee will work on a working group system open to all members of the Committee established pursuant to resolution 1540 (2004). The working groups will focus on important and recurring issues.	1
The application of these prohibitions has also benefited from the misperception of the targeted persons, making them more vulnerable to identification and less inclined to travel with a false identity.	0
In this regard, it should be noted that the WAEMU Uniform Act on Combating the Financing of Terrorism provides for the freezing of financial assets belonging to terrorists under administrative procedures.	0
12. Calls upon States to act vigorously and decisively to stem flows of funds, other financial assets and economic resources to individuals and entities on the Al-Qaida Sanctions List, as requested in paragraph 1 (a), taking into account the relevant recommendations of the Financial Action Task Force on Money Laundering, international standards designed to prevent the misuse of non-profit organizations, alternative/informal systems used for the transfer of funds, and in-kind cross-border movement of currencies, while at the same time mitigating the impact of legitimate activities through these means;	1
Calling upon all States to work together urgently to prevent and eliminate terrorist acts, including through increased cooperation and full implementation of the relevant international conventions on terrorism,	1
78. The Sudanese Armed Forces are conventional armed forces whose mission is to protect and maintain internal security.	1
It urges the State party to redouble its efforts to provide security for the civilian population on its territory, including foreigners granted asylum.	1
Reiterates the importance of the full, sequential, coordinated and timely implementation of all relevant [national] institutions and other actors [national justice programmes] in order to accelerate the establishment of a fair and transparent justice system, end impunity and contribute to the establishment of the rule of law throughout the country;	1
The first, caused in a continuing humanitarian emergency, also threatened peace and stability in Haiti.	0
Other measures contribute to this polarization among the two groups, including the 1987-1989 conflict over access to pastoral lands and water sources, between Bedouins of Arab origin and the settled Fur tribe.	0
Calling upon States to ensure, consistent with international law, in particular international human rights and refugee law, that refugee status is not abused by those who commit, organize or facilitate terrorist acts, including foreign terrorist fighters,	1
24. The mid-term review of the Joint Vision Strategy was completed in September 2011, following consultations with the Government, which highlighted the contribution of the United Nations family to the implementation of the Government &apos; s Agenda for Change and provided guidance towards a programmatic approach that allows for greater synergy and flexibility in United Nations activities.	1
106. UNOCI also agreed on 21 February 2005 to allow FACI to conduct two ground tests of engines and systems, for one hour on the last Wednesday of each month, of its Mi-24P (TU-VHO) aircraft, which would not be armed and would be outside its hangar at the Abidjan airbase, under the control of UNOCI.	1
(c) Encourage States to increase the exchange of information among border control authorities at the regional level and to strengthen border security at entry points to prevent the illicit cross-border movement of persons, goods and weapons/explosives.	1
Disarmament, demobilization, resettlement or repatriation, as appropriate, and permanent reintegration of [national] and foreign armed groups in order to achieve long-term stability in [the affected country], as well as the important contribution of international partners in this area.	1
Many States are also investing in social programmes to improve understanding and prevent radicalization and potential recruitment of terrorists, and to some extent have engaged in counter-terrorism dialogue.	1
For example, in the case of genocide, a person who intends to kill a group of individuals belonging to a protected group with the specific intent of destroying the group (in whole or in part) may be motivated by the desire to take away the property of that group or group of individuals, or by the desire to retaliate against earlier attacks by members of that group, or by the desire to satisfy its superiors who despise the group.	0
5. Requests the Monitoring Team to report to the Committee established pursuant to resolution 1267 (1999), including through briefings by experts of the Monitoring Mechanism, on the work of the Monitoring Mechanism set out in paragraph 3 above, and also requests the Sanctions Enforcement Support Team to submit at least one report per month to the Monitoring Team;	1
On objective grounds, the national judicial authorities make one or both of the following arguments to rebut claims for compensation: first, the right to reparation as contained in international humanitarian law is not self-executing, and only the victim &apos; s home State has this right directly); and secondly, there is a peace agreement that prevents individual claims.	0
Deeply concerned at the frequency of acts of violence in many parts of the world against journalists, media personnel and associated individuals in armed conflict, in particular deliberate attacks against them in violation of international humanitarian law,	0
Determining that the situation in the region continues to constitute a threat to international peace and security,	0
They do all of these things, and they then seek protection and security and put it as a mask for blackmail and further concessions.	0
"The Security Council recalls its resolutions and the statements of its President on post-conflict peacebuilding, in particular statements S/PRST/2009/23, S/PRST/2010/20, S/PRST/2011/2 and S/PRST/2011/4, and reaffirms the crucial importance of peacebuilding as a basis for sustained peace and development in the aftermath of conflict.	1
In order to help ensure the financial viability and sustainability of local police, the Mission has made progress in developing local capacity on salary scales, budget planning for organizational units, revised costs for maintenance of premises, rationalization of the use of police equipment, inventory control and payroll, and implementation and management of the general budget.	0
We would also like to express our concern that the recurrence of such incidents could lead to an unstable situation in the region, which makes it difficult to achieve a peaceful solution to the Kosovo situation, acceptable to both parties.	0
"The Security Council stresses the importance of a coordinated international response to the causes of conflict, recognizes the need for effective long-term strategies and stresses the need for all United Nations organs and agencies to pursue preventive strategies and to move within their areas of competence to assist Member States and regional and subregional organizations in eradicating poverty, strengthening cooperation and development assistance and promoting respect for human rights and fundamental freedoms.	1
