ar_en_GOOGLE	MatConf
In this context, it was pointed out that, in addition to making a decisive contribution to efforts to combat impunity in their own right, the Council&#39;s establishment of the two ad hoc tribunals also had a catalytic effect at the national level: the presence and work of the International Tribunal for the Former Yugoslavia had encouraged the establishment of national tribunals to try perpetrators of war crimes in Bosnia and Herzegovina, Serbia and Croatia; The presence and work of the International Criminal Tribunal for Rwanda has also created significant pressure on Rwanda to reform its judicial system.	0
âThe Security Council considered the issue of the protection of civilians in armed conflict.	0
However, the sanctions regime does not explicitly target this crucial aspect of military capabilities, although it is broadly covered by existing arms export and control regimes adopted by Member States and multilateral institutions.	1
144. Although the Committee is aware that the Commander of the Defense Force was facing a mass strike of personnel and the need to maintain discipline in the force, it notes significant discrepancies between the actions he took and those required by law. The Defense Force Commander announced to the public on 16 March that the petitioners should be considered civilians starting from 1 March. The Defense Force delegated the provision of legal advice to the internationally appointed Legal Adviser of the Council of Ministers. There was no legal advisor within the Defense Forces or the Ministry.	0
On the eve of the demonstration, the Commander-in-Chief of the National Police of Timor-Leste, Martins, issued a written order regarding the deployment of the National Police and the use of force. This included the use of Dili district police for foot patrols, a close protection unit to protect senior state officials, and a reserve police unit to patrol âcritical areas.â	0
The Justice and Equality Movement noted that the fact that no Arab women were raped and that no Arab village was destroyed constituted evidence that the government was specifically targeting African tribes.	1
Except in cases where an individual is caught red-handed committing a crime, law enforcement officials must serve a warrant for the person&#39;s arrest or detention.	1
Otherwise, there have been only minor security incidents that had a direct impact on the election process since voter registration began on April 25. These included incidents related to long lines at registration centers, simple attacks on members of the guards working in the elections, and the theft and destruction of equipment.	1
Two armed helicopters and an Antonov plane were used in the attack, possibly for reconnaissance purposes.	1
Urging States, United Nations entities, regional and subregional organizations and other concerned parties to take appropriate measures to combat any illegal activities that harm children across borders and at the subregional level and any other violations or acts of abuse committed against children in situations of armed conflict in violation of applicable international law.	0
6. Decides, in order to assist the Committee in carrying out its mandate, to establish an 18-month analytical support and sanctions monitoring team, based in New York (referred to below as the âMonitoring Teamâ), which will operate under the guidance of the Committee and be entrusted with the responsibilities set out in the annex to the present resolution;	0
(a) If the act mentioned in Paragraph 1 above results in the death of a person or serious bodily harm to more than one person;	1
Of particular concern is the alleged pattern of serious misconduct by Haitian National Police officers, including their alleged involvement in the summary execution of at least nine individuals on 20 August during a football match in the Martissant district of Port-au-Prince. .	1
(f) To cooperate with other relevant sanctions committees of the Security Council and with the committee established pursuant to paragraph 6 of its resolution 1373 (2001);	0
Terrorist and other non-State armed groups with access to transnational crime markets may have less incentive to exit a conflict situation and enter into a political settlement.	1
(b) To receive from individuals on the list requests for exception to the measures set forth in Paragraph 1 (b) of this decision and to refer them to the Committee to determine, on a case-by-case basis, whether entry or transit is justified, and to advise the Committee to consider such matters. Requests in consultation with the transit and destination States and any other concerned States. It is also decided that the Committee will not agree to the exception to the measures stipulated in Paragraph 1 (b) of this decision except with the approval of the transit and destination States. It also indicates that the Committee should notify, through the coordination center, Those individuals by decision of the committee;	0
65. Major Reinado and 11 of his men arrived in the area from Ilo that morning, accompanied by civilians and 10 reserve unit officers armed with automatic rifles.	1
The intentional killing of detained fighters constitutes a war crime.	1
Reaffirming the Statement of the President of the Council adopted at the Council meeting held at the level of Heads of State and Government on 31 January 1992 (S/23500), including the need for all Member States to fulfill their arms control and disarmament obligations, and to prevent the proliferation of all weapons of mass destruction in all its aspects,	0
32 - Welcomes the periodic briefings provided by the Government of Afghanistan on the content of the list and the impact of targeted sanctions in deterring threats to peace, stability and security in Afghanistan, as well as support for the Afghan-led reconciliation process;	0
11. In the same informal consultations, the Committee heard, in a video conference, a briefing by, at its request, two representatives of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo, which addressed the Missionâs mandate with regard to sanctions monitoring and, in particular, the tracing and marking of weapons.	0
In North Darfur, which has the smallest population among the three Darfur states, the population affected by the conflict is estimated at 200,685 people, including 403,000 displaced persons.	1
Adoption of a presidential statement calling, inter alia, for a reaffirmation of international solidarity in the fight against terrorism, and urging Member States to show greater resolve in their efforts to combat terrorism.	0
In this regard, we request that every effort be made to ensure that these meetings are held every two months, as agreed, and that the heads of the intelligence and security services, as much as possible, participate in them in person. We urge all stakeholders, including the African Center for Studies and Research on Terrorism, the Sahel Integration and Liaison Unit and the African Intelligence and Security Services Committee, in close cooperation with the African Union Commission, to continue and intensify their efforts to exchange views and assist, as well as to implement the outstanding aspects of Practical conclusions reached by the meeting of heads of intelligence and security services.	0
These armed groups are involved in criminal activities, including illegal exploitation of natural resources, trafficking in arms and ammunition, smuggling, and the imposition of illegal taxes.	1
Emphasizes that all parties and armed groups in [the affected country] have the responsibility to take appropriate steps to protect the civilian population of the country, consistent with international humanitarian law and international laws relating to human rights and international refugees, in particular, by avoiding indiscriminate attacks on populated areas or excessive use For strength in it.	0
Imbalances in overall voter registration rates between regions should constitute a serious warning in this regard.	0
Member States noted that sites promoting terrorism in one country are invariably located in another country.	0
However, further steps are needed to criminalize the illicit manufacture, possession and trade of small arms, light weapons and explosives.	1
The absence of state authority also led to the formation of local self-defense groups whose goal is to protect local communities from armed groups, which in themselves have often become a source of conflict.	1
(b) The lack of effective measures to prevent rape of Ethiopian women and girls;	1
Criticism of the work of the Council and the Committee in this area has the potential to undermine the entire Al-Qaida and Taliban sanctions regime, but it should not undermine the global support the regime has enjoyed to date.	1
The Council should integrate emerging good practices related to countering violent extremism in its response to the threat of foreign terrorist fighters and encourage the allocation of resources to these efforts.	0
70. Within the framework of the Working Group on Combating the Financing of Terrorism of the Counter-Terrorism Implementation Committee and its global initiative on protecting non-profit organizations from being exploited by terrorism, the Directorate organized a regional workshop for Member States from East Africa, in Nairobi in March. March 2012. The workshop discussed national practices and identified oversight shortcomings in the non-profit sector with regard to specific terrorist financing risks.	0
The mission discussed with some Rwandan combat leaders and with the transitional government the technical modalities for repatriation, and the mission published the decision taken by the Rwandan government not to prosecute any returning combatant who was 14 years old or younger at the time of the genocide in 1994.	0
âThe Security Council welcomes the significant reduction in the number of successful piracy-related attacks in various regions resulting from the adoption of effective measures to combat piracy by doubling national, bilateral and multilateral initiatives, as well as regional cooperation mechanisms, and recognizes the necessity of continuing these efforts and implementing these measures to combat piracy, since These gains can be lost as long as conditions on land are conducive to piracy at sea.	0
20 - With regard to Lebanon&#39;s borders with the Syrian Arab Republic, reports continue to arrive of illicit arms transfers, which are now allegedly occurring in both directions. Many Member States continued to express deep concern about the illegal transfer of arms across land borders.	1
A September 2005 study of foreign-born terrorists who worked in the United States found that about two-thirds of them engaged in fraud to enter or remain in the country, and more than a third were later charged with forging a passport or visa or providing incorrect information to an immigration officer. ().	1
The ambassador noted that the Council also has an important role in promoting accountability for these crimes and other violations of international humanitarian law and international human rights law.	1
During the discussions, and in light of the change in leadership on both sides over the past two years, the two parties agreed on the need to reaffirm their commitment not to resume hostilities and to the return of internally displaced persons and refugees in safety and dignity, provided that this is done in the first phase to the Gali region within its old borders, as was confirmed It was stated in the Yalta Declaration for the Georgian and Abkhaz sides (see S/2001/242, annex, and S/2001/401, para. 6).	0
The country is now enduring terrible violations generated by the war.	1
3 - Commercial dual-use systems are produced for civilian purposes but can also be used in terrorist attacks.	1
It has adopted presidential statements on children and armed conflict (S/PRST/2002/12), East Timor (S/PRST/2002/13), elections in Sierra Leone (S/PRST/2002/14), and admission of new members (S/PRST /2002/15), Kosovo (S/PRST/2002/16), the Democratic Republic of the Congo (S/PRST/2002/17), and the United Nations Disengagement Observer Force (S/PRST/2002/18).	0
Militant groups may refocus their efforts on their own countries or on other countries if Afghanistan becomes less attractive in terms of their goals.	1
121 - The âJanjaweedâ to whom most of the victims in the ongoing conflict refer are Arab militias that raid the villages of these victims riding horses or camels, killing, looting, burning and raping.	1
However, Iraq still faces terrorist forces that include foreign elements carrying out horrific terrorist attacks and acts in an attempt to obstruct Iraq&#39;s political and economic development.	1
104 - However, organizing commonly available materials that a trained terrorist could use to manufacture an explosive device is a more difficult task.	1
The Commission received reliable information that these persons had been tortured and subjected to cruel, inhuman and degrading treatment.	1
34. Despite continued United Nations advocacy activities, nine children remain in detention in detention centers in Bamako for their alleged association with armed groups in Mali, in violation of the Protocol on the Release, Reunification and Reintegration of Children Associated with Armed Forces and Groups in Mali, which Signed by the government in July 2013.	1
It also urges all Member States, in coordination with international financial institutions and United Nations agencies, to increase their support to address the growing impacts of the refugee crisis in host countries at the political, social, economic and financial levels.	0
Decides to apply to the following individuals, and to the following entities, as appropriate, and as determined by the Committee: ... (e) individuals or entities operating in [the country concerned] who Commit grave violations involving the targeting of children or women in situations of armed conflict, including killing, maiming, sexual violence, abduction and forced displacement;	1
160. The Minister of the Interior, as stated in paragraphs 89 to 94 above, armed civilians, some of whom were later alleged to have unlawfully participated in the commission of criminal acts.	1
64. Another worrying development is the continued asymmetric attacks on United Nations peacekeeping personnel, in addition to assassinations and kidnappings targeting civilians.	1
Mandate the establishment and local adaptation of appropriate truth-finding and reconciliation mechanisms (such as technical assistance, financing and reintegration of civilians into local communities).	0
These attacks and provocations have indirectly impeded access to humanitarian relief at times.	1
- That terrorism in all its forms and manifestations constitutes one of the most serious threats to peace and security.	0
Despite the implementation of this ban through tightened border controls, citizens still risk fleeing, mainly to China.	1
3 - Over the past six months, the worsening crisis taking place in the Syrian Arab Republic has continued to affect Lebanon in a way that intensifies political polarization and concern that the unrest taking place in the Syrian Arab Republic will have negative repercussions on Lebanonâs stability.	1
The possibility of the organization carrying out attacks at the international level still exists, but the impact of its activities has so far been mainly limited to Yemen.	1
During the past year, as a result of the intensification of military operations against armed groups, MONUC increased its logistical support to the Congolese armed forces by 226 per cent.	1
This includes those detained by the National Security and Intelligence Services in a secret detention facility in Khartoum, which the Commission discovered and inspected.	1
Civilians often find themselves in dire circumstances in places where a peacekeeping operation has not been established. These situations may require the Council&#39;s urgent attention.	1
Capacity-building and longer-term stabilization activities should be transferred to the country team as much as possible in areas where it has a comparative advantage.	0
In this regard, the continued mainstreaming of child protection into the advocacy activities of these organizations and arrangements and in their policies, programs and mission planning processes, the training of staff and the involvement of child protection personnel in their peacekeeping and field operations, and the establishment of child protection mechanisms within their secretariats, including through the appointment of Focal points for child protection affairs.	0
Law enforcement expertise will be focused within a dedicated, independent task force.	0
485 - It is disappointing that the committees limited themselves to the crime of rape, and did not address cases in which other forms of sexual assault occurred, including attempted rape.	1
97 - It has been noted that, in some cases, national security and law enforcement forces may have conducted investigations and taken counter-terrorism measures in isolation from human rights considerations, compared to ordinary criminal policing situations, due to the urgency and specificity of terrorist threats, which is This results in major gaps.	1
Of the 17 defendants accused of their involvement in the attack on the Prime Minister, 13 were sentenced to nine years and four months in prison while one defendant was sentenced to ten years and eight months in prison. On 14 June, the Court of Appeal confirmed these rulings.	1
The Security Council urges all parties to any armed conflict, including non-state parties, to end such practices.	0
The bodies of five people believed to be Mr. Coulibaly&#39;s supporters, bearing marks of bullet wounds and torture, have been kept in the BouakÃ© morgue since late December, pending the results of criminal investigations.	1
10. On 7 September, the High-level Working Group between the Government of Chad and the United Nations held its third meeting to assess the situation on the ground with regard to the protection of civilians and the implementation of the measures adopted by the Government in order to implement the tasks contained in paragraph 4 of resolution 1923 (2010).	0
Calling for strict compliance by parties to armed conflict with the provisions of international humanitarian law, international human rights law and refugee law, including with regard to the following points:	0
C. Cooperation with the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004)	0
43. The Security Council and its sanctions monitoring groups have sought to strengthen the monitoring of exceptions to the arms embargo in effect in the Democratic Republic of the Congo and Liberia.	0
38 - Several countries in the Asian region provided active support for the development of counter content, including for use via the Internet to refute the intellectual and religious defects on which terrorist ideologies are based.	0
On 18 July 2011, the Council held a special session with troop- and police-contributing countries to the African Union-United Nations Hybrid Operation in Darfur.	0
This resulted in the displacement of more than 1,000 civilians. The police did not take any action against the Janjaweed.	1
The victims were buried several days after the attack in the areas surrounding Kalbus.	1
:: February 14, 2005, Rafik Hariri and 22 others were killed in a huge explosion off the waterfront in central Beirut.	1
24. The Committee, with the assistance of its Executive Directorate, has arranged special events with Member States and international and regional organizations on a number of topical issues of common concern, including combating terrorism through the use of new communications and information technologies.	0
An examination of the threat posed by terrorist groups on the African continent reveals a deeply disturbing reality, as political, religious and ideological extremism and organized crime come together in one glance, whether rightly or wrongly.	0
But we are concerned about reports of increasing tension between the ruling parties and the opposition parties.	0
The objectives of the meeting were to launch a dialogue with the private sector. Achieving a better understanding of the challenges faced by the financial community in implementing the sanctions regime; Identify ways to make compliance simpler, more cost-effective and efficient, and generate ideas for improvement.	0
âStressing that peace and security in the world are an indivisible whole, and taking into account the interconnectedness and interdependence of the world, the Security Council reaffirms that terrorism in all its forms and manifestations represents one of the gravest threats to international peace and security and that any acts of terrorism They are criminal acts and cannot be justified, regardless of their motives, wherever and by whomever they are committed.	0
4 - Groups affiliated with Al-Qaeda emerge, mostly independently, with generational, geographical, ethnic, structural and operational changes.	1
Many of these countries have not reviewed the non-profit sector for risks related to terrorist financing, but the United Kingdom, in particular, has put in place mechanisms to assess and protect this sector, as well as through the Charity Commissionâs international programme, which seeks to secure Communicate operations internationally and help build capacity in other parts of the world.	0
This has increased the likelihood that the arms embargo will be used as part of an effective post-conflict peacebuilding strategy.	1
All seven countries implement measures to prevent the smuggling of weapons and explosives only partially.	0
It is said that many villages were attacked more than once until they were completely destroyed.	1
For example, in 2009, Tunisia amended Law No. 2003-75 to criminalize incitement to commit terrorist acts, thus separating âincitement to hatredâ and âreligious fanaticismâ from terrorist crimes.	0
An additional problem was that the government did not appear to have sufficient military resources given that many of its forces were still present in the south and those in Darfur were mainly distributed among the main urban centres.	1
42. Al-Qaida, its affiliated organizations and individual financiers associated with them continue to exploit formal and informal financial systems to move funds across borders and finance their activities.	1
Although each refugee or internally displaced person&#39;s situation is unique, displacement and statelessness exacerbate gender inequalities and intensify the discrimination and hardship faced by women and girls.	1
121 - Movement fighters occupied various public places.	1
This decision is the second most important change in the processing of contracts for humanitarian supplies under the program since the adoption of Resolution 1284 (1999), which increased the amount of oil that Iraq can sell under the program, and created new urgent procedures for some humanitarian goods.	0
It stresses the importance of building effective and professional national police capabilities in Haiti.	1
These individuals were identified by eyewitnesses who saw them participating in an attack on a village, during which acts of arson, looting, murder, and sometimes rape were often committed.	1
The risks are undoubtedly high, as failure to meet the deadline set in the Comprehensive Peace Agreement for holding the referendums could have serious consequences.	0
The military component continues to work in extremely difficult conditions in the north.	1
During the reporting period, the mission&#39;s police component focused on training the South Sudan Police Service in referendum security and assisting the Service in developing its plans for referendum security.	0
States should ensure that law enforcement agencies manage and implement appropriate counter-terrorism measures and establish dedicated counter-terrorism units in order to utilize the expert capacities within their law enforcement institutions.	0
The report mentions a number of incidents, especially in the security sector, that cause serious concern.	0
The Security Council notes the publication of the âRabat Memorandum on Good Practices for Effectiveness in Counter-Terrorism Activities in the Criminal Justice Sectorâ; The âRome Memorandum on good practices for the rehabilitation and reintegration of extremist perpetrators of violent crimes,â and the âAlgiers Memorandum on good practices with regard to preventing and denying terrorists the benefit of ransom of hostages.â	0
On November 8, 2014, regime forces targeted the city of Sheikh Miskin, killing five people, including two children and two women.	1
9. Indeed, the situation of human rights defenders throughout the country represents another cause for serious concern. Many of them are vulnerable to harassment, arbitrary arrest and unjustified detention.	1
âThe Security Council recognizes the importance of a comprehensive, coherent, action-oriented approach, including during the early planning phase, to protect civilians in situations of armed conflict.	0
61. Protecting civilians in eastern Chad involves more than ensuring physical security for refugees, displaced persons and humanitarian workers, and providing logistical support and hard-walled structures for the Integrated Security Detachment.	0
One of them was hovering in the sky of the village, while another was bombing it.	1
The Security Council expresses its condolences to the families of peacekeepers killed in battle while protecting people in the eastern Democratic Republic of the Congo.	1
This is the decision according to which, since the date of its issuance, a ban was imposed on trade, economic and financial ties, and existing ties in the field of transport and other fields, with Abkhazia, at the state level.	1
Despite ample evidence to support this, the United States government has never expressed any intention of prosecuting Luis Posada Carriles for his terrorist activities.	0
According to a senior commander of the armed forces, border intelligence soldiers are recruited directly into the army in the same way as regular soldiers.	1
A number of countries have not yet implemented the necessary measures to detect and freeze terrorist assets without delay.	1
232 - The estimated population affected by the conflict in Darfur, added to the number of refugees in Chad (1.65 million displaced persons, 627,000 people affected by the conflict in other ways, and 203,051 refugees) amounts to a staggering figure of approximately 2.5 million people affected in one way or another - the majority of whom The great number of people displaced from their homes.	1
408 - With regard to international humanitarian law, Common Article 3 of the Geneva Conventions prohibits acts of aggression against life and physical integrity, including cruel treatment, torture, the taking of hostages, and outrages upon personal dignity, in particular humiliating or degrading treatment.	1
13 - Member States, acting under paragraph 10 above, in accordance with Annex 1-A of the Peace Agreement, are authorized to take all necessary measures to ensure compliance with the rules and procedures to be established by the Commander of the Multinational Stabilization Force, governing the control and monitoring of the airspace over Bosnia and Herzegovina in Relates to civil and military air traffic in all its forms;	0
These two elements are: first, the criminal act of killing, causing physical and mental harm, and deliberately imposing living conditions that could lead to material destruction, and second, and on the basis of the moral standard, the existence of a protected group targeted by the perpetrators of the criminal act.	1
Accountability Urges the Government of the [affected country] to ensure the full implementation of its âzero tolerance policyâ regarding breaches of discipline and human rights violations, including acts of sexual and gender-based violence, committed by members of the [armed forces], and further urges that Comprehensive in all reports of the aforementioned violations with the support of [the Mission], and to bring all perpetrators to justice under strong and independent procedures;	0
Consider implementing targeted and progressive measures against parties to armed conflict that commit serious violations against children in situations of armed conflict.	1
The transfer of technical skills and methods between Al-Qaeda affiliates is increasing, supporting a degree of innovation that increases the threat.	0
On November 15, 2014, regime helicopters dropped an explosive barrel on the Omar bin Al-Khattab Mosque in Aleppo, causing severe damage to it.	1
The parties to the peace process have yet to make arrangements for the release of children and reintegration programs that would have given children in those forces rights to benefit from recovery and reintegration measures.	0
Since Jebel Ali Port in the United Arab Emirates is the largest port in the Middle East by far, the United Arab Emirates takes the issue of maritime security and preventing its exposure seriously, and has therefore established advanced systems and infrastructure and carries out operations to assess and respond to risks, while working at the same time to ensure the smooth flow of Trade smoothly.	1
(c) Ill-treatment of Eritrean prisoners of war;	1
The situation on the ground is also worrying from a humanitarian perspective, and the Secretary-General confirms that Iraq is going through a major crisis, and stated that the situation is deteriorating.	0
In other words, victims view their attackers as people belonging to another, hostile group.	1
173. The Group was satisfied to note that a number of countries had suspended or halted the export of military goods and services to CÃ´te d&#39;Ivoire.	1
114. The violence that occurred in Rai Koto on the afternoon of 28 April resulted in the death of one civilian, as described in paragraphs 50 and 51 above.	1
It was recommended that the Committee strengthen, and institutionalize as appropriate, its cooperation with international non-proliferation mechanisms, other United Nations bodies, the Group of Eight, regional and subregional organizations, and nuclear-weapon-free zones, where appropriate, that could add value to Implement resolution 1540 (2004) by expanding formal and informal working relations with it.	0
Boko Haram has exploited the porous border between Nigeria and Cameroon and kidnapped foreign nationals in Cameroon.	1
This is unacceptable, and must be completely condemned, especially by the Security Council, using the means at its disposal.	0
19 - On 12 August, the national justice program called âJustice Support Programmeâ, supported by the European Union, MINURCAT and the United Nations Development Programme, launched a competitive process to contract with an NGO or organizations to establish and operate three assistance centres. Legal in eastern Chad.	0
67. In conclusion, I would like to thank my Special Representative, Amira Haq, for her leadership, and to all the staff of the Mission and the United Nations country team for their continued efforts in support of the people of Timor-Leste in their quest to advance issues of peace, stability and development. .	0
8. On 21 September, in response to the request of the parties to the Comprehensive Peace Agreement, I announced the establishment of a three-member team, headed by the former President of the United Republic of Tanzania, Benjamin Mkapa, to monitor the referendums in South Sudan and Abyei.	0
23. Although the security situation in the north of the country was relatively calm, a member of the Moroccan unit of the operation was brutally assassinated on 31 August in Bouake.	1
A small number of countries are unable to implement the measures at all, and terrorists are able to break the embargo at will.	1
In the decade since the 2003 attack in Baghdad, the number of casualties among aid workers has increased three-fold, to more than 100 deaths per year(a).	1
- Regarding the first two points: Significant progress has been achieved in both areas since the submission of the fourth report of the Czech Republic. The amendment to the Anti-Money Laundering Law was adopted on April 8, 2004 and became effective on September 1, 2004. The amendment added, inter alia, the duty to report suspicious transactions not only in relation to money laundering but also in relation to the financing of terrorism. The amendment specifically defines the natural persons and legal entities that are subject to the law.	0
On November 7, 2014, regime forces bombed the vicinity of the old mosque in the town of Taybeh in the Damascus countryside, wounding 14 civilians as they were leaving the mosque after Friday prayers.	1
However, the reason for its establishment may be described as &#39;for a fast track&#39;, rather than &#39;practical necessity&#39;, especially in light of the reality that, based on reports, a hearing for a capital charge may take no more than one hour.	1
36. At its 47th formal session, on 20 June 2014, the Working Group heard from the Prosecutor of the International Criminal Court on the work of the Court in relation to children and armed conflict.	0
The Committee received 11 notifications from Member States supplying military equipment to the Congolese authorities, and sent a similar number of declarations.	0
The military and police capabilities available to the Mission will be increased, in addition to the Haitian National Police Force and 3,600 local security assistants for the elections (see S/2005/313, para. 10).	1
Conduct research to discover the causes of gender disparity in early warning mechanisms, and develop indicators that take the results of that research into account.	0
No injuries were reported, but the bullets that struck the plane left holes in it. On 31 January 2005, an African Union Mission in Sudan (AMIS) patrol investigating ceasefire violations in the Shingal Tobai area was opened fire on, close to the craters that appeared to corroborate allegations of bombing in the area.	1
341 - Other sources reported that women and girls were kidnapped, imprisoned for several days, and repeatedly raped by Janjaweed and soldiers in the villages that were attacked, in camps, and in hideouts. Furthermore, torture was reportedly used to prevent women from escaping.	1
As a result of the Ebola outbreak, Guinean security institutions shifted their efforts towards containing the outbreak.	0
Elsewhere, along the Blue Line, violations threaten to destabilize fragile stability.	0
3 - The Security Council, by its resolution 1267 (1999), imposed a limited air embargo and financial blockade to force the Taliban to stop providing sanctuary and training to terrorists, including Osama bin Laden.	1
The committee verified the presence of two grave sites in the village - one said to contain the bodies of two men and the other said to contain the bodies of seven men, all of whom died during the attack.	1
90. However, Pacific Islands Forum States have made significant progress in implementing a variety of counter-terrorism measures in compliance with resolution 1373 (2001).	0
On the other hand, the Israeli authorities claim that these sorties are carried out for security reasons, citing alleged violations of the arms embargo imposed under Resolution 1701 (2006).	0
The army fired mortar shells at unarmed civilians.	1
Between 27 September 2003 and May 2004, 7 villages near Nyala were continuously attacked by the Janjaweed.	1
As for the killing of detained soldiers by the rebels, the Commission received reports, particularly from the Government, of the rebels executing detained soldiers.	1
At the same time, the threat posed by the Taliban has been resurrected.	1
216 - Although the countries of the subregion have taken steps to reduce their vulnerabilities to the movement and armament of terrorists, the danger remains that terrorist elements and others supporting terrorism will be able to illegally enter the territories of those countries and be able to purchase the necessary materials to launch attacks. A terrorist attack through a criminal network.	1
44. The Committee welcomes the Executive Directorateâs continued close cooperation with the experts of the Security Council Committee established pursuant to resolution 1540 (2004) and its Committee arising from resolutions 1267 (1999) and 1989 (2011), including through the regular exchange of information, the exchange of mission reports, and the preparation of documents and statements A joint report submitted by committee chairs to the Council.	0
It is reported that elements of these forces have been dispersed in South Kivu, and that their ability to move freely in population centers and attack civilians has become restricted. However, their ability to launch attacks should not be underestimated, especially in light of the FARDCâs limited resources, weak military training and lack of The discipline of some of its units in that region and its sometimes collusion with the leaders of the Democratic Forces for the Liberation of Rwanda.	1
Case study: Attack on a school in Tawila, North Darfur	1
The Security Council also welcomes the recent improvements in the procedures of the Committee established pursuant to resolutions 1267 (1999) and 1989 (2011), particularly with regard to the effective and valuable work undertaken by the Office of the Ombudsman established pursuant to resolution 1904 (2009).	0
Various explanations have been given for this reported difference, including the explanation that the government&#39;s Popular Defense Forces, which recruit mostly from Arab tribes, fall under the term Janjaweed commonly used in the context of this conflict.	1
Turkey will continue to exercise its rights guaranteed under international law, in full compliance with established rules and regulations, in order to protect its citizens and its national borders.	1
The members of the Commission concluded that there are reasonable grounds to prove that crimes against humanity have been and are being committed in the Democratic People&#39;s Republic of Korea as a State policy.	1
In addition, Syrian security forces are still carrying out operations along the Syrian-Lebanese border, part of which was planted with mines in recent months.	1
129. Beyond the direct scope of sanctions measures, delegations expressed a particular interest in sharing their experiences on returning terrorists to society.	0
While some reports indicate that a few incidents of destruction of villages and private property were committed by rebel groups, most reports contain witness statements showing that the majority of villages were destroyed during attacks by the Janjawid, often under the direction of the forces. The armed forces affiliated with the Sudanese government, with its participation and support.	1
5. We also respectfully emphasize that there are other, faster and simpler ways to ensure that victims of criminal acts in Rwanda receive just compensation.	0
363 of those killed were killed at the hands of regime forces, including 82 children and 48 women, while the Islamic State killed 17 people.	1
There are also reliable reports that more than 20 people may have disappeared, although their families are so gripped by fear that they do not dare to report their disappearance to the relevant authorities.	1
The Committee notes with concern the lack of any regular monitoring of weapons and ammunition by the National Police.	0
122. The evidence demonstrates that armed men led by Abilio Mesquita began the attack on Brigadier General Ruak&#39;s residence on 24 May, as described in paragraphs 69 and 70 above.	1
In addition, they began to address the detention by Georgian police, from 12 to 31 August, of trucks from the CIS peacekeeping force transporting goods from the Abkhaz side of the ceasefire line.	1
This guide is designed to be a source of information on counter-terrorism best practices, model laws, and available assistance programs.	0
The expert group recommended, inter alia, the establishment of an independent international mechanism entrusted with concurrent tasks to monitor the domestic accountability process and conduct independent investigations.	0
These meetings will include periodic briefings from the working groups responsible for tracking progress on monitoring and implementation at the national level; and assistance; Cooperation with international organizations, including the Security Council Committee established pursuant to resolution 1267 (1999) and the Security Council Committee established pursuant to resolution 1373 (2001); Transparency and media awareness.	0
Taking note of the release, on 18 August 2005, of the remaining 404 Moroccan prisoners of war by the Polisario Front, in compliance with international humanitarian law, and calling upon the parties to continue to cooperate with the International Committee of the Red Cross to determine the fate of persons who have remained missing since the beginning of the conflict, ,	0
There is credible evidence in some areas of continued hostility to released children by armed groups and threats of re-recruitment, while insecurity continues to hamper the reintegration process.	1
The situation between the different ethnic groups in Kosovo remains relatively calm, but unstable.	1
96. The Brigadier General told the Committee that he was not aware of any special law prohibiting the arming of âreserve personnelâ. He also said that he obtained permission to do so from the Minister of Defense after he proposed the matter to him.	1
