ar_en_DEEP	MatConf
The largest and bloodiest of these incidents was the unprovoked attack by tribal militias on the Aro Sharo internally displaced persons camp and on the villages of Gosmino and Ardja in the Kulbus region of Western Darfur, near the border with Chad, which occurred on 28 September.	1
Regarding the mission's deployment, she noted that the force was making every effort, with the completion of the additional deployment, to expand its presence beyond the bases.	1
The Lebanese government informed me that the Lebanese Armed Forces also detained and deported a number of infiltrators of Palestinian origin who carried Syrian identity documents.	1
On November 8, 2014, regime warplanes targeted the areas surrounding the Martyr Wassim Husseino Hospital in Idlib, causing extensive damage.	1
Consider adopting general exceptions to targeted economic and financial sanctions adopted by the Security Council in order to facilitate the provision of humanitarian assistance.	1
The Council stresses the need to adequately bring to justice individuals who incite or cause the use of violence against civilians in situations of armed conflict, or who otherwise violate international humanitarian law and human rights law.	0
She also referred to important precedents established by the Council, especially the establishment of the investigation committees for Bosnia and Herzegovina, Rwanda, and Darfur, which paved the way for the establishment of the International Tribunal for the Former Yugoslavia and the International Criminal Tribunal for Rwanda, and for the Council to refer the situation in Darfur to the International Criminal Court.	0
106 - UNOCI also agreed, on 21 February 2005, to allow the Air Force of CÃ´te d'Ivoire to conduct two ground tests of engines and systems; This is for one hour on the last Wednesday of every month, for its Mi-24P (TU-VHO) aircraft, provided that it is not armed, and is outside its hangar at the Abidjan Air Base, and under the supervision of the United Nations Operation in CÃ´te dâIvoire.	0
Urges all concerned parties, including Member States, United Nations entities and financial institutions, to support the development and strengthening of the capacities of national institutions and local civil society networks involved in the defence, protection and rehabilitation of children affected by armed conflict, in order to ensure the sustainability of local initiatives aimed at protecting children.	0
24 - Lebanese President Suleiman Franjieh invited Syrian forces to enter Lebanon in May 1976 in the early stages of the civil war in Lebanon.	0
Reports of human rights violations continue, many of them linked to untrained elements who joined the FARDC from the National Congress for the Defense of the People and armed groups.	1
17 - For the purposes of implementing the fourth task, the Committee considered it necessary to conduct a preliminary assessment to determine the extent to which the Sudanese criminal justice system was able and willing to prosecute those responsible for international crimes committed in Darfur and bring them to trial, and then consider the various international mechanisms available.	0
First, it caused an ongoing humanitarian emergency that also threatened peace and stability in Haiti.	0
Mali and Niger have joined the newly established Subregional Joint Intelligence Center in Tamanrasset, Algeria.	0
38. As at 20 September, 778 officers completed their training at the Police Academy. Of these, 35 were women and 148 were former military personnel.	1
For example, the Commission found that the term Janjaweed was used on numerous occasions, by victims and by members of authority, to describe specific men who were said to have led attacks on villages in which civilians were killed and where rapes were committed.	1
Aid agencies have mobilized to respond to these conditions, but the unusual water flows resulting from the rainy season have highlighted the need for a sophisticated early warning system and emergency preparedness plans.	0
The Council notes with concern that the LRA attacks in the Central African Republic were carried out in areas outside the main area of ââoperations of the Regional Task Force.	1
Eritrea has been organizing and training various types of criminal gangs and terrorists and sending them to Ethiopia to wreak havoc in our country and destabilize political stability.	1
115. Two unarmed Eastern Rapid Response Unit officers were attacked by members of the protesting crowd in Gleno on 8 May, as described in paragraphs 61 to 63 above.	1
Of the 12 Security Council sanctions regimes, 5 apply criteria for listing relating to violations of international human rights law and international humanitarian law, including in particular violations of the rights of children and women in conflict situations.	0
Demand that States take all necessary measures to prosecute those responsible for attacks on journalists, media professionals and associated personnel that constitute violations of applicable international humanitarian law.	1
Accordingly, these persons may be suspected, depending on the circumstances of each case, and under the principle of joint criminal enterprise, of committing crimes against humanity by killing civilians, forcibly detaining civilians, and forcible displacement as a war crime by destroying civilian objects.	1
:: Launching attacks on buildings, materials, medical units, means of transport and personnel using the distinctive emblems set forth in the Geneva Conventions, in accordance with international law;	1
These measures, if implemented, would greatly enhance Somalia's capacity to conduct counter-piracy operations off its coast.	0
The destruction targeted areas inhabited by African tribes, especially the Fur, Zaghawa and Masalit.	1
âThe Security Council stresses that safe havens for terrorists remain an important concern, and notes that all Member States must cooperate fully in the fight against terrorism in order to find anyone who supports or facilitates the financing, planning, preparation, commission or commission of terrorist acts.â Providing safe haven, or participating or attempting to participate in that, not granting safe haven to that person, and bringing him to justice based on the principle of extradition or trial.	0
Each discharged combatant will receive a subsistence allowance of approximately US$940, of which 25 per cent will be paid upon discharge; 25 percent 45 days later; The rest after 90 days.	0
18 - The United Nations Global Counter-Terrorism Strategy calls for the promotion of dialogue, tolerance and understanding among civilizations, cultures, peoples and religions, and for the development of programs for education and public awareness in these fields.	0
The Lebanese state's ability to fully extend its authority over all of its territory remains limited, however, a series of security incidents have once again highlighted the threats posed by armed groups outside the state's control and the proliferation of weapons to Lebanon's security.	0
104 - However, organizing commonly available materials that a trained terrorist could use to manufacture an explosive device is a more difficult task.	1
The military component of the operation will continue to implement its new concept of operations, cooperate with the Licorne force to help the parties implement the facilitator's proposals for the reintegration of Forces Nouvelles personnel into the national police and the army and prepare contingency plans for possible stabilization interventions in order to prevent acts of violence aimed at disrupting the operation. peace.	1
Urges Member States, pursuant to the United Nations Program of Action on Small Arms and Light Weapons, to prevent, combat and eliminate the illicit trade in small arms and light weapons and to take effective measures, including through conflict settlement and the adoption and implementation of national legislation, in accordance with responsibilities It is the responsibility of States under relevant international law to limit the illegal sale of small arms to parties to armed conflicts that do not fully comply with the provisions of applicable international law related to the rights and protection of children during armed conflicts.	0
The Committee notes that there is no evidence that the assassination of 8 police officers and the wounding of 27 police officers were beyond the scope of spontaneous acts carried out by individuals who were absolutely not subject to the orders of the hierarchical structure of the Timorese Defense Forces.	0
13. Global patterns of supply of small arms and light weapons have changed profoundly over the past few decades.	1
While anti-piracy measures continue to prove effective, the international community must continue to support the Somali Government in its efforts to fulfill its obligations as set out in both Vision 2016 and the Somali Compact.	0
6 - By resolution 1945 (2010), the Security Council strengthened the implementation of the arms embargo by clarifying exceptions to this measure, and restricting any sale or supply of weapons and related materiel to Sudan that are not covered by the embargo to Sudan on the condition that the necessary documentation be provided to identify the end user.	1
Although there are reports indicating the presence of armed groups along the border between Western Bahr el Ghazal State and South Darfur, the mission was not able to assess these areas due to the failure of the SPLA to provide security guarantees.	1
24 - Problems of maintaining law and order continue to contribute to the fragility of the security situation in some areas of Katanga, as the transitional government has been unable to establish effective security mechanisms to protect civilians.	1
I would like to refer to paragraph 4 of Security Council resolution 1956 (2010), which requires that the Government of Iraq submit to the Security Council no later than 1 May 2011 a written report on the progress made towards the transition to the subsequent mechanism of the Development Fund for Iraq. I am pleased to attach herewith the report of the Government of Iraq containing procedures for a full and effective transition, no later than 30 June 2011, to the successor mechanism of the Development Fund for Iraq, in a manner that enables Iraq to fulfill its commitment as stipulated in paragraph 21 of Security Council resolution 1483 (2003). ) (See enclosure).	0
(i) Contributing to the protection of civilians at risk, especially refugees and displaced persons;	0
âThe Security Council encourages Member States to establish and maintain an effective national criminal regime based on the rule of law and including provisions for judicial criminal cooperation in relation to extradition and the provision of mutual legal assistance, in particular to expedite, simplify and prioritize requests for extradition and mutual legal assistance in terrorism-related cases, and to implement International and regional best practices in the field of delivery and provision of mutual legal assistance, in line with international law, in particular international human rights law, international refugee law and international humanitarian law.	0
The effective implementation of protection tasks involves a wide range of actors. It requires close consultation, including between the Security Council, the Secretariat and troop- and police-contributing countries, before the establishment of peacekeeping missions and throughout their life cycle.	0
But despite these achievements, challenges to the government's authority and effective control over its national territory still need to be overcome.	0
Recognizing that development, security and human rights are mutually reinforcing and vital to the effectiveness and comprehensiveness of the approach adopted to combat terrorism, and emphasizing that counter-terrorism strategies should have as their specific objective the achievement of sustainable peace and security,	0
229- The Committee recommends the establishment of strong and independent oversight mechanisms in the police and the army.	0
Of particular importance is continued law enforcement cooperation through the South-East European Cooperation Initiative's Regional Center for Transborder Crime and the secretariat of the recently established South-Eastern European Police Cooperation Agreement.	0
Call on parties to armed conflict to strictly adhere to applicable international humanitarian law, including the prohibition of:	0
It calls on the armed rebel groups to stop the violence immediately, and calls on all parties to return to dialogue within the framework of the Sirte Agreement of 25 October 2007.	1
The Committee duly completed its review before the new deadline.	0
19 - On 12 August, the national justice program called âJustice Support Programmeâ, supported by the European Union, MINURCAT and the United Nations Development Programme, launched a competitive process to contract with an NGO or organizations to establish and operate three assistance centres. Legal in eastern Chad.	0
However, the remainder of the movement's ability to undermine tangible progress in stabilizing the situation in Ituri remains a source of concern, especially given the inability of the transitional government so far to bring leaders of armed groups to justice and prevent their movement to and from Uganda.	1
But we are concerned that a key factor in decision-making is being undermined by the lack of political consensus.	0
I also take this opportunity to stress my concern about the challenges posed in the context of the elections scheduled to be held in Nigeria, at the federal and state levels, in February 2015, and the serious risks posed by the possibility of violence resulting from attacks by the Boko group. Forbidden or because of contesting the election results.	0
These devices still constitute a versatile and dangerous weapon, and are the main cause of civilian casualties in many terrorist attacks linked to Al-Qaeda.	1
âIn this regard, the Security Council welcomes the actions taken so far by the signatories of the Peace, Security and Cooperation Framework and its guarantors, including the holding of the first â11+4â meeting of the regional oversight mechanism of the Peace, Security and Cooperation Framework in Addis Ababa on 26 May. 2013 and the first two meetings of the Technical Support Committee in Nairobi on 24 June and 22 July 2013, which were aimed at making progress in establishing benchmarks for assessing the implementation of the Peace, Security and Cooperation Framework by all signatories.	0
All these acts that incite hatred and war lead to the emergence of tensions within Ivorian society.	1
83 - Colonel Reyes led the soldiers of the National Police Force on foot from the police headquarters to the intersection with the Ministry of Justice. He was carrying the United Nations flag.	1
94 - Since the presence of militias and parallel forces has been confirmed, it is the duty of the President of the Republic and the Government of National Reconciliation to take all necessary steps to put an end to their activities.	1
In addition, the Council reaffirms its call for an increase in the number of women in all peacekeeping operations, and welcomes the policies adopted in United Nations peacekeeping operations, taking the gender perspective, as stated in resolution 1325, into account.	0
The Government of the Republic of Macedonia, at its meeting held on 19 April 2011, took a decision to implement the restrictions contained in the above-mentioned resolution.	1
The victim was taken from the group, blindfolded, pushed to the ground on her back and raped.	1
Many were subjected to horrific treatment, and many were summarily executed.	1
The Commission was able to establish a detailed and accurate account of the events of April and May that led to significant loss of life, injuries and widespread damage to property.	0
He stated that the leadership of the Congolese Union for Democracy has tightened control over the city again and is in the process of arresting its opponents.	1
(b) Encouraging States to take measures to protect the non-profit sector from abuse through terrorist financing;	0
On November 23, 2014, the regimeâs warplanes fired two missiles at the Harweel Mosque in the Al-Ardi neighborhood in the city of Deir ez-Zor, causing damage to the mosque and nearby homes.	1
In the former Yugoslavia, Rwanda and Darfur, after some futile steps were taken to stop widespread killings, the international community was horrified by the extent and nature of the violence.	0
The Mission decentralized its communications functions to improve coordination locally, while preparatory work prior to the arrival of the Union Force facilitated the transition process.	0
As you know, on December 12, 2000, I witnessed the signing of the agreement between the Government of the State of Eritrea and the Government of the Federal Democratic Republic of Ethiopia, which took place in Algiers in an official ceremony hosted by President Abdelaziz Bouteflika.	0
It is indeed time for the international community, particularly the Security Council, to take effective measures to confront the illegal and criminal policies and practices of the Israeli regime, and to put an end to its state terrorism against the Palestinian people and other peoples of the region.	1
This sparked serious tensions with local communities, as well as threats to MINURSO from some former military commanders of the Conference who have now integrated into the Congolese army.	0
Other than sporadic clashes between protesters and police, no violence was reported.	1
Regarding President Kabila's request for MINURSO to assist in training, equipping and garrisoning 20 police units, progress remains limited due to the lack of complementary support from donors to provide the necessary basic equipment (see S/2010/164).	0
47. The team continued its work aimed at establishing links with academia and civil society experts in order to deepen understanding of the changing nature of the threat posed by Al-Qaida and associated individuals and entities, through dialogue with relevant researchers and academic bodies.	0
However, the team of experts prepared a robust and credible report, thereby acknowledging for the first time an international body the extent of human rights violations committed in the final days of the brutal conflict in Sri Lanka, where at least 10,000 civilians were killed.	1
The Security Council must now seek to reassure the courts that the sanctions regime established pursuant to resolution 1267 (1999) (the 1267 sanctions regime) is fair and, with increasing support from Member States, reaffirm the original purpose of the regime, which was to rid the world of The threat of terrorism posed by Al-Qaeda, the Taliban and their associated entities on the list.	0
Civilians were often forcibly displaced as a result of the attack.	1
There are reports that women and girls continue to be subjected to sexual violence during attacks on their villages, including a report of a recent attack on Hamada on 13 January 2005 during which women were raped.	1
Three of them were injured, but survived thanks to the assistance provided by Red Cross personnel.	1
Since then, authorities in North Kivu have arrested several people with alleged links to Kunda.	1
Mr. Sediko stressed that even if Al-Shabaab had suffered military defeats, it still retained large numbers of its fighters and equipment, especially in rural areas, and he believed that this may be aimed at continuing long-term and asymmetric fighting.	1
In general, enhancing international cooperation, exchanging information, and developing comprehensive and integrated national means to address this challenge may be among the most effective ways to combat and prevent incitement.	0
Also of concern is the presence of extremist elements and their alleged activities.	1
3 - Over the past six months, the worsening crisis taking place in the Syrian Arab Republic has continued to affect Lebanon in a way that intensifies political polarization and concern that the unrest taking place in the Syrian Arab Republic will have negative repercussions on Lebanonâs stability.	1
23 - One State made efforts to combat extremism among fighting groups and supported the production of publications by these groups that confronted extremist ideologies. These leaflets, including one denouncing Al-Qaeda, were distributed internationally, including on websites.	0
In addition, human rights defenders denounced acts of theft, violence and looting committed by security forces and civilians against the residents of those neighbourhoods.	1
However, the Caribbean States have adopted the Caribbean Treaty on Mutual Legal Assistance in Serious Criminal Matters (including offenses relating to terrorism, terrorist financing, money laundering and drug trafficking).	0
:: Exploring how the peacebuilding goals and specific needs of post-conflict countries can be articulated in the post-2015 framework.	0
C. Disbanding and disarming Lebanese and non-Lebanese militias	1
He called for special attention to be paid to the large number of elections scheduled to be held in the regional region until 2013, which, although a good development, has the potential to raise tensions leading to renewed violence and instability.	1
There are currently approximately 47 non-State armed groups() that are âbelieved to have, or still haveâ MANPADS.	1
This is why disarming militias is a priority, especially during the pre-election phase, with its potential for politically motivated violence.	0
(a) The African Union should be requested to maintain AMISOM forces in Somalia after the departure of Ethiopian forces, and to provide the assistance described below in order to support the strengthening of the Mission;	0
:: Using starvation of civilians as a method of warfare by depriving them of things indispensable to their survival, including deliberately obstructing relief supplies, as required by applicable international humanitarian law.	1
Emphasizing the need to intensify the fight against terrorism at the national level and, under the supervision of the United Nations, to strengthen effective international cooperation in this field on the basis of the principles of the Charter of the United Nations and the standards of international law, including respect for international humanitarian law and human rights,	0
âThe Security Council reiterates its condemnation with the same intensity of all violations of the applicable provisions of international law with regard to the recruitment, exploitation, re-recruitment, killing, mutilation and rape of children by parties to armed conflicts, as well as all acts of sexual violence, kidnappings and attacks directed against schools or hospitals and their prevention of Humanitarian assistance arrives.	0
In his briefing to the Council in December 2005 and June 2006, Under-Secretary-General Gambari described the grave human rights and humanitarian conditions in Burma, including the detention of over 1,100 political prisoners, as well as the influx of refugees drugs, HIV/AIDS and other diseases from Burma.	1
Then they attacked the police station, killing two policemen and taking weapons and ammunition from it.	1
This resulted from the priority given to further reform of the police structure under the European Commission's guidance to Bosnia and Herzegovina after Bosnia and Herzegovina failed to reach an agreement on its accession to the European Union.	0
In accordance with Article 3 common to the four Geneva Conventions, international humanitarian law also applies in armed conflicts that do not have an international character.	0
The Janjaweed, riding horses and camels, began chasing the villagers, while the military forces remained at the foot of the mountain. Parts of the mountains were bombed with mortars, and machine gun fire was also fired at people.	1
The Council calls on the Government of Sudan to immediately withdraw from the Abyei area.	0
Uganda values ââpeace and believes that the current instability in the Great Lakes region is an inhibitor of development.	0
Incidents caused by cluster munitions dropped by NATO forces have decreased significantly as a result of a change in strategy that has significantly accelerated the elimination of accessible cluster explosive units.	1
185. There is a common finding that, in its response to the insurgency, the Government has committed acts against the civilian population either directly or through armed groups acting on their behalf, which amount to serious violations of human rights and humanitarian law.	1
Although the Defense Forces indicated in 2006 that they were in possession of 1,200 M16 weapons, records reveal that 45 weapons of the same model were missing. Three FN-FCN semi-automatic rifles, three SKS semi-automatic rifles, and two Uzi weapons were also lost, all of which were in the custody of the Defense Forces and under their supervision.	0
Other daily newspapers, such as FraternitÃ© Matin and Notre Foix, which are close to the Ivorian Popular Front party, publish nationalist rhetoric that incites all-out war.	1
The remains of the victims were transferred to the Hilversum military base, where identification operations are underway.	0
12 - Convention on the Marking of Plastic Explosives for the Purpose of Detection, signed in Montreal on 1 May 1991; Ratified by the Czech Republic on 18 December 1991; It became effective on 21 June 1998.	0
Furthermore, there is concern that active arms-for-drug trafficking in Afghanistan could lead to the financing of terrorism in neighboring countries of Central Asia through the activities of cash couriers.	0
While the response by some to the Committee is slow, the number of those keen to participate in its work is increasing, whether by submitting names or promoting views on identifying new areas in which Security Council sanctions or other measures can help stem the flows of recruits and reduce the chances of More attacks by terrorists linked to Al-Qaeda and the Taliban.	0
43 - As the demonstration was scheduled to end at 1 pm on Friday, 28 April, it was clear that there had been a tangible change in the condition of the crowds gathered in front of the Government Palace since the early morning.	1
âThe Security Council notes the determination expressed by the representatives of the two organizations to establish cooperation based on a broad agenda that includes common concerns, by formulating appropriate joint responses to humanitarian crises, where appropriate, and by promoting human rights, freedom of expression, food security, environmental protection, and combating terrorism and trafficking.â illicit access to drugs and weapons, while reaffirming the need to ensure that the United Nations also respects and promotes the rule of law in all its efforts to achieve peace and security.	0
In fact, those who are gaining the most important experience in terrorist operations today are people even younger than mentioned, as their ranks mainly include individuals in their teens and early thirties.	1
The ranks of the petitioners and their sympathizers were significantly strengthened from the second day of the demonstration onwards with the arrival of third parties, in particular members of the group known as Colimao 2000.	0
The use of home-made explosives demonstrates the adaptability of Al-Qaeda-linked terrorists in countries that effectively enforce arms embargoes.	1
Reiterates the importance of complying with the relevant provisions of international humanitarian law, human rights law and refugee law and providing appropriate training for personnel involved in peacemaking, peacekeeping and peacebuilding activities in the legal area, including provisions relating to children and gender, as well as negotiation and communication skills and awareness cultural, civil-military coordination and sensitivity in the prevention of HIV/AIDS and other infectious diseases, requests the Secretary-General to disseminate appropriate guidance and ensure that United Nations personnel receive appropriate training, and urges Member States concerned, as appropriate and to the extent feasible , to disseminate appropriate instructions and ensure the inclusion of appropriate training in its programs for employees involved in similar activities.	0
It has also been reported that kidnappers are increasingly subjecting their captives to torture, rape and other forms of ill-treatment.	1
The soldiers were about to finish raping the five women when the second group of women who had gone to El Fasher to sell firewood arrived at the same place.	1
Despite the progress made by the Government in accordance with the action plan, specifically in deploying police forces, it has not implemented its commitment not to enter areas under the control of armed movements.	1
Salah Suleiman Ayyash, a 33-year-old driver in the Al-Ahya Medical System in the Damascus countryside, was shot dead by government forces while trying to enter Zabdin on November 27, 2014.	1
:: The Security Council could be more effective in encouraging States to do more to investigate and prosecute serious violations of international humanitarian law. How can this be evaluated? How can the Council âmotivateâ states to take action on impunity?	0
The three countries noted their efforts to strengthen various counter-terrorism laws to bring them into line with United Nations resolutions, but the lack of necessary capacity hampers effective implementation.	0
45. Following the arrival and deployment of forces loyal to President Yusuf just south of Johor in early September, there were reports that the Minister of Trade, Musi Sudi Yalahu, sent a number of âarmed modified vehiclesâ to reinforce his forces in the country south of Johor.	1
Calls upon all States to take urgent action to fully implement resolution 1373 (2001), and to assist each other in doing so, and affirms the commitment of States to deny financial support, safe haven and all other forms of support to terrorists and those who support terrorism,	0
In 2010, the Russian Federation enacted comprehensive legislation to strengthen controls on the import, export and circulation of weapons and explosives, assigning overall responsibility for the supervision, investigation and implementation of these measures to the Prosecutor General's Office. 194 - All States of the subregion issue machine-readable travel documents.	0
The Committee makes a set of recommendations to take immediate steps to put an end to human rights violations and address the human rights concerns raised by the Committee, including specific recommendations addressed to the Security Council, which require the Councilâs attention and consideration.	0
Members expressed concern about the security situation and stressed that unless it is addressed quickly and effectively, the return to normalcy may be halted, thus undermining the efforts made by the authorities to achieve stability.	0
The Brigadier General requested a ceasefire so that he could evacuate his children from the house.	1
129. Beyond the direct scope of sanctions measures, delegations expressed a particular interest in sharing their experiences on returning terrorists to society.	0
:: Increase cooperation and coordination with the Counter-Terrorism Committee and its Executive Directorate, with the committee established pursuant to Resolution 1540 (2004) and with all international agencies or organizations that have accumulated specialized experience and expertise in the field of combating terrorism.	0
These recommendations, on which both parties and troop-contributing countries were consulted, aim to strengthen the capacity of the military component to monitor ceasefires and military agreements, within existing resources.	0
645. The Commission decided to withhold the names of these individuals from the public domain. This decision was based on three main reasons: (a) the importance of the principles of fair trial and respect for the rights of suspects; (b) the fact that the Commission was not granted investigative or indicting powers; and (c) the vital necessity of ensuring that witnesses are protected from possible harassment or intimidation.	0
The Council affirms the role played by the Supreme Media Commission, the International Committee of Eminent Persons, and the International Committee to Support the Transitional Process in order to enhance the smooth conduct of the electoral process and calm the political climate, and renews its support for them.	0
Over the next two days, local Somalis brought a cannon and placed it on the upper deck of the Alpha Serengeti.	1
I stand ready to work closely with the Security Council, collectively, and with stakeholders individually, to find a solution to this serious crisis, to quickly complete the peace process, and to restart vital humanitarian activities in Eritrea.	0
66. Through the United Nations Rule of Law and Security Programme, technical and financial support has been provided to a law enforcement seminar and training workshop for the Somali Police Force in Kampala, since August 2005.	0
However, widespread strikes and blockades by armed and unarmed political groups, parties and groups have mostly disrupted humanitarian activities and access to health and education services in the Terai region.	1
Emphasizes the importance of providing safe and unimpeded access for humanitarian personnel to civilians in armed conflict, and calls on concerned parties, including neighboring States, to cooperate fully with the United Nations Humanitarian Coordinator and United Nations agencies in providing such access, and calls on States and the Secretary-General to Inform it of information relating to the deliberate deprivation of such means in violation of international law and where such deprivation may constitute a threat to international peace and security, and in this regard expresses its readiness to consider such information and take appropriate steps when necessary.	0
One of the raids targeted Kansafra Hospital, destroying its infrastructure and equipment.	1
