ar_en_GOOGLE	VerCoop
64. The keenness of States and the Committee to maintain lists of ideologues despite the lack of trace appears to be evidence of a broader trend in the fight against terrorism, which is to align efforts to arrest and detain terrorists, in an effort to prevent others from becoming terrorists in the first place.	0
âThe Security Council expresses its appreciation to the countries participating in the United Nations Stabilization Mission in Haiti, and hopes that the countries that have pledged to contribute troops and civilian police will do everything in their power to expedite the early deployment of their personnel.	1
Calls upon parties to armed conflicts to make and implement specific commitments to combat sexual violence with specific time frames, including, inter alia, issuing clear orders through the chain of command prohibiting sexual violence and enshrining the prohibition of sexual violence in codes of conduct and military field operations manuals or their equivalents. Make and implement specific commitments to investigate alleged attacks in a timely manner and to hold perpetrators accountable;	1
Reaffirming the Statement of the President of the Council adopted at the Council meeting held at the level of Heads of State and Government on 31 January 1992 (S/23500), including the need for all Member States to fulfill their arms control and disarmament obligations, and to prevent the proliferation of all weapons of mass destruction in all its aspects,	1
However, this should not divert attention from the full implementation of resolution 1559 (2004) and other Security Council resolutions related to Lebanon, as implementing these resolutions remains the best way to ensure Lebanonâs long-term prosperity and stability as a democratic state.	0
The petitioners then passed through an empty lane guarded by two Rapid Response Unit vehicles and near the market area the petitioners were shot at. The gunfire came from both Rapid Response Unit officers in guard vehicles and members of the public, and one civilian was killed by a weapon fired from a long distance. Eight civilians were injured by firearms shots. Two policemen and two civilians were also seriously injured.	0
Prime Minister Gerard LaTorte asked the Interim Electoral Council to review this timetable, with the support of the mission, taking into account respect for the constitutional requirement that the president-elect be sworn in on 7 February 2006, and to make changes if necessary.	1
45. The Government of Nepal should ensure that adequate measures are in place to protect child victims and witnesses, and children accused of crimes in the context of the conflict, and also involve children in any transitional justice activities to ensure access to their experiences during the conflict.	1
âThe Security Council expresses its deep concern that the oil fields and related infrastructure under the control of the Islamic State in Iraq and the Levant, the Al-Nusra Front, and perhaps other individuals, groups, institutions and entities linked to Al-Qaeda, generate a large proportion of the groupsâ revenues, which gives support to its recruitment efforts and enhances its operational capacity to organize and carry out terrorist attacks.	0
(d) Establish a truth and reconciliation commission in CÃ´te d&#39;Ivoire, with the support of the United Nations, taking into account the lessons learned and best practices that have emerged in this area over the past few years;	1
200. The best coherent view presented by the Government on the conflict was presented by a committee established by the Minister of the Interior in his capacity as the President&#39;s representative for Darfur affairs.	1
Urges the signatories of the [Peace Agreement] to seek a durable solution for the voluntary return, resettlement and reintegration of displaced persons and to ensure their security, including by addressing land tenure issues, with the support of the United Nations system, and to fulfill in this regard their commitments in accordance with theâ¦Political Agreement and their obligations under the law International.	1
âThe Security Council notes the determination expressed by the representatives of the two organizations to establish cooperation based on a broad agenda that includes common concerns, by formulating appropriate joint responses to humanitarian crises, where appropriate, and by promoting human rights, freedom of expression, food security, environmental protection, and combating terrorism and trafficking.â illicit access to drugs and weapons, while reaffirming the need to ensure that the United Nations also respects and promotes the rule of law in all its efforts to achieve peace and security.	1
The Committee notes that there is no evidence that the assassination of 8 police officers and the wounding of 27 police officers were beyond the scope of spontaneous acts carried out by individuals who were absolutely not subject to the orders of the hierarchical structure of the Timorese Defense Forces.	1
The September 2013 attack on the Westgate mall in Nairobi, Kenya, demonstrates the capabilities of Al-Shabaab, even after its decline in Somalia.	0
Monitoring and identification of violations of the arms embargo must be strengthened, and targeted sanctions applied where appropriate, in order to limit the potentially destructive effects of that process in the Somali context.	0
The Council notes with concern that the LRA attacks in the Central African Republic were carried out in areas outside the main area of operations of the Regional Task Force.	0
This is partly the result of political bargaining in the Somali National Reconciliation Conference, based primarily on the authority of militia leaders and their tribal connections.	1
However, both parties continued to refrain from direct dealings with the other. All known contacts between the two armed forces took the form of meetings and written correspondence with the mission.	0
In most current conflicts, fighting mainly involves small arms and light weapons.	0
In response to the events taking place in the Syrian Arab Republic, including the report received by the United Nations High Commissioner for Human Rights, the Under-Secretary-General welcomed the recent decision of the Human Rights Council to establish an international commission to investigate this matter.	1
It is therefore important that States do not lose sight of this element of the prohibition. The Committee may wish to be reminded of this when the opportunity arises, and to encourage it to submit for inclusion on the list the names of those providing technical advice, assistance or training related to military activities in violation of the embargo measures.	0
66. The overwhelming majority of cases of kidnapping and forced disappearance are linked to the Korean War and the organized movement of people of Korean origin from Japan that began in 1959.	0
The Lebanese Forces intervened on several occasions to control the demonstrations and prevent demonstrators from approaching the Blue Line.	0
This will help facilitate arrangements for the pretrial detention, trial and post-conviction treatment of high-risk criminals, in accordance with international human rights standards.	1
20. Although the Committee intends to address the issue of cooperation with relevant international and regional organizations in greater depth in April 2007, it supports the Monitoring Group&#39;s recommendation that representatives of these organizations be invited, on a case-by-case basis, to meet with the Committee in order to exchange views In a way that is beneficial to both parties.	1
:: The Committee will attach great importance to coordination with experts of other counter-terrorism-related subsidiary bodies of the Security Council with regard to preparing for visits and simplifying reporting procedures.	1
We strongly condemn the brutal attack that took place this morning on the shrine of Imams Ali al-Hadi and Hassan al-Askari in Samarra, and we share the Iraqi people’s feeling of anger over this crime. It is another planned attempt by terrorists to sow the seeds of discord and ignite the flames of sectarian conflict among the people of Iraq.	0
(a) Intentionally killing, beating, abducting, disappearing, forced laboring, and recruiting Ethiopian civilians;	0
Measures are being implemented in eight countries to prevent the illegal movement of people across borders, and nine countries are active in monitoring and controlling the import and export of weapons and explosives.	0
The European Union also expressed its support for the statement issued by my Special Representative on 8 September, in which he stressed that resorting to a military solution to the problems facing the transitional federal institutions is not at all on the table.	1
I have continued my dialogue with the Lebanese authorities on the issue and look forward to fulfilling these commitments soon.	1
Calling on States to work together urgently to prevent and suppress acts of nuclear terrorism, including by enhancing cooperation and full implementation of relevant international agreements, and by taking appropriate measures to strengthen the existing legal framework with a view to ensuring effective accountability for those who commit crimes in the field of nuclear terrorism;	1
âThe Security Council notes that this year marks the fifteenth anniversary of the Security Councilâs successive consideration of the protection of civilians in armed conflict as a substantive issue, and recognizes the urgent necessity for the Security Council and Member States to continue to strengthen the protection of civilians in armed conflict.	1
1 - The Security Council, in paragraph 4 of its resolution 1977 (2011), decided that the Committee established pursuant to resolution 1540 (2004) would submit to the Council an annual program of work before the end of May of each year.	0
On 19 November, the Council adopted a presidential statement (S/PRST/2014/23) outlining practical steps for the effective implementation of resolutions 2170 (2014) and 2178 (2014). Specifically, the presidential statement included steps to improve the exchange of information between countries for the purpose of preventing the travel, recruitment, and financing of terrorists. The statement identified emerging sources of funding for ISIS and Jabhat al-Nusra, which require greater vigilance by member states to ensure adherence to international obligations. He also identified effective strategies and urged enhanced cooperation to stop the spread of violent extremism in local communities, with the aim of putting the United Nations in a better position to confront the causes of terrorism and violent extremism, by: (a) strengthening coordination between states; (b) Achieving greater effectiveness in capacity building; (c) Improve coordination between United Nations counter-terrorism entities and field missions; (d) Strengthening the efforts of Member States and the United Nations, including their strategic communications, to confront violent extremist ideologies conducive to terrorism.	0
59. Some States in this region are implementing the European Union Strategy to Combat Extremism and Terrorist Recruitment 2005, which aims to âimpede activities undertaken by networks and individuals to lure people into terrorism; ensure that the voices of moderate public opinion prevail over those of extremism; and build the drive to promote âEveryone enjoys security, justice, democracy and opportunity.â	0
In this regard, the Council affirms that ending impunity is an essential element in the efforts made by societies in conflict or post-conflict situations to overcome previous serious crimes prohibited by international law, and to prevent their recurrence in the future.	1
Encouraging the parties, in this context, to demonstrate greater political will to move towards a solution, including by expanding the scope of their discussion on the proposals put forward by both,	1
He also welcomed the holding of the first open session of the Peace and Security Council on children affected by armed conflict, and his proposal to appoint an African Union Special Envoy for Children in Africa.	1
During the period under review, the Mission discovered and marked 260 items of mines and unexploded ordnance and monitored the destruction of 3,693 mines and unexploded ordnance.	0
12 - Requests States to act forcefully and resolutely to halt the flows of funds, financial assets and other economic resources to individuals and entities on the Al-Qaida Sanctions List, as required in paragraph 1 (a), and taking into account the recommendations in this regard issued by the Task Force Financial measures concerned with money laundering, international standards established to prevent the misuse of non-profit organizations, alternative/informal money transfer systems, and the physical movement of currencies across borders, while working to mitigate the impact on legitimate activities through these means;	1
16 - In an attempt to contain the outbreak of the Ebola virus, some West African countries closed their borders and stopped commercial flights to the three most affected countries, Guinea, Liberia and Sierra Leone. On August 10, CÃ´te d&#39;Ivoire imposed restrictions on flights to and from the three countries, followed by closing the land borders on August 22.	0
In 2006, more than 324 children were abducted as part of 136 mass abduction incidents, more than 210 of whom were abducted in November 2006 and the rest between May and December 2006.	0
(a) Call on parties to the armed conflict to comply with the obligations applicable to them under international humanitarian law, take all steps required to protect civilians, and facilitate the rapid and unhindered passage of relief shipments, equipment and personnel,	1
In conclusion, Lieutenant General Singha explained that since March 2012, the United Nations Disengagement Observer Force has witnessed the outbreak of fighting between opposition groups and the Syrian army in the buffer zone, which is a clear violation of its mandate.	0
On November 28, 2014, regime warplanes fired a missile at the water crossing linking the villages of Al-Bulil and Al-Sabha in Deir ez-Zor, killing five people and wounding six others. Ambulances	0
53. INTERPOL is also in the process of establishing its own electronic weapons tracking system to assist national law enforcement agencies in tracking the transfer and illicit use of firearms.	0
156. The Group continued to promote and encourage the exchange of views with experts appointed to assist the Counter-Terrorism Committee and the emerging Counter-Terrorism Committee Executive Directorate, and participated in three meetings of the Counter-Terrorism Committee where three presentations were made on areas relevant to the work of the Group.	1
As previously discussed, the Commission has collected substantial and reliable material that tends to show widespread systematic killings of civilians belonging to specific tribes, causing serious physical and mental harm to members of the population belonging to certain tribes, and causing severe and deliberate blows to the living conditions of these tribes, thereby causing Their physical destruction, in whole or in part (for example, by systematically destroying their villages and crops, expelling them from their homes, and taking their livestock).	0
This is the decision according to which, since the date of its issuance, a ban was imposed on trade, economic and financial ties, and existing ties in the field of transport and other fields, with Abkhazia, at the state level.	0
The Group believes that the ban could have the greatest impact on these and other high-priority threats, such as the use of man-portable air defense systems, if it were more closely linked to other counter-proliferation and arms control regimes.	0
Takes note of the development of the human rights due diligence policy, encourages [the Mission] to fully implement it, and requests the Secretary-General to include progress made in implementing that policy in his reports to the Council;	1
17. We believe that together these steps form the basis for a strategic approach to strengthening peace forces in Somalia. This approach would complement the measures already taken by the Security Council to contain the conflict.	0
