ar_en_GOOGLE	VerConf
We are particularly concerned about the lack of training for mid-level civil servants, in addition to the significant problems that continue to surround the judicial field.	1
The Republic of South Sudan is deeply concerned about the deteriorating security situation in the border areas of both the Republic of Sudan and the Republic of South Sudan.	1
At the same time, multiple groups affiliated with Al-Qaeda emerge, often independently, with generational, geographic, ethnic, structural, and operational changes.	0
In conclusion, the challenges facing Afghanistan are enormous, but we are making progress.	1
Moreover, providing humanitarian assistance, restoring public order, establishing functioning public institutions, reconstruction and reform, and peacebuilding for long-term sustainable development all require the participation of a strong civilian component.	0
As the United Nations Support Mission in Afghanistan, we would be irresponsible if we did not appeal to the international community, the Government of Pakistan, the Government of Afghanistan and its national forces to end that situation, especially on the southern border.	1
The issue of disarmament and arresting the perpetrators of these atrocities is considered the most important special demand of the Council and the most glaring example of the government&#39;s failure to fulfill its responsibilities.	1
Although the Defense Forces leadership stresses the importance of the hierarchy of command for examining complaints, there appear to be no fixed, detailed procedures regulating how complaints are formally considered and reviewed.	1
It appears that people not only aspire to, but also demand that more pluralistic and representative governments provide tangible benefits to their citizens.	1
Where the allegations are proven true and the victim identifies the rapist, it is recommended that the case be referred for prosecution to the local public prosecutor&#39;s office.	0
It encourages communities to self-monitor and counter polarizing views without government intervention as a more sustainable way to prevent extremism within communities.	0
80. UNOCI staff regularly expressed frustration that they did not have good intelligence to follow up on and the technical skills needed to fulfill their mandate.	1
Although the Commission was satisfied, on the basis of the evidence of independent witnesses, that the defense forces had initiated the opening fire, each side believed at the time that it had been attacked by the other side.	0
The incident in northern Mitrovica has clearly shown that, despite the Security Council&#39;s mandate regarding the reconstitution of UNMIK, the EU Rule of Law Mission in Kosovo is increasingly moving away from the principle of status neutrality, undermining the existing international presence. .	1
Some detainees were imprisoned for 11 months without being charged, without access to a lawyer or contact with their families.	0
18 - Now that the organizational and logistical aspects of the tracing operation appear to have been completed, it has become necessary to achieve the goal of finding the victims, identifying them and finally closing their files.	0
The latest available information indicates that 35 internally displaced persons were killed in this incident and 10 injured, and that 4,000 internally displaced persons and villagers were forced to flee.	0
We note that in his report (S/2008/728), the Secretary-General expresses concern about the security situation in the eastern Democratic Republic of the Congo.	1
Regardless of the motive, if the attackers had intended to annihilate the group, they would not have spared one of the brothers.	0
- It has become easier, in an increasingly globalized world, for terrorists to exploit advanced technology, communications and resources to achieve their criminal goals.	1
The report underscores the alarming picture of the situation in the Sahel region and the related security, economic and humanitarian concerns.	1
The Council must call for an immediate cessation of all military operations in Gaza and the withdrawal of the Israeli occupation forces from the area.	1
However, some countries&#39; definitions of terrorism appear vague or too broad, and should be brought into line with international rules.	1
27 - Despite the delays, I find it encouraging that all stakeholders have now agreed to resume the exchange of family visits, allowing thousands of individuals in the region and in the camps in the Tindouf region to benefit from this humanitarian programme.	0
It is unlikely that the inclusion of these individuals on the list would have made much difference to the level of attention paid to them by government authorities, but since they showed no change in their written or verbal support for Al-Qaeda or the Taliban, and neither constituted a criteria for inclusion on the list, States recommended that they continue to be included in the list and the Committee agreed.	0
Reaffirming that terrorism in all its forms and manifestations constitutes one of the most serious threats to international peace and security and that any terrorist acts are criminal and unjustified, whatever their motives, the times of their commission, and whoever their perpetrators,	1
Timor-Leste On 10 May, the Council heard a briefing by the Special Representative of the Secretary-General, Kamalesh Sharma, in plenary.	0
Steps need to be taken to adequately suppress terrorist financing.	1
Strongly condemns all violations of applicable international law committed against women and girls in armed conflict and post-conflict situations, calls on all parties to conflicts to immediately halt such acts, and stresses the responsibility of all States to end impunity and prosecute those responsible for all forms of violence committed against women and girls in armed conflict, including rape and other forms of sexual violence;	1
(c) Preventing the direct or indirect supply, sale and transfer to these groups, individuals, institutions and entities, from their territories, or by their nationals outside their territories, or using ships or aircraft flying their flags, of weapons and related equipment of all types, including weapons, ammunition and vehicles. Military equipment, paramilitary equipment and spare parts necessary for the above, and technical advice, assistance or provision of training related to military activities; It recalls that all States must implement these measures with respect to listed individuals and entities.	0
A heated verbal argument took place between Colonel Rees and Mr. Malik.	1
Uganda believes that ending impunity is the only credible deterrent against crimes that are of serious concern to the international community.	1
89 - The security forces are national regular forces, whose mission is to take care of Sudanâs internal and external security, monitor the facts related to that, analyze its implications and dangers, and recommend measures to prevent them ().	0
States also strengthened the implementation of the necessary counter-terrorism measures at the institutional level.	0
According to another, any comprehensive state-led response to counter extremism must consider local communities themselves as an integral part of the national security framework.	0
We condemn all terrorist acts committed in Afghanistan, especially the most recent one committed against the Indian Embassy in Kabul, and express our condolences to the governments and peoples of the affected countries and to the families and relatives of the victims.	1
Incidents caused by cluster munitions dropped by NATO forces have decreased significantly as a result of a change in strategy that has significantly accelerated the elimination of accessible cluster explosive units.	0
The reports were transmitted daily to Brigadier General Azar and to the Army Commander, General Michel Suleiman.	0
In the UAE, the Central Customs Intelligence Unit feeds risk estimates into the electronic customs clearance system.	0
121 - The âJanjaweedâ to whom most of the victims in the ongoing conflict refer are Arab militias that raid the villages of these victims riding horses or camels, killing, looting, burning and raping.	0
In response to the bird flu epidemic in the period from mid-2009 to August 2010, the Ministry of Health, with the support of the World Health Organization, developed epidemic preparedness plans that included strengthening supervision systems and obtaining Tamiflu tablets, installed a ventilator in the National Hospital, and implemented a set of training courses for workers in the field. health care.	0
In some cases, internally displaced persons were prevented from accessing their livestock and crops located nearby, due to the risk of Janjaweed attacks outside the camps.	1
The Office welcomed these ongoing activities related to the exchange of experiences and best practices in the field of reparation for victims, and it encourages other countries to continue on this path.	0
(i) Providing support, including through political mediation efforts, to the completion of disarmament, demobilization and reintegration or effective integration into the army of [national] armed groups, which will remain contingent on the provision of adequate advance training and access to equipment;	0
Moreover, Military District 3 in Mijek also largely fulfilled its obligations in this regard, as only four violations of freedom of movement were committed.	0
74 - Member States of the European Union are also obligated to criminalize âpublic incitementâ pursuant to the amendments introduced in 2008 to the framework resolution issued by the Council of the European Union on combating terrorism in 2002.	1
Condemn the violations and manifestations of ill-treatment committed against women and girls in situations of armed conflict and call for their immediate cessation.	1
Mr. Le Luong Minh (Viet Nam): Terrorism is a concern shared by all Member States of the United Nations and the international community as a whole.	1
We are disappointed, Mr. President, that despite your efforts and the efforts of many others, the Council was unable to condemn that brutal terrorist attack.	1
30. The Mission&#39;s community policing initiative strengthened links with the local community.	0
33. During the reporting period, the threat posed by members of the former military forces decreased, following the death on 9 April of Rafix Remisianth, who had appointed himself as commander (see S/2005/313, para. 16).	0
118. The information provided for this survey shows that, in the eyes of many States, incitement to commit acts of terrorism continues to constitute a serious danger and threat in many parts of the world, albeit to varying degrees.	1
Welcoming the establishment of the Office of the Ombudsman pursuant to resolution 1904 (2009) and the strengthening of the mandate of the Ombudsman in resolution 1989 (2011), noting the important contribution of the Office of the Ombudsman in providing additional integrity and transparency, and noting the Security Councilâs firm commitment to ensuring that the Office The Ombudsman continues to carry out his role effectively in accordance with his mandate, and recalling also the Presidential Statement of the Security Council of 28 February 2011 (S/PRST/2011/5),	0
But we are concerned that a key factor in decision-making is being undermined by the lack of political consensus.	1
At the outset, I must express our deep concern about the security situation in this country.	1
On this basis, I would like to approve Pakistan&#39;s request and intend to establish a three-member investigation committee.	0
What everyone needs to do is reject the hard-line voices that find comfort in the old ways and believe that it is impossible for Serbs and Albanians to normalize their relations by reaching a historic compromise.	1
6. I noted in paragraph 19 of my report of 30 August 2004 (S/2004/703) that âthe process of disarmament of PDF personnel has begun, with the second Joint Verification Mission attending a ceremony for the disarmament of approximately 300 soldiers in West Darfur.â &quot;.	0
However, the security situation remains a cause for everyone&#39;s concern, despite the decrease in the number of security-related incidents in December 2011 and January 2012, compared to the previous two months last year.	1
Consider implementing targeted and graduated measures against parties to armed conflict responsible for obstructing the delivery of humanitarian assistance in violation of international humanitarian law, including by engaging in attacks against humanitarian actors and their assets.	0
Council members expressed their deep concern about the crimes continuously committed in Libya.	1
It is not unlikely that criminal activities are interconnected and feed into each other, thus fueling terrorism in Africa and criminal acts that plague other regions of the world.	1
Two suspects in this attack are in custody in a prison built under the Office&#39;s Maritime Crime Programme.	0
I encourage the Congolese authorities to hold accountable those responsible for the mass rape and looting committed in Walikale in July and August 2010.	1
Although the Committee did not accept information indicating that the former Prime Minister gave instructions to Ray Luce to &quot;get rid of&quot; his political opponents during a meeting on 8 May, it is satisfied, on the basis of all the information available to it, that there are reasonable suspicions that the Prime Minister The former was at least aware of the distribution of police weapons to civilians.	1
They told the commission that police had indeed been targeted during attacks on villages, but they blamed mainly the Janjaweed for such actions.	0
The first is that some countries do not appear to have done enough to ensure implementation of the embargo; The second lies in the different ways in which states interpret their obligations. The third relates to the scope of the arms embargo and its connection to the continuous change in methodologies for achieving its goals.	0
We raise the issue of violence in order to express our impatience with regard to finding satisfactory and urgent solutions to the enormous challenges to the unity of Iraqi society.	1
Romania reiterates that any terrorist act is unacceptable and must be condemned.	1
Determining that the situation in the Democratic Republic of the Congo continues to constitute a threat to international peace and security in the region,	1
Member States noted that sites promoting terrorism in one country are invariably located in another country.	1
After that, the soldiers stormed the homes of the neighborhood, arrested some young men, and took them on military buses.	0
23. Requests the Committee to circulate to the Council a list of States that had not submitted reports by 31 March 2004 pursuant to paragraph 6 of resolution 1455 (2003), including an analytical summary of the reasons given by States for non-submission of reports;	0
I reiterate that United Nations personnel must never be threatened or punished for carrying out their work, which is based on the Charter of the United Nations and, in this case, mandated by the Security Council.	1
The participants committed to uniting efforts to combat the Boko Haram group, and pledged to complete the construction of the headquarters of a multinational joint force in Nigeria by November 20, and to deploy a military force within the national borders in which each country would participate with a military unit of 700 soldiers.	0
Emphasizing the importance of putting an end to impunity for violations of applicable provisions of international humanitarian law and international human rights law, within the framework of a comprehensive approach that seeks to achieve sustainable peace, justice, fact-finding and national reconciliation.	1
In return, the authorities in Belgrade must end their obstructionist method, which prevents Kosovo Serbs from participating in Kosovo&#39;s public institutions. The “vacancy policy” entails great risks in writing the history of Kosovo without the participation of Kosovo Serbs.	1
It is unfortunate that this position has not changed despite the Committee&#39;s many attempts to cooperate.	1
212. During the course of the investigation conducted by the Commission, it recognized the importance of the traditional justice system in Timor-Leste as well as the modified form of traditional justice administered through the civil reconciliation process undertaken by the Reception, Truth and Reconciliation Commission for âless seriousâ criminal offences.	0
However, the Group recommends that the Security Council draw the attention of Member States to the fact that they are obligated, under the sanctions regime, to prevent the use of the Internet for the purposes of providing, directly or indirectly, technical advice, technical assistance or training programs related to military activities, or their sale or transfer to individuals or Entities included on the list from their territories or through their nationals residing outside their territories.	1
âThe Security Council is deeply concerned about the devastating humanitarian, political and economic consequences of armed conflicts, and stresses the supreme political and moral necessity of preventing the outbreak of armed conflicts and preventing their escalation, and the benefits that this will achieve for peace, development and friendly relations among all States.	0
âThe Security Council strongly condemns the ongoing violence and human rights violations committed by all armed groups, including summary executions, sexual and gender-based violence and the widespread recruitment and use of children, and demands that all armed groups immediately cease all forms of violence and activities.â destabilizing forces and that their members be immediately and permanently demobilized, that they lay down their weapons and that children be released from their ranks, and reiterates that those responsible for human rights violations and violations of international humanitarian law will be held accountable for their actions and should not be eligible for integration into the armed forces or other elements of the state security forces.	1
âThe Security Council expresses its growing concern at the serious threats posed by drug trafficking and related transnational organized crime activities to the achievement of international peace and stability in West Africa and the Sahel, as indicated in the United Nations Integrated Strategy for the Sahel.	1
The Commission was able to establish a detailed and accurate account of the events of April and May that led to significant loss of life, injuries and widespread damage to property.	0
531. The Commission initially notes that it has identified 10 high-ranking central government officials, 17 government officials working at the local level in Darfur, 14 members of the Janjaweed, 7 individuals from various rebel groups, and 3 officers belonging to a foreign army ( Participated in their personal capacity in the conflict) and are suspected of individually bearing criminal responsibility for crimes committed in Darfur.	1
&#39;&#39;The Security Council affirms that any attempt to destabilize Chad by force is unacceptable.	1
All but one of the twenty-five member states of the European Union (420 police officers) are participating in the mission, along with other non-EU member states (52 police officers).	0
Resource constraints continue to greatly hamper the effectiveness of Mali&#39;s anti-transnational organized crime units, although a United Nations police anti-transnational organized crime cell shares premises with its Malian counterparts.	0
Recommendations were also made regarding the participation of national parties to ensure adequate knowledge of the social, political and cultural background of the cases, and at the same time to promote the growth of the national judicial sector.	0
Further demands that parties to the conflict immediately cease all violations and attacks committed against children and requests the Secretary-General to ensure that: (a) Continued monitoring and reporting on the situation of children, including within the framework of the reports referred to in paragraph 14 above, by means including close cooperation With child protection actors; (b) Continue dialogue with parties to the conflict with a view to preparing and implementing time-bound plans of action to end the recruitment and use of children and other violations committed against children under international humanitarian law and international human rights law;	1
It is clear that failure to ensure accountability, reparation and reconciliation could derail the peace process and the post-conflict situation, thus posing a new threat to peace and security.	1
Initial measures 39. Solving a crime of this magnitude requires strong administrative capacity, clearly defined roles, strong coordination and access to sufficient competencies, manpower, equipment and means of assistance.	0
However, any changes to the agreements should be mutually acceptable and remain consistent with the principle that military forces remain in the status quo during the ceasefire and the mission&#39;s military observers are allowed to exercise their full freedom of movement, in accordance with the basic principles of peacekeeping.	0
2 - Calls upon all States to cooperate, inter alia, in strengthening the security of their international borders, including by combating fraudulent travel documents, and to strengthen, to the extent possible, procedures relating to the detection of terrorists and the security of travelers with a view to preventing those found to have committed the conduct referred to in paragraph 1 (a). from entering its territory;	0
âThe Security Council calls on Burundi to prevent any support from its territory to armed groups within the Democratic Republic of the Congo.	1
While I regret the actions taken by Hezbollah, and as I said, Israel has the right to defend itself, the use of excessive force must be condemned.	1
In that regard, we would like to go further to say that we believe that the only way to improve security and stability in Somalia is to enable the Somali security forces to subdue the most powerful insurgents and enable the Government to expand its areas of authority as much as possible if peace negotiations fail.	1
The Security Council urges all parties to any armed conflict, including non-state parties, to end such practices.	1
The Council stresses that all those responsible for violating international law, including international humanitarian law and human rights law, as well as anyone who instructed the commission of such acts, will be held accountable.	1
As requested in resolutions 2170 (2014) and 2178 (2014), the Council also received two briefings from the Chairs of the Security Council Committee established pursuant to resolutions 1267 (1999) and 1989 (2011) on Al-Qaida and associated individuals and entities and the Security Council Committee established pursuant to resolutions 2170 (2014) and 2178 (2014). Resolution 1373 (2001) on combating terrorism.	0
31. The allegations of the presence of armed demonstrators and elements of rebel groups prepared to attack the security forces or overthrow the President could not be independently verified, as the Commission did not receive any conclusive or reliable evidence in this regard.	0
1 - Syria reiterates its emphasis on the initiative it launched more than two decades ago to hold an international conference under the supervision of the United Nations to define terrorism and distinguish between it and the struggle of peoples against foreign occupation.	0
Emphasizes the necessity of holding accountable all those responsible for the violation and abuse of human rights, and stresses the need to conduct a comprehensive, independent and impartial investigation that meets international standards regarding the alleged violation and abuse of human rights to prevent impunity and ensure full accountability;	1
If Al-Qaeda leaders are unable, due to the restrictions imposed on them by international measures, to translate support for these followers into coordinated violence under their control, they continue to attract them, including some who are intent on committing terrorist acts in their own name without having the desire to see their actions within a broader political program. .	0
1. Commends the continued efforts of the African Union, in particular President Olusegun Obasanjo of Nigeria, President of the African Union, President Thabo Mbeki of the Republic of South Africa and the African Union mediator, the Economic Community of West African States, and leaders of the region to promote peace and stability in CÃ´te dâIvoire, and reiterates its Full support for these efforts;	0
He considered that accountability is a basic condition for reconciliation, and that efforts should also be made to hold accountable those belonging to armed groups who have committed gross human rights violations.	0
One thing that remains a major concern of mine is that the efforts that Liberians are making to rebuild their judicial system will take a long time, so the system itself is likely to remain weak and vulnerable in the short term.	1
These actions are completely unacceptable. The Palestinian Authority must put an end to these attacks and prosecute their perpetrators.	1
In this regard, we express our full readiness, in consultation with the United Nations, to contribute to the strengthening of the United Nations Integrated Mission, in particular by establishing a rapid reaction force from among troop-contributing countries with strong rules of engagement and means, in accordance with the UNMIS Intervention Brigade model. To achieve stability in the Democratic Republic of the Congo, and to deploy it in northern Mali in order to contribute to the fight against armed terrorist and criminal groups and to facilitate the successful completion of efforts to stabilize that part of the country.	0
States should adopt a comprehensive approach to refraining from providing safe haven, as several interconnected measures must be taken to ensure effectiveness in this area. Some of these measures are legislative, including those related to law enforcement, border control, refugees, and granting asylum.	0
483 - The committees have rejected many cases on the grounds that their interrogation of the victims revealed that the crime complained of did not amount to rape, as no penetration occurred, or that the complainants had confused rape with persecution, and had mistakenly submitted complaints related to other forms of assault or violence. Like multiplication.	1
Reiterating its deep concern that, despite its repeated condemnation of violence against women and children, including all forms of sexual violence in situations of armed conflict, and despite its calls to all parties to armed conflicts to immediately desist from such acts, such acts continue to be committed, In some cases, it has become committed systematically and on a large scale.	1
Among these concerns, one concern must be highlighted, which is the deteriorating security situation in recent weeks and months.	1
(a) If the act mentioned in Paragraph 1 above results in the death of a person or serious bodily harm to more than one person;	0
While most Ivorian stakeholders, including President Gbagbo and Prime Minister Soro, made positive comments about the operations of the mobile courts, the opposition Rally of Republicans complained that many Ivorians were unable to access the mobile courts, particularly in the Western Region, due to The presence of militias, even if they are inactive.	1
600- In light of this international legal rule, Sudanâs obligation to pay compensation for all crimes committed in Darfur by its agents, officials or agencies must be considered de facto.	0
Urges troop- and police-contributing countries to take appropriate action to prevent sexual exploitation and abuse by their personnel, including conducting awareness-raising training before deployment and in the field and promoting the Secretary-General&#39;s Bulletin on Special Measures for Protection from Sexual Exploitation and Abuse (ST/SGB/2003/13 ) and ensure compliance therewith.	0
This is unacceptable, and must be completely condemned, especially by the Security Council, using the means at its disposal.	1
A greater United Nations presence is indeed vital, but for the added value of our Organization to be fully effective, adequate funds must be provided for both staff and security. Mr. Eddy reminded us of that a few moments ago.	1
As important as it is to prevent terrorists from carrying out their attacks, it is clear that terrorism cannot be defeated by security measures alone, and many members of the international community expect the Security Council to introduce measures that limit the means by which Al-Qaeda spreads its message and encourage the implementation of programs aimed at undermining it.	1
He also stressed the risk of the conflict intensifying with the resumption of the migration season, elections, and the lack of dialogue.	1
In total, 72 per cent of the planned number of police personnel (5 per cent of them women) were deployed.	0
Uganda does not support any Congolese militias as claimed by the Permanent Representative of the Democratic Republic of the Congo.	1
Requests the Secretary-General to continue to provide assistance to the Government of the [country concerned] in establishing transitional security institutions, including the [national] police and national security forces, and to continue to support the Government of the [country concerned] in developing a national security strategy that embodies respect for the rule of law and the protection of human rights It includes plans for disarmament, demobilization and reintegration, and capacity-building in the areas of justice and prisons, as well as the legal and policy framework that governs the work of its security forces, including management, screening and oversight mechanisms.	0
As for law enforcement agencies, they are well organized and have established special agencies, committees and units to combat terrorism.	0
This political incident was strongly denounced through a press release issued by the office of President Ernest Bai Kroma, as well as by numerous press releases issued by political interest groups, including the APC, the People&#39;s Movement for Democratic Change and the Independent Commission for the Media. The Political Parties Registration Committee and the Good Governance Campaign.	1
The objectives of the program are to help implement the structural reforms necessary to enable the Congolese state to extend its authority throughout the country, to strengthen the capacities of local communities to respond to damaging shocks, to provide economic opportunities for unemployed youth and other high-risk groups, and to realize the benefits of Concrete peace in the western provinces.	0
The Committee notes with concern the lack of any regular monitoring of weapons and ammunition by the National Police.	1
We, once again, condemn the killing of civilians, whether by the Palestinian or the Israeli side.	1
24 - Urges the International Working Group, which will receive periodic reports from the mediation team, and the Sanctions Committee established by resolution 1572 (2004) of 15 November 2004, to assess, monitor and follow up on the progress achieved on the issues mentioned in paragraphs 14 to 18 above Close follow-up;	0
In accordance with international jurisprudence, one can also, in case of doubt, determine: (a) whether a group of persons is, in fact, seen and treated as belonging to a protected group, and (b) whether this group sees itself as being covered by one Of these groups ().	0
The decree was an impetus for further developments regarding the integration of Congolese armed groups into the Armed Forces of the Democratic Republic of the Congo.	0
Requests the [Affected State] to facilitate international relief work to mitigate the humanitarian disaster, by removing all restrictions that could impede the provision of humanitarian assistance, and providing access to all affected populations.	0
:: March 14, 2005, a counter-demonstration led by Christians and Sunnis demanding the withdrawal of Syrian forces and the arrest of the heads of the security and intelligence services.	1
With regard to the humanitarian situation, Guatemala is concerned that, according to the Office for the Coordination of Humanitarian Affairs, 20 million people in the Sahel region are in need of humanitarian assistance, particularly in Mauritania, Niger, Burkina Faso and Chad.	1
44. The Committee welcomes the Executive Directorateâs continued close cooperation with the experts of the Security Council Committee established pursuant to resolution 1540 (2004) and its Committee arising from resolutions 1267 (1999) and 1989 (2011), including through the regular exchange of information, the exchange of mission reports, and the preparation of documents and statements A joint report submitted by committee chairs to the Council.	0
85 - Unless the differences within the transitional federal institutions are addressed, the current political impasse could develop into deeper divisions and undermine the very institutions that the Somali people yearn for and which the international community and the United Nations stand ready to support.	1
The terrorist threats threatening the region are somewhat different in terms of their origin and nature, but they are similar to the aforementioned dangers in terms of their effects.	1
The Committee believes that the cases of torture that occurred, based on the above, could be considered a crime against humanity, and given the discriminatory nature of the attacks, these cases of torture could also include the crime of persecution as a crime against humanity.	1
However, bin Laden was able to take advantage of modern communications to appeal to many Muslims as a spiritual leader who makes violence appear a kind of glory and duty instead of actually terrorism.	0
This disturbing pattern of activities is a serious concern that threatens to undermine the credibility of United Nations operations.	1
He was not satisfied with his observations at the crime scene, but was hopeful that the situation would improve the next day, since responsibilities had been distributed at the meeting held earlier.	1
For example, in a unique gesture, the United Nations Fact-Finding Mission on the Gaza Conflict1 used public hearings as part of its investigative methodology to ensure an inclusive process and allow victims to have their voices heard in cases where they had not previously been She has that, and supports her rights to know the truth and access to justice.	0
That night, an eastern police officer broadcast a statement on the radio blaming Commander-in-Chief Martins and his deputy, Babu, for the death of the Rapid Response Unit officer.	1
All of this requires waging a powerful war against entrenched informal actors, whose presence poses a threat and an obstacle to the full exercise of its sovereignty by the Afghan state.	1
90 - Paragraph 4 of resolution 1624 (2005) emphasized that âin taking any measure to implement paragraphs 1, 2 and 3 of the resolution, States must ensure compliance with all their obligations under international law, in particular international human rights law and refugee law.â and humanitarian law.	0
The Palestinians and Arab countries must give Israel the necessary and reliable guarantees for its security as a state.	1
The Palestinians must end public incitement to violence and do everything in their power to prevent extremists from attacking Israel, provoking an Israeli response.	1
:: Strengthening cooperation with other subsidiary bodies of the Council, in particular with the two committees established respectively pursuant to resolution 1267 (1999) and resolution 1540 (2004) and their experts, including with regard to the exchange of information, visits and the provision of assistance as necessary.	0
Leaders of the provisional institutions of self-government often evade their responsibilities under resolution 1244 (1999) and the constitutional framework.	1
60. As I noted previously (see S/2010/85, para. 176), a cautious approach should be taken to dealing with the restructuring of the Mission&#39;s police, taking into account, among other factors, the need for their adequate presence in all districts and units to ensure monitoring Providing advice, training, guidance and support as required to continue building the capabilities of the National Police and developing its institutions.	0
46. The Counter-Terrorism Committee and its Executive Directorate should: (a) Work more vigorously with the relevant regional organizations (the African Union, the East African Community, the East African Police Chiefs Cooperation Organization, the East and Southern African Community to Combat Money Laundering and the Capacity Strengthening Program in Counter-Terrorism (Intergovernmental Authority on Development) and focus on activities aimed at improving the implementation of the resolution and redressing its shortcomings;	0
Despite all efforts to restore peace and security, we remain concerned about the recent major setbacks to stabilization efforts in the eastern region of the Democratic Republic of the Congo.	1
Many international experts, organizations and agencies in the field of counter-terrorism also believe that it is important to monitor commercially available dual-use systems and items that could be used in terrorist attacks.	0
144. Although the Committee is aware that the Commander of the Defense Force was facing a mass strike of personnel and the need to maintain discipline in the force, it notes significant discrepancies between the actions he took and those required by law. The Defense Force Commander announced to the public on 16 March that the petitioners should be considered civilians starting from 1 March. The Defense Force delegated the provision of legal advice to the internationally appointed Legal Adviser of the Council of Ministers. There was no legal advisor within the Defense Forces or the Ministry.	1
152. The above case was notable, but the Group noted other unreported examples of the importation of such vehicles for military use.	0
The Under-Secretary-General also indicated that the United Nations has observed an increase in the accusatory rhetoric launched by the Government of South Sudan against the mission, and in the governmentâs violations of the missionâs status of forces agreement.	1
19 - Strongly condemns all acts of sexual and other forms of violence against civilians in armed conflict, in particular against women and children, and pledges to ensure that all peace support operations apply all possible measures to prevent such acts of violence and address their impact wherever they occur;	1
Urging parties to armed conflict to respect the professional independence of journalists, media professionals and individuals associated with them.	0
22 - After monitoring the movements of internally displaced persons towards Kosovo and speaking to people of Albanian origin residing in southern Serbia in particular, the United Nations High Commissioner for Refugees reported that these displaced persons fled for fear of falling under the barrage of fire, and as a result of general anxiety in the mobilization of police and military forces in the Presevo Valley.	1
It was reported that in April 2004, a group of 40 internally displaced women went to collect firewood outside Mokjar, West Darfur, and were attacked by six armed Janjaweed.	0
He telephoned the Acting Chief of Beirut City Police, Major General Naji Malaeb, and informed him about the phone call that came from Mr. Namar and asked him to check with Judge Mezher whether he was aware of this decision.	0
47. The team continued its work aimed at establishing links with academia and civil society experts in order to deepen understanding of the changing nature of the threat posed by Al-Qaida and associated individuals and entities, through dialogue with relevant researchers and academic bodies.	1
Most countries have limited ability to freeze funds and assets without delay, and no country implements adequate measures to protect non-profit organizations from terrorist financing.	1
Emphasizing that the development and maintenance of fair and effective criminal justice systems should be a fundamental pillar of any strategy to combat terrorism and transnational organized crime,	1
At the end of the reporting period, AMISOM consisted of a protection force of 4,100 personnel, 634 military observers and 862 police officers, as well as international civil servants.	0
Members of the mission met with leaders of the National Movement of CÃ´te d&#39;Ivoire in Bouake and with leading human rights, civil society and peace organizations, senior religious officials, both Christian and Muslim, the United Nations Country Team, members of the diplomatic corps and military personnel.	0
