ar_en_DEEP	VerCoop
INTERPOL commented that the more information contained in Special Notifications, in particular fingerprints, photographs and passport numbers in formats with restricted distribution and available only to law enforcement agencies in their member countries, the more useful they will be and the less likely incidents such as those referred to above will be to occur. INTERPOL has also offered to provide guidance to its members on the scope of the sanctions regime. In addition, she proposed the establishment of a permanent inquiry point at the United Nations to answer questions and ensure the timely provision of additional, relevant information on listed individuals when made available by Member States.	1
12 - Given the deep lack of confidence that prevailed among the Lebanese people towards their security and judicial authorities, the International Commission of Inquiry has become a source of great expectations and hopes for change, and has also become a âlinkâ between the Lebanese people and their authorities.	1
83. In light of the above, I recommend extending the Mission's mandate for an additional 12 months while maintaining the size of the Mission's military forces and its police contingent at its current authorized level.	1
A. Recruitment and use of children by armed forces and groups 14. The Nepal Task Force on Children and Armed Conflict established under the provisions of Security Council resolution 1612 (2005) monitored the recruitment of children by the Maoist army and organizations affiliated with the Communist Party of Nepal (Maoist) during the subsequent ceasefire recruitment campaign The fire that peaked in November 2006.	0
Furthermore, during the Team's visit to Sudan, official information was provided regarding the smuggling of weapons by groups linked to Al-Qaida through Eritrea to Al-Qaida members in Saudi Arabia.	1
She announced that the Secretary-General had received a request from East Timor to become a member of the United Nations, and looked forward to the Council considering this request.	1
âThe Security Council also calls on the Government of the Democratic Republic of the Congo to continue to implement its action plan to prevent and end the recruitment and use of children, as well as to prevent and end all acts of sexual violence against children by the Armed Forces of the Democratic Republic of the Congo.	0
Under international law, Israel is obligated, as the occupying state, to protect Palestinian civilians, especially children, and is obligated to preserve civilian property.	0
There is no doubt that all these measures had an impact in raising awareness, developing common understanding, and confronting the dangers and threats of incitement.	1
âThe Security Council reaffirms the commitment of all Member States to settle differences and resolve disputes in accordance with the Charter of the United Nations, and calls upon the international community to provide assistance, as appropriate, in the efforts of regional and subregional organizations to settle disputes by peaceful means and to prevent the outbreak of conflicts and settle them in accordance with the Charter of the United Nations.â and relevant Security Council resolutions.	1
Humanitarian aid workers have often been harassed and attacked during banditry incidents.	0
Reaffirming its call on all States to become parties as soon as possible to international conventions and protocols against terrorism, whether or not they are parties to regional conventions on this issue, and to fully implement the obligations imposed on them under the conventions to which they are party,	1
Also, although the overall security situation remains calm and peaceful since Timor-Leste officially assumed full responsibility for security on 20 May, smuggling, illicit trafficking and illegal border crossings should be seen as a cause for concern, as well as Tensions related to demonstrations that took place in Dili last July.	0
The name of the Janjaweed militias appeared in some of these incidents, and they contribute to acts of destruction, especially by causing harm to the civilian population and practicing looting on a large scale during the battles or in the following phase.	0
âThe Security Council stresses that regional and subregional organizations have an important role to play in combating the illicit trade in small arms and light weapons, and that it is necessary that the mandates assigned to peacekeeping operations, where appropriate, take into account regional instruments that enable States to detect weapons.â Small and light illicit and traceable.	1
âThe Security Council reaffirms its commitment to Iraqâs independence, sovereignty, unity and territorial integrity, and stresses the importance of stability and security in Iraq to its people, the region and the international community.	1
C. Cooperation with the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004)	1
62. One State indicated that this goal could best be achieved by establishing a sense of patriotic duty and recognizing the public's duty to report its concerns about a case to law enforcement authorities.	0
On 24 November, the Council received a 90-day report from the Chair of the Committee established pursuant to resolution 1591 (2005) concerning the Sudan, Ambassador Maria Cristina Perceval (Argentina), who updated the Council on the Committeeâs activities during the reporting period, including It engages with Member States in the region in order to identify information gaps and report on capacity-building needs necessary to strengthen the implementation of sanctions measures.	1
53. Although the physical protection of civilians from violence remains important, there should be additional focus on protection through political and civil processes, community-level reconciliation efforts, and creating a protective environment in close coordination with the United Nations country team and protection actors. .	1
7. Requests the Executive Representative of the Secretary-General to facilitate and encourage dialogue between national and international stakeholders, particularly in the context of the upcoming elections, while continuing to support their efforts to maintain peace and stability;	1
The Mission continued its awareness-raising activities within the framework of the âUnited Nations is concernedâ strategy.	0
Emphasizing that the measures imposed under resolutions 1572 (2004) and 1643 (2005) continue to contribute to achieving stability in CÃ´te d'Ivoire, particularly in the context of the planned presidential elections, and emphasizing that those measures aim to support the peace process in CÃ´te d'Ivoire,	0
During the period from 1 to 10 October 2014, 20 cases of ceasefire violations were reported along the Line of Control and 22 cases of violations along the established border line, resulting in 12 civilian casualties, 52 civilians injured and 9 individuals injured. Military personnel on the Pakistani side.	0
The three countries visited by the Committee played an active role in establishing specialized counter-terrorism agencies and/or police units and worked to ensure that these units were provided with the necessary training and tools to perform their tasks in various areas related to combating terrorism.	1
At the 5303rd meeting of the Security Council, on 10 November 2005, in connection with the Councilâs consideration of the item entitled âThreats to international peace and security resulting from terrorist actsâ, the President of the Security Council made the following statement on behalf of the Council:	1
Interactions with civil society showed that the mission's mandate and capacity are not clearly understood by the population. There was a widespread perception among local residents that the Intervention Brigade was the only one that could take strong measures to protect civilians, which was not true.	0
In addition, there is a range of Palestinian armed groups active in the country inside and outside refugee camps.	0
âThe Security Council requests the Secretary-General to support efforts to mobilize the necessary resources for the implementation of the outcomes of the YaoundÃ© Summit, and to strengthen national and regional capacities, in close consultation with the States of the Gulf of Guinea, relevant regional organizations and other United Nations entities.	1
In October 2009, Tajikistan established the Financial Monitoring Department (Financial Intelligence Unit) and, in November 2010, prepared a new draft law on combating money-laundering and combating the financing of terrorism.	0
11 - Emphasizes that specialized international and regional organizations play an important role in building understanding of the threat of terrorism, and in facilitating international cooperation in the field of combating terrorism, especially by providing technical assistance and related assistance, upon request.	1
Since the arrival of French forces, gendarmes have not been subjected to summary execution in Bouake.	0
The perpetrators knew that the acts of violence they committed were part of a systematic attack on civilians, which can be inferred from, inter alia, that they knew that they would effectively escape punishment.	0
241 - The Commission has found, based on its analysis of other sources and its own investigative work, that there were attacks on villages in Darfur by Sudanese Government armed forces and the Janjaweed throughout the conflict, with certain periods when such attacks reached their peak in intensity.	0
(b) Continue to identify the needs of States with regard to strengthening and supporting rule of law institutions, and proactively integrate human rights and the rule of law into its recommendations for technical assistance to States with a view to strengthening national systems for prosecuting terrorists and improving international cooperation;	0
18 - The joint statement placed on the government a commitment to freeze restrictions imposed on all humanitarian activities in Darfur and remove any other obstacles to humanitarian work.	0
85 - Since the Security Council measures were imposed on CÃ´te d'Ivoire, the Government has reduced its purchases of arms and ammunition, due to an extensive procurement programme prior to the embargo and also due to the limited use of arms and ammunition during the short period of violent military conflict in 2004.	0
Calling on parties to armed conflict to take appropriate measures to refrain from and prevent acts of sexual violence and to protect all persons from exposure to all its forms, including the following:	1
Among the meetings attended by the Group were two conferences that led to a specific request to UNODC to organize reporting workshops for States from Africa and the Caribbean/Latin America that were required to report to one or more of the three Security Council committees Which deals with the issue of combating terrorism ().	1
The line of this card received a phone call one minute after the bombing, at 12:57 a.m., from a public telephone booth in Tripoli located near a building where Syrian intelligence was located. On 30 January, a call was made from the same phone booth in Tripoli to the landline of Mr. Abu Adass's home.	0
13 - Reports of children abducted during recent attacks on the civilian population demonstrate the terrible price that Darfur's children are paying in this civil war.	0
This means that the Commission is mandated to establish facts relating to possible violations of international human rights law and international humanitarian law in Darfur.	1
We are convinced that the accelerated conclusion of these talks, with the signing of a comprehensive and final peace agreement, will greatly facilitate efforts to combat terrorism and transnational organized crime in our region.	1
âThe Council also calls on all actors to take adequate and necessary measures to ensure respect for the principles of refugee protection and obligations under refugee law, including the civilian and humanitarian character of refugee camps.	1
258 - By resolution 1373 (2001), States are required to prevent the cross-border movement of terrorists and terrorist groups by imposing controls on the issuance of secure and valid identity and travel documents.	1
Points out that [the opposition side] bears a special responsibility in protecting the returnees and facilitating the return of the rest of the displaced population, and requests that further measures be taken by [United Nations bodies], to create conditions conducive to the return of refugees and internally displaced persons..., develop their skills and increase their self-reliance , with full respect for their inalienable right to return to their homes in safety and dignity.	1
9. Calls upon States that have not yet ratified the instruments of international humanitarian law, human rights law and refugee law to consider doing so and to take appropriate legislative, judicial and administrative measures to fulfil their obligations under these instruments;	1
This is particularly the case with regard to persons who have obtained weapons from the Defense Forces and subsequently returned them.	0
80. In its tenth report, the Group recommended that the Committee in the future request from the country of residence, when contacted in the context of the review, all available information on the whereabouts, circumstances and activities of the party concerned, together with a note on any additional measures taken to prevent its support for terrorism, for the purposes of increasing the accuracy of The list and its effect (S/2009/502, para. 24).	1
:: Establish media monitoring mechanisms that ensure effective monitoring, reporting and documentation of any events, sources and content that incite âhate mediaâ.	1
The Chairman of the Group, JosÃ© Ramos-Horta, led the discussions on behalf of the Group, indicating that the Group will focus during the early phase of its work on listening to the views of all Member States as they collectively contribute to peace and security, with the consultations also including General Assembly committees and regional organizations. And countries contributing military forces and police units.	1
2 - Instructs the sanctions committees established by the Security Council, including those established pursuant to resolutions 1718 (2006), 1636 (2005), 1591 (2005), 1572 (2004), 1533 (2004), 1521 (2005) and 1518 (2003). 1267 (1999), 1132 (1997), 918 (1994) and 751 (1992) to revise its guidelines accordingly;	1
57. The reality remains, however, that the financing of terrorist acts does not follow any clear pattern, especially with regard to local cells that raise funds to support their own activities.	0
Based on the above, the Ministry of Foreign Affairs of Georgia considers that the withdrawal of the Russian Federation from the decision taken by the Council of Heads of State of the Commonwealth of Independent States on 19 January 1996 represents a serious threat of destabilization, significantly changes the situation surrounding the conflict, and undermines the legal framework, which defines The peace formula set by the League for the conflict zone.	0
One of the police officers was killed by a soldier thirty minutes later.	0
(a) Implement adopted national legislation in the field of combating terrorism, taking into account international human rights standards;	0
This non-binding instrument reiterates, without establishing any new international obligation, the obligation of States to ensure respect for and implementation of international humanitarian law and international human rights law through national legislation, and emphasizes the role of States in providing adequate, effective, prompt and appropriate remedies, including reparation, to victims .	0
The improvement of relations between Chad and Sudan, and the vigilance of the National Security Forces and the Joint Border Security Forces, were also noted as important factors contributing to this.	0
On the other hand, the Claims Commission for Eritrea and Ethiopia shows that the mechanisms for paying and enforcing compensation as a result of collective claims adjudicated by a third party may pose a significant problem.	0
27 - The Heads of State and Government, concerned about the situation prevailing in southern Libya, stress the need to resolve this situation in order to preserve the stability of the Sahel region.	1
Urges the signatories of the [Peace Agreement] to seek a durable solution for the voluntary return, resettlement and reintegration of displaced persons and to ensure their security, including by addressing land tenure issues, with the support of the United Nations system, and to fulfill in this regard their commitments in accordance with theâ¦Political Agreement and their obligations under the law International.	1
Urges troop- and police-contributing countries to take appropriate action to prevent sexual exploitation and abuse of their personnel, including conducting awareness-raising training before deployment and in the field and promoting the Secretary-General's Bulletin on Special Measures for Protection from Sexual Exploitation and Abuse (ST/SGB/2003/13 ) and ensure compliance therewith.	1
âThe Security Council reiterates its condemnation with the same intensity of all violations of the applicable provisions of international law with regard to the recruitment, exploitation, re-recruitment, killing, mutilation and rape of children by parties to armed conflicts, as well as all acts of sexual violence, kidnappings and attacks directed against schools or hospitals and their prevention of Humanitarian assistance arrives.	0
57. The purpose of the visit was to: review progress made in implementing the action plan signed between the Government and the United Nations country team on monitoring and reporting on 4 October 2012; Discussing the conclusions adopted on 19 September 2014 on children and armed conflict in the Democratic Republic of the Congo; Communicate with relevant ministries, other government officials, child protection agencies, non-governmental organizations and children formerly associated with armed groups, and directly monitor the situation of children affected by the armed conflict in the Democratic Republic of the Congo, with particular attention to the efforts of the Armed Forces of the Democratic Republic of the Congo to comply. of their obligations and remaining challenges, including those relating to non-State actors listed in the annual report of the Secretary-General; and assess the challenges and opportunities for the reintegration of children associated with armed forces and groups in the Democratic Republic of the Congo.	1
40. There are a few States that have submitted reports providing information on measures in place aimed at preventing the abuse of charities or other non-profit organizations, but 63 States require such organizations to obtain licences, or register. Her names.	0
(b) Supplying, selling or transferring weapons and related equipment to Al-Qaeda, Osama bin Laden or the Taliban; or (c) recruiting for Al-Qaeda, Osama bin Laden, or the Taliban; or	0
The Monitoring Team has not learned of any cases of arrest of listed individuals at the border since the issuance of the Team's last report, and the Committee has not received any reports in this regard.	0
He stressed the need to strengthen dialogue within the framework of the transitional federal institutions and encouraged his interlocutors to use their influence to achieve that goal.	1
Urging [the affected State], in coordination with the international community, to undertake a comprehensive reform of the police, judiciary and prison services, to protect and promote human rights and fundamental freedoms, and to end impunity.	1
In fact, the attacks were most often deliberately directed against civilians and civilian targets.	0
The International Committee will be a team composed of three prominent figures with relevant experience and known for their integrity and impartiality.	0
Given the very prominent place that brokerage and related activities have come to occupy in the international arms trade, it has become extremely important for countries to enact effective laws and regulations to regulate this wide range of arms brokering activities today.	1
He added that one of the Chairman's main tasks is also to act as a consensus builder and foster a climate of cooperation within his committee in order to enable it to move forward.	1
He added that these discussions are still ongoing. The Personal Envoy reported that the Moroccan Government had on a number of occasions expressed its disappointment with the content of the latest report and with the Personal Envoy's recent briefing to the Council during the informal consultations held in April 2014.	0
(a) The African Union should be requested to maintain AMISOM forces in Somalia after the departure of Ethiopian forces, and to provide the assistance described below in order to support the strengthening of the Mission;	0
The Committee also conducts periodic reviews of the names of individuals reported dead and entities reported to no longer exist.	0
This remains a source of constant concern to us.	0
The Security Council recognizes the need for humanitarian agencies to continue engaging with all parties to armed conflicts for humanitarian purposes, including activities aimed at ensuring respect for international humanitarian law.	1
Advocating for strict adherence by parties to armed conflicts to applicable provisions of international humanitarian law and international human rights law relating to children affected by armed conflicts.	1
Welcoming the establishment of the Office of the Ombudsman pursuant to resolution 1904 (2009) and the role it has played since its establishment, noting the important role played by the Ombudsman in improving integrity and transparency, and noting the Security Councilâs firm commitment to ensuring that the Office of the Ombudsman is able to continue to carry out its role effectively in accordance with of the mandate assigned to it, Recalling also the presidential statement issued by the Security Council of 28 February 2011 (S/PRST/2011/5),	1
35. Security incidents continued to occur in relation to restrictions on the mission's freedom of movement in South Sudan during the reporting period.	0
4 - The average monthly revenues collected for the Compensation Fund since the beginning of the year until now have reached approximately $351.2 million, so that the average quarterly compensation payments still exceed one billion dollars.	0
On this basis, I would like to approve Pakistan's request and intend to establish a three-member investigation committee.	1
The aim of raising this issue appears to be to paint a picture of Serbia's alleged threat to Kosovo and Metohija.	0
Review and Maintenance of the Consolidated List 25. Recognizes that the ongoing conflict in Afghanistan, and the urgent need felt by the Government of Afghanistan and the international community to find a peaceful political solution to the conflict, requires timely and expeditious amendments to the List, including the addition and deletion of names of individuals and entities, and urges the Committee to decide on Delisting requests in a timely manner, and requests the Committee to review each listing on a regular basis, including, as appropriate, by conducting reviews of individuals considered to have been included in the reconciliation process and individuals whose entries lack identifying elements identity, individuals reported dead, and entities reported or confirmed to no longer exist, requests the Committee to establish guidelines for such reviews, and requests the Monitoring Team to report to the Committee every six months on:	1
Urging relevant regional and/or subregional bodies to prepare and implement policies and activities that benefit civilians affected by armed conflict, and advocate for this.	1
Council members also recognized the need to establish an integrated United Nations office in the Central African Republic, as confirmed in the conclusions of a delegation from the Peacebuilding Commission following its recent visit to the country.	0
28. IOM continued to support the development of the National Police Immigration Service through an expanded capacity-building programme, providing technical legal support to revise the Immigration and Asylum Act, and assisting in developing a border information management system.	0
:: Reports of the Secretary-General: on the safety and security of humanitarian personnel and the protection of United Nations personnel (A/68/489), the protection of civilians in armed conflict (eg, S/2013/689), and relevant reports on Security Council mandates ( For example, report of the Secretary-General on Somalia (S/2014/140).	1
7 - Reiterates that ending the phenomenon of impunity is essential for societies experiencing or recovering from conflict to achieve reconciliation with the past, including attacks committed against civilians affected by armed conflicts, and to prevent such attacks from occurring in the future, and draws attention to the fact that there is a group Full range of justice and reconciliation mechanisms that could be considered, including national, international and 'hybrid' criminal tribunals and truth and reconciliation commissions, noting that such mechanisms can promote not only individual responsibility for serious crimes, but also peace, truth, reconciliation and the rights of victims;	1
71. In their tracing efforts, Member States should be called upon to make use, as appropriate, of INTERPOL's global police communications system "I-24/7" and the INTERPOL electronic arms tracking system.	1
I also welcome the initiatives taken by the Lake Chad Basin Commission to find durable solutions to reduce terrorism, violent insurgency and extremism through a common strategy.	1
:: Take special measures aimed at protecting women and girls from gender-based discrimination, violence, rape and other forms of sexual abuse (providing access to legal redress; crisis centres, shelters; counseling and other assistance programmes; monitoring and reporting mechanisms).	0
At the same time, the Assistant Secretary-General said that everyone must condemn the inflammatory statements made by armed groups threatening to obstruct voting in the regions of eastern Ukraine and to hold their own elections on 2 November, in violation of the Constitution and national law.	0
âThe Security Council stresses the importance of assisting Member States in promoting womenâs full and equal participation in electoral processes and post-conflict constitutional reforms.	1
Cross-border charcoal trafficking has fueled Al-Shabaab, forming the basis of its raids in Kenya.	0
The cell has also worked to enhance the navigational capabilities and mapping skills of both civilian staff and military observers, and has been encouraging the use of geographic information system technology as a decision-making tool.	1
This is the decision according to which, since the date of its issuance, a ban was imposed on trade, economic and financial ties, and existing ties in the field of transport and other fields, with Abkhazia, at the state level.	0
5 - Affirms that the requirements of paragraph 1 (a) above apply to financial and economic resources in all their forms, including, but not limited to, resources used to provide online publishing services or related services used to support those included in this list As well as all other individuals, groups, institutions and entities who partner with the Taliban in threatening peace, stability and security in Afghanistan;	1
4. The Security Council, by its resolution 1521 (2003), also established a committee to supervise the implementation of the measures. A group of experts was established to provide the Committee with information on the implementation of the measures and progress made towards meeting the conditions for lifting the sanctions.	0
Calling on parties to armed conflict to comply with applicable provisions of international law and to respect the civilian status of journalists, media professionals and associated personnel, as well as their equipment and installations.	1
The team firmly believes that officials use the revenues generated through this method to help support their militias and purchase weapons.	0
36. In The Gambia, opposition groups protested against government authorities for failing to hold accountable those who allegedly committed human rights violations. On 4 November, former Chief of the Army Staff, General Lang Tamba, and six co-accused filed an appeal in the Supreme Court against the death sentence for treason and conspiracy imposed by the Supreme Court in July 2010, which was upheld by the Court of Appeal in October. 2012.	0
âThe Security Council stresses the importance of the parties to the Comprehensive Peace Agreement being able to make rapid progress towards organizing the Abyei referendum, resolving the outstanding issues regarding the Comprehensive Peace Agreement, and resolving the critical issues remaining after the referendum in a peaceful manner to the benefit of all parties, including the issues of borders, security, citizenship, debt, assets and currency.â and natural resources.	1
38. Reaffirms that the Monitoring Team should circulate to the Committee every six months a list of individuals reported dead among those on the Al-Qaida Sanctions List, together with an assessment of information relating to them, such as death certificates and, to the extent possible, the status of frozen assets Its location and the names of any entities or individuals that may receive any assets whose freezing decision was annulled, and calls upon the Committee to review these names to determine whether their inclusion on the list is still necessary, and requests the Committee to delete the names of individuals whose deaths there is reliable information;	1
The Council reaffirms the importance of meeting women's needs in peacebuilding and their participation in developing and implementing post-conflict strategies.	1
39. Victims of trafficking subject to deportation orders continue to receive assistance from the shelter program managed by the institution-building component.	0
I commend the introduction to the annual report for 2007-2008, prepared by the delegation of Viet Nam, for providing a summary and substantive analysis of the Council's activities in all regions and on issues ranging from the proliferation of weapons of mass destruction to the role of regional and subregional organizations in contributing to the maintenance of international peace and security.	0
When victims are asked to provide further details, they state that the Janjaweed attackers are from Arab tribes and, in most cases, attack them on horses and camels, armed with various types of automatic weapons.	0
States in this subregion are aware of their vulnerabilities to arms trafficking and have put in place the necessary legislative frameworks to criminalize illicit trade and control the production, sale and transfer of weapons and explosives.	0
The soldiers were about to finish raping the five women when the second group of women who had gone to El Fasher to sell firewood arrived at the same place.	0
As will be explained below, the Committee has collected very basic materials that it believes provide support for the use of the term âJanjaweedâ within the limited framework of the Committeeâs mandate, as a general term to describe Arab militias operating under the command of the Sudanese government authorities, or with their support, or in collusion with them or condoning them. Which benefits from impunity for its actions.	0
Participants considered comprehensive approaches to address the factors that lead to the spread of extremism and terrorism in the region, and how United Nations entities can best help deal with this phenomenon and its implications for peace, security and stability.	1
61. The extent of the presence and functioning of state institutions, the police and the national army in these areas varies greatly.	0
6 - Affirms that the requirements of Paragraph 1 (a) above apply to financial and economic resources in all their forms, including, but not limited to, resources used to provide Internet publishing services or related services used to support the Taliban movement and other Individuals, groups, institutions and entities associated with them, as well as all other individuals, groups, institutions and entities who participate with the Taliban movement in posing a threat to peace, stability and security in Afghanistan, and all other individuals, groups, institutions and entities associated with them;	0
Recalling the right to freedom of expression set forth in Article 19 of the Universal Declaration of Human Rights adopted by the General Assembly in 1948 (âthe Universal Declarationâ), and also recalling the right to freedom of expression set forth in Article 19 of the International Covenant on Rights The Civil and Political Rights adopted by the General Assembly in 1966, and that any restrictions imposed in this regard must not exceed those imposed by the text of the law and must be necessary for the reasons set out in paragraph 3 of Article 19 of the International Covenant on Civil and Political Rights,	1
In some cases where the Committee concludes that the information available is insufficient to decide whether listing is still appropriate, it requests the Panel to seek further information. This is especially true for cases where an individual is believed to have died but there is no death certificate or equivalent official document proving this.	1
It reaffirmed the Secretary-General's condemnation of any use of chemical weapons by any party to the Syrian conflict, and reiterated his call for the perpetrators of any such acts to be brought to justice.	0
(k) Develop guidelines, as appropriate, to facilitate the implementation of the measures imposed above;	0
- Advise the Government..., as appropriate, on security sector reform and the organization of the future national army, including advice on establishing an effective screening mechanism, in accordance with international standards,	1
396 - However, through its investigations, the Committee was able to collect more important information on cases of enforced disappearance.	0
An advance group of this battalion, and a company of special forces, have already been deployed in Yamoussoukro and Abidjan.	0
This strategy also aims to expand the donor community by engaging countries where particularly effective counter-terrorism approaches or systems have been developed.	0
This is evident in the groups fighting in Somalia, Yemen, the Syrian Arab Republic and Nigeria.	0
Ensure continued dialogue with troop- and police-contributing countries on increasing the participation of women in national contingents, including by organizing meetings to review best practices in promoting gender balance and gender mainstreaming in the work of uniformed personnel in peacekeeping operations.	1
17. The Office of Information and Management will continue to expand and update the Committee's website and increase the number of links available to the websites of the United Nations and other entities with counter-terrorism mandates.	0
28- Relations between the Democratic Republic of the Congo and neighboring countries in the Great Lakes region continue to strengthen. On 21 January, the Defense Ministers of Burundi, the Democratic Republic of the Congo and Rwanda adopted the draft Economic Community of the Great Lakes Countries Protocol on Common Defense and Security. The draft protocol provides for the establishment of joint border control mechanisms and an agreement to stop fighters from armed groups fleeing across the border.	0
The Council affirmed in the resolution that the permissions stipulated in this resolution apply only in relation to the situation in Somalia, and do not affect the rights, obligations or responsibilities of Member States under international law, including any rights or obligations stipulated in the United Nations Convention on the Law of the Sea, including The general principle of the exclusive jurisdiction of the flag State over its ships on the high seas in any other case, stressing in particular that this decision does not constitute the creation of customary international law, and further noting that such permissions were granted only at the request of the President of the Federal Republic of Somalia contained in Letter dated 8 October 2014.	1
In its resolution 1977 (2011), the Security Council explicitly encouraged the Committee established pursuant to resolution 1540 (2004) to draw on, among other sources, relevant private sector expertise.	1
On 25 May, the Chairman of the Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban, Ambassador Heraldo MuÃ±oz, Chile, submitted the first oral report to the Council for a period of 120 days, as required under paragraph 12 of resolution 1526 (2004). Regarding the work of the Committee and its team on analytical support and sanctions monitoring.	1
363 of those killed were killed at the hands of regime forces, including 82 children and 48 women, while the Islamic State killed 17 people.	0
I urge all Somali leaders to take the necessary steps to resolve their differences.	1
Some of them are suspected of committing different crimes at the same time.	0
29. The deployment of the Mission's police is being adjusted with a view to maximizing its resources directed towards the electoral process.	0
(b) Prevent the entry into or transit through its territory of such individuals, provided that nothing in this paragraph shall oblige a State to refuse entry to or require the departure of its nationals from its territory; provided that this paragraph shall not apply where entry or transit is necessary for the purpose of judicial proceedings or where the Committee established pursuant to resolution 1267 (1999) (âthe Committeeâ) determines, on a case-by-case basis only, that entry or transit is justified;	1
In other words, the surviving residents of attacks on villages were not simply killed in an effort to eradicate the group; Rather, they were forced to leave their homes and live together in areas chosen by the government.	0
66. Through the United Nations Rule of Law and Security Programme, technical and financial support has been provided to a law enforcement seminar and training workshop for the Somali Police Force in Kampala, since August 2005.	0
UN peace operations have adjusted their stance accordingly and are thus displaying an increasing tendency to âhunker downâ, limiting the ability of both uniformed personnel and civilian staff to engage with local populations, win their hearts and minds, mediate local disputes, and bring together Information - This is crucial for the implementation of peace agreements and efforts to resolve conflicts.	0
- The Russian Federation continues to illegally maintain its military base in Godota, which operates without the consent of Georgia, and contrary to the international obligations undertaken by Russia;	0
During the closed consultations that followed, Council members stressed the importance of resuming Israeli-Palestinian negotiations, and denounced unilateral actions, especially the construction of settlements in the occupied territories, which undermine the efforts of the Quartet to find a negotiated solution to the conflict.	1
(a) To cooperate with other relevant Security Council sanctions committees, in particular the Committee established pursuant to resolution 1267 (1999);	1
At the conclusion of this fourth round of talks, the two parties reiterated their commitment to continue negotiations in Manhasset at a date determined by mutual agreement.	1
The Monitoring Team recommends that the Committee establish minimum standards for identifying those on the list and facilitate its procedures for deletion of names if there is sufficient evidence to consider the holders dead.	1
