ar_en_DEEPL	MatCoop
Such assistance should be aimed at establishing a tripartite national authority that could assume responsibility for monitoring the implementation of any agreed rules and regulations established for the well-being of the more than one million people gathered in the Gulf and for the economic development of the three coastal States in order to facilitate international maritime trade.	1
38. Owing to the rainy season, mine action activities were largely disrupted until late September, when implementation of the mine risk education strategy began. The project is funded by the Australian Agency for International Development.	1
47. In addition to the marked increase in arms flows into Somalia, both sides are also very actively distributing arms and ammunition to their respective militias, equipping militiamen with individual combat equipment, securing and stockpiling food, medicine, fuel and other necessities for sustained fighting, organizing themselves into military-style structures, escalating militia recruitment and training and developing strategies and plans to militarily defeat the other side.	0
Mandate the establishment and localization of appropriate truth and reconciliation mechanisms (e.g., technical assistance, funding, reintegration of civilians into local communities).	1
In their comments, Council members expressed deep concern about recent developments, stressed the need to establish border security mechanisms, and called on both parties to take steps to normalize their relations.	0
Their number has since increased to 16 observers, in addition to their special adviser, and more observers and UN volunteers are currently being recruited.	1
KFOR and UNMIK police collaborated to manage security for major public events, address political violence, and provide special security services to threatened minority communities.	1
Law enforcement expertise will be centralized within a dedicated and independent task force.	1
From the standpoint of international criminal law, these violations of international humanitarian law undoubtedly constitute large-scale war crimes.	0
Meanwhile, the United Nations Development Program (UNDP) is implementing a short-term reintegration program targeting 5,200 ex-combatants and their resettled communities.	1
Requests the Secretary-General to provide Member States with guidelines and training materials on the protection, rights and special needs of women, as well as on the importance of including women in all peacekeeping and peacebuilding measures, invites Member States to include these elements and HIV/AIDS awareness training in their national predeployment training programs for civilian military and police personnel; and also requests the Secretary-General to ensure that civilian personnel serving in peacekeeping operations receive similar training.	0
(b) Enhancing the facilitation of technical assistance aimed at increasing the counter-terrorism capacity of Member States and ensuring that its provisions are adapted to the needs of countries.	1
(b) Monitoring and reporting on the human rights situation, in cooperation with the Office of the United Nations High Commissioner for Human Rights, including on the situation of returned refugees and displaced persons.	1
As outlined above, this approach benefits from its growing understanding of the ongoing challenges of counter-terrorism, gained from its active dialogue with States, including within the framework of country assessment visits. The Executive Directorate continues to make specific referrals for technical assistance to address specific needs in the States it has visited. It does so on a targeted basis, targeting donors who have been deemed responsive, either because they are involved in ongoing programs in a specific State or because they have a keen interest and strong capacity in the relevant technical area.	1
161. Moreover, in 1995, the Appeals Chamber of the International Criminal Tribunal for the Former Yugoslavia, in its judgment in the TadiÄ case (interlocutory appeal), held that the main body of international humanitarian law also applies to internal conflicts as a matter of customary law and, moreover, that serious violations of these rules constitute war crimes.	1
:: :: Play a full role in regional seminars and activities that contribute to raising awareness and promoting the implementation of resolution 1540 (2004) and increase efforts to raise the awareness of parliamentarians and other high-level decision makers	0
The Council emphasizes the importance and urgency of re-establishing justice and the rule of law in post-conflict societies, not only to overcome past injustices, but also to promote national reconciliation and help prevent future conflicts.	0
On July 26, the Council issued a statement to the press condemning the terrorist attack on the United Nations Interim Force in Lebanon, in which six United Nations peacekeepers from France were injured. Thematic and other matters	0
Another State held an international seminar in 2009 on enhancing counter-terrorism cooperation and dialogue among government agencies, the media and civil society.	0
In May 2000, Turabi led a split from the National Congress that resulted in the creation of a new party called the Popular Congress.	1
After visiting Angola and the Democratic Republic of Congo, Margot WallstrÃ¶m, my Special Representative on Sexual Violence in Conflict, issued a statement on March 16 calling on both countries to investigate allegations of abuses of sexual violence that occurred in the context of expulsions and take concrete action to prevent such crimes.	0
2. Directs the sanctions committees established by the Security Council, including those established pursuant to resolutions 1718 (2006), 1636 (2005), 1591 (2005), 1572 (2004), 1533 (2004), 1521 (2005), 1518 (2003), 1267 (1999), 1132 (1997), 918 (1994) and 751 (1992) by revising its guidelines accordingly.	0
The Committee will continue to focus on promoting consensus in the international community on the importance of combating terrorism; taking practical measures aimed at increasing the capacity of States to combat terrorism; helping to identify and address the problems faced by States in implementing Council resolution 1373 (2001); and contributing to the process of increasing the number of States parties to the relevant international counter-terrorism conventions and protocols.	0
Kinshasa and other areas in the west of the country have seen relatively low threat levels, although crime rates remain a concern.	0
51. Three States have developed effective legal frameworks to ensure mutual legal assistance and extradition, as well as adequate mechanisms for the prompt and effective exchange of information with other States.	1
(a) Ensure that customs officers have the necessary operational measures and resources to be able to detect and prevent attempts to transfer currency, negotiable instruments, bearer payments and arms smuggling.	1
While some have been slow to respond, more and more people are eager to participate in the Committee's work, whether by submitting names or promoting views on identifying new areas where Security Council sanctions or other actions can help stem the flow of recruits and reduce the likelihood of further attacks by terrorists associated with Al-Qaida and the Taliban.	1
2. Decides that all States shall take the following measures with respect to Usama bin Laden, members of the Al-Qaida organization, the Taliban and other individuals, groups, undertakings and entities associated with them, as reflected in the list established pursuant to resolution 1267 (1999) and resolution 1333 (2000), to be regularly updated by the Committee established pursuant to resolution 1267 (1999), hereinafter referred to as âthe Committeeâ:	1
I urge the parties to the Comprehensive Peace Agreement and the international community to cooperate fully with the independent panel I have established at the request of the parties.	1
When the weapons collection began, six additional UN vehicles arrived carrying UN police officers, including Mr. Malik.	1
The addition of these names also demonstrates the Committee's continued attention to the threat to international peace and security posed by the Taliban.	0
56. The UNOCI Policy Group on Sexual Exploitation and Abuse finalizes the UNOCI code of conduct on sexual exploitation and abuse and participates in the country network on sexual exploitation and abuse.	1
In conclusion, I would like to make a number of recommendations for any fact-finding mechanism that is established:	0
According to a report by an ad hoc committee set up to assess losses and damage during the popular uprising, some 29 people were killed and 625 injured in the protests.	0
In other words, the fight against terrorism should be a joint, comprehensive and long-term effort.	1
463. In accordance with National Assembly Resolution 38 of December 2003, a Parliamentary Committee for the Promotion of Peace, Security and Development in the Darfur States was established, with a membership of approximately 59 persons.	1
States have developed regional mechanisms to ensure consistent legal and institutional capacity-building in the areas of financial system oversight, law enforcement, border control, cooperation, attention to human rights, and non-duplication of activities.	1
At around 17:00 on the same day, witnesses from Anka village saw between 300 and 400 Janjaweed on foot, and another 100 Janjaweed on camels and horseback, advancing towards Anka village from the direction of Bari village.	0
Sometimes, in order to camouflage these realities, they dress up in military garb to send the false message that it is the official armed forces that are practicing this violence.	0
Arrangements are being considered for UNDP and UNHCR to establish and manage a successor trust fund for DIS, if desired by the Government and potential donors, until the necessary national structures and capacities are firmly in place.	1
However, terrorism will still have its supporters, especially in places where overt political protests don't work, and although al-Qaeda will never gain widespread acceptance, the attacks will continue.	0
That night, an eastern police officer broadcast a statement on the radio blaming General Commander Martins and his deputy Babu for the death of the QRU officer.	0
10. Emphasizes the urgent need for the full and immediate implementation of this resolution with respect to foreign terrorist fighters, stresses the particular and urgent need for the implementation of this resolution with respect to foreign terrorist fighters associated with ISIL, ANF and other cells, affiliates, splinter groups or derivatives of AlQaida designated by the Committee, and expresses its readiness to consider listing, under resolution 2161 (2014), individuals associated with AlQaida who commit the acts specified in paragraph 6 above.	1
(n) Coordinate and cooperate with national counter-terrorism focal points or similar focal points in the country visited, as appropriate.	1
17. For the purposes of task four, the Commission considered it necessary to conduct a preliminary assessment to determine the extent to which the Sudanese criminal justice system was able and willing to prosecute and bring to justice those responsible for international crimes committed in Darfur, and then to consider the various international mechanisms available.	1
âThe Security Council notes the detrimental impact of the proliferation of weapons, particularly small arms, on the security of civilians, including refugees and other vulnerable groups.	0
Law enforcement agencies are well organized and have established special counter-terrorism agencies, committees, and units.	1
It is important to formally prosecute cases of domestic violence and sexual assault in accordance with the new penal code.	0
Our analysis and research on the size and shape of the crater caused by the explosion does not give a clear indication of whether the explosion occurred above or below the surface of the earth.	1
As outlined above, there are repeated and credible reports showing that these raids increased dramatically on the night of March 23, and then even more dramatically during the nights that followed.	0
(a) Implement the adopted national counter-terrorism legislation, taking into account international human rights standards.	1
27. Despite the delays, I am encouraged that all stakeholders have now agreed to resume the exchange of family visits, allowing thousands of individuals in the Territory and in the camps in the Tindouf area to benefit from this humanitarian program.	1
These acts are mainly perpetrated by FARDC soldiers and police.	0
Most countries do not have domestic refugee legislation and only three countries have ratified the 1951 Refugee Convention.	1
Overall, the Team found a high level of commitment to the work of the 1267 Committee and a generally encouraging awareness of the List and the measures.	1
âIn the context of the expiration of MINURCAT's mandate on December 31, 2010, the Security Council commends MINURCAT's contribution to the security provided, without prejudice to the primary responsibility of the Government of Chad, to refugees, internally displaced persons and humanitarian workers in eastern Chad, and its efforts to enhance the capacity of Chad's DÃ©tachement intÃ©grÃ© de sÃ©curitÃ© (DIS).	0
Aid agencies have mobilized to respond, but the unusual water flows caused by the Guo rainy season have highlighted the need for a sophisticated early warning system and emergency preparedness plans.	1
Moreover, given that the purpose of the sanctions process is to encourage a change in behavior, a description of the facts that led to de-listing can guide the Ombudsperson in his or her dialogue with the petitioners and provide examples for listed individuals and entities in general.	0
Recognizes the detrimental impact of the proliferation of weapons, in particular small arms, on the security of civilians by fuelling armed conflict, and encourages [the mission] to continue its efforts to assist the Government of [the affected area] in the civilian disarmament process, in particular by strengthening the capacity of local authorities to deter intercommunal conflicts and monitoring forced civilian disarmament initiatives to prevent the occurrence of disarmament processes that could exacerbate insecurity in [the affected area].	1
Ensure effective coordination and implementation of mine action policy and guidelines for mine action programs. Inter-Agency Working Group on Disarmament, Demobilization and Reintegration (chaired by DPKO and UNDP) The Working Group provides strategic advice including on training modules, policies and strategies; manages and reviews United Nations disarmament, demobilization and reintegration guidelines; develops and manages the United Nations Disarmament, Demobilization and Reintegration Resource Centre; and facilitates the planning of disarmament, demobilization and reintegration operations among the various United Nations agencies involved.	1
UNMIN arms monitoring specialists registered and supervised the storage of the Maoist army's weapons for round-the-clock monitoring.	1
Three media activists were also injured in November, all of whom were wounded by regime forces.	0
UNOCI is also in the process of recruiting staff for its Personnel Conduct Unit.	1
Encouraging the parties in this context to demonstrate further political will to move forward towards a solution, including by broadening their discussion of their respective proposals.	0
âThe Security Council recalls all its resolutions and statements on counter-terrorism, reiterates its strong condemnation of terrorism in all its forms and manifestations, committed by whomever, wherever and for whatever purposes, and expresses its determination to use all means to combat terrorism in all its forms and manifestations, in accordance with the UN Charter and international law, including international human rights, refugee and humanitarian law, as appropriate.	0
Based on the foregoing, the Ministry of Foreign Affairs of Georgia considers that the withdrawal of the Russian Federation from the decision adopted by the Council of Heads of State of the Commonwealth of Independent States on 19 January 1996 represents a serious threat of destabilization, significantly changes the situation surrounding the conflict and undermines the legal framework, which defines the CIS peace formula for the conflict zone.	0
The potential for international attacks still exists, but the impact of the organization's activities has so far been primarily confined to Yemen.	0
A shift in the Mission's force will not alone bring about the changes needed to more effectively implement its mandate; it must include a change in the behavior of some troop-contributing countries.	0
Kenya, Mozambique, Kenya, Seychelles and the United Republic of Tanzania have been or are being provided with coastal maritime surveillance and communication systems to provide a âcommon pictureâ of the maritime domain.	1
While the measures described in this report are expected to enhance the Mission's ability to monitor compliance with the Agreement, it is the responsibility of the parties to ensure that no violations are committed by their military/security forces.	0
Imbalances in gross voter registration rates between regions should be a serious warning.	0
However, the overall frequency of reporting needs to be enhanced in order to gather more complete and up-to-date information on the progress made towards full implementation of the resolution.	1
âThe Security Council has considered the question of the protection of civilians in armed conflict.	0
In that battle, the soldiers who were wounded were taken to Barm for medical care.	0
13. The fact-finding mission looking into allegations of the use of toxic chemicals as weapons in the Syrian Arab Republic continues its work.	1
In that decision, although members of the Coalition Armed Forces were explicitly excluded from the UNCC's jurisdiction, it authorized the payment of compensation for prisoner of war claims by Coalition soldiers for loss or injury resulting from mistreatment in violation of international humanitarian law.	1
72. Requests the Committee, through its Chair, to report orally to the Council at least once a year on the status of the overall work of the Committee and the Monitoring Team and, as appropriate, at the same time as the Chair of the CounterTerrorism Committee and the Chair of the Committee established pursuant to resolution 1540 (2004), expresses its intention to hold informal consultations at least once a year on the work of the Committee, based on the Chair's reports to the Council, and requests the Chair to provide periodic briefings to all interested Member States.	0
The measures the government has taken so far to address the crisis are grossly inadequate and largely ineffective, which has contributed to a climate of total impunity for human rights violations in Darfur.	0
In closed consultations that followed, the Special Representative and the Special Envoy addressed issues related to security sector reform, the establishment of a rapid reaction force within FARDC, the electoral process and the general elections.	1
61. There are a number of stabilization tools and plans (Government Stabilization and Reconstruction Plan, International Security and Stabilization Support Strategy, Stability Islands), but there does not appear to be a common approach within the United Nations system itself.	1
The meeting took the form of a largely question-and-answer session, during which the tripartite team answered questions from members of the Working Group.	0
While in early 2003 very few countries in Africa had ratified at least four of the 12 then-existing international legal instruments against terrorism, most countries have now ratified the majority of them.	0
Given the groups' long-standing hostility to the UN, this suggests an ongoing threat to mission personnel.	0
Recalling the statement made by its President on 8 July 1999 (S/PRST/1999/21), and reiterating its call for the inclusion, as appropriate, within specific peace agreements and on a case-by-case basis within United Nations peacekeeping mandates, of explicit provisions for the disarmament, demobilization and reintegration of former combatants, including the safe and timely disposal of weapons and ammunition.	0
The Committee also conducts periodic reviews of the names of individuals reported dead and entities reported to have ceased to exist.	1
(c) Prevent the direct or indirect supply, sale and transfer, from their territories, or by their nationals outside their territories, or using their flag vessels or aircraft, to these groups, individuals, undertakings and entities of arms and related materiel of all types, including weapons and ammunition, military vehicles and equipment, paramilitary equipment and spare parts for the aforementioned, and technical advice, assistance or training related to the aforementioned activities arms and related materiel of all types, including weapons and ammunition, military vehicles and equipment, paramilitary equipment, spare parts for the aforementioned, and technical advice, assistance or training related to military activities.	1
During this period, the team conducted investigations in specific target locations, such as IDP camps and destroyed villages, as well as with SLA contacts and government officials.	1
The Council reaffirms the importance of addressing the needs of women in peacebuilding and their participation in the development and implementation of post-conflict strategies.	0
In 1980, the FACI introduced six Dassault/Dornier Alpha Jet CI light aircraft for attack and training purposes.	0
With the exception of the ports of San Pedro and Abidjan, the other ports and the coastline lack the infrastructure to import large quantities of weapons and military equipment.	1
:: Establish and provide assistance to local and international media outlets in support of peace processes: Establish and provide assistance to local and international media information outlets in support of peace processes.	1
The Security Council also urges the Central African authorities to continue to decisively combat human rights violations.	0
The paper, drafted jointly by the Working Group on Returns and UNHCR, was submitted to the main asylum countries, and in the paper the mission appealed for a moratorium on forced and compulsory returns during the winter months.	1
30. Encourages States to submit requests for the de-listing of individuals who have been officially confirmed to be dead, in particular where no assets have been identified, and for the de-listing of entities reported or confirmed to have ceased to exist, while at the same time taking all measures required to ensure that assets belonging to such individuals or entities are not transferred or distributed to other individuals, groups, undertakings or entities on the Al-Qaida Sanctions List, now or in the future.	1
Consequently, troop- and police-contributing countries must ensure, through self-certification, that deploying personnel have received predeployment training in the protection of civilians.	1
19. With regard to the travel ban, by paragraph 10 of its resolution 1807 (2008), the Council decided to exclude travel undertaken for humanitarian reasons, including to perform a religious duty, and travel that serves the objectives of peace, national reconciliation and stability in the region, as well as transit of individuals returning to the territory of their State of nationality or participating in efforts to bring perpetrators of serious violations of human rights law or international humanitarian law to justice.	1
6. Demands that all States and parties to armed conflict fully implement all relevant Security Council resolutions and, in this regard, cooperate fully with United Nations peacekeeping missions and country teams in the follow-up and implementation of these resolutions.	0
Decides that [the Mission] shall have the following mandate in the order of prioritization set out below: Protection of civilians (g) To support the Government's efforts with international partners and neighboring countries to create conditions for the safe, voluntary and dignified return of internally displaced persons and refugees, or voluntary local integration or resettlement.	1
Since SA-7 systems were reportedly used in the attack on Israeli passenger jets in neighboring Kenya in November 2002, this information is troubling.	0
In 2009, the Russian Federation strengthened penalties for assisting or participating in terrorist activity (including recruitment), and introduced a bill to strengthen criminal liability for terrorism-related offenses.	1
Reiterating the obligation of Member States to prevent the movement of terrorists or terrorist groups, in accordance with applicable international law, including through effective border controls.	0
Call on States to abide by their obligations to investigate, search, search, prosecute or extradite persons suspected of genocide, war crimes, crimes against humanity or other serious violations of international law, including international humanitarian, human rights and refugee law, regardless of their status or political affiliation.	1
2. Decides to remove those individuals, groups, undertakings and entities previously designated as the Taliban and all other individuals, groups, undertakings and entities associated with the Taliban, whose names were included in section A (âIndividuals associated with the Talibanâ) and section B (âOther individuals, groups, undertakings and entities associated with the Talibanâ) of the Consolidated List maintained by the Security Council Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban and associated individuals and entities, as of the date of adoption of this resolution, from the Consolidated List. maintained by the Security Council Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban and associated individuals and entities, to be included in the list referred to in paragraph 1, and further decides that all States shall take the measures set forth in paragraph 1 against those individuals, groups, undertakings and entities on the list.	1
Collaborate on the development and implementation of a gender-sensitive HIV/AIDS policy in the areas of training, codes of conduct, HIV detection, civil-military cooperation, resource information, and best practice materials; integrate an HIV/AIDS policy into the Department of Peacekeeping Operations and strengthen the capacity of peacekeeping operations (including incoming staff) to address HIV/AIDS.	1
âThe Security Council expresses its deep concern at the increasing entrenchment of terrorist elements in the Sahel region, including Al-Qaida in the Islamic Maghreb, associated groups, and other extremist groups, and its implications for countries in the region and beyond.	0
In particular, he recommends that the Committee amend paragraph 6 (i) of its guidelines to automatically review each year the names of individuals confirmed dead, in addition to any names selected by the Committee from the set of entries that have not been updated for four years or more, unless a Committee member specifically requests that the name of a reportedly deceased person not be considered.	0
In view of the time they had already spent in prison, the policemen were released in the first week of March. On 8 March 2008, Mr. Abdelaziz wrote to me to protest that the early release of the policemen amounted to an âopportunity for impunityâ offered by the Moroccan authorities in return for the actions of the policemen.	0
In this context, the Security Council welcomes the decision of the African Union Summit in Sirte on 3 July to increase AMISOM's strength to the level authorized by its mandate, and its call on AU Member States to provide the necessary military and police personnel.	0
Of particular concern is the pattern of alleged serious misconduct by Haitian National Police officers, including their alleged involvement in the summary execution of at least nine individuals on August 20 during a soccer match in the Martissant district of Port-au-Prince.	0
However, as the public authority responsible for setting policy, the government also has a responsibility to deal with critical issues that arise within or between institutions.	1
The Special Notice developed by INTERPOL and the 1267 (1999) Committee in response to Security Council resolution 1617 (2005) provides a solid basis for exploring further practical cooperation between the two organizations on other arms embargoes.	1
The Security Council notes with appreciation the urgent initial steps taken by the Government of Rwanda to address this situation and encourages the Government of Rwanda to continue its cooperation with the United Nations and relevant international organizations to ensure that these combatants are permanently demobilized and dealt with in accordance with relevant international law, with particular attention to children and women among them.	0
Members of the Council reiterated that the Haitian people and the Haitian Government bear the most fundamental responsibility in achieving national reconciliation, establishing a secure and stable environment, administering justice and rebuilding their country.	0
6. Recalls the obligations mentioned in operative paragraph 2 (e) of resolution 1373 (2001), and recalls in particular those relating to terrorist attacks against United Nations personnel, peacekeepers and installations.	0
In August, 58 children, including 10 girls, were returned to their families pursuant to an agreement reached earlier in 2010 between the government and the Chadian armed opposition group, known as the Movement for Democracy and Justice in Chad (Mouvement pour la dÃ©mocratie et la justice au Tchad).	1
:: Prohibition of hostage-taking: Prohibition of hostage-taking.	1
6. Recalls that, in resolution 1373 (2001), it decided that all Member States shall ensure that any person who participates in the financing, planning, preparation, perpetration or support of terrorist acts is brought to justice, and decides that all States shall ensure that their domestic laws and regulations criminalize the following acts as offences of sufficient gravity to enable the prosecution and punishment of offenders in a manner that duly reflects the seriousness of the offence:	0
19. The National Reintegration and Community Rehabilitation Program, which is expected to absorb a total of 6,000 ex-combatants, has facilitated the registration and background screening of Forces nouvelles members.	1
Law No. 535/2004 on preventing and combating terrorism was promulgated by Presidential Decree No. 994/2004 of November 24, 2004, and entered into force three days later.	1
First, the establishment of the ad hoc tribunals has galvanized national authorities to take up the fight against impunity for these same crimes.	1
