ar_en_DEEPL	VerCoop
The first decision he made was to appoint Brigadier General Naji Mouallab, Assistant Commander of the Beirut Police, as the crime scene officer and tasked him with moving all the bodies, transporting the injured from the scene, extinguishing the fires, and then withdrawing all personnel from the site and closing it down [witness statement].	0
âThe Security Council expresses its concern about the threat posed by unsecured weapons and ammunition in Libya and their proliferation, which pose a threat to stability, including through the risk of transfer to terrorist and extremist groups, and calls on the Libyan government to take concrete measures to tighten its control over stockpiles of weapons and ammunition in Libya by ensuring the proper management, safe storage, and effective disposal of weapons and related materiel where appropriate, as well as by strengthening border security and ammunition in Libya, by ensuring the proper management, safe storage and, where appropriate, effective disposal of weapons and related materiel, as well as by enhancing border security, and urges neighboring States to cooperate in this regard with the Libyan authorities in their efforts to ensure the security of their borders.	1
The Committee is also considering the possibility of collective reporting at the regional level, and has asked the Monitoring Team to explore this option further.	1
We, again, condemn the killing of civilians both on the Palestinian side and on the Israeli side.	0
The group will hold its 17th plenary session in Dubai, United Arab Emirates, in the last week of October 2014, in conjunction with the 4th UAE Anti-Piracy Conference.	1
At the 5659th meeting of the Security Council, held on April 12, 2007, in connection with the Council's consideration of the item entitled âThreats to international peace and security caused by terrorist actsâ, the President of the Security Council made the following statement on behalf of the Council:	0
The political incident was strongly condemned by a press release from the office of President Ernest Bai Koroma, as well as by several press releases from political interest groups, including the APC, the People's Movement for Democratic Change, the Independent Media Commission, the Political Parties Registration Commission, and the Campaign for Good Governance.	0
They looked forward to welcoming East Timor to the United Nations.	1
When asked to provide further details, the victims state that the Janjaweed attackers are from Arab tribes and, in most cases, attack them on horseback and camelback, armed with various types of automatic weapons.	0
B. Dispersal of militia elements in Ituri	0
128. Another method favored by Al-Qaida is to recruit and deploy operatives who are unknown to any law enforcement or security agency, making it easier for them to travel with little difficulty and obtain work or study visas. As a more secure method, they claim the loss of any documents containing potentially incriminating visa stamps in order to obtain a new replacement for the lost document.	0
Like other speakers who have spoken before us, and in line with the statement made by High Representative Ashton, we condemn the act that led to the death of Mr. Dzekovic and the injury of several others during protests in northern Mitrovica on 2 July.	0
On November 18, 2014, Syrian regime helicopters dropped a barrel bomb on Kafr Hamra on the road to Hreitan, killing 16 people, including five children, three women, and a paramedic.	0
The Security Council reiterates its full support for the CEMAC multinational force and calls for the continued restructuring of the Central African Republic's defense and security forces.	1
Research and policy analysis will continue on a range of issues including conflict prevention and early warning mechanisms.	1
Other dailies such as FraternitÃ© Matin and Notre Voix publish nationalist rhetoric which are close to the FPI party, publish nationalist rhetoric that incites all-out war.	0
âThe Security Council reiterates its concern at the increasing link, in many instances, between terrorism, transnational organized crime, illicit drugs, money laundering and illicit arms trafficking, emphasizes the need to enhance coordination of efforts at the national, subregional, regional and international levels to strengthen a global response to this serious challenge and threat to international peace and security, and encourages the United Nations Office on Drugs and Crime to continue its work in this regard in cooperation with other relevant United Nations entities.	0
In Wadi Hajam, they stole weapons from the police.	0
Just last month, in a statement dated May 27, 2011, Secretary-General Ban Ki-moon expressed his belief that âaid and goods destined for Gaza should be transported through legitimate crossings and existing channels,â and explained that these flotillas âcould be a source of violent conflict.â	1
560. It is necessary to note that the concept of superior responsibility also applies to internal armed conflicts, as has been authoritatively confirmed by the International Criminal Tribunals. (The jurisprudence of States is in the same vein in this regard.	1
3. Acts of torture committed by the civilian population	0
âThe Security Council reminds States that they must ensure that any measures taken to combat terrorism comply with all their obligations under international law, in particular international human rights, refugee and humanitarian law.	1
The parties committed to the Preliminary Agreement on Presidential Elections and Inclusive Peace Talks in Mali, signed on June 18, 2013 in Ouagadougou, namely the Arab Movement of Azawad, the Coordination of National Resistance Movements and Forces and the Coalition of People for Azawad.	1
Nothing is more urgent in Sierra Leone than maintaining peace, security and stability in the country.	1
Countering terrorist rhetoric and violent extremism	1
At the 5303rd meeting of the Security Council, held on 10 November 2005, in connection with the Council's consideration of the item entitled âThreats to international peace and security caused by terrorist actsâ, the President of the Security Council made the following statement on behalf of the Council:	1
At the 5764th meeting of the Security Council, held on October 22, 2007, in connection with the Council's consideration of the item entitled âThreats to international peace and security caused by terrorist actsâ, the President of the Security Council made the following statement on behalf of the Council:	1
The Council condemns all attacks by local and foreign armed groups that threaten the population, peace and stability of the Central African Republic and the subregion, including the attacks on Birao by CPJP on 19 July and 24 November.	0
Welcoming the continued work of the Government of Iraq towards a unified, federal, democratic, pluralistic and united Iraq, in which human rights are fully respected.	1
Over the past few years, regional mechanisms for law enforcement cooperation, including early warning and intelligence cooperation, have been put in place and have significantly increased the level of regional cooperation.	0
For this reason, effective, permanent and comprehensive mechanisms for regional cooperation in the areas of law enforcement, border security, mutual legal assistance and extradition should be established.	1
(f) To actively participate in and support all relevant activities within the framework of the United Nations Global Counter-Terrorism Strategy, including within the Counter-Terrorism Implementation Task Force established to ensure overall coordination and coherence in the counter-terrorism efforts of the United Nations system.	0
(x) To consult with relevant representatives of the private sector, in cooperation, as appropriate, with national authorities, with a view to promoting awareness of and compliance with the travel ban and the arms embargo.	1
Since then, the government has repeatedly expressed a preference for direct bilateral support to build the capacity of its security forces.	1
The Security Council reiterates its request to the Secretary-General to include in his reports on specific country situations more comprehensive and detailed information regarding the protection of civilians in armed conflict.	1
Involve women and civil society representatives by establishing gender-balanced conflict prevention committees.	1
Some high-profile cases involving organized crime, including human and drug trafficking, have been investigated by the international community and perpetrators have been brought to justice.	0
4. While both the Comprehensive Peace Agreement and the Arms and Armies Management Monitoring Agreement contain provisions for the disbandment of militias associated with the Maoist army, neither contains detailed plans in this regard.	0
28. Relations between the Democratic Republic of the Congo and neighbouring countries in the Great Lakes region continued to deepen. On 21 January, the Ministers of Defence of Burundi, the Democratic Republic of the Congo and Rwanda adopted the draft protocol of the Economic Community of the Great Lakes Countries on common defence and security. The draft protocol provides for the establishment of joint border control mechanisms and an agreement to stop fighters from armed groups fleeing across the border.	0
(h) Provide a briefing to the Council, through the Committee, at mid-term, within 90 days of its establishment.	1
Prime Minister Siniora reached an agreement with members of the second delegation, which consisted of Damascus-based Palestinian armed groups, to establish a follow-up committee to discuss all issues, including the issue of weapons. On October 13, the Lebanese Council of Ministers, unanimously supporting the Prime Minister's position, decided to establish such a committee, with the aim of resolving the issue of Palestinian weapons inside the camps through dialogue.	0
Recognizing the importance of transitional justice in promoting lasting reconciliation among all the people of Burundi, and welcoming the progress made in the preparation of national consultations on the establishment of transitional justice mechanisms, including through the establishment of a technical follow-up committee and a forum of civil society representatives.	1
On 21 December, at a public meeting, the Council was briefed by the Chair of the Committee established pursuant to resolution 1737 (2006) and Permanent Representative of Colombia, NÃ©stor Osorio, on the work of the Committee from 1 September to 18 December 2011.	1
It should also be noted that this Russian decision coincides with provocative actions by the separatists and the mobilization of massive military reinforcements.	0
Some Council members noted the importance of coordination - between the Council's sanctions committees, expert panels and Member States, as well as between United Nations entities, field missions and force commanders - for the effective implementation of Council-imposed sanctions.	1
Security Council resolution 1373 (2001) already imposes obligations on states to take certain actions to suppress terrorism, end the recruitment of members of terrorist groups, prevent the movement of terrorists, and bring terrorists to justice.	0
The Council also stressed the urgent need for all parties to respect the ceasefire and take immediate measures to end the violence, and called on the Government of Sudan to respect its obligations and ensure that the Janjaweed militias are neutralized and disarmed.	1
It was hoped that resolutions 1521 (2003) and 1532 (2004), which call for the freezing of assets, would be made available to a national reparations process, as the Court's mandate does not include compensation for victims.	1
A full and comprehensive travel ban would indeed work in countering terrorism by al-Qaeda and the Taliban, but the evidence suggests that it has limited impact for now.	1
The Security Council reiterates its demand that the armed forces fully submit to civilian control.	0
73. Changes to the mechanism for providing reasons, both for delisting and for retaining names on the List, are needed to ensure timely implementation and substantive content that properly reflects the analysis and conclusions of the independent reviewer.	1
âThe Security Council reaffirms that terrorism in all its forms and manifestations constitutes one of the most serious threats to international peace and security and that any acts of terrorism are criminal and unjustifiable, regardless of their motivation, wherever, whenever and by whomever committed.	1
(a) Victims who have suffered serious bodily injury or physical or mental ill-health as a result of serious crimes.	0
Of particular importance is the continuation of law enforcement cooperation through the SEECI Regional Center for Combating Cross-Border Crime and the recently established Secretariat of the Southeast European Police Cooperation Agreement.	0
Phone records showed four calls to Syrian intelligence officer Jama Jama, at 1142, 1814, 2023 and 2026 hours. According to a witness, Abdel-Al visited Jama's office on the evening of the day of the bombing at 1930 hours and discussed Mr. Abu Adass with him.	1
48. The Joint Human Rights Office continued to support the establishment and operation of sexual violence legal clinics run by local non-governmental organizations, nine of which have been operational since January. On 21 March, the Joint Human Rights Office and MONUSCO police forces, in partnership with the European Union Police Mission in Kinshasa, began a two-month training of trainers in Bas-Congo on sexual violence investigation techniques for 50 judicial police officers.	0
âThe Council recalls its resolution 1645 (2005) and recognizes the important role of the Peacebuilding Commission in promoting and supporting an integrated and coherent approach to peacebuilding, including promoting better policy coherence and alignment among partners on national peacebuilding strategies and priorities. The Security Council reiterates its support for the work of the Peacebuilding Commission and expresses its continued willingness to benefit from its advisory, advocacy and resource mobilization role, including through targeted advice on international and national commitment to long-term peacebuilding objectives in listed countries	1
Article 21, paragraph 2, of the annex to Security Council resolution 1757 (2007) states that if the activities of the Special Tribunal are not completed before the end of its current mandate, âthe agreement shall be extended [...] for an additional period (or periods) to be determined by the Secretary-General in consultation with the [Lebanese] Government and the Security Councilâ.	1
Some Member States reiterated the need for stronger coordination among UN counter-terrorism entities.	1
19. Two States have criminalized the financing of terrorism, while five others have introduced some legal provisions to address the issue.	0
The Council demands that the Government of Sudan immediately withdraw from the Abyei area.	0
36. The Council encourages the Burundian authorities to cooperate with the Special Representative of the Secretary-General to establish a mechanism to put an end to impunity and promote reconciliation.	0
From the time these lines were first purchased in early January 2005 until the time of the bombing, they had only made calls to each other.	0
10. Expresses its readiness to respond to situations of armed conflict in which civilians are targeted or humanitarian assistance to civilians is deliberately disrupted, including by considering appropriate measures at the disposal of the Council in accordance with the Charter of the United Nations, and notes in this regard the relevant recommendations contained in the report of the Secretary-General.	1
The December 12 agreement also provides for the release and repatriation of prisoners of war without delay, as well as all other persons detained as a result of the armed conflict.	0
30. At the same time, I fully support the plans of the African Union to take the lead in conducting an assessment of AMISOM, in November, with a view to examining the future peacekeeping needs of the region.	1
520. One should not exclude the possibility that in some cases there may be individual persons, including public officials, who may have genocidal intent, in other words, attacking victims with the specific intent to exterminate, in part, a group perceived as a hostile ethnic group.	0
(a) Continue to ensure that any measures taken to combat terrorism comply with their obligations under international law, in particular international human rights law, international refugee law and international humanitarian law.	0
158. Almost half of States have customs controls on the illicit trade in small arms and light weapons, ammunition and explosives, but customs controls must be strengthened and customs officers must be trained.	1
I am pleased to note that the Council recognized the importance of increased coordination and information sharing among those involved in monitoring the arms embargo.	1
There was a brief exchange of views, during which a Council member expressed his views on UNIFIL and a troop-contributing country posed some questions to the Department of Peacekeeping Operations.	1
Urges the signatories of the [Peace Agreement] to seek a durable solution for the voluntary return, resettlement, reintegration and security of displaced persons, including by addressing land tenure issues, with the support of the United Nations system, and in this regard to fulfill their commitments under the ... Political Agreement and their obligations under international law.	1
21. In mid-November, the armed confrontation between Serbian security forces and the so-called Liberation Army of Presevo, Medveda and Jojano Vak escalated in the ground safety zone.	0
Recognizing that development, security and human rights are mutually reinforcing and vital to an effective and comprehensive approach to counter-terrorism, and stressing that counter-terrorism strategies should have sustainable peace and security as one of their specific objectives.	1
The Monitoring Team recommends that the Committee establish minimum standards for the identification of those on the List and facilitate its procedures for de-listing where there is sufficient evidence to consider the holders dead.	1
(b) Encourage States to adopt practical measures and national strategies to suppress the recruitment activities of terrorist groups, while complying with relevant human rights obligations.	1
35. Decides, in order to assist the Committee in fulfilling its mandate, that the Monitoring Team of the 1267 Committee, established pursuant to paragraph 7 of resolution 1526 (2004), shall also provide support to the Committee for a period of 36 months, the mandate of which is set out in Annex A to this resolution, and requests the Secretary-General to make all necessary arrangements to that end.	1
Several delegations were of the view that decisions to advance pending issues were painstakingly taken given the current internal situations, particularly the conflict in South Sudan.	0
(p) To cooperate with other relevant Security Council sanctions committees, in particular the Committee established pursuant to resolution 1267 (1999).	1
Most potential witnesses residing outside the country were afraid to testify even confidentially because they feared for the safety of their family members and perceived that the authorities were still secretly monitoring their behavior.	0
Many international leaders, including heads of state, UN representatives, and a majority of Security Council members, have denounced the flotillas that have traveled to Gaza over the past year and emphasized the need to move humanitarian supplies to the region only through existing channels.	1
The implementation of changes in the police structure in BiH will need support from international police experts.	1
Among these concerns, one that needs to be highlighted is the deterioration of the security situation in recent weeks and months.	0
The parties to the peace process have yet to make arrangements for the release of children and reintegration programs that would have allowed children in those forces to benefit from recovery and reintegration measures.	1
Recognizing that the Security Council's consideration of the issue of the protection of journalists in armed conflict is based on the urgency and importance of this issue, and acknowledging the valuable role that the Secretary-General can play in providing further information on this subject.	1
Affirming support for the Personal Envoy of the Secretary-General for Western Sahara, Ambassador Christopher Ross, and his work to facilitate negotiations between the parties, welcoming his ongoing consultations with the parties and neighboring States, and looking forward to his visit in the near future to the region, including Western Sahara, as stated in the communiquÃ© of the informal meeting on Western Sahara held from 11 to 13 March 2012.	1
Decides that all States shall take the necessary measures to prevent the sale or supply of arms and related materiel of all types, including weapons and ammunition, military vehicles and equipment, paramilitary equipment and spare parts, to (the affected State) by their nationals or from their territories or using their flag vessels and aircraft, whether or not originating in their territories.	1
389. In conclusion, the Commission found that, according to the majority of incidents reported by all sources, most of the looting was the work of the Janjaweed and a few were the work of Government forces.	0
In that resolution, the Council requested the Secretary-General to establish within the Secretariat (Security Council Subsidiary Organs Branch) an administrative focal point to receive requests from listed individuals and entities.	1
For example, most states have yet to criminalize terrorist financing and combine it with money laundering as a predicate offense.	0
In view of the time they had already spent in prison, the policemen were released in the first week of March. On 8 March 2008, Mr. Abdelaziz wrote to me to protest that the early release of the policemen amounted to an âopportunity for impunityâ offered by the Moroccan authorities in return for the actions of the policemen.	0
In July 2005, 93 percent of detainees were in pre-trial detention and the figure may now be higher.	0
Several witnesses reported that the detainees were cursed and insulted, often calling them âslaves.â	0
However, it is also clear that the F-FDTL command took limited steps to verify the extent of the threat posed by the attack or to use non-military methods to end the perceived threat. On May 25, the Defense Forces High Command made no attempt to communicate about this incident with those in the operational command of the National Police Forces, or to involve the Prime Minister or the President in resolving the issue.	0
91. The Monitoring Team is mandated to examine and report on the changing nature of the threat, including through dialogue with scientists and relevant academic bodies.	1
This strategy focuses on how to direct the state's defenses against terrorism to protect critical infrastructure and citizens, and how the state responds to terrorist attacks to mitigate their effects, assist their victims, and restore public order.	0
344. One eyewitness described the horrors of detention in the area designated by the detainers for women and young girls in Kailek as follows:	0
Calls upon all parties to armed conflict to respect the civilian and humanitarian character of refugee camps and settlements, and to take into account the special needs of women and girls, including in the design of such camps and settlements.	1
Reiterating the obligation of Member States to prevent and suppress the financing of terrorist acts, and criminalizing the wilful provision or collection of funds by their nationals or in their territory, by any means whatsoever, directly or indirectly, with the intention that the funds should be used, or in the knowledge that they are to be used, to carry out terrorist acts.	1
In this regard, flexibility will be required during the implementation process to ensure that the framework can be adjusted, as necessary, in response to new developments and changes that arise in this context.	1
At around 12.30 p.m., Mr. Malik and Colonel Reyes, the Chief Military Adviser, who also listened to the radio call, spoke privately with the Special Representative of the Secretary-General. Both requested permission to intervene and their request was granted.	1
4. Following the adoption of resolution 1595 (2005), extensive consultations took place on the establishment, staffing and logistical support for the International Independent Investigation Commission. On May 26, 2005, a small advance team headed by Detlev Mehlis arrived in Beirut.	1
Even when incidents were reported to the police, perpetrators seemed to enjoy impunity and attacks against women continued.	0
There are several factors working against them, but if they succeed, the threat of terrorism will increase even more than it already is.	0
The Under-Secretary-General also reported that violence and human rights violations continue on a daily basis. They include the use of torture, murder, rape and enslavement by ISIL, the punishment of civilians by opposition groups, including those designated as terrorist organizations, attacks on civilian services, and aerial attacks by the Government, including barrel bombs, on civilian areas, camps for internally displaced persons and civilian installations.	0
The Committee will continue to focus on monitoring and encouraging Member States' implementation of resolution 1373 (2001) and on practical measures to enhance States' counter-terrorism capacity, including measures aimed at facilitating technical assistance.	1
The joint mission met with a number of national and international stakeholders, including representatives of civil society, traditional and religious leaders, opposition parties, and the military.	1
There is a need for more effective implementation of resolution 1624 (2005), which encourages interreligious and intercultural dialogue and understanding in order to counter incitement to terrorist acts motivated by extremism and intolerance.	1
83. MONUSCO received information from M23 fighters that there were additional graves in the combat zones. There are reportedly five new graves, three in Man and two in DananÃ© (72 km from Man).	1
The Afghan government urged the Committee to respond more flexibly to its proposals for de-listing, expressing concerns that its inability to achieve de-listing robs it of a key system for rewarding Taliban members who join the reconciliation process, risking their return to the fight.	0
In paragraph 3 of that resolution, the Council requested me, in consultation with the Committee established pursuant to resolution 751 (1992) concerning Somalia and within 30 days of the adoption of that resolution, to re-establish the Monitoring Group referred to in paragraph 3 of resolution 1558 (2004) for a period of six months, with the mandate set out in subparagraphs 3 (a) to (i) of resolution 1630 (2005).	1
At the conclusion of this fourth round of talks, the parties reiterated their commitment to continue negotiations in Manhasset at a date to be determined by mutual agreement.	1
The Council requests the Secretary-General to continue to provide and disseminate guidance on addressing sexual violence for inclusion in predeployment and induction training for military and police personnel, to assist missions in developing situation-specific procedures to address sexual violence at the field level and to ensure that technical support is provided to troop- and police-contributing countries to include guidance on addressing sexual violence as part of predeployment and induction training for military and police personnel.	1
Above all, our concerns were related to the Pristina authorities' insistence on implementing the so-called strategy for northern Kosovo in flagrant violation of Security Council resolution 1244 (1999), which remains the main international legal framework for a settlement in Kosovo.	0
The lack of such participation will prevent progress in addressing important issues of public administration and will make no progress in improving Kosovo's image in the minds of the wider community.	0
88. Despite reports of illegal border crossings, significant progress has been made in combating the travel of listed terrorists and their associates.	0
Reaffirming the need to combat by all means, in accordance with the Charter of the United Nations and international law, including applicable international human rights, refugee and humanitarian law, threats to international peace and security caused by terrorist acts, and emphasizing in this regard the important role of the United Nations in leading and coordinating these efforts.	1
64. Despite recent improvements in the security situation and the success of large-scale joint security operations, more needs to be done to maintain pressure on illegal armed groups.	0
Eritrea has been organizing and training various categories of criminal gangsters and terrorists and sending them to Ethiopia to wreak havoc in our country and to destabilize the political stability.	0
Another State established an interdepartmental working group on migration to implement measures to promote integration, including in the areas of language skills and job training, to encourage dialogue with migrants and to monitor acts of racism, xenophobia and extremism.	0
:: Establish media monitoring mechanisms to ensure effective monitoring, reporting and documentation of any incidents, sources and content that incite âhate media Establish media monitoring mechanisms to effectively monitor, report and document any incidents, sources and content that incite âhate mediaâ	1
122. The evidence establishes that armed men led by Abilio Mesquita initiated the attack on Brigadier Ruak's residence on 24 May, as described in paragraphs 69 and 70 above.	0
The resolution imposes legally binding obligations on all States to have in place and enforce appropriate and effective measures to combat the proliferation of nuclear, chemical and biological weapons and their delivery systems.	1
22. Recalls the request in resolution 2187 (2014) for the Analytical Support and Sanctions Monitoring Team, in close cooperation with all relevant counter-terrorism bodies within the United Nations, to report to the Committee pursuant to resolutions 1267 (1999) and 1989 (2011), within 180 days, on the threat posed by foreign terrorist fighters recruited by ISIL, ANF and all groups, undertakings and entities associated with or affiliated with Al-Qaida and reiterates that this report should also focus on trends related to foreign terrorist fighters associated with all terrorist groups on the Al-Qaida Sanctions List and their associates, and include an oral briefing to the Committee and a note by the Committee to the Security Council at the next regular counter-terrorism briefing on groups operating in Africa.	0
:: Report to the Committee after each meeting: Report to the Committee after each meeting. Each working group will be chaired by a member of the Committee and supported, as necessary, by staff of the Office for Disarmament Affairs, expert staff of the Committee established pursuant to resolution 1540 (2004) and the secretariat of the Committee.	1
The use of homemade explosives demonstrates the adaptability of al-Qaeda-affiliated terrorists in countries that effectively enforce the arms embargo.	0
(b) Actively participate in the work of the Counter-Terrorism Implementation Task Force established to assist Member States in their implementation of the Global Strategy.	0
Several peace operations have recently incorporated cross-border crime analysis into their mission planning and joint mission analysis structures - notably the UN Multidimensional Integrated Stabilization Mission in Mali (MINUSMA).	0
Consider applying targeted and graduated measures against parties to armed conflict that commit grave violations against children in situations of armed conflict.	0
I therefore call on all parties and actors to fully adhere to resolutions 1559 (2004), 1680 (2006) and 1701 (2006). I will continue my efforts for the full implementation of these and other Security Council resolutions on Lebanon.	1
Law enforcement expertise will be centralized within a dedicated and independent task force.	0
Advocate for strict adherence by parties to armed conflict to the applicable provisions of international humanitarian and human rights law relating to the protection of women and girls affected by armed conflict.	1
Welcoming the efforts of the Burundian authorities to combat impunity, in particular the prosecution and conviction of some of the perpetrators of the Muyinga massacre.	0
The Commission also noted that the Democratic People's Republic of Korea had abducted or otherwise forcibly caused the disappearance of more than 200,000 or more people from the Republic of Korea, China, Japan and other countries, including after the end of the Korean War.	0
The provisions of Law No. 656/2002 on preventing and combating money laundering are in line with the provisions of Directive 2001/97/EC of the European Parliament and of the Council of December 4, 2001, amending Council Directive 91/308/EEC on the prevention of the use of the financial system for money laundering.	1
They suggested establishing more networks or linking existing ones and emphasized the importance of face-to-face meetings and peer-to-peer interaction. Participants recommended that the âWiesbaden Processâ be taken into account in this regard.	1
After informal consultations on 14 December, the Council unanimously adopted resolution 1560 (2004), submitted by the German delegation, by which the Council extended the mandate of UNMEE until 15 March 2005, approved the adjustments to UNMEE (including its presence and operations, as recommended by the Secretary-General in paragraphs 13 to 18 of his report) and requested the Secretary-General to continue to follow the situation closely and to review the mandate of UNMEE in the light of progress in the peace process and changes to the Mission.	1
Encourages troop- and police-contributing countries, in consultation with the Secretary-General, to consider what measures they can take to enhance the awareness and responsiveness of their personnel participating in United Nations peacekeeping operations to protect civilians, including women and children, and to prevent sexual violence against women and girls in conflict and post-conflict situations, including, to the extent possible, deploying a greater proportion of women peacekeepers or police.	1
In addition, the Council itself has set important precedents, including the establishment of commissions of inquiry on Bosnia, Rwanda, and Darfur, which paved the way for the International Tribunals for the former Yugoslavia and Rwanda in 1993 and 1994, respectively, and the referral of the situation in Darfur to the International Criminal Court in 2005.	0
(e) To submit a comprehensive work program to the Committee for its review and approval, as appropriate, detailing the activities, including proposed travel, envisioned by the Monitoring Team in carrying out its responsibilities, in close coordination with the CounterTerrorism Committee Executive Directorate and the 1540 Committee's group of experts, in order to avoid duplication and promote synergies.	1
âThe Security Council reaffirms that Member States shall refrain in their international relations from the threat or actual use of force against the territorial integrity or political independence of any State, and shall also fully assist the United Nations in any action taken by it in accordance with the Charter of the United Nations, and shall refrain from providing assistance to any State against which the United Nations takes preventive or deterrent action.	0
We condemn terrorism in all its forms and manifestations, as it violates the most basic human right of human beings, namely: The right to life.	0
The meeting took the form of a largely question-and-answer session, during which the tripartite team answered questions from members of the Working Group.	1
90. Paragraph 4 of resolution 1624 (2005) emphasized that âin taking any measure to implement paragraphs 1, 2 and 3 of the resolution, States must ensure compliance with all their obligations under international law, in particular international human rights law, refugee law and humanitarian lawâ.	1
21. The revised strategy envisages more focused, detailed and sophisticated technical assistance proposals and more active engagement of the Executive Directorate with key donors to better understand their priorities and capacities.	0
The meeting also discussed ways and means of increasing pressure on foreign armed groups and steps to be taken by participating countries, the African Union and the Security Council in this regard.	0
Recalls the conclusions endorsed by the Security Council Working Group on Children and Armed Conflict in [the country concerned] ..., calls upon all parties to cease grave violations and abuses against children in [the country concerned], and urges the Government ... to prepare and implement a concrete, practical and time-bound action plan to halt the recruitment and use of children, and requests the Secretary-General to continue to engage in dialogue with the Government ... in this regard, and reiterates its request to the Secretary-General to strengthen the child protection component of [the mission] and to ensure continued monitoring and reporting on the situation of children in [the country concerned].	1
(f) To cooperate with other relevant Security Council sanctions committees and the Committee established pursuant to paragraph 6 of its resolution 1373 (2001).	1
No one country can fight terrorism alone, and the transnational nature of the terrorist threat necessitates cooperation and coordination with other countries.	1
:: One member reiterated his call for an international conference to rid the Middle East of weapons of mass destruction: One member reiterated his call for an international conference to rid the Middle East of weapons of mass destruction.	1
13. Encourages UN Member States to cooperate to resolve all outstanding issues in order to adopt by consensus the Draft Comprehensive Convention on International Terrorism and the Draft International Convention for the Suppression of Acts of Nuclear Terrorism.	1
The EU's decision to start negotiations on a stabilization and association agreement is a reference point.	1
65. In partnership with the Global Centre for Counter-Terrorism Cooperation and with the support of the Governments of the Netherlands and Germany, the Directorate organized a subregional workshop for East African Member States on the effective monitoring of alternative remittances to prevent their use in terrorist financing in Addis Ababa in December 2013. The objective of the workshop was to raise awareness of the threat of informal money remitters that could be used to finance terrorist activities; to encourage dialogue between regulatory agencies, law enforcement officials and money remitters; and to promote the universalization of financial services and identify best practices.	1
Urging all States, international bodies and regional organizations to commit resources, including through international partnership, to address the continuing and immediate threat to international peace and security posed by Al-Qaida, Osama bin Laden, members of the Taliban and associated individuals, groups, undertakings and entities.	1
13. The Executive Directorate will continue to strengthen its role in facilitating technical assistance for the implementation of resolution 1373 (2001) in order to increase the counter-terrorism capacity of Member States and regions by addressing their needs in this field, in close cooperation with the Counter-Terrorism Implementation Task Force, other United Nations bodies and bilateral and multilateral donors, and will continue to adopt a focused and regional approach to this work.	0
The meeting, jointly organized by the Executive Directorate and the Council of Europe, focused on the prevention of terrorism.	1
1. Decides to extend until December 31, 2009 the arrangements specified in paragraph 20 of resolution 1483 (2003) for the deposit of proceeds from export sales of petroleum, petroleum products and natural gas into the Development Fund for Iraq, and the arrangements referred to in paragraph 12 of resolution 1483 (2003) and paragraph 24 of resolution 1546 (2004) for the monitoring of the Development Fund for Iraq by the International Advisory and Monitoring Board Decides further that the provisions of paragraph 22 of resolution 1483 (2003) shall remain in force until that date, subject to the exception set out in paragraph 27 of resolution 1546 (2004), including with respect to the funds, financial assets and economic resources described in paragraph 23 of that resolution.	0
Eighteen individuals arrested in BouakÃ© in connection with the events were transferred to a civilian prison in Korhogo. In another incident on 17 January, 11 individuals, including two French nationals, were arrested in Abidjan, allegedly linked to Mr. Coulibaly, for planning a coup d'Ã©tat. On 30 January, the prosecutor of the Abidjan Military Court issued an international arrest warrant against Mr. Coulibaly for conspiracy against the State.	0
