ar_en_TRANSFORMERS	VerConf
Instead of the famous theme of the 2014 World Cup of Football, where three victories hold the world map in the form of the prestigious trophy, the Palestinian Authority caricatures display a "cup" around which three hands turn to three people who raise their hands in surrender.	1
The Council also deplored the adoption of the resolution by the Assembly of Kosovo and agreed with the Special Representative that those resolutions adopted by the Assembly, on matters not within its competence, were null and void.	1
The evidence confirms that there are reasonable grounds for accusing six F-FDTL soldiers of murder.	1
We urge all Member States to take immediate steps to comply with the commitment contained in resolution 2036 (2012) to ban trade in Somali charcoal, particularly by those most active in this trade.	1
First, some States do not appear to have done enough to ensure the implementation of the embargo; secondly, the different ways in which States interpret their obligations; and thirdly, they relate to the scope of the arms embargo and its connection with the continuous change in methodologies for achieving its objectives.	0
Recalls the conclusions adopted by the Security Council Working Group on Children and Armed Conflict in [the country concerned]..., calls upon all parties to cease serious violations and abuses against children in [the country concerned], urges the Government... to prepare and implement a concrete, practical and time-bound action plan to halt the recruitment and use of children, requests the Secretary-General to continue to engage in dialogue with the Government... in this regard, reiterates its request to the Secretary-General to strengthen the child protection component of [the mission] and to ensure continued monitoring and reporting of the situation of children in [the country concerned];	0
I am deeply concerned that sexual violence against children will weaken the prospects for peaceful coexistence in Darfur for years to come.	1
Reiterates the importance of complying with the relevant provisions of international humanitarian, human rights and refugee law and of providing appropriate training to personnel involved in peacemaking, peacekeeping and peace-building activities in that legal area, including those relating to children and gender, as well as negotiation, communication, cultural awareness, civil-military coordination and sensitivity skills in the prevention of HIV/AIDS and other communicable diseases, requests the Secretary-General to disseminate appropriate guidance and ensure that United Nations personnel receive appropriate training, and urges the Member States concerned, as appropriate and feasible, to disseminate appropriate instructions and ensure that appropriate training is included in their programmes for personnel involved in similar activities.	0
We call upon all armed groups that are signatories to the Ouagadougou Agreement to distance themselves from terrorist groups.	1
49. The Committee encourages the Executive Directorate to continue to work with other United Nations entities to explore the best possible approaches and means of coordinating United Nations activities, in particular with regard to the harmonization of working methods and the programming of counter-terrorism projects.	0
484. During its discussions with the Commission on the methodology of rape commissions, the Commissions of Inquiry have emphasized the wide publicity of their mandates.	0
The men in these vehicles and the soldiers on the street opened fire on the police vehicles, injuring a police force soldier in the leg.	0
77. All available evidence indicates that the initial shootings on the morning of 25 March, which triggered the explosion of the situation, were the result of coordinated action by the security forces, resulting in the deaths of more than 100 civilians.	0
I encourage the Government of Iraq to urgently take further practical steps towards meeting its obligations under paragraph 14 of Security Council resolution 1284 (1999).	0
Incidents caused by cluster munitions dropped by NATO forces have decreased significantly as a result of the change in strategy, which has greatly accelerated the clearance of accessible cluster explosive units.	0
They attacked and killed 54 people and wounded 24 others, burned houses before withdrawing, and looted cows and household property.	0
The armed forces of the Government subsequently confiscated the weapons of the villagers.	0
In its resolution 2122 (2013), the Council expressed concern at the increasing vulnerability of women in armed conflict and post-conflict situations, in particular with regard to forced displacement as a result of unequal citizenship rights, gender-biased application of asylum laws and obstacles often encountered in recording their data and obtaining identity documents.	1
Furthermore, in principle, the establishment of a management dependency between the Office of the Ombudsman and the Secretariat on substantive matters represents a direct and significant encroachment on the independence of the Office, both in concept and in practice.	0
Recalling the presidential statement of the Security Council (S/PRST/2012/17) of 4 May 2012 on threats to international peace and security caused by terrorist acts,	1
Mandate the establishment and local adaptation of appropriate truth and reconciliation mechanisms (e.g. technical assistance, funding and reintegration of civilians into local communities).	0
206. The States of the subregion are fully aware of the threat posed by the financing of terrorism and are vigilant about the risks associated with it.	0
Chronic malnutrition in refugee camps was a major health problem, and UNHCR and WFP therefore planned to take corrective measures, including the provision of supplementary food to vulnerable groups.	0
It therefore not only exacerbates existing threats to international peace and security, but also represents, in itself, a threat to international peace and security.	1
At international meetings, the Group was able to judge States' awareness of the sanctions regime without States being prepared to do so.	0
Citizens are rewarded for whistle-blowering other citizens suspected of committing such "crimes."	0
The Security Council notes that, with the consent of the host States, United Nations multidisciplinary assessment teams can provide assistance and support in separating combatants from civilians.	0
However, we are concerned that acts of violence can cause a part of the population to remain away from polling sites in the south and elsewhere.	1
2. Recalls, in this regard, that journalists, media professionals and associated personnel serving on professional and hazardous missions in areas of armed conflict should be considered as civilians and shall be respected and protected as such, provided that they do not engage in any act prejudicial to their status as civilians, without prejudice to the right of war correspondents accredited to the armed forces to be treated as prisoners of war as provided for in article 4.A.4 of the Third Geneva Convention;	0
These activities are part of an ongoing dialogue between the United Nations Rule of Law and Security Programme and the Transitional Federal Government on mine-related issues and support for the operations that will ensure that the Government is aware of the existence of the relevant international legal instruments and considers possible participation in them.	0
In addition, the recruitment of 19 civilian experts for posts under the Mission &apos; s police component to further strengthen the focus on skills-building and institutional development is at a very advanced stage.	0
Concerned about armed activities and acts of banditry in [affected countries], which pose a threat to the security of the civilian population and the conduct of humanitarian operations in those areas and to the stability of those countries, resulting in serious violations of human rights and international humanitarian law.	1
:: Results of activities carried out by the Lebanese authorities at the crime scene and adjacent areas	0
87. This mixed control of the Somali marine environment has led to the creation or strengthening of three important sources of income for local administrations: (a) the export of a range of commodities from Somalia, including large commercial quantities of charcoal; (b) unrestricted access by foreign fishing vessels to Somali marine resources and fisheries; and (c) widespread incidents of piracy.	0
Thirteen cells housed two detainees each, while seven cells housed only one in each.	1
Special police units supported the Mission &apos; s customs and provided support to special operations teams of UNMIK police.	0
29. The United Nations Office on Drugs and Crime, in collaboration with the University of Seychelles and experts from the Centre, developed a curriculum for police officers, the Coast Guard and other law enforcement officers involved in the investigation of piracy and maritime crime.	0
It is clear from the pattern of destruction that a shipment of highly effective explosives was detonated.	0
One of the tools put at the disposal of States for achieving this goal is the United Nations Register of Conventional Arms, which contains data provided by States on international arms transfers as well as information on military holdings, procurement through national production and related policies.	0
The village attacked some 3,000 Janjaweed on the appearance of horses, some of whom were in vehicles.	0
"'The Security Council expresses its concern at the threat posed by the weapons and ammunition not insured in Libya and their proliferation, which pose a threat to stability, including for reasons of their transfer to terrorist and extremist groups, calls upon the Libyan Government to take concrete measures to tighten its control over arms and ammunition stockpiles in Libya by ensuring the proper management and safe storage of arms and related materiel and, where appropriate, their effective disposal, as well as by enhancing border security, and urges neighbouring States to cooperate with the Libyan authorities in their efforts to ensure the security of their borders in this regard.	0
By the end of the reporting period, a total of 37 per cent of the DF boy delivered by the MV Cape Ray on 30 and 31 August 2014 had already been destroyed.	0
Eritrea &apos; s decision to restrict all types of UNMEE helicopter flights within Eritrean airspace, as confirmed in these briefings, seriously impedes UNMEE &apos; s ability to implement its monitoring mandate, as called for by the parties to the Agreement on Cessation of Hostilities of 18 June 2000 and authorized by the Security Council in its resolutions 1312 (2000) and 1320 (2000).	1
"The Security Council reiterates its strong condemnation of all violations of applicable international law and demands that parties to armed conflict comply fully with their obligations under international humanitarian law, international human rights law and refugee law and implement all relevant Security Council resolutions.	1
66. Five States have legislation criminalizing the financing of terrorism and there are currently laws against money-laundering in nine States.	0
There have been a series of individual incidents ranging from explosions to allegations of Al-Qaida-related exercises in South Africa.	0
"The Security Council stresses that all civilians affected by armed conflict, including those who suffer losses as a result of lawful acts under international law, deserve assistance and recognition with regard to their inherent dignity as human beings.	1
In conclusion, the challenges facing Afghanistan are enormous, but we are making progress.	1
In Northern Darfur, which has the lowest number of the three states of Darfur, the population affected by the conflict is estimated at 688,200, of whom 403,000 are displaced."	0
"The Security Council reiterates its strong condemnation of all violations of applicable international law committed against women and girls in armed conflict and post-conflict situations, including rape and other forms of sexual and gender-based violence, killing and maiming that are contrary to international law.	0
17. We believe that these steps together form the basis for a strategic approach to strengthening the Somali peace forces, which would complement the measures already taken by the Security Council to contain the conflict.	0
Moreover, several financial institutions complain that they have given little or no information as to what they should look for as indicators that could refer to financial transactions related to terrorism.	1
This has led to increased tension between the East and West regions and to imbalances within the police forces.	0
At the conclusion of the work of all Panels of Commissioners of the Compensation Commission in June 2005, 1.55 million claims (out of 2.69 million claims) received approval for compensation.	0
The Council could also explicitly commit Member States to preventing listed individuals and entities from accessing, establishing or maintaining military or terrorist training facilities within their borders, so that the arms embargo extends to comprehensive training and recruitment.	0
Demands that all parties to the conflict immediately take appropriate measures to protect civilians, including women and children, from all forms of sexual violence, in line with resolution 1820 (2008);	1
Military and police operations, as well as movements targeting gang leaders, have increased in districts affected by gang violence.	0
Expressing its concern at all violations and abuses of human rights, the Council calls upon the Libyan authorities to investigate them and bring to justice the perpetrators of all such acts, including those committed against children.	0
Member States pointed out that sites promoting terrorism in one country were firmly located in another.	1
However, most States still had to incorporate into their domestic law the offences set forth in the international counter-terrorism instruments.	0
202. Ensuring that persons with relevant information are prepared to provide them to the authorities and, as needed, to testify before the courts is essential in facilitating the investigation and appropriate prosecution of criminal conduct.	0
10. The measures taken by States cover the prohibited activities of non-State actors as described in paragraph 2 of resolution 1540 (2004) with regard to nuclear, chemical and biological weapons and their means of delivery, and controls on related materials, in accordance with paragraph 3 of the resolution.	0
At the same time, Cuba condemns suicide bombings and other acts against Israeli civilians, who are innocent victims of the cycle of violence driven by their Government's policy, and we also reject the use of these sporadic acts to question the legitimate self-defence exercise of the Palestinian people and to justify the widespread or selective activities perpetrated against the Palestinian population.	1
In that context, we believe that it is important that the Security Council pay the utmost attention to the threats posed by fundamentalist and extremist religious organizations such as the Liberation Party and urge the Council to impose severe sanctions on terrorist organizations.	1
208. The Commission submitted to the Commission of Inquiry a list of the number of injuries sustained and the number of weapons stolen during the period from January 2003 to November 2004. With regard to the army, it claimed that 937 individuals had been killed, 2,264 had been injured and 629 missing, 934 weapons had been stolen, with respect to the police, 685 police had been killed, 500 police had been wounded and 62 police had been missing, 1,247 weapons had been stolen and, with regard to the Security and Intelligence Service, 64 individuals had been killed, 1 member had been wounded and 26 had been missing, and 91 weapons had been stolen.	0
Although the F-FDTL leadership stresses the importance of a hierarchy of command to deal with complaints, there appears to be no established and detailed procedures governing how complaints are to be formally considered and reviewed.	1
4. Notes with concern the close link between international terrorism, transnational organized crime, illicit drug trafficking, money-laundering, illegal arms trafficking and illegal movement of nuclear, chemical, biological and other potentially deadly materials, and in this regard stresses the need to enhance coordination of efforts at the national, subregional and international levels in order to strengthen the global response to the serious challenge and threat to international security;	1
"The Security Council considers sanctions to be an important counter-terrorism tool and stresses the importance of immediate and effective implementation of relevant resolutions, in particular Security Council resolutions 1267 (1999) and 1989 (2011), as a key tool in the fight against terrorism.	1
The parties committed to the preliminary agreement for the presidential elections and the inclusive peace talks in Mali, signed on 18 June 2013 in Ouagadougou, namely, the Arab Movement for Azawad, the coordination of movements, the National Resistance Forces and the People &apos; s Coalition for Azawad;	0
Most States have weak capacities to freeze funds and assets linked to terrorism without delay.	0
A September 2005 study of foreign-born terrorists who worked in the United States found that about two thirds of them had been involved in forgery of entry into or stay in the country, and later accused more than one third of having forged a passport or visa or of providing incorrect data to the immigration officer.	0
The first, caused in a continuing humanitarian emergency, also threatened peace and stability in Haiti.	1
Reiterating its strong condemnation of the attacks on the African Union-United Nations Hybrid Operation in Darfur (UNAMID) and its call upon the Government of the Sudan to expedite the investigation of those attacks and bring the perpetrators to justice, reiterating also its call upon all parties in Darfur to cooperate fully with UNAMID, and reaffirming its warm condolences to the Governments of the dead and their families,	1
The Security Council adopted its resolution 2042 (2012) on 14 April 2012, which took note of the Syrian Government &apos; s commitment to the plan of the United Nations Special Envoy, Mr. Annan, and stressed the need for its prompt, comprehensive and immediate implementation in all its components. It also called on all parties in Syria, including the opposition, to immediately cease armed violence in all its forms. It also expressed the intention to immediately establish, after consultation between the Secretary-General and the Syrian Government, a United Nations observer mission in Syria to monitor the cessation of armed violence in all its forms by all parties.	1
Respect for the rights of others - including political opponents - must become the main criterion for all those who aspire to lead the country towards stability, unity and prosperity.	0
The Committee further recommends that measures taken to break the cycle of impunity include the exercise of universal jurisdiction by other States, as mentioned elsewhere in the present report.	0
Request that reports of the Secretary-General on situations in specific countries include sexual violence as specific parts of such reports, including data disaggregated, to the extent possible, by sex and age of victims; and request the development of mission-specific strategies and action plans to prevent and respond to sexual violence as part of a broader strategy for the protection of civilians.	0
These include avoiding the use of language suggesting acceptance of al-Qa'idah claims on religious grounds; the Panel continues to consider that the use of religious expressions by non-Muslim commentators and politicians when describing al-Qa'idah, however appropriate, familiar or in good faith, makes it more difficult to refute its message and isolate it from the target audience.	1
25 States impose full controls on asylum operations to prevent their misuse by persons who have committed terrorist acts.	0
The first programme element is the establishment of transnational crime units in C̫te d &apos; Ivoire, Guinea, Guinea-Bissau, Liberia and Sierra Leone.	0
:: Policy, planning and preparedness gaps in relation to the protection of civilians; threats and challenges to mandate implementation in the field; how to better integrate the experiences and challenges faced by troop- and police-contributing countries in implementing protection of civilians into future strategy and guidance development; and how to ensure that all peacekeeping personnel are trained using the same standards in the protection of civilians	0
Most importantly, accountability means reaching out to the country/society, after the conflict is over, to enable communities to turn their backs and move forward.	0
In 45 countries in sub-Saharan Africa, UNESCO has developed a comprehensive map of current policies and resources that provides a picture of how a culture of peace can be promoted.	0
Further abductions of women were also reported in the area around El Geneina, Western Darfur.	0
They do all of these things, and they then seek protection and security and put it as a mask for blackmail and further concessions.	1
I also remember how unacceptable it was for the Israelis to talk about the 1967 borders and for a long time it was almost inconceivable to propose the evacuation of Israeli settlements.	1
Participants agreed that the presence of Al-Qaida in the Arabian Peninsula in Yemen posed a major challenge to the peaceful transition process and stressed the need for targeted international support to Yemen to combat terrorism.	1
This has limited the effectiveness of the initiative to achieve a comprehensive remedy for victims.	1
Call upon parties to armed conflict and third States to comply strictly with their obligations under applicable international humanitarian law to allow and facilitate prompt and unimpeded passage of relief consignments, equipment and personnel, bearing in mind their right to determine the technical arrangements, including inspection, under which such passage is authorized.	1
International and regional cooperation in preventing the illicit trade in small arms and light weapons calls upon all Member States, in particular those in the region, acting at the national level or through regional organizations or arrangements, in order to ensure strict implementation of the arms embargo imposed by [the relevant resolution], to inspect within their territories, including at ports and airports, and on the high seas, vessels and aircraft destined for or coming from [the State concerned] if the State concerned has information that provides reasonable grounds to believe that the cargo contains items the supply, sale, transfer or export of which is prohibited by [a paragraph of the relevant resolution]..., including the provision of armed mercenary personnel, calls upon all States flying their flags to cooperate with such inspections and authorizes Member States to take all measures commensurate with the specific circumstances of such inspections	0
Another State noted that the primary responsibility for prevention was vested in the national army and its intelligence department, and noted that the presence of refugee camps on its territory posed a major challenge.	1
The Security Council should recognize that combating violent extremism is an indispensable element in the international community &apos; s response to this threat.	1
We must reject any attempts to undermine the sovereignty and territorial integrity of Somalia.	1
Ali Kushayb and Ahmed Harun were refused arrest.	1
On 29 November 2014, the regime &apos; s warplanes dropped two barrel bombs on the one-tussef school in the village of Kafr Jasra in Idlib, completely destroying the school.	0
:: Explore and pursue more effective ways of obtaining missing information	0
3. Over the past six months, the worsening crisis in the Syrian Arab Republic has continued to affect Lebanon in a way that exacerbates political polarization and concerns that the unrest in the Syrian Arab Republic has negative implications for Lebanon &apos; s stability.	0
Some of the perpetrators of terrorist acts have been arrested and subsequently brought to justice in a number of jurisdictions.	0
The Minister of the Interior, Lobato, arrived at the police headquarters wearing a bulletproof vest and was in a state of intense irritation shouting "kill them all."	1
The Government of the Sudan has submitted to the Commission a document listing attacks on humanitarian convoys.	0
At the same time, other key elements of this institution-building process are strengthening the rule of law by increasing the effectiveness, integrity and overall functioning of the judiciary, strengthening law enforcement institutions to reduce organized crime and ethnic violence and bringing all criminals to justice.	1
Greece therefore insists on the need to clarify the sixth preambular paragraph - urging the Council "to make progress towards the resumption of negotiations for a comprehensive settlement" - as it should be reiterated that such negotiations should take place between the two communities.	1
While these cases are linked to the brutal attacks by Boko Haram, there are also disturbing allegations of human rights violations by the security forces.	0
Violations such as deliberate attacks on civilians, indiscriminate attacks on civilians and civilian targets, attacks on villages where rebels are hiding or sheltering, resulting in heavy damage to civilians, or mass executions and forced displacement of civilians from their homes, were widespread and systematic and are considered crimes against humanity.	0
First, I urged the Security Council to give greater recognition and priority to human rights in its resolutions and presidential statements.	0
Unfortunately, the Sudanese justice system has demonstrated that it has no capacity or willingness to investigate and prosecute perpetrators of war crimes and crimes against humanity in Darfur.	1
271. The Commission found that while all parties involved in the conflict committed crimes against the civilian population, the Government of the Sudan and the Janjaweed bear responsibility for the vast majority of the deliberate killings of civilians committed during the conflict in Darfur.	1
That makes the irresponsible threat speech of the Iranian leadership even more disturbing.	1
22. The Council is determined to increase pressure on foreign armed groups in the eastern part of the Congo by participating in initiatives under the tripartite process.	0
I also say today what I said on 31 January (see S/PV.6710). It is unacceptable that the Council be prevented from assuming its responsibilities.	1
It directs UNHCR to consider funding the activities of ECOWAS with a view to ensuring adequate resources for institutions.	1
The Cell has also worked to enhance the navigation and mapping skills of both civilian staff and military observers and has been promoting the use of GIS technology as a decision-making tool.	0
Preventing illegal border crossing is vital in addressing terrorism, drug trafficking and commercial smuggling.	1
Furthermore, the motives for committing individuals to the place of residence and to the work determined by the State are based on discrimination based on the Song Boone system.	0
The dissident group of parliamentarians rejected the Garowe process and put forward a proposal for the date of the presidential election from July to 30 April this year.	1
The UNOCI police component focuses on providing support, guidance and advice to the Ivorian National Police and the mixed police units deployed in the former zone of confidence, and to a total of 600 security assistance elements of the Forces nouvelles trained by UNOCI in 2006 prior to their deployment in the northern part of the country.	0
We note Israel &apos; s security concerns that it is obliged to continue its aircraft flights, in particular allegations of violations of the arms embargo established pursuant to resolution 1701 (2006).	1
- Measures to detect and stem the flow of financing and funds for terrorist purposes need to be urgently strengthened;	1
In addition, the subregion continues to face challenges related to law enforcement, the rule of law and respect for human rights.	0
Eastern contingent officers threatened to carry the body of the deceased and pass it through all the streets of Dili before taking him to Commander General Martins &apos; house.	1
Those meetings had proved useful in strengthening the Committee &apos; s work, increasing awareness and understanding of the sanctions regime, developing ideas for more effective measures and discussing implementation difficulties faced by some States and possible measures to assist them.	0
While counter-piracy measures continue to prove effective, the international community must continue to support the Somali Government in its efforts to meet its commitments as set out in both Vision 2016 and the Somali Compact.	0
13. The Executive Directorate will continue to strengthen its role in facilitating technical assistance for the implementation of resolution 1373 (2001) in order to increase the counter-terrorism capacity of Member States and regions by addressing their needs in this field, in close cooperation with the Counter-Terrorism Implementation Task Force and other United Nations bodies and bilateral and multilateral donors, and will continue to adopt a focused and regional approach to this work.	0
I wish to refer to paragraph 4 of Security Council resolution 1956 (2010), which states that the Government of Iraq shall submit to the Security Council by 1 May 2011 a written report on the progress made towards the transition to the subsequent mechanism of the Development Fund for Iraq, and I am pleased to enclose herewith the report of the Government of Iraq containing the procedures for a full and effective transition by 30 June 2011 to the subsequent mechanism of the Development Fund for Iraq and the form in which Iraq can fulfil its commitment as set out in paragraph 21 of Security Council resolution 1483 (2003) (see enclosure).	0
(i) Murder by Government forces or militias or both	0
Officials also noted that small arms and light weapons left behind by previous conflicts in the region were still available.	0
The purpose of raising this issue seems to be to paint a picture of Serbia &apos; s alleged threat to Kosovo and Metohija.	1
"The Security Council reiterates its readiness to impose sanctions, in accordance with its relevant resolutions, on individuals and entities providing shelter, financing, facilities, support, organization or training to groups or individuals or inciting them to commit acts of violence or terrorist acts against other States or their citizens in Somalia or in the region, as well as on other regional networks and on groups, undertakings, entities and individuals who have not severed all links with Al-Qaida and associated groups, including Al-Qaida in the Islamic Maghreb, the Movement for Unity and Jihad in West Africa and the Ansar Dine Movement, in accordance with resolution 2083 (2012).	1
'The Security Council stresses the urgent need to strengthen the military and police institution in Libya.	1
63. The number and scope of terrorist attacks attributed to Al-Qaida shows that the network remains active and continues to have sufficient financial resources to support its activities.	0
Paragraph 4 of resolution 1624 (2005) emphasized that "States, when taking any measures to implement paragraphs 1, 2 and 3 of the resolution, must ensure compliance with all their obligations under international law, in particular international human rights law, refugee law and humanitarian law."	0
