ar_en_TRANSFORMERS	MatConf
34. There has also been an increase in the number of regional counter-terrorism centres, where best practices on the implementation of sanctions can be established, in accordance with relevant special circumstances.	0
As part of a transition strategy to establish an independent police institution, preparations are under way for the transfer of responsibilities from the Kosovo Police Service School and UNMIK police to the Kosovo Police Service.	0
"The Security Council strongly condemns the deliberate targeting of civilians by combatants in armed conflict and calls upon all parties concerned to put an end to these grave violations of international humanitarian and human rights law.	0
However, large-scale strikes and blockades by armed and unarmed political groups and political parties and groups have disrupted humanitarian activities and, in most cases, access to health and education services in the Tiray area.	1
In 2009 and 2010, customs authorities in West Africa (Mali, Nigeria and Senegal) seized large quantities of weapons several times.	1
They welcomed the statement by the President of the Security Council of 14 July 2005 and expressed their support for the initiative of my Special Representative, but also took the opportunity to express their concern that President Yusuf and Prime Minister Gedi might resort to armed confrontation with them.	0
Military and police operations, as well as movements targeting gang leaders, have increased in districts affected by gang violence.	1
Ocean Without Piracy, a non-governmental organization, estimated that $3.2 billion had been spent in 2013 on combating piracy and that the international community had spent some $139 million on each attack.	0
Habsade received financial and military support from Atto, Moses Sudi, Sheikh Yusuf Indohaaddi and others.	0
European Convention on the Suppression of Terrorism, signed on 13 February 1992; ratified by the Federal Republic of Czechoslovakia on 15 April 1992, entered into force on 15 July 1992.	0
This cooperation has resulted in the development and implementation of practical solutions on maritime and operational coordination, legal and judicial issues, self-protection measures for the shipping sector, public diplomacy and the frustration of illegal piracy off the coast of Somalia.	0
72. The events of 25 and 26 March were indiscriminate killings of innocent civilians and gross violations of human rights.	1
The victim, who was raped 14 times over a period of one week, provided the following information:	1
Stresses that effective programmes for the disarmament, demobilization and reintegration of children and the use of best practices identified by UNICEF and other relevant child protection actors are vital to the well-being of all children recruited or used by armed forces and groups, in violation of applicable international law, as well as critical to lasting peace and security, and urges national Governments and donors to ensure that such community-based programmes receive adequate resources and funding in a timely and sustainable manner;	0
The Panel considers that one of the Committee &apos; s most important strengths is that it acts by consensus and that recourse to the Security Council &apos; s voting procedures at the level of the Committee would undermine an important working practice.	0
15. As at 8 September, the total strength of UNOCI stood at 6,430 personnel, compared with the authorized strength of 7,090, including 200 military observers.	0
In one incident, in the early morning of one August 2003, hundreds of Janjaweed Arabs attacked Korsha, the village of Turgo, wearing green military uniforms and riding horses and camels, cordoning the village and shooting at men and boys.	1
However, it appears that financial institutions and other implementing bodies have not yet taken note of this, and the Group recommends that the Commission and States find ways to draw wider attention to this issue.	0
(a) The deliberate killing, beating, abduction, concealment, forced labour and recruitment of Ethiopian civilians;	1
The imbalances in the overall voter registration rates between the regions should be a serious warning.	0
No proper medical treatment or diet was available to some persons with serious health problems.	1
As the fighting intensified, the armed forces reinforced their positions in the hill area by sending a naval vessel to Tibar Bay.	1
As the representative of Algeria had just pointed out, the draft resolution, which had not been adopted, contained a clear condemnation of all terrorist attacks against civilians and all acts of violence and destruction.	0
In Egypt, we have been calling for the peaceful and early transfer of power to a civilian Government.	0
Violations such as deliberate attacks on civilians, indiscriminate attacks on civilians and civilian targets, attacks on villages where rebels are hiding or sheltering, resulting in heavy damage to civilians, or mass executions and forced displacement of civilians from their homes, were widespread and systematic and are considered crimes against humanity.	1
20. During the current mandate period, the Group has established that arms flows from Yemen to Somalia come not only from criminal groups (to the Bakaraa Arms Market to be bought by the opposition), but also from the Government of Yemen directly to the Transitional Federal Government.	0
Undertake research to explore the causes of gender disparity in early warning mechanisms and develop indicators that take into account the outcome of such research.	0
He expressed concern about the increased demolition of buildings in Palestine, the danger of the forcible transfer of the Um al-Ghidr Bedouin community and the continuing Israeli settlement activity, which he said was in violation of international law.	1
The Democratic People &apos; s Republic of Korea also uses propaganda to incite nationalist hatred towards official enemies of the State, including Japan, the United States of America, the Republic of Korea and its citizens.	1
"The Security Council invites the Secretary-General to redouble his efforts to ensure that the monitoring and reporting mechanism is strengthened to implement resolution 1882 (2009) in order to allow for the acceleration of awareness-raising activities and the operationalization of measures to address all violations and abuses against children, inter alia, by ensuring that all relevant United Nations agencies effectively assist in the collection of accurate, objective, reliable and verifiable information on rape and other forms of sexual violence committed against children, as well as by ensuring synergies between relevant United Nations entities, both at Headquarters and at the country level, and avoiding overlapping of functions as required by resolutions 1882 (2009) and 1888 (2009).	0
In the informal consultations that followed the meeting, the Under-Secretary-General and a number of MINUSMA staff confirmed that the threat was significant, real and complex and that all necessary steps must therefore be taken to protect MINUSMA personnel in the context of the growingsymmetric threats and to strengthen the operational capacity of MINUSMA in line with its mandate.	0
12. In short, it can be said that the militias have continued and recently intensified their attacks on civilians, but not on the broad and systematic scale experienced in the months preceding the Joint Statement.	1
In the eastern Democratic Republic of the Congo, security threats resulting from armed clashes and violent civil unrest, often exacerbated by political tensions, remained a source of concern.	1
The military component continues to operate under extremely difficult conditions in the north.	1
President Lahood and Brigadier General Ghazali reported on the explosion at the time of its occurrence [witness statement].	1
Taking note of the work of the Global Counter-Terrorism Forum, in particular its publication of several framework documents and good practices in, inter alia, combating violent extremism, criminal justice, kidnapping for ransom, support to victims of terrorism and community-oriented policing, as a complement to the work of the United Nations counter-terrorism entities in those areas, and encouraging the Executive Directorate to continue its interaction with the Global Forum in its work with Member States to promote the full implementation of resolutions 1373 (2001) and 1624 (2005),	0
15. On 2 December, NATO successfully completed its military mission in Bosnia and Herzegovina during a ceremony at Butmir camp in Sarajevo.	0
Firm action will be taken to prevent and combat gender-based violence, including sexual exploitation and abuse.	0
However, only 20 of them have adopted practical measures and a national strategy to prevent recruitment into terrorist groups.	0
"The Security Council recalls its determination to improve the strategic oversight of peacekeeping operations, recognizing the important role that peacekeeping operations play in protecting civilians, reaffirms its support for the Secretary-General's efforts to review and provide enhanced planning and support for peacekeeping operations, and renews its encouragement to deepen these efforts, in partnership with troop- and police-contributing countries and other relevant stakeholders.	0
(v) Encourage all States, under paragraph 8 of resolution 1977 (2011), to prepare, on a voluntary basis, with the assistance of the Committee established pursuant to resolution 1540 (2004), as appropriate, national implementation action plans, setting out their priorities and plans for the implementation of the key provisions of resolution 1540 (2004), and to submit such plans to the Committee;	0
18. On 31 December 2002, a MONUC special investigation team went to Beni to investigate allegations of serious human rights violations -- arbitrary executions, rape, torture and enforced disappearances -- in the town of Mambasa and in the villages on the Mambasa/Manjana axis and the Mambasa-Ernguete axis.	1
23. UNOMIG and the CIS peacekeeping force continued regular coordination visits, quadripartite meetings, information exchange and joint patrols.	0
Brigadier General Taur Matan Ruak refused President Gusṃo &apos; s request to attend the march and instead sent the F-FDTL Chief of Staff Colonel Lerry Anan Timor.	0
Other documentary material had also to be collected and analysed to identify issues that contributed to the crisis; the Commission would subsequently verify the information contained therein and the reports, and would investigate further facts by interviewing witnesses, officials and other persons in positions of authority, as well as persons detained in police custody or in prison, and by visiting places where crimes were alleged to have been committed or other events.	0
Furthermore, the Coordinating Action Mechanism has decided to initiate the development of international standards for the control of small arms that are no different from those developed on mine action and on disarmament, demobilization and reintegration.	0
3. Decides also that all States shall take and enforce effective measures to establish domestic controls to prevent the proliferation of nuclear, chemical or biological weapons and their means of delivery, including by establishing appropriate controls over related materials, and to this end shall:	0
Meanwhile, the Transitional Government of the Democratic Republic of the Congo continues to consider issuing international arrest warrants against leaders of armed groups in Ituri.	1
The Committee will continue to focus on strengthening consensus in the international community on the importance of combating terrorism; taking practical measures aimed at increasing the capacity of States to combat terrorism; helping to identify and address the problems faced by States in implementing Council resolution 1373 (2001); and contributing to the process of increasing the number of States parties to the relevant international counter-terrorism conventions and protocols.	0
They do all of these things, and they then seek protection and security and put it as a mask for blackmail and further concessions.	0
The minutes were transmitted daily to Brigadier General Azar and to the army commander, General Michel Sleiman.	0
Moreover, the method and pattern of pre-attack flights could in no way be construed as warning signs, as they were clearly part of the attack.	1
(a) Reiterates its call upon parties to armed conflict listed in the annexes to the report of the Secretary-General on children and armed conflict that have not yet done so to prepare and implement action plans to halt the recruitment and use of children in violation of applicable international law without further delay;	0
The Security Council adopted resolution 1894 (2009) on the protection of civilians in armed conflict, in which it called for priority to be given to the protection of civilians mandated in resolutions on the allocation of resources and capacities, and requested the development of a concept of operations, comprehensive mission planning and training on the protection of civilians.	0
Relevant government structures, such as the main detention centre in Abidjan and police stations, were also visited.	1
By paragraph 8 of the same resolution, the Council mandated the Committee to identify individuals and entities: (a) who had participated in or provided support for acts that threatened or threatened the peace, security or stability of Somalia; (b) who had violated the general and complete arms embargo; and (c) who had impeded the delivery of or access to humanitarian assistance to Somalia.	0
During the Committee &apos; s informal consultations on 22 May, the Coordinator of the Monitoring Group made an oral presentation on the current threat to international peace and security posed by Al-Qaida and its associates.	0
11. First of all, the arms available at the Bakaraa Arms Market in the early part of the mandate period were affected by the surveillance activities of the foreign maritime task forces operating in the Gulf of Aden.	1
On 29 November 2014, two barrel bombs were dropped by regime helicopters at the Bakfar prison clinic in Idlib, parts of which were destroyed.	1
In order to ensure the continued return of displaced persons and viable minority communities, decentralization should be widespread.	0
21. The Committee also looks forward to the development of an implementation plan to achieve any of the objectives contained in the Almaty Plan of Action that have not yet been achieved, as well as to the implementation of the commitments consistently contained in the outcome documents agreed at the previous three special meetings, including measures to improve the flow of information with and between international, regional and subregional organizations.	0
The logistical support provided to FARDC for the conduct of joint operations, in accordance with the human rights due diligence policy, was considered necessary for the conduct of effective military operations and for the maintenance of FARDC &apos; s will to fight and cooperate with MONUC.	0
(n) Coordination and cooperation with national counter-terrorism focal points or similar coordinating bodies in the country visited, as appropriate;	0
The MDC candidate has little or no access to the media in Zimbabwe; it is forbidden to campaign freely; and campaign buses and cars are reported to have been seized by the State, allegedly for illegal registration.	0
341. Other sources reported that women and girls had been abducted, detained for several days and repeatedly raped by Janjaweed and soldiers in villages under attack, camps and bunkers; moreover, torture had reportedly been used to prevent women from fleeing.	1
57. The self-interest of those opposed to the establishment of a genuine Government has remained a constant reality and the Monitoring Group has identified in its previous reports the details of this fundamental problem affecting Somalia. This problem persists and the main theme of the present report has become the continuing trend towards an escalation of the potential for violence in a pattern based on the protection of vested vested interests.	0
Some Council members noted the importance of coordination - between the Council &apos; s sanctions committees and its expert groups and Member States, as well as between United Nations entities, field missions and force commanders - for the effective implementation of the Council &apos; s sanctions.	0
Thirteen cells housed two detainees each, while seven cells housed only one in each.	0
Prison staff and Puntland security forces fought with courage and were able to prevent the capture of the prison and the possibility of Al-Shabaab elements fleeing, including an IED expert and a suicide bomb coordinator, imprisoned pirates and others.	1
"The Security Council takes into account the need to continue to explore with international, regional and subregional organizations and arrangements the exchange of experiences and lessons learned in the areas covered by resolution 1540 (2004) and the availability of programmes that can facilitate the implementation of the resolution and areas in which they can assist, including through the designation of a focal point or coordinator for the implementation of resolution 1540 (2004).	0
The Counter-Terrorism Executive Directorate was established for an initial period ending 31 December 2007, with a comprehensive review by the Security Council by 31 December 2005.	0
The Security Council calls upon the Economic Community of West African States (ECOWAS) and its member States, as well as its partners in the international community, to provide further support to the Economic Community of West African States (ECOWAS) mission in Guinea-Bissau in this regard and to continue to coordinate further international efforts to support peace, stability, the rule of law and the fight against impunity in Guinea-Bissau.	0
:: On 27 November 2014, Syrian regime forces killed the ambulance driver Salah Ayash (Abu Mohammed) in Zubdin in eastern Ghouta on his way to help the wounded.	1
While neither side seems ready to return to war, there is a disturbing pattern of escalation and destabilization that could lead to a widespread confrontation that could endanger the lives of more civilians.	0
C. Support to persons affected by conflict	0
The Personal Envoy had reported that the Moroccan Government had on a number of occasions expressed disappointment with the content of the last report and with the Personal Envoy &apos; s recent briefing to the Council during the informal consultations held in April 2014.	0
11. The active presence of ethnic and community-based militias continues to be a major source of instability, particularly in the western part of the country, which in recent months has been the scene of violent clashes between ethnic groups.	1
8 May 2006 There was a violent incident in Gleno, where eastern PNTL officers were attacked.	1
(b) Free access to all places and installations relevant to the work of the Commission;	0
Members of the Council also considered the report of the Secretary-General (S/2000/632), which indicated that important progress had been made on the political and military fronts, but that many challenges remained for the Government of Guinea-Bissau in establishing lasting peace, stability and sustainable development.	0
I must, with great concern, inform you of the escalation of criminal acts and attacks against United Nations and humanitarian personnel.	0
(c) To cooperate closely with a view to the full implementation of sanctions against terrorists and their associates, in particular Al-Qaida, the Taliban and their associates, as provided for in resolutions 1267 (1999), 1390 (2002) and 1455 (2003), to take urgent action to prevent them from obtaining the necessary financial resources to carry out their work and to cooperate fully with the Monitoring Group established pursuant to resolution 1363 (2001);	1
Furthermore, the motives for committing individuals to the place of residence and to the work determined by the State are based on discrimination based on the Song Boone system.	1
66. In one such incident, in Abobo, in the PK 18 area, six young men living in the same place were forcibly arrested by police and masked members of special units, or the so-called parallel forces, at 11 p.m. on 25 March.	1
All these developments have had a significant impact on the progress and results achieved in the overall fields of peace, security, reconciliation and stability.	1
17. The weekly quadripartite meetings allowed the Committees, together with UNOMIG and the CIS peacekeeping force, to discuss security-related matters in the conflict zone on a regular basis.	0
The Group is aware of 15 cases filed in five Member States, as well as before the European Court of Justice, challenging the implementation by Member States of certain aspects of sanctions.	0
Despite the cessation of hostilities, tensions remain high and further clashes cannot be ruled out.	1
Some States, for example, either extended permissible periods of pre-investigation or trial detention or imposed restrictions on access to counsel.	1
Several witnesses reported that the expressions of insult and insult had been used against the detainees, who often called them "a slave."	1
When arrested or forcibly returned, officials of the Democratic People &apos; s Republic of Korea systematically persecuted, tortured and arbitrarily detained them for prolonged periods and, in some cases, engaged in sexual violence, including during forced searches.	1
'Reaffirms that terrorism in all its forms and manifestations constitutes one of the most serious threats to peace and security and that any acts of terrorism are criminal and unjustifiable, regardless of their motivation, whenever and by whomsoever committed.	0
All States in the subregion have established in their legislation relevant offences sufficient jurisdiction to prosecute terrorism-related offences.	0
While the reform of the security forces is a sovereign prerogative of the State, I encourage the Government to address the inherent issue of the cohesion of the national army, including through the building of professional and adequately equipped armed forces.	0
In other words, the victims view their attackers as belonging to another hostile group.	1
I call on the Lebanese authorities to do their utmost to arrest and bring to justice those responsible for this assassination attempt.	0
Measures to prevent and suppress the cross-border movement of terrorists need to be strengthened, particularly on the southern border.	0
15. First, cross-border crime and weak border control can weaken State authority.	1
Syrian security forces have committed a number of violations of international human rights and humanitarian law, some of which could amount to war crimes and crimes against humanity.	1
30. At the same time, I fully support the plans of the African Union to take the lead in carrying out an assessment of the Mission in November, with a view to examining the future peacekeeping needs of the region.	0
It will also lay the foundation for an effective firearms control mechanism, which can assist the authorities in managing the possession of weapons.	0
"The Security Council, however, strongly condemns the continued recruitment and use of children in armed conflict in violation of applicable international law, the killing and maiming of children, rape and other forms of sexual violence, abduction, denial of access to humanitarian assistance to children and attacks on schools and hospitals by parties to armed conflict.	0
29. The United Nations Office on Drugs and Crime, in collaboration with the University of Seychelles and experts from the Centre, developed a curriculum for police officers, the Coast Guard and other law enforcement officers involved in the investigation of piracy and maritime crime.	0
For example, the Commission found that the term Janjaweed was used, on numerous occasions, by victims and members of the Authority, to describe certain men who were said to have led attacks on villages where civilians had been killed and rapes committed.	1
For example, many of these violations relate to death, torture, personal injury, psychological pain and anguish, hostage-taking, loss and damage to real and personal property.	1
The trucks were carrying Government armed forces and were later used to transport looted property from the village.	0
13. The latter group consists of new recruits who have become extremist either by global events or have been influenced by extremists in their communities, who have been misled by the Al-Qaida message, terrorist network sites and the chat rooms on the Internet.	1
Although it may be impractical to authorize all units to carry out targeted offensive operations to paralyse armed groups, urgent measures are needed to ensure a more effective contribution of the framework brigades to activities in the context of the paralysis of armed groups and the protection of civilians.	1
To date, there has been no improvement in the management of reform at the national level.	0
I urge the Government to ensure that United Nations personnel have access to all places of detention in Darfur.	0
17. The Office of Information and Management will continue to expand and update the Committee &apos; s website and increase the number of electronic links available to United Nations websites and other entities with counter-terrorism mandates.	0
D3. Provide regular training on gender issues to all categories of humanitarian personnel, raise awareness of humanitarian personnel and partners working in emergency situations and in rehabilitation programmes and projects, and build their capacity in gender analysis and participatory tools	0
7. Calls upon all States to abide by the provisions of the present resolution regardless of the existence of any rights or obligations conferred or imposed by any international agreement, contract entered into or any licence or authorization granted prior to the date of entry into force of the measures imposed in paragraph 4 above;	0
One of the most notable recent cases is Mali, where the Council did not act at the request of the Secretary-General to establish an expert group to investigate the identity and activities of those involved in transnational crime and organized crime in Mali and the subregion, with the possibility of targeted punitive action against them.	0
Welcoming the continued work of the Government of Iraq towards a united, democratic, pluralistic and federal Iraq, in which human rights are fully respected,	0
429. The Government also cited three cases in which the bombing had been carried out by mistake and stated that it had compensated the victims of the villages of Habila, Um Juzin and Tulu.	1
We condemn the repeated terrorist rocket attacks on Israeli civilian targets.	0
34. On 8 February, 418 petitioners marched ahead of the presidential palace.	1
232. The estimated number of people affected by the conflict in Darfur, plus the number of refugees in Chad (1.65 million displaced persons, 627,000 people affected by the conflict in other ways and 203,051 refugees), stands at an impressive figure of about 2.5 million in one way or another - the vast majority of whom are displaced from their homes.	1
This is unacceptable and even contradicts the declared ban by anti-Government forces on the use of landmines.	0
While he believed that the Counter-Terrorism Implementation Task Force had an important role to play, it should be recognized that the Council &apos; s Counter-Terrorism Committees had intensified their work on the issue and increased their effectiveness through reporting systems, assessment missions and facilitation of technical assistance.	0
"The Security Council recognizes the need to pay more systematic attention to the implementation of commitments on women and peace and security in the work of the Council, in order to ensure the enhanced participation of women in conflict prevention and resolution and in peacebuilding efforts and to further integrate appropriate gender perspectives into the mandates of relevant United Nations peacekeeping missions and other thematic areas related to peace and security.	0
"The Security Council stresses that stability and security remain key factors in the political and economic reconstruction efforts of the Transitional Government and the international community.	0
28. In view of the prevailing situation, I believe that the Mission continues to play an important role in stabilizing and monitoring the ceasefire on the ground, and I would like to recommend an extension of its mandate for an additional six months, ending on 30 April 2006.	0
There is almost unanimous acceptance that the problems of Afghanistan cannot be solved by military means alone.	0
Lebanese forces intervened on several occasions to control demonstrations and to prevent demonstrators from approaching the Blue Line.	1
Moreover, mobile armed groups that rely on banditry tend to be more brutal in their tactics, as they are less motivated to establish local public support bases.	1
"The Security Council expresses its intention, when establishing or renewing the mandate of the relevant sanctions committees, to consider provisions concerning parties that violate international law applicable to the rights and protection of children in armed conflict.	0
Condemns all attacks against United Nations peacekeepers and humanitarian personnel, regardless of the perpetrators, and stresses that those involved in such attacks must be brought to justice.	0
The deaths included: four teachers, one doctor, one nurse, three university students, one engineer, one sport, one lawyer, one media activist, one woman and two family members.	1
In addition, the Mission will continue to protect United Nations personnel and assets and, in accordance with its current mandate, and provided that adequate aviation assets are provided to address the violence challenging the protection of civilians during the electoral period.	0
In particular, I urge the Abkhaz side to fulfil its previous commitments, to allow the opening of a human rights sub-office in Gali, to allow local youth to receive instruction in their Georgian mother tongue and to accept the deployment of UNOMIG police officers in the Gali district.	0
Many now understand that what Al-Qaida claims to be a religious duty or a jihad is only criminal violence, often targeting their Muslim brothers. They consider that Al-Qaida fighters themselves have the right to describe the rest of Muslims as "Takfiri" not only arrogant but extremely offensive.	1
The information we have received indicates that the Special Envoy has already begun to look for new arrangements to accompany Ethiopia and to be satisfied with its non-compliance with the provisions of the Algiers Agreements and its rejection of the Boundary Commission decision.	0
Anwar Khoja of Kosovo said that Kosovo &apos; s independence was a fact that could not be negotiated and that Kosovo &apos; s institutions were open to all those seeking political change through institutions, including Kosovo Serb politicians in northern Kosovo.	0
In San Pedro, the mayor has begun to destroy other random neighbourhoods.	1
"The Security Council notes that widespread human suffering is an outcome and sometimes a contributing factor to instability and the continuation of conflict, whether caused by displacement, violent aggression or other atrocities.	0
243. Universal charitable donations represent an indispensable financial resource, particularly for many developing countries and countries that have experienced major disasters.	0
The pickup vehicles were loaded on their back with Dshk guns (two-mm machine guns mounted on a three-list position), one of which had a mortar launcher, which was used to fire missiles at and across the village.	1
122. The evidence shows that armed men under the command of Abilio Mesquita began the attack on the residence of Brigadier General Ruak on 24 May, as described in paragraphs 69 and 70 above.	1
The men who were detained in Kailek were shot in front of everyone &apos; s eyes or taken away where they were shot.	1
The frequency of attacks is on the rise, including rocket artillery attacks, and there are large numbers of recruits.	1
Security Council resolution 1318 (2000), operative paragraph VI, stresses the importance for all Member States, in particular those involved in the manufacture or marketing of weapons, to restrict the transfer of arms that may provoke or prolong armed conflicts or exacerbate existing tensions or conflicts...	0
Africans have clearly expressed their concerns about the situation in Zimbabwe.	0
"The Security Council thanks the Secretary-General for his report of 3 August 2004, reissued on 23 August 2004 (S/2004/616), and reaffirms the vital importance that the Council attaches to the promotion of justice, the rule of law and post-conflict national reconciliation.	0
Turkey will continue to exercise its rights under international law, in full compliance with established rules and regulations, to protect its citizens and national borders.	1
64. A further worrying development is the persistence of asymmetric attacks on United Nations peacekeeping personnel, as well as assassinations and abductions targeting civilians.	1
Concerned about the increasing intensity and duration of conflicts and their irresolvability due to the presence of foreign terrorist fighters, as well as about the potential for such fighters to pose a serious threat to their States of origin, their transit States and those to which they travel, as well as to States neighbouring areas of armed conflict where foreign terrorist fighters are active and under serious security burdens, noting that the threat posed by such fighters may affect all regions and Member States, even far from areas of conflict, and expressing deep concern about the use of foreign terrorist fighters of their extremist ideology to promote terrorism,	0
In Kosovo, responsibility for the province &apos; s operations was transferred to the Kosovo Police Service (KPS), with the international police playing the oversight role.	0
In two of them, motives could not be established, while the third was considered to be of a criminal nature.	1
One or two States expressed concern that if they freeze the assets of a non-profit organization on the list, they would not be able to finance projects under their control, such as orphanages, hospitals or refugee shelters.	1
Many Sudanese were imprisoned or forced to live in exile after the coup.	1
In most cases of ground-based attacks, men were directly targeted for murder, and in some cases there was evidence of efforts by the perpetrators to sustain the lives of women.	1
134. The samples collected from the crime scene and other forensic examinations have successfully identified the Mitsubishi Canter truck.	0
It is necessary to continue to apply this restriction as long as participation in any such travel leads to a report on the merits.	1
Another State noted that the primary responsibility for prevention was vested in the national army and its intelligence department, and noted that the presence of refugee camps on its territory posed a major challenge.	0
The Chairman of the Working Group noted the persistent concern of some countries about the very serious scope of the region.	0
It remains to be seen whether he can establish ties with extremists in Nigeria within the framework of an effective coalition.	1
Determining that the situation in Somalia continues to constitute a threat to international peace and security in the region,	0
