ar_en_DEEPL	VerConf
69. Mr. Soro told the mission that they were surprised that the international community had not foreseen the impending conflict in CÃ´te d'Ivoire, which had been evident since the death of President FÃ©lix HouphouÃ«t-Boigny.	1
In the event that a decision is made to prosecute all individuals who received weapons for illegal possession, the Commission has records identifying these individuals.	1
The Israeli authorities, on the other hand, claim that the sorties are conducted for security reasons, citing alleged violations of the arms embargo imposed by resolution 1701 (2006).	1
Convinced that it is unacceptable, in principle, that anyone anywhere should escape responsibility for an act of terrorism for any reason whatsoever, including as a result of their own obstruction or lack of honest cooperation with the investigation.	1
Calling upon States to urgently work together to prevent and suppress acts of nuclear terrorism, including through enhanced cooperation and full implementation of relevant international conventions, and by taking appropriate measures to strengthen the existing legal framework in order to ensure effective accountability for those who commit nuclear terrorism offenses.	0
âThe Security Council reiterates its strong support for the adoption by the General Assembly of the United Nations Global Counter-Terrorism Strategy (A/RES/60/288) on 8 September 2006 and the institutionalization of the Counter-Terrorism Implementation Task Force, in accordance with General Assembly resolution 64/235, in order to ensure overall coordination and coherence in the counter-terrorism efforts of the United Nations system and the full participation of the relevant subsidiary bodies of the Security Council, within their mandates, in the work of the Task Force and its working groups, and welcomes the adoption by the General Assembly of resolution 64/297.	0
âThe Security Council remains deeply concerned about the activities in the Sahel region of terrorist organizations, including AQIM and MUJAO, and reiterates its strong condemnation of recent terrorist attacks in the region.	1
I also remember how unacceptable it was for Israelis to talk about the 1967 borders, and for a long time it was almost unthinkable to suggest evacuating Israeli settlements.	1
It is hoped that the two sides will be able to reach a reaffirmation at the highest level of their commitments to the non-resumption of hostilities and the return of internally displaced persons and refugees to their homes in safety and dignity.	0
3. Terrorism is fundamentally opposed to the fundamental values of humankind enshrined in the Charter of the United Nations and basic human rights documents.	1
The review process has led to confirmation that all individuals who, although not listed exclusively on that basis, are primarily known for their role in providing ideological justification to recent recruits or a broader audience for Al-Qaida-related violence should be included on the List. This is despite the fact that punitive measures by themselves have little to no effect on its main tool: The ability to communicate and persuade via the Internet.	1
Therefore, depending on the circumstances of each case, and under the principle of joint criminal enterprise, these persons may be suspected of having committed crimes against humanity by killing civilians; forcible displacement and war crimes by indiscriminately attacking civilians and destroying civilian objects.	1
Most states criminalize the use of their territory to commit or plan terrorist acts against citizens, installations, and diplomatic representatives of other states.	0
42. The Chairman of the Security Council Committee established pursuant to resolution 1540 (2004), together with the Chairman of the Security Council Committee established pursuant to resolution 1373 (2001), participated in the twelfth meeting of heads of special security operations, security services and law enforcement organizations in the field of counter-terrorism, organized by the Federal Security Service of the Russian Federation.	0
Members expressed concern about the security situation and stressed that unless it was addressed quickly and effectively, normalization could stall, undermining the authorities' stabilization efforts.	1
We have serious concerns about this law, as it could have far-reaching consequences.	1
In this regard, flexibility will be required during the implementation process to ensure that the framework can be adjusted, as necessary, in response to new developments and changes that arise in this context.	0
Despite the remarkable progress we have made, the complex political, security and economic environment continues to pose significant challenges for the elected leaders tasked with normalizing the situation in our country.	1
169. The evidence obtained by the Commission establishes that Prime Minister Alkatiri was informed of the alleged transfer of weapons to civilians no later than May 21.	1
It is also indisputable that Armenia, as the occupying Power, bears direct responsibility for the commission of those crimes.	1
Some Council members noted the importance of coordination - between the Council's sanctions committees, expert panels and Member States, as well as between United Nations entities, field missions and force commanders - for the effective implementation of Council-imposed sanctions.	0
72. In the meantime, significant progress is being made in the training of the Congolese National Police, which will provide security during the elections.	0
Romania emphasizes once again that any act of terrorism is unacceptable and must be condemned.	1
The team also educated the commercial aviation industry on the Al Qaeda sanctions by working closely with the International Civil Aviation Organization, the International Air Transport Association, and the private sector.	0
20. Since my report (see S/2007/619, para. 25), the Royal Moroccan Army has continued to report a large number of alleged violations of military agreement No. 1 by the Frente Polisario regarding the presence of persons and vehicles in the buffer strip.	1
A gender perspective must be part of the reform and training of all security forces.	1
The Chair of the Working Group noted the persistent concern of some countries about the extent of the high-risk zone.	1
Some officials even admitted that the government tracked the insurgents to the villages as their hiding place and that the destruction was caused by the ensuing fighting.	0
In this regard, while counterterrorism has been taken more seriously by the United Nations in general and the Security Council in particular, there is limited evidence of real joint efforts to create a greater international response to terrorism.	1
57. The Mission should continue to prioritize its work in monitoring and reporting on violations of international humanitarian and human rights law, in particular killings, sexual violence and grave violations against children, while at the same time supporting the Government in its efforts to address the consequences of past widespread violations through transitional justice mechanisms and strengthening efforts to combat impunity.	0
While these cases are linked to brutal attacks by Boko Haram, there are also disturbing allegations of human rights violations by security forces.	0
Preventing illegal border crossings is vital in countering terrorism, drug trafficking, and commercial smuggling.	1
27. In addition, the Committee decided that the list of items, materials, equipment, goods and technology related to ballistic missile programmes contained in the annex to a previous report of the Committee (S/2014/253) supersedes the previous list (see S/20142/947) and is subject to the measures imposed by the Security Council in paragraphs 8 (a), (b) and (c) of resolution 1718 (2006).	1
Most importantly, it urges these authorities to strictly adhere to the deadline of holding democratic elections by November 2015.	0
29. Therefore, the highest State authorities indicated that even if a decree prohibiting public demonstrations had not been issued, they would not have allowed or condoned the planned march because of the danger to order and public order.	0
Call on parties to armed conflict to strictly observe applicable international humanitarian law, including the prohibition of:	1
He added that in his opinion, âthe village is a small area, difficult to divide into parts, so the whole village becomes a military target.â	0
22. After monitoring the movements of internally displaced persons towards Kosovo and speaking with ethnic Albanians living in southern Serbia in particular, UNHCR reported that they had fled for fear of being caught in the crossfire and as a result of the general unease at the mobilization of police and military forces in the Presevo valley.	1
69. Five States in the subregion have introduced extradition laws and six States have established effective information-sharing mechanisms.	0
Theo Van Boven, former Special Rapporteur of the Subcommission on Prevention of Discrimination and Protection of Minorities, in one of his observations referred to this provision as âmore elaborate and specific, with respect to the right of victims to obtain reparation, than any previous international human rights conventionâ.	0
The relevant bodies of other international legal instruments - including the Council of Europe's Convention on the Prevention of Terrorism - have begun to consider related issues such as incitement, recruitment and training for terrorism.	0
âThe Security Council reiterates its equally strong condemnation of all violations of applicable international law relating to the recruitment, use, re-recruitment, killing, maiming and rape of children by parties to armed conflict, as well as all other acts of sexual violence, abductions, attacks against schools or hospitals and denial of humanitarian access.	1
In the Hiraan region of central Somalia, heavy fighting on June 7 and 8 over land and water disputes on the west side of Beledweyne between the Galgil and Jajili clans of the Hawiye clan reportedly left 36 people dead and 70 injured.	0
The Lebanese government informed me that the Lebanese Armed Forces have also detained and deported a number of infiltrators of Palestinian origin with Syrian identity documents.	0
All commanders must be held accountable for serious violations committed by fighters under their control.	0
It outlines the issues that require attention and concludes - with the encouragement of Somali women - that the international community should raise gender equality issues, including with Somali leaders.	1
At the same time, the Secretariat continues to explore all options in order to enhance and support the Mission's current operational capabilities in the challenging environment of northern Mali.	0
Viet Nam is deeply concerned about the alarming deterioration of the security and humanitarian situation in the eastern part of the Democratic Republic of the Congo.	1
We condemn the excessive use of force by the Israeli military in densely populated areas causing widespread suffering and casualties among large numbers of Palestinian civilians, including children.	1
In 2009, the Russian Federation strengthened penalties for assisting or participating in terrorist activity (including recruitment), and introduced a bill to strengthen criminal liability for terrorism-related offenses.	0
Further development of the situation in this direction could jeopardize efforts to reform and build the country and, in the long run, threaten peace and stability throughout the region.	1
âThe Security Council reaffirms the importance of the work of the Committees established pursuant to resolutions 1267 (1999), 1373 (2001) and 1540 (2004) and continues to provide its support and guidance to them.	0
As the representative of Algeria just pointed out, the draft resolution that was not adopted contained a clear condemnation of all terrorist attacks against civilians as well as all acts of violence and destruction.	1
âThe Security Council calls upon States in the region to continue to assist each other, to the greatest extent possible, in preventing, investigating, prosecuting and punishing drug trafficking and related transnational organized crime and to bring to justice, in accordance with international law, those who finance, plan, organize, support or commit such acts.	0
On August 19 (World Humanitarian Day), the United Kingdom, in its capacity as President of the Security Council, will hold an open briefing on the protection of humanitarian workers under the agenda item on the protection of civilians in armed conflict.	0
"The rivalry between opposing political forces casts doubt on the country's recent democratic success and threatens its progress towards lasting stability" (S/2011/540, para. 55).	1
Major operations may have been carried out less frequently than Al-Qaida leaders would like, but the arrest or killing of terrorist suspects linked to Al-Qaida in more than 40 countries around the world since the Team's last report in November 2006 (S/2007/132) suggests a significant amount of planning for terrorist operations.	0
The Committee notes with concern that there is no systematic monitoring of the weapons and ammunition of the National Police.	1
As I explained, I am confident that your esteemed council will not pay attention to these false accusations, which are not true and do not meet the minimum standards of professionalism.	1
Despite all of the above, we still believe that a military solution is futile - on the contrary, we believe it would be counterproductive.	1
(c) Obstructing the freedom of movement of the United Nations Operation in CÃ´te d'Ivoire (UNOCI) and the French forces supporting it.	1
They said: Why are you staying here, you are slaves.	1
"The Security Council notes with deep concern the postponement of the first round of the presidential elections, scheduled for 29 November 2009 in accordance with the communiqué issued on 18 May 2009 by the Permanent Consultative Framework of the Ouagadougou Political Agreement, endorsed by all Ivorian political actors.	1
In this context, I also note that President Abbas referred to the Palestinian Authority's request to establish a Palestinian diplomatic mission in Beirut, which would contribute to formalizing relations between the Lebanese and Palestinian peoples.	0
The Russian Federation once again calls on the Israeli and Palestinian sides to show restraint and responsibility and to reject unilateralism.	1
The evidence confirms that there are reasonable grounds to charge six Defense Forces soldiers with murder.	1
Individuals and cells associated with al-Qaeda and its affiliates continue to innovate in targets, methods, and technology.	1
The DPRK also uses propaganda to incite nationalistic hatred toward official enemies of the state, including Japan, the United States, the Republic of Korea, and its citizens.	0
Thus, where no State objects or submits a delisting request, or where the information provided is insufficient or contradictory, the matter can be referred to the Office.	0
The failure of the police force leadership to punish the attacks on May 23 and 24 involving some police officers was due to a breakdown in the chain of command, ongoing partisan discord, and limited accountability in the past.	1
8. In Somalia, since early 2007, Al-Shabaab, which is not listed, has claimed responsibility for numerous suicide bombings and attacks following the practices of Al-Qaida and associated groups in Iraq or Afghanistan.	0
In the declaration, signatories committed to end the recruitment and use of children by armed groups and forces.	0
All states have enacted laws to control the manufacture, possession, acquisition, sale, transfer, transportation, and supply of small arms and ammunition, but these laws do not contain clear provisions on arms brokering, arms transfers, or arms embargoes imposed by Security Council resolutions.	0
The 2013 G8 Summit declared its âcategorical rejectionâ of terrorist financing through ransom payments.	1
Similarly, the Commission found sufficient evidence that rape and sexual violence continue to be systematically perpetrated against women during their displacement, perpetuating a sense of insecurity among them and a fear of leaving IDP sites.	0
Noting with concern the evolving nature of the threat posed by Al-Qaida, Osama bin Laden, the Taliban and other individuals, groups, undertakings and entities associated with them, in particular the ways in which they promote terrorist ideologies.	1
âThe Security Council is gravely concerned about attacks on humanitarian workers in violation of the rules of international law.	1
âThe Security Council expresses its concern that aircraft or other means of transportation originating from territory controlled by ISIL and ANF may be used to transport gold or other precious items and economic resources for sale on international markets, or weapons and equipment for use by ISIL and ANF, and notes that individuals and entities involved in these activities may be eligible for inclusion on the sanctions list of the Committee established pursuant to resolutions 1267 and 1989 Recalls that individuals or entities involved in these activities may be eligible for designation by the 1267 and 1989 Sanctions Committee; expresses concern that items of archaeological, historical, cultural and religious significance are reportedly being illegally transported out of ISIL and ANF-controlled territory, which may generate revenue for ISIL and ANF Calls upon Member States to take appropriate measures to prevent this illegal commercial activity; reminds all States in this regard that they are required to ensure that no funds, financial assets or economic resources are made available, directly or indirectly, for the benefit of ISIL, ANF and other individuals, groups, undertakings and entities associated with Al-Qaida; and looks forward to the in-depth consideration of the relevant recommendations for new measures to discourage these activities by the Al-Qaida Sanctions Committee, as contained in the report	1
My delegation remains concerned that the security situation in Iraq continues to deteriorate.	1
This guide is designed to serve as a source of information on counterterrorism best practices, model laws, and available assistance programs.	0
Reiterating its deep concern that, despite its repeated condemnation of violence against women and children, including all forms of sexual violence in situations of armed conflict, and its calls upon all parties to armed conflict to immediately cease such acts, such acts continue to be perpetrated, and in some cases have become systematic and widespread.	1
74. European Union member States are also obliged to criminalize âpublic incitementâ pursuant to the 2008 amendments to the 2002 European Union Council Framework Decision on Combating Terrorism.	1
The Security Council reaffirms the importance of the principle of non-refoulement and the right of refugees to return voluntarily to [the affected country], and encourages countries neighboring [the affected country] to protect all persons fleeing violence in [the affected country], including [people from a specific area in the region]. Urges all Member States, based on the principles of burden-sharing, to support these countries in assisting refugees and affected communities ...	0
We are therefore disappointed that the Secretary-General's report (S/2011/540) recommended only a partial reduction of the troop increase.	1
1. Condemns violent extremism, which can lead to terrorism, sectarian violence and the commission of terrorist acts by foreign terrorist fighters, and demands that all foreign terrorist fighters lay down their arms and completely cease committing terrorist acts and participating in armed conflicts.	1
He warned that there is a risk that inviting the Group of Friends, including non-Council members, to participate in the Council's decision-making process could result in ineffectiveness.	1
The splinter group of parliamentarians rejected the Garowe process and put forward a proposal to bring forward the presidential election from July to April 30 this year.	1
The Declaration of Independence rejected both at birth.	1
Urge relevant regional and/or sub-regional bodies to formulate and implement policies, activities and advocacy campaigns in favor of civilians affected by sexual violence.	0
9. Invites States that have not yet ratified the instruments of international humanitarian law, human rights law and refugee law to consider doing so and to take appropriate legislative, judicial and administrative measures to fulfill their obligations under these instruments.	0
We are concerned that the living standards of the people have deteriorated as a result of the hardships faced by the country in 2008, particularly as a result of the global food crisis and the damage caused by the hurricanes that hit the island.	1
However, the security situation remains a cause for concern for all, although the number of security-related incidents decreased in December 2011 and January 2012, compared to the previous two-month period last year.	1
- To contribute, as appropriate, to the efforts of the Ivorian authorities to develop the capacity of their police and gendarmerie, in particular through training on riot control, and by re-establishing their presence throughout [the affected country].	0
195. Recognizing the importance of the subregion as a âtransitâ area, most States have enacted legislation on asylum, the movement of travelers, and the prevention and suppression of cross-border movements of terrorists.	0
The Monitoring Team is not aware of any cases of listed individuals being apprehended at the border since the Team's last report, and the Committee has received no reports in this regard.	0
Mr. Al-Biani called on the Council not to neglect the important role that internally displaced women can play in negotiating peace, securing their human rights, and achieving development in post-conflict situations.	0
Although the government has made progress in accordance with the action plan, namely the deployment of police forces, it has not implemented its commitment not to enter areas controlled by armed movements.	0
The UDPCI demands that these abuses be brought to light and the perpetrators brought to justice.	0
The degree of damage to the metal fragments shown to us by the police (said to have originated from a Mitsubishi Canter) is consistent with the fragments we would expect if the car had been at the center of the explosion.	0
I also take this opportunity to emphasize my concern about the challenges posed in the context of the federal and state elections to be held in Nigeria in February 2015, with serious risks of possible violence due to attacks by Boko Haram or challenges to the election results.	1
They point out that Ethiopia's failure to allow full demarcation to proceed, as well as the continued and increasing restrictions on UNMEE's work, raise serious questions about the viability of the Mission.	1
Within one week of the Committee's adoption of a policy directive in a particular area, the Executive Directorate should develop a plan for implementing the directive and submit it to the Committee for approval.	0
The parties to the peace process have yet to make arrangements for the release of children and reintegration programs that would have allowed children in those forces to benefit from recovery and reintegration measures.	0
13. The Secretary-General has established the Executive Committees on Peace and Security and on Humanitarian Affairs as a forum in which managers at the highest level discuss and formulate strategies for preventing and responding to armed conflict and humanitarian emergencies.	0
Attempts to destabilize the internal situation in Lebanon through political assassinations are completely unacceptable.	1
Opposition forces - led by Mohamed Ibrahim Habsade - took control of Baidoa on or around March 26 or 27, inflicting a crushing defeat on President Yusuf and Sheikh Madobe's militias.	0
The Jordanian government emphasizes the need for the Israeli government to immediately and completely cease all violence and destruction in the Gaza Strip and throughout the occupied Palestinian territories, end the policy of destroying Palestinian infrastructure and homes, stop extrajudicial killings and collective punishment of the Palestinian people, and put an end to the violations practiced by Israel against the Palestinian people.	1
11. Reaffirms its resolution 1373 (2001), in particular its requirement that all States must prevent and suppress the financing of terrorist acts and refrain from providing any form of support, active or passive, to entities or persons involved in terrorist acts, including by ending the recruitment of members of terrorist groups and preventing the supply of weapons to terrorists.	0
In particular, we would like to express our deep concern about the stagnation in Haiti's socio-economic development and food security.	1
33. On 3 September, the Government of India informed the United Nations of its decision not to renew the contract for the deployment of six Mi-17 helicopters to UNMIL beyond 31 October.	0
The continued flow of non-Syrian fighters to the front is a matter of concern, and a common concern for a range of national authorities that have been tracking the issue.	0
Emphasizing the importance of building the capacity of the security forces of the [Government of ...], reaffirming in this regard the importance of restructuring, training, equipping and retaining [national] security forces, which is critical to the long-term stability and security of [the country concerned], and expressing its support ... [of] ongoing [international] capacity-building programs, and emphasizing the importance of further coordinated and sustained support from the international community, in a timely manner.	0
This perception could further radicalize some Kosovo Albanian nationalist elements and potentially put Kosovo's minorities at increased risk.	1
57. The mission received information indicating that the death squads may be composed of individuals close to the Government, the Presidential Guard and a tribal militia from the President's ethnic group.	0
In conclusion, the challenges facing Afghanistan are enormous, but we are making progress.	1
âThe Security Council calls on the Somali parties to build on the progress made and expedite the National Reconciliation Conference to reach a lasting and inclusive solution to the conflict in Somalia through the establishment of a viable transitional government.	0
However, without significant transparency - which could undermine one of the mechanism's key features - it is unlikely to meet the requirements for an effective and independent judicial review.	1
The absence of such guidelines, including criteria for selecting cases for investigation and prosecution, has deprived the commissions of necessary guidance on the appropriate ways to investigate crimes that constitute gross human rights violations.	0
Nothing is more urgent in Sierra Leone than maintaining peace, security and stability in the country.	0
The Commission received credible information that several individuals were relocated by persons working in military intelligence or security.	0
118. Terrorism is a driving factor in an increasing number of conflict situations, particularly in the Sahel and Maghreb regions.	1
The situation on the ground is also alarming from a humanitarian point of view. The Secretary-General emphasizes that Iraq is in a major crisis and states that the situation is deteriorating.	1
"The Security Council emphasizes that the RCD-Goma will be held accountable for any extrajudicial executions, including among members of civil society or detainees in its detention centers in Kisangani.	1
Furthermore, the committee will set a schedule of meetings that seeks to achieve its goals efficiently and expeditiously.	0
âThe Security Council condemns the deaths of innocent civilians and human rights violations in eastern DRC and calls for a full investigation into these incidents.	1
The Israeli people, who had hoped that Israel's withdrawal from Lebanon - ratified by this Council six years ago - would bring security along its northern border, have found themselves subject to constant rocket attacks from Hezbollah, reaching deeper and deeper into Israeli territory every day.	1
Market stalls were completely destroyed and livestock was looted.	0
This will require a clear stance, especially, and quite frankly, from the United States.	1
We are also concerned about the resurgence of cholera cases, although the death rate seems to be slowly decreasing.	1
The decree was a catalyst for further developments regarding the integration of Congolese armed groups into the FARDC.	0
The multi-ethnic character of Kosovo and Metohija spoken of in the report is ignored, most notably the judicial system established in Kosovo and Metohija (para. 57).	1
But there was also concern that any glimmer of hope in the Middle East was met with escalating violence and destruction.	1
But we are concerned by recent developments, including further tensions between members of local communities and ISAF forces.	1
âThe Security Council expresses its deep concern about the implications of the refugee crisis resulting from the conflict in Syria, which threatens the stability of the entire region.	1
After the women were raped, some women's clothes were not returned to them and they were forced to remain naked.	0
Given the groups' long-standing hostility to the UN, this suggests an ongoing threat to mission personnel.	1
âThe Security Council recognizes the support provided by bilateral and multilateral actors, including the African Union, the European Union, the Organization of Islamic Cooperation, the League of Arab States, and sub-regional organizations such as the Economic Community of West African States, the Community of Sahelo-Saharan States, the Intergovernmental Authority on Development and the Arab Maghreb Union, in efforts to combat terrorism in Africa and calls on the international community and the UN system to strengthen their cooperation with sub-regional counter-terrorism bodies, such as the African Centre for Studies and Research on Terrorism (ACSRT).	0
Determining that the situation in the region continues to constitute a threat to international peace and security.	1
That team consisted of seven experts specializing in post-bombing investigations.	0
Twenty-five countries impose full controls on asylum processes to prevent them from being misused by people who have committed terrorist acts.	0
11. Emphasizes that specialized international and regional organizations play an important role in building understanding of the threat of terrorism and in facilitating international cooperation in the fight against terrorism, in particular through the provision of technical and related assistance, as requested.	0
In one case, a civilian was detained by the Janjaweed following an attack on his village, held captive in a Janjaweed camp, and later transferred to a military barracks in the area.	0
This Council should not allow that strategy to be rewarded by addressing the response to terrorism rather than terrorism itself. It must be rejected, not appeased.	1
However, detection and interdiction mechanisms are often not applied at the border due to insufficient application of risk indicators and targeting criteria; lack of information sharing and cooperation between customs, law enforcement, immigration, and financial intelligence units; and lack of dedicated human and material resources.	1
:: There is a need for greater consistency in the establishment of truth-seeking mechanisms and their mandates: There is a need for greater consistency in the establishment of truth-seeking mechanisms and their mandates.	0
12. Recalls its resolution 2161 (2014) and its requirement that all States shall ensure that no funds, financial assets or economic resources are made available, directly or indirectly, for the benefit of ISIL, ANF or other individuals, groups, undertakings and entities associated with Al-Qaida, by their nationals or by any persons within their territory, and reaffirms the requirement in its resolution 1373 (2001) that all States shall prohibit their nationals or any persons or entities within their territory from making any funds, financial assets or economic resources or other related services available, directly or indirectly, for the benefit of persons who commit, attempt or facilitate the commission of terrorist acts persons or entities within their territories to make any funds, financial assets, economic or financial resources or other related services available, directly or indirectly, for the benefit of persons who commit, attempt to commit, facilitate or participate in the commission of terrorist acts, or of entities owned or controlled, directly or indirectly, by such persons, or of persons and entities acting on behalf of or at the direction of such persons.	1
We raise the issue of violence in order to express our impatience with regard to finding satisfactory and urgent solutions to the enormous challenges to the unity of Iraqi society.	1
UNOCI is also in the process of recruiting staff for its Personnel Conduct Unit.	0
The Haqqani Network (TE.H.12.12) continues to be directly involved in terrorist attacks in Afghanistan.	0
27. The popularity of F-FDTL has declined dramatically, especially by veterans' organizations that came into existence in 2001.	1
- There is an urgent need to strengthen measures to detect and stop the flow of financing and funds for terrorist purposes.	1
In August 2005, the Group, accompanied by UNOCI officials, visited the Autonomous Port of Abidjan, Grand Lahou, Grand Lahou, Frisco, Sassandra, Monogaga, Grand BerbÃ©, the Autonomous Port of San Pedro and Tabou. In all these locations, the Group inspected ports and marinas and discussed the implementation of the embargo with responsible authorities, commercial enterprises and UNOCI.	0
These alliances allow it to undertake broader efforts to destabilize the African continent.	0
The Afghan government urged the Committee to respond more flexibly to its proposals for de-listing, expressing concerns that its inability to achieve de-listing robs it of a key system for rewarding Taliban members who join the reconciliation process, risking their return to the fight.	1
Most potential witnesses residing outside the country were afraid to testify even confidentially because they feared for the safety of their family members and perceived that the authorities were still secretly monitoring their behavior.	1
38. In its resolution 1559 (2004), the Security Council called for the disbanding and disarming of all Lebanese and non-Lebanese militias.	1
The Group of Experts recommended, among other things, the establishment of an independent international mechanism with concurrent mandates to monitor the domestic accountability process and conduct independent investigations.	0
One case was reported from Dalba in West Darfur stating that the victim was beaten to death.	0
In June 2009, the Financial Action Task Force on Money Laundering (FATF) International Cooperation Review Group reported that six countries in the sub-region have AML/CFT gaps.	1
4. Calls upon all States not parties to the Treaty on the Non-Proliferation of Nuclear Weapons to accede to the Treaty as non-nuclear-weapon States, with a view to achieving the universality of the Treaty at an early date, and, pending their accession, to abide by its provisions.	0
Porous borders remain a challenge to effective border control, and regional approaches and best practices (e.g. community policing) should be developed to address these challenges.	0
:: Provide a report to the Committee established pursuant to resolution 1540 (2004) after each meeting: Report to the Committee established pursuant to resolution 1540 (2004) after each meeting	0
In this regard, Prime Minister Guillaume Soro's request for UNOCI to issue regular public reports on the Ivorian media will help curb dangerous tendencies in the media that could lead to incitement of election-related violence.	1
However, Afghanistan continues to face challenges in its pursuit of stabilization and development. Key among them are the security situation, the worsening humanitarian situation, rule of law and human rights challenges and continued violence, resulting in increasing civilian casualties.	1
A shift in the Mission's force will not alone bring about the changes needed to more effectively implement its mandate; it must include a change in the behavior of some troop-contributing countries.	1
In that regard, we believe that the destructive action aimed at obtaining unilateral political benefits should be unequivocally condemned.	1
I continue to believe that the complex security challenges in Somalia cannot be addressed within the capabilities of a standard UN peacekeeping force, and that a multinational force is the right tool to stabilize Mogadishu.	1
Let me start by reiterating the European Union's deep concern about the situation in Somalia and the regional repercussions of the conflict.	1
âThe Security Council notes with concern that terrorism continues to pose a serious threat to international peace and security, the enjoyment of human rights and the social and economic development of all Member States, and undermines global stability and prosperity, and that this threat has become more widespread, with an increase in terrorist acts in different regions of the world, including those motivated by intolerance or extremism, and expresses its determination to address this threat.	1
The international community must take the necessary action to prevent Israel from continuing the condemnable destruction it has embarked on in Gaza, and emphasize the rejection of all these Israeli practices, which are in violation of international law and international humanitarian law.	1
They were also deprived of their liberty and right to freedom of movement within the DPRK, their right to be recognized as a person before the law, and their right not to be subjected to torture and other cruel, inhuman or degrading treatment.	0
Three media activists were also injured in November, all of whom were wounded by regime forces.	0
The Organization of Islamic Cooperation calls for an end to the Israeli military occupation of the Palestinian Territory, including East Jerusalem, and to the illegal actions of the occupying Power, which have claimed thousands of civilian lives, caused widespread destruction and exacerbated the social, economic and humanitarian suffering of the Palestinian people in violation of international law, including international humanitarian and human rights law.	1
