ar_en_TRANSFORMERS	MatCoop
5. During the informal consultations held on 5 May, the Committee met with the newly established Group of Experts.	0
Encourages the efforts of [the mission] and the United Nations country team to continue to assist the Government in preventing the recruitment of refugees and children by armed groups, and to maintain the civilian character of refugee camps and internally displaced persons sites, in coordination with [the national security forces] and the humanitarian community.	1
23. Since my Special Representative arrived in Nairobi on 27 May 2005, he has tried to convince subregional leaders and others of the need for a coordinated approach to Somali leaders and to urge them to engage in dialogue and refrain from military actions to resolve differences within the framework of the transitional federal institutions. On 10 June, he met in Kampala with President Yoweri Museveni of Uganda and on 29 June he held talks with President Ismail Omar Guiss̩ of Djibouti with the Secretary-General of IGAD in Djibouti.	0
23. Six children were killed and 44 injured by improvised explosive devices left over from the conflict.	0
4. The Security Council, by its resolution 1521 (2003), also established a Committee to oversee the implementation of the measures, and a group of experts was established to provide the Committee with information on the implementation of the measures and the progress made towards meeting the conditions for lifting the sanctions.	1
114. The violence in Rai Koto on the afternoon of 28 April resulted in the death of one civilian, as described in paragraphs 50 and 51 above.	0
The Assistant Secretary-General briefed on political developments in Ukraine, including the holding of parliamentary elections on 26 October and the rebel elections in Donetsk and Lugansk on 2 November, which had been denounced by the Secretary-General and many in the international community.	0
5. As the Maoists were preparing to relocate their troops to the cantonment sites, they launched a recruitment campaign, which peaked in November 2006.	0
The Council also deplored the adoption of the resolution by the Assembly of Kosovo and agreed with the Special Representative that those resolutions adopted by the Assembly, on matters not within its competence, were null and void.	0
:: The prohibition of slavery and the slave trade in all their forms, as well as the failure to pay or abuse the labour force.	0
Noting with concern that the threat of terrorism has become more widespread, as various regions of the world are experiencing an increase in terrorist acts, including those motivated by intolerance or extremism, and expressing its determination to combat this threat,	0
105. These are a few examples, including numerous material testimonies and evidence, which confirm to the Commission that the term Janjaweed is used, in its use, as a synonym for other terms used to describe militia forces working with the Government.	0
Taking note of the request of the Government of Afghanistan to the Security Council to support national reconciliation, including by removing from the United Nations sanctions lists the names of Afghans entering into reconciliation, who have thus ceased to participate in or support activities that threaten peace, stability and security in Afghanistan,	1
At the end of the fourth round of negotiations in late November, the positions of the parties on key issues remained unchanged.	0
The Abkhaz regime spares no effort to legitimize the demographic situation that it has forcibly changed through ethnic cleansing and the creation of intolerable living conditions for Georgian citizens returning to the Gali region.	0
29. On 25 November 2011, President Koroma inaugurated the National Commission for Youth, which is expected to take the lead in promoting and coordinating youth development within the Ministry of Youth Employment and Sports.	0
Those instruments, together with the decentralization policy, clarify the roles and responsibilities of local councils, provincial officials, parliamentarians and traditional authorities in the areas of development decision-making; elections and the maintenance of law and order; and the collection and distribution of local revenues.	1
"The Council expresses deep concern at reports of an unusual and sudden influx of thousands of Misseriya to Abyei town and surrounding areas, which could bring about significant changes in the ethnic fabric of the region.	0
6. On the basis of the comprehensive review of all list items completed in 2010 pursuant to paragraph 25 of resolution 1822 (2008), the Committee has since implemented a large number of mechanisms to ensure that the list gives the most accurate possible picture of the threat posed by Al-Qaida and to ensure that each item is reviewed periodically to determine whether there is justification for its retention on the list.	1
19. The Ombudsperson continued to liaise with representatives of the Counter-Terrorism Implementation Task Force and the Counter-Terrorism Committee Executive Directorate established pursuant to resolution 1373 (2001), as well as with the Terrorism Prevention Branch of the United Nations Office on Drugs and Crime and the Office of the United Nations High Commissioner for Human Rights.	1
On several occasions, we have appealed to the Council to take action to compel Israel to cease its military attacks, to ensure the protection of the civilian population and to cease all illegal punitive measures through which it causes a humanitarian disaster in the Gaza Strip.	0
Cooperate in the development and implementation of a gender-sensitive HIV/AIDS policy in the areas of training, codes of conduct, HIV detection, civilian-military cooperation, resource information and best practice materials; incorporate a policy on HIV/AIDS in the Department of Peacekeeping Operations and strengthen the capacity of peacekeeping operations (including those of incoming staff) to respond to HIV/AIDS.	1
215. All States have enacted legislation regulating the production, sale and transfer of weapons and explosives.	1
(e) Individuals operating in the Democratic Republic of the Congo who commit serious violations of international law, including the targeting of children or women in situations of armed conflict, including killing and maiming, sexual violence, abduction and forced displacement;	0
As noted above, a new decision was taken during this session regarding the payment of compensation.	0
460. In its recommendations, the National Commission had proposed administrative and judicial measures, particularly since the causes of the conflict should be examined and the administrative deficit, which had been one of the factors that had aggravated the conflict, should be corrected.	0
On 28 and 29 March, during the third tripartite meeting between Angola, the Democratic Republic of the Congo and the United Nations High Commissioner for Refugees, held in Luanda, it was agreed to establish a working group to discuss the return of some 800,000 Angolan refugees from the Democratic Republic of the Congo.	1
They also called upon the Forces nouvelles to begin the demobilization, disarmament and reintegration process agreed to at the Accra meeting expeditiously and before 15 October without preconditions, and stressed the need for the disarmament of all paramilitary and militia groups as well.	0
Research and policy analysis will continue on a range of issues, including conflict prevention and early warning mechanisms.	0
The States of the subregion are mindful of their vulnerabilities to arms trafficking and have put in place the necessary legislative frameworks to criminalize illicit trafficking and control the production, sale and transfer of arms and explosives.	1
On 19 November, the Council adopted a presidential statement (S/PRST/2014/23) outlining practical steps for the effective implementation of resolutions 2170 (2014) and 2178 (2014). Specifically, the presidential statement contained steps to improve the exchange of information between States with a view to preventing the travel, recruitment and financing of terrorists. The statement identified emerging sources of funding for ISIS and the Nusra Front, which require greater vigilance by Member States to ensure compliance with international obligations. It also identified effective strategies and urged enhanced cooperation to halt the spread of violent extremism in local communities, with a view to placing the United Nations in a better position to address the causes of terrorism and violent extremism, by: (a) enhancing coordination among States; (b) achieving greater effectiveness in capacity-building; (c) improving coordination between United Nations entities involved in counter-terrorism and field missions; and (d) strengthening the efforts of Member States and the United Nations, including its strategic communications, to counter violent extremist ideologies conducive to terrorism.	1
"The Security Council reaffirms its commitment to the protection of civilians in armed conflict and to the continued full implementation of all its previous relevant resolutions, including resolutions 1265 (1999), 1296 (2000), 1674 (2006), 1738 (2006) and 1894 (2009), as well as all its resolutions on women, peace and security, children and armed conflict, peacekeeping and all relevant statements of its President.	0
:: Consider how more effective implementation of the women, peace and security agenda can contribute to improved security for all and sustainable peace	1
22. Also recognizes the need for comprehensive operational guidance on the tasks and responsibilities of peacekeeping missions in implementing protection of civilians mandates, further recognizes the need to ensure that operational guidance is systematically taken into account in mission-wide planning, training and strategic documents, and requests the Secretary-General, in close consultation with Member States, including troop- and police-contributing countries, and other relevant actors, to develop a practical concept for the protection of civilians and to report on progress made;	1
Another area in which CTED sees room for further work is the promotion of the integration of a human rights approach into counter-terrorism programmes.	1
11. In accordance with resolution 1963 (2010), the Executive Directorate will also assist the Committee in organizing a special meeting, open to all members and other stakeholders, to commemorate the tenth anniversary of the adoption of resolution 1373 (2001) and the establishment of the Committee.	1
66. Technical and financial support for a law enforcement seminar and training workshop for the Somali Police Force has been provided through the United Nations Rule of Law and Security Programme in Kampala since August 2005.	1
10. From 24 to 28 October 2011, the KFOR Civilian Military Advisory Division and KFOR jointly completed the coordination phase of their fourth joint assessment.	1
Participants considered holistic approaches to addressing the factors leading to the spread of extremism and terrorism in the region, and how United Nations entities could best assist in dealing with this phenomenon and its implications for peace, security and stability.	0
The United States urges the Haitian authorities to fulfil their pledge to fill all six vacancies in the Supreme Court by 3 October 2011.	0
61. As requested in the current programme of work of the Commission, efforts have continued to be made for all States to report bilaterally in New York with missions of States that have not yet reported to the Commission, or within the framework of opportunities or other activities at the regional level.	1
In addition, UNDP and UNODC assisted in the development of training modules for the police on a range of issues, including electoral law and applicable professional standards in their duties.	1
The deaths included: four teachers, one doctor, one nurse, three university students, one engineer, one sport, one lawyer, one media activist, one woman and two family members.	0
10. Stresses the urgent need for the full and immediate implementation of this resolution with regard to foreign terrorist fighters, stresses the special and urgent need for the implementation of this resolution with regard to foreign terrorist fighters associated with ISIL, ANF and other Al-Qaida-related, splinter or subsidiary cells or groups identified by the Committee, and expresses its readiness to consider including in the list, under resolution 2161 (2014), individuals associated with Al-Qaida who commit the acts specified in paragraph 6 above;	1
Africans have clearly expressed their concerns about the situation in Zimbabwe.	0
In one of his remarks, Theo Van Boven, former Special Rapporteur of the Sub-Commission on Prevention of Discrimination and Protection of Minorities, referred to this provision as more extensive and specific with regard to the right of victims to reparation than any previous international human rights convention."	1
Gender-based discrimination is also reflected in the targeting of women by paying bribes or fines.	0
Four States apply policies and measures to combat the smuggling of arms and explosives, and two others apply some of these measures, while another State has no capacity in this area.	1
9. Requests the Secretary-General to continue to report regularly, at least every three months, on the situation in the Democratic Republic of the Congo and on the activities of MONUC and to provide the Security Council with specific updates on the military situation on the same basis;	1
11. One of the main objectives of the Counter-Terrorism Committee remains to facilitate the provision of technical assistance aimed at strengthening the counter-terrorism capacity of a State, which does its utmost to meet its obligations to implement the provisions of Security Council resolution 1373 (2001) but lacks the capacity to do so.	1
In response to the events in the Syrian Arab Republic, including the report received by the United Nations High Commissioner for Human Rights, the Under-Secretary-General welcomed the recent decision of the Human Rights Council to establish an international commission of inquiry.	0
It expresses its deepest sympathy and condolences to the victims of this heinous act of terrorism and their family members, and to the Government and people of Pakistan.	0
Unsolved ethnic and border conflicts have resulted in conflicts that undermine efforts to develop a coherent regional approach to combating terrorism.	0
We strongly condemn these practices, which constitute a flagrant violation of international conventions and humanitarian laws and norms. We call on the international community, the members of the Quartet and all the actors to intervene immediately and resolutely to compel Israel to put an end to such actions, which pose a serious threat to security and stability in the Middle East region. Violence can only result in violence, which could put the region in a spiral of difficulty.	0
I also refer to Chad and Guinea as early warning, where the deterioration of humanitarian conditions may have an impact on stability in the region.	0
Sometime between 1.15 and 1.30 p.m., Lieutenant Colonel Ahmed Al-Assir told him of the explosion and that Mr. Hariri &apos; s convoy was the target.	0
18. These trends are reflected in many contemporary conflict situations on the Council &apos; s agenda.	0
The Commission claimed that an unknown number of soldiers and 13 civilians had been killed by rebels inside the hospital in Bram.	0
89. The security forces are national regular forces, whose task is to provide for the internal and external security of the Sudan, monitor the relevant facts, analyse their significance and risk and recommend preventive measures.	0
Implementation of the policy on gender equality and empowerment of women and girls.	1
With the exception of the ports of San Pedro and Abidjan, other ports and the coastline lack the infrastructure to import large quantities of weapons and military equipment.	1
21. Working Group III, chaired by the Republic of Korea, supported the efforts of States, the maritime sector and labour groups to protect ships from piracy off the coast of Somalia.	1
26. The Committee continued its cooperation with the International Criminal Police Organization (INTERPOL), including through the issuance of INTERPOL-Security Council Special Notices, which were designed to alert relevant national law enforcement authorities responsible for the implementation of sanctions to subject individuals or entities to Security Council sanctions measures (see also paras. 32 and 34 below).	1
Finally, I call upon the Security Council to stand by Nigeria during this difficult period and to provide it with any form of support it needs to avoid further destabilization and further violence, particularly in the most affected north-eastern States.	0
The Democratic People &apos; s Republic of Korea categorically rejects the fabricated human rights resolution against the Democratic People &apos; s Republic of Korea on the basis of tactics, lies and misleading information that have been taken in compliance with the coercion of the United States and other hostile countries in an authoritarian and arbitrary manner.	0
Noting recent developments and initiatives at the international, regional and subregional levels to prevent and suppress international terrorism, and noting the work of the Global Counter-Terrorism Forum, in particular its recent adoption of a comprehensive set of good practices aimed at addressing the phenomenon of foreign terrorist fighters and its dissemination of several framework documents and other good practices, including in combating violent extremism, criminal justice, prisons and kidnapping for ransom and providing support to victims of terrorism and community policing, in order to assist interested States in the practical application of the United Nations counter-terrorism legal and policy framework and to complement the work of the United Nations counter-terrorism entities in these areas,	1
- On 19 September, following the explosion of a vehicle hit by a mine in Aglhok, six wounded Chadian battalion personnel were evacuated by helicopter and transported to the Chinese level II medical care facility in Gaoo.	0
The Secretary-General had received a request from East Timor to become a Member of the United Nations, and looked forward to the Council's consideration of that request.	0
Renovation of prisons and detention centres, which were in very poor condition in Kosovo, was also a top priority for the UNMIK Department of Justice.	1
The symposium, held at United Nations Headquarters in New York, allowed participating prosecutors to identify common challenges in prosecuting those accused of terrorist acts and to share success stories in effectively bringing terrorists to justice while respecting the rule of law and human rights.	1
30. In general, the attitude of the Government authorities towards the Commission has been cooperative.	0
Three States had developed legal texts enabling extradition, exchange of information and legal assistance and had concluded bilateral treaties or entered into other arrangements with other States in that regard.	1
163. The adoption of the Statute of the International Criminal Court, which followed the Statute of the Special Court for Sierra Leone, could be regarded as the culmination of a law-making process that in a few years led to the development of a set of customary rules governing internal armed conflict and to the criminalization of serious violations of these rules (in the sense that serious violations of these rules may entail individual criminal responsibility).	1
All the committees acknowledged that they had received complaints of rape during attacks on villages, none of which had been recorded or investigated.	0
States should establish a clear, complete and consistent legal framework that classified terrorist acts as serious criminal offences and punished them according to their gravity, defined jurisdictions and assisted the courts in bringing terrorists to justice.	1
These proposals formed the basis for the discussions of the Working Group, which is preparing a structure for the reunification of the armed forces, although no formal response has been provided by the Ivorian parties.	1
While counter-piracy measures continue to prove effective, the international community must continue to support the Somali Government in its efforts to meet its commitments as set out in both Vision 2016 and the Somali Compact.	1
(b) Address shortcomings in the criminalization of terrorist financing and the freezing of terrorist funds, and strengthen the monitoring of the non-profit organization sector and alternative remittance systems;	1
65. The MONUC exit road map should be accompanied by intensive efforts by the international community to strengthen regional cooperation in order to minimize external threats and threats to the peace consolidation process in the Democratic Republic of the Congo.	1
19. Requests the Panel of Experts to continue to coordinate its activities, as appropriate, with those of the African UnionUnited Nations Hybrid Operation in Darfur (UNAMID) and with international efforts to strengthen the political process in Darfur, and to assess in its progress and final reports progress towards reducing violations by all parties of the measures imposed by paragraphs 7 and 8 of resolution 1556 (2005), paragraph 7 of resolution 1591 (2005), and paragraph 10 of resolution 1945 (2010), and progress towards removing obstacles to the political process, threats to stability in Darfur and the region, violations of international humanitarian law, violations or abuses of human rights, including attacks on the civilian population, gender-based violence, other grave violations and abuses committed against children, and other violations of the above-mentioned resolutions, and to provide the Committee with information on entities and individuals who meet the criteria for inclusion in paragraph 3 (c) of resolution 1591;	1
Most States have established a customer due diligence obligation and reporting mechanisms in their legislation so that financial institutions and some professionals have to know the identity of the client and report suspicious activities to the authorities.	1
Within the framework of the Office of the United Nations High Commissioner for Refugees (UNHCR), the parties will further study family visits by road.	1
In a further review of Hamas &apos; s hostility, Hamas celebrated its twenty-seventh anniversary with military demonstrations involving 2,000 of its armed fighters and vehicle-borne rockets across the streets of Gaza.	0
The purpose of these attacks is therefore clear: to exterminate moderate Syrians and to eliminate our forces on the ground.	0
At the time of the attack, the women fled to the valley, where they were surrounded by military personnel.	1
The members of the Committee concluded that there were reasonable grounds to prove that crimes against humanity had been committed and were being committed in the Democratic People &apos; s Republic of Korea as a State policy.	0
29. The United Nations Office on Drugs and Crime, in collaboration with the University of Seychelles and experts from the Centre, developed a curriculum for police officers, the Coast Guard and other law enforcement officers involved in the investigation of piracy and maritime crime.	1
They recognize the importance of cooperation, information exchange and coordination among different countries and between the regional and national levels.	1
In order to declare a person accused of crimes, it must identify the international crimes for which he or she may be responsible.	0
The Security Council recognizes that development and security are mutually reinforcing and essential to an effective and comprehensive approach to counter-terrorism.	0
"The Council recalls its resolution 1645 (2005) and recognizes the important role of the Peacebuilding Commission in promoting and supporting an integrated and coherent approach to peacebuilding, including the promotion of improved coherence and alignment of partner policies on national peacebuilding strategies and priorities. The Security Council reiterates its support for the work of the Commission and expresses its continued readiness to build on the advisory role of the Commission and its advocacy and resource mobilization role, including through the use of targeted international and national advice on the long-term commitment to peacebuilding goals in countries on the agenda of the Commission. The Council further underlines the important role of the Peacebuilding Commission in supporting the smooth transition of mandated missions in countries on its agenda, in particular through the mobilization of sustained international support for critical capacity needs at the national level.	0
40. Welcomes the periodic briefings by the Government of Afghanistan on the content of the List, as well as the impact of targeted sanctions on deterring threats to peace, stability and security in Afghanistan, as well as on supporting the Afghan-led reconciliation process;	0
In its second report (S/2005/83, para. 135), the Group noted that the European Union, as the most developed of these regions, guaranteed its citizens freedom of movement in the territory of its 25 member States, while the Schengen Agreement had eliminated border control among many European States, while at the same time strengthening control of the region outside the Schengen Agreement and increasing police and judicial cooperation within the Schengen system.	1
69. Five States in the subregion have introduced laws enabling the extradition of terrorists, while six have established effective mechanisms for the exchange of information.	1
The crew members were then forced to sign contracts that had been prepared by a company in Mombasa and included a condition that they agreed to work in a country in a state of war, Somalia.	0
4. In order to further strengthen monitoring activities related to the implementation by Member States of Security Council resolutions 1373 (2001) and 1624 (2005), the Executive Directorate will continue to review their implementation efforts, using the Committee &apos; s revised assessment tools (the detailed implementation survey and the overview of the assessment of implementation), identify the challenges and needs of all Member States and regions, and facilitate the provision of targeted technical assistance in this regard.	1
Through our previous discussions, Belgium shared the concern expressed by the Secretary-General at the threat posed by violence in Iraq to a society, institutions and political process in a state of vulnerability to date.	0
Some government soldiers were killed without trial.	0
Welcoming the adoption by the United Nations General Assembly of the United Nations Global Counter-Terrorism Strategy (resolution 60/288 of 8 September 2006) and the establishment of the Counter-Terrorism Implementation Task Force to ensure coordination and coherence in the counter-terrorism efforts of the United Nations system,	1
Deeply concerned about the threat posed by terrorism and the risk of non-State actors,** such as the parties identified in the United Nations list established and followed up by the Security Council Committee established pursuant to resolution 1267 (1999) and the parties to which resolution 1373 (2001) applies, acquiring, developing, trading or using nuclear, chemical and biological weapons and their means of delivery,	0
Recalling the conclusions of the final report (S/1994/1405) of the Commission of Experts established pursuant to Security Council resolution 935 (1994), in which it was stated that "there is overwhelming evidence that acts of genocide against the Tutsi community [were committed]," and noting that those who then opposed acts of genocide, whether Hutus or others, were also killed,	0
:: 19 September 2005, one person was killed and two others injured by a small explosion at the Kuwait Information Office in Beirut.	0
We must reject any attempts to undermine the sovereignty and territorial integrity of Somalia.	0
The Security Council looks forward to receiving the conclusions and recommendations of the mission.	0
Habsade received financial and military support from Atto, Moses Sudi, Sheikh Yusuf Indohaaddi and others.	1
These measures will include further work to increase the capacity of the Committee, including through increased cooperation with the Taliban/Al-Qaida Sanctions Committee established pursuant to resolution 1267 (1999) and the Committee established pursuant to resolution 1540 (2004).	1
This point of inquiry would complement the national assistance offices previously recommended by the Group for establishment by Member States (S/2007/132, paras. 61-64, and S/2007/677, para. 138).	1
The Programme of Action contains concrete proposals to improve national legislation and controls, and to strengthen international assistance and cooperation, and calls upon States to address the special needs of children affected by armed conflict.	1
Calls upon all parties concerned to ensure that the protection of women and children is addressed in the implementation of the [political agreement], as well as during the post-conflict reconstruction and recovery phases, including the continued monitoring and reporting of the situation of women and children.	1
39. Victims of trafficking subject to deportation orders continue to receive assistance from the shelter programme managed by the institution-building component.	1
Call for strict compliance by parties to armed conflict with applicable international humanitarian and human rights law relating to the protection of women and girls affected by armed conflict.	0
391. The looting of villages, the seizure of livestock, crops, household belongings and other personal belongings of the population by Government forces or militias under their control is undoubtedly a war crime.	0
Recalls that accountability for these serious crimes should be ensured through measures at the national level and enhanced international cooperation in support of national mechanisms, draws attention to the full range of justice and reconciliation mechanisms to be considered, including national, international and "mixed" criminal courts and tribunals, the International Criminal Court, truth and reconciliation commissions, as well as national reparations programmes for victims and institutional reforms, and emphasizes the role of the Security Council in eliminating impunity;	1
The meeting also discussed ways and means of increasing pressure on foreign armed groups and steps to be taken by participating States, the African Union and the Security Council in this regard.	1
It is essential that the Committee &apos; s work not be limited to assisting States in developing their counter-terrorism legislation, but rather extend to monitoring the implementation of such legislation as the situation requires.	1
"The Security Council takes note of the ongoing cooperation between the International Maritime Organization, the United Nations Office on Drugs and Crime and the Division for Ocean Affairs and the Law of the Sea in compiling national legislation on piracy, encourages countries that have not yet done so to submit their legislation, and notes that copies of national legislation received by the Secretariat have been posted on the United Nations website.	1
Monitoring and identification of violations of the arms embargo and, where appropriate, targeted sanctions must be strengthened in order to reduce the potential destructive effects of that process in the Somali context.	0
Several interlocutors reported that some neighbouring States played a destabilizing role.	0
The Operation &apos; s military component will continue to implement its new concept of operations and cooperate with the Licorne force to assist the parties in implementing the Facilitator &apos; s proposals for the reintegration of Forces nouvelles personnel into the national police and army and to prepare contingency plans on possible stabilization interventions to prevent violence aimed at disrupting the peace process.	0
19. With regard to the travel ban, the Council, by paragraph 10 of its resolution 1807 (2008), decided to exclude travel on humanitarian grounds, including religious duty, and travel in the interest of peace, national reconciliation and stability in the region, as well as cases of transit of individuals returning to the territory of their States of nationality or participating in efforts to bring to justice perpetrators of serious violations of human rights or international humanitarian law.	1
"The Council further calls upon all actors to take adequate and necessary measures to ensure respect for the principles of refugee protection and obligations under refugee law, including the civilian and humanitarian character of refugee camps.	0
In this regard, the Council commends the efforts made so far by the Central African Republic, the Democratic Republic of the Congo, South Sudan and Uganda to put an end to the threat posed by the Lord &apos; s Resistance Army, and urges the continuation of the efforts of these countries, as well as other countries in the region.	0
47. The Team continued its work to develop links with academia and civil society experts to deepen understanding of the changing nature of the threat posed by Al-Qaida and associated individuals and entities, through dialogue with relevant scholars and academic bodies.	0
Most States do not have domestic refugee legislation and only three have ratified the 1951 Refugee Convention.	1
In Western Darfur, for example, rebel forces attacked a police station in Tangafuka in October 2003.	0
The assets freeze would restrict the financiers of terrorism and limit their access to the formal banking system and their ability to develop partnerships with legitimate entities.	0
