es_en_TRANSOFMERS	VerConf
âThe Security Council recalls its resolution 2048 (2012) and, in this regard, reiterates its readiness to consider further measures, including, if it deems necessary, targeted sanctions against persons who undermine efforts to restore constitutional order.	0
Welcoming the results of the Consultative Peace Jirga held on 6 June 2010, in which 1,600 Afghan delegates representing a broad section of all ethnic and religious groups, government officials, religious scholars, tribal leaders, Afghan civil society and Afghan refugees residing in Iran and Pakistan held discussions on ways to end insecurity and developed a plan for lasting peace in the country,	0
In collaboration with the University of Seychelles and experts of the Centre, UNODC developed a curriculum for the police, coast guard and other law enforcement officials involved in the investigation of piracy and maritime crime.	0
States should be able to apply the required legal measures, such as seizure of funds, whenever there is suspicion of money-laundering or financing of terrorist acts.	0
On 24 March, the Council of Ministers adopted the National Policy on Social Media, which outlines the Government's position on media development.	0
The Security Council looks forward to the findings and recommendations of the mission.	0
Following the arrival of troops loyal to President Yusuf and his deployment in an area near Jawhar, south of the population, in early September, it was reported that Trade Minister Muse Sudi Yallahow had sent several âtechnical vehiclesâ to reinforce his troops in Balad, south of Jawhar.	0
Approximately half of States carry out customs controls to combat illegal trafficking in small arms and light weapons, ammunition and explosives, but there is still a need to strengthen customs controls and train customs officers.	0
It is essential for any military or paramilitary operation to be successful that the commanders be able to exercise control, assess the prevailing situation and plan and coordinate their action vertically and horizontally through the command structure. As Al-Qaida, the Taliban and their associates carry out such activities, they must be provided with the necessary means, including communications equipment.	1
We emphasize the issue of violence to express our impatience regarding the urgency of finding satisfactory solutions to the enormous challenges to the unity of Iraqi society.	1
It was not fully parked online if we consider how the force of the explosion affected a red Ford vehicle, which was probably parked directly in front of the Mitsubishi.	0
The academy will be an important institution for the implementation of the new curriculum and for supporting the implementation of the road map for the reconstruction of the civilian police force.	0
He also referred to dangerous outbreaks of violence in Lebanon between the Lebanese Armed Forces and Fatah al-Islam armed men in the vicinity of Palestinian refugee camps.	0
Subsequently, prosecutors from the Netherlands sought to prohibit and dissolve the organization and to hand over to the State any credit balance from the bank account of the organization, but the court ruled that the Government had not shown that the branch of Al-Haramain in the Netherlands, separate and distinct from the international organization, had supported terrorism; prosecutors from the Netherlands announced that they intended to appeal the court's ruling, and to obtain more information on Al-Haramain and Al-Aquil from the United States.	1
Most States in Western Europe, Eastern Europe and Central Asia and the Caucasus subregions already have extensive counter-terrorism legislation.	0
Condemning all attacks on United Nations peacekeepers and humanitarian personnel, whoever they are responsible for, and emphasizing that those responsible for such attacks must be brought to justice.	1
The international community must therefore take the necessary steps to prevent Israel from persisting in the deplorable destructive policy it had undertaken in Gaza, and it must stress its rejection of all such Israeli practices, which violated international law and international humanitarian law.	1
Depending on the circumstances of each case, such persons may be suspected, in accordance with the doctrine of unlawful association, of having committed crimes against humanity involving the killing of civilians, forced confinement of civilians and forced transfer, and the war crime of destruction of civilian objects.	0
Some States in the region are implementing the 2005 European Union Strategy to Combat Radicalisation and the Recruitment of Terrorists, which aims to disrupt the activities of networks and individuals leading to terrorism; to ensure that the discourse of majority opinion prevails over extremism; to promote more intensely security, justice, democracy and opportunities for all."	0
Mr. Le Luong Minh (Viet Nam): Terrorism is a common concern of all members of the United Nations and of the international community at large.	1
In particular, they noted that the amended version of the Independent Electoral Commission Act did not provide for the representation of the Forces nouvelles in its local bodies and did not proclaim the primacy of the Commission over the National Institute of Statistics in the electoral process.	1
The personal interests of those who oppose the establishment of a legitimate government have always been present and the Monitoring Group has highlighted in its previous reports this central problem in Somalia, which continues to exist and has become the main theme of its third report: primarily, the continuing trend towards the intensification of possible violence to protect deep-rooted vested interests.	1
Thus, for example, the ruling in the Jagre al-Jadi al-Makbul et al. case describes how a combination of 39 policemen and members of the Popular Armed Forces left the inhabitants of Thabit at the mercy of a large contingent of Fursan attackers.	1
Calls upon all States to take urgent measures to fully implement resolution 1373 (2001) and to assist each other in this task, and emphasizes the obligation of States to refuse financial assistance and all other forms of support and shelter for terrorists and those who support terrorism,	1
Members of the Council expressed their deep concern at the continuing crimes in Libya.	1
We strongly condemn these practices, which constitute a flagrant violation of international norms and humanitarian law, and we therefore urge the international community, the Quartet and all others concerned to intervene immediately and decisively to demand that Israel put an end to such acts, which pose a serious threat to peace and security in the Middle East region; violence only generates violence; the region will be trapped in a vicious circle from which it will find it difficult to escape.	1
By contemplating initiatives that in fact reward this strategy, the Council would only embolden extremists and undermine the letter and spirit of the road map.	1
Mr. Å imonoviÄ believed that accountability was essential to reconciliation and that efforts should also be made to prosecute members of armed groups who had committed serious human rights violations.	0
For example, most States still have to criminalize the financing of terrorism and declare it a predicate offence in relation to money-laundering.	1
Of particular concern is the pattern of alleged serious misconduct by Haitian National Police officers, including the alleged involvement of a group in the summary execution of at least nine persons on 20 August during a football match in the Martissant area of Port-au-Prince.	0
The note proposes that the Security Council initiate a formal âstrategic reviewâ process to explore how the intersection of cross-border crime and terrorism can affect its conflict prevention and resolution efforts, particularly in Africa, and to review the tools at its disposal to reduce the strategic space that cross-border crime provides to terrorist groups.	0
In an increasingly globalized world, it has become easier for terrorists to exploit advanced technologies, communications and resources for their criminal objectives;	1
In 13 of the cells there were two detainees, while in seven of them there was only one.	1
I also take this opportunity to stress my concern over the problems related to the federal and governor elections to be held in Nigeria in February 2015, and the serious risks of violence from Boko Haram attacks or the contested election results.	1
One such group is the National Movement for Reform and Development (MNRD). On 6 June, MNRD released a manifesto declaring that it was not a party to the ceasefire agreement concluded in April between the Government, the Sudan Liberation Movement/Army and the Justice and Equality Movement, and that it was going to fight the Government.	1
9. Requests the Secretary-General to make arrangements to support the work of the monitoring mechanism, as an expense of the Organization and from a United Nations Trust Fund established for this purpose, affirms that this Trust Fund will be established by the Secretary-General, encourages States to contribute to the Fund and to provide, through the Secretary-General, personnel, equipment and services to the monitoring mechanism, and also requests the Secretary-General to keep the Committee established pursuant to resolution 1267 (1999) regularly informed of financial arrangements in support of the mechanism;	0
The use of lethal force in such situations must respect the principles of distinction and proportionality, and those responsible for their violation must be held accountable.	0
The Commission was unable to confirm a Government allegation that soldiers and wounded civilians had been killed inside the hospital.	1
The review process has resulted in confirmation of the retention on the List of any person who, although not on the List for this reason alone, is known primarily for playing a role in the ideological justification of Al-Qaida-related violence in front of new recruits or in front of a wider audience, despite the fact that sanctions themselves have little impact on the primary instrument of those individuals, namely, the ability to communicate and persuade using the Internet.	1
The situation in Syria is a source of deep and growing concern for the United Nations.	1
We were even hampered in condemning the violence and in adopting a peaceful plan drawn up by Syria's own neighbours.	1
However, the financial and other institutions involved in implementation do not yet have this change in mind, and the Team recommends that the Committee and States find a way to disseminate it.	0
Despite these challenges, we cannot fail to recognize that approximately 50 per cent of the Afghan population lives in areas where responsibility for security has been transferred to the Afghan security forces.	1
5. Notes that such means of financing or support include, inter alia, the use of proceeds derived from criminal activities, including the illicit cultivation, production and trafficking of narcotic drugs and their precursors;	0
14. Invites the Secretary-General to bring to its attention situations where refugees and internally displaced persons are vulnerable to threats of harassment or where their camps are vulnerable to infiltration by armed elements and where such situations may constitute a threat to international peace and security, expresses in this regard its readiness to examine such situations and, where necessary, to take appropriate measures to contribute to the establishment of a safe environment for civilians threatened by conflict, in particular by providing support to relevant States in this regard, and recalls in this regard its resolution 1208 (1998) of 19 November 1998;	0
Mainstreaming gender analysis into post-conflict needs assessment and training: piloting a gender-sensitive post-conflict needs assessment.	0
I condemn in the strongest terms the reprehensible attacks on people who help the Somali people to fight organized crime that hinders the development of their country.	1
- Criminal liability of legal persons or entities shall be established for the commission of offences related to the financing of terrorism;	0
As I said earlier, the application of double standards in dealing with terrorism and terrorist groups is also a matter of serious concern that seriously undermines the efforts of the international community in its fight against terrorism.	1
Cooperation with international organizations, including the Security Council Committees established pursuant to resolutions 1267 (1999) and 1373 (2001);	0
According to official Australian sources, training includes the manufacture of bombs and suicide bomber techniques.	0
Its terrorist practices cover a wide range of activities: bombings, including suicide attacks; hostage-taking resulting in death; the manufacture of explosives; terrorist intelligence operations; terrorist training; document forgery; and the provision of various types of financial or material support, including the financing and administration of a web site used to publish statements and images related to Al-Qaida.	0
The embargo includes âweapons and related materials of all kinds, including weapons and ammunition, military vehicles and equipment, paramilitary equipment and spare parts.	0
There are also significant positive developments: when the armed conflict ended in 1999, there was a virtually complete lack of legislation and economic structures.	0
2. Decides that the individuals previously designated as Taliban and the other individuals, groups, undertakings and entities associated with them whose names shall be listed in section A (âTaliban associated personsâ) and section B (âTaliban associated entities and other groups or undertakingsâ) of the Consolidated List maintained by the Security Council Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban and associated individuals and entities at the date of adoption of this resolution shall no longer be included in the Consolidated List but shall be included in the List described in paragraph 1, and further decides that all States shall continue to take the measures described in paragraph 1 against those listed individuals, groups, undertakings and entities;	0
The High Representative/Special Representative made it clear that, since the Republika Srpska authorities, in particular the Ministry of the Interior, had not arrested persons against whom war crimes had been charged, and since Bosnia and Herzegovina had not joined the North Atlantic Treaty Organization Peace Partnership, the Commission would be mandated to make recommendations with a view to establishing a single and effective police structure throughout Bosnia and Herzegovina.	1
The Secretary-General unequivocally warns that none of the eight standards has been fully complied with so far.	1
The establishment of the special notices of Interpol and the United Nations Security Council was made possible by the extraordinary and close cooperation between the two agencies over the past year and by the agreement between the Interpol general assembly and the 1267 Committee.	0
Reaffirming that terrorism in all its forms and manifestations constitutes one of the most serious threats to peace and security and that all acts of terrorism are criminal and unjustifiable, regardless of their motivation and wherever and by whomsoever committed, and reiterating its unequivocal condemnation of Al-Qaida and other individuals, groups, undertakings and entities associated with it for the continuing and multiple criminal acts of terrorism aimed at killing innocent civilians and other victims, destroying property and seriously undermining stability,	1
Apart from regular meetings of the Council of Arab Ministers of the Interior, there is no regular and institutionalized exchange of operational information in the subregion.	0
We are deeply concerned that violence in the Middle East continues to be perpetrated against each other, despite the fact that the international community and the Security Council have clearly expressed their abhorrence of that situation.	1
Instead of the famous 2014 Football World Cup logo, which is made up of three victorious hands that hold the globe forming the prestigious cup, the Palestinian Authority vignette shows a three-handed "trophy" that grabs three people whose arms are raised in a surrendering attitude.	1
There are also procedural obstacles that limit victims'access to justice.	0
At the same time, one of the issues that continues to be raised by the most intense discussions in the subregion is to ensure that counter-terrorism measures respect human rights obligations.	1
Bilateral donor assistance will also be needed to enable a meaningful response to the security threats posed by drug and arms trafficking.	0
1. Deplores and condemns in the strongest terms the terrorist acts of ISIL and its violent extremist ideology, as well as its ongoing, flagrant, systematic and widespread abuses of human rights and violations of international humanitarian law;	1
In addition, the Council itself has set important precedents, in particular the establishment of commissions of inquiry on Bosnia, Rwanda and Darfur, which paved the way for the international tribunals for the former Yugoslavia and Rwanda in 1993 and 1994, respectively, and the referral of the situation in Darfur to the International Criminal Court in 2005.	0
The Council reaffirms, recalls or reiterates regularly its demand for States to implement existing arms embargoes, because implementation remains a major challenge.	1
As explained below, the Commission has collected a great deal of material which, in its view, confirms that the term Janjaweed, within the limited context of the Commission's mandate, is used as a generic term to describe the Arab militia acting under the orders of the Sudanese State authorities, with their support, complicity or consent and whose acts go unpunished.	0
As for the condition that an attack must be "systematic", it is required that the acts be organized and that they are not likely to occur at random.	0
However, they also expressed concern that every time there is a sign of hope in the Middle East there is an escalation of violence and destruction.	1
However, the determinant of genocidal intent, at least as far as the central government authorities are concerned, seems to be missing.	1
Security sector reform remains a major challenge for long-term peace and stability.	1
I remain concerned about the continued restriction of access of ordinary citizens in the north of Mali to basic services, including health-care services and schools.	1
The technical meeting convened to discuss the Internet at the International Summit on Democracy, Terrorism and Security concluded that the Internet should remain free from any new regulation or interference, allowing open debate to defeat the ideas of extremism.	0
In order to camouflage these acts, they sometimes wear military uniforms in order to convey the erroneous perception that the official military component is responsible for such violence.	1
According to the evidence available to the Commission, Prime Minister Alkatiri had been aware of allegations of arms transfers to civilians since at least 21 May.	1
On 2 November, 16 of the 20 persons arrested during an operation carried out by FDSM in Boulkessi (Mopti region), an area controlled by HCUA, informed MINUSMA that they had been severely beaten during interrogations.	0
They called us "slaves" and asked us why we were still there.	1
Some States have not yet taken into account human rights considerations relating to terrorism cases (e.g. exceptional periods of police custody and limits on access to legal aid).	0
:: 14 February 2005: Rafik Hariri and 22 others are killed in a massive explosion in a coastal area in central Beirut.	0
United Nations peace operations have changed their positions accordingly and show an increasing tendency to shield and entrench themselves, limiting the ability of both uniformed and civilian personnel to interact with the local population, reach their hearts and minds, mediate local disputes and obtain information -- critical work for the implementation of peace agreements and efforts to resolve conflicts.	1
While training of FARDC and PNC units remains essential, any training programme for FARDC should be linked to the establishment of an army supply chain in order to ensure the sustainability of the efforts and investments made.	0
:: Consider and implement more effective means of collecting outstanding information	0
As the representative of Algeria had previously said, the draft resolution, which had not been adopted, contained a clear condemnation of all terrorist attacks against civilians, as well as all acts of violence and destruction.	1
The improvement of relations between Chad and the Sudan and the monitoring of national security forces and joint border security forces have also been cited as important factors contributing to this.	0
In this context, I turn next to the resolution on Yemen recently adopted quite late by the Council, which is a condemnation of the abuses committed by the Yemeni Government.	1
Lack of participation in such institutions impedes progress on specific public administration issues, and does not contribute to improving the international image of Kosovo.	1
âThe Security Council considers that terrorist havens remain a matter of serious concern, and reaffirms the need for States to strengthen their cooperation in order to find, deny safe haven and bring to justice, on the basis of the principle of extradition or prosecution, any person who supports, facilitates, participates in or attempts to participate in the financing, planning, preparation or commission of terrorist acts or who facilitates safe haven.	1
We cannot fail to express our concern at the deterioration of the security situation in previously relatively calm regions.	1
The United States urges the United Nations and the Haitian National Police to step up their efforts to conduct a background investigation.	1
- Terrorism in all its forms and manifestations constitutes one of the most serious threats to international peace and security;	1
I remain concerned that mistrust between the parties, coupled with the continued presence of the militias, may lead to tensions, and possibly insecurity and instability within and outside Lebanon.	0
The resolution reiterates the importance of fulfilling those obligations and emphasizes that neither party shall engage in any activity that would contravene those obligations or prejudice the final status negotiations.	1
Non-conventional threat: chemical, biological, radiological and nuclear explosives, Asia	0
There is another, more concrete reason why the political and military leaders of the Sudan Liberation Army and the Justice and Equality Movement cannot refuse to accept responsibility for the crimes committed by their troops on the battlefield if they refrained from preventing or suppressing their commission.	1
“The Security Council notes with deep concern the humanitarian consequences of the conflict on the people of Angola.	1
The Council thanks you for hosting several hundred thousand refugees in recent years.	0
However, let no one be mistaken: my country is also ready to resist the unilateral declaration of independence unceasingly until a compromise solution is seen.	1
The Israeli people, who had hoped that Israel's withdrawal from Lebanon -- which was certified by this Council six years ago -- would result in security along its northern border, are subjected to constant rocket attacks by Hezbollah, which increasingly penetrate Israeli territory.	1
There is concern about the deterioration in the standard of living of the population as a consequence of the difficulties that had to be faced in 2008, in particular the global food crisis and the scourge of hurricanes that ravaged the island.	1
Moreover, neither the characteristics nor the flight manoeuvres of the aircraft prior to the attacks can in any way be interpreted as warning signals, as they were clearly part of the attacks.	0
Unfortunately, the Sudanese judicial system has demonstrated that it cannot and will not investigate and prosecute the alleged perpetrators of war crimes and crimes against humanity committed in Darfur.	1
Noting the release of the remaining 404 Moroccan prisoners of war by the Frente POLISARIO on 18 August 2005, in accordance with international humanitarian law, and calling upon the parties to continue to cooperate with the International Committee of the Red Cross in order to determine the fate of those who remain unaccounted for since the beginning of the conflict,	0
At the end of this fourth round of talks, the parties reiterated their commitment to continue negotiations in Manhasset at a date to be agreed upon.	0
In this connection, in a letter dated 1 August 2008 addressed to the President of the Security Council, the Committee transmitted its recommendations to the Security Council on the imposition of specific measures against individuals and entities designated by the Committee.	0
2. Decides also that all States, in accordance with their national procedures, shall adopt and implement appropriate and effective laws prohibiting all non-State actors from manufacturing, acquiring, possessing, developing, transporting, transferring or using nuclear, chemical or biological weapons and their means of delivery, in particular for terrorist purposes, as well as attempts to engage in any of the above-mentioned activities, participate in them as accomplices, assist or finance them;	0
The Mission arrived in Daloa by road, escorted by a detachment of the Ivorian army.	0
In no way can it be interpreted that the conclusion that the Government authorities did not promote or implement a policy of genocide in Darfur, directly or through the militia under their control, means that the crimes committed in that region have been less serious.	1
We are particularly concerned about the very small number of refugee returns, which are the most useful indicators for assessing the situation in the province.	1
In reviewing the evolving risk of incitement, it should be borne in mind that the media and forms of communication have evolved substantially since the adoption of resolution 1624 (2005).	1
In other parts of the region, along the Blue Line, acts of violence had threatened to disrupt precarious stability.	1
Significant progress was also made in establishing operational municipal assemblies, with over 800 members of the new assemblies sworn in on 11 November.	0
A specific threat has emerged from the increasing use by terrorist individuals and groups of new information and communication technologies for recruitment, incitement and fund-raising, often across international borders.	1
The purpose of these visits was to monitor implementation, including the collection of examples of best practices, in order to disseminate the work of the Security Council Committee, affirm the international consensus that is essential for the success of the sanctions regime, and monitor the spread and scope of Al-Qaida and the Taliban in order to be better able to make suggestions to the Committee for its future work.	0
We were therefore frustrated that the Secretary-General's report recommended only a partial reduction in reinforcement troops.	1
At the same time, despite the promises of the democratic transition process, it should not be forgotten that this is a highly responsible stage in the history of the Middle East, which requires maximum vigilance and hard work in order to rule out miscalculation and unpredictability of the future of the region.	1
This is another example of a joint attack planned and organized by Government forces and the Janjaweed, during which mass killings and summary executions were committed.	0
I am very concerned about the latest escalation between Gaza and Israel.	1
It is therefore important that States keep this aspect of the embargo in mind, and the Committee may wish to remind them of this in due course, encouraging them to submit the names of those who provide âtechnical advice, assistance or training related to military activitiesâ (resolution 1617 (2005), para. 1 (c) in contravention of the measures, for inclusion on the list.	1
It has been reported that Red Cross vehicles and personnel were seen at the scene and that in some cases they assisted the wounded.	0
Several States in the Asian region have actively supported the development of arguments against incitement, including for use on the Internet, in order to correct the ideological and religious falsehoods underlying terrorist ideologies.	0
In that context, despite the fact that the United Nations in general and the Security Council in particular take the fight against terrorism more seriously, there is little evidence that a truly joint effort is being made to provide a more united international response to terrorism.	1
Concerned about the continued neglect and widespread anguish experienced by the populations of the northern regions of Mali, named by some Azawad (expression recognized by the previous peace agreements), in the absence of a definitive solution to a conflict whose devastating effects continue to suffer;	1
âThe Security Council recognizes that terrorism will not be defeated solely through military force, law enforcement measures and intelligence operations, and stresses the need to address conditions conducive to the spread of terrorism, including, inter alia, the need to redouble efforts aimed at the successful prevention and peaceful resolution of protracted conflicts, and the need to promote the rule of law, the protection of human rights and fundamental freedoms, good governance, tolerance and inclusion in order to provide a viable alternative to persons likely to be recruited by terrorists and subjected to radicalization leading to violence.	0
For the past month and a half, the Haitian authorities have been making preliminary attempts to address issues relating to the administration of justice and detention.	1
1. unequivocally condemns all acts, methods and practices of terrorism as criminal and unjustifiable, regardless of their motivation and wherever and by whomsoever committed, in all their forms and manifestations, in particular those that may pose a threat to international peace and security;	1
The protection of the civilian population in eastern Chad is not simply about ensuring the physical security of refugees, displaced persons and humanitarian personnel and providing logistical support and hard-walled structures for DIS.	0
In their public statements, Colonel Khaddafi and his family have continued to threaten citizens with civil war and the possibility of mass killings if protests continue.	1
At the time of writing, the Semlow and its crew are still being held captive, and those responsible for the kidnapping have demanded a ransom of US$ 500,000.	0
In fact, Azerbaijan itself violates those resolutions, in which the parties concerned are urged to engage in negotiations within the framework of the Minsk Group of the Organization for Security and Cooperation in Europe (OSCE), as well as through various contacts between them.	1
The Russian Federation expresses its deep regret and concern at the information regarding the persistence of violence in Darfur.	1
In its fourteenth report, the Team considered the threat of Al-Shabaab, an Al-Qaida affiliate in Somalia-based East Africa, to launch attacks against regional Governments and the international community (S/2013/467, para. 10).	1
The operations of these groups also contributed to the efforts of the Afghan Taliban to destabilize the country.	0
We believe that it is unacceptable for us to deviate from that principle as the fragile situation in the province could be plunged into widespread destabilization.	1
Worse still, the activities of these terrorist groups pose a serious threat to the peacebuilding efforts and peacekeeping missions of the international community, such as those of Somalia and Mali.	1
The Palestinians must put an end to public incitement to violence and do their utmost to prevent militants from attacking Israel, thereby provoking a reaction.	1
Unsolved ethnic and border conflicts have led to differences that undermine efforts to implement a cohesive and regional response to terrorism.	1
Concerned that foreign terrorist fighters increase the intensity, duration and insolubility of conflicts and may also pose a serious threat to their States of origin, the States through which they transit and the States to which they travel, as well as to neighbouring States in areas of armed conflict where foreign terrorist fighters operate and are affected by serious security problems, and noting that the threat posed by foreign terrorist fighters may affect all regions and Member States, including those away from areas of conflict, and expressing grave concern that foreign terrorist fighters use their extremist ideology to promote terrorism,	1
I have the honour to transmit herewith the report of the Security Council Committee established pursuant to resolution 2048 (2012) concerning Guinea-Bissau, which reports on the activities of the Committee between 1 January and 31 December 2014.	0
:: Establishment of media monitoring mechanisms to ensure effective monitoring, documentation and reporting of all incidents, sources and contents of media messages aimed at inciting hatred.	0
Noting with concern the continuing threat to international peace and security posed by Al-Qaida, Osama bin Laden and the Taliban and other individuals, groups, undertakings and entities associated with them, and reaffirming its determination to address all aspects of that threat,	1
It will reaffirm the zero-tolerance policy and the need for appropriate disciplinary and legal measures by troop-contributing States and due attention to victims.	0
In order to avoid a new wave of violence, both sides and the international community must act promptly.	1
Underlining the obligation imposed on all Member States to implement fully resolution 1373 (2001), especially with regard to the Taliban or Al-Qaida and individuals, groups, undertakings and entities associated with Al-Qaida, Osama bin Laden or the Taliban who have been involved in the financing, planning, facilitating, preparing or perpetrating of terrorist acts, recruited or otherwise supported for them, and to facilitate the implementation of counter-terrorism obligations in accordance with relevant Security Council resolutions,	1
The Commission noted with particular alarm that attacks on villages, the killing of civilians, rape, looting and forced displacement have continued in the course of its mandate and considers that urgent action is needed to put an end to them.	0
At international meetings, the Team has had the opportunity to discuss State awareness of the sanctions regime without preparation.	0
The unilateral declaration of independence was a rejection of both from the moment he was born, without life.	1
- To call for strict compliance by parties to an armed conflict with the applicable rules of international humanitarian law, including the prohibition of:	1
Thirdly, in many situations the Security Council has recognized that serious violations of human rights and international humanitarian law are potential threats to peace and security.	1
He was subsequently killed in Syria.	0
13. Urges the international community to provide support and assistance to enable States to fulfil their responsibilities with regard to the protection of refugees and other persons covered by international humanitarian law;	0
Many challenges remain in combating impunity, particularly because of the limited capacity of judicial authorities, both civilian and military, to conduct independent and thorough investigations and provide protection to victims and witnesses.	1
The Commission found that, while all parties to the conflict have committed crimes against the civilian population, the Government of the Sudan and the Janjaweed are responsible for an overwhelming majority of civilian killings committed during the conflict in Darfur.	1
The Human Rights Committee has clearly stated this right in its general comment No. 27 on several occasions, the Committee on Economic, Social and Cultural Rights has stated that forced evictions are in principle incompatible with the requirements of the International Covenant on Economic, Social and Cultural Rights.	1
