es_en_GOOGLE	VerConf
The Security Council is particularly concerned about attacks targeting humanitarian personnel, in violation of the norms of international law.	1
The Security Council recognizes and continues to encourage the efforts of the League of Arab States to contribute to the collective desire to resolve the conflicts in the Middle East peacefully and to promote international reactions to the transformations that the region is experiencing, while reaffirming its firm commitment to the sovereignty, independence, unity and territorial integrity of the countries of the region and to the purposes and principles of the Charter.	0
The Security Council also expresses concern about rising tensions in the Ituri region and calls on all parties to exercise restraint.	1
In April 2004, a group of 40 displaced women went to collect firewood on the outskirts of Mukjar in Western Darfur and were attacked by six armed Janjaweed militiamen.	0
Measures that could weaken confidence or damage the outcome of negotiations must be suspended and reversed.	1
The situation along the Lebanese-Syrian border also remains a cause for concern.	1
25. Requests all Member States, but especially the Government of Afghanistan, to inform the Committee if they are aware of any information indicating that an individual, group, company or entity that has been delisted should be designated under the paragraph 1 of the present resolution, and further requests that the Government of Afghanistan submit to the Committee an annual report on the situation of persons reported to have been reconciled and delisted by the Committee in the previous year;	0
According to witnesses, the villagers fled north towards a wooded area located about 5 kilometers from the village.	0
Faced with this clear situation of threat to international peace and security, we hope that the Security Council will act without the double standards that characterize it on this issue and adopt, urgently and decisively, the draft resolution presented by Algeria on behalf of the countries that make up the Group of Arab States.	1
Telephone records show that four calls were made to Syrian intelligence officer Jamea Jamea, at 11:42 a.m., 6:14 p.m., 8:23 p.m. and 8:26 p.m. According to a witness, Abdel-Al visited Jamea Jamea&#39;s office at 7:30 p.m., on the afternoon of the explosion, and during the visit they discussed Mr. Abu Adass.	0
The committees rejected too high a minimum of cases because, from questioning the victims, they deduced that the reported crime did not constitute rape because no penetration had occurred, or that the complainants had confused the Arabic words meaning &quot;oppression&quot; and &quot;rape.&quot; &quot;, and had mistakenly filed complaints of other forms of abuse or violence, such as beatings.	1
Some States&#39; definitions of terrorism appear ambiguous or overly broad and should be brought into line with international standards.	1
The report confirms a worrying picture regarding the situation in the Sahel region and related issues of security, economic and humanitarian conditions.	1
It was also recognized that, within the framework of its activities, the Committee should continue to raise awareness about multilateral treaties whose objective is to eliminate weapons of mass destruction or prevent their proliferation, in order to contribute to their universality.	0
The Russian Federation expresses its deep regret and concern over reports of continued violence in Darfur.	1
The Security Council reiterates its condemnation of all targeted assassinations of Lebanese leaders in particular since October 2004, and demands an immediate end to the use of intimidation and violence against representatives of the Lebanese people and institutions.	1
The United Nations Joint Human Rights Office continues to investigate alleged violations of human rights and international humanitarian law by both armed groups and national security forces.	0
The Commission found that a committee established by the Wali of Southern Darfur was conducting an administrative investigation, in view of the seriousness of the allegation and its consequences, which made it imperative that appropriate measures be expedited;	0
3. Killings of detained enemy combatants	0
19. Condemns in the strongest terms all sexual and other violence against civilians in armed conflict, in particular against women and children, and commits to ensuring that all Possible measures to prevent such violence and to address its effects when it occurs;	1
The two parties stressed the importance of embarking on this new phase in collaboration with regional and international partners, whom they invited to endorse and support the initiatives undertaken in line with the objectives established by the international community to preserve the territorial integrity and sovereignty of Mali. and strengthen its national unity.	0
The international community must be prepared to act with the same determination now to protect the interests of Kosovo Serbs and other minority communities.	0
More recently, there has been evidence that cross-border wildlife poaching may be a factor influencing conflict dynamics in Central Africa, and there is evidence that the conflict in Mali was partly the result of cross-border arms trafficking. as a consequence of the conflict in Libya.	0
We therefore encourage the members of the Council and also of the Group of Friends to consider favorably these recommendations of the Secretary General.	1
Mr. Serry described as alarming the disparity between the progress made towards the creation of a Palestinian State and the persistent and deep stagnation on the political path.	1
k) Provide military training, including in human rights, international humanitarian law, child protection and prevention of gender-based violence to various members and units of the FARDC integrated brigades deployed in the eastern part of the Republic Democratic Republic of the Congo, as part of broader international efforts to support security sector reform;	0
In his report, the Secretary-General notes that some progress has been made in most of these areas, except for the essential issue of local government reform and, in particular, decentralization, where the progress, by comparison, is not enough.	1
We also wish to express our concern that the recurrence of such incidents could lead to a situation of instability in the region that makes a peaceful solution to the situation in Kosovo that is acceptable to the parties difficult.	1
A Group of Experts established pursuant to resolution 1929 (2010) operates under the direction of the Committee and assists it in fulfilling its mandate.	0
- Consider the possibility of applying selective and graduated measures against parties to an armed conflict who commit serious violations against children in situations of armed conflict.	0
b) Criminalize the intentional provision or collection, by any means, directly or indirectly, of funds by their nationals or in their territory with the intention that such funds be used, or with knowledge that such funds will be used, to perpetrate acts of terrorism;	1
We are concerned about the lack of political freedoms in these areas.	1
The Team has also initiated an exchange of views with the other expert groups on the possibility of adopting new criteria regarding the reporting requirements imposed on States by the three committees, and on how to establish more efficient systems to share information.	0
Progress can be hampered if international actors have divergent objectives, parallel initiatives emerge, and countries in the region support non-signatory movements, thereby undermining attempts to persuade movements to join the peace process.	0
The competent authorities have requested that the deadline of 31 October 2005 for submitting the official request for modification by the Government of Iraq be extended to 31 December 2005 in order to take full account of communication problems between the competent authorities and suppliers regarding the extension of shipping deadlines and validity periods of letters of credit.	0
Despite our assessment that a complete ceasefire is difficult to achieve at this time, I remain of the view that the international community must make clear its position on the need for an immediate cessation of hostilities and for Israel to make a much greater and more reliable to protect civilians and civilian infrastructure while the conditions for such a cessation are established as a matter of urgency.	1
b) Prevent the entry into its territory or the transit through it of those persons, it being understood that nothing in this paragraph shall oblige a State to deny entry into its territory or require the departure of its own nationals and that this paragraph will not apply when the entry or transit is necessary for a judicial proceeding or when the Committee determines, for each particular case, that the entry or transit is justified;	0
In conclusion, the challenges facing Afghanistan are enormous, but we are making progress.	1
The increasing convergence between terrorist financing methods, especially at the local level, and other criminal activities makes it even more difficult to distinguish the former from the latter.	0
b) Provide training to public officials, members of the armed forces and armed groups, associated personnel of the armed forces, civil police and law enforcement personnel and judicial and legal professionals; and raise awareness among society and civilians about the relevant provisions of international humanitarian law, human rights law and refugee law, as well as the protection, special needs and human rights of women and children in conflict situations, with a view to achieving their full and effective compliance;	0
(d) The Committee shall ensure that measures taken by Member States to combat terrorism are consistent with their obligations under international law, in particular human rights, refugee and humanitarian law;	0
During meetings with President Gbagbo and the Ministers of Defense and Internal Security, the Commission was informed that the decision to mobilize the national armed forces was intended to repress the demonstration and prevent it from taking place.	0
States should address all aspects of denial of shelter, as a variety of interrelated measures, such as legislation, law enforcement, border control, refugees and asylum, must be adopted to ensure an effective system.	0
The Security Council formally warns the States neighboring the Democratic Republic of the Congo of the consequences of supporting armed rebel groups.	1
A State has not formulated a strategy on the matter nor does it have the necessary organizational structures.	1
a) Ensure the protection of civilians, including humanitarian personnel, who are in imminent danger of physical violence;	0
The operations of these groups also contributed to the efforts of the Afghan Taliban to destabilize the country.	0
This would not affect the Commission&#39;s conclusion that the Government of the Sudan has not pursued a policy of genocide in Darfur.	0
The Security Council recalls all its resolutions and declarations on the fight against terrorism, reiterates its firm condemnation of terrorism in all its forms and manifestations, regardless of who and where it is committed and whatever its purposes, and expresses its determination to combat by all means against terrorism in all its forms and manifestations in accordance with the Charter of the United Nations and international law, including applicable provisions of international humanitarian, human rights, and refugee law.	1
The United States urges the United Nations and the Haitian National Police to redouble vetting efforts.	1
However, despite these advances, some challenges to the Government&#39;s authority and its effective control over the national territory still persist.	1
Stresses that all those responsible for human rights abuses and violations must be held accountable, and underlines the need for a thorough, independent and impartial investigation, in accordance with international standards, into alleged human rights abuses and violations, in order to avoid impunity and ensure full accountability;	1
The Security Council considers that safe harbors for terrorists remain a matter of grave concern, and reaffirms the need for States to strengthen their cooperation in order to find, deny safe haven and bring to justice, based on the principle of extradite or prosecute any person who supports, facilitates, participates or attempts to participate in the financing, planning, preparation or commission of terrorist acts or who provides refuge.	1
The international community will need strength to carry the status process forward.	0
They had done everything possible to ensure that the conflict did not affect civilians. Its objective was to restore the dignity of the people of CÃ´te d&#39;Ivoire.	0
We consider it unacceptable for us to deviate from this principle since the fragile situation in the province could lead to widespread destabilization.	1
Trials related to crimes punishable by more than five years in prison are presided over by a group of magistrates.	0
We cannot fail to express our concern at the worsening security situation in regions that previously enjoyed relative calm.	1
They insist on treating the case as a simple immigration crime.	1
In this context, although the United Nations in general and the Security Council in particular are taking the fight against terrorism more seriously, there is little evidence that a truly joint effort is being made to provide a more international response. linked to terrorism.	1
The French authorities are extremely concerned about the current worsening of the situation in the northern part of the Gaza Strip last week.	1
Mr. Bralo, accused of committing war crimes by the International Tribunal for the Former Yugoslavia, surrendered on November 10 and was transferred to The Hague on November 11, 2004.	0
The Council condemns all other violations of international law, including international humanitarian law, human rights law and refugee law, committed against children in situations of armed conflict.	1
The States of the subregion have not indicated the procedures or mechanisms used to prevent and eliminate the movement of terrorists across borders.	0
Since September 18, 2014, no combat actions have been carried out in response to an &quot;imminent and serious threat.&quot;	0
International partners and human rights defenders unanimously condemned the Government&#39;s decision to expel the Director of the United Nations Joint Human Rights Office following the publication of the human rights report on violations allegedly committed by the police in Operation Likofi.	1
It is not surprising, therefore, that many Member States consider the Internet to be a key aspect in combating the proliferation of Al-Qaida-related terrorism and the threat it poses.	0
The Security Council condemns the deaths of innocent civilians and human rights violations that have taken place in the eastern part of the Democratic Republic of the Congo and calls for a full investigation into these incidents.	1
Today&#39;s debate is about an urgent matter.	1
- Call for strict compliance by the parties to an armed conflict with the applicable norms of international humanitarian law, including the prohibition of:	1
At the 5059th meeting of the Security Council, held on 19 October 2004, in connection with its consideration of the item entitled &quot;Threats to international peace and security caused by terrorist acts&quot;, the President of the Security Council made the following statement On behalf of the Council:	0
Restrictions on freedom of expression remain of considerable concern.	0
The Security Council expresses deep concern about tensions in the states of Blue Nile and Southern Kordofan.	1
Both approaches will be essential to confront the problem of terrorism.	0
If differences in the transitional federal institutions are not addressed, the current political stalemate could generate deeper divisions and undermine the very institutions that the people of Somalia so ardently long for and that the international community and the United Nations are prepared to support.	1
At the 5898th meeting of the Security Council, held on 27 May 2008, in connection with its consideration of the item entitled &quot;Protection of civilians in armed conflict&quot;, the President of the Security Council made the following statement on behalf of the Council :	0
Given that Hizbullah maintains close ties with several States in the region, in particular with the Islamic Republic of Iran, as publicly recognized by the militia&#39;s own secretary general, I urge these States to encourage the armed group to transform into a political party. exclusively political and to disarm, in accordance with the Taif Agreement and resolution 1559 (2004), in the interests of regional peace and stability.	1
12. Recalls its decision in resolution 2161 (2014) that all States must ensure that their nationals or persons within their territory do not place any funds, financial assets or economic resources, directly or indirectly, at disposition of ISIL, AAF or any persons, groups, companies and entities associated with Al-Qaida, and reaffirms its decision in resolution 1373 (2001) that all States should prohibit their nationals and any persons or entities located in its territory that make funds, financial assets or economic resources, or financial services or other related services, directly or indirectly available to persons who commit or attempt to commit acts of terrorism or facilitate or participate in their commission, or available to entities owned or controlled directly or indirectly by such persons, and to persons and entities acting on behalf of or at the behest of such persons;	1
In paragraph 67 of his opinion the Advocate General sets out five reasons why close scrutiny is not applicable in this context: a) the preventive nature of sanctions against Al-Qaida; b) the international context of the contested act; c) the need to achieve a balance between the demands of the fight against terrorism and those of the protection of fundamental rights; d) the political nature of the 1267 Committee&#39;s evaluations; and e) improvements to delisting procedures by the 1267 Committee in recent years, particularly since the 2008 decision of the Court of Justice of the European Union in the Kadi case.	1
Reaffirming the need to combat by all means, in accordance with the Charter of the United Nations and international law, the threats that terrorist acts constitute to international peace and security,	1
The meeting was held in compliance with the decision by which the two Heads of State, namely the Hon. Mr. Abdelaziz Bouteflika, President of the People&#39;s Democratic Republic of Algeria, and His Excellency. Mr. Ibrahim Boubacar KeÃ¯ta, President of the Republic of Mali, established this mechanism as a strategic instrument for the monitoring and implementation of measures that the parties considered could promote the achievement of a peaceful and lasting solution to the problems of northern Mali. .	0
The addition of these names demonstrates the Committee&#39;s continued concern about the threat that the Taliban creates for international peace and security.	1
They then set fire to the buildings that were left standing.	0
Colonel Lere sent messengers to communicate the order to the soldiers who had not heard it.	0
The United States calls on the Haitian authorities to fulfill their commitment to fill the six Supreme Court vacancies by October 3, 2011.	1
President Abbas also told me that &quot;the illicit transfer of substantial quantities of weapons to refugee camps through some Palestinian groups represents a risk to Lebanon and does not help the Palestinian cause.&quot;	1
The resolution authorizing the establishment of UNMISET was adopted unanimously as resolution 1410 (2002) on 17 May.	0
On several occasions, I have expressed my firm conviction that the best way to achieve the disarmament of Hizbullah and other militias is through a political process led by the Lebanese themselves, leading to the ultimate goal of ending the existence of weapons or armed forces in Lebanon other than those of the Lebanese State.	0
Although no real case of use of such a device has been reported since the publication of the Team&#39;s previous report, concern remains that the groups and individuals included on the list remain interested in committing such an attack. type, as well as news that illicit sources of radiological materials still exist, particularly in areas of Al-Qaida and Taliban activity.	1
The Council strongly condemns the Taliban for having launched a new offensive in July 1999, just one week after the meeting of the &#39;Six plus Two&#39; group in Tashkent, despite the Council&#39;s repeated demands that the fighting cease. .	1
Pakistan is deeply concerned by the report&#39;s conclusion that the humanitarian and economic challenges facing the Sahel region have been exacerbated as a fallout from the Libyan crisis.	1
The Security Council expresses serious concern that the continued instability and growing security vacuum in the Central African Republic continue to negatively affect operations against the LRA and contribute to strengthening the LRA in the country.	1
The Security Council expresses its deep concern about the direct threat that the activity of armed groups represents for the security of the civilian population and the implementation of humanitarian operations.	1
The overall lack of transparency to the public undermines the fairness and credibility of the process as a whole.	1
Council members expressed deep concern about the crimes that continued to be committed in Libya.	1
In this context, Council members reaffirmed the need to draw lessons from the armed confrontation that followed the 2010 presidential elections in the country.	0
United Nations peace operations have changed their posture accordingly and show an increasing tendency to shield and entrench themselves, limiting the ability of both uniformed and civilian personnel to engage with the local population, reach their hearts and minds. minds, mediate local disputes and obtain information - essential work for the implementation of peace agreements and efforts to resolve conflicts.	1
For example, in October and December 2003, JEM attacked Kulbus in Western Darfur, as described above in the document, and looted market shops.	0
The Congolese Government has indicated that it will remain firm regarding the January 2, 2015 deadline.	1
I therefore call upon all parties and actors to fully comply with resolutions 1559 (2004), 1680 (2006) and 1701 (2006), and will continue to work towards the full implementation of these and all other Security Council resolutions relating to to Lebanon.	0
It is particularly important to establish practical exchanges between the Security Council and the General Assembly on containing illicit flows of arms and ammunition to crisis and conflict zones.	0
All States in the subregion have launched financial intelligence units, although some are still working to increase their capabilities.	0
&quot;The Security Council reaffirms its commitment to the independence, sovereignty, unity and territorial integrity of Iraq and highlights the importance of the stability and security of Iraq to its people, the region and the international community.	0
Furthermore, Israel has regularly continued aerial violations of the Blue Line, in direct violation of Security Council resolution 1701 (2006).	1
24. Directs the Counter-Terrorism Committee Executive Directorate to increase cooperation with committees mandated under resolutions 1267 (1999) and 1989 (2011), 1988 (2011), 1373 (2001) and 1540 ( 2004) and their respective expert groups;	0
The Government of Mali immediately imposed a quarantine on the clinic and MINUSMA formed police units assisted the Malian authorities in providing security around the clinic.	0
b) A Sanctions Implementation Support Team, coordinated by the Monitoring Group, of up to 15 members with experience in areas such as customs, border security and counter-terrorism measures, deployed in the States referred to in paragraph 2 above, in full consultation and close cooperation with those States;	0
Assistance from bilateral donors will also be needed to enable a meaningful response to the security threats posed by drug and arms trafficking.	0
All delegations agreed that the main threat in the region came from the Jemaah Islamiyah (QE.J.92.02.), the Abu Sayyaf group (QE.A.1.01.) and a newcomer, the Rajah Solaiman movement ( not included in the List), which works closely with the Abu Sayyaf group*.	1
The Organization of Islamic Cooperation calls for an end to the Israeli military occupation of Palestinian territory, including East Jerusalem, and to the unlawful actions of the occupying Power that have claimed the lives of thousands of civilians, caused massive destruction and worsened socio-economic and humanitarian hardships of the Palestinian people in contravention of international law, in particular humanitarian law and human rights law.	1
This especially applies to people who enlisted in the F-FDTL and subsequently returned their weapons.	0
Serious concern was also expressed about reports of threatening statements and slogans against the United Nations and international staff during the recent demonstrations in Abidjan.	1
Although most Ivorian stakeholders, such as President Gbagbo and Prime Minister Soro, were satisfied with the functioning of the mobile courts, the opposition party Rassemblement des rÃ©publicains complained that many Ivorian citizens &#39;Ivoire had not been able to access them, especially in the west of the country, due to the presence of militias, even when they were inactive.	1
This method was used to reduce possible weapons losses to the activities of naval forces.	0
The Security Council expresses its sincere solidarity with all victims of terrorism and their families, stresses the importance of providing assistance to victims of terrorism and providing them and their families with support to cope with their loss and grief, recognizes the important role played in the fight against terrorism by networks of victims and survivors, who, among other things, have the courage to make their experiences known and make statements against violent and extremist ideologies, and, in this In this regard, welcomes and encourages relevant efforts and activities of Member States and the United Nations system, including the Counter-Terrorism Implementation Task Force.	0
Terrorism represents, without a doubt, one of the most serious threats to international peace and security and remains a major cause of concern not only for African States, but for the international community as a whole.	1
About 50 kilometers from Daloa, on the same day that the Mission was in the region, there were clashes between rebel forces and French forces monitoring the ceasefire.	1
y) Consult with representatives of relevant international organizations, such as the International Air Transport Association (IATA), the International Civil Aviation Organization (ICAO) and the World Customs Organization (WCO), to promote awareness and compliance of travel ban and arms embargo measures;	0
Furthermore, further progress has been made in establishing an intelligence fusion cell under the tripartite mechanism. On 16 and 17 August, a delegation from the United States of America, accompanied by military officers from Rwanda, Uganda and the Democratic Republic of the Congo, visited Kisangani to assess the progress made in this regard.	0
These acts are absolutely unacceptable. The Palestinian Authority must end these attacks and bring the perpetrators to justice.	1
Al-Qaida in Iraq (AQI) (QE.J.115.04) recently changed its name to the Islamic State in Iraq and the Levant (ISIL) in order to legitimize its operations in the Syrian Arab Republic and distance itself from the brand. Al-Qaida.	1
a) Apply the national legislation adopted on the fight against terrorism, taking into account international standards on human rights;	0
At the same time, despite the promises that the democratic transition process has entailed, we must not forget that this is a highly responsible stage in the history of the Middle East, which requires maximum vigilance and hard work in order to rule out miscalculations and unpredictability regarding the future of the region.	1
The Council is determined to consider imposing individual sanctions on those who violate the arms embargo on the Democratic Republic of the Congo.	0
That night, in a radio announcement, an eastern PNTL agent accused Commander General Martins and Deputy Commander Babo of the death of the UIR agent.	1
c) Prevent the supply, sale or transfer, direct or indirect, to those persons, groups, companies and entities, from their territory or by their nationals, outside their territory or by means of ships or aircraft of their flag, of weapons and related materials of all types, including weapons and ammunition, military vehicles and equipment, paramilitary equipment and related spare parts, as well as technical advice, assistance or training related to military activities;	0
Five States have legislation in place that criminalizes the financing of terrorism and nine States have passed anti-money laundering laws.	0
Since its launch in January 2003, this plan has been aimed at preventing the trade in conflict diamonds by ensuring that all rough diamonds bought or sold among its participants (42 States and the European Community) are accompanied of a valid Kimberley Process certificate.	0
The Council condemns all attacks carried out by local and foreign armed groups that threaten the population, and endanger the peace and stability of the Central African Republic and the subregion, including the attacks against Birao carried out by the Convention of Patriots for the Justice and Peace on July 19 and November 24.	1
As some tribes had not been allocated traditional lands and conflict over natural resources was intensifying, a systematic attempt was being made to expel from their lands tribes considered opposed to the Salvation Government.	0
But we are also against extrajudicial executions and we condemn them.	1
Despite having abundant evidence for this, at no time has the United States Government shown its intention to prosecute Posada Carriles for his terrorist actions.	1
The Lebanese Armed Forces informed the United Nations that the deteriorating security situation in the Syrian Arab Republic had led them to strengthen border control measures to prevent the entry of weapons and military personnel into and out of Lebanon. .	0
However, my delegation deplores the fact that security conditions remain worrying.	1
Homemade firearms. Molotov &quot;Cocktails.&quot; Improvised rockets manufactured in metalworking workshops.	0
:: Bring to justice, under the principle of extradition or prosecution, anyone who finances, plans, supports, facilitates or commits terrorist acts, in accordance with international law, including human rights standards	1
Furthermore, mobile armed groups that engage in banditry tend to be more brutal in their methods, as they have less incentive to establish popular support at the local level.	0
Various States in the African region highlighted their determination to ensure that measures are taken to protect the population from terrorist acts within the framework of the law and in accordance with their obligations under international law.	0
Regional and international organizations: Caribbean Community secretariat, European Commission, European External Action Service, Organization for Security and Cooperation in Europe, Organization for the Prohibition of Chemical Weapons, Group of Experts of the Security Council Committee established pursuant to resolution 1737 (2006), Office for Disarmament Affairs of the United Nations Secretariat, Security Council Committee established pursuant to resolution 1540 (2004) and its Group of Experts, International Criminal Police Organization, World Customs Organization.	0
It is clear that the Commission may not be in a position to carry out these functions if it has not previously determined a) whether the transgressions constitute international crimes and, if so, b) to what categories of crimes they correspond (war crimes, crimes against humanity , genocide or other crimes).	1
President GusmÃ£o ordered the petitioners to return to the F-FDTL training center in Metinaro and participate in a commission of inquiry that would examine the allegations made in the petition.	1
Therefore, United Nations bodies engaged in the fight against terrorism should address these fissures more seriously and with greater dedication.	1
The Council supports the idea of establishing a rule of law assistance unit within the Secretariat and looks forward to receiving proposals from the Secretariat for the implementation of the recommendations set out in paragraph 65 of the report of the Secretary-General on the Rule of law and transitional justice in societies that suffer or have suffered conflict (S/2004/616).	0
In 2009, the Russian Federation toughened criminal penalties for assisting or participating in terrorist activities (including recruitment) and a bill was introduced to toughen criminal liability for terrorism-related crimes.	0
However, it is inadmissible to attempt to justify, based on a valid security concern, measures that indiscriminately affect an entire people, in violation of international humanitarian law.	1
2. Instructs the sanctions committees established by the Security Council, including those established pursuant to resolutions 1718 (2006), 1636 (2005), 1591 (2005), 1572 (2004), 1533 (2004), 1521 ( 2005), 1518 (2003), 1267 (1999), 1132 (1997), 918 (1994) and 751 (1992), to revise their guidelines accordingly;	0
This Council must not allow this strategy to be rewarded by considering the response to terrorism instead of terrorism itself. Terrorism must be rejected, not appeased.	1
The Commission has had before it the report of the Commission of Experts charged with examining the prosecution of serious human rights violations in Timor-Leste (then East Timor) in 1999 (see S/2005/48). That assessment noted with concern the Attorney General&#39;s interpretation that his responsibility to the President under the Constitution required him to follow the latter&#39;s policy regarding trials.	0
Mr. Beyani also called on the Council not to lose sight of the important role that displaced women could play in negotiating peace, ensuring their human rights and achieving development in post-conflict situations.	0
