es_en_TRANSOFMERS	VerCoop
At its 44th formal meeting, on 1 May 2014, the Working Group considered the report of the Secretary-General on children and armed conflict in Mali (S/2014/267), covering the period from January 2012 to December 2013.	1
âThe Security Council calls upon all parties to armed conflict to comply with their obligations under international humanitarian law to protect and not to attack medical personnel, provided that they refrain from actions that adversely affect their civilian status and medical facilities, as well as from using medical infrastructure in combat.	1
(b) Address gaps in the criminalization of the financing of terrorism and include it as a predicate offence for money-laundering, as well as those relating to the freezing of terrorist assets, including the provision of adequate safeguards and the inclusion of humanitarian exemptions in freezing procedures;	1
(a) To build the capacity of its legislation regimes relating to money-laundering and combating the financing of terrorism, with a particular focus on financial intelligence units, the freezing of terrorist funds and assets and the regulation of charitable organizations;	0
Similarly, the Force Commander gave us, pursuant to court order No. 206/1735 of 18 February 2005, written authorization from that party, reference 36/2005 of 18 February 2005, which included the order to keep the cars of the Hariri motorcade in the barracks, to cover them with tarpaulins and to place them in custody, all of which was done.	0
It also urges the Secretary-General to seek to enhance the role and contribution of women in United Nations field operations, especially as military observers, civilian police, human rights specialists and humanitarian actors.	1
I have the honour to inform you that I have received a request from the Government of Pakistan to establish an international commission in connection with the assassination on 27 December 2007 of the former Prime Minister of Pakistan, Mohtarma Benazir Bhutto.	1
Members of the Council expressed their deep concern at the continuing crimes in Libya.	0
Initial measures Solving a crime of this magnitude requires a strong management capacity, clear functions, coordination and access to sufficient competencies, human resources, equipment and means of assistance.	1
MONUSCO has begun planning and preparing military operations against FDLR, taking into account that it is a scattered group that is hidden among the local population.	0
âThe Security Council particularly welcomes the decision of the Secretary-General to give priority, for the remainder of his mandate, to the work of the Organization aimed at consolidating the rule of law and transitional judicial institutions in conflict and post-conflict societies.	1
The Committee will therefore transmit these recommendations to the Counter-Terrorism Committee established pursuant to resolution 1373 (2001).	1
10. Declares its readiness to address situations of armed conflict in which civilians are targeted or humanitarian assistance to civilians is deliberately impeded, including by considering appropriate measures available to the Council in accordance with the Charter of the United Nations, and takes note, in this regard, of the relevant recommendations contained in the report of the Secretary-General;	1
The Council reaffirms that in order for a society that has experienced conflict or is recovering from conflict to recover from past abuses against civilians and to be able to prevent them in the future, it is imperative to end impunity.	1
This case is an example not only of mass killings of civilians, but also of unlawful confinement, accompanied by summary executions, rape and other abuses.	0
I would also like to convey my appreciation to the troop- and police-contributing countries to the Mission.	1
The Team also held frequent discussions with the expert group established in support of the 1540 Committee to ensure appropriate synergy between the work of the Arms embargo Team and the work of the experts of the 1540 Committee on the Non-Proliferation of Weapons of Mass Destruction among non-State actors.	1
(d) To adopt a victim-centred and human rights-based approach to trafficking in persons, in particular by recognizing the right of victims to remain in the country and by giving them access to legal protection and basic services such as medical treatment, education and employment opportunities equivalent to those accorded to their own citizens.	1
(f) To cooperate with the other relevant Security Council sanctions committees and the Committee established pursuant to paragraph 6 of its resolution 1373 (2001);	1
In addition to the dramatic increase in the flow of arms into Somalia, both contenders are also active in distributing arms and ammunition to their militias, equipping their men with combat elements, obtaining and storing food, medicines, fuel and other essential items to participate in a continuous combat, organizing themselves into military-type structures, intensifying the recruitment and training of militias, and devising strategies and plans to militarily defeat the adversary.	0
The Commission also recognizes the need to provide compensation to persons who have suffered as a result of the events of April and May.	1
H. Preventing and responding to acts of sexual exploitation and abuse committed by United Nations officials, related personnel and partners;	0
This makes it even more necessary to intensify efforts to properly establish and implement a travel ban targeting listed individuals, in particular those closely related to networking and facilitation activities.	0
The work of organizations such as UNESCO, UNDP and the United Nations Alliance of Civilizations, focusing on conflict prevention, the creation of a culture of peace, poverty eradication and the promotion of sustainable development and social inclusion through education, culture and communication in Africa, has become critical.	0
As long as States do not impose any obligation on listed individuals to abide by the travel ban, they will not find it risky to try to avoid it.	0
The present report of the Security Council Committee established pursuant to resolution 1518 (2003) covers the period from 1 January to 31 December 2009.	1
In this regard, it is significant that the Security Council, in its resolution 1963 (2010), encourages the Executive Directorate to discuss with Member States, with their consent, the possible development of comprehensive and integrated national counter-terrorism strategies that include attention to the factors leading to terrorist activity, in accordance with their obligations under international law; and the importance attached by resolution 1963 (2010) to the role that regional and subregional organizations can play in combating terrorism, in particular by enhancing the capacity of Member States to fully implement resolution 1373 (2001) and facilitating the provision of technical assistance.	1
15. Declares its readiness to consider the desirability and feasibility of establishing interim security zones and corridors to protect civilians and channel assistance in situations where the threat of genocide, crimes against humanity and war crimes is being addressed to the civilian population;	1
Encouraged by the desire to continue to assist Lebanon in the search for the truth and in giving effect to the criminal responsibility of the participants in this terrorist act,	0
:: Reports of the Secretary-General: on safety and security of humanitarian personnel and protection of United Nations personnel (A/68/489), on the protection of civilians in armed conflict (e.g. S/2013/689), and relevant reports on Security Council mandates (e.g. report of the Secretary-General on Somalia (S/2014/140).	1
âThe Security Council further reaffirms its determination to combat by all means possible threats to international peace and security caused by acts of terrorism, in accordance with the Charter of the United Nations.	1
72. Requests the Committee to submit orally, at least once a year, through its Chairman, a report on the overall work of the Committee and the Monitoring Team and, where appropriate, in conjunction with the reports of the Chairs of the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004), expresses its intention to hold informal consultations on the work of the Committee at least once a year, on the basis of reports submitted to it by the Chairman of the Committee, and also requests the Chairman of the Committee to hold regular briefings for all interested Member States;	1
I encourage the Congolese authorities to hold accountable all those responsible for the massive rape and looting committed in Walikale in July and August 2010.	0
Given the large transfers of workers'remittances to the subregion and the widespread use in the region of informal non-banking transfer mechanisms, it is of priority importance that measures be taken to regulate alternative remittance systems and prevent the misuse of non-profit organizations for these purposes.	0
The Office encourages communities to exercise self-monitoring and combat polarization of views without government intervention, which is a more durable way to prevent radicalization within communities.	1
The Council encourages the establishment or strengthening, as appropriate, of subregional or regional mechanisms for cooperation, coordination and exchange of information, including cross-border customs cooperation and information exchange networks, with a view to preventing, combating and eradicating the illicit trade in small arms and light weapons across borders.	1
In addition, in accordance with the policy guidance adopted by the Committee on 25 May 2006, the Executive Directorate should also continue to advise the Committee on issues relating to international human rights law, refugee law and humanitarian law with regard to the identification and implementation of effective measures to implement resolution 1373 (2001), as well as on ways to ensure that the measures taken by Member States to implement the provisions of resolution 1624 (2005) comply with their obligations under international law, in particular international human rights, refugee and humanitarian law.	1
The note proposes that the Security Council initiate a formal âstrategic reviewâ process to explore how the intersection of cross-border crime and terrorism can affect its conflict prevention and resolution efforts, particularly in Africa, and to review the tools at its disposal to reduce the strategic space that cross-border crime provides to terrorist groups.	1
In addition, the group assigned to Western Darfur visited refugee camps in Chad and the group assigned to Southern Darfur visited the National Security Detention Centre in Nyala.	1
The Team reminds States that, contrary to what is implied by the High-level Panel on Threats, Challenges and Change and others, the Committee has long established criteria for listing or de-listing.	0
9. Calls upon States that have not yet done so to consider ratifying the instruments of international humanitarian law, human rights and refugee law and to take appropriate legislative, judicial and administrative measures to comply with their obligations under those instruments;	1
Shots were heard throughout the night, particularly in western Dili, where F-FDTL had established positions in Rai Kotu, Taci Tolu and Beduku. Rumours that F-FDTL had killed 60 persons gained strength on 29 April and spread rapidly thereafter, to the point where the registration number of the F-FDTL truck allegedly used to transport the bodies, in boxes or in a container, from Taci Tolu to the Viqueque district on 1 May 2006 was mentioned.	0
(y) To consult with representatives of relevant international organizations, such as the International Air Transport Association (IATA), the International Civil Aviation Organization (ICAO) and the World Customs Organization (WCO), in order to promote knowledge of and compliance with measures relating to the travel ban and arms embargo;	1
25. Recognizes that the conflict affecting Afghanistan and the urgency that the Government of Afghanistan and the international community attach to the peaceful resolution of the conflict require timely and expeditious changes to the List, including the addition and delisting of individuals and entities, urges the Committee to decide in a timely manner on de-listing requests, requests the Committee to review periodically each entry on the List, including, where appropriate, through the examination of individuals deemed to meet the conditions of reconciliation, persons whose entries do not contain identification data, persons reported to have died, and entities reported or confirmed to have ceased to exist, instructs the Committee to establish guidelines for such reviews in line, and requests the Monitoring Team to circulate to the Committee every six months:	1
In the discussions on the role of the President, several participants acknowledged that two "traps" should be avoided: first, trying to achieve national objectives to direct the work of the Council towards specific interests; and second, taking a kind of leadership that is too remote and formalistic.	1
According to the provisional verbatim record of the 4688th meeting of the Security Council, held on 20 January 2003 (S/PV.4688), the members of the Council made comments, suggestions and proposals on the following topics: international instruments; international cooperation; role of international, regional and subregional organizations; assistance; and Security Council Committee established pursuant to resolution 1373 (2001) (hereinafter referred to as the Counter-Terrorism Committee).	1
Four States have explicitly introduced measures to suppress the recruitment of terrorists.	1
Five States are not yet parties to the Firearms Protocol, but almost all have adopted OAS legislation criminalizing the illicit manufacture, possession and trafficking of small arms and light weapons, ammunition and explosives.	0
On 18 November, the Council held a briefing and consultations on the reports of the Secretary-General on the activities of the United Nations Assistance Mission for Iraq (UNAMI) (S/2014//774) and on the search for missing Kuwaiti and third-country nationals and missing Kuwaiti property, including national archives (S/2014/776).	1
56. Encourages Member States, when defreezing the assets of a deceased person or an entity that has been reported or confirmed to have ceased to exist as a result of the delisting, to recall the obligations imposed by resolution 1373 (2001) and, in particular, to prevent the thawed assets from being used for terrorist purposes;	1
While terrorism is not explicitly mentioned as a recurrent fact, it is certainly a source of concern, as many of the above-mentioned factors could encourage terrorist acts in the region.	0
Encourages troop- and police-contributing countries, in consultation with the Secretary-General, to consider possible measures to increase the awareness and responsiveness of their personnel involved in United Nations peacekeeping operations to protect civilians, including women and children, and to prevent sexual violence against women and girls in conflict and post-conflict situations, and to deploy, wherever possible, a higher percentage of women in police or peacekeeping forces.	1
The European Union's decision to start negotiations on a stabilisation and association agreement is an essential element in this regard.	1
:: An appeal to the Security Council to establish, in coordination with the African Union, an international force to neutralize armed groups, support national reconciliation and build democratic and stable institutions in Libya	1
There can be nothing more urgent in Sierra Leone than the maintenance of peace, security and stability in the country.	1
Reaffirming the need to combat by all means, in accordance with the Charter of the United Nations, threats to international peace and security caused by terrorist acts,	0
Reiterating the need for all States and non-State parties to conflicts to comply fully with their obligations under applicable international law, including the prohibition of all forms of sexual violence,	1
I have the honour to transmit herewith the report of the Security Council Committee established pursuant to resolution 2048 (2012) concerning Guinea-Bissau, which reports on the activities of the Committee between 1 January and 31 December 2014.	1
The Council calls upon Member States to increase their cooperation at the international and regional levels, based on common and shared responsibility, and their cooperation with UNODC and the International Narcotics Control Board, in order to address illicit production, demand and trafficking in drugs, and to identify emerging trends in drug trafficking.	1
âThe Security Council calls upon the parties to refrain from the use of force and to resolve their differences by peaceful means, to normalize their relations, to promote stability between the two countries and to lay the foundations for sustainable peace in the region.	1
" In the context of the completion of the Mission's mandate on 31 December 2010, the Security Council commends, without prejudice to the primary responsibility of the Government of Chad, the contribution of MINURCAT to the protection of refugees, internally displaced persons and humanitarian actors in eastern Chad and its efforts to enhance the capacity of the Chad Integrated Security Detachment (DIS).	1
It was the Jamal Suliman Mohamad Shayeb case in the village of Halouf in connection with the killing of 24 people, including women and children, looting of property and burning of the village.	0
Three States have adopted procedures to prohibit the extradition of persons to States where they run the risk of being subjected to torture or persecution.	0
The technical investigation concluded, inter alia, that the damage observed at the front of the aircraft appears to indicate that the aircraft was penetrated by a large number of objects with high energy from outside the aircraft.	0
As the relevant case law maintains, responsibility for a crime other than that agreed in the common plan arises only if, in the circumstances of the case, it was foreseeable that one or other members of the group would commit it and the accused voluntarily took that risk.	0
He also visited the El-Aayoune refugee camp.	1
The trucks in which Government soldiers were travelling were later used to transport the loot looted in the village.	0
âThe Security Council stresses the urgency of disbanding and disarming all illegal armed groups.	1
All States of the subregion have established their jurisdiction over the relevant offences in their domestic legislation.	0
âThe Security Council reaffirms its commitment to the full and effective implementation of its resolutions on the protection of civilians in armed conflict and recalls previous statements on the issue made by its President.	1
(e) To submit to the Committee a comprehensive programme of work for its consideration and approval, as necessary, in which the Monitoring Team describes in detail the activities envisaged to carry out its functions, including proposed travel, based on close coordination with the Counter-Terrorism Committee Executive Directorate and the 1540 Committee expert group in order to avoid duplication of effort and strengthen synergies;	1
Exemptions are granted to supplies of arms and related lethal materiel to Ivorian security forces intended solely to support or use the Ivorian security sector reform process, upon notification to the Committee.	0
In Iraq and Afghanistan, Al-Qaida, the Taliban and associated groups will continue to use military equipment to construct improvised explosive devices for as long as the necessary parts exist and it is possible to acquire them.	0
The Chairman, together with the Chairmen of the Committees established pursuant to resolutions 1373 (2001) and 1540 (2004), which also deal with counter-terrorism issues, held two joint briefings with the Security Council in 2009. The meetings were held on 26 May (see S/PV.6128) and 13 November (see S/PV.6217).	1
The following is a brief overview of these reports, which serves to clarify the context of the Commission's fact-finding work and investigations, and in the sections below, individual incidents are presented according to the type of specific international crime or transgression.	0
One State has been engaged in efforts to combat the radicalization of militant groups and has supported the production of publications by these groups against extremist ideology, including one repudiating Al-Qaida, which has been distributed internationally, including on Internet sites.	1
The shelling of the surrounding areas appears to have been carried out to facilitate the looting and destruction of the village by Janjaweed militia and Government ground forces.	0
It provided detailed information on violations and abuses committed against children in Yemen.	0
Now that brokering and related activities have become so prominent in the international arms trade, it is extremely important for countries to enact effective laws and regulations to govern the current broad spectrum of arms brokering.	1
Noting that the situation in the Democratic Republic of the Congo continues to constitute a threat to international peace and security in the region,	0
Real changes are more likely to originate in popular protests rather than covert acts of violence.	0
2. Calls upon the Government of Syria to comply visibly with all its commitments, as agreed in the Preliminary Understanding and as provided in resolution 2042 (2012), to: (a) halt the movement of troops towards population centres, (b) cease the use of heavy weapons in those locations, and (c) complete the withdrawal of military concentrations in and around population centres, as well as its contingents and heavy weaponry from population centres to their barracks or temporary deployment sites, in order to facilitate a sustained cessation of violence;	0
The progress made in this area will enable the Republika Srpska public security centres and the police administration of the Federation of Bosnia and Herzegovina to operate with an improved fiscal methodology next year.	0
In this regard, the Security Council welcomes the news received on 1 May 2011 that Osama bin Laden will never be able to reperform such terrorist acts, and reaffirms that terrorism cannot and should not be associated with any religion, nationality, civilization or ethnic group.	1
2. Recalls, in this regard, that journalists, media professionals and associated personnel engaged in dangerous professional missions in areas of armed conflict shall be considered civilians and shall be respected and protected as such, provided that they refrain from taking any action that adversely affects their status as civilians and without prejudice to the right of war correspondents accredited to the armed forces to enjoy the prisoner of war status provided for in article 4 (A.4) of the Third Geneva Convention;	0
Indeed, it is high time for the international community, and in particular the Security Council, to take effective measures to counter the illegal and criminal policies and practices of the Israeli regime and to put an end to its State terrorism against the Palestinian people and other peoples of the region.	0
âThe Security Council welcomes the important efforts that the African Union and subregional organizations continue to make in line with the resolutions and decisions of the Council, to resolve conflicts, promote human rights, democracy, the rule of law and constitutional order in Africa.	1
In a region as complex as it is vital to the maintenance of international peace and security, the authorities face great difficulties and constraints in responding to the demands and expectations of a population eager for reform.	0
Security Council resolution 1373 (2001), adopted following the heinous attacks of 11 September 2001 in the United States of America, was a milestone in United Nations-level initiatives.	0
It calls for effective measures at the international level to curb illicit flows of small arms to conflict zones.	1
- To emphasize in the relevant resolutions the importance of achieving durable solutions for refugees and displaced persons, in particular their safe, voluntary and dignified return and reintegration, and to promote their full participation in the planning and management of such solutions.	1
In response, the UNMIK Department of Justice established a joint working group with the institution-building component to review the report and explore ways to implement its recommendations.	1
11. Directs the Committee to cooperate with the other Security Council sanctions committees, in particular with those established pursuant to resolution 1988 (2011); Listing	1
The threat to security and stability in Afghanistan posed by terrorists, criminals and those involved in illicit drug trafficking is real and must be addressed constantly.	0
The Council stresses that no attempt to destabilize Lebanon should prevent the holding without delay of a free and fair presidential election in accordance with Lebanese constitutional rules, without foreign interference or influence and with full respect for democratic institutions.	1
While the measures described in the present report are expected to improve the Mission's ability to monitor compliance with the agreement, the parties remain responsible for ensuring that their military or security forces do not commit violations.	1
" The Security Council recognizes the importance of a comprehensive, coherent and action-oriented approach, including early planning, to the protection of civilians in situations of armed conflict.	1
Women and children account for 22 per cent of deaths.	0
Urging [the affected State], in coordination with the international community, to undertake a comprehensive reform of the police, judicial and prison systems and to protect and promote human rights and fundamental freedoms and to end impunity.	1
The Council and troop- and police-contributing countries heard briefings by Edmond Mulet, Assistant Secretary-General for Peacekeeping Operations, Abhijit Guha, Deputy Military Adviser and Andrew Carpenter, Acting Police Adviser.	1
âThe Security Council calls upon the Government of the Democratic Republic of the Congo to remain fully committed to the establishment of a professional, accountable and sustainable national army, including a Rapid Reaction Force, in line with its commitment to further reform of the security sector.	1
Tunisia and the Libyan Arab Jamahiriya expanded, in 2009 and 2010 respectively, their obligations of customer due diligence, record-keeping and reporting of suspicious transactions to businesses and professions other than the financial sector, thus broadening the scope of their obligations in the area of countering money-laundering and the financing of terrorism.	0
The Executive Directorate, together with donors and other relevant partner organizations, will intensify its regional and subregional approaches to take forward initiatives already initiated or planned in the areas of preventing the misuse of the non-profit sector to finance terrorism, the illicit movement of cash and other negotiable bearer instruments across borders, enhancing the capacity of police officers and prosecutors, effective border control and the management and promotion of cooperation among relevant subregional entities.	0
The investigation and prosecution of cases relating to new payment methods required a high level of technical expertise and prompt action by the authorities, and required further international cooperation, especially with regard to the preservation of electronic evidence.	0
(c) Encourage States to improve border security at entry points to prevent the illegal cross-border movement of persons, cargo, weapons and explosives, as well as the physical cross-border transport of money and other bearer instruments.	1
The Council urged the Governments of the Sudan and South Sudan to implement fully the commitments made in the agreements of 29 June 2011 on the establishment of a safe demilitarized border zone and of 30 July 2011 on the establishment of a joint border verification and monitoring mechanism, and also urged them to cooperate fully with each other and to lend their full support to UNISFA to enable it to fulfil its mandate.	1
The Council notes with concern the problems in the area of socio-economic development, as the living standards of the vast majority of Haitians have fallen sharply.	0
Despite these efforts, the issue of security in Mogadishu remains a matter of concern, owing to the presence of militias from various factions, as well as independent militias or associated with businessmen and sharia courts.	0
Members of the Committee have on numerous occasions highlighted the complementary roles of the Committee, the Committee established pursuant to resolution 1373 (2001) concerning counter-terrorism and the Committee established pursuant to resolution 1540 (2004) in combating international terrorism, as well as the need for the three bodies to coordinate and exchange information among themselves.	1
At the 6492nd meeting of the Security Council, held on 28 February 2011, in connection with the Council's consideration of the item entitled "Threats to international peace and security caused by terrorist acts", the President made the following statement on behalf of the Council:	1
The authorities of the Democratic Republic of the Congo have an international obligation to ensure that their country is not used as a base from which these rebels attack Uganda.	0
The mission will discuss with the Ugandan authorities how to find a solution to the conflict, including the application of the amnesty law for members of the Lord's Resistance Army who have not committed the most serious violations of human rights and international humanitarian law, in the context of recent attempts at negotiation and the procedures established by the International Criminal Court to prosecute those responsible for serious violations of human rights and international humanitarian law.	1
The PNTL General Commander removed weapons from the National Armory of PNTL without the knowledge of the Armory Officer. 60 Steyr rifles and 50 cases of ammunition were sent to the URP premises in Aieu on 23 March. 10 rifles, in addition to ammunition, were sent from the Steyr brand to the LiquiÃ§a police station on 15 April.	0
In this context, Prime Minister Seniora has called for continued United Nations assistance and support for such internal dialogue in order to resolve the issue of Lebanese and non-Lebanese militias in Lebanon, in full conformity with the Taif Agreement.	1
12. Also calls upon the Government of Burundi to continue its efforts to ensure the promotion and protection of human rights and, together with its international partners, to support and strengthen the capacity of the Independent National Human Rights Commission and the Office of the Ombudsman, in accordance with General Assembly resolution 48/134 on national institutions for the promotion and protection of human rights, and further calls upon the Government to continue its efforts to combat impunity and to take the necessary measures to ensure the full enjoyment of civil, political, social, economic and cultural rights as enshrined in the Constitution of Burundi, in accordance with its obligations under international law;	1
In order for potential applicants to understand this process clearly and to know what measures will be taken and to ensure uniform application, practices and procedures have been developed and information on them disseminated to explain the process more specifically.	1
Tanks, armoured personnel carriers and rocket launchers were previously deployed in certain areas of Abidjan.	0
In response to an invitation by the President of the Economic and Social Council, on 3 May the President of the Council attended the high-level meeting of the Economic and Social Council to discuss the work of its ad hoc advisory groups on African countries emerging from conflict (Burundi and Guinea-Bissau).	1
The working groups, which have so far been composed exclusively of the parties to the Comprehensive Peace Agreement, met on 9 and 10 August and have continued to meet sporadically since then.	1
Respect for the rights of others, including political adversaries, must be the ultimate test for all those who aspire to lead the country towards stability, unity and prosperity.	1
In the closed consultations that followed, Council members expressed their support for UNSMIL and noted the efforts made by the interim Government to achieve stabilization.	1
It is therefore largely concerned with aspects of the social contexts that can lead to the spread of terrorism.	0
UNIFEM, UNFPA In post-conflict countries, advocacy for strategies to address the gender dimensions of reconstruction through needs assessment and transitional mechanisms.	1
Discussions and negotiations on how to ensure accountability for crimes under international law have continued for years in Burundi, including with the United Nations.	1
The meetings will include regular briefings by working groups to monitor progress in monitoring and national implementation, assistance, cooperation with international organizations, including the Security Council Committees established pursuant to resolutions 1267 (1999) and 1373 (2001), and transparency and media outreach.	1
8. In Somalia, since the beginning of 2007, many of the suicide bombings and attacks that have been committed in accordance with the practices of Al-Qaida-associated groups in Iraq or Afghanistan have been claimed by the Al-Shabaab movement, which is not listed.	0
That night, in a radio announcement, an Eastern PNTL agent accused Major General Martins and Deputy Commander Babo of the death of the UIR agent.	0
At the same time, the Council recognizes that the Special Representative of the Secretary-General, with the assistance of civilian advisers, could play a key coordinating role in the delivery of humanitarian assistance, the restoration of law and order and the functioning of public institutions, as well as in reconstruction, rehabilitation and peacebuilding, leading to long-term sustainable development.	1
Further research is needed on the impact of different forms of communication on the risk and threat of incitement and, therefore, on terrorist acts; however, it can be said that rapid developments in communications technology in general have increased the risk of incitement worldwide compared to 2005.	1
As a result of these operations, arms trade networks have been forced to act more cautiously by sending arms from Yemen to Somalia through the Gulf of Aden.	0
Reaffirming its resolutions 1265 (1999) and 1296 (2000) on the protection of civilians in armed conflict, its various resolutions on children and armed conflict and on women, peace and security, as well as its resolution 1631 (2005) on cooperation between the United Nations and international organizations in the maintenance of international peace and security, and reaffirming further its determination to ensure respect for and follow-up to these resolutions,	0
(b) To call upon parties to armed conflict to comply with their obligations under international humanitarian law to respect and protect humanitarian personnel and items used in relief operations;	0
The members of that delegation agreed with the Prime Minister âto initiate the organization of the Palestinian armed presence in the camps to ensure securityâ.	1
Recalling the responsibility of States to end impunity and prosecute those responsible for genocide, crimes against humanity, war crimes and other heinous crimes committed against civilians, and in this regard noting with concern that only a limited number of perpetrators of sexual violence have been brought to justice, while recognizing that in conflict and post-conflict situations national justice systems may be severely weakened.	1
(v) To maintain a dialogue and exchange information with designated focal points or focal points on issues related to their contribution to the implementation of resolution 1540 (2004);	1
