es_en_DEEPL	VerCoop
Measures that could undermine confidence or damage the outcome of negotiations should be suspended and reversed.	0
Notes, in this regard, that multidimensional peacekeeping missions may be tasked, inter alia, with the following functions: (d) To provide rapid response in mine action, as well as advisory services and training tailored to the needs of national authorities, upon request, with a view to enabling risk reduction, victim assistance, mine clearance, and stockpile management and disposal;	1
The population of these neighborhoods was subjected to violence and extortion by the security forces.	0
The two witnesses who had participated in the vetting process, Mr. Donghyuk and Ms. Lee, spoke of their personal experiences in the DPRK before escaping as refugees.	1
Calls upon States that have not yet done so to consider ratifying the main instruments of international humanitarian, human rights and refugee law and to take the necessary legislative, judicial and administrative measures for the implementation of those instruments at the national level, seeking technical assistance, where appropriate, from relevant international organizations, including the International Committee of the Red Cross and United Nations bodies.	1
Security Council Resolution 1373 (2001) already imposes an obligation on States to take certain measures to suppress terrorism and the recruitment of members of terrorist groups, to prevent the movement of terrorists and to bring them to justice.	0
The Security Council expresses its intention to consider, when establishing or renewing the mandate of relevant sanctions committees, the inclusion of provisions relating to parties in violation of international law applicable to the rights and protection of children in armed conflict.	1
Stresses the responsibility of United Nations country task forces for monitoring and reporting and United Nations country teams, in accordance with their respective mandates, to ensure effective compliance with their resolutions on children and armed conflict, to monitor progress and report thereon to the Secretary-General, in close cooperation with his Special Representative for Children and Armed Conflict, and to ensure a coordinated response to children and armed conflict issues.	1
It is also recommended that the Government of Nepal make a clear commitment to the reintegration of children associated with armed forces and armed groups, and improve legal mechanisms for the protection of children by criminalizing their recruitment and prosecuting those who violate children's rights.	1
The Council further emphasized the urgent need for all parties to respect the ceasefire and take immediate steps to end the violence, and called on the Government of Sudan to uphold its commitments to ensure that the Janjaweed militias are neutralized and disarmed.	1
In July 2005, 93% of the detainees were in prolonged pretrial detention, but the figure could be higher today.	0
Many people were subjected to horrific mistreatment and many others were summarily executed.	0
The Security Council reaffirms the importance of the principle of non-refoulement and the right of refugees to return voluntarily to [the affected country], and encourages the countries neighbouring [the affected country] to protect all persons fleeing violence in [the affected country], including [the inhabitants of a specific area of the region]. Urges all Member States, on the basis of burden-sharing principles, to support those countries in providing assistance to refugees and affected communities ...	1
12) Convention on the Marking of Plastic Explosives for the Purpose of Detection, signed in Montreal on March 1, 1991; ratified on December 18, 1991 and entered into force on June 21, 1998.	0
I also wish to reiterate that the four F-FDTL members who were convicted of manslaughter in the shooting deaths of eight PNTL officers in 2006, one of whom was pardoned and the remaining three received sentence reductions, have yet to pay the court-ordered compensation to the widows of the victims.	0
The competent authorities have requested that the deadline of October 31, 2005 for submission of the formal request for modification by the Government of Iraq be extended to December 31, 2005 in order to take full account of communication problems between the competent authorities and suppliers regarding the extension of shipment deadlines and letter of credit validity periods.	1
The explosion that killed Mr. Hariri and 22 others occurred above the roadway.	0
(1) If the offender has destroyed, damaged, transferred, rendered unusable or used (in particular exhausted or consumed) any property that could be subject to forfeiture under subsections (1) and (2) of Section 70 or where the offender has otherwise prevented the forfeiture of such property, the court may order the forfeiture of funds up to the amount corresponding to their value; the value of the property that could be subject to forfeiture may be calculated by the court.	0
At the 6492nd meeting of the Security Council, held on 28 February 2011, in connection with the consideration of the item entitled "Threats to international peace and security caused by terrorist acts", the President made the following statement on behalf of the Council:	1
Law No. 535/2004 on Preventing and Combating Terrorism was promulgated by the President of Romania by Decree No. 994/2004 of November 24, 2004 and entered into force three days later.	0
In order for the ninth program of work to be implemented more effectively, and for the work of the experts to be more clearly and effectively channeled, the Committee will operate a new system of working groups open to all members of the Committee established pursuant to resolution 1540 (2004). The working groups will focus on important and recurring issues.	1
In South Darfur, one of the most devastating clashes occurred on September 19 when SML/A attacked SAF positions in and around the village of Shaeria.	0
Demands that all parties cease violence, attacks on civilians, peacekeepers and humanitarian personnel, and other violations of human rights and international humanitarian law ...	0
With respect to matrix-related tasks, the Committee's agreement to a new format was an important step forward.	1
Accordingly, the Committee will transmit these recommendations to the Counter-Terrorism Committee established pursuant to resolution 1373 (2001).	1
- Consider targeted and graduated measures against parties to an armed conflict that threaten peace, attack or obstruct the activities of United Nations peacekeeping or other relevant missions, or commit violations of applicable international humanitarian and human rights law.	0
Some Council members mentioned with concern the fact that investigations of crimes committed by the rebels had not yet progressed.	1
Ambassador Zahir Tanin, Permanent Representative of Afghanistan to the United Nations, highlighted the emerging international consensus on the transition strategy and called for increased international support to the Afghan security forces.	1
The threat to security and stability in Afghanistan posed by terrorists, criminals and those involved in the illicit drug trade is real and must be addressed on an ongoing basis.	0
They called for the United Nations to take more decisive action across the board on the drivers of terrorism, such as Islamophobia.	1
To ensure that potential applicants have a clear understanding of this process and know what steps will be taken, and to ensure uniform application, practices and procedures have been developed and information about them has been disseminated to explain the process more concretely.	1
This situation is evident in groups fighting in Somalia, Yemen, the Syrian Arab Republic and Nigeria.	0
The note outlines how the joint needs assessment for Somalia should be carried out, and envisages considerable involvement in Somali activities, either as interlocutors in the government and in the area or as international experts drawn from the expatriate community.	0
I. General issues relating to the protection of conflict-affected populations	0
Resolved to facilitate henceforth an effective response to global threats in the field of non-proliferation,	1
Counter-terrorism strategy: law enforcement agencies coordination	0
The parties to the peace process have not yet made provisions for release or offered reintegration programs under which the children of these forces would have been eligible for recovery and reintegration measures.	1
While he believed that the Counter-Terrorism Implementation Task Force had an important role to play, it should be recognized that the Council's counter-terrorism committees had worked thoroughly on the issue and achieved greater effectiveness by developing reporting regimes, organizing assessment missions and providing technical assistance.	1
In addition, they decided to exert more pressure for the disarmament of militias operating in eastern DRC and to negotiate bilateral treaties for the extradition of active militia leaders.	1
The Team recognizes that there are national and international laws that limit the exchange of information between States, but international cooperation is indispensable for the effective implementation of the asset freeze.	1
Increased representation of women in program-related bodies. D.3 Systematic training on gender issues for humanitarian staff at all levels. Increased awareness and capacity-building of humanitarian staff and implementing partners in emergency and rehabilitation programmes and projects on gender analysis and participatory tools.	0
The attack forced many civilians to seek refuge outside the town, SAF suffered dozens of casualties, and the SML/A seized a large quantity of weapons, ammunition, fuel and other supplies. On September 29, there was another attack on Tawilla town itself, when SML/A units entered the town and then the Dali IDP camp adjacent to it, firing indiscriminately on civilians without provocation.	0
[D]eemphasizing the urgency of comprehensive security sector reform and of achieving, as appropriate, the disarmament, demobilization, and reintegration of [national] armed groups and the disarmament, demobilization, repatriation, resettlement and reintegration of foreign armed groups to achieve the long-term stabilization of [the affected country], taking into consideration the need to create security conditions conducive to ensuring sustainable economic development and stressing the importance of the contribution made in these areas by international partners.	0
217. For example, the Commission would recommend the establishment of a national compensation program, which would not simply amount to monetary compensation but should consider all necessary measures to that effect, including acknowledgement of guilt, compensation for tangible economic damages, full and public disclosure of the facts in question (including through the publication of this report), the establishment of rehabilitation programs and administrative sanctions against the individuals in the institutions responsible.	1
The Personal Envoy added that contacts were continuing and indicated that the Government of Morocco had on several occasions expressed its disappointment with the content of the last report and briefing that the Personal Envoy had given to the Council in informal consultations in April 2014.	0
Elements of the FDLR have reportedly been dispersed in South Kivu and their ability to move freely through population centers and to attack civilians has been restricted. However, the FDLR's ability to attack cannot be underestimated, particularly given that the FARDC has limited resources in the area, has little military training, suffers from a lack of discipline and, in addition, sometimes collaborates with FDLR commanders.	0
At the same meeting, pursuant to paragraph 41 of resolution 2093 (2013), the Coordinator of the Monitoring Group on Somalia and Eritrea presented the Group's assessment of the progress made by the Federal Government of Somalia in establishing logistics infrastructure for arms management and putting in place arms control procedures.	1
:: Fully participate in regional events and seminars to raise awareness and promote the implementation of resolution 1540 (2004) and increase its efforts to raise awareness among parliamentarians and other high-level decision-makers.	1
In July 2007, the Government submitted a draft bill for the establishment of a Truth and Reconciliation Commission and consultations are currently underway with various stakeholders.	1
Technical agreements have been formalized between the Interpol office in Sarajevo and law enforcement agencies at both the entity and state levels, allowing these police forces direct access to the Interpol database. Police training	0
Decides to strengthen and update the mandate of [the Mission], which will consist of the following: Promotion and protection of human rights: - To assist in strengthening the capacity of the judicial system, including transitional justice mechanisms, and national human rights institutions, and to assist national reconciliation efforts;	0
The Government of the Sudan submitted to the Commission a document listing attacks on humanitarian convoys.	0
I must report, with great concern, an escalation in criminal acts and attacks against UN and humanitarian personnel.	0
The European Union's European Arrest Warrant offers an effective alternative to the traditional extradition process, allowing direct contact and empowering judicial authorities.	0
Listed groups also need to use force to support their objectives; however, in the areas where these groups are most active, there appears to be no shortage of weapons and explosives.	0
Accordingly, at the end of September, the Joint Implementation Mechanism approved measures to harmonize the implementation of the action plan with the existing elements of the N'Djamena ceasefire agreement of 8 April 2004 in order to reduce the likelihood of a recurrence of such acts.	1
The Security Council recognizes the need for systematic monitoring and reporting on progress made in the protection of civilians in armed conflict.	1
However, we are concerned that the violence may result in some of the population not making it to the polling stations in the south and elsewhere.	0
:: Respect for the right of refugees and internally displaced persons to return voluntarily and in safety and dignity to their places of origin.	0
Noting with deep concern the increase in violence and escalating inter-tribal clashes, as well as the persistence of sexual and gender-based violence and impunity, reiterating its deep concern over attacks on humanitarian and peacekeepers and for the safety of civilians, and calling upon all parties in Darfur to immediately cease offensive actions and to refrain from further violent attacks that deteriorate the humanitarian situation and restrict humanitarian access to populations in need,	0
The two press conferences, especially the first one, in addition to the interview of the first suspect, and the arrest of the former high-ranking members of the security services at the suggestion of the Commission, have had a catalytic effect.	0
As an expression of the international community's determination to curb Al-Qaida activity, the 1267 regime has played a prominent role in focusing attention on the need to prevent terrorist groups from receiving financial resources and limiting the travel of their members.	1
The Security Council reiterates its equally strong condemnation of all violations of applicable international law related to the recruitment and use of children by parties to armed conflict, as well as cases of repeated recruitment, killing and maiming, rape and other sexual violence, abductions, attacks against schools or hospitals and denial of humanitarian access by parties to armed conflict.	0
"antagonism between political forces overshadows the country's recent democratic success and threatens its progress towards permanent stability." (S/2011/540, para. 55)	0
Overall, the Team has noted a high level of commitment to the work of the 1267 Committee and an encouraging general awareness of the list and the measures.	0
One State noted that, in 2006, it had adopted a comprehensive anti-radicalism plan, which aims to combat radicalization while protecting democratic values.	1
As this partial list demonstrates, there is a clear trend in the international community to rely more on commissions of inquiry and fact-finding missions in the context of accountability measures.	1
Due to a combination of factors, including gender-based discrimination in access to resources, education and employment, poor reproductive health care and exclusion from decision-making processes, refugee and displaced women constitute one of the most vulnerable groups in the world.	0
Finally, I would like to make some recommendations for any fact-finding mechanism that is being established:	1
In order to facilitate consideration by the Security Council, as appropriate, of issues relating to the protection of civilians in its deliberations on the establishment, modification or termination of peacekeeping operations, Council members suggested that an aide-memoire be drafted, in close cooperation with the Council, listing relevant issues in this regard.	1
The Security Council strongly supports efforts to promote national dialogue, reconciliation and broad political participation to ensure unity, peace, security and stability in Iraq.	1
The intentional killing of a detained combatant constitutes a war crime.	0
14. Report of the Special Rapporteur of the Commission on Human Rights on extrajudicial, summary or arbitrary executions during her mission to the Sudan (E/CN.4/2005/7/Add.2).	0
Fifty-four States reported that they had safeguards to ensure that arms and ammunition produced within their jurisdiction could not be diverted for use by those subject to the sanctions.	0
They can train fighters, plan their activists in innovative ways and carry out attacks. Lashkar-e-Tayyiba (QE.L.118.05) continues to provide specialized training to terrorists, including in the manufacture of improvised explosive devices. Al-Qaida in the Arabian Peninsula (AQPA) (QE.A.129.10) continues to be a major source of technological innovation.	0
The Security Council stresses the important role of regional and subregional organizations in combating the illicit trade in small arms and light weapons, and the need for peacekeeping mandates to take into account, where appropriate, regional instruments that empower States to detect and trace illicit small arms and light weapons.	1
49. During the famine period, ideological indoctrination was used to maintain the regime, at the price of seriously aggravating hunger and starvation.	0
The evidence shows that there is reason to suspect that six F-FDTL soldiers are guilty of homicides.	0
It also stresses that Rwanda has an obligation to use its considerable influence to ensure that CCD-Goma does not carry out any such actions.	0
Although hostilities had ceased, tensions persisted, and further clashes could not be ruled out.	0
It is recommended that the Committee strengthen and, as appropriate, institutionalize its cooperation with international nonproliferation mechanisms, other United Nations bodies, the Group of Eight, regional and subregional organizations and, where appropriate, nuclear-weapon-free zones, which could add value in the implementation of resolution 1540 (2004), by expanding formal and informal working relationships with these bodies.	0
The Security Council condemns the violations of human rights and international humanitarian law committed by members of the FARDC, including the massive violations committed in Minova on November 24, 2012, and calls upon the Government of the Democratic Republic of the Congo to swiftly apprehend those responsible for these violations, regardless of their military rank.	0
During the Committee's informal consultations on 22 May, the Coordinator of the Monitoring Team made an oral presentation on the current threat to international peace and security posed by Al-Qaida and its associates.	0
- Call for strict compliance by the parties to an armed conflict with the applicable rules of international humanitarian law, including.	1
a) Request the African Union to maintain AMISOM troops in Somalia after the withdrawal of Ethiopian forces and offer the following assistance to support the strengthening of the mission;	0
Increasingly, attacks in Afghanistan show the influence of Al-Qaida methods in Iraq and suicide bombings and beheadings have become more frequent and are shown on television.	0
From the fact that those who committed these acts of violence knew that they would enjoy impunity, it can be easily deduced that they were aware that these acts were part of a systematic attack against the civilian population.	0
While Al-Qaida has not developed as an organization and its senior leadership has not been able to focus its followers on key operational issues or galvanize them to take concrete action, as a movement Al-Qaida has continued to grow, inspired by a general message of resistance to real or imagined injustices.	0
Increased accountability for human rights violations, including gender-based violence; creation of gender-sensitive legal instruments. G.5 Formulation and implementation of gender-sensitive victim support programs, including legal assistance and witness protection programs.	0
Noting that it was unclear how many people had lost their lives in the days of fighting, he said that ceasefire monitors from the Intergovernmental Authority on Development (IGAD) had blamed the opposition for starting the conflict.	0
The Janjaweed, to whom most of the victims in the current conflict refer, are Arab militias that raid the victims' villages, mounted on horses or camels, to kill, loot, burn and rape.	0
Drug trafficking and transnational organized crime	0
Reiterating the need for all States and non-State parties to conflict to comply fully with their obligations under applicable international law, including the prohibition of all forms of sexual violence,	1
(a) On 14 October 2002, the editors-in-chief of two newspapers close to the Ivorian Popular Front (Notre Voie and L'Actuel) were attacked. The editor-in-chief of Le Nouveau R̩veil and members of his staff were physically assaulted;	0
We urge the Government of Haiti to take strong measures to prevent such violence and to ensure that those responsible for such acts are brought to justice.	0
(c) Encourage States to take measures to prevent informal workers' remittance networks from being misused for the purpose of terrorist financing.	1
President Bashir's intention in his June 19, 2004 pledge to disarm the Janjaweed was that it would apply only to the bandits, not to the Popular Defense Forces, the popular police or other tribesmen armed by the state to fight the rebels.	0
He had been asked to help film the transfer of the vehicles on February 14, 2005 during the meeting with the Judge in charge of the investigation, but nothing more had been said about the transfer of the vehicles.	1
"(a) To determine the facts and circumstances related to the incidents that occurred on April 28-29 and May 23, 24 and 25, as well as other related events or problems that led to the crisis, including issues related to the functioning of the security sector;	0
What distinguishes this category of crimes from the category of war crimes is that they are not isolated or sporadic infractions but transgressions that a) can occur both in peacetime and in a time of armed conflict and b) are part of a widespread or systematic practice of atrocities (or attacks) against the civilian population.	0
The adoption of a presidential statement calling, inter alia, for the reaffirmation of international solidarity in the fight against terrorism and urging Member States to make greater efforts in the fight against terrorism.	1
In this context, the Security Council welcomes the decision taken by the African Union Summit in Sirte on July 3 to increase AMISOM's strength to reach the prescribed troop level, and calls on AU member states to provide the necessary military and police personnel.	1
In addition, a mobile team has been created to visit the most remote communities, especially minority communities, for which access to information centers would be difficult.	1
This report examines various aspects of the small arms issue, with a particular focus on the negative impact that illicit small arms have on security, human rights and social and economic development, especially in crisis and post-conflict areas.	0
Following informal consultations, on 14 September, the Council unanimously adopted resolution 1560 (2004), submitted by the German delegation, by which it extended the mandate of the United Nations Mission in Ethiopia and Eritrea (UNMEE) until 15 March 2005, approved the adjustments to UNMEE, including its presence and operations, recommended by the Secretary-General in paragraphs 13 to 18 of his report, and requested the Secretary-General to continue to monitor the situation closely, with a view to reviewing the mandate of the Mission, including its presence and operations, as recommended by the Secretary-General in paragraphs 13 to 18 of his report, and requested the Secretary-General to continue to monitor the situation closely, with a view to reviewing the Mission's mandate in the light of the progress made in the peace process and the changes made to UNMEE.	1
Another noted that it was preparing to establish a national human rights institution.	1
Moreover, in principle, the establishment of a hierarchical relationship between the Office of the Ombudsman and the Secretariat on substantive matters entails a direct and significant encroachment on the independence of the Office, in theory and in practice.	1
The UNOCI police component is responsible for providing support, monitoring and advice to the Ivorian national police and the mixed police units deployed in the former zone of confidence and the 600 Forces nouvelles police auxiliaries that were trained by UNOCI in 2006 and are deployed in the northern part of the country.	0
The impunity of these high-ranking officials is unacceptable and prevents post-conflict communities from recovering in a sustainable manner.	0
The evidence before the Commission indicates that nine persons were killed and three seriously wounded by gunfire during the armed confrontation that took place in Taci Tolu/Tibar, as described in paragraphs 67 and 68.	0
In fact, in most cases the attacks were intentionally directed against the population and civilian objects.	0
In response, the UNMIK Department of Justice established a joint working group with the institution-building component to review the report and consider ways to implement its recommendations.	1
CTED will continue to enhance its cooperation with relevant United Nations bodies, including the Analytical Support and Sanctions Monitoring Team established pursuant to Security Council resolution 1526 (2004) and the group of experts assisting the Security Council Committee established pursuant to resolution 1540 (2004), as well as with various international, regional and subregional organizations, especially in the framework of the Committee's visits to States.	0
In addition, on November 15, 2004, the Office of the United Nations High Commissioner for Refugees (UNHCR) reported that 203,051 people from the Darfur region were living as refugees in 11 camps and other locations in eastern Chad along the border with Sudan.	0
Within one week of the Committee's approval of its policy guidelines in a given area, the Executive Directorate must prepare the corresponding implementation plan and submit it to the Committee for approval.	1
On 25 July, I informed the Security Council of my decision to appoint Peter van Walsum (Netherlands) as my Personal Envoy for Western Sahara to assist me in assessing the situation and exploring with the parties and neighboring States and other stakeholders how best to break the political impasse in which we find ourselves.	0
In order to respond effectively to the asymmetric nature of the terrorist threat, it is essential to strengthen cooperation through the ongoing exchange of information between law enforcement, border security and intelligence agencies.	0
Five states are not yet parties to the Firearms Protocol, but almost all have adopted OAS legislation criminalizing the illicit manufacture, possession and trafficking of small arms and light weapons, ammunition and explosives.	0
The Committee plays a crucial role in United Nations counter-terrorism efforts by maintaining, updating and improving its Consolidated List of individuals and entities associated with Al-Qaida and the Taliban and by effectively following up on the implementation by Member States of sanctions against listed individuals and entities.	0
The European Union's decision to initiate negotiations for a Stabilization and Association Agreement is an essential element in this regard.	1
The Security Council further reaffirms its determination to combat by all possible means threats to international peace and security caused by terrorist acts, in accordance with the Charter of the United Nations.	1
This means that its mandate is to establish facts related to possible transgressions of international human rights and humanitarian law committed in Darfur.	1
Safe, voluntary and dignified return and reintegration Calls upon all parties concerned to ensure that all peace processes and agreements and all planning for post-conflict recovery and reconstruction take into account the special needs of women and children and include specific measures for the protection of civilians, including .... (iii) the creation of conditions conducive to the voluntary, safe, dignified and sustainable return of refugees and internally displaced persons.	0
Human rights violations continued to be reported, many of them associated with untrained elements integrated into the FARDC from the Congr̬s national pour la d̩fense du peuple (CNDP) and armed groups.	0
As of October 1, 2005, the Mission had 121 military observers and 12 civilian police officers (see annex).	0
At the 6897th meeting of the Security Council, held on December 20, 2012, in connection with its consideration of the item entitled "Post-conflict peacebuilding", the President made the following statement on behalf of the Council:	1
- Call for strict compliance by parties to an armed conflict with applicable international humanitarian and human rights law in relation to the protection of women and girls affected by armed conflict.	1
At the 5052nd meeting of the Security Council, held on October 6, 2004, in connection with the Council's consideration of the items entitled "Justice and the rule of law: the role of the United Nations" and "Post-conflict national reconciliation: the role of the United Nations", the President of the Security Council made the following statement on behalf of the Council:	1
49. Confirms that no matter should remain pending before the Committee for more than six months, unless the Committee determines, in a particular case, that extraordinary circumstances exist that require more time for consideration, in accordance with the Committee's guidelines;	1
17. On January 7, 2003, the Military Court sentenced to death 30 of the 150 persons initially accused of complicity and/or participation in the assassination of President Laurent Decir̩ Kabila.	0
Notes that the excessive accumulation and destabilizing effect of small arms and light weapons represent a significant obstacle to the delivery of humanitarian assistance and can exacerbate and prolong conflicts, endanger civilians, and undermine the security and confidence necessary for the restoration of peace and stability ...	0
The program collects information at the national level on all persons who have been arrested or have been allegedly involved in minor bank or credit card fraud or travel document offenses.	0
In its resolution 2140 (2014), the Security Council imposed, for an initial period of one year from the date of the resolution's adoption, an asset freeze and travel ban on individuals and entities engaged in or supporting acts that threaten the peace, security or stability of Yemen.	0
In addition to the dramatic increase in the inflow of arms into Somalia, both sides are also very active in distributing arms and ammunition to their militias, equipping their men with combat gear, procuring and stockpiling food, medicine, fuel and other necessities to engage in sustained combat, organizing themselves into military-type structures, intensifying the recruitment and training of militias, and devising strategies and plans to militarily defeat the adversary.	0
It seems clear that listed terrorists still manage to raise and receive funds from sympathizers outside their inner circle.	0
The Mission procured specialized equipment (armored ambulances, mine-protected vehicles and medical equipment); trained 3,063 troops in the prevention and mitigation of the effects of improvised explosive device attacks and 1,481 troops in first aid; introduced mentoring activities for the Mission's two explosive ordnance disposal companies with limited experience in asymmetric environments; and built capacity (three weapons identification teams are now operational).	0
The Commission is convinced that Oan Kiak and his men were involved in the crimes against life and limb that occurred on the afternoon of May 25 at the barricade set up near the Lama Market, as indicated in paragraph 87.	0
"Our conclusions regarding a surface or subsurface explosion are based on the following examinations:	0
It encourages them to redouble their efforts to provide security for civilian populations on their territory, including foreigners whom they take in as refugees.	1
Reaffirms the importance for the Government of [affected country] to continue to review and reform the security sector in the country, in particular the need to delineate the roles and responsibilities of the [national security forces of the affected country], strengthen legal frameworks and improve civilian oversight and accountability mechanisms for both security institutions, supports the work of the Special Representative of the Secretary-General in promoting the professionalization of the security sector and requests [the Mission] to continue to provide support, as requested by the Government of [the affected country], for its efforts in the country;	1
The important political results of the high-level meeting on counter-terrorism held by the Security Council on January 20, 2003 in New York have brought greater recognition to the central role of the United Nations in the fight against this global threat.	1
52. Reiterates the need for closer cooperation among the Committee, the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004), as well as their respective expert groups, including, where appropriate, through enhanced exchange of information, coordination of country visits as part of their respective mandates, facilitation and follow-up of technical assistance, relations with international and regional organizations and agencies, and other matters of importance to the three committees, expresses its intention to provide guidance to the committees on matters of common interest in order to better coordinate their activities and facilitate such cooperation, and requests the Secretary-General to make the necessary arrangements for the groups to share facilities as soon as possible;	1
In addition to its visit reports, the Team submitted some 15 working papers in response to requests from the Committee. The papers covered topics such as the reporting strategy of Member States; listed individuals believed to be dead; exemptions to the travel ban; cooperation with INTERPOL; humanitarian exemptions; possible cases of non-compliance; private financial sector views on the sanctions regime; the checklist; working with international and regional organizations; the use of the Internet for terrorist purposes; and a chart of Member States' experiences in implementing the sanctions.	1
CTED is also spearheading a three-year global initiative on behalf of the Counter-Terrorism Implementation Task Force (CTITF) Working Group on Combating the Financing of Terrorism, supported by a number of donor States and organizations, aimed at reaching a common understanding of practices that are effective in combating the financing of terrorism within this sector.	0
Details of the visits are as follows: 8 in-depth visits (Cambodia, Egypt, Lao People's Democratic Republic, Libyan Arab Jamahiriya, Saudi Arabia, South Africa, Uganda and Uzbekistan); 2 regional visits to 6 countries in total (Belgium, Denmark, Luxembourg and the Netherlands in Western Europe; and Burkina Faso and Senegal in West Africa); 7 specific visits (Australia, Madagascar, New Zealand, Panama, Republic of Korea, Singapore and the United Kingdom of Great Britain and Northern Ireland); and 3 follow-up visits (Bangladesh, Kenya and Mali).	1
According to his statement, he was in his office when he was alerted about the explosion.	0
The Team noted in its second report (S/2005/83, para. 135) that the European Union, the most developed of these areas, guarantees its citizens freedom of movement within the territory of its 25 Member States, while the Schengen Agreement eliminated border controls between many of the European States, while strengthening controls at the external borders of the Schengen area and increasing judicial and police cooperation within the Schengen system.	0
The Security Council also reiterates its support for the Special Representative of the Secretary-General, Mr. Ahmedou Ould Abdallah, for his efforts to advance the political process in Somalia.	1
Phone records show that four calls were made to Syrian intelligence officer Jamea Jamea, at 11:42 am, 6:14 pm, 8:23 pm and 8:26 pm. According to a witness, Abdel-Al visited Jamea Jamea's office at 7:30 p.m. on the evening of the explosion, and during the visit they discussed Mr. Abu Adass.	1
The Security Council stresses the need to bring to justice those who perpetrated, organized, financed and sponsored this reprehensible act of terrorism, and urges all States, in accordance with their obligations under international law and resolution 1373 (2001) and consistent with resolution 1624 (2005), to cooperate actively with the Algerian authorities in this regard.	1
As explained in Article 7(2)(d) of the Statute of the International Criminal Court, which may be considered as codifying customary international law on the subject, deportation or forcible transfer of population means the removal of the persons concerned, by expulsion or other coercive acts, from the area in which they are lawfully present, without grounds authorized by international law.	0
UNOCI closely monitors and reports to the Security Council on incitement to hatred and violence in the media on a monthly basis and will further strengthen its media monitoring and analysis capacity in the run-up to the elections.	0
Law enforcement agencies are well structured and special counter-terrorism bodies, committees and units have been established.	0
The Committee shall consider, based on the proposal of the Executive Directorate, the adoption of a communication strategy aimed at promoting the visibility of the role and activities of the Committee and the Executive Directorate in the fight against terrorism.	1
Urges all States to cooperate, inter alia, in strengthening the security of their international borders, in particular by combating the use of fraudulent travel documents and, to the extent possible, by implementing more effective terrorist screening and transport security procedures, with a view to preventing persons guilty of the acts referred to in paragraph 1 (a) from entering their territory;	1
The Arab Movement for Azawad (MAA), the Coordination of Patriotic Resistance Movements and Forces (CM-FPR) and the Coalition of the People for Azawad (CPA), as parties to the Preliminary Agreement for the Holding of Presidential Elections and Inclusive Peace Talks in Mali, signed on June 18, 2013 in Ouagadougou;	1
Once the future status is determined, it will be necessary to have an international presence (military and civilian) with the necessary resources to lead the implementation of the agreement in a stable and orderly manner.	0
The Mission continued to carry out awareness-raising activities within the framework of the "UN Cares" strategy.	0
The guidelines were therefore forwarded to the ILO for consideration and possible action.	1
The Security Council calls upon States in the region to continue to assist each other, to the greatest extent possible, to prevent, investigate, prosecute and punish acts of drug trafficking and related transnational organized crime, and to bring to justice those who finance, plan, support or commit such acts, in accordance with international law.	1
A military advisor from the Department of Peacekeeping Operations (DPKO) answered questions from Council members.	1
The Council authorized the deployment of the United Nations Operation in Burundi (ONUB) with up to 5,650 military personnel, including 200 observers and 125 staff officers, and up to 120 civilian police, and appropriate civilian personnel. ONUB, to be deployed from 1 June 2004 for an initial period of six months, would initially consist of the forces of the African Mission in Burundi.	0
We note that, in his report (S/2008/728), the Secretary-General expresses concern about the security situation in the eastern Democratic Republic of the Congo.	0
Encourages troop- and police-contributing countries, in consultation with the Secretary-General, to consider measures they could take to increase the awareness and responsiveness of their personnel involved in United Nations peacekeeping operations to protect civilians, including women and children, and to prevent sexual violence against women and girls in conflict and post-conflict situations, and to deploy, whenever possible, a higher percentage of women in police or peacekeeping forces.	1
Incorporation of a gender perspective in coordinated actions to prevent and respond to armed conflicts and humanitarian emergencies.	0
Although they have not officially accepted Al-Shabaab as part of Al-Qaida, Usama bin Laden and Aiman al-Zawahiri (QI.A.6.01) have expressed clear interest in the situation in Somalia and have used it as a point of attraction to recruit troops around the world for paramilitary training and indoctrination.	0
On July 26, 2005, the Security Council adopted resolution 1612 (2005) on children and armed conflict.	1
Under international human rights law, it is incumbent upon states to ensure the protection and preservation of human rights and fundamental freedoms at all times, both in times of war and in times of peace.	0
The implementation of a more proactive communication strategy to increase understanding of the role of the Committee and the Executive Directorate in the area of counter-terrorism.	1
The Security Council calls on Burundi to prevent the provision of any support from its territory to armed groups in the Democratic Republic of Congo.	0
In the discussions on the role of the President, several participants recognized that two "traps" should be avoided: first, trying to achieve national objectives in order to direct the Council's work toward specific interests; and second, assuming a type of leadership that is too detached and formulaic.	1
(d) Issuing the declaration of exceptional risk for the purposes of article 1 (c) (ii) of the Convention on the Safety of United Nations and Associated Personnel in cases where, in his opinion, the circumstances so warrant, and inviting the Secretary-General to advise him when, in his opinion, the circumstances warrant such a declaration;	1
Another delegation considered that the active protection of civilians should not be confused with the neutralization of armed groups through offensive tasks.	0
- Mandate United Nations peacekeeping operations and other relevant missions authorized by the Security Council, in cooperation with relevant States, to promote the establishment of effective mechanisms for the investigation and prosecution of violations of international humanitarian law or other serious violations of human rights law.	1
Pro-government militias have played an important role in the Government's security-related activities in C̫te d'Ivoire, especially in the western part of the country.	0
(j) Unlawful detention, abusive treatment in Eritrean prisons, and inhumane treatment and poor quality of food and accommodation in detention camps;	0
