es_en_GOOGLE	MatConf
Emphasizing the importance of humanitarian aid operations and condemning all acts or threats of violence against United Nations personnel and humanitarian actors and any politicization of humanitarian assistance by the Taliban and associated groups or individuals,	0
Progress can be hampered if international actors have divergent objectives, parallel initiatives emerge, and countries in the region support non-signatory movements, thereby undermining attempts to persuade movements to join the peace process.	1
As a result, 1,045 soldiers were killed and 1,452 soldiers and 692 civilians were injured.	1
(d) The Committee shall ensure that measures taken by Member States to combat terrorism are consistent with their obligations under international law, in particular human rights, refugee and humanitarian law;	0
e) Carry out joint patrols with the anti-riot units of the national police to improve security in the event of civil unrest.	0
The attack forced many civilians to seek refuge outside the town, the Sudanese Armed Forces suffered dozens of casualties, and the SML/A seized large quantities of weapons, ammunition, fuel and other supplies. On 29 September there was another attack on the town of Tawilla itself, when units of the police and the Sudanese Armed Forces entered the town and then the adjacent Dali camp for internally displaced persons, shooting indiscriminately at civilians, without any provocation.	1
Furthermore, minors are not always separated from adults, and some prisoners are held in pre-trial detention for long periods, sometimes up to ten years.	1
We urge Israel to end its military incursions into Gaza.	0
Meanwhile, on August 5 and 22, respectively, the first two formed police units were deployed.	1
In particular, consideration should be given to expanding the dissemination of job advertisements by referring them to professional associations and modifying the language requirements of positions.	0
Equipment for weapons detection and surveillance has been installed at Azerbaijan&#39;s international border crossings.	0
Furthermore, many modern state institutions were created during the UNTAET period, including the National Parliament, the Council of Ministers, local government structures, the police service and the defense force.	0
It was reported that more than 2,000 murders had been committed in Nyakunde and that the population had fled to the forests.	1
However, it is unlikely that the FARDC contingents deployed in the province will be able to establish effective and sustained control throughout Katanga and substantially limit the Mayi-Mayi&#39;s ability to harass the local population and illegally exploit natural resources. .	1
The Council urges MONUSCO, BINUCA, UNMISS and other United Nations actors present in the LRA-affected region to continue to engage with regional forces and non-governmental organizations to promote defections and support disarmament efforts, demobilization, reintegration, repatriation and resettlement in the area affected by the Army.	0
I also welcome the initiatives being taken by the Lake Chad Basin Commission to find durable solutions and combat terrorism, violent insurgency and extremism through a common strategy.	0
j) Unlawful detention, abusive treatment in Eritrean prisons, and inhuman treatment and poor quality of food and accommodation in detention camps;	1
In some of these incidents the Janjaweed have contributed to the destruction, including by causing harm to civilians and committing large-scale theft during or after fighting.	1
Eritrea has been organizing, training and sending to Ethiopia all types of gangsters and terrorist elements to create confusion in our country and cause political instability.	1
However, it is worth noting that without a strong justice and security sector, the flourishing peace and stability in the country could be threatened.	0
However, we are concerned that key decision-making is so far being undermined by a lack of political consensus.	0
On 12 February 2013, the Security Council held an open debate on the protection of civilians in armed conflict, addressing the five core challenges identified by the Secretary-General. On 17 July 2013, the Security Council addressed the issue of the protection of journalists in another open debate.	0
It is generally agreed that the intensification of attacks coincides with the intensification of the internal armed conflict between the Government and the two rebel movements, that is, the SLM/A and the JEM.	1
States should be able to apply required legal measures, such as the seizure of funds, whenever there is suspicion of money laundering or financing of terrorist acts.	1
As a result of these attacks, more than 1,000 civilians were displaced. The police took no action against the Janjaweed.	1
Concerned about armed activities and banditry in [the affected countries], which pose a threat to the security of the civilian population, the conduct of humanitarian operations in those areas and the stability of those countries, and which give rise to serious violations of human rights and international humanitarian law.	0
The rebels, wearing various military uniforms, attacked the local office of the National Security and Intelligence Service, setting it on fire, and shot at the office of Sudan Telecommunications.	1
The Group investigated the supply of such vehicles to northern CÃ´te d&#39;Ivoire but encountered the difficulty that it was unable to carry out a thorough inspection of FN vehicles, although it managed to photograph several of them in a military convoy in Bouake .	0
On 7 October, Special Adviser to the Secretary-General, Sigrid Kaag, briefed the Security Council on the implementation of resolution 2118 (2013) in private consultations. The Special Adviser focused her intervention on four topics: the closure of the Joint Mission of the Organization for the Prohibition of Chemical Weapons and the United Nations on September 30; progress made in implementing plans for the destruction of the remaining 12 chemical weapons production facilities; the issue of discrepancies in the original statement made by the Syrian Arab Republic; and reports of the use of chlorine gas in the Syrian Arab Republic.	0
However, we do not believe that sovereignty requires that the Council remain silent when Governments massacre their own populations, threatening regional peace and security in the process.	0
To continue in this fight, it is necessary for the international community to make a greater contribution and pay more attention to this important aspect of the fight against terrorism.	0
Training is an essential precursor to the success of any attack, and it is important to remember that the arms embargo specifically addresses this aspect (resolution 1617 (2005), paragraph 1 (c)).	1
As of 1 October 2005, the Mission had 121 military observers and 12 civilian police officers (see annex).	1
Indeed, the 1540 Committee appears to be uniquely positioned to foster cooperation between these entities and explore funding opportunities.	0
Some witnesses living in Anka reported that at approximately 5:00 p.m. on the same day, between 300 and 400 Janjaweed militiamen traveling on foot and another 100 on camels and horses advanced towards Anka from Barey.	1
In particular, I urge the Abkhazian side to honor its previous commitments and allow the opening of an auxiliary human rights office in Gali, allow education in the mother tongue of local youth, Georgian, and accept the deployment of police officers of UNOMIG in the Gali district.	0
Faced with this clear situation of threat to international peace and security, we hope that the Security Council will act without the double standards that characterize it on this issue and adopt, urgently and decisively, the draft resolution presented by Algeria on behalf of the countries that make up the Group of Arab States.	0
Recalling the right to freedom of expression contained in Article 19 of the Universal Declaration of Human Rights, adopted by the General Assembly in 1948 (&quot;Universal Declaration&quot;), and also recalling the right to freedom of expression, which is proclaims in article 19 of the International Covenant on Civil and Political Rights, adopted by the General Assembly in 1966, and that only those restrictions may be imposed on these rights provided for by law and that are necessary in accordance with the provisions of paragraph 3 of article 19 of the Covenant,	0
Although terrorism is not expressly mentioned as a recurring event, there is no doubt that it is a cause for concern, since many of the factors mentioned could encourage terrorist acts in the region.	1
The Council also deplored the adoption by the Kosovo Assembly of that resolution, and agreed with the view of the Special Representative that such resolutions and decisions of the Assembly relating to matters not within its sphere of competence were null and void. .	0
There was a brief exchange of views, during which a Council member expressed his views on UNDOF and a troop-contributing country posed some questions to the Department of Peacekeeping Operations.	0
a) The Maoist army recruited a considerable number of children just before the signing of the Comprehensive Peace Agreement.	1
It will also assist the Committee in assessing technical assistance needs with a view to finding more effective means of facilitating the provision of such assistance to Member States in need.	0
:: June 2, 2005: Journalist Samir Kassir dies when his car explodes in east Beirut.	1
There are also credible reports that more than 20 people may have disappeared, although their relatives are too scared to report their disappearance to the relevant authorities.	1
The protection of civilians is a long-ignored obligation in Somalia.	0
3. Killings of detained enemy combatants	1
What the Security Council must do now is assure the courts that the sanctions regime established under Security Council resolution 1267 (1999) (the 1267 sanctions regime) is equitable and, with greater support of Member States, reaffirm its original purpose of ridding the world of the threat of terrorism from Al-Qaida, the Taliban and individuals and entities affiliated with them.	0
For example, States in the Sahara region find it difficult to address the problem of mobile training camps run by the Al-Qaida organization in the Islamic Maghreb (QE.T.14.01.).	1
:: On November 5, 2014, regime forces attacked Hazrma Primary School in Rural Damascus; a child was injured.	1
It should be noted that neither movement made its arguments from a tribal point of view, but rather spoke on behalf of all Darfurians, and directed its attacks primarily against government establishments.	1
It also recommends that, of the people who received weapons from the F-FDTL on May 24 and 25, only those who subsequently used them in criminal activities be prosecuted.	1
Council members welcomed the efforts made by the Government to combat the Lord&#39;s Resistance Army, as well as the regional cooperation initiative of the African Union to eliminate the Lord&#39;s Resistance Army and appoint a special envoy of the African Union to coordinate the initiative.	0
The Commission&#39;s recommendation for a referral from the Security Council to the International Criminal Court is based on the correct assumption that Sudanese courts are unable and unwilling to prosecute the numerous international crimes committed in Darfur since 2003.	0
In addition, human rights defenders reported cases of robberies, acts of violence and looting perpetrated by law enforcement forces and the civilian population against the inhabitants of these neighborhoods.	1
Throughout 2007, there were more than 8,000 casualties in Afghanistan as a result of incidents involving insurgents (A/62/722-S/2008/159, para. 17), compared to 6,000 deaths in 2006 in acts of violence of all kinds.	1
According to Article 31 of the National Security Law, when the Director General issues an order, security agents can carry out arrests, searches, detentions and investigations. The agent has a period of three days to inform the detainee of the reasons for his arrest and detention.	1
It will also organize meetings with the Monitoring Team and experts of the Committee established pursuant to resolution 1540 (2004), in order to discuss matters of common interest and ensure appropriate coordination of work.	0
In the case of Darfur, this intention of persecution and discrimination can be found, on many occasions, in some Arab militias, as well as in the central Government: systematic attacks against villages inhabited by civilians (or mostly by civilians) belonging to some tribes &quot; &quot;African communities&quot; (Fur, Masalit and Zaghawa), the systematic destruction and burning of these villages and the forcible displacement of civilians from them indicate a clear intention of persecution.	1
The Commission notes that crimes of sexual violence committed in Darfur can be considered rape, crimes against humanity, or sexual slavery, a crime against humanity.	1
Three days later, the Jaleele purchased 25 AK-47 assault rifles, 2 anti-aircraft machine guns, 6 PKM machine guns, 4 RPG-2 rocket launchers and ammunition.	1
89. The National Security and Intelligence Service forces are regular forces whose mission is to supervise the internal and external security of the Sudan, monitor relevant events, analyze their significance and dangers, and recommend protective measures.	1
Clashes also occurred between armed groups affiliated with the Government of Mali and armed groups represented at the Algiers talks, despite the commitment that the various parties had made to respect a ceasefire. On October 9, French and Nigerian forces intercepted and destroyed a convoy carrying weapons, mortars and anti-aircraft weapons, advancing through northern Niger towards Mali. The recipient of the weapons was allegedly Ansar Dine. On October 12, Mauritanian security forces arrested four people suspected of establishing contact with jihadists and recruiting for the Islamic State of Iraq and the Levant (ISIL) in the mining town of ZouÃ©rat, in the north of the country.	1
Colonel Reis and Mr. Malik had a heated argument.	0
Security incidents related to UNMIS movements in Southern Sudan continued to occur during the reporting period.	1
&quot;The Security Council notes with concern the postponement of the first round of the presidential elections, scheduled to take place on November 29, 2009, according to the statement dated May 18, 2009 of the Permanent Consultative Framework established by the Political Agreement of Ouagadougou, had been approved by all the main political actors in Côte d&#39;Ivoire.	0
The conversation lasted 5 to 10 minutes, during which the shooting continued.	1
The analysis of the threat posed by terrorist groups on the African continent is a cause for great concern, since, rightly or wrongly, it groups political, religious and ideological extremism with organized crime.	0
The LRA carries out a protracted and particularly violent insurgency in northern Uganda, which has led to the death, kidnapping and displacement of thousands of innocent civilians in Uganda, Sudan and the Democratic Republic of the Congo.	1
3. Complications in the prevention and resolution of conflicts	1
In this sense, I would like to emphasize once again that, unlike other well-known situations that involve unfounded and illegitimate territorial claims, including those that are hidden behind the invented pretext of serving ethnic minority groups, the right to freedom of movement has been recognized. determination and statehood of the Palestinian people.	0
1) The offender will be punished with a prison sentence of 3 to 10 years or confiscation of property:	1
In addition to other reliable data, the Commission has recorded the testimonies of several people arrested in connection with the conflict in Darfur, who are currently detained in Khartoum, who spoke of the torture and inhuman and degrading treatment to which they were subjected.	1
General Moges concluded his presentation by warning that, with the arrival of the dry season, the risk of a resumption of hostilities was greater, which is why UNISFA had increased patrols, but he stressed that without dialogue it would not be possible to prevent the situation would deteriorate at some point.	0
These sites range from those that promote the cause of certain individuals, such as Shamil Basayev in Chechnya, or groups, such as Lashkar-E-Tayyiba in Pakistan, to those that seek to justify Al-Qaida-related terrorism in general, such as Voice of Jihad, or those who offer training to terrorists, such as Al-Battar.	1
In 2014, in response to resolutions 2083 (2012) and 2161 (2014), and to further promote the implementation by national authorities of the Security Council sanctions regimes, the Division standardized the format of all lists of Council sanctions and established the Consolidated Security Council Sanctions List, which contains the names that appear on all sanctions lists of the Council&#39;s sanctions committees.	0
The Janjaweed, to whom most of the victims in the current conflict refer, are Arab militias that attack the victims&#39; villages, mounted on horses or camels, to kill, loot, burn and rape.	1
The Government of the Sudan and rebel groups were also urged to work together under the auspices of the African Union and President Olusegun Obasanjo of Nigeria; The Secretary-General was requested to rapidly establish an international commission of inquiry to immediately investigate all allegations of violations of international humanitarian law and human rights law by all parties in Darfur, including whether or not any violations had occurred. not acts of genocide; and stated that the Council, in the event that the Government of the Sudan does not fully comply with resolutions 1556 (2004) and 1564 (2004) or, as determined after consultation with the African Union, does not fully cooperate in the expansion and enlargement of the African Union Observer Mission in Darfur, would consider further measures as provided for in Article 41 of the Charter of the United Nations.	0
This appears to be aimed at projecting an image of an alleged Serbian threat to Kosovo and Metohija.	0
They informed UNMIK that a draft amnesty law covering political prisoners detained in Serbia would be submitted to the Parliament of the Federal Republic of Yugoslavia as soon as possible.	0
However, the Security Council and the Committee have made many changes to their procedures over the years that increase transparency and recognize basic standards of fairness that would apply if their decisions were judicial.	0
c) Looting by Eritrean soldiers of private homes, businesses and other entities;	1
The High Representative and Special Representative made it clear that since the Republika Srpska authorities, in particular the Ministry of the Interior, had not arrested individuals who had been indicted for war crimes, and since Bosnia and Herzegovina had not joined the North Atlantic Treaty Organization Partnership for Peace, the Commission would be tasked with making recommendations with a view to establishing a single and effective police structure throughout the territory of Bosnia and Herzegovina.	0
Both the resolution and the Convention establish that, for the crime of financing terrorism to exist, it is not necessary that the funds intended to finance the terrorist act be the product of a crime and neither that it has been carried out, nor even in a tentative degree.	1
- Unrestricted access of the Group of Experts, in particular to people, documents and places, so that it can fulfill its mandate;	0
217. For example, the Commission would recommend the establishment of a national compensation programme, which would not simply amount to monetary compensation but should consider all measures necessary for this purpose, including recognition of fault, compensation for tangible economic damages , the public and complete dissemination of the facts in question (including through the publication of this report), the establishment of rehabilitation programs and administrative sanctions against the people of the responsible institutions.	0
Member States should be requested to use, as necessary, the INTERPOL global police communications system &quot;I-24/7&quot; and the INTERPOL electronic weapons tracking system in their tracing activities.	0
Is genocide more serious than other international crimes? It is widely held that genocide is the most serious of international crimes.	1
- Encourage United Nations peacekeeping missions and other relevant missions authorized by the Security Council, as appropriate and on a case-by-case basis, to support national mechanisms to address issues of housing, land and property or for national authorities to establish such mechanisms.	0
United Nations human rights mechanisms have expressed concern about special anti-terrorism provisions that limit certain rights in some States and which, in turn, could create difficulties for the implementation of international agreements on legal assistance and extradition. .	0
Some States have the ability to freeze funds and assets linked to terrorism without delay, although in most cases this is a limited capacity.	1
&quot;The Security Council recalls its resolutions and the statements of its President on post-conflict peacebuilding, in particular statements S/PRST/2009/23, S/PRST/2010/20, S/PRST/2011 /2 and S/PRST/2011/4, and reaffirms the critical importance of peacebuilding as a foundation for building sustainable post-conflict peace and development.	0
In its resolution 1963 (2010), the Security Council encouraged the Executive Directorate to collaborate with Member States in the development of comprehensive and integrated national counter-terrorism strategies.	0
13. Stresses the need to ensure that all international efforts are aimed at strengthening MISCA and mobilizing the necessary resources in its favor in order to enable it to effectively execute its mandate and pave the way for the potential deployment of a United Nations operation. United Nations peacekeeping, in accordance with the relevant provisions of Security Council resolution 2127 (2013).	0
That the Government of Kuwait&#39;s request for a claim relating to immovable property in relation to a deceased detainee be rejected as in reality a request to submit the immovable property portion of the claim late outside the established filing deadline, and request the secretariat to inform the Government of Kuwait in this regard.	0
Use of the Internet for terrorist purposes to provide training on explosives	1
On 11 November, by a recorded vote of 14 votes in favor and 1 abstention, the Council adopted resolution 2183 (2014), by which it extended the mandate of the Multinational Stabilization Force in Bosnia and Herzegovina (EUFOR Althea) by new 12 month period.	0
Calls on all parties to end violence, attacks on civilians, peacekeepers and humanitarian personnel and other violations of human rights and international humanitarian law...	0
The MPCI fighters informed the Mission that there were other mass graves in the combat zones, a total of five new graves, three of them in Man and two in DananÃ© (72 kilometers from Man).	0
b) Receive from persons included in the List requests for exemption from the measures indicated in paragraph 1 b) of this resolution and transmit them to the Committee to determine, in each case, whether entry or transit is justified, entrusts the Committee to consider such requests in consultation with the States of transit and destination and any other applicable States, further decides that the Committee will only accept exemptions from the measures indicated in paragraph 1 (b) of this resolution upon agreement of the States of transit and destination, and also instructs you, through the focal point, to notify those people of your decision;	0
The payment of several large ransoms to Al-Qaida and its affiliated entities in recent years has made kidnapping one of Al-Qaida&#39;s basic tactics.	1
The regime was modified by resolutions 1333 (2000) and 1390 (2002), which imposed three targeted measures (asset freeze, travel ban and arms embargo) against individuals and entities associated with the Taliban and Al-Qaida. There are also exemptions to asset freezes and travel bans. On June 17, 2011, the Security Council unanimously adopted resolutions 1988 (2011) and 1989 (2011), the provisions of which divided the regime in two, establishing a committee related to Al-Qaida and another to the Taliban.	1
For example, in Western Darfur, rebel forces attacked a police station in Tongfuka in October 2003.	1
On June 2, June 21 and September 25, 2005, several Lebanese personalities were targeted in car bomb attacks in Beirut, resulting in the deaths of Samir Qassir and George Hawi, and serious injuries to May Chidiac. On July 12, 2005, there was another assassination attempt against the Lebanese Minister of Defense, Elias Murr, as a result of which one person lost his life and several others, including the Minister, were injured.	1
The Council recalls that States have the obligation to respect and ensure compliance with international humanitarian law, including the four Geneva Conventions, and emphasizes that they have the responsibility to end impunity and to prosecute perpetrators. responsible for genocide, crimes against humanity and serious violations of international humanitarian law.	0
- Task United Nations peacekeeping operations and other relevant missions authorized by the Security Council, where appropriate and on a case-by-case basis, to contribute impartially to the protection of the civilian population, particularly those is under imminent threat of physical violence, within its areas of action.	1
Regarding certain patterns observed in relation to displacements, the Commission notes that one of the objectives apparently was linked to the Government&#39;s anti-insurgency policy, which was based on eliminating the actual or potential support base of the rebels.	1
Although they report incidents to the police and other government officials, little or no action is taken to arrest those who perpetrate such acts.	1
It is not clear who was responsible for this attack.	1
In most cases, vessels -- thanks to surveillance, situational awareness and a strong reaction in line with best management practices for protection against piracy based in Somalia -- managed to prevent boardings by the attackers.	0
a) The head of the branch in the Office for Disarmament Affairs conducts a substantive review of the project to verify its coherence;	0
C. Support for people affected by the conflict	0
Collaboration with women&#39;s organizations and national governments in support of post-conflict constitutional, electoral and legislative reform processes; institutional capacity building of national systems for women in post-conflict areas.	0
The Office of the Prosecutor has successfully welcomed these exchanges of knowledge and best practices in the area of victim reparation and has encouraged other States to follow this example.	0
The Commission noted with particular alarm that attacks on villages, the killing of civilians, rape, looting and forced displacement have continued during the course of its mandate and believes that urgent measures must be taken to put an end to them.	1
The Security Council recognizes that the human rights of women and girls are at particular risk in armed conflict and post-conflict situations, and notes that in a number of such situations members of civil society involved in Women&#39;s human rights issues can be targeted.	0
The structure and organization of the Syrian and Lebanese intelligence services in Lebanon at the time of the explosion, including information transmission protocols, reveal a highly widespread presence in daily life in Lebanon.	1
Five States have duly established in their domestic legislation their jurisdiction over the relevant offences.	0
At the 5659th meeting of the Security Council, held on 12 April 2007, in connection with the Council&#39;s consideration of the item entitled &quot;Threats to international peace and security caused by terrorist acts&quot;, the President of the Security Council made the following statement on behalf of the Council:	1
In order to have these weapons, Commander da Cruz had disarmed members of the UPF from the eastern districts.	0
As noted above, the Sudanese judicial system has not been able to ensure accountability for crimes committed in Darfur, nor are the authorities willing to do so.	1
The Team has noted that Al-Qaida, the Taliban and their associates will use any available explosives, such as military explosives in conflict zones or the components needed to improvise an explosive device, such as ammonium nitrate, in other areas (S/2007 /132, para. 90).	1
The part of the engine that was found and collected at the crime scene has led to the conclusion that this engine comes from a Mitsubishi vehicle stolen on October 12, 2004 in the city of Sagamihara (Japan).	1
Six children were killed and 44 injured as a result of improvised explosive devices left over from the conflict.	1
