es_en_DEEP	MatConf
Third, the Taliban have seen many mid-level and some senior leaders killed or arrested, and while there are many people who could take their place, the new commanders are younger and have less close ties to the Quetta Shura, which is therefore less able to monitor their conduct and more difficult to assert its authority over the movement as a whole.	1
It is important that special attention is also paid to specialized training activities for investigators, prosecutors and judges in areas such as combating the use of the Internet for terrorist purposes; support and assistance to victims of acts of terrorism; the fight against terrorism with chemical, biological, radiological and nuclear weapons; the fight against transport-related terrorist crimes and the fight against the financing of terrorism.	0
In the resolution, the Council affirmed that the authorizations were applicable only to the situation in Somalia and would not affect the rights, obligations and responsibilities of Member States under international law in respect of any other situation, including rights or obligations under the United Nations Convention on the Law of the Sea, including the general principle of exclusive jurisdiction of the flag State over its vessels on the high seas, stressed in particular that the resolution would not be considered as a precedent of customary international law, and noted that such authorizations had been granted only following receipt of the letter dated 8 October 2014 containing the request from the President of the Federal Republic of Somalia.	0
The information we have received indicates that the special envoy is already studying new accommodating and appeasing agreements in the face of Ethiopia's failure to comply with the conditions of the Algiers Agreement and its rejection of the Boundary Commission's decision.	0
There were also abductions and rapes of women in three Janjaweed camps following the attacks on Korma, northern Darfur, in March 2003.	1
Although the threat from illegal militias in the west will remain low compared to most of Afghanistan, these forces will continue to represent the second most important risk to regional security, after threats related to drugs and delinquency.	1
In Libya, the collapse of state control after the fall of the Gaddafi regime in 2011, together with the ineffectiveness of border controls and the weapons arsenal, led to the development of a significant illicit arms market in the country, which fueled the conflict. existing both within it and in the entire Sahel region.	1
But although the manufacturing method is relatively simple, the product is unstable and unreliable, unlike military explosives.	1
The circumstances under which these murders occurred are still not well known.	1
The prosecution of those accused of piracy and the prison sentences imposed on those convicted send a clear message to perpetrators and their sponsors that impunity will not be tolerated.	1
The Under-Secretary-General also noted that the United Nations had detected an increase in accusatory rhetoric directed against UNMISS by the Government of South Sudan, as well as violations of the UNMISS Status of Forces Agreement.	0
In the Bakool region, also in central Somalia, clashes that occurred on June 10 and 11 between militiamen from the Hadamo and Ogaden clans in the El-Barde area left at least four dead and ten injured. On July 15, at least 16 people were killed and another 20 injured in fighting between rival militias over control of land and grazing rights in the same area.	1
Steps are being taken to strengthen the role of the United Nations Country Support Team, including the hiring of a new head of the Resident Coordinator's Office and identifying additional staff needed.	0
The Syrian government considers the issue of so-called Syrian refugees to be largely spurious information. Syria hopes that the refugees will return to their homeland and that their presence will not be exploited for political purposes. The marked improvement in the security situation has led a considerable number of people to return home and resume their work, something that terrorist groups had prevented them from doing.	1
:: February 14, 2005: Rafik Hariri and 22 others are killed in a massive explosion in a coastal area of ââcentral Beirut.	1
The Government has not adopted the necessary legislative and administrative measures to combat and prevent corruption in provisional institutions.	1
The technical assessment mission met with a wide range of Ivorian and international stakeholders, including President Gbagbo, Prime Minister Soro, the Chiefs of Staff of the Ivorian defence and security forces and the Forces Nouvelles, representatives of political parties and leaders of national institutions responsible for implementing the main processes envisaged in the Ouagadougou Agreement.	0
Recalling its resolutions on the recruitment and use of children and armed conflict,	1
The Team appeared before the Working Group established pursuant to Security Council resolution 1566 (2004) to examine terrorism and sanctions.	0
The Under-Secretary-General noted that 69 humanitarian workers had lost their lives since the start of the conflict, and that sexual violence had been used as a form of torture, to cause injury, to degrade and intimidate and as a form of punishment.	1
We emphasize the tragic consequences that these messages recently had in other places on the continent.	0
States have made considerable progress in establishing anti-money laundering and anti-terrorist financing laws, but there is a need to increase regional cooperation at the operational level.	0
...noting the importance of ongoing assessments of tactics and procedures and subsequent investigations and reviews in cooperation with the Government...in cases where there have been civilian casualties and when the Government... . deems such joint investigations appropriate, as well as continued cooperation with national security forces... towards greater institutionalization of the protection of civilians, especially women and girls,	0
:: On November 29, 2014, regime warplanes launched 2 missiles at the Nawawi Mosque in the city of Ar-Raqqa, killing 11 people, including a child, and wounding 16 others.	1
Those who surrendered or returned to Kailek were held against their will in a small outdoor space for a long time (possibly more than 50 days).	1
Once again, we condemn the killing of civilians, whether Palestinian or Israeli.	0
The main Palestinian factions in Lebanon have expressed concern over the incidents and have disassociated themselves from Fatah al-Islam.	0
Habsade received financial and military support from Atto, Muse Sudi, Sheikh Yusuf Indohaadde and others.	0
Children have been seen wearing uniforms and carrying weapons in and around rebel camps.	1
The benchmarks established jointly by the Malian authorities, MINUSMA and the United Nations team focus on three priority tasks identified in Security Council resolution 2164 (2014), namely security, stabilization and protection of civilians; supporting national political dialogue and national reconciliation; and supporting the reestablishment of State authority throughout the country, the reconstruction of Mali's security sector, the promotion and protection of human rights, and support for humanitarian assistance.	0
Water pumps and wells have been set on fire, cooking utensils destroyed, and crops and trees burned and cut down, both in villages and in the wadis, which are an important source of water for rural people.	1
Notes that civilians constitute the vast majority of internally displaced persons and other vulnerable groups in situations of armed conflict, and are therefore entitled to the protection that must be provided to civilians under existing international humanitarian law.	1
Training of peacekeeping personnel Requests the Secretary-General to ensure that United Nations personnel engaged in peacemaking, peacekeeping and peacebuilding activities have appropriate training in international humanitarian law, human rights and refugee law, including child and gender provisions, negotiation and communication skills, cultural awareness and coordination between civilian and military personnel, and urges States and relevant international and regional organizations to ensure that appropriate training activities are included in their programmes for personnel engaged in similar activities.	0
Law enforcement agencies are well structured and special bodies, committees and units have been established to combat terrorism.	0
There have been reports that women and girls continue to be victims of sexual violence in attacks on their villages, for example during the recent Hamada attack on 13 January 2005, in which several women were raped.	1
The violence that occurred in Rai Kotu on the afternoon of 28 April resulted in the death of a civilian, as described in paragraphs 50 and 51.	1
In this way, it introduces the concept of working towards measurable results regarding the relationship between small arms and development.	0
Furthermore, the disappearance of Mr. Abu Adass on January 16, 2005 has not been explained in a manner consistent with the concept of him becoming a suicide bomber a month later.	1
These weapons are prized for their compact dimensions and because they allow terrorists to attack from afar and cause considerable damage.	1
11. Reaffirms its resolution 1373 (2001) and in particular its decisions that all States should prevent and suppress the financing of terrorist acts and refrain from providing any type of support, active or passive, to entities or persons involved in terrorist acts. terrorists, including by suppressing the recruitment of members of terrorist groups and eliminating the supply of weapons to terrorists;	0
The issue of small arms cannot be addressed by arms control measures alone. It is part of a broader spectrum that intersects conflict, security, armed violence, crime, trade, human rights, health and development.	1
:: Directing attacks against the civilian population or against identified civilians not taking a direct part in hostilities;	1
Many people were subjected to horrific ill-treatment and many others were summarily executed.	1
Two States have missed the ICAO deadline for the introduction of machine-readable travel documents.	0
MINUSMA considers that the treatment received by detainees during arrest and interrogation may amount to torture or other cruel, inhuman and degrading treatment or punishment.	1
Border control requires the establishment of measures and practices for the adequate screening of travellers, refugees and asylum seekers, the effective control and inspection of passenger cargo and baggage, and the detection and prevention of the smuggling of small arms and light weapons, as well as cash and bearer negotiable instruments.	0
The group allegedly has close ties to Al-Qaida in the Arabian Peninsula and has provided training in Somalia to terrorists from Nigeria and other countries close to its borders.	1
Individuals and cells associated with Al-Qaida and its affiliated entities continue to find new targets, tactics and technologies.	0
UNIFEM, UNFPA In post-conflict countries, promoting strategies to address the gender dimensions of reconstruction through needs assessment and transition mechanisms.	0
Turkey has launched the National Unity Project to address socioeconomic inequalities in Turkish society that are said to be fueling Kurdish discontent and recruitment of PKK members.	0
I call upon all stakeholders to ensure that the deadline of 2 January 2015 for the completion of the voluntary disarmament of the FDLR remains binding and non-negotiable.	0
I encourage the Congolese authorities to hold accountable all those responsible for the mass rape and looting in Walikale in July and August 2010.	0
In The Gambia, opposition groups spoke out against state authorities over a lack of accountability for alleged human rights violations. On 4 November, former Chief of Defense Staff General Lang Tamba and six other defendants appealed to the Supreme Court against the death penalty for conspiracy and treason handed down by the High Court in July 2010 and confirmed by the Court of Appeals in October 2012.	1
:: The prohibition of arbitrary deprivation of liberty, corporal punishment, collective punishment and convictions and executions without prior trial before a legitimately constituted court, with all judicial guarantees generally recognized as indispensable.	1
They also went to police stations and the district prosecutor's office to obtain information about the rape cases already reported.	0
The Security Council encourages UNAMI to continue its work, in coordination with the Government of Iraq, to ââhelp create conditions conducive to the voluntary, safe, dignified and sustainable return of Iraqi refugees and internally displaced persons, and hopes that all stakeholders will pay more attention to this matter.	0
However, we are concerned that key decision-making is so far being undermined by a lack of political consensus.	0
In a widely reported comment to the residents of Kulbus, a town that the rebels had failed to capture in December 2003, the President said: "Our priority from now on is to eliminate the rebellion, and our target is anything found "outlaw... We will use the army, the police, the mujahideen and the horsemen to crush the rebellion." The Minister of Justice told the special delegation of the European Parliament's Committee on Development and Cooperation during his visit in February 2004: "the Government has established some kind of relationship with the Janjaweed.	1
Although this is the first time that the United Nations system has undertaken a planning effort of such breadth and complexity, encompassing virtually all major areas of action on women and peace and security, the system-wide action plan provides a wealth of information on ongoing activities within the United Nations system in favour of women in conflict and post-conflict areas.	0
However, the situation remains worrying, since the long borders that separate us are difficult to control.	0
Overall, the Team has observed a high level of commitment to the work of the 1267 Committee and an encouraging overall awareness of the list and actions.	0
Said Arif is associated with Al-Qaida or a cell, affiliated entity, splinter group or derivative thereof for "engaging in the financing, planning, facilitation, preparation or commission of acts or activities carried out" by Jabhet al-Nusra, alias of the Front Al-Nusra for the Peoples of the Levant (QE.A.137.14), "or carried out in or under its name, together with it or in its support" and "recruit for it."	1
As of September 30, 2014, there were still 37 sailors held hostage by Somali pirates.	1
:: On November 30, 2014, regime warplanes attacked the Tayma market in Al-Hasaka, injuring two people and destroying seven stalls. Medical centers	1
In particular, Prime Minister Seniora has informed me that an internal dialogue on the provision of the resolution relating to the disbandment and disarmament of militias is currently underway, which he recently initiated, and he is determined to bring it to a successful conclusion.	0
Likewise, the Force Commander gave us, pursuant to court order No. 206/1735, dated February 18, 2005, written authorization from that party, reference 36/2005, dated February 18, 2005, which included the order to keep the cars of Hariri's entourage at the barracks, cover them with tarps and take them into custody, all of which was done.	1
The stalls had been completely destroyed and the livestock had been stolen.	1
Exclusion of impunity for gender-based violence crimes from amnesty provisions.	1
Since October 2013, it has thwarted two pirate attacks and transferred five piracy suspects to Seychelles for trial.	1
According to witnesses, the villagers fled north towards a forested area located about 5 kilometers from the village.	1
The members of the Commission decided, in order to recommend "measures to ensure accountability for the crimes and serious violations of human rights allegedly committed during the period", and taking into account that, in the opinion of the Government of Timor- Leste, the domestic justice system, which had the participation of international judges, prosecutors and defense lawyers, should be the main instance to establish responsibility for said alleged crimes and violations, which would have to formulate a preliminary evaluation of the existing justice system in Timor-Leste.	0
Organized crime, deeply rooted in political and social life, together with extremism, endangers the very foundations of the principles and values ​​that we are trying to instill in the new institutions that have been established there and make our efforts may result. useless.	0
The use of military components for essential functions can increase the reliability of entire systems, for example, the use of military explosives and detonators in improvised explosive devices.	1
Those early phases of the investigation revealed that no one reported seeing the slightest indication that anything was happening near Mr. Hariri that could have posed a danger to his life.	0
:: Regional and subregional organizations must be part of an integrated counterterrorism approach.	0
A notable recent case was Mali, where the Council did not respond to the Secretary-General's request to create a group of experts to investigate the identity and activities of those involved in transnational and organized crime in Mali and the subregion, and study its impact on general stability, with the possibility of imposing selective sanctions.	0
The President of the Security Council, in his letter inviting non-member States to participate in the wrap-up session, had encouraged all speakers to present frank and focused assessments of the Council's role in addressing any of the mentioned above, or all of them, so that all interventions could serve as a useful guide for the future work of the Council.	0
Progress can be hampered if international actors have divergent objectives, parallel initiatives emerge, and countries in the region support non-signatory movements, thereby undermining attempts to persuade movements to join the peace process.	1
The Security Council invites the Secretary-General to continue to provide it with relevant information and analysis where it considers that it may contribute to improving its work on the protection of civilians in armed conflict, and to continue to include, where appropriate, in the reports to it present in writing on matters before the Council observations on the protection of civilians in armed conflict.	0
They perceive the Kosovo Serbs as tools of Belgrade and, therefore, as part of a lingering threat to their future.	0
These contingents have few weapons, little ground mobility and no air capabilities, and receive minimal logistical and financial support.	1
Many States are unsure what other than a death certificate would suffice for the Committee and the Team recommends that the Committee provide further guidance on what it needs to consider delisting due to death.	0
All States in the subregion have enacted immigration and passport laws to regulate issues relating to the security of immigration and travel documents and have established procedures to determine the true identity of individuals before issuing identity documents.	0
Urging all States, international bodies and regional organizations to allocate sufficient resources, including through international alliances, to address the direct threat posed at all times by Al-Qaida, Osama bin Laden and the Taliban and individuals, groups , the companies and entities associated with them,	0
Notes that the human rights due diligence policy has been developed, encourages the [Mission] to fully implement it, and requests the Secretary-General to include in his reports the progress made in the implementation of this policy;	0
Military and police operations, as well as targeted measures against gang leaders, have increased in districts affected by gang violence.	1
:: Examine how more effective implementation of the women, peace and security agenda can contribute to improving security for all and building lasting peace	0
NATO has provided additional forces to ensure a secure environment for the holding of elections for the National Assembly and Provincial Councils, scheduled for 18 September (see paragraph 15).	0
The Commission found evidence that some Arab tribes had begun to settle in areas previously inhabited by the displaced, thus preventing their subsequent return.	1
Indeed, a greater United Nations presence is vital, but in order to fully exploit the added value of our Organization, the necessary means will have to be available, both in terms of personnel and security, as Mr. Eide recalled a few minutes ago.	0
The Security Council also recalls the horrific terrorist attacks that took place on September 11, 2001 in New York, Washington, D.C. and Pennsylvania, and the numerous attacks carried out by the network around the world.	1
Without creating any new international obligations, this non-binding instrument reiterates the obligation of States to ensure respect for and implement international humanitarian law and international human rights standards under national law, focusing on the role of States in providing adequate, effective and prompt remedies, including compensation, to victims.	0
The Council could play an important role in ensuring the establishment of reparation programs to address the needs of victims;	0
However, we strongly request that greater efforts be made in monitoring information collected from Member States as part of counter-terrorism efforts.	0
:: The prohibition of the use of violence in the form of attacks on life and physical integrity, in particular homicide, mutilation, cruel treatment and torture, forced disappearances, outrages to the dignity of the person, rape, sexual slavery, forced prostitution, forced pregnancies, forced sterilization and any other form of sexual violence.	1
Delegations agreed that the Consolidated List was useful and considered it an important part of national and international efforts to combat Al-Qaida and its associates.	0
Yemeni officials told the Team that around 30% of kidnappings in Yemen were the work of AQAP.	1
Tunisia and the Libyan Arab Jamahiriya expanded, in 2009 and 2010 respectively, their customer due diligence, record-keeping and suspicious transaction reporting obligations to businesses and professions other than the financial sector, thereby expanding the scope of its obligations in the field of combating money laundering and the financing of terrorism.	0
Authorship or co-authorship of international crimes	1
The level of ratification of international instruments has been maintained since 2009 and varies greatly.	0
However, the Commission found no evidence that these kidnappings were widespread or systematic enough to be considered crimes against humanity.	0
Recalling in this context that the killing of members of an ethnic group with intent to destroy it in whole or in part constitutes a crime punishable under international law,	1
Reiterating its request that the Office of the United Nations High Commissioner for Refugees continue to consider the possibility of registering refugees in the Tindouf camps,	0
- Request that the Secretary-General's reports on specific country situations include sexual violence as a specific aspect of the report, including, to the extent possible, disaggregated data on the gender and age of victims, and request that these be developed Mission-specific strategies and action plans to prevent and respond to sexual violence, as part of a broader protection of civilians strategy.	1
The victim stated that she knew 19 of the women who were raped but that there were many more. She thought there were about 50 in total.	1
During the period of operation of the United Nations Transitional Administration in East Timor (UNTAET) there were great changes.	0
The Sudan Liberation Movement and Army appears to be the most important militarily, while the Justice and Equality Movement has a more political character and limited military capacity, especially after the group's alleged split and the subsequent emergence of the National Movement. of Reform and Development (see para. 139 below).	1
In a new show of hostility, Hamas celebrated its 27th anniversary in Gaza with a parade of 2,000 armed fighters and rockets mounted on trucks.	1
(d) An advocacy visit by the Chairman of the CTC or the Executive Director (or both), perhaps accompanied by one or more members of the CTC, designed to raise general awareness of the terrorist threat and to attract significant political attention, from the Government or Parliament concerned, to the importance of implementing resolution 1373 (2001) (for example, through the adoption of counter-terrorism legislation);	0
Available evidence shows that the majority of bodies still in morgues awaiting autopsy have gunshot wounds.	1
The States of the subregion have not indicated the procedures or mechanisms used to prevent and eliminate the movement of terrorists across borders.	1
In Zoran KupreÅ¡kiÄ and others, the Trial Chamber of the International Tribunal for the Former Yugoslavia defined persecution as the manifest or flagrant denial, for discriminatory reasons, of a fundamental right enshrined in customary international law or treaty law, which reaches the same degree of seriousness as the other acts prohibited by article 5.	0
Three days later, the Jaleele purchased 25 AK-47 assault rifles, 2 anti-aircraft machine guns, 6 PKM machine guns, 4 RPG-2 rocket launchers and ammunition.	1
To this end, the Security Council may wish to consider taking strict measures against those who attempt to impede the implementation of these and other key provisions of the Pretoria Agreement, in particular through the imposition of targeted sanctions under resolution 1572. (2004) of the Security Council, November 15, 2004.	1
It should be noted that approximately one week (May 22, 2005) before the second battle of Baidoa, a large consignment of weapons from Yemen arrived at the Bakaaraha market through arms trading networks.	1
b) Work with States and the UNODC Terrorism Prevention Branch to promote best practices and facilitate capacity-building and training of members of the judiciary, law enforcement agencies and other officials competent public bodies with respect to the procedures for requesting and providing assistance in criminal investigations and in judicial assistance and extradition;	0
In the view of another State, any comprehensive State response to combat extremism must take into account the communities themselves as an integral part of the national security framework.	0
Apparently, the population not only aspires but demands that more plural and representative governments generate tangible benefits for citizens.	0
:: There was a need to achieve greater coherence in the establishment and mandates of fact-finding mechanisms;	0
In accordance with paragraph 11 of resolution 1963 (2010), the Committee, with the assistance of its Executive Directorate, held a special session on 28 September 2011 to commemorate the tenth anniversary of the adoption of resolution 1373 (2001) and his own establishment.	0
Thus, taking into account the possible threat that the demonstration posed for the regime and public order, the highest authorities of the State indicated that even if the decree prohibiting the demonstrations had not been promulgated, they would not have allowed or tolerated the march. .	1
Even so, Iraq continues to face terrorist forces that include groups that recruit foreign elements to carry out desperate terrorist attacks and actions in their attempt to destabilize Iraq's political and economic progress.	1
Calls on all those involved in the negotiation and implementation of peace agreements to adopt a gender perspective that takes into account and includes, among other things: a) the special needs of women and girls during repatriation processes and resettlement, as well as post-conflict rehabilitation, reintegration and reconstruction activities; b) measures to support local women's peace initiatives and indigenous conflict resolution processes and to involve women in all mechanisms for the implementation of peace agreements; c) measures that guarantee the protection and respect of the human rights of women and girls, particularly in relation to the constitution, the electoral system, the police and the judicial system.	0
Requests the Secretary-General to continue to assist the Government of [the affected country] in developing transitional security institutions, including the [national] police force and the national security force, and to continue supporting the Government of [the affected country affected] in the development of a national security strategy that contemplates respect for the rule of law and the protection of human rights and includes plans for disarmament, demobilization and reintegration, justice and penitentiary institutions, as well as the legal and regulatory framework necessary for the functioning of its security forces, including governance, vetting and oversight mechanisms.	0
This interpretation is justified according to basic principles of international criminal law according to which there is individual criminal responsibility when a person materially commits a crime, as well as when he or she engages in other forms or modalities of criminal behavior.	1
The Syrian Network for Human Rights was unable to document these cases in detail as they are subject to prohibition and persecution by regime forces and extremist groups.	1
2. Build trust and increase stability within the receiving State by promoting truth and reconciliation.	0
Only two States have criminalized the financing of terrorism, and two others have adopted some legal provisions on the matter.	0
Recalling the responsibility of States to end impunity and prosecute those responsible for genocide, crimes against humanity, war crimes and other atrocity crimes perpetrated against civilians and, in this regard, noting with concern that only a number A limited number of those responsible for acts of sexual violence have been brought to justice, while recognizing that in conflict and post-conflict situations national justice systems can be severely weakened.	0
c) Encourage States to expand the exchange of information between the authorities in charge of border control in the region and to improve border security at points of entry to prevent the illegal cross-border transfer of people, cargo, and weapons and explosives.	0
The population of these neighborhoods was subjected to acts of violence and extortion committed by the security forces.	1
7. Requests the Executive Representative of the Secretary-General to facilitate and promote dialogue between national and international stakeholders, particularly in the context of the upcoming elections, and to continue supporting their efforts to maintain peace and stability;	0
34. Stresses the importance of consultations and cooperation between the United Nations, the International Committee of the Red Cross and other relevant organizations, including regional organizations, in improving the protection of civilians in armed conflict;	0
We consider the issue of strengthening the legitimacy of the Government to be crucial, since a cause-and-effect relationship has been established between such legitimacy and the elimination of resistance on the part of the informal actors and networks that characterize the nature of power in Afghanistan.	0
The system of resolving political differences and protecting interests through the use of arms remains in place, maintained by the current and rapidly increasing acquisition of weapons from outside Somalia, which violates the embargo.	1
Further research is needed into the effects of different forms of communication on the risk and threat of incitement and therefore of terrorist acts. However, the rapid evolution of communications technology in general has arguably increased the risk of incitement worldwide compared to 2005.	0
There has also been no evidence that the Government arrested the perpetrators of attacks against civilians in accordance with the joint communiquÃ© and resolution 1556 (2004).	1
The women were detained by the Janjaweed for three months and some of them became pregnant as a result of the rapes they suffered during their detention.	1
Furthermore, from 23 to 27 April, MONUSCO launched Operation Eastern Shield in the Doruma area after reports of two attacks carried out by the LRA in that area.	1
It is generally agreed that the intensification of attacks coincides with the intensification of the internal armed conflict between the Government and the two rebel movements, that is, the SLM/A and the JEM.	1
Freedom of movement has also been restricted.	1
The victim heard other young women screaming and thought they were also being raped.	1
We call on Israel to take further steps to eliminate settler outposts in accordance with the road map and address the growing threat of settler extremism.	0
Affirming its support for the Personal Envoy of the Secretary-General for Western Sahara, Ambassador Christopher Ross, and his work in facilitating negotiations between the parties, welcoming the consultations he is holding with the parties and neighboring States, and looking forward to his visit to the region, including Western Sahara, in the near future, in accordance with the communiquÃ© of the Informal Meeting on Western Sahara held from 11 to 13 March 2012,	0
The payment of several large ransoms to Al-Qaida and its affiliated entities in recent years has made kidnapping one of Al-Qaida's basic tactics.	1
According to his statement, he was in his office when he was alerted about the explosion.	1
Women and children, especially girls, have been affected by new situations of violence and conflicts related to the proliferation of militias and armed groups, in some cases linked to violent extremism, while many protracted conflicts remain unresolved.	1
(b) Receive from listed individuals requests for exemption from the measures set out in paragraph 1 (b) of this resolution and transmit them to the Committee for its determination, on a case-by-case basis, whether entry or transit is warranted, directs the Committee to consider such requests in consultation with States of transit and destination and any other relevant States, further decides that the Committee shall accept exemptions from the measures set out in paragraph 1 (b) of this resolution only upon agreement of States of transit and destination, and further directs the Committee, through the Focal Point, to notify such individuals of its decision;	0
In many cases, States lack the resources or initiative to carry out patrol or inspection tasks, or joint operations with neighboring States, or to implement a community policing service at the local level. The introduction of these measures along open borders and the implementation of innovative forms of cooperation and assistance to address these issues would help to increase the effectiveness of border controls.	0
The Government of the Syrian Arab Republic emphasizes that it is its duty to protect citizens, disarm terrorists and hold those responsible accountable. The Government reiterates that it is doing everything possible to find a political solution to the crisis that the Syrian Arab Republic is experiencing, in cooperation with the Special Envoy, Kofi Annan, for which it is reinforcing the democratizing measures that it launched in March of the year. past in various sectors. It is worth mentioning, among others, the lifting of the state of emergency; the promulgation of laws on multipartyism; local government elections and media freedom; measures relating to the economic situation of citizens; the promulgation of the new constitution; and other measures to revitalize political participation and promote pluralism and democracy with a view to the approval of a comprehensive reform process.	0
In their interventions, Member States noted that terrorism was one of the most serious threats to international peace and security and that a coordinated and sustained effort was needed to defeat it.	0
An awareness campaign on sexual gender-based violence and children's rights was also organized in IDP sites in the Dar Sila region from 11 to 19 August.	0
:: August 22, 2005: Three people are injured in an explosion in a garage near the Promenade Hotel in the Al-Zalqa area of âânorthern Beirut.	1
This was the third rocket launched from Gaza towards Israel since the summer.	1
The reason was the tense political atmosphere at that particular time: there was great distrust of Lebanon's judiciary and criticism of the way the investigation was being carried out.	1
Attack on a school in Tawila, Northern Darfur	1
Disturbing reports indicate that a limited number of children unofficially released from cantonments have been forcibly re-recruited by the Maoist army or CPN-Maoist organisations. During the reporting period, 12 cases were documented.	1
There were no injuries, but the helicopter was punctured in several places. On 31 January 2005, a patrol of the African Union mission in Sudan investigating violations of the ceasefire in the Shangil Tobai area was targeted by gunfire near craters that appeared to confirm reports of shelling.	1
To date, the Council has not requested that the Secretary-General report to the Council on his efforts, as he was invited to do in presidential statements in 2009 and 2010, aimed at incorporating the issue of drug trafficking as a factor in drug trafficking strategies. conflict prevention, conflict analysis, evaluation and planning of integrated missions and support for peacebuilding.	0
