es_en_GOOGLE	MatCoop
In the context of these measures, work would continue to enhance the capacity of the Committee, including through closer cooperation with the sanctions committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban and with the Committee established pursuant to resolution 1540 (2004).	1
However, it is unlikely that the FARDC contingents deployed in the province will be able to establish effective and sustained control throughout Katanga and substantially limit the Mayi-Mayi&#39;s ability to harass the local population and illegally exploit natural resources. .	0
The extradition of terrorists also continues to pose many obstacles and is not presented as something easy or simple.	1
From the information obtained by the Commission, it appears that the looting perpetrated mainly by the Janjaweed in the context of attacks against different localities was carried out on a wide scale and with the consent of the Government of the Sudan, which maintained a policy of impunity and he directly supported the Janjaweed.	0
Despite recent improvements in the security situation and the success of large-scale joint security operations, more needs to be done to maintain pressure on illegal armed groups.	1
The ability of most States to freeze funds and assets linked to terrorism is insufficient, although some States have made progress in this regard.	1
Turkey has launched the National Unity Project to address socioeconomic inequalities in Turkish society that are said to be fueling Kurdish discontent and recruitment of PKK members.	1
The National Liberation Forces (PalipehutuFNL), which constitute a threat to the security of Burundi and the region, must join the peace process without delay.	0
It is unacceptable that attempts are made to destabilize the internal situation in Lebanon by carrying out political assassinations.	0
In other words, the National Commission was fully aware of the serious allegations of crimes committed in Darfur.	0
Expressing concern at all human rights violations and abuses, the Council calls on the Libyan authorities to investigate and bring to justice the perpetrators of such acts, including those committed against children.	0
b) A Sanctions Implementation Support Team, coordinated by the Monitoring Group, of up to 15 members with experience in areas such as customs, border security and counter-terrorism measures, deployed in the States referred to in paragraph 2 above, in full consultation and close cooperation with those States;	1
In the Syrian Arab Republic, the possible relationship between the large number of foreign fighters affiliated with Al-Qaida and the creation by Jabhat al Nusrah of associations based on a common language could lead to the emergence of new pan-Arab and pan-European extremist networks.	0
In addition to informing the work of human rights reporting mechanisms and serving as a secure archive of information provided by relevant stakeholders, the work of such a structure would facilitate United Nations efforts to prosecute or hold accountable those most responsible. of crimes against humanity.	1
With the exception of one State, which has provided very little relevant information, all East Asian States are members of various regional organizations and mechanisms for international cooperation in combating terrorism and have sought to strengthen these relations.	1
In districts and units where the national police had already resumed primary responsibility for policing functions, UNMIT police played a critical role in monitoring and monitoring their progress, while remaining available to advise, guide and provide operational support, and maintained the ability, in extreme cases, to provisionally resume responsibility for maintaining public safety, if necessary.	0
The Security Council recalls the commitment of the Government of Chad, indicated in the letter dated 7 September 2010 sent to the President of the Security Council (S/2010/470), to assume full responsibility for the security and protection of the civilian population in eastern Chad, including refugees, internally displaced persons, returnees and host communities, paying special attention to women and children and humanitarian and United Nations personnel and assets, in accordance with its obligations under international humanitarian law, human rights law and refugee law.	1
It defined different measures to be adopted and applied by Member States and established the Counter-Terrorism Committee to verify their application.	1
As will be described in detail below, all available evidence indicates that the initial shooting that triggered the indiscriminate killings on the morning of March 25 was the result of coordinated action by security forces.	0
We are concerned about the lack of political freedoms in these areas.	0
promoting mechanisms for truth and reconciliation	1
The following situation was described: Deliberate attacks on women and girls, including gang rape, began during attacks on villages. The women and girls were then kidnapped and kept confined for several days, during which they were raped. Rape and other sexual violence continued to occur during women&#39;s flight and subsequent displacement, including when they left their villages or internally displaced persons camps to search for firewood or water.	0
On August 12, the Justice Support Programme, a national program supported by the European Union, MINURCAT and the United Nations Development Program (UNDP), launched a process to contract a non-governmental organization which would establish and manage three legal aid centers in eastern Chad.	1
Letter dated 14 October 2005 addressed to the Secretary-General of the United Nations from the Secretary-General and High Representative for the Common Foreign and Security Policy of the European Union In accordance with the provisions of Council resolution 1575 (2004) Security, I attach the third quarterly report on the activities of the European Union military mission in Bosnia and Herzegovina (EUFOR).	1
19. Condemns in the strongest terms all sexual and other violence against civilians in armed conflict, in particular against women and children, and commits to ensuring that all Possible measures to prevent such violence and to address its effects when it occurs;	0
From the point of view of international criminal law, such violations of international humanitarian law undoubtedly constitute large-scale war crimes.	0
Integrated planning to guide United Nations collaboration and operations in support of mandate delivery before and after the referendum period was finalized in July, with both UNMIS and the United Nations country team establishing the structures to coordinate defined priorities.	1
They are widely used in conflicts between states and are the weapons of choice in civil wars and in terrorism, organized crime and gang warfare.	0
c) Prevent the supply, sale or transfer, direct or indirect, to those persons, groups, companies and entities, from their territory or by their nationals, outside their territory or by means of ships or aircraft of their flag, of weapons and related materials of all types, including weapons and ammunition, military vehicles and equipment, paramilitary equipment and related spare parts, as well as technical advice, assistance or training related to military activities;	1
On 10 November 2011, the Commander of the Joint Allied Forces Command in Naples tasked the KFOR Commander with continuing operations to establish and maintain access to checkpoints, and selectively lift roadblocks, in major areas. supply routes leading to border control posts 1 and DOG 31, in order to create the necessary conditions to restore unrestricted freedom of movement and a safe and secure environment for all, in accordance with resolution 1244 (1999) Security Council.	1
The authorities recognized that members of the ethnic Albanian minority had been victims of social and institutional discrimination and accepted that confidence-building measures, such as the integration of ethnic Albanians into the local police force and increasing their representation in political institutions, would contribute to considerably reducing tensions and creating long-term stability in the region.	0
Journalists in C̫te d&#39;Ivoire, especially those supporting opposition parties, are subjected to violence, pressure and death threats.	0
2. Decides that the Counter-Terrorism Committee Executive Directorate will continue to function as a special political mission, with the policy guidance of the Counter-Terrorism Committee, for the period ending 31 December 2017, and also decides to conduct an interim review before from December 31, 2015;	1
Reiterating the need for all States and non-State parties to conflicts to fully comply with their obligations under applicable international law, including the prohibition of all forms of sexual violence,	0
In its presidential statement of 4 September (S/PRST/2008/33), the Security Council requested the Secretary-General to seek States that could provide the financial resources, personnel, equipment and services necessary for a multinational for Somalia and get in touch with them.	0
Reaffirming its resolution 1373 (2001) of 28 September 2001, and reiterating its support for international efforts to eradicate terrorism, in accordance with the Charter of the United Nations,	0
Biological risk management and Security Council resolution 1540 (2004)	1
In some States, the effective implementation of resolution 1373 (2001) continues to be hampered by vague or overly broad definitions of terrorist offences.	0
Noting with concern the continuing threat to international peace and security posed to international peace and security by Al-Qaida, Osama bin Laden and the Taliban, and other individuals, groups, companies and entities associated with them, and reaffirming its determination to address all aspects of that threat,	0
4. Killings of wounded enemy combatants	0
A senior government official at the provincial level described how the Government, in an initial campaign to recruit fighters, had also used Arab outlaws and, as indicated in other reports, people convicted of criminal offences.	0
According to data from a survey carried out in the Mornei camp in Western Darfur, medical teams treated approximately 20 victims of sexual violence between April and June 2004.	1
Within the institutional framework established by the African Union to combat terrorism, the Commission and the Peace and Security Council were entrusted with an important role in coordinating efforts across the continent.	1
The reason for this was the need to ensure that the Security Council&#39;s action against Al-Qaida and the Taliban remained adequate to address the threat they posed, as well as to specify the goals of the sanctions with sufficient clarity so that Member States could take the necessary measures against him.	0
Use of the Internet for terrorist purposes to provide training on explosives	0
Similarly, anti-terrorism laws have been enacted, providing judicial and prosecutorial authorities with the necessary legal powers to bring terrorists to justice.	1
Creating new forums to encourage victims of terrorism to contribute to the debate can help combat incitement more effectively.	1
First, as the Security Council has recognized on several occasions, under international law, when acts of gross violations of international human rights standards and serious violations of international humanitarian law are committed that may constitute crimes under international law, Internationally, States have the obligation to investigate and, if there is sufficient evidence, prosecute the person allegedly responsible for violations.	1
Following the adoption of resolution 2100 (2013), in which the Security Council established MINUSMA and supported the preservation of cultural heritage as part of its mandate, UNESCO has continued to collaborate with United Nations partners to integrate the safeguarding of cultural heritage into the peacekeeping operation and recovery work.	1
The socioeconomic challenges facing Afghanistan are significant.	0
Special Representative Kobler briefed the Council on the series of attacks carried out by the Allied Democratic Forces between 5 and 18 October, which left more than 40 civilians and hundreds of internally displaced persons dead near the town of Beni, in the eastern part of the Democratic Republic of the Congo.	0
:: The assessment of progress made in the peacebuilding process before considering decisions to reduce or transition from one form of United Nations involvement to another, which could include: a) the level of support and commitment of the international community; b) ways to enhance the capacity of United Nations country teams so that they can continue to support long-term peacebuilding efforts in program countries; and c) the opportunities and risks for peacebuilding in specific countries.	1
Bearing also in mind the recommendation of the Commission in this regard, according to which it was necessary to maintain international assistance so that the Lebanese authorities could fully clarify this terrorist act and it was essential that the international community make a sustained effort to establish, together with the authorities of Lebanon, a structure for assistance and cooperation in the field of security and justice,	1
In total, 12 States have adopted provisions to regulate the production, sale and transfer of weapons and explosives, although only two have fully implemented these measures.	1
It will also continue to verify and promote the implementation of resolution 1373 (2001) by Member States and take practical measures to enhance the capacity of States to combat terrorism, including measures to facilitate the provision of technical assistance.	0
For example, in 2009, Tunisia amended Law no. 2003-75 which criminalizes incitement to commit terrorist acts in order to differentiate &quot;incitement to hatred&quot; and &quot;religious radicalization&quot; from terrorist crimes.	1
The Security Council calls upon ECOWAS and its Member States, as well as their international partners, to continue to support ECOMIB in this regard and to coordinate further international initiatives in support of peace, stability, the rule of law and the fight against impunity in Guinea-Bissau.	1
This Commission, which will be chaired by an international member, should be composed of persons of established international reputation, specialists in law (in particular, international law, tort liability, or commercial law), accounting, actuarial adjustment or environmental damages.	0
In this case, they are suspected of having carried out indiscriminate attacks against civilians, which constitutes a war crime.	0
Since then, two important events have occurred, namely the transfer, on October 31, 2009, of the eight detainees sentenced to date by the Tribunal to Rwanda, where they will serve their sentences, and the transfer, on November 16, 2009 , from the administration of the Tribunal&#39;s detention facilities to the Government of Sierra Leone.	1
5. Also requests the Secretary-General, in accordance with paragraph 6 of resolution 1980 (2011), to keep you informed, no later than 30 June 2011, in the final report referred to in paragraph 2 of the present resolution and subsequently in its subsequent reports relating to ONUCI and UNMIL, of the developments, measures taken and the coordination work between ONUCI and UNMIL carried out in order to assist the Governments of C̫te d&#39;Ivoire and Liberia, respectively , to monitor its border and surrounding areas, including how redeployed military personnel and equipment contribute to this, paying particular attention to any movement of combatants or transfers of weapons across the border, and, In this regard, encourages UNOCI and UNMIL, within their respective mandates, capabilities and areas of deployment, to assist, in collaboration with the Governments of C̫te d&#39;Ivoire and Liberia respectively, to disarm those who endanger danger to national reconciliation and peacebuilding;	1
In addition, the Team has exchanged information with experts from the 1540 Committee, experts from the Somalia and Liberia Sanctions Committees, and with relevant non-governmental organizations and academics.	1
In particular encourages States to strengthen physical security and stockpile management, destroy surplus and obsolete small arms and light weapons, mark all small arms and light weapons at the time of their manufacture and importation, strengthen control of exports and borders and monitor intermediation activities.	0
d) Adopt a victim-centered and human rights-based approach to trafficking, in particular by recognizing victims&#39; right to remain in the country and giving them access to legal protection and basic services such as medical treatment, education and employment opportunities equivalent to those granted to their own citizens.	0
FAO is also providing technical and legal support to the Federal Government of Somalia to facilitate the adoption of a sound legal framework for fisheries, including the establishment of a Somali Federal Fisheries Authority under the Ministry of Fisheries and Marine Resources.	1
:: Provide information to Member States and international organizations upon request to assist them in submitting more effective offers or requests for assistance, as appropriate, towards the implementation of relevant obligations under resolutions 1540 (2004), 1673 ( 2006) and 1810 (2008), using the matrix as a reference instrument to facilitate technical assistance	1
- Request that parties to an armed conflict and third States strictly comply with their obligations under international humanitarian law to allow and facilitate the rapid and unimpeded passage of relief cargo, materials and personnel, subject to its right to set the technical conditions, including search, under which such a step will be permitted.	0
9. Requests the Counter-Terrorism Committee, in addition to submitting the report requested in paragraph 8, to report orally, through its Chairman and at least every 180 days, on its general work and that of its Executive Directorate and, if appropriate, do so in conjunction with the submission of the reports of the Chairpersons of the Committee established pursuant to resolution 1267 (1999) and the Committee established pursuant to resolution 1540 (2004), and encourages the holding of informal briefings for all interested Member States;	0
In Lerneb (Timbuktu region) the MMA (Platforma) warned at several public meetings in September that it would punish members of the local population who provided information to MINUSMA and French forces. On September 23, the body of a decapitated man was found in the Zouera area, 80 km north of Timbuktu. He was one of the five men that Al-Qaida in the Islamic Maghreb had kidnapped on September 16 for collaborating with international forces and who have been missing since then.	0
Exemptions to the arms embargo are set out in paragraph 54 of resolution 2127 (2013) and may be granted for the following: supplies intended solely for the support or use of the Peacebuilding Mission in the Central African Republic, the Mission African-led Central African Republic Support International, the United Nations Integrated Peacebuilding Office in the Central African Republic and its guard unit, the African Union Regional Task Force and the French forces deployed in the Central African Republic (para. 54 a)); supplies of non-lethal military equipment for exclusively humanitarian or protective purposes, and related technical assistance or training (para. 54 (b)); protective clothing, including flak vests and military helmets, temporarily exported to the Central African Republic by United Nations personnel, media representatives and humanitarian and development workers and associated personnel, exclusively for their personal use (para. . 54 c)); supplies of small arms and other related equipment intended exclusively for use in international patrols providing security services in the Sangha River Trinational Protected Area to prevent poaching, ivory and weapons smuggling and other illegal activities national status of the Central African Republic or its international legal obligations (para. 54 d)); supplies of weapons and other related deadly equipment to the security forces of the Central African Republic for the sole purpose of supporting or using the country&#39;s security sector reform process, subject to approval by the Committee (para. 54 e) ); or other sales or supplies of arms and related materiel, or the provision of assistance or personnel (para. 54 f)).	1
Central Asian States have strengthened law enforcement measures since the previous report by expanding inter-agency cooperation and information sharing, and creating and using crime and other databases, both nationally and internationally, to support to efforts to enforce anti-terrorism laws.	1
Notes that civilians constitute the vast majority of internally displaced persons and other vulnerable groups in situations of armed conflict, and are therefore entitled to the protection that must be provided to civilians under existing international humanitarian law.	0
We urgently call for you to intensify your support for the collective initiatives that our States will undertake, within the framework of the Nouakchott Process, to address the threat that terrorism, violent extremism and transnational organized crime pose to peace and security. international security.	0
He also visited concerned government structures, such as the main detention center in Abidjan (Maison d&#39;arr̻t et de correction d&#39;Abidjan (MACA)) and some police stations.	0
Some activities carried out on Minae Al-Hosn Street in Beirut before the explosion still need to be investigated further; such research could reveal details of the planning phase and thus lead the authors.	0
It is therefore important that States do not lose sight of this aspect of the embargo, and the Committee may wish to remind them of this in due course, encouraging them to submit the names of those who provide &quot;technical advice, assistance or training related to military activities&quot; (resolution 1617 (2005), paragraph (1) c) in violation of the measures, to be included in the list.	0
Most States have legislation on money laundering, and four of them incorporate the financing of terrorism as a predicate crime.	1
Across the border in the Syrian Arab Republic, Jabhat al-Nusra, an entity affiliated with AQI, has seen its influence and number of fighters increase through its involvement in the country&#39;s increasingly brutal civil war. .	0
However, the Government, as the highest body responsible for policies, also had the responsibility of addressing the critical problems that afflicted these institutions.	1
- Prevent and repress in their territories by all lawful means the preparation and financing of any terrorist act;	0
UNOCI reportedly gave FACI permission to airlift the surviving Mi-24 helicopters and a BAC 167 Strikemaster aircraft from Yamoussoukro to Abidjan air base on 24 January 2005 after inspection. in search of weapons by the United Nations military observer team in Yamoussoukro.	1
Many people were killed and more than 100 injured.	0
96. The Commission noted that the National Security Forces Act, as amended in 2001, gave the security forces very broad powers, including the authority to make arrests without formal charges and without placing detainees at the disposal of judicial authority for a period of up to nine months.	0
In paragraph 8 of the resolution, the Security Council decided to establish a Council working group to consider the reports of the mechanism referred to in paragraph 3 of the resolution, to review the progress of the preparation and implementation implement the action plans referred to in paragraph 7 of the resolution and consider other relevant information presented to it.	1
My Government considers that they are not only contrary to international law, but also undermine the concept of the rule of law, a fundamental element in the fight against terrorism.	0
For example, the United Nations Fact-Finding Mission on the Gaza Conflict was the only one to use public hearings as part of its research methodology to ensure an inclusive process, and to give a voice to victims who had not been heard and defend their rights to truth and justice.	1
Rogerio Lobato was proposed for the position of Secretary of State for Defense, but he declined the position after General Taur Matan Ruak threatened to abandon the defense force. Roque Rodrigues was appointed.	0
On behalf of the Security Council Committee established pursuant to resolution 1540 (2004), I have the honor to inform you that the Committee has agreed to hold an open meeting, as provided for in its report on modalities for conducting a comprehensive review of the status implementation of resolution 1540 (2004) prepared pursuant to paragraph 8 of resolution 1810 (2008) (S/2009/170).	0
Condemns the use of [national television channels] and other media to incite discrimination, hostility, hatred and violence, including against [the relevant United Nations Mission], as well as acts of intimidation and violence against journalists, and calls for the lifting of all restrictions imposed on the exercise of the right to freedom of expression in [the affected country];	0
Less than half of the 140 States that submitted reports under resolution 1455 (2003) mentioned what measures they had taken to restrict or regulate the circulation of precious commodities, and those that did generally referred only to controls under resolution 1455 (2003). customs and tax legislation.	1
As the representative of Algeria said earlier, the draft resolution, which has not been adopted, contained a clear condemnation of all terrorist attacks committed against civilians, as well as all acts of violence and destruction.	0
I therefore urge Your Excellency to ensure the implementation of Chapter VII of the Charter of the United Nations in accordance with the Algiers Agreement, which bears your signature, as Ethiopia has maintained and continues to maintain its intransigent position for almost two years. years.	0
Use of cross-functional teams at the national level in interaction with refugee communities to identify issues related to protection from gender-based violence and programs in this area; promoting awareness-raising initiatives with which refugees can identify; support for pilot projects to eradicate gender-based violence, including projects targeting men and boys; dissemination and implementation of guidelines on sexual and gender-based violence against refugees, returnees and internally displaced persons.	1
An additional protocol was adopted in Addis Ababa on 8 July 2004 to establish bodies and mechanisms for the implementation of the Convention.	1
The Team believes that the embargo could be more effective against this and other high-priority threats, such as the use of man-portable air defense systems, if it were more closely linked to other counter-proliferation and arms control regimes.	0
Those early phases of the investigation revealed that no one reported seeing the slightest indication that anything was happening near Mr. Hariri that could have posed a danger to his life.	1
The Commission also confirmed that following the attack on Tawila in February 2004, a group of around 30 female students were kidnapped by Janjaweed militiamen and detained in a camp, where they were repeatedly raped.	0
f) Welcomed and stressed the importance of the Counter-Terrorism Committee Executive Directorate being ready to intensively participate in and support all activities undertaken under the United Nations Global Counter-Terrorism Strategy, including in the framework of the Counter-Terrorism Implementation Task Force, created to ensure the overall coordination and coherence of counter-terrorism activities in the United Nations system.	0
The three entities also launched a four-year program of effective investigation and prosecution of acts of terrorism, respecting human rights and the rule of law in the Maghreb.	1
1.1 Please indicate whether the new Penal Code has been promulgated, especially the provisions criminalizing the recruitment of persons to commit acts of terrorism.	1
The only point on which the participants agree is that weapons were not discussed.	0
The note summarizes how the joint needs assessment for Somalia should be carried out, and envisages considerable participation in the activities of Somalis, either as interlocutors in the government and in the area or as experts internationals from the expatriate community.	1
Furthermore, given the politically discriminatory nature of the systematic and widespread killings of civilians, such acts may well qualify as persecution as a crime against humanity.	0
All remains were transferred to the Hilversum military base, where the identification process is carried out.	1
Decides that [the Mission] will have the following mandate in [the affected country], in consultation with the United Nations country team...: Security and protection of civilians c) Liaise with the Government [of the country affected] and the Office of the United Nations High Commissioner for Refugees (UNHCR) to support efforts to relocate refugee camps located near the border, and to provide UNHCR with the necessary logistical support to do so, where appropriate. possible and reimbursable; ... e) Support the initiatives of the national and local authorities of the [affected country] aimed at resolving local tensions and promoting reconciliation efforts at the local level, in order to improve conditions for the return of internally displaced persons.	1
:: Systematic coordination is maintained between the civil and military components of the mission and between the mission and humanitarian agents in order to consolidate the knowledge acquired regarding the protection of the civilian population.	1
The Council must demand an immediate cessation of all military operations in Gaza and the withdrawal of Israeli occupation forces from that area.	0
- Call upon States to fulfill their obligations to investigate, search for, prosecute or extradite persons suspected of having committed acts of genocide, war crimes, crimes against humanity or other serious breaches of international law, including the international humanitarian law, human rights law and refugee law, regardless of status or political affiliation.	1
Colonel Reis and his deputy protested to Brigadier General Ruak, who apologized for the shooting.	0
To frame the debate in September, the Council should ask the Secretary-General to report on the scope of the problem posed by foreign terrorist fighters, their effect on ongoing conflicts and the efforts of the United Nations to address it.	0
The Peace and Security Council&#39;s first open session on children affected by armed conflict and its proposal to appoint an African Union Special Envoy for Children in Africa also met with approval.	0
Since August 2005, the United Nations Security and Rule of Law Program has been providing technical and financial support to a law enforcement seminar and training course for the Somalia Police Force in Kampala.	1
The counter-terrorism measures that the international community has taken at the national and regional levels in accordance with relevant United Nations initiatives will lay the foundation for a global system to counter emerging problems and dangers under the auspices of the United Nations.	1
In other words, victims see attackers as people who belong to a different, hostile group.	0
In this regard, the Security Council encourages the continued mainstreaming of child protection in the advocacy, policies, programs and mission planning of these organizations and agreements, as well as in the training of personnel, and the inclusion of child protection personnel in its peacekeeping and field operations, and the establishment, in its secretariats, of child protection mechanisms, including through the appointment of child protection coordinators.	0
Regarding the F-FDTL, a decree law establishes the military structure, but the laws that govern military discipline and career are the laws approved by UNTAET.	1
Urges the [Mission] to strengthen its conflict management capacity by promptly completing its integrated strategy to support local tribal conflict resolution mechanisms in order to protect civilians to the greatest extent possible; welcomes the formulation of a comprehensive strategy on the protection of civilians and encourages the [Mission] to continue and complete its work on the strategy in a timely manner; and once again urges the [Mission], in line with its current mandate and resources, to proactively deploy patrols to areas at high risk of localized conflict.	0
Stresses that all those responsible for human rights abuses and violations must be held accountable, and underlines the need for a thorough, independent and impartial investigation, in accordance with international standards, into alleged human rights abuses and violations, in order to avoid impunity and ensure full accountability;	0
This work began with the establishment by the Council of the special courts for the former Yugoslavia, in 1993, and for Rwanda, a year later.	1
The Office has already started dealing with at least seven cases.	1
It was also noted that incidents involving the use of rocket-propelled grenades, a relatively heavy form of artillery for pirates, had declined from 43 in 2011 to 3 in 2013.	1
We strongly condemn these practices, which constitute a flagrant violation of international standards and humanitarian law. We therefore urge the international community, the Quartet and all other stakeholders to intervene immediately and decisively to demand that Israel put an end to such acts, which pose a serious threat to peace and security in the region. from the Middle East. Violence only generates violence. The region will be trapped in a vicious circle from which it will be difficult to escape.	0
b) Consolidate the provision of technical assistance aimed at increasing the capacity of Member States in the fight against terrorism and ensuring that these activities are aligned with the needs of the countries;	1
The full and complete implementation of the travel ban could have real benefits in the fight against Al-Qaida and Taliban terrorism, but available data suggest that its effects are currently limited.	0
The withdrawal of Syrian troops and military assets and the holding of free and credible legislative elections are requirements that have already been met.	1
That team was made up of seven experts specialized in explosion investigations.	1
The Contact Group will hold its 17th plenary meeting in Dubai, United Arab Emirates, in parallel with the fourth United Arab Emirates conference on combating piracy in the last week of October 2014.	0
As Prosecutor, I will deal with any judicial challenges of President Al-Bashir and other suspects in court.	0
For example, most States have yet to criminalize the financing of terrorism and declare it a predicate offense in relation to money laundering.	0
The implementation of self-protection measures, including the deployment of private armed protection personnel on board ships and ship protection detachments, together with increased situational awareness, training and evasive maneuvers and the use of sea routes Secured by commercial ships may also have discouraged pirate attacks on ships.	1
Although the Commission received information from a source that someone close to and trusted by Mr. Hariri had tampered with the jamming devices before the explosion, the Commission has not been able to corroborate this information.	1
He informed President Lahoud and General Ghazali about the explosion at the time it occurred [witness statement].	0
This gender perspective must be present in the reform and training of all security forces.	0
This especially applies to people who enlisted in the F-FDTL and subsequently returned their weapons.	1
The Counter-Terrorism Committee Executive Directorate was established for an initial period ending on 31 December 2007 and subject to a full review by the Security Council no later than 31 December 2005.	1
Fifty-four States reported having safeguards in place to ensure that weapons and ammunition produced within their jurisdiction cannot be diverted for use by those subject to sanctions.	1
The Council could play an important role in ensuring the establishment of reparation programs to address the needs of victims;	1
The Council underlines the need for any military action against the LRA to be carried out in accordance with applicable international law, in particular international humanitarian law, international human rights law and international refugee law, and to be reduced to minimize the risk of harm to the civilian population in those areas.	0
The Commission notes with concern the irregularities recorded over several years in the weapons inventories of the F-FDTL.	0
The revised strategy provides for the preparation of more concrete, detailed and advanced technical proposals and more active engagement by the Directorate with major donors to better understand their priorities and capabilities.	1
If the medical report corroborated the allegations made, the case was sent to the police for further investigation.	1
The Committee is also considering the possibility of regional collective reporting and has requested the Monitoring Team to further explore this possibility.	0
(i) Facilitating research in the areas of the three resolutions that require further consideration, including the analysis of global and regional terrorism-related trends and methodologies and the analysis of counter-terrorism measures;	1
Real changes are more likely to come from popular protests rather than covert acts of violence.	0
While Pristina and Belgrade strongly condemned the incident and demanded the arrest of the perpetrators, each side has blamed the other for provoking the incident.	0
Development of gender guidelines for disarmament, demobilization and reintegration activities; provision of security measures for disarmament sites within disarmament, demobilization and reintegration zones, paying special attention to the needs of women; organizing meetings with female ex-combatants and women associated with fighting forces to assess needs and reintegration mechanisms.	1
If it were to add to its responsibilities an entirely new legal area in relation to compensation, the Court would not only have to create new jurisprudence, but also considerably expand its staff and establish new rules and procedures for determining compensation.	1
Lieutenant General Dos Santos Cruz added that it was possible that the principles of United Nations peacekeeping -- namely, the consent of the parties, impartiality and the non-use of force except in self-defense and in defense of the mandate -- would not always be applied against armed criminal groups in contemporary missions, and that their application could be reviewed and adapted to contemporary threats and the context of violence that innocent civilians and peacekeepers suffered in conflict zones .	1
The presence of force is crucial to maintain a climate of security that prevents witnesses from being bribed and allows them to access the Court facilities without fear.	1
The United Nations Humanitarian Assistance Coordinator has issued an appeal for emergency humanitarian assistance to help 20,000 families get through the winter.	1
According to the Mine Action Service, improvised explosive devices are a particularly dangerous weapons system due to their versatility, adaptability and method of use.	1
d) Prevent those who finance, plan, facilitate or commit acts of terrorism from using their territory for these purposes, against other States or their citizens;	0
e) The inaugural meeting of the International Contact Group on Libya, held in Addis Ababa on 3 December 2014. Supported the efforts made by neighboring countries and the Special Representative of the Secretary-General for Libya to create conditions conducive to dialogue between all Libyan parties, with the exception of known terrorist groups.	0
The Security Council reiterates its demand that the armed forces be fully subject to civilian control.	0
