es_en_DEEP	MatCoop
Implementation of the Office's policy on gender equality and its action plan to mainstream gender issues in four areas of activity: coordination, information management, advocacy and policy.	1
In August 2005, the Group, accompanied by UNOCI staff, visited the autonomous port of Abidjan, Grand Lahou, Fresco, Sassandra, Monogaga, Grand Bereby, the autonomous port of San Pedro and Tabou. In all these locations the Group examined the ports and piers and analyzed the application of the embargo with the competent authorities, business representatives and ONUCI.	0
Mr. Le Luong Minh (Viet Nam): Terrorism is a common concern of all members of the United Nations and the international community at large.	0
In many cases, States lack the resources or initiative to carry out patrol or inspection tasks, or joint operations with neighboring States, or to implement a community policing service at the local level. The introduction of these measures along open borders and the implementation of innovative forms of cooperation and assistance to address these issues would help to increase the effectiveness of border controls.	1
Many of them told similar stories that the Internal Security Forces had detained them, tied them up, blindfolded them, stripped them, and held them for some time while they were questioned about Mr. Abu Adass and his links with Islamic groups. Most of these people shared the opinion of their interrogators that Mr. Abu Adass was a solitary and introverted person who did not have sufficient intelligence to commit such a crime.	0
Only two States have criminalized the financing of terrorism, and two others have adopted some legal provisions on the matter.	1
On March 25, in the area called PK 18, in Abobo, between 9:30 and 10:00 in the morning, the brutal murder of two police officers took place.	0
With the intensification of combat, the F-FDTL reinforced their positions in the hills by sending a navy ship to Tibar Bay.	0
During the reporting period, the Government of Chad and UNHCR continued to implement programs to raise awareness among refugees and displaced persons about the civilian nature of the camps. On 12 September, DIS arrested 11 people in the Goz Amer refugee camp near Goz Beida (Dar Sila region) who had allegedly attempted to recruit refugees for an armed group over recent months.	1
h) Intensify awareness-raising efforts among parliamentarians and other high-level decision-makers;	0
In its resolution 2122 (2013), the Council committed to paying greater attention to women, peace and security issues in all relevant thematic areas before it, including the protection of civilians in conflict. armed groups, post-conflict peacebuilding, promoting and strengthening the rule of law in the maintenance of international peace and security, peace and security in Africa, threats to international peace and security caused by terrorist acts, and the maintenance of international peace and security.	1
To this end, I recall that after the events of May 2008, the Lebanese leaders had reconvened the National Dialogue, whose main mandate was to develop a national defense strategy that would address the fundamental issue of weapons that are outside the control of the State.	0
According to witness reports, in January 2004 rebels attacked and looted a police station and state offices in Yassin, southern Darfur.	0
Requests the Secretary-General to develop effective guidelines and strategies to enhance the capacity of relevant United Nations peacekeeping operations, in line with their mandates, to protect civilians, including women and girls, from all forms of sexual violence, and to systematically include in its written reports to the Council on conflict situations its observations regarding the protection of women and girls and its recommendations in this regard.	1
In Egypt, we continue to call for a peaceful and immediate transfer of power to a civilian Government.	0
They were armed and all of them pointed their weapons at us.	0
On disarmament, UNOCI will continue to support the rapid cantonment of forces, in accordance with Supplementary Agreement No. 3.	1
Another delegation considered that the active protection of civilians should not be confused with the neutralization of armed groups through offensive tasks.	0
Troops and police forces should be better prepared to carry out protection tasks, in particular to prevent conflict-related sexual violence.	1
The Government of the Syrian Arab Republic would like to first express its appreciation for the efforts of the United Nations Department of Peacekeeping Operations and those responsible for the United Nations Disengagement Observer Force ( UNDOF) deployed to the occupied Syrian Golan to maintain security and peace in its area of ââoperations, in accordance with its mandate. The Syrian Arab Republic has continuously supported and facilitated the work of the Force and respected its mandate since its establishment in 1974; has established close links with those responsible for the Force, with the United Nations Truce Supervision Organization (UNTSO) and with the Department of Peacekeeping Operations; and successive Secretaries-General have consistently expressed in their reports their appreciation of the Syrian Arab Republic's willingness to cooperate, to ensure the security of UNDOF members and to respect the Force's mandate.	0
MONUSCO continued to provide technical assistance in reviewing prisoner files to identify cases of long pre-trial detention and bring them to the attention of judicial authorities in order to reduce overcrowding in prisons.	1
In this regard, we request the African Union Commission, in close cooperation with ECOWAS and with the support of international partners, including in particular the United Nations, the European Union and other international stakeholders, to take all necessary measures, including but not limited to among them the convening in Mali, no later than February 2015, of a meeting of Ministers of Defense and Security and the chiefs of staff and the heads of the intelligence and security services of the countries of the region, in order to carry out the necessary studies to establish these mechanisms.	0
Educational centers that refused to register or had links to banned terrorist organizations were closed.	1
The authorities in the Democratic Republic of Congo have an international obligation to ensure that their country is not used as a base from which these rebels attack Uganda.	0
The members of the Council also considered the report of the Secretary-General (S/2000/632) which indicated that significant progress had been made in the political and military fields, but that the Government of Guinea - Bissau continued to face numerous problems in re-establishing lasting peace, stability and sustainable development.	1
On 26 July 2005, the Security Council adopted resolution 1612 (2005) on children and armed conflict.	0
- Terrorism in all its forms and manifestations constitutes one of the most serious threats to international peace and security;	0
These instruments, together with the decentralization policy, clarify the roles and responsibilities of local councils, district officers, parliamentarians and traditional authorities in the areas of development decision-making; elections and the maintenance of law and public order; and the collection and allocation of local revenues.	1
UNMIK's interim health policy was amended to take into account recommendations made by a working group composed of local and international health professionals.	1
Clashes also occurred between armed groups affiliated with the Government of Mali and armed groups represented at the Algiers talks, despite the commitment that the various parties had made to respect a ceasefire. On October 9, French and Nigerian forces intercepted and destroyed a convoy carrying weapons, mortars and anti-aircraft weapons, advancing through northern Niger towards Mali. The recipient of the weapons was allegedly Ansar Dine. On October 12, Mauritanian security forces arrested four people suspected of establishing contact with jihadists and recruiting for the Islamic State of Iraq and the Levant (ISIL) in the mining town of ZouÃ©rat, in the north of the country.	0
Five States have legislation in place that criminalizes the financing of terrorism and nine States have passed anti-money laundering laws.	1
The Commission also recognizes the need to provide compensation to those who have suffered as a result of the events of April and May.	0
There appears to have been excessive reliance on the military and police experience of certain individuals.	1
The Security Council, welcoming the progress made by the Governments of Iraq and Kuwait towards resolving outstanding issues between the two countries, and encouraging them to continue cooperating with each other, calls upon Iraq to promptly implement its remaining obligations under in accordance with the relevant resolutions adopted by the Security Council under Chapter VII of the Charter with respect to the situation between Iraq and Kuwait.	1
I condemn in the strongest terms the reprehensible attacks against people who help the Somali people fight organized crime that hinders the development of their country.	0
To do this, among other things, we must avoid using terminology that seems to accept the religious justifications put forward by Al-Qaida; The Monitoring Team continues to maintain that when non-Muslim commentators or politicians use religious terms to describe Al-Qaida, no matter how convenient, habitual or well-intentioned that use may be, the consequence is that it is more difficult to refute that message and prevent it from taking effect. among those for whom it is intended.	0
Integrating gender perspectives in the formulation and implementation of post-conflict environmental assessments.	1
The international community has achieved considerable success in its efforts to combat Somali piracy thanks to close cooperation between States, regions, organizations, the maritime sector, the private sector, think tanks and civil society.	1
All delegations agreed that the main threat in the region came from the Jemaah Islamiyah (QE.J.92.02.), the Abu Sayyaf group (QE.A.1.01.) and a newcomer, the Rajah Solaiman movement ( not included in the List), which works closely with the Abu Sayyaf group*.	0
Overall, the Team has observed a high level of commitment to the work of the 1267 Committee and an encouraging overall awareness of the list and actions.	1
The Committee was established pursuant to Security Council resolution 1518 (2003) of 24 November 2003, to further identify, pursuant to paragraphs 19 and 23 of resolution 1483 (2003), persons and entities whose funds or other financial assets or economic resources were to be frozen and transferred to the Development Fund for Iraq.	1
Three States have adopted procedures to prohibit the extradition of persons to States where they are at risk of torture or persecution.	1
Participants pledged to support the signing of a peace agreement, called for strengthening the capacity of MINUSMA, and committed to intensifying regional security cooperation to combat terrorism.	1
Consequently, there are no exact figures for the number of small arms and light weapons circulating in the world today.	0
t) Consult with the intelligence and security services of Member States, including through regional forums, in order to facilitate the exchange of information and strengthen the implementation of measures;	0
k) Provide military training, including in human rights, international humanitarian law, child protection and prevention of gender-based violence to various members and units of the FARDC integrated brigades deployed in the eastern part of the Republic Democratic Republic of the Congo, as part of broader international initiatives to support security sector reform;	1
Also causing concern is the rapid deterioration of the economy, aggravated by the continuation of the conflict.	0
I also welcome the initiatives being taken by the Lake Chad Basin Commission to find durable solutions and combat terrorism, violent insurgency and extremism through a common strategy.	0
Many States will also continue to confront issues such as radicalization, violent extremism and cross-border movements of terrorists.	0
Furthermore, the international obligation would be considered fulfilled at the moment, after the signing of a peace treaty, in which the responsible State had agreed to pay war reparations to the others or compensation for damage caused to the nationals of the adversary, or not to make a payment.	1
The Security Council expresses its readiness to consider the specific recommendations of its Working Group on Children and Armed Conflict regarding violations and abuses committed against children by parties listed in the annexes to the reports of the Secretary-General, when occur, with a view to considering the adoption of measures in this regard, without prejudging or entailing the adoption of a decision by the Security Council on whether or not to include a given situation among the issues submitted for its consideration.	0
The Security Council invites all States, the International Maritime Organization, the International Labor Organization and other relevant international organizations and bodies to adopt or recommend, as appropriate, measures to prevent abductions, measures to protect the interest and well-being of seafarers victimized by pirates, both during their captivity through the provision of medical and other humanitarian assistance, and after their release, including assistance and reintegration services into society after the incident, and, In this regard, it takes note of the proposals to develop a hostage support program developed by the United Nations, the United Nations Political Office for Somalia and the United Nations Office on Drugs and Crime.	1
k) Establish the guidelines that are necessary to facilitate the application of the measures provided above;	1
We take this opportunity to review the political and security situation in the Sahel-Saharan region, as well as initiatives aimed at overcoming existing difficulties and promoting lasting peace, security and stability.	1
The commission has authorized OHCHR, in its capacity as residual secretariat of the commission, to provide access to materials in the database to competent authorities conducting credible investigations for the purposes of ensuring accountability for crimes and other violations committed, establish the truth about violations committed or apply specific sanctions imposed by the United Nations on natural or legal persons.	1
In the Team's view, one of the Committee's strongest advantages is that it operates by consensus, and adoption of Security Council voting procedures in the Committee would undermine an important working practice.	0
Since the last report on this issue (S/2012/971), the total number of foreign fighters and Al-Qaida leaders and facilitators killed or captured has decreased.	0
The National Commission for Youth was commissioned by President Koroma on November 25, 2011. It is expected to lead the promotion and harmonization of youth development under the Ministry of Youth Employment and Sports.	0
While free movement zones, such as the Economic Community of West African States (ECOWAS), support economic growth and opportunity, the absence of systematic checkpoints allows listed individuals to move through them with little or without any restrictions.	1
In this regard, he considered it important that the deployment of the additional UNMISS force be completed.	1
States should be able to apply required legal measures, such as the seizure of funds, whenever there is suspicion of money laundering or financing of terrorist acts.	0
Recognizing the need to intensify the coordination of efforts at the national, regional, subregional and international levels, as appropriate, in order to strengthen the global response to the serious challenge and threat to international peace and security posed by the proliferation of weapons of destruction massive and its vector systems,	0
The Security Council, recalling its resolutions 2042 (2012) and 2043 (2012), welcomes the appointment of the Joint Special Representative for Syria of the United Nations and the League of Arab States as an important step forward in cooperation between the two organizations and expresses its support for the efforts being made to continue the good offices of the Secretary General in this regard.	0
For example, residents of the Naktuka area of ââthe Nitibe sub-district reported that on 29 May, a group of about 20 Indonesian soldiers had partially dismantled two structures built by the Government of Timor-Leste in this disputed area.	0
The Group reviewed the departures and arrivals of all flights, except scheduled flights, in CÃ´te d'Ivoire. Air traffic statistics with neighboring countries such as Guinea, Mali, Burkina Faso and Ghana were also examined. After completion of the review, the Group did not find any cases of suspicious flights carried out during the embargo period (after 15 November 2004).	1
Effective coordination and implementation of mine action policy and guidelines for gender mainstreaming in mine action programmes. Inter-Agency Working Group on Disarmament, Demobilization and Reintegration (Chaired by DPKO and UNDP) Established by CEPS to enhance the Organization's performance in the field of disarmament, demobilization and reintegration, the Inter-Agency Working Group provides technical advice , for example, on training needs, policies and strategies; maintains and reviews existing United Nations disarmament, demobilization and reintegration guidance material; develops and manages the United Nations Resource Center on Disarmament, Demobilization and Reintegration Activities; and facilitates the planning of disarmament, demobilization and reintegration operations among relevant United Nations agencies.	1
14. Expresses its readiness to consider any additional requests for assistance from the Government of Lebanon to hold accountable all those responsible for this crime;	1
The Council also decided to review in three to six months whether conditions on the ground might permit a reduction in peacekeeping military personnel to 6,000.	1
Progress made in eliminating the Syrian chemical weapons program	1
The Team continued to actively participate in the development of measures to combat the financing of terrorism, taking part in plenary meetings of the FATF and in meetings of its regional bodies.	1
Insisting that the coordinated and comprehensive return of refugees and displaced persons from across the region remains essential for lasting peace,	0
The Security Council expresses its growing concern about the serious threats that drug trafficking and related transnational organized crime pose to international peace and stability in West Africa and the Sahel region, as noted in the United Nations Integrated Strategy United for the Sahel.	0
This Commission, which will be chaired by an international member, should be composed of persons of established international reputation, specialists in law (in particular, international law, tort liability, or commercial law), accounting, actuarial adjustment or environmental damages.	0
This will help facilitate arrangements regarding the arrest, prosecution and post-conviction period of high-risk offenders in accordance with international human rights standards.	0
Most States have limited ability to promptly freeze funds and assets and none of them have put in place adequate measures to protect non-profit organizations from being used for terrorist financing.	0
On 2 November, 16 of the 20 people arrested during an operation carried out by the FDSM in Boulkessi (Mopti region), an area controlled by HCUA, reported to MINUSMA that they had been subjected to severe beatings during interrogations.	0
Measures against the financing of terrorism have improved across the subregion, but gaps remain, especially with regard to mechanisms for freezing assets, regulating alternative remittance systems, and monitoring unlicensed organizations. profit.	1
h) Developing methodologies to improve the effectiveness of cooperation with individual States, subregional, regional and international organizations, multilateral export control regimes and relevant entities of the United Nations system, and assessments of the level of cooperation between the Committees established pursuant to resolutions 1540 (2004), 1267 (1999) and 1373 (2001), and to assess, in particular, the level of information exchange and coordination with respect to country visits, with specific recommendations, where appropriate, with a view to improving cooperation.	1
At the request of the Council, the Monitoring Team continued to organize regional meetings with the heads and deputy heads of the intelligence and security services to discuss possible modifications to the sanctions regime to address changes in the threat posed by Al-Qaeda-linked terrorism. Qaida.	0
The President of the Security Council, in his letter inviting non-member States to participate in the wrap-up session, had encouraged all speakers to present frank and focused assessments of the Council's role in addressing any of the mentioned above, or all of them, so that all interventions could serve as a useful guide for the future work of the Council.	0
The Team has discussed possible areas of cooperation with the Counter-Terrorism Unit of the OSCE, the Central Asia Regional Office of the Commonwealth of Independent States and the Regional Counter-Terrorism Agency of the Shanghai Cooperation Organization, and It has established contacts with other regional organizations, such as the Organization of American States, which has created the Inter-American Committee against Terrorism, and the African Union, which has established a counter-terrorism center in Algiers.	1
The President emphatically described the unfortunate incident as unpleasant and unacceptable as it foreshadows possible violence during the upcoming 2012 elections.	0
The group has taken advantage of the porous border between Nigeria and Cameroon to kidnap foreign nationals in Cameroon.	0
Regional and international organizations: Caribbean Community secretariat, European Commission, European External Action Service, Organization for Security and Cooperation in Europe, Organization for the Prohibition of Chemical Weapons, Group of Experts of the Security Council Committee established pursuant to resolution 1737 (2006), Office for Disarmament Affairs of the United Nations Secretariat, Security Council Committee established pursuant to resolution 1540 (2004) and its Group of Experts, International Criminal Police Organization, World Customs Organization.	1
There are also important positive developments. When the armed conflict ended in 1999, there was a practically total lack of legislation and economic structures.	0
Scope of application of the arms embargo. The Committee requests the Team to prepare a document that compiles the experience of States in combating the threat of improvised and civilian explosives.	1
a) Become parties, as a matter of urgency, to all international conventions and protocols relating to terrorism, in particular the 1999 International Convention for the Suppression of the Financing of Terrorism, support all international initiatives adopted for this purpose and take full advantage of emerging sources of assistance and guidance;	0
He also reported that the verification mechanism had cancelled several missions due to resistance from South Sudanese forces.	0
In one incident, which occurred in Yopougon at 6:15 a.m., when protesters were trying to gather on the street, a jeep carrying several uniformed men, without insignia, who spoke English, tried to run them over.	0
In plenary consultations, Council members expressed concern about the continued deterioration of the humanitarian situation and condemned violations of international humanitarian law by all parties to the Syrian conflict.	0
In its resolution 2128 (2013), the Council modified the notification requirements related to the arms embargo, deciding that the primary responsibility would be placed on the Liberian authorities to notify the Committee at least five days in advance of any shipment of supplies of deadly weapons and related material, and any provision of assistance, advice or training related to military or other security sector activities to the Government of Liberia.	1
:: Provision of technical assistance in the preparation and implementation of laws aimed at combating the dissemination of hate messages.	1
In 1993, that vision was blurry, to say the least. At that time it was impossible to define the final objectives that would come close to addressing the concerns of both peoples.	0
Reminding the world that victims of crime must be treated with compassion and respect, the Declaration recognizes their right to justice, fair treatment and reparation in the form of compensation. compensation or other forms of assistance for the damages they have suffered.	1
Calls upon all stakeholders to ensure that the special needs of women and children are taken into account and included in all peace processes and agreements and in all post-conflict recovery and reconstruction planning. concrete measures for the protection of civilians, including... iii) creating conditions conducive to the voluntary, safe, dignified and sustainable return of refugees and internally displaced persons...	0
The administrative reform at the national level to date does not represent an improvement.	0
Its jurisdiction was redefined in March 2006 by UNMIK regulation 2006/50, which mandated the Kosovo Commission to resolve claims directly related to (or resulting from) the armed conflict that occurred between February 27, 1998 and June 20. of 1999 in relation to private real estate, including agricultural and commercial property.	1
If it added to its responsibilities an entirely new legal area in relation to compensation, the Court would not only have to create new jurisprudence, but also considerably expand its staff and establish new rules and procedures for determining compensation.	1
True establishment of the rule of law in the Democratic Republic of the Congo requires the formation of an effective and democratic army, judicial system and police force.	0
The following sections describe the facts found by the Commission with respect to the series of attacks against civilians in the three states of Darfur.	0
The ability to freeze funds and assets linked to terrorism is generally insufficient and limited in all States.	1
First, security concerns remain paramount.	0
The progress of the last ten years has managed to weaken some terrorist networks that have attacked the international community since September 2001.	0
As a result, it has limited itself to gathering reliable information about individuals who may be suspected of being responsible for crimes committed in Darfur.	1
Prior to the fifth extraordinary meeting, the Committee will hold thematic discussions on intensifying efforts to limit the mobility of terrorists, involving experts from all relevant international technical organizations.	1
i) Attacks by Government Armed Forces and the Janjaweed Based on its analysis of other reports and its investigative work, the Commission determined that during the conflict the Government of the Sudan Armed Forces and the Janjaweed had attacked villages in Darfur, with varying degrees of intensity during certain hours.	0
Following the recommendation of the International Commission of Inquiry for CÃ´te d'Ivoire, this year the Human Rights Council established the mandate of an independent expert on the situation in CÃ´te d'Ivoire with the responsibility of assisting the Government and other relevant actors to implement the Commission's recommendations.	1
An eighth trained police unit contributed by Nigeria is scheduled to be deployed in October.	1
The Security Council takes note of the cooperation between the International Maritime Organization, the United Nations Office on Drugs and Crime and the Division for Ocean Affairs and the Law of the Sea with regard to the compilation of national legislation in piracy, encourages countries that have not yet provided their legislation to do so and notes that copies of national legislation received by the Secretariat have been posted on the United Nations website.	1
The Team has continued to promote the work of the Committee through presentations at Columbia Law School, and in discussions with academic institutions in the field of counterterrorism, such as the Fourth Counterterrorism Assessment Project , the Watson Institute at Brown University, and other tertiary education institutions.	0
Some States in the region implement the European Union Strategy to Combat Radicalization and Recruitment of Terrorists, 2005, which aims to disrupt the activities of networks and individuals that lead to terrorism; ensure that majority opinion discourse prevails over extremism; "promote with greater intensity security, justice, democracy and opportunities for all."	1
Given the concerns mentioned above and the continued presence and activities of militias in Lebanon, improving the management and control of the country's land borders is essential to prevent the illegal flow of weapons to armed groups.	1
MINUSTAH is conducting its own investigation and is supporting the Haitian National Police's investigation of the incident.	1
The proximity of the border with Pakistan provides these forces with manpower, material and shelter.	0
The Executive Directorate will assist the Committee in launching discussions to explore the technical assistance needs of States in the implementation of resolution 1624 (2005) and facilitate the provision of such assistance, as appropriate.	1
V. Humanitarian situation The number of people affected by the conflict has stabilized. As of September 1, some 3.3 million people in Darfur were in need of humanitarian assistance and the resident population made up 45% of all those affected in the region. Among them, there are currently 1.8 million internally displaced people.	1
19. Requests the Group of Experts to continue to coordinate its activities, as appropriate, with the operations of the African Union-United Nations Hybrid Operation in Darfur (UNAMID) and with international efforts to promote a political process in Darfur, and to assess, in its interim and final reports, the progress made in reducing violations by all parties of the measures imposed by paragraphs 7 and 8 of resolution 1556 (2004), paragraph 7 of resolution 1591 (2005) and paragraph 10 of resolution 1945 (2010), and progress towards the removal of impediments to the political process, threats to the stability of Darfur and the region, violations of international humanitarian law or violations or abuses against human rights, including attacks on civilians, sexual and gender-based violence and grave violations and abuses against children, and other violations of the aforementioned resolutions, and to provide the Committee with information on individuals and entities complying the listing criteria contained in paragraph 3 (c) of resolution 1591 (2005);	1
Taking note of the progress made in the reform of the judicial system, in particular the establishment of the Constitutional Court, the Court of Cassation and the Council of State, as provided for in the Constitution, the Minister of Justice emphasized the importance of establishing courts in each of the 145 territories to effectively reestablish State authority and resolve disputes at the local level.	1
The task of operating in that environment was not easy, but UNDOF had evolved as a mission and had adjusted its operations to respond to the challenges posed by the environment of conflict and internal fighting that had recently increased in intensity and severity.	0
At the 7109th meeting of the Security Council, held on 12 February 2014, in connection with its consideration of the item entitled "Protection of civilians in armed conflict", the Presidency made the following statement on behalf of the Council:	0
The Russian Federation considers it essential to continue strengthening the legal bases of the fight against terrorism in international law, above all by giving universal character to existing conventions on the subject through the accession of all Member States of the United Nations.	0
In contexts where national judicial systems lack capacity and are still undermined by conflict, ad hoc quasi-judicial mechanisms appear to be an appropriate, if not necessary, solution to impartially address an influx of conflict-related claims and provide people access to certain forms of compensation.	1
Training of peacekeepers Requests the Secretary-General to ensure that, prior to deployment and in theater, military and police-contributing countries are provided with technical support, including guidance and training for military and police personnel. on protection of civilians in situations of imminent danger and appropriate responses, including on human rights, sexual violence and gender issues.	0
At informal consultations on 2 May, Council members heard a new interim report from the Special Adviser to the Secretary-General in Cyprus, Ãlvaro de Soto, regarding direct talks between Greek Cypriot and Turkish Cypriot leaders, which had been taking place since January in accordance with the agreement concluded on December 4, 2001.	0
e) Allow the establishment of newspapers and other independent media; allow citizens free access to the Internet, social media, international communications, foreign broadcasts and publications, including popular culture from other countries, and end compulsory participation in mass organizations and indoctrination sessions.	1
The Commission verified the existence of two mass graves in the village; one was said to contain the bodies of two men and in the other seven others had been buried; all the victims had died during the attack.	0
6. Decides, in order to assist the Committee in the fulfillment of its mandate, to establish for a period of 18 months, based in New York, a team to provide analytical support and monitor the implementation of sanctions (hereinafter, "the Monitoring Team"), under the aegis of the Committee, with the responsibilities listed in the annex to this resolution;	1
12. Requests in particular MONUC to share information with the Group of Experts, especially on support received by armed groups, the recruitment and use of children and deliberate attacks against women and children in situations of armed conflict;	0
a) Encourage the development of measurable objectives to reduce armed violence;	1
The Israeli people, who had hoped that Israel's withdrawal from Lebanon -- which was certified by this Council six years ago -- would result in security along their northern border, find themselves subjected to constant rocket attacks by Hezbollah, that penetrate more into Israeli territory every day.	0
The Council expresses its deep concern that civilians continue to constitute the majority of victims of acts of violence committed by parties to armed conflicts, including as a result of deliberately targeted attacks, the indiscriminate and excessive use of force, the use of civilians as human shields and sexual and gender-based violence, as well as all other acts committed in violation of applicable international law.	0
In the case of banking institutions, this obligation is also established in Regulation No. 1 of the Czech National Bank of September 8, 2003.	1
In this sense, I would like to emphasize once again that, unlike other well-known situations that involve unfounded and illegitimate territorial claims, including those that are hidden behind the invented pretext of serving ethnic minority groups, the right to freedom of movement has been recognized. determination and statehood of the Palestinian people.	0
Implementation subject to availability of funds Providing practical operational tools to staff to systematically integrate gender issues into security sector reform work; implementation of recommendations from the 2005 Africa Gender and Governance Forum to achieve the African Union's goal of 30% women in national assemblies.	1
c) Prevent the supply, sale or transfer, direct or indirect, to those persons, groups, companies or entities, from their territory or by their nationals, outside their territory or by means of ships or aircraft of their flag, of weapons and related materials of all types, including weapons and ammunition, military vehicles and equipment, paramilitary equipment and related spare parts, as well as technical advice, assistance or training related to military activities;	1
Establishment of a project for the incorporation of the gender perspective in general activity, with specific budget allocations.	1
Assistance from bilateral donors will also be needed to enable a meaningful response to the security threats posed by drug and arms trafficking.	0
Support to hospitals that treat rape victims (medical and surgical care, voluntary and confidential psychological support for rape victims and treatment of sexually transmitted diseases).	1
The commission has made a series of recommendations for immediate action to end human rights violations and address human rights concerns raised by the commission, including recommendations specifically addressed to the Council of Security, which deserve the attention and consideration of the Council.	1
The Team has noted that Al-Qaida, the Taliban and their associates will use any available explosives, such as military explosives in conflict zones or the components needed to improvise an explosive device, such as ammonium nitrate, in other areas (S/2007 /132, para. 90).	0
If banks take a very restrictive approach to deciding what to examine as possible cases of terrorist financing, they are just as likely to miss the use of new methods as they are to discover the use of old methods.	1
In that sense, we believe that destructive measures, whose purpose is to obtain unilateral political benefits, should be categorically condemned.	0
c) Measures that guarantee the protection and respect of the human rights of women and girls, particularly in relation to the constitution, the electoral system, the police and the judicial system.	1
Over the past six months, the deepening crisis in the Syrian Arab Republic has continued to affect Lebanon, further polarizing the political spectrum and raising concerns that unrest in the Syrian Arab Republic could have negative repercussions on Lebanon's stability.	0
General Moges concluded his presentation by warning that, with the arrival of the dry season, the risk of renewed hostilities was greater, which is why UNISFA had increased patrols, but he stressed that without dialogue it would not be possible to prevent the situation would deteriorate at some point.	0
Cooperation and coordination in border control between neighboring States is of particular importance to effectively monitor and cover borders that are characterized by their extension, openness and permeability.	1
Although the Ivorian parties have not provided an official response to the Facilitator's proposals, they have formed the basis of the deliberations of the working group charged with developing the framework for the reunification of the armed forces.	1
A common conclusion is that, in its anti-subversive operations, the Government has committed acts against the civilian population, directly or using armed groups, that constitute serious transgressions of human rights and humanitarian law.	0
:: Take advantage of the presence of civilians or other protected persons so that certain points, areas or military forces are immune from military operations;	0
A June 2005 report frequently cited by the International Crisis Group that a helicopter destroyed in Yamoussoukro by the French attack of 6 November 2004 was from Guinea has proven false, as demonstrated by the Group's accounting.	1
The Council underlines the need for any military action against the LRA to be carried out in accordance with applicable international law, in particular international humanitarian law, international human rights law and international refugee law, and to be reduced to minimize the risk of harm to the civilian population in those areas.	0
The Government of the Syrian Arab Republic emphasizes that it is its duty to protect citizens, disarm terrorists and hold those responsible accountable. The Government reiterates that it is doing everything possible to find a political solution to the crisis that the Syrian Arab Republic is experiencing, in cooperation with the Special Envoy, Kofi Annan, for which it is reinforcing the democratizing measures that it launched in March of the year. past in various sectors. It is worth mentioning, among others, the lifting of the state of emergency; the promulgation of laws on multipartyism; local government elections and media freedom; measures relating to the economic situation of citizens; the promulgation of the new constitution; and other measures to revitalize political participation and promote pluralism and democracy with a view to the approval of a comprehensive reform process.	1
New regional and bilateral mechanisms for law enforcement cooperation have been created, for example regarding early warning mechanisms and intelligence cooperation.	1
Furthermore, after its recovery by Government forces, the city had welcomed more than 11,000 displaced people, who had been assisted as best as possible.	1
