es_en_DEEPL	VerConf
On the humanitarian situation, we are concerned that, according to information from the Office for the Coordination of Humanitarian Affairs (OCHA), 20 million people in the Sahel region are in need of humanitarian assistance, particularly in Mauritania, Niger, Burkina Faso and Chad.	1
When the situation in Haiti is addressed within the United Nations framework, the focus is almost always on so-called security issues, and urgent attention to the serious structural, economic and social problems afflicting the country is minimized for all practical purposes.	1
In many cases, States lack the resources or initiative to carry out patrols or inspections, or joint operations with neighboring States, or to implement community policing at the local level. The introduction of such measures along open borders and the implementation of innovative forms of cooperation and assistance to address these issues would help to increase the effectiveness of border controls.	0
The Ambassador noted that the Council also had an important role to play in promoting accountability for such crimes and other violations of international humanitarian and human rights law.	0
In this regard, we have taken note of the statements issued by the main Kosovar elected representatives, who immediately condemned the crime and called for those responsible to be brought to justice.	1
The Security Council takes note with interest of the Secretary-General's important proposal to establish a Peacebuilding Commission and shares the objective of enhancing the capacity of the United Nations to coordinate with donors and troop-contributing countries and to implement peacebuilding activities, in particular from the start of peacekeeping operations through stabilization, reconstruction and development.	0
Law enforcement agencies: establishment of counter-terrorism units	0
- Terrorism in all its forms and manifestations constitutes one of the most serious threats to international peace and security;	1
Therefore, the Council can play a viable and effective role in compensating victims of violations of international law.	0
We have approached the Council on several occasions to urge Israel to cease its military attacks, ensure the protection of the civilian population and end the illegal punitive measures that are causing a deliberate human catastrophe in the Gaza Strip.	1
Although neither side seems willing to return to war, there is a worrying pattern of escalating tension and destabilization that could lead to a full-scale confrontation and endanger civilian lives.	1
The Security Council expresses its growing concern about the serious threats that drug trafficking and related transnational organized crime pose to international peace and stability in West Africa and the Sahel region, as noted in the United Nations Integrated Strategy for the Sahel.	1
No incidents of premeditated killing of children by armed forces or armed groups were recorded.	0
The Security Council further condemns terrorism in all its forms and manifestations, however and by whomever committed.	1
The criteria used to list an individual or entity are set out in paragraphs 2 and 3 of resolution 2160 (2014) and refer to being associated with the Taliban and constituting a threat to the peace, stability and security of Afghanistan.	1
The 18 States that have submitted information on the import and export of arms have adopted some measures to regulate the production, sale and transfer of arms and explosives.	0
(c) Are responsible for obstructing the freedom of movement of UNOCI and the French forces that support it;	1
The 1540 Committee experts held discussions with the United Nations Interregional Crime and Justice Research Institute (UNICRI) and the United Nations Institute for Disarmament Research (UNIDIR) on possible programs and activities to support the effective implementation of resolution 1540 (2004).	0
The attack forced many civilians to seek refuge outside the town, SAF suffered dozens of casualties, and the SML/A seized a large quantity of weapons, ammunition, fuel and other supplies. On September 29, there was another attack on Tawilla town itself, when SML/A units entered the town and then the Dali IDP camp adjacent to it, firing indiscriminately on civilians without provocation.	0
Under the overall guidance of Mission headquarters, the heads of MONUC's regional offices are responsible for developing and implementing regional action plans to prevent sexual exploitation and abuse in their respective areas.	0
At least 90 countries have been affected by these devices, and Al-Qaida-affiliated entities exchange information and advice on how best to build and use them.	0
(f) Take immediate measures to prevent further abductions by agents of the Democratic People's Republic of Korea into Chinese territory; prosecute and appropriately punish the abductors they have arrested and seek the extradition of those giving such orders so that they may be prosecuted in accordance with the law.	0
Measures that could undermine confidence or damage the outcome of negotiations should be suspended and reversed.	1
As long as States do not impose any obligation on listed individuals to abide by the travel ban, they will not find it risky to try to avoid it.	0
:: The prohibition of slavery and slave trade in all its forms and unpaid or abusive forced labor.	1
The Security Council strongly condemns the continuation of violence and human rights violations by all armed groups, including summary executions, sexual and gender-based violence and large-scale recruitment and use of children, demands that all armed groups immediately cease all forms of violence and destabilizing activities and that their members disperse, It reiterates that those responsible for violations of human rights and international humanitarian law should be held accountable and disqualified from joining the FARDC or other elements of the State security forces.	1
Through the Community Watch initiative, UNMIK has strengthened its ties with local communities.	0
The Security Council, in its resolution 1559 (2004), called for the disbanding and disarming of all Lebanese and non-Lebanese militias.	1
Training of peacekeepers Requests the Secretary-General to ensure that, prior to deployment and in theater, military and police-contributing countries are provided with technical support, including guidance and training for military and police personnel on the protection of civilians in situations of imminent danger and appropriate responses, including on human rights, sexual violence and gender issues.	0
The Secretary-General and his Special Coordinator for Lebanon have issued statements strongly condemning the criminal actions of Fatah al-Islam as attacks against Lebanon's stability and sovereignty.	1
The assessment mission report notes that there is growing concern about the humanitarian and economic impact the crisis has had on the Sahel region.	1
The members of that delegation agreed with the Prime Minister to "initiate the organization of the Palestinian armed presence in the camps to ensure security".	0
I was very concerned that, shortly after withdrawing its troops, military assets and intelligence apparatus, the Syrian Arab Republic prevented trucks from entering its territory from Lebanon.	0
In addition, Kosovo Albanian leaders have interpreted President Kostunica's victory as a threat to their independence aspirations for the province.	1
The Syrian Network for Human Rights was unable to gather information on deaths in areas isolated by the regime.	1
217. For example, the Commission would recommend the establishment of a national compensation program, which would not simply amount to monetary compensation but should consider all necessary measures to that effect, including acknowledgement of guilt, compensation for tangible economic damages, full and public disclosure of the facts in question (including through the publication of this report), the establishment of rehabilitation programs and administrative sanctions against the individuals in the institutions responsible.	0
In Security Council resolution 1624 (2005), which focuses on the threat posed by incitement to commit terrorist acts, the Council stresses that States must ensure that any measures taken to implement the resolution comply with all their obligations under international law, in particular international human rights law.	0
Bring to justice, on the principle of extradition or prosecution, anyone who finances, plans, supports, facilitates or commits terrorist acts, in accordance with international law, including human rights law	1
Due to a combination of factors, including gender-based discrimination in access to resources, education and employment, poor reproductive health care and exclusion from decision-making processes, refugee and displaced women constitute one of the most vulnerable groups in the world.	0
Many States have not reviewed the potential terrorist financing risks that this sector may pose, although the United Kingdom, in particular, has established mechanisms to assess and protect these organizations and, through the Charity Commission's international program, to achieve effective international outreach and contribute to capacity building in other parts of the world.	0
Most States have little capacity to freeze without delay funds and assets linked to terrorism.	0
1. Expresses its strong condemnation of all forms of violence, including, inter alia, murder, rape and sexual assault, intimidation, armed robbery, abduction, hostage-taking, kidnapping, harassment and unlawful arrest and detention, to which those engaged in humanitarian operations are increasingly exposed, as well as of attacks on humanitarian convoys and acts of destruction and looting of their property;	1
The event provided the basis for the development of a regional program focusing on Algeria, Burkina Faso, Mali, Mauritania, Niger and Nigeria to build the capacity of Member States to design, plan, develop and implement programs for the rehabilitation and reintegration of violent extremists in prisons.	0
Elements of the FDLR have reportedly been dispersed in South Kivu and their ability to move freely through population centers and to attack civilians has been restricted. However, the FDLR's ability to attack cannot be underestimated, particularly given that the FARDC has limited resources in the area, has little military training, suffers from a lack of discipline and, in addition, sometimes collaborates with FDLR commanders.	0
For the past month and a half, Haitian authorities have been making preliminary attempts to address issues related to the administration of justice and detentions.	1
They are under real pressure from the international community and any attempt at two-way communication jeopardizes their security.	1
The meeting, jointly organized by the Executive Directorate and the Council of Europe, focused on terrorism prevention.	0
We also wish to express our concern that the recurrence of such incidents could lead to a situation of instability in the region that would hinder a peaceful solution to the situation in Kosovo, acceptable to the parties.	1
In this context, the European Union reminds Israel of its obligation to ensure full and safe access to humanitarian organizations, including the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA).	1
(k) Provide military training, including on human rights, international humanitarian law, child protection and prevention of gender-based violence to various members and units of the FARDC integrated brigades deployed in the eastern Democratic Republic of the Congo, as part of broader international efforts to support security sector reform;	0
For our part, we consider that the issue of legitimacy is directly related to the holding of the elections, preparations for which are underway in the Joint Electoral Management Body.	1
Listed groups also need to use force to support their objectives; however, in the areas where these groups are most active, there appears to be no shortage of weapons and explosives.	0
w) Collaborate with relevant international and regional organizations to promote awareness of and compliance with the measures;	0
The United Kingdom has formed a criminal justice task force that trained judicial officers to hear counter-narcotics cases in Kabul; 65 cases have been filed, leading to 15 convictions with sentences ranging from three to nine years in prison.	0
This unpleasant political incident was strongly condemned in a press release issued immediately after the incident by the Office of President Ernest Bai Koroma and in numerous press releases issued subsequently by other political interest groups, including the APC and PMDC parties, the Independent Media Commission, the Commission for the Registration of Political Parties and the Campaign for Good Governance.	1
(x) Consult with relevant private sector representatives, in coordination with national authorities, as appropriate, to improve awareness of and compliance with travel ban and arms embargo measures;	0
In 2009, the Russian Federation tightened criminal penalties for assisting or participating in terrorist activities (including recruitment) and a bill was introduced to tighten criminal liability for terrorism-related offenses.	0
The Group investigated the supply of such vehicles to northern C̫te d'Ivoire but encountered the difficulty of not being able to conduct a thorough inspection of FN vehicles, although it did manage to photograph several of them in a military convoy in Bouake.	0
According to his statement, he was in his office when he was alerted about the explosion.	0
The Security Council urges the DPRK to return immediately and without any preconditions to the Six-Party Talks and to work for the speedy implementation of the Joint Statement of 19 September 2005 and, in particular, to renounce all nuclear weapons and existing nuclear programs.	0
(a) Request the Secretary-General to ensure the inclusion, and host countries to include, key provisions of the Convention on the Safety of United Nations and Associated Personnel, including those relating to the prevention of attacks against members of United Nations operations, the characterization of such attacks as crimes punishable by law and the prosecution or extradition of perpetrators, in future and, if necessary, existing status-of-forces or status-of-mission agreements, as well as in agreements to be concluded between the United Nations and such countries, bearing in mind the importance of the timely conclusion of such agreements;	0
Approximately half of the States carry out customs controls to combat illegal trafficking in small arms and light weapons, ammunition and explosives, but there is still a need to strengthen customs controls and train customs officers.	0
For example, Europe has the European Union and the Schengen Agreement; Africa, the Economic Community of West African States (ECOWAS) and the Southern African Development Community (SADC); Asia, the Association of Southeast Asian Nations (ASEAN) and the Commonwealth of Independent States (CIS); North America, the North American Free Trade Agreement (NAFTA); Central America, the Central American Integration System (SICA); and South America, the Andean Community and the Southern Common Market (MERCOSUR), which are evolving towards a merger to create the South American Community of Nations.	0
The Security Council reiterates its concern at the growing connection, in many cases, between terrorism and transnational organized crime, illicit drugs, money-laundering and illicit arms trafficking, and emphasizes the need to promote the coordination of efforts at the national, subregional, regional and international levels to strengthen the international response to this serious problem and major threat to international peace and security, and encourages the United Nations Office on Drugs and Crime to continue its efforts to strengthen the international response to this serious problem and major threat to international peace and security, subregional, regional and international levels to strengthen the international response to this serious problem and major threat to international peace and security, and encourages the United Nations Office on Drugs and Crime to continue its work in this regard, in collaboration with other relevant United Nations entities.	1
Pakistan's new democratic government has inherited enormous political, economic and security problems.	1
At its 2013 summit, the Group of Eight declared its "unequivocal rejection" of the financing of terrorism through ransom payments.	1
In addition, many victims informed the Commission that they had little confidence in the impartiality of the justice system and its ability to bring to justice the perpetrators of the serious crimes committed in Darfur.	1
Police officers stationed on the bridge felt in danger of being run over by the confluence of two groups of protesters. They fired two shots into the air and then tried to flee.	0
Moreover, it is clear that all this is an attempt by Eritrea to bend the Security Council to its whim by taking the personnel of the United Nations Mission in Ethiopia and Eritrea hostage.	1
Uganda is concerned about the humanitarian situation in Darfur.	1
However, as I said at Tuesday's public meeting, facts have to be seen in context, and the Security Council does nothing to contribute to a peaceful solution when it condemns the actions of one side and turns a blind eye to everything else going on in the region.	1
On the other hand, while recognizing the benefits of such measures for law enforcement, others, such as the Working Group on Internet Governance, believe that the implementation of mandatory regulation could infringe on fundamental human rights.	1
(c) The first clash in Kisangani was a clear attempt by the RPA and its allies in the CCD (Goma) to stop the regionally-backed verification process to determine whether the Kisangani CCD existed independently of the CCD (Goma), with separate political and military structures and political support or supporters in the liberated territories;	0
States should not prevent humanitarian actors from working with non-State armed groups for humanitarian purposes, in particular from carrying out activities aimed at promoting respect for international humanitarian law.	1
Since my report to the Security Council of 2 January 2008 (S/2008/1), UNOCI has removed 15 of the 17 observation posts it had established along the Green Line, as required by the Ouagadougou Agreement.	0
The High Representative/Special Representative made it clear that since the Republika Srpska authorities, in particular the Ministry of the Interior, had not arrested persons indicted for war crimes, and since Bosnia and Herzegovina had not joined the North Atlantic Treaty Organization's Partnership for Peace, the Commission would be tasked with making recommendations with a view to establishing a single, effective police structure throughout Bosnia and Herzegovina.	1
(c) Further calls upon all parties listed in the annexes to the report of the Secretary-General on children and armed conflict to address all other violations and abuses committed against children and to take concrete measures and commitments in this regard;	0
The Commission has gathered credible information enabling it to identify eight senior central government officials and military commanders and six local government officials or members of the armed forces operating in Darfur who may be suspected of being responsible for knowingly failing to prevent or suppress the perpetration of crimes, i.e., of superior responsibility.	0
Recognizing that strengthening national human rights institutions and respect for human rights, due process, and combating crime and sexual and gender-based violence, as well as measures to end impunity, are essential to ensure the rule of law and security in [the affected country],	0
The resolution also called on Croatia and the Federal Republic of Yugoslavia to cooperate fully with the Mission and to ensure the safety of observers and provide them with full and complete freedom of movement.	0
We are gravely concerned that the special processes created for this purpose seem to have failed.	1
Syrian security forces had committed a number of violations of international human rights law and international humanitarian law. Some of these violations could constitute war crimes and crimes against humanity.	0
Despite strict legal and operational controls, artisans and family businesses manufacturing small arms and light weapons continue to exist throughout the region.	0
The Forces Nationales de Lib̩ration (Palipehutu-FNL), which are a threat to the security of Burundi and the region, must join the peace process without delay.	0
In addition to analyzing the List, the Team reviews the implementation of the three sanctions measures: the assets freeze, the travel ban and the arms embargo.	0
Reaffirming the need to combat by all means, in accordance with the Charter of the United Nations, threats to international peace and security caused by terrorist acts,	1
9. Requests the Secretary-General to continue to report to it regularly, and at least every three months, on the situation in the Democratic Republic of the Congo and the activities of MONUC, and to provide it with updated and specific information on the military situation on an equally regular basis;	0
The Israeli people, who had hoped that Israel's withdrawal from Lebanon -- which was certified by this Council six years ago -- would result in security along its northern border, find themselves under constant rocket attacks by Hezbollah, which are penetrating deeper into Israeli territory every day.	1
The Security Council reiterates its demand to all parties to armed conflict to immediately and completely end all forms of violence against women and girls, including acts of sexual violence.	1
60. Decides, in order to assist the Committee in fulfilling its mandate and to support the Ombudsman, to extend the mandate of the current New York-based Monitoring Team, established pursuant to paragraph 7 of resolution 1526 (2004), and its members, for a further period of 30 months, under the direction of the Committee and with the functions set out in annex I, and requests the Secretary-General to make the necessary arrangements to that effect;	0
All states are members of the OAS, which provides regional cooperation mechanisms in terms of policies and operations.	0
One delegation expressed concern that despite the designation made by the Council, Ocean Maritime Management vessels continued to operate, including calling at foreign ports, and proposed that the Committee remind Member States of their obligation to enforce the measures resulting from the designation, in particular through the seizure of the entity's vessels and the freezing of its assets.	1
The prohibition of illegal cross-border movement is vital in the fight against terrorism, drug trafficking and commercial smuggling.	1
Mr. Le Luong Minh (Viet Nam): Terrorism is a common concern of all members of the United Nations and of the international community at large.	1
We remain concerned that, despite all attempts to restore peace and security, efforts to stabilize eastern DRC have recently suffered major setbacks.	1
We must reject any attempt to undermine the sovereignty and territorial integrity of Somalia.	1
The Committee plays a crucial role in United Nations counter-terrorism efforts by maintaining, updating and improving its Consolidated List of individuals and entities associated with Al-Qaida and the Taliban and by effectively following up on the implementation by Member States of sanctions against listed individuals and entities.	0
Several national and international journalists were arrested (and released almost immediately thanks to pressure from abroad) and threatened in the exercise of their profession by Ivorian security forces.	0
I am pleased to recall that since the Security Council adopted resolution 1559 (2004) on September 2, 2004, several of its provisions have been implemented: free and fair presidential and parliamentary elections were held, the Syrian Arab Republic withdrew its troops and military assets from Lebanon in April 2005, and the two countries established full diplomatic relations in 2009.	0
- Stresses the need for the Secretariat to provide clear and precise recommendations, no later than one month prior to the renewal of mandates, on the content of the mandate and any necessary adjustments, including logistical arrangements, taking into account the evolving situation on the ground and the views of the host country, troop- and police-contributing countries and other relevant parties, as appropriate;	0
However, it should be noted that without a strong justice and security sector, the country's flourishing peace and stability could be threatened.	1
Later that day, military operations against the ICAF airbase at Abidjan international airport resulted in the destruction of the other two Su-25s, two Mi-24v helicopters and an unmanned aerial vehicle.	0
Supporting the decision of the Democratic Republic of Congo to strive to increase the transparency of revenues from its extractive industries,	0
The Council members once again expressed their deep outrage at all the killings, abductions, rapes or torture of all Iraqi citizens and nationals of other States carried out by ISIL, as well as the recruitment and use of children.	0
At the same time, despite the promises of the democratic transition process, it should not be forgotten that this is a highly responsible stage in the history of the Middle East, which requires the utmost vigilance and hard work in order to rule out miscalculations and unpredictability regarding the future of the region.	1
- Request troop- and police-contributing countries to ensure that they are adequately trained to better understand and address issues related to the protection of personnel participating in United Nations peacekeeping and other relevant missions authorized by the Security Council for the protection of civilians.	0
We note that, in his report (S/2008/728), the Secretary-General expresses concern about the security situation in the eastern Democratic Republic of the Congo.	1
Terrorist threats to this region are somewhat different in origin and nature, but their effects are similar.	1
Member States have noted that sites that promote terrorism in one country are invariably located in another.	1
Although the F-FDTL have stated that they have 1,200 M16 rifles in 2006, records reveal that 45 of these rifles are missing, in addition to three FN-FNC semi-automatic rifles, three SKS semi-automatic rifles and two Uzi submachine guns, which were previously in the custody and control of the F-FDTL.	1
The presence of the security forces is crucial to maintain a climate of security that prevents witnesses from being bribed and allows them to access the Tribunal's facilities without fear.	0
This was made clear in the recent incidents of DIS indiscipline, namely the alleged killing of a civilian by a DIS commander in Farchana on March 22.	1
Again invites the Secretary-General to continue to transmit to the Council relevant information and analysis on the protection of civilians whenever he considers that such information or analysis may contribute to the resolution of the issues before the Council, requests the Secretary-General to continue to include in his written reports to the Council on matters under its consideration, as appropriate, observations relating to the protection of civilians in armed conflict, and encourages him to continue to consult and take concrete steps to strengthen the capacity of the United Nations in this regard;	0
The Security Council reiterates the need to enhance the ongoing cooperation of the committees with counter-terrorism mandates established pursuant to resolutions 1267 (1999) and 1989 (2011), 1988 (2011), 1373 (2001) and 1540 (2004) and their respective expert groups.	0
9. The Al-Haramain Foundation (United States of America), a listed entity, (QE.A.117.04) has filed a new lawsuit against the Government in the Federal District Court of Oregon, in addition to a previously filed lawsuit still pending in the United States. Al-Haramain claims that the U.S. decision to impose sanctions against him was arbitrary, was not supported by substantial evidence, and violated his due process rights (as it failed to explain the factual basis for the Government's action and used confidential evidence not presented to the organization), his right to be free from improper searches and seizures (based on the freezing of his assets), and his rights to freedom of speech, association, and religion. Al-Haramain also alleges that the Government's refusal to allow him to use frozen assets to pay his lawyers was a violation of his right to due process.	1
5. Condemns once again in the strongest terms all acts of violence or abuses committed against civilians in situations of armed conflict in violation of applicable international obligations, in particular with regard to (i) torture and other prohibited treatment, (ii) gender-based and sexual violence, (iii) violence against children, (iv) recruitment and use of child soldiers, (v) trafficking in human beings, (vi) forced displacement, and (vii) intentional denial of humanitarian assistance, and demands that all parties put an end to these practices;	1
Of the 203 individuals associated with Al-Qaida on the consolidated list at the end of January 2006, at least 111 (55%) have been arrested, convicted or charged with having committed criminal offenses, mostly serious or violent crimes ranging from murder to participation in terrorist acts, such as the 1998 embassy bombings in East Africa, the September 11, 2001 attacks in the United States, and the 2002 Bali bombings.	0
The Council expresses its deep concern that civilians continue to constitute the majority of victims of violence committed by parties to armed conflicts, as a result of deliberate targeting, indiscriminate and excessive use of force, and sexual and gender-based violence.	0
In response to these objectives, MINUSTAH documented widespread cases of illegal arrest, ill-treatment and prolonged pretrial detention.	1
The group's other great success has been its very survival, but it has fewer and fewer members and, eventually, most of its top leaders will be captured or eliminated.	0
In June 2009, the International Cooperation Review Group of the Financial Action Task Force on Money Laundering (FATF) identified six States in the subregion as having deficiencies in the area of money laundering and terrorist financing.	1
6. Further confirms that the provisions of paragraph 1 (a) shall also apply to the payment of ransoms to listed individuals, groups, undertakings or entities;	0
Establishment of a gender and development unit at headquarters and a network of gender focal points at the country and regional levels.	0
Finally, the broad institutional, cultural, ethnic and spiritual diversity of several of the societies currently undergoing such historic and profound changes may raise specific tensions and security concerns.	1
The Security Council calls upon the Sudan and Chad to respect and fully implement their mutual commitments, in particular those made in the Doha Agreement of 3 May 2009 and the Dakar Agreement of 13 March 2008, to engage in constructive discussions with the Dakar contact group and to welcome the good offices of Libya and Qatar to normalize their relations, cooperate to put an end to the cross-border activities of armed groups and strengthen measures to suppress illicit arms trafficking in the region, including through the establishment of effective joint border monitoring.	0
Implementation of the Bureau's policy on gender equality and its action plan for gender mainstreaming in four areas of activity: coordination, information management, advocacy and policy.	0
The Internet has also helped Al-Qaida to increase the public impact of the relatively few operations it has been able to execute and, in so doing, has counteracted some of the intended effects of the embargo.	0
The Security Council calls on Burundi to prevent the provision of any support from its territory to armed groups in the Democratic Republic of Congo.	1
(n) Consult with the intelligence and security services of Member States, including through regional fora, in order to facilitate the exchange of information and strengthen the implementation of measures;	0
However, international human rights mechanisms have raised concerns about violations allegedly committed by intelligence and law enforcement agencies in the course of their investigations and interrogations.	1
Condemning cases of kidnapping and hostage-taking for the purpose of raising funds or obtaining political concessions and expressing the need for this issue to be addressed,	1
The Prosecutor mentioned with concern the unresolved issues concerning persons deprived of their liberty in Libya and the mass displacement of the inhabitants of Tawergha.	1
The Security Council recalls its resolution 2048 (2012) and, in this regard, reiterates its readiness to consider further measures, including, if deemed necessary, targeted sanctions against individuals who undermine efforts to restore constitutional order.	0
The Security Council encourages Member States to continue to cooperate with each other in the fight against piracy and armed robbery at sea off the coast of Somalia, stresses the primary responsibility of the Somali authorities in the fight against piracy and armed robbery at sea off the coast of Somalia, and requests the Somali authorities, with the assistance of the Secretary-General and relevant United Nations entities, to adopt without delay a comprehensive set of anti-piracy laws and to declare an exclusive economic zone in accordance with the United Nations Convention on the Law of the Sea.	0
At the same time, Germany and the European Union have previously repeatedly condemned the terrorist atrocities that have resulted in the deaths of hundreds of Israelis.	1
On this basis, I wish to accede to the Pakistani request and intend to establish a three-member Commission of Inquiry.	0
Urges the signatories [of the peace agreement] to work towards a sustainable solution that allows for the voluntary return, resettlement, reintegration and security of the displaced, including by addressing land tenure issues, with the support of the United Nations system, and, in this regard, to fulfill their commitments under the political Agreement ... and their obligations under international law.	0
The Catholic Church and civil society organizations expressed concern that these commutations of sentences could contribute to a perception of impunity, although the President explained that the commutations had been decided in consultation with the Government, members of Parliament and families of victims and perpetrators, among others, and in accordance with the Constitution and applicable laws.	1
President Al-Bashir retaliated diplomatically against Kenya and threatened it with economic and trade sanctions.	1
Establishment of standards for prosecution and sentencing of accused gender-based crimes; prosecution of those accused of genocide; development of jurisprudence; strengthening of national capacity to prosecute those responsible for genocide.	0
While Pristina and Belgrade strongly condemned the incident and demanded the arrest of the perpetrators, each side has blamed the other for provoking the incident.	1
On July 20, the Council held an open debate (4174th meeting) to discuss its role in the prevention of armed conflict.	0
The LRA conducts a protracted and particularly violent insurgency in northern Uganda, which has resulted in the death, abduction and displacement of thousands of innocent civilians in Uganda, Sudan and the Democratic Republic of Congo.	0
The Security Council commends in this regard the support provided by neighboring countries to refugees from the Democratic Republic of the Congo.	0
In an effort to contain the Ebola outbreak, some West African countries closed their borders and suspended commercial flights to the three most affected states of Guinea, Liberia and Sierra Leone. C̫te d'Ivoire restricted flights to and from the three states on August 10, followed by a closure of land borders on August 22.	0
The secessionist group of MPs rejected Garowe's process and passed a motion to bring forward the presidential elections from July to April 30 this year.	1
(b) A committee composed of all the members of the Security Council shall be established, in accordance with rule 28 of the provisional rules of procedure, to carry out the functions set forth in the annex to this resolution;	0
The detention and physical assault of United Nations personnel is totally unacceptable.	1
The establishment of the Interpol-United Nations Security Council special notices was made possible by the extraordinarily close cooperation between the two agencies over the past year and the agreement between the Interpol General Assembly and the 1267 Committee.	0
The Security Council also welcomes the recent improvements made to the procedures of the Committee established pursuant to resolutions 1267 (1999) and 1989 (2011), in particular with regard to the effective and valuable work of the Office of the Ombudsman, established pursuant to resolution 1904 (2009).	0
At headquarters, the agitated intervention of the Minister of the Interior, including the fact that he had removed a weapon from storage, would have contributed to a climate of panic.	1
:: Establishment of media monitoring mechanisms to ensure effective monitoring, documentation and reporting of all incidents, sources and content of hate media messages.	0
The Council demands that the Government of Sudan immediately withdraw from the Abyei area.	1
As I said earlier, the application of double standards in the treatment of terrorism and terrorist groups is also a serious concern that seriously undermines the efforts of the international community in its fight against terrorism.	1
(c) Prevent the direct or indirect supply, sale and transfer to such persons, groups, undertakings or entities from its territory or by its nationals outside its territory or by its flag vessels or aircraft of arms and related materiel of all types, including weapons and ammunition, military vehicles and equipment, paramilitary equipment and spare parts, as well as technical advice, assistance or training related to military activities;	0
I cannot overemphasize the risk that the lack of military helicopters poses to the operational effectiveness of the force.	1
Mr. Serry described as alarming the disparity between the progress made towards the creation of a Palestinian state and the persistent and profound stagnation of the political track.	1
