es_en_TRANSOFMERS	MatCoop
(a) To promote the adoption of national counter-terrorism legal frameworks that are both comprehensive and integrated, consistent with the rule of law and human rights obligations, and to strengthen national capacity to investigate, prosecute and decide on terrorist acts, including through the request for assistance in developing such capacity, as necessary;	1
The Council reaffirms that in order for a society that has experienced conflict or is recovering from conflict to recover from past abuses against civilians and to be able to prevent them in the future, it is imperative to end impunity.	0
Any deprivation of liberty must be carried out in accordance with the provisions of article 9: it must not be arbitrary; it must be based on the cases established by law and imposed in accordance with the procedure established therein; the person arrested must be informed of the reasons for his arrest; the detention must be subject to judicial control; and reparation must be provided in the event of unlawful detention.	0
âThe Security Council expresses its grave concern that the continued instability and growing security vacuum in the Central African Republic continue to negatively affect operations against LRA and contribute to strengthening LRA in the country.	0
Collaboration in the development and implementation of a gender-sensitive HIV/AIDS policy, such as training, codes of conduct, HIV testing, civil and military cooperation, resource information and best practice materials; integration of an HIV/AIDS policy within DPKO; and strengthening the capacity of peacekeeping operations, including future peacekeepers, to address HIV/AIDS.	1
In November, the All Sources of Information Fusion Unit initiated construction work to establish a subunit in the new Timbuktu camp.	1
Member States submitted information during the review leading to a total of 465 proposed amendments to the List (and changes to 217 narrative summaries of reasons for listing).	0
" The Security Council emphasizes the importance of exploring the existing and potential capacity of regional and subregional organizations in the area of peace and security, including, inter alia, all activities in conflict prevention, confidence-building, conflict resolution, peacemaking, peacekeeping and post-conflict peace-building, and welcomes regional dialogue and the promotion of common standards, as well as common regional approaches to dispute resolution and other peace and security issues.	1
Pro-Government militias have played an important role in the Government's security activities in CÃ´te d'Ivoire, especially in the western part of the country.	1
(b) To encourage States in the subregion to take advantage of the capacity of law enforcement and other forms of training to improve the implementation of counter-terrorism laws,	0
An eighth formed police unit from Nigeria is scheduled to be deployed in October.	1
The bill, which will be submitted to Parliament, provides that at least 30 per cent of parliamentary seats should be reserved for women; that one district in each constituency at the local council level should be allocated to women candidates; and that political parties should assign âsafeâ posts to women candidates.	1
- To urge relevant regional and/or subregional bodies to develop and implement policies and to undertake advocacy activities for the benefit of civilians affected by sexual violence.	1
- Terrorism in all its forms and manifestations constitutes one of the most serious threats to international peace and security;	0
âThe Security Council invites all States, the International Maritime Organization, the International Labour Organization and other relevant international organizations and agencies to take or recommend, as appropriate, measures to prevent kidnapping, measures to protect the interest and well-being of pirated seafarers, both during their captivity through the provision of medical assistance and other humanitarian assistance, and after their release, including post-incident assistance and reintegration into society, and, in this regard, takes note of the proposals for the development of a hostage support programme developed by the United Nations, the United Nations Political Office for Somalia and the United Nations Office on Drugs and Crime.	1
The Congolese Government has indicated that it will stand firm with regard to the deadline of 2 January 2015.	0
In its analysis, the Monitoring Team has noted that at least 31 States have established committees or other national mechanisms to coordinate all relevant agencies dealing with counter-terrorism issues.	1
Opposition forces (of Mohamed Ibrahim Habsade) gained control of Baidoa on 26 or 27 March by overwhelmingly defeating the militias of President Yusuf and Sheikh Madobe.	0
The MINUSTAH integrated headquarters was fully established on 27 June.	1
In this context, Prime Minister Seniora has called for continued United Nations assistance and support for such internal dialogue in order to resolve the issue of Lebanese and non-Lebanese militias in Lebanon, in full conformity with the Taif Agreement.	0
States should rather establish a clear, comprehensive and coherent legal framework that explicitly criminalizes terrorist acts as serious criminal offences, punishes such acts according to their gravity and facilitates the prosecution of terrorists by the courts.	0
Just yesterday, the Prime Minister of Georgia issued a detailed settlement plan for the conflict in another separatist region of Georgia, the Tskhinvali region/ex-South Ossetia.	0
National security forces officers were trained (50 in AdrÃ© and 42 in AbÃ©chÃ©).	1
While the Government made progress in accordance with the action plan, i.e. the deployment of police forces, it did not fulfil its commitment to remain outside areas under the control of armed movements.	0
Takes note of the development of the human rights due diligence policy, encourages the [Mission] to implement it fully, and requests the Secretary-General to include in his reports to the General Assembly progress made in the implementation of that policy;	0
In the medium term, particular efforts would be made to control mining areas, eliminate the threat posed by armed groups in Ituri and restrict the presence of FDLR in certain areas with a view to facilitating the disarmament, demobilization, repatriation, reintegration and rehabilitation process.	0
It is not a question of forgetting the commitments made to those who wish to return home and need support in order to realize their aspirations. It would not be a substitute for current policies but a supplement to them.	1
Act No. 535/2004 on preventing and combating terrorism was promulgated by the President of Romania by Decree No. 994/2004 of 24 November 2004 and entered into force three days later.	1
The two leaders laid the foundations for continued dialogue between Lebanon and the Palestinians, which I believe is an important step towards definitively overcoming a difficult past and reaffirming Lebanon's sovereignty and political independence.	0
In response, the UNMIK Department of Justice established a joint working group with the institution-building component to review the report and explore ways to implement its recommendations.	0
The unit shares information with its counterparts in other countries, both directly and through law enforcement agencies.	1
Evidence shows that there is reason to suspect that six F-FDTL soldiers are guilty of homicide.	0
Following the second battle for control of Baidoa, Habsade again received logistical support from his allies in Mogadishu.	1
Among the different possibilities is the carrying out of a suicide bombing with explosives; an explosion carried out by remote control using frequencies other than those interfered by the devices or frequencies used by those same devices; an explosion carried out by remote control using the interference devices themselves; an explosion carried out by remote control from a Thuraya satellite phone, the only telephone company that has a satellite telephone network in Lebanese territory; an explosion carried out by means of a TNT cable circuit; or an explosion carried out by means of a circuit with another type of cable, such as a telephone line.	0
âThe Security Council reiterates its request to the Secretary-General to include in his country-specific reports more comprehensive and detailed information on the protection of civilians in armed conflict.	0
Mauritius introduced a new border control system in 2009 which records passenger data on entry or exit from the international airport in a database.	1
I urge the parties to the Comprehensive Peace Agreement and the international community to extend their fullest cooperation to the independent group that I established at the request of the parties.	1
The Team recommends that the Security Council and the Committee encourage States to choose or establish national mechanisms to identify and designate individuals and entities to be included in the consolidated list based on clearly defined legal powers independent of criminal proceedings.	0
For the system to function effectively, it is essential that all assets subject to sanctions of a listed individual or entity be frozen as soon as such listing is made.	0
Stresses the responsibility of the United Nations country task forces for monitoring and reporting and United Nations country teams, within their respective mandates, to ensure effective implementation of their resolutions on children and armed conflict, to monitor progress and to report thereon to the Secretary-General, in close cooperation with his Special Representative for Children and Armed Conflict, and to ensure a coordinated response to children and armed conflict issues.	0
:: The needs of women and girls during repatriation and resettlement and for post-conflict rehabilitation, reintegration and reconstruction.	1
In accordance with resolution 1963 (2010), the Executive Directorate will also assist the Committee in organizing a special meeting, open to all members and other relevant stakeholders, to celebrate the tenth anniversary of the adoption of resolution 1373 (2001) and the establishment of the Committee.	1
The first of these issues relates to the most appropriate way for the Committee to ensure that sanctions will promote peace and stability in Afghanistan, and the second relates to judicial challenges that continue to be brought against the implementation of those measures by Member States.	0
As the situation in the Beni area indicates, efforts to neutralize scattered armed groups supported by local criminal networks and FARDC elements take some time to translate into visible results.	1
âThe Security Council reaffirms its full support for the efforts of the United Nations, in particular the activities of the United Nations Special Mission to Afghanistan (UNSMA) and those of the Special Envoy of the Secretary-General for Afghanistan, in order to facilitate the political process to achieve the objectives of national reconciliation and a lasting political settlement with the participation of all parties to the conflict and all segments of Afghan society, and reiterates its position that the United Nations should continue to play a central and impartial role in international efforts to achieve a peaceful settlement of the Afghan conflict.	1
New regional and bilateral mechanisms for law enforcement cooperation have been established, for example with regard to early warning mechanisms and intelligence cooperation.	1
A number of Member States have taken interim measures to enable their officials to implement the sanctions when a name has been included in the Security Council List, even before the national validation process has been completed.	1
(b) Continue to improve border security at entry points and along permeable borders to prevent and suppress the transboundary movement of terrorists, cargo, weapons and explosives, as well as bearer negotiable money and instruments, and to implement the best international codes and standards established by specialized agencies, such as ICAO, IMO and WCO;	1
According to his statement, he was in his office when he was alerted about the explosion.	0
Moreover, it is clear that all this constitutes an attempt by Eritrea to subject the Security Council to its whim, taking personnel of the United Nations Mission in Ethiopia and Eritrea hostage.	0
However, the Deputy Prime Minister's Social Democratic Party has publicly stated that it will not withdraw from the MPA coalition in order not to jeopardize the stability of the Government.	0
Some States have begun to recognize it by developing comprehensive national counter-terrorism strategies that go beyond law enforcement to involve different social actors.	1
This represents a success for the sanctions regime, as it indicates that a significant number of Taliban have apparently changed their conduct.	0
The State has imposed openly discriminatory restrictions on women with the desire to maintain the sexist stereotype of pure and innocent Korean women.	0
This cooperation resulted in the development and implementation of practical solutions in operational and naval coordination and legal and judicial matters, self-protection measures in the maritime transport sector, public diplomacy and interventions to disrupt pirate activities on land.	1
During the reporting period, information was received on alleged activities of the Indonesian army in the disputed border area of Oecussi.	0
(iv) To prepare and regularly update, at least once a month, a schedule of outreach activities or other similar activities, covering future periods of at least six months and including information on other activities of the States concerned, as well as relevant international, regional and subregional organizations, the Counter-Terrorism Committee, the Committee established pursuant to resolution 1267 (1999) and other United Nations bodies;	0
According to case law, in case of doubt it should also be established whether (a) a group of persons is considered and in fact treated as part of one of the protected groups, and (b) they consider themselves to be part of one of those groups.	1
13. Authorizes the Member States acting in accordance with paragraph 10 above, pursuant to annex 1 - A of the Peace Agreement, to take the necessary measures to ensure compliance with the rules established by the Commander of SFOR on command and control of airspace over Bosnia and Herzegovina in respect of all civilian and military air traffic;	1
However, the overall pace of reporting needs to be maintained in order to gather more comprehensive and up-to-date information on progress towards the full implementation of the resolution.	1
On 14 April 2011, the Coordinator met with Mr. Khaled Al-Jarallah, Under-Secretary of the Ministry of Foreign Affairs of Kuwait, who indicated that the task of finding the remains of Kuwaiti victims should not be âmixedâ with what might happen in the political relations between Iraq and Kuwait.	0
One of the detainees was the driver and bodyguard of Majed Hamdan, the brother of Mustapha Hamdan, who runs a company that allegedly deals with security at the St.	0
âThe Security Council notes that multidisciplinary United Nations assessment teams, with the consent of host States, could assist States and support them in separating combatants and civilians.	1
This method was used to reduce potential losses of weapons to naval forces activities.	1
I remain concerned that mistrust between the parties, coupled with the continued presence of the militias, may lead to tensions, and possibly insecurity and instability within and outside Lebanon.	0
During the period under review, several members of opposition parties in Niger were arrested and subsequently released on bail.	0
The courts and bodies established under the constitution are still in the process of development and the system continues to rely heavily on international staff performing leadership functions.	1
(c) Encourage States to take appropriate measures to protect non-profit organizations from being used for the financing of terrorism.	1
The European Union calls on this Government to make rapid progress on the other aspects of the implementation of the Comprehensive Peace Agreement and in particular the establishment of an evaluation commission to monitor these developments.	1
However, there is still potential for a total collapse of public order, in addition to a collapse of the fragile economy and a disintegration of autonomous institutions.	0
B. Preservation of the crime scene	1
By the end of 2013, the number of politically motivated public executions appeared to increase.	0
:: On 15 November 2014, regime helicopters dropped a barrel bomb on Omar ibn al-Khattab Mosque in Aleppo, causing significant damage.	0
As a first step, I asked Mr. van Walsum to establish contacts with the parties and neighbouring States to seek their views on the next steps.	1
Apart from this, there have only been minor security incidents affecting the electoral process directly since voter registration began on 25 April, including some related to long lines in electoral registration offices, minor assaults on electoral guards and theft and destruction of equipment.	0
The girls were detained for three days; they were raped and then released.	0
Many States have also proceeded to strengthen the role and effectiveness of the judiciary, which is an essential pillar in ensuring that responses to the threat of terrorism are based on the principles of the rule of law.	1
On 25 March, in the area known as PK 18 in Abobo, between 9.30 a.m. and 10 a.m., two policemen were brutally murdered.	0
The current functioning of the police service, the National Police of Timor-Leste (PNTL), and in particular the Defence Force, the Armed Forces of Defence of Timor-Leste (F-FDTL), is hampered by what is considered a lack of legitimacy as a result of the manner in which they were created.	0
All but one States, for which information is not available, have established strategies and institutional structures to combat terrorism, and there is full or partial coordination between law enforcement agencies dealing with counter-terrorism.	1
Another area in which the Executive Directorate considers that it has scope for future work is improving the integration of human rights approaches into counter-terrorism programmes.	1
The Committee notes with concern the irregularities over several years in F-FDTL arms inventories.	0
However, government authorities and other sources reported the destruction of civil records by MPCI fighters in prefectures. 2. Looting and desecration	0
The two parties to the Comprehensive Peace Agreement appointed coordinating agents for children and armed conflict.	1
He said that no one knew who had fired the helicopter, as the incident had occurred near Bentiu, where the armed parties were very close to each other.	0
Regular joint cordon-and-search operations and the strengthening of their presence in the area have made it possible to arrest some militiamen and seize illegal weapons and ammunition, as well as to restrict the scope for manoeuvre of militia groups.	0
In the second phase of the registration process that took place between June 2007 and December 2007, United Nations teams verified the age and date of recruitment of all staff in the cantonments.	1
It is also important that special attention be paid to specialized training activities for investigators, prosecutors and judges in areas such as combating the use of the Internet for terrorist purposes; supporting and assisting victims of terrorist acts; combating terrorism with chemical, biological, radiological and nuclear weapons; combating terrorist offences related to transport and combating the financing of terrorism.	1
The most serious and bloody incident was the unprovoked attack by tribal militias on the Aro Sharow internally displaced persons camp and the villages of Gosmino and Ardja in the Kulbus area of Western Darfur, near the Chad border, on 28 September.	0
Judge Mezher accepted the proposal under the following conditions: that the vehicles should be filmed at the site of the event, marked and numbered; they should also be filmed during transport and once again upon arrival at the Helou barracks, where they should be covered and guarded 24 hours a day to prevent the destruction of evidence.	0
This could also help to promote regional cooperation in the fight against terrorism.	0
Some regions have also concluded specific agreements aimed at controlling the export, import and transit of such weapons.	1
FAO also provides technical and legal support to the Federal Government of Somalia to facilitate the adoption of a sound legal framework for fisheries, including the establishment of a Somali Federal Fisheries Authority under the Ministry of Fisheries and Marine Resources.	1
Effective coordination and implementation of mine action policy and guidelines for gender mainstreaming in mine action programmes. Inter-Agency Working Group on Disarmament, Demobilization and Reintegration (chaired by DPKO and UNDP) Established by CEPS to enhance the Organization's performance in the area of disarmament, demobilization and reintegration, the Inter-Agency Working Group provides technical advice, for example, on training needs, policies and strategies; maintains and revises the already developed United Nations disarmament, demobilization and reintegration guidance material; develops and manages the United Nations Resource Centre on Disarmament, Demobilization and Reintegration; and facilitates the planning of disarmament, demobilization and reintegration operations among relevant United Nations agencies.	1
" The Security Council recognizes the importance of a comprehensive, coherent and action-oriented approach, including early planning, to the protection of civilians in situations of armed conflict.	0
:: Increase cooperation and coordination with the Counter-Terrorism Committee and its Executive Directorate, with the 1540 Committee and with all international agencies and organizations that have accumulated experience and expertise in the fight against terrorism.	1
In July 2010, Angola adopted legislation to establish preventive and restrictive measures against money-laundering and the financing of terrorism, and on 15 April 2010, it formally applied for membership of the Anti-Money Laundering Group in Eastern and Southern Africa.	1
Tajikistan established the Financial Supervision Department (its financial intelligence unit) in October 2009 and prepared a new bill against money-laundering and the financing of terrorism in November 2010.	1
Measures to combat transnational crime had been stepped up and could be adapted to the fight against terrorism if necessary.	1
The impunity of these high-ranking officials is unacceptable and prevents communities emerging from conflict from recovering sustainably.	0
:: On 28 November 2014, regime warplanes launched a missile at a water crossing between the villages of Bolail and Sabha in Dayr al-Zawr province, resulting in five deaths and six injuries.	0
Several members of the Group expressed strong support for resolution 2185 (2014) and the first briefing by heads of police components as an important basis for the work of the Panel on the police aspects of peacekeeping operations.	0
In particular, Prime Minister Seniora has informed me that an internal dialogue is under way on the provision of the resolution on the disbandment and disarmament of militias, which he has recently initiated, and is committed to its successful conclusion.	0
The Committee was also of the view that, in cases where the death of a person was confirmed, and if it was established that the person did not possess assets, or that no beneficiary of the assets appeared on the List, the Committee should proceed to delist that person (para. 19).	1
Bearing in mind also the recommendation of the Commission in this regard that international assistance should be maintained to enable the Lebanese authorities to fully clarify this terrorist act, and it was essential that the international community make a sustained effort to establish, together with the Lebanese authorities, a structure of assistance and cooperation in the field of security and justice,	1
C. Dismantling and disarming Lebanese and non-Lebanese militias	0
In early 2015, MINUSMA will initiate a revision of the Mission concept, which will guide the review of the concepts of the complementary military, police and support components that detail and underpin the implementation of the Mission concept.	0
In the latter (S/2012/376), as in previous (S/2009/277 and S/2010/579), the Secretary-General identified five core challenges around which the debate should revolve: promoting compliance by parties to conflict with international law; improving compliance by non-State armed groups; enhancing protection by United Nations peacekeeping and other relevant missions; improving humanitarian access; and increasing accountability for violations.	1
The Council expresses its deep concern that civilians continue to constitute the majority of the victims of violence committed by parties to armed conflict, including as a result of deliberately targeted attacks, the indiscriminate and excessive use of force, the use of civilians as human shields and sexual and gender-based violence, as well as all other acts committed in violation of applicable international law.	0
(1) The offender shall be punished by imprisonment for a term of 3 to 10 years or confiscation of property:	0
7. Reaffirms that ending impunity is essential if a society in conflict or recovering from conflict is to face the reality of past abuses against civilians affected by armed conflict and to prevent such abuses in the future, draws attention to the variety of justice and reconciliation mechanisms that can be considered, including national, international and âmixedâ criminal tribunals and truth and reconciliation commissions, and notes that such mechanisms can promote not only individual accountability for serious crimes, but also peace, security, reconciliation and the rights of victims;	0
During the reporting period, the security situation in the north-eastern Central African Republic continued to be affected by inter-ethnic conflicts, banditry and cross-border criminal activities, which remained the main threats to security and stability in the Vakaga and Haute-Kotto regions.	0
(b) A committee composed of all members of the Security Council shall be established in accordance with rule 28 of the provisional rules of procedure for the performance of the functions set out in the annex to the present resolution;	1
7. Urges all States to act strictly in accordance with the provisions of this resolution, irrespective of the existence of rights conferred or obligations imposed under an international agreement or a signed contract, or of any licence or permit granted prior to the date of the entry into force of the measures provided for in paragraph 4 above;	0
This affects the Mission's ability to rapidly deploy uniformed personnel to protect civilians at risk in the west of the country if the situation so requires, as well as to support the overall activity of the United Nations country team.	1
The strategy also seeks to broaden the donor circle by including countries where particularly effective counter-terrorism approaches or systems have been developed.	1
In addition, the Committee considered that the list of items, materials, equipment, goods and technology related to ballistic missile programmes contained in the annex to its previous report (S/2014/253) replaces the previous list (see S/2012/947) and will be subject to the measures imposed by the Security Council in paragraphs 8 (a), (b) and (c) of resolution 1718 (2006).	0
The Network is also intended to promote policy contributions at the national and European levels, in particular for the implementation of the 2005 European Union Strategy to Combat Radicalization and Terrorist Recruitment.	0
In another case, the Tribunal again reviewed the various elements of an attack directed against the civilian population as part of the definition of crimes against humanity.	0
In addition, the Mission should continue to protect United Nations personnel and property and, in accordance with its current mandate and provided that adequate aviation resources are made available to it, and contain violent acts that threaten the protection of civilians during the electoral period.	1
Information from June 2005 frequently cited by the International Crisis Group that a helicopter destroyed in Yamoussoukro by the French attack of 6 November 2004 was Guinean has proved to be false, as evidenced by the Panel's accounting.	1
Recalling the statement of its President of 8 July 1999 (S/PRST/1999/21) and stressing its call for the inclusion, where appropriate, of clear provisions relating to the disarmament, demobilization and reintegration of former combatants, including the safe and timely elimination of weapons and ammunition, in the mandates of United Nations peacekeeping operations,	0
It should be noted, however, that SLPP and PMDC parliamentarians boycotted the opening of the parliamentary legislature by launching protests, among other issues, against the ban on political rallies and parades imposed by the Sierra Leone police following the violence on 9 September in Bo.	0
In order to achieve lasting regional peace, the issue of negative forces must be addressed in a comprehensive manner and disarmed by force.	1
32. Requests the Secretary-General, in his reports to the General Assembly on the situation in specific countries, to include more comprehensive and detailed information on the protection of civilians in armed conflict, including incidents in this regard and measures taken by parties to armed conflict to fulfil their obligations to respect and protect civilians, with specific information on the protection needs of refugees, internally displaced persons, women, children and other vulnerable groups;	1
(h) To participate actively in and support all activities undertaken within the framework of the United Nations Global Counter-Terrorism Strategy, including those of the Counter-Terrorism Implementation Task Force, established to ensure overall coordination and coherence of counter-terrorism activities within the United Nations system, in particular through relevant working groups;	1
It is clear that the mass destruction of villages by Government forces and the Janjaweed was not justified by military necessity.	0
Many challenges remain in combating impunity, particularly because of the limited capacity of judicial authorities, both civilian and military, to conduct independent and thorough investigations and provide protection to victims and witnesses.	0
The purpose of the attacks is clear: to exterminate the moderates in Syria and to eradicate our forces on the ground.	0
31. Encourages States to request the de-listing of persons whose death has been formally confirmed, in particular when assets have not been located, and of entities reported or confirmed to have ceased to exist, and at the same time to take all reasonable measures to ensure that assets belonging to such individuals or entities have not been transferred, distributed or are to be transferred or distributed to other individuals, groups, undertakings or entities on the Al-Qaida Sanctions List;	1
He has a "special representative" who deals with drug crops on his behalf and uses his militia to protect such crops.	0
Allow an agreed number of Serb military and police personnel to return to Kosovo and Metohija (annex II, paras. 4, 6 and 10 and military and technical agreement, para. 4).	1
Other sources reported that the Janjaweed and soldiers abducted, held confined and repeatedly raped women and girls in the villages they attacked, in military camps and in hiding places, and that they were also tortured to prevent them from escaping.	0
In this case, they are suspected of indiscriminate attacks against civilians, which constitutes a war crime.	0
Within the framework of the International Support Strategy and the Stabilization and Reconstruction Plan, eight State facilities have been transferred to national authorities, including police and administrative facilities in the territories of Masisi and Rutshuru, North Kivu; police, administrative and judicial facilities in Walungu, South Kivu; and a nautical training centre for border police in Ituri district.	1
Four States have enacted appropriate legal measures to criminalize the provision of shelter, while four have done so in part and two have not provided information in this regard.	1
In order to continue reporting to the Security Council and potential bilateral partners on security threats in the Vakaga region, I have sent a team to review the current security situation and assess risks, and will report its main findings to the Council.	1
6. Recalls its decision contained in resolution 1373 (2001) that all Member States ensure the prosecution of any person involved in the financing, planning, preparation or perpetration of terrorist acts or in supporting such acts, and decides that all States shall ensure that their domestic laws and other legislation criminalize serious crimes that are sufficient to enable prosecution and punishment to be duly reflected in the gravity of the offence:	0
In its resolution 2154 (2014), adopted on 8 May 2014, the Security Council noted with deep appreciation the manner in which Captain Mbaye Diagne of Senegal, who, acting in the service of the United Nations Assistance Mission for Rwanda, disarmed and facing extreme and constant danger, saved hundreds, or perhaps even a thousand, of Rwandans from death during the 1994 genocide in Rwanda.	0
At a minimum, it should alleviate their suffering by forcing the State of the Sudan to compensate them.	1
In paragraphs 1, 2 and 7 of resolution 1844 (2008), it imposed specific measures (travel ban, assets freeze and targeted arms embargo) against individuals and entities designated by the Committee.	0
The members of the Council unanimously expressed concern about the state of the peace process and expressed the confidence that the next meeting of the Group of Friends of the Secretary-General would advance that process.	0
The Group noted with satisfaction that some countries have suspended or blocked the export of military goods and services to CÃ´te d'Ivoire.	0
:: Respect for the right of refugees and internally displaced persons to return voluntarily and in safety and dignity to their places of origin.	1
The French authorities are extremely concerned about the current deterioration of the situation in the northern Gaza Strip last week.	0
No document was prepared setting out the grounds for the declaration, its territorial scope, the degree of intervention of the military authorities, the powers conferred, as well as the form of cooperation between F-FDTL and PNTL or the decisions of the field operations command.	0
We are deeply concerned that unless both sides demonstrate a firm will to end terrorism and violence, the peace process will not succeed.	0
Noting with concern the changing nature of the threat posed by Al-Qaida, Osama bin Laden and the Taliban, and other individuals, groups, undertakings and entities associated with them, in particular the ways in which terrorist ideologies are promoted,	0
Collection of extrabudgetary resources for the establishment of a gender adviser post at Headquarters.	1
(a) To continue to remind Member States of their obligation to extradite or prosecute, in accordance with the international counter-terrorism instruments to which they are a party, to ensure that political motivation is not a basis for rejecting requests for the extradition of alleged terrorists;	0
The legislation of most States establishes due diligence obligations with respect to clients and information mechanisms that require financial institutions and certain professionals to identify their clients and report any suspicious activity to the authorities.	1
States have also strengthened the implementation of necessary measures against terrorism at the institutional level.	1
Given the above concerns and the continued presence and activities of militias in Lebanon, improving the management and control of the country's land borders is critical to preventing the illegal flow of weapons to armed groups.	1
In response to an invitation by the President of the Economic and Social Council, on 3 May the President of the Council attended the high-level meeting of the Economic and Social Council to discuss the work of its ad hoc advisory groups on African countries emerging from conflict (Burundi and Guinea-Bissau).	0
âThe Security Council recognizes the important work of United Nations entities and other multilateral organizations in supporting efforts to prevent and suppress the financing of terrorism and terrorist organizations, in particular the Financial Action Task Force, the Eastern and Southern Africa Anti-Money Laundering Task Force, the Intergovernmental Action Task Force against Money Laundering in West Africa and the Middle East and North Africa Financial Action Task Force.	0
(6) Convention for the Suppression of Unlawful Seizure of Aircraft, signed at The Hague on 16 December 1970; ratified on 6 April 1972 and entered into force in the Socialist Republic of Czechoslovakia on 6 May 1972.	0
Significant progress was also made in establishing operational municipal assemblies, with over 800 members of the new assemblies sworn in on 11 November.	1
These figures do not take into account the likely involvement of listed groups or individuals in attacks claimed by non-listed groups, such as Tehrik-e-Taliban in Pakistand or Al-Shabaab in Somaliae.	0
The project will be implemented by the United Nations Office for Project Services (UNOPS) and implemented by municipalities in the Pristina and Gnjilane regions.	1
6. Also requests the Committee established pursuant to resolution 1267 (1999) to submit to the Security Council periodic reports on the implementation of the present resolution;	0
However, the ability of the Lebanese State to fully exercise its authority throughout its territory remains limited and the production of a number of security incidents once again demonstrated that armed groups beyond the control of the State, as well as the proliferation of weapons, pose threats to the security of Lebanon.	0
The Committee continued its consideration of three requests for exemption: the first concerned a proposal for technical assistance to the Islamic Republic of Iran submitted by a United Nations specialized agency; the second concerned a request from the Mine Action Centre of the Islamic Republic of Iran received by a State proposing cooperation with that State on mines; and the third concerned a request for technical training for the Iranian armed forces sent by the Islamic Republic of Iran to a State.	1
