es_en_GOOGLE	VerCoop
The group looted premises and allegedly kidnapped some 44 residents, two of whom died from gunshots.	0
The international community has put all its efforts into solving the problem of the presence of armed groups in the Democratic Republic of the Congo.	0
Council members welcomed the efforts made by the Government to combat the Lord&#39;s Resistance Army, as well as the regional cooperation initiative of the African Union to eliminate the Lord&#39;s Resistance Army and appoint a special envoy of the African Union to coordinate the initiative.	1
h) Enhance the global role of the Executive Directorate in the field of strategic communication to combat terrorism, through information to Member States in general, collaboration with leaders and opinion makers at the global level and contact with the media and other relevant stakeholders.	1
The Council considers the possibility of using the International Commission of Inquiry established in accordance with Article 90 of Additional Protocol I to the Geneva Conventions.	1
d) The establishment of a Truth and Reconciliation Commission in CÃ´te d&#39;Ivoire, with the support of the United Nations and taking into account the experience gained and the best practices that have emerged in this area in recent years;	1
The Government was thus in the final stage of approving military guidelines to prevent military use of schools; and in the process of developing a comprehensive strategy on children and armed conflict for its armed forces.	0
2. Decides that the persons previously designated as Taliban and the other persons, groups, companies and entities associated with them whose names appear in section A (&quot;Persons associated with the Taliban&quot;) and section B (&quot;Entities and other groups or Companies Associated with the Taliban&quot;) from the Consolidated List maintained by the Security Council Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban and associated persons and entities as of the date of adoption of this resolution are no longer part of the Consolidated List, but instead appear on the List described in paragraph 1, and further decides that all States will continue to take the measures described in paragraph 1 against such individuals, groups, enterprises and entities included in the List;	0
However, the Deputy Prime Minister&#39;s Social Democratic Party has publicly stated that it will not withdraw from the AMP coalition so as not to endanger the stability of the Government.	1
With regard to the role of the Security Council in reparations, it was noted that on several occasions the Council was encouraged to take action in relation to that aspect of accountability, for example, in addition to recommending the referral of the situation to The International Criminal Court&#39;s International Commission of Inquiry for Darfur also recommended that the Council establish an international compensation commission, a proposal that received little attention and was not followed up by the Council.	1
They claim that the children were orphaned as a result of the conflict and that the SLA has taken care of them.	0
These assets, amounting to $2,319,386, bring the total frozen assets in the 32 States that have reported taking action to nearly $91 million (at June 2005 exchange rates), excluding frozen assets in five States that did not specify the amounts.	0
Council members also expressed their hope that the Ethiopian authorities would soon follow up on the Hague meeting, with a view to establishing modalities for rapid implementation of the decision on the delimitation of the border.	1
- Call for strict compliance by the parties to an armed conflict with the applicable norms of international humanitarian law and human rights relating to children affected by an armed conflict.	1
c) Encourage the implementation of procedures to verify that asylum seekers and refugees have not committed terrorist acts.	1
Concerned about the situation in southern Libya, the Heads of State and Government emphasize the need to resolve this situation to preserve the stability of the Sahel region.	1
In this regard, the Security Council encourages the continued mainstreaming of child protection in the advocacy, policies, programs and mission planning of these organizations and agreements, as well as in the training of personnel, and the inclusion of child protection personnel in its peacekeeping and field operations, and the establishment, in its secretariats, of child protection mechanisms, including through the appointment of child protection coordinators.	1
Recalling the responsibility of States to end impunity and prosecute those responsible for genocide, crimes against humanity, war crimes and other atrocity crimes perpetrated against civilians and, in this regard, noting with concern that only a number A limited number of those responsible for acts of sexual violence have been brought to justice, while recognizing that in conflict and post-conflict situations national justice systems can be severely weakened.	1
24. Urges Member States, in response to the demonstrable achievements of the parties in restructuring their police forces, to redouble their efforts to provide, through voluntarily contributed funds and in coordination with the International Police Force, training, material and assistance to local police forces in Bosnia and Herzegovina;	1
The Security Council reiterates that ending impunity is essential for national reconciliation in Haiti.	1
Fifty-four States reported having safeguards in place to ensure that weapons and ammunition produced within their jurisdiction cannot be diverted for use by those subject to sanctions.	0
a) Become parties, as a matter of urgency, to all international conventions and protocols relating to terrorism, in particular the 1999 International Convention for the Suppression of the Financing of Terrorism, support all international initiatives adopted for this purpose and take full advantage of emerging sources of assistance and guidance;	1
9. Requests the Secretary-General to mandate the Panel established pursuant to paragraph 4 (a) of resolution 1363 (2001), whose mandate expires on 19 January 2002, to monitor, for a period of 12 months, the implementation of the measures mentioned in paragraph 2 of this resolution;	0
Security Council resolution 1373 (2001) remains highly relevant and a key United Nations document in the area of counter-terrorism.	1
The Security Council welcomes the establishment of the African Union Border Program Task Force to conclusively determine the on-the-ground center line of the Secure Demilitarized Border Zone, and reiterates that the center line does not in any way affect the current or future legal status of the border, ongoing negotiations regarding disputed or claimed areas, or the demarcation of the border.	1
The Sudan does not have the United Nations in its sights. It is a faithful member of the Organization, abiding by the provisions of the Charter of the United Nations, and appreciates its efforts to achieve security and stability and promote development in the Sudan. Furthermore, Sudan continually strives to develop its relationship with the United Nations, in accordance with the Charter and relevant resolutions of the General Assembly and the Security Council.	1
The session consisted largely of a question-and-answer exchange, in which the troika responded to interventions by members of the Working Group.	1
The academy will be an important institution for the implementation of the new curriculum and for supporting the implementation of the roadmap for the reconstruction of the civil police force.	1
The Security Council reiterates that there is no military solution to the conflict in Afghanistan and that only a negotiated political settlement aimed at the establishment of a broad-based, multi-ethnic and fully representative government, acceptable to all Afghans, can lead to peace and the reconciliation.	1
The Contact Group will hold its 17th plenary meeting in Dubai, United Arab Emirates, in parallel with the fourth United Arab Emirates conference on combating piracy in the last week of October 2014.	1
It is evident that all institutions in charge of establishing public order face serious challenges.	0
I urge all Somali leaders to take the necessary steps to bridge their differences.	1
The Security Council recognizes the important role of the good offices of the Secretary-General, and encourages the Secretary-General to continue to use mediation wherever possible to contribute to the peaceful settlement of disputes, coordinating its work and working closely with the relevant regional and subregional organizations in this regard, as appropriate.	1
True establishment of the rule of law in the Democratic Republic of the Congo requires the formation of an effective and democratic army, judicial system and police force.	0
From November 25 to December 10, my Special Representative joined my annual campaign &quot;Unite to End Violence against Women&quot;, with particular emphasis on countries in conflict.	1
The indication they give to their followers is to attack where they can and when they can.	0
Prosecution at the International Criminal Court of those allegedly responsible for the most serious crimes in Darfur would contribute to the restoration of peace in the region.	0
The Committee also welcomes the efforts of the Executive Directorate to continue to cooperate closely with the experts of the Security Council Committees established pursuant to resolution 1540 (2004) and resolutions 1267 (1999) and 1989 (2011), in particular through the regular exchange of information and reports on missions and the preparation of joint documents and statements by the Chairpersons of the Committees to the Council.	0
The Monitoring Team has the mandate to study the evolution of the threat and to report on it, for example, through dialogue with specialists and competent academic bodies.	1
Almost half of them are still missing and many are feared murdered.	0
The extradition of terrorists also continues to pose many obstacles and is not presented as something easy or simple.	0
The Security Council particularly welcomes the decision of the Secretary-General to prioritize, for the remainder of his mandate, the work of the Organization to consolidate the rule of law and transitional judicial institutions in societies suffering from conflict or leave it.	1
It remains important to push for a more effective and evidence-based United Nations targeted sanctions regime.	1
Any deprivation of liberty must be carried out in accordance with the provisions of article 9: it must not be arbitrary; It must be based on the causes established by law and imposed in accordance with the procedure established therein; the detained person must be informed of the reasons for his or her detention; the detention must be subject to judicial control; and redress must be provided in case of illegal detention.	1
:: Prevention and suppression of the recruitment of child soldiers in violation of international law.	0
8. Underlines the importance of humanitarian personnel having safe and unimpeded access to civilians in armed conflicts, calls on all interested parties, in particular neighboring States, to cooperate fully with the Assistance Coordinator Organization of the United Nations and United Nations agencies in order to facilitate such access, invites States and the Secretary-General to bring to its attention information related to the deliberate denial of such access in violation of international law, when such denial may constitute a threat to international peace and security and, in this regard, expresses its readiness to examine such information and, where necessary, take appropriate measures;	1
Reiterating its deep concern about the threat of terrorism and the risk that non-state actors may acquire, develop or use nuclear, chemical and biological weapons and their delivery systems or traffic in them,	0
The Council underlines the need for all parties to respect and maintain the security and civil character of refugee and internally displaced persons camps.	1
:: Strengthening, where appropriate, cooperation with other subsidiary bodies of the Council, especially the Security Council Committees established pursuant to resolutions 1267 (1999) and 1540 (2004) and their experts, in particular on information exchange, visits and technical assistance.	1
The Committee hopes that this highly professional support will continue.	1
UNDP and its implementing partners have taken steps to provide reintegration services to an additional 7,219 ex-combatants following their demobilization.	0
Deploring the continued obstacles that the Government of the Sudan has imposed on the work of the Group of Experts during the course of its mandate, including restrictions on the freedom of movement of the Group of Experts and UNAMID, and limitations on the access of the Group of Experts to areas of armed conflict and areas where violations of human rights and international humanitarian law have allegedly been committed, but noting that interaction between the Government of the Sudan and the Group of Experts has improved,	0
The Security Council considers sanctions to be an important instrument in the fight against terrorism, and underlines the importance of the prompt and effective implementation of relevant resolutions, in particular Security Council resolutions 1267 (1999) and 1989 (2011). ), as a key instrument in the fight against terrorism.	0
The promotion process was fully managed by the Government, supported by a committee comprising five international experts (from Australia, Malaysia, New Zealand, Portugal and Singapore) and technical support from UNMIT police.	1
He said that the Ivorian armed forces received regular training in international humanitarian law, and that the protection of the civilian population was part of the doctrine of the national army.	1
The Program of Action contains concrete suggestions to improve national legislation and controls, and international assistance and cooperation, and calls on States to address the special needs of children affected by armed conflict.	0
Council members reiterated their support for the Special Envoy&#39;s attempt to get the two sides to cooperate to end the deadlock in the peace process and called on both sides to explore ways to advance the demarcation process.	1
The Department is responsible for the management and administration of the Kosovo Protection Corps and for the planning, coordination and implementation of emergency interventions in the event of natural and other disasters.	0
With the aim of expanding the capabilities of South Asian law enforcement officials in combating terrorism and related crimes, and at the same time strengthening cooperation and information sharing among these officials at the regional level, The Counter-Terrorism Committee Executive Directorate contributed to the organization of a series of workshops (starting in November 2009) aimed at bringing together law enforcement officials -- primarily police and prosecutors -- to share experiences, conclusions and best practices in handling cases related to international crimes and terrorism.	0
w) Collaborate with competent international and regional organizations in order to promote knowledge and compliance with the measures;	0
Later we will refer to the concepts of planning, giving orders, instigating, complicity and concealment in relation to a crime.	0
The Executive Directorate proposes three small adjustments to its organization and operational practices to better reflect the change in priorities and the new proposed activities.	1
c) Support the efforts of the Government of [the affected country] to ensure the protection of civilians from violations of international humanitarian law and human rights, including all forms of sexual and gender-based violence, promote and protect human rights and fight against impunity, including by implementing the Government&#39;s &quot;zero tolerance policy&quot; with respect to violations of discipline and human rights and humanitarian law committed by members of the security forces, particularly those recently integrated.	1
On 24 July 2008, the Committee had an exchange of views with the Special Representative of the Secretary-General for Somalia, Mr. Ahmedov Ould-Abdallah, regarding the request made by the Council in paragraphs 6 and 7 of resolution 1814 ( 2008).	1
States must also prevent those who finance, plan, facilitate or commit acts of terrorism from using their territory for these purposes, against other States or their citizens (para. 2 (d)).	0
- Request troop- and police-contributing countries to ensure their proper training so that they are better aware of and able to address issues relating to the protection of personnel participating in United Nations peacekeeping operations and other relevant missions authorized by the Security Council for the purpose of protecting civilians.	1
When a ransom is paid, the insurance sector, private companies and risk consultancies may be involved in the form of providing the funds or facilitating payments. The kidnapping and ransom insurance market, which totaled $250 million in 2006, doubled in size in 2011.	0
Cooperation with the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004)	1
6. Confirms that the provisions of paragraph 1 a) above apply to economic resources of all types, including, but not limited to, those used to provide Internet services or related services, used to support the Taliban listed herein List and other persons, groups, companies and entities associated with them, as well as other persons, groups, companies and entities associated with the Taliban that constitute a threat to the peace, stability and security of Afghanistan and other persons, groups, companies or entities associated with them;	0
c) Further calls upon all parties listed in the annexes to the Secretary-General&#39;s report on children and armed conflict to address all other violations and abuses against children and to take concrete measures and commitments in this regard;	1
At the request of the President, the United Nations Mission for Ebola Emergency Response (UNMEER) established a small office in Bamako, which became operational on 26 November, under the direction of an Ebola crisis manager in charge of Provide support to the Government to stop the Ebola outbreak and promote its preparedness to combat the disease. On December 13, the last known patient was discharged from the hospital.	1
The addition of these names demonstrates the Committee&#39;s continued concern about the threat that the Taliban creates for international peace and security.	0
Since the 1990s, its agents have kidnapped an unknown number of people in Chinese territory, including citizens of China, the Republic of Korea and, in at least one case, a former Japanese national.	0
Especially since the international community has become aware of the repercussions of the Janjaweed&#39;s actions, the Government of Sudan&#39;s responses to the use of the term appear to have been based on denying the existence of any link between the State and the Janjaweed; Likewise, most officials routinely attribute Janjaweed actions to &quot;armed bandits,&quot; &quot;uncontrolled elements,&quot; or even the Sudan Liberation Army and the Justice and Equality Movement.	0
11. Directs the Committee to cooperate with the other sanctions committees of the Security Council, in particular the one established pursuant to resolution 1988 (2011); Inclusion on the List	1
Although they have not officially accepted Al-Shabaab as part of Al-Qaida, Usama bin Laden and Aiman al-Zawahiri (QI.A.6.01) have expressed clear interest in the situation in Somalia and have used it as a point of attraction to recruit troops around the world and provide them with paramilitary training and indoctrinate them.	0
Concerned that the most important armed movements have so far been absent from the negotiations, they have urged that contacts be maintained with the Government and non-signatory movements in order to increase the inclusiveness of the peace process.	0
The Fact-Finding Mission investigating allegations of the use of toxic chemicals as weapons in the Syrian Arab Republic continues its work.	0
The Council encourages neighboring States to cooperate with the Regional Task Force to end the LRA threat.	1
For example, the Al-Qaida cell that carried out the November 2003 bombings in Istanbul had originally planned to rent a quarry to legally obtain dynamite, but later abandoned this plan and used improvised explosives instead.	0
Human rights violations continued to be reported, many of them associated with untrained elements integrated into the FARDC from the CongrÃ¨s national pour la dÃ©fense du peuple (CNDP) and armed groups.	0
They then attacked the police station, killing two officers and taking weapons and ammunition.	0
There were no incidents of premeditated killings of children by armed forces or armed groups.	0
Likewise, the Committee hopes that an implementation plan will be approved to achieve the objectives of the Almaty action plan that have not yet been achieved and to fulfill the commitments that have been systematically appearing in the final documents approved at the three previous special meetings, including, in particular, measures to improve the exchange of information with and between international, regional and subregional organizations.	1
The Team reported to the Working Group established pursuant to Security Council resolution 1566 (2004) to review terrorism and sanctions.	1
Aiman Muhammad Rabi al-Zawahiri&#39;s failed attempts to mediate the internal conflicts between Al-Qaida and Jabhat al Nusra (an entity affiliated with Al-Qaida in Iraq), as well as the ongoing fighting within Al-Shabaab, put revealed the limits of Al-Zawahiri&#39;s authority.	0
9. The situation of human rights defenders throughout the country is another cause of great concern. Many of them are victims of harassment, arbitrary arrest and unjustified detention.	0
:: The Committee should attach great importance to coordination with experts from the other subsidiary bodies of the Security Council competent in the fight against terrorism with regard to the preparation of visits and the simplification of reporting procedures.	1
The Security Council calls upon States in the region to continue to assist each other, to the greatest extent possible, in preventing, investigating, prosecuting and punishing acts of drug trafficking and related transnational organized crime, and in bringing to justice justice to those who finance, plan, support or commit such acts, in accordance with international law.	1
After the arrival of French troops, no summary executions of gendarmes had been ordered in BouakÃ©.	0
It also points to the growing challenges faced in Afghanistan and the Afghanistan-Pakistan border area and the continuing threats in North Africa, while the level of activity elsewhere remains unabated.	0
New concerted efforts will be needed to end the continued flagrant violations of human rights by armed groups and FARDC against the civilian population in Ituri, the Kivus and the central and northern region of Katanga, which are seriously undermining the efforts to stabilize these areas and affecting the organization of the elections.	1
Government leaders and their supporters, for their part, accused the MPCI and other &quot;rebel movements&quot; of using foreign forces and committing atrocities, in particular the murder of dozens of Gendarmerie officers in BouakÃ©.	0
6. Requires all States and parties to armed conflict to comply fully with all relevant decisions of the Security Council and, in this regard, to cooperate fully with United Nations peacekeeping missions and United Nations teams United in the countries in the follow-up and implementation of these resolutions;	1
Such a consultation point would complement the national assistance centers that the Team has recommended in the past that Member States establish (S/2007/132, paras. 61-64 and S/2007/677, para. 138).	0
Law and order problems continue to affect the precarious security situation in some areas of Katanga where the Transitional Government has not established effective security mechanisms for the protection of civilians.	0
We also agreed that the parties should re-establish a much-needed authentic dialogue and proceed, without further delay, to the dismantling of militias, the disarmament, demobilization and reintegration of combatants, as well as the organization of free elections, clean and trustworthy.	1
The Security Council remains gravely concerned about the insecurity and significant humanitarian crisis unfolding in the Sahel region, which is further complicated by the presence of armed groups, including separatist movements and terrorist and criminal networks, and by the intensification of its activities, as well as the continued proliferation of weapons from within and outside the region, which pose a threat to the peace, security and stability of the States of that region and, in this regard, highlights the importance that all relevant Security Council resolutions, including those relating to arms embargoes, are implemented.	1
Al-Qaida affiliated entities Tehrik-e Taliban Pakistan (TTP) (QE.T. 132.11), Lashkar-e-Tayyiba and Harakat ul-Mujahidin (QE.H.8.01) continue to play a major role in the insurgency. in Afghanistan.	0
(e) The Committee will attach great importance to coordination with experts from other subsidiary bodies of the Security Council competent in the fight against terrorism in preparing visits and streamlining reporting;	1
&quot;The Security Council notes with concern the postponement of the first round of the presidential elections, scheduled to take place on November 29, 2009, according to the statement dated May 18, 2009 of the Permanent Consultative Framework established by the Political Agreement of Ouagadougou, had been approved by all the main political actors in Côte d&#39;Ivoire.	0
The Security Council reiterates its strong support for the adoption by the General Assembly of the United Nations global counter-terrorism strategy (resolution 60/288) of 8 September 2006 and the institutionalization of the Task Force on the Implementation of Counter-Terrorism, in accordance with General Assembly resolution 64/235, to ensure the overall coordination and coherence of the activities of the United Nations system against terrorism, as well as full participation, within the framework of its mandates, of the relevant subsidiary bodies of the Security Council in the work of the Task Force and its working groups, and welcomes the adoption of resolution 64/297 by the General Assembly.	1
The Council supports the idea of establishing a rule of law assistance unit within the Secretariat and looks forward to receiving proposals from the Secretariat for the implementation of the recommendations set out in paragraph 65 of the report of the Secretary-General on the Rule of law and transitional justice in societies that suffer or have suffered conflict (S/2004/616).	1
Taking into account that smugglers make profits above 100%, these smuggling networks have a great interest in prolonging the conflict.	0
In accordance with paragraph 11 of resolution 1963 (2010), the Committee, with the assistance of its Executive Directorate, held a special session on 28 September 2011 to commemorate the tenth anniversary of the adoption of resolution 1373 (2001) and his own establishment.	1
On 14 April 2012, the Security Council adopted resolution 2042 (2012), in which it noted that the Government of Syria had committed to implement the six-point proposal of the United Nations Special Envoy, Mr. Kofi Annan; called for urgent, general and immediate compliance with all elements of the proposal; called on all Syrian parties, including the opposition, to immediately end all armed violence in all its forms; and expressed its intention to immediately establish, following consultations between the Secretary-General and the Government of Syria, a United Nations monitoring mission in Syria to monitor the cessation of armed violence in all its forms and by all parties .	0
Terrorists and their accomplices cannot be allowed to take advantage of existing legal loopholes to avoid responsibility for their actions.	0
:: Innovative ways should be examined to establish comprehensive, mutually reinforcing systems linking the International Criminal Court, any future hybrid courts and national bodies, as well as criminal procedures and reparations programmes.	1
My proposed budget for MONUC for the full 12-month period from 1 July to 30 June 2006, including election support needs and additional civilian police personnel authorized by the Council in its resolution 1621 ( 2005), is currently being prepared and will shortly be presented to the General Assembly for consideration and decision.	1
The Security Council recognizes the need to pay more systematic attention in its own work to the implementation of commitments on women, peace and security in order to enhance the involvement of women in the prevention and resolution of conflicts. conflict and peacebuilding, as well as to continue to integrate an appropriate gender perspective into the mandates of relevant United Nations peacekeeping missions and other relevant thematic areas of peace and security .	1
Programs on community-based alternative livelihoods, market access, construction of roads and maritime infrastructure that promote fisheries and trade through development assistance will make counter-piracy gains even greater. sustainable.	0
The Secretary-General&#39;s latest report on resolutions 1559 (2004) and 1701 (2006) clearly states the importance of disarming Hizbollah and ending arms smuggling along the Lebanese-Syrian borders.	0
Elsewhere in the region, along the Blue Line, violence had threatened to disrupt precarious stability.	0
The Committee also held an exchange of views on three nomination proposals made by a Member State on 31 October.	1
The Security Council reiterates its call on all parties to armed conflicts, including non-State parties, to fully comply with the provisions of the Charter of the United Nations and the norms and principles of international law, in particular and to the extent applicable international humanitarian, human rights and refugee law, and to fully implement relevant decisions of the Security Council.	1
To camouflage these events, they sometimes wear military uniforms in order to convey the erroneous perception that the official military component is responsible for this violence.	0
The Security Council encourages relevant United Nations bodies, in particular the Counter-Terrorism Committee Executive Directorate, to focus further attention on towards resolution 1624 (2005) in its dialogue with Member States to develop, in accordance with their obligations under international law, strategies that include measures against incitement to commit acts of terrorism motivated by extremism and intolerance, and in providing technical assistance for their implementation.	1
The National Commission for Youth was commissioned by President Koroma on November 25, 2011. It is expected to lead the promotion and harmonization of youth development under the Ministry of Youth Employment and Sports.	1
In this regard, flexibility will be required during implementation to ensure that the framework is adjusted as necessary to respond to developments and changes in the context.	1
It will also continue to verify and promote the implementation of resolution 1373 (2001) by Member States and take practical measures to enhance the capacity of States to combat terrorism, including measures to facilitate the provision of technical assistance.	1
The national community reintegration and rehabilitation program, which must absorb a total of 6,000 ex-combatants, has facilitated the work of registration and identification of Forces Nouvelles personnel.	0
In addition, the Committee will establish a calendar of meetings that allows it to achieve its objectives quickly and effectively.	1
The large extension of borders, inaccessible and often open, makes their effective management very difficult and lends itself to the activities of transnational criminal and terrorist groups.	0
These abuses occurred between August 2002 and January 2003.	0
c) Measures that guarantee the protection and respect of the human rights of women and girls, particularly in relation to the constitution, the electoral system, the police and the judicial system.	0
The disarmament and arrest of the perpetrators of violent acts is the Council&#39;s most important demand and the clearest case of failure by the Government to fulfill its responsibilities.	0
Homemade firearms. Molotov &quot;Cocktails.&quot; Improvised rockets manufactured in metalworking workshops.	0
As this partial list demonstrates, the international community&#39;s tendency to rely more heavily on commissions of inquiry and fact-finding missions in the context of accountability measures is clear.	1
In accordance with both Security Council resolution 1535 (2004) and the report of the Counter-Terrorism Committee on its revitalization (S/2004/124), the Committee looks forward to the initiation of a close and cooperative relationship collaboration with the Executive Director and his staff in order to be better able to effectively monitor the implementation of resolution 1373 (2001) by all Member States.	1
First, although Sierra Leone is the most advanced member of the West African Coast Initiative, the slow pace of progress elsewhere is impeding data sharing and early warning.	0
At the 5903rd meeting of the Security Council, held on 2 June 2008, in connection with the Council&#39;s consideration of the item entitled &quot;Threats to international peace and security caused by terrorist acts&quot;, the President of the Security Council made the following statement on behalf of the Council:	1
Furthermore, the Council could explicitly require Member States to prevent listed individuals and entities from having access to, creating or maintaining military or terrorist training centers within their borders, which would entail an expansion of the scope of application of the arms embargo, which would thus cover all aspects of training and recruitment activities.	1
The Security Council and its sanctions monitoring groups have sought to increase monitoring of exceptions to the arms embargoes in force in the Democratic Republic of the Congo and Liberia.	1
Information on the extent to which parties to armed conflict have ended the recruitment and use of children in armed conflict in violation of applicable international law and other violations of which children affected by armed conflict are victims;	0
The following situation was described: Deliberate attacks on women and girls, including gang rape, began during attacks on villages. The women and girls were then kidnapped and kept confined for several days, during which they were raped. Rape and other sexual violence continued to occur during women&#39;s flight and subsequent displacement, including when they left their villages or internally displaced persons camps to search for firewood or water.	0
The Committee would also welcome proposals in cooperation with experts from other subsidiary bodies of the Security Council related to counter-terrorism on how to simplify the reporting regime, as outlined in the Summit Outcome Document World Cup 2005 (see General Assembly resolution 60/1).	1
Withholding that level of funding would render any government useless, and even more so an authority in occupied territory. If funds are not immediately unlocked, it will jeopardize the achievements of state-building, including greater good governance that would benefit the Palestinian people and the development of security forces that uphold law and order in the West Bank.	0
The Committee encourages its Executive Directorate to continue to focus on the implementation of resolution 1624 (2005), in particular by paying due attention to relevant issues such as the role of new information and communications technologies; promoting dialogue, including at the national level, to promote tolerance, diversity and inclusion; the creation of strategic partnerships between governmental and non-governmental agents; determining the role of victims of terrorism; and the need to prevent terrorists and their supporters from using institutions for their own benefit.	1
The more numerous the casualties or the more spectacular the attacks, the greater the coverage given to them by the media.	0
:: Consider and implement more effective means of collecting outstanding information	1
III. Background A number of highly influential reports and recommendations relating to counter-terrorism sanctions have been published in recent months, including the Secretary-General&#39;s speech on the anniversary of the Madrid terrorist attacks of 11 March 2004 and his subsequent report, entitled &quot;In larger freedom: development, security and human rights for all&quot; (A/59/2005 and Add.1 to 3).	1
At international meetings, the Team has had the opportunity to review States&#39; awareness of the sanctions regime without preparation.	1
Welcomes the commitment to combat the scourge of international terrorism, expressed by States, inter alia, in the debates of the plenary sessions of the General Assembly held from 1 to 5 October 2001, calls upon all States to accede as soon as possible to the relevant international conventions and protocols relating to terrorism, and encourages Member States to move in this direction,	1
Information sharing allows for better assessment of the proliferation risks present in business opportunities and is therefore crucial for all private sector participants and benefits companies with fewer resources, such as small and medium-sized enterprises.	1
Where appropriate, a stronger link between security sector reform and the lifting of an arms embargo can provide an effective incentive for the success of such reform. This is also important from the point of view of preventing conflict recurrence in fragile post-conflict situations.	1
This method was used to reduce possible weapons losses to the activities of naval forces.	0
The Security Council reaffirms the relevant provisions of the 2005 World Summit Outcome on the protection of civilians in armed conflict, in particular paragraphs 138 and 139, regarding the responsibility to protect populations from genocide, crimes of war, ethnic cleansing and crimes against humanity.	1
I also welcome the initiatives being taken by the Lake Chad Basin Commission to find durable solutions and combat terrorism, violent insurgency and extremism through a common strategy.	1
3. Emphasizes the need to strengthen coordination and exchange of information between the Committee established pursuant to resolution 1267 (1999) (hereinafter referred to as &quot;the Committee&quot;) and the Committee established pursuant to resolution 1373 (2001). );	1
8. Regional and subregional organizations should collaborate with the Counter-Terrorism Committee and other international organizations to facilitate the dissemination of best practices in combating terrorism and to assist their members in meeting their counter-terrorism obligations.	1
Just yesterday, the Prime Minister of Georgia released a detailed plan for resolving the conflict in another separatist region of Georgia, the region of Tskhinvali/former South Ossetia.	1
On May 7, 2005, General Michel Aoun returned to the country after 14 years of exile and created the Free Patriotic Movement with the aim of participating in the legislative elections that began on May 29 and concluded, after four rounds, on June 19 of the same year.	0
&quot;The Security Council reaffirms its commitment to the protection of civilians in armed conflict and to the continued and full implementation of all its previous relevant resolutions, including resolutions 1265 (1999), 1296 (2000), 1674 (2006) , 1738 (2006) and 1894 (2009), as well as all its resolutions relating to women, peace and security, children and armed conflict, and peacekeeping, and all relevant declarations of its Presidency.	1
In general, the Kosovo Serb political groups, whose attention is focused on Belgrade, have not formulated a clear policy on several crucial issues, including the future participation of the Kosovo Serbs in the Joint Interim Administrative Structure.	0
