es	VerConf
:: Salah Suliman Ayyash, un conductor de 33 años de la organización médica Al-Ihya en Damasco Rural, murió a manos de las fuerzas del régimen cuando trataba de entrar en Zibdeen el 27 de noviembre de 2014.	0
Tras la retirada de la República Árabe Siria del Líbano, ha llegado también el momento de comenzar a definir nuevamente la relación entre estos dos países vecinos que a lo largo de la historia han sido tan cercanos.	0
Se denunciaron más casos de violación de mujeres tras los ataques a Miski, Disa y Umm Baru, en Darfur septentrional, y los ataques a Azerni, Kornoi, Nertete y Mukjar, en Darfur occidental.	0
Es importante otorgar a las mujeres, que son las primeras víctimas de la violencia en todas sus manifestaciones, un papel protagónico en el mantenimiento de la paz y la consolidación de la paz, y es aun más importante y urgente hacerlo en el proceso de la prevención de conflictos.	1
Cuatro de los ocho Estados de Asia Meridional han promulgado leyes para tipificar el delito de reclutamiento de terroristas y prohibir la utilización de sus territorios para cometer o preparar actos terroristas contra otros Estados o sus ciudadanos.	0
De manera análoga, el Comité del Consejo de Seguridad establecido en virtud de la resolución 1518 (2003) mantiene una lista no obligatoria y no exclusiva de "fondos y activos financieros" y "recursos económicos" y señala que estos incluyen los bienes de todo tipo, tangibles o intangibles, muebles o inmuebles, que no son fondos.	0
En cuarto lugar, la piratería frente a las costas de Somalia es un problema internacional, que exige nuestros esfuerzos y nuestra contribución colectivos.	1
La falta de tierra y empleo y la inseguridad impiden a muchas de las personas que vuelven asentarse en sus comunidades de origen.	1
Muchos interlocutores afirmaron que los países vecinos tenían un papel desestabilizador.	1
El Coordinador de la Asistencia Humanitaria de las Naciones Unidas ha hecho un llamamiento de asistencia humanitaria de emergencia para ayudar a que las 20.000 familias puedan pasar el invierno.	0
En reiteradas ocasiones, nuestro país ha manifestado su preocupación por la población civil en esa zona y la importancia de que la MONUC se despliegue allí para protegerla.	1
Si bien la amenaza que supone Al-Qaida en cuanto organización terrorista mundial ha disminuido, la amenaza que plantean sus entidades afiliadas e ideas contagiosas persiste.	1
Preocupan profundamente a Azerbaiyán las continuas actividades ilegales de asentamiento en los territorios palestinos ocupados.	1
Instaba al Líder Supremo a que previniera y reprimiera los crímenes de lesa humanidad y se asegurara de que los autores eran perseguidos y llevados ante la justicia.	1
El Consejo de Seguridad, en su resolución 1559 (2004) pidió que se disolvieran y desarmaran todas las milicias libanesas y no libanesas.	1
Notamos con preocupación que el ámbito de la seguridad sigue siendo problemático.	1
También es indiscutible que, como Potencia ocupante, Armenia tiene la responsabilidad directa de la comisión de esos delitos.	1
b) Proporcionar capacitación a los funcionarios públicos, los miembros de las fuerzas armadas y los grupos armados, el personal asociado de las fuerzas armadas, la policía civil y el personal encargado de hacer cumplir la ley y los profesionales judiciales y jurídicos; y sensibilizar a la sociedad y la población civil sobre las disposiciones pertinentes del derecho internacional humanitario, las normas de derechos humanos y el derecho de los refugiados, así como sobre la protección, las necesidades especiales y los derechos humanos de las mujeres y los niños en las situaciones de conflicto, con miras a lograr su cumplimiento pleno y efectivo;	0
Las partes tienen la responsabilidad de garantizar que sus fuerzas militares no infrinjan los acuerdos suscritos; las aliento a que respeten en mayor medida las disposiciones de los acuerdos militares y a que cooperen plenamente con la MINURSO a fin de mantener la cesación del fuego y hacer respetar los principios básicos del mantenimiento de la paz.	0
Además, la asignación forzosa de un empleo y de un lugar de residencia designado por el Estado se ve ampliamente impulsada por la discriminación basada en el sistema songbun.	0
El 8 de mayo participantes en una manifestación en Gleno atacaron a dos agentes desarmados de la UIR de la región oriental, según se describe en los párrafos 61 a 63.	0
El Consejo de Seguridad subraya que un arreglo político incluyente y el despliegue con éxito de la Operación Híbrida de la Unión Africana y las Naciones Unidas en Darfur (UNAMID) son esenciales para el restablecimiento de la paz y la estabilidad en Darfur.	0
Como parte de la estrategia de transición destinada a establecer una institución policial independiente, se han puesto en marcha los preparativos para la transferencia de las responsabilidades de la Escuela del Servicio de Policía de Kosovo y la Policía de la UNMIK a dicho servicio.	0
Al mismo tiempo, mi delegación considera que los representantes electos de las minorías étnicas en la Asamblea, en particular los representantes serbios, lograrían mejores resultados y mayores beneficios para su electorado si adoptaran una actitud más participativa, en lugar de retirarse del legislativo cuando enfrentan una situación difícil.	1
En 2009, la Federación de Rusia endureció las sanciones penales por asistir o participar en actividades terroristas (incluido el reclutamiento) y se presentó un proyecto de ley para endurecer la responsabilidad penal por delitos relacionados con el terrorismo.	0
En los párrafos 1 y 2 de su resolución 2118 (2013), el Consejo de Seguridad determinó que el empleo de armas químicas en cualquier lugar constituía una amenaza a la paz y la seguridad internacionales y condenó en los términos más enérgicos todo empleo de armas químicas en la República Árabe Siria.	1
Entre el 20 de octubre y el 10 de diciembre de 2014, los helicópteros del régimen lanzaron 1.125 bombas de barril, con las que mataron a 603 civiles, entre ellos 129 niños y 112 mujeres.	0
Es posible que los diamantes de Côte d'Ivoire ingresen en las cadenas de suministro del Proceso de Kimberley, con lo cual se comprometería la fiabilidad del sistema de certificación del Proceso de Kimberley.	1
Al 30 de septiembre de 2014, aún había 37 marinos rehenes de piratas somalíes.	0
Las fuerzas armadas intervinieron en varias ocasiones para controlar manifestaciones e impedir que los manifestantes se acercaran a la Línea Azul.	0
La Secretaria General Adjunta señaló que 69 trabajadores humanitarios habían perdido la vida desde el inicio del conflicto, y que la violencia sexual se había utilizado como una forma de tortura, para causar lesiones, para degradar e intimidar y como forma de castigo.	0
El General Moges concluyó su exposición alertando de que, con la llegada de la estación seca, el riesgo de que se reanudaran las hostilidades era mayor, razón por la que la UNISFA había aumentado las patrullas, pero subrayó que sin diálogo no sería posible evitar que la situación se deteriorase en algún momento.	1
La decisión de expulsar a los trabajadores humanitarios y silenciar a otros con amenazas de expulsión o los intentos de restringir la libertad de circulación de la Operación Híbrida de la Unión Africana y las Naciones Unidas en Darfur (UNAMID) forman parte de esta política de reducción de la capacidad de supervisión de la comunidad internacional.	1
También destacó el riesgo de que el conflicto se intensificara con la reanudación del período de migración, las elecciones y la falta de diálogo.	1
32. Acoge con beneplácito la presentación periódica de información por parte del Gobierno del Afganistán sobre el contenido de la Lista y los efectos de las sanciones selectivas en lo que concierne a contrarrestar las amenazas a la paz, la estabilidad y la seguridad del Afganistán y a apoyar la iniciativa de reconciliación dirigida por el Afganistán;	0
:: Se invita a los Estados a que comparen las huellas dactilares de las versiones restringidas de las difusiones con la base de datos de su policía para comprobar si coinciden con las de su propio sistema (secc. VI.C, párr. 80)	0
A su vez, el Comité deberá seguir promoviendo un mayor sentido de identificación con el régimen de sanciones y prestar un apoyo efectivo a los esfuerzos nacionales de los Estados que traten de contener la amenaza de Al-Qaida y los talibanes.	1
Sin embargo, en mi opinión, la respuesta a esta afirmación no es que se debería gastar menos en los tribunales híbridos, sino que se debe prestar más atención y ofrecer más recursos a los sistemas judiciales nacionales en su conjunto después de los conflictos.	1
Sigo pensando que los complejos problemas de seguridad en Somalia no pueden enfrentarse con la capacidad de una típica fuerza de mantenimiento de la paz de las Naciones Unidas y que una fuerza multinacional es el instrumento adecuado para estabilizar Mogadishu.	1
Francia condena enérgicamente ese ataque y exhorta a todas las partes a que ejerzan la mayor moderación.	1
Cabe destacar que otros representantes superiores libaneses, como el ex Primer Ministro Najib Miqati, han afirmado que "no debe haber armas dentro o fuera de los campamentos".	1
También informó de que la Fuerza de las Naciones Unidas de Observación de la Separación (FNUOS) seguía observando fuertes enfrentamientos entre las fuerzas armadas sirias y los miembros armados de la oposición, así como ataques aéreos de las fuerzas sirias dentro de la zona de separación y la zona de limitación.	0
- Pedir el estricto cumplimiento por las partes en un conflicto armado de las normas aplicables del derecho internacional humanitario, incluida la prohibición de:	1
Tenemos que reconocer que estamos muy preocupados por la situación que impera actualmente en el Afganistán.	1
En opinión de otro Estado, toda respuesta global del Estado para combatir el extremismo debe tener en cuenta a las propias comunidades como parte integrante del marco de seguridad nacional.	0
Exige que los grupos armados rebeldes pongan fin inmediatamente a la violencia y exhorta a todas las partes a restablecer el diálogo en el marco del Acuerdo de Sirte de 25 de octubre de 2007.	0
- Pedir que las partes en un conflicto armado cumplan estrictamente las normas del derecho internacional humanitario y el derecho de los derechos humanos que prohíben la violación, la esclavitud sexual, la prostitución forzada, el embarazo forzado, la esterilización forzada o cualquier otra forma de violencia sexual.	0
Subraya que está totalmente dispuesto a imponer sanciones específicas contra las personas ... de las que se haya determinado, entre otras cosas, que: ...	1
Durante el período que se examina el Gobierno no adoptó medidas contra los agentes de la policía nacional no certificados.	1
Preocupa el deterioro del nivel de vida de la población como secuela de las dificultades que debieron ser afrontadas en 2008, en particular por la crisis alimentaria global y el azote de los huracanes que asolaron la isla.	1
Entre ellas están el derecho a la vida; la prohibición de la tortura o castigos crueles, inhumanos o degradantes; la prohibición de la esclavitud, el comercio de esclavos y la servidumbre; y la libertad de pensamiento, conciencia y religión.	0
Los Estados Miembros han señalado que los sitios que promueven el terrorismo en un país invariablemente están localizados en otro.	1
Las pruebas de que ésta dispone demuestran cierta participación en los hechos del miembro del Parlamento Leandro Issac. A consecuencia de ese incidente, un agente de la PNTL resultó muerto y dos soldados de las F-FDTL resultaron heridos.	0
Insto a los líderes libaneses a reanudar y agilizar sus deliberaciones sobre la elaboración de una estrategia de defensa nacional y lograr avances tangibles. El resultado final de ese proceso debe ser que no existan armas sin el consentimiento del Gobierno del Líbano y que no haya ninguna autoridad que no sea la de ese Gobierno.	1
Como puede comprobarse en el apéndice de la presente carta, las fuerzas del régimen se han mostrado particularmente crueles en la ciudad de Ar-Raqqa, donde, al amparo de los ataques aéreos de los Estados Unidos contra el EIIL, han masacrado a civiles inocentes en una escala sin precedentes.	0
Esa situación entorpecía los esfuerzos en pro de la paz y la reconciliación.	0
El Consejo exige que el Gobierno del Sudán se retire de inmediato de la zona de Abyei.	1
En 5 de los 12 regímenes de sanciones del Consejo de Seguridad se incorporan criterios de inclusión relacionados con violaciones de las normas internacionales de derechos humanos y el derecho internacional humanitario, y en particular con la participación en violaciones de los derechos de los niños y las mujeres en situaciones de conflicto.	0
Es notable el interés por la aplicación del comunicado conjunto de 2 de abril de 2009, al que se hace alusión en el informe.	1
c) Cooperen estrechamente para aplicar plenamente las sanciones contra los terroristas y sus asociados, en particular Al-Qaida y los talibanes y sus asociados, según se indica en las resoluciones 1267 (1999), 1390 (2002) y 1455 (2003), adopten urgentemente medidas para impedirles el acceso a los recursos financieros que necesitan para llevar a cabo sus actividades y cooperen plenamente con el Grupo de Vigilancia establecido con arreglo a la resolución 1363 (2001);	0
Desde hace mes y medio las autoridades de Haití hacen intentos preliminares de abordar cuestiones relativas a la administración de justicia y las detenciones.	1
El hambre y otras condiciones inhumanas de detención se imponen deliberadamente a los sospechosos para presionarles a confesar y a acusar a otras personas.	0
El Consejo de Seguridad destaca que cualquier intento de desestabilizar el Chad por la fuerza es inaceptable.	1
Pero, de todas las medidas de transparencia sobre sistemas de armas, las relativas a las armas pequeñas son las menos desarrolladas.	1
c) Sean responsables de obstaculizar la libertad de circulación de la ONUCI y de las fuerzas francesas que la respaldan;	1
El General de Brigada pidió que se interrumpiera el tiroteo para que sus hijos pudieran ser evacuados de la casa.	0
Lamentablemente esta postura no ha cambiado, pese a los numerosos esfuerzos de compromiso desplegados por la comisión.	1
d) Con la contribución del grupo de trabajo del Comité sobre asistencia y de su grupo de trabajo sobre cooperación con organizaciones internacionales, incluidos los comités del Consejo de Seguridad establecidos en virtud de las resoluciones 1267 (1999) y 1373 (2001), cuando corresponda, continuará organizando y participando en actividades de divulgación en los planos internacional, regional y subregional; estará dispuesto a hacer hincapié en los programas de asistencia y a involucrarse en ellos, promover el intercambio de experiencias, enseñanzas adquiridas y prácticas eficaces, y estará dispuesto a facilitar las ofertas o las solicitudes de asistencia;	0
Actualmente, se cree que unos 47 grupos armados no estatales han estado o están en posesión de MANPADS.	0
Parece faltar, sin embargo, el elemento determinante de la intención genocida, al menos en lo que atañe a las autoridades del Gobierno central.	1
El Consejo de Seguridad alienta a la UNAMI a que prosiga su labor, en coordinación con el Gobierno del Iraq, con el fin de ayudar a crear las condiciones propicias para el regreso voluntario, seguro, digno y sostenible de los refugiados y desplazados internos iraquíes, y espera que todas las partes interesadas presten más atención a este asunto.	0
q) La prohibición del maltrato de combatientes enemigos que hayan quedado fuera de combate y la aplicación de tratar humanamente a los combatientes enemigos capturados;	0
a) Analizar la evolución de los riesgos y amenazas;	1
El Consejo de Seguridad señala la publicación del Memorando de Rabat sobre buenas prácticas para una lucha antiterrorista efectiva en el sector de la justicia penal, el Memorando de Roma sobre buenas prácticas para la rehabilitación y reintegración de los delincuentes extremistas violentos y el Memorando de Argel sobre buenas prácticas para prevenir y eliminar los beneficios de los secuestros cometidos por terroristas para obtener rescates.	0
:: El 23 de noviembre de 2014, los aviones de combate del régimen lanzaron dos misiles contra la mezquita Harwiel en el barrio de Aradi en la ciudad de Deir Ezzor, y dañaron la mezquita y las casas aledañas.	0
Si se decide procesar por posesión ilícita a todas las personas que recibieron armas, la Comisión posee informes en los que se identifica a esas personas.	1
También se informó de secuestros de mujeres ocurridos en la zona de El Geneina, en Darfur occidental.	0
Bajo la dirección de mi Representante Especial, la UNOMIG continuó su labor dirigida a promover la estabilidad en la zona de conflicto y hacer avanzar el diálogo entre las partes de Georgia y Abjasia sobre cuestiones políticas y de seguridad, el regreso de los refugiados y desplazados internos y la cooperación económica, objetivos que recibieron el apoyo de la reunión de alto nivel del Grupo de Amigos celebrada en Ginebra bajo la presidencia de las Naciones Unidas (véase S/2003/412, párr. 3).	0
Insta a los Estados y a todas las demás partes en los conflictos armados a que hagan todo lo posible por impedir que se cometan violaciones del derecho internacional humanitario contra civiles, incluidos los periodistas, los profesionales de los medios de comunicación y su personal asociado.	1
El terrorismo de Al-Qaida abarca actualmente tres grupos diferenciados aunque vinculados entre sí: en primer lugar, los antiguos dirigentes, que son bien conocidos; en segundo lugar, los combatientes que se entrenaron en los campamentos del Afganistán para convertirse en terroristas expertos; y en tercer lugar, una generación nueva y cada vez más nutrida de partidarios que pueden no haber abandonado sus países de residencia pero han aceptado los elementos centrales del mensaje de Al-Qaida.	0
Instamos a Israel a que ponga fin a sus incursiones militares en Gaza.	1
a) A las víctimas de delitos que hayan sufrido importantes lesiones corporales o menoscabo de su salud física o mental como consecuencia de delitos graves;	0
El JEM subrayó que sus normas internas imponían la firme obligación de respetar el derecho internacional humanitario y las normas internacionales de derechos humanos, y que no habían atacado ni atacarían objetivos civiles.	0
El tribunal de distrito falló originalmente que el Estado no había demostrado que la rama de Al-Haramain en los Países Bajos, separada y distinta de la organización internacional, había apoyado el terrorismo.	1
Se exhorta a la adhesión al derecho internacional y que las partes cumplan sus obligaciones y la hoja de ruta para lograr la visión de dos Estados que vivan el uno junto al otro en condiciones de paz y seguridad.	1
Además, existe la preocupación de que el intenso intercambio de drogas por armas en el Afganistán pueda conducir a la financiación del terrorismo en los Estados vecinos de Asia Central a través del envío de dinero por mensajeros.	1
En el marco de la Estrategia Internacional de Apoyo y el Plan de Estabilización y Reconstrucción, se han traspasado a las autoridades nacionales ocho instalaciones estatales, que incluyen instalaciones policiales y administrativas en los territorios de Masisi y Rutshuru, Kivu del Norte; instalaciones policiales, administrativas y judiciales en Walungu, Kivu del Sur; y un centro de adiestramiento náutico para la policía de fronteras en el distrito de Ituri.	0
Asimismo, 26 Estados han declarado que han adoptado todas las medidas necesarias para reglamentar y controlar la importación y exportación de armas y explosivos, pero falta información a este respecto para los cuatro Estados restantes.	0
Dijo además que los campamentos de desplazados se utilizaban para lanzar ataques contra el Gobierno.	0
a) Solicitar a la Unión Africana que mantenga efectivos de la AMISOM en Somalia tras la retirada de las fuerzas etíopes y ofrecer la asistencia que se indica a continuación para apoyar el fortalecimiento de la misión;	0
En estrecha cooperación con los Comités establecidos en virtud de las resoluciones 1267 (1999) y 1540 (2004) y con arreglo a su mandato, el Comité prestará especial atención a los Estados de los que se carece de información sobre cómo aplican la resolución 1373 (2001) y estudiará la mejor manera de solucionar el problema.	0
Los miembros del Consejo reafirmaron su condena del ataque criminal contra refugiados indefensos y expresaron su esperanza de recibir cuanto antes un informe final sobre la investigación.	1
El Consejo de Seguridad está particularmente preocupado por los ataques dirigidos contra el personal humanitario, en violación de las normas del derecho internacional.	1
Ya es hora de que la comunidad internacional tome medidas efectivas para proteger y hacer cumplir los derechos más elementales del pueblo palestino y ayudar a poner fin al ciclo vicioso de violencia ocasionado por la ocupación ilícita persistente y continuada de territorios palestinos por Israel.	1
"El Consejo de Seguridad recuerda sus resoluciones y las declaraciones de su Presidencia sobre la consolidación de la paz después de los conflictos, en particular las declaraciones S/PRST/2009/23, S/PRST/2010/20, S/PRST/2011/2 y S/PRST/2011/4, y reafirma la importancia decisiva de la consolidación de la paz como cimiento para construir una paz y un desarrollo sostenibles después de los conflictos.	0
Esta cuestión nunca ha dejado de preocuparnos.	1
:: Pedir a las misiones que, en colaboración con las entidades pertinentes del equipo de las Naciones Unidas en el país, establezcan y apliquen un mecanismo de supervisión y presentación de informes a nivel nacional sobre las infracciones graves cometidas contra niños, atendiendo a lo dispuesto en la resolución 1612 (2005).	0
Reconociendo que la cooperación internacional y las medidas que adopten los Estados Miembros para prevenir y combatir el terrorismo deben ajustarse plenamente a la Carta de las Naciones Unidas,	0
Los posibles riesgos para traer a las partes no signatarias a la mesa de negociaciones incluyen que las partes insistan en condiciones previas no realistas para las negociaciones. Otro de los riesgos es la intransigencia de las partes respecto de las negociaciones y durante estas. Tales riesgos pueden mitigarse estableciendo posiciones unificadas en la comunidad internacional sobre el proceso de paz y manteniendo un diálogo estrecho con las partes. Otro riesgo es que asociados regionales o internacionales establezcan iniciativas paralelas sobre el proceso de paz que debiliten este elemento del marco.	1
Esto se produjo a consecuencia de la prioridad que la Comisión Europea dio a la continuación de la reforma estructural de la policía de Bosnia y Herzegovina, al no alcanzarse un acuerdo de adhesión de Bosnia y Herzegovina a la Unión Europea.	1
b) Armas convencionales Sobre la base de su análisis global, el Equipo también cree que el Consejo tal vez desee pedir a todos los Estados, en particular los países exportadores de armas, que actúen con la máxima responsabilidad en las transacciones con armas pequeñas y ligeras para impedir el desvío ilegal y la reexportación de armas y materiales conexos en violación de las medidas que figuran en las resoluciones relacionadas con Al-Qaida y los talibanes. 2. Territorio del embargo	0
Anunció que el Secretario General había recibido de Timor Oriental una solicitud de admisión como Miembro de las Naciones Unidas, y esperaba con interés su examen por el Consejo.	0
Otro Estado hizo referencia a los riesgos de que aumentaran las corrientes migratorias, los movimientos radicales y la activación de las redes terroristas internacionales en las inmediaciones de Europa, aunque declaró que no se había detectado una amenaza inminente para su territorio.	1
El 14 de abril de 2012, el Consejo de Seguridad aprobó la resolución 2042 (2012), en la que tomó nota de que el Gobierno de Siria se había comprometido a aplicar la propuesta de seis puntos del Enviado Especial de las Naciones Unidas, Sr. Kofi Annan; pidió que se cumplieran de manera urgente, general e inmediata todos los elementos de la propuesta; exhortó a todas las partes sirias, incluida la oposición, a que pusieran fin de inmediato a toda la violencia armada en todas sus formas; y expresó su intención de establecer inmediatamente, tras la celebración de consultas entre el Secretario General y el Gobierno de Siria, una misión de supervisión de las Naciones Unidas en Siria para vigilar el cese de la violencia armada en todas sus formas y por todas las partes.	1
H. Prevención de los actos de explotación y abuso sexuales cometidos por funcionarios de las Naciones Unidas, personal conexo y asociados y respuesta a esos actos;	0
En su último informe sobre la protección de los civiles en los conflictos armados (S/2012/376), el Secretario General indicó que el estado de la protección de los civiles seguía siendo pésimo y que existía una clara necesidad de que los compromisos normativos se tradujeran en mejoras concretas para la protección de los civiles sobre el terreno.	1
En ese contexto, nos siguen preocupando los ciudadanos más vulnerables de Timor-Leste: los pobres y los desplazados.	1
Afirmaciones como que los palestinos no aman a sus hijos o que los palestinos envían a sus hijos a la muerte porque odian a Israel son palabras cargadas de racismo que reflejan una clase de actitud que debe ser rechazada de plano, lo que ahora estoy tratando de hacer.	1
El sitio debe ser levantado de inmediato para que la población civil en Gaza pueda tener acceso, esencialmente a agua, empleos, comercio, asistencia médica y educación, en fin, acceso a sus necesidades básicas.	1
e) El Comité concederá gran importancia a la coordinación con expertos de otros órganos subsidiarios del Consejo de Seguridad competentes en la lucha contra el terrorismo al preparar las visitas y simplificar la presentación de informes;	0
1. Condena el extremismo violento, que puede conducir al terrorismo, la violencia sectaria, y la comisión de actos terroristas por combatientes terroristas extranjeros, y exige que todos los combatientes terroristas extranjeros depongan las armas, pongan fin a todos los actos terroristas y dejen de participar en los conflictos armados;	1
El Equipo cree que el embargo podría ser más eficaz contra esta y otras amenazas de alta prioridad, como la utilización de sistemas portátiles de defensa antiaérea, si estuviera más estrechamente vinculado a otros regímenes de lucha contra la proliferación y de control de armas.	1
En su cumbre celebrada en 2013, el Grupo de los Ocho declaró su "rechazo inequívoco" de la financiación del terrorismo a través del pago de rescates.	1
b) Tipifiquen como delito la provisión o recaudación intencionales, por cualesquiera medios, directa o indirectamente, de fondos por sus nacionales o en su territorio con la intención de que dichos fondos se utilicen, o con conocimiento de que dichos fondos se utilizarán, para perpetrar actos de terrorismo;	1
Según relataron los testigos, los atacantes iban vestidos con los uniformes de color caqui de los soldados del Gobierno y portaban fusiles de asalto Kalashnikov y G-3 y lanzagranadas.	0
Al-Qaida en el Iraq (AQI) (QE.J.115.04) cambió recientemente su nombre por el de Estado Islámico del Iraq y el Levante (ISIL) con el fin de legitimar sus operaciones en la República Árabe Siria y distanciarse de la marca Al-Qaida.	1
El aumento de la protección de los civiles en los conflictos armados constituye una parte fundamental de la labor del Consejo de Seguridad de las Naciones Unidas en lo que respecta al mantenimiento de la paz y la seguridad.	0
i) Intensificar su cooperación con las organizaciones internacionales, regionales y subregionales y establecer modalidades operativas con cada una de ellas, que tengan en cuenta las diferencias existentes entre sus capacidades y mandatos, entre ellas intercambios a nivel operativo, exposiciones informativas al Comité y de este, y mejores acuerdos de intercambio de información;	0
Ello reducía el valor de la iniciativa en cuanto a prever una justicia amplia para las víctimas.	1
El Gobierno no ha adoptado las medidas legislativas y administrativas necesarias para luchar contra la corrupción y prevenirla en las instituciones provisionales.	0
El Consejo de Seguridad señala que los equipos multidisciplinarios de evaluación de las Naciones Unidas, con el consentimiento de los Estados anfitriones, podrían ayudar a los Estados y prestarles apoyo en la separación de los combatientes y los civiles.	0
Al otro lado de la frontera, en la República Árabe Siria, Jabhat al-Nusra, una entidad afiliada a AQI, ha visto aumentar su influencia y número de combatientes por su participación en la cada vez más brutal guerra civil que tiene lugar en el país.	0
Este es el séptimo informe que presenta el Equipo encargado de prestar apoyo analítico y vigilar la aplicación de las sanciones desde que se estableció en marzo de 2004; incluye temas conocidos y unos pocos totalmente nuevos.	0
Expresando su preocupación por todas las violaciones y abusos de los derechos humanos, el Consejo exhorta a las autoridades libias a investigar y hacer comparecer ante la justicia a los autores de tales actos, incluidos los cometidos contra los niños.	0
Dijo que el ISIL estaba cometiendo abusos en el Iraq de "tal escala y gravedad que con toda probabilidad podían calificarse como crímenes internacionales, que podían someterse a la jurisdicción de la Corte Penal Internacional".	0
Para acelerar el proceso de aprobación, se podría alentar a los Estados a que suministrasen al Comité toda la información o documentación de apoyo disponible, como por ejemplo órdenes de detención, anuncios de la Interpol, acusaciones y fallos o actas de tribunales.	0
No podemos enviar el mensaje de que los terroristas serán inmunes y darnos por satisfechos con condenas habituales.	1
