es	MatCoop
a) Aprobar marcos jurídicos nacionales para la lucha contra el terrorismo que sean globales y coherentes e incluyan todos los delitos de terrorismo tipificados en los instrumentos internacionales de lucha contra el terrorismo y aplicar de manera eficaz las leyes y normativas para combatir el blanqueo de dinero y la financiación del terrorismo, cumpliendo también las normas internacionales de derechos humanos;	1
:: El 3 de noviembre de 2014, unos aviones de combate del régimen atacaron la mezquita del orfanato islámico de Al Waer en Homs, y causaron grandes daños.	0
A medida que el Comité y la Interpol determinan el mejor modo de avanzar, el Equipo espera que la base de datos de la Interpol pueda proporcionar información identificatoria adicional sobre las personas que figuran en la lista consolidada.	1
Los combatientes del MPCI informaron a la Misión de que en las zonas de combate había otras fosas comunes, en total cinco fosas nuevas, tres de ellas en Man y dos en Danané (a 72 kilómetros de Man).	0
Como indica la situación en la zona de Beni, los esfuerzos para neutralizar a los grupos armados que están dispersos y cuentan con el apoyo de redes delictivas locales y elementos de las FARDC necesitan algún tiempo para traducirse en resultados visibles.	1
El 7 de octubre, la Asesora Especial del Secretario General, Sigrid Kaag, presentó información al Consejo de Seguridad sobre la aplicación de la resolución 2118 (2013), en consultas privadas. La Asesora Especial centró su intervención en cuatro temas: el cierre de la Misión Conjunta de la Organización para la Prohibición de las Armas Químicas y de las Naciones Unidas el 30 de septiembre; los progresos realizados en la aplicación de los planes para la destrucción de las 12 instalaciones restantes de producción de armas químicas; la cuestión de las discrepancias en la declaración original formulada por la República Árabe Siria; y las denuncias de utilización de cloro gaseoso en la República Árabe Siria.	0
Aqeel Al-Aquil inició juicio el 11 de mayo de 2005 en un tribunal federal del Distrito de Columbia contra funcionarios de los Departamentos de Justicia, Estado y del Tesoro de los Estados Unidos, alegando que su designación como terrorista por el Gobierno de los Estados Unidos el 2 de junio de 2004 violaba sus derechos en virtud de la Constitución de los Estados Unidos. Al-Aquil, un residente y ciudadano de Arabia Saudita, era el presidente de Al-Haramain Islamic Foundation, que estaba basada en Arabia Saudita hasta que fue clausurada por las autoridades de ese país en 2004. El 6 de julio de 2004, las Naciones Unidas lo incluyeron en la lista con su apellido, Al-Aquil, junto con diversas oficinas de Al-Haramain en Afganistán, Albania, Bangladesh, Etiopía y los Países Bajos (las Naciones Unidas habían incluido en la lista a otras oficinas de Al-Haramain antes de esa inclusión e hicieron lo mismo con otras oficinas posteriormente).	0
Los organismos estatales de policía y seguridad de Bosnia y Herzegovina han procurado aplicar medidas para mejorar la cooperación, y el grupo de trabajo sobre el Tribunal establecido conjuntamente por el Gabinete del Primer Ministro y el Representante Especial de la Unión Europea y la Oficina del Alto Representante sigue supervisando la aplicación de esas medidas. El 8 de agosto se detuvo en la Argentina a Milan Lukic, el 25 de agosto se capturó en Siberia occidental a Dragan Zelenovic y el 13 de septiembre Sredoje Lukic se entregó en Banja Luka a las autoridades de la República Srpska.	0
Los frecuentes enfrentamientos entre tropas de la FARDC y grupos armados que operan en la zona han provocado numerosas bajas entre la población civil.	0
Además, el punto focal encargado de las solicitudes de supresión de nombres de la Lista, establecido en virtud de la resolución 1730 (2006) del Consejo de Seguridad, puede aceptar la solicitud de supresión de un nombre presentada por la familia de una persona listada fallecida, o por su representante, y gracias a ello ha resultado más fácil para los herederos legítimos (no listados) de una persona fallecida conseguir que se tramite su solicitud cuando ningún Estado está dispuesto a actuar en su nombre.	0
Los frecuentes ataques llevados a cabo en el Afganistán por los talibanes y por terroristas vinculados con Al-Qaida demuestran la persistencia de las violaciones del embargo de armas pese al programa de desarme del Gobierno.	0
Es necesario mejorar el intercambio de información y también fomentar la cooperación con los Estados de otras regiones.	0
Además, la Comisión halló pruebas suficientes de que las mujeres siguieron siendo víctimas de violaciones y violencia sexual durante su desplazamiento, de forma que se había perpetuado en ellas el temor a salir de los campamentos de desplazados.	0
Acogiendo con beneplácito y apoyando las medidas adoptadas para concertar tratados sobre zonas libres de armas nucleares y reafirmando la convicción de que la creación de zonas libres de armas nucleares reconocidas internacionalmente en base a acuerdos convenidos libremente entre los Estados de cada región afectada, y de conformidad con las directrices de 1999 de la Comisión de Desarme de las Naciones Unidas, promueve la paz y la seguridad mundial y regional, fortalece el régimen de no proliferación nuclear y contribuye a la consecución de los objetivos del desarme nuclear,	0
Sin embargo, sigo preocupado porque continúan las restricciones impuestas a la libertad de circulación de los observadores militares de las Naciones Unidas que intentan visitar las unidades, los cuarteles y los bastiones de las partes con fines de verificación.	0
En estas mismas consultas oficiosas dos representantes de la Misión de Estabilización de las Naciones Unidas en la República Democrática del Congo informaron al Comité por videoconferencia sobre el mandato encomendado a la Misión de vigilar la aplicación de las sanciones y, en particular, sobre el rastreo y el marcado de armas, en respuesta a una petición del Comité.	1
Promoción del conocimiento y la concienciación sobre las cuestiones de género en los planos nacional y local por conducto de la red de coordinadores de cuestiones de género en las oficinas regionales y nacionales.	1
Recuerda la prohibición del desplazamiento forzado de civiles en situaciones de conflicto armado que viola las obligaciones que tienen las partes en virtud del derecho internacional humanitario.	0
a) Revisar su derecho penal a fin de asegurar que el reclutamiento para llevar a cabo actos terroristas y la integración de grupos terroristas están suficientemente tipificados como delito;	1
Por lo que respecta a las F-FDTL, un decreto ley dispone la estructura militar, pero las leyes que rigen la disciplina y la carrera militares son las leyes aprobadas por la UNTAET.	1
La mayoría de los Estados han promulgado leyes por las que se establecen autoridades nacionales de seguridad de la aviación, pero pocos han proporcionado información sobre su aplicación de los anexos pertinentes del Convenio sobre Aviación Civil Internacional.	1
La Secretaria General Adjunta señaló que 69 trabajadores humanitarios habían perdido la vida desde el inicio del conflicto, y que la violencia sexual se había utilizado como una forma de tortura, para causar lesiones, para degradar e intimidar y como forma de castigo.	0
Los progresos alcanzados en esta esfera permitirán que el año próximo los centros de seguridad pública de la República Srpska y la administración de policía de la Federación de Bosnia y Herzegovina funcionen con una metodología fiscal mejorada.	1
Desde que se presentó el último informe sobre esta cuestión (S/2012/971), el número total de combatientes extranjeros y líderes y facilitadores de Al-Qaida asesinados o capturados ha disminuido.	0
El Coordinador Especial informó de que se mantenía la calma general en el sur del Líbano, aunque se habían producido algunos incidentes de seguridad durante el período de que se informa, entre ellos el lanzamiento de cohetes contra Israel desde el sur del Líbano durante el conflicto relacionado con Gaza que había tenido lugar en julio y agosto y dos incidentes graves de seguridad en la zona de las granjas de Shab'a (Sector Oriental).	0
a) Asegurar la protección de los civiles, incluido el personal de asistencia humanitaria, que se encuentren en peligro inminente de sufrir violencia física;	1
Algunos reiteraron la necesidad de una coordinación más estrecha entre las entidades de las Naciones Unidas de lucha contra el terrorismo.	0
Además, la restricción de Eritrea afecta dramáticamente a la seguridad de las fuerzas de mantenimiento de la paz de las Naciones Unidas y de sus operaciones, hasta el punto de que se ha hecho insostenible seguir ocupando los puestos pequeños en los lugares aislados -- que constituyen 18 localidades de un total de 40 -- y ha dejado de ser operacionalmente viable.	0
Además, el Equipo ha intercambiado información con expertos del Comité 1540, expertos de los Comités de Sanciones contra Somalia y Liberia, y con organizaciones no gubernamentales y académicas pertinentes.	1
Entre tanto, se han conseguido grandes progresos en la capacitación de la policía nacional congoleña, que se encargará de garantizar la seguridad de las elecciones.	1
Antecedentes Las Naciones Unidas desempeñan un papel fundamental en la lucha contra el terrorismo mundial.	1
Reiterando su llamamiento a las partes y a los Estados de la región para que cooperen más plenamente con las Naciones Unidas y entre sí y refuercen su implicación para poner fin a la actual situación de estancamiento y avanzar hacia una solución política,	1
Un análisis de las declaraciones de los líderes de Al-Qaida demuestra que sus objetivos inmediatos son, mediante el recurso al terrorismo, conseguir que los países occidentales se retiren del Oriente Medio y de otros Estados islámicos y convencer a los musulmanes de que se quiere atacar a su civilización.	0
En opinión del Coordinador, que comparten sus interlocutores, esta modalidad podría llegar a ser el centro de un mecanismo operativo eficaz que establecería claros parámetros para lograr avances en la búsqueda de los desaparecidos, según se indicaba en mi informe completo (S/2009/190, párr. 16).	0
a) Alentar la elaboración de objetivos mensurables para reducir la violencia armada;	1
En varias ocasiones, he expresado mi firme convicción de que la mejor manera de lograr el desarme de Hizbullah y otras milicias es mediante un proceso político dirigido por los propios libaneses, que conduzca al objetivo final de poner fin a la existencia de armas o fuerzas armadas en el Líbano que no sean las del Estado libanés.	1
6. Confirma además que las disposiciones del párrafo 1 a) serán aplicables también al pago de rescates a personas, grupos, empresas o entidades que figuren en la Lista;	1
Acudieron también a las comisarías de policía y a la fiscalía del distrito para obtener información sobre los casos de violación ya denunciados.	1
Con respecto a la prohibición de viajar, en el párrafo 10 de la resolución 1807 (2008), el Consejo estableció la exención de los viajes por motivos humanitarios, incluidas las obligaciones religiosas, para promover la paz y la reconciliación nacional y la estabilidad en la región, y el tránsito de las personas que regresaran al territorio del Estado de su nacionalidad o participen en intentos de someter a la acción de la justicia a quienes hayan perpetrado graves violaciones de los derechos humanos o del derecho internacional humanitario.	1
En cuanto al desarme, la ONUCI seguirá apoyando el rápido acantonamiento de fuerzas, con arreglo al Acuerdo Suplementario No. 3.	1
Además de informar la labor de los mecanismos de información sobre los derechos humanos y de servir de archivo seguro de la información proporcionada por los interesados pertinentes, la labor de esa estructura facilitaría los esfuerzos de las Naciones Unidas por enjuiciar o exigir responsabilidades a los principales responsables de los crímenes de lesa humanidad.	1
La Ley Uniforme contra la Financiación del Terrorismo de la Unión Económica y Monetaria del África Occidental dispone la congelación administrativa de los activos de los terroristas.	1
Preocupado por las actividades armadas y el bandidaje en [los países afectados], que suponen una amenaza para la seguridad de la población civil, la realización de las operaciones humanitarias en esas zonas y la estabilidad de dichos países, y que dan lugar a graves violaciones de los derechos humanos y el derecho internacional humanitario.	0
En el futuro, estas organizaciones regionales, y en particular la Unión Europea, deberán desempeñar el papel más destacado en Kosovo.	0
En el informe se exponen también tres enfoques específicos que permitirían mejorar la aplicación de las sanciones: en primer lugar, disuadir del pago de rescates a Al-Qaida y sus entidades afiliadas para favorecer la congelación de activos. En segundo lugar, utilizar técnicas biométricas e introducir cambios en los criterios nacionales de definición de viajeros no admisibles para reforzar la prohibición de viajar impuesta contra las personas incluidas en la Lista. En tercer lugar, mejorar el análisis y la adopción de medidas para limitar la disponibilidad de componentes empleados en la elaboración de los dispositivos explosivos improvisados que utilizan Al-Qaida y sus entidades afiliadas. II. Perspectiva general A. Al-Qaida	0
Expresa su más sentido pésame y sus condolencias a las víctimas de este atroz acto de terrorismo y a sus familiares, así como al pueblo y al Gobierno del Pakistán.	0
Los acontecimientos que tuvieron lugar en Abidján en relación con la marcha prevista para el 25 de marzo dieron como resultado graves violaciones de los derechos humanos.	0
Es evidente que la situación de Darfur no reúne las condiciones necesarias para que se apliquen esas disposiciones.	0
Hemos expresado nuestra seria preocupación por el sufrimiento de los palestinos en la Franja de Gaza.	0
En todas esas conversaciones, me alentó encontrar una convergencia de opiniones: todos quedamos maravillados ante los numerosos progresos que ha logrado Liberia desde que terminaron los combates en 2003, pero todos nos percatamos plenamente de cuán abrumadores son los retos que Liberia aún enfrenta y de que, en última instancia, no podemos dar nada por sentado.	0
Si bien la Iniciativa se concibió en respuesta al aumento del tráfico de drogas y la delincuencia organizada transnacional en África occidental, las unidades de lucha contra la delincuencia transnacional funcionarán como centros de coordinación nacional y regional para apoyar la capacidad analítica y técnica de respuesta a amenazas transnacionales.	1
La Oficina de Asuntos de Desarme ha tratado de sensibilizar a los posibles donantes para movilizar su apoyo con destino a los seminarios y talleres regionales que organiza.	1
La dependencia comparte información con sus contrapartes de otros países, tanto directamente como por conducto de organismos de represión.	1
En los últimos tres meses, la Brigada Conjunta de Investigaciones Especiales de la MINUSTAH investigó por lo menos cuatro casos de presuntas ejecuciones sumarias.	1
Aunque la Comisión descarta que en la reunión del 8 de mayo el ex Primer Ministro diera instrucciones a Rai Los para "eliminar" a sus opositores políticos, está convencida, sobre la base de toda la información que tiene ante sí, de que existe una sospecha razonable de que el ex Primer Ministro al menos tenía conocimiento de la distribución de armas de la PNTL a civiles.	0
Además, la Organización de Aviación Civil Internacional y la Organización Marítima Internacional, lo mismo que asociaciones sectoriales no gubernamentales, como la Asociación de Transporte Aéreo Internacional, han establecido y actualizado periódicamente normas para la conducta de sus miembros y para el transporte de cargas peligrosas, incluidas las remesas de municiones y explosivos.	1
Por último, tenemos que incorporar la participación y la indemnización de las víctimas en la labor de estos tribunales en el futuro.	0
Además, tras su recuperación por las fuerzas del Gobierno, la ciudad había acogido a más de 11.000 personas desplazadas, a las que se había intentado asistir lo mejor posible.	1
Hablemos francamente: estos relatos de la prensa, de grupos de derechos humanos y de civiles que se encuentran sobre el terreno generan una gran preocupación acerca del carácter y la magnitud del conflicto.	0
En estrecha cooperación con los comités establecidos en virtud de las resoluciones 1267 (1999) y 1540 (2004) y de conformidad con su mandato, el Comité prestará especial atención a los Estados que estén atrasados en la presentación de la información pertinente y estudiará la mejor manera de resolver ese problema.	1
El Comité seguirá organizando reuniones y eventos especiales sobre temas y cuestiones de preocupación e interés común para los Estados Miembros, con miras a aprovechar al máximo los efectos de las resoluciones y mantener el compromiso de la comunidad internacional de luchar contra el terrorismo.	1
Prácticamente todos los Estados tipifican el uso de sus territorios para cometer o preparar atentados terroristas contra los ciudadanos, las instalaciones o los representantes diplomáticos de otros Estados.	1
No se puede permitir que los terroristas y sus cómplices aprovechen las lagunas jurídicas existentes para eludir la responsabilidad de sus actos.	0
Durante ese período la Comisión seguirá investigando el crimen y ayudará a las autoridades libanesas a profundizar la investigación.	1
La Dirección Ejecutiva del Comité contra el Terrorismo seguirá fortaleciendo su función de facilitación de la asistencia técnica para aplicar la resolución 1373 (2001) con el fin de aumentar la capacidad de los Estados Miembros y las regiones para luchar contra el terrorismo atendiendo sus necesidades al respecto, en estrecha cooperación con el Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo, los demás órganos de las Naciones Unidas y los proveedores de asistencia bilateral y multilateral, y seguirá aplicando el enfoque delimitado y regional a su labor.	1
Para terminar, el Teniente General Singha explicó que, desde marzo de 2012, la FNUOS había padecido combates entre grupos de la oposición y el ejército sirio en la zona de separación, lo cual constituía una clara violación del mandato.	0
En esos lugares se informó al Grupo de que últimamente no había habido reclutamiento alguno, pero que si estallaba nuevamente un conflicto en Côte d'Ivoire ello podría cambiar.	1
El equipo forense holandés recibió asistencia de numerosas personas mientras llevaba a cabo la investigación en el lugar del crimen, por ejemplo, técnicos forenses de las Fuerzas de Seguridad Interna, un equipo británico de buceadores, un equipo francés de expertos en explosivos, un científico forense de Irlanda del Norte, un ingeniero eléctrico alemán especializado en dispositivos de interferencia, un equipo japonés de investigadores del lugar del crimen, un experto alemán en automóviles, un experto holandés en automóviles y varios especialistas libaneses.	1
En ambas resoluciones se insiste en que los Estados tienen la responsabilidad de investigar y procesar a las personas responsables de genocidio, crímenes de lesa humanidad, crímenes de guerra u otras infracciones graves del derecho internacional humanitario.	1
La Oficina Conjunta de Derechos Humanos de las Naciones Unidas sigue investigando las presuntas infracciones de esos derechos y del derecho internacional humanitario cometidas tanto por los grupos armados como por las fuerzas de seguridad nacionales.	1
b) Exhortar a las partes en los conflictos armados a cumplir las obligaciones que les incumben en virtud del derecho internacional humanitario de respetar y proteger al personal humanitario y los artículos utilizados en las operaciones de socorro;	1
3. Hace un llamamiento a todos los Estados para que prosigan los esfuerzos internacionales encaminados a promover el diálogo y mejorar el entendimiento entre las civilizaciones, en un intento por prevenir que se atente indiscriminadamente contra diferentes religiones y culturas, y adopten todas las medidas que sean necesarias y adecuadas y conformes con las obligaciones que les incumben en virtud del derecho internacional para luchar contra la incitación a la comisión de actos de terrorismo por motivos de extremismo e intolerancia e impedir la subversión de las instituciones educativas, culturales y religiosas por parte de terroristas y de quienes los apoyan;	0
C. Seguridad de los refugiados, los desplazados internos, los civiles y los trabajadores humanitarios con arreglo a las normas internacionales de derechos humanos	1
El Consejo de Seguridad, en el párrafo 4 de su resolución 1977 (2011), decidió que el Comité establecido en virtud de la resolución 1540 (2004) presentara un programa de trabajo anual al Consejo antes de fines de mayo de cada año.	1
La cooperación en la gestión fronteriza regional sigue mejorando, entre otras cosas, gracias al establecimiento de patrullas conjuntas, al intercambio de información y a los mecanismos regionales de control fronterizo y cooperación aduanera.	1
- Destacar la importancia de desarmar, desmovilizar y reintegrar permanentemente a los excombatientes de los grupos armados nacionales y extranjeros y de prestar asistencia a las víctimas en las comunidades afectadas por los conflictos.	0
Menos de la mitad de los 140 Estados que presentaron informes conforme a lo dispuesto en la resolución 1455 (2003) mencionaron qué medidas habían adoptado para restringir o regular la circulación de productos preciosos y los que lo hicieron generalmente se refirieron sólo a controles en virtud de la legislación aduanera y fiscal.	1
En marzo de 2005, buques matriculados en Grecia y Panamá estaban haciendo descargas clandestinas sin declaración de aduanas ni a la policía.	0
Simultáneamente, el movimiento de resistencia clandestino se expandió por el país y volvió a nacer un movimiento popular. El 30 de agosto de 1999 el 78% de la población timorense votó a favor de la emancipación de la administración indonesia en la consulta del pueblo patrocinada por las Naciones Unidas.	0
El Presidente Abbas también me dijo que "la transferencia ilícita de cantidades sustanciales de armas a los campamentos de refugiados por conducto de algunos grupos palestinos representa un riesgo para el Líbano y no ayuda a la causa palestina".	0
En las consultas privadas que siguieron, el Representante Especial y el Enviado Especial se refirieron a algunas cuestiones relacionadas con la reforma del sector de la seguridad y la creación de una fuerza de reacción rápida en el seno de las FARDC, el proceso electoral y las elecciones generales.	1
Los miembros del Consejo reconocen también la necesidad de establecer en la República Centroafricana una oficina integrada de las Naciones Unidas, según se subrayó en las conclusiones formuladas por una delegación de la Comisión de Consolidación de la Paz después de su reciente visita al país.	1
La convergencia cada vez mayor entre los métodos de financiación del terrorismo, especialmente a nivel local, y otras actividades delictivas hace que sea aun más difícil distinguir las primeras de las últimas.	0
El progreso respecto de la solicitud formulada por el Presidente Kabila de que la Misión prestara asistencia en el adiestramiento, equipamiento y acuertelamiento de 20 unidades de policía, o el equipamiento de 3 batallones de policía militar, es escaso debido a la falta de apoyo complementario de los donantes que han de proporcionar el equipo básico necesario (véase mi informe de 30 de marzo de 2010 (S/2010/164)).	1
5. Además, afirmamos respetuosamente que existen otros métodos, más expeditivos y sencillos, que garantizarían que se otorgue una justa indemnización a las víctimas de actos delictivos en Rwanda.	1
Que un conjunto de normas consuetudinarias que regulan los conflictos armados internos haya evolucionado de esta manera en la comunidad internacional lo confirman varios elementos.	1
- Exhortar a las partes en un conflicto armado a que adopten medidas apropiadas para abstenerse de toda forma de violencia sexual y para prevenirla y proteger a todas las personas contra ella, por medios que incluyan:	0
Con el fin de verificar con mayor eficacia la aplicación de las resoluciones 1373 (2001) y 1624 (2005) por los Estados Miembros, la Dirección Ejecutiva seguirá haciendo un balance de la labor que llevan a cabo en relación con la aplicación de las resoluciones, utilizando los instrumentos de evaluación revisados de que dispone el Comité (la sinopsis de la evaluación de la aplicación y el estudio detallado de la aplicación); procurando determinar cuáles son los problemas y las necesidades de todos los Estados Miembros y las regiones; y facilitando la prestación de asistencia técnica específica a ese respecto.	1
En 45 países del África subsahariana, la UNESCO elaboró un mapa general de las políticas y recursos existentes para describir cómo se fomenta una cultura de paz.	1
La resolución y la decisión simultánea de examinar en el Consejo de Seguridad la llamada "cuestión de los derechos humanos" en la República Popular Democrática de Corea constituyen la manifestación más ostensible de la política hostil que llevan adelante los Estados Unidos contra la República Popular Democrática de Corea, así como del intento peligroso y políticamente motivado de preparar el terreno para invadirla utilizando los derechos humanos como pretexto.	0
Aunque el mando de la PNTL no sancionó los ataques del 23 y 24 de mayo en que participaron algunos oficiales, éstos estuvieron vinculados con el desmembramiento de la cadena de mando, las facciones existentes y un historial de escasa rendición de cuentas.	0
Para acelerar el proceso de aprobación, se podría alentar a los Estados a que suministrasen al Comité toda la información o documentación de apoyo disponible, como por ejemplo órdenes de detención, anuncios de la Interpol, acusaciones y fallos o actas de tribunales.	1
En otro caso, los Janjaweed atacaron la aldea de Mallaga, en octubre de 2004, matando a 18 hombres e hiriendo a cuatro hombres y dos mujeres.	0
2. Recuerda, a este respecto, que los periodistas, los profesionales de los medios de comunicación y el personal asociado que realizan peligrosas misiones profesionales en zonas de conflicto armado deberán considerarse civiles y ser respetados y protegidos como tales, a condición de que se abstengan de emprender acciones que afecten negativamente a su estatuto de civiles y sin perjuicio del derecho que tienen los corresponsales de guerra acreditados ante las fuerzas armadas a gozar del estatuto de prisionero de guerra previsto en el apartado A.4) del artículo 4 del Tercer Convenio de Ginebra;	1
Muchas de las denuncias se refieren a secuestros de mujeres.	0
Se podría considerar que el pueblo de Kulbus era un objetivo militar, dada la presencia del campamento militar.	0
- Considerar la posibilidad de establecer exenciones generales a las sanciones económicas y financieras selectivas adoptadas por el Consejo de Seguridad con el fin de facilitar la prestación de asistencia humanitaria.	0
Con arreglo a lo dispuesto en la resolución 2083 (2012), en julio y diciembre de 2013 el Equipo de Vigilancia presentó al Comité informes en los que formulaba recomendaciones sobre cómo mejorar el régimen de sanciones e intensificar los efectos de las sanciones y presentaba una evaluación de la amenaza que planteaban Al-Qaida y sus asociados, así como información actualizada sobre las actividades del Equipo.	1
Una vez determinado el futuro estatuto, será necesario contar con una presencia internacional (militar y civil) que tenga los recursos necesarios para dirigir la aplicación del acuerdo de manera estable y ordenada.	1
La reunión, organizada conjuntamente por la Dirección Ejecutiva y el Consejo de Europa, se centró en la prevención del terrorismo.	0
Los combatientes desmovilizados recibirán dietas por un monto aproximado de 940 dólares de los Estados Unidos, de los que el 25% se pagará en el momento de la desmovilización, otro 25% al cabo de 45 días y el resto 90 días después.	1
En su última visita a Damasco, del 10 al 15 de diciembre de 2014, el Grupo de Evaluación de las Declaraciones prosiguió las entrevistas con el personal principal del programa de armas químicas sirias, mantuvo reuniones técnicas con la Autoridad Nacional de la República Árabe Siria y visitó dos emplazamientos.	1
Al propio tiempo, la Presidenta Pillay hacer ver que los magistrados opinan que bien podría conferirse al Tribunal, juntamente con uno de estos mecanismos, una facultad limitada de ordenar el pago de indemnizaciones, con cargo a los recursos de un fondo fiduciario, a las víctimas que comparecen en calidad de testigos en los juicios que se sustancian ante el Tribunal.	1
Al mismo tiempo, Cuba expresa su condena de los ataques suicidas con bombas y otros actos dirigidos contra civiles israelíes, víctimas inocentes de la espiral de violencia que ocasiona la política de su Gobierno, a la vez que se opone a la manipulación de dichos actos aislados para cuestionar el ejercicio de la legítima defensa por parte del pueblo palestino, y justificar las acciones, tanto selectivas como a gran escala, contra la población palestina.	0
Los observadores militares de la UNOMIG siguieron realizando las tareas que les competen según su mandato, patrullando diariamente, manteniendo contacto con las autoridades locales y coordinando su labor con las fuerzas colectivas de mantenimiento de la paz de la Comunidad de Estados Independientes (CEI) y los organismos encargados de hacer cumplir la ley de ambas partes.	1
:: Incrementar la cooperación y la coordinación con el Comité contra el Terrorismo y su Dirección Ejecutiva, con el Comité establecido en virtud de la resolución 1540 (2004) y con todos los organismos y organizaciones internacionales que hayan acumulado experiencia y tengan conocimientos especializados en la lucha contra el terrorismo.	1
Además, la Autoridad reafirma su determinación de seguir trabajando para combatir los efectos del cambio climático.	0
Aun así, el Iraq sigue haciendo frente a fuerzas terroristas que incluyen grupos que reclutan elementos extranjeros para llevar a cabo ataques y acciones terroristas desesperados en su intento de desestabilizar el progreso político y económico del Iraq.	0
Sólo en cinco Estados se han implantado parcialmente medidas para impedir el uso indebido de los procedimientos de asilo.	1
