es	MatConf
Habida cuenta de la vulnerabilidad de la subregión, es preciso adoptar más medidas para tipificar el reclutamiento como delito.	0
Ante esta situación, el Equipo ha puesto en marcha varias iniciativas para cumplir su mandato de supervisar la prohibición de viajar y proponer recomendaciones para mejorarlo, entre ellas: aumento de la interacción con los Estados Miembros y las principales organizaciones internacionales; una investigación de la utilización de documentos de viaje falsos por parte de terroristas y los modos de mejorar los sistemas nacionales e internacionales; conversaciones asiduas con la Interpol sobre modos de mejorar su coordinación con las Naciones Unidas; un análisis de la tendencia cada vez más frecuente a constituir zonas en que no se necesita visado y hay libertad de circulación y su interrelación con las sanciones de las Naciones Unidas; y la relación entre las prácticas de refugio y asilo y las actividades de las Naciones Unidas para luchar contra el terrorismo.	0
... destacando la importancia de investigar [presuntos abusos y violaciones del derecho humanitario internacional], incluidos los ocurridos durante la ... crisis y cometidos por todas las partes, independientemente de su estatus o su afiliación política, reafirmando que los responsables de dichas violaciones deben ser obligados a rendir cuentas y a comparecer ante la justicia independientemente de su afiliación política, respetando los derechos de los detenidos ..., instando al Gobierno a que intensifique y agilice sus esfuerzos por combatir la impunidad,	0
La Dirección Ejecutiva aumentará su cooperación con los órganos competentes de las Naciones Unidas, incluido el Equipo de Vigilancia del Comité del Consejo de Seguridad establecido en virtud de la resolución 1267 (1999) y el Grupo de Expertos del Comité del Consejo de Seguridad establecido en virtud de la resolución 1540 (2004), así como con diversas organizaciones internacionales, regionales y subregionales, en especial en el marco de las visitas del Comité a los Estados Miembros.	0
El Grupo de supervisión observó que, durante este período, la oposición había comprado ametralladoras antiaéreas y municiones en el mercado de armas de Bakaaraha.	1
En septiembre hubo infracciones por ambas partes, ataques y contraataques, actos de venganza y represalias.	1
Una conclusión común es que, en sus operaciones antisubversivas, el Gobierno ha cometido actos contra la población civil, directamente o utilizando grupos armados, que constituyen graves transgresiones de los derechos humanos y del derecho humanitario.	1
4. Insta a la Dirección Ejecutiva a que siga reforzando su función de facilitar la asistencia técnica para la aplicación de la resolución 1373 (2001) a fin de aumentar la capacidad de los Estados Miembros y de las regiones para luchar contra el terrorismo atendiendo a sus necesidades en este ámbito, en estrecha cooperación con el Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo, así como con las entidades que proporcionan asistencia bilateral y multilateral, y acoge con beneplácito el enfoque temático y regional que aplica a su labor la Dirección Ejecutiva;	0
Recalcando que corresponde a las Naciones Unidas una función central en la lucha mundial contra el terrorismo y acogiendo con beneplácito la aprobación por la Asamblea General de la Estrategia global de las Naciones Unidas contra el terrorismo (resolución 60/288, de 8 de septiembre de 2006), la institucionalización del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo, de conformidad con la resolución 64/235 de la Asamblea General, de 24 de diciembre de 2009, que fortalecerá todavía más los esfuerzos del Equipo Especial para asegurar la coordinación y la coherencia generales de las actividades del sistema de las Naciones Unidas contra el terrorismo, incluso sobre el terreno, y el llamamiento a una mayor participación de los Estados Miembros en la labor del Equipo Especial (resolución 64/297),	0
La mezquita y las casas cercanas resultaron dañadas por el bombardeo.	1
Las FARDC siguen estando mal equipadas y sostenidas y la MONUC opina que sería necesario reforzar la presencia militar para asegurar el buen desarrollo de las elecciones en varias zonas fundamentales de Katanga.	1
b) El malestar social vinculado a problemas de exclusión de larga data ha contribuido a generar constantes protestas y a la aparición de grupos políticos y armados en el sur de las llanuras del Terai, que han creado nuevos riesgos de desplazamiento, muerte y reclutamiento para los niños;	1
Según las circunstancias de cada caso, esas personas pueden ser sospechosas, con arreglo a la doctrina de la asociación ilícita, de haber cometido los crímenes de lesa humanidad de asesinato de civiles, confinamiento forzoso de civiles y traslado forzoso, y el crimen de guerra de destrucción de objetos de carácter civil.	1
Como mínimo, debería paliar su sufrimiento obligando al Estado del Sudán a indemnizarlas.	0
Todas las delegaciones estuvieron de acuerdo en que la principal amenaza en la región procedía de la Jemaah Islamiyah (QE.J.92.02.), el grupo Abu Sayyaf (QE.A.1.01.) y un recién llegado, el movimiento Rajah Solaiman (no incluido en la Lista), que colabora estrechamente con el grupo Abu Sayyaf*.	0
a) Reitera su llamamiento a las partes en conflictos armados enumeradas en los anexos del informe del Secretario General sobre los niños y los conflictos armados para que, si aún no lo han hecho, preparen y ejecuten, sin más demora, planes de acción para poner fin al reclutamiento y la utilización de niños en contravención del derecho internacional aplicable;	0
C. Seguridad de los refugiados, los desplazados internos, los civiles y los trabajadores humanitarios con arreglo a las normas internacionales de derechos humanos	0
Media hora después, llegaron al lugar otros tres jeeps procedentes del Chad, apoyados por un helicóptero militar, y se produjo un nuevo enfrentamiento con la unidad militar sudanesa, en el cual un soldado y varios civiles resultaron heridos.	1
Los miembros del Consejo dijeron que las Naciones Unidas debían liderar la respuesta internacional a las necesidades de Libia posteriores al conflicto.	0
De la información recopilada y verificada por la Comisión se deduce claramente que la violación y otros actos de violencia sexual cometidos por los milicianos Janjaweed y los soldados del Gobierno en Darfur fueron generalizados y sistemáticos y, por lo tanto, podrían constituir un crimen de lesa humanidad.	1
Los reos fueron puestos en libertad inmediatamente y han vuelto al servicio activo en violación del reglamento del servicio militar. El 28 de julio, cada una de las viudas de los ocho agentes de la policía nacional fallecidos percibió 2.500 dólares en cumplimiento de lo dispuesto por el Tribunal de Distrito de Dili en su sentencia de diciembre de 2007.	1
Otros soldados empezaron a golpear a las otras cuatro mujeres, incluida la testigo.	1
El Comité nacional recomendó que se crearan comisiones judiciales de investigación que se ocuparan de las siguientes denuncias: ejecuciones extrajudiciales, la captura por grupos árabes de dos aldeas de la tribu Fur en la localidad de Kas y los incidentes en que habían sido asesinados y quemados algunos de los heridos internados en hospitales de las aldeas de Buram, Meleit y Kelebs.	1
Según la información reunida, habida cuenta de que ejercían un control efectivo general sobre el personal militar que luchaba para los grupos rebeldes, tenían conocimiento de algunos crímenes cometidos por ese personal militar o, como mínimo, deberían haber sabido lo que ocurría, pero no hicieron nada por poner fin a las atrocidades.	1
La Comisión constató con particular alarma que en el curso de su mandato han continuado los ataques contra aldeas, el asesinato de civiles, las violaciones, los saqueos y los desplazamientos forzados y considera que hay que tomar medidas con urgencia para ponerles término.	1
El Consejo de Seguridad señala el efecto pernicioso de la proliferación de las armas, en particular las armas pequeñas, para la seguridad de los civiles, incluidos los refugiados y otros grupos vulnerables de la población.	1
Como puede comprobarse en el apéndice de la presente carta, las fuerzas del régimen se han mostrado particularmente crueles en la ciudad de Ar-Raqqa, donde, al amparo de los ataques aéreos de los Estados Unidos contra el EIIL, han masacrado a civiles inocentes en una escala sin precedentes.	1
Algunas personas habían estado detenidas más de 11 meses sin que se hubiera formulado una acusación contra ellas, sin tener acceso a un abogado o sin poder comunicarse con su familia.	1
Puede considerarse que la práctica equivale a desapariciones forzadas y, por tanto, a un incumplimiento de las obligaciones que incumben a los grupos armados con arreglo al derecho internacional humanitario consuetudinario.	1
Los grupos armados congoleños y extranjeros, así como algunos elementos de las FARDC, siguieron atacando a los civiles, incluso en actos de violencia sexual.	1
:: Respeto del derecho de los refugiados y desplazados internos a regresar en forma voluntaria y en condiciones de seguridad y dignidad a sus lugares de origen.	0
A ese respecto, el Consejo condena en los términos más enérgicos las amenazas y la intimidación a que se ven sometidos continuamente los elementos de la UNMIS.	0
Muchas personas murieron y más de 100 resultaron heridas.	1
m) Estudiar e informar al Comité sobre los cambios que se produzcan en la naturaleza de la amenaza que representan Al-Qaida y los talibanes y las medidas más eficaces para hacerle frente, incluso entablando un diálogo con las instituciones académicas y los especialistas pertinentes, en consulta con el Comité;	0
5. Observa que esos medios de financiación o apoyo comprenden, entre otros, el uso de los ingresos obtenidos de actividades delictivas, incluido el cultivo ilícito, la producción y el tráfico de estupefacientes y sus precursores;	1
El juicio del General Sanogo sigue en la etapa de instrucción; prosigue la investigación de la muerte de 16 predicadores ocurrida en septiembre de 2012 en un campamento de las fuerzas armadas de Malí en Diabaly; la ejecución sumaria de tres tuaregs que tuvo lugar en febrero de 2014 en Djébock (región de Gao) se está investigando y siguen detenidos cuatro soldados de las fuerzas armadas de Malí.	1
Desde su puesta en marcha en enero de 2003, ese plan ha ido destinado a evitar el comercio de diamantes de zonas en conflicto garantizando que todos los diamantes en bruto que se compren o vendan entre sus participantes (42 Estados y la Comunidad Europea) vayan acompañados de un certificado válido del Proceso de Kimberley.	1
5. Solicita también al Secretario General que, de conformidad con el párrafo 6 de la resolución 1980 (2011), le mantenga informado, a más tardar el 30 de junio de 2011, en el informe final mencionado en el párrafo 2 de la presente resolución y ulteriormente en sus informes siguientes relativos a la ONUCI y la UNMIL, de los acontecimientos, las medidas adoptadas y la labor de coordinación entre la ONUCI y la UNMIL realizada con el objeto de ayudar a los Gobiernos de Côte d'Ivoire y Liberia, respectivamente, a vigilar su frontera y las zonas circundantes, y en particular de la manera en que el personal y el equipo militar redistribuido contribuye a ello, prestando especial atención a todo movimiento de combatientes o transferencia de armas a través de la frontera, y, a este respecto, alienta a la ONUCI y a la UNMIL a que, con arreglo a sus respectivos mandatos, capacidad y zonas de despliegue, ayuden, en colaboración con los Gobiernos de Côte d'Ivoire y de Liberia, respectivamente, a desarmar a quienes ponen en peligro la reconciliación nacional y la consolidación de la paz;	0
Acoge con beneplácito el compromiso de luchar contra el flagelo del terrorismo internacional, expresado por los Estados, entre otras ocasiones, en los debates de las sesiones plenarias de la Asamblea General celebradas del 1° al 5 de octubre de 2001, exhorta a todos los Estados a adherirse cuanto antes a los convenios y protocolos internacionales pertinentes relativos al terrorismo, y alienta a los Estados Miembros a avanzar en esta dirección,	0
Algunos informes y los medios de comunicación afirman tener pruebas convincentes de que algunas zonas han sido atacadas por ser un centro de actividades rebeldes o por su proximidad a esas actividades, pero sobre todo por la composición étnica de la población que habita esas zonas.	0
En las declaraciones de testigos de muchos incidentes publicadas en esos informes se menciona que las fuerzas atacantes iban de uniforme, pero se distingue entre los uniformes de las fuerzas militares regulares y los Janjaweed.	1
Por ejemplo, tras meses de ataques constantes contra las aldeas de la zona, numerosas personas las abandonaron y se refugiaron en Deleig.	1
El Consejo de Seguridad encomia los esfuerzos de la operación ATALANTA de la Unión Europea, las operaciones Allied Protector y Ocean Shield de la Organización del Tratado del Atlántico Norte, dirigidas por Estados miembros de la OTAN, la Fuerza Combinada de Operaciones 151 de las Fuerzas Marítimas Combinadas, dirigida por los Estados Unidos de América, Dinamarca, Nueva Zelandia, el Pakistán, la República de Corea, Singapur, Tailandia, Turquía, y otros Estados actuando a título individual y en cooperación con las autoridades somalíes y entre sí, para reprimir la piratería y proteger los buques vulnerables que transitan por las aguas situadas frente a las costas de Somalia, y agradece los esfuerzos de los Estados Miembros, entre ellos China, la Federación de Rusia, la India, el Japón, Malasia y la República de Corea, que han desplegado buques o aeronaves en la región, como se indica en el informe del Secretario General (S/2012/783).	0
:: 12 de julio de 2005: el Ministro de Defensa, Elias Murr, resulta herido y otras dos personas mueren en un atentado con coche bomba en Beirut.	1
Además, los talibanes todavía pueden importar armas, otro material y efectivos y la clave del éxito militar reside en neutralizar sus líneas de abastecimiento e impedirles encontrar refugio donde sus combatientes puedan recuperarse entre una operación y otra y entrenar a nuevos reclutas.	1
Además, aumentó también el temor de que las propiedades de las minorías fueran ocupadas, dado que miembros de una comunidad croata de la municipalidad de Vitina y romaníes que habitan en el pueblo de Gnjilane comunicaron que los albaneses de Kosovo habían estado examinando casas vacías y en algunos casos habían intimidado a miembros de las comunidades.	0
El Coronel Lere envió a mensajeros para que comunicaran la orden a los soldados que no lo hubieran oído.	1
El 23 de agosto, como parte de la sesión de información a cargo del Departamento de Asuntos Políticos, el Secretario General Adjunto de Asuntos Políticos dijo que el personal de la Oficina de Coordinación de Asuntos Humanitarios estaba llevando a cabo una misión de evaluación en la República Árabe Siria y se refirió a la declaración del Secretario General, según la cual, a pesar de haberse comprometido a hacerlo, el Presidente Al-Assad no había detenido el uso de la fuerza contra la población civil.	1
El Centro también hace hincapié en la prohibición y el bloqueo de sitios en Internet que contengan material extremista y en la regulación en este ámbito.	1
En total, mediante entrevistas a 116 testigos presenciales y 12 testigos indirectos, el equipo de investigación reunió información sobre ataques contra 51 pueblos o aldeas y 11 casos de violación.	1
Las partes en el proceso de paz todavía no han tomado disposiciones para la liberación ni han ofrecido programas de reintegración con los que los niños de esas fuerzas habrían podido acogerse a medidas de recuperación y reinserción.	0
A todas luces es esencial que los Estados aseguren que sus regímenes de control, tanto de los explosivos militares como de los civiles, sean lo más estrictos posible.	0
Para que el sistema funcione con eficacia, es indispensable que todos los activos objeto de sanciones de una persona o entidad incluida en la Lista sean congelados tan pronto como se hace esa inclusión.	1
Por lo tanto, el Consejo puede desempeñar un papel viable y eficaz en lo referente a la indemnización de las víctimas de las violaciones del derecho internacional.	0
Lucha contra el extremismo violento y la incitación a cometer actos terroristas	1
8. En Somalia, desde inicios de 2007, muchos de los atentados con bombas y ataques suicidas que se han cometido de acuerdo con las prácticas de los grupos asociados con Al-Qaida en el Iraq o el Afganistán han sido reivindicados por el movimiento Al-Shabaab, que no figura en la Lista.	1
En la práctica, la mayoría de las transferencias de armas ligeras a Côte d'Ivoire no se declaran.	1
Según algunas estimaciones, más 700 aldeas de los tres estados de Darfur han sido total o parcialmente destruidas. Se informó también a la Comisión de que la policía había evaluado la destrucción y había registrado el número de aldeas destruidas en más de 2.000.	1
El Consejo de Seguridad continúa gravemente preocupado por las actividades en la región del Sahel de organizaciones terroristas, entre ellas Al-Qaida en el Magreb Islámico y el Movimiento para la Unidad y la Yihad en África Occidental, y reitera su firme condena de los recientes atentados terroristas perpetrados en la región.	0
Otros han sido identificados por su posible participación en los actos de planificar u ordenar la comisión de crímenes internacionales o por su complicidad en la comisión de esos crímenes.	1
De hecho, un oficial de la UNPOL informó de la presencia de ametralladoras en el tejado del antiguo edificio de la Fuerza de las Naciones Unidas para el Mantenimiento de la Paz durante la tarde del 24 de mayo.	1
Un soldado sufrió una herida leve en el dedo a consecuencia de la explosión de una granada.	1
Puede que haya habido menos operaciones importantes que lo que habrían querido los dirigentes de Al-Qaida, pero la detención o muerte de presuntos terroristas relacionados con Al-Qaida en más de 40 países de distintas partes del mundo desde que el Equipo presentó su último informe en noviembre de 2006 (S/2007/132) son indicativas de un elevado volumen de planificación de actos de terrorismo.	1
Las tres entidades también pusieron en marcha un programa cuatrienal de investigación y enjuiciamiento eficaz de actos de terrorismo, respetando los derechos humanos y el estado de derecho en el Magreb.	0
Decide que la [fuerza de organización regional] será autorizada a tomar todas las medidas necesarias, dentro de sus medios y sus capacidades, para desempeñar las siguientes tareas, de conformidad con el acuerdo a que lleguen la [organización regional] y las Naciones Unidas: ...	0
Utilización de un sistema de evaluación participativa para garantizar que las mujeres y las niñas repatriadas y las desplazadas internas puedan influir en la implantación de estrategias y programas de reintegración y en su contenido, perfeccionamiento de los parámetros de evaluación de la reintegración que tienen en cuenta el género en relación con cuestiones tales como la reforma constitucional y los procesos electorales; indicadores desglosados por sexo.	0
Inclusión en la Lista 10. Alienta a todos los Estados Miembros a que presenten al Comité establecido en virtud del párrafo 30 infra ("el Comité"), para su inclusión en la Lista, los nombres de personas, grupos, empresas y entidades que participen, por cualquier medio, en la financiación o el apoyo de los actos o actividades que se describen en el párrafo 3 supra;	0
El Equipo cree que el embargo podría ser más eficaz contra esta y otras amenazas de alta prioridad, como la utilización de sistemas portátiles de defensa antiaérea, si estuviera más estrechamente vinculado a otros regímenes de lucha contra la proliferación y de control de armas.	0
Los miembros del Consejo hicieron hincapié además en que la reconciliación nacional, la preservación de un clima de seguridad y estabilidad, la administración de justicia y la reconstrucción del país dependían en última instancia del pueblo y del Gobierno de Haití.	0
Manifestaron la esperanza de dar acogida a Timor Oriental en las Naciones Unidas.	0
Es razonable suponer que la presencia policial se debe a razones políticas más que a la prestación de cualquier tipo de protección.	1
La Operación también prestará apoyo logístico al redespliegue de la policía nacional hacia el norte del país, como parte de un plan de seguridad acordado e integral para el proceso electoral elaborado por las autoridades de Côte d'Ivoire, con la asistencia de la ONUCI y la fuerza Licorne.	0
Desde su último informe, el Equipo de Vigilancia no tiene conocimiento de ninguna persona incluida en la Lista que haya sido detenida en cruces fronterizos y el Comité no ha recibido ningún informe al respecto.	0
El incidente más grave y más sangriento fue el ataque lanzado por milicias tribales, sin provocación, contra el campamento de desplazados internos de Aro Sharow y las aldeas de Gosmino y Ardja en la zona de Kulbus de Darfur occidental, cerca de la frontera con el Chad, el 28 de septiembre.	1
El Equipo continuó participando de forma activa en la elaboración de medidas para luchar contra la financiación del terrorismo, tomando parte en reuniones plenarias del GAFI y en reuniones de sus órganos regionales.	0
- Considerar la posibilidad de aplicar medidas selectivas y graduadas contra las partes en un conflicto armado que cometan infracciones graves contra niños en situaciones de conflicto armado.	1
La Dirección Ejecutiva propone tres pequeños ajustes en su organización y sus prácticas operacionales para reflejar mejor el cambio de prioridades y las nuevas actividades propuestas.	0
En cuanto a la situación en la frontera del Líbano con la República Árabe Siria, se siguen denunciando transferencias ilegales de armas, presuntamente en ambas direcciones. Varios Estados Miembros han seguido expresando su profunda preocupación por la transferencia ilegal de armas a través de las fronteras terrestres.	1
En todo Kosovo, la responsabilidad de estas operaciones se ha trasladado al Servicio de Policía de Kosovo, respecto del que la policía internacional ejerce su supervisión.	0
En ese momento, cientos de miles de albaneses de Kosovo habían regresado a Kosovo y comenzado a reconstruir sus vidas. La mayoría de los serbios de Kosovo había huido de sus hogares. Kosovo era una sociedad en la que predominaban el sufrimiento y la destrucción para todas las comunidades. La economía estaba en ruinas.	1
s) La prohibición de la imposición de castigos colectivos;	1
Enver Hoxhaj, de Kosovo, dijo que la independencia de Kosovo era un hecho no negociable y que las instituciones de Kosovo estaban abiertas a todo aquel que buscase cambios políticos a través de medios institucionales, incluidos los políticos serbios de Kosovo en la parte septentrional de Kosovo.	0
Además de los civiles heridos cerca de la terminal de Taci Tolu durante la tarde del 28 de abril, otros dos sufrieron heridas de bala durante la noche.	1
1. Expresa su determinación de tomar medidas apropiadas para que siga desarrollándose la cooperación entre las Naciones Unidas y las organizaciones regionales y subregionales en el mantenimiento de la paz y la seguridad internacionales, de conformidad con el Capítulo VIII de la Carta de las Naciones Unidas, e invita a las organizaciones regionales y subregionales que tengan capacidad en materia de prevención de conflictos o mantenimiento de la paz a que incorporen esas capacidades en el marco del sistema de fuerzas, servicios y equipo de reserva de las Naciones Unidas;	0
Los oficiales de la policía estacionados en el puente se sintieron en peligro de ser arrollados por la confluencia de dos grupos de manifestantes. Hicieron dos disparos al aire y luego trataron de huir.	1
Por ejemplo, un importante número de reclamaciones se referían a casos de muertes, torturas, lesiones corporales, daños o sufrimientos psíquicos, toma de rehenes, y pérdidas y daños causados a bienes muebles e inmuebles.	1
Se cree que estas milicias actúan principalmente de acuerdo con una estructura de mando de carácter tribal.	1
El Grupo examinó las partidas y llegadas de todos los vuelos, a excepción de los regulares, en Côte d'Ivoire. También se examinaron las estadísticas del tráfico aéreo con países vecinos, como Guinea, Malí, Burkina Faso y Ghana. Después de concluido el examen, el Grupo no encontró ningún caso de vuelos sospechosos realizados durante el período del embargo (después del 15 de noviembre de 2004).	0
Hay leyes en vigor que regulan las organizaciones sin fines de lucro y benéficas, pero no todos los Estados han revisado sus ordenamientos jurídicos para impedir que esas organizaciones sean utilizadas indebidamente para financiar actividades terroristas.	1
:: El 2 de noviembre de 2014, unos aviones de combate del régimen sirio atacaron Um Twyena y provocaron la muerte de cinco personas.	1
El Consejo de Seguridad señala que varios obstáculos socavan los esfuerzos para asegurar el acceso de los organismos humanitarios y de las Naciones Unidas a las personas necesitadas, como las agresiones al personal humanitario, la denegación del acceso por las autoridades y la falta de colaboración estructurada con agentes no estatales.	1
Las economías de todos los Estados de la subregión se basan en las operaciones en efectivo y esto aumenta el riesgo de que se recurra, para la financiación del terrorismo, al transporte físico transfronterizo de dinero y otros instrumentos al portador, y a la transferencia informal de dinero y de valores por medio de los sistemas alternativos de envío de remesas.	1
El Comité de Derechos Humanos ha enunciado claramente este derecho en su Observación general No. 27. En varias ocasiones, el Comité de Derechos Económicos, Sociales y Culturales ha declarado que los desalojos forzosos son incompatibles en principio con los requisitos del Pacto Internacional de Derechos Económicos, Sociales y Culturales.	0
Es por lo tanto indispensable que el mando y control de las operaciones de las fuerzas armadas se ejerzan a nivel central.	1
Esto ayudará a facilitar las disposiciones respecto de la detención, el enjuiciamiento y el período posterior a la condena de los delincuentes de alto riesgo de conformidad con las normas internacionales de derechos humanos.	0
Dijo además que los campamentos de desplazados se utilizaban para lanzar ataques contra el Gobierno.	1
Ello reducía el valor de la iniciativa en cuanto a prever una justicia amplia para las víctimas.	0
Del mismo modo, se han promulgado leyes de lucha contra el terrorismo, que proporcionan a las autoridades judiciales y fiscales los poderes jurídicos necesarios para llevar a los terroristas ante la justicia.	0
Cuatro Estados han implantado expresamente medidas para reprimir el reclutamiento de terroristas.	0
Naturalmente, la rendición de cuentas no se refiere solamente a la responsabilidad penal individual por las violaciones. También se trata de castigar a los que hayan violado la ley; buscar justicia y ofrecer reparaciones a las víctimas; prevenir la repetición de las violaciones fomentando un cambio en la legislación y la política y garantizar la paz duradera y la estabilidad asegurando que las víctimas tengan aunque sea una apariencia de justicia por los daños que han sufrido.	1
Si el informe médico corroboraba las acusaciones formuladas, se enviaba el caso a la policía para que se siguiera investigando.	0
En términos de una mayor cooperación, propuso que se ampliara la función de la red de la INTERPOL, por ejemplo, por conducto de mecanismos regionales de intercambio de información con funcionarios encargados de hacer cumplir la ley, así como de más orientación sobre la aplicación.	0
Todos estos actos de incitación al odio y a la guerra crean tensiones en la comunidad de Côte d'Ivoire.	1
Actualmente, las autoridades gubernamentales afirman que no han identificado a los integrantes de esos escuadrones, y atribuyen esos actos a eventuales ajustes de cuentas.	1
En cuanto al desarme, la ONUCI seguirá apoyando el rápido acantonamiento de fuerzas, con arreglo al Acuerdo Suplementario No. 3.	0
Se ha caracterizado a la delincuencia organizada y a la corrupción como las mayores amenazas para la estabilidad de Kosovo y la sostenibilidad de sus instituciones.	1
Por último, la amplia diversidad institucional, cultural, étnica y espiritual de varias de las sociedades que están experimentando actualmente tales cambios históricos y profundos puede suscitar tensiones y preocupaciones de seguridad concretas.	0
De conformidad con la resolución 1963 (2010), la Dirección Ejecutiva también ayudará al Comité a organizar una sesión especial, abierta a la totalidad de los miembros y demás partes interesadas pertinentes, para celebrar el décimo aniversario de la aprobación de la resolución 1373 (2001) y el establecimiento del Comité.	0
El Consejo de Seguridad acoge con beneplácito la creación del Equipo Técnico del Programa de Fronteras de la Unión Africana para determinar de manera concluyente la línea central sobre el terreno de la Zona Fronteriza Desmilitarizada Segura, y reitera que la línea central no afecta en modo alguno la situación jurídica actual o futura de la frontera, las negociaciones en curso respecto de las zonas en disputa u objeto de reclamaciones, ni la demarcación de la frontera.	0
Un alto funcionario de Gobierno que participó en el reclutamiento informó a la Comisión que se pagaba a los jefes tribales con donaciones y regalos sobre la base de sus actividades de reclutamiento y del número de personas que proporcionaban.	1
Habida cuenta de que la financiación multilateral está suspendida, el Gobierno de Côte d'Ivoire depende de la cosecha de cacao para mantener la solvencia y conseguir pagar a sus funcionarios, entre ellos los militares, El cacao es una importante fuente de fondos para las adquisiciones militares no presupuestadas o extrapresupuestarias del Gobierno, y aunque la cantidad de ingresos del cacao haya disminuido, el porcentaje que se toma de la cantidad disponible todavía es elevado,	1
Como ocurrió en ocasiones anteriores, el Asesor Especial advirtió sobre las medidas adoptadas por "elementos perturbadores" que estaban socavando la transición del Yemen y que amenazaban su paz, seguridad y estabilidad y observó que el país se encontraba en una coyuntura crítica. También describió el avance de la milicia Houthi, que había invadido Saná, y ocupado varios edificios públicos; informó que habían aumentado los ataques de Al-Qaida en la Península Arábiga, y que algunos estaban relacionados con la política general y la situación de seguridad y expresó preocupación por la situación en el sur del país.	1
Un orador señaló que debía estudiarse a fondo la labor de los expertos que prestaban ayuda a los comités de sanciones haciendo visitas in situ para estudiar la situación existente.	0
6. Confirma que lo dispuesto en el párrafo 1 a) supra se aplica a los recursos económicos de todo tipo, incluidos, entre otros, los utilizados para prestar servicios de Internet o servicios conexos, utilizados para apoyar a los talibanes que figuran en la presente Lista y otras personas, grupos, empresas y entidades asociados con ellos, así como otras personas, grupos, empresas y entidades asociados con los talibanes que constituyan una amenaza para la paz, la estabilidad y la seguridad del Afganistán y otras personas, grupos, empresas o entidades asociados con ellos;	1
a) Si con el acto descrito en el párrafo 1 causare lesiones graves como mínimo a dos personas o la muerte; o	1
31. El Estado considera que la difusión del cristianismo es una amenaza particularmente grave puesto que cuestiona ideológicamente el culto oficial de la personalidad y proporciona una plataforma de interacción y organización política y social fuera de los límites del Estado.	1
Se emplazaron previamente tanques, vehículos blindados de transporte de tropas y lanzacohetes en determinadas zonas de Abidján.	1
