es	VerCoop
Así, pues, señalaron a la Comisión que la policía había sido uno de los blancos de los ataques contra las aldeas, pero culparon sobre todo a los Janjaweed de esos actos.	0
En el párrafo 8 de la misma resolución, el Consejo encomendó al Comité que designara a las personas y entidades: a) que participaran en actos que amenazaran la paz, la seguridad o la estabilidad de Somalia; b) que hubieran actuado en violación del embargo de armas general y completo; y c) que obstruyeran la prestación de asistencia humanitaria a Somalia o el acceso a esa asistencia.	1
No obstante, para muchas otras la situación sigue siendo precaria y los ataques por motivos étnicos se han hecho más graves, si no más frecuentes.	0
Los miembros del Consejo hicieron hincapié además en que la reconciliación nacional, la preservación de un clima de seguridad y estabilidad, la administración de justicia y la reconstrucción del país dependían en última instancia del pueblo y del Gobierno de Haití.	1
Todos esos acontecimientos han repercutido negativamente en los avances y los resultados logrados en el ámbito de la paz, la seguridad, la reconciliación y la estabilidad en general.	0
Reconoce que, pese a los progresos logrados en relación con la igualdad entre los géneros, es preciso intensificar las medidas, incluso sobre objetivos cuantificables y orientados hacia la acción, destinadas a garantizar los derechos de las mujeres y las niñas, y a asegurar que todas las mujeres y niñas del [país afectado] estén protegidas contra la violencia y los abusos, disfruten de la protección de la ley en condiciones de igualdad y de igual acceso a la justicia, condena enérgicamente la discriminación y la violencia contra las mujeres y las niñas, en particular la violencia que tiene como fin impedir que las niñas asistan a la escuela, destaca la importancia de que se apliquen sus resoluciones 1325 (2000), 1820 (2008), 1888 (2009), 1889 (2009) y 1960 (2010), y de que se asegure que las mujeres que huyen de la violencia en el hogar puedan encontrar refugio seguro, y hace notar los compromisos de integración contenidos en esas resoluciones;	1
En dicha reunión las partes apoyaron en principio el enfoque del ACNUR en relación con el regreso de los refugiados y los desplazados internos en los dos próximos años.	1
El Consejo ejercerá especial vigilancia respecto de quienes podrían tratar de obstaculizar el proceso de transición, en particular de quienes podrían contravenir el embargo de armas en la República Democrática del Congo o negarse a participar en los procesos de desarme, desmovilización y reintegración; de desarme, desmovilización, reintegración, repatriación o reasentamiento, y de integración de las fuerzas armadas de la República Democrática del Congo.	0
La perspectiva gubernamental más coherente sobre el conflicto fue presentada por un comité establecido por el Ministro del Interior en su carácter de representante del Presidente para Darfur.	1
- El 12 de diciembre de 2014, 200 efectivos de las fuerzas de régimen rodearon el barrio de Fayd situado en la ciudad de Jabla y prohibieron todas las entradas y salidas.	0
Mediante las muestras recogidas en el lugar del crimen y nuevos exámenes forenses se ha conseguido identificar la camioneta Mitsubishi Canter.	0
Aparte de las reuniones periódicas del Consejo de Ministros Árabes de Interior, no existe un intercambio regular e institucionalizado de información operacional en la subregión.	1
Las autoridades francesas están sumamente preocupadas ante el actual empeoramiento de la situación en la zona norte de la Franja de Gaza la pasada semana.	0
El arsenal de AQIM podría incluir actualmente sofisticadas armas antiaéreas procedentes de Libia, aunque es poco probable que sean operativas.	0
- Pedir el estricto cumplimiento por las partes en un conflicto armado de las normas aplicables del derecho internacional humanitario y de los derechos humanos y del derecho de los refugiados, incluso con respecto a:	1
Los dos dirigentes sentaron las bases para un diálogo continuo entre el Líbano y los palestinos, que a mi juicio constituye una importante medida para superar definitivamente un pasado difícil y reafirmar la soberanía e independencia política del Líbano.	1
Cabe esperar que los debates sobre la cuestión que mantenga la Asamblea den un importante impulso adicional al establecimiento de un sistema mundial eficaz para conjurar nuevos peligros y amenazas por el bien de todos los miembros de la comunidad internacional.	1
Reiterando que los Estados Miembros tienen la obligación de impedir la circulación de grupos terroristas imponiendo controles eficaces de las fronteras, entre otros medios, y, en este contexto, de intercambiar información con rapidez y de mejorar la cooperación entre las autoridades competentes para impedir la entrada y salida de terroristas y grupos terroristas de sus territorios, así como el suministro de armas a los terroristas y de fondos que pudieran financiar sus actividades,	0
En otros instrumentos internacionales, como el Convenio del Consejo de Europa para la Prevención del Terrorismo, se ha comenzado a examinar cuestiones conexas como la instigación al terrorismo, el reclutamiento y el adiestramiento.	0
Además, como se indica más adelante, la destrucción parece haber ido acompañada sistemáticamente del saqueo de efectos personales de valor, dinero en efectivo y, sobre todo, de ganado.	0
92. La comisión de investigación recomienda a los Estados y a las organizaciones de la sociedad civil que fomenten las oportunidades de diálogo y contactos entre las personas en ámbitos como la cultura, la ciencia, los deportes, el buen gobierno y el desarrollo económico, que proporcionen a los ciudadanos de la República Popular Democrática de Corea la oportunidad de intercambiar información y recibir experiencias de países distintos del suyo.	1
- Exhortar a las partes en un conflicto armado a que adopten medidas apropiadas para abstenerse de toda forma de violencia sexual y para prevenirla y proteger a todas las personas contra ella, incluso mediante:	1
Por último, tenemos que incorporar la participación y la indemnización de las víctimas en la labor de estos tribunales en el futuro.	1
Creemos firmemente que esa visita contribuirá enormemente a revitalizar el proceso de paz y abrirá el camino a nuevos acontecimientos positivos en esta región devastada por los conflictos.	1
A continuación figura el detalle de las visitas: 8 visitas exhaustivas (Arabia Saudita, Camboya, Egipto, Jamahiriya Árabe Libia, República Democrática Popular Lao, Sudáfrica, Uganda y Uzbekistán); 2 visitas regionales a 6 países en total (Bélgica, Dinamarca, Luxemburgo y Países Bajos en Europa Occidental; y Burkina Faso y Senegal en África Occidental); 7 visitas específicas (Australia, Madagascar, Nueva Zelandia, Panamá, República de Corea, Singapur y Reino Unido de Gran Bretaña e Irlanda del Norte); y 3 visitas de seguimiento (Bangladesh, Kenya y Malí).	1
A pesar de todo, la situación dentro de Kosovo todavía es preocupante.	0
Una delegación expresó preocupación por el hecho de que a pesar de la designación hecha por el Consejo, los buques de Ocean Maritime Management continuaban sus operaciones, incluso recalando en puertos extranjeros, y propuso que el Comité recordara a los Estados Miembros su obligación de imponer las medidas resultantes de la designación, en particular mediante la incautación de los buques de la entidad y la congelación de sus activos.	0
Ninguno de los testigos dijo que se hubieran lanzado volantes ni hecho anuncios por la radio o por conducto de los jefes tribales, ni que se hubieran utilizado aviones que volaran a baja altura sobre las aldeas para avisar a la población civil de un ataque inminente.	0
El Consejo destaca la importancia y urgencia del restablecimiento de la justicia y el Estado de derecho en las sociedades que han sufrido conflictos, no sólo para reconocer los abusos del pasado, sino también para promover la reconciliación nacional y ayudar a prevenir el resurgimiento de conflictos en el futuro.	1
Ofrecemos adiestramiento básico (por ejemplo, en el manejo de las armas, disciplina, ...) que puede durar unas dos semanas, dependiendo de cada persona.	0
El 7 de septiembre, el Grupo de Trabajo conjunto de alto nivel del Gobierno del Chad y las Naciones Unidas se reunió por tercera vez para evaluar la situación sobre el terreno relativa a la protección de los civiles y al cumplimiento de las medidas adoptadas por el Gobierno para cumplir las tareas enunciadas en el párrafo 2 de la resolución 1923 (2010) del Consejo de Seguridad.	0
:: Las relaciones con otras partes de las Naciones Unidas, en particular el Secretario General y su Oficina, y los demás órganos subsidiarios del Consejo de Seguridad que desarrollan su actividad en el ámbito de la lucha contra el terrorismo.	0
- Reunir, evaluar, supervisar, informar y formular recomendaciones acerca de la aplicación de las medidas; realizar estudios de casos, según proceda; y examinar a fondo cualesquiera otras cuestiones pertinentes, según le instruya el Comité;	0
Muchos de los asesinatos no ocurrieron en la calle, sino en las casas de los posibles manifestantes e incluso de civiles inocentes en el punto de mira de las fuerzas de seguridad.	0
El Grupo visitó también el puesto de control policial de Niangoloko e inspeccionó el "registro de movimientos" pero no observó ninguna irregularidad; había habido algunas confiscaciones de pistolas y escopetas artesanales.	1
Los agentes orientales de la UIR amenazaron con pasear el cadáver del difunto por las calles de Dili antes de llevarlo a la residencia del Comandante General Martins.	0
La Dirección Ejecutiva ha adoptado un enfoque multimedia para llegar a los destinatarios previstos, utilizando herramientas y canales de comunicación como el sitio web del Comité, una cuenta de Twitter y un boletín electrónico, así como los servicios de noticias que facilita el Departamento de Información Pública.	1
La Misión preguntó a los militares del Gobierno sobre los rumores según los cuales unas 70 personas, en su mayoría musulmanes, habían muerto a manos de soldados del Gobierno después de que éstos recuperaran la ciudad.	0
También se prohibió la participación activa de veteranos de guerra en futuras ceremonias, y actualmente se están revisando las normas que rigen la celebración de esas ceremonias.	0
El Consejo de Seguridad aprobó la resolución 1894 (2009) relativa a la protección de los civiles en los conflictos armados, en la que se pidió que las actividades de protección de los civiles encomendadas recibieran prioridad cuando se asignaran los recursos y las capacidades, que se preparara un concepto operacional para la protección de los civiles y se llevaran a cabo en toda la misión actividades de planificación y capacitación en la materia.	1
A consecuencia de ello, resultaron muertos 1.045 soldados y heridos 1.452 soldados y 692 civiles.	0
Esto ayudará a facilitar las disposiciones respecto de la detención, el enjuiciamiento y el período posterior a la condena de los delincuentes de alto riesgo de conformidad con las normas internacionales de derechos humanos.	1
Esta perspectiva de género debe estar presente en la reforma y adiestramiento de todas las fuerzas de seguridad.	0
Además, el grupo asignado a Darfur occidental visitó campos de refugiados en el Chad y el grupo asignado a Darfur meridional visitó el Centro de Detención de la Seguridad Nacional en Nyala.	1
:: 14 de marzo de 2005: una contramanifestación organizada por cristianos y suníes exige el retiro de las tropas sirias y la detención del jefe de los servicios de seguridad e inteligencia.	0
Al contemplar iniciativas que, de hecho, premian esta estrategia, el Consejo no haría más que envalentonar a los extremistas y socavar la letra y el espíritu de la hoja de ruta.	0
Según las informaciones disponibles, el 4 de septiembre el Ejército de Resistencia del Señor atacó las aldeas de Bodo y Nahu en Equatoria Occidental, asesinó a ocho personas y raptó a dos niños, uno de los cuales escapó más tarde.	0
La Organización Internacional de Policía Criminal (INTERPOL) llevó a cabo programas de creación de capacidad en materia de lucha contra el terrorismo en la región del Sahel y el Cuerno de África dirigidos a mejorar el intercambio de información entre los organismos, fortalecer su respuesta operacional integrada en la región y ampliar el uso de su red de comunicación segura, bases de datos y servicios.	0
La misión evaluó la preparación para las elecciones desde los puntos de vista institucional, técnico, de seguridad, jurídico y político; determinó las esferas en que se requería apoyo; y pidió una mayor participación de las mujeres y los jóvenes, más transparencia institucional, y mecanismos para prevenir los conflictos políticos y electorales.	1
En ese sentido, quisiera subrayar una vez más que, a diferencia de otras situaciones bien conocidas que implican reclamaciones territoriales infundadas e ilegítimas, incluidas las que se escudan en el pretexto inventado de atender a grupos étnicos minoritarios, se ha reconocido el derecho a la libre determinación y la condición de Estado del pueblo palestino.	0
El Consejo reafirma que, para que una sociedad que ha sufrido conflictos o se está recuperando después de un conflicto se reponga de los abusos cometidos en el pasado contra los civiles y pueda prevenirlos en el futuro, es imprescindible acabar con la impunidad.	1
Muchos Estados no están seguros de qué otro elemento, en lugar del certificado de defunción, bastaría al Comité y el Equipo recomienda que el Comité proporcione más orientación sobre lo que necesita para considerar la posibilidad de suprimir de la Lista por defunción el nombre de una persona.	1
Alienta a [la Misión] a que mejore su interacción con la población civil a fin de aumentar la conciencia y la comprensión acerca de su mandato y sus actividades y reunir información fiable sobre las violaciones de los derechos humanos y el derecho internacional humanitario cometidas contra civiles.	1
Los miembros del Consejo examinaron también el informe del Secretario General (S/2000/632) en que se indicaba que se habían realizado progresos importantes en los ámbitos políticos y militares, pero que el Gobierno de Guinea - Bissau seguía tropezando con numerosos problemas para restablecer una paz duradera, una estabilidad y un desarrollo sostenible.	0
La UNODC siguió prestando asistencia técnica en materia de lucha contra el terrorismo a los países de África Oriental, por ejemplo, en estrecha consulta con las autoridades nacionales de Djibouti, Etiopía, Kenya y Somalia, elaboró programas de asistencia a largo plazo para fortalecer la respuesta de la justicia penal de esos países ante los casos de terrorismo de conformidad con el estado de derecho y con el debido respeto de los derechos humanos.	0
Avances logrados en la eliminación del programa de armas químicas sirias	0
El Acuerdo de Argel obliga a ambas partes, según el párrafo 1 del artículo 1, a "abstenerse del uso o la amenaza de la fuerza".	1
También se han hecho frecuentes los atentados suicidas.	0
El Consejo insta al [Estado afectado] a que siga dando asilo a todos los refugiados cualquiera sea su origen.	1
La situación entre los grupos étnicos de Kosovo sigue siendo de calma relativa, aunque inestable.	0
Los puestos habían sido totalmente destruidos y el ganado había sido robado.	0
No resulta sorprendente, por lo tanto, que muchos Estados Miembros consideren que la Internet es un aspecto clave en la lucha contra la proliferación del terrorismo relacionado con Al-Qaida y la amenaza que éste plantea.	0
El Consejo de Seguridad, recordando sus resoluciones 2042 (2012) y 2043 (2012), acoge con beneplácito el nombramiento del Representante Especial Conjunto para Siria de las Naciones Unidas y la Liga de los Estados Árabes como un avance importante en la cooperación entre ambas organizaciones y expresa su apoyo a las gestiones que realiza con miras a dar continuidad a los buenos oficios del Secretario General a este respecto.	1
Siguió participando en los grupos de trabajo sobre prevención del delito y prestando ayuda a la fundación de una asociación de policía femenina en la región. La UNOMIG dotó a los organismos policiales de Zugdidi de equipo donado por el Gobierno de Suiza, al tiempo que reservó una cantidad semejante para los organismos policiales de Gali.	0
En la época en que se enunció por primera vez esta obligación internacional, y quizá incluso en 1949, cuando se redactaron y aprobaron los Convenios de Ginebra, era evidente que se pensaba en una obligación de cada Estado contratante hacia cualquier otro Estado contratante afectado.	0
El Consejo de Seguridad reafirma asimismo la necesidad de combatir por todos los medios, de conformidad con la Carta de las Naciones Unidas, las amenazas a la paz y la seguridad internacionales causadas por actos terroristas. El Consejo recuerda a los Estados que deben asegurarse de que todas las medidas que adopten en la lucha contra el terrorismo se ajusten a la totalidad de las obligaciones que les incumben en virtud del derecho internacional, en particular a las normas internacionales de derechos humanos, el derecho de los refugiados y el derecho humanitario.	1
Reconociendo la valiosa contribución a la protección de los niños en los conflictos armados del Representante Especial del Secretario General para la cuestión de los niños y los conflictos armados y del Grupo de Trabajo del Consejo de Seguridad sobre los niños y los conflictos armados, incluidas las conclusiones y recomendaciones que este formuló en consonancia con la resolución 1612 (2005), y recordando la resolución 1882 (2009), cuyo propósito es reforzar la protección de los niños en las situaciones de conflicto armado,	1
a) Pedir al Secretario General que vele por que se incluyan, y a los países anfitriones que incluyan, disposiciones fundamentales de la Convención sobre la Seguridad del Personal de las Naciones Unidas y el Personal Asociado, entre otras las referentes a la prevención de ataques contra miembros de las operaciones de las Naciones Unidas, la tipificación de esos ataques como crímenes punibles por la ley y el procesamiento o la extradición de los culpables, en los acuerdos futuros y, si es necesario, en los vigentes sobre el estatuto de las fuerzas o el estatuto de las misiones, así como en los acuerdos que concierten las Naciones Unidas y esos países, teniendo en cuenta la importancia de que dichos acuerdos se celebren oportunamente;	0
Es fundamental que los casos de violencia doméstica y de ataques sexuales sean formalmente procesados de conformidad con el código penal.	0
- Instar a los órganos regionales y/o subregionales competentes a que elaboren y apliquen políticas y realicen actividades y labores de promoción en beneficio de las mujeres y las niñas afectadas por un conflicto armado.	1
- Instar a las organizaciones humanitarias y de desarrollo a que adopten medidas apropiadas para prevenir la explotación y los abusos sexuales por parte de su personal, incluida la capacitación previa al despliegue y en el teatro de operaciones y, en el caso de los agentes de la Naciones Unidas, que promuevan y aseguren el cumplimiento, incluso por parte del personal civil de las operaciones de la Naciones Unidas para el mantenimiento de la paz y otras misiones pertinentes, de las disposiciones del boletín del Secretario General sobre medidas especiales de protección contra la explotación y el abuso sexuales (ST/SGB/2003/13).	1
La misión conjunta se reunió con interesados nacionales e internacionales, incluidos representantes de la sociedad civil, dirigentes tradicionales y religiosos, partidos de la oposición e integrantes del ejército.	1
Los Estados Unidos exhortan a las autoridades haitianas a cumplir con su compromiso de cubrir las seis vacantes del Tribunal Supremo para el 3 de octubre de 2011.	0
Sin embargo, no creemos que la soberanía exija que el Consejo permanezca en silencio cuando los Gobiernos masacran a su propia población, amenazando la paz y la seguridad regionales en ese proceso.	0
- Pedir la cooperación de los Estados y de las operaciones de las Naciones Unidas de mantenimiento de la paz y de otras misiones autorizadas por el Consejo de Seguridad para la captura y entrega de presuntos autores de genocidio, crímenes de lesa humanidad, crímenes de guerra u otras violaciones graves de la normas de derechos humanos.	1
12. Exhorta a los Estados Miembros a que actúen enérgicamente y con decisión para interrumpir las corrientes de fondos y otros activos financieros y recursos económicos a las personas y entidades incluidas en la Lista relativa a las sanciones contra Al-Qaida, según lo dispuesto en el párrafo 1 a), y teniendo en cuenta las recomendaciones del Grupo de Acción Financiera y las normas internacionales pertinentes cuyo objetivo es evitar el uso indebido de las organizaciones sin fines de lucro y los sistemas de envíos de remesas no oficiales o alternativos y la circulación transfronteriza de divisas en efectivo, y al mismo tiempo procuren mitigar los efectos sobre las actividades legítimas realizadas por esos medios;	1
El Grupo de las Naciones Unidas para el Desarrollo colabora con los Comités Ejecutivos en aras del objetivo general de lograr la consolidación de la paz y formula políticas, directrices y procedimientos para mejorar la labor de la red de equipos de las Naciones Unidas en los países.	0
Ahora que esta amenaza aumenta, la respuesta de la comunidad internacional debe evolucionar y mantenerse a la par.	0
A este respecto, el Consejo de Seguridad hace hincapié en que es esencial poner fin a la impunidad en el marco de las actividades de las sociedades en situaciones de conflicto y posteriores a conflictos con el propósito de aceptar la realidad de graves crímenes pasados cometidos con arreglo al derecho internacional, y prevenir que en el futuro se cometan graves crímenes, con arreglo al derecho internacional.	1
La amenaza a la seguridad y la estabilidad en el Afganistán que representan los terroristas, los delincuentes y los que participan en el tráfico ilícito de drogas es real y debe ser atendida de manera constante.	0
Algunos de esos soldados fueron asesinados en el acto.	0
El Comité alienta a la Dirección Ejecutiva a que continúe con su análisis de cuestiones regionales y temáticas, con el propósito de informarlo tanto a él como a los Estados Miembros en general, teniendo en cuenta la evolución de la situación mundial y centrándose en temas clave como el uso y el abuso de las nuevas tecnologías de la información y las comunicaciones, la protección de los derechos de las víctimas del terrorismo, los nuevos problemas para el enjuiciamiento de los terroristas, la creación de alianzas estratégicas con los agentes no gubernamentales pertinentes (incluidos los grupos de mujeres y jóvenes, los líderes religiosos, los medios de comunicación y el sector privado), la protección de la infraestructura turística, los secuestros a cambio del cobro de rescates, la lucha contra el extremismo violento y los delitos cometidos para financiar el terrorismo.	1
13. El Comité examinó las siguientes cuestiones principales en las que era posible seguir avanzando: continuar mejorando los procedimientos de asistencia; detectar y analizar las necesidades de asistencia; seguir estableciendo un diálogo en materia de asistencia con las organizaciones internacionales, regionales, subregionales y, según proceda, con las organizaciones no gubernamentales; fortalecer la capacidad del Comité y sus expertos para facilitar asistencia; y aumentar la conciencia sobre las cuestiones relativas a la asistencia.	1
El Sr. Apakan añadió que la OSCE aún tenía que observar la retirada de armas pesadas de la línea de control.	0
En la 47ª sesión oficial, celebrada el 20 de junio de 2014, la Fiscal de la Corte Penal Internacional informó al Grupo de Trabajo sobre la labor de la Corte Penal Internacional en relación con los niños y los conflictos armados.	1
El Consejo de Seguridad reafirma la importancia del principio de no devolución y del derecho de los refugiados a regresar voluntariamente a [el país afectado], y alienta a los países vecinos de [el país afectado] a que protejan a todas las personas que huyen de la violencia existente en [el país afectado], incluidos [los habitantes de una zona específica de la región]. Insta a todos los Estados Miembros a que, sobre la base de los principios de distribución de la carga, apoyen a esos países en la prestación de asistencia a los refugiados y a las comunidades afectadas ...	1
A solicitud del Consejo, el Equipo de Vigilancia siguió organizando reuniones regionales con los jefes y subjefes de los servicios de inteligencia y seguridad a fin de analizar posibles modificaciones del régimen de sanciones para enfrentar los cambios en la amenaza que significaba el terrorismo vinculado a Al-Qaida.	1
El Consejo de Seguridad condena enérgicamente que se siga usando el territorio afgano, especialmente las zonas controladas por los talibanes, para albergar y adiestrar terroristas y planificar actos terroristas, y reafirma su convicción de que la represión del terrorismo internacional es esencial para el mantenimiento de la paz y la seguridad internacionales. Insiste en que los talibanes dejen de proporcionar refugio y adiestramiento a terroristas internacionales y a sus organizaciones, adopten medidas eficaces para que el territorio bajo su control no se albergue instalaciones y campamentos de terroristas, ni sirva para preparar u organizar actos terroristas contra otros Estados o sus ciudadanos, y cooperen en los esfuerzos encaminados a someter a la justicia a las personas acusadas de actos terroristas.	0
Las dos partes en el Acuerdo General de Paz nombraron agentes de coordinación para la cuestión de los niños y el conflicto armado.	0
Las tres Misiones esperan además ampliar su cooperación para el fletamiento de aeronaves de pasajeros de gran capacidad para las rotaciones de tropas; el establecimiento de una oficina regional conjunta de adquisiciones; y el mejoramiento de las instalaciones de la MONUC en Entebbe (Uganda), que presta ya servicios a la MONUC, a la ONUB y a la UNMIS, para ofrecer alojamiento de tránsito a las tropas y un punto primario de entrada para los envíos destinados a las tres Misiones, entre otras funciones.	1
9. Pide al Comité contra el Terrorismo que, además de presentar el informe solicitado en el párrafo 8, le informe oralmente, por intermedio de su Presidente y como mínimo cada 180 días, sobre su labor general y la de su Dirección Ejecutiva y, si corresponde, lo haga conjuntamente con la presentación de los informes de los Presidentes del Comité establecido en virtud de la resolución 1267 (1999) y del Comité establecido en virtud de la resolución 1540 (2004), y alienta la celebración de reuniones informativas oficiosas para todos los Estados Miembros interesados;	1
Los hombres de esos vehículos y los soldados de la calle dispararon contra los vehículos de la policía e hirieron a un agente de la PNTL en las piernas.	0
Las partes en el proceso de paz todavía no han tomado disposiciones para la liberación ni han ofrecido programas de reintegración con los que los niños de esas fuerzas habrían podido acogerse a medidas de recuperación y reinserción.	1
La Unión Europa también manifestó apoyo a la declaración de mi Representante Especial de 8 de septiembre de 2005, en que se subrayaba que no podía darse una solución militar a los problemas a que se enfrentaban las instituciones federales de transición.	1
En primer lugar, durante la parte inicial del período abarcado por el mandato del Grupo de supervisión, las actividades de vigilancia de las fuerzas navales extranjeras desplegadas en el Golfo de Adén afectaron la disponibilidad de armas en el mercado de Bakaraaha.	0
Alienta a los Estados Miembros, la Oficina de Coordinación de Asuntos Humanitarios, el Departamento de Asuntos Políticos, el Departamento de Operaciones de Mantenimiento de la Paz, la Oficina del Alto Comisionado de las Naciones Unidas para los Refugiados, el Organismo de Obras Públicas y Socorro de las Naciones Unidas para los Refugiados de Palestina en el Cercano Oriente, la Oficina del Alto Comisionado para los Derechos Humanos, el Programa de las Naciones Unidas para el Desarrollo y otros organismos y oficinas competentes de las Naciones Unidas a que sigan cooperando, teniendo también en cuenta el contenido de las resoluciones 1325 (2000), relativa a la mujer, la paz y la seguridad, y 1379 (2001), relativa a los niños en los conflictos armados; acoge con beneplácito la celebración de seminarios regionales y alienta a los Estados Miembros a que les presten su apoyo operacional y financiero.	1
En la región hay una escasa presencia e influencia de fuerzas militantes opositoras, aunque utilizan rutas de transporte y refugios en la provincia de Farah.	0
Sobre esta base, deseo acceder a la solicitud pakistaní y tengo la intención de establecer una Comisión de Investigación integrada por tres miembros.	1
En un número limitado de casos, es posible que el pago de prestaciones haya inducido a los comandantes a volver a reclutar a niños que ya habían liberado.	0
Las conclusiones de la Comisión confirmaron que las violaciones y la violencia sexual contra mujeres y niñas continuaron durante la huida y en las zonas de concentración de los desplazados.	0
Las FARDC siguen estando mal equipadas y sostenidas y la MONUC opina que sería necesario reforzar la presencia militar para asegurar el buen desarrollo de las elecciones en varias zonas fundamentales de Katanga.	0
12. Habida cuenta de la profunda desconfianza reinante entre el pueblo libanés en relación con sus autoridades judiciales y de seguridad, la Comisión se ha convertido en una fuente de grandes expectativas y esperanzas de cambio, así como un intermediario entre el pueblo libanés y sus autoridades.	1
Mientras tanto, se están movilizando recursos con el apoyo de la ONUCI, el UNICEF y el Programa Mundial de Alimentos a fin de rehabilitar y reintegrar a 511 niños soldados, entre ellos 204 niñas, que los líderes de las Forces Nouvelles han liberado y entregado al UNICEF.	0
Asimismo, la MINUSMA identificó a 32 supervivientes de violencia sexual relacionada con el conflicto en la región de Tombuktú y los remitió a organizaciones no gubernamentales dispuestas a ayudarlos a interponer demandas judiciales.	0
